Word	happiness_average	happiness_standard_deviation
preparation	6.06	1.3614
quantities	6.06	1.3001
racing	6.06	1.7427
reflection	6.06	1.3911
representation	6.06	1.2843
respective	6.06	1.3157
see	6.06	1.0577
servings	6.06	1.4057
shoes	6.06	1.544
slim	6.06	1.4902
sports	6.06	2.2352
starring	6.06	1.3001
straight	6.06	1.0577
talk	6.06	1.0577
towns	6.06	1.1502
updated	6.06	1.2357
wood	6.06	1.2521
solving	6.04	1.7377
bridges	6.04	1.5133
climbing	6.04	1.3838
geographical	6.04	1.4572
skirt	6.04	2.0712
1960s	6.04	1.7492
academy	6.04	1.3395
accompanying	6.04	1.4422
acquired	6.04	1.5113
acting	6.04	1.5113
alumni	6.04	1.0294
america's	6.04	1.4563
approaches	6.04	1.3087
bass	6.04	1.6898
beginning	6.04	1.1599
bringing	6.04	1.1421
campus	6.04	1.6157
casino	6.04	2.04
choices	6.04	1.4422
contributed	6.04	1.2115
exact	6.04	1.2282
expand	6.04	1.1421
express	6.04	0.9026
fave	6.04	1.4702
feliz	6.04	1.4841
folks	6.04	1.3547
fund	6.04	1.1241
furniture	6.04	1.1599
groove	6.04	1.2115
hair	6.04	1.3991
hint	6.04	1.5903
installed	6.04	1.0294
interactive	6.04	1.3845
kitchen	6.04	1.6898
melbourne	6.04	1.428
mind	6.04	1.2771
numbers	6.04	1.1421
perspective	6.04	1.0294
points	6.04	1.4702
prevention	6.04	1.2282
professor	6.04	1.4563
prospective	6.04	1.2115
prospects	6.04	1.0683
purple	6.04	1.5248
purpose	6.04	1.1599
replied	6.04	0.9681
sauce	6.04	1.3991
signing	6.04	1.4841
sofa	6.04	1.3547
supplies	6.04	1.3991
tops	6.04	1.0872
transport	6.04	1.293
union	6.04	1.3991
visible	6.04	0.8797
vocal	6.04	1.5513
washington	6.04	1.2115
words	6.04	1.1945
xp	6.04	1.5113
carriage	6.02	1.2289
beings	6.02	1.2498
colored	6.02	1.7379
considerations	6.02	1.4067
nearest	6.02	1.2498
porch	6.02	1.6006
relate	6.02	1.5206
seventeenth	6.02	1.1813
vibe	6.02	1.4789
1980's	6.02	1.7437
acres	6.02	1.3169
aircraft	6.02	1.4068
amen	6.02	1.8789
basket	6.02	1.0784
blog	6.02	1.4068
cards	6.02	1.3013
celebrity	6.02	1.7082
christians	6.02	2.0151
concepts	6.02	1.2856
content	6.02	1.6224
creates	6.02	1.4356
delivery	6.02	1.4356
developing	6.02	1.0971
doll	6.02	1.943
download	6.02	1.3476
eggs	6.02	1.9948
engineers	6.02	1.1337
essential	6.02	0.8919
fixed	6.02	1.0593
float	6.02	1.4068
fridge	6.02	1.1156
fund-raising	6.02	1.7437
inn	6.02	1.237
jam	6.02	2.0252
japanese	6.02	1.5713
male	6.02	1.3626
monetary	6.02	1.3923
native	6.02	1.4068
newspapers	6.02	1.4637
objectives	6.02	1.237
pregnancy	6.02	2.2451
presence	6.02	1.0593
production	6.02	1.2036
programs	6.02	1.6349
pub	6.02	1.6962
quick	6.02	1.6349
rare	6.02	1.7201
records	6.02	1.2856
retire	6.02	1.8012
simple	6.02	1.4637
sophisticated	6.02	1.7553
teams	6.02	1.1692
totally	6.02	1.1156
try	6.02	0.9366
unwind	6.02	1.846
voting	6.02	1.3775
walk	6.02	1.5451
will	6.02	1.3013
windows	6.02	1.3923
wondering	6.02	1.3476
writes	6.02	1.3775
xoxo	6.02	1.7082
rains	6.01	1.8722
1990's	6.0	1.5779
act	6.0	1.2936
adapted	6.0	1.4142
alliance	6.0	1.6537
allow	6.0	1.4708
applicable	6.0	1.0302
archives	6.0	1.4425
attend	6.0	0.9689
attending	6.0	1.1066
automatic	6.0	1.4732
automatically	6.0	1.5584
avatar	6.0	1.6288
beans	6.0	1.6537
beliefs	6.0	1.5138
bien	6.0	1.4428
biggest	6.0	1.3248
brew	6.0	1.633
brook	6.0	1.6413
cambridge	6.0	1.4846
concentrations	6.0	1.2882
conscience	6.0	1.3401
continent	6.0	1.2289
crimson	6.0	1.5138
eighteenth	6.0	1.4142
exactly	6.0	1.7143
extend	6.0	0.9035
favor	6.0	2.0603
finale	6.0	1.6162
find	6.0	1.5779
fireplace	6.0	1.8844
fixing	6.0	1.069
glance	6.0	1.178
global	6.0	1.4846
ha	6.0	1.5649
hands	6.0	1.4846
heating	6.0	1.5779
indeed	6.0	1.1952
integral	6.0	1.3093
itunes	6.0	1.8952
japan	6.0	1.3093
jenny	6.0	1.6811
king's	6.0	1.8626
lawn	6.0	1.2289
lighting	6.0	1.4428
likewise	6.0	1.2454
lmfao	6.0	2.1285
make	6.0	0.9897
meaning	6.0	1.0498
mega	6.0	1.6413
metals	6.0	1.354
mucho	6.0	1.2617
nations	6.0	1.5518
network	6.0	1.2778
olive	6.0	1.1429
opened	6.0	1.2289
oregon	6.0	1.178
owns	6.0	1.2936
participants	6.0	1.0302
pilot	6.0	1.069
principle	6.0	1.4846
religion	6.0	1.8295
result	6.0	1.1606
service	6.0	1.1606
sights	6.0	1.4983
sites	6.0	1.1606
sponsor	6.0	1.4142
started	6.0	1.069
stereo	6.0	1.2936
stores	6.0	0.9689
successor	6.0	1.4428
survive	6.0	1.7957
surviving	6.0	1.7496
today's	6.0	0.9897
tuned	6.0	0.9689
virgin	6.0	1.5779
vista	6.0	1.3851
walked	6.0	0.9897
2-car	5.98	1.4213
action	5.98	1.4213
afternoon	5.98	1.237
anytime	5.98	1.2534
attempting	5.98	0.9998
audience	5.98	1.4356
august	5.98	1.4356
author	5.98	1.3923
awww	5.98	1.7784
bbc	5.98	1.2534
began	5.98	0.9581
biography	5.98	1.4497
broadcast	5.98	1.2856
canada	5.98	1.5318
communities	5.98	1.3169
contributor	5.98	1.3476
creatures	5.98	1.3775
declaration	5.98	1.2204
dell	5.98	1.4068
dialogue	5.98	1.237
drum	5.98	1.3775
ebook	5.98	1.4356
egg	5.98	1.4356
explained	5.98	1.3169
fabric	5.98	1.0971
father-in-law	5.98	1.8125
feature	5.98	1.1692
ferry	5.98	1.2856
fingertips	5.98	1.1337
flash	5.98	1.0398
flights	5.98	1.8897
folk	5.98	1.4356
gathered	5.98	1.3169
grammys	5.98	1.4497
heh	5.98	1.2696
hill	5.98	1.3923
http	5.98	1.2534
identity	5.98	1.1156
informal	5.98	1.4497
ireland	5.98	1.3626
java	5.98	1.5583
july	5.98	1.6962
keys	5.98	1.2036
lego	5.98	1.2696
lessons	5.98	1.3775
looks	5.98	1.3775
macbook	5.98	1.5185
mcdonalds	5.98	2.3342
meets	5.98	1.0971
messages	5.98	0.9366
national	5.98	1.1516
netherlands	5.98	1.3323
nintendo	5.98	1.7319
normal	5.98	1.0784
nyc	5.98	1.5842
organization	5.98	1.1337
originally	5.98	1.1337
ours	5.98	1.4356
ourselves	5.98	1.3323
pairs	5.98	1.1692
pic	5.98	1.1692
planned	5.98	1.2696
pop	5.98	1.237
prose	5.98	1.505
recordings	5.98	1.237
represented	5.98	1.1692
robin	5.98	1.2204
schools	5.98	1.4356
singapore	5.98	1.7899
sounds	5.98	1.2036
specialized	5.98	1.3323
store	5.98	0.9792
sweater	5.98	1.4776
tonight's	5.98	1.4068
train	5.98	1.4913
triple	5.98	1.1337
wing	5.98	1.1516
faire	5.98	1.5068
lasts	5.98	1.7617
nana	5.98	1.7617
precisely	5.98	1.2827
probable	5.98	1.3306
refer	5.98	1.1085
spoon	5.98	1.5477
similarly	5.98	1.0816
glimpse	5.98	1.1701
souls	5.98	1.713
above	5.96	0.9026
academic	5.96	1.5644
allowed	5.96	1.7375
assistance	5.96	1.428
authorized	5.96	1.5513
bacon	5.96	2.0698
bay	5.96	1.4978
bf	5.96	1.6283
body	5.96	1.0294
collected	5.96	1.1599
convinced	5.96	0.9681
destined	5.96	1.4563
discuss	5.96	1.2282
driven	5.96	1.2771
everyone's	5.96	1.261
everything	5.96	1.293
fav	5.96	1.9479
features	5.96	1.2115
flickr	5.96	1.1945
french	5.96	1.5381
gig	5.96	1.3991
gracias	5.96	1.5381
gym	5.96	1.5113
head	5.96	1.0683
heels	5.96	1.1241
hundreds	5.96	1.6655
including	5.96	0.9026
islanders	5.96	1.293
jeep	5.96	1.7375
job	5.96	1.7257
largely	5.96	1.0294
made	5.96	1.0683
mambo	5.96	1.7257
match	5.96	0.9889
memoir	5.96	1.2447
mighty	5.96	1.3087
mmmmm	5.96	1.8622
net	5.96	1.0294
netflix	5.96	1.8731
players	5.96	1.6157
potentially	5.96	1.5113
presently	5.96	1.261
proof	5.96	1.0683
reaches	5.96	1.3696
reflecting	5.96	1.2282
related	5.96	1.261
releases	5.96	1.4702
reveal	5.96	1.3547
reveals	5.96	1.4702
rocks	5.96	1.4841
roommate	5.96	1.5513
season	5.96	1.1421
selection	5.96	1.293
ship	5.96	1.2282
ships	5.96	1.0093
similar	5.96	1.0872
space	5.96	1.0093
stadium	5.96	1.5774
starts	5.96	1.1945
taught	5.96	1.4563
world's	5.96	1.3395
writer	5.96	1.5381
yep	5.96	1.6655
justify	5.96	1.3379
pupil	5.96	1.3838
spreading	5.96	1.3064
wales	5.96	1.4994
whoo	5.96	1.6951
deeds	5.96	1.3202
exhibit	5.96	1.2541
fiddle	5.96	1.7254
exceed	5.96	1.5174
3d	5.94	1.6088
alternative	5.94	1.3911
approach	5.94	1.1678
awe	5.94	2.0938
ballet	5.94	1.5832
begins	5.94	1.1502
building	5.94	1.1141
business	5.94	1.4626
carpet	5.94	1.1502
chick	5.94	1.6464
choose	5.94	1.1851
consent	5.94	1.2191
continental	5.94	1.1141
correspondence	5.94	1.3157
custom	5.94	0.9127
decided	5.94	1.3911
diary	5.94	1.1502
echo	5.94	1.2357
elevation	5.94	1.5174
european	5.94	1.1678
exports	5.94	1.2191
finds	5.94	1.2521
forum	5.94	1.2521
framework	5.94	1.0577
frank	5.94	1.3001
gather	5.94	1.0768
germany	5.94	1.5703
image	5.94	1.6587
impression	5.94	1.0768
include	5.94	1.2022
inherent	5.94	1.3763
intention	5.94	1.2843
investor	5.94	1.3001
jet	5.94	1.634
joyce	5.94	1.5174
kings	5.94	1.5308
knew	5.94	1.3001
larger	5.94	1.5308
letter	5.94	1.0956
listen	5.94	1.4344
looking	5.94	0.9775
mba	5.94	1.834
member	5.94	1.1141
men	5.94	1.3911
movement	5.94	0.9348
nation's	5.94	1.544
obama	5.94	2.161
ok	5.94	1.731
oooh	5.94	1.7192
option	5.94	1.3911
phoenix	5.94	1.6088
player	5.94	1.6214
portfolio	5.94	1.4344
preparations	5.94	1.4057
presidential	5.94	1.5174
prom	5.94	1.3763
proper	5.94	1.3911
pulse	5.94	1.3311
reality	5.94	1.6464
regularly	5.94	0.8668
reservations	5.94	1.4626
salmon	5.94	1.7072
scene	5.94	1.3311
societies	5.94	1.3614
submitted	5.94	1.3001
substantial	5.94	1.0956
swift	5.94	1.2683
technique	5.94	0.9982
thnx	5.94	1.6088
thx	5.94	1.5174
tide	5.94	1.2357
trends	5.94	1.2843
visual	5.94	1.6832
wallet	5.94	1.0577
wear	5.94	1.3911
formation	5.94	1.2521
cloth	5.94	1.1256
delicate	5.94	1.5331
echoes	5.94	1.3135
geography	5.94	1.4202
processing	5.94	1.4055
swinging	5.94	1.4055
1970's	5.92	1.6517
aides	5.92	1.3827
bank	5.92	1.6268
banks	5.92	1.2428
beer	5.92	2.3891
boobs	5.92	2.1366
capital	5.92	1.2428
chapters	5.92	1.1753
chicks	5.92	1.8499
chiefs	5.92	1.3974
christianity	5.92	2.2663
citizen	5.92	1.3827
collections	5.92	1.6517
conclude	5.92	1.3827
constant	5.92	1.14
covered	5.92	1.0069
devices	5.92	1.1753
diagram	5.92	1.2095
directors	5.92	1.3827
doubtless	5.92	1.5365
equity	5.92	1.6762
fields	5.92	1.2428
florence	5.92	1.8609
forecast	5.92	1.122
get	5.92	1.085
group	5.92	1.2095
guy	5.92	1.3377
hah	5.92	1.664
harvard	5.92	1.7825
historic	5.92	1.5758
i	5.92	1.3377
laboratory	5.92	1.7124
linux	5.92	1.5628
opens	5.92	1.2752
orlando	5.92	1.4119
pants	5.92	1.14
patterns	5.92	1.066
private	5.92	1.3529
publishing	5.92	1.1753
raining	5.92	2.165
residential	5.92	1.4405
retirement	5.92	2.1174
runnin	5.92	1.4546
salon	5.92	1.3679
sends	5.92	0.9223
shorts	5.92	1.2591
shown	5.92	1.066
skinny	5.92	1.5232
solid	5.92	1.122
stoked	5.92	1.7004
substantially	5.92	1.3068
teen	5.92	1.9361
theatrical	5.92	1.2752
toyota	5.92	1.4824
translated	5.92	1.085
tribe	5.92	1.3679
umbrella	5.92	1.2911
vienna	5.92	1.771
views	5.92	1.0069
viva	5.92	1.7124
washed	5.92	1.5497
wholly	5.92	1.14
alternatives	5.92	1.4696
applies	5.92	1.336
generated	5.92	1.2884
merchant	5.92	1.1518
missionary	5.92	1.9022
vine	5.92	1.2721
vive	5.91	1.3416
add	5.9	0.9742
addition	5.9	1.2976
alike	5.9	1.5152
attributed	5.9	1.4321
blu-ray	5.9	1.3887
both	5.9	1.0351
brought	5.9	1.3286
buyers	5.9	1.165
chillin	5.9	1.6933
co-op	5.9	1.3439
conception	5.9	1.3286
conclusions	5.9	1.2164
considered	5.9	1.0738
daughter-in-law	5.9	1.5551
diaries	5.9	1.3887
dividend	5.9	1.8979
doe	5.9	1.6444
establish	5.9	1.5152
exist	5.9	1.6812
existence	5.9	1.2495
expect	5.9	0.9742
fact	5.9	1.3286
featured	5.9	1.0738
feel	5.9	1.1294
gin	5.9	1.8098
grew	5.9	1.3286
hand	5.9	1.0738
hosting	5.9	1.3887
legacy	5.9	1.6067
letters	5.9	1.4178
lip	5.9	1.0738
lolz	5.9	1.5551
magazine	5.9	1.669
majority	5.9	1.1112
mall	5.9	1.4033
man	5.9	1.4033
modest	5.9	1.4178
naked	5.9	2.2879
neighbors	5.9	1.594
nokia	5.9	1.374
notebook	5.9	1.3887
now	5.9	1.374
pass	5.9	1.4321
peak	5.9	1.594
permit	5.9	0.9742
personally	5.9	1.0738
planes	5.9	1.6812
ratings	5.9	1.2657
recording	5.9	1.1473
replies	5.9	0.953
results	5.9	1.374
retail	5.9	1.0351
scenes	5.9	1.2164
scores	5.9	1.1294
seattle	5.9	1.2657
settlement	5.9	1.5017
speak	5.9	1.2164
stanford	5.9	1.7642
strategic	5.9	1.4743
symbols	5.9	1.1112
talked	5.9	1.2657
thousand	5.9	0.8631
twenty	5.9	1.0546
winter	5.9	2.1783
yeah	5.9	1.1473
angle	5.9	1.3578
bun	5.9	1.3881
displayed	5.9	1.1039
dolly	5.9	1.3423
illustrate	5.9	1.4895
pockets	5.9	1.4178
puppet	5.9	1.7588
sensory	5.9	1.3423
grande	5.9	1.4621
mixture	5.9	1.2071
myth	5.9	1.4178
admiral	5.89	1.4024
intensity	5.89	1.3061
access	5.88	1.2558
adobe	5.88	1.2395
airport	5.88	1.8477
allied	5.88	1.1542
applications	5.88	1.0622
architects	5.88	1.3797
audio	5.88	1.8805
austria	5.88	1.2879
celeb	5.88	1.4658
chosen	5.88	1.1183
city's	5.88	1.272
coordinator	5.88	1.0622
cyber	5.88	1.4797
deserves	5.88	1.8913
distinguish	5.88	1.409
drivin	5.88	1.4234
entire	5.88	1.1183
evidently	5.88	1.3498
expanded	5.88	1.1542
feedback	5.88	0.9613
field	5.88	1.1891
flew	5.88	1.599
founder	5.88	1.1183
hip	5.88	1.3797
includes	5.88	1.5205
keeps	5.88	1.3192
leaders	5.88	1.3192
lmaooo	5.88	2.0368
mary	5.88	1.409
mood	5.88	1.6368
mrs	5.88	1.409
october	5.88	1.4234
organism	5.88	1.2061
outlook	5.88	1.1891
philharmonic	5.88	1.5732
physical	5.88	1.2229
poland	5.88	1.3346
primary	5.88	1.1183
printed	5.88	0.9613
privacy	5.88	2.1537
pro	5.88	1.3192
producer	5.88	1.3649
railroad	5.88	1.3649
researchers	5.88	1.3944
scout	5.88	1.0999
sequence	5.88	1.3192
sovereign	5.88	1.3801
speaking	5.88	1.1183
sustained	5.88	1.409
town	5.88	1.5338
twilight	5.88	1.9128
victoria	5.88	1.2395
weather	5.88	1.5205
whole	5.88	1.3346
yeh	5.88	1.5602
pun	5.88	1.7159
demonstration	5.88	1.2185
misty	5.88	1.8779
sovereignty	5.88	1.7516
scripture	5.88	1.7336
sleigh	5.88	1.8175
flex	5.87	1.1575
2morrow	5.86	1.3095
adopted	5.86	1.6538
aim	5.86	1.1068
amounts	5.86	1.2124
applied	5.86	1.2938
arrangement	5.86	1.125
articles	5.86	1.1782
balls	5.86	1.2124
barbie	5.86	1.6037
bear	5.86	1.8518
boogie	5.86	1.9379
bridge	5.86	1.3999
brooks	5.86	1.3704
brother-in-law	5.86	1.5254
chrome	5.86	1.4287
club	5.86	1.6414
columbus	5.86	1.325
connect	5.86	1.4848
constitutional	5.86	1.6037
contemporary	5.86	1.0882
country's	5.86	1.3704
credit	5.86	1.6661
credits	5.86	1.3403
curve	5.86	1.4848
diverse	5.86	1.5388
dj	5.86	1.4984
effort	5.86	1.6289
engineering	5.86	1.4848
equipment	5.86	0.9691
figures	5.86	1.1782
freeway	5.86	1.5388
front-page	5.86	1.0882
frontier	5.86	1.2779
hotter	5.86	1.5388
household	5.86	1.6538
integration	5.86	1.7498
introduce	5.86	0.9691
japan's	5.86	1.1608
jennifer	5.86	1.3999
keep	5.86	1.0692
layout	5.86	0.9037
lens	5.86	1.4984
leo	5.86	1.4848
located	5.86	1.3554
metro	5.86	1.5254
newman	5.86	1.2124
nut	5.86	1.4984
nuts	5.86	1.6289
observations	5.86	1.0692
obtain	5.86	1.3403
pc	5.86	1.4287
position	5.86	1.125
potter	5.86	1.7958
president	5.86	2.1094
productions	5.86	1.2291
property	5.86	1.5651
pumping	5.86	1.3704
revelation	5.86	1.4848
road	5.86	1.0882
sand	5.86	1.578
seat	5.86	1.05
services	5.86	1.578
sound	5.86	1.2779
survival	5.86	1.5909
teens	5.86	1.552
thursday	5.86	1.1068
trained	5.86	1.4984
variations	5.86	1.1954
viewers	5.86	1.2779
wrapped	5.86	1.3095
attitudes	5.86	1.307
autonomy	5.86	1.5943
concentrated	5.86	1.291
deeper	5.86	1.3385
fifteen	5.86	1.0206
fourteen	5.86	1.3385
gum	5.86	1.3844
liquid	5.86	1.1726
organizational	5.86	1.2583
output	5.86	1.3844
phenomena	5.86	1.6073
seal	5.86	1.5138
concentration	5.85	1.5573
props	5.85	1.4141
construct	5.85	1.5177
amount	5.84	1.2993
angeles	5.84	1.5566
appear	5.84	0.8172
arena	5.84	1.0174
banking	5.84	1.6458
baseball	5.84	1.7304
begun	5.84	1.0373
being	5.84	1.6081
benz	5.84	1.8446
blogs	5.84	1.7654
buck	5.84	1.7769
canadian	5.84	1.8556
checks	5.84	1.5434
chicago	5.84	1.5301
circles	5.84	1.1843
classes	5.84	1.3303
colorado	5.84	1.1314
coming	5.84	1.2014
conducting	5.84	1.0174
crossword	5.84	1.5566
curry	5.84	1.8223
decide	5.84	1.2513
descriptions	5.84	1.1493
desktop	5.84	1.5032
element	5.84	1.0373
enter	5.84	1.2835
escaped	5.84	1.9416
ethnic	5.84	1.3303
experimental	5.84	1.4479
feelings	5.84	1.7186
germans	5.84	1.7998
gets	5.84	1.2993
grain	5.84	1.2675
grammar	5.84	1.4337
gravity	5.84	1.5826
hear	5.84	1.2014
her	5.84	1.0759
history	5.84	1.5032
individuals	5.84	0.9971
landed	5.84	1.0373
lands	5.84	1.3303
lays	5.84	1.5032
maryland	5.84	1.6704
matrix	5.84	1.4194
mexico	5.84	1.7186
nationwide	5.84	1.2513
ooh	5.84	1.8223
oral	5.84	1.8223
patents	5.84	1.0568
poster	5.84	1.1314
producing	5.84	1.3303
programming	5.84	1.5167
prophet	5.84	1.9205
provisions	5.84	1.5566
puff	5.84	1.4758
quartet	5.84	1.2182
realize	5.84	1.0759
really	5.84	1.4896
responses	5.84	1.1493
sample	5.84	0.9337
shoe	5.84	1.4479
showing	5.84	0.8418
ski	5.84	1.3303
stages	5.84	1.5434
stored	5.84	1.0947
suggestion	5.84	1.3149
tall	5.84	1.3607
telephone	5.84	1.9098
theoretical	5.84	1.1132
uk	5.84	1.5696
urban	5.84	1.5566
watching	5.84	1.2182
web	5.84	1.7422
absorption	5.84	1.3593
constructed	5.84	1.4046
dimensions	5.84	1.2966
examples	5.84	1.4627
interpretation	5.84	1.1963
programme	5.84	1.4046
relating	5.84	1.3126
shades	5.84	1.4046
subtle	5.84	1.4484
instruction	5.83	1.2604
rotation	5.83	1.3101
wagon	5.83	1.324
10pm	5.82	1.2237
7-9pm	5.82	1.4384
apply	5.82	0.8003
arising	5.82	1.3952
bar	5.82	1.8035
becoming	5.82	0.919
blogging	5.82	1.4803
closer	5.82	1.1008
come	5.82	1.0039
communications	5.82	1.3354
connection	5.82	1.1192
consistent	5.82	1.6744
cow	5.82	1.4665
detail	5.82	1.1373
diplomatic	5.82	1.6374
east	5.82	1.2887
eatin	5.82	1.5739
emphasized	5.82	1.4384
endowment	5.82	1.5077
entered	5.82	1.024
expressed	5.82	1.3506
fig	5.82	1.4665
have	5.82	0.8497
hearing	5.82	1.4803
homey	5.82	2.0572
hundred	5.82	1.3354
investment	5.82	1.8148
involved	5.82	1.3354
irish	5.82	1.5868
jean	5.82	1.5739
key	5.82	1.0631
landing	5.82	1.2403
lived	5.82	1.5996
maine	5.82	1.4941
maker	5.82	1.0437
many	5.82	1.4384
met	5.82	0.919
montreal	5.82	1.2567
nashville	5.82	1.32
opinion	5.82	1.3354
owl	5.82	1.8592
pair	5.82	1.1899
path	5.82	1.1551
peoples	5.82	1.3656
philosophers	5.82	1.746
publisher	5.82	1.0821
quickly	5.82	1.4525
realised	5.82	1.3805
regarded	5.82	1.1726
royal	5.82	1.6374
sane	5.82	1.6123
sister-in-law	5.82	1.5739
southwest	5.82	1.5868
spanish	5.82	1.2567
sum	5.82	1.1373
talks	5.82	1.207
teen-agers	5.82	1.7225
tennessee	5.82	1.2728
toronto	5.82	1.7577
upper	5.82	0.919
woot	5.82	1.5996
workin	5.82	1.6866
diversity	5.82	1.7401
ideology	5.82	1.4387
mist	5.82	1.5768
movements	5.82	1.0738
outline	5.82	1.2694
continually	5.81	1.0848
obtaining	5.81	1.3616
6pm	5.8	1.2454
accordingly	5.8	1.2778
acquisition	5.8	1.5253
addressed	5.8	1.2122
analysis	5.8	1.4286
appearance	5.8	1.4846
attention	5.8	1.4846
attitude	5.8	1.5908
bean	5.8	1.3553
becomes	5.8	0.9476
belong	5.8	1.7023
brings	5.8	1.1066
caffeine	5.8	2.1571
changing	5.8	1.4428
climate	5.8	1.4286
commonly	5.8	1.3851
courses	5.8	1.3702
crib	5.8	1.5119
definition	5.8	1.178
determine	5.8	1.3401
director	5.8	1.4846
double	5.8	1.3702
dude	5.8	1.7023
entre	5.8	1.5119
establishing	5.8	1.3997
extended	5.8	1.2289
finding	5.8	1.2122
god's	5.8	2.2497
gradually	5.8	1.2122
group's	5.8	1.1952
grove	5.8	1.069
hai	5.8	1.4983
headed	5.8	0.8571
ice	5.8	1.4846
interior	5.8	0.8806
kentucky	5.8	1.2778
known	5.8	1.3851
league	5.8	1.1606
liberal	5.8	2.1665
lmao	5.8	1.8952
master's	5.8	1.4846
men's	5.8	1.3702
mix	5.8	0.9258
model	5.8	1.088
mostly	5.8	1.1606
mouth	5.8	1.1952
networks	5.8	1.3702
northeast	5.8	1.5119
outside	5.8	1.6782
paper	5.8	1.1952
pardon	5.8	1.6288
perceive	5.8	1.2778
pilots	5.8	1.4286
podcast	5.8	1.3401
practice	5.8	1.3401
psychology	5.8	1.3401
pumped	5.8	1.5908
rapid	5.8	1.2936
reconstruction	5.8	1.6036
rehearsal	5.8	1.2778
responsible	5.8	1.6537
roads	5.8	1.1066
root	5.8	1.2617
rubber	5.8	1.3553
sales	5.8	1.1066
sending	5.8	0.9258
shaped	5.8	1.2122
simultaneously	5.8	1.2617
spoke	5.8	0.9035
stock	5.8	1.1066
tended	5.8	1.1429
vivo	5.8	1.4983
vote	5.8	1.5779
wind	5.8	1.6036
write	5.8	1.4708
yellow	5.8	1.4569
seated	5.8	1.2204
behaviour	5.8	1.4139
description	5.8	1.1361
dimension	5.8	1.258
gender	5.8	1.2413
impulse	5.8	1.2244
involve	5.8	1.3382
maintaining	5.8	1.4997
manufacture	5.8	1.4286
occupation	5.8	1.5809
provinces	5.8	1.3382
quantity	5.8	1.3226
sentiment	5.8	1.9037
natives	5.79	1.458
thirty	5.79	1.1662
arch	5.79	1.3114
actions	5.78	0.8873
added	5.78	1.2982
additional	5.78	1.2501
admission	5.78	1.0359
ahhhh	5.78	1.8438
ambassador	5.78	1.5687
amber	5.78	1.5022
anna	5.78	1.2664
annie	5.78	1.4886
attributes	5.78	1.016
auction	5.78	1.5425
aware	5.78	1.4748
backup	5.78	1.3746
britain	5.78	1.8767
carefully	5.78	1.5292
century	5.78	1.4609
challenge	5.78	1.7177
characters	5.78	1.4039
colleague	5.78	1.3746
containing	5.78	0.9957
contest	5.78	1.4039
convince	5.78	1.1301
downtown	5.78	1.5158
drives	5.78	1.4039
ebay	5.78	1.7761
egyptian	5.78	1.5556
entering	5.78	1.016
featuring	5.78	1.0359
fed	5.78	1.4886
fibers	5.78	1.2824
fitted	5.78	1.3893
flows	5.78	1.3596
founding	5.78	1.4609
frequent	5.78	1.1119
having	5.78	1.016
hd	5.78	1.2982
hosted	5.78	1.3293
hottest	5.78	2.188
intervals	5.78	1.2982
inventory	5.78	1.4609
lift	5.78	1.0359
link	5.78	1.1119
lot	5.78	1.3746
march	5.78	1.2824
mare	5.78	1.3596
morality	5.78	1.799
newton	5.78	1.016
optical	5.78	1.1301
passages	5.78	1.2337
plasma	5.78	1.5556
plates	5.78	1.3293
poker	5.78	1.6073
pops	5.78	1.7058
possibly	5.78	1.2002
realized	5.78	1.4609
record	5.78	1.4039
resident	5.78	1.0934
respond	5.78	1.0554
rural	5.78	1.6573
shuttle	5.78	0.9322
society	5.78	1.4184
texts	5.78	1.4039
total	5.78	0.9538
trying	5.78	1.1657
uploaded	5.78	1.1301
various	5.78	0.864
volume	5.78	1.5022
wheel	5.78	0.9322
woo	5.78	1.5425
workers	5.78	1.183
workout	5.78	2.0829
yess	5.78	1.799
sober	5.78	1.9772
components	5.78	1.3733
defined	5.78	1.2122
flashing	5.78	1.6491
momento	5.78	1.6491
movin	5.78	1.2791
rollin	5.78	1.4033
rover	5.78	1.5037
vessel	5.78	1.2461
printing	5.77	1.3565
spatial	5.77	1.1713
corresponding	5.77	1.1075
accord	5.76	1.2382
afterwards	5.76	1.135
apparatus	5.76	1.2382
approaching	5.76	1.2216
boston	5.76	1.4923
brands	5.76	1.0984
characteristic	5.76	1.1168
city	5.76	1.546
coach	5.76	1.2382
commission	5.76	1.6483
continue	5.76	1.0214
continuing	5.76	1.2216
days	5.76	1.2382
deeply	5.76	1.598
describes	5.76	1.0797
diana	5.76	1.3933
discussing	5.76	1.7209
do	5.76	1.0606
eastern	5.76	1.4223
emotion	5.76	1.546
ensemble	5.76	1.2216
episode	5.76	1.3024
essentially	5.76	0.9596
everywhere	5.76	0.9381
experiment	5.76	1.2707
facilities	5.76	1.4507
functions	5.76	1.2382
ginger	5.76	1.7677
glass	5.76	1.2216
greece	5.76	1.6107
historical	5.76	2.056
horny	5.76	2.0159
install	5.76	1.4365
jessica	5.76	1.4923
just	5.76	1.6233
lamp	5.76	0.9806
lincoln	5.76	1.3933
magnitude	5.76	1.4223
maintain	5.76	1.0412
major	5.76	1.4223
makers	5.76	1.0012
makeup	5.76	1.7677
manor	5.76	1.3786
manual	5.76	1.3637
mechanisms	5.76	1.1168
michelle	5.76	1.4223
motion	5.76	1.4078
outfit	5.76	1.6107
oxford	5.76	1.3637
payments	5.76	2.1434
permitted	5.76	1.6358
