Word	eo
couch	sofo
cougar	lumo
cough	tuso
council	konsilio
councilman	magistratano
counsel	konsilo
counseling	konsilado
counsellor	konsilanto
counselor	konsilanto
count	kalkulu
countdown	rakontas malantaŭen
countenance	vizaĝo
counter	nombrilo
counteract	kontraŭstari
counterattack	kontraŭatako
counterbalance	kontrasto
counterclaim	kontraŭklami
counterfeit	falsa
counterpart	kontraŭparto
counterpoint	kontrapunkto
countess	grafino
countless	senfina
country	lando
countryman	samlandano
countrymusic	NO TRANSLATION
countryside	kamparo
counts	rakontas
county	graflando
coup	puĉo
coupe	coupe
couple	paro
coupled	kunigita
coupling	kunigo
coupon	kupono
courage	kuraĝo
courageous	kuraĝa
courier	kuriero
courses	kursoj
coursing	kurante
court	tribunalo
courteous	Ĝentila
courtesy	ĝentileco
courthouse	juĝejo
courtroom	kortumo
courts	tribunaloj
courtship	sekvantaro
courtside	korto
courtyard	korto
cousin	kuzo
cousins	kuzoj
cove	volbo
coven	coven
covenant	interligo
cover	kovrilo
coverage	kovrado
covered	kovrita
covering	kovrante
covert	kovrita
covet	avido
coveted	aviditaj
cow	bovino
coward	kovarda
cowardice	kardaleco
cowardly	kovarda
cowboy	cowboy
cowgirl	cowgirl
cowhand	vakuŝo
cowhide	kovrilo
cowl	vola
coworker	kompano de laboro
coy	kuraĝa
coyote	kojoto
cozy	komforta
crab	krabo
crabby	krabo
crack	fendo
cracked	fendita
cracker	kraketo
crackerjack	kraketjako
cracking	fendado
crackle	kraketo
crackpot	crackpot
cradle	bazita
craft	metio
crafts	manfaritaĵoj
craftsman	metiisto
craftsmanship	manfaritaĵo
crafty	ruza
craig	kraig
cram	cram
crammed	kaŝita
cramp	krampo
cramped	kruta
cranberry	arándano
cranberry juice	Oksikoka suko
crane	gruo
cranial	Kranio
cranium	kranio
crank	kranko
cranky	ĉagrenita
cranny	cranny
crap	plado
crappy	rappy
craps	krapoj
crash	kraŝo
crass	krasso
crate	krado
crater	kratero
crave	kuraĝu
craving	avido
crawfish	Kraketo
crawl	krako
crayon	kraono
crayons	krayoj
craze	ĉagreno
crazed	kuraĝita
craziness	kuraĝo
crazy	freneza
creak	krako
creaking	krii
cream	kremo
creamed	kremo
creamer	kremilo
creamy	kremo
crease	malplenigo
create	krei
creation	kreo
creative	kreema
creativity	kreemo
creator	kreinto
creature	infanino
credence	kredo
credential	credencial
credentials	Kreditoj
credibility	kredindeco
credible	kredebla
credit	kredito
credit card	kreditkarto
creditable	NO TRANSLATION
credited	akreditita
crediting	akreditanta
creditor	kreditoro
creed	kredo
creek	rivereto
creep	creep
creeper	creeper
creeping	rampante
creepy	creepy
cremation	kremado
creole	kriolulo
crepe	Krepo
crescendo	crescendo
crescent	kreskanta
crest	kresto
crestfallen	kriplaj
cretin	cretino
cretins	kretonoj
crevice	kruĉo
crew	ŝipanaro
crewman	ŝipanaro
crib	crib
cricket	kriketo
cried	kriis
crime	krimo
criminal	kriminala
criminality	kriminaleco
crimp	kripla
crimson	carmesí
cringe	kraĉas
cripple	maldika
crippled	kripla
crippling	maltrankviliga
crisis	krizo
crisp	klara
crispy	kruela
criterion	kriterio
critic	kritikisto
critical	kritikaj
criticise	kritiki
criticism	kritiko
criticize	kritiki
criticized	kritikita
critique	kritiko
critter	kritter
croak	krako
croc	kroko
crock	crock
crockery	vazoj
crocodile	krokodilo
croft	krado
croissant	croissant
crook	krimulo
crooked	kurbigita
crop	kropo
croquet	kroketo
cross	kruco
cross country	transirejo
crossbow	arbalesto
crossed	transirita
crossfire	transirejo
crossing	transirante
crossover	crossover
crosswalk	kruciĝo
crossword	kruco
crotch	kroĉu
crouch	kruĉu
crouched	kriis
crouching	kroĉante
croupier	croupier
crow	korvo
crowbar	korvo
crowd	amaso
crowded	amasigita
crowds	amasoj
crown	krono
crowning	kronante
crucial	kerna
cruciate	krucia
crucifix	krucifikso
crucifixion	krucigo
crucify	krucumi
crud	kruco
crude	kruda
cruel	kruela
cruelly	kruele
cruelty	krueleco
cruise	transepto
cruise ship	transepto
cruiser	transepto
cruising	transepto
crumb	panelo
crumble	krucumi
crumbling	disfaligante
crummy	kruela
crunch	krizo
crunchy	kruda
crusade	krucmilito
crusader	krucmilisto
crush	disbati
crushed	disbatita
crusher	crusher
crushing	disbatante
crust	ŝelo
crusty	kruda
crutch	krampo
crux	crux
cry	krii
crybaby	kripo
crying	kriante
crypt	kripto
cryptic	kripta
cryptography	kripto
crystal	kristalo
crystalline	Kristina
crystallization	Kristaligo
cub	kub
cubby	cubby
cube	kubo
cubic	kubaj
cubicle	kuplo
cuckold	kaŝita
cuckoo	kukolo
cucumber	kukumo
cuddle	kaŝi
cuddled	kaŝita
cuddles	kudroj
cuddling	kaŝante
cue	cue
cuff	maniko
cuisine	kuirejo
culinary	kulinara
cull	ruinigi
culminate	kulmini
culmination	kulmino
culpability	kulpobleco
culpable	kulpa
culprit	kulpa
cult	kulto
cultivate	kultivi
cultivated	kultivita
cultivation	kultivado
cultural	kultura
culture	kulturo
cultured	klera
culvert	kloako
cumbersome	ĝena
cumulus	kumulo
cunning	ruza
cunt	ripozo
cup	taso
cupboard	ŝranko
cupcake	cupcake
cupping	kaliko
cur	cur
curable	curabla
curate	kuraci
curative	kuracaj
curator	kuracisto
curb	kurbigi
curd	kudro
cure	kuraci
curfew	kurba
curiosity	vidindaĵo
curious	scivola
curl	buklo
curling	kurbiĝanta
currency	monero
current	aktuala
curriculum	currículum
curry	curry
curse	malbeno
cursed	malbenita
cursing	malbenante
cursory	kuraĝa
curt	curt
curtail	malplenigo
curtailment	mallongigo
curtain	kurteno
curtains	kurtenoj
curtsy	kurboplena
curvature	kurbeco
curve	kurbo
curved	kurbigita
curvilinear	curvilínea
cushion	kuseno
cushy	kusxaj
cusp	celoj
cuss	cuss
cussed	cussed
custard	kardardo
custodial	gardejo
custodian	gardisto
custody	gardado
custom	kutimo
customary	kutimita
customer	kliento
customized	personecigita
cut	tranĉita
cutaneous	tranĉa
cute	bela
cuticle	tranĉilo
cutie	kortego
cutlass	tranĉaĵo
cutlery	kuirilaro
cutoff	tranĉita
cutter	tranĉilo
cutters	tranĉiloj
cutthroat	tranĉa kato
cutting	tranĉante
cutting board	tranĉi tabulon
cuttings	tranĉaĵoj
cwt	cwt
cyanide	cianido
cyberspace	ciberespaco
cycle	ciklo
cyclical	cikla
cyclist	biciklanto
cyclone	ciklono
cylinder	cilindro
cylindrical	cilindraj
cymbal	cimbalo
cynic	ciniko
cynical	cinika
cynicism	cinismo
cyst	kesto
cystic	cisma
cytomegalovirus	citomegalovirus
cytoplasm	citoplasmo
czar	caro
dab	dab
dabble	dabla
dabbling	dabbling
dad	paĉjo
daddy	paĉjo
dado	NO TRANSLATION
daemon	demono
daft	daft
dagger	daga
daily	ĉiutage
dainty	dolĉa
daiquiri	daiquiri
dairy	laktejo
daisy	Lekanto
dak	NO TRANSLATION
dale	saltu
dam	digo
damage	damaĝo
damaged	damaĝita
damages	damaĝoj
dame	Donu min
damn	malbenita
damnation	damnado
damned	malbenita
damp	malseka
dampened	riĉigis
damper	Ampleksa
damsel	junulino
dance	dancu
dancer	dancisto
dancing	dancante
dandruff	pajlo
dandy	Dandy
danger	danĝero
dangerous	danĝera
dangerously	danĝere
dangit	NO TRANSLATION
dangle	dangle
dank	NO TRANSLATION
dapper	dapper
dare	kuraĝu
daredevil	Daredevil
daresay	Daresay
daring	aŭdaca
dark	malluma
darken	mallumiĝi
darkened	mallumigita
darkly	malhele
darkness	mallumo
darkroom	malluma ĉambro
darkside	malluma flanko
darling	kara
darn	darno
dart	sageto
dash	dash
dashboard	panelo
dashed	ĉesis
dashing	batante
dastardly	malĝoje
data	datumoj
database	Datumbazo
date	dato
datenight	NO TRANSLATION
daughter	filino
dawdle	Dawdle
dawn	tagiĝo
dawned	ekdormis
day	tago
daybreak	tagiĝo
daycare	kuracado
daydream	daydream
daydreaming	maldolĉante
daylight	taglumo
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	tage
daze	Daze
dazed	ĉagrenis
dazzle	malŝalti
dazzling	eklumante
deacon	diakono
deactivate	senaktivigi
dead	mortinta
deadbeat	mortinta
deadline	limdato
deadlines	limtempoj
deadlock	mortigo
deadly	mortiga
deaf	surda
deafening	surdante
deafness	surdeco
deal	trakti
dealer	negocisto
dealership	koncesio
dealing	traktante
dealings	interkonsentoj
dean	dekano
dear	kara
dearest	plej kara
dearth	frapo
death	morto
deathbed	mortita lito
deathly	morte
debacle	debakulo
debased	malfortiĝis
debatable	discutible
debate	debato
debauchery	debauchery
debenture	debenturo
debilitating	debilitante
debit	debito
debrief	informi
debriefing	informado
debris	restaĵoj
debt	ŝuldo
debtor	ŝuldanto
debut	debut
debutante	debutante
decade	jardeko
decadence	dekadenco
decadent	decadenta
decaf	Decaf
decanter	decanter
decathlon	decatlono
decay	dekadenco
decayed	dekadita
decaying	decayante
deceased	forpasita
decedent	dekkulpa
deceit	trompo
deceitful	trompema
deceive	trompi
deceived	trompita
deceiving	trompante
december	decembro
decency	decencia
decent	deca
deception	trompo
deceptive	trompaj
decide	decidas
decidedly	decideme
deciduous	deciduaj
decimal	decimala
decimeter	dekimetro
decipher	deĉifri
decision	decido
decisive	decida
deck	ferdeko
declaration	deklaro
declaratory	deklara
declare	deklaru
declination	dekadenco
decline	malkresko
declining	malkreskanta
deco	deco
decode	malkodi
decoder	decodilo
decompose	descompone
decomposed	descompuesto
decomposition	malkomponaĵo
decompress	malkompremi
decompression	descompresión
decontamination	senaktivigo
decor	dekoracio
decorate	ornami
decorating	ornamanta
decoration	dekoracio
decorative	ornama
decorator	decorador
decorum	decoro
decoy	ornami
decrease	malpliiĝi
decreased	malpliiĝis
decreasing	malpliiĝanta
decree	dekreto
decrement	dekremento
decrepit	malpermesita
decry	dekreti
decryption	senĉifriĝo
dedicate	dediĉi
dedication	dediĉo
deduce	dedukti
deduct	dedukti
deductible	deduktebla
deduction	depreno
deed	faro
deejay	Deejay
deem	juĝo
deep	profunda
deepen	enprofundiĝi
deer	cervoj
defamation	difamado
defamatory	difamatorio
default	defaŭlta
defeat	malvenko
defeated	venkita
defeatist	malvenkisto
defect	difekto
defection	malvenko
defective	malfavora
defector	venkinto
defend	defendu
defendant	akuzito
defended	protektita
defender	defendanto
defending	defendante
defense	defendo
defenseless	sendefenda
defensible	defensible
defensive	defenda
defer	forgesi
deference	deferencia
deferral	nuligo
deferring	prokrastante
defiance	defio
defiant	defia
defibrillator	defibrilo
deficiency	manko
deficient	mankas
deficit	deficito
define	difini
defined	difinita
definite	difinita
definition	difino
definitive	definitiva
deflate	deflui
deflation	deflacio
deflect	deflui
deflection	devio
defloration	deflorado
deform	deformi
deformed	deformita
deformity	deformo
defraud	fraŭdo
defray	defray
defrost	malkonstrui
deft	deft
defunct	forpasita
defuse	defui
defy	defii
degeneracy	degeneriĝo
degenerate	degeneras
degeneration	degeneracio
degradation	degradado
degrade	degradi
degraded	degradita
degrading	degradante
degree	grado
dehydrated	deshidratado
dehydration	deshidratación
dejected	deĵetita
delay	prokrasti
delayed	prokrastita
delectable	delektebla
delegate	delegita
delegation	delegacio
delete	forigi
deleterious	malutila
deletion	forigo
deli	deli
deliberate	diskutata
deliberation	diskuto
deliberative	deliberativa
delicacy	delikateco
delicate	delikata
delicatessen	delikatuloj
delicious	bongusta
delight	ĝojo
delighted	ĝojis
delightful	plaĉa
delineate	apartigi
delineation	difino
delinquency	deliktulo
delinquent	deliktulo
delirious	delirante
delirium	deliro
deliver	liveri
deliverance	savo
delivery	transdono
dell	dell
delta	delta
delude	deludas
deluge	diluvo
delusion	deluzado
delusional	delusional
deluxe	lukso
delve	delve
demand	postuli
demanding	postulante
demeaned	kondamnitaj
demeaning	trompante
demeanor	konduto
demented	demorita
dementia	demenco
demise	forpaso
demo	demo
democracy	demokratio
democrat	demokrato
democratic	demokratia
demographic	demografia
demolish	malkonstrui
demolished	malkonstruita
demolition	malkonstruo
demon	demono
demonic	demonia
demonstrable	pruvebla
demonstrate	pruvi
demonstrated	pruvita
demonstrating	pruvante
demonstration	pruvo
demonstrative	pruvo
demonstrator	pruvo
demoralized	malmoraligitaj
demos	ni donas
demure	forpasi
den	NO TRANSLATION
deniability	deniabilidad
denial	denegi
denied	neita
denim	denim
denomination	nomado
denominational	nomado
denominator	nomatoro
denote	signifi
denounce	denunci
dense	densa
density	denseco
dent	dent
dental	dentaj
dentist	dentisto
dentistry	dentologio
dentists	dentistoj
denunciation	denunco
deny	nei
denying	neante
deodorant	senodorigilo
depart	foriru
departed	foriris
department	fako
departmental	departamental
departure	foriro
depend	dependas
dependable	dependebla
dependant	dependa
dependence	dependeco
dependency	dependeco
dependent	dependa
depict	prezenti
depicting	prezentante
depletion	eksplodo
deplorable	deplorable
deplore	Deplore
deploy	disfaldi
deployment	deplojo
deport	deporti
deportation	deportado
depose	deponi
deposit	deponejo
depositary	deponaj
deposition	deponejo
depository	deponejo
depot	deponejo
depraved	depravita
depravity	depravado
depreciate	Depreciate
depreciated	deprecita
depreciation	Depreciación
depress	deprimita
depressed	deprimita
depressing	deprimante
depression	depresio
depressive	depresivo
depresson	NO TRANSLATION
deprivation	senigo
deprive	prirabu
deprived	privata
depth	profundo
deputy	deputito
derail	derail
deranged	ĉagrenita
derelict	forlasita
derision	mokado
derivation	derivado
derivative	derivaĵo
derive	derivas
dermal	dermaj
dermatologist	dermatologo
dermatology	dermatologio
derogation	nuligo
derogatory	nekonata
descend	descendi
descendant	posteulo
descendent	NO TRANSLATION
descending	posteulo
descent	deveno
describe	priskribi
description	Priskribo
descriptive	priskriba
desecrate	senkuragxigi
desecration	desecración
desert	dezerto
deserted	senhoma
deserter	deserter
desertion	malfideliĝo
deserve	meritas
deserved	meritis
deserving	meritinda
design	dezajno
designate	designate
designated	designado
designation	designado
designed	desegnita
designer	diseñador
designing	desegnante
desirability	deziro
desirable	dezirinda
desire	deziro
desiring	dezirante
desirous	deziras
desist	desist
desk	skribotablo
desolate	dezerta
desolation	dezerto
despair	malespero
despairing	malesperita
despatch	sendo
desperado	desesperado
desperate	senespera
desperation	malespero
despicable	malestiminda
despise	malestimu
despondent	maltrankvila
despotic	despota
despotism	despotismo
dessert	deserto
destination	destino
destined	destinita
destiny	destino
destitute	malriĉa
destroy	detruu
destroyed	detruitaj
destroyer	detruanto
destroying	detruante
destruct	detrui
destruction	detruo
destructive	destructiva
detach	mallongigu
detached	apartigita
detachment	taĉmento
detail	detalo
detailed	detala
details	detaloj
detain	deteni
detainee	detenita
detect	detekti
detectable	detektebla
detection	detekto
detective	detektivo
detector	detektilo
detention	aresto
deter	deteni
detergent	detergento
deteriorate	difektas
deteriorated	difektita
deteriorating	difektante
deterioration	difekto
determinable	determinable
determinate	determinita
determination	determino
determine	determini
determined	decidita
deterrent	malhelpi
detest	malfeliĉo
detestation	abomenado
detonate	detonu
detonation	detonado
detonator	detonador
detour	deturni
detract	detranĉi
detriment	malutilo
detrimental	malutila
detritus	detritus
deuce	Deuzo
deutschmark	elŝutita marko
devalued	devaluita
devastate	disvenki
devastated	disvenkita
devastating	devastador
devastation	devastado
develop	disvolvi
developer	programisto
developing	evoluanta
development	disvolviĝo
deviant	devigaj
deviate	devias
deviating	devanta
deviation	devio
device	aparato
devil	diablo
deviled	blasfemis
devilish	diablo
devious	malĝoja
devise	koncepton
devoid	carente
devolution	devolucio
devolve	redoni
devote	dediĉi
devoted	konsekrita
devotee	devotulo
devotion	sindediĉo
devotional	devora
devour	manĝu
devout	beata
dew	roso
dexter	dexter
dexterity	dexteridad
dextrose	Dextroso
diabetes	diabeto
diabetic	diabetika
diabolical	diabla
diagnose	diagnozi
diagnosis	diagnozo
diagnostic	diagnozo
diagnostics	diagnozo
diagonal	diagonala
diagram	diagramo
dial	dial
dialect	dialekto
dialectic	dialektika
dialogue	dialogo
dialysis	dializo
diameter	diametro
diamond	diamanto
diamonds	diamantoj
diaper	diaper
diaphragm	diafragmo
diarrhea	diareo
diarrhoea	diareo
diary	ĵurnalo
diatribe	diatribo
dib	NO TRANSLATION
dibs	dibs
dice	ĵetkuboj
dicey	dicey
dichotomous	dicotoma
dichotomy	dicotomio
dick	diko
dickhead	doko
dicks	vortoj
dictate	dikti
dictation	diktado
dictator	diktatoro
dictatorial	diktatora
dictatorship	diktatoreco
diction	prononco
dictionary	vortaro
dictum	NO TRANSLATION
didactic	pedagogia
diddle	Diddle
die	NO TRANSLATION
died	mortis
diesel	diésel
diet	dieto
dietary	dieta
differ	diferencas
difference	diferenco
differences	diferencoj
different	malsama
differential	diferencial
differentiation	diferencigo
differently	malsame
differing	malsama
difficult	malfacila
difficulties	malfacilaĵoj
difficulty	malfacilaĵo
diffuse	difusa
diffusion	disvastigo
dig	NO TRANSLATION
digest	digesti
digestion	digesto
digestive	digestiva
digit	cifero
digital	cifereca
dignified	digna
dignify	digna
dignity	digno
digress	fosi
digs	fosas
dike	duko
dilapidated	maldorma
dilatation	dilatado
dilation	dilatado
dildo	dildo
dilemma	dilemo
diligence	diligenteco
diligent	diligenta
dill	dolo
diluent	diluente
dilute	diluu
diluted	diluita
dilution	diluvo
dim	dim
dime	Dime
dimension	dimensio
dimensional	dimensia
diminish	malpliigi
diminished	malpliiĝis
diminution	malpliigo
diminutive	diminutivo
dimwit	malmultaj
din	NO TRANSLATION
dine	tagmanĝu
diner	manĝo
dinghy	Dinghy
dingo	Dingo
dingy	Dingy
dining	manĝante
dinky	maldika
dinner	vespermanĝo
dinnertime	dinnertime
dinosaur	dinosaŭro
dint	dint
diocesan	diocesano
diocese	diocezo
diorama	diorama
dioxide	dióxido
dip	trempu
diploma	diplomo
diplomacy	diplomatio
diplomat	diplomato
diplomatic	diplomatia
dipper	dipper
dippy	Dippy
dipstick	dipstick
dire	NO TRANSLATION
direct	rekta
directed	direktita
direction	direkto
directive	direktoro
directly	rekte
director	direktoro
directory	dosierujo
dirt	malpuraĵo
dirty	malpura
disability	malkapablo
disable	malebligi
disabled	malebligita
disadvantage	Malavantaĝo
disaffected	malkontentigita
disagree	ne konsentas
disagreeable	akra
disagreeing	malakceptante
disagreement	malkonsento
disallow	malakcepti
disallowed	malpermesita
disapointment	NO TRANSLATION
disappear	malaperas
disappearance	malapero
disappearing	malaperante
disappoint	seniluziiĝi
disappointed	seniluziigita
disappointing	seniluziiga
disappointment	seniluziiĝo
disapproval	malaprobo
disapprove	malaprobas
disapproved	malaprobis
disapproving	malaprobante
disarm	senarmigi
disarray	malŝarĝo
disaster	katastrofo
disastrous	desastrosa
disband	malfondo
disbelief	nekredemo
disbelieve	ne kredu
disburse	elspezi
disbursement	elspezo
disc	disko
discard	forĵeti
discarded	forĵetita
discards	forĵetas
discern	discerna
discernible	rimarkinda
discerning	scivola
discernment	discerno
discharge	alta
disciple	discxiplo
disciplinary	disciplinaj
discipline	disciplino
disciplined	disciplinita
disclaim	malklami
disclaimer	malvarmigo
disclose	malkaŝi
disclosed	malkaŝita
disclosure	malkaŝo
disco	disko
discoloration	decoloración
discolored	malkonstruita
discomfort	malkomforto
disconcerted	malkoncertigita
disconcerting	desconcertante
disconnect	malkonekti
disconnected	malkonektita
disconnection	desconexión
disconnects	disconnects
discontent	malkontenta
discontinuance	ĉesigo
discontinue	ĉesu
discontinuity	discontinuidad
discontinuous	malkontinua
discord	malakordo
discount	rabato
discounted	rabatita
discourage	senkuraĝigi
discouraged	senkuraĝigita
discouragement	senkuraĝigo
discouraging	desalentante
discourse	parolado
discover	malkovri
discovery	malkovro
discredit	senkreditiĝi
discredited	senkreditigita
discreet	NO TRANSLATION
discrepancy	discrepanco
discrete	diskreta
discretion	bontrovo
discretionary	discrekcia
discriminate	diskriminacii
discriminating	diskriminaciulo
discrimination	diskriminacio
discus	disko
discuss	diskuti
discussion	diskuto
disdain	maldono
disdainful	maldona
disease	malsano
diseased	malsana
disembodied	disembodied
disengage	malakcepti
disengagement	malaltiĝo
disfigured	desfigurado
disgrace	malhonoro
disgraced	ĉagrenita
disgraceful	hontinda
disgruntled	malfeliĉa
disguise	maskovesti
disguised	maskita
disgust	naŭzo
disgusted	ĉagrenita
disgusting	naŭza
dish	plado
disheartened	senkuraĝigita
disheartening	desalentador
dishonest	malhonesta
dishonesty	malhoneston
dishonor	malhonoro
dishonorable	malhonora
dishwasher	lavavajillas
disillusionment	elreviĝo
disinclination	malkonsento
disincline	malkaŝi
disinclined	malklara
disinfect	malinfekti
disinfectant	malinfektanto
disinfection	malinfekto
disinformation	malinformo
disingenuous	senĉese
disintegrate	malintegri
disintegration	malintegriĝo
disinterested	neprofitema
disjoint	malsama
disjointed	disigita
disjunctive	disjunktiva
disk	disko
diskette	disketo
dislike	malŝatas
disliked	malŝatata
disliking	malŝatante
dislocated	dislokita
dislocation	disloko
dislodge	malŝlosi
disloyal	malplena
disloyalty	malfideleco
dismal	malklara
dismantle	malmunti
dismay	konsterno
dismayed	timigita
dismemberment	desmembramiento
dismiss	eksigi
dismissal	maldungo
dismissive	eksigita
dismount	malakcepti
disobedience	malobeo
disobedient	malobeema
disobey	malobeo
disorder	malordo
disordered	malordigita
disorderly	senorda
disorganized	desorganizitaj
disorientation	desorientación
disoriented	desorientado
disown	malkonfirmita
disparage	ĉagreni
disparaging	malklara
disparate	malsama
disparity	disparidad
dispassionate	maluzita
dispatch	sendo
dispatcher	dispatcher
dispel	dispeli
dispensary	dispensario
dispensation	dispensado
dispense	forgesi
dispenser	dispensador
dispersal	disvastigo
disperse	disiĝi
dispersed	dissemita
dispersion	dispersion
dispirited	konfidita
displace	movi
displaced	delokitaj
displacement	movo
displacency	displacencia
display	montri
displease	malkontentigi
displeased	malkontenta
displeasure	malkontenta
disposable	desechable
disposal	dispozicio
dispose	forigi
disposed	disponita
disposition	dispozicio
dispossessed	forpelita
disprove	malpermesi
dispute	kverelo
disqualification	descalificación
disqualified	senkalkuligita
disqualify	malkalkuli
disquieted	maltrankvila
disregard	malakcepti
disregarded	malŝatita
disrelish	malŝalti
disreputable	nediskutebla
disrepute	senkompate
disrespect	malrespekto
disrespectful	malrespekta
disrupt	ĉagreni
disrupting	interrompante
disruption	interrompo
disruptive	disrupta
dissatisfaction	malkontenta
dissatisfied	malkontenta
dissect	disekti
dissection	disección
disseminate	disvastigi
dissemination	disvastigado
dissension	malkonsento
dissent	malkonsento
dissenting	disentante
dissertation	disertaĵo
disservice	malkontenta
dissident	disidento
dissimilar	malsimila
dissipate	dispeli
dissipated	dispelita
dissociation	disociación
dissociative	disocia
dissolution	malfondo
dissolve	dissolvi
dissonance	disonancia
dissuade	malakcepti
distal	distal
distance	distanco
distant	malproksima
distaste	distaste
distasteful	maltrankvila
distillate	distilita
distillation	destilado
distilled	distilita
distinct	distinga
distinction	distingo
distinctive	distinga
distinguish	distingi
distinguishable	distingebla
distinguished	distingita
distinguishing	distingante
distort	distordi
distorted	distordita
distortion	distordo
distract	distri
distracted	distrita
distracting	distri
distraction	distro
distraught	distrita
distress	aflikto
distressed	maltrankviligita
distressing	maltrankvila
distribute	distribui
distribution	dissendo
distributor	distribuisto
district	Distrikto
distrust	malkonfido
disturb	turbo
disturbance	tumulto
disturbed	maltrankviligita
disturbing	maltrankviligante
disuse	arkaikiĝo
disused	malkaŝita
ditch	fosilo
ditto	ditto
ditty	ditty
diurnal	taga
diva	diva
divan	NO TRANSLATION
dive	plonĝi
diver	buzo
diverge	diverĝo
divergence	diverĝo
divergent	diverĝa
diverging	diverĝanta
divers	diversoj
diverse	diversaj
diversified	diversigita
diversify	diversigi
diversion	amuzo
diversionary	amuza
diversity	diverseco
divert	deturni
diverting	deturnante
divest	eksalti
divested	malaperita
divestment	eksplodo
divide	dividi
divided	dividita
dividend	dividendo
divination	admirado
divine	dia
divinity	diaĵo
divisible	dividebla
division	divido
divisor	divizoro
divorce	eksedziĝo
divorcee	eksedziĝo
divulge	diskonigi
divvy	divvio
dizziness	mareon
dizzy	kapturna
do	faru
doable	doable
doc	dokumento
docile	malklara
dock	doko
docked	enŝovita
docket	docket
docking	docking
doctor	kuracisto
doctorate	doctorado
doctrinal	doktrino
doctrine	doktrino
document	dokumento
documentary	dokumenta filmo
documentation	dokumentado
documents	dokumentoj
dodge	Dodge
dodger	venger
dodging	ĉagrenante
dodgy	malĝoja
dodo	dodo
doe	faru
doer	faristo
dog	hundo
dogface	hundo
dogged	ĉagrenita
doggy	hundo
doghouse	doghouse
dogma	dogmo
dogmatic	dogma
dogsick	NO TRANSLATION
doings	agoj
doit	NO TRANSLATION
dojo	dojo
doldrums	Doldrums
dole	dole
doll	pupo
dollar	dolaro
dollhouse	Dollhouse
dolor	NO TRANSLATION
dolphin	delfeno
domain	domajno
dome	kupolo
domestic	hejma
domesticated	malsovaĝa
domestication	malsovaĝigo
domicile	domicilio
domiciled	domicilita
dominance	regado
dominant	reganta
dominate	regi
dominating	regante
domination	regado
dominatrix	dominatrix
dominion	regado
domino	domino
don	surmeti
donate	doni
donation	donaco
donkey	azeno
donor	donacanto
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	ne konsentu min
dontpanic	dontana
dontunderstand	NO TRANSLATION
doodle	doodle
doom	doom
doomed	kondamnita
doomsday	finfine
door	pordo
doorbell	pordo
doorknob	Doorknob
doorman	pordisto
doormat	pordo
doornail	pordo
doorstep	pordo
doorway	pordejo
dopamine	dopamino
dope	dope
dopey	dopey
dork	Dork
dorky	Dorky
dorm	dormo
dormant	dormema
dormitory	dormejo
dorsal	dorsa
dosage	dozo
dose	dozo
dossier	dosiero
dot	punkto
doting	Dotado
dotted	dotita
dotty	Dotty
double	duobla
doubled	duobligita
doublet	duobla
doubling	duobligante
doubt	dubo
doubtful	malcerta
doubting	dubante
doubtless	sendube
doubts	duboj
douche	douche
douchebags	Duĉambroj
dough	pasto
doughboy	Doughboy
doughnut	donut
dour	duru
douse	kuŝejo
dove	kolombo
down	malsupren
downcast	malŝparita
downer	malsupren
downfall	falita
downfield	malalta kampo
downhearted	maldolĉa
downhill	malsupren
download	elŝuti
downpour	malantaŭen
downright	dekstre
downriver	malsupreniro
downside	malfavora
downtime	malrapida tempo
downward	malsupren
downy	maldika
dowry	doto
doze	dolore
dozen	dekduo
drab	prirabi
draft	projekto
drafty	reto
drag	treni
dragon	drako
dragonfly	libelo
drain	malplenigi
drainage	drenado
drained	drenis
draining	drenante
drainpipe	drenopipe
drake	drako
drama	dramo
dramaqueen	NO TRANSLATION
dramatic	drama
drape	drape
drapery	draper
drastic	drastajn
drat	NO TRANSLATION
draught	projekto
draw	desegni
drawback	malavantaĝo
drawbridge	ponteto
drawer	kesto
drawers	kestoj
drawing	desegno
dread	timu
dreaded	timigita
dreadful	terura
dreadfully	terure
dreading	timanta
dream	sonĝo
dreamboat	songboat
dreamer	soñador
dreaming	sonĝante
dreamland	sonĝo
dreams	sonĝoj
dreamt	sonĝis
dreamy	sonĝema
dreary	maldika
dredge	kraĉas
drenched	eksplodis
dress	vesti
dresser	vestisto
dressmaker	vestisto
dressy	vestita
dribble	NO TRANSLATION
dried	sekigita
drier	pli seka
drift	derivas
drifted	drifis
drifter	drifilo
driftwood	tritiko
drill	taladro
drink	trinku
drinker	trinkanto
drinking	trinkante
drinks	trinkas
drip	tripu
dripping	gutas
drive	stirado
drivel	drivel
driver	ŝoforo
driveway	aŭtovojo
drizzle	pluviĝo
droll	trolo
drone	drone
drones	ŝtonoj
drool	drool
drooping	malrapide
droopy	dropo
drop	guto
droplet	guteto
dropout	ellasilo
dropper	gutisto
drought	sekeco
drove	NO TRANSLATION
drown	sufokas
drowsiness	somnolo
drowsy	Drowsy
drudgery	malpuraĵo
drug	drogo
drug dealing	drogoj
drugged	drogata
druggist	apotekisto
drugs	drogoj
drugstore	drogisto
druid	druid
drum	tamburo
drummer	baterista
