Word	my
espresso	အိတ္စပရပ္
esprit	esprit
esquire	esquire
essay	စာစီစာကုံး
essayist	essayist
essence	အနှစ်သာရ, အချုပ်
essential	မရှိမဖြစ်
essentially	မရှိမဖြစ်လိုအပ်တဲ့
establish	တည်ထောင်
established	ထူထောင်
establishment	တည်ထောင်ခြင်း
estate	အိမ်ခြံမြေ
esteem	လေးစားမှု
esteemed	လူအများကလေးစား
esthetic	esthetic
estimable	ခန့်မှန်း
estimate	ခန့်မှန်း
estimation	ခန့်မှန်းချက်
estoppel	estoppel
estranged	ရိုင်းစိုင်း
estrogen	အီစရိုဂျင်
estuary	မြစ်ဝ
etch	စွဲ
etching	စွဲ
eternal	နိစ္စထာဝရ
eternity	ထာဝရကလာ
ethanol	အီသနော
ether	အီ
ethereal	အီ
ethic	ကျင့်ဝတ်
ethical	ကျင့်ဝတ်ဆိုင်ရာ
ethics	ကျင့်ဝတ်
ethnic	တိုင်းရင်းသား
ethnography	ethnography
etiology	etiology
etiquette	လောကဝတ်
etymology	အင်္ဂလိပ်
eucalyptus	ယူကလစ်
euchre	euchre
eugenics	Eugene
eulogistic	eulogistic
eulogium	eulogium
eulogize	eulogize
eulogy	eulogy
euphemism	စကားလုံးနုလှတွေနဲ့
euphoria	Euphoria ပီတိ
euphoric	ပျော်ရွှင်ဖွယ်
euro	ယူရို
euthanasia	euthanasia
evacuate	ထွက်ခွါသွားစေ
evacuation	ထွက်ခွါသွားစေခြင်း
evade	ရှောငျ
evaluate	ခန့်မှန်း
evaluation	အကဲဖြတ်
evanescence	evanescence
evangelical	ဧဝံဂေလိ
evangelist	ဧဝံဂေလိဆရာ
evangelistic	ဧဝံဂေလိ
evaporate	အခိုးအငှေ့ဖွစျ
evaporation	ရေငွေ့ပျံ
evasion	ရှောငျခွငျး
evasive	ကှေ့လညျကွောငျပတျဖွစျသော
eve	အကြို
evening	ညနေ
evens	NO TRANSLATION
event	အဖြစ်အပျက်
eventful	အဖြစ်အပျက်များသော
eventual	အကုန်းဆုံးဖြစ်သော
eventuality	နောက်ဆုံးမှာ
evergreen	အမြဲစိမ်း
everlasting	နိစ္စထာဝရ
evermore	အစဉ်မပြတ်
everyday	နေ့တိုင်း
everyman	everyman
evict	နျင်ထုတ်
eviction	နှင်ထုတ်ခြင်း
evidence	သက်သေ
evident	ထင်ရှား
evidentiary	evidentiary
evil	ဆိုးသော
evoke	ကျလာသော
evolution	အဆင့်ဆင့်ဖြစ်ပျက်ခြင်း
evolutionary	ဆင့်ကဲဖြစ်စဉ်
evolve	တဖြည်းဖြည်းတိုးတက်ပြောင်းလဲ
ewe	သိုး
ex	ဟောင်း
exacerbate	ပိုမိုဆိုးရွား
exacerbation	exacerbation
exact	အတိအကျ
exacting	အတိအကျ
exaggerate	ချဲ့ထွင်
exaggerated	ပုံကြီးချဲ့
exaggeration	ချဲ့ထွင်ခြင်း
exalt	ချီးမြှောက်
exaltation	လို့လညျး
exalted	ခြီးမွှော
exam	စာမေးပွဲ
examination	စာမေးပှဲ
examine	ဆနျးစစျ
examiner	စစျဆေး
example	နမူနာ
exasperated	အလွန်ဒေါသထွက်လာတဲ့
exasperation	ခက်
excavate	တူး
excavation	တူးခြင်း
excavator	တူးခြင်း
exceed	ကျြောလှနျ
exceeding	ကျော်လွန်
excel	Excel
excellence	သာလွန်ကောင်းမွန်မှု
excellent	အလွန်ကောင်းမွန်သော
excelsior	excelsior
excepting	excepting
exception	ချွင်းချက်
exceptional	ထူးခြားသော
excerpt	ကောက်နုတ်ချက်
excess	ပိုမိုခြင်း
excessive	ပိုမိုသော
excessively	အလွန်အကျွံ
exchange	လဲလှယ်
excise	ယစ်မျိုး
excision	ယစ်မျိုး
excitability	စိတ်လှုပ်ရှားဖွယ်
excitable	စိတ်လှုပ်ရှားဖွယ်
excitation	စိတ်လှုပ်ရှားဖွယ်
excite	နှိုးဆျော
excited	ထကြွသော
excitement	ထကြွခြင်း
exciting	ထကြွဘွယ်ဖြစ်သော
exclaim	Exclaim
exclamation	အာမေဍိတ်
exclude	ထုတ်ပယ်
excluded	ဖယ်ထုတ်ထား
excluding	ဖယ်ထုတ်ပြီး
exclusion	ထုတ်ပယ်ခြင်း
exclusive	အထူးအခွင့်အရေးရှိသော
excrement	မစင်
excretion	မစင်
excruciating	မချိမဆံ့
excursion	လှည့်လည်သွားလာခြင်း
excuse	ခွင့်လွှတ်
exec	အမှုဆောင်အရာရှိ
execute	သတ်
execution	သတ်ခြင်း
executioner	အာဏာ
executive	အုပ်ချုပ်ရေး
executor	executor
exegesis	exegesis
exemplar	စံနမူနာ
exemplary	စံထား
exemplify	နမူနာယူ
exempt	လွတ်လပ်သော
exemption	လွတ်ကင်းစေခြင်း
exercise	လေ့ကျင့်
exert	ကွိုးစားအားထု
exertion	ခေတ္တခဏ
exhale	ကုတျ
exhaust	ကုန်ခန်း
exhausted	မောပန်းသော
exhaustion	ကုန်ခန်းခြင်း
exhaustive	ပြည့်စုံစေ့စပ်
exhibit	တင်ပြ
exhibition	ပြပွဲ
exhilarated	ရတာဟာ
exhilarating	ရတာဟာ
exhilaration	ရတာဟာ
exhort	တိုက်တွန်းနှိုးဆော်
exhortation	တိုကျတှနျးနှိုးဆျော
exhumation	exhumation
exhume	exhume
exigent	NO TRANSLATION
exile	ပြည်ပရောက်
exist	တည်ရှိ
existence	တည်ရှိမှု
existent	တည်ရှိ
existential	ဖြစ်တည်မှု
existing	တည်ဆဲ
exit	ထွက်ပေါက်
exodus	အစုလိုက်အပြုံလိုက်
exonerate	exonerate
exorbitant	မတန်တဆ
exorcism	အဲ့လိုမျိုးလုပ်ဆောင်
exorcist	Exorcist
exotic	တိုင်းတပါးမှယူဆောင်ခဲ့သော
expand	တိုးချဲ့
expanded	တိုးချဲ့
expanse	မျက်နှာကြက်
expansion	ချဲ့ထွင်မှု
expansive	ကျယ်ပြန်
expatriate	ပြည်ပရှိ
expect	မျှော်လင့်ထား
expectance	မြျှောလငျ့
expectancy	မျှော်မှန်း
expectant	မျှော်
expectation	မျှော်လင့်
expected	မျှော်လင့်ထားသည့်
expecting	မျှော်လင့်
expediency	အားလျြောစှာ
expedient	မည်မျှပင်
expedite	အလျင်စလို
expedition	လေ့လာရေးအဖှဲ့
expeditious	လျင်မြန်စွာ
expel	ထုတ်ပယ်
expendable	မှန်သမျှကိုအ
expenditure	သုံးငှေ
expense	သုံးငှေ
expenses	ကုန်ကျစရိတ်
expensive	စျေးကြီး
experience	အတှေ့အကွုံ
experienced	အတွေ့အကြုံရှိ
experiences	အတွေ့အကြုံများ
experiment	စမ်းသပ်မှု
experimental	စမ်းသပ်ဆဲ
experimentation	လက်တွေ့စမ်းသပ်ချက်
experimenter	စမ်းသပ်
expert	ကျွမ်းကျင်သူ
expertise	ကျွမ်းကျင်မှု
expiration	ထွက်သက်ရှူခြင်း
expire	ထွက်သက်ရှူ
expired	သက်တမ်းကုန်ဆုံး
expiry	သက်တမ်းကုန်ဆုံး
explain	ရှင်းပြ
explanation	ရှင်းပြချက်
explanatory	ရှင်းလင်း
expletive	expletive
explication	explication
explicit	ရှင်းလင်းပြတ်သားစွာ
explode	ပေါကျကှဲ
exploit	exploit
exploitation	အသုံးပြုခြင်း
exploration	ရှာဖွေရေး
exploratory	ရေနံဓါတ်ငွေ့ရှာဖွေရေး
explore	စူးစမ်းလေ့လာ
explorer	စူးစမ်းသူ
explosion	ပေါကျကှဲခွငျး
explosions	ပေါက်ကွဲသံ
explosive	ပေါကျကှဲစတေတျသော
expo	ကုန်စည်ပြပွဲ
exponent	ထပ်ကိန်း
exponential	အဆ
export	ထုတ်ကုန်
exportation	များသို့တင်ပို့ရောင်းချခြင်း
expose	ကျရောက်စေ
exposed	ထိတွေ့
exposition	Exposition
expository	expository
exposure	ထိတွေ့မှု
expound	တှေ့
express	ဖော်ပြ
expression	စကားရပ်
expressive	ဖော်ပြ
expressway	အမြန်လမ်း
expropriation	expropriation
expulsion	ထုတ်ပယ်ခြင်း
exquisite	လက်ရာမြောက်သော
exquisitely	အကောငျးဆုံး
extant	extant
extend	တိုးချဲ့
extendable	ရှည်ထုတ်
extended	တိုးချဲ့
extension	extension ကို
extensive	ကျယ်ဝန်းသော
extent	အကျယ်အဝန်း
exterior	ပြင်ပဖြစ်သော
exterminate	ဖျက်သိမ်း
extermination	ဖျက်သိမ်းခြင်း
exterminator	ဖျက်သိမ်းခြင်း
external	ပြင်ပ
externally	ပြင်ပမှ
extinct	မျိုးသုဉ်း
extinction	မျိုးသုဉ်း
extinguish	ငြိမ်းအေး
extinguisher	မီးသတ်ဘူး
extol	ခြီးမွှော
extort	မျှအနိုင်အထက်
extortion	ငွေညှစ်
extra	အပို
extract	ထုတ်ယူ
extracting	extracting
extraction	ထုတ်ယူခြင်း
extractor	extractor
extracurricular	သင်ရိုးညွှန်းတမ်းများ
extradition	သတ်မှုများလျော့ချ
extrajudicial	ဥပဒေမဲ့
extramural	extramural
extraneous	ဆိုတဲ့စကားလုံးမလိုတော့ဘူး
extraordinaire	extraordinaire
extraordinary	ထူးခြားသော
extraterrestrial	ဂြိုဟ်သား
extravagance	သာမန်ထက်
extravagant	သာမန်ထက်
extravaganza	extravaganza
extreme	အစွန်းရောက်
extreme anticipation	အစွန်းရောက်မျှော်လင့်
extreme disgust	အစွန်းရောက်ရွံရှာ
extreme surprise	အစွန်းရောက်အံ့အားသင့်
extreme trust	အစွန်းရောက်ယုံကြည်မှု
extremely	အလွန်
extremely negative	အလွန်အနုတ်လက္ခဏာ
extremely positive	အလွန်အပြုသဘောဆောင်တဲ့
extremity	စှ
extricate	extricate
extrinsic	extrinsic
extrusion	extrusion
exuberance	exuberant
exude	ပျံ့
eye	မျက်လုံး
eyeball	မကျြဆ
eyebrow	မျက်ခုံး
eyeful	eyeful
eyeglass	မျက်မှန်
eyeglasses	မျက်မှန်
eyelash	မကျြတောငျမှေး
eyelet	eyelet
eyeliner	eyeliner
eyepiece	eyepiece
eyes	မျက်စိ
eyesight	အမြင်အာရုံ
eyewitness	ကိုယျတှေ့မကျြမွငျ
fab	fab
fable	ဒဏ္ဍရီ
fabled	fabled
fabric	အထည်အလိပ်
fabricate	လီဆယ်
fabricated	လုပ်ကြံ
fabrication	လုပ်ကြံလီဆယ်မှုများ
fabulous	ဒဏ္ဍရီကဲ့သို့သော
facade	မျက်နှာစာ
face	မျက်နှာ
faceless	faceless
facet	အကောင်အထည်ဖော်မည်ဟုဆိုသည်
facial	မျက်နှာ
facile	NO TRANSLATION
facilitate	လွယ်ကူချောမွေ့
facility	စက်ရုံ
facing	facing
facsimile	ဖက်စ်
fact	အချက်အလက်
faction	အဖွဲ့ခွဲ
factor	အချက်
factory	အလုပ်ရုံ
facts	ဖြစ်ရပ်မှန်များ
factual	အဖြစ်မှန်
faculties	မဟာဌာန
faculty	အစွမ်း
fad	fad
fade	ညှိုးနှမျး
faded	မှေးမှိန်
faeces	မစင်
fag	fag
faggot	fagot
fail	ဆုံးရှုံး
failing	ပျက်ကွက်
failure	မအောင်မြင်ခြင်း
fain	NO TRANSLATION
faint	အားနည်းသော
fainting	နေခြင်းဖြင့်သတိလစ်
fair	တရားမျှတတဲ့
fairly	မျှတစွာ
fairness	တရားမျှတမှု
fairway	fairway
fairy	နတ်သမီး
faith	ယုံကြည်ခြင်း
faithful	သစ္စာနှင့်ပြည့်စုံ
faithfulness	သစ္စာစောင့်ခြင်း
faithless	ဖောက်ပြန်သော
fake	အတု
faker	faker
falafel	Falafel
falcon	သိမ်းငှက်
fall	ကျ
fallacious	မှားယွင်းတဲ့သုံးသပ်အကဲဖြတ်ချက်တွေအပေါ်
fallacy	မှားယွင်းတဲ့သုံးသပ်အကဲဖြတ်ချက်တွေအပေါ်
fallback	နောက်ပြန်ဆုတ်သည်
fallible	fallible
falling	ထိ မိ. လဲ
fallopian	fallopian
fallout	ကျွတ်ထွက်သည်
fallow	မြေလွတ်
false	အတုအယောငျ
falsehood	မုသာ
falsely	မဟုတ်မမှန်
falsification	မမှန်မကန်ပြုလုပ်မှု
falsified	လိမ်
falsify	တွင်မှအမှား
falsity	falsity
falter	စိတ်ပျက်
fame	ကျြောစောခွငျး
famed	famed
familiar	အကျွမ်းတဝင်
familiarity	ကျွမ်း
familiarize	ရင်းနှီးကျွမ်းဝင်
family	မိသားစု
familytime	မိသားစုအချိန်
famine	အငတ်ဘေး
famished	သူ၏နာမည်ကို
famous	ကျြောစောသော
famously	နာမည်ကြီး
fan	ပန်ကာ
fanatic	အယူသန်သော
fanatical	စိတ်ကူးယဉ်ဆန်ဆန်
fanaticism	တယူသန်
fanciful	စိတ်ကူးယဉ်
fancy	ဖန်စီ
fandango	Fandango
fanfare	ကြီးကျယ်ခမ်းနား
fang	NO TRANSLATION
fangs	အစွယ်
fanning	Fanning
fantasia	fantasia
fantasize	ယဉျ
fantastic	ထူးဆန်းသော
fantasy	စိတ်ကူးစိတ်ကမ်း
faraway	အဝေးမှာ
farce	FARC
farcical	farcical
fare	အခ
farewell	ခှဲခှါခွငျး
farm	လယ်ယာ
farmer	လယ်သမား
farmhouse	လယ်ယာအိမ်
farming	စိုက်ပျိုးရေး
farmland	လယ်
faro	ဖာရို
fart	fart
farther	ထပ်မံ.
fascia	fascia
fascinate	fascinate
fascinated	ဆွဲဆောင်
fascinating	ညှို့တတျသော
fascination	ညှို့ခွငျး
fascism	ဖက်ဆစ်ဝါဒ
fascist	ဖက်ဆစ်
fashion	ဖက်ရှင်
fashionable	ဖက်ရှင်
fastball	fastball
fasten	ခညျြနှောငျ
fastener	ဆွဲထား
fastening	ခညျြနှောငျ
fasting	အစာရှောင်ခြင်း
fat	ဆီ
fatal	မလှမရှောငျနိုငျသော
fatalism	မလှမရှောငျနိုငျသော
fatality	သေဆုံးမှု
fate	ကြမ္မာ
fated	ကြမ္မာ
fateful	ကံကောင်း
fathead	fathead
father	ဖခင်
fatherhood	fatherhood
fatherland	သား
fatherly	ဖခငျ
fathom	ကု
fatigue	မောပန်းခြင်း
fatigued	အတန်ငယ်
fatso	fatso
fatten	မွေးမြူရေးလုပ်နေကြရသော
fatty	အဆီများသော
faucet	ရေပိုက်ခေါင်း
fault	ချွတ်ယွင်းချက်
faultless	မေးပြန်သော်
faulty	ပျက်ယွင်းနေ
faun	faun
fauna	မန်များ
faux	faux
favor	ကြေးဇူး
favorable	အခွင့်ကောင်းသော
favorite	အကြိုက်ဆုံး
favoriteholiday	NO TRANSLATION
favoritism	မျက်နှာကို
fawn	ဒရယ်ငယ်
fax	ဖက်စ်
faze	NO TRANSLATION
fear	ကြောက်ရွံ့သောစိတ်
feared	ကွောကျရှံ့
fearful	ကြောက်မက်ဘွယ်သော
fearfully	ကြောက်လ
fearing	ကွောကျရှံ့သော
fearless	ရဲရင့်သော
fears	စိုးရိမ်မှုတွေ
fearsome	ကွော
feasibility	ဖြစ်နိုင်ခြေ
feasible	ဖြစ်နိုင်သော
feast	ထိုပွဲကိုခံ
feat	စွန်စားမှု
feather	ကွကျငှကျအမှေးအတောငျ
feathered	အမွေးတောင်များ
feature	လက္ခဏာ
features	အင်္ဂါရပ်များ
febrile	febrile
fecal	fecal
feces	မစင်
fecundity	fecundity
fed	အောင်ကျွေး
federal	ဖက်ဒရယ်
federation	ပြည်နယ်စု
fedup	NO TRANSLATION
fee	ကြေး
feeble	အားနည်းသော
feed	အစာ
feedback	တုံ့ပြန်ချက်
feeder	လမ်းခွဲ
feel	ခံစား
feelgood	feelgood
feeling	ခံစားချက်
feelingdown	NO TRANSLATION
feelinggood	NO TRANSLATION
feet	ခြေဘဝါး
feign	ဟနျဆောငျ
feigned	ဆောငျ
feisty	feisty
felicity	felicity
feline	feline
fell	သကျ
feller	feller
fellow	သူချင်း
fellowship	မိဿဟာယ
felon	felon
felony	ရာဇဝတ်ပြစ်မှုကြီး
felt	ခံစားခဲ့ရ
female	အမြိုးသမီး
feminine	ဣတ္တိလိင်
femininity	ဣတ္တိလိင်
feminism	အမျိုးသမီးတိုက်ပွဲ
feminist	အမျိုးသမီး
femme	NO TRANSLATION
femoral	femoral
femur	ပေါငျရိုး
fen	NO TRANSLATION
fence	အကာ
fenced	ခိုင်ခံ့သော
fencing	ခြံစည်းရိုး
fend	ရပျတညျ
fender	အကာအရံ
fennel	စမုန်နက်
ferment	အချဉ်ဖောက်
fermentation	ကစော်ဖောက်ခြင်း
fern	ဖမ်
ferocious	ကွမျးကွု
ferocity	ရက်စက်သော
ferret	ပြပေး
ferry	ကူးတို့
ferryboat	NO TRANSLATION
fertile	မွေသွဇါကောငျးသော
fertility	ကလေးမွေးဖွား
fertilize	မွေသွဇါခြ
fertilizer	မွေသွဇါ
fervent	အားကြီးသော
fervor	လုပ်ရပ်တွေဟာ
fess	fess
fest	ပွဲတော်တွင်
festival	ပွဲတော်
festive	ပွဲလမ်းသဘင်
fetal	သန္ဓေသား
fetch	ဆွဲယူ
fete	NO TRANSLATION
fetish	fetish
fetus	သန္ဓေသား
feud	ရန်ငြိုးထားခြင်း
feudal	ပဒေသရာဇ်
feudalism	ပဒေသရာဇ်
fever	အဖျားရောဂါ
feverish	feverish
fiancee	NO TRANSLATION
fiasco	fiasco
fiat	Fiat
fib	fib
fiber	အမှငျြ
fiberglass	ဖိုက်ဘာမှန်
fibrosis	fibrosis
fibrous	fibrous
fickle	အပွောငျးအလဲ
fiction	စိတ်ကူးယဉ်
fictional	စိတ်ကူးယဉ်
fictitious	မမှန်သော
fiddle	တရော
fiddler	တရောသမား
fidelity	သစ္စစောင့်ခြင်း
fidgety	fidgety
fiduciary	ကြီးကြပ်အုပ်ချုပ်
field	လယ်ယာ
field hockey	လယ်ပြင်ဟော်ကီ
fielder	Fielder
fiend	fiend
fiendish	fiendish
fierce	ပြင်းထန်သော
fiery	မီး
fiesta	fiesta
fiesty	NO TRANSLATION
fifteen	တဆယ်
fifty	ငါးဆယ်
fig	သဖန်းသီး
fight	တိုကျပှဲ
fighter	တိုက်လေယာဉ်ပျံ
fighting	တိုက်ပွဲများ
fights	တိုက်ပွဲတွေလည်း
figment	figment
figurative	ပုံဆောငျ
figure	ဂဏန်း
figurine	ရုပ်
filament	ဝိုင်ယာကြိုး
filamentous	နန်းကြိုးအမျှင်လေးများ
file	ဖိုင်
filet	filet
filibuster	filibuster
filigree	နန်း
filing	ပုံစံတင်ပို့ရန်
filings	FILE
fill	ဖြည့်
filler	Filler
fillet	လွှာ
filling	ဖြည့်ခြင်း
filly	filly
film	ရုပ်ရှင်
filmmaker	ရုပ်ရှင်ဒါရိုက်တာ
filmy	NO TRANSLATION
filter	ရေစစ်
filth	အညစျအကွေး
filthy	ညစ်ညမ်းသော
filtration	filtration
fin	NO TRANSLATION
final	နောက်ဆုံး
finale	ဇာတျသိမျး
finalist	ဗိုလ်လုပွဲ
finality	အဆုံးသတ်ရလဒ်
finalize	အပြီးသတ်
finalized	အပြီးသတ်
finally	နောက်ဆုံး
finance	ဘဏ္ဍာရေး
financial	ဘဏ္ဍာရေး
financier	ငွေကြေးထောက်ပံ့
finch	Finch
find	ရှာတွေ့
finder	Finder
finding	တွေ့ရှိချက်
fine	ကောင်းသော
finery	finery
finesse	finesse
finger	လကျခြောငျး
fingernail	လက်သည်း
fingerprint	လက်ဗွေရာ
fingerscrossed	NO TRANSLATION
finish	အပြီးသတ်
finished	ချော
finite	ကနျ့
fink	Fink
fir	ထင်းရူး
fire	မီး
firearm	သေနတ်
firearms	သေနတ်
fireball	ဖားရားဘောလ်
firecracker	firecracker
firefight	အပြန်အလှန်ပစ်ခတ်ကြ
firefighter	မီးသတ်သမား
firefly	ပိုးစုန်းကြူး
firehouse	firehouse
firelight	မီးကို
fireman	မီးသတ်သမား
fireplace	မီးဖို
firepower	စွမ်းအား
fireproof	fireproof
fireside	fireside
firestorm	firestorm
firewall	firewall က
firewood	ထင်း
firework	မီးကျည်မီးပန်း
fireworks	မီးကျည်မီးပန်း
firing	ပစ်ခတ်ရန်
firm	ခိုင်မာသော
firmament	ကြက်
firmly	ခိုင်မြဲစွာ
firmness	ခိုင်မာသော
first	ပဌမ
firstborn	သားဦး
firstworldprobs	NO TRANSLATION
fiscal	ဘဏ္ဍာရေးနှစ်
fish	ငါး
fisherman	တံငါ
fishery	ရေထွက်ကုန်
fishing	ငါးဖမ်း
fishing boat	ငါးဖမ်းလှေ
fishy	fishy
fissile	fissile
fission	fission
fissure	တွင်း
fist	လက်သီး
fistfight	fistfight
fistful	လက်သီး
fistula	fistula
fit	တော်အောင်ပြုပြင်
fitness	အသုံးပြုနိုင်မှု
fits	ကိုက်ညီတဲ့
fitted	တပ်ဆင်
fitting	တော်အောင်ပြုပြင်ခြင်း
fittings	fittings
five	ငါး
fiver	fiver
fix	ပုံသေတပ်ထား
fixable	fixable
fixation	fixation
fixed	သတ်မှတ်ထားတဲ့
fixer	fixer
fixture	ကရိယာ
fixtures	လ်တာ
fizz	fizz
fjord	fjord
flabbergast	ယာဉ်မှူးတော့ဒုက္ခ
flabbergasted	ယာဉ်မှူးတော့ဒုက္ခ
flabby	flabby
flaccid	flaccid
flag	အလံ
flagging	အလံတင်သည့်
flagpole	flagpole
flagrant	ပြောင်
flagship	စွမ်းဆောင်ရည်မြင့်
flagstaff	င်း, ဖြစ်ရသည်
flair	အသွင်
flak	flak
flake	အလွှာ
flaky	မမြဲသော
flamboyant	flamboyant
flame	မီးတောက်
flamethrower	flamethrower
flaming	လျှံ
flamingo	Flamingo
flammable	မီးလောင်လွယ်
flan	flan
flange	အနားကွပ်
flank	နံ
flanked	flanked
flanking	flanking
flannel	flannel
flap	လက်ခုပ်တီးခြင်း
flapping	flapping
flare	မီးရောင်လက်ခြင်း
flares	နေမီးတောက်
flaring	ရုတ်တရက်
flash	flash ကို
flashback	နောက်ကြောင်းပြန်သတိရခြင်း
flashing	မှိတ်တုတ်မှိတ်တုတ်
flashlight	လကျဆှဲမီးအိမျ
flashy	ဆွဲဆောင်မှုရှိသော
flask	ဘူး
flat	ပြားသော
flatbed	flatbed
flatfoot	flatfoot
flatness	ပြားသော
flatten	ပြားစေ
flatter	မွှောကျ
flattered	မွှောကျ
flattering	ချော့မော့
flattery	အမြှောက်
flatulence	လေ
flaunt	flaunt
flavor	အရသာ
flaw	အကှဲ
flawed	ချို့ယွင်းချက်
flawless	အပြစ်တင်စရာမရှိသော
flea	ခှေးလှေး
fleabag	fleabag
fled	ထွက်ပြေးတိမ်းရှောင်
flee	ထှကျပွေး
fleece	မွေး
fleet	သငေ်္ဘာစု
fleeting	ခဏ
flesh	အသား
fleshy	fleshy
flex	Flex
flexibility	ပြောင်းလွယ်ပြင်လွယ်
flexible	ကှေးနိုငျသော
flexin	flexin
flexion	flexion
flick	ဇာတ်ကား
flicker	တုန်ခါမှုတွေ
flickering	ပြတ်တောင်းပြတ်တောင်း
flier	လက်ကမ်းကြော်ငြာတွေက
flight	လေယာဉ်ခရီးစဉ်
flighty	flighty
flimsy	flimsy
flinch	flinch
fling	စိုကျပစျ
flint	မီးကျောက်
flip	လှန်
flip flop	ညှပ်ဖိနပ်
flipper	ယေကျတောငျမြား
flipping	Flip
flirt	ပရောပ
flirtation	flirtation
flirting	ပရောပရည်
flirty	flirty
float	မြော
floater	floater
flock	သိုးစုကို
flog	flog
flood	ရေကြီးခြင်း
floor	အထပ်
flooring	အခင်း
floozy	floozy
flop	လာသောသေတ္တာ
floppy	floppy
flora	သစ်ပင်ပန်းမန်
floral	ပန်း
florist	ပန်းပင်စိုက်ရောင်းချသူ
floss	ကြားရှင်းကြိုး
flotation	flotation
flounder	ငါးခွေးလျှာ
flour	မံှု့ညက်
flourish	ပွား
flow	စီးဆင်းမှု
flower	ပန်း
flowering	ပန်းပွင့်
flowers	ပန်းပွင့်
flowery	flowery
flows	စီးဆင်းမှု
flu	တုတျကှေးနာ
fluctuate	ပွောငျး
fluctuating	ပွောငျးလဲနေသော
fluctuation	ပွောငျးခွငျး
flue	flue
fluency	fluency
fluent	သွက်လက်သော
fluff	fluff
fluffy	fluffy
fluid	အရည်ဖြစ်သော
fluidity	လျော့ပြေ
fluke	fluke
flunk	flunk
flunky	flunky
fluorescence	ချောင်း
fluorescent	ချောင်း
flurries	လေရူး
flurry	သီ
flush	flush
flustered	ပျာယာခတ်သွားပြီး
flute	ပလှေ
fluted	ပလှေ
flutter	flutter
fluvial	fluvial
flux	flux
fly	ယင်ကောင်
flyboy	flyboy
flyer	လက်ကမ်းကြော်ငြာ
flying	ပျံ
flywheel	flywheel
foal	foal
foam	ရေမြှုပ်
foaming	မွှုပျထ
foamy	foamy
fob	FOB
focal	ဆုံချက်
focus	အာရုံ
fodder	အစာကျွေးခြင်း
foe	ရန်သူ
fog	မြူခိုး
foggy	မြူဆိုင်းသော
foil	သတ္တုပါး
foiled	တားဆီးခဲ့
fold	ခေါက်
folded	ခေါက်
folder	ဖိုငျတှဲ
foliage	သစ်ရွက်
folio	ဖိုလီယို
folk	လူမျိုး
folklore	လူထုပုံပြင်များ
follicle	follicles
follicular	follicular
follow	လိုက်
follower	နောက်လိုက်
folly	မိုက်မဲမှု
fond	နှစ်ကြိုက်သော
fondle	fondle
fondling	fondling
fondness	စျြမွတျနိုး
fondue	ဖွန်ဒူး
font	ဖောင့်
food	အစာ
foodie	အစားသောင်းကြမ်းသူ
fool	လူမိုက်
fooled	အရူးလုပ်
foolhardy	foolhardy
fooling	ထားပါသည်
foolish	မိုက်မဲသော
foolishness	မိုက်မဲခြင်း
foolproof	foolproof
foot	ခြေလျင်
foot stool	ခြေမမစင်
footage	ဗီဒီယိုဖိုင်
football	ဘောလုံး
footbridge	footbridge
foothold	ခြေကုပ်
footing	ခြေကုပ်
footlocker	footlocker
footloose	footloose
footpath	footpath
footprint	ခွေရာ
footwear	ဖိနပ်
footwork	footwork
fop	fop
forage	forage
foray	foray
forbearance	သည်းခံ
forbid	ပိတ်ပင်
forbidding	တားမြစ်ထား
force	အင်အား
forced	အတင်းအကျပ်
forceful	ခွန်အားကြီးသော
forceps	forceps
forces	တပ်ဖွဲ့များက
forcibly	အတင်းအကြပ်
ford	Ford
fore	Fore
forearm	လက်မောင်း
foreboding	foreboding
forecast	ခန့်မှန်းချက်
forecaster	ခန့်မှန်း
foreclose	နှောင့်နှေး
foreclosure	foreclosure
forefathers	ဘိုးဘေးတို့အား
forefinger	လက်ညှိုး
forefront	ရှေ့တန်းမှ
forego	အထက်ပါ
foregoing	အထက်ပါ
foregone	foregone
foreground	foreground
forehead	နဖူး
foreign	နိုင်ငံခြားရေး
foreigner	နိုင်ငံခြားသား
foreman	အလုပ်သမားများကြီးကြပ်
foremost	ဗွေဆော်
forensic	မှုခင်း
forensics	မှုခင်းဆေးပညာ
foreplay	foreplay
forerunner	ရှေ့ပြေး
foresee	ကာလတွင်
foreseen	ကြိုတင်သိမြင်နေသော်လည်း
foresight	ကွိုတငျတှေ့မွငျ
forest	သစ်တော
forestall	တော
forethought	forethought
foreveralone	အထီးကျန်
forevermore	အစဉ်မပြတ်
forewarned	ကြိုတင်သတိပေးမှုမရှိ
foreword	စကားချီး
forfeit	လက်လွှတ်ဆုံးရှုံး
forfeited	ဆုံးရှုံး
forfeiture	forfeiture
forge	ဖောက်လုပ်
forger	မှောင်ခိုဂိုဏ်း
forgery	အတုအပ
forget	မေ့လျော့
forgetful	သတိမေ့တတ်သော
forgetfulness	မေ့လျော့
forgive	အပြစ်လွှတ်
forgiven	အပြစ်မှလွှတ်
forgiveness	အပြစ်လွှတ်ခြင်း
forgiving	ခွင့်လွှတ်
forgotten	မေ့လျော့
fork	အမဲချိတ်
forked	ဖြာ
forking	forking
forklift	forklift
forlorn	လုယူခြင်းတည်းဟူသော
form	ပုံသဏ္ဌာန်
formal	တရားဝင်
formaldehyde	Formaldehyde
