Word	ta
casserole	கேட்கலாமா
cassette	கேசட்
cast	நடிக்க
castaway	எறிந்துவிட
caste	சாதி
caster	காற்சில்லு
castle	கோட்டைக்கு
castor	ஆமணக்கு
castrate	விதையடி
castration	விதையடிப்பு
casual	சாதாரண
casually	சாதாரணமாக
casualty	விபத்துக்
cat	பூனை
catabolism	சிதைமாற்றமுறுவதில்
catalog	அட்டவணை
catalogue	அட்டவணை
catalysis	வினையூக்கியின்போது
catalyst	ஊக்கியாக
catalytic	கேட்டலிடிக்
catamaran	தெப்பம்
catapult	கவண்
cataract	கண்புரை
catastrophe	பேரழிவை
catastrophic	பேரழிவு
catatonic	கேடடோனிக்
catch	பிடி
catcher	பிடிப்பவன்
catching	கவரும்
catchphrase	ஒவ்வொரு கணமும்
catchy	கவர்ச்சியுள்ள
catechism	மத இலக்கணப்
categorical	ஆணித்தரமான
category	வகை
cater	பூர்த்தி
caterer	உணவளிப்பவரை
caterpillar	கேட்டர்பில்லர்
cates	cates
catfish	கெளுத்தி
cathartic	துப்புரவாக்கும்
cathedral	கதீட்ரல்
catheter	வடிகுழாய்
catholic	கத்தோலிக்க
cathouse	cathouse
catnip	catnip
cattle	கால்நடை
catwalk	கேட்வாக்
caucus	அரசியல் கட்சியின் கூட்டம்
caudal	வாற்பாக்கம்
cauldron	கொப்பரை
cauliflower	காலிஃபிளவர்
caulk	caulk
causal	காரண
causality	காரணகாரிய
causation	காரணத்தின்
cause	காரணம்
caused	ஏற்படும்
causeway	கடல் பாலத்தின்
caution	எச்சரிக்கை
cautionary	எச்சரிக்கை
cautious	எச்சரிக்கையாக
cautiously	எச்சரிக்கையுடன்
cavalier	வீரன்
cavalry	குதிரைப்படை
cave	குகை
caveat	எச்சரிக்கையை
caveman	குகை
cavern	குகை
cavernous	பாதாள
caviar	கேவியர்
caving	caving
cavity	குழி
cayenne	சிவப்பு
cease	போர்நிறுத்தங்கள்
ceasefire	யுத்த நிறுத்த
ceaseless	முடிவில்லாத
cedar	கேதுரு
cede	விட்டுக்கொடுக்க
ceiling	உச்சவரம்பு
celebrant	இயேசுவின் இறுதி உணவு விழாவை நடத்தும் பாதிரி
celebrate	கொண்டாட
celebrated	பிரபல
celebrating	கொண்டாட
celebration	கொண்டாட்டம்
celebrations	கொண்டாட்டங்கள்
celebratory	கொண்டாட்ட
celebrity	பிரபல
celery	செலரி
celestial	தெய்வீக
celibacy	பிரம்மச்சரியத்தை
celibate	பிரம்மச்சாரி
cell	செல்
cellar	பாதாள
cellblock	cellblock
cellist	cellist
cellmate	cellmate
cello	செலோ
cellophane	செல்லோபேன்
cellular	செல்லுலார்
cellulite	cellulite
celluloid	செல்லுலாயிட்
cement	சிமெண்ட்
cemented	உறுதிப்படுத்தியது
cemetery	கல்லறை
censor	சென்சர்
censorship	தணிக்கை
censure	கண்டன
census	மக்கள் தொகை கணக்கெடுப்பின்படி
cent	சதவீதம்
centenary	நூற்றாண்டு
centennial	நூற்றாண்டு
center	சென்டர்
centerfold	centerfold
centerpiece	மைய
centimeter	சென்டிமீட்டர்
centipede	செண்டிப்பேட்
central	மத்திய
centrality	மையக்
centralization	மையப்படுத்தலை
centralize	மையப்படுத்துவதற்கு
centrally	மத்திய
centrifugal	மையவிலக்கு
centrifuge	மையநீக்கி
centurion	நூற்றுக்கு
century	நூற்றாண்டு
ceramic	பீங்கான்
ceramics	மட்பாண்ட
cereal	தானிய
cereals	தானியங்கள்
cerebral	பெருமூளை
ceremonial	சடங்கு
ceremony	விழா
certain	சில
certainty	நிச்சயமாக
certifiable	சான்றளிக்கப்பட்ட
certificate	சான்றிதழ்
certified	சான்றிதழ்
certify	சான்றளிக்க
cervical	கர்ப்பப்பை வாய்
cervix	கருப்பை வாய்
cess	வரி
cessation	நிறுத்துதல்
cesspool	குட்டை
cha cha	NO TRANSLATION
chaff	வைக்கோல்
chafing	chafing
chagrin	பெரும் ஏமாற்றம்
chagrined	chagrined
chai	NO TRANSLATION
chain	சங்கிலி
chainsaw	செயின்சா
chair	நாற்காலியில்
chairman	தலைவர்
chairperson	தலைவர்
chairwoman	தலைவி
chaise	இழுத்த இழுப்புக்கு
chalet	வயல் வீடு போன்ற குடில்
chalice	கிண்ணம்
chalk	சுண்ணாம்பு
challenge	சவால்
challenger	சவால்
chamber	அறை
chambermaid	chambermaid
chambers	அறைகள்
chameleon	பச்சோந்தியாக
champ	வீரன்
champagne	மதுவை
champion	சாம்பியன்
championship	சாம்பியன்ஷிப்
chance	வாய்ப்பு
chancellor	வேந்தர்
chandelier	சரவிளக்கின்
chandler	சாண்ட்லர்
change	மாற்றம்
changeable	மாறக்கூடிய
changed	மாற்றம்
changer	சேஞ்சர்
changing	மாறிவரும்
channel	சேனல்
chant	மந்திரம்
chaos	குழப்பம்
chaotic	குழப்பமான
chap	அதி
chapel	தேவாலயத்தில்
chaperon	Chaperon
chaplain	பாதிரியாராக
chapman	சாப்மேன்
chaps	அதி
chapter	அத்தியாயம்
char	எரிப்பதை
character	பாத்திரம்
characteristic	பண்பு
characterize	குணாதிசயம்
charade	ஆடுகிறான்
charcoal	கரி
chardonnay	Chardonnay
charge	வசூலிக்க
chargeable	விதிக்கப்படுவது
charger	சார்ஜர்
chariot	தேர்
charisma	கவர்ச்சி
charismatic	கவர்ந்திழுக்கும்
charitable	தொண்டு
charity	தொண்டு
charlatan	போலி மருத்துவர்
charm	அழகை
charmed	சூனியம்
charmer	பாம்பாட்டி
charming	அழகான
charred	கருகிய
chart	விளக்கப்படம்
charter	பட்டய
chartered	பட்டய
chase	துரத்தல்
chased	துரத்தப்பட்டு
chaser	குடிப்பவர்
chasm	பிளவை
chassis	சேஸ்
chaste	கற்புள்ள
chastened	தண்டிக்கப்பட்ட
chastisement	வேதனை
chastity	கற்பு
chat	அரட்டை
chateau	நாட்டுப்புற வீடு
chatter	உரையாடலும்
chatterbox	குருவியாக
chattering	வாயலம்பல்
chatty	வம்பளக்கிற
chauffeur	ஓட்டுனர்
chauvinist	பேரினவாத
cheap	மலிவான
cheapened	cheapened
cheapskate	கஞ்சன்
cheat	ஏமாற்ற
cheater	ஏமாற்றுகிறேன்
check	சரிபார்க்கவும்
checkbook	காசோலைப் புத்தகம்
checker	சரிபார்ப்பு
checkered	சோதிப்பு
checkers	செக்கர்ஸ்
checklist	பட்டியல்
checkmate	செக்மேட்
checkout	புதுப்பித்து
checkpoint	சோதனைச்சாவடி
checkup	சோதனை
cheek	கன்னத்தில்
cheeks	கன்னங்கள்
cheeky	ஆணவ
cheep	பறவைக் குஞ்சு கீச்சிடும் ஒலி
cheer	உற்சாகம்
cheered	ஆரவாரம்
cheerful	மகிழ்ச்சியான
cheerfulness	மனமகிழ்ச்சியடைதல்
cheering	உற்சாக
cheerleader	உற்சாக
cheerleading	உற்சாகமூட்டும் அழகிகள்
cheerless	துயரம்
cheers	சியர்ஸ்
cheery	மகிழ்ச்சியூட்டுகின்ற
cheese	பாலாடைக்கட்டி
cheeseburger	சீஸ் பர்கர்
cheesecake	சீஸ்கேக்
cheesy	அறுவையான
cheetah	சீத்தா
chef	சமையல்காரர்
chemical	இரசாயன
chemise	NO TRANSLATION
chemist	வேதியியலாளர்
chemistry	வேதியியல்
chemo	இரசாயன
chemotherapy	கீமோதெரபி
cheque	சரிபார்க்கவும்
cherish	சந்தோஷமாக
cherishing	நேசித்தல்
cherry	செர்ரி
cherub	அழகிய தேவதை
chess	சதுரங்கம்
chest	மார்பு
chestnut	செஸ்நட்
chevron	செவ்ரான்
chew	மெல்
chewy	மெல்லக்
chic	புதுப்பாணியான
chicane	ஏமாற்று
chick	குஞ்சு
chicken	கோழி
chicken pox	கோழிப்பண்ணை
chickenpox	சின்னம்மை
chief	தலைமை
chiefly	பிரதானமாக
chieftain	தலைவர்
chiffon	மென்பட்டு
child	குழந்தை
childbirth	பிரசவம்
childhood	குழந்தை பருவத்தில்
childish	குழந்தைத்தனமாக
childless	குழந்தையில்லா
childlike	குழந்தைத்தனமாகவே
childloss	NO TRANSLATION
children	குழந்தைகள்
chili	மிளகாய்
chill	குளிர்ச்சியை
chilled	குளிர்ந்த
chilling	நடுங்க
chilly	மிளகாய்
chime	மணி
chimera	கைமேரா
chimes	மணி ஓசை
chimney	புகைபோக்கி
chimp	சிம்பன்சிகளின்
chimpanzee	சிம்பன்சி
chin	கன்னம்
china	சீனா
chinchilla	சின்சில்லா
chine	NO TRANSLATION
chinook	சினூக்
chip	சிப்
chipmunk	செவ்வணில்
chipper	சிப்பர்
chipping	சிப்பிங்
chiropractor	கரப்பொருத்தரான
chirp	இது ஒலி
chirping	பாடும்
chisel	உளி
chiseler	chiseler
chit	குற்றமற்றவர்
chitchat	அரட்டை
chivalry	பேராண்மை
chloride	குளோரைடு
chlorine	குளோரின்
chloroform	குளோரோபார்ம்
chocolate	சாக்லேட்
choice	தேர்வு
choir	பாடகர்
choke	அடைப்பை
cholera	காலரா
cholesterol	கொழுப்பு
choose	தேர்வு
choosing	தேர்ந்தெடுக்கும்
choosy	இன்ன வேலைதான் என்றில்லாமல்
chop	வெட்டுவது
chopper	இரு சக்கர
choppers	வெட்டுக்கத்தி
chopping	வெட்டுதல்
chops	சாப்ஸ்
choral	கூட்டுப்பாடல்
chord	நாண்
chords	வளையில்
chore	சோர்
choreographer	பயிற்சியாளராக
choreography	ஆடற்கலையின்
chorus	கோரஸ்
chosen	தேர்வு
chow	சோவ்
chowder	மீன் சூப்
christ	கிறிஸ்து
christen	NO TRANSLATION
christening	பிறந்த
christian	கிரிஸ்துவர்
christmas	கிறிஸ்துமஸ்
christmasbreak	NO TRANSLATION
christmaseve	NO TRANSLATION
christmasspirit	NO TRANSLATION
christmassy	christmassy
christmastime	கிறிஸ்மஸ்
chromatic	நிறப்
chromatography	க்ரோமாடோகிராபியில்
chrome	குரோம்
chromium	குரோமியம்
chromosome	குரோமோசோம்
chronic	நாள்பட்ட
chronicle	வரலாற்றுக்கூறின்
chronograph	கால வரைபடம்
chronological	காலக்கிரமமான
chubby	ர
chuck	கவ்வி
chuckle	உள்ளூர ஏற்படும் சிரிப்பு
chug	சிக்
chum	ஆப்த
chummy	chummy
chump	கனமான மரக்கட்டை
chunk	துண்டின்
chunky	சங்கி
church	தேவாலயத்தில்
churchyard	சர்ச்
churn	கடையும்
chute	சரிவுக்குள்
chutney	சட்னி
ciao	Ciao
cider	சாறு
cigar	சிகார்
cigarette	சிகரெட்
cilantro	கொத்தமல்லி
cinch	cinch
cinder	தழல்
cinema	சினிமா
cinematic	சினிமா
cinematographer	ஒளிப்பதிவாளர்
cinematography	ஒளிப்பதிவு
cinnamon	இலவங்கப்பட்டை
cipher	சைஃபர்
circle	வட்டம்
circling	சுற்றிசுற்றி
circuit	சுற்று
circuitry	சுற்றுகளில்
circular	வட்ட
circulate	பரப்பு
circulation	சுழற்சி
circulatory	இரத்த ஓட்ட
circumcision	விருத்தசேதனம்
circumference	சுற்றளவு
circumferential	வட்டப் பரிதியின்
circumscribed	உட்பட்டது
circumstance	சூழ்நிலையிலும்
circumstances	சூழ்நிலைகளில்
circumstantial	சூழ்நிலை
circumvent	மீறும்
circumvention	சூழ்ச்சி
circus	சர்க்கஸ்
cirque	சர்க்யூ
cirrhosis	இழைநார் வளர்ச்சி
cirrus	கீற்று
cistern	தொட்டி
citadel	கோட்டையில்
citation	சான்று
cite	மேற்கோள்
citizen	குடிமகன்
citizenship	குடியுரிமை
citrine	சிட்ரினும்
citrus	சிட்ரஸ்
city	நகரம்
citywide	நகரம்முழுவதுமான
civic	குடிமை
civics	குடியியல்
civil	சிவில்
civilian	சிவிலியன்
civilians	பொதுமக்கள்
civility	மரியாதை
civilization	நாகரிகம்
civilized	நாகரீகமடைந்த
clad	உடையில்
claim	கூற்றை
claimant	உரிமைகோரியவரிடம்
clairvoyant	புலன்கள் காணாதவற்றைக் காணும் திறன் உடைய
clam	மட்டி
clambake	clambake
clammy	மிகுந்த ஈரம்
clamor	ஆரவாரமோ
clamp	கிளம்ப
clan	குலத்தை
clandestine	இரகசிய
clang	கணகண வென்ற சப்தம்
clap	கைத்தட்டல்
clapper	தட்டுப்
clapping	கைதட்ட
clarification	விளக்கவுரையும்
clarify	தெளிவுபடுத்த
clarinet	கிளாரினெற்று
clarion	இந்த முழக்கம்
clarity	தெளிவு
clash	மோதல்
clashing	மோதினார்கள்
clasp	பிடியிலிருந்து
class	வர்க்கம்
classic	கிளாசிக்
classic rock	கிளாசிக் ராக்
classical	பாரம்பரிய
classics	பாரம்பரியமிக்க
classification	வகைப்பாடு
classified	வகைப்படுத்தப்பட்டுள்ளன
classify	வகைப்படுத்த
classmate	வகுப்பு
classroom	வகுப்பறை
classy	கம்பீரமானவன்
clatter	கடகடப்பைக்
clause	உட்கூறு
clauses	உட்பிரிவுகள்
claustrophobia	கிளாஸ்ட்ரோஃபோபியா
claustrophobic	சாகும்
clavicle	மையப்
claw	நகம்
claws	நகங்கள்
clay	களிமண்
clean	சுத்தமான
cleaner	தூய்மையான
cleaning	சுத்தம்
cleanliness	தூய்மை
cleanly	தூய்மையாக
cleanse	சுத்தப்படுத்தும்
cleanser	சுத்தப்படுத்திகளுக்கான
cleansing	அழிப்பு
cleanup	சுத்தம் செய்
clear	தெளிவான
clearance	அனுமதி
clearing	தீர்வு
clearness	தெளிவு
cleat	ஆப்பு
cleavage	பிளவு
cleave	ஒட்டிக்கொண்டாலும்
cleaver	NO TRANSLATION
clef	விலங்குப்
cleft	பிளவு
clemency	கருணை
clench	பலமாகப் பற்று
clergy	மத குருமார்கள்
clergyman	குருமார்
cleric	மதகுரு
clerical	எழுத்தர்
clerk	எழுத்தர்
clerkship	clerkship
clever	புத்திசாலி
cleverness	புத்திசாலித்தனம்
click	கிளிக்
clicker	clicker
client	வாடிக்கையாளர்
clientele	வாடிக்கயாளர்களின்
cliff	குன்றின்
climate	காலநிலை
climatology	காலநிலையியலில்
climax	உச்சக்கட்டத்தை
climb	ஏற
climber	ஏறுபவர்
clinch	அபாரம்
cling	ஒட்டி
clingy	clingy
clinic	மருத்துவமனையை
clinical	மருத்துவ
clink	கலகல வென்று
clip	கிளிப்
clipboard	கிளிப்போர்டு
clipper	கிளிப்பர்
clipping	கிளிப்பிங்
clique	NO TRANSLATION
clitoris	பெண்குறிமூலத்தில்
cloak	அங்கியும்
cloaking	மண்டலத்திலிருந்து
cloakroom	cloakroom
clobber	மெழுகுதல்
clock	கடிகாரம்
clockwork	கடிகார
clod	மண்ணாங்கட்டி
clog	தடை செய்
cloister	மறைவிடம்
clone	குளோன்
cloning	குளோனிங்
close	நெருக்கமான
closed	மூடப்பட்டது
closeness	நெருக்கம்
closet	மறைவை
closure	மூடல்
clot	உறைவு
cloth	துணி
clothe	அணிவிப்பாயாக
clothes	ஆடைகள்
clothesline	கிலோத்ஸ்லைன்
clothing	ஆடை
cloud	மேகம்
clouded	சமாதானமாகவில்லை
cloudiness	மேகமூட்டங்கள்
clouds	மேகங்கள்
cloudy	மேகமூட்டம்
clout	செல்வாக்கை
clove	கிராம்பு
clover	தீவனப்புல்
cloves	கிராம்பு
clown	கோமாளி
clowns	முட்டாள்களாக
club	சங்கம்
clubhouse	Clubhouse
clubs	கிளப்
cluck	பெட்டைக் கோழியின் கொக்கரிப்பு
clue	துப்பு
clueless	ஆதாரமில்லாமல்
clump	தடிமன் ஆகின்றன
clumsy	விகாரமான
clunk	clunk
cluster	கொத்து
clutch	கிளட்ச்
clutches	பிடிகளிலிருந்து
clutter	இரைச்சலுடன்
coach	பயிற்சியாளர்
coachman	முயலை
coagulation	உறைதல்
coal	நிலக்கரி
coalesce	ஒன்றுதிரள்வதற்கும்
coalition	கூட்டணி
coarse	கரடுமுரடான
coast	கடற்கரையில்
coastal	கடலோர
coaster	கோஸ்டர்
coastline	கடலோர
coat	கோட்
coating	பூச்சு
coax	மயக்க
cobalt	கோபால்ட்
cobble	Cobble
cobbler	செருப்பு தைப்பவன்
cobra	நாகம்
cocaine	கோகோயின்
cock	சேவல்
cockamamie	cockamamie
cockeyed	cockeyed
cockpit	காக்பிட்
cockroach	கரப்பான் பூச்சி
cocksucker	சுவைப்பவர்
cocktail	காக்டெய்ல்
cocky	துடுக்கான
cocoa	கோகோ
coconut	தேங்காய்
cocoon	கூட்டை
cod	மீன்
code	குறியீடு
codeine	கோடீனைக்
codex	கோடக்ஸ்
codfish	பண்ணா மீன்
codification	நெறிப்படுத்தப்பட்டுள்ளதாகவும்
codify	தொகு
coding	குறியீட்டு
coed	ஆஸ்திரிய
coefficient	குணகம்
coerce	நிர்ப்பந்திக்கின்றனர்
coercion	கட்டாயப்படுத்தல்
coercive	நிர்ப்பந்தப்படுத்தப்படும்
coexist	ஒன்றுசேர்ந்தே
coexistence	உடனிருப்புடனான
coexisting	உடனிருப்பான
coffee	காபி
coffee table	காபி அட்டவணை
coffeehouse	காஃபி
coffeepot	coffeepot
coffin	சவப்பெட்டி
cog	சிறு
cogent	பாலிபிய்சின்
cognac	காக்னக்
cognate	உறவுள்ளதாகும்
cognition	அறிவாற்றல்
cognitive	அறிவாற்றல்
cohabitation	கூட்டுழைப்பு
coherence	இணக்கத்தைப்
coherent	ஒத்திசைவான
cohesion	ஓட்டுந்தன்மை
cohesive	ஒத்திசைந்த
cohort	பெருங்குடும்பத்தின்
coil	சுருள்
coiled	சுருட்டப்பட்ட
coin	நாணயம்
coinage	மொழி பெயர்ப்பு
coincide	யதேச்சையாக நடந்தது
coincidence	தற்செயல்
coincident	ஒன்றிய சம்பவம்
coincidental	தற்செயலாக
coinciding	ஒத்திசைவு
coke	கோக்
cola	கோலா
cold	குளிர்
coldly	உணர்ச்சியற்று
coldness	குளிர்
coldsweat	NO TRANSLATION
coleslaw	coleslaw
colic	வலி
coliseum	கொலிசியம்
collaborate	ஒத்துழைக்க
collaboration	இணைந்து
collaborator	ஒருங்கிணைப்பாளர்
collage	கல்லூரிக்கு
collagen	கொலாஜன்
collapse	சரிவு
collar	காலர்
collarbone	காலர்
collate	கோலேட்
collateral	இணை
collation	தொகுப்பு
colleague	சக
collect	சேகரிக்க
collected	சேகரிக்கப்பட்ட
collection	சேகரிப்பு
collective	கூட்டு
collectively	கூட்டாக
collector	கலெக்டர்
college	கல்லூரி
collegiate	கல்லூரி
collide	மோதி
collie	கோலி
collision	மோதல்
collocation	இரட்டைச் சொல்
colloquial	பேச்சுவழக்கு
collusion	உள்கூட்டுக்களை
cologne	கொலோன்
colon	பெருங்குடல்
colonel	கர்னல்
colonial	காலனித்துவ
colonic	பெருங்குடல்
colonoscopy	கோலன்ஸ்கோபி
colony	காலனி
colophon	கோலோபோன்
color	நிறம்
coloration	நிறத்தை
colored	வண்ண
colorful	வண்ணமயமான
coloring	நிறங்களை
colorless	நிறமற்ற
colors	நிறங்கள்
colossal	மாபெரும்
colt	குதிரைக்குட்டி
columbine	கொலம்பைன்
column	பத்தியில்
columnar	நிரல்
columnist	கட்டுரையாளர்
com	NO TRANSLATION
coma	கோமா
comatose	கோமா
comb	சீப்பு
combat	போர்
combatant	போரில்
combative	போர்க்கோலம்
combination	சேர்க்கையை
combinatorial	சேர்க்கை
combine	இணைக்க
combined	இணைந்து
combo	சேர்க்கை
combustible	எரிப்பு
combustion	எரிப்பு
come	வந்து
comeback	திரும்பி வா
comedian	காமெடியன்
comedy	நகைச்சுவை
comet	வால்மீன்
comfort	ஆறுதல்
comfortable	வசதியாக
comforter	பேணுபவர்
comforting	ஆறுதல்
comfy	வசதியான
comic	காமிக்
comical	நகைப்புக்கிடமான
comics	காமிக்ஸ்
coming	வரும்
comma	கமா
command	கட்டளை
commandant	தளபதி
commandeer	கட்டுக்குள்
commander	தளபதி
commanding	கட்டளை
commandment	கட்டளையை
commando	கமாண்டோ
commemorate	நினைவாக
commemoration	நினைவு
commemorative	நினைவு
commence	தொடங்குகிறது
commend	சிபாரிசு
commendable	பாராட்டும்படி
commendation	பாராட்டுவது
commensurate	ஈடான
comment	கருத்து
commentary	வர்ணனை
commentator	வர்ணனையாளர்
commerce	காமர்ஸ்
commercial	வணிக
commie	commie
commissary	படையின் உணவுத் துறை
commission	கமிஷன்
commissioner	ஆணையர்
commit	செய்து
commitment	அர்ப்பணிப்பு
committal	கடப்பாடு
committed	உறுதி
committee	குழு
commodity	பொருட்கள்
commodore	தலைவன்
common	பொதுவான
commoner	பொதுவான
commonly	பொதுவாக
commonplace	பொதுவானதாகவும்
commons	காமன்ஸ்
commonwealth	காமன்வெல்த்
commotion	பதட்டம்
communal	இனவாத
commune	கம்யூனில்
communicable	தொடர்புப்
communicate	தொடர்பு
communication	தொடர்பு
communicative	தொடர்பு
communicator	தொடர்பாளர்களில்
communion	ஒற்றுமை
communism	கம்யூனிசம்
communist	கம்யூனிச
community	சமூகத்தில்
commutation	திசைமாற்ற
commutative	பரிமாற்று
commute	வழக்கமான பயண
commuter	பயணிகள்
comp	பெயர்த்தல்
compact	கச்சிதமான
compaction	கச்சிதமாய்
compactness	குறுக்கத்தன்மையில்
companion	துணை
companionless	companionless
companionship	தோழமை
company	நிறுவனம்
comparable	ஒப்பிடக்கூடிய
comparative	ஒப்பீட்டு
comparatively	ஒப்பீட்டளவில்
compare	ஒப்பிட்டு
comparison	ஒப்பீடு
compartment	தனியறைகள்
compass	திசைகாட்டி
compassion	இரக்க
compassionate	கருணையுடன்
compatibility	இணக்கத்தன்மை
compatible	இணக்கமான
compel	கட்டாயப்படுத்தி
compelled	கட்டாயம்
compelling	கட்டாய
compendium	சுருக்கத்
compensate	ஈடு
compensation	இழப்பீடு
compensatory	ஈடுசெய்யும்
compete	போட்டியிட
competence	ஈடுசெய்
competency	தேர்ச்சி
competent	தகுதிவாய்ந்த
competition	போட்டி
competitive	போட்டி
competitor	போட்டியாளர்
compilation	தொகுப்பு
compile	தொகுக்கலாம்
complacency	மனநிறைவின்
complacent	மெத்தனமாக
complain	புகார்
complaint	புகார்
complement	நிறைவுடன்
complementary	நிரப்பு
complete	முழு
completed	நிறைவு
completely	முற்றிலும்
completeness	முழுமையான
completing	முடித்த
completion	நிறைவு
complex	சிக்கலான
complexed	சிக்கலாக்கப்பட்டது
complexion	நிறம்
complexity	சிக்கலான
compliance	இணக்கம்
compliant	இணக்கமான
complicate	சிக்கலாக்கும்
complicated	சிக்கலான
complication	சிக்கல்
complicity	உடந்தையாக
compliment	NO TRANSLATION
complimentary	பாராட்டு
comply	இணங்க
complying	உடன்படாத
compo	compo
component	கூறு
compose	எழுது
composed	இசையமைத்த
composer	இசையமைப்பாளர்
composite	கலப்பு
composition	கலவை
compost	உரம்
composure	அமைதியை
compound	கலவை
comprehend	புரிந்து
comprehension	புரிதல்
comprehensive	விரிவான
compress	அழுத்துவதற்கு
compressed	சுருக்கப்பட்ட
compressible	அமுக்கப்படக்கூடிய
compression	சுருக்க
compressor	அமுக்கி
comprise	உள்ளனர்
compromise	சமரசம்
comptroller	தலைமைக் கணக்காயர்
compulsion	கட்டாயத்தின்
compulsive	கட்டாய
compulsory	கட்டாய
computable	கணக்கிடப்பட்ட
computation	கணக்கீடு
compute	கம்ப்யூட்
computer	கணினி
computerized	கணினிமயமாக்கப்பட்ட
computing	கம்ப்யூட்டிங்
comrade	தோழர்
con	NO TRANSLATION
concatenation	சங்கிலி
concave	குழிவான
conceal	மறைக்க
concealed	மறைத்து
concealment	மறைவிடம்
concede	ஏற்றுக் கொண்டும்
conceit	அகந்தையில்
conceited	தற்பெருமை
conceivable	மனத்தில்
conceive	கருத்தரிக்க
concentrate	கவனம் செலுத்த
concentration	செறிவு
concentric	அடர்ந்த
concept	கருத்து
conception	கருத்து
concern	அக்கறை
concerned	சம்பந்தப்பட்ட
concert	கச்சேரி
concerto	நிகழ்ச்சியை
concession	சலுகை
concessional	சலுகை
conch	சங்கை
concierge	வரவேற்பு
conciliation	சமரசம்
concise	சுருக்கமான
conclave	பாப்பரசரின்
conclude	முடிவுக்கு
concluding	முடிவாக
conclusion	தீர்மானம்
conclusive	உறுதியான
concoction	கட்டுக்கதையாகும்
concomitant	உடனியங்குகிற
concord	கான்கார்ட்
concordance	ஒற்றுமை
concours	NO TRANSLATION
concourse	படையினரே
concrete	கான்கிரீட்
concubine	காமக்கிழத்தியை
concur	சம்மதி
concurrence	உடன் நிகழ்கிற
concurrent	ஒரே நேரத்தில்
concurring	concurring
concussion	மூளையதிர்ச்சி
condemn	கண்டனம்
condemnation	கண்டனம்
condensation	ஒடுக்க
condensed	அமுக்கப்பட்ட
condescending	தாராள
condescension	அருள்
condiment	தாளிக்கும்
condition	நிலை
conditional	நிபந்தனை
conditionally	நிபந்தனையின்
conditioned	குளிர் சாதன வசதி
conditioner	கண்டிஷனர்
conditioning	சீரமைப்பு
conditions	நிலைமைகள்
condo	காண்டோ
condolence	இரங்கல்
condolences	இரங்கலைத்
condom	ஆணுறை
condone	பொறுத்தருளவில்லை
condor	Condor
conducive	உகந்த
conduct	நடத்தை
conduction	கடத்தல்
conductivity	கடத்துத்திறனின்
conductor	கடத்தி
conduit	வழியாகச்
cone	கூம்பு
confederacy	கூட்டமைப்பின்
confederate	கூட்டாட்சி
confederation	கூட்டமைப்பாக
confer	வழங்க
conference	மாநாட்டில்
confess	ஒப்புக்கொள்ள
confession	வாக்குமூலம்
confessional	ஒப்புதல்
confessions	ஒப்புதல் வாக்குமூலம்
confetti	காகிதத்துண்டுகள்
confidant	நம்பிக்கைக்குரியவரான
confide	நம்பி
confidence	நம்பிக்கை
confident	நம்பிக்கை
confidential	ரகசிய
confidentiality	இரகசியத்தன்மை
confidentially	NO TRANSLATION
configuration	கட்டமைப்பு
confine	எல்லைக்குட்படுத்த
confined	நின்றுவிடுகின்றன
confinement	சிறைவாசம்
confines	வரையறுக்கப்பட்ட
confirm	உறுதிப்படுத்த
confirmation	உறுதிப்படுத்தல்
confirmatory	உறுதிபடுத்துகிற
confirmed	உறுதி
confiscate	பறிமுதல்
confiscation	பறிமுதல்
conflagration	பெருந்தீ
conflict	மோதல்
conflicting	முரண்பட்ட
confluence	சங்கமிக்கும்
conform	இணங்கி
conformance	உறுதிப்படுத்தல்
conformation	NO TRANSLATION
conformity	ஏற்ப
confound	குழப்புவது
confounded	குழப்பத்தில் ஆழ்த்தியது
confront	எதிர்கொள்ள
confrontation	மோதலை
confuse	குழப்ப
confused	குழப்பமான
confusing	குழப்பமான
confusion	குழப்பம்
conga	Conga
congenial	இன்பகரமான
congenital	பிறவி
congestion	நெரிசல்
conglomerate	குழுமம்
conglomeration	திரளுதல்
congrats	.வாழ்த்துக்கள்
congratulate	வாழ்த்துவதற்காக
congratulation	பாராட்டு
congratulations	வாழ்த்துக்கள்
congratulatory	வாழ்த்து
congregate	கூடுகின்றனர்
congregation	கூட்டம்
congress	காங்கிரஸ்
congressional	காங்கிரஸ்
congressman	காங்கிரஸ்காரர்
congruence	சர்வசமமாக
conic	கூம்பு
conical	கூம்பு
conjecture	அனுமானம்
conjugal	திருமணத்துக்குரிய
conjugate	துணையிய
conjugation	இணைதல்
conjunction	இணைந்து
conjunctive	இணைந்த
conjure	சிந்தாது
conjuring	மாய்மாலமான
conk	conk
connect	இணைக்க
connected	இணைக்கப்பட்ட
connection	இணைப்பு
connective	இணைப்பு
connoisseur	ரசிகனுக்கு
conquer	கைப்பற்றும்
conquering	கைப்பற்றல்
conqueror	வெற்றிவீரனாகவும்
conquest	வெற்றி
conscience	மனசாட்சி
conscientious	நேர்மையான
conscious	உணர்வு
consciousness	உணர்வு
conscription	கட்டாயமாக
consecrated	கும்பாபிஷேகம்
consecration	கும்பாபிஷேகம்
consecutive	தொடர்ச்சியான
consensual	ஒப்புதலுள்ள
consensus	ஒருமித்த
consent	ஒப்புதல்
consenting	ஒப்புதல்
consequence	விளைவு
consequent	விளைவாக
