Word	da
eager	ivrige
eagerness	Iver
eagle	ørn
ear	øre
earful	skideballe
earl	earl
earlier	tidligere
early	tidlig
earn	tjene
earnest	alvor
earnestly	inderligt
earnestness	alvor
earnings	indtjening
earpiece	øresnegl
earring	ørering
earrings	øreringe
earshot	hørevidde
earth	jorden
earthenware	fajance
earthling	jordboere
earthly	jordisk
earthquake	jordskælv
earthy	Jordet
ease	lethed
easel	staffeli
easement	servitut
easily	let
east	øst
eastbound	østgående
eastern	østlige
easy	let
easygoing	stille og rolig
eat	spise
eater	eater
eating	spise
eatingdisorders	NO TRANSLATION
eavesdrop	aflytte
eavesdropping	aflytning
ebb	ebbe
ebony	ibenholt
ebullient	sprudlende
eccentric	excentrisk
eccentricity	excentricitet
ecclesiastical	kirkelige
echelon	echelon
echinacea	echinacea
echo	ekko
eclectic	eklektisk
eclipse	formørkelse
ecliptic	ekliptika
ecological	økologisk
economic	økonomisk
economical	økonomisk
economics	økonomi
economy	økonomi
ecosystem	økosystem
ecstasy	ecstasy
ecstatic	ekstatisk
ecumenical	økumeniske
eddy	eddy
edema	ødem
edge	kant
edging	kantning
edgy	kantet
edible	spiselige
edict	edikt
edification	opbyggelse
edifice	bygningsværk
edit	redigere
editing	redigering
edition	udgave
editor	redaktør
editorial	redaktionelle
educate	uddanne
educated	uddannet
education	uddannelse
educational	uddannelsesmæssige
educator	pædagog
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	ål
eerie	uhyggelige
effect	effekt
effective	effektiv
effectiveness	effektivitet
effects	effekter
effectual	virkningsfulde
effectually	effectually
effectuate	effektuere
effeminate	feminin
efficacious	virkningsfuldt
efficacy	virkningsfuldhed
efficiency	effektivitet
efficient	effektiv
effigy	statue
effort	indsats
effortless	nemt
effusion	effusion
effyou	NO TRANSLATION
egg	æg
egghead	egghead
eggnog	eggnog
eggplant	aubergine
eggshell	æggeskal
ego	ego
egomaniac	egomaniac
egotistical	egoistisk
egregious	ekstreme
egress	egress
eight	otte
eighteen	atten
eighth	ottende
eighty	firs
ejaculate	ejakulere
ejaculation	ejakulation
eject	udstøde
ejection	udstødning
elaborate	uddybe
elaboration	udarbejdelse
elan	NO TRANSLATION
elapse	forløbe
elapsed	forløbet
elastic	elastisk
elasticity	elasticitet
elated	opstemt
elation	opstemthed
elbow	albue
eld	eld
elder	ældre
elderly	ældre
elders	ældste
eldest	ældste
elect	vælge
election	valg
elective	elektiv
elector	Elector
electoral	valgprocessen
electorate	vælgerne
electric	elektrisk
electric slide	elektrisk dias
electrical	elektrisk
electrician	elektriker
electricity	elektricitet
electrify	elektrificere
electrocute	electrocute
electrocution	elektrisk stød
electromagnetic	elektromagnetisk
electron	elektron
electronic	elektronisk
electronics	elektronik
elegance	elegance
elegant	elegant
element	element
elemental	elementært
elementary	elementære
elements	elementer
elephant	elefant
elevate	ophøje
elevated	forhøjet
elevation	elevation
elevator	elevator
eleven	elleve
eleventh	elvte
elf	nisse
elicit	fremkalde
eligible	berettiget
eliminate	eliminere
elimination	elimination
elite	elite
elitist	elitært
elixir	eliksir
elk	elg
ell	ell
ellipse	ellipse
ellipsis	ellipse
ellipsoid	ellipsoide
elliptic	elliptisk
elliptical	elliptisk
elm	elm
elongate	langstrakt
elongation	forlængelse
elope	undslippe
eloquence	veltalenhed
eloquent	veltalende
elucidate	belyse
elucidation	udredning
elude	undvige
elusive	undvigende
emaciated	afmagret
email	e-mail
emanate	udspringe
emancipation	frigørelse
embankment	dæmning
embargo	NO TRANSLATION
embark	gå i gang
embarrass	genere
embarrassed	flov
embarrassing	pinlig
embarrassment	forlegenhed
embassy	ambassade
embattled	kampberedt
embed	indlejre
embellish	pynte
embellishment	udsmykning
embers	gløder
embezzlement	underslæb
embezzler	embezzler
emblem	emblem
emblematic	emblematiske
embodiment	udførelsesform
embolism	blodprop
embossed	prægede
embrace	omfavne
embroidered	broderede
embroidery	broderi
embroiled	involveret
embryo	Foster
embryonic	embryonale
emcee	emcee
emerald	smaragd
emerge	dukke op
emergence	fremkomsten
emergency	nødsituation
emeritus	emeritus
emery	smergel
emetophobia	emetophobia
emigrate	emigrere
emigration	udvandring
eminence	eminence
eminent	fremtrædende
eminently	eminent
emir	NO TRANSLATION
emissary	udsending
emission	udledning
emit	udsender
emo	emo
emotion	emotion
emotional	følelsesmæssig
emotive	følelsesbetonet
empathic	empatisk
empathize	empati
empathy	empati
emperor	kejser
emphasis	vægt
emphasize	understrege
emphatic	empatisk
emphysema	emfysem
empire	imperium
empirical	empirisk
empiricism	empirisme
employ	beskæftige
employee	medarbejder
employer	arbejdsgiver
employment	beskæftigelse
emporium	Emporium
empower	bemyndige
empress	kejserinde
emptiness	tomhed
emption	fortrinsret
empty	tom
emu	emu
emulate	efterligne
emulsion	emulsion
enable	gøre det muligt for
enablement	aktivering
enact	vedtage
enactment	enactment
enamel	emalje
encampment	encampment
enchant	fortrylle
enchanted	fortryllet
enchanting	fortryllende
enchantment	fortryllelse
enchantress	enchantress
enchilada	enchilada
encircle	omringe
encircling	omkranser
enclave	enklave
enclose	vedlægge
enclosure	indelukke
encode	encode
encomiastic	NO TRANSLATION
encomium	Lovtale
encompass	omfatte
encore	NO TRANSLATION
encounter	komme ud for
encourage	tilskynde
encouraged	opfordrede
encouragement	opmuntring
encouraging	opmuntrende
encroach	trænge sig ind
encroachment	indgreb
encrypt	kryptere
encryption	kryptering
encumbrance	behæftelse
encyclopedia	encyklopædi
end	ende
end table	bordenden
endanger	fare
endangered	truede
endangerment	truede
endearing	indtagende
endeavor	bestræbelse
ended	sluttede
endemic	endemisk
endgame	slutspil
ending	Slutning
endless	endeløs
endocarditis	endocarditis
endorse	godkende
endorsement	godkendelse
endow	udstyre
endowed	begavet
endowment	begavelse
endpapers	endepapirer
endpoint	endepunkt
endurance	udholdenhed
endure	udholde
enduring	varige
enema	lavement
enemy	fjende
energetic	energisk
energize	energize
energy	energi
enforce	håndhæve
enforcement	håndhævelse
enforcer	enforcer
engage	engagere
engaged	beskæftiget
engagement	engagement
engaging	engagerende
engender	skabe
engine	motor
engineer	ingeniør
engineering	ingeniørarbejde
engrave	gravere
engraved	indgraveret
engraver	gravør
engraving	gravering
engrossed	opslugt
engrossing	medrivende
engulf	opsluge
enhance	forbedre
enhancement	enhancement
enigma	gåde
enigmatic	gådefuld
enjoin	påbyde
enjoy	god fornøjelse
enjoyable	fornøjelig
enjoying	nyder
enjoyment	nydelse
enlarge	forstørre
enlarged	forstørret
enlargement	udvidelse
enlighten	oplyse
enlightened	oplyst
enlightening	oplysende
enlightenment	oplysning
enlist	hverve
enliven	oplive
enmity	fjendskab
ennui	livslede
enormity	uhyrlighed
enormous	enorm
enormously	enormt
enraged	rasende
enrich	berige
enroll	indskrive
enrollment	indskrivning
ensemble	ensemble
ensign	banner
enslave	slavebinde
enslaved	gjort til slaver
enslavement	slaveri
ensue	opstå
ensure	sikre
entail	medføre
entangled	viklet ind
entanglement	sammenfiltring
enter	gå ind
enterprise	foretagende
enterprising	initiativrige
entertain	underholde
entertained	underholdt
entertainer	entertainer
entertaining	underholdende
entertainment	underholdning
enthralled	betaget
enthusiasm	entusiasme
enthusiast	entusiast
enthusiastic	entusiastisk
entice	lokke
entire	hel
entirety	helhed
entitle	berettiger
entity	enhed
entomology	entomologi
entourage	entourage
entrails	indvolde
entrance	indgang
entrapment	fastklemning
entreat	bønfalde
entree	Hovedretter
entrepreneur	entreprenør
entrust	overdrage
entry	indgang
enumerate	opregne
enumeration	tælling
envelope	kuvert
envious	misundelig
environ	NO TRANSLATION
environment	miljø
environmental	miljømæssige
environs	omegn
envision	envision
envoy	udsending
envy	misundelse
enzyme	enzym
ephemeral	flygtig
ephemeris	efemeride
epic	episk
epidemic	epidemi
epidermis	epidermis
epidural	epidural
epilepsy	epilepsi
epileptic	epileptisk
epilogue	epilog
epiphany	åbenbaring
episcopal	biskoppelige
episode	episode
episodic	episodisk
epistle	epistel
epitaph	gravskrift
epithet	tilnavn
epitome	indbegrebet
epoch	epoke
equal	lige
equality	lighed
equalization	udligning
equalize	udligne
equalizer	equalizer
equally	ligeligt
equate	sidestille
equation	ligning
equator	ækvator
equatorial	ækvatoriale
equestrian	rytterstatue
equidistant	lige langt
equilibration	ækvilibrering
equilibrium	ligevægt
equip	udstyre
equipment	udstyr
equitable	retfærdig
equity	egenkapital
equivalence	ækvivalens
equivalent	tilsvarende
equivocal	tvetydig
era	æra
eradicate	udrydde
eradication	udryddelse
erase	slette
eraser	viskelæder
erasure	sletning
ere	NO TRANSLATION
erect	opføre
erectile	erektil
erection	erektion
ergo	NO TRANSLATION
erode	erodere
erosion	erosion
erotic	erotisk
erotica	erotik
err	err
errand	ærinde
errant	vildfaren
erratic	uregelmæssig
erratum	Erratum
erroneous	fejlagtige
error	fejl
erst	NO TRANSLATION
erudite	lærd
erupt	bryde ud
eruption	udbrud
escalade	Escalade
escalate	eskalere
escalating	eskalerende
escalation	optrapning
escalator	rulletrappe
escape	flugt
escaped	undslap
escarpment	skrænt
eschew	tage afstand
escort	eskortere
escrow	spærret
esophagus	spiserøret
esoteric	esoterisk
especial	NO TRANSLATION
espionage	spionage
espouse	går ind
espresso	espresso
esprit	esprit
esquire	væbner
essay	historie
essayist	essayist
essence	essens
essential	vigtig
essentially	væsentlige
establish	etablere
established	etableret
establishment	etablering
estate	ejendom
esteem	agtelse
esteemed	agtet
esthetic	æstetisk
estimable	agtværdig
estimate	skøn
estimation	estimering
estoppel	afskæring af indsigelse
estranged	fremmedgjort
estrogen	østrogen
estuary	flodmunding
etch	etch
etching	ætsning
eternal	evig
eternity	evighed
ethanol	ethanol
ether	ether
ethereal	æterisk
ethic	etik
ethical	etisk
ethics	etik
ethnic	etnisk
ethnography	etnografi
etiology	ætiologi
etiquette	etikette
etymology	etymologi
eucalyptus	eukalyptus
euchre	Euchre
eugenics	racehygiejne
eulogistic	rosende
eulogium	eulogium
eulogize	lovprise
eulogy	lovprisning
euphemism	eufemisme
euphoria	eufori
euphoric	euforisk
euro	euro
euthanasia	aktiv dødshjælp
evacuate	evakuere
evacuation	evakuering
evade	unddrage
evaluate	vurdere
evaluation	evaluering
evanescence	evanescence
evangelical	evangeliske
evangelist	evangelist
evangelistic	evangelisk
evaporate	fordampe
evaporation	fordampning
evasion	omgåelse
evasive	undvigende
eve	Eva
evening	aften
evens	NO TRANSLATION
event	begivenhed
eventful	begivenhedsrig
eventual	eventuel
eventuality	eventualitet
evergreen	stedsegrønne
everlasting	evig
evermore	evig
everyday	hver dag
everyman	hver mand
evict	forjage
eviction	udsættelse
evidence	beviser
evident	indlysende
evidentiary	bevismæssig
evil	ond
evoke	fremkalde
evolution	udvikling
evolutionary	evolutionær
evolve	udvikle sig
ewe	moderfår
ex	ex
exacerbate	forværre
exacerbation	forværring
exact	eksakt
exacting	krævende
exaggerate	overdrive
exaggerated	overdrevet
exaggeration	overdrivelse
exalt	ophøje
exaltation	ophøjelse
exalted	ophøjet
exam	eksamen
examination	undersøgelse
examine	undersøge
examiner	eksaminator
example	eksempel
exasperated	irriteret
exasperation	harme
excavate	udgrave
excavation	udgravning
excavator	gravemaskine
exceed	overstige
exceeding	overstiger
excel	Excel
excellence	ekspertise
excellent	fremragende
excelsior	excelsior
excepting	undtagelse
exception	undtagelse
exceptional	enestående
excerpt	uddrag
excess	overskydende
excessive	overdreven
excessively	overdrevent
exchange	udveksling
excise	punktafgifter
excision	excision
excitability	ophidselse
excitable	overgearet
excitation	excitation
excite	ophidse
excited	begejstret
excitement	spænding
exciting	spændende
exclaim	udbryde
exclamation	udråb
exclude	udelukke
excluded	udelukket
excluding	Eksklusive
exclusion	undtagelse
exclusive	eksklusiv
excrement	ekskrementer
excretion	udskillelse
excruciating	ulidelig
excursion	udflugt
excuse	undskyldning
exec	exec
execute	udføre
execution	udførelse
executioner	bøddel
executive	udøvende
executor	eksekutor
exegesis	eksegese
exemplar	exemplar
exemplary	eksemplarisk
exemplify	eksemplificere
exempt	fritaget
exemption	fritagelse
exercise	dyrke motion
exert	udøve
exertion	anstrengelse
exhale	ånde ud
exhaust	udstødning
exhausted	udmattet
exhaustion	udmattelse
exhaustive	udtømmende
exhibit	udstille
exhibition	udstilling
exhilarated	opstemt
exhilarating	spændende
exhilaration	opstemthed
exhort	formane
exhortation	formaning
exhumation	opgravning
exhume	grave
exigent	NO TRANSLATION
exile	eksil
exist	eksisterer
existence	eksistens
existent	eksisterende
existential	eksistentiel
existing	eksisterende
exit	Afslut
exodus	udvandring
exonerate	frikende
exorbitant	ublu
exorcism	eksorcisme
exorcist	eksorcist
exotic	eksotisk
expand	udvide
expanded	udvidet
expanse	flade
expansion	udvidelse
expansive	ekspansiv
expatriate	udstationerede
expect	forventer
expectance	expectance
expectancy	forventning
expectant	forventningsfulde
expectation	forventning
expected	forventes
expecting	forventer
expediency	hensigtsmæssighed
expedient	formålstjenligt
expedite	fremskynde
expedition	ekspedition
expeditious	hurtig
expel	bortvise
expendable	undværlig
expenditure	udgifter
expense	bekostning
expenses	udgifter
expensive	dyrt
experience	erfaring
experienced	oplevet
experiences	erfaringer
experiment	eksperiment
experimental	eksperimentel
experimentation	eksperimentering
experimenter	forsøgslederen
expert	ekspert
expertise	ekspertise
expiration	udløb
expire	udløbe
expired	udløbet
expiry	udløb
explain	forklare
explanation	forklaring
explanatory	forklarende
expletive	udråb
explication	eksplicitering
explicit	eksplicit
explode	eksplodere
exploit	udnytte
exploitation	udnyttelse
exploration	udforskning
exploratory	sonderende
explore	udforske
explorer	opdagelsesrejsende
explosion	eksplosion
explosions	eksplosioner
explosive	eksplosiv
expo	expo
exponent	eksponent
exponential	eksponentiel
export	eksport
exportation	eksport
expose	udsætte
exposed	udsat
exposition	udstilling
expository	expository
exposure	udsættelse
expound	udlægge
express	udtrykke
expression	udtryk
expressive	udtryksfulde
expressway	motortrafikvej
expropriation	ekspropriation
expulsion	udvisning
exquisite	udsøgt
exquisitely	udsøgt
extant	bevaret
extend	forlænge
extendable	udvides
extended	udvidet
extension	udvidelse
extensive	stor
extent	grad
exterior	ydre
exterminate	udrydde
extermination	udryddelse
exterminator	exterminator
external	ekstern
externally	eksternt
extinct	uddød
extinction	udslettelse
extinguish	slukke
extinguisher	ildslukker
extol	berømme
extort	afpresse
extortion	afpresning
extra	ekstra
extract	uddrag
extracting	udvinding
extraction	udvinding
extractor	emhætte
extracurricular	somme
extradition	udlevering
extrajudicial	udenretslige
extramural	extramural
extraneous	uvedkommende
extraordinaire	extraordinaire
extraordinary	ekstraordinær
extraterrestrial	udenjordisk
extravagance	ekstravagance
extravagant	ekstravagant
extravaganza	udstyrsstykke
extreme	ekstrem
extreme anticipation	ekstrem forventning
extreme disgust	ekstreme afsky
extreme surprise	ekstrem overraskelse
extreme trust	ekstrem tillid
extremely	ekstremt
extremely negative	ekstremt negativ
extremely positive	yderst positiv
extremity	ekstremitet
extricate	vikle
extrinsic	extrinsic
extrusion	ekstrudering
exuberance	overflod
exude	udstråler
eye	øje
eyeball	øjeæble
eyebrow	øjenbryn
eyeful	eyeful
eyeglass	monokel
eyeglasses	briller
eyelash	øjenvipper
eyelet	snørehul
eyeliner	eyeliner
eyepiece	okular
eyes	øjne
eyesight	syn
eyewitness	øjenvidne
fab	fab
fable	fabel
fabled	sagnomspundne
fabric	stof
fabricate	fabrikere
fabricated	fabrikeret
fabrication	fabrikation
fabulous	fabelagtig
facade	facade
face	ansigt
faceless	ansigtsløse
facet	facet
facial	ansigtsbehandling
facile	NO TRANSLATION
facilitate	lette
facility	facilitet
facing	over
facsimile	faksimile
fact	faktum
faction	fraktion
factor	faktor
factory	fabrik
facts	fakta
factual	faktuel
faculties	fakulteter
faculty	fakultet
fad	fad
fade	falme
faded	falmede
faeces	fæces
fag	fag
faggot	svans
fail	svigte
failing	svigtende
failure	fiasko
fain	NO TRANSLATION
faint	svag
fainting	besvimelse
fair	retfærdig
fairly	temmelig
fairness	fairness
fairway	fairway
fairy	fe
faith	tro
faithful	trofast
faithfulness	trofasthed
faithless	troløse
fake	falsk
faker	faker
falafel	falafel
falcon	falk
fall	efterår
fallacious	fejlagtig
fallacy	fejlslutning
fallback	Falde tilbage
fallible	fejlbarlig
falling	faldende
fallopian	æggeleder
fallout	falde ud
fallow	brak
false	FALSK
falsehood	falskhed
falsely	falsk
falsification	forfalskning
falsified	forfalskede
falsify	forfalske
falsity	falskheden
falter	vakle
fame	berømmelse
famed	berømt
familiar	velkendt
familiarity	fortrolighed
familiarize	fortrolig
family	familie
familytime	familie tid
famine	hungersnød
famished	famished
famous	berømt
famously	berømt
fan	ventilator
fanatic	fanatisk
fanatical	fanatisk
fanaticism	fanatisme
fanciful	fantasifulde
fancy	fancy
fandango	fandango
fanfare	fanfare
fang	NO TRANSLATION
fangs	hugtænder
fanning	Fanning
fantasia	fantasia
fantasize	fantasere
fantastic	fantastisk
fantasy	fantasi
faraway	langt væk
farce	farce
farcical	farceagtige
fare	billetpris
farewell	farvel
farm	gård
farmer	landmand
farmhouse	stuehus
farming	landbrug
farmland	landbrugsjord
faro	faro
fart	prut
farther	fjernere
fascia	fascia
fascinate	fascinere
fascinated	fascineret
fascinating	spændende
fascination	fascination
fascism	fascisme
fascist	fascist
fashion	mode
fashionable	på mode
fastball	fastball
fasten	fassætte
fastener	befæstelser
fastening	fastgørelse
fasting	fastende
fat	fed
fatal	fatal
fatalism	fatalisme
fatality	dødsulykke
fate	skæbne
fated	skæbnesvangre
fateful	skæbnesvangre
fathead	Tykhovedet
father	far
fatherhood	faderskab
fatherland	fædreland
fatherly	faderlig
fathom	begribe
fatigue	træthed
fatigued	trættes
fatso	Fatso
fatten	opfede
fatty	fed
faucet	vandhane
fault	fejl
faultless	fejlfri
faulty	defekt
faun	faun
fauna	fauna
faux	faux
favor	favorisere
favorable	gunstig
favorite	favorit
favoriteholiday	NO TRANSLATION
favoritism	favorisering
fawn	fawn
fax	fax
faze	NO TRANSLATION
fear	frygt
feared	frygtet
fearful	frygtsomme
fearfully	frygtsomt
fearing	frygtede
fearless	frygtløs
fears	frygt
fearsome	frygtfuld
feasibility	gennemførlighed
feasible	gennemførlig
feast	fest
feat	bedrift
feather	fjer
feathered	fjer
feature	funktion
features	funktioner
febrile	febril
fecal	fækal
feces	afføring
fecundity	frugtbarhed
fed	fodret
federal	føderale
federation	føderation
fedup	træt af
fee	betaling
feeble	svag
feed	foder
feedback	tilbagemeldinger
feeder	feeder
feel	føle
feelgood	have det godt
feeling	følelse
feelingdown	NO TRANSLATION
feelinggood	NO TRANSLATION
feet	fødder
feign	foregive
feigned	fintede
feisty	iltre
felicity	felicity
feline	feline
fell	faldt
feller	Feller
fellow	fyr
fellowship	fællesskab
felon	forbryder
felony	felony
felt	følte
female	kvinde
feminine	feminin
femininity	kvindelighed
feminism	feminisme
feminist	feminist
femme	NO TRANSLATION
femoral	femoralis
femur	lårbenet
fen	NO TRANSLATION
fence	hegn
fenced	indhegnet
fencing	hegn
fend	afværge
fender	skærm
fennel	fennikel
ferment	gære
fermentation	fermentering
fern	bregne
ferocious	glubsk
ferocity	vildskab
ferret	ilder
ferry	færge
ferryboat	NO TRANSLATION
fertile	frodige
fertility	frugtbarhed
fertilize	befrugte
fertilizer	gødning
fervent	glødende
fervor	iver
fess	Fess
fest	fest
festival	festival
festive	festlig
fetal	føtal
fetch	hente
fete	NO TRANSLATION
fetish	fetish
fetus	foster
feud	fejde
feudal	feudale
feudalism	feudalisme
fever	feber
feverish	febrilsk
fiancee	NO TRANSLATION
fiasco	fiasko
fiat	Fiat
fib	fib
fiber	fiber
fiberglass	glasfiber
fibrosis	fibrose
fibrous	fiberholdigt
fickle	vægelsindet
fiction	fiktion
fictional	fiktive
fictitious	fiktiv
fiddle	violin
fiddler	violinist
fidelity	Troskab
fidgety	feltstol
fiduciary	betroet
field	Mark
field hockey	field hockey
fielder	markspiller
fiend	djævel
fiendish	djævelsk
fierce	voldsom
fiery	fyrig
fiesta	fiesta
fiesty	NO TRANSLATION
fifteen	femten
fifty	halvtreds
fig	fig
fight	kæmpe
fighter	fighter
fighting	kampene
fights	slagsmål
figment	figment
figurative	figurativ
figure	figur
figurine	figur
filament	filament
filamentous	trådformede
file	fil
filet	filet
filibuster	filibuster
filigree	filigran
filing	arkivering
filings	høvle
fill	fylde
filler	fyldstof
fillet	filet
filling	fyldning
filly	hoppeføl
film	film
filmmaker	filmskaber
filmy	NO TRANSLATION
filter	filter
filth	snavs
filthy	beskidte
filtration	filtrering
fin	NO TRANSLATION
final	endelige
finale	finale
finalist	finalist
finality	endelighed
finalize	færdiggøre
finalized	færdiggjort
finally	endelig
finance	finansiere
financial	finansiel
financier	finansmand
finch	finke
find	Find
finder	finder
finding	fund
fine	bøde
finery	stads
finesse	finesse
finger	finger
fingernail	fingernegl
fingerprint	fingeraftryk
fingerscrossed	NO TRANSLATION
finish	Afslut
finished	færdig
finite	begrænset
fink	Fink
fir	gran
fire	brand
firearm	skydevåben
firearms	skydevåben
fireball	ildkugle
firecracker	kanonslag
firefight	ildkamp
firefighter	brandmand
firefly	ildflue
firehouse	firehouse
firelight	firelight
fireman	brandmand
fireplace	ildsted
firepower	ildkraft
fireproof	brandsikker
fireside	kaminen
firestorm	firestorm
firewall	firewall
firewood	Brænde
firework	fyrværkeri
fireworks	fyrværkeri
firing	fyring
firm	firma
firmament	firmament
firmly	fast
firmness	fasthed
first	først
firstborn	førstefødte
firstworldprobs	NO TRANSLATION
fiscal	finanspolitiske
fish	fisk
fisherman	fisker
fishery	fiskeri
fishing	fiskeri
fishing boat	fiskebåd
fishy	fishy
fissile	fissilt
fission	fission
fissure	revne
fist	næve
fistfight	nævekamp
fistful	fistful
fistula	fistel
fit	passe
fitness	fitness
fits	passer
fitted	monteret
fitting	montering
fittings	fittings
five	fem
fiver	femmer
fix	rette op
fixable	rettes
fixation	fiksering
fixed	fast
fixer	fixer
fixture	armatur
fixtures	inventar
fizz	boblevand
fjord	fjorden
flabbergast	flabbergast
flabbergasted	paf
flabby	slasket
flaccid	slatten
flag	flag
flagging	udflagning
flagpole	flagstang
flagrant	åbenlys
flagship	flagskib
flagstaff	Flagstaff
flair	flair
flak	flak
flake	flake
flaky	skællet
flamboyant	prangende
flame	flamme
flamethrower	flammekaster
flaming	flammende
flamingo	flamingo
flammable	brandfarlig
flan	skærekage
flange	flange
flank	flanke
flanked	flankeret
flanking	flankerende
flannel	flannel
flap	klap
flapping	flagrende
flare	flare
flares	nødblus
flaring	flaring
flash	blitz
flashback	tilbageblik
flashing	blinkende
flashlight	lommelygte
flashy	prangende
flask	kolbe
flat	flad
flatbed	flatbed
flatfoot	flad fod
flatness	fladhed
flatten	flade
flatter	smigre
flattered	smigret
flattering	flatterende
flattery	smiger
flatulence	flatulens
flaunt	flagre
flavor	smag
flaw	fejl
flawed	fejlbehæftet
flawless	fejlfri
flea	loppe
fleabag	fleabag
fled	flygtede
flee	flygte
fleece	fleece
fleet	flåde
fleeting	flygtig
flesh	kød
fleshy	kødfulde
flex	flex
flexibility	fleksibilitet
flexible	fleksibel
flexin	flexin
flexion	fleksion
flick	svirp
flicker	flimmer
flickering	blinkende
flier	flier
flight	flyvningen
flighty	flyvsk
flimsy	spinkelt
flinch	vige
fling	slynge
flint	flint
flip	flip
flip flop	flip flop
flipper	flipper
flipping	spejlvende
flirt	flirt
flirtation	flirt
flirting	flirter
flirty	flirtende
float	flyde
floater	floater
flock	flok
flog	piske
flood	oversvømmelse
floor	etage
flooring	gulve
floozy	floozy
flop	flop
floppy	diskette
flora	flora
floral	blomster
florist	blomsterhandler
floss	tandtråd
flotation	flotation
flounder	rødspætte
flour	mel
flourish	blomstre
flow	flyde
flower	blomst
flowering	blomstring
flowers	blomster
flowery	blomstrende
flows	strømmer
flu	influenza
fluctuate	svinge
fluctuating	svingende
fluctuation	fluktuation
flue	flue
fluency	udtryksevne
fluent	flydende
fluff	fnug
fluffy	fluffy
fluid	væske
fluidity	flydeevne
fluke	lykketræf
flunk	dumpe
flunky	lakaj
fluorescence	fluorescens
fluorescent	fluorescerende
flurries	flurries
flurry	byge
flush	Flush
flustered	forfjamsket
flute	fløjte
fluted	riflede
flutter	flagren
fluvial	fluvial
flux	flux
fly	flyve
flyboy	Flyboy
flyer	flyer
flying	flyvende
flywheel	svinghjul
foal	føl
foam	skum
foaming	skummende
foamy	skummende
fob	fob
focal	brændvidde
focus	fokus
fodder	foder
foe	fjende
fog	tåge
foggy	tåget
foil	folie
foiled	forpurret
fold	folde
folded	foldet
folder	folder
foliage	løv
folio	folio
folk	folk
folklore	folklore
follicle	follikel
follicular	follikulært
follow	følge efter
follower	tilhænger
folly	dårskab
fond	fond
fondle	kæle
fondling	Fondling
fondness	forkærlighed
fondue	fondue
font	skrifttype
food	mad
foodie	foodie
fool	narre
fooled	narre
foolhardy	dumdristig
fooling	narre
foolish	tåbelig
foolishness	tåbelighed
foolproof	idiotsikker
foot	fod
foot stool	fodstole
footage	optagelser
football	fodbold
footbridge	gangbro
foothold	fodfæste
footing	fod
footlocker	footlocker
footloose	Footloose
footpath	sti
footprint	fodspor
footwear	fodtøj
footwork	fodarbejde
fop	fop
forage	foder
foray	strejftog
forbearance	overbærenhed
forbid	forbyde
forbidding	forbyder
force	kraft
forced	tvunget
forceful	insisterende
forceps	pincet
forces	kræfter
forcibly	med magt
ford	Ford
fore	forgrunden
forearm	underarm
foreboding	forudanelse
forecast	Vejrudsigt
forecaster	meteorolog
foreclose	afskærme
foreclosure	afskærmning
forefathers	forfædre
forefinger	pegefinger
forefront	forkant
forego	afkald
foregoing	ovenstående
foregone	forhånd
foreground	forgrunden
forehead	pande
foreign	udenlandsk
foreigner	udlænding
foreman	værkfører
foremost	fremmest
forensic	retsmedicinsk
forensics	retsvidenskab
foreplay	forspil
forerunner	forløber
foresee	forudse
foreseen	planlagte
foresight	fremsyn
forest	Skov
forestall	forkøbet
forethought	omtanke
foreveralone	forevigt alene
forevermore	evindelig
forewarned	advaret
foreword	forordet
forfeit	miste
forfeited	fortabes
forfeiture	fortabelse
forge	smede
forger	forfalsker
forgery	forfalskning
forget	glemme
forgetful	glemsom
forgetfulness	glemsomhed
forgive	tilgive
forgiven	tilgivet
forgiveness	tilgivelse
forgiving	tilgivende
forgotten	glemt
fork	gaffel
forked	kløvet
forking	forking
forklift	gaffeltruck
forlorn	forladt
form	form
formal	formel
formaldehyde	formaldehyd
formalism	formalisme
formality	formalitet
format	format
formation	formation
formative	formativ
formed	dannet
formidable	formidabel
forming	dannelse
formless	formløse
formula	formel
formulary	Formulary
formulate	formulere
fornicate	fornicate
fornication	utugt
forsake	Svigte
forsaken	forladt
forsooth	sandelig
fort	fort
forte	NO TRANSLATION
forthcoming	kommende
forthright	ligefremme
forthwith	straks
fortification	befæstning
fortify	forstærke
fortitude	fatning
fortnight	fjorten dage
fortnightly	hver fjortende dag
fortress	fæstning
fortuitous	tilfældige
fortunate	heldig
fortune	formue
fortunes	formuer
forty	fyrre
forum	forum
forward	frem
forwarding	videresendelse
fossil	fossil
fossils	fossiler
foul	modbydeligt
found	fundet
foundation	fundament
founder	grundlægger
founding	stiftende
foundry	støberi
fountain	springvand
four	fire
fourfold	firdoblet
foursome	foursome
fourteen	fjorten
fourth	fjerde
fowl	fjerkræ
fox	Ræv
foxhole	foxhole
foxtrot	foxtrot
foxy	foxy
foyer	foyer
fraction	fraktion
fractional	fraktioneret
fracture	knoglebrud
fragile	skrøbelig
fragility	skrøbelighed
fragment	fragment
fragmentary	fragmentariske
fragrance	duft
fragrant	duftende
frail	skrøbelig
frailty	skrøbelighed
frame	ramme
framework	rammer
franc	franc
franchise	franchisen
frank	åben
frankenstorm	NO TRANSLATION
frankness	frimodighed
frantic	Hektisk
frantically	febrilsk
