Word	ku
discontent	nerazîbûnê
discontinuance	sekinandin
discontinue	qûtkirin
discontinuity	nerazîbûn
discontinuous	nehêle
discord	berbiçav
discount	kêmkirinî
discounted	dabeş kirin
discourage	qidûmşikandin
discouraged	xemgîn kirin
discouragement	xemgîniyê
discouraging	bisekinin
discourse	axaftinê
discover	kişfkirin
discovery	kişfî
discredit	neheq
discredited	neheq
discreet	NO TRANSLATION
discrepancy	ferq
discrete	berbiçav
discretion	dizîtî
discretionary	paqijkirin
discriminate	biçûkdîtin
discriminating	cudatiyê
discrimination	biçûkdîtinî
discus	dîsk
discuss	hevaxaftin
discussion	nîqaş
disdain	neheq
disdainful	neheq
disease	nexweşî
diseased	nexweş
disembodied	hilweşandin
disengage	asteng
disengagement	bêhtir
disfigured	veguherandin
disgrace	eyb
disgraced	şermezar kirin
disgraceful	riswa
disgruntled	bêhtir
disguise	sergirtin
disguised	veguherandin
disgust	girêzî
disgusted	neheq
disgusting	girêze
dish	ferax
disheartened	nerazî kirin
disheartening	veqetandin
dishonest	nerast
dishonesty	neheqiyê
dishonor	neheq
dishonorable	neheq
dishwasher	xwarin
disillusionment	bêhtir
disinclination	veqetandin
disincline	derxistin
disinclined	vekirî
disinfect	bêkêmkirin
disinfectant	disinfectant
disinfection	betalkirinê
disinformation	bêhêzkirin
disingenuous	nebaş
disintegrate	hilweşînin
disintegration	veqetandin
disinterested	nexşandin
disjoint	xelet
disjointed	neheq
disjunctive	têkildar
disk	lewha
diskette	diskette
dislike	nefret dikin
disliked	nexwendin
disliking	nakokî
dislocated	betal kirin
dislocation	betalkirinê
dislodge	hilweşînin
disloyal	xerîb
disloyalty	dilsoziyê
dismal	şaş
dismantle	berhevgirtin
dismay	xemgîn bike
dismayed	hilweşandin
dismemberment	hilweşandin
dismiss	berdan
dismissal	berdanî
dismissive	derxistin
dismount	vekin
disobedience	asêtî
disobedient	asê
disobey	gûhnedan
disorder	bêsazî
disordered	asteng kirin
disorderly	bêkêmahî
disorganized	betal kirin
disorientation	neheqiyê
disoriented	neheq
disown	red kirin
disparage	nakokî
disparaging	berbiçav
disparate	neheq
disparity	neheqiyê
dispassionate	derxistin
dispatch	veguhestin
dispatcher	belavkirinê
dispel	bikişînin
dispensary	belavkirinê
dispensation	belavkirinê
dispense	belavkirin
dispenser	belavkirinê
dispersal	belavkirin
disperse	belakirin
dispersed	belav kirin
dispersion	belavkirin
dispirited	tirsandin
displace	lişûnkirin
displaced	jicîhûwarkirî
displacement	veguhestinê
displacency	berbiçav
display	pêşkêşî
displease	xemgîniyê
displeased	xemgîn
displeasure	xemgîniyê
disposable	dabeşkirin
disposal	derxistin
dispose	bifikirin
disposed	veguherandin
disposition	dermankirinê
dispossessed	vexwendin
disprove	pûçkirin
dispute	înkarkirin
disqualification	nerazîbûnê
disqualified	derxistin
disqualify	nerastkirin
disquieted	neheq
disregard	berbiçav
disregarded	berbiçav
disrelish	şaş
disreputable	neheq
disrepute	nefret
disrespect	nehêlin
disrespectful	bêhûrmet
disrupt	sekindayin
disrupting	asteng kirin
disruption	rawesta
disruptive	berbiçav
dissatisfaction	nefret
dissatisfied	nerazî
dissect	belav dikin
dissection	derxistin
disseminate	belav bikin
dissemination	belavkirin
dissension	berhevkirinê
dissent	dijberî
dissenting	bisekinin
dissertation	belavkirinê
disservice	dijber
dissident	rêjîmê
dissimilar	berbiçav
dissipate	hilweşandin
dissipated	hilweşandin
dissociation	tevlihevbûnê
dissociative	nebaş
dissolution	hilweşandin
dissolve	helandin
dissonance	tengahiyê
dissuade	hilweşînin
distal	dûr
distance	dûrî
distant	dûr
distaste	tengahiyê
distasteful	tengahî
distillate	bêhtir
distillation	tevlihevkirinê
distilled	bêhtir
distinct	cuda ye
distinction	ferqîdîtinî
distinctive	cuda ye
distinguish	ferqdîtin
distinguishable	cûda
distinguished	cuda ye
distinguishing	cuda ye
distort	bikişînin
distorted	şaş kirin
distortion	cûda
distract	balalîdan
distracted	xemgîn e
distracting	xemgîniyê
distraction	balalîdanî
distraught	tengahî
distress	tûnebûnî
distressed	tengahî
distressing	tengahiyê
distribute	belavkirin
distribution	belavkirinî
distributor	belavker
district	herêm
distrust	nebawerî
disturb	nerehetkirin
disturbance	nerehetî
disturbed	tengahî
disturbing	tengahî
disuse	naxwazin
disused	nehêle
ditch	kort
ditto	ditto
ditty	ditty
diurnal	xwarinê
diva	diva
divan	NO TRANSLATION
dive	navdeçûn
diver	avjan
diverge	diverge
divergence	dûr
divergent	dûr
diverging	drav
divers	cûda
diverse	cewaze
diversified	cûda
diversify	cûda bikin
diversion	balalîdanî
diversionary	cûda
diversity	cihêrengî
divert	rêgûherrandin
diverting	derxistin
divest	dabeş
divested	dabeş kirin
divestment	perçe
divide	parkirin
divided	parçekirin
dividend	drav
divination	dabeşkirin
divine	milet
divinity	dabeş
divisible	dabeşkirin
division	parî
divisor	parîs
divorce	telaqdanî
divorcee	derxistin
divulge	derxistin
divvy	parve
dizziness	zêrîn
dizzy	sergêjane
do	bikin
doable	karûbar
doc	doc
docile	dicile
dock	çirav
docked	daketin
docket	docket
docking	dakêşin
doctor	pizişk
doctorate	doktorê
doctrinal	doktor
doctrine	hînkirinê
document	belge
documentary	belgefîlmê
documentation	belge
documents	belgeyên
dodge	dodge
dodger	dodger
dodging	dodging
dodgy	dodgy
dodo	dodo
doe	doe
doer	doz
dog	seh
dogface	dogface
dogged	kûçik
doggy	doggy
doghouse	doghouse
dogma	dogma
dogmatic	dogmatic
dogsick	NO TRANSLATION
doings	karên
doit	NO TRANSLATION
dojo	dojo
doldrums	kevir
dole	mirinê
doll	bebek
dollar	dolar
dollhouse	qeyikê
dolor	NO TRANSLATION
dolphin	masîyê ûnis
domain	domain
dome	cinan
domestic	malî
domesticated	xweyî
domestication	xwarin
domicile	domê
domiciled	domdar kirin
dominance	serweriya
dominant	şertên hûkûmker
dominate	hûkûmkirin
dominating	serdest
domination	serdestiyê
dominatrix	dominatrix
dominion	serwer
domino	domino
don	don
donate	bêşdan
donation	şabaş
donkey	ker
donor	donor
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	doodle
doom	serhildanê
doomed	şaş
doomsday	rojan
door	derî
doorbell	derî
doorknob	doorknob
doorman	derî
doormat	doormat
doornail	doornail
doorstep	derî
doorway	deriyê
dopamine	dopamine
dope	dope
dopey	dopey
dork	dok
dorky	doktor
dorm	dorm
dormant	xerîb
dormitory	jûra razanê
dorsal	dorsal
dosage	pîvanîk
dose	derman
dossier	dossier
dot	dot
doting	dengdan
dotted	dotted
dotty	dottyeyê
double	dûcar
doubled	duyemîn
doublet	zû
doubling	duyemîn
doubt	şik
doubtful	şikî
doubting	guman dikin
doubtless	bêguman
doubts	guman
douche	deryaya
douchebags	qeleb
dough	hevîr
doughboy	doughboy
doughnut	donut
dour	xwar
douse	douse
dove	kew
down	jêr
downcast	hilweşandin
downer	xwar
downfall	hilweşînî
downfield	zeviyê
downhearted	xistin
downhill	darê
download	download
downpour	hilweşînin
downright	rast
downriver	dûr
downside	dorpêç
downtime	zû
downward	jêrîn
downy	xwar
dowry	cihêz
doze	doze
dozen	deste
drab	drab
draft	pêşniyarê
drafty	pêşniyar
drag	xwêrvekişandin
dragon	zîha
dragonfly	firroke
drain	mezrîb
drainage	deryariyê
drained	dakêşandin
draining	dakêşin
drainpipe	drainpipe
drake	drake
drama	dilşewatî
dramaqueen	NO TRANSLATION
dramatic	dramatîk
drape	drape
drapery	dûr
drastic	teskepir
drat	NO TRANSLATION
draught	pêşniyarê
draw	xetkirin
drawback	xetereyê
drawbridge	drawbridge
drawer	darê
drawers	dolaran
drawing	xet
dread	tirsa
dreaded	xemgîn
dreadful	xemgîniyê
dreadfully	xemgîn
dreading	xemgîniyê
dream	xewn
dreamboat	dreamboat
dreamer	xewn
dreaming	xewn
dreamland	xewn
dreams	xewn
dreamt	xewn
dreamy	xewn
dreary	drav
dredge	dredge
drenched	xist
dress	lebas
dresser	cilikê
dressmaker	kincan
dressy	cilan
dribble	NO TRANSLATION
dried	vekirî
drier	rûn
drift	rabe
drifted	rabû
drifter	drifter
driftwood	şewitandin
drill	qûlker
drink	vexwarin
drinker	vexwarinê
drinking	vexwarinê
drinks	vexwarin
drip	dilop
dripping	şikandin
drive	ajotin
drivel	davêjin
driver	ajotvan
driveway	rêwîtiyê
drizzle	şewitandin
droll	dol
drone	drone
drones	drones
drool	drool
drooping	davêjin
droopy	dorpêç
drop	dilopkirin
droplet	şewitandin
dropout	xizmetên mişterîyan
dropper	hilweşandin
drought	bêavî
drove	NO TRANSLATION
drown	fetisîn
drowsiness	xemgîniyê
drowsy	xerîb
drudgery	drav
drug	tevazok
drug dealing	bazirganiya dermankirinê
drugged	dermankirin
druggist	tevazokevan
drugs	dermanan
drugstore	dermanxane
druid	druid
drum	defik
drummer	devikvan
drumming	drumming
drunk	serxweş
drunk driving	ajotin
drunkard	serxweş
drunken	şêrîn
drunkenness	bêaqil
dry	zûha
dryer	dryer
dryness	zûhatî
dual	dual
dualism	dualism
duality	duality
dub	dub
dubious	xemgîn
duchess	xemgîniyê
duck	werdek
ducking	ducking
duckling	duckling
ducky	ducky
duct	daket
ductile	duçûk
dud	dud
dude	dude
duds	dudiyan
due	berî
duel	duel
dues	xercan
duet	duet
duffel	duffel
dugout	kişandin
duh	duh
duke	duke
dull	hişk
dullard	dîlard
dumb	bêdeng
dumbasses	dûr
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	dummy
dump	dump
dumpling	xwarinê
dumps	dumps
dumpster	dumpster
dun	dun
dunce	dunce
dune	girik
dung	NO TRANSLATION
dungeon	binerd
dunk	dunk
duo	duo
dupe	dupe
duplex	duplex
duplicate	cote
duplication	zêdejimarkirin
duplicity	berbiçav
durability	xweparêzî
durable	herdemîn
duration	demajok
duress	xemgîniyê
dusk	êvartarî
dusky	dusky
dust	toz
duster	duster
dustpan	dustpan
dusty	tozîn
dutiful	xemgîn
duty	wezîfe
dwarf	dwarf
dwarfed	dûr kirin
dweeb	dweeb
dwell	rûniştin
dweller	rûniştin
dwelling	rûniştin
dye	malê rengan
dying	dimirin
dyke	dyke
dynamic	dînamîk
dynamical	dînamîk
dynamics	dînamîk
dynamite	dînamît
dynamo	dînemo
dynasty	xaniyê
dysentery	diranan
dysfunction	dakêşin
dysfunctional	dîsfunctional
dyspepsia	dyspepsia
eager	jîrane
eagerness	xemgîniyê
eagle	qertel
ear	gûh
earful	guhdar
earl	guh
earlier	berê
early	zû
earn	qezenckirin
earnest	dilsoz
earnestly	dilsoz
earnestness	dilsoz
earnings	hatine
earpiece	perçeyê
earring	gûhar
earrings	guhên
earshot	guh
earth	erd
earthenware	erdhejê
earthling	erdê
earthly	erdê
earthquake	erdhejî
earthy	erdhej
ease	sivikî
easel	înfilîzî
easement	xweş
easily	bi hêsanî
east	rohilat
eastbound	rojhilat
eastern	rohilatî
easy	sivik
easygoing	hêsangir
eat	xwarin
eater	xwarinê
eating	dixwin
eatingdisorders	NO TRANSLATION
eavesdrop	xilas
eavesdropping	xilas
ebb	ebb
ebony	ebonyona
ebullient	ebullient
eccentric	berbiçav
eccentricity	xemgîniyê
ecclesiastical	ecclesiastical
echelon	echelon
echinacea	echinacea
echo	dengvegerîn
eclectic	eklectîkê
eclipse	tarîreş
ecliptic	ecliptic
ecological	ekolojîk
economic	aborîn
economical	aborî
economics	aborî
economy	abor
ecosystem	ekosystem
ecstasy	ecstasy
ecstatic	ecstatic
ecumenical	ecumenical
eddy	eddy
edema	edema
edge	qerax
edging	xistin
edgy	edgy
edible	xwarinê
edict	edict
edification	edification
edifice	edifice
edit	weşandin
editing	guherandin
edition	edition
editor	weşanvan
editorial	edalet
educate	gîhandin
educated	perwerdekirin
education	zanyarî
educational	perwerdeyê
educator	mamoste
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	marmasî
eerie	eerie
effect	tesîr
effective	tesîrane
effectiveness	bandor
effects	bandorên
effectual	bandor
effectually	bandor
effectuate	bandor
effeminate	berbiçav
efficacious	berbiçav
efficacy	bandor
efficiency	kêrhatîya bicîanîn
efficient	kêrhatê bicîanîn
effigy	bêhtir
effort	berxwedanî
effortless	hewceyê
effusion	berbiçav
effyou	NO TRANSLATION
egg	hêk
egghead	hêsan
eggnog	eggnog
eggplant	xwînê
eggshell	hêsan
ego	ego
egomaniac	egomaniac
egotistical	nimûne
egregious	berbiçav
egress	tevger
eight	heşt
eighteen	hejdeh
eighth	heştem
eighty	heştê
ejaculate	xwezayî
ejaculation	rêjîmê
eject	derveavêtin
ejection	ejection
elaborate	dûrûdirîj
elaboration	ravekirin
elan	NO TRANSLATION
elapse	berbiçav
elapsed	berbiçav
elastic	elastic
elasticity	hûrgelan
elated	nirxandin
elation	elation
elbow	enîşk
eld	eld
elder	gewretir
elderly	pîr
elders	rihspî
eldest	herî mezin
elect	hilbijartin
election	hilbajartinî
elective	bijarte
elector	dengdar
electoral	hilbijartinê
electorate	dengdanê
electric	elatrîkî
electric slide	slide elektrîkê
electrical	elektronîk
electrician	elektronîk
electricity	elatrîk
electrify	elektrîkê
electrocute	elektronîk
electrocution	elektrîkê
electromagnetic	elektromagnetic
electron	elektronîk
electronic	elektronîk
electronics	elektronîk
elegance	çelengî
elegant	çeleng
element	pêve
elemental	elemental
elementary	sereke
elements	elementan
elephant	fîl
elevate	bilind
elevated	bilind kirin
elevation	girik
elevator	esansor
eleven	yanzdeh
eleventh	yanzdehem
elf	elf
elicit	elicit
eligible	heqdar
eliminate	jiberrakirin
elimination	hilweşandin
elite	elît
elitist	elîtist
elixir	elixir
elk	elk
ell	ell
ellipse	îlipse
ellipsis	ellipsis
ellipsoid	ellipsoid
elliptic	elliptic
elliptical	elliptical
elm	elm
elongate	veguherîne
elongation	berbiçav
elope	elope
eloquence	berbiçav
eloquent	berbiçav
elucidate	nirxandin
elucidation	nerazîbûnê
elude	jiberçûn
elusive	jidestrevî
emaciated	xerîb
email	email
emanate	emanate
emancipation	azadiyê
embankment	kişandin
embargo	NO TRANSLATION
embark	gemîkirin
embarrass	şermezarkirin
embarrassed	şermezar kirin
embarrassing	fedîkarî
embarrassment	fedî
embassy	sefaret
embattled	tête kirin
embed	embed
embellish	kişandin
embellishment	kişandin
embers	pêkanîn
embezzlement	xemgîniyê
embezzler	xerîb
emblem	nîşan
emblematic	hestyar
embodiment	çermê
embolism	embolîzmê
embossed	kişandin
embrace	himbêzkirin
embroidered	berbiçav
embroidery	kulikê
embroiled	kişandin
embryo	limik
embryonic	embryonic
emcee	emcee
emerald	mirinê
emerge	derketina meydanê
emergence	derketin
emergency	acîlîyet
emeritus	emerîtus
emery	zehmet
emetophobia	emetofobiya
emigrate	welatberdan
emigration	welatberdanî
eminence	hestiyê
eminent	berbiçav
eminently	zehf
emir	NO TRANSLATION
emissary	xerîb
emission	destûr
emit	emit
emo	emo
emotion	his
emotional	hisî
emotive	emotive
empathic	empathî
empathize	empathî
empathy	dilsoz
emperor	keyser
emphasis	bidengî
emphasize	bidengkirin
emphatic	emphatîk
emphysema	emphysema
empire	qiralîyet
empirical	pispor
empiricism	impirîzîzmê
employ	kardayin
employee	karker
employer	karda
employment	kar
emporium	emporium
empower	bihêz dike
empress	empress
emptiness	bîhnfirehiyê
emption	xemgîniyê
empty	vala
emu	emu
emulate	xilas bike
emulsion	emulsion
enable	bikêrkirin
enablement	çalakiyê
enact	pêkanîn
enactment	veguherîn
enamel	enamel
encampment	dorpêç
enchant	balkêş
enchanted	şaş
enchanting	balkêş
enchantment	şaş
enchantress	kelezek
enchilada	enchilada
encircle	çemberkirin
encircling	encircling
enclave	enclave
enclose	dorgirtin
enclosure	dorçîtkişanî
encode	encode
encomiastic	NO TRANSLATION
encomium	encomium
encompass	kişandin
encore	NO TRANSLATION
encounter	lihevrasthatinî
encourage	cisaretdan
encouraged	teşwîq kirin
encouragement	cisaretdanî
encouraging	teşwîq dike
encroach	bikişînin
encroachment	veguhestin
encrypt	encrypt
encryption	şîfreyê
encumbrance	berbiçav
encyclopedia	ensîklopediya
end	dawî
end table	maseya dawîn
endanger	talûkekirin
endangered	xeter
endangerment	xetereyê
endearing	xemgîniyê
endeavor	hewldanî
ended	dawî
endemic	bîranîn
endgame	endgame
ending	dawî
endless	bêdawî
endocarditis	endocarditis
endorse	destnîşankirin
endorsement	destûrdanî
endow	berbiçav
endowed	tête kirin
endowment	hilberîn
endpapers	endpapers
endpoint	endpoint
endurance	berdewamî
endure	debirandin
enduring	xurtkirin
enema	enema
enemy	dijmin
energetic	enerjî
energize	enerjekirin
energy	înercî
enforce	dan qebûlkirin
enforcement	bicihkirin
enforcer	pêkanîn
engage	tevlihev dikin
engaged	tevlihev
engagement	destgirî
engaging	tevlihev kirin
engender	kişandin
engine	makîne
engineer	hendese
engineering	endazyariyê
engrave	bingehkirin
engraved	kişandin
engraver	kişandin
engraving	kişandin
engrossed	kişandin
engrossing	kişandin
engulf	kişandin
enhance	zêde bikin
enhancement	zêdebûna
enigma	enigma
enigmatic	navîn
enjoin	enjoin
enjoy	hizkirin
enjoyable	dilfirehkirane
enjoying	kêfxweş e
enjoyment	xweşî
enlarge	mezinkirin
enlarged	dirêj kirin
enlargement	mezinkirinî
enlighten	ronahî
enlightened	ronahî
enlightening	ronahî
enlightenment	ronahî
enlist	lîsteya
enliven	enliven
enmity	dijmin
ennui	ennui
enormity	pirrjimar
enormous	pirr mezin
enormously	gelemperî
enraged	nerazîbûn
enrich	dewlemend dike
enroll	nivîsîn
enrollment	nivîsînî
ensemble	heval
ensign	damezirandin
enslave	kişandin
enslaved	dagirker
enslavement	kişandin
ensue	pêkanîn
ensure	pêredîtin
entail	têkevin
entangled	ketin
entanglement	têkildarî
enter	derbasbûn
enterprise	şirket
enterprising	pûtperest
entertain	axaftin
entertained	xemgîn kirin
entertainer	kêfxweş
entertaining	dilsoz
entertainment	axaftin
enthralled	xweş kirin
enthusiasm	ecêbî
enthusiast	dilsoz
enthusiastic	ecîbma
entice	têkevin
entire	giş
entirety	tevahî
entitle	destnîşankirin
entity	dezgehên
entomology	entomolojiyê
entourage	bistînin
entrails	derê
entrance	derî
entrapment	vexwarinê
entreat	bisekinin
entree	têketin
entrepreneur	karsaziyê
entrust	birêvebirin
entry	qeyd
enumerate	hejmarek
enumeration	nimûne
envelope	zerf
envious	beecok
environ	NO TRANSLATION
environment	dor
environmental	hawirdorê
environs	environs
envision	nirxandin
envoy	envoy
envy	dexs
enzyme	enzyme
ephemeral	hewayê
ephemeris	ephemeris
epic	epic
epidemic	nexweşîya zûbelav
epidermis	epidermis
epidural	epidural
epilepsy	mîlîtan
epileptic	têkildar
epilogue	epîlogue
epiphany	epiphany
episcopal	episcopal
episode	episode
episodic	epîsodîk
epistle	epistle
epitaph	epitaph
epithet	epithet
epitome	epitome
epoch	pêşîn
equal	wekhev
equality	wekhevî
equalization	wekhev kirin
equalize	wekhev
equalizer	wekhev
equally	wek hev
equate	wekhev
equation	wekheviyê
equator	îkwator
equatorial	equatorial
equestrian	dagirker
equidistant	equîzistant
equilibration	wekhevî
equilibrium	wekheviyê
equip	xemilandin
equipment	xemil
equitable	wekhev
equity	wekheviyê
equivalence	wekheviyê
equivalent	berdêl
equivocal	equivocal
era	dem
eradicate	hilweşînin
eradication	hilweşandin
erase	vemirandin
eraser	vemirok
erasure	hilweşînin
ere	NO TRANSLATION
erect	avakirin
erectile	ereb
erection	çêkirin
ergo	NO TRANSLATION
erode	erode
erosion	birçîbûnê
erotic	cinsî
erotica	erotica
err	çewt
errand	çewt
errant	xerîb
erratic	neheqî
erratum	erratum
erroneous	çewt
error	şaşî
erst	NO TRANSLATION
erudite	erudite
erupt	revîn
eruption	jêrevî
escalade	çûn
escalate	sûwarbûn
escalating	zêdebûna
escalation	zêdebûna
escalator	derkevin
escape	rev
escaped	reviyan
escarpment	eskerpment
eschew	xistin
escort	kesparêzî
escrow	kişandin
esophagus	esophagus
esoteric	esoteric
especial	NO TRANSLATION
espionage	casusî
espouse	espouse
espresso	espresso
esprit	esprit
esquire	bisekinin
essay	nivîskî
essayist	gotar
essence	bingehîn
essential	pêwist
essentially	bingehîn
establish	bingehdanîn
established	saz kirin
establishment	bingeh
estate	sîteyê
esteem	dilsoz
esteemed	dilsoz
esthetic	estistic
estimable	nirxandin
estimate	texmînkirin
estimation	estimation
estoppel	estoppel
estranged	nirxandin
estrogen	estrogen
estuary	navendê
etch	etch
etching	kişandin
eternal	bêpaş
eternity	bêpaşî
ethanol	etanol
ether	ether
ethereal	etnîkî
ethic	etîk
ethical	etîkî
ethics	etîk
ethnic	etnîkî
ethnography	etnografiyê
etiology	etiolojiyê
etiquette	nasnama mal
etymology	etymolojiyê
eucalyptus	eucalyptus
euchre	euchre
eugenics	eugenics
eulogistic	ekolojî
eulogium	eulogium
eulogize	eşkere bikin
eulogy	eulogy
euphemism	euphemîzmê
euphoria	dilsoz
euphoric	bêhêz
euro	euro
euthanasia	euthanasia
evacuate	koçberkirin
evacuation	koçberkirinî
evade	jêzîvirrîn
evaluate	bihadanîn
evaluation	nirxandin
evanescence	evanscence
evangelical	Mizgîniyê
evangelist	evangelîst
evangelistic	evangelîst
evaporate	dixankirin
evaporation	belavkirinê
evasion	vekşîyanî
evasive	vekişandin
eve	eve
evening	êvar
evens	NO TRANSLATION
event	bûyer
eventful	pirrbûyer
eventual	dawîn
eventuality	bûyer
evergreen	hejar
everlasting	herheyî
evermore	herdem
everyday	her roj
everyman	herman
evict	qewitandin
eviction	qewitandinî
evidence	delîl
evident	diyar e
evidentiary	eşkere
evil	nebaş
evoke	evoke
evolution	pêşveçûnî
evolutionary	pêşketinê
evolve	çêkirin
ewe	mêr
ex	berê
exacerbate	bêhtir
exacerbation	nerazîbûnê
exact	tam
exacting	rastkirin
exaggerate	niqirandin
exaggerated	xemgîn kirin
exaggeration	niqirandinî
exalt	bilind bikin
exaltation	dilsoz
exalted	bilind kirin
exam	îmtîhanê
examination	îmtîhan
examine	îmtîhankirin
examiner	lêkolîner
example	mînak
exasperated	şaş
exasperation	nerazîbûnê
excavate	kolan
excavation	kol
excavator	digotin
exceed	jêderbasbûn
exceeding	bêtir
excel	excel
excellence	gelekbaşî
excellent	pirrbidilî
excelsior	berbiçav
excepting	bêyî
exception	îstîsna
exceptional	îstîsnayî
excerpt	digotin
excess	zêdeyî
excessive	zêde
excessively	zêde
exchange	berdêl
excise	hilberînin
excision	lêgerîn
excitability	xemgîniyê
excitable	hêja
excitation	kişandin
excite	acizbûn
excited	aciz
excitement	qehirîn
exciting	heyecanda
exclaim	bistînin
exclamation	nerazîbûnê
exclude	jinavderxistin
excluded	derxistin
excluding	derveyî
exclusion	jinavderxistî
exclusive	hew
excrement	xemgîniyê
excretion	xemgîniyê
excruciating	berbiçav
excursion	gerr
excuse	borîn
exec	kirin
execute	dardekirin
execution	birêverbirî
executioner	darizandin
executive	bikaranînî
executor	îdamê
exegesis	nimûne
exemplar	exemplar
exemplary	exemplary
exemplify	nirxandin
exempt	jêderxistî
exemption	jêderxistinî
exercise	fêre
exert	xistin
exertion	berbiçav
exhale	bistînin
exhaust	dixanda
exhausted	qedya
exhaustion	xûlq
exhaustive	berbiçav
exhibit	pêşkêşkirin
exhibition	pêşkêşî
exhilarated	xemgîn kirin
exhilarating	xemgîniyê
exhilaration	xemgîniyê
exhort	bistînin
exhortation	pêşniyarê
exhumation	bêhnxweş
exhume	bistînin
exigent	NO TRANSLATION
exile	sirgûnkirinî
exist	hebûn
existence	hebûnî
existent	berbiçav
existential	hebûn
existing	heyî
exit	derî
exodus	derveyî
exonerate	bêhtir
exorbitant	bêhtir
exorcism	exorcîzmê
exorcist	xerîb
exotic	bêgane
expand	firehkirin
expanded	dirêj kirin
expanse	derxistin
expansion	firehbûnî
expansive	berfirehtir
expatriate	veguhestin
expect	bendeman
expectance	hêviya
expectancy	hêviya
expectant	hêvîdar
expectation	payinî
expected	hêvî kirin
expecting	hêvî dike
expediency	pêkanîn
expedient	berbiçav
expedite	berbiçav
expedition	narde
expeditious	berbiçav
expel	qewitandin
expendable	mesrefê
expenditure	xercî
expense	xercî
expenses	mesrefan
expensive	biha
experience	tecribe
experienced	serbixwe
experiences	ezmûnan
experiment	ceribandinî
experimental	ezmûn
experimentation	ceribandinê
experimenter	ezmûn
expert	pispor
expertise	pispor
expiration	borînî
expire	derbasbûn
expired	qedandin
expiry	bidawîkirin
explain	daxûyankirin
explanation	daxûyanî
explanatory	ravekirin
expletive	berbiçav
explication	eşkerekirin
explicit	zelal e
explode	teqîn
exploit	kar dikin
exploitation	kedmêjî
exploration	lêkolîn
exploratory	lêgerîn
explore	lêkolîn
explorer	lêkolînvan
explosion	teqînî
explosions	teqîn
explosive	teqîn
expo	xerîb
exponent	perçeyek
exponential	berbiçav
export	eksport
exportation	firotanê
expose	sekinandin
exposed	xistin
exposition	nirxandin
expository	peyda
exposure	sekinandinî
expound	bikişînin
express	îfadekirin
expression	îfade
expressive	zelal
expressway	axaftinê
expropriation	xercê
expulsion	derxistin
exquisite	berbiçav
exquisitely	bêhtir
extant	dirêj
extend	n
extendable	dirêjkirin
extended	dirêj kirin
extension	pêşvebrinî
extensive	dirêjkirî
extent	pîvan
exterior	xûyne
exterminate	qelihandin
extermination	qelihandinî
exterminator	dagirker
external	xûkirînî
externally	derve
extinct	winda
extinction	derxistin
extinguish	vekin
extinguisher	rêjîmê
extol	extol
extort	bigirin
extortion	rakirin
extra	biserde
extract	jêbirin
extracting	derxistin
extraction	derxistin
extractor	kişandin
extracurricular	neheq
extradition	şandin
extrajudicial	bêhtir
extramural	extramural
extraneous	xerîb
extraordinaire	bêhtir kirin
extraordinary	bêfêrane
extraterrestrial	xerîb
extravagance	bêhtir
extravagant	bêhtir
extravaganza	extravaganza
extreme	bêfêhm zêde
extreme anticipation	pêşniyazek mezin
extreme disgust	bêhêz
extreme surprise	şaş e
extreme trust	ewlehî
extremely	herî zêde
extremely negative	neyînî
extremely positive	erênî
extremity	pirrjimar
extricate	xistin
extrinsic	derxistin
extrusion	derxistin
exuberance	nerazîbûnê
exude	şaş
eye	çav
eyeball	eyeball
eyebrow	brû
eyeful	xerîb
eyeglass	çavê
eyeglasses	çavên
eyelash	mûçav
eyelet	çavê
eyeliner	eyeliner
eyepiece	eyepiece
eyes	çavên
eyesight	çavê
eyewitness	şahida çavdît
fab	fab
fable	çîrokên heywanan
fabled	fîlm
fabric	mal
fabricate	çêbikin
fabricated	çêkirî
fabrication	çêkirin
fabulous	pirdelal
facade	rûyê xwe
face	rû
faceless	neheq
facet	facet
facial	rûyê
facile	NO TRANSLATION
facilitate	hêsan bikin
facility	çêbikin
facing	beramber
facsimile	fêmkirin
fact	berçavî
faction	kom
factor	faktor
factory	karxane
facts	rastiyê
factual	rastîn
faculties	kulturî
faculty	kêrhatinî
fad	fad
fade	zerbûn
faded	xemgîn kirin
faeces	til
fag	fag
faggot	fagot
fail	biserîneçûn
failing	têkçûna
failure	têkçûnî
fain	NO TRANSLATION
faint	qels
fainting	neheqî
fair	adîl
fairly	biqewime
fairness	rastiyê
fairway	rêwîtiyê
fairy	horî
faith	bawerî
faithful	girêda
faithfulness	dilsozî
faithless	bêbawer
fake	qelp
faker	faker
falafel	falafel
falcon	teyrê baz
fall	ketin
fallacious	hilweşîn
fallacy	hilweşînê
fallback	paşbikin
fallible	hilweşîn
falling	ketin
fallopian	fallopian
fallout	qewimîn
fallow	ketin
false	ŞAŞ
falsehood	derew
falsely	derew
falsification	falsification
falsified	felsef kirin
falsify	şaş kirin
falsity	bêaqil
falter	şaş
fame	navûdengî
