Word	tg
circuitry	circuitry
circular	circular
circulate	паҳн кунед
circulation	гардиш
circulatory	circulatory
circumcision	хатна
circumference	давра
circumferential	фароғатӣ
circumscribed	рабт дорад
circumstance	вазъият
circumstances	вазъият
circumstantial	мутаносибан
circumvent	вироиш
circumvention	вироиш
circus	circus
cirque	лирикӣ
cirrhosis	бромҳо
cirrus	бромус
cistern	чуқур
citadel	аспсавор
citation	даъво
cite	класс
citizen	шаҳрванд
citizenship	шаҳрвандӣ
citrine	citrine
citrus	ситрусӣ
city	шаҳр
citywide	Умумишаҳрӣ
civic	шаҳрвандӣ
civics	шаҳрвандӣ
civil	шаҳрвандӣ
civilian	шаҳрвандӣ
civilians	шаҳрвандон
civility	тамаддун
civilization	тамаддун
civilized	мутамарказ
clad	коғаз
claim	Даъво
claimant	даъвогар
clairvoyant	хлор
clam	Клам
clambake	clambake
clammy	кламми
clamor	ханда
clamp	кальп
clan	клан
clandestine	яхдон
clang	Садои ҳамватан
clap	чап
clapper	кластер
clapping	клик кунед
clarification	равшанкунӣ
clarify	муайян кунед
clarinet	кларнет
clarion	эмкунӣ
clarity	возеіият
clash	муноқиша
clashing	муноқиша
clasp	дандон
class	синф
classic	классикӣ
classic rock	санги классикӣ
classical	классикӣ
classics	классикӣ
classification	таснифот
classified	тасниф
classify	тасниф кунед
classmate	синфӣ
classroom	синфхона
classy	классикӣ
clatter	печида
clause	матн
clauses	матнҳо
claustrophobia	клророфобия
claustrophobic	клророфобӣ
clavicle	маҷалла
claw	данд
claws	қаллобон
clay	гил
clean	пок
cleaner	тоза
cleaning	тоза кардан
cleanliness	тозагӣ
cleanly	тоза кунед
cleanse	тоза кунед
cleanser	поксозӣ
cleansing	тоза кардан
cleanup	поккорӣ
clear	равшан аст
clearance	тоза кардан
clearing	тоза кардан
clearness	равшанӣ
cleat	ҷуброн карда мешавад
cleavage	тақсим карда мешавад
cleave	фаромӯш накунед
cleaver	NO TRANSLATION
clef	пӯшед
cleft	тақсим кардан
clemency	бегона
clench	кандан
clergy	рӯҳониён
clergyman	рухд
cleric	рӯҳонӣ
clerical	рухсатӣ
clerk	котиб
clerkship	қудрат
clever	хирадманд
cleverness	пошидан
click	ангушт занед
clicker	ангуштзанӣ
client	мизоҷ
clientele	мизоҷ
cliff	клиф
climate	иқлим
climatology	климатология
climax	давр
climb	баромадан
climber	димоғ
clinch	клиникӣ
cling	хомӯш
clingy	хомӯш
clinic	клиникӣ
clinical	клиникӣ
clink	клик кунед
clip	клип
clipboard	силсила
clipper	клавиатура
clipping	клпл
clique	NO TRANSLATION
clitoris	клитсер
cloak	либос
cloaking	пӯшидан
cloakroom	либос
clobber	кобед
clock	соат
clockwork	соати корӣ
clod	clod
clog	кист?
cloister	калл
clone	clone
cloning	клипинг
close	наздик аст
closed	пӯшед
closeness	ба наздикӣ
closet	бастабандӣ
closure	басташавӣ
clot	қоғаз
cloth	матоъ
clothe	матоъ
clothes	либос
clothesline	либос
clothing	либос
cloud	абрҳо
clouded	абрҳо
cloudiness	cloud
clouds	абрҳо
cloudy	пластикӣ
clout	лой
clove	дандон
clover	парвариш
cloves	донаҳо
clown	қоғаз
clowns	қаҳваранг
club	клуб
clubhouse	клубӣ
clubs	клубҳо
cluck	хомӯш
clue	калл
clueless	зебоӣ
clump	пӯшидан
clumsy	пӯшида
clunk	кӯҳна
cluster	кластер
clutch	дандон
clutches	дандонҳо
clutter	пароканда
coach	тренер
coachman	тренер
coagulation	коагулятсия
coal	ангишт
coalesce	муттаҳид
coalition	коалитсия
coarse	ҷарима
coast	соҳил
coastal	соҳилӣ
coaster	гулӯла
coastline	соҳилӣ
coat	пӯшед
coating	коғаз
coax	ҳамоҳанг
cobalt	Кобалт
cobble	ботлоқ
cobbler	дубора
cobra	Кубра
cocaine	кокаин
cock	гӯр
cockamamie	голос
cockeyed	шоколад
cockpit	кокпарт
cockroach	гамбургер
cocksucker	коксер
cocktail	Коктейль
cocky	шоколад
cocoa	косо
coconut	норҷил
cocoon	коса
cod	рамзи
code	код
codeine	коди
codex	кодекс
codfish	рамзи
codification	рамзгузорӣ
codify	рамзи
coding	Рамзгузорӣ
coed	баста
coefficient	коэффитсиент
coerce	маҷбурӣ
coercion	маҷбурӣ
coercive	маҷбурӣ
coexist	ҳамоҳангӣ
coexistence	ҳамоҳангӣ
coexisting	ҳамоҳангӣ
coffee	қаҳва
coffee table	мизи қаҳва
coffeehouse	қаҳвахона
coffeepot	косахона
coffin	тобут
cog	шинонданд
cogent	шинохташуда
cognac	коняк
cognate	шинохта мешавад
cognition	шинохтани
cognitive	шинохташуда
cohabitation	ҳамоҳангӣ
coherence	ҳамоҳангӣ
coherent	ҳамоҳангӣ
cohesion	ҳамоҳангӣ
cohesive	ҳамоҳангӣ
cohort	Кохорт
coil	coil
coiled	резед
coin	танга
coinage	толор
coincide	танзим кунед
coincidence	муқовимат
coincident	возеҳ аст
coincidental	шадид
coinciding	ҳамоҳангӣ
coke	қаҳва
cola	кола
cold	хунук
coldly	хунук
coldness	хунук
coldsweat	NO TRANSLATION
coleslaw	coleslaw
colic	colic
coliseum	coliseum
collaborate	ҳамкорӣ кардан
collaboration	ҳамкорӣ
collaborator	коргар
collage	коллаж
collagen	collagen
collapse	вайрон шудан
collar	офтоб
collarbone	панел
collate	collate
collateral	гарав
collation	Баҳриддин Камолиддинов
colleague	ҳамкорам
collect	ҷамъоварӣ
collected	ҷамъоварӣ карда шудааст
collection	ҷамъоварӣ
collective	коллективӣ
collectively	ҷамъиятӣ
collector	коллективӣ
college	коллеҷ
collegiate	коллеҷ
collide	садама
collie	collie
collision	шитоб
collocation	ҳамоҳангӣ
colloquial	оҳиста-оҳиста
collusion	ҳабс кардан
cologne	католик
colon	колония
colonel	полковник
colonial	колония
colonic	колония
colonoscopy	колонсикасозӣ
colony	колония
colophon	colophon
color	ранг
coloration	рангубор
colored	ранг
colorful	рангин
coloring	ранг
colorless	рангубор
colors	рангҳо
colossal	васеъ
colt	коғаз
columbine	columbine
column	сутуни
columnar	columnar
columnist	коршинос
com	NO TRANSLATION
coma	coma
comatose	шохис
comb	омехта
combat	мубориза мебаранд
combatant	ҷангал
combative	омехта
combination	омехта
combinatorial	combinatorial
combine	combine
combined	якҷоя
combo	combo
combustible	сӯзишворӣ
combustion	сӯзишворӣ
come	биёед
comeback	баргард
comedian	Комсомол
comedy	Комсомол
comet	comet
comfort	тасаллӣ
comfortable	бароҳат
comforter	тасаллӣ
comforting	тасаллӣ мебахшад
comfy	ройгон
comic	ранг
comical	зебо
comics	Ҷавонон
coming	омадед
comma	вирус
command	фармоиш
commandant	командир
commandeer	фармондеҳӣ
commander	командир
commanding	фармоишӣ
commandment	амр
commando	фармондеҳ
commemorate	ёд кунед
commemoration	ёддошт
commemorative	ёддошт
commence	оғоз меёбад
commend	таъриф кунед
commendable	таъриф
commendation	таъриф
commensurate	мувофиқ аст
comment	шарҳ диҳед
commentary	Шарҳҳо
commentator	шарҳдиҳанда
commerce	тиҷоратӣ
commercial	тиҷоратӣ
commie	фармоишӣ
commissary	комиссар
commission	Комиссия
commissioner	комиссионер
commit	содир кунед
commitment	ӯҳдадориҳо
committal	данд
committed	содир шудааст
committee	Комиссия
commodity	мол
commodore	фармоишӣ
common	умумӣ
commoner	умумӣ
commonly	одатан
commonplace	маъмулан
commons	омехта
commonwealth	умумӣ
commotion	фароғат
communal	коммуналӣ
commune	коммунист
communicable	мубодила
communicate	муошират кунед
communication	муошират
communicative	муошират
communicator	муошират
communion	саломатӣ
communism	коммунизм
communist	коммунистӣ
community	ҷомеа
commutation	Муваффақият
commutative	омехта
commute	гузаред
commuter	данд
comp	comp
compact	compact
compaction	compact
compactness	compactness
companion	шарики
companionless	шарики
companionship	шарикӣ
company	ширкат
comparable	муқоиса кунед
comparative	муқоиса кардан
comparatively	муқоиса кунед
compare	муқоиса кунед
comparison	муқоиса кунед
compartment	мм
compass	компютер
compassion	шафқат
compassionate	шодбошӣ
compatibility	мутобиқат
compatible	мувофиқ аст
compel	маҷбур кунед
compelled	маҷбур шудааст
compelling	маҷбур аст
compendium	compendium
compensate	ҷуброн кунед
compensation	ҷуброн
compensatory	ҷубронпулӣ
compete	рақобат кунед
competence	салоҳият
competency	салоҳият
competent	мутахассис
competition	рақобат
competitive	рақобатпазир
competitor	рақиб
compilation	таҳрир
compile	тартиб додан
complacency	канорагирӣ
complacent	хушбахтона
complain	шикоят кардан мумкин аст
complaint	шикоят
complement	иловаҳо
complementary	иловагӣ
complete	пурра
completed	анҷом ёфт
completely	комилан
completeness	пурра
completing	тамом
completion	анҷом ёфт
complex	мураккаб
complexed	мураккаб
complexion	мураккаб
complexity	мушкилот
compliance	риояи
compliant	мувофиқ аст
complicate	душвор аст
complicated	душвор аст
complication	мушкилот
complicity	мушкилот
compliment	NO TRANSLATION
complimentary	озод
comply	риоя кунед
complying	риоя кардан
compo	compo
component	компонент
compose	эҷод кунед
composed	иборат аст
composer	композитор
composite	омехта
composition	таркиби
compost	компост
composure	ором
compound	омехта
comprehend	фаҳмидан
comprehension	фаҳмидан
comprehensive	ҳамаҷониба
compress	фишурда
compressed	фишурдашуда
compressible	маҷрӯҳ
compression	фишор
compressor	компрессор
comprise	иборат аст
compromise	созишнома
comptroller	таҳлилгар
compulsion	маҷбур кардан
compulsive	compulsive
compulsory	ҳатмӣ аст
computable	computable
computation	ҳисоб карда мешавад
compute	compute
computer	компютер
computerized	компютерӣ
computing	компютерӣ
comrade	ҳамсоя
con	NO TRANSLATION
concatenation	ҳамоҳангӣ
concave	конастанд
conceal	пинҳон кардан
concealed	пинҳон карда шудааст
concealment	пинҳон кардан
concede	хулоса
conceit	ҳикоя кунед
conceited	моил
conceivable	ба назар мерасад
conceive	ҳомиладор шавед
concentrate	консентратсия
concentration	консентратсия
concentric	конфорстӣ
concept	консепсия
conception	консепсия
concern	нигарон аст
concerned	нигаред
concert	консерт
concerto	консерт
concession	консессия
concessional	имтиёзнок
conch	конч
concierge	concierge
conciliation	созишнома
concise	мухтасар
conclave	Садо Ояндасоз
conclude	ба охир мерасад
concluding	ба охир расид
conclusion	хулоса
conclusive	комилан
concoction	консессия
concomitant	ҳамоҳанг
concord	созед
concordance	ҳамоҳангӣ
concours	NO TRANSLATION
concourse	конверсия
concrete	бетон
concubine	шарики
concur	созишнома
concurrence	ҳамоҳангӣ
concurrent	якҷоя
concurring	баста мешавад
concussion	тазоҳурот
condemn	маҳкум мекунанд
condemnation	маҳкумшуда
condensation	оҳиста-оҳиста
condensed	кислота
condescending	сӯзишворӣ
condescension	шиддатнокӣ
condiment	равғанӣ
condition	ҳолати
conditional	шарт аст
conditionally	шарти
conditioned	шуста шудааст
conditioner	критерант
conditioning	тасвири
conditions	шароит
condo	конодоӣ
condolence	шодбошӣ
condolences	тӯҳфаҳо
condom	рифола
condone	қарор қабул мекунад
condor	курсор
conducive	шифобахш аст
conduct	рафтор
conduction	интиқол додан
conductivity	гузариш
conductor	гузаранд
conduit	канал
cone	конц
confederacy	иттифоқ
confederate	конфедератсия
confederation	конфедератсия
confer	додан
conference	конфронс
confess	эътироф кунед
confession	эътироф
confessional	confessional
confessions	эътироф
confetti	контури
confidant	боварӣ
confide	боварӣ ҳосил кунед
confidence	боварӣ
confident	боварӣ
confidential	махфӣ
confidentiality	махфият
confidentially	NO TRANSLATION
configuration	конфигуратсия
confine	маҳдуд кунед
confined	маҳдуд
confinement	ҳабс кардан
confines	маҳдуд мекунад
confirm	тасдиқ кунед
confirmation	тасдиќ
confirmatory	тасдиқ карда шудааст
confirmed	тасдиқ карда шуд
confiscate	интиқол дода мешавад
confiscation	мусодира карда мешавад
conflagration	данд
conflict	муноқиша
conflicting	мухолифат мекунанд
confluence	бесадо
conform	мувофиқ аст
conformance	мувофиқат мекунад
conformation	NO TRANSLATION
conformity	мутобиқат
confound	хафа мешавад
confounded	хафа шуд
confront	пешгирӣ карда мешавад
confrontation	зиддият
confuse	ихтилоф
confused	ошуфтааст
confusing	сарфакорона
confusion	хавфнок
conga	Конг
congenial	дандон
congenital	инҷониб
congestion	маҷбурӣ
conglomerate	конгломератсия
conglomeration	конверсия
congrats	данд
congratulate	табрик
congratulation	табрик
congratulations	табрикот
congratulatory	табрикнома
congregate	ҷамъ
congregation	ҷамъомад
congress	конгресс
congressional	конгресс
congressman	конгресс
congruence	конвергенсия
conic	конист
conical	conical
conjecture	Тасаввур кунед
conjugal	ҳамоҳангӣ
conjugate	conjugate
conjugation	conjugation
conjunction	якҷоя
conjunctive	conjunctive
conjure	conjure
conjuring	шӯриш
conk	конвер
connect	пайваст кунед
connected	пайваст карда шудааст
connection	алоқа
connective	пайвастан
connoisseur	шарик
conquer	ғалаба кунед
conquering	ғолибан
conqueror	ғолибан
conquest	ғалаба кунед
conscience	виҷдон
conscientious	содиқона
conscious	софдилона
consciousness	ҳушдор
conscription	даъват
consecrated	софдилона
consecration	муқаддас
consecutive	мунтазам
consensual	розӣ аст
consensus	консенсус
consent	розӣ
consenting	розӣ
consequence	натиҷа
consequent	дар натиҷа
conservation	нигоҳдорӣ
conservatism	консерватсия
conservative	консервативӣ
conservatory	консерватория
conserve	консерваторӣ
consider	баррасӣ кунед
considerable	хеле муҳим аст
considerate	фикр кунед
consideration	баррасӣ
consignee	фиристодан
consignment	интиқол
consist	иборат аст
consistency	мутобиқат
consistent	мунтазам
consolation	тасаллӣ
console	консол
consoled	тасаллӣ мебахшад
consolidate	муттаҳид кардан
consolidated	муттаҳид шудаанд
consolidation	муттаҳидшавӣ
consonant	ҳамсадо
consort	шарик
conspicuous	мушаххасан
conspiracy	консерватсия
conspirator	мушовир
conspire	созед
constable	constable
constancy	устувор
constant	доимӣ
constantly	доимо
constellation	ором
consternation	шиддатнокӣ
constipation	қабз
constituency	ҳавзаҳои интихоботӣ
constituent	ташкилкунанда
constituents	интихобкунандагон
constitute	ташкил мекунад
constitution	Конститутсия
constitutional	конститутсия
constitutionality	конститутсия
constrain	маҳдуд кардан
constrained	маҳдуд карда шудааст
constraint	маҳдудият
construct	сохтмон
construction	сохтмон
constructive	созандагӣ
construe	маҷбур кардан
consul	консул
consulate	консул
consult	машварат кунед
consultant	мушовир
consultation	машварат
consume	истеъмол кунед
consumer	истеъмолкунандагон
consuming	истеъмол мекунанд
consummate	тамом
consummation	хотима меёбад
consumption	истеъмол
contact	тамос
contagion	мубталои вирус
contagious	мубталои вирус
contain	дохил мешаванд
container	контейнер
containment	нигоҳ доштан
contaminate	ифлоскунанда
contaminated	пањншуда
contamination	пошидан
contemplate	фикр кунед
contemplation	Таҳлил
contemplative	Таҳлилгарон
contemporaneous	мундариҷа
contemporary	муосир
contempt	ихтиёрӣ
contemptible	ихтиёрӣ
contemptuous	бепарвоӣ
contend	мубоҳиса кунед
contender	рақиб
contending	иштирок мекунанд
content	мӯҳтаво
contented	қаноатманд аст
contention	баҳс
contentious	муноқиша
contentment	қаноатмандӣ
contents	мундариҷа
contest	озмун
contestant	мусобиқа
context	мӯҳтаво
contiguous	тамом
continence	консентратсия
continent	континент
continental	континенталӣ
contingency	вазъияти фавқулодда
contingent	мунтазам
continual	доимо
continually	мунтазам
continuance	идома дорад
continuation	идома дорад
continue	идома диҳед
continued	идома дод
continuing	идома дорад
continuity	давомнокӣ
continuous	доимо
continuously	доимо
continuum	доимо
contour	контур
contraband	контент
contraception	контрасепсия
contract	шартнома
contracted	шартнома
contractile	контракт
contracting	шартнома
contraction	шиддат ёфт
contractor	пудратчӣ
contradict	баръакс
contradiction	баръакс
contradictory	баръакс
contraption	контатсия
contrary	баръакс
contrast	муқоиса кунед
contrasted	фарқ мекунад
contravene	баръакс
contravention	баръакс
contribute	саҳ
contribution	саҳм
contributor	ҳиссагузор
contrite	тавсиф кунед
contrition	баръакс
contrived	баръакс
control	назорат
controller	назоратчӣ
controlling	назорати
controversial	мубоҳиса
controversy	мубоҳиса
contusion	бесарусомонӣ
conundrum	бӯҳрон
convalescent	шифобахш
convection	консентратсия
convene	ҷамъ
convenience	осонӣ
conveniences	осоиштагӣ
convenient	имконпазир аст
convent	лутфан
convention	конвенсия
conventional	анъанавӣ
converge	ҳамоҳанг
convergence	конвергенсия
convergent	конвергенсия
conversant	мусоҳиба
conversation	сӯҳбат
conversational	сӯҳбат
conversationalist	сӯҳбат
converse	сӯҳбат кунед
conversing	сӯҳбат
conversion	табдил додан
convert	табдил додан
converted	табдил ёфт
convertible	табдилшаванда
convex	конEX
convexity	конверсия
convey	интиқол додан
conveyance	интиқол додан
conveyancing	интиқол додан
convict	маҳкум мекунад
conviction	боварӣ
convince	бовар кунед
convinced	бовар кунед
convincing	боварӣ доранд
convocation	даъват
convoluted	резед
convolution	ќарор
convoy	конвой
coo	coo
cook	пухтан
cookbook	cookbook
cooker	cooker
cookery	пухтупаз
cookie	куки
cookies	кукиҳо
cooking	пухтупаз
cookout	хӯрокхӯрӣ
cool	сард
coolant	хунук
cooler	хунуккунанда
cooling	хунуккунӣ
coolness	хунук
coon	куб
coop	coop
cooperate	ҳамкорӣ кунед
cooperating	ҳамкорӣ мекунанд
cooperation	ҳамкорӣ
cooperative	кооператив
coordinate	ҳамоҳанг
coordination	ҳамоҳангӣ
coordinator	координатор
cop	полис
copacetic	NO TRANSLATION
cope	тобовар
copier	нусхабардорӣ
copilot	нусхабардорӣ
coping	мубориза бурдан
copious	якҷоя
copper	мис
copter	нопурра
copy	нусхабардорӣ
copycat	котибот
copying	нусхабардорӣ
copyright	ҳуқуқи муаллиф
coral	чарб
coral snake	мори мор
cord	қо
cordial	хурсандӣ
cordless	бесадо
cordon	cordon
corduroy	corduroy
core	асосї
cork	қубур
corkscrew	Кофист
corn	ҷуворӣ
cornball	ҷуворимакка
cornbread	ғалла
cornea	кружа
corned	чидашуда
corner	гӯшӣ
cornerstone	почтаи электронӣ
cornet	cornet
cornfield	ҷуворимакка
cornflakes	NO TRANSLATION
cornice	коснӣ
cornstarch	нахӯред
corny	шохдор
corollary	мӯй
corona	corona
coronary	coronary
coronation	корношоям
coroner	Кордон
corporal	ҷомеъа
corporate	корпоративӣ
corporation	корпоратсия
corporeal	корпус
corps	корпус
corpse	ҷасади
corpsman	корпус
corpus	Корпус
corral	резолюция
correct	дуруст
correction	ислоҳ кардан
correctional	ислоҳ кардан
corrective	ислоҳкунӣ
correctness	дуруст
correlation	робита
correlative	алоқаманд
correspond	мувофиқат кунед
correspondence	мукотиба
correspondent	Муаллиф
corresponding	мувофиқ аст
corridor	коридор
corroborate	тасдиқ кунед
corroboration	ислоҳот
corrosion	заҳролудӣ
corrosive	заҳролуд
corrupt	вайрон шудааст
corrupting	коррупсия
corruption	коррупсия
corsage	corsage
corse	NO TRANSLATION
corset	corset
cortex	Кортес
cortical	кортонӣ
cortisone	Кортисон
corvette	corvette
cosmetic	косметикӣ
cosmetics	косметика
cosmic	cosmic
cosmology	космология
cosmopolitan	cosmopolitan
cosmos	cosmos
cost	арзиш
costly	арзонтар
costume	костюм
cosy	бой
cot	бистарӣ
cote	данд
cottage	косибӣ
cotton	пахта
couch	катӣ
cougar	cougar
cough	сулфан
council	шӯро
councilman	шӯро
counsel	маслиҳат
counseling	маслиҳат
counsellor	мушовир
counselor	мушовир
count	ҳисоб карда мешавад
countdown	баргардонида мешавад
countenance	Ҷаҳони варзиш
counter	counter
counteract	муқоиса кунед
counterattack	зиддият
counterbalance	муқовимат
counterclaim	муқовимат
counterfeit	қаллобӣ
counterpart	муқоиса кунед
counterpoint	манъ аст
countess	ҳисоб карда мешавад
countless	бешумор
country	кишвар
countryman	коргар
countrymusic	NO TRANSLATION
countryside	деҳот
counts	ҳисоб карда мешавад
county	шаҳр
coup	шубҳа
coupe	Куба
couple	ҳамсарон
coupled	пайваст карда шудааст
coupling	пайваст кардан
coupon	купон
courage	далерӣ
courageous	қавӣ
courier	курсант
courses	курсҳо
coursing	курсӣ
court	суд
courteous	хушбахт
courtesy	боэҳтиёт бошед
courthouse	додгоҳ
courtroom	додгоҳ
courts	судҳо
courtship	мулоқот мекунанд
courtside	дар судҳо
courtyard	ҳавлӣ
cousin	данд
cousins	Котикҳо
cove	ангуштон
coven	Ҳасан
covenant	аҳд
cover	пӯшед
coverage	фарогирӣ
covered	фаро гирифт
covering	фарогирӣ
covert	харита
covet	хайр
coveted	дилхоҳ
cow	гов
coward	тарсонанд
cowardice	қудрат
cowardly	тарсондан
cowboy	Ковбой
cowgirl	Чоп кунед
cowhand	Кушодан
cowhide	ковиш
cowl	гов
coworker	корманди
coy	ков
coyote	когаз
cozy	бой
crab	харчанг
crabby	ночиз
crack	мекушад
cracked	задааст
cracker	шикастхӯрда
crackerjack	шиканҷа
cracking	шикастан
crackle	шадид
crackpot	хушксолӣ
cradle	пажмурда
craft	ҳунар
crafts	ҳунармандон
craftsman	устодон
craftsmanship	ҳунармандӣ
crafty	хиёнаткорона
craig	Craig
cram	cram
crammed	канда шуд
cramp	микрофон
cramped	задашуда
cranberry	анбарис
cranberry juice	шарбати cranberry
crane	кран
cranial	cranial
cranium	кранӣ
crank	круки
cranky	бритониёӣ
cranny	блог
crap	хомӯш
crappy	хандидед
craps	дандонҳо
crash	садама
crass	хомӯш
crate	каҷ
crater	Кафедра
crave	ҳушдор диҳед
craving	дилсӯзӣ
crawfish	қаллобӣ
crawl	ҷустуҷӯ
crayon	крейс
crayons	косибон
craze	craze
crazed	задааст
craziness	шадид
crazy	девона
creak	қафо
creaking	хандидед
cream	яхмос
creamed	данд
creamer	яхмос
creamy	қаймоқ
crease	миқдор
create	эҷод кунед
creation	эҷодӣ
creative	эҷодӣ
creativity	эҷодӣ
creator	эҷодкор
creature	офаридааст
credence	боварӣ
credential	сертификатсия
credentials	шаҳодатномаҳо
credibility	эътимоднокӣ
credible	эътимод
credit	кредит
credit card	корти кредитӣ
creditable	кредитӣ
credited	ба ҳисоб гирифта мешавад
crediting	кредитӣ
creditor	кредитор
creed	хандид
creek	гектар
creep	хазидан
creeper	ҳайратовар
creeping	хазандагон
creepy	ҳайвонот
cremation	таҳқир
creole	кроулӣ
crepe	Креймер
crescendo	crescendo
crescent	ҳашиш
crest	криест
crestfallen	дандонпизишк
cretin	зард
cretins	cretins
crevice	қаллобӣ
crew	экипаж
crewman	экипаж
crib	куҷост?
cricket	cricket
cried	дод заданд
crime	ҷинояткорӣ
criminal	ҷинояткорӣ
criminality	ҷинояткорӣ
crimp	гунаҳкор
crimson	шиша
cringe	зирак
cripple	таҳқир
crippled	заиф
crippling	дандонпизишкӣ
crisis	бӯҳрон
crisp	зич
crispy	гиҷҷа
criterion	критерия
critic	танқид
critical	муҳимтар
criticise	танқид мекунанд
criticism	танқид
criticize	танқид мекунанд
criticized	танқид мекунанд
critique	ҳакамӣ
critter	дандонпизишк
croak	киро
croc	croc
crock	мор
crockery	кукиҳо
crocodile	тухм
croft	мурғ
croissant	хандовар
crook	дандон
crooked	сангин
crop	зироат
croquet	croquet
cross	салиб
cross country	бероҳаҳо
crossbow	чаппа
crossed	гузашт
crossfire	хомӯш
crossing	гузариш
crossover	гузариш
crosswalk	гузариш
crossword	вироиш
crotch	шӯриш
crouch	куҷост?
crouched	пошид
crouching	куҷост?
croupier	гулистон
crow	тухм
crowbar	crowbar
crowd	мардум
crowded	crowded
crowds	мардум
crown	тоҷи
crowning	тоҷи
crucial	муҳим аст
cruciate	Ҷаҳиш ба: новбари,
crucifix	чапакзанӣ
crucifixion	чапакзанӣ
crucify	чаппа кунед
crud	кош
crude	хом
cruel	бераҳмона
cruelly	золимона
cruelty	таҳрик
cruise	cruise
cruise ship	киштии кайҳонӣ
cruiser	cruiser
cruising	сайр
crumb	crumb
crumble	crumble
crumbling	пошхӯрӣ
crummy	мӯй
crunch	хомӯш
crunchy	шиша
crusade	ҳушдор
crusader	хомӯш
crush	пошидан
crushed	задааст
crusher	Мошин
crushing	садама
crust	зардча
crusty	задааст
crutch	қолаб
crux	данд
cry	гиря мекунанд
crybaby	котиб
crying	гиря мекунанд
crypt	креп
cryptic	кристикӣ
cryptography	кредити
crystal	кристалл
crystalline	crystalline
crystallization	crystallization
cub	коса
cubby	кубби
cube	куб
cubic	кубӣ
cubicle	кубӣ
cuckold	гулзор
cuckoo	Кукуш
cucumber	бодиринг
cuddle	данд
cuddled	хоб кунед
cuddles	хобҳо
cuddling	резед
cue	данд
cuff	қоғаз
cuisine	ошхона
culinary	коршиносон
cull	кофта
culminate	тамом
culmination	гулмоҳӣ
culpability	ҳуқуқвайронкунӣ
culpable	ҳуқуқшинос
culprit	гунаҳгор
cult	Кишоварзӣ
cultivate	парвариш кунед
cultivated	парвариш карда мешавад
cultivation	парвариш
cultural	фарҳангӣ
culture	фарҳанг
cultured	фарҳангӣ
culvert	лабораторӣ
cumbersome	хеле гарм
cumulus	маҷмӯъ
cunning	хандон
cunt	Яъне,
cup	коса
cupboard	шиша
cupcake	Coca-Cola
cupping	коса
cur	данд
curable	интерфейс
curate	дубора
curative	табобатӣ
curator	curator
curb	чӯб
curd	curd
cure	табобат
curfew	муҷозот
curiosity	шавқовар
curious	тааҷҷубовар аст
curl	лаблабу
curling	curling
currency	асъор
current	имрӯз
curriculum	барнома
curry	curry
curse	лоғар
cursed	лаънат
cursing	лоғар кардан
cursory	ламсӣ
curt	кафк
curtail	канданӣ
curtailment	кам кардани
curtain	парда
curtains	пардаҳо
curtsy	шадид
curvature	curvature
curve	curve
curved	curved
curvilinear	Дунёи иқтисод
cushion	болин
cushy	яхдон
cusp	данд
cuss	кус
cussed	хандид
custard	нигоҳ дошта мешавад
custodial	ҳабсхона
custodian	нигоҳубин мекунанд
custody	ҳабс
custom	одатан
customary	одатан
customer	мизоҷ
customized	customized
cut	бурида
cutaneous	коғаз
cute	зебо
cuticle	буридан
cutie	бурд
cutlass	буридан
cutlery	чӯҷа
cutoff	буридан
cutter	бурида
cutters	бурқонҳо
cutthroat	буридан
cutting	буридан
cutting board	буридан
cuttings	буридани
cwt	Квт
cyanide	Сианид
cyberspace	швейтсарӣ
cycle	давра
cyclical	даврӣ
cyclist	Роуминг
cyclone	давр
cylinder	силиндрӣ
cylindrical	силиндрӣ
cymbal	сеҳрӣ
cynic	хафа нашавед
cynical	манъ аст
cynicism	синисизм
cyst	Кист
cystic	cystic
cytomegalovirus	гитомегаловирус
cytoplasm	sitoplasm
czar	Панҷакент
dab	хоб
dabble	dabble
dabbling	дублинг
dad	падар
daddy	падар
dado	NO TRANSLATION
daemon	дубора
daft	дафт
dagger	хандер
daily	ҳар рӯз
dainty	Дӯстӣ
daiquiri	Димитри
dairy	шир
daisy	дейстӣ
dak	NO TRANSLATION
dale	дел
dam	об
damage	зарар
damaged	зарар дид
damages	зарари
dame	дама
damn	Шайтон
damnation	латукӯб
damned	дуздидааст
damp	намӣ
dampened	паст карда шудааст
damper	дама
damsel	духтар
dance	рақс
dancer	дандер
dancing	рақс
dandruff	гарм
dandy	дандон
danger	Хатар
dangerous	хавфнок
dangerously	хатарнок аст
dangit	NO TRANSLATION
dangle	дандон
dank	NO TRANSLATION
dapper	dapper
dare	ҷанҷол кунед
daredevil	daredevil
daresay	Дунёи иқтисод
daring	данд
dark	торик
darken	торик
darkened	сиёҳ
darkly	торикӣ
darkness	торик
darkroom	darkroom
darkside	торикӣ
darling	дубора
darn	Дунёи иқтисод
dart	д
dash	кнш
dashboard	панел
dashed	хомӯш карда шудааст
dashing	шустани он
dastardly	достардли
data	маълумот
database	пойгоҳи додаҳо
date	санаи
datenight	NO TRANSLATION
daughter	духтар
dawdle	дандле
dawn	субҳ
dawned	зада шуд
day	рӯз
daybreak	суббот
daycare	нигоҳубин
daydream	daydream
daydreaming	рӯзмарра
daylight	рӯзона
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	рӯзона
daze	дед
