Word	zu
citizen	isakhamuzi
citizenship	ubuzwe
citrine	i-citrine
citrus	i-citrus
city	idolobha
citywide	idolobha lonke
civic	umphakathi
civics	umphakathi
civil	civil
civilian	ezomphakathi
civilians	izakhamizi
civility	ukuphakama komphakathi
civilization	impucuko
civilized	uphumelele
clad	wagqoka
claim	Faka isicelo
claimant	ummangali
clairvoyant	clairvoyant
clam	i-clam
clambake	i-clambake
clammy	i-clammy
clamor	ukukloloda
clamp	ukuphoqa
clan	umndeni
clandestine	ukuthunjwa
clang	clang
clap	ukuphoqa
clapper	i-clapper
clapping	ukushaya
clarification	ukucaciswa
clarify	cacisa
clarinet	i-clarinet
clarion	ukucacisa
clarity	ukucaca
clash	ukuphikisana
clashing	ukuphoqa
clasp	qhafaza
class	ekilasini
classic	zakudala
classic rock	rock classic
classical	classical
classics	okuvamile
classification	ukuhlukaniswa
classified	ihlukanisiwe
classify	ukuhlukanisa
classmate	ofunda nabo
classroom	ekilasini
classy	classy
clatter	i-clatter
clause	isigatshana
clauses	izigaba
claustrophobia	i-claustrophobia
claustrophobic	claustrophobic
clavicle	i-clavicle
claw	ukuphoqa
claws	amahlumela
clay	ubumba
clean	ihlanzekile
cleaner	ukuhlanza
cleaning	ukuhlanza
cleanliness	ukuhlanzeka
cleanly	ngokuhlanzekile
cleanse	hlambulula
cleanser	ukuhlanza
cleansing	ukuhlanza
cleanup	hlanza
clear	kucacile
clearance	imvume
clearing	ukuhlanza
clearness	ukucaca
cleat	cleat
cleavage	ukucacisa
cleave	cindezela
cleaver	NO TRANSLATION
clef	isihlungi
cleft	ukuhlunga
clemency	ukucabangela
clench	clench
clergy	abefundisi
clergyman	umfundisi
cleric	umfundisi
clerical	abefundisi
clerk	umabhalane
clerkship	amabhalane
clever	ohlakaniphileyo
cleverness	ukuhlakanipha
click	chofoza
clicker	i-clicker
client	iklayenti
clientele	amakhasimende
cliff	umcibisholo
climate	isimo sezulu
climatology	isimo sezulu
climax	umvuthwandaba
climb	ukugibela
climber	umkhumbi
clinch	umtholampilo
cling	ukunamathela
clingy	clingy
clinic	umtholampilo
clinical	ukwelashwa
clink	clink
clip	isiqeshana
clipboard	ibhodi lokunamathisela
clipper	i-clipper
clipping	ukuchofoza
clique	NO TRANSLATION
clitoris	i-clitoris
cloak	ingubo
cloaking	i-cloaking
cloakroom	i-cloakroom
clobber	i-clobber
clock	iwashi
clockwork	umsebenzi wewashi
clod	i-clod
clog	i-clog
cloister	cloister
clone	i-clone
cloning	i-cloning
close	vala
closed	ivaliwe
closeness	ukusondelana
closet	ikhabethe
closure	ukuvalwa
clot	i-clot
cloth	indwangu
clothe	gqoka
clothes	izingubo
clothesline	izingubo zokugqoka
clothing	izingubo
cloud	ifu
clouded	i-clouded
cloudiness	i-cloudiness
clouds	amafu
cloudy	ifufu
clout	faka
clove	i-clove
clover	i-clover
cloves	ama-clove
clown	clown
clowns	ama-clowns
club	club
clubhouse	clubhouse
clubs	amakilabhu
cluck	cluck
clue	inkomba
clueless	clueless
clump	i-clump
clumsy	i-clumsy
clunk	fiphaza
cluster	iqoqo
clutch	bamba
clutches	ukuhlanganisa
clutter	i-clutter
coach	umqeqeshi
coachman	umqeqeshi
coagulation	coagulation
coal	amalahle
coalesce	coalesce
coalition	ubumbano
coarse	i-coarse
coast	ogwini
coastal	ogwini
coaster	coaster
coastline	ogwini
coat	ingubo
coating	ukugqoka
coax	coax
cobalt	i-cobalt
cobble	cobble
cobbler	i-cobbler
cobra	i-cobra
cocaine	i-cocaine
cock	iqhude
cockamamie	cockamamie
cockeyed	cockeyed
cockpit	i-cockpit
cockroach	i-cockroach
cocksucker	i-cocksucker
cocktail	i-cocktail
cocky	i-cocky
cocoa	i-cocoa
coconut	ukhukhunathi
cocoon	i-cocoon
cod	ikhodi
code	ikhodi
codeine	i-codeine
codex	i-codex
codfish	i-codfish
codification	i-codification
codify	codify
coding	ikhodi
coed	i-coed
coefficient	coefficient
coerce	ukuphoqa
coercion	ukuphoqelela
coercive	ukuphoqeleka
coexist	coexist
coexistence	ukuhlala ndawonye
coexisting	ukuhlala ndawonye
coffee	ikhofi
coffee table	ithebula lekhofi
coffeehouse	ihofi
coffeepot	i-coffeepot
coffin	ibhokisi
cog	ukugijima
cogent	iyakwazi
cognac	i-cognac
cognate	cognate
cognition	ukuqonda
cognitive	ukuqonda
cohabitation	ukusebenzisana
coherence	ukuhambisana
coherent	ihambisana
cohesion	ukuhlangana
cohesive	kuhlangene
cohort	iqembu
coil	coil
coiled	ihlanganiswe
coin	imali
coinage	imali
coincide	hlanganisa
coincidence	ukungahambi kahle
coincident	kuhlangene
coincidental	ngokuvumelana
coinciding	ngokuvumelana
coke	i-coke
cola	i-cola
cold	kubanda
coldly	kubanda
coldness	kubanda
coldsweat	NO TRANSLATION
coleslaw	coleslaw
colic	colic
coliseum	i-coliseum
collaborate	sebenzisana
collaboration	ukubambisana
collaborator	umhleli
collage	ikholaji
collagen	i-collagen
collapse	ukuwa
collar	ikhola
collarbone	i-collarbone
collate	hlanganisa
collateral	ukubambisana
collation	i-collation
colleague	osebenza naye
collect	qoqa
collected	eqoqwe
collection	ukuqoqwa
collective	ndawonye
collectively	ndawonye
collector	umqoqi
college	ekolishi
collegiate	ukuqoqa
collide	bhala
collie	collie
collision	ukushayisana
collocation	i-collocation
colloquial	okuhambisanayo
collusion	ukuhlanganiswa
cologne	cologne
colon	ikholoni
colonel	colonel
colonial	ikholoni
colonic	ikholoni
colonoscopy	i-colonoscopy
colony	ikholoni
colophon	i-colophon
color	umbala
coloration	umbala
colored	ezinemibala
colorful	ezimibalabala
coloring	umbala
colorless	okungenambala
colors	imibala
colossal	ezinemibala
colt	i-colt
columbine	columbine
column	ikholomu
columnar	ikholomu
columnist	umlobi wekholomu
com	NO TRANSLATION
coma	i-coma
comatose	i-comatose
comb	inhlanganisela
combat	ukulwa
combatant	umpi
combative	i-combative
combination	inhlanganisela
combinatorial	ukuhlanganisa
combine	hlanganisa
combined	kuhlangene
combo	i-combo
combustible	kungabhubhisa
combustion	ukushisa
come	woza
comeback	buya
comedian	umculi
comedy	amahlaya
comet	i-comet
comfort	induduzo
comfortable	ukhululekile
comforter	umduduzi
comforting	ukududuza
comfy	kuhle
comic	amahlaya
comical	ihlekisa
comics	amahlaya
coming	ukuza
comma	i-comma
command	umyalo
commandant	umlawuli
commandeer	owenzayo
commander	umlawuli
commanding	ukuyala
commandment	umyalo
commando	commando
commemorate	khumbula
commemoration	isikhumbuzo
commemorative	isikhumbuzo
commence	qalisa
commend	ukuncoma
commendable	kuncomeka
commendation	ukuncoma
commensurate	i-commensurate
comment	ukuphawula
commentary	ukuhlaziya
commentator	umhlaziyi
commerce	ezentengiselwano
commercial	ezentengiselwano
commie	i-commie
commissary	umphathi
commission	ikhomishini
commissioner	ikhomishana
commit	yenza
commitment	ukuzibophezela
committal	ukukhishwa
committed	uzibophezele
committee	ikomidi
commodity	impahla
commodore	amakhodi
common	evamile
commoner	i-commoner
commonly	ngokuvamile
commonplace	indawo evamile
commons	uhulumeni
commonwealth	commonwealth
commotion	ukuxokozela
communal	umphakathi
commune	komasipala
communicable	ukuxhumana
communicate	ukuxhumana
communication	ukuxhumana
communicative	ukuxhumana
communicator	ukukhulumisana
communion	ukuhlanganyela
communism	ubukhomanisi
communist	umkhomanisi
community	umphakathi
commutation	ukushintshwa
commutative	ukushintsha
commute	ukuhamba
commuter	umgibeli
comp	i-comp
compact	i-compact
compaction	ukuhlanganisa
compactness	ukuhambisana
companion	umngane
companionless	umlingani
companionship	ubungane
company	inkampani
comparable	kufaniswa
comparative	ukuqhathanisa
comparatively	ngokulinganayo
compare	qhathanisa
comparison	ukufanisa
compartment	igumbi
compass	ikhampasi
compassion	ububele
compassionate	uzwela
compatibility	ukuhambisana
compatible	iyahambisana
compel	qeda
compelled	kucindezelwe
compelling	kucindezela
compendium	i-compendium
compensate	ukubuyisela
compensation	isinxephezelo
compensatory	ukukhokhela
compete	ukuncintisana
competence	ikhono
competency	ukufaneleka
competent	abanekhono
competition	ukuncintisana
competitive	ukuncintisana
competitor	umncintiswano
compilation	ukuhlanganiswa
compile	qoqa
complacency	ukukhathazeka
complacent	ukukhathazeka
complain	isikhalazo
complaint	isikhalazo
complement	uhlanganise
complementary	okuhambisanayo
complete	ukuqedela
completed	kuqedile
completely	ngokuphelele
completeness	ukuphelela
completing	ukuqedela
completion	ukuqedwa
complex	eziyinkimbinkimbi
complexed	eziyinkimbinkimbi
complexion	ukukhanya
complexity	inkimbinkimbi
compliance	ukuhambisana
compliant	okuhambisanayo
complicate	ukuphoqa
complicated	kunzima
complication	inkinga
complicity	inkambinkimbi
compliment	NO TRANSLATION
complimentary	okubhaliwe
comply	thobela
complying	ukuhambisana
compo	i-compo
component	ingxenye
compose	bhala
composed	yenziwe
composer	umqambi
composite	izingqikithi
composition	ukwakheka
compost	umquba
composure	ukuqina
compound	isakhi
comprehend	ukuqonda
comprehension	ukuqonda
comprehensive	olunzulu
compress	cindezela
compressed	kucindezelwe
compressible	kuqondaniswe
compression	ukucindezela
compressor	i-compressor
comprise	zihlanganisa
compromise	ukwehlisa
comptroller	umlawuli
compulsion	ukunyanzeliswa
compulsive	ukuphoqa
compulsory	okuphoqelekile
computable	i-computable
computation	ukulinganisa
compute	qondanisa
computer	ikhompyutha
computerized	ikhompyutha
computing	ikhompyutha
comrade	umngane
con	NO TRANSLATION
concatenation	concatenation
concave	concave
conceal	ukufihla
concealed	kufihlwe
concealment	ukufihla
concede	vumela
conceit	ukuziqhenya
conceited	ukuziqhenya
conceivable	kucabangeka
conceive	ukukhulelwa
concentrate	gxila
concentration	ukuhlushwa
concentric	kugxile kakhulu
concept	umqondo
conception	ukukhulelwa
concern	ukukhathazeka
concerned	othintekayo
concert	ikhonsathi
concerto	i-concerto
concession	ukuvumelanisa
concessional	ukuvumelanisa
conch	umcibisholo
concierge	concierge
conciliation	ukubuyisana
concise	okufingqiwe
conclave	siphelela
conclude	uphetha
concluding	ukuphetha
conclusion	isiphetho
conclusive	ephelele
concoction	i-concoction
concomitant	ukuhambisana
concord	isivumelwano
concordance	concordance
concours	NO TRANSLATION
concourse	umncintiswano
concrete	ukhonkolo
concubine	isancinza
concur	ukuvumelana
concurrence	ukuvumelana
concurrent	okufanayo
concurring	okuhambisanayo
concussion	ingxabano
condemn	ukulahla
condemnation	ukulahlwa
condensation	ukunciphisa
condensed	iyancipha
condescending	ukwehlisa
condescension	ukuzithoba
condiment	ukuzithoba
condition	isimo
conditional	okunemibandela
conditionally	ngokomzimba
conditioned	kufakwe isimo
conditioner	isibophezeli
conditioning	isimo
conditions	izimo
condo	i-condo
condolence	induduzo
condolences	induduzo
condom	ikhondomu
condone	vumela
condor	i-condor
conducive	ehamba phambili
conduct	ukuziphatha
conduction	ukuqhuba
conductivity	ukuqhuba
conductor	umqhubi
conduit	umzila
cone	Isigaxa
confederacy	i-confederacy
confederate	uhlangene
confederation	umbhikisho
confer	ukunikeza
conference	inkomfa
confess	vuma
confession	ukuvuma
confessional	ukuvuma izono
confessions	ukuvuma
confetti	confetti
confidant	okuyimfihlo
confide	uqinisekise
confidence	ukuzethemba
confident	uqiniseka
confidential	okuyimfihlo
confidentiality	imfihlo
confidentially	NO TRANSLATION
configuration	ukumisa
confine	vimba
confined	uvalelwe
confinement	ukuvalelwa
confines	uvala
confirm	qinisekisa
confirmation	isiqinisekiso
confirmatory	isiqinisekiso
confirmed	kuqinisekisiwe
confiscate	uthatha
confiscation	ukuthunjwa
conflagration	ukushaywa umoya
conflict	ukungqubuzana
conflicting	ephikisanayo
confluence	confluence
conform	ukuvumelanisa
conformance	ukuhambisana
conformation	NO TRANSLATION
conformity	ukuhambisana
confound	ukuphazamiseka
confounded	udidekile
confront	ukubhekana
confrontation	ukulwa
confuse	ukudideka
confused	udidekile
confusing	ukudideka
confusion	ukudideka
conga	conga
congenial	congenial
congenital	ukuzalwa
congestion	ukuxubana
conglomerate	i-conglomerate
conglomeration	i-conglomeration
congrats	ukuhambela
congratulate	sihalalisele
congratulation	ukuhalalisela
congratulations	ukuhalalisela
congratulatory	ukuhalalisela
congregate	hlangana
congregation	ibandla
congress	inhlangano
congressional	i-congressional
congressman	i-congressman
congruence	congruence
conic	conic
conical	ukucabanga
conjecture	i-conjecture
conjugal	conjugal
conjugate	ukuhlaziya
conjugation	ukuxuba
conjunction	ukuhlangana
conjunctive	okuhlangene
conjure	ukuthukuthela
conjuring	ukukhuluma
conk	i-conk
connect	xhuma
connected	kuxhunyiwe
connection	uxhumano
connective	ukuxhumana
connoisseur	i-connoisseur
conquer	ukunqoba
conquering	ukunqoba
conqueror	unqobile
conquest	ukunqoba
conscience	unembeza
conscientious	ngokucophelela
conscious	uyazi
consciousness	ukuqonda
conscription	ukubhalisa
consecrated	ungcwelisiwe
consecration	ukuzinikezela
consecutive	okulandelanayo
consensual	u-consensual
consensus	ukuvumelana
consent	imvume
consenting	kuvuma
consequence	umphumela
consequent	okulandelayo
conservation	ukulondolozwa
conservatism	i-conservatism
conservative	okuqaphele
conservatory	i-conservatory
conserve	gcina
consider	cabangela
considerable	kakhulu
considerate	ucabange
consideration	ukucabangela
consignee	i-consignee
consignment	umthwalo
consist	iqukethe
consistency	ukuvumelana
consistent	okungahleliwe
consolation	induduzo
console	console
consoled	iqinisekisiwe
consolidate	ukuhlanganisa
consolidated	ihlanganisiwe
consolidation	ukuhlanganiswa
consonant	i-consonant
consort	i-consort
conspicuous	okuvelele
conspiracy	u-conspiracy
conspirator	umqambi
conspire	ukuhlehlisa
constable	i-constable
constancy	njalo
constant	njalo
constantly	njalo
constellation	i-constellation
consternation	ukucindezeleka
constipation	ukuqotshwa
constituency	umbuso
constituent	okwenziwe
constituents	izakhiwo
constitute	yakha
constitution	umthethosisekelo
constitutional	umthethosisekelo
constitutionality	umthethosisekelo
constrain	qinisa
constrained	iphoqelelwe
constraint	inkinga
construct	ukwakha
construction	ukwakhiwa
constructive	eyakhayo
construe	bhala
consul	i-consul
consulate	u-consulate
consult	thintana
consultant	umcebisi
consultation	ukubonisana
consume	kudle
consumer	umthengi
consuming	ukuqeda
consummate	ukudla
consummation	ukuqeda
consumption	ukusetshenziswa
contact	oxhumana naye
contagion	ukutheleleka
contagious	esithathelwanayo
contain	iqukethe
container	isitsha
containment	isiqukathi
contaminate	ukungcola
contaminated	kungcolile
contamination	ukungcola
contemplate	cabanga
contemplation	ukuzindla
contemplative	kucabangela
contemporaneous	ngesikhathi esifanayo
contemporary	okwamanje
contempt	ukudeka
contemptible	ukuzondeka
contemptuous	enesizotha
contend	phikisa
contender	i-contender
contending	ukuphikisana
content	okuqukethwe
contented	okwanelisiwe
contention	ukuxabana
contentious	ukuphikisana
contentment	ukwaneliseka
contents	okuqukethwe
contest	umncintiswano
contestant	umncintiswano
context	umongo
contiguous	okuzenzekelayo
continence	continence
continent	izwekazi
continental	izwekazi
contingency	ukungaboni ngaso sonke isikhathi
contingent	okulandelanayo
continual	iyaqhubeka
continually	njalo
continuance	ukuqhubeka
continuation	ukuqhubeka
continue	qhubeka
continued	waqhubeka
continuing	ukuqhubeka
continuity	ukuqhubeka
continuous	eqhubekayo
continuously	ngokuqhubekayo
continuum	ukuqhubeka
contour	intour
contraband	ukukhwabanisa
contraception	ukuvimbela ukukhulelwa
contract	isivumelwano
contracted	inkontileka
contractile	isivumelwano
contracting	inkontileka
contraction	ukukhwabanisa
contractor	ukontrakta
contradict	iyaphikisana
contradiction	ukuphikisana
contradictory	ephikisanayo
contraption	ukwephula
contrary	ngokuphambene
contrast	qhathanisa
contrasted	ihluke
contravene	uphazamise
contravention	ukwephula
contribute	isandla
contribution	umnikelo
contributor	umnikelo
contrite	siphenduke
contrition	ukuphola
contrived	zenziwe
control	ukulawula
controller	isilawuli
controlling	ukulawula
controversial	impikiswano
controversy	impikiswano
contusion	ukuphazamiseka
conundrum	i-conundrum
convalescent	convalescent
convection	ukuhanjiswa
convene	bamba
convenience	kulula
conveniences	okulula
convenient	elula
convent	umkhumbi
convention	umhlangano
conventional	evamile
converge	guqula
convergence	ukuguqulwa
convergent	i-convergent
conversant	bexoxa
conversation	ingxoxo
conversational	ukuxoxa
conversationalist	i-conversationalist
converse	ukuxoxisana
conversing	bexoxa
conversion	ukuguqulwa
convert	guqula
converted	iguquliwe
convertible	convertible
convex	convex
convexity	ukuxoshwa
convey	ukuveza
conveyance	ukuhanjiswa
conveyancing	ukuthutha
convict	unecala
conviction	ukukholelwa
convince	kholisa
convinced	uyaqiniseka
convincing	okukholisa
convocation	umhlangano
convoluted	i-convoluted
convolution	convolution
convoy	umthumeli
coo	i-coo
cook	pheka
cookbook	i-cookbook
cooker	umpheki
cookery	ukupheka
cookie	ikhukhi
cookies	amakhukhi
cooking	ukupheka
cookout	ukupheka
cool	epholile
coolant	ipholile
cooler	epholile
cooling	ukupholisa
coolness	ukupholisa
coon	i-coon
coop	i-coop
cooperate	sebenzisana
cooperating	ukubambisana
cooperation	ukubambisana
cooperative	ukubambisana
coordinate	ukuxhumanisa
coordination	ukuxhumana
coordinator	umxhumanisi
cop	iphoyisa
copacetic	NO TRANSLATION
cope	ukubhekana
copier	ukukopisha
copilot	i-copilot
coping	ukubhekana
copious	ukukopisha
copper	ithusi
copter	i-copter
copy	ikhophi
copycat	i-copycat
copying	ukukopisha
copyright	copyright
coral	i-coral
coral snake	i-coral nyoka
cord	cord
cordial	kuhle
cordless	okungenasici
cordon	cordon
corduroy	corduroy
core	okuyisisekelo
cork	isikhala
corkscrew	isikhwama sezinkuni
corn	ukolweni
cornball	cornball
cornbread	cornbread
cornea	i-cornea
corned	ziboshwe
corner	ekhoneni
cornerstone	itshe legumbi
cornet	cornet
cornfield	indawo yamacembe
cornflakes	NO TRANSLATION
cornice	cornice
cornstarch	cornstarch
corny	corny
corollary	i-corollary
corona	corona
coronary	i-coronary
coronation	i-coronation
coroner	i-coroner
corporal	i-corporal
corporate	inkampani
corporation	inkampani
corporeal	okwemvelo
corps	izidumbu
corpse	isidumbu
corpsman	i-bodyman
corpus	i-corpus
corral	i-corral
correct	lungile
correction	ukulungiswa
correctional	ukulungiswa kwezigwegwe
corrective	ukulungiswa
correctness	ukulungisa
correlation	ukulungiswa
correlative	okuhambisanayo
correspond	lihambelana
correspondence	izincwadi
correspondent	umbhali
corresponding	ehambelana
corridor	umzila
corroborate	ukusekela
corroboration	ukusebenzisana
corrosion	ukubola
corrosive	okubuhlungu
corrupt	inkohlakalo
corrupting	okonakalisa
corruption	inkohlakalo
corsage	corsage
corse	NO TRANSLATION
corset	i-corset
cortex	i-cortex
cortical	i-cortical
cortisone	i-cortisone
corvette	i-corvette
cosmetic	izimonyo
cosmetics	izimonyo
cosmic	cosmic
cosmology	i-cosmology
cosmopolitan	i-cosmopolitan
cosmos	i-cosmos
cost	izindleko
costly	izindleko
costume	indwangu
cosy	ethokomele
cot	ukotini
cote	cote
cottage	cottage
cotton	ukotini
couch	umbhede
cougar	i-cougar
cough	ukukhwehlela
council	umkhandlu
councilman	umkhandlu
counsel	iseluleko
counseling	ukululekwa
counsellor	umeluleki
counselor	umeluleki
count	count
countdown	countdown
countenance	ubuso
counter	counter
counteract	ukuphikisa
counterattack	i-counterattack
counterbalance	ukulingana
counterclaim	ukuphikisa
counterfeit	amanga
counterpart	umlingani
counterpoint	counterpoint
countess	ukubala
countless	iningi
country	izwe
countryman	i-countryman
countrymusic	NO TRANSLATION
countryside	emaphandleni
counts	kubalwa
county	esifundeni
coup	ukukhishwa
coupe	ukupheka
couple	umbhangqwana
coupled	okuhlanganisiwe
coupling	ukuhlanganisa
coupon	isigqebhezana
courage	isibindi
courageous	isibindi
courier	umthumeli
courses	izifundo
coursing	ukufundisa
court	inkantolo
courteous	ubuhle
courtesy	isihawu
courthouse	i-courthouse
courtroom	inkantolo
courts	izinkantolo
courtship	ukuthandana
courtside	inkantolo
courtyard	egcekeni
cousin	umzala
cousins	bomzala
cove	i-cove
coven	isivumelwano
covenant	isivumelwano
cover	ikhava
coverage	ukuhlanganisa
covered	embozwe
covering	ukumboza
covert	i-covert
covet	ukufisa
coveted	ukufisa
cow	inkomo
coward	i-coward
cowardice	ukwesaba
cowardly	ngesaba
cowboy	cowboy
cowgirl	cowgirl
cowhand	i-cowhand
cowhide	i-cowhide
cowl	inkomo
coworker	osebenza naye
coy	coy
coyote	i-coyote
cozy	ethokomele
crab	udoti
crabby	ukukhwabanisa
crack	qhekeka
cracked	ephukile
cracker	cracker
crackerjack	crackerjack
cracking	ukuqhekeka
crackle	ukuphahlazeka
crackpot	i-crackpot
cradle	ukulala
craft	ubucwebe
crafts	ubuciko
craftsman	umdwebi
craftsmanship	ubuciko
crafty	amaqhinga
craig	craig
cram	cram
crammed	ziphazamisekile
cramp	i-cramp
cramped	kunzima
cranberry	i-cranberry
cranberry juice	i-cranberry ijusi
crane	i-crane
cranial	i-cranial
cranium	i-cranium
crank	isikhala
cranky	i-cranky
cranny	cranny
crap	ukuphoqa
crappy	crappy
craps	kuphahlazeka
crash	ukuphahlazeka
crass	ukuphosa
crate	i-crate
crater	i-crater
crave	nqwenela
craving	ukulangazelela
crawfish	i-crawfish
crawl	khaya
crayon	ikrayoni
crayons	amakhrayoni
craze	funa
crazed	usho kanje
craziness	ubuqili
crazy	i-crazy
creak	i-creak
creaking	creaking
cream	ukhilimu
creamed	ukhilimu
creamer	i-creamer
creamy	elimnandi
crease	i-crease
create	dala
creation	indalo
creative	ukudala
creativity	ubuciko
creator	umdali
creature	isidalwa
credence	ukwamukela
credential	ukuqinisekiswa
credentials	iziqinisekiso
credibility	ukwethembeka
credible	ezithembekile
credit	isikweletu
credit card	ikhadi lesikweletu
creditable	imali
credited	ihlonishwe
crediting	ukuklomelisa
creditor	umkweletu
creed	inkolo
creek	umfula
creep	zinyuka
creeper	creeper
creeping	ezinwabuzelayo
creepy	creepy
cremation	ukushiswa
creole	i-creole
crepe	i-crepe
crescendo	crescendo
crescent	i-crescent
crest	i-crest
crestfallen	crestfallen
cretin	cretin
cretins	ama-cretins
crevice	isakhiwo
crew	abasebenzi
crewman	u-crewman
crib	isikhalazo
cricket	ikhilikithi
cried	wakhala
crime	ubugebengu
criminal	ubugebengu
criminality	ubugebengu
crimp	i-crimp
crimson	elibomvu
cringe	i-cringe
cripple	ukukhubazeka
crippled	okhubazekile
crippling	ukukhubazeka
crisis	inkinga
crisp	crisp
crispy	crispy
criterion	umgomo
critic	umgxeka
critical	okubalulekile
criticise	ukugxeka
criticism	ukugxeka
criticize	ukugxeka
criticized	wagxekwa
critique	Ukubuyekeza kwami
critter	ukugxeka
croak	i-croak
croc	i-croc
crock	i-crock
crockery	insika
crocodile	ingwenya
croft	i-croft
croissant	croissant
crook	i-crook
crooked	zikhohlisiwe
crop	isitshalo
croquet	i-croquet
cross	ukuwela
cross country	ezweni lonke
crossbow	crossbow
crossed	wawela
crossfire	i-crossfire
crossing	ukuwela
crossover	i-crossover
crosswalk	i-crosswalk
crossword	i-crossword
crotch	i-crotch
crouch	crouch
crouched	iqhume
crouching	ukuphoqa
croupier	croupier
crow	khala
crowbar	i-crowbar
crowd	isixuku
crowded	ligcwele
crowds	izixuku
crown	umqhele
crowning	umqhele
crucial	kubalulekile
cruciate	behlupha
crucifix	isiphambano
crucifixion	ukubethelwa
crucify	ubethelwe
crud	i-crud
crude	okungcolile
cruel	unonya
cruelly	ngesihluku
cruelty	isihluku
cruise	i-cruise
cruise ship	umkhumbi wemikhumbi
cruiser	i-cruiser
cruising	ukuhamba
crumb	i-crumb
crumble	kuqubuka
crumbling	ukudumazeka
crummy	i-crummy
crunch	i-crunch
crunchy	ilukhuni
crusade	i-crusade
crusader	i-crusader
crush	ukuchoboza
crushed	ochotshoziwe
crusher	i-crusher
crushing	ukuchoboza
crust	uqweqwe
crusty	i-crusty
crutch	isikhonkwane
crux	crux
cry	khala
crybaby	crybaby
crying	ukukhala
crypt	crypt
cryptic	cryptic
cryptography	i-cryptography
crystal	i-crystal
crystalline	i-crystalline
crystallization	crystallization
cub	cub
cubby	i-cubby
cube	cube
cubic	i-cubic
cubicle	cubicle
cuckold	i-cuckold
cuckoo	cuckoo
cucumber	ikhukhamba
cuddle	i-cuddle
cuddled	i-cuddled
cuddles	iziqu
cuddling	ukudubula
cue	cue
cuff	inkomishi
cuisine	cuisine
culinary	Culinary
cull	cull
culminate	ukuqeda
culmination	ekugcineni
culpability	ukugwema
culpable	uyagwetshwa
culprit	i-culprit
cult	inkolo
cultivate	hlakulele
cultivated	kutshalwa
cultivation	ukulima
cultural	amasiko
culture	isiko
cultured	ikhuliswe
culvert	i-culvert
cumbersome	cumbersome
cumulus	i-cumulus
cunning	ubuqili
cunt	cunt
cup	indebe
cupboard	ikhabethe
cupcake	ikhekhe
cupping	ukupheka
cur	i-cur
curable	kuphulukiswa
curate	i-curate
curative	ukwelashwa
curator	ikhalenda
curb	ikhefu
curd	i-curd
cure	ukwelapha
curfew	isikhathi sokufika ekhaya
curiosity	ilukuluku
curious	curious
curl	i-curl
curling	ukukhanda
currency	imali
current	okwamanje
curriculum	ikharikhulamu
curry	i-curry
curse	isiqalekiso
cursed	uqalekisiwe
cursing	ukuqalekisa
cursory	i-cursory
curt	ukuphoqa
curtail	cindezela
curtailment	ukwehlisa
curtain	ikhethini
curtains	amakhethini
curtsy	i-curtsy
curvature	ukuvinjelwa
curve	ijika
curved	lwalugobile
curvilinear	i-curvilinear
cushion	i-cushion
cushy	cushy
cusp	cusp
cuss	cuss
cussed	cussed
custard	custard
custodial	ukuhlehlisa
custodian	umlondolozi
custody	ukugcinwa
custom	isiko
customary	isiko
customer	ikhasimende
customized	okwenziwe ngokwezifiso
cut	ukusika
cutaneous	i-cutaneous
cute	cute
cuticle	i-cuticle
cutie	cutie
cutlass	i-cutlass
cutlery	ukusika
cutoff	nqamula
cutter	umsiki
cutters	ababazi
cutthroat	i-cutthroat
cutting	ukusika
cutting board	ibhodi yokusika
cuttings	ukusika
cwt	cwt
cyanide	i-cyanide
cyberspace	ibhayisikobho
cycle	umjikelezo
cyclical	umjikelezo
cyclist	ibhayisikili
cyclone	isiphepho
cylinder	isilinda
cylindrical	cylindrical
cymbal	i-cymbal
cynic	umsizi
cynical	ama-cynical
cynicism	ukukhathazeka
cyst	i-cyst
cystic	i-cystic
cytomegalovirus	i-cytomegalovirus
cytoplasm	i-cytoplasm
czar	czar
dab	dab
dabble	dabble
dabbling	ukuzwakalisa
dad	ubaba
daddy	ubaba
dado	NO TRANSLATION
daemon	i-daemon
daft	i-daft
dagger	umlenze
daily	nsuku zonke
dainty	i-dainty
daiquiri	daiquiri
dairy	ubisi
daisy	daisy
dak	NO TRANSLATION
dale	i-dale
dam	idamu
damage	umonakalo
damaged	yonakalisiwe
damages	umonakalo
dame	dame
damn	Hewu
damnation	ukulahlwa
damned	lilahliwe
damp	kumanzi
dampened	yancipha
damper	i-damper
damsel	intombazane
dance	ukudansa
dancer	udansa
dancing	ukudansa
dandruff	i-dandruff
dandy	dandy
danger	Ingozi
dangerous	kuyingozi
dangerously	ngengozi
dangit	NO TRANSLATION
dangle	dangle
dank	NO TRANSLATION
dapper	dapper
dare	qaphele
daredevil	daredevil
daresay	i-daresay
daring	daring
dark	mnyama
darken	mnyama
darkened	mnyama
darkly	emnyama
darkness	ubumnyama
darkroom	indawo emnyama
darkside	Isayidi elimnyama
darling	othandekayo
darn	darn
dart	dart
dash	dash
dashboard	ideshibhodi
dashed	wadlula
dashing	dashing
dastardly	i-dastardly
data	idatha
database	database
date	usuku
datenight	NO TRANSLATION
daughter	indodakazi
dawdle	dawdle
dawn	kusasa
dawned	kwavela
day	usuku
daybreak	i-daybreak
daycare	ukunakekelwa kwesikhashana
