Word	ps
damnation	اختطاف
damned	مات شوی
damp	ډپ
dampened	ټوټه شوه
damper	خنډ
damsel	بډل
dance	نڅا
dancer	رقاص
dancing	رقص
dandruff	ډنډفر
dandy	ډنډی
danger	خطر
dangerous	خطرناک
dangerously	خطرناک
dangit	NO TRANSLATION
dangle	خطرناکه
dank	NO TRANSLATION
dapper	ډپرپر
dare	جرګۍ
daredevil	ډیریدونکی
daresay	ډیری
daring	ونې
dark	تیاره
darken	تورونه
darkened	تیاره شوی
darkly	په تیاره توګه
darkness	تیاره
darkroom	تور خونه
darkside	تورې غاړې
darling	ښکاري
darn	ډار
dart	ډار
dash	ډش
dashboard	ډشبورډ
dashed	ټوټه شوې
dashing	ډډه کول
dastardly	خندا
data	ډاټا
database	ډاټابیس
date	نېټه
datenight	NO TRANSLATION
daughter	لور
dawdle	منځنۍ
dawn	سهار
dawned	اختر
day	ورځ
daybreak	سبا
daycare	ورځنی پاملرنه
daydream	ورځنی ژوند
daydreaming	ورځنی لیدنه
daylight	د ورځې روښان
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	د ورځې وخت
daze	ډیزاین
dazed	ډک شوی
dazzle	ډیزاین
dazzling	چټکۍ
deacon	ډیکون
deactivate	معلول
dead	مړینه
deadbeat	مړینه
deadline	وروستنۍ نېټه
deadlines	وختونه
deadlock	بندیز
deadly	وژنه
deaf	ٻوټې
deafening	لغوه کول
deafness	بڼی
deal	معامله
dealer	سوداګر
dealership	سوداګر
dealing	معامله کول
dealings	معامله
dean	ډان
dear	ګرانه
dearest	ګرانه
dearth	ښه
death	مړینه
deathbed	مړینه
deathly	مړینه
debacle	مباحثه
debased	بحث شوی
debatable	بحث وړ
debate	بحث
debauchery	مباحثه
debenture	ډوب
debilitating	کمزوری کول
debit	ډبټ
debrief	بحث
debriefing	بحث
debris	ملګری
debt	پور
debtor	پورونکی
debut	لومړی
debutante	لومړی
decade	لسیزه
decadence	پرېښودل
decadent	پریکړه
decaf	decaf
decanter	Decanter
decathlon	Decathlon
decay	پرېکړې
decayed	قضاوت
decaying	پرېکړې
deceased	مړ شوی
decedent	پریکړه
deceit	غلا
deceitful	غلا
deceive	غلا کول
deceived	غلا شوی
deceiving	غلا کول
december	دسمبر
decency	وړتیا
decent	ښه
deception	دوکه
deceptive	دوسیه
decide	پریکړه وکړه
decidedly	په پریکړه
deciduous	نیکمرغه
decimal	ډیزاین
decimeter	پریکړه
decipher	پریکړه
decision	پریکړه
decisive	پریکړه
deck	ډک
declaration	اعلامیه
declaratory	اعلامیه
declare	اعلامیه
declination	اعالن
decline	کمښت
declining	کمیږي
deco	deco
decode	کوډ
decoder	کوډډر
decompose	له منځه وړل
decomposed	خراب شوي
decomposition	تخریب
decompress	ویرول
decompression	ډډه کول
decontamination	ناڅاپه
decor	ډیزاین
decorate	سجده کول
decorating	ښکاري
decoration	پریکړه
decorative	آرشیف
decorator	ډکونکی
decorum	ژمي
decoy	پریکړه
decrease	کم کړئ
decreased	کم شوی
decreasing	کمول
decree	فرمان
decrement	کمښت
decrepit	کموالی
decry	پرېکړه
decryption	کوډیزونې
dedicate	وقف کول
dedication	وقف
deduce	کم کړئ
deduct	کمول
deductible	د مجرايي وړ دي
deduction	کسر
deed	عمل
deejay	deejay
deem	عقیده
deep	ژوره
deepen	ژوره
deer	منر
defamation	افترا
defamatory	افترایی
default	منډه
defeat	مات کړئ
defeated	مات شو
defeatist	ماتونکی
defect	خرابي
defection	ککړتیا
defective	ناسم
defector	سرپرست
defend	دفاع وکړئ
defendant	تورن
defended	دفاع وکړه
defender	ساتونکی
defending	دفاع کول
defense	دفاع
defenseless	بې دفاع
defensible	خوندي ساتل
defensive	دفاعي
defer	منډه
deference	تاوان
deferral	لیږد
deferring	لغوه کول
defiance	سرغړونه
defiant	سرغړونه
defibrillator	کڅوړی
deficiency	کمښت
deficient	کمښت
deficit	خساره
define	تعریف
defined	تعریف شوی
definite	مشخص
definition	تعریف
definitive	باوري
deflate	ټوټه ټوټه کړئ
deflation	ککړتیا
deflect	ګوښه کول
deflection	ککړتیا
defloration	ککړتيا
deform	ککړتیا
deformed	ککړ شوی
deformity	ککړتیا
defraud	ککړتیا
defray	دفاع وکړئ
defrost	ککړتیا
deft	ټوټه ټوټه
defunct	ټوپک
defuse	ککړ کړئ
defy	دفاع کول
degeneracy	اپینورسیسی
degenerate	ډیریدونکی
degeneration	تخریب
degradation	تخریب
degrade	ړنګول
degraded	خراب شوی
degrading	خرابیدل
degree	درجه
dehydrated	خړوب شوی
dehydration	ویډیډریشن
dejected	رد شوی
delay	ځنډ
delayed	ځنډیدل
delectable	بې ځایه شوی
delegate	استازي
delegation	پلاوي
delete	ړنګول
deleterious	خراب
deletion	ړنګول
deli	ډیلی
deliberate	عمدي
deliberation	خبرتیا
deliberative	ښایي
delicacy	نېکمرغه
delicate	نازک
delicatessen	ډیزاینین
delicious	خواږه
delight	خوښۍ
delighted	خوښ دي
delightful	خوشحالۍ
delineate	نازک
delineation	تشریح کول
delinquency	ځنډول
delinquent	ضربه
delirious	خوشحاله
delirium	Delirium
deliver	وړاندې کول
deliverance	خونديتوب
delivery	انتقال
dell	ډیل
delta	ډیلټا
delude	خوشحاله
deluge	ډوډۍ
delusion	ویاړ
delusional	ناڅاپه
deluxe	ډیلکس
delve	ډک
demand	غوښتنه
demanding	غوښتنه
demeaned	خراب شوی
demeaning	له مینځه وړل
demeanor	ژوندی
demented	ورکول شوي
dementia	ډمونډیا
demise	مړینه
demo	ډیمو
democracy	ډموکراسي
democrat	ډیموکراتیک
democratic	دیموکراتیک
demographic	ډیموکراتیک
demolish	ړنګول
demolished	ویجاړ شوی
demolition	تخریب
demon	شیطان
demonic	شیطان
demonstrable	ښکارندویه
demonstrate	څرګندوي
demonstrated	ښودل شوي
demonstrating	ښودنه
demonstration	مظاهرې
demonstrative	مظاهرې
demonstrator	مظاهره کونکي
demoralized	بې ځایه شوی
demos	ډیزاین
demure	شړنه
den	NO TRANSLATION
deniability	منفي
denial	انکار
denied	رد کړه
denim	ډیمیم
denomination	تبلیغات
denominational	غیرقانوني
denominator	تشوونکی
denote	نښې
denounce	ردوی
dense	ګران
density	کثافت
dent	غاښونه
dental	غاښونه
dentist	غاښونه
dentistry	د غاښونو درملنه
dentists	غاښونه
denunciation	غصب
deny	انکار
denying	انکار
deodorant	بې ځایه شوی
depart	رخصتۍ
departed	ووتل
department	څانګه
departmental	څانګه
departure	روان و
depend	پورې تړاو لري
dependable	انحصار
dependant	انحصار
dependence	انحصار
dependency	انحصار
dependent	انحصار
depict	انځور
depicting	انځور کول
depletion	ضوابط
deplorable	ناڅاپه
deplore	بې ځایه شوی
deploy	ځای پرځای کول
deployment	ګمارل
deport	ایستل
deportation	بیرته راتګ
depose	پرېښودل
deposit	زیرمه
depositary	زیربنایی
deposition	ځای
depository	زیرمه کول
depot	ډيپو
depraved	خراب شوی
depravity	درغلۍ
depreciate	بسپنه کوي
depreciated	استحصال شوی
depreciation	استهالک
depress	خپګان
depressed	خپګان
depressing	خپګان
depression	خپګان
depressive	ناڅاپه
depresson	NO TRANSLATION
deprivation	محرومیت
deprive	محرومیت
deprived	بې برخې دي
depth	ژوره
deputy	مرستیال
derail	ناڅاپه
deranged	له منځه وړي
derelict	وتل
derision	تاوان
derivation	ځړول
derivative	ناڅاپي
derive	ترلاسه کول
dermal	ډرمال
dermatologist	ډميټولوژست
dermatology	ډميټولوژي
derogation	تکرار
derogatory	ناڅاپه
descend	لرې
descendant	زوړ
descendent	NO TRANSLATION
descending	راکښته کول
descent	نسل
describe	تشریح کړئ
description	تشریح
descriptive	تشریح
desecrate	بیوزلی
desecration	توپان
desert	دښته
deserted	ښخ شوي
deserter	deserter
desertion	تاوان
deserve	مستحق دي
deserved	مستحق دي
deserving	مستحق دي
design	ډیزاین
designate	ټاکل شوی
designated	ټاکل شوی
designation	نقشه
designed	ډیزاین شوی
designer	ډیزاینر
designing	ډیزاین
desirability	د اړتیا وړ
desirable	غوښتل شوی
desire	هيله
desiring	اراده
desirous	زړه نازړه
desist	بښنه
desk	میز
desolate	ناڅاپه
desolation	ويجاړتيا
despair	ناڅاپه
despairing	ناڅاپه
despatch	ناڅاپه
desperado	ناڅاپه
desperate	ناخوښه
desperation	ناراض
despicable	ناڅاپه
despise	ناڅاپه
despondent	ناڅاپه
despotic	ناڅاپه
despotism	توقیف
dessert	خواږه
destination	منزل
destined	ټاکل شوی
destiny	برخلیک
destitute	بې وزله
destroy	ړنګول
destroyed	ویجاړ شوی
destroyer	ویجاړونکی
destroying	تباه کول
destruct	تخریب
destruction	تخریب
destructive	ویجاړونکی
detach	توکی
detached	جلا شوی
detachment	ټوټه ټوټه
detail	تفصيل
detailed	تفصيل
details	تفصيلات
detain	نیول
detainee	توقیفی
detect	کشف کول
detectable	معلومول
detection	کشف
detective	کشف
detector	کڅوړی
detention	توقیف
deter	وتل
detergent	ډایرګینټ
deteriorate	خراب دی
deteriorated	خراب شوی
deteriorating	خرابیدل
deterioration	خرابیدل
determinable	باوري وي
determinate	مشخص کړئ
determination	پریکړه
determine	وټاکه
determined	ټاکل شوی
deterrent	توقیف
detest	ویرول
detestation	توقیف
detonate	غلول
detonation	تاوان
detonator	توقیفونکی
detour	خړوب
detract	خرابول
detriment	تخریب
detrimental	زیانمنونکي
detritus	تفتیش
deuce	کمول
deutschmark	ډېسکچمارک
devalued	وویشل شو
devastate	ویجاړونکی
devastated	ویجاړ شوی
devastating	ویجاړونکی
devastation	تباه
develop	پرمختیا
developer	پرمختلونکی
developing	پرمختیا
development	پرمختیا
deviant	وشول
deviate	ویش
deviating	ماتول
deviation	انفلاسیون
device	وسیله
devil	شیطان
deviled	ویجاړ شوی
devilish	شیطان
devious	وحی
devise	خمیس
devoid	بې باوره
devolution	ویناوال
devolve	والول
devote	وقوت
devoted	وقف شوی
devotee	بولوټ
devotion	عقیده
devotional	عقیده
devour	خواړه
devout	بښنه
dew	dew
dexter	ضربه
dexterity	بې وسۍ
dextrose	ډیسټرروس
diabetes	ډايبېتېز
diabetic	ډایټیکیک
diabolical	ډابوليکي
diagnose	تشخیص کړئ
diagnosis	تشخیص
diagnostic	تشخیصی
diagnostics	تشخیصات
diagonal	وینګالل
diagram	انځور
dial	ډیلي
dialect	ژبه
dialectic	ډکيکسيک
dialogue	خبرې اترې
dialysis	ډیزاین
diameter	قطر
diamond	هیرے
diamonds	هیرے
diaper	ډایپر
diaphragm	ډایفرامم
diarrhea	نس ناستی
diarrhoea	نس ناستی
diary	ڈائری
diatribe	خواړه
dib	NO TRANSLATION
dibs	ډوډۍ
dice	پټه
dicey	ډکی
dichotomous	ډیوټوموس
dichotomy	ډیوټوتوم
dick	ډک
dickhead	ډکریډ
dicks	ټوپک
dictate	تکرار کړئ
dictation	حکم
dictator	ديکتاتور
dictatorial	ديکتاتوري
dictatorship	ديکتاتوري
diction	تشریح
dictionary	لغت
dictum	NO TRANSLATION
didactic	ناڅاپه
diddle	ډوډۍ
die	NO TRANSLATION
died	مړ شو
diesel	ډیزل
diet	خواړه
dietary	خواړه
differ	توپیر
difference	توپیر
differences	توپیرونه
different	مختلف
differential	توپیر
differentiation	توپیر
differently	په جلا ډول
differing	توپیر
difficult	ستونزمن
difficulties	ستونزې
difficulty	ستونزه
diffuse	وچول
diffusion	ویډیو
dig	NO TRANSLATION
digest	هضم
digestion	هضم
digestive	هضم
digit	عدد
digital	ډیجیټل
dignified	وقار
dignify	وقار
dignity	وقار
digress	هضم
digs	NO TRANSLATION
dike	دی
dilapidated	خراب وي
dilatation	تاوان
dilation	خوځښت
dildo	ټوټه ټوټه
dilemma	بدمرغه
diligence	خوځښت
diligent	زړه نازک
dill	ډیل
diluent	زړه نازک
dilute	کمزوری
diluted	ژور شوی
dilution	کمزوری
dim	ډوډۍ
dime	ډیم
dimension	اړخ
dimensional	اړخیزه
diminish	کم
diminished	کم شوی
diminution	کمښت
diminutive	لږترلږه
dimwit	dimwit
din	NO TRANSLATION
dine	خواړه
diner	ډنر
dinghy	dinghy
dingo	ډینګو
dingy	ډنگی
dining	خواړه
dinky	ډینکی
dinner	ډوډۍ
dinnertime	د ماښام د ډوډۍ وخت
dinosaur	ډنمارک
dint	ټکی
diocesan	ډایسکین
diocese	ډیوکوز
diorama	diorama
dioxide	ډای اکسایډ
dip	ډوب
diploma	ډیپلوم
diplomacy	ډیپلوماسۍ
diplomat	ډیپلومات
diplomatic	ډیپلوماتیک
dipper	ډوډۍ
dippy	dippy
dipstick	ډکسټیک
dire	NO TRANSLATION
direct	مستقیم
directed	لارښوونه
direction	لارښوونه
directive	لارښود
directly	نېغ په نېغه
director	رئيس
directory	ډایرکټري
dirt	مايع
dirty	ناڅاپه
disability	معلولیت لري
disable	معلول
disabled	معیوب
disadvantage	زیان
disaffected	ناڅاپه
disagree	متفق
disagreeable	د منلو وړ
disagreeing	مناقصه
disagreement	اختلاف
disallow	مننه
disallowed	منل شوي
disapointment	NO TRANSLATION
disappear	ورک شوي
disappearance	ورک شوی
disappearing	ورک شوي
disappoint	ناڅاپه
disappointed	ناڅاپه
disappointing	ناڅاپه
disappointment	مايوسي
disapproval	ناباوره
disapprove	ناڅاپه
disapproved	ناپېژندل شوی
disapproving	ناڅاپه
disarm	بې وسلې کول
disarray	خرابېدل
disaster	ناورین
disastrous	ناورین
disband	ړنګول
disbelief	کفر
disbelieve	کافر
disburse	لګول
disbursement	مصرف
disc	ډیسک
discard	پرېښودل
discarded	ړنګ شوی
discards	خنډونه
discern	پوهیږي
discernible	د پام وړ
discerning	په زړه پورې
discernment	اندیښنه
discharge	اختطاف
disciple	شاگرد
disciplinary	انضباطي
discipline	نظم
disciplined	تعقیب شوی
disclaim	رد کړئ
disclaimer	ویجاړونکی
disclose	ښکاره کوي
disclosed	ښکاره شوي
disclosure	افشا کول
disco	ډپو
discoloration	مخنیوی
discolored	ړنګ شو
discomfort	ناڅاپه
disconcerted	منحل شوي
disconcerting	لغوه کول
disconnect	ړنګول
disconnected	ونښلول شو
disconnection	تاوان
disconnects	ړنګول
discontent	ناخوښه
discontinuance	پیوستون
discontinue	بندیز
discontinuity	بندیز
discontinuous	ناڅاپه
discord	توپیر
discount	رخصتۍ
discounted	رخصت شوی
discourage	خفه کول
discouraged	بده مرغه
discouragement	ناخوښي
discouraging	خفه کول
discourse	خبرې
discover	کشف کړه
discovery	کشف
discredit	بې اعتباره
discredited	بې اعتباره
discreet	NO TRANSLATION
discrepancy	توپیر
discrete	جلا کول
discretion	اختصاص
discretionary	اختیاري
discriminate	تبعیض
discriminating	تبعیض
discrimination	تبعیض
discus	انډول
discuss	بحث وکړئ
discussion	بحث
disdain	ناڅاپه
disdainful	بې رحمه
disease	ناروغۍ
diseased	ناروغ
disembodied	جلا شوي
disengage	له مینځه وړل
disengagement	له مینځه وړل
disfigured	بېلې شوې
disgrace	خفه کول
disgraced	خپه شوی
disgraceful	بې رحمه
disgruntled	ناخوښه
disguise	پټ کړئ
disguised	بدل شوی
disgust	ناڅاپه
disgusted	ناڅاپه
disgusting	بې شرمه
dish	ډوډۍ
disheartened	پرېښودل
disheartening	له مینځه وړل
dishonest	بې رحمه
dishonesty	بې عزتي
dishonor	بې شرمه
dishonorable	بې ارزښته
dishwasher	ډوډۍ واشیر
disillusionment	بې باوره
disinclination	انفلاسیون
disincline	تاوان
disinclined	ناپاک
disinfect	ناورین
disinfectant	انفسټر
disinfection	ککړتیا
disinformation	بې وسلې کول
disingenuous	بې باوره
disintegrate	ویجاړ کړئ
disintegration	ویستل
disinterested	خراب شوی
disjoint	ناڅاپه
disjointed	بې وزله
disjunctive	ناڅاپه
disk	ډیسک
diskette	ټوټې
dislike	ناڅاپه
disliked	نه خوښ
disliking	ناڅاپه
dislocated	بې ځایه شوی
dislocation	بې ځایه کیدل
dislodge	پرېږدو
disloyal	بې باوره
disloyalty	بې باوري
dismal	ناڅاپه
dismantle	ړنګول
dismay	ویره
dismayed	مات شوی
dismemberment	ټوټه ټوټه
dismiss	رد کړه
dismissal	رد کول
dismissive	ګوښه کول
dismount	ماتول
disobedience	نافرماني
disobedient	نافرماني
disobey	نافرماني
disorder	بې نظمۍ
disordered	بې نظمۍ
disorderly	بې نظمۍ
disorganized	بې ځایه شوي
disorientation	اختطاف
disoriented	اختطاف شوی
disown	بې برخې
disparage	توپیر
disparaging	توپیر
disparate	متفاوت
disparity	توپیر
dispassionate	خپور شوی
dispatch	لېږل
dispatcher	خپلمنځي پوهاوى
dispel	خپور کړئ
dispensary	ویزه
dispensation	تاوان
dispense	خپریدل
dispenser	تجهیزات
dispersal	خپلمنځي پوهاوى
disperse	خپور شوی
dispersed	خپور شوی
dispersion	تاوان
dispirited	غوښتل شوي
displace	ځای پرځای کړئ
displaced	بې ځایه شوی
displacement	بې ځایه کیدل
displacency	بې ځایه کیدل
display	ښوون
displease	ناڅاپه
displeased	ناڅاپه
displeasure	ناڅاپه
disposable	ډیزاین وړ
disposal	ضایع کول
dispose	تصفیه کړئ
disposed	سپارل شوي
disposition	اختصاص
dispossessed	بې ځایه شوی
disprove	ناڅاپه
dispute	شخړه
disqualification	بې برخې کول
disqualified	ناڅاپي
disqualify	ناڅاپي
disquieted	ناخوښه
disregard	بې باوره
disregarded	بې باوره
disrelish	له مینځه وړل
disreputable	ناڅاپه
disrepute	بې رحمه
disrespect	سپکاوی
disrespectful	بې رحمه
disrupt	ګډوډول
disrupting	ګډوډول
disruption	خنډونه
disruptive	ویجاړونکی
dissatisfaction	ناامنه
dissatisfied	ناخوښه
dissect	ټوټه کړئ
dissection	اختطاف
disseminate	خپرول
dissemination	خپرول
dissension	توپیر
dissent	متضرر
dissenting	اختطاف
dissertation	مقالې
disservice	ناڅاپه
dissident	مخالفت
dissimilar	متفاوت
dissipate	ړنګول
dissipated	ړنګ شوی
dissociation	جلا کول
dissociative	ناڅاپه
dissolution	تحلیل
dissolve	مینځل
dissonance	ناڅاپه
dissuade	منډه
distal	متفاوت
distance	فاصله
distant	لرې
distaste	تاوان
distasteful	ناڅاپه
distillate	اندیښنه
distillation	تشناب
distilled	ډک شوی
distinct	جلا
distinction	توپیر
distinctive	ځانګړي
distinguish	توپیر
distinguishable	توپیر لري
distinguished	توپیر
distinguishing	توپیر
distort	توپیر
distorted	اختطاف شوی
distortion	توپیر
distract	اندیښنه
distracted	اندیښنه
distracting	اندیښنه
distraction	اندیښنه
distraught	ناڅاپه
distress	مصیبت
distressed	خپه شوی
distressing	سختۍ
distribute	ویشل
distribution	ویشل
distributor	خپرونکی
district	ولسوالۍ
distrust	بې باورۍ
disturb	ځورول
disturbance	اندیښنه
disturbed	خراب شوی
disturbing	ځورول
disuse	کارول
disused	له مینځه وړل
ditch	ډوډۍ
ditto	د
ditty	ډیری
diurnal	درنول
diva	diva
divan	NO TRANSLATION
dive	ډوډۍ
diver	جريان
diverge	توپیر
divergence	توپیر
divergent	منځنی
diverging	ژغورل
divers	متنوع
diverse	متفاوت
diversified	متفاوت
diversify	متفاوت
diversion	توپیر
diversionary	متنوع
diversity	تنوع
divert	اړول
diverting	اړول
divest	بې ځایه
divested	تقسیم شوی
divestment	وېش
divide	ویش
divided	ویشل شوی
dividend	د ونډې
divination	وېش
divine	خداي
divinity	دیویت
divisible	ویشل شوی
division	ویش
divisor	وېش
divorce	طلاق
divorcee	طلاق
divulge	ویش
divvy	ویش
dizziness	زیږون
dizzy	چټک
do	وکړه
doable	کار وړ
doc	ډاکتر
docile	خیر
dock	ډک
docked	ډک شوی
docket	جیب
docking	ډاک کول
doctor	ډاکټر
doctorate	ډاکتران
doctrinal	نظریات
doctrine	نظر
document	لاسوند
documentary	مستند
documentation	لاسوندونه
documents	اسناد
dodge	ډاج
dodger	ډوډګر
dodging	غوراوي
dodgy	ټوټه
dodo	دودو
doe	د
doer	ډوډۍ
dog	سپي
dogface	غوټۍ
dogged	غوڅ شوی
doggy	سپي
doghouse	سپو کور
dogma	سپي
dogmatic	سپيڅلي
dogsick	NO TRANSLATION
doings	کارونه
doit	NO TRANSLATION
dojo	Dojo
doldrums	پلونه
dole	غوږ
doll	ګری
dollar	ډالر
dollhouse	د ګيګور کور
dolor	NO TRANSLATION
dolphin	ډففین
domain	ډومین
dome	گنبد
domestic	کورني
domesticated	کورني
domestication	کورني
domicile	تسلسل
domiciled	نافذ شوی
dominance	واکمنۍ
dominant	غالب
dominate	غالب
dominating	غالب
domination	تسلط
dominatrix	dominatrix
dominion	واک
domino	ډومینو
don	ډون
donate	مرسته وکړئ
donation	مرسته
donkey	خره
donor	بسپنه ورکوونکی
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	ډونپینیک
dontunderstand	NO TRANSLATION
doodle	ډډل
doom	عذاب
doomed	مات شوی
doomsday	قیامت
door	دروازه
doorbell	دروازه
doorknob	کارکوب
doorman	دروازه
doormat	ډوډۍ
doornail	کروریلیل
doorstep	دروازه
doorway	دروازه
dopamine	ډاپامینین
dope	ډپ
dopey	ډپۍ
dork	ډک
dorky	ډوډۍ
dorm	لمر
dormant	استعمار
dormitory	لمر
dorsal	ډیزل
dosage	خواړه
dose	خوراک
dossier	دوسیه
dot	ډټ
doting	ډوډۍ
dotted	ټکی شوی
dotty	ډوډۍ
double	دوه برابره
doubled	دوه ځله
doublet	دوه ځله
doubling	دوه ځله
doubt	شک
doubtful	شکمن
doubting	شکمن
doubtless	بې شکه
doubts	شکونه
douche	دوې
douchebags	دوچبغ
dough	ټوټه
doughboy	ډوډۍ
doughnut	ډونټ
dour	ډوډۍ
douse	کور
dove	کڅوړی
down	ښکته
downcast	ماتول
downer	کمر
downfall	کمښت
downfield	لاندی ډګر
downhearted	مات شوی
downhill	ښکته
download	کښته کول
downpour	ټوټه شوه
downright	سمه ده
downriver	ناڅاپه
downside	ښکته خوا
downtime	ټیټ وخت
downward	ښکته
downy	ښکته
dowry	دوول
doze	کروز
dozen	درجن
drab	drab
draft	مسوده
drafty	مسوده
drag	ځړول
dragon	ډریګون
dragonfly	dragonfly
drain	سیند
drainage	اوبولګونې
drained	وچ شوی
draining	خړوبول
drainpipe	خړوبول
drake	ډکیک
drama	ڈرامه
dramaqueen	NO TRANSLATION
dramatic	ډراماتيک
drape	انګور
drapery	ناڅاپه
drastic	سختۍ
drat	NO TRANSLATION
draught	مسوده
draw	انځور کړئ
drawback	خرابی
drawbridge	د کڅوړی
drawer	ډیری
drawers	کښونکي
drawing	انځورګر
dread	ویره
dreaded	خړوب شوی
dreadful	ډارونکی
dreadfully	په زړه پورې
dreading	ویره
dream	خوب
dreamboat	د خوب خوبی
dreamer	لیدونکی
dreaming	خوب لیدل
dreamland	د خوب لیدل
dreams	خوبونه
dreamt	خوب لیدل
dreamy	خوبی
dreary	ډیری
dredge	ډریج
drenched	ټوټه شوه
dress	جامې
dresser	کڅوړی
dressmaker	جامې جوړونکي
dressy	جامې
dribble	NO TRANSLATION
dried	وچ شوی
drier	وچولو
drift	خوځښت
drifted	تیریدل
drifter	ډوډۍ
driftwood	ډوډۍ لرګي
drill	ڈرل
drink	څښل
drinker	څښاک
drinking	څښل
drinks	څښاک
drip	ډب
dripping	کښته کول
drive	موټر چلول
drivel	چټکۍ
driver	چلوونکی
driveway	موټر
drizzle	بادل
droll	ډومول
drone	ډرون
drones	ډرون
drool	پری
drooping	پرېښودل
droopy	ډوډۍ
drop	غورځول
droplet	بڼ
dropout	حذف کیدل
dropper	غورځنګ
drought	وچکالۍ
drove	NO TRANSLATION
drown	ډوب
drowsiness	خوندیتوب
drowsy	غاښونه
drudgery	درملو
drug	درمل
drug dealing	د مخدره توکو معامله
drugged	نيشه يي توکي
druggist	ډګریست
drugs	نشه يي توکي
drugstore	درملنه
druid	ډیوډ
drum	ډول
drummer	ډډر
drumming	ډرامه کول
drunk	ناسته
drunk driving	د ډک موټر چلولو
drunkard	ناڅاپه
drunken	شرک
drunkenness	شرک
dry	وچ
dryer	dryer
dryness	خوندیتوب
dual	دوه برابره
dualism	دوه اړخیزه
duality	دوالی
dub	ډب
dubious	حساس
duchess	ډوډۍ
duck	هیلۍ
ducking	ډکنگ
duckling	ډکول
ducky	ډکی
duct	ډوډۍ
ductile	نوبتی
dud	ډډ
dude	يار
duds	بندونه
due	د
duel	ډوډۍ
dues	پورونه
duet	دوټ
duffel	ډفیل
dugout	ډوډۍ
duh	اوه
duke	ډک
dull	ځړول
dullard	ډډر
dumb	ګونګ
dumbasses	ګونګۍ
dumbbell	ډوببل
dumbbitch	NO TRANSLATION
dumfound	ډوډۍ
dumfounder	NO TRANSLATION
dummy	ډمی
dump	ډمپ
dumpling	ډوډۍ کول
dumps	ډمپونه
dumpster	ډمپټر
dun	ډون
dunce	ډونس
dune	ډون
dung	NO TRANSLATION
dungeon	ډونګن
dunk	ډوډۍ
duo	دوه
dupe	dupe
duplex	ډوډۍ
duplicate	نقل
duplication	تکرار
duplicity	دوهمه برخه
durability	دوام
durable	پاتي
duration	موده
duress	پیوستون
dusk	دوسیه
dusky	دوسیه
dust	خاورې
duster	ډوډۍ
dustpan	خاوره
dusty	ټوپک
dutiful	بې رحمه
duty	دنده
dwarf	ډوډۍ
dwarfed	ډوډۍ
dweeb	dweeb
dwell	اوسیږی
dweller	استوګنځي
dwelling	استوګنې
dye	رنګ
dying	مړه کيږي
dyke	ډکی
dynamic	متحرک
dynamical	ډنمارکي
dynamics	ډنمارکي
dynamite	ډمیټیټ
dynamo	ډینامو
dynasty	کورنۍ
dysentery	ډیزاین
dysfunction	خوندیتوب
dysfunctional	خرابی
dyspepsia	ډیسپپسیا
eager	خوښ دی
eagerness	کډوالۍ
eagle	ایګل
ear	غوږ
earful	غوږ
earl	غوږ
earlier	مخکې
early	وخت
earn	ترلاسه کول
earnest	ګټور
earnestly	په زړه پورې
earnestness	عقل
earnings	عایدات
earpiece	غوږ
earring	غوږونه
earrings	غوږوالۍ
earshot	غوږ
earth	ځمکه
earthenware	د ځمکو پوښښ
earthling	زلزلې
earthly	زلزله
earthquake	زلزلې
earthy	خاوره
ease	آسانه
easel	انټیل
easement	اسانتياوې
easily	په اسانۍ سره
east	ختیځ
eastbound	ختيځ ختيځ
eastern	ختیځ
easy	اسانه
easygoing	اسانه لار
eat	خوري
eater	خواړه
eating	خواړه
eatingdisorders	NO TRANSLATION
eavesdrop	غوړونه
eavesdropping	خوندیتوب
ebb	ایب
ebony	آسیا
ebullient	کڅوړی
eccentric	سنګل
eccentricity	ناڅاپه
ecclesiastical	اقلیتي
echelon	اییلیلون
echinacea	ایچینایسا
echo	خوشې کړئ
eclectic	ايکيليک
eclipse	کښته
ecliptic	استراحت
ecological	ايکولوژيکي
economic	اقتصادي
economical	اقتصادي
economics	اقتصاد
economy	اقتصاد
ecosystem	اکسيستم
ecstasy	اېسسټاس
ecstatic	خوشحاله
ecumenical	ایډیمینیک
eddy	ایډيدي
edema	اډیما
edge	کنډک
edging	کنډک
edgy	کڅوړه
edible	خوړونکی
edict	محکمه
edification	ایډیشن
edifice	ایډیفس
edit	سمول
editing	سمول
edition	نسخه
editor	سمونګر
editorial	ادارتي
educate	زده کړه
educated	زده کړه
education	زده کړه
educational	زده کړه
educator	ښوونکی
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	اییل
eerie	ایري
effect	اغیزه
effective	اغېزمن
effectiveness	اغیزمنتوب
effects	اغيزې
effectual	اغیزه
effectually	په اغیزمن ډول
effectuate	اغیزه
effeminate	اغېزمن
efficacious	اغېزمن
efficacy	اغېزمنتوب
efficiency	موثریت
efficient	اغېزمن
effigy	اغيزه
effort	هڅه
effortless	بې وزله
effusion	اغیزه
effyou	NO TRANSLATION
egg	هګۍ
egghead	هګۍ
eggnog	مثال
eggplant	بانجان
