Word	ceb
charade	charade
charcoal	uling
chardonnay	chardonnay
charge	bayad
chargeable	chargeable
charger	charger
chariot	karwahe
charisma	charisma
charismatic	karismatik
charitable	mahigugmaon
charity	gugma nga putli
charlatan	charlatan
charm	kaanyag
charmed	madanihon
charmer	manlimbong
charming	makalingaw
charred	nasunog
chart	tsart
charter	charter
chartered	chartered
chase	paggukod
chased	gigukod
chaser	chaser
chasm	bung-aw
chassis	chassis
chaste	putli
chastened	gipanton
chastisement	pagpanton
chastity	kaputli
chat	chat
chateau	chateau
chatter	pagsulti
chatterbox	chatterbox
chattering	mag-chat
chatty	chatty
chauffeur	chauffeur
chauvinist	chauvinist
cheap	barato
cheapened	gipaubos
cheapskate	cheapskate
cheat	paglimbong
cheater	manlimbong
check	susihon
checkbook	checkbook
checker	checker
checkered	checkered
checkers	checkers
checklist	listahan
checkmate	checkmate
checkout	checkout
checkpoint	checkpoint
checkup	pagsusi
cheek	aping
cheeks	aping
cheeky	cheeky
cheep	cheep
cheer	kalipay
cheered	nalipay
cheerful	malipayon
cheerfulness	malipayon
cheering	paglipay
cheerleader	cheerleader
cheerleading	cheerleading
cheerless	walay kalipay
cheers	kalipay
cheery	malipayon
cheese	keso
cheeseburger	cheeseburger
cheesecake	cheesecake
cheesy	cheesy
cheetah	cheetah
chef	chef
chemical	kemikal
chemise	NO TRANSLATION
chemist	chemist
chemistry	chemistry
chemo	chemo
chemotherapy	chemotherapy
cheque	susihon
cherish	mahalon
cherishing	pagmahal
cherry	cherry
cherub	kerubin
chess	chess
chest	dughan
chestnut	chestnut
chevron	chevron
chew	pagmama
chewy	chewy
chic	chic
chicane	chicane
chick	chick
chicken	manok
chicken pox	hilo sa manok
chickenpox	cacat
chief	pangulo
chiefly	ilabi na
chieftain	pangulo
chiffon	chiffon
child	bata
childbirth	pagpanganak
childhood	bata pa
childish	binata
childless	walay anak
childlike	sama sa bata
childloss	NO TRANSLATION
children	mga anak
chili	chili
chill	chill
chilled	chilled
chilling	paghugno
chilly	tugnaw
chime	chime
chimera	chimera
chimes	chimes
chimney	panghaw
chimp	chimp
chimpanzee	chimpanzee
chin	baba
china	china
chinchilla	chinchilla
chine	NO TRANSLATION
chinook	chinook
chip	chip
chipmunk	chipmunk
chipper	chipper
chipping	Chipping
chiropractor	chiropractor
chirp	naghilak
chirping	nanghilak
chisel	mapait
chiseler	chiseler
chit	chit
chitchat	chitchat
chivalry	pagkabuntog
chloride	chloride
chlorine	klorin
chloroform	chloroform
chocolate	chocolate
choice	pagpili
choir	choir
choke	nahigmata
cholera	cholera
cholesterol	kolesterol
choose	pagpili
choosing	pagpili
choosy	choosy
chop	chop
chopper	chopper
choppers	choppers
chopping	pagputol
chops	chops
choral	choral
chord	chord
chords	chords
chore	trabaho
choreographer	koreographer
choreography	koreograpiya
chorus	chorus
chosen	gipili
chow	chow
chowder	chowder
christ	christ
christen	NO TRANSLATION
christening	christening
christian	christian
christmas	Pasko
christmasbreak	NO TRANSLATION
christmaseve	NO TRANSLATION
christmasspirit	NO TRANSLATION
christmassy	christmassy
christmastime	panahon sa Pasko
chromatic	chromatic
chromatography	chromatography
chrome	chrome
chromium	chromium
chromosome	chromosome
chronic	chronic
chronicle	cronicle
chronograph	chronograph
chronological	kronolohikal
chubby	tambok
chuck	chuck
chuckle	nanghupaw
chug	chug
chum	chum
chummy	chummy
chump	chump
chunk	chunk
chunky	chunky
church	simbahan
churchyard	balay sa simbahan
churn	misakit ang
chute	chute
chutney	chutney
ciao	ciao
cider	cider
cigar	sigarilyo
cigarette	sigarilyo
cilantro	cilantro
cinch	cinch
cinder	cinder
cinema	sine
cinematic	cinematic
cinematographer	cinematographer
cinematography	cinematography
cinnamon	cinnamon
cipher	cipher
circle	lingin
circling	nagtuyok
circuit	sirkito
circuitry	circuitry
circular	circular
circulate	maglibot
circulation	sirkulasyon
circulatory	circulatory
circumcision	pagtuli
circumference	sirkumperensiya
circumferential	palibut
circumscribed	gilimitahan
circumstance	kahimtang
circumstances	kahimtang
circumstantial	istorya
circumvent	likayi
circumvention	paglikay
circus	sirkus
cirque	cirque
cirrhosis	cirrhosis
cirrus	cirrus
cistern	cistern
citadel	citadel
citation	citation
cite	paghisgot
citizen	citizen
citizenship	pagkalungsoranon
citrine	Citrine
citrus	citrus
city	lungsod
citywide	sa tibuok siyudad
civic	civic
civics	civics
civil	sibil
civilian	sibilyan
civilians	mga sibilyan
civility	pagkamaunongon
civilization	sibilisasyon
civilized	sibilisado
clad	nakasulud
claim	pag-angkon
claimant	nangangkon
clairvoyant	clairvoyant
clam	clam
clambake	pag-clambake
clammy	clammy
clamor	pagsinggit
clamp	clamp
clan	ang banay
clandestine	clandestine
clang	clang
clap	magpakpak
clapper	clapper
clapping	pagpalakpak
clarification	pagklaro
clarify	pagklaro
clarinet	clarinet
clarion	clarion
clarity	pagklaro
clash	panagsangka
clashing	pagsumpo
clasp	pagbitay
class	klase
classic	classic
classic rock	classic rock
classical	klasikal
classics	classics
classification	pagklasipikar
classified	classified
classify	pagklasipikar
classmate	classmate
classroom	klasehanan
classy	classy
clatter	pagsupak
clause	clause
clauses	clauses
claustrophobia	claustrophobia
claustrophobic	claustrophobic
clavicle	clavicle
claw	claw
claws	claws
clay	yutang kulonon
clean	limpyo
cleaner	maglimpyo
cleaning	pagpanglimpyo
cleanliness	kalimpyo
cleanly	hinlo
cleanse	paglimpyo
cleanser	cleanser
cleansing	paghinlo
cleanup	paglimpyo
clear	tin-aw
clearance	clearance
clearing	paghawan
clearness	katin-awan
cleat	cleat
cleavage	cleavage
cleave	huptan
cleaver	tigpamutol
clef	clef
cleft	guba
clemency	pagmapailubon
clench	pagkalipong
clergy	klero
clergyman	klero
cleric	cleric
clerical	clerical
clerk	klerk
clerkship	clerkship
clever	maalamon
cleverness	kinaadman
click	i-klik
clicker	clicker
client	kliyente
clientele	mga kliyente
cliff	pangpang
climate	klima
climatology	climatology
climax	kinatapusan
climb	pagsaka
climber	tigkatkat
clinch	clinch
cling	pagpugong
clingy	hanap
clinic	klinika
clinical	clinical
clink	clink
clip	clip
clipboard	clipboard
clipper	gunting
clipping	pagputol
clique	NO TRANSLATION
clitoris	clitoris
cloak	kupo
cloaking	pagtan-aw
cloakroom	puy-anan
clobber	clobber
clock	orasan
clockwork	bulok nga hulagway
clod	clod
clog	clog
cloister	cloister
clone	clone
cloning	pag-clone
close	suod nga
closed	sirado
closeness	pagkasuod
closet	closet
closure	pagsira
clot	clot
cloth	panapton
clothe	sinina
clothes	mga sinina
clothesline	nga sinina
clothing	sinina
cloud	panganod
clouded	mapuno
cloudiness	kahayag
clouds	mga panganod
cloudy	madagma
clout	pagpatay
clove	clove
clover	clover
cloves	cloves
clown	clown
clowns	clowns
club	club
clubhouse	clubhouse
clubs	clubs
cluck	cluck
clue	pahibal-an
clueless	wala'y klaro
clump	clump
clumsy	clumsy
clunk	clunk
cluster	cluster
clutch	clutch
clutches	clutches
clutter	pagkaputol
coach	coach
coachman	coachman
coagulation	pag-ayo
coal	karbon
coalesce	nagkahiusa
coalition	koalisyon
coarse	coarse
coast	baybayon
coastal	baybay
coaster	coaster
coastline	baybayon
coat	sinina
coating	taklap, sapaw
coax	pagsul-ob
cobalt	cobalt
cobble	cobble
cobbler	cobbler
cobra	cobra
cocaine	cocaine
cock	manok
cockamamie	cockamamie
cockeyed	gubot
cockpit	cockpit
cockroach	kan-anan
cocksucker	cocksucker
cocktail	Cocktail
cocky	hugaw
cocoa	kakaw
coconut	lubi
cocoon	kape
cod	cod
code	Code
codeine	codeine
codex	codex
codfish	codfish
codification	codification
codify	codify
coding	coding
coed	coed
coefficient	coefficient
coerce	pagpugos
coercion	pagpamugos
coercive	pagpamugos
coexist	mag-uban
coexistence	magkahiusa
coexisting	nagapadayon
coffee	kape
coffee table	kape nga kape
coffeehouse	coffeehouse
coffeepot	coffeepot
coffin	lungon
cog	cog
cogent	cogent
cognac	cognac
cognate	cognate
cognition	cognition
cognitive	panghunahuna
cohabitation	pagpuyo-puyo
coherence	pagkauyon
coherent	nagkauyon
cohesion	panaghiusa
cohesive	cohesive
cohort	cohort
coil	coil
coiled	naglihok
coin	sensilyo
coinage	coinage
coincide	magkahiusa
coincidence	sulagma
coincident	suliran
coincidental	sulagma
coinciding	magkahiusa
coke	coke
cola	cola
cold	katugnaw
coldly	sa katugnaw
coldness	kabugnaw
coldsweat	NO TRANSLATION
coleslaw	coleslaw
colic	colic
coliseum	koliseum
collaborate	magtinabangay
collaboration	kolaborasyon
collaborator	kolaborator
collage	collage
collagen	collagen
collapse	mahugno
collar	kulyar
collarbone	kuwelyo
collate	pag-collate
collateral	garantiya
collation	pagkumpirma
colleague	kauban
collect	pagkolekta
collected	nakolekta
collection	pagkolekta
collective	kolektibo
collectively	sa tanan
collector	collector
college	kolehiyo
collegiate	collegiate
collide	nagbangga
collie	collie
collision	banggaan
collocation	paghugpong
colloquial	kolokyal
collusion	paghiusa
cologne	cologne
colon	colon
colonel	koronel
colonial	kolonyal
colonic	colonic
colonoscopy	colonoscopy
colony	kolonya
colophon	colophon
color	kolor
coloration	kolor
colored	kolor
colorful	mabulokon
coloring	pagkolor
colorless	walay kolor
colors	mga kolor
colossal	dako kaayo
colt	colt
columbine	columbine
column	kolum
columnar	kolumnar
columnist	kolumnista
com	NO TRANSLATION
coma	koma
comatose	koma
comb	comb
combat	away
combatant	away
combative	combative
combination	kombinasyon
combinatorial	combinatorial
combine	paghiusa
combined	gihiusa
combo	combo
combustible	dali
combustion	pagkasunog
come	umari ka
comeback	Pagbalik
comedian	komedyante
comedy	comedy
comet	kometa
comfort	paghupay
comfortable	komportable
comforter	Maghuhupay
comforting	makapahupay
comfy	komportable
comic	komiks
comical	makalingaw
comics	komiks
coming	pag-anhi
comma	koma
command	sugo
commandant	komandante
commandeer	komander
commander	kumander
commanding	pagmando
commandment	sugo
commando	komando
commemorate	paghandum
commemoration	paghandum
commemorative	commemorative
commence	magsugod
commend	pagdayeg
commendable	dalaygon
commendation	pagdayeg
commensurate	komitado
comment	komentaryo
commentary	komentaryo
commentator	komentarista
commerce	komersiyo
commercial	commercial
commie	commie
commissary	commissary
commission	komisyon
commissioner	komisyonado
commit	pagbuhat
commitment	pasalig
committal	committal
committed	nahimo
committee	komite
commodity	produkto
commodore	komodore
common	komon
commoner	ordinaryong tawo
commonly	kasagaran
commonplace	ordinaryo na kaayo
commons	mga commons
commonwealth	komonwelt
commotion	kaguliyang
communal	communal
commune	komyun
communicable	makontak
communicate	makigsulti
communication	komunikasyon
communicative	komunikasyon
communicator	communicator
communion	pakig-ambit
communism	komunismo
communist	Komunista
community	komunidad
commutation	pagbag-o
commutative	commutative
commute	mobiyahe
commuter	commuter
comp	comp
compact	compact
compaction	pagkompetensya
compactness	compactness
companion	kauban
companionless	walay kauban
companionship	pakig-uban
company	kompaniya
comparable	ikatandi
comparative	comparative
comparatively	kon itandi
compare	itandi
comparison	pagtandi
compartment	lawak
compass	kompas
compassion	kalooy
compassionate	maloloy-on
compatibility	pagkompetensya
compatible	nahiuyon
compel	pagpugos
compelled	gipugos
compelling	makakombinser
compendium	compendium
compensate	pagbayad
compensation	bayad
compensatory	ang bayad
compete	makigkompetensya
competence	katakus
competency	katakus
competent	sarang
competition	kompetisyon
competitive	competitive
competitor	kakompetensya
compilation	paghugpong
compile	pagtipon
complacency	pagkalma
complacent	wala'y paglaum
complain	moreklamo
complaint	reklamo
complement	katimbang
complementary	komplementaryo
complete	kompleto
completed	nahuman
completely	hingpit
completeness	pagkakompleto
completing	pagkompleto
completion	pagkompleto
complex	komplikado
complexed	gisulayan
complexion	sulaw
complexity	komplikado
compliance	pagsunod
compliant	misunod
complicate	palihug
complicated	komplikado
complication	komplikasyon
complicity	pagsinabtanay
compliment	NO TRANSLATION
complimentary	kompleto
comply	pagtuman
complying	pagtuman
compo	compo
component	component
compose	paghimo
composed	gisulat
composer	kompositor
composite	composite
composition	komposisyon
compost	compost
composure	pagkompetensya
compound	compound
comprehend	sabton
comprehension	pagsabot
comprehensive	komprehensibo
compress	idasok
compressed	compressed
compressible	mapugngan
compression	kompresiyon
compressor	compressor
comprise	naglangkob
compromise	pagkompromiso
comptroller	comptroller
compulsion	pagpugos
compulsive	mapugsanon
compulsory	gikinahanglan
computable	gikompirma
computation	pagkuwenta
compute	ikumpara
computer	computer
computerized	computerized
computing	pagkompyuter
comrade	kauban
con	NO TRANSLATION
concatenation	pagdugtong
concave	huyang
conceal	pagtago
concealed	natago
concealment	pagtago
concede	pag-angkon
conceit	Gipanghambog
conceited	mapahitas-on
conceivable	mahunahuna
conceive	nanamkon
concentrate	pag-concentrate
concentration	konsentrasyon
concentric	concentric
concept	konsepto
conception	pagsamkon
concern	kabalaka
concerned	nabalaka
concert	konsyerto
concerto	concerto
concession	pagtugot
concessional	concessional
conch	conch
concierge	concierge
conciliation	panaghiusa
concise	sulud
conclave	conclave
conclude	makahinapos
concluding	pagtapos
conclusion	konklusyon
conclusive	konklusyon
concoction	pagsagol
concomitant	duyog
concord	concord
concordance	concordance
concours	NO TRANSLATION
concourse	paglangoy
concrete	kongkreto
concubine	puyopuyo
concur	uyon
concurrence	pag-uyon
concurrent	kasamtangan
concurring	pag-uyon
concussion	pagkurog
condemn	pagahukman sa silot
condemnation	panghimaraut
condensation	kondensasyon
condensed	gipaubos
condescending	pagpaubos
condescension	pagpaubos
condiment	pahumot
condition	kondisyon
conditional	kondisyonal
conditionally	kondisyonal
conditioned	giandam
conditioner	kondisyoner
conditioning	pag-conditioning
conditions	kahimtang
condo	condo
condolence	pahasubo
condolences	pahalipay
condom	condom
condone	pagkonsentra
condor	condor
conducive	maayo
conduct	pagdumala
conduction	pagbalhin
conductivity	konduktibo
conductor	konduktor
conduit	agianan
cone	cone
confederacy	pagkompetensya
confederate	nagkahiusa
confederation	kompederasyon
confer	pagtugyan
conference	komperensya
confess	pagkumpisal
confession	pagsugid
confessional	pagkumpirma
confessions	pagkumpisal
confetti	confetti
confidant	confidant
confide	pagsugid
confidence	pagsalig
confident	masaligon
confidential	kompidensyal
confidentiality	confidentiality
confidentially	NO TRANSLATION
configuration	pagsumpo
confine	pagkontrol
confined	nahimutang
confinement	pagkabilanggo
confines	gilimitahan
confirm	sa pagmatuod sa
confirmation	pagkumpirma
confirmatory	confirmatory
confirmed	gikumpirma
confiscate	pagkumpiskar
confiscation	pagsakmit
conflagration	pagkasunog
conflict	away
conflicting	nagkasumpaki
confluence	panagkita
conform	pagpahiuyon
conformance	pagpahiuyon
conformation	NO TRANSLATION
conformity	uyon
confound	malibog
confounded	gilibog
confront	atubang
confrontation	komprontasyon
confuse	kalibog
confused	naglibog
confusing	makalibog
confusion	kalibog
conga	conga
congenial	congenial
congenital	dali nga pagkatawo
congestion	pagkagun-ob
conglomerate	konglomerate
conglomeration	konglomerasyon
congrats	congrats
congratulate	pahalipay
congratulation	pagpahalipay
congratulations	gipahalipay
congratulatory	pahalipay
congregate	magtigum
congregation	kongregasyon
congress	kongreso
congressional	kongreso
congressman	kongresista
congruence	congruence
conic	conic
conical	conical
conjecture	panghunahuna
conjugal	conjugal
conjugate	conjugate
conjugation	conjugation
conjunction	pagkahiusa
conjunctive	conjunctive
conjure	pagpuyo
conjuring	conjuring
conk	conk
connect	pagkonektar
connected	konektado
connection	koneksyon
connective	sumpay
connoisseur	Siyentipiko
conquer	pagbuntog
conquering	pagbuntog
conqueror	tigdaug
conquest	pagsakop
conscience	konsensya
conscientious	makugihon
conscious	mahunahunaon
consciousness	panimuot
conscription	gikinahanglan
consecrated	gipahinungod
consecration	pagpahinungod
consecutive	sunod-sunod
consensual	consensual
consensus	consensus
consent	pagtugot
consenting	pag-uyon
consequence	nga sangputanan
consequent	resulta
conservation	konserbasyon
conservatism	conservatism
conservative	konserbatibo
conservatory	konserbatibo
conserve	pagtipig
consider	hunahunaa
considerable	igo
considerate	mahunahunaon
consideration	konsiderasyon
consignee	consignee
consignment	konsinyasyon
consist	naglangkob
consistency	pagkamakanunayon
consistent	makanunayon
consolation	paghupay
console	paghupay
consoled	nahupay
consolidate	pagkonsolida
consolidated	pagkonsolida
consolidation	pagkonsolida
consonant	konsonante
consort	consort
conspicuous	katingalahan
conspiracy	pagplano
conspirator	Nagplano
conspire	makigkunsabo
constable	pulis
constancy	makanunayon
constant	kanunay
constantly	kanunay
constellation	konstelasyon
consternation	kahadlok
constipation	constipation
constituency	konstitusyon
constituent	constituent
constituents	mga lumulupyo
constitute	naglangkob
constitution	konstitusyon
constitutional	konstitusyonal
constitutionality	konstitusyonalidad
constrain	pagpugong
constrained	napugos
constraint	pagpugong
construct	pagtukod
construction	pagtukod
constructive	mapuslanon
construe	paghunahuna
consul	konsul
consulate	konsulada
consult	konsulta
consultant	consultant
consultation	konsultasyon
consume	pagkonsumo
consumer	consumer
consuming	nagun-ob
consummate	hingpit
consummation	pagkahingpit
consumption	konsumo
contact	kontak
contagion	contagion
contagious	makatakod
contain	naglangkob
container	sudlanan
containment	pagpugong
contaminate	hugaw
contaminated	nahugawan
contamination	kontaminasyon
contemplate	hunahunaa
contemplation	pagpamalandong
contemplative	mapalandungon
contemporaneous	kadungan
contemporary	kapanahonan
contempt	pagtamay
contemptible	talamayon
contemptuous	nagatamay
contend	pakigbingkil
contender	contender
contending	away
content	kontento
contented	kontento
contention	panagbingkil
contentious	makiglalis
contentment	katagbawan
contents	mga sulod
contest	contest
contestant	contestant
context	konteksto
contiguous	nagkadugtong
continence	continence
continent	kontinente
continental	continental
contingency	dili kinahanglan
contingent	contingent
continual	padayon
continually	sa kanunay
continuance	pagpadayon
continuation	pagpadayon
continue	magpadayon
continued	nagpadayon
continuing	padayon
continuity	pagpadayon
continuous	padayon
continuously	padayon
continuum	continuum
contour	contour
contraband	kontrabando
contraception	contraception
contract	kontrata
contracted	gikontrata
contractile	kontrata
contracting	pagkontrata
contraction	pagkunhod
contractor	kontraktor
contradict	sukwahi
contradiction	panagsumpaki
contradictory	nagkasumpaki
contraption	contraption
contrary	sukwahi
contrast	pagtandi
contrasted	gitandi kini
contravene	kontra
contravention	away
contribute	makaamot
contribution	kontribusyon
contributor	kontribyutor
contrite	mahinulsulon
contrition	paghinulsol
contrived	gilunsad
control	pagkontrol
controller	controller
controlling	pagkontrol
controversial	kontrobersyal
controversy	kontrobersiya
contusion	pagsupak
conundrum	Poncinma
convalescent	makalipay
convection	kombeksyon
convene	magtigum
convenience	kasayon
conveniences	kahupayan
convenient	sayon
convent	kombento
convention	kombensiyon
conventional	conventional
converge	magtipon
convergence	pagtagbo
convergent	nagtipon
conversant	makinaadmanon
conversation	pagsinultihanay
conversational	panag-istoryahanay
conversationalist	conversationalist
converse	pakig-istorya
conversing	nakig-istorya
conversion	pagkakabig
convert	kinabig
converted	nakabig
convertible	mausab
convex	convex
convexity	convexity
convey	ipahayag
conveyance	pagdala
conveyancing	conveyancing
convict	convict
conviction	kombiksyon
convince	kombinsido
convinced	kombinsido
convincing	pagkombinsir
convocation	pagpundok
convoluted	nagkaguliyang
convolution	kombensyon
convoy	pagkonbikto
coo	coo
cook	magluto
cookbook	cookbook
cooker	tigluto
cookery	pagluto
cookie	cookie
cookies	cookies
cooking	pagluto
cookout	cookout
cool	bugnaw
coolant	coolant
cooler	bugnaw
cooling	makapabugnaw
coolness	katugnaw
coon	coon
coop	coop
cooperate	magtinabangay
cooperating	pag-kooperar
cooperation	pagtinabangay
cooperative	kooperatiba
coordinate	coordinate
coordination	koordinasyon
coordinator	coordinator
cop	pulis
copacetic	NO TRANSLATION
cope	pagsagubang
copier	copier
copilot	copilot
coping	pagsagubang
copious	daghan kaayo
copper	tumbaga
copter	copter
copy	kopya
copycat	copycat
copying	pagkopya
copyright	copyright
coral	coral
coral snake	coral nga bitin
cord	cord
cordial	cordial
cordless	cordless
cordon	cordon
corduroy	corduroy
core	core
cork	cork
corkscrew	corkscrew
corn	mais
cornball	cornball
cornbread	cornbread
cornea	cornea
corned	corned
corner	sulud
cornerstone	cornerstone
cornet	cornet
cornfield	cornfield
cornflakes	cornflakes
cornice	cornice
cornstarch	cornstarch
corny	corny
corollary	corollary
corona	Corona
coronary	coronary
coronation	koronasyon
coroner	coroner
corporal	korporal
corporate	korporasyon
corporation	korporasyon
corporeal	corporeal
corps	corps
corpse	patay nga lawas
corpsman	corpsman
corpus	corpus
corral	corral
correct	husto
correction	pagtul-id
correctional	husto
corrective	pagtul-id
correctness	pagkorihir
correlation	correlation
correlative	kaangayan
correspond	managsama
correspondence	sulat
correspondent	correspondent
corresponding	katugbang
corridor	koridor
corroborate	pagsalig
corroboration	pagsuporta
corrosion	kakapoy
corrosive	makadaut
corrupt	dunot
corrupting	makadaot
corruption	korapsyon
corsage	corsage
corse	NO TRANSLATION
corset	corset
cortex	cortex
cortical	cortical
cortisone	cortisone
corvette	corvette
cosmetic	kosmetiko
cosmetics	mga kosmetiko
cosmic	kosmiko
cosmology	kosmolohiya
cosmopolitan	kosmopolita
cosmos	kosmos
cost	gasto
costly	mahal nga
costume	costume
cosy	komportable
cot	cot
cote	cote
cottage	cottage
cotton	gapas
couch	higdaanan
cougar	cougar
cough	ubo
council	konseho
councilman	konsehal
counsel	tambag
counseling	pagtambag
counsellor	magtatambag
counselor	magtatambag
count	ihap
countdown	pag-ihap
countenance	panagway
counter	counter
counteract	pagsumpo
counterattack	counterattack
counterbalance	pagbaligya
counterclaim	pagbalibad
counterfeit	peke
counterpart	katugbang
counterpoint	counterpoint
countess	pagpangasawa
countless	dili maihap
country	nasud
countryman	countryman
countrymusic	NO TRANSLATION
countryside	bukid
counts	importante
county	county
coup	kudeta
coupe	coupe
couple	magtiayon
coupled	inubanan
coupling	pagkabit
coupon	kupon
courage	kaisog
courageous	maisugon
courier	kuryente
courses	mga kurso
coursing	paghangyo
court	korte
courteous	matinahuron
courtesy	maayong kabubut-on
courthouse	pasidungog
courtroom	lawak sa korte
courts	korte
courtship	panaghigugmaay
courtside	sa korte
courtyard	nataran
cousin	ig-agaw
cousins	ig-agaw
cove	cove
coven	pakigsaad
covenant	pakigsaad
cover	tabon
coverage	coverage
covered	gitabunan
covering	pagtabon
covert	tago
covet	kaibog
coveted	gitinguha
cow	baka
coward	talawan
cowardice	pagkatalawan
cowardly	tinalawan
cowboy	cowboy
cowgirl	cowgirl
cowhand	cowhand
cowhide	cowhide
cowl	cowl
coworker	kauban sa trabaho
coy	coy
coyote	coyote
cozy	komportable
crab	crab
crabby	crabby
crack	liki
cracked	naglihok
cracker	cracker
crackerjack	crackerjack
cracking	pag-crack
crackle	crackle
crackpot	crackpot
cradle	duyan
craft	craft
crafts	kultura
craftsman	artista
craftsmanship	pagkulit
crafty	malimbongon
craig	craig
cram	cram
crammed	nahuman
cramp	cramp
cramped	hagip
cranberry	cranberry
cranberry juice	cranberry juice
crane	makinang igsasakwat
cranial	cranial
cranium	cranium
crank	tipik
cranky	grabe
cranny	cranny
crap	crap
crappy	crappy
craps	craps
crash	nahagsa
crass	crass
crate	crate
crater	crater
crave	Mangandoy
craving	pangandoy
crawfish	crawfish
crawl	magkamang
crayon	krayola
crayons	mga krayola
craze	pagkalibang
crazed	crazed
craziness	craziness
crazy	buang
creak	ambak
creaking	naglihok
cream	cream
creamed	creed
creamer	creamer
creamy	creamy
crease	tuyok
create	paghimo
creation	paglalang
creative	mamugnaon
creativity	pagkamamugnaon
creator	Magbubuhat
creature	binuhat
credence	pagtoo
credential	kredensyal
credentials	mga kredensyal
credibility	kredibilidad
credible	katuohan
credit	credit
credit card	credit card
creditable	NO TRANSLATION
credited	gipasidunggan
crediting	pag-crediting
creditor	tigpautang
creed	kredo
creek	sapa
creep	kilabutan
creeper	makagagahum
creeping	nagakamang
creepy	katawa
cremation	pagsunog
creole	creole
crepe	crepe
crescendo	crescendo
crescent	crescent
crest	lapaw
crestfallen	crestfallen
cretin	cretin
cretins	cretins
crevice	pag-agas
crew	crew
crewman	crewman
crib	crib
cricket	gangis
cried	misinggit
crime	krimen
criminal	kriminal
criminality	kriminalidad
crimp	crimp
crimson	mapula
cringe	managpasakup
cripple	bakol
crippled	baldado
crippling	bakol
crisis	krisis
crisp	malipayon
crispy	crispy
criterion	sukdanan
critic	kritiko
critical	kritikal
criticise	pagsaway
criticism	pagsaway
criticize	pagsaway
criticized	gisaway
critique	pagsaway
critter	critter
croak	croak
croc	croc
crock	crock
crockery	crockery
crocodile	buaya
croft	croft
croissant	croissant
crook	crook
crooked	baliko
crop	pagpananom
croquet	croquet
cross	krus
cross country	krus nga nasud
crossbow	crossbow
crossed	mitabok
crossfire	crossfire
crossing	pagtabok
crossover	crossover
crosswalk	crosswalk
crossword	crossword
crotch	crotch
crouch	nagsubo
crouched	nanglubog
crouching	nagguyod
croupier	croupier
crow	uwak
crowbar	crowbar
crowd	panon sa katawhan
crowded	daghang tawo
crowds	mga panon sa katawhan
crown	korona
crowning	pagpurga
crucial	hinungdanon
cruciate	cruciate
crucifix	krusipiho
crucifixion	paglansang sa krus
crucify	ilansang sa krus
crud	crud
crude	krudo
cruel	mapintas
cruelly	mapintas
cruelty	kabangis
cruise	cruise
cruise ship	cruise ship
cruiser	cruiser
cruising	paglupad
crumb	nahugno
crumble	nahugno
crumbling	nahugno
crummy	ulan
crunch	crunch
crunchy	crunchy
crusade	krusada
crusader	crusader
crush	dugmok
crushed	nahugno
crusher	crusher
crushing	pagdugmok
crust	tinapay
crusty	lugos
crutch	crutch
crux	crux
cry	naghilak
crybaby	crybaby
crying	naghilak
crypt	crypt
cryptic	misteryoso
cryptography	kriptograpiya
crystal	kristal
crystalline	kristal
crystallization	kristalisasyon
cub	cub
cubby	cubby
cube	cube
cubic	cubic
cubicle	cubicle
cuckold	cuckold
cuckoo	cuckoo
cucumber	cucumber
cuddle	gakus
cuddled	gikutlo
cuddles	mga panapaw
cuddling	paglingla
cue	cue
cuff	cuff
cuisine	pagkaon
culinary	culinary
cull	cull
culminate	magtapos
culmination	culmination
culpability	sala
culpable	sala
culprit	sala
cult	kulto
cultivate	pag-ugmad
cultivated	gitanom
cultivation	cultivation
cultural	kultura
culture	kultura
cultured	kultura
culvert	nga sungsong
cumbersome	masulub-on
cumulus	cumulus
cunning	tuso
cunt	cunt
cup	kopa
cupboard	aparador
cupcake	cupcake
cupping	cupping
cur	pan
curable	mahimo nga maayo
curate	curate
curative	curative
curator	curator
curb	gilimitahan
curd	curd
cure	tambal
curfew	curfew
curiosity	pagkamausisaon
curious	talagsaon
curl	curl
curling	curling
currency	currency
current	kasamtangan
curriculum	kurikulum
curry	curry
curse	tunglo
cursed	tinunglo
cursing	pagtunglo
cursory	hinay
curt	kanselahon
curtail	pagpugong
curtailment	pagkunhod
curtain	kurtina
curtains	mga kurtina
curtsy	pagbantay
curvature	curvature
curve	curve
curved	curved
curvilinear	curvilinear
cushion	gapas
cushy	nindot
cusp	cusp
cuss	paghunahuna
cussed	nahibal-an
custard	custard
custodial	custodial
custodian	custodian
custody	pagbantay
custom	kustombre
customary	naandan
customer	customer
customized	gipahiangay
cut	putlon
cutaneous	cutaneous
cute	cute
cuticle	cuticle
cutie	cutie
cutlass	cutlass
cutlery	utlanan
cutoff	cutoff
cutter	pamutol
cutters	cutter
cutthroat	cutthroat
cutting	pagputol
cutting board	tadtaran
cuttings	cuttings
cwt	cwt
cyanide	cyanide
cyberspace	cyberspace
cycle	siklo
cyclical	cyclical
cyclist	siklista
cyclone	bagyo
cylinder	silindro
cylindrical	cylindrical
cymbal	piyangpiyang
cynic	cynic
cynical	cynical
cynicism	cynicism
cyst	cyst
cystic	cystic
cytomegalovirus	cytomegalovirus
cytoplasm	cytoplasm
czar	czar
dab	dab
dabble	mag-dabble
dabbling	pag-dabbling
dad	dad
daddy	papa
dado	NO TRANSLATION
