Word	vi
dismal	ảm đạm
dismantle	tháo dỡ
dismay	thất vọng
dismayed	thất vọng
dismemberment	phân chia
dismiss	bỏ qua
dismissal	sa thải
dismissive	bỏ rơi
dismount	tháo dỡ
disobedience	không vâng lời
disobedient	không vâng lời
disobey	không tuân theo
disorder	rối loạn
disordered	rối loạn
disorderly	vô trật tự
disorganized	vô tổ chức
disorientation	mất phương hướng
disoriented	mất phương hướng
disown	bị tước đoạt
disparage	sự phẫn nộ
disparaging	làm méo mó
disparate	khác nhau
disparity	khác biệt
dispassionate	tán thưởng
dispatch	công văn
dispatcher	điều phối
dispel	xua tan
dispensary	phòng khám
dispensation	sự phân phát
dispense	phân chia
dispenser	người phân phối
dispersal	phân tán
disperse	phân tán
dispersed	phân tán
dispersion	sự phân tán
dispirited	bị phản đối
displace	thay thế
displaced	dời đi
displacement	sự dịch chuyển
displacency	sự mất trật tự
display	trưng bày
displease	không hài lòng
displeased	không hài lòng
displeasure	không hài lòng
disposable	dùng một lần
disposal	vứt bỏ
dispose	vứt bỏ
disposed	xử lý
disposition	bố trí
dispossessed	phân tán
disprove	bác bỏ
dispute	tranh chấp
disqualification	không đủ tiêu chuẩn
disqualified	bị loại
disqualify	bị loại
disquieted	quấy rầy
disregard	xem thường
disregarded	không quan tâm
disrelish	không thích
disreputable	không thể chối cãi
disrepute	làm mất uy tín
disrespect	không tôn trọng
disrespectful	không tôn trọng
disrupt	làm gián đoạn
disrupting	làm gián đoạn
disruption	gián đoạn
disruptive	gây rối
dissatisfaction	không hài lòng
dissatisfied	bất mãn
dissect	mổ xẻ
dissection	mổ xẻ
disseminate	phổ biến
dissemination	phổ biến
dissension	bất đồng
dissent	bất đồng ý kiến
dissenting	bất đồng
dissertation	luận án
disservice	làm hại
dissident	bất đồng chính kiến
dissimilar	không giống nhau
dissipate	tiêu tan
dissipated	ăn chơi
dissociation	phân ly
dissociative	phân ly
dissolution	giải tán
dissolve	hòa tan
dissonance	bất hòa
dissuade	khuyên can
distal	xa
distance	khoảng cách
distant	xa xôi
distaste	không ưa
distasteful	phiền muộn
distillate	chưng cất
distillation	chưng cất
distilled	chưng cất
distinct	khác biệt
distinction	phân biệt
distinctive	đặc biệt
distinguish	phân biệt
distinguishable	có thể phân biệt
distinguished	phân biệt
distinguishing	phân biệt
distort	xuyên tạc
distorted	méo mó
distortion	méo mó
distract	xao lãng
distracted	bị phân tâm
distracting	làm mất tập trung
distraction	xao lãng
distraught	quẫn trí
distress	phiền muộn
distressed	đau khổ
distressing	đau khổ
distribute	phân phát
distribution	phân phối
distributor	nhà phân phối
district	huyện
distrust	không tin tưởng
disturb	làm phiền
disturbance	xáo trộn
disturbed	bị làm phiền
disturbing	phiền
disuse	bỏ đi
disused	bỏ đi
ditch	mương
ditto	như trên
ditty	ditty
diurnal	ngày đêm
diva	danh ca
divan	NO TRANSLATION
dive	lặn
diver	thợ lặn
diverge	phân ra
divergence	phân kỳ
divergent	khác nhau
diverging	phân kỳ
divers	thợ lặn
diverse	phong phú
diversified	đa dạng hóa
diversify	đa dạng hóa
diversion	sự chuyển hướng
diversionary	đa dạng
diversity	sự đa dạng
divert	chuyển hướng
diverting	chuyển hướng
divest	thoái vốn
divested	thoái hóa
divestment	thoái vốn
divide	chia
divided	chia
dividend	cổ tức
divination	thuật bói toán
divine	thần thánh
divinity	thần thánh
divisible	chia hết
division	sự chia
divisor	số chia
divorce	ly hôn
divorcee	ly dị
divulge	tiết lộ
divvy	sự chia rẽ
dizziness	chóng mặt
dizzy	chóng mặt
do	làm
doable	có thể làm được
doc	doc
docile	ngoan ngoãn
dock	bến tàu
docked	cập cảng
docket	cái mề đay
docking	docking
doctor	Bác sĩ
doctorate	tiến sĩ
doctrinal	giáo lý
doctrine	giáo lý
document	tài liệu
documentary	phim tài liệu
documentation	tài liệu
documents	các tài liệu
dodge	né tránh
dodger	tinh ranh
dodging	dodging
dodgy	tinh ranh
dodo	dodo
doe	doe
doer	người làm
dog	chó
dogface	dogface
dogged	kiên trì
doggy	thuộc về chó
doghouse	doghouse
dogma	giáo điều
dogmatic	giáo điều
dogsick	NO TRANSLATION
doings	làm
doit	NO TRANSLATION
dojo	dojo
doldrums	doldrums
dole	chia
doll	búp bê
dollar	đô la
dollhouse	nhà búp bê
dolor	NO TRANSLATION
dolphin	cá heo
domain	miền
dome	mái vòm
domestic	trong nước
domesticated	thuần hóa
domestication	sự thuần hóa
domicile	chỗ ở
domiciled	có mái che
dominance	sự thống trị
dominant	có ưu thế
dominate	thống trị
dominating	thống trị
domination	sự thống trị
dominatrix	dominatrix
dominion	thống trị
domino	domino
don	don
donate	tặng
donation	Quyên góp
donkey	con lừa
donor	nhà tài trợ
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	NULL
dontunderstand	NO TRANSLATION
doodle	hình tượng trưng
doom	sự chết
doomed	chịu số phận
doomsday	ngày tận thế
door	cửa
doorbell	chuông cửa
doorknob	nắm cửa
doorman	người gác cửa
doormat	tấm thảm chùi chân
doornail	doornail
doorstep	ngưỡng cửa
doorway	cửa ra vào
dopamine	dopamine
dope	dope
dopey	dopey
dork	dork
dorky	dorky
dorm	ký túc xá
dormant	không hoạt động
dormitory	ký túc xá
dorsal	lưng
dosage	liều lượng
dose	liều lượng
dossier	hồ sơ
dot	chấm
doting	doting
dotted	say mê
dotty	hơi điên
double	gấp đôi
doubled	gấp đôi
doublet	nhân đôi
doubling	tăng gấp đôi
doubt	nghi ngờ
doubtful	nghi ngờ
doubting	nghi ngờ
doubtless	không nghi ngờ
doubts	nghi ngờ
douche	douche
douchebags	douchebags
dough	bột
doughboy	doughboy
doughnut	bánh rán
dour	dour
douse	ngâm
dove	chim bồ câu
down	xuống
downcast	xuống dốc
downer	downer
downfall	sự sụp đổ
downfield	downfield
downhearted	thất vọng
downhill	xuống dốc
download	tải về
downpour	trận mưa
downright	hết sức
downriver	downriver
downside	nhược điểm
downtime	thời gian chết
downward	xuống
downy	lông măng
dowry	hồi môn
doze	doze
dozen	tá
drab	buồn tẻ
draft	bản nháp
drafty	drafty
drag	kéo
dragon	con rồng
dragonfly	con chuồn chuồn
drain	thoát nước
drainage	thoát nước
drained	thoát nước
draining	thoát ra
drainpipe	ống thoát nước
drake	drake
drama	kịch
dramaqueen	nữ hoàng nhạc kịch
dramatic	kịch tính
drape	treo lên
drapery	xếp nếp
drastic	quyết liệt
drat	NO TRANSLATION
draught	bản nháp
draw	vẽ tranh
drawback	Hạn chế
drawbridge	drawbridge
drawer	ngăn kéo
drawers	ngăn kéo
drawing	bản vẽ
dread	kinh sợ
dreaded	sợ hãi
dreadful	ghê gớm
dreadfully	kinh khủng
dreading	dreading
dream	mơ tưởng
dreamboat	mơ mộng
dreamer	người mơ mộng
dreaming	đang mơ
dreamland	dreamland
dreams	những giấc mơ
dreamt	mơ ước
dreamy	mơ mộng
dreary	thê lương
dredge	nạo vét
drenched	ướt đẫm
dress	trang phục
dresser	tủ quần áo
dressmaker	thợ may
dressy	ăn mặc
dribble	NO TRANSLATION
dried	khô
drier	máy sấy khô
drift	trôi dạt
drifted	trôi dạt
drifter	drifter
driftwood	lũa
drill	máy khoan
drink	uống
drinker	người uống rượu
drinking	uống rượu
drinks	đồ uống
drip	nhỏ giọt
dripping	nhỏ giọt
drive	lái xe
drivel	ổ đĩa
driver	người lái xe
driveway	đường lái xe
drizzle	mưa phùn
droll	đánh thức
drone	bay không người lái
drones	máy bay không người lái
drool	nước dãi
drooping	rớt xuống
droopy	suy nhược
drop	rơi vãi
droplet	giọt nước
dropout	rơi ra ngoài
dropper	ống nhỏ giọt
drought	hạn hán
drove	NO TRANSLATION
drown	chết chìm
drowsiness	buồn ngủ
drowsy	buồn ngủ
drudgery	chế nhạo
drug	thuốc uống
drug dealing	buôn bán ma túy
drugged	thuốc
druggist	dược sĩ
drugs	thuốc
drugstore	nhà thuốc
druid	druid
drum	trống
drummer	tay trống
drumming	tiếng trống
drunk	say
drunk driving	lái xe say rượu
drunkard	người say rượu
drunken	say rượu
drunkenness	say rượu
dry	khô
dryer	máy sấy khô
dryness	khô khan
dual	hai
dualism	chủ nghĩa nhị nguyên
duality	tính hai mặt
dub	dub
dubious	mơ hồ
duchess	nữ công tước
duck	con vịt
ducking	vịt con
duckling	vịt con
ducky	ducky
duct	ống dẫn
ductile	dẻo dai
dud	dud
dude	anh chàng
duds	duds
due	do
duel	duel
dues	tiền lệ phí
duet	song ca
duffel	duffel
dugout	dugout
duh	duh
duke	công tước
dull	đần độn
dullard	dullard
dumb	câm
dumbasses	dumbasses
dumbbell	chuông hư
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	giả
dump	đổ
dumpling	bánh bao
dumps	bãi chứa
dumpster	bãi rác
dun	dun
dunce	dunce
dune	cồn cát
dung	NO TRANSLATION
dungeon	dungeon
dunk	dunk
duo	bộ đôi
dupe	lừa đảo
duplex	song công
duplicate	bản sao
duplication	sự trùng lặp
duplicity	sự trùng lặp
durability	Độ bền
durable	bền chặt
duration	thời lượng
duress	cưỡng bách
dusk	hoàng hôn
dusky	dusky
dust	bụi bặm
duster	khăn lau bụi
dustpan	người quét dọn
dusty	bụi bặm
dutiful	dể thương
duty	nhiệm vụ
dwarf	quỷ lùn
dwarfed	lùn
dweeb	dweeb
dwell	trú ngụ
dweller	người lùn
dwelling	trú ngụ
dye	thuốc nhuộm
dying	chết
dyke	đê điều
dynamic	năng động
dynamical	năng động
dynamics	động lực học
dynamite	thuốc nổ
dynamo	máy phát điện
dynasty	triều đại
dysentery	bệnh lỵ
dysfunction	rối loạn chức năng
dysfunctional	rối loạn chức năng
dyspepsia	chứng khó tiêu
eager	hăng hái
eagerness	háo hức
eagle	chim ưng
ear	tai
earful	có tai
earl	bá tước
earlier	sớm hơn
early	sớm
earn	kiếm
earnest	nghiêm trang
earnestly	tha thiết
earnestness	sự nghiêm túc
earnings	thu nhập
earpiece	ống nghe
earring	bông tai
earrings	Hoa tai
earshot	phát lại
earth	trái đất
earthenware	đồ đất nung
earthling	earthling
earthly	trần gian
earthquake	động đất
earthy	đất
ease	giảm bớt
easel	giá vẽ
easement	sự an ủi
easily	dễ dàng
east	Đông
eastbound	hướng đông
eastern	phương Đông
easy	dễ dàng
easygoing	dễ dãi
eat	ăn
eater	người ăn
eating	Ăn
eatingdisorders	NO TRANSLATION
eavesdrop	nghe lén
eavesdropping	nghe trộm
ebb	ebb
ebony	cây mun
ebullient	ebullient
eccentric	kỳ dị
eccentricity	lập dị
ecclesiastical	thuộc về giáo hội
echelon	echelon
echinacea	echinacea
echo	tiếng vang
eclectic	chiết trung
eclipse	nhật thực
ecliptic	ecliptic
ecological	sinh thái
economic	thuộc kinh tế
economical	kinh tế
economics	Kinh tế học
economy	nên kinh tê
ecosystem	hệ sinh thái
ecstasy	ngây ngất
ecstatic	ngây ngất
ecumenical	đại kết
eddy	xoáy
edema	phù nề
edge	cạnh
edging	viền
edgy	sắc sảo
edible	ăn được
edict	edict
edification	sự sửa đổi
edifice	edifice
edit	chỉnh sửa
editing	chỉnh sửa
edition	phiên bản
editor	biên tập viên
editorial	biên tập
educate	giáo dục
educated	được giáo dục
education	giáo dục
educational	giáo dục
educator	nhà giáo dục
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	lươn
eerie	kỳ quái
effect	hiệu ứng
effective	có hiệu lực
effectiveness	hiệu quả
effects	hiệu ứng
effectual	có hiệu lực
effectually	có hiệu lực
effectuate	có hiệu lực
effeminate	quả quyết
efficacious	hiệu quả
efficacy	hiệu quả
efficiency	hiệu quả
efficient	hiệu quả
effigy	sủi bọt
effort	cố gắng
effortless	dễ dàng
effusion	tràn ra
effyou	NO TRANSLATION
egg	trứng
egghead	egghead
eggnog	eggnog
eggplant	cà tím
eggshell	vỏ trứng
ego	bản ngã
egomaniac	egomaniac
egotistical	tự kỷ
egregious	nghiêm trọng
egress	đi ra
eight	tám
eighteen	mười tám
eighth	thứ tám
eighty	tám mươi
ejaculate	xuất tinh
ejaculation	xuất tinh
eject	đẩy ra
ejection	phóng ra
elaborate	kỹ lưỡng
elaboration	sự xây dựng
elan	NO TRANSLATION
elapse	trôi mau
elapsed	đã trôi qua
elastic	đàn hồi
elasticity	độ đàn hồi
elated	phấn khởi
elation	sự phấn khởi
elbow	khuỷu tay
eld	tổ chức
elder	đàn anh
elderly	người già
elders	người lớn tuổi
eldest	lớn nhất
elect	trúng tuyển
election	cuộc bầu cử
elective	tự chọn
elector	cử tri
electoral	bầu cử
electorate	cử tri
electric	điện
electric slide	trượt điện
electrical	điện
electrician	thợ điện
electricity	điện lực
electrify	điện khí
electrocute	điện giật
electrocution	điện giật
electromagnetic	điện từ
electron	điện tử
electronic	điện tử
electronics	thiết bị điện tử
elegance	sang trọng
elegant	thanh lịch
element	thành phần
elemental	thuộc về nguyên tố
elementary	tiểu học
elements	yếu tố
elephant	con voi
elevate	nâng
elevated	cao
elevation	độ cao
elevator	thang máy
eleven	mười một
eleventh	thứ mười một
elf	elf
elicit	gợi ra
eligible	đủ điều kiện
eliminate	loại trừ
elimination	loại bỏ
elite	ưu tú
elitist	elitist
elixir	elixir
elk	nai sừng tấm
ell	ell
ellipse	hình elip
ellipsis	dấu chấm lửng
ellipsoid	ellipsoid
elliptic	elip
elliptical	hình elip
elm	cây du
elongate	kéo dài
elongation	kéo dài
elope	chạy trốn
eloquence	hùng hồn
eloquent	hùng hồn
elucidate	làm rõ
elucidation	làm sáng tỏ
elude	lảng tránh
elusive	khó nắm bắt
emaciated	hốc hác
email	e-mail
emanate	phát ra
emancipation	giải phóng
embankment	kè
embargo	NO TRANSLATION
embark	tham gia
embarrass	lúng túng
embarrassed	xấu hổ
embarrassing	lúng túng
embarrassment	sự lúng túng
embassy	đại sứ quán
embattled	được dựng lên
embed	nhúng
embellish	tôn tạo
embellishment	chỉnh trang
embers	than hồng
embezzlement	tham ô
embezzler	embezzler
emblem	biểu tượng
emblematic	biểu tượng
embodiment	hiện thân
embolism	thuyên tắc
embossed	nổi
embrace	ôm hôn
embroidered	thêu
embroidery	nghề thêu
embroiled	bị lôi kéo
embryo	phôi thai
embryonic	phôi thai
emcee	emcee
emerald	ngọc lục bảo
emerge	hiện ra
emergence	sự xuất hiện
emergency	trường hợp khẩn cấp
emeritus	danh từ
emery	emery
emetophobia	NO TRANSLATION
emigrate	di cư
emigration	di cư
eminence	eminence
eminent	nổi tiếng
eminently	xuất sắc
emir	NO TRANSLATION
emissary	sứ giả
emission	khí thải
emit	phát ra
emo	emo
emotion	cảm xúc
emotional	đa cảm
emotive	cảm xúc
empathic	đồng cảm
empathize	đồng cảm
empathy	sự đồng cảm
emperor	Hoàng đế
emphasis	nhấn mạnh
emphasize	nhấn mạnh
emphatic	nhấn mạnh
emphysema	khí thũng
empire	đế chế
empirical	thực nghiệm
empiricism	chủ nghĩa kinh nghiệm
employ	thuê
employee	Nhân viên
employer	chủ nhân
employment	việc làm
emporium	emporium
empower	trao quyền
empress	empress
emptiness	tánh không
emption	sự cám dỗ
empty	trống
emu	emu
emulate	thi đua
emulsion	nhũ tương
enable	cho phép
enablement	sự cho phép
enact	ban hành
enactment	ban hành
enamel	men
encampment	khoanh vùng
enchant	mê hoặc
enchanted	mê hoặc
enchanting	mê hoặc
enchantment	sự mê hoặc
enchantress	enchantress
enchilada	enchilada
encircle	bao vây
encircling	bao vây
enclave	vùng đất
enclose	kèm theo
enclosure	bao vây
encode	mã hóa
encomiastic	NO TRANSLATION
encomium	encomium
encompass	bao gồm
encore	NO TRANSLATION
encounter	gặp gỡ
encourage	khuyến khích
encouraged	được khuyến khích
encouragement	sự khuyến khích
encouraging	khuyến khích
encroach	lấn chiếm
encroachment	lấn chiếm
encrypt	mã hóa
encryption	mã hóa
encumbrance	sự bao vây
encyclopedia	bách khoa toàn thư
end	kết thúc
end table	bảng kết thúc
endanger	nguy hiểm
endangered	nguy cơ tuyệt chủng
endangerment	nguy hiểm
endearing	đáng yêu
endeavor	nỗ lực
ended	đã kết thúc
endemic	đặc hữu
endgame	endgame
ending	kết thúc
endless	bất tận
endocarditis	viêm nội tâm mạc
endorse	xác nhận
endorsement	sự tán thành
endow	cho
endowed	được ưu đãi
endowment	tài sản
endpapers	endpapers
endpoint	điểm cuối
endurance	sức chịu đựng
endure	chịu đựng
enduring	bền bỉ
enema	thuốc xổ
enemy	kẻ thù
energetic	năng lượng
energize	tiếp thêm sinh lực
energy	năng lượng
enforce	thi hành
enforcement	thực thi
enforcer	người thi hành
engage	thuê
engaged	bận
engagement	hôn ước
engaging	hấp dẫn
engender	gây ra
engine	động cơ
engineer	kỹ sư
engineering	kỹ thuật
engrave	khắc
engraved	khắc
engraver	người khắc
engraving	khắc
engrossed	say mê
engrossing	hăng say
engulf	nhấn chìm
enhance	nâng cao
enhancement	sự nâng cao
enigma	bí ẩn
enigmatic	bí ẩn
enjoin	tham gia
enjoy	thưởng thức
enjoyable	thú vị
enjoying	thưởng thức
enjoyment	sự hưởng thụ
enlarge	phóng to
enlarged	mở rộng
enlargement	mở rộng
enlighten	soi sáng
enlightened	chứng ngộ
enlightening	khai sáng
enlightenment	giác ngộ
enlist	tranh thủ
enliven	enliven
enmity	thù hận
ennui	ennui
enormity	to lớn
enormous	to lớn
enormously	vô cùng
enraged	tức giận
enrich	làm giàu
enroll	ghi danh
enrollment	ghi danh
ensemble	bộ quần áo
ensign	biểu trưng
enslave	nô lệ
enslaved	làm nô lệ
enslavement	sự nô lệ
ensue	sau đó
ensure	đảm bảo
entail	đòi hỏi
entangled	vướng vào
entanglement	sự vướng víu
enter	đi vào
enterprise	doanh nghiệp
enterprising	kinh ngạc
entertain	giải trí
entertained	giải trí
entertainer	nghệ sĩ
entertaining	giải trí
entertainment	sự giải trí
enthralled	say mê
enthusiasm	hăng hái
enthusiast	người đam mê
enthusiastic	nhiệt tâm
entice	dụ dỗ
entire	toàn thể
entirety	toàn bộ
entitle	phụ đề
entity	thực thể
entomology	côn trùng học
entourage	đoàn tùy tùng
entrails	entrails
entrance	cổng vào
entrapment	bế tắc
entreat	yêu cầu
entree	entree
entrepreneur	doanh nhân
entrust	ủy thác
entry	lối vào
enumerate	liệt kê
enumeration	sự đếm
envelope	phong bì
envious	ghen tỵ
environ	NO TRANSLATION
environment	môi trường
environmental	môi trường
environs	vùng lân cận
envision	hình dung
envoy	sứ giả
envy	đố kỵ
enzyme	enzyme
ephemeral	không lâu
ephemeris	ephemeris
epic	sử thi
epidemic	dịch bệnh
epidermis	biểu bì
epidural	ngoài màng cứng
epilepsy	bệnh động kinh
epileptic	động kinh
epilogue	lời kết
epiphany	hiển nhiên
episcopal	thuộc về giám mục
episode	tập phim
episodic	có nhiều giai đoạn
epistle	epistle
epitaph	văn bia
epithet	biểu tượng
epitome	hình ảnh thu nhỏ
epoch	kỷ nguyên
equal	công bằng
equality	bình đẳng
equalization	sự cân bằng
equalize	cân bằng
equalizer	bộ cân bằng
equally	bằng nhau
equate	ngang nhau
equation	phương trình
equator	Đường xích đạo
equatorial	xích đạo
equestrian	người cưỡi ngựa
equidistant	cách nhau
equilibration	sự cân bằng
equilibrium	trạng thái cân bằng
equip	trang bị
equipment	Trang thiết bị
equitable	công bằng
equity	công bằng
equivalence	sự tương đương
equivalent	tương đương
equivocal	không phân minh
era	kỷ nguyên
eradicate	diệt trừ
eradication	diệt trừ
erase	tẩy xóa
eraser	cục gôm
erasure	tẩy xoá
ere	NO TRANSLATION
erect	dựng lên
erectile	cương dương
erection	sự cương cứng
ergo	NO TRANSLATION
erode	xói mòn
erosion	sự xói mòn
erotic	khiêu dâm
erotica	khiêu dâm
err	sai lầm
errand	errand
errant	lang thang
erratic	thất thường
erratum	erratum
erroneous	sai
error	lỗi
erst	NO TRANSLATION
erudite	erudite
erupt	phun ra
eruption	phun trào
escalade	thang cuốn
escalate	leo thang
escalating	leo thang
escalation	sự leo thang
escalator	thang cuốn
escape	bỏ trốn
escaped	trốn thoát
escarpment	sự lẩn tránh
eschew	eschew
escort	hộ tống
escrow	ký quỹ
esophagus	thực quản
esoteric	bí truyền
especial	NO TRANSLATION
espionage	gián điệp
espouse	theo
espresso	cà phê espresso
esprit	esprit
esquire	esquire
essay	tiểu luận
essayist	người viết luận
essence	Bản chất
essential	Cần thiết
essentially	bản chất
establish	thành lập
established	thành lập
establishment	thành lập
estate	bất động sản
esteem	kính trọng
esteemed	quý trọng
esthetic	thẩm mỹ
estimable	có thể ước lượng
estimate	ước tính
estimation	ước lượng
estoppel	estoppel
estranged	sắp xếp
estrogen	estrogen
estuary	cửa sông
etch	etch
etching	khắc
eternal	bất diệt
eternity	vĩnh cửu
ethanol	ethanol
ether	ether
ethereal	thanh tao
ethic	đạo đức
ethical	đạo đức
ethics	đạo đức
ethnic	dân tộc
ethnography	dân tộc học
etiology	nguyên nhân
etiquette	phép lịch sự
etymology	từ nguyên
eucalyptus	bạch đàn
euchre	euchre
eugenics	eugenics
eulogistic	thuộc về tình cảm
eulogium	eulogium
eulogize	eulogize
eulogy	điếu thuốc
euphemism	euphemism
euphoria	Hưng phấn
euphoric	hưng phấn
euro	euro
euthanasia	euthanasia
evacuate	sơ tán
evacuation	sơ tán
evade	tránh né
evaluate	đánh giá
evaluation	đánh giá
evanescence	sự thiêu đốt
evangelical	phúc âm
evangelist	người rao giảng
evangelistic	truyền giáo
evaporate	bốc hơi
evaporation	bay hơi
evasion	trốn tránh
evasive	lảng tránh
eve	đêm trước
evening	tối
evens	NO TRANSLATION
event	biến cố
eventful	sôi động
eventual	cuối cùng
eventuality	tình huống
evergreen	thường xanh
everlasting	bất diệt
evermore	luôn luôn
everyday	mỗi ngày
everyman	tất cả đàn ông
evict	đuổi
eviction	trục xuất
evidence	chứng cớ
evident	hiển nhiên
evidentiary	hiển nhiên
evil	tà ác
evoke	gợi lên
evolution	sự phát triển
evolutionary	tiến hóa
evolve	phát triển
ewe	cừu cái
ex	ví dụ
exacerbate	làm trầm trọng hơn
exacerbation	sự trầm trọng
exact	chính xác
exacting	chính xác
exaggerate	phóng đại
exaggerated	phóng đại
exaggeration	phóng đại
exalt	nâng cao
exaltation	sự tôn cao
exalted	cao quý
exam	thi
examination	kiểm tra
examine	xem xét
examiner	giám khảo
example	thí dụ
exasperated	bực dọc
exasperation	bực mình
excavate	khai quật
excavation	moi lên
excavator	máy xúc
exceed	quá
exceeding	vượt quá
excel	nổi trội
excellence	xuất sắc
excellent	Xuất sắc
excelsior	excelsior
excepting	ngoại trừ
exception	ngoại lệ
exceptional	đặc biệt
excerpt	trích đoạn
excess	dư thừa
excessive	quá đáng
excessively	quá mức
exchange	trao đổi, giao dịch
excise	tiêu thụ
excision	cắt bỏ
excitability	NULL
excitable	dễ thương
excitation	kích thích
excite	kích thích
excited	bị kích thích
excitement	sự phấn khích
exciting	thú vị
exclaim	kêu lên
exclamation	cảm thán
exclude	loại trừ
excluded	bị loại trừ
excluding	loại trừ
exclusion	loại trừ
exclusive	độc quyền
excrement	phân đoạn
excretion	bài tiết
excruciating	bực bội
excursion	chuyến du ngoạn
excuse	tha
exec	exec
execute	thi hành
execution	chấp hành
executioner	đao phủ
executive	điều hành
executor	người thi hành
exegesis	sự loại bỏ
exemplar	mẫu mực
exemplary	gương mẫu
exemplify	nêu gương, lam mâu mực
exempt	miễn
exemption	miễn trừ
exercise	tập thể dục
exert	gắng sức
exertion	gắng sức
exhale	thở ra
exhaust	thoát ra
exhausted	kiệt sức
exhaustion	kiệt sức
exhaustive	đầy đủ
exhibit	triển lãm
exhibition	triển lãm
exhilarated	phấn khởi
exhilarating	hăng hái
exhilaration	sự vui mừng
exhort	hăng hái
exhortation	sự khích lệ
exhumation	khai quật
exhume	moi lên
exigent	NO TRANSLATION
exile	lưu vong
exist	hiện hữu
existence	sự tồn tại
existent	tồn tại
existential	tồn tại
existing	hiện tại
exit	lối thoát
exodus	cuộc di cư
exonerate	tha
exorbitant	cắt cổ
exorcism	trừ tà
exorcist	người trừ tà
exotic	kỳ lạ
expand	mở rộng
expanded	mở rộng
expanse	mở rộng
expansion	sự bành trướng
expansive	mở rộng
expatriate	người nước ngoài
expect	chờ đợi
expectance	kỳ vọng
expectancy	kỳ vọng
expectant	kỳ vọng
expectation	sự mong đợi
expected	kỳ vọng
expecting	mong đợi
expediency	NULL
expedient	thích hợp
expedite	giục
expedition	cuộc thám hiểm
expeditious	nhanh chóng
expel	trục xuất
expendable	có thể tiêu
expenditure	chi phí
expense	chi phí
expenses	chi phí
expensive	đắt
experience	kinh nghiệm
experienced	có kinh nghiệm
experiences	kinh nghiệm
experiment	thí nghiệm
experimental	thử nghiệm
experimentation	thử nghiệm
experimenter	người thí nghiệm
expert	chuyên gia
expertise	chuyên môn
expiration	hết hạn
expire	hết hiệu lực
expired	đã hết hạn
expiry	hết hạn
explain	giải thích
explanation	giải trình
explanatory	giải thích
expletive	khám phá
explication	giải thích
explicit	rõ ràng
explode	nổ tung
exploit	khai thác
exploitation	khai thác
exploration	thăm dò
exploratory	khám phá
explore	khám phá
explorer	nhà thám hiểm
explosion	sự nổ
explosions	vụ nổ
explosive	nổ
expo	hội chợ
exponent	số mũ
exponential	số mũ
export	xuất khẩu
exportation	xuất khẩu
expose	lộ ra
exposed	tiếp xúc
exposition	sự trình bày
expository	kho lưu trữ
exposure	Phơi bày
expound	giải thích
express	bày tỏ
expression	biểu hiện
expressive	biểu cảm
expressway	đường cao tốc
expropriation	sự tước đoạt
expulsion	trục xuất
exquisite	tinh tế
exquisitely	tinh xảo
extant	còn tồn tại
extend	mở rộng
extendable	có thể mở rộng
extended	mở rộng
extension	sự mở rộng
extensive	sâu rộng
extent	mức độ
exterior	ngoại thất
exterminate	tiêu diệt
extermination	hủy diệt
exterminator	người tiêu diệt
external	bên ngoài
externally	bên ngoài
extinct	đã tuyệt chủng
extinction	sự tuyệt chủng
extinguish	dập tắt
extinguisher	bình chữa
extol	extol
extort	tống tiền
extortion	tống tiền
extra	thêm
extract	trích xuất
extracting	chiết xuất
extraction	khai thác
extractor	vắt
extracurricular	ngoại khóa
extradition	dẫn độ
extrajudicial	ngoài ý kiến
extramural	mở rộng
extraneous	không liên quan
extraordinaire	extraordinaire
extraordinary	phi thường
extraterrestrial	ngoài trái đất
extravagance	lãng phí
extravagant	lộng lẫy
extravaganza	extravaganza
extreme	cực
extreme anticipation	dự đoán cực đoan
extreme disgust	cực kỳ ghê tởm
extreme surprise	cực kỳ bất ngờ
extreme trust	tin cậy
extremely	vô cùng
extremely negative	cực kỳ tiêu cực
extremely positive	cực kỳ tích cực
extremity	cực đoan
extricate	giải thoát
extrinsic	bên ngoài
extrusion	phun ra
exuberance	sự hăng hái
exude	chảy ra
eye	mắt
eyeball	nhãn cầu
eyebrow	lông mày
eyeful	lộng lẫy
eyeglass	mắt kính
eyeglasses	kính mắt
eyelash	lông mi
eyelet	dây giày
eyeliner	bút kẻ mắt
eyepiece	thị kính
eyes	mắt
eyesight	thị lực
eyewitness	nhân chứng
fab	đâm
fable	truyền thuyết
fabled	huyền thoại
fabric	vải
fabricate	chế tạo
fabricated	chế tạo
fabrication	sự bịa đặt
fabulous	tuyệt vời
facade	mặt tiền
face	đối mặt
faceless	vô danh
facet	khía cạnh
facial	mặt
facile	NO TRANSLATION
facilitate	tạo điều kiện
facility	cơ sở
facing	đối diện
facsimile	fax
fact	thực tế
faction	phe phái
factor	hệ số
factory	nhà máy
facts	sự kiện
factual	thực tế
faculties	khoa
faculty	giảng viên
fad	ham mê
fade	phai màu
faded	đã bị mờ
faeces	phân
fag	đánh lừa
faggot	fagot
fail	Thất bại
failing	thất bại
failure	thất bại
fain	NO TRANSLATION
faint	mờ nhạt
