Word	hmn
contraption	contraption
contrary	tsis tooj
contrast	zoo ib
contrasted	sib txawv
contravene	contravene
contravention	contravention
contribute	pab txhawb
contribution	tshab
contributor	contributor
contrite	ntshaw
contrition	nqe vaj huam sib luag
contrived	contrived
control	tswj
controller	xws li
controlling	tswj hwm
controversial	muaj teeb meem
controversy	tsis sib haum xeeb
contusion	kev tsim txom
conundrum	teebmeem
convalescent	convalescent
convection	convection
convene	sib tham
convenience	yooj yim
conveniences	yooj yim
convenient	yooj yim
convent	convent
convention	rooj sib txoos
conventional	lus pom zoo
converge	converge
convergence	convergence
convergent	convergent
conversant	sib tham
conversation	sib tham
conversational	sib tham
conversationalist	conversationalist
converse	converse
conversing	conversing
conversion	hloov dua siab tshiab
convert	hloov dua siab tshiab
converted	hloov dua siab tshiab
convertible	convertible
convex	convex
convexity	convexity
convey	kev piav qhia
conveyance	kev xaav
conveyancing	kev xa
convict	raug txim
conviction	kev ntseeg
convince	hais tau
convinced	ntxias
convincing	txaus ntseeg
convocation	sib tham
convoluted	convoluted
convolution	rooj sib txoos
convoy	convoy
coo	coo
cook	ua noj
cookbook	cookbook
cooker	cooker
cookery	cookery
cookie	kua nplaum uas
cookies	ncuav qab zib
cooking	ua noj
cookout	cookout
cool	txias
coolant	txias
cooler	cia txias
cooling	txias
coolness	txias
coon	Coon
coop	coop
cooperate	koom tes
cooperating	koom tes
cooperation	kev koom tes
cooperative	koom tes
coordinate	koom tes
coordination	kev sib koom tes
coordinator	tus neeg saib xyuas
cop	tub ceev xwm
copacetic	NO TRANSLATION
cope	tswj hwm
copier	tshuab luam ntawv
copilot	copilot
coping	kev txhawb nqa
copious	copious
copper	tooj liab
copter	copter
copy	daim ntawv
copycat	copycat
copying	luam
copyright	copyright
coral	coral
coral snake	coral nab
cord	qaum
cordial	cordial
cordless	cordless
cordon	cordon
corduroy	corduroy
core	ntxhais
cork	cork
corkscrew	Corkscrew
corn	pob kws
cornball	pob kws
cornbread	cornbread
cornea	cornea
corned	corned
corner	ces kaum
cornerstone	pobzeb
cornet	cornet
cornfield	cornfield
cornflakes	NO TRANSLATION
cornice	pobntseg
cornstarch	cornstarch
corny	corny
corollary	corollary
corona	corona
coronary	coronary
coronation	coronation
coroner	coroner
corporal	tus kheej
corporate	neeg
corporation	tuam txhab
corporeal	corporeal
corps	corps
corpse	tuag
corpsman	corpsman
corpus	corpus
corral	corral
correct	muaj tseeb
correction	kho
correctional	kab lus
corrective	kho
correctness	qhov tseeb
correlation	sib txheeb
correlative	sib txheeb
correspond	sib
correspondence	sau ntawv
correspondent	xov xwm
corresponding	sib nug
corridor	txoj kev hauv tsev
corroborate	ua tsis raws cai
corroboration	kev cog lus
corrosion	tawg
corrosive	corrosive
corrupt	siab tsis ncaj
corrupting	corrupting
corruption	kev noj nyiaj txiag
corsage	corsage
corse	NO TRANSLATION
corset	corset
cortex	cortex
cortical	cortical
cortisone	cortisone
corvette	corvette
cosmetic	cosmetic
cosmetics	tshuaj pleev ib ce
cosmic	cosmic
cosmology	cosmology
cosmopolitan	cosmopolitan
cosmos	cosmos
cost	nqi
costly	kim
costume	costume
cosy	ntxias
cot	cot
cote	cote
cottage	tsev
cotton	paj rwb
couch	rooj zaum
cougar	sib tw
cough	hnoos
council	pawg sab laj
councilman	councilman
counsel	lus ntuas
counseling	kev sib tham
counsellor	tus kws pab tswv yim
counselor	tus kws pab tswv yim
count	suav
countdown	countdown
countenance	suav
counter	txee
counteract	xom lees
counterattack	counterattack
counterbalance	counterbalance
counterclaim	counterclaim
counterfeit	cuav
counterpart	counterpart
counterpoint	counterpoint
countess	suav daws
countless	suav dua
country	lub teb chaws
countryman	countryman
countrymusic	NO TRANSLATION
countryside	countryside
counts	suav
county	county
coup	ntxeev
coupe	Coupe
couple	ob peb
coupled	ua ke
coupling	sib txuas
coupon	daim coupon
courage	ua siab loj
courageous	ua siab loj
courier	courier
courses	cov hoob kawm
coursing	coursing
court	lub tsev hais plaub
courteous	kev ncaj ncees
courtesy	ua siab zoo
courthouse	tsev hais plaub
courtroom	chav hais plaub
courts	tsev hais plaub
courtship	kev sib haum xeeb
courtside	tsev hais plaub
courtyard	loog
cousin	npawg
cousins	kwv tij txheeb ze
cove	cove
coven	Coven
covenant	kev khi lus
cover	npog
coverage	kev pabcuam
covered	them
covering	npog
covert	covert
covet	ntshaw
coveted	coveted
cow	nyuj
coward	coward
cowardice	cowardice
cowardly	cowardly
cowboy	cowboy
cowgirl	cowgirl
cowhand	cowhand
cowhide	cowhide
cowl	nyuj
coworker	tus neeg ua haujlwm
coy	coy
coyote	ntxawm
cozy	ntxias
crab	roob ris
crabby	vauv
crack	tawg
cracked	tawg
cracker	cracker
crackerjack	crackerjack
cracking	ntes
crackle	tawg
crackpot	tawg
cradle	menyuam
craft	khoom siv tes ua
crafts	crafts
craftsman	craftsman
craftsmanship	craftsmanship
crafty	crafty
craig	craig
cram	cram
crammed	txaj muag
cramp	mob tob hau
cramped	ntxeev
cranberry	cranberry
cranberry juice	kua txiv cranberry
crane	crane
cranial	cranial
cranium	cranium
crank	crank
cranky	cranky
cranny	txaj muag
crap	crap
crappy	tu siab
craps	craps
crash	poob
crass	crass
crate	crate
crater	kev ua si
crave	ntshaw
craving	ntxias
crawfish	crawfish
crawl	nkag
crayon	crayon
crayons	xaum xim
craze	craze
crazed	crazed
craziness	craziness
crazy	vwm
creak	creak
creaking	creaking
cream	cream
creamed	creamed
creamer	creamer
creamy	creamy
crease	crease
create	tsim
creation	creation
creative	muaj tswv yim
creativity	creativity
creator	creator
creature	zeej
credence	kev ntseeg
credential	daim ntawv pov thawj
credentials	cov ntawv pov thawj
credibility	kev ntseeg siab
credible	credible
credit	credit
credit card	credit card
creditable	creditable
credited	tso nyiaj
crediting	crediting
creditor	tus neeg tshuav nuj nqi
creed	ntseeg
creek	creek
creep	creep
creeper	creeper
creeping	creeping
creepy	creepy
cremation	tawg
creole	tsim tawm
crepe	crepe
crescendo	crescendo
crescent	crescent
crest	qoob loo
crestfallen	qoob loo
cretin	kab laum
cretins	cretins
crevice	Crevice
crew	neeg coob
crewman	crewman
crib	txaj thaiv npoo
cricket	kab lig kev cai
cried	quaj
crime	kev txhaum
criminal	txhaum
criminality	txhaum
crimp	crimp
crimson	crimson
cringe	cringe
cripple	cripple
crippled	ceg tawv
crippling	crippling
crisis	teebmeem
crisp	nkig
crispy	crispy
criterion	ntsuas
critic	critic
critical	tseem ceeb heev
criticise	thuam
criticism	kev thuam
criticize	thuam
criticized	thuam
critique	Txhaum Cai
critter	khib nyiab
croak	ntoo khaub lig
croc	croc
crock	crock
crockery	cov khoom ua si
crocodile	khej
croft	pob zeb
croissant	croissant
crook	crook
crooked	nkhaus
crop	qoob loo
croquet	croquet
cross	hla
cross country	hla lub teb chaws
crossbow	hneev tua tav toj
crossed	hla
crossfire	crossfire
crossing	hla kev
crossover	crossover
crosswalk	crosswalk
crossword	crossword
crotch	khaus
crouch	khoov
crouched	crouched
crouching	crouching
croupier	croupier
crow	qaib
crowbar	crowbar
crowd	pawg neeg
crowded	crowded
crowds	coob coob
crown	crown
crowning	crowning
crucial	tseem ceeb heev
cruciate	cruciate
crucifix	Crucifix
crucifixion	raug ntsia saum ntoo khaub lig
crucify	Ntoo khaub lig
crud	crud
crude	nyoos
cruel	lim hiam
cruelly	cruelly
cruelty	kev phem
cruise	nkoj
cruise ship	nkoj nkoj
cruiser	cruiser
cruising	kev caij nkoj
crumb	crumb
crumble	crumble
crumbling	tawg
crummy	mob plab
crunch	ntxeev
crunchy	crunchy
crusade	kev sib ntaus
crusader	ntxeev siab
crush	tuav
crushed	crushed
crusher	Crusher
crushing	crushing
crust	crust
crusty	crusty
crutch	tshuab raj
crux	crux
cry	quaj
crybaby	crybaby
crying	quaj
crypt	Crypt
cryptic	cryptic
cryptography	Cryptography
crystal	siv lead ua
crystalline	Crystalline
crystallization	Crystallization
cub	cub
cubby	cubby
cube	lub voos xwmfab
cubic	cubic
cubicle	cubicle
cuckold	cuckold
cuckoo	cuckoo
cucumber	dib
cuddle	hnyuv
cuddled	cuddled
cuddles	cuddles
cuddling	cuddling
cue	cue
cuff	cuff
cuisine	cuisine
culinary	khoom noj khoom haus
cull	cull
culminate	nce siab
culmination	kev nyhav
culpability	kev ua txhaum
culpable	culpable
culprit	ua txhaum
cult	cult
cultivate	cultivate
cultivated	cultivated
cultivation	sau qoob
cultural	kab lis kev cai
culture	kab lis kev cai
cultured	cultured
culvert	nyom
cumbersome	cumbersome
cumulus	cumulus
cunning	cunning
cunt	khoom noj khoom haus
cup	khob
cupboard	lub tais
cupcake	khob haus dej
cupping	khob cij
cur	cur
curable	curable
curate	curate
curative	curative
curator	curator
curb	teeb meem
curd	curd
cure	kho
curfew	curfew
curiosity	xav paub
curious	xav paub
curl	curl
curling	curling
currency	txiaj
current	tam sim no
curriculum	cov ntawv kawm
curry	curry
curse	foom phem
cursed	cursed
cursing	cursing
cursory	cursory
curt	curt
curtail	curtail
curtailment	kev hloov
curtain	ntaub
curtains	curtains
curtsy	curtsy
curvature	curvature
curve	nkhaus
curved	nkhaus
curvilinear	curvilinear
cushion	lub ncoo
cushy	cushy
cusp	cusp
cuss	cuss
cussed	cussed
custard	custard
custodial	tu tsev
custodian	tus tu vaj tse
custody	me nyuam
custom	kev cai
customary	txoj kev cai
customer	tus neeg mob
customized	hloov
cut	txiav
cutaneous	cutaneous
cute	ntxim hlub
cuticle	cuticle
cutie	cutie
cutlass	cutlass
cutlery	cutlery
cutoff	cutoff
cutter	cutter
cutters	cutters
cutthroat	cutthroat
cutting	txiav
cutting board	txiav txiag
cuttings	cuttings
cwt	cwt
cyanide	cyanide
cyberspace	cyberspace
cycle	lub voj voog
cyclical	cyclical
cyclist	cyclist
cyclone	cyclone
cylinder	kheej kheej
cylindrical	cylindrical
cymbal	suab lus
cynic	cynic
cynical	cynical
cynicism	cynicism
cyst	cyst
cystic	cystic
cytomegalovirus	cytomegalovirus
cytoplasm	cytoplasm
czar	czar
dab	dab
dabble	dabble
dabbling	dabbling
dad	dad
daddy	txiv ntxawm
dado	NO TRANSLATION
daemon	daemon
daft	daft
dagger	dagger
daily	txhua hnub
dainty	dainty
daiquiri	daiquiri
dairy	mis nyuj haus
daisy	Daisy
dak	NO TRANSLATION
dale	Dale
dam	lub pas dej
damage	puas tsuaj
damaged	puas
damages	puas tsuaj
dame	dame
damn	hmoov phem
damnation	damnation
damned	damned
damp	damp
dampened	dampened
damper	damper
damsel	tus ntxhais
dance	seev cev
dancer	dancer
dancing	dancing
dandruff	kiav txhab
dandy	dandy
danger	txaus ntshai
dangerous	txaus ntshai
dangerously	dangerously
dangit	NO TRANSLATION
dangle	dangle
dank	NO TRANSLATION
dapper	dapper
dare	twv
daredevil	daredevil
daresay	mob siab
daring	daring
dark	tsaus nti
darken	darken
darkened	darkened
darkly	darkly
darkness	tsaus ntuj
darkroom	tsaus nti
darkside	darkside
darling	darling
darn	Darn
dart	dart
dash	khiav ceev
dashboard	dashboard
dashed	dashed
dashing	dashing
dastardly	dastardly
data	cov ntaub ntawv
database	database
date	hnub tim
datenight	NO TRANSLATION
daughter	ntxhais
dawdle	dawdle
dawn	kaj ntug
dawned	dawned
day	hnub
daybreak	hnub nrig
daycare	chaw zov me nyuam
daydream	hnub nrig
daydreaming	hnub nrig
daylight	nruab hnub
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	nruab hnub
daze	daze
dazed	dazed
dazzle	dazzle
dazzling	dazzling
deacon	deacon
deactivate	deactivate
dead	tuag
deadbeat	tuag taus
deadline	sijhawm
deadlines	sijhawm kawg
deadlock	deadlock
deadly	tuag taus
deaf	lag ntseg
deafening	deafening
deafness	lag ntseg
deal	deal
dealer	neeg muag khoom
dealership	dealership
dealing	kev soj ntsuam
dealings	kev sib tham
dean	dean
dear	Nyob zoo
dearest	dearest
dearth	dearth
death	tuag
deathbed	deathbed
deathly	tuag taus
debacle	debacle
debased	debased
debatable	debatable
debate	sib cav tswv yim
debauchery	debauchery
debenture	debenture
debilitating	debilitating
debit	debit
debrief	sib tham
debriefing	sib tham
debris	khib nyiab
debt	nqi
debtor	debtor
debut	debut
debutante	debutante
decade	kaum xyoo
decadence	decadence
decadent	decadent
decaf	decaf
decanter	decanter
decathlon	decathlon
decay	lwj
decayed	decayed
decaying	decaying
deceased	tuag lawm
decedent	decedent
deceit	dag
deceitful	deceitful
deceive	deceive
deceived	dag
deceiving	deceiving
december	Hlis ntuj nqeg
decency	kev ncaj ncees
decent	ncaj ncees
deception	kev dag ntxias
deceptive	dag ntxias
decide	txiav txim siab
decidedly	txiav txim siab
deciduous	deciduous
decimal	decimal
decimeter	decimeter
decipher	decipher
decision	kev txiav txim siab
decisive	decisive
deck	lawj
declaration	tshaj tawm
declaratory	tshaj tawm
declare	tshaj tawm
declination	declination
decline	poob
declining	poob qis
deco	deco
decode	txiav txim
decoder	decoder
decompose	decompose
decomposed	decomposed
decomposition	decomposition
decompress	decompress
decompression	decompression
decontamination	kev quav cawv
decor	décor
decorate	dai
decorating	dai khaub ncaws
decoration	kho kom zoo nkauj
decorative	hniav
decorator	decorator
decorum	decorum
decoy	decoy
decrease	txo
decreased	poob
decreasing	txo qis
decree	decree
decrement	decrement
decrepit	tsis ntev
decry	decry
decryption	decryption
dedicate	muab dedicate
dedication	ua ke
deduce	deduce
deduct	deduct
deductible	deductible
deduction	txiav tawm
deed	puav pheej
deejay	deejay
deem	deem
deep	sib sib zog nqus
deepen	tob
deer	mos lwj
defamation	defamation
defamatory	defamatory
default	ua ntej
defeat	swb
defeated	tua yeej
defeatist	swb
defect	kho
defection	defection
defective	puas
defector	defector
defend	tiv thaiv
defendant	raug foob
defended	defended
defender	tawm tsam
defending	tiv thaiv
defense	tiv thaiv
defenseless	muaj kev tiv thaiv
defensible	defensible
defensive	tiv thaiv
defer	ncua
deference	deference
deferral	deferral
deferring	deferring
defiance	tawm tsam
defiant	defiant
defibrillator	defibrillator
deficiency	tsis muaj peev xwm
deficient	tsis muaj peev xwm
deficit	nyiaj tsawg
define	txhais
defined	txhais
definite	meej
definition	txhais
definitive	tseem ceeb
deflate	deflate
deflation	deflation
deflect	deflect
deflection	deflection
defloration	defloration
deform	deform
deformed	deformed
deformity	deformity
defraud	khib nyiab
defray	defray
defrost	defrost
deft	deft
defunct	defunct
defuse	defuse
defy	defy
degeneracy	degeneracy
degenerate	degenerate
degeneration	degeneration
degradation	degradation
degrade	degrade
degraded	degraded
degrading	kev quab yuam
degree	degree
dehydrated	dehydrated
dehydration	lub cev qhuav dej
dejected	dejected
delay	ncua
delayed	ncua
delectable	zoo
delegate	delegate
delegation	delegation
delete	rho tawm
deleterious	deleterious
deletion	deletion
deli	poob
deliberate	txhob txwm
deliberation	kev sib tham
deliberative	txhob txwm
delicacy	delicacy
delicate	muag heev
delicatessen	delicatessen
delicious	delicious
delight	zoo siab
delighted	zoo siab
delightful	zoo siab
delineate	delineate
delineation	delineation
delinquency	kev ua txhaum
delinquent	delinquent
delirious	delirious
delirium	delirium
deliver	xa
deliverance	kev xaav
delivery	yug
dell	dell
delta	Delta
delude	delude
deluge	deluge
delusion	delusion
delusional	delusional
deluxe	deluxe
delve	delve
demand	thov
demanding	xav tau
demeaned	demeaned
demeaning	kev sib cav
demeanor	demeanor
demented	demented
dementia	dementia
demise	demise
demo	demo
democracy	kev tswj hwm
democrat	democrat
democratic	kev ywj pheej
demographic	pej xeem
demolish	rhuav tshem
demolished	demolished
demolition	demolition
demon	dab
demonic	ntsujplig phem
demonstrable	demonstrable
demonstrate	ua yeeb yam
demonstrated	pom
demonstrating	qhia
demonstration	ua qauv qhia
demonstrative	pov thawj
demonstrator	demonstrator
demoralized	demoralized
demos	demos
demure	demure
den	NO TRANSLATION
deniability	kev tsim txom
denial	tsis kam
denied	tsis pom zoo
denim	denim
denomination	denomination
denominational	denominational
denominator	tus denominator
denote	txhais tau tias
denounce	ua txhaum
dense	ntom ntom
density	ceev
dent	mluav
dental	kho hniav
dentist	kws kho hniav
dentistry	kev kho hniav
dentists	kws kho hniav
denunciation	denunciation
deny	tsis kam
denying	tsis kam
deodorant	deodorant
depart	khiav tawm
departed	tawm lawm
department	department
departmental	departmental
departure	ncaim
depend	nyob ntawm seb
dependable	kom ntseeg tau
dependant	tos
dependence	kev vam khom
dependency	kev quav tshuaj
dependent	tos
depict	sau ntawv
depicting	depicting
depletion	kev poob cev qhev
deplorable	deplorable
deplore	deplore
deploy	deploy
deployment	xa mus
deport	deport
deportation	teb chaws
depose	khaws cia
deposit	tso nyiaj
depositary	tso
deposition	tso dej
depository	daim ntawv povthawj
depot	depot
depraved	poob siab
depravity	kev phem
depreciate	poob
depreciated	poob
depreciation	kev poob nqis
depress	nyuaj siab
depressed	nyuaj siab
depressing	kev nyuaj siab
depression	kev nyuaj siab
depressive	kev nyuaj siab
depresson	NO TRANSLATION
deprivation	deprivation
deprive	tsis pub ua
deprived	deprived
depth	tob
deputy	tus thawj coj
derail	derail
deranged	deranged
derelict	diselict
derision	derision
derivation	derivation
derivative	derivative
derive	muab
dermal	dermal
dermatologist	dermatologist
dermatology	dermatology
derogation	derogation
derogatory	derogatory
descend	nqis
descendant	xeeb leej xeeb ntxwv
descendent	NO TRANSLATION
descending	nqis
descent	qhovntsej thiaj tsis mob
describe	piav qhia
description	piav qhia
descriptive	piav qhia
desecrate	desecrate
desecration	desecration
desert	Desert
deserted	deserted
deserter	deserter
desertion	desertion
deserve	tsim nyog
deserved	deserved
deserving	tsim nyog
design	tsim
designate	xaiv
designated	xaiv
designation	lub npe
designed	tsim
designer	designer
designing	tsim
desirability	xav tau
desirable	ntshaw
desire	muaj siab
desiring	xav tau
desirous	ntshaw
desist	desist
desk	rooj
desolate	desolate
desolation	desolation
despair	kev poob siab
despairing	poob siab
despatch	tso tseg
desperado	desperado
desperate	xav ua kom tau
desperation	xav tau
despicable	despicable
despise	ntxub
despondent	despondent
despotic	ntxub
despotism	despotism
dessert	dessert
destination	destination
destined	destined
destiny	destiny
destitute	txom nyem
destroy	rhuav tshem
destroyed	rhuav tshem
destroyer	destroyer
destroying	rhuav tseg
destruct	puas tsuaj
destruction	kev puas tsuaj
destructive	puas tsuaj
detach	detach
detached	kas tsev txawb
detachment	detachment
detail	nthuav dav
detailed	ntxaws
details	ntsiab lus
detain	kaw
detainee	detainee
detect	ntes tau
detectable	ntes tau
detection	nrhiav tau
detective	detective
detector	ntes
detention	raug kaw
deter	deter
detergent	ntxhua khaub ncaws
deteriorate	deteriorate
deteriorated	deteriorated
deteriorating	deteriorating
deterioration	deterioration
determinable	paub tseeb
determinate	txiav txim siab
determination	kev txiav txim siab
determine	txiav txim siab
determined	txiav txim siab
deterrent	kev txhawj xeeb
detest	detest
detestation	detestation
detonate	tawm tsam
detonation	tawg
detonator	ntes
detour	ncig xyuas
detract	tshem tawm
detriment	detriment
detrimental	dejnum
detritus	detritus
deuce	deuce
deutschmark	deutschmark
devalued	devalued
devastate	devastate
devastated	devastated
devastating	ntsoog loj heev
devastation	devastation
develop	tsim
developer	tsim tawm
developing	tsim
development	kev loj hlob
deviant	deviant
deviate	ua thuam
deviating	deviating
deviation	sib txawv
device	ntaus ntawv
devil	dab ntxwg nyoog
deviled	deviled
devilish	devilish
devious	devious
devise	npaj siab
devoid	devoid
devolution	devolution
devolve	devolve
devote	devote
devoted	devoted
devotee	devotee
devotion	kev ua haujlwm
devotional	kev sib hawm
devour	devour
devout	devout
dew	dew
dexter	dexter
dexterity	dexterity
dextrose	dextrose
diabetes	mob ntshav qab zib
diabetic	ntshav qab zib
diabolical	diabolical
diagnose	kuaj xyuas
diagnosis	kuaj mob
diagnostic	kuaj mob
diagnostics	kuaj mob
diagonal	kab pheeb ces kaum
diagram	daim duab
dial	hu
dialect	hom lus
dialectic	dialectic
dialogue	sib tham
dialysis	lim ntshav
diameter	inch
diamond	pob zeb diamond
diamonds	diamonds
diaper	diaper
diaphragm	diaphragm
diarrhea	raws plab
diarrhoea	raws plab
diary	chaw muag mis nyuj
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	tsuav
dicey	dicey
dichotomous	dichotomous
dichotomy	dichotomy
dick	dick
dickhead	dickhead
dicks	dicks
dictate	dictate
dictation	dictation
dictator	tus tswj hwm
dictatorial	dictatorial
dictatorship	dictatorship
diction	diction
dictionary	phau ntawv txhais lus
dictum	NO TRANSLATION
didactic	didactic
diddle	puas yog
die	NO TRANSLATION
died	tuag
diesel	diesel
diet	kev noj haus
dietary	kev noj haus
differ	txawv
difference	qhov sib txawv
differences	txawv
different	txawv
differential	txawv
differentiation	txawv
differently	txawv
differing	txawv
difficult	nyuaj
difficulties	nyuaj
difficulty	nyuaj
diffuse	diffuse
diffusion	diffusion
dig	NO TRANSLATION
digest	zom zaws
digestion	plab zom mov
digestive	digestive
digit	digit
digital	digital
dignified	saib taus
dignify	saib kom meej
dignity	meej mom
digress	digress
digs	NO TRANSLATION
dike	dike
dilapidated	dilapidated
dilatation	dilatation
dilation	dilation
dildo	dildo
dilemma	teeb meem
diligence	kev mob siab
diligent	mob siab
dill	dill
diluent	diluent
dilute	dilute
diluted	diluted
dilution	dilution
dim	dim
dime	dime
dimension	dimension
dimensional	seem
diminish	ploj zuj zus
diminished	diminished
diminution	diminution
diminutive	diminutive
dimwit	dimwit
din	NO TRANSLATION
dine	noj haus
diner	noj mov
dinghy	dinghy
dingo	dingo
dingy	dingy
dining	chav noj mov
dinky	dinky
dinner	noj hmo
dinnertime	dinnertime
dinosaur	dinosaur
dint	Dint
diocesan	diocesan
diocese	diocese
diorama	diorama
dioxide	dioxide
dip	poob
diploma	diploma
diplomacy	diplomacy
diplomat	diplomat
diplomatic	diplomatic
dipper	dipper
dippy	dippy
dipstick	dipstick
dire	NO TRANSLATION
direct	ncaj qha
directed	qhia
direction	kev coj
directive	lus qhia
directly	ncaj qha
director	tus thawj coj
directory	directory
dirt	av
dirty	qias neeg
disability	tsis taus
disable	lov tes taw
disabled	xiam oob khab
disadvantage	disadvantage
disaffected	tsis pom zoo
disagree	tsis pom zoo
disagreeable	tsis pom zoo
disagreeing	tsis pom zoo
disagreement	tsis sib haum
disallow	tsis pom zoo
disallowed	tsis pom zoo
disapointment	NO TRANSLATION
disappear	ploj
disappearance	disappearance
disappearing	disappearing
disappoint	tu siab
disappointed	chim siab
disappointing	disappointing
disappointment	chim siab
disapproval	tsis pom zoo
disapprove	tsis pom zoo
disapproved	tsis pom zoo
disapproving	tsis pom zoo
disarm	disarm
disarray	kev kub ntxhov
disaster	kev phem
disastrous	disastrous
disband	disband
disbelief	kev tsis ntseeg
disbelieve	disbelieve
disburse	sib koom tes
disbursement	kev faib nyiaj
disc	disc
discard	muab pov tseg
discarded	pov tseg
discards	discards
discern	pom kev
discernible	discernible
discerning	txawj ntse
discernment	discernment
discharge	paug
disciple	tug thwjtim
disciplinary	qhuab qhia
discipline	qhuab qhia
disciplined	raug qhuab qhia
disclaim	tshem tawm
disclaimer	disclaimer
disclose	qhia tawm
disclosed	qhia tawm
disclosure	kev nthuav tawm
disco	disco
discoloration	tsis pom kev
discolored	rho tawm
discomfort	tsis xis nyob
disconcerted	disconcerted
disconcerting	disconcerting
disconnect	disconnect
disconnected	kaw
disconnection	kev tshem tawm
disconnects	disconnect
discontent	poob siab
discontinuance	tsis ua ntxiv lawm
discontinue	tsum tsis ua
discontinuity	tsis tuaj yeem
discontinuous	tsis ua mus ntxiv
discord	sib cav
discount	luv nqi
discounted	txo nqi
discourage	poob siab
discouraged	poob siab
discouragement	kev poob siab
discouraging	poob siab
discourse	kev daws teebmeem
discover	nrhiav tau
discovery	nrhiav tau
discredit	discredit
discredited	discredited
discreet	NO TRANSLATION
discrepancy	tsis sib xws
discrete	discrete
discretion	kev pom zoo
discretionary	kev xaiv
discriminate	ntxub ntxaug
discriminating	cais neeg
discrimination	kev ntxub ntxaug
discus	discus
discuss	sib tham
discussion	sib tham
disdain	disdain
disdainful	disdainful
disease	kab mob
diseased	muaj mob
disembodied	disembodied
disengage	disengage
disengagement	kev tsis sib haum
disfigured	disfigured
disgrace	disgrace
disgraced	disgraced
disgraceful	poob ntsej muag
disgruntled	disgruntled
disguise	disguise
disguised	disguised
disgust	qias neeg
disgusted	disgusted
disgusting	disgusting
dish	tais
disheartened	diav
disheartening	kev txhawj xeeb
dishonest	tsis ncaj ncees
dishonesty	tsis ncaj ncees
dishonor	dishonor
dishonorable	dishonorable
dishwasher	tshuab ntxuav tais diav
disillusionment	disillusionment
disinclination	disinclination
disincline	disincline
disinclined	disinclined
disinfect	disinfect
disinfectant	tshuaj tua kab mob
disinfection	disinfection
disinformation	disinformation
disingenuous	disingenuous
disintegrate	tawg
disintegration	disintegration
disinterested	disinterested
disjoint	disjoint
disjointed	disjointed
disjunctive	disjunctive
disk	disk
diskette	diskette
dislike	tsis nyiam
disliked	tsis nyiam
disliking	tsis nyiam
dislocated	dislocated
dislocation	dislocation
dislodge	dislodge
disloyal	tsis muaj kev vam
disloyalty	tsis tso cai
dismal	tsis zoo
dismantle	dismantle
dismay	dismay
dismayed	dismayed
dismemberment	sib nrauj
dismiss	tso tawm
dismissal	lawb tawm
dismissive	tshem tawm
dismount	dismount
disobedience	tsis mloog lus
disobedient	tsis mloog lus
disobey	tsis ua
disorder	tsis meej
disordered	tsis ua haujlwm
disorderly	tsis meej pem
disorganized	disorganised
disorientation	tsis ua haujlwm
disoriented	disoriented
disown	tsis pom zoo
disparage	disparage
disparaging	disparaging
disparate	disparate
disparity	disparity
dispassionate	dispassionate
dispatch	xa
dispatcher	dispatcher
dispel	dispel
dispensary	dispensary
dispensation	lub caij nyoog
dispense	faib
dispenser	dispenser
dispersal	dispersal
disperse	disperse
dispersed	dispersed
dispersion	dispersion
dispirited	dispirited
displace	kev hloov chaw
displaced	tawm mus
displacement	xaav
displacency	kev hloov chaw
display	zaub
displease	tsis zoo
displeased	tsis txaus siab
displeasure	displeasure
disposable	siv tau
disposal	pov tseg
dispose	pov tseg
disposed	muab pov tseg
disposition	qhov kho
dispossessed	disassessed
disprove	tsis pom zoo
dispute	kev sib cav
disqualification	tsis tsim nyog
disqualified	tsis tsim nyog
disqualify	tsis tsim nyog
disquieted	tsis txaus siab
disregard	poob siab
disregarded	tsis pom kev
disrelish	tsis sib haum
disreputable	disreputable
disrepute	disrepute
disrespect	tsis hwm
disrespectful	tsis hwm
disrupt	cuam ​​tshuam
disrupting	cuam ​​tshuam
disruption	kev cuam tshuam
disruptive	cuam ​​tshuam
dissatisfaction	dissatisfaction
dissatisfied	tsis txaus siab
dissect	tshaj tawm
dissection	sib cav
disseminate	disseminate
dissemination	nthuav tawm
dissension	kev sib cav
dissent	tsis pom zoo
dissenting	tsis sib haum
dissertation	dissertation
disservice	disservice
dissident	dissident
dissimilar	txawv
dissipate	dissipate
dissipated	dissipated
dissociation	dissociation
dissociative	dissociative
dissolution	xaus
dissolve	dissolve
dissonance	dissonance
dissuade	dissuade
distal	distal
distance	nrug
distant	nyob deb
distaste	distaste
distasteful	distasteful
distillate	distillate
distillation	distillation
distilled	distilled
distinct	txawv
distinction	txawv
distinctive	txawv txawv
distinguish	txawv
distinguishable	txawv
distinguished	txawv
distinguishing	qhov txawv
distort	distort
distorted	distorted
distortion	distortion
distract	cuam ​​tshuam
distracted	tsis muaj kev cuam tshuam
distracting	kev cuam tshuam
distraction	kev ntxhov siab
distraught	kev txhawj xeeb
distress	kev nyuaj siab
distressed	ntxhov siab
distressing	nyuab siab
distribute	faib
distribution	faib
distributor	distributor
district	koog tsev kawm ntawv
distrust	tsis ntseeg
disturb	cuam ​​tshuam
disturbance	cuam ​​tshuam
disturbed	ntxhov siab
disturbing	cuam ​​tshuam
