Word	yo
circulatory	circulatory
circumcision	ikọla
circumference	ayipo
circumferential	ayika
circumscribed	ti wa ni titọ
circumstance	idajọ
circumstances	awọn ayidayida
circumstantial	iṣoro
circumvent	circumvent
circumvention	circumvention
circus	Circus
cirque	Cirque
cirrhosis	cirrhosis
cirrus	cirrus
cistern	olulu omi
citadel	olodudu
citation	alaye
cite	kede
citizen	ọmọ ilu
citizenship	ilu ilu
citrine	citrine
citrus	osan
city	ilu
citywide	ilu gbogbo
civic	oselu
civics	ilu
civil	ilu ilu
civilian	alagbada
civilians	alagbada
civility	civility
civilization	ọlaju
civilized	ọlaju
clad	pa
claim	Beere
claimant	alapejọ
clairvoyant	alamọlẹ
clam	clam
clambake	clambake
clammy	clammy
clamor	clamor
clamp	dimole
clan	idile
clandestine	ẹsun
clang	pin
clap	pipin
clapper	koko
clapping	fifọn ni
clarification	alaye
clarify	ṣalaye
clarinet	clarinet
clarion	ipọn
clarity	wípé
clash	figagbaga
clashing	ti o n ṣe awari
clasp	kilaipi
class	kilasi
classic	Ayebaye
classic rock	Aye apata
classical	kilasika
classics	Alailẹgbẹ
classification	ipinnu
classified	classified
classify	ṣe iyatọ
classmate	ọmọ ẹgbẹ
classroom	ile-iwe
classy	didara
clatter	alapa
clause	ipin
clauses	awọn ofin
claustrophobia	claustrophobia
claustrophobic	claustrophobic
clavicle	clavicle
claw	claw
claws	awọn pinna
clay	amọ
clean	o mọ
cleaner	regede
cleaning	Pipin
cleanliness	mimọ
cleanly	mimọly
cleanse	wẹ
cleanser	o wẹ
cleansing	ṣiṣe itọju
cleanup	nu kuro
clear	ko o
clearance	clearance
clearing	imukuro
clearness	Clearness
cleat	cleat
cleavage	pipin
cleave	cleave
cleaver	NO TRANSLATION
clef	kii
cleft	cleft
clemency	clemency
clench	clench
clergy	clergy
clergyman	clergyman
cleric	cleric
clerical	alakoso
clerk	akọwe
clerkship	clerkship
clever	ọlọgbọn
cleverness	ọlọgbọn
click	tẹ
clicker	Onitẹrọ
client	Onibara
clientele	clientele
cliff	okuta
climate	afefe
climatology	climatology
climax	diẹ
climb	ngun
climber	climber
clinch	ile iwosan
cling	dimu
clingy	dimu
clinic	ile iwosan
clinical	itọju
clink	clink
clip	agekuru fidio
clipboard	iwe alabọde
clipper	clipper
clipping	clipping
clique	NO TRANSLATION
clitoris	clitoris
cloak	aawọ
cloaking	cloaking
cloakroom	iyẹwu
clobber	clobber
clock	aago
clockwork	clockwork
clod	clod
clog	clog
cloister	cloister
clone	ẹda oniye
cloning	ilonisilẹ
close	sunmọ
closed	pipade
closeness	ti o sunmọ
closet	kọlọfin
closure	Bíbo
clot	Tubu
cloth	asọ
clothe	wọ
clothes	aṣọ
clothesline	aṣọ aṣọ
clothing	aṣọ
cloud	awọsanma
clouded	jẹ awọsanma
cloudiness	awọsanma
clouds	awọsanma
cloudy	kurukuru
clout	ẹṣọ
clove	clove
clover	clover
cloves	cloves
clown	apanilerin
clowns	clowns
club	Ologba
clubhouse	clubhouse
clubs	aṣalẹ
cluck	cluck
clue	itọkasi
clueless	alaini
clump	dii
clumsy	aibuku
clunk	gira
cluster	iṣupọ
clutch	idimu
clutches	awọn idimu
clutter	clutter
coach	ẹlẹsin
coachman	olukọni
coagulation	coagulation
coal	edu
coalesce	olukọni
coalition	Iṣọkan
coarse	isokuso
coast	etikun
coastal	etikun
coaster	jakejado
coastline	etikun
coat	ma ndan
coating	ti a bo
coax	coax
cobalt	cobalt
cobble	cobble
cobbler	cobbler
cobra	ọpọlọ
cocaine	Cocaine
cock	akukọ
cockamamie	cockamamie
cockeyed	agbọn
cockpit	akọpamọ
cockroach	akọọlẹ
cocksucker	cocksucker
cocktail	amulumala
cocky	ṣọkan
cocoa	koko
coconut	agbon
cocoon	Cocoon
cod	cod
code	koodu
codeine	codeine
codex	codex
codfish	codfish
codification	ifaminsi
codify	codify
coding	ifaminsi
coed	ọgbẹ
coefficient	olùsọdipúpọ
coerce	agbọn
coercion	iṣọkun
coercive	iṣọpọ
coexist	ṣọkan
coexistence	iṣọkan
coexisting	n ṣopọ pẹlu
coffee	kọfi
coffee table	kofi tabili
coffeehouse	kofi
coffeepot	coffeepot
coffin	coffin
cog	Cog
cogent	cogent
cognac	ọgbẹ
cognate	ṣe ayẹwo
cognition	cognition
cognitive	imọ
cohabitation	cohabitation
coherence	iṣọkan
coherent	ti o ni iyatọ
cohesion	Iṣọkan
cohesive	àjọyọ
cohort	ẹgbẹ
coil	okun
coiled	ti a bo
coin	owó
coinage	coinage
coincide	ṣọkan
coincidence	idibajẹ
coincident	coincident
coincidental	papọ
coinciding	ṣọkan
coke	coke
cola	Cola
cold	tutu
coldly	tutulyly
coldness	tutu
coldsweat	NO TRANSLATION
coleslaw	coleslaw
colic	colic
coliseum	coliseum
collaborate	ṣiṣẹpọ
collaboration	ifowosowopo
collaborator	alabaṣepọ
collage	akojọpọ
collagen	collagen
collapse	subu
collar	kola
collarbone	collarbone
collate	papọ
collateral	alagbera
collation	collation
colleague	alabaṣiṣẹpọ
collect	gba
collected	ti a gbajọ
collection	gbigba
collective	apapọ
collectively	apapọ
collector	agbowó
college	kọlẹẹjì
collegiate	collegiate
collide	koju
collie	collie
collision	ijamba
collocation	collocation
colloquial	colloquial
collusion	ijidọpọ
cologne	cologne
colon	atilọlu
colonel	colonel
colonial	amunisin
colonic	colonic
colonoscopy	colonoscopy
colony	ileto
colophon	colophon
color	awọ
coloration	awọ
colored	awọ
colorful	lo ri
coloring	kikun
colorless	laisi awọ
colors	awọn awọ
colossal	colossal
colt	ọmọkunrin
columbine	Columbine
column	iwe-iwe
columnar	columnar
columnist	columnist
com	NO TRANSLATION
coma	coma
comatose	comatose
comb	comb
combat	ija
combatant	ija
combative	combative
combination	apapo
combinatorial	Asopọmọra
combine	darapọ
combined	idapo
combo	konbo
combustible	igbẹkẹle
combustion	ijona
come	wa
comeback	pada wa
comedian	apanilerin
comedy	awada
comet	comet
comfort	itunu
comfortable	itura
comforter	olutunu
comforting	itunu
comfy	comfy
comic	apanilerin
comical	comical
comics	awọn apanilẹrin
coming	nbọ
comma	apẹrẹ
command	aṣẹ
commandant	alakoso
commandeer	oluṣakoso
commander	Alakoso
commanding	paṣẹ
commandment	ofin
commando	commando
commemorate	ṣe iranti
commemoration	iranti isinmi
commemorative	iranti iranti
commence	bẹrẹ
commend	jọwọ
commendable	ti o ṣe akiyesi
commendation	ijowo
commensurate	ti tẹ
comment	ọrọìwòye
commentary	asọye
commentator	akọsọ
commerce	iṣowo
commercial	ti owo
commie	bẹbẹ
commissary	oluṣowo
commission	Igbimo
commissioner	Komisona
commit	dá
commitment	ifaramo
committal	isanwo
committed	ṣe
committee	igbimọ igbimọ
commodity	ọja
commodore	jọwọ
common	wọpọ
commoner	wọpọ julọ
commonly	wọpọ
commonplace	ibi ti o wọpọ
commons	commons
commonwealth	wọpọ
commotion	ariwo
communal	igbimọ
commune	ilu
communicable	communicable
communicate	ibaraẹnisọrọ
communication	ibaraẹnisọrọ
communicative	ibaraẹnisọrọ
communicator	ibaraẹnisọrọ
communion	communion
communism	Ibaṣepọ
communist	Komunisiti
community	agbegbe
commutation	Ibẹrẹ
commutative	iṣowo
commute	bẹrẹ
commuter	paṣẹ
comp	comp
compact	iwapọ
compaction	compaction
compactness	compactness
companion	alabaṣepọ
companionless	Companless
companionship	ajọṣepọ
company	ile-iṣẹ
comparable	afiwe
comparative	apejuwe
comparatively	afiwera
compare	ṣe afiwe
comparison	lafiwe
compartment	kompaktimenti
compass	Kompasi
compassion	aanu
compassionate	aanu
compatibility	ibamu
compatible	ibamu
compel	tilara
compelled	tori
compelling	ọran
compendium	compendium
compensate	san owo san
compensation	biinu
compensatory	ẹsan
compete	ti njijadu
competence	ipá
competency	itanna
competent	awọn to
competition	idije
competitive	ifigagbaga
competitor	oludije
compilation	akopo
compile	kojọpọ
complacency	ibanujẹ
complacent	jẹ didun
complain	kero
complaint	ẹdun
complement	iranlowo
complementary	tobaramu
complete	pari
completed	pari
completely	patapata
completeness	aṣepari
completing	ipari
completion	Ipari
complex	eka
complexed	ti dapọ
complexion	complexion
complexity	complexity
compliance	ibamu
compliant	ni ifaramọ
complicate	complicate
complicated	idiju
complication	complication
complicity	complicity
compliment	NO TRANSLATION
complimentary	baramu
comply	tẹle
complying	iṣiro
compo	compo
component	paati
compose	ṣajọ
composed	kq
composer	olupilẹṣẹ iwe
composite	orisirisi eroja
composition	tiwqn
compost	compost
composure	aladawe
compound	yellow
comprehend	mọ
comprehension	Imọye
comprehensive	okeerẹ
compress	fun pọ
compressed	fisinuirinu
compressible	compressible
compression	iṣeduro
compressor	compressor
comprise	ninu
compromise	adehun
comptroller	comptroller
compulsion	ifiro
compulsive	compulsive
compulsory	dandan
computable	ti o ṣafihan
computation	iṣiro
compute	ṣe akopọ
computer	kọmputa
computerized	computerized
computing	iširo
comrade	alabaṣepọ
con	NO TRANSLATION
concatenation	concatenation
concave	concave
conceal	papamọ
concealed	ti pa
concealment	ipamọ
concede	gba
conceit	conceit
conceited	gbega
conceivable	ti o le foju
conceive	loyun
concentrate	koju
concentration	fojusi
concentric	concentric
concept	Erongba
conception	Imọ
concern	ibanujẹ
concerned	fiyesi
concert	ere orin
concerto	concerto
concession	asale
concessional	concessional
conch	conch
concierge	concierge
conciliation	conciliation
concise	ṣokoto
conclave	conclave
conclude	pari
concluding	ipari
conclusion	ipari
conclusive	ipinnu
concoction	concoction
concomitant	concomitant
concord	concord
concordance	ni ibamu
concours	NO TRANSLATION
concourse	apejọpọ
concrete	nja
concubine	obinrin
concur	concur
concurrence	ibamu
concurrent	nigbakanna
concurring	ni ibamu
concussion	ijigọ
condemn	idajọ
condemnation	idajọ
condensation	condensation
condensed	ti di
condescending	condescending
condescension	isokalẹ
condiment	condiment
condition	ipo
conditional	ipolowo
conditionally	papọ
conditioned	ti o ni ilọsiwaju
conditioner	onisẹpo
conditioning	dida
conditions	ipo
condo	ile apingbe
condolence	alaafia
condolences	condolences
condom	kondomu
condone	condone
condor	condor
conducive	ti o tọ
conduct	iwa
conduction	idasile
conductivity	ifarahanra
conductor	olukọni
conduit	conduit
cone	konu
confederacy	iṣọkan
confederate	confederate
confederation	Confederation
confer	Gbangba
conference	apero
confess	jẹwọ
confession	ijewo
confessional	ẹri
confessions	jẹwọwọ
confetti	confetti
confidant	confidant
confide	gba daju
confidence	igboya
confident	igboya
confidential	igbekele
confidentiality	confidentiality
confidentially	NO TRANSLATION
configuration	iṣeto ni
confine	confine
confined	alapin
confinement	ẹmi
confines	confines
confirm	jẹrisi
confirmation	ìmúdájú
confirmatory	iṣeduro
confirmed	timo
confiscate	confiscate
confiscation	confiscation
conflagration	ijopo
conflict	ija
conflicting	ni ariyanjiyan
confluence	confluence
conform	faramọ
conformance	ibamu
conformation	NO TRANSLATION
conformity	ibamu
confound	confound
confounded	confounded
confront	dojuko
confrontation	idaja
confuse	adaru
confused	dapo
confusing	airoju
confusion	iparuru
conga	conga
congenial	congenial
congenital	ilera
congestion	isokuso
conglomerate	conglomerate
conglomeration	conglomeration
congrats	fun ọpẹ
congratulate	ṣe idunnu
congratulation	idunnu
congratulations	idunnu
congratulatory	alaafia
congregate	kojọpọ
congregation	ijọ
congress	Ile Asofin
congressional	Kongiresonali
congressman	congressman
congruence	agbara
conic	conic
conical	conical
conjecture	conjecture
conjugal	conjugal
conjugate	conjugate
conjugation	ajọṣepọ
conjunction	conjunction
conjunctive	conjunctive
conjure	conjure
conjuring	conjuring
conk	conk
connect	sopọ
connected	ti sopọ
connection	isopọ
connective	Asopọmọra
connoisseur	connoisseur
conquer	ṣẹgun
conquering	ṣẹgun
conqueror	oludari
conquest	iṣẹgun
conscience	ẹrí-ọkàn
conscientious	miiwu
conscious	mimọ
consciousness	aiji
conscription	igbasilẹ
consecrated	mimọ
consecration	ifi-ara-mimọ
consecutive	itẹlera
consensual	igbimọ
consensus	ijabọ
consent	ase
consenting	Gbigba
consequence	awọn abajade
consequent	abajade
conservation	itoju
conservatism	Conservatism
conservative	Konsafetifu
conservatory	igbimọ
conserve	tọju
consider	ro
considerable	akude
considerate	ṣe akiyesi
consideration	imọran
consignee	oluwa
consignment	fifiranṣẹ
consist	jẹ
consistency	aitasera
consistent	ibamu
consolation	itunu
console	console
consoled	tù
consolidate	fikun
consolidated	agbasọpo
consolidation	iṣeduro
consonant	ti o ṣe deede
consort	igbimọ
conspicuous	aṣiṣe
conspiracy	atimọra
conspirator	igbimọ
conspire	gbimọ
constable	ẹru
constancy	igbagbogbo
constant	igbakan
constantly	nigbagbogbo
constellation	atigọpọ
consternation	ojuju
constipation	àìrígbẹyà
constituency	agbegbe
constituent	agbegbe
constituents	awọn agbegbe
constitute	jẹ
constitution	t'olofin
constitutional	t'olofin
constitutionality	ofin-ofin
constrain	dojukọ
constrained	ti rọ
constraint	iyatọ
construct	ile-iṣẹ
construction	Ikọle
constructive	iṣẹ-ṣiṣe
construe	idọ
consul	oluwa
consulate	consulate
consult	alakoso
consultant	ajùmọsọrọ
consultation	ijumọsọrọ
consume	run
consumer	onibara
consuming	n gba
consummate	mimu
consummation	mu opin
consumption	agbara
contact	olubasọrọ
contagion	contagion
contagious	ran
contain	ni awọn
container	gba eiyan
containment	awọn ipilẹ
contaminate	ti doti
contaminated	ti doti
contamination	aibikita
contemplate	ronu
contemplation	iṣaro
contemplative	asọtẹlẹ
contemporaneous	ọjọ-ọjọ
contemporary	imusin
contempt	ẹgan
contemptible	ohun ti o ni imọran
contemptuous	contemptuous
contend	jà
contender	contender
contending	ti njija
content	akoonu
contented	contented
contention	ariyanjiyan
contentious	ariyanjiyan
contentment	igbadun inu
contents	awọn akoonu
contest	idije
contestant	idije
context	o tọ
contiguous	ti o wa
continence	itesiwaju
continent	continent
continental	continental
contingency	aibikita
contingent	airotele
continual	nigbagbogbo
continually	nigbagbogbo
continuance	tẹsiwaju
continuation	itesiwaju
continue	tẹsiwaju
continued	tesiwaju
continuing	tẹsiwaju
continuity	ilosiwaju
continuous	lemọlemọfún
continuously	nigbagbogbo
continuum	ilosiwaju
contour	atokun
contraband	contraband
contraception	itọju oyun
contract	adehun
contracted	ti ṣe adehun
contractile	atilẹyin ọja
contracting	n ṣe adehun
contraction	ihamọ
contractor	alagbaṣe
contradict	lodi
contradiction	alatako
contradictory	lodi
contraption	titọ
contrary	lodi si
contrast	itansan
contrasted	ṣe iyatọ
contravene	lodi
contravention	idena
contribute	tiwon
contribution	ilowosi
contributor	olùkópa
contrite	laanu
contrition	irojẹ
contrived	ti ṣiṣẹ
control	iṣakoso
controller	oludari
controlling	iṣakoso
controversial	ariyanjiyan
controversy	ariyanjiyan
contusion	idoti
conundrum	conundrum
convalescent	convalescent
convection	convection
convene	darapọ
convenience	atokuro
conveniences	awọn ibaraẹnisọrọ
convenient	rọrun
convent	convent
convention	apejọ
conventional	ti aṣa
converge	converge
convergence	iyipada
convergent	convergent
conversant	sọrọ
conversation	ibaraẹnisọrọ
conversational	ibaraẹnisọrọ
conversationalist	ibaraẹnisọrọ
converse	Agbegbe
conversing	ijiroro
conversion	iyipada
convert	iyipada
converted	yipada
convertible	alayipada
convex	convex
convexity	fifiranṣẹ
convey	gbejade
conveyance	ipolowo
conveyancing	imuduro
convict	oluwa
conviction	idalẹjọ
convince	ṣe idaniloju
convinced	gbagbọ
convincing	ni idaniloju
convocation	ipejọpọ
convoluted	ẹjọ
convolution	gbaniyanju
convoy	convoy
coo	Coo
cook	Cook
cookbook	Iwe-kikọ kika
cooker	oluṣeto ounjẹ
cookery	cookery
cookie	kukisi
cookies	kukisi
cooking	sise
cookout	agbon
cool	itura
coolant	ọṣọ
cooler	tutu
cooling	itutu agbaiye
coolness	itura
coon	coon
coop	coop
cooperate	ṣiṣẹpọ
cooperating	ṣiṣẹpọ
cooperation	ifowosowopo
cooperative	ifowosowopo
coordinate	ipoidojuko
coordination	iṣakoso
coordinator	alakoso
cop	cop
copacetic	NO TRANSLATION
cope	bawa
copier	copier
copilot	copilot
coping	dida
copious	copious
copper	Ejò
copter	copter
copy	daakọ
copycat	copycat
copying	didaakọ
copyright	aṣẹ-aṣẹ
coral	iyun
coral snake	ejo apan
cord	okun
cordial	cordial
cordless	ailopin
cordon	cordon
corduroy	corduroy
core	mojuto
cork	Koki
corkscrew	corkscrew
corn	agbado
cornball	cornball
cornbread	cornbread
cornea	cornea
corned	corned
corner	igun
cornerstone	cornerstone
cornet	cornet
cornfield	majẹko
cornflakes	NO TRANSLATION
cornice	cornice
cornstarch	cornstarch
corny	corny
corollary	corollary
corona	Corona
coronary	iṣọn-alọ ọkan
coronation	iṣọkan
coroner	coroner
corporal	corporal
corporate	ajọpọ
corporation	ajọṣepọ
corporeal	ara ẹni
corps	ara
corpse	okú
corpsman	corpsman
corpus	kọn
corral	corral
correct	tọ
correction	atunṣe
correctional	atunṣe
corrective	corrective
correctness	atunse
correlation	ibamu
correlative	atunṣe
correspond	baamu
correspondence	lẹta
correspondent	oniroyin
corresponding	bamu
corridor	ọdẹdẹ
corroborate	alapọ
corroboration	atunse
corrosion	iparun
corrosive	corrosive
corrupt	bajẹ
corrupting	ibajẹ
corruption	ibajẹ
corsage	corsage
corse	NO TRANSLATION
corset	corset
cortex	kotesi
cortical	cortical
cortisone	cortisone
corvette	corvette
cosmetic	ohun ikunra
cosmetics	Kosimetik
cosmic	agba aye
cosmology	Ẹkọ ile-aye
cosmopolitan	alapọ
cosmos	cosmos
cost	iye owo
costly	iye owo
costume	aso ere
cosy	farabale
cot	ọwọn
cote	ipolowo
cottage	Ile kekere
cotton	owu
couch	ijoko
cougar	cougar
cough	Ikọaláìdúró
council	igbimọ
councilman	igbimọ
counsel	imoran
counseling	imọran
counsellor	Oludamoran
counselor	Oludamoran
count	ka
countdown	kika
countenance	oju oju
counter	Ohunka
counteract	kọsẹ
counterattack	aṣoju
counterbalance	Aṣeyọri
counterclaim	counterclaim
counterfeit	ẹtan
counterpart	counterpart
counterpoint	counterpoint
countess	countess
countless	ailopin
country	orilẹ-ede
countryman	countryman
countrymusic	NO TRANSLATION
countryside	igberiko
counts	ṣe pataki
county	county
coup	pelu
coupe	ọkọ ayọkẹlẹ
couple	tọkọtaya
coupled	pelu
coupling	pipọpọ
coupon	coupon
courage	igboya
courageous	alagbara
courier	Oluranse
courses	courses
coursing	bibẹrẹ
court	ẹjọ
courteous	alawọ
courtesy	iteriba
courthouse	ile-igbimọ
courtroom	ile-igbimọ
courts	awọn ile-ẹjọ
courtship	ajọṣepọ
courtside	ile-ẹjọ
courtyard	àgbàlá
cousin	cousin
cousins	awọn ibatan
cove	ṣojukokoro
coven	ti ṣẹ
covenant	majẹmu
cover	ideri
coverage	agbegbe
covered	bo
covering	bora
covert	Iboju
covet	ifẹkufẹ
coveted	ṣojukokoro
cow	Maalu
coward	alarin
cowardice	aṣoju
cowardly	laanu
cowboy	ọdọmọkunrin
cowgirl	maalu
cowhand	maalu
cowhide	ọsin
cowl	Maalu
coworker	alabaṣiṣẹpọ
coy	coy
coyote	coyote
cozy	farabale
crab	akan
crabby	crabby
crack	kiraki
cracked	sisan
cracker	cracker
crackerjack	crackerjack
cracking	isanwo
crackle	crackle
crackpot	crackpot
cradle	jojolo
craft	iṣẹ iṣẹ
crafts	iṣẹ ọnà
craftsman	oniṣere
craftsmanship	iṣẹ-ọnà
crafty	ọlọgbọn
craig	craig
cram	cram
crammed	ti papọ
cramp	cramp
cramped	ti a ni
cranberry	Cranberry
cranberry juice	Cranberry oje
crane	crane
cranial	cranial
cranium	iyẹfun
crank	ibẹrẹ nkan
cranky	cranky
cranny	cranny
crap	apẹrẹ
crappy	crappy
craps	craps
crash	jamba
crass	irisi
crate	Iwọn
crater	crater
crave	crave
craving	ifẹkufẹ
crawfish	crawfish
crawl	ra ko
crayon	Pencil
crayons	crayons
craze	sisun
crazed	crazed
craziness	craziness
crazy	irikuri
creak	igbasilẹ
creaking	rirọ
cream	ipara
creamed	creamed
creamer	creamer
creamy	creamy
crease	jinjin
create	ṣẹda
creation	ẹda
creative	Creative
creativity	àtinúdá
creator	Ẹlẹda
creature	eda
credence	ijẹrisi
credential	iwe eri
credentials	awọn iwe eri
credibility	igbekele
credible	gbagbọ
credit	gbese
credit card	kaddi kirediti
creditable	ẹda
credited	ti a ka
crediting	ijẹrisi
creditor	onigbese
creed	igbagbọ
creek	ti nrakò
creep	wiwun
creeper	aṣiṣe
creeping	ti nrakò
creepy	ti nrakò
cremation	isunmi
creole	creole
crepe	crepe
crescendo	crescendo
crescent	Agbegbe
crest	Ijoko
crestfallen	crestfallen
cretin	cretin
cretins	cretins
crevice	ẹda
crew	atuko
crewman	crewman
crib	ibusun yara
cricket	Ere Kiriketi
cried	kigbe
crime	ilufin
criminal	odaran
criminality	odaran
crimp	furo
crimson	Crimson
cringe	ti o ni
cripple	ipara
crippled	ti rọ
crippling	ipalara
crisis	aawọ
crisp	agaran
crispy	crispy
criterion	abawọn
critic	ọlọtẹ
critical	pataki
criticise	ẹri
criticism	ẹjọ
criticize	ẹri
criticized	ti ṣofintoto
critique	idajọ
critter	oluwadi
croak	kọn
croc	Croc
crock	crock
crockery	crockery
crocodile	ooni
croft	ti o da
croissant	croissant
crook	koni
crooked	rọrùn
crop	irugbin na
croquet	Croquet
cross	agbelebu
cross country	jakejado orilẹ-ede
crossbow	crossbow
crossed	rekoja
crossfire	crossfire
crossing	Líla
crossover	adakoja
crosswalk	crosswalk
crossword	ọrọ-ọrọ
crotch	crotch
crouch	ku
crouched	ti ku
crouching	crouching
croupier	croupier
crow	kuroo
crowbar	crowbar
crowd	eniyan
crowded	gbọran
crowds	eniyan
crown	ade
crowning	crowning
crucial	pataki
cruciate	ti ṣagbe
crucifix	crucifix
crucifixion	agbelebu
crucify	kàn mọ agbelebu
crud	crud
crude	robi
cruel	onilara
cruelly	cruelly
cruelty	ìkà
cruise	ọkọ oju omi
cruise ship	ọkọ oju omi
cruiser	irinja
cruising	gbigbe ọkọ
crumb	ipara
crumble	isisile
crumbling	ipalara
crummy	crummy
crunch	crunch
crunchy	crunchy
crusade	crusade
crusader	alagbamu
crush	fifun pa
crushed	ti pa
crusher	crusher
crushing	crushing
crust	erunrun
crusty	crusty
crutch	Ekuro
crux	crux
cry	kigbe
crybaby	kigbe
crying	kigbe
crypt	crypt
cryptic	cryptic
cryptography	cryptography
crystal	okuta momọ gara
crystalline	okuta
crystallization	ifarahan
cub	kub
cubby	cubby
cube	kuubu
cubic	kubik
cubicle	cubicle
cuckold	cuckold
cuckoo	ẹda
cucumber	kukumba
cuddle	cuddle
cuddled	cuddled
cuddles	awọn apọn
cuddling	cuddling
cue	iwo
cuff	fọọmu
cuisine	onjewiwa
culinary	Onje wiwa
cull	akọmalu
culminate	ipari
culmination	ipari
culpability	ibajẹ
culpable	ti o jẹ ibajẹ
culprit	aṣiṣẹ
cult	egbeokunkun
cultivate	cultivate
cultivated	gbin
cultivation	ogbin
cultural	asa
culture	asa
cultured	gbin
culvert	ti n ṣagbe
cumbersome	cumbersome
cumulus	cumulus
cunning	ọlọgbọn
cunt	aṣoju
cup	ago
cupboard	ile-iwe
cupcake	Akara oyinbo kekere
cupping	cupping
cur	cur
curable	curable
curate	alara
curative	alumoni
curator	alagbẹdẹ
curb	dena
curd	curd
cure	imularada
curfew	curfew
curiosity	iwariiri
curious	iyanilenu
curl	ọmọ-iwe
curling	curling
currency	owo
current	lọwọlọwọ
curriculum	iwe ẹkọ
curry	Curry
curse	egún
cursed	ẹni ifibu
cursing	eegun
cursory	ibajẹ
curt	Tii
curtail	curtail
curtailment	iyatọ
curtain	ideri
curtains	awọn aṣọ-ikele
curtsy	ọmọ-inu
curvature	iṣiro
curve	ideri
curved	te
curvilinear	curvilinear
cushion	aga timutimu
cushy	iṣiro
cusp	cusp
cuss	kigbe
cussed	o dahun
custard	custard
custodial	ile-iwe
custodian	aṣoju
custody	ihamọ
custom	aṣa
customary	aṣa
customer	alabara
customized	ti adani
cut	ge
cutaneous	ipalara
cute	wuyi
cuticle	cuticle
cutie	cutie
cutlass	Ibẹrẹ
cutlery	cutlery
cutoff	ge kuro
cutter	Oludoti ọkọ
cutters	awọn apọn
cutthroat	cutthroat
cutting	Iku
cutting board	igbẹ ọkọ
cuttings	eso
cwt	cwt
cyanide	cyanide
cyberspace	cyberspace
cycle	ọmọ
cyclical	cyclical
cyclist	cyclist
cyclone	cyclone
cylinder	silinda
cylindrical	iyipo
cymbal	cymbal
cynic	cynic
cynical	cynical
cynicism	cynicism
cyst	cyst
cystic	cystic
cytomegalovirus	cytomegalovirus
cytoplasm	cytoplasm
czar	kọnrin
dab	dab
dabble	dabble
dabbling	dabbling
dad	baba
daddy	baba
dado	NO TRANSLATION
daemon	daemon
daft	daft
dagger	dagger
daily	lojojumo
dainty	dainty
daiquiri	daiquiri
dairy	ibi ifunwara
daisy	Daisy
dak	NO TRANSLATION
dale	dale
dam	dam
damage	ibajẹ
damaged	ti bajẹ
damages	bibajẹ
dame	dame
damn	Gbaga
damnation	damnation
damned	damned
damp	tutu ọririn
dampened	o tutu
damper	damper
damsel	damsel
dance	ijó
dancer	oniṣere
dancing	ijó
dandruff	dandruff
dandy	dandy
danger	Ijamba
dangerous	ewu
dangerously	lewu
dangit	NO TRANSLATION
dangle	dangle
dank	NO TRANSLATION
dapper	dapper
dare	agbodo
daredevil	daredevil
daresay	daresay
daring	daring
dark	dudu
darken	ṣokunkun
darkened	ṣokunkun
darkly	ṣokunkun
darkness	òkunkun
darkroom	buluwe
darkside	ṣokunkun
darling	fẹrin
darn	darn
dart	dart
dash	dash
dashboard	Dasibodu
dashed	dashed
dashing	dashing
dastardly	dastardly
data	data
database	ibi ipamọ data
date	ọjọ
datenight	NO TRANSLATION
daughter	ọmọbinrin
dawdle	dawdle
dawn	owurọ
dawned	ṣalaye
day	ọjọ
daybreak	ibẹrẹ ọjọ
daycare	daycare
daydream	ọjọ ọjọ
daydreaming	ọjọ-ọjọ
daylight	oju-ọjọ
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	ọjọ
daze	daju
dazed	dazed
dazzle	dazzle
dazzling	ọrun
deacon	deacon
deactivate	muu ma ṣiṣẹ
dead	okú
deadbeat	iku
deadline	akoko ipari
deadlines	Awọn akoko ipari
deadlock	Ikuro
deadly	oloro
deaf	aditi
deafening	gbọkun
deafness	aditi
deal	iṣowo
dealer	onisowo
dealership	ti onisowo
dealing	awọn olugbaṣe
dealings	awọn iṣowo
dean	dean
dear	ọwọn
dearest	dearest
dearth	ojo
death	iku
deathbed	iku iku
deathly	iku
debacle	debacle
debased	debased
debatable	debatable
debate	Jomitoro
debauchery	aibikita
debenture	iwe ifowopamọ
debilitating	debilitating
debit	debit
debrief	debrief
debriefing	debriefing
debris	idoti
debt	gbese
debtor	onigbese
debut	akọkọ
debutante	debutante
decade	ọdun mewa
decadence	decadence
decadent	decadent
decaf	decaf
decanter	decanter
decathlon	decathlon
decay	Ibajẹ
decayed	decayed
decaying	bibajẹ
deceased	ti ku
decedent	alade
deceit	ẹtan
deceitful	ẹtan
deceive	tàn
deceived	tan tan
deceiving	tàn
december	ọjọ aṣalẹ
decency	aiyede
decent	otitọ
deception	ẹtan
deceptive	ẹtan
decide	pinnu
decidedly	pinnu
deciduous	deciduous
decimal	eleemewa
decimeter	decimeter
decipher	decipher
decision	ipinnu
decisive	decisive
deck	dekini
declaration	gbólóhùn
declaratory	declaratory
declare	fihan
declination	idinku
decline	idinku
declining	declining
deco	ọṣọ
decode	ipinnu
decoder	decoder
decompose	decompose
decomposed	decomposed
decomposition	jijera
decompress	decompress
decompression	decompression
decontamination	aifọwọlẹ
decor	titunse
decorate	ṣe l'ọṣọ
decorating	Ṣiṣẹda
