Word	ko
deadly	치명적인
deaf	귀가 먹은
deafening	방음
deafness	청각 장애
deal	거래
dealer	상인
dealership	판매권
dealing	취급
dealings	거래
dean	학장
dear	소중한
dearest	소중한
dearth	부족
death	죽음
deathbed	임박한
deathly	죽은 듯이
debacle	와해
debased	약화 된
debatable	토론 할 수있는
debate	논쟁
debauchery	방탕
debenture	회사채
debilitating	쇠약하게하는
debit	차변
debrief	보고
debriefing	복명
debris	부스러기
debt	빚
debtor	채무자
debut	데뷔
debutante	첫 데뷔 무대
decade	로사리오 염주
decadence	쇠미
decadent	퇴폐적 인
decaf	카페인
decanter	원심 분리기
decathlon	십종 경기
decay	부식
decayed	부패한
decaying	썩어가는
deceased	고인
decedent	사자
deceit	책략
deceitful	속이는
deceive	속이다
deceived	속은
deceiving	속이는
december	12 월
decency	예절 바름
decent	어지간한
deception	기만
deceptive	속이는
decide	결정하다
decidedly	단호히
deciduous	낙엽
decimal	소수
decimeter	십진법
decipher	풀다
decision	결정
decisive	결정적인
deck	갑판
declaration	선언
declaratory	선언적
declare	알리다
declination	기움
decline	쇠퇴
declining	쇠퇴하는
deco	데코
decode	풀다
decoder	디코더
decompose	분해하다
decomposed	분해 된
decomposition	분해
decompress	압축을 풀다
decompression	감압
decontamination	오염 제거
decor	장식
decorate	장식하다
decorating	장식
decoration	장식
decorative	장식적인
decorator	장식 자
decorum	단정
decoy	유인 못
decrease	감소
decreased	감소한
decreasing	감소하는
decree	법령
decrement	감소
decrepit	낡아 빠진
decry	비난하다
decryption	해독
dedicate	바치다
dedication	봉납
deduce	추론하다
deduct	빼다
deductible	공제액
deduction	공제
deed	증서
deejay	디제이
deem	간주하다
deep	깊은
deepen	깊게 하다
deer	사슴
defamation	중상
defamatory	명예 훼손적인
default	태만
defeat	패배
defeated	패배 한
defeatist	패배 론자
defect	결함
defection	저버림
defective	결함 있는
defector	탈북자
defend	지키다
defendant	피고
defended	변호받은
defender	방어자
defending	방어
defense	방어
defenseless	방비 없는
defensible	방어 할 수있는
defensive	방어적인
defer	연기하다
deference	복종
deferral	연기하다
deferring	연기하는
defiance	도전
defiant	도전적인
defibrillator	제세 동기
deficiency	부족
deficient	부족한
deficit	부족
define	밝히다
defined	한정된
definite	명확한
definition	정의
definitive	결정적인
deflate	꺾다
deflation	수축
deflect	비끼다
deflection	처짐
defloration	해동
deform	추하게 하다
deformed	변형 된
deformity	기형
defraud	속이다
defray	처벌하다
defrost	제상
deft	손재주 있는
defunct	없어져 버린
defuse	해산하다
defy	무시하다
degeneracy	퇴화
degenerate	퇴화시키다
degeneration	퇴화
degradation	하락
degrade	저하시키다
degraded	타락한
degrading	퇴화하는
degree	정도
dehydrated	탈수 된
dehydration	탈수
dejected	낙심 한
delay	지연
delayed	지연
delectable	즐거운
delegate	대리자
delegation	대표단
delete	지우다
deleterious	해로운
deletion	삭제
deli	델리
deliberate	신중한
deliberation	숙고
deliberative	심의의
delicacy	섬세
delicate	섬세한
delicatessen	총알
delicious	맛있는
delight	기쁨
delighted	기쁜
delightful	매우 기쁜
delineate	묘사하다
delineation	묘사
delinquency	과실
delinquent	연체의
delirious	헛소리하는
delirium	섬망 상태
deliver	배달
deliverance	구출
delivery	배달
dell	작은 골짜기
delta	델타
delude	속이다
deluge	대홍수
delusion	미혹
delusional	망상적인
deluxe	호화로운
delve	동굴
demand	수요
demanding	요구하는
demeaned	품위를 잃은
demeaning	품위를 떨어 뜨리는
demeanor	행실
demented	미친
dementia	백치
demise	권리 양도
demo	데모
democracy	민주주의
democrat	민주당 원
democratic	민주주의의
demographic	인구 통계학의
demolish	헐다
demolished	철거 된
demolition	파괴
demon	악마
demonic	악마 같은
demonstrable	증명할 수있는
demonstrate	시연하다
demonstrated	시연 된
demonstrating	시연하는
demonstration	데모
demonstrative	분명히 나타내는
demonstrator	시위 운동자
demoralized	사기를 꺾은
demos	시민
demure	차분한
den	NO TRANSLATION
deniability	부인 능력
denial	부정
denied	부정한
denim	청
denomination	명칭
denominational	교단의
denominator	분모
denote	의미하다
denounce	비난하다
dense	밀집한
density	밀도
dent	옴폭 들어간 곳
dental	이의
dentist	치과 의사
dentistry	치과
dentists	치과 의사
denunciation	비난
deny	부정하다
denying	부정한
deodorant	탈취제
depart	출발하다
departed	죽은
department	학과
departmental	성의
departure	출발
depend	의존하다
dependable	신뢰할 수 있는
dependant	매달린
dependence	의존
dependency	의존
dependent	매달린
depict	묘사하다
depicting	묘사하는
depletion	고갈
deplorable	탄탄한
deplore	비탄하다
deploy	전개하다
deployment	전개
deport	추방하다
deportation	추방
depose	폐하다
deposit	예금
depositary	수탁자
deposition	침적
depository	공탁소
depot	정거장
depraved	타락한
depravity	타락
depreciate	얕보다
depreciated	감가 상각 된
depreciation	감가 상각
depress	내리 누르다
depressed	우울한
depressing	우울한
depression	우울증
depressive	우울한
depresson	NO TRANSLATION
deprivation	박탈
deprive	빼앗다
deprived	박탈 된
depth	깊이
deputy	대리인
derail	탈선하다
deranged	엉망이 된
derelict	외설적 인
derision	비웃음
derivation	유도
derivative	유도체
derive	파생하다
dermal	피부의
dermatologist	피부과 전문의
dermatology	피부과
derogation	감손
derogatory	경멸적인
descend	하강하다
descendant	자손
descendent	NO TRANSLATION
descending	하강하는
descent	하강
describe	기술하다
description	기술
descriptive	기술적 인
desecrate	속임수를 쓰다
desecration	신성 모독
desert	사막
deserted	버려진
deserter	탈영병
desertion	황폐
deserve	받을 만하다
deserved	당연한
deserving	원조 받을 만한
design	디자인
designate	가리키다
designated	지정된
designation	지정
designed	디자인 된
designer	디자이너
designing	설계
desirability	바람직 함
desirable	바람직한
desire	염원
desiring	욕망
desirous	원하는
desist	~을 벗어나는
desk	책상
desolate	황량한
desolation	쓸쓸함
despair	절망
despairing	절망적 인
despatch	급파
desperado	불량자
desperate	필사적 인
desperation	절망
despicable	비열한
despise	경멸하다
despondent	기가 죽은
despotic	독재적인
despotism	전제국
dessert	디저트
destination	목적지
destined	향하는
destiny	운명
destitute	난민
destroy	멸하다
destroyed	의해 파괴됨
destroyer	파괴자
destroying	파괴하는
destruct	파괴하다
destruction	파괴
destructive	파괴적인
detach	떼다
detached	분리 된
detachment	분리
detail	세부 묘사
detailed	상세한
details	세부
detain	구금
detainee	억류자
detect	탐지하다
detectable	검출 가능한
detection	발각
detective	형사
detector	탐지기
detention	구류
deter	그만 두게 하다
detergent	세정제
deteriorate	악화되다
deteriorated	악화 된
deteriorating	악화되는
deterioration	악화
determinable	결정할 수있는
determinate	한정된
determination	결심
determine	결정
determined	결정된
deterrent	억지력
detest	싫어하다
detestation	아주 싫어함
detonate	폭파하다
detonation	폭발
detonator	뇌관
detour	우회
detract	떨어지다
detriment	상해
detrimental	해로운
detritus	암설
deuce	듀스
deutschmark	독일의
devalued	평가 절하 된
devastate	파괴하다
devastated	황폐화 된
devastating	지독한
devastation	폐허
develop	나타나게 하다
developer	개발자
developing	개발 중
development	개발
deviant	이상한
deviate	빗나가게 하다
deviating	이탈하는
deviation	일탈
device	장치
devil	악마
deviled	매혹적인
devilish	악마 같은
devious	멀리 돌아가는
devise	유증
devoid	결여 된
devolution	상전
devolve	양도하다
devote	바치다
devoted	저주 받은
devotee	신봉자
devotion	헌신
devotional	경건의
devour	삼키다
devout	독실한
dew	이슬
dexter	덱스터
dexterity	재치
dextrose	포도당
diabetes	당뇨병
diabetic	당뇨병 환자
diabolical	악마 같은
diagnose	진단하다
diagnosis	진단
diagnostic	특수 증상
diagnostics	진단
diagonal	대각선
diagram	도표
dial	다이얼
dialect	방언
dialectic	변증법적인
dialogue	대화
dialysis	투석
diameter	직경
diamond	다이아몬드
diamonds	다이아 패 한 벌
diaper	기저귀
diaphragm	횡격막
diarrhea	설사
diarrhoea	설사
diary	일기
diatribe	비난하다
dib	NO TRANSLATION
dibs	돈
dice	주사위
dicey	상냥한
dichotomous	이분법의
dichotomy	이분법
dick	형사
dickhead	멍청이
dicks	거시기
dictate	명령
dictation	받아쓰기
dictator	독재자
dictatorial	독재적인
dictatorship	절대권
diction	어법
dictionary	사전
dictum	NO TRANSLATION
didactic	남을 가르치고 싶어하는
diddle	속이다
die	NO TRANSLATION
died	사망 한
diesel	디젤
diet	다이어트
dietary	식이 요법
differ	다르다
difference	차
differences	차이점들
different	다른
differential	미분
differentiation	분화
differently	다르게
differing	다른
difficult	어려운
difficulties	어려움
difficulty	어려움
diffuse	퍼지다
diffusion	확산
dig	NO TRANSLATION
digest	요람
digestion	소화
digestive	소화기
digit	손가락
digital	디지털
dignified	위엄 있는
dignify	위엄있는
dignity	존엄
digress	탈선하다
digs	NO TRANSLATION
dike	제방
dilapidated	낡은
dilatation	팽창
dilation	팽창
dildo	딜도
dilemma	양도 논법
diligence	근민
diligent	부지런한
dill	딜
diluent	희석제
dilute	묽게 한
diluted	희석 된
dilution	노동 희석
dim	어둑한
dime	단돈 한 닢
dimension	치수
dimensional	차원의
diminish	줄다
diminished	점감 된
diminution	감소
diminutive	소량의
dimwit	멍청이
din	NO TRANSLATION
dine	식사하다
diner	식당
dinghy	작은 배
dingo	들개
dingy	거무 죽죽 한
dining	식사
dinky	작은
dinner	공식 만찬
dinnertime	저녁 시간
dinosaur	공룡
dint	힘
diocesan	교구 주교
diocese	교구
diorama	디오라마
dioxide	이산화물
dip	담그다
diploma	졸업 증서
diplomacy	외교
diplomat	외교관
diplomatic	외교의
dipper	국자
dippy	미친
dipstick	계량 봉
dire	NO TRANSLATION
direct	곧장
directed	감독 된
direction	방향
directive	지령
directly	직접
director	감독
directory	예배 규칙서
dirt	더러운
dirty	더러운
disability	무능
disable	무능하게하다
disabled	장애인
disadvantage	불리
disaffected	불만을 품은
disagree	동의하지 않는다
disagreeable	불쾌한
disagreeing	의견이 맞지 않는
disagreement	불쾌한 일
disallow	금지하다
disallowed	허용되지 않는
disapointment	NO TRANSLATION
disappear	사라지다
disappearance	소실
disappearing	사라지는
disappoint	어긋나게 하다
disappointed	실망한
disappointing	실망시키는
disappointment	실망
disapproval	난색
disapprove	안된다고 하다
disapproved	비 승인 된
disapproving	비난하는
disarm	무장 해제하다
disarray	혼란
disaster	재앙
disastrous	비참한
disband	해산하다
disbelief	불신
disbelieve	믿지 않다
disburse	출두하다
disbursement	지불
disc	디스크
discard	포기
discarded	버려진
discards	버림
discern	분별력있는
discernible	보고 알 수 있는
discerning	식별력 있는 사람들
discernment	식별
discharge	방출
disciple	제자
disciplinary	징계의
discipline	징계
disciplined	훈련 된
disclaim	버리다
disclaimer	부인 성명
disclose	드러내다
disclosed	공개 된
disclosure	폭로
disco	디스코
discoloration	변색
discolored	변색 된
discomfort	불쾌
disconcerted	당황한
disconcerting	당황한
disconnect	연결 해제
disconnected	연결이 끊긴
disconnection	단절
disconnects	연결을 끊다
discontent	불만
discontinuance	중단
discontinue	폐하다
discontinuity	불연속
discontinuous	끊어진
discord	불일치
discount	할인
discounted	할인 된
discourage	낙심시키다
discouraged	낙담 한
discouragement	낙담
discouraging	낙담 한
discourse	담화
discover	발견하다
discovery	발견
discredit	불신
discredited	신용을 잃은
discreet	NO TRANSLATION
discrepancy	모순
discrete	분리 된
discretion	신중
discretionary	임의의
discriminate	차별하다
discriminating	차별하는
discrimination	차별
discus	원반
discuss	즐기며 먹다
discussion	토론
disdain	경멸감
disdainful	거드름 부리는
disease	질병
diseased	병든
disembodied	체념이없는
disengage	풀다
disengagement	해방
disfigured	모양이 변형 된
disgrace	불명예
disgraced	불명예스러운
disgraceful	불명예스러운
disgruntled	불만을 품은
disguise	변장
disguised	위장 된
disgust	싫음
disgusted	역겨운
disgusting	역겨운
dish	요리
disheartened	낙심 한
disheartening	낙심시키다
dishonest	부정한
dishonesty	부정직
dishonor	불명예
dishonorable	불명예스러운
dishwasher	식기 세척기
disillusionment	환멸
disinclination	싫증
disincline	협박하다
disinclined	정신을 잃은
disinfect	소독하다
disinfectant	살균제
disinfection	소독
disinformation	그릇된 정보
disingenuous	불쾌한
disintegrate	분해하다
disintegration	분해
disinterested	사심 없는
disjoint	연결이 끊어진
disjointed	흩어진
disjunctive	분리주의의
disk	디스크
diskette	디스켓
dislike	싫어함
disliked	싫어하는
disliking	싫어하는
dislocated	탈구 된
dislocation	탈구
dislodge	~을 내쫓다
disloyal	불충 한
disloyalty	불충실
dismal	음침한
dismantle	해체하다
dismay	당황
dismayed	당황한
dismemberment	절단
dismiss	버리다
dismissal	해임
dismissive	무시하는
dismount	내리다
disobedience	불순종
disobedient	불순종 한
disobey	좇지 않다
disorder	무질서
disordered	무질서한
disorderly	무질서한
disorganized	해체 된
disorientation	방향 감각 상실
disoriented	방향이 어긋난
disown	자기 것이 아니라고 말하다
disparage	얕보다
disparaging	비하하는
disparate	다른
disparity	상이
dispassionate	냉정한
dispatch	급파
dispatcher	운영자
dispel	불식시키다
dispensary	약국
dispensation	분배
dispense	분배 하다
dispenser	약제사
dispersal	분산
disperse	분산시키다
dispersed	분산 된
dispersion	분산
dispirited	기가 꺾인
displace	바꾸어 놓다
displaced	실향민
displacement	배수량
displacency	변위
display	디스플레이
displease	불쾌한
displeased	불쾌한
displeasure	불쾌
disposable	사용 후 버릴 수 있는
disposal	처분
dispose	처분하다
disposed	처분 된
disposition	처분
dispossessed	떼어 놓은
disprove	반증하다
dispute	분쟁
disqualification	자격 박탈
disqualified	실격 된
disqualify	자격을 박탈하다
disquieted	불안한
disregard	무시
disregarded	무시하다
disrelish	싫음
disreputable	보기 싫은
disrepute	나쁜 평판
disrespect	무례
disrespectful	무례한
disrupt	방해하다
disrupting	혼란
disruption	붕괴
disruptive	파괴적인
dissatisfaction	불만
dissatisfied	불만족스러운
dissect	해부하다
dissection	해부
disseminate	보급하다
dissemination	씨 뿌리기
dissension	불화
dissent	불찬성
dissenting	반대 의견
dissertation	논문
disservice	해
dissident	반체제의
dissimilar	다른
dissipate	흩어지다
dissipated	소산 된
dissociation	분리
dissociative	해리 성의
dissolution	해산
dissolve	디졸브
dissonance	불협화음
dissuade	단념시키다
distal	말초의
distance	거리
distant	먼
distaste	싫증
distasteful	맛 없는
distillate	석유 제품
distillation	증류
distilled	증류 한
distinct	뚜렷한
distinction	구별
distinctive	특유의
distinguish	드러내다
distinguishable	구별 할 수있는
distinguished	저명한
distinguishing	구별되는
distort	왜곡하다
distorted	비뚤어진
distortion	왜곡
distract	괴롭히다
distracted	산만
distracting	산만하게하는
distraction	기분 전환
distraught	미친
distress	고통
distressed	고민하는
distressing	비참한
distribute	배포하다
distribution	분포
distributor	살수 장치
district	지구
distrust	불신
disturb	방해하다
disturbance	방해
disturbed	방해받은
disturbing	방해하는
disuse	쓰지 않음
disused	사용하지 않는
ditch	도랑
ditto	같게
ditty	소곡
diurnal	낮의
diva	프리마 돈나
divan	NO TRANSLATION
dive	잠수
diver	잠수부
diverge	분기하다
divergence	분기
divergent	다른
diverging	발산하는
divers	몇 개의
diverse	다양한
diversified	다양 화 된
diversify	다양 화하다
diversion	전환
diversionary	교도소의
diversity	상이
divert	전환시키다
diverting	우회하는
divest	벗기다
divested	매각 된
divestment	박탈
divide	분할
divided	각기 다른
dividend	피제수
divination	점
divine	신성한
divinity	신학
divisible	나눌 수 있는
division	분할
divisor	제수
divorce	이혼
divorcee	당한 여자
divulge	누설하다
divvy	몫
dizziness	현기증
dizzy	핑
do	해야 할 것
doable	할 수 있는
doc	의사
docile	온순한
dock	독
docked	도킹 된
docket	꼬리표
docking	도킹
doctor	의사
doctorate	박사호
doctrinal	교리
doctrine	교의
document	문서
documentary	기록한 것
documentation	선적 서류 비치
documents	서류
dodge	다지
dodger	삐라
dodging	피하는
dodgy	교활한
dodo	도도
doe	암사슴
doer	행위자
dog	개
dogface	강아지 얼굴
dogged	완고한
doggy	개의
doghouse	개집
dogma	교조
dogmatic	독단적 인
dogsick	NO TRANSLATION
doings	행위
doit	NO TRANSLATION
dojo	도장
doldrums	답답한
dole	시주
doll	인형
dollar	달러
dollhouse	인형 집
dolor	NO TRANSLATION
dolphin	돌고래
domain	도메인
dome	둥근 천장
domestic	하인
domesticated	가축의
domestication	길들임
domicile	처소
domiciled	소재지의
dominance	권세
dominant	우성
dominate	억누르다
dominating	지배적 인
domination	지배
dominatrix	지배인
dominion	지배
domino	도미노 패
don	님
donate	기부하다
donation	기부
donkey	당나귀
donor	기증자
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	돈
dontpanic	청각 장애인
dontunderstand	NO TRANSLATION
doodle	낙서
doom	운명
doomed	운명의
doomsday	최후의 심판의 날
door	문
doorbell	현관의 초인종
doorknob	손잡이
doorman	도어맨
doormat	현관 매트
doornail	Doornail
doorstep	현관 계단
doorway	출입구
dopamine	도파민
dope	마약
dopey	떡
dork	도크
dorky	멍청이
dorm	기숙사
dormant	잠자는
dormitory	기숙사
dorsal	등 지느러미
dosage	복용량
dose	정량
dossier	서류
dot	점
doting	도트 찍기
dotted	점이 찍힌
dotty	점이 있는
double	더블
doubled	배가 된
doublet	겹겹이 자다
doubling	배가
doubt	의심
doubtful	불안한
doubting	의심
doubtless	의심 없는
doubts	의심
douche	주수
douchebags	독서 가방
dough	반죽
doughboy	보병
doughnut	도넛
dour	음울한
douse	잠수
dove	비둘기
down	하위
downcast	다운 캐스트
downer	사다리
downfall	몰락
downfield	다운 필드
downhearted	낙심 한
downhill	수월한
download	다운로드
downpour	호우
downright	철저한
downriver	다운 리버
downside	단점
downtime	중단 시간
downward	하향의
downy	마음 놓을 수 없는
dowry	결혼 지참금
doze	선잠
dozen	다스
drab	단조로운
draft	초안
drafty	임시 보관함
drag	견인
dragon	용
dragonfly	잠자리
drain	배수
drainage	배수
drained	물기가있는
draining	배수구
drainpipe	배수관
drake	드레이크
drama	드라마
dramaqueen	NO TRANSLATION
dramatic	극적인
drape	덮는 천
drapery	피륙
drastic	격렬한
drat	NO TRANSLATION
draught	초안
draw	무승부
drawback	약점
drawbridge	가동교
drawer	서랍
drawers	서랍
drawing	그림
dread	공포
dreaded	겁나는
dreadful	무서운
dreadfully	끔찍하게
dreading	두려워하는
dream	꿈
dreamboat	꿈꾸는 사람
dreamer	꿈 꾸는 사람
dreaming	꿈꾸는
dreamland	꿈나라
dreams	꿈
dreamt	꿈꾸는
dreamy	꿈꾸는 듯한
dreary	황량한
dredge	준설선
drenched	흠뻑 젖은
dress	드레스
dresser	옷장
dressmaker	양장점
dressy	멋진
dribble	NO TRANSLATION
dried	건조한
drier	건조기
drift	경향
drifted	표류 한
drifter	표류자
driftwood	유목
drill	송곳
drink	음주
drinker	술꾼
drinking	음주
drinks	음료수
drip	똑똑 떨어지는 물방울 소리
dripping	똑똑
drive	드라이브
drivel	군침
driver	운전사
driveway	차도
drizzle	이슬비
droll	익살 꾸러기
drone	무인 비행기
drones	무인 항공기
drool	군침
drooping	하수
droopy	처진
drop	하락
droplet	작은 물방울
dropout	탈락
dropper	점 적기
drought	가뭄
drove	NO TRANSLATION
drown	안 들리게 하다
drowsiness	졸음
drowsy	나른한
drudgery	천역
drug	약
drug dealing	마약 거래
drugged	약을 먹인
druggist	약제사
drugs	약제
drugstore	약국
druid	사제
drum	북
drummer	고수
drumming	드럼 연주
drunk	취한
drunk driving	음주 운전
drunkard	술고래
drunken	술취한
drunkenness	술 취함
dry	마른
dryer	건조기
dryness	건조 함
dual	이중의
dualism	이중성
duality	이중성
dub	서투른 사람
dubious	모호한
duchess	공작 부인
duck	오리
ducking	물오리 사냥
duckling	새끼 오리
ducky	예보
duct	도관
ductile	두들겨 펼 수 있는
dud	더러운
dude	친구
duds	의복
due	정당한
duel	결투
dues	회비
duet	이중주
duffel	갈아 입을 옷
dugout	방공호
duh	대법원
duke	공작
dull	둔한
dullard	미련퉁이
dumb	우둔한
dumbasses	덤 버스
dumbbell	아령
dumbbitch	NO TRANSLATION
dumfound	멍청한
dumfounder	NO TRANSLATION
dummy	더미
dump	덤프
dumpling	심
dumps	우울
dumpster	쓰레기 수거통
dun	암갈색
dunce	열등생
dune	모래 언덕
dung	NO TRANSLATION
dungeon	지하 감옥
dunk	덩크
duo	듀오
dupe	잘 속는 사람
duplex	양면 인쇄
duplicate	복제
duplication	복사
duplicity	이중성
durability	내구성
durable	튼튼한
duration	지속
duress	협박
dusk	황혼
dusky	거무스름한
dust	먼지
duster	살포기
dustpan	쓰레받기
dusty	무미 건조한
dutiful	의무적 인
duty	의무
dwarf	난쟁이
dwarfed	왜소합니까?
dweeb	dweeb
dwell	살다
dweller	거주자
dwelling	주거
dye	물든 색
dying	사망
dyke	다이크
dynamic	동적
dynamical	역 동성의
dynamics	역학
dynamite	다이너마이트
dynamo	발전기
dynasty	왕조
dysentery	이질
dysfunction	기능 부전
dysfunctional	기능 불능의
dyspepsia	소화 불량
eager	심한
eagerness	열의
eagle	독수리
ear	귀
earful	작은
earl	백작
earlier	일찍이
early	이른
earn	벌다
earnest	진지한
earnestly	진지하게
earnestness	열의
earnings	수입
earpiece	이어폰
earring	귀걸이
earrings	귀걸이
earshot	들소
earth	지구
earthenware	질그릇
earthling	지구인
earthly	지구의
earthquake	지진
earthy	거친
ease	용이함
easel	화가
easement	지역권
easily	용이하게
east	동쪽
eastbound	이스트 바운드
eastern	동부의
easy	쉬운
easygoing	느긋한
eat	먹다
eater	먹는 사람
eating	먹기
eatingdisorders	NO TRANSLATION
eavesdrop	엿듣다
eavesdropping	도청
ebb	썰물
ebony	흑단
ebullient	끓어 넘치는
eccentric	별난
eccentricity	이심률
ecclesiastical	교회의
echelon	단계
echinacea	에키나시아
echo	에코
eclectic	절충주의의
eclipse	식
ecliptic	황도
ecological	생태학의
economic	간결한
economical	경제적 인
economics	경제학
economy	경제
ecosystem	생태계
ecstasy	엑스터시
ecstatic	황홀한
ecumenical	세계적인
eddy	소용돌이
edema	부종
edge	가장자리
edging	가두리 침
edgy	초라한
edible	먹을 수 있는
edict	명령
edification	교화
edifice	건물
edit	편집하다
editing	편집
edition	판
editor	편집자
editorial	사설
educate	기르다
educated	교육받은
education	교육
educational	교육적인
educator	교육자
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	에크
eel	뱀장어
eerie	기분 나쁜
effect	효과
effective	유효한
effectiveness	유효성
effects	효과
effectual	효력있는
effectually	효과적으로
effectuate	효과를 발휘하다
effeminate	여자 같은
efficacious	효과 있는
efficacy	효능
efficiency	능률
efficient	실력 있는
effigy	인형
effort	노력
effortless	부담없는
effusion	유출
effyou	NO TRANSLATION
egg	계란
egghead	지식인
eggnog	에그 노그
eggplant	가지
eggshell	달걀 껍질
ego	자아
egomaniac	자발적인
egotistical	평범한
egregious	악명 높은
egress	출구
eight	여덟
eighteen	십팔
eighth	여덟 번째
eighty	여든
ejaculate	갑자기 외치다
ejaculation	사정
eject	꺼내다
ejection	방출
elaborate	정교한
elaboration	동화
elan	NO TRANSLATION
elapse	경과
elapsed	경과 된
elastic	탄력있는
elasticity	탄력
elated	의기 양양한
elation	의기 양양
elbow	팔꿈치
eld	노년
elder	장로
elderly	노인
elders	연상
eldest	가장 나이 많은
elect	선택된
election	선거
elective	임의로 선택할 수 있는
elector	선거인
electoral	선거
electorate	유권자
electric	전기 같은
electric slide	전기 슬라이드
electrical	전기 같은
electrician	전공
electricity	전기
electrify	깜짝 놀라게 하다
electrocute	감전사
electrocution	감전사
electromagnetic	전자기의
electron	전자
electronic	전자
electronics	전자 제품
elegance	우아
elegant	우아한
element	요소
elemental	원소 같은
elementary	초등학교의
elements	집단
elephant	코끼리
elevate	올리다
elevated	높은
elevation	높이
elevator	엘리베이터
eleven	열한
eleventh	십일
elf	꼬마 요정
elicit	이끌 리다
eligible	자격이되는
eliminate	죽이다
elimination	제거
elite	엘리트
elitist	엘리트 주의자
elixir	엘릭서
elk	고라니
ell	엘
ellipse	타원
ellipsis	생략
ellipsoid	타원체
elliptic	타원형의
elliptical	타원형의
elm	느릅 나무
elongate	길다
elongation	연장
elope	유령
eloquence	웅변
eloquent	웅변의
elucidate	명료하게하다
elucidation	설명
elude	회피하다
elusive	피하는
emaciated	쇠약해진
email	이메일
emanate	나다
emancipation	해방
embankment	둑
embargo	NO TRANSLATION
embark	태우다
embarrass	난처하게하다
embarrassed	어리둥절한
embarrassing	창피한
embarrassment	당황
embassy	대사관
embattled	싸우다
embed	깊숙이 박다
embellish	꾸미다
embellishment	꾸밈
embers	여신
embezzlement	도용
embezzler	엠지글 러
emblem	상징
emblematic	상징적 인
embodiment	구체화
embolism	색전증
embossed	양각 된
embrace	포옹
embroidered	수 놓은
embroidery	자수
embroiled	휩쓸어 넣는
embryo	태아
embryonic	배아의
emcee	사회자
emerald	에메랄드
emerge	나타나다
emergence	출현
emergency	비상 사태
emeritus	명예
emery	금강사
emetophobia	emetophobia
emigrate	이주하다
emigration	이주
eminence	저명
eminent	저명한
eminently	저명한
emir	NO TRANSLATION
emissary	사자
emission	방사
emit	방출하다
emo	이모
emotion	감정
emotional	정서적 인
emotive	감정적 인
empathic	공감하는
empathize	공감하다
empathy	감정 이입
emperor	황제
emphasis	중요성
emphasize	강조하다
emphatic	강조된
emphysema	기종
empire	제국
empirical	경험적
empiricism	경험주의
employ	고용
employee	종업원
employer	고용주
employment	고용
emporium	백화점
empower	능력을 키우다
empress	황후
emptiness	공
emption	emption
empty	빈
emu	에뮤
emulate	에뮬레이트하다
emulsion	유제
enable	가능하게하다
enablement	인 에이블먼트
enact	제정하다
enactment	제정
enamel	에나멜
encampment	야영지
enchant	호리다
enchanted	마법에 걸린
enchanting	매혹적인
enchantment	마법
enchantress	여자 요술쟁이
enchilada	엔 치일 라
encircle	에워 싸다
encircling	둘러싸고있는
enclave	고립시키다
enclose	넣다
enclosure	울로 둘러싼 땅
encode	인코딩하다
encomiastic	NO TRANSLATION
encomium	전구 물질
encompass	에워 싸다
encore	NO TRANSLATION
encounter	교전
encourage	북돋우다
encouraged	격려의
encouragement	격려
encouraging	격려의
encroach	잠식하다
encroachment	잠식
encrypt	암호화하다
encryption	암호화
encumbrance	방해물
encyclopedia	백과 사전
end	종료
end table	탁자
endanger	위태롭게
endangered	멸종 위기에 놓인
endangerment	위험
endearing	사랑스러워하는
endeavor	노력
ended	끝난
endemic	풍토병
endgame	최종회
ending	종결
endless	끝이없는
endocarditis	심장 내막염
endorse	지지하다
endorsement	배서
endow	부여하다
endowed	기증받은
endowment	자질
endpapers	최종 논문
endpoint	종점
endurance	지구력
endure	견디다
enduring	참을 수 있는
enema	관장
enemy	적
energetic	정력적인
energize	활력을 주다
energy	에너지
enforce	억지로 시키다
enforcement	시행
enforcer	집행자
engage	끌다
engaged	바쁜
engagement	약혼
engaging	매력적인
engender	낳다
engine	엔진
engineer	기사
engineering	공학
engrave	새기다
engraved	새겨 져있는
engraver	조각사
engraving	조각
engrossed	몰두 한
engrossing	몰두하는
engulf	삼키다
enhance	높이다
enhancement	상승
enigma	수수께끼
enigmatic	수수께끼 같은
enjoin	조인하다
enjoy	즐겨
enjoyable	재미있는
enjoying	즐기는
enjoyment	향유
enlarge	크게 하다
enlarged	크게 하는
enlargement	확대
enlighten	밝히다
enlightened	밝은
enlightening	계몽
enlightenment	계발
enlist	입대하다
enliven	활기 있게 만들다
enmity	증오
ennui	권태
enormity	악독
enormous	거대한
enormously	엄청나게
enraged	성나게 하는
enrich	높이다
enroll	싸다
enrollment	등록
ensemble	앙상블
ensign	소위
enslave	노예화
enslaved	예속 된
enslavement	노예화
ensue	...을 찾다
ensure	안전하게 하다
entail	한사 상속
entangled	빠뜨리는
entanglement	녹채
enter	들어가다
enterprise	기업
enterprising	진취적인
entertain	즐겁게 하다
entertained	즐겁게 한
entertainer	연예인
entertaining	재미있는
entertainment	환대
enthralled	매혹적인
enthusiasm	열광
enthusiast	열성가
enthusiastic	열정적 인
entice	꾀다
entire	완전한
entirety	전체
entitle	자격
