Word	zh-CN
defer	延缓
deference	尊重
deferral	延期
deferring	推迟
defiance	蔑视
defiant	目中无人
defibrillator	除颤器
deficiency	不足
deficient	匮乏
deficit	赤字
define	确定
defined	定义
definite	定
definition	定义
definitive	明确
deflate	放气
deflation	放气
deflect	打歪
deflection	偏转
defloration	摘花
deform	变形
deformed	变形
deformity	畸形
defraud	骗取
defray	支付
defrost	除霜
deft	麻利
defunct	停业
defuse	化解
defy	违抗
degeneracy	简
degenerate	退化
degeneration	退化
degradation	降解
degrade	降级
degraded	降级
degrading	降解
degree	度
dehydrated	脱水
dehydration	脱水
dejected	垂头丧气
delay	延迟
delayed	延迟
delectable	美味
delegate	代表
delegation	代表团
delete	删除
deleterious	有害
deletion	缺失
deli	熟食店
deliberate	商榷
deliberation	审议
deliberative	审议
delicacy	美味
delicate	精巧
delicatessen	熟食
delicious	美味的
delight	喜
delighted	欣喜的
delightful	愉快
delineate	勾画
delineation	划定
delinquency	犯罪
delinquent	拖欠的
delirious	发狂的
delirium	谵妄
deliver	交付
deliverance	救出
delivery	交货
dell	戴尔
delta	三角洲
delude	骗
deluge	洪水
delusion	妄想
delusional	妄想
deluxe	豪华
delve	钻研
demand	需求
demanding	严格
demeaned	贬低
demeaning	贬低
demeanor	风度
demented	发狂
dementia	痴呆
demise	让位
demo	演示
democracy	民主
democrat	民主党人
democratic	民主的
demographic	人口
demolish	拆除
demolished	拆除
demolition	拆除
demon	恶魔
demonic	恶魔的
demonstrable	论证
demonstrate	演示
demonstrated	证明
demonstrating	示范
demonstration	示范
demonstrative	示范
demonstrator	示威者
demoralized	士气低落
demos	演示
demure	拘谨
den	NO TRANSLATION
deniability	推诿
denial	否认
denied	否认
denim	牛仔布
denomination	面值
denominational	宗派
denominator	分母
denote	表示
denounce	声讨
dense	稠密
density	密度
dent	凹痕
dental	牙齿
dentist	牙医
dentistry	牙科
dentists	牙医
denunciation	解约
deny	拒绝
denying	否认
deodorant	除臭剂
depart	离开
departed	死者
department	部
departmental	部门
departure	离开
depend	依靠
dependable	可信
dependant	依赖的
dependence	依赖
dependency	依赖
dependent	依赖的
depict	描绘
depicting	描绘
depletion	消耗
deplorable	可悲
deplore	痛惜
deploy	部署
deployment	部署
deport	驱逐出境
deportation	放逐
depose	免职
deposit	存款
depositary	保管人
deposition	沉积
depository	保管人
depot	仓库
depraved	堕落
depravity	腐败
depreciate	贬值
depreciated	贬值
depreciation	折旧
depress	压抑
depressed	郁闷
depressing	压抑
depression	萧条
depressive	抑郁
depresson	NO TRANSLATION
deprivation	剥夺
deprive	剥夺
deprived	剥夺
depth	深度
deputy	副
derail	出轨
deranged	发疯
derelict	被遗弃
derision	愚弄
derivation	求导
derivative	衍生物
derive	派生
dermal	皮肤的
dermatologist	皮肤科医生
dermatology	皮肤科
derogation	减损
derogatory	贬
descend	降落
descendant	后裔
descendent	NO TRANSLATION
descending	降
descent	降落
describe	描述
description	描述
descriptive	描述的
desecrate	虚度
desecration	亵渎
desert	沙漠
deserted	废弃的
deserter	逃兵
desertion	开小差
deserve	值得
deserved	应得
deserving	值得
design	设计
designate	指定
designated	特定
designation	指定
designed	设计
designer	设计师
designing	设计
desirability	可取
desirable	合意
desire	欲望
desiring	希望
desirous	渴望
desist	断念
desk	台
desolate	荒凉
desolation	苍凉
despair	绝望
despairing	绝望
despatch	派遣
desperado	恶棍
desperate	殊死
desperation	绝望
despicable	卑鄙
despise	讨厌
despondent	沮丧
despotic	专制
despotism	独裁
dessert	甜点
destination	目的地
destined	注定
destiny	命运
destitute	贫困
destroy	破坏
destroyed	销毁
destroyer	驱逐舰
destroying	销毁
destruct	毁坏
destruction	毁坏
destructive	有害
detach	分离
detached	超脱
detachment	分离
detail	详情
detailed	详细
details	细节
detain	扣留
detainee	被拘留者
detect	检测
detectable	检测
detection	发现
detective	侦探
detector	探测器
detention	拘留
deter	阻止
detergent	洗涤剂
deteriorate	恶化
deteriorated	恶化
deteriorating	恶化
deterioration	恶化
determinable	确定
determinate	确定的
determination	决心
determine	确定
determined	决心
deterrent	威慑
detest	憎恨
detestation	厌恶的人
detonate	起爆
detonation	引爆
detonator	雷管
detour	車輛改道
detract	减损
detriment	损害
detrimental	有害
detritus	碎屑
deuce	两点
deutschmark	德国马克
devalued	贬值
devastate	蹂躏
devastated	满目疮痍
devastating	破坏性的
devastation	毁坏
develop	发展
developer	开发人员
developing	发展
development	发展
deviant	异常
deviate	偏离
deviating	偏离
deviation	偏差
device	设备
devil	魔鬼
deviled	缠着
devilish	恶魔
devious	歪
devise	设计
devoid	没有
devolution	相传
devolve	下放
devote	奉献
devoted	忠诚
devotee	拥护者
devotion	忠诚
devotional	信仰的
devour	吞食
devout	虔诚的
dew	露
dexter	德克斯特
dexterity	灵巧
dextrose	葡萄糖
diabetes	糖尿病
diabetic	糖尿病患者
diabolical	毒辣
diagnose	诊断
diagnosis	诊断
diagnostic	诊断
diagnostics	诊断
diagonal	对角线
diagram	图
dial	拨号
dialect	方言
dialectic	辩证法
dialogue	对话
dialysis	透析
diameter	直径
diamond	钻石
diamonds	钻石
diaper	尿布
diaphragm	光圈
diarrhea	腹泻
diarrhoea	腹泻
diary	日记
diatribe	诽谤
dib	NO TRANSLATION
dibs	DIBS
dice	骰子
dicey	冒险的
dichotomous	二分法
dichotomy	二分法
dick	迪克
dickhead	dickhead
dicks	迪克斯
dictate	听写
dictation	听写
dictator	独裁者
dictatorial	独裁的
dictatorship	专政
diction	辞
dictionary	字典
dictum	NO TRANSLATION
didactic	教导的
diddle	骗取
die	NO TRANSLATION
died	死亡
diesel	柴油机
diet	饮食
dietary	膳食
differ	不同
difference	区别
differences	分歧
different	不同
differential	微分
differentiation	区别
differently	不同
differing	不同
difficult	难
difficulties	困难
difficulty	困难
diffuse	扩散
diffusion	扩散
dig	NO TRANSLATION
digest	消化
digestion	消化
digestive	消化
digit	数字
digital	数字
dignified	凝重
dignify	褒
dignity	尊严
digress	离题
digs	挖
dike	堤
dilapidated	残破
dilatation	扩张
dilation	扩张
dildo	假阳具
dilemma	困境
diligence	勤勉
diligent	勤奋
dill	莳萝
diluent	冲淡
dilute	稀
diluted	稀
dilution	稀释
dim	暗淡
dime	十分钱
dimension	尺寸
dimensional	尺寸的
diminish	减少
diminished	减少
diminution	缩减
diminutive	爱称
dimwit	笨蛋
din	NO TRANSLATION
dine	用餐
diner	餐车
dinghy	小艇
dingo	野狗
dingy	灰溜溜
dining	用餐
dinky	极小
dinner	晚餐
dinnertime	晚餐时间
dinosaur	恐龙
dint	力
diocesan	教区
diocese	教区
diorama	西洋镜
dioxide	二氧化碳
dip	蘸
diploma	文凭
diplomacy	外交
diplomat	外交官
diplomatic	外交
dipper	杓
dippy	昏头昏脑的
dipstick	试纸
dire	NO TRANSLATION
direct	直接
directed	针对
direction	方向
directive	指示
directly	直
director	导向器
directory	目录
dirt	污垢
dirty	脏
disability	失能
disable	禁用
disabled	残
disadvantage	坏处
disaffected	抱不平的
disagree	不同意
disagreeable	不愉快
disagreeing	不同意
disagreement	异议
disallow	不允许
disallowed	不允许
disapointment	NO TRANSLATION
disappear	消失
disappearance	消失
disappearing	消失
disappoint	辜负
disappointed	失望
disappointing	令人失望
disappointment	失望
disapproval	不赞成
disapprove	不赞成
disapproved	不赞成
disapproving	不赞成
disarm	撤防
disarray	弄乱
disaster	灾害
disastrous	惨重
disband	解散
disbelief	怀疑
disbelieve	怀疑
disburse	支出
disbursement	支出
disc	圆盘
discard	丢弃
discarded	丢弃
discards	丢弃
discern	辨别
discernible	可识别的
discerning	挑剔的
discernment	法眼
discharge	卸货
disciple	弟子
disciplinary	纪律
discipline	学科
disciplined	纪律
disclaim	放弃
disclaimer	放弃
disclose	透露
disclosed	披露
disclosure	泄露
disco	迪斯科
discoloration	变色
discolored	脱色的
discomfort	不舒服
disconcerted	不安
disconcerting	令人不安
disconnect	断开
disconnected	断开的
disconnection	断开
disconnects	断开
discontent	牢骚
discontinuance	废止
discontinue	中止
discontinuity	中断
discontinuous	间断
discord	不和
discount	折扣
discounted	打折
discourage	不鼓励
discouraged	灰心
discouragement	沮丧
discouraging	令人沮丧
discourse	演讲
discover	发现
discovery	发现
discredit	怀疑
discredited	扫地
discreet	NO TRANSLATION
discrepancy	差异
discrete	离散的
discretion	慎重
discretionary	酌
discriminate	辨析
discriminating	鉴别
discrimination	区别
discus	铁饼
discuss	讨论
discussion	讨论
disdain	蔑视
disdainful	蔑视
disease	疾病
diseased	病态的
disembodied	脱离现实
disengage	解开
disengagement	解脱
disfigured	毁容
disgrace	耻辱
disgraced	灰头土脸
disgraceful	可耻
disgruntled	不满
disguise	伪装
disguised	伪装
disgust	厌恶
disgusted	厌恶的
disgusting	讨厌
dish	碟
disheartened	灰心
disheartening	令人沮丧
dishonest	不诚实
dishonesty	不诚实
dishonor	羞辱
dishonorable	不名誉的
dishwasher	洗碗机
disillusionment	幻灭
disinclination	不愿
disincline	几个不愿意
disinclined	懒得
disinfect	消毒
disinfectant	消毒剂
disinfection	消毒
disinformation	造谣
disingenuous	不诚实的
disintegrate	瓦解
disintegration	解体
disinterested	无私
disjoint	不相交的
disjointed	脱节
disjunctive	析取
disk	磁盘
diskette	软盘
dislike	反感
disliked	不喜欢的
disliking	不喜欢
dislocated	脱臼
dislocation	错位
dislodge	打跑
disloyal	不忠的
disloyalty	不忠实
dismal	惨淡
dismantle	拆除
dismay	沮丧
dismayed	沮丧
dismemberment	支解
dismiss	解雇
dismissal	解雇
dismissive	不屑一顾
dismount	下马
disobedience	不服从
disobedient	忤
disobey	违
disorder	紊乱
disordered	混乱的
disorderly	乱
disorganized	杂乱无章
disorientation	迷失方向
disoriented	迷失方向
disown	认
disparage	贬损
disparaging	蔑视
disparate	不同
disparity	差距
dispassionate	冷静
dispatch	调度
dispatcher	调度员
dispel	打消
dispensary	药房
dispensation	分配
dispense	发放
dispenser	饮水机
dispersal	分散
disperse	分散
dispersed	分散
dispersion	分散
dispirited	颓废
displace	顶替
displaced	流离失所
displacement	移位
displacency	displacency
display	显示
displease	得罪
displeased	不快
displeasure	不愉快
disposable	一次性
disposal	处置
dispose	部署
disposed	处置
disposition	性格
dispossessed	一无所有
disprove	驳斥
dispute	争议
disqualification	取消资格
disqualified	取消资格
disqualify	资格
disquieted	不安
disregard	漠视
disregarded	忽视
disrelish	嫌
disreputable	不名誉
disrepute	蒙羞
disrespect	谩
disrespectful	不恭
disrupt	破坏
disrupting	妨害
disruption	瓦解
disruptive	破坏性
dissatisfaction	不满意
dissatisfied	不满意
dissect	解剖
dissection	解剖
disseminate	传播
dissemination	传播
dissension	纠纷
dissent	异议
dissenting	不同意的
dissertation	论文
disservice	帮倒忙
dissident	持不同政见
dissimilar	相异
dissipate	消散
dissipated	消散
dissociation	离解
dissociative	分离性
dissolution	解散
dissolve	溶解
dissonance	不和谐
dissuade	劝阻
distal	远端
distance	距离
distant	遥远
distaste	厌恶
distasteful	令人反感
distillate	馏分
distillation	蒸馏
distilled	蒸馏
distinct	不同
distinction	分别
distinctive	独特
distinguish	区分
distinguishable	可分辨
distinguished	杰出的
distinguishing	区别
distort	歪曲
distorted	扭曲
distortion	失真
distract	转移
distracted	分心
distracting	分心
distraction	娱乐
distraught	发狂的
distress	苦难
distressed	苦恼
distressing	令人痛心
distribute	分发
distribution	分配
distributor	经销商
district	区
distrust	怀疑
disturb	打扰
disturbance	骚乱
disturbed	不安
disturbing	烦扰的
disuse	废弃
disused	废弃
ditch	沟
ditto	同上
ditty	短诗
diurnal	昼夜
diva	耍大牌
divan	NO TRANSLATION
dive	潜水
diver	潜水员
diverge	偏离
divergence	差异
divergent	发散
diverging	发散
divers	潜水员
diverse	多种
diversified	多元化
diversify	多样化
diversion	导流
diversionary	声东击西
diversity	多样
divert	转移
diverting	分流
divest	剥离
divested	剥离
divestment	撤资
divide	划分
divided	分为
dividend	股利
divination	卜筮
divine	神圣
divinity	神
divisible	整除
division	师
divisor	除数
divorce	离婚
divorcee	离婚
divulge	泄露
divvy	瓜分
dizziness	头晕
dizzy	头晕
do	做
doable	可行
doc	DOC
docile	温顺
dock	码头
docked	停靠
docket	案卷
docking	对接
doctor	医生
doctorate	博士学位
doctrinal	教义
doctrine	教义
document	文件
documentary	记录
documentation	文件
documents	文件
dodge	躲闪
dodger	孱
dodging	躲着
dodgy	躲闪的
dodo	渡渡鸟
doe	母鹿
doer	实干家
dog	狗
dogface	狗脸
dogged	困扰
doggy	狗
doghouse	狗窝
dogma	教条
dogmatic	武断的
dogsick	NO TRANSLATION
doings	行为
doit	NO TRANSLATION
dojo	道场
doldrums	低迷
dole	悲
doll	娃娃
dollar	美元
dollhouse	玩具屋
dolor	NO TRANSLATION
dolphin	海豚
domain	域
dome	拱顶
domestic	国内
domesticated	家
domestication	驯化
domicile	住所
domiciled	居籍
dominance	霸主地位
dominant	优势
dominate	支配
dominating	主导
domination	统治
dominatrix	母夜叉
dominion	主权
domino	骨牌
don	不要
donate	捐
donation	捐款
donkey	驴
donor	捐赠者
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	涂鸦
doom	厄运
doomed	注定
doomsday	末日
door	门
doorbell	门铃
doorknob	门把手
doorman	看门人
doormat	门垫
doornail	门钉
doorstep	门阶
doorway	门口
dopamine	多巴胺
dope	涂料
dopey	呆笨的
dork	白痴
dorky	学究气
dorm	宿舍
dormant	休眠
dormitory	宿舍
dorsal	背
dosage	剂量
dose	剂量
dossier	卷宗
dot	点
doting	溺爱的
dotted	点
dotty	疯疯癫癫
double	双
doubled	翻倍
doublet	成对的东西
doubling	加倍
doubt	怀疑
doubtful	疑
doubting	疑
doubtless	毫无疑问，
doubts	疑惑
douche	灌洗
douchebags	douchebags
dough	面团
doughboy	空间Doughboy
doughnut	甜甜圈
dour	严厉
douse	扑灭
dove	鸽子
down	下
downcast	沮丧
downer	唐纳
downfall	倒台
downfield	前冲
downhearted	消沉
downhill	下坡
download	下载
downpour	瓢泼大雨
downright	彻头彻尾
downriver	下游
downside	缺点
downtime	停机
downward	向下
downy	柔和的
dowry	嫁妆
doze	瞌睡
dozen	打
drab	单调
draft	草案
drafty	通风良好
drag	拖动
dragon	龙
dragonfly	蜻蜓
drain	排水
drainage	引流
drained	倒掉
draining	排水
drainpipe	排水管
drake	鸭
drama	戏剧
dramaqueen	NO TRANSLATION
dramatic	戏剧性
drape	悬垂
drapery	布料
drastic	激烈
drat	NO TRANSLATION
draught	草案
draw	画
drawback	退税
drawbridge	吊桥
drawer	抽屉
drawers	抽屉
drawing	画画
dread	恐惧
dreaded	可怕的
dreadful	可怕
dreadfully	可怕
dreading	害怕
dream	梦想
dreamboat	梦中情人
dreamer	梦想家
dreaming	做梦
dreamland	梦境
dreams	梦
dreamt	梦见
dreamy	梦想的
dreary	凄凉
dredge	疏通
drenched	湿透
dress	连衣裙
dresser	梳妆台
dressmaker	裁缝
dressy	考究
dribble	NO TRANSLATION
dried	干
drier	干燥剂
drift	漂移
drifted	漂流
drifter	漂泊
driftwood	浮木
drill	钻头
drink	喝
drinker	酒徒
drinking	喝
drinks	饮料
drip	滴
dripping	滴水
drive	驾驶
drivel	胡说
driver	司机
driveway	车道
drizzle	细雨
droll	滑稽
drone	无人驾驶飞机
drones	无人驾驶飞机
drool	流口水
drooping	下垂
droopy	下垂
drop	下降
droplet	水滴
dropout	退出
dropper	滴管
drought	干旱
drove	NO TRANSLATION
drown	淹
drowsiness	睡意
drowsy	昏昏欲睡
drudgery	苦差事
drug	药物
drug dealing	毒品交易
drugged	迷药
druggist	药剂师
drugs	毒品
drugstore	药店
druid	德鲁伊
drum	鼓
drummer	鼓手
drumming	鼓声
drunk	醉
drunk driving	酒后驾车
drunkard	酒鬼
drunken	醉
drunkenness	酒醉
dry	干
dryer	烘干机
dryness	干燥
dual	双
dualism	二元论
duality	二元性
dub	配音
dubious	可疑
duchess	公爵夫人
duck	鸭
ducking	回避
duckling	小鸭
ducky	鸭子
duct	管
ductile	韧性
dud	无用的人
dude	花花公子
duds	服饰
due	应有
duel	决斗
dues	税
duet	双人
duffel	一种粗呢
dugout	独木舟
duh	咄
duke	公爵
dull	平淡
dullard	笨蛋
dumb	哑
dumbasses	dumbasses
dumbbell	哑铃
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	假
dump	倾倒
dumpling	饺
dumps	转储
dumpster	垃圾箱
dun	逼债
dunce	蠢货
dune	沙丘
dung	NO TRANSLATION
dungeon	地牢
dunk	泡
duo	二人
dupe	欺骗
duplex	双工
duplicate	重复
duplication	复制
duplicity	表里不一
durability	耐久力
durable	耐用
duration	持续时间
duress	胁迫
dusk	黄昏
dusky	昏暗
dust	灰尘
duster	掸
dustpan	簸箕
dusty	尘土飞扬
dutiful	忠实的
duty	义务
dwarf	矮人
dwarfed	所绘
dweeb	呆子
dwell	住
dweller	居住者
dwelling	住宅
dye	染料
dying	垂死
dyke	堤防
dynamic	动态
dynamical	动力
dynamics	动力学
dynamite	炸药
dynamo	发电机
dynasty	王朝
dysentery	痢
dysfunction	功能障碍
dysfunctional	功能失调
dyspepsia	消化不良
eager	急于
eagerness	热心
eagle	鹰
ear	耳
earful	大发牢骚
earl	伯爵
earlier	前
early	早
earn	赚
earnest	认真
earnestly	切实
earnestness	语重心长
earnings	收益
earpiece	听筒
earring	耳环
earrings	耳环
earshot	听不到
earth	地球
earthenware	陶器
earthling	世人
earthly	俗世的
earthquake	地震
earthy	泥土的
ease	缓解
easel	画架
easement	缓和
easily	容易
east	东
eastbound	东行
eastern	东
easy	简单
easygoing	随和
eat	吃
eater	吃
eating	吃
eatingdisorders	NO TRANSLATION
eavesdrop	窃听
eavesdropping	窃听
ebb	落潮
ebony	乌木
ebullient	热情洋溢
eccentric	偏心
eccentricity	怪癖
ecclesiastical	教会
echelon	梯队
echinacea	松果
echo	回声
eclectic	不拘一格
eclipse	蚀
ecliptic	黄道
ecological	生态
economic	经济
economical	经济
economics	经济学
economy	经济
ecosystem	生态系统
ecstasy	狂喜
ecstatic	欣喜若狂
ecumenical	大公
eddy	涡流
edema	浮肿
edge	边缘
edging	边缘
edgy	前卫
edible	食用
edict	法令
edification	熏陶
edifice	大厦
edit	编辑
editing	编辑
edition	版
editor	编辑
editorial	社论
educate	教育
educated	博学
education	教育
educational	教育性
educator	教育家
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	伊克
eel	鳗鱼
eerie	怪异
effect	影响
effective	有效
effectiveness	效用
effects	效果
effectual	有效的
effectually	有效地
effectuate	招致
effeminate	柔弱的
efficacious	有效的
efficacy	功效
efficiency	效率
efficient	高效
effigy	肖像
effort	功夫
effortless	毫不费力
effusion	积液
effyou	NO TRANSLATION
egg	蛋
egghead	理论家
eggnog	蛋酒
eggplant	茄子
eggshell	蛋壳
ego	自我
egomaniac	自大狂
egotistical	自负
egregious	过分的
egress	出口
eight	八
eighteen	十八
eighth	第八
eighty	八十
ejaculate	射出
ejaculation	射精
eject	喷射
ejection	喷出
elaborate	阐述
elaboration	阐述
elan	NO TRANSLATION
elapse	过去
elapsed	过去
elastic	弹
elasticity	弹性
elated	高昂
elation	高昂
elbow	弯头
eld	高龄
elder	长老
elderly	老年
elders	长老
eldest	最年长
elect	选
election	选举
elective	选修
elector	选民
electoral	选
electorate	选民
electric	电动
electric slide	电动滑梯
electrical	电动
electrician	电工
electricity	电力
electrify	通电
electrocute	触电
electrocution	电刑
electromagnetic	电磁
electron	电子
electronic	电子
electronics	电子产品
elegance	优雅
elegant	优雅
element	元件
elemental	元素
elementary	初级
elements	分子
elephant	象
elevate	提升
elevated	提高的
elevation	海拔
elevator	电梯
eleven	十一
eleventh	第十一
elf	小精灵
elicit	引出
eligible	合格
eliminate	消除
elimination	消除
elite	原种
elitist	精英
elixir	酏
elk	麋鹿
ell	埃尔
ellipse	椭圆
ellipsis	省略
ellipsoid	椭球
elliptic	椭圆的
elliptical	椭圆的
elm	榆树
elongate	拉长
elongation	伸长
elope	私奔
eloquence	口才
eloquent	雄辩
elucidate	阐发
elucidation	澄清
elude	躲避
elusive	难以捉摸
emaciated	瘦弱
email	电子邮件
emanate	发出
emancipation	解放
embankment	堤
embargo	NO TRANSLATION
embark	从事
embarrass	阻碍
embarrassed	尴尬
embarrassing	尴尬
embarrassment	困窘
embassy	大使馆
embattled	四面楚歌
embed	嵌
embellish	润
embellishment	点缀
embers	余烬
embezzlement	侵占
embezzler	贪污分子
emblem	徽
emblematic	象征
embodiment	实施例
embolism	栓塞
embossed	压花
embrace	拥抱
embroidered	绣花
embroidery	刺绣
embroiled	卷入
embryo	胎
embryonic	胚胎
emcee	司仪
emerald	翠
emerge	出现
emergence	紧急情况
emergency	急
emeritus	退休
emery	砂
emetophobia	emetophobia
emigrate	移民
emigration	移民
eminence	隆起
eminent	杰出
eminently	突出地
emir	NO TRANSLATION
emissary	使者
emission	排放
emit	发射
emo	EMO
emotion	情感
emotional	情绪化
emotive	感情的
empathic	感情移入的
empathize	同情
empathy	同情
emperor	皇帝
emphasis	重点
emphasize	注重
emphatic	语调强的
emphysema	气肿
empire	帝国
empirical	经验
empiricism	经验主义
employ	采用
employee	雇员
employer	雇主
employment	雇用
emporium	商场
empower	授权
empress	皇后
emptiness	空虚
emption	优先购买权
empty	空
emu	鸸
emulate	仿真
emulsion	乳胶
enable	启用
enablement	启用
enact	制定
enactment	设定
enamel	搪瓷
encampment	扎营
enchant	蛊惑
enchanted	入迷
enchanting	妖娆
enchantment	魅力
enchantress	女巫
enchilada	安吉拉卷
encircle	包围
encircling	包围
enclave	飞地
enclose	括
enclosure	附件
encode	编码
encomiastic	NO TRANSLATION
encomium	encomium
encompass	环绕
encore	NO TRANSLATION
encounter	遭遇
encourage	鼓励
encouraged	鼓励
encouragement	鼓励
encouraging	鼓舞人心的
encroach	侵犯
encroachment	侵犯
encrypt	加密
encryption	加密
encumbrance	累赘
encyclopedia	百科全书
end	结束
end table	茶几
endanger	危害
endangered	濒危
endangerment	危害
endearing	优胜
endeavor	努力
ended	结束
endemic	流行
endgame	结束游戏
ending	结尾
endless	无穷
endocarditis	心内膜炎
endorse	拥护
endorsement	背书
endow	赋予
endowed	天赋
endowment	天赋
endpapers	扉页
endpoint	端点
endurance	耐力
endure	忍受
enduring	持久
enema	灌肠剂
enemy	敌人
energetic	有活力
energize	通电
energy	能源
enforce	执行
enforcement	强制
enforcer	实施者
engage	从事
engaged	订婚
engagement	订婚
engaging	卡
engender	产生
engine	发动机
engineer	工程师
engineering	工程
engrave	雕刻
engraved	刻
engraver	雕刻机
engraving	雕刻
engrossed	全神贯注
engrossing	引人入胜
engulf	吞噬
enhance	提高
enhancement	增强
enigma	谜
enigmatic	神秘
enjoin	责成
enjoy	请享用
enjoyable	其乐融融
enjoying	享受
enjoyment	享受
enlarge	放大
enlarged	放大
enlargement	放大
enlighten	开导
enlightened	开明
enlightening	启发
enlightenment	启示
enlist	招募
enliven	活跃
enmity	敌意
ennui	无聊
enormity	艰巨
enormous	巨大
enormously	巨大
enraged	生气
enrich	丰富
enroll	注册
enrollment	注册
ensemble	合奏
ensign	军旗
enslave	奴役
enslaved	奴役
enslavement	奴役
ensue	接踵而至
ensure	确保
entail	意味着
entangled	纠缠
entanglement	纠葛
enter	输入
enterprise	企业
enterprising	进取
entertain	招待
entertained	封盘
entertainer	艺人
entertaining	娱乐
entertainment	娱乐
enthralled	如醉如痴
enthusiasm	热情
enthusiast	爱好者
enthusiastic	热情
entice	诱惑
entire	整个
entirety	整体
entitle	有权
entity	实体
entomology	昆虫学
entourage	随行人员
entrails	腑脏
entrance	入口
entrapment	滞留
entreat	恳求
entree	主菜
entrepreneur	企业家
entrust	委托
entry	条目
enumerate	枚举
enumeration	列举
envelope	信封
envious	羡慕
environ	NO TRANSLATION
environment	环境
environmental	环境的
environs	周围
envision	预见
envoy	使者
envy	羡慕
enzyme	酶
ephemeral	短暂的
ephemeris	历书
epic	史诗
epidemic	疫情
epidermis	表皮
epidural	硬膜外
epilepsy	癫痫
epileptic	癫痫
epilogue	结语
epiphany	顿悟
episcopal	主教
episode	插曲
episodic	情节
epistle	书信
epitaph	墓志铭
epithet	称号
epitome	缩影
epoch	时代
equal	等于
equality	平等
equalization	均衡
equalize	均衡
equalizer	均衡器
equally	一样
equate	等同
equation	方程
equator	赤道
equatorial	赤道
equestrian	骑马的
equidistant	等距离
equilibration	平衡
equilibrium	平衡
equip	装备
equipment	设备
equitable	公平
equity	公平
equivalence	等价
equivalent	当量
equivocal	暧昧
era	时代
eradicate	根除
eradication	根除
erase	抹去
eraser	橡皮
erasure	擦除
ere	NO TRANSLATION
erect	直立
erectile	勃起
erection	勃起
ergo	NO TRANSLATION
erode	侵蚀
erosion	侵蚀
erotic	好色之徒
erotica	黄色书刊
err	呃
errand	使命
errant	对不按
erratic	不稳定的
erratum	误排
erroneous	错误
error	错误
erst	NO TRANSLATION
erudite	博学
erupt	爆发
eruption	喷发
escalade	凯雷德
escalate	升级
escalating	不断升级
escalation	升级
escalator	自动楼梯
escape	逃逸
escaped	逃脱
escarpment	断崖
eschew	避
escort	护送
escrow	第三方托管
esophagus	食管
esoteric	深奥
especial	NO TRANSLATION
espionage	间谍
espouse	拥护
espresso	浓咖啡
esprit	ESPRIT
esquire	男性尊称
essay	文章
essayist	散文家
essence	本质
essential	必要
essentially	实质上
establish	建立
established	既定
establishment	编制
estate	房地产
esteem	尊重
esteemed	尊敬
esthetic	审美的
estimable	难能可贵
estimate	估计
estimation	估计
estoppel	禁止反言
estranged	疏远
estrogen	雌激素
estuary	河口
etch	蚀刻
etching	蚀刻
eternal	永恒
eternity	永恒
ethanol	乙醇
ether	醚
ethereal	空灵
ethic	伦理
ethical	合乎道德的
ethics	伦理
ethnic	民族
ethnography	民族志
etiology	病因
etiquette	礼仪
etymology	词源
eucalyptus	桉树
euchre	尤卡朴克
eugenics	优生学
eulogistic	歌功颂德
eulogium	eulogium
eulogize	讴歌
eulogy	颂
euphemism	婉辞
euphoria	欣快症
euphoric	欣快
euro	欧元
euthanasia	安乐死
evacuate	撤离
evacuation	疏散
evade	逃避
evaluate	评估
evaluation	评测
evanescence	伊凡塞斯
evangelical	福音
evangelist	传道
evangelistic	福音书作者的
evaporate	蒸发
evaporation	蒸发
evasion	逃避
evasive	逃避的
eve	前夕
evening	晚间
evens	NO TRANSLATION
event	事件
eventful	多事
eventual	最终
eventuality	可能性
evergreen	常绿
everlasting	永恒的
evermore	永
everyday	每天
everyman	每个人
evict	赶出
eviction	赶出
evidence	证据
evident	明显
evidentiary	证据
evil	邪恶
evoke	唤起
evolution	演化
evolutionary	发展的
evolve	发展
ewe	母羊
ex	前
exacerbate	加剧
exacerbation	恶化
exact	精确
exacting	严格
exaggerate	夸大
exaggerated	夸张的
exaggeration	夸张
exalt	捧
exaltation	提高
exalted	崇高的
exam	考试
examination	检查
examine	检查
examiner	检查员
example	例
exasperated	激怒
exasperation	恼怒
excavate	挖掘
excavation	挖掘
excavator	挖掘机
exceed	超过
exceeding	超额
excel	高强
excellence	卓越
excellent	优秀
excelsior	精益求精
excepting	除外
exception	例外
exceptional	优秀
excerpt	摘抄
excess	过量
excessive	过多
excessively	过分地
exchange	交换
excise	摘除
excision	切除
excitability	刺激性
excitable	兴奋
excitation	励磁
excite	激发
excited	兴奋
excitement	激动
exciting	扣人心弦
exclaim	喊叫
exclamation	感叹
exclude	排除
excluded	排除
excluding	排除
exclusion	排除
exclusive	独家
excrement	粪便
excretion	排泄
excruciating	痛苦
excursion	短途旅行
excuse	借口
exec	EXEC
execute	执行
execution	执行
executioner	刽子手
executive	行政人员
executor	执行者
exegesis	注释
exemplar	模范
