Word	so
coming	soo socda
comma	jamac
command	amar
commandant	taliyaha
commandeer	taliyaha
commander	taliyaha
commanding	amarka
commandment	amar
commando	taliyaha
commemorate	xusuuso
commemoration	xusuusin
commemorative	xusuusin
commence	bilawga
commend	ammaanaan
commendable	la ammaano
commendation	ammaan
commensurate	isku habboon
comment	faallo
commentary	faallo
commentator	faalloode
commerce	ganacsiga
commercial	ganacsi
commie	adigu
commissary	ku-xigeen
commission	komishanka
commissioner	guddoomiyaha
commit	gasho
commitment	ballanqaad
committal	fulinta
committed	geysatay
committee	guddi
commodity	badeecada
commodore	badeecada
common	caadi ahaan
commoner	wadaag
commonly	caadi ahaan
commonplace	caadi ahaan
commons	wadaag
commonwealth	wadashaqeyn
commotion	buuq
communal	wadajir
commune	wadahadal
communicable	la is fili karo
communicate	xiriirin
communication	isgaarsiinta
communicative	xiriirin
communicator	xiriiriyaha
communion	wadaagid
communism	wada-xaajoodka
communist	Komishanka
community	bulshada
commutation	sigaarka
commutative	istiraatiiji
commute	raac
commuter	gawaarida
comp	comp
compact	isweydaarsi
compaction	isweydaarsiga
compactness	isdhexgalka
companion	saaxiibka
companionless	wada-shaqeyn la'aan
companionship	saaxiibtinimo
company	shirkad
comparable	la barbar dhigi karo
comparative	isbarbardhig
comparatively	marka loo eego
compare	isbarbardhig
comparison	isbarbardhig
compartment	qaybta
compass	kulaylka
compassion	naxariis
compassionate	naxariis
compatibility	waafaqsanaanta
compatible	waafaqsan
compel	qasab
compelled	qasbay
compelling	ku qasban
compendium	lafilayo
compensate	magdhow
compensation	magdhow
compensatory	magdhow
compete	tartan
competence	karti
competency	karti
competent	karti leh
competition	tartanka
competitive	tartan
competitor	tartan
compilation	is-ururinta
compile	isku dar
complacency	isqabad la'aan
complacent	waafaqsan
complain	cabasho
complaint	cabasho
complement	dhammeystirid
complementary	isku dhafan
complete	dhammeystiray
completed	dhammeystiray
completely	gebi ahaanba
completeness	dhamaystiran
completing	dhammeystirid
completion	dhammeystiraan
complex	isku dhafan
complexed	isku dhafan
complexion	isku dhafka
complexity	kakanaanta
compliance	waafajinta
compliant	waafaqsan
complicate	dhib badan
complicated	dhib badan
complication	Dhibaato
complicity	dhibaatada
compliment	NO TRANSLATION
complimentary	Tilmaamo
comply	hoggaansamaan
complying	raacsan
compo	compo
component	qayb
compose	abuura
composed	ka kooban
composer	kombuyuutar
composite	isku dhafan
composition	ka kooban
compost	compost
composure	riwaayado
compound	unug
comprehend	fahmid
comprehension	fahamka
comprehensive	dhamaystiran
compress	ku cadaadi
compressed	waa la jabiyay
compressible	cadaadin kara
compression	xakameyn
compressor	kombuyuutar
comprise	ka kooban
compromise	tanaasulka
comptroller	kantaroole
compulsion	qasab
compulsive	qasab ah
compulsory	khasab ah
computable	xisaabtan
computation	xisaabinta
compute	xisaabi
computer	kombuyuutar
computerized	kumbiyuutar
computing	xisaabinta
comrade	wadaad
con	NO TRANSLATION
concatenation	isku xirka
concave	qaboojin
conceal	qarinta
concealed	qarsoodi ah
concealment	qarsoodi
concede	dhicin
conceit	jaahwareerka
conceited	adeeca
conceivable	waa la arki karaa
conceive	uur yeelato
concentrate	xoogga saar
concentration	xoojinta
concentric	isku dhafid
concept	fikradda
conception	ra'yiga
concern	walaac
concerned	welwel
concert	riwaayad
concerto	concerto
concession	lacag dhimis
concessional	dhammaystirnaanta
conch	qallayl
concierge	xirxiray
conciliation	heshiisiin
concise	dhajin
conclave	gabagabo
conclude	gabagabeyn
concluding	gabagabeyn
conclusion	gabagabeyn
conclusive	dhammaystiran
concoction	dib u celinta
concomitant	wada jir
concord	heshiis
concordance	dhammaystirnaanta
concours	NO TRANSLATION
concourse	dhicin
concrete	la taaban karo
concubine	adeerkiis
concur	heshiis
concurrence	is-waafajinta
concurrent	isku dhafan
concurring	isku dhafan
concussion	maskaxda
condemn	cambaareyn
condemnation	ciqaab
condensation	gogol
condensed	kondensed
condescending	kicinta
condescension	gorgortanka
condiment	conduction
condition	xaalada
conditional	shuruudaha
conditionally	xaalad ahaan
conditioned	xaalada
conditioner	qaboojiyaha
conditioning	qaboojinta
conditions	xaaladaha
condo	gooyo
condolence	tacsi
condolences	tacsi
condom	kondoom
condone	oggolaan
condor	kondom
conducive	ku habboon
conduct	dhaqanka
conduction	gudbinta
conductivity	qabashada
conductor	gudbiye
conduit	biyomareenka
cone	shey
confederacy	isku xirnaansho
confederate	isku xirka
confederation	isku xirka
confer	bixiyaan
conference	shir
confess	qirasho
confession	qirasho
confessional	qawaaniinta
confessions	qirasho
confetti	qarsoodi ah
confidant	kalsooni
confide	kalsooni
confidence	kalsooni
confident	kalsooni
confidential	qarsoodi ah
confidentiality	sirta
confidentially	NO TRANSLATION
configuration	qaabeynta
confine	xayiraan
confined	xiran
confinement	xiritaanka
confines	xayiraa
confirm	xaqiijin
confirmation	xaqiijin
confirmatory	xaqiijin
confirmed	xaqiijiyay
confiscate	qarsoodi
confiscation	la wareegida
conflagration	isku dhaca
conflict	isku dhac
conflicting	isku dhac
confluence	isku-xidhka
conform	waafaqsan yahay
conformance	raacsan
conformation	NO TRANSLATION
conformity	waafaqsanaanta
confound	qatar
confounded	aad u baqday
confront	hortaagan
confrontation	iska hor imaad
confuse	khaldan
confused	wareersan
confusing	jahwareer
confusion	wareer
conga	conga
congenial	dhasha
congenital	ku dhasha
congestion	ciriiriga
conglomerate	shirarka
conglomeration	shirarka
congrats	soo bandhigay
congratulate	Hambalyo
congratulation	Hambalyo
congratulations	Hambalyo
congratulatory	Hambalyo
congregate	Iskuday
congregation	shir
congress	shirarka
congressional	shirarka
congressman	xildhibaan
congruence	isku dhafka
conic	conic
conical	furan
conjecture	maleyn
conjugal	isku xirka
conjugate	isku xir
conjugation	isku xirnaanta
conjunction	isku xirnaanta
conjunctive	isku xirka
conjure	isku dhejin
conjuring	isku xidhka
conk	isku xirka
connect	isku xir
connected	ku xiran
connection	xiriirka
connective	isku xirka
connoisseur	xiriiriye
conquer	guulaysta
conquering	guuleysiga
conqueror	guulaysta
conquest	guulaysta
conscience	damiirka
conscientious	si daacad ah
conscious	miyir
consciousness	miyirka
conscription	askar
consecrated	Qudheeta
consecration	Quduuska ah
consecutive	isku xiga
consensual	ogolaansho
consensus	isku raacsan
consent	oggolaansho
consenting	oggolaanshaha
consequence	natiijada
consequent	natiijada
conservation	ilaalinta
conservatism	konservatism
conservative	konservative
conservatory	riwaayado
conserve	ilaalin
consider	tixgeli
considerable	muhiim ah
considerate	tixgelin
consideration	tixgelinta
consignee	iibsadaha
consignment	isugeynta
consist	wuxuu ka kooban yahay
consistency	joogteynta
consistent	si joogto ah
consolation	farxad
console	konsole
consoled	qiray
consolidate	isku dhafka
consolidated	isku dhafan
consolidation	isku-dhafid
consonant	qadarin
consort	wadajir
conspicuous	muuqaal ah
conspiracy	shirqool
conspirator	shirqool
conspire	shirqool
constable	kalsooni
constancy	joogtayn
constant	joogto ah
constantly	si joogto ah
constellation	qalabeyn
consternation	xarrago
constipation	caloosha
constituency	degaan
constituent	xubin
constituents	qaybaha
constitute	waxay noqoneysaa
constitution	dastuur
constitutional	dastuuri
constitutionality	dastuuri
constrain	xanibaada
constrained	xaddidan
constraint	caqabada
construct	dhiso
construction	dhismaha
constructive	dhiska
construe	xaddid
consul	qunsul
consulate	qunsuliyad
consult	la tasho
consultant	la taliye
consultation	la-talin
consume	isticmaalaan
consumer	macaamiisha
consuming	qaadashada
consummate	dhammaystiran
consummation	dhammaystirka
consumption	isticmaalka
contact	la xiriir
contagion	faafinta
contagious	faafi
contain	waxaa ku jira
container	weelka
containment	xaddidaadda
contaminate	wasakhaysan
contaminated	wasakhaysan
contamination	wasakheynta
contemplate	fikiri
contemplation	aragti
contemplative	aragti
contemporaneous	Mawduuc
contemporary	casriga ah
contempt	ixtiraamka
contemptible	cabsigelin
contemptuous	quudhsan
contend	tartan
contender	tartan
contending	tartamaya
content	content
contented	ku qancay
contention	dood
contentious	muran
contentment	ku qanacsan
contents	ka kooban
contest	tartanka
contestant	tartan
context	macnaha guud
contiguous	marxalad
continence	ceshadka
continent	qaaradda
continental	qaaradda
contingency	xaalad degdeg ah
contingent	ku-siman
continual	joogto ah
continually	si joogto ah
continuance	sii wadista
continuation	sii wad
continue	sii wad
continued	sii waday
continuing	socota
continuity	joogto ah
continuous	joogto ah
continuously	si joogto ah
continuum	joogto ah
contour	galka
contraband	ka hortag
contraception	ka hortagga uurka
contract	qandaraaska
contracted	qandaraasle
contractile	qandho leh
contracting	Heshiiska
contraction	foosha
contractor	qandaraasle
contradict	horjeeda
contradiction	ka horjeeda
contradictory	iska hor imaadka
contraption	khilaafka
contrary	ka hor
contrast	kala duwan
contrasted	ka soo horjeeda
contravene	horjeeda
contravention	khilaafka
contribute	ku biir
contribution	kaalmo
contributor	kaaliye
contrite	tixgelin
contrition	iskudubarid
contrived	ka soo horjeeday
control	xakamaynta
controller	xakameyn
controlling	xakamaynta
controversial	muran
controversy	muran
contusion	khatarta
conundrum	Dhibaato
convalescent	dhejis
convection	qallajinta
convene	shirarka
convenience	roonaanta
conveniences	fududeyn
convenient	haboon
convent	kireysiga
convention	shirarka
conventional	caadiga ah
converge	isku dhafka
convergence	isku duwidda
convergent	isku dhafan
conversant	wadahadal
conversation	wada hadalka
conversational	wadahadal
conversationalist	wada-xaajoodka
converse	wada hadal
conversing	wada sheekeysiga
conversion	beddelaad
convert	badalashada
converted	beddelay
convertible	la beddeli karo
convex	shirarka
convexity	shuruudaha
convey	gudbin
conveyance	gaadiidka
conveyancing	gaadiidka
convict	xukun
conviction	xukun
convince	qanciso
convinced	ku qancay
convincing	qancinta
convocation	shirarka
convoluted	xayiray
convolution	garsoorka
convoy	kolonyo
coo	coo
cook	kariyo
cookbook	cunto kariska
cooker	karinta
cookery	cunto karis ah
cookie	cookie
cookies	cookies
cooking	karinta
cookout	kariska
cool	qabow
coolant	qaboojiye
cooler	qaboojiyaha
cooling	qaboojinta
coolness	qaboojin
coon	coon
coop	coop
cooperate	iskaashi
cooperating	wada shaqeyn
cooperation	iskaashi
cooperative	iskaashi
coordinate	isku duwo
coordination	isuduwidda
coordinator	iskuduwaha
cop	booliska
copacetic	NO TRANSLATION
cope	la qabsasho
copier	copier
copilot	copylot
coping	la qabsashada
copious	badan
copper	naxaas
copter	mashiinka
copy	nuqul
copycat	copycat
copying	koobi
copyright	xuquuqda daabacaadda
coral	madoow
coral snake	masal udgoon
cord	xadhig
cordial	xorriyad
cordless	xadhig la'aan
cordon	cordon
corduroy	corduroy
core	asaasiga ah
cork	digaagga
corkscrew	qalajiyey
corn	hadhuudh
cornball	kubbadda gacanta
cornbread	rootbread
cornea	ballaadhan
corned	xadhig ah
corner	gees
cornerstone	dhagax weyn
cornet	wareg
cornfield	hadhuudh
cornflakes	NO TRANSLATION
cornice	darbiga
cornstarch	galleyda
corny	hambalyo
corollary	dhirta
corona	corona
coronary	Dhakhtar
coronation	dharbaaxo
coroner	meydka
corporal	jirka
corporate	shirkad
corporation	shirkad
corporeal	dharbaaxo
corps	meydka
corpse	meydka
corpsman	meydka
corpus	dhejis
corral	saxarada
correct	sax
correction	saxitaanka
correctional	sixitaan
corrective	sixitaanka
correctness	saxsanaanta
correlation	isku xirka
correlative	Xiriirinta
correspond	isku xir
correspondence	waraaqaha
correspondent	wariye
corresponding	u dhiganta
corridor	waddada
corroborate	caddayn
corroboration	Xaqiijinta
corrosion	dunta
corrosive	xoqan
corrupt	musuqmaasuq
corrupting	musuqmaasuq
corruption	musuqmaasuq
corsage	corsage
corse	NO TRANSLATION
corset	corset
cortex	kortex
cortical	kortikal
cortisone	cortisone
corvette	corvette
cosmetic	qurxiyo
cosmetics	qurxinta
cosmic	cosmic
cosmology	cosmology
cosmopolitan	cosmopolitan
cosmos	cosmos
cost	kharashka
costly	qaali ah
costume	dharka
cosy	raaxo
cot	sariirta
cote	xadhig
cottage	aqalada
cotton	suuf
couch	fadhiga
cougar	galka
cough	qufac
council	Golaha
councilman	goleyaal
counsel	talo
counseling	la-talin
counsellor	la taliye
counselor	la taliye
count	tiri
countdown	dib u qabso
countenance	waji
counter	miiska
counteract	ka hortag
counterattack	weerarka
counterbalance	isu dheellitirnaanta
counterclaim	ka soo horjeeda
counterfeit	been-abuur
counterpart	mawduuc
counterpoint	counterpoint
countess	tirinta
countless	tiro aan lahayn
country	waddanka
countryman	waddanka
countrymusic	NO TRANSLATION
countryside	baadiyaha
counts	tirayaa
county	gobolka
coup	kufsi
coupe	Coupe
couple	laba qof
coupled	ku xiran
coupling	isku xirka
coupon	koobi
courage	geesinimo
courageous	geesinimo
courier	gawaarid
courses	koorsooyinka
coursing	koorso
court	maxkamad
courteous	naclad leh
courtesy	qadarin
courthouse	maxkamadda
courtroom	qolka maxkamadda
courts	maxkamadaha
courtship	wadahadal
courtside	Maxkamadaha dhexdooda
courtyard	barxad
cousin	adeer
cousins	ilma adeer
cove	rabbi
coven	dadka
covenant	axdiga
cover	dabool
coverage	caymiska
covered	daboolay
covering	daboolaya
covert	qarsoodi ah
covet	raaca
coveted	oo yaa ballanqaaday
cow	lo'da
coward	fulayo
cowardice	fuleynimo
cowardly	fulaynimo
cowboy	cowsboy
cowgirl	cowgirl
cowhand	cowhand
cowhide	cowhide
cowl	cowl
coworker	shaqeeye
coy	shuban
coyote	qaboojiyaha
cozy	raaxo
crab	dib u habeyn
crabby	nacas
crack	crack
cracked	dillaacay
cracker	qashin
crackerjack	crackerjack
cracking	burburinta
crackle	jabsan
crackpot	crackpot
cradle	xirmooyinka
craft	farsamada
crafts	farshaxan
craftsman	farshaxan
craftsmanship	farshaxanka
crafty	khiyaano
craig	craig
cram	nacas
crammed	nadiifiyay
cramp	casiraad
cramped	gariir badan
cranberry	karraaniga
cranberry juice	casiirka karinta
crane	crane
cranial	midab
cranium	yurub
crank	qaboojiye
cranky	murugeysan
cranny	nacasnimo
crap	jahwareer
crappy	murugo
craps	burburi
crash	shil
crass	ciriiri
crate	jaraan
crater	duufaan
crave	duco
craving	niyad jab
crawfish	kalluunka
crawl	riix
crayon	muraayad
crayons	qalimaan
craze	duufaan
crazed	naxdin leh
craziness	murugo
crazy	Waali
creak	creak
creaking	Creaking
cream	kareemka
creamed	mulkiilay
creamer	labeen
creamy	creamy
crease	dhajinta
create	abuur
creation	abuurista
creative	hal-abuur
creativity	hal-abuurka
creator	abuuraha
creature	abuuray
credence	aqoonsi
credential	aqoonsiga
credentials	Aqoonsiyada
credibility	kalsoonida
credible	ansax ah
credit	amaahda
credit card	kaarka deynta
creditable	creditable
credited	la xisaabiyay
crediting	deynta
creditor	amaahiye
creed	caqiido
creek	digaaga
creep	boodh
creeper	niyad jab
creeping	duulaya
creepy	boodh
cremation	boobka
creole	abuurka
crepe	shaqaalaha
crescendo	Crescendo
crescent	bicer
crest	cayayaanka
crestfallen	duufaan
cretin	gaajo
cretins	qalloocan
crevice	duufaan
crew	shaqaalaha
crewman	shaqaalaha
crib	sariirta
cricket	Cricket
cried	qayliyay
crime	dembi
criminal	dambi
criminality	dembi
crimp	dembiile
crimson	duufaan
cringe	xajin
cripple	nacas
crippled	curyaan
crippling	curyaan
crisis	dhibaato
crisp	buuq
crispy	qoyan
criterion	qiyaasta
critic	naceyb
critical	muhiim ah
criticise	dhaleeceeyo
criticism	naqdin
criticize	dhaleeceeyo
criticized	naqdiyay
critique	naceyb
critter	dhibcaha
croak	sariirta
croc	timo
crock	qolof
crockery	qashinka
crocodile	yaxaaska
croft	xayawaanka
croissant	nacas
crook	qallooca
crooked	qalloocan
crop	dalagga
croquet	qolka
cross	iskutallaabta
cross country	waddanka oo dhan
crossbow	isbaaro
crossed	gooyay
crossfire	iskutallaabta
crossing	gudbinta
crossover	gudbinta
crosswalk	isgoyska
crossword	gaaban
crotch	xargog
crouch	xir
crouched	xirxiray
crouching	qulqulaya
croupier	croupier
crow	badiyay
crowbar	badbar
crowd	dad badan
crowded	dad badan
crowds	dad badan
crown	taajkii
crowning	taajirnimo
crucial	muhiim ah
cruciate	muhiim ah
crucifix	Crucifix
crucifixion	iskutallaabta
crucify	iskutallaabta
crud	qolof
crude	adag
cruel	naxariis badan
cruelly	si naxariis leh
cruelty	nacayb
cruise	safar
cruise ship	markab xamuul ah
cruiser	miisaan
cruising	socodka
crumb	jeexan
crumble	uuraysta
crumbling	burburin
crummy	qallafsan
crunch	qadarin
crunchy	qallalan
crusade	murugo
crusader	silsilad
crush	burburin
crushed	jajabiyey
crusher	burburiyaha
crushing	burburinta
crust	qolof
crusty	qallafsan
crutch	qalab
crux	shumis
cry	oohin
crybaby	crybaby
crying	oohin
crypt	qosol
cryptic	dhirbaaxo
cryptography	cryptography
crystal	kareem
crystalline	kristaliin
crystallization	kristaleynta
cub	dabka
cubby	cubby
cube	cube
cubic	dhirir
cubicle	buur
cuckold	ciriiriga
cuckoo	Cuckoo
cucumber	qajaar
cuddle	guntiga
cuddled	jilicsan
cuddles	jilicsan
cuddling	xannaaneyn
cue	cue
cuff	cuff
cuisine	cunnada
culinary	Cuntada
cull	jilicsan
culminate	ugu dambeyntii
culmination	culeyska
culpability	suudaan
culpable	dambi ah
culprit	dambiile
cult	cult
cultivate	beerashada
cultivated	beeray
cultivation	beerashada
cultural	dhaqanka
culture	dhaqanka
cultured	dhaqameed
culvert	culeys
cumbersome	adag
cumulus	gumeysi
cunning	caqli
cunt	Cuntada
cup	Koobka
cupboard	koobbi
cupcake	koobbi
cupping	koobbi
cur	cur
curable	la daaweyn karo
curate	curate
curative	daaweyn
curator	curiye
curb	xakamaynta
curd	curd
cure	daaweyn
curfew	bandow
curiosity	xiisaha
curious	cajiib ah
curl	curl
curling	curling
currency	lacagta
current	hadda
curriculum	Manhajka
curry	curry
curse	habaartaa
cursed	waa la habaaray
cursing	naclad
cursory	cursory
curt	curt
curtail	xayiraad
curtailment	yareynta
curtain	daahir
curtains	daahyada
curtsy	curyaamid
curvature	curvature
curve	curve
curved	gooyay
curvilinear	curvilinear
cushion	barkinta
cushy	cushy
cusp	cusp
cuss	cuss
cussed	ruxay
custard	haysashada
custodial	haynta
custodian	masuulka
custody	haynta
custom	caadada
customary	caan ah
customer	macmiil
customized	loo habeeyay
cut	gooyaa
cutaneous	qashinka
cute	cute
cuticle	xajin
cutie	cutie
cutlass	xayeysiis
cutlery	cutlery
cutoff	gooyay ama jaray
cutter	cutter
cutters	jaranjaro
cutthroat	gooyo
cutting	jarida
cutting board	jarista
cuttings	gooyn
cwt	cwt
cyanide	cyanide
cyberspace	shabakadda
cycle	wareegga
cyclical	duufaan
cyclist	baaskiilka
cyclone	duufaan
cylinder	silyley
cylindrical	cylindrical
cymbal	heeso
cynic	cynic
cynical	caynical
cynicism	qalbi xumo
cyst	cyst
cystic	cystic
cytomegalovirus	cytomegalovirus
cytoplasm	cytoplasm
czar	czar
dab	dab
dabble	sheyga
dabbling	gabbasho
dad	aabe
daddy	aabe
dado	NO TRANSLATION
daemon	daemon
daft	dheef
dagger	toorreey
daily	maalin walba
dainty	dainty
daiquiri	daiquiri
dairy	caano
daisy	Daisy
dak	NO TRANSLATION
dale	dale
dam	biyo
damage	dhaawac
damaged	dhaawacmay
damages	magdhow
dame	dame
damn	damn
damnation	dammaanad
damned	lumay
damp	qoyan
dampened	dampened
damper	damper
damsel	gabadh
dance	qoob ka ciyaarka
dancer	cayaaraha
dancing	qoob ka ciyaarka
dandruff	xannibaadda
dandy	dandy
danger	khatarta
dangerous	halis ah
dangerously	halis ah
dangit	NO TRANSLATION
dangle	dangle
dank	NO TRANSLATION
dapper	dapper
dare	isku day
daredevil	daredevil
daresay	daresay
daring	darid
dark	madow
darken	madow
darkened	madow
darkly	madow
darkness	gudcur
darkroom	madow
darkside	madow
darling	jacayl
darn	darn
dart	dar
dash	xishoodka
dashboard	dashboard
dashed	gooyay
dashing	nadiifinta
dastardly	dastardly
data	xogta
database	xogta
date	taariikhda
datenight	NO TRANSLATION
daughter	gabadh
dawdle	dawdle
dawn	waaba
dawned	oo kacday
day	maalin
daybreak	dayrta
daycare	xanaanada caruurta
daydream	daydream
daydreaming	daydreaming
daylight	dayrka
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	maalintii
daze	daze
dazed	gariiray
dazzle	yaabay
dazzling	naxdin leh
deacon	deacon
deactivate	joojin
dead	dhintay
deadbeat	dhimasho
deadline	ugu dambeyntii
deadlines	waqtiyada loo qabtay
deadlock	dhimasho
deadly	dhimasho
deaf	dhagool
deafening	Dhegeysiga
deafness	dhega la'aanta
deal	heshiis
dealer	iibiyaha
dealership	ganacsiga
dealing	wax ka qabashada
dealings	waxqabadka
dean	dean
dear	qaali
dearest	qaali
dearth	dearth
death	dhimasho
deathbed	dhimasho
deathly	dhimasho
debacle	ciribtirka
debased	debed
debatable	la xalin karo
debate	Dood
debauchery	dhibaatada
debenture	deynta
debilitating	Dhibaatada
debit	debit
debrief	dulqaad
debriefing	dood-bixinta
debris	burburka
debt	deyn
debtor	deynta
debut	ugu horeyn
debutante	horudhac
decade	toban sano
decadence	cows
decadent	ciriiri
decaf	saaran
decanter	decanter
decathlon	decathlon
decay	burburay
decayed	burburay
decaying	burburinta
deceased	dhintay
decedent	ficil
deceit	khiyaanada
deceitful	khiyaanayn
deceive	khiyaamo
deceived	la khiyaaneeyey
deceiving	khiyaanayn
december	Diseembar
decency	daacadnimo
decent	fiican
deception	been-abuur
deceptive	khiyaano
decide	go'aanso
decidedly	go'aansadeen
deciduous	go'doomin
decimal	tobanle
decimeter	decimeter
decipher	fadlan
decision	go'aanka
decisive	go'aamiye
deck	qashinka
declaration	cadeyn
declaratory	cadeyn
declare	sheeg
declination	hoos u dhac
decline	hoos u dhac
declining	hoos u dhac
deco	deco
decode	go'aamiyo
decoder	decoder
decompose	burburin
decomposed	gooyay
decomposition	burburinta
decompress	xakameynaya
decompression	fadeexad
decontamination	sun-saaridda
decor	qurxinta
decorate	qurxin
decorating	qurxinta
decoration	qurxinta
decorative	qurxinta
decorator	qurxinta
decorum	dariiqa
decoy	qoyaan
decrease	hoos u dhac
decreased	hoos u dhacay
decreasing	hoos u dhac
decree	amar
decrement	hoos u dhac
decrepit	dhimasho
decry	gooyso
decryption	furfurid
dedicate	adoo dedejinaya
dedication	ku kalsoonaanta
deduce	iska dhig
deduct	ka jarid
deductible	laga jari karo
deduction	dhimista
deed	shaqeeyey
deejay	deejay
deem	deem
deep	qoto dheer
deepen	qoto dheer
deer	deer
defamation	jaahwareerka
defamatory	niyad jab
default	default
defeat	jabinta
defeated	laga adkaaday
defeatist	guuldareyaha
defect	cillad
defection	goosashada
defective	khalad
defector	gardaro
defend	difaac
defendant	eedaysanaha
defended	difaacay
defender	difaac
defending	difaac
defense	difaaca
defenseless	difaac la'aan
defensible	difensible
defensive	difaac
defer	dib u dhig
deference	dareenka
deferral	dib u dhigis
deferring	dib u dhigista
defiance	diidmo
defiant	daacad ah
defibrillator	defibrillator
deficiency	yaraanta
deficient	liidata
deficit	khasaare
define	qeexaan
defined	qeexay
definite	qeexan
definition	qeexidda
definitive	qeexan
deflate	Diido
deflation	jaban
deflect	isdhaafsi
deflection	is-beddel
defloration	xumeyn
deform	deform
deformed	deformed
deformity	deformity
defraud	caymis
defray	difray
defrost	defrost
deft	ciyaaraha
defunct	fadlan
defuse	gooyo
defy	diidmo
degeneracy	degenaanta
degenerate	kacsanaan
degeneration	xumayn
degradation	xumeyn
degrade	degrade
degraded	burburay
degrading	sharaf-ridid
degree	shahaadada
dehydrated	Fuuqbax
dehydration	Fuuqbax
dejected	diyaarsan
delay	daahitaan
delayed	dib u dhac
delectable	raaxo leh
delegate	Wakiil
delegation	Wafdi
delete	tirtir
deleterious	gardarrada
deletion	tirtirid
deli	deli
deliberate	si ula kac ah
deliberation	la-talin
deliberative	talabixin
delicacy	raaxeysiga
delicate	jilicsan
delicatessen	dhajinta
delicious	delicious
delight	farxad
delighted	aad u faraxsan
delightful	farxad leh
delineate	cadayn
delineation	qeexitaan
delinquency	dambi
delinquent	been ah
delirious	runtii
delirium	delirium
deliver	bixinta
deliverance	badbaadinta
delivery	bixinta
dell	dell
delta	delta
delude	been
deluge	Duufaan
delusion	been abuur
delusional	been abuur
deluxe	deluxe
delve	diidmo
demand	dalbasho
demanding	dalbasho
demeaned	gardaro ah
demeaning	nacaybka
demeanor	demeanor
demented	demented
dementia	waallida
demise	demis
demo	demo
democracy	dimuqraadiyad
democrat	dimuqraadi
democratic	dimuqraadiyad
demographic	demographic
demolish	burburin
demolished	burburay
demolition	burburinta
demon	jinni
demonic	jinni
demonstrable	la muujin karo
demonstrate	muuji
demonstrated	muujiyey
demonstrating	muujinta
demonstration	bandhigid
demonstrative	dibad baxyo
demonstrator	mudaaharaad
demoralized	niyad jabay
demos	demos
demure	demure
den	NO TRANSLATION
deniability	dambi
denial	diidmada
denied	beeniyay
denim	denim
denomination	diinta
denominational	diinta
denominator	hoose
denote	tilmaamey
denounce	diidmo
dense	cufan
density	cufnaanta
dent	dent
dental	ilkaha
dentist	dhakhtarka ilkaha
dentistry	dhakhtarka ilkaha
dentists	dhakhaatiirta ilkaha
denunciation	diidmada
deny	diid
denying	diidid
deodorant	deodorant
depart	bax
departed	tegey
department	waaxda
departmental	waaxda
departure	baxa
depend	ku xiran
dependable	ku tiirsanaan karo
dependant	ku tiirsan
dependence	ku tiirsanaan
dependency	ku tiirsanaanta
dependent	ku tiirsan
depict	sawir
depicting	sawiridda
depletion	Dhimashada
deplorable	dhibban
deplore	gardarrada
deploy	la geeyo
deployment	dirista
deport	masaafurin
deportation	masaafurin
depose	ka dhigtaa
deposit	deebaaji
depositary	kaydinta
deposition	qulqulka
depository	kaydinta
depot	kaydka
depraved	naaqusay
depravity	qummanaanta
depreciate	qiimo la'aan
depreciated	qiimo jaban
depreciation	Dhimista
depress	niyad jab
depressed	niyad jabay
depressing	niyadjab
depression	niyadjab
depressive	niyad jab
depresson	NO TRANSLATION
deprivation	laga mamnuuco
deprive	lagama yaabo
deprived	laga reebay
depth	qoto dheer
deputy	ku-xigeenka
derail	ka baxa
deranged	dulqaadan
derelict	deriska
derision	murugo
derivation	kala-saarid
derivative	deriska
derive	keena
dermal	dermal
dermatologist	maqaarka
dermatology	maqaarka
derogation	derogeynta
derogatory	fadeexad
descend	soo degso
descendant	farcanka
descendent	NO TRANSLATION
descending	hoos u dhacaya
descent	ka soo jeeda
describe	sharax
description	sharaxaad
descriptive	sharraxeyn
desecrate	nadiif
desecration	jeexasho
desert	lamadeg
deserted	ka baxsan
deserter	degeenta
desertion	leexashada
deserve	u qalmaan
deserved	u qalantay
deserving	u qalma
design	naqshadeynta
designate	magacaabi
designated	loo qoondeeyey
designation	magacaabida
designed	loogu talagalay
designer	naqshadeeye
designing	naqshadeynta
desirability	rabitaanka
desirable	suurad wacan
desire	rabitaan
desiring	rabto
desirous	rabto
desist	joojin
desk	miiska
desolate	burburin
desolation	burburinta
despair	quusasho
despairing	quusto
despatch	quusto
desperado	Desperado
desperate	quus ah
desperation	quusasho
despicable	niyad jab
despise	quudhsan
despondent	murugo
despotic	quusto
despotism	jaahwareer
dessert	macmacaanka
destination	meesha
destined	ku qulqulaya
destiny	kadiba
destitute	nasiib daro
destroy	burburin
destroyed	burburay
destroyer	burburiyaha
destroying	burburinta
destruct	burburin
destruction	burburinta
destructive	burburin
detach	kala tag
detached	kala go'ay
detachment	kala-saarista
detail	faahfaahin
detailed	faahfaahsan
details	faahfaahin
detain	xiro
detainee	xirxiray
detect	ogaadaan
detectable	la ogaan karo
detection	ogaanshaha
detective	Digniin
detector	gawaarida
detention	xabsiga
deter	gardarrada
detergent	saabuunta
deteriorate	xumayn
deteriorated	sii xumaatay
deteriorating	sii xumaanayso
deterioration	sii xumaan
determinable	la garan karo
