Word	ar
edema	استسقاء
edge	حافة
edging	هدبة
edgy	منفعل
edible	صالح للأ كل
edict	مرسوم
edification	تهذيب
edifice	صرح
edit	تصحيح
editing	التحرير
edition	الإصدار
editor	محرر
editorial	الافتتاحية
educate	تعليم
educated	متعلم
education	التعليم
educational	تربوي
educator	مرب
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	EEK
eel	الانقليس
eerie	غريب
effect	تأثير
effective	فعال
effectiveness	فعالية
effects	تأثيرات
effectual	فعال
effectually	بشكل فعال
effectuate	عمل بالفعل
effeminate	مخنث
efficacious	فعال
efficacy	فعالية
efficiency	نجاعة
efficient	فعالة
effigy	تمثال
effort	مجهود
effortless	هين
effusion	التدفق
effyou	NO TRANSLATION
egg	بيضة
egghead	الرفيع الثقافة
eggnog	شراب البيض
eggplant	الباذنجان
eggshell	قشر البيض
ego	الغرور
egomaniac	اجومانياك
egotistical	مغرور
egregious	فاضح
egress	خروج
eight	ثمانية
eighteen	الثامنة عشر
eighth	ثامن
eighty	ثمانون
ejaculate	قذف المني
ejaculation	قذف
eject	طرد
ejection	طرد
elaborate	توضيح
elaboration	إعداد
elan	NO TRANSLATION
elapse	انقضى
elapsed	انقضت
elastic	المرن
elasticity	مرونة
elated	مبتهج
elation	عجب
elbow	كوع
eld	ELD
elder	المسنين
elderly	كبار السن
elders	شيوخ
eldest	الاكبر سنا
elect	منتخب
election	انتخاب
elective	اختياري
elector	ناخب
electoral	انتخابي
electorate	جمهور الناخبين
electric	كهربائي
electric slide	شريحة كهربائية
electrical	الكهرباء
electrician	عامل الكهرباء
electricity	كهرباء
electrify	كهرب
electrocute	قتل بالصدمة الكهربائية
electrocution	الصعق الكهربائي
electromagnetic	الكهرمغنطيسي
electron	الإلكترون
electronic	إلكتروني
electronics	إلكترونيات
elegance	أناقة
elegant	أنيق
element	جزء
elemental	عنصري
elementary	ابتدائي
elements	عناصر
elephant	فيل
elevate	رفع
elevated	مرتفع
elevation	ارتفاع
elevator	مصعد
eleven	أحد عشر
eleventh	الحاديه عشر
elf	قزم
elicit	يستنبط
eligible	مؤهل
eliminate	القضاء
elimination	إزالة
elite	نخبة
elitist	نخبوية
elixir	جوهر الشىء
elk	ظبي
ell	ذراع وحدة قياس
ellipse	الشكل البيضاوي
ellipsis	القطع
ellipsoid	بيضاوي
elliptic	بيضاوي الشكل
elliptical	بيضاوي الشكل
elm	خشب الدردار
elongate	استطال
elongation	استطالة
elope	هرب
eloquence	بلاغة
eloquent	بليغ
elucidate	وضح
elucidation	توضيح
elude	تملص
elusive	صعبة المنال
emaciated	مهزول
email	البريد الإلكتروني
emanate	ينبع
emancipation	تحرير
embankment	جسر
embargo	NO TRANSLATION
embark	الشروع
embarrass	إرباك
embarrassed	أحرجت
embarrassing	محرج
embarrassment	مشاكل مالية
embassy	السفارة
embattled	في ورطة مخرب
embed	تضمين
embellish	جمل
embellishment	زخرفة
embers	جمرة
embezzlement	اختلاس
embezzler	المختلس
emblem	شعار
emblematic	رمزي
embodiment	تجسيد
embolism	الانصمام
embossed	منقوش
embrace	تعانق
embroidered	مطرزة
embroidery	تطريز
embroiled	متورط
embryo	جنين
embryonic	الخلايا الجنينية
emcee	مدير التشريفات
emerald	زمرد
emerge	يظهر
emergence	ظهور
emergency	حالة طوارئ
emeritus	فخري
emery	صنفرة
emetophobia	رهاب القيء
emigrate	هاجر
emigration	هجرة
eminence	ربوة
eminent	بارز
eminently	بارز
emir	NO TRANSLATION
emissary	مبعوث
emission	انبعاث
emit	ينبعث
emo	ايمو
emotion	المشاعر
emotional	عاطفي
emotive	انفعالي
empathic	تعاطفا
empathize	التعاطف
empathy	العطف
emperor	إمبراطورية
emphasis	تشديد
emphasize	التأكيد على
emphatic	مؤكد
emphysema	إنتفاخ الرئة
empire	إمبراطورية
empirical	تجريبي
empiricism	التجريبية
employ	توظيف
employee	موظف
employer	صاحب العمل
employment	توظيف
emporium	مركز تجاري
empower	تمكين
empress	إمبراطورة
emptiness	فراغ
emption	الشفعة
empty	فارغة
emu	الإمو طائر استرالي
emulate	محاكاة
emulsion	مستحلب
enable	مكن
enablement	التمكين
enact	يسن قانون
enactment	تشريع
enamel	مينا
encampment	معسكر
enchant	يسحر
enchanted	مسحور
enchanting	ساحر
enchantment	سحر
enchantress	ساحرة
enchilada	انتشيلادا
encircle	طوق
encircling	تطويق
enclave	مقاطعة
enclose	ضمن
enclosure	نسيج
encode	ترميز
encomiastic	NO TRANSLATION
encomium	مديح
encompass	شمل
encore	NO TRANSLATION
encounter	يواجه .. ينجز
encourage	التشجيع
encouraged	شجع
encouragement	تشجيع
encouraging	تشجيع
encroach	تجاوز
encroachment	انتهاك
encrypt	تشفير
encryption	التشفير
encumbrance	عبء
encyclopedia	موسوعة
end	النهاية
end table	نهاية الجدول
endanger	يعرض للخطر
endangered	المهددة بالخطر
endangerment	تعريضها للخطر
endearing	التحبيب
endeavor	محاولة
ended	انتهى
endemic	المتوطنة
endgame	نهاية اللعبة
ending	إنهاء
endless	التي لا نهاية لها
endocarditis	التهاب داخلى بالقلب
endorse	تأييد
endorsement	المصادقة
endow	منح
endowed	موهوب
endowment	هبة
endpapers	endpapers
endpoint	نقطة النهاية
endurance	قدرة التحمل
endure	تحمل
enduring	مستمر
enema	حقنة شرجية
enemy	العدو
energetic	نشيط
energize	تنشيط
energy	طاقة
enforce	فرض
enforcement	تطبيق
enforcer	المنفذ
engage	جذب
engaged	مخطوب
engagement	الارتباط
engaging	جذاب
engender	تولد
engine	محرك
engineer	مهندس
engineering	هندسة
engrave	نقش
engraved	منقوش
engraver	نقاش حفار
engraving	نقش
engrossed	منهمكين
engrossing	النسخ
engulf	بابتلاع
enhance	تحسين
enhancement	التعزيز
enigma	لغز
enigmatic	المبهمة
enjoin	أمر
enjoy	استمتع
enjoyable	ممتع
enjoying	تتمتع
enjoyment	متعة
enlarge	تكبير
enlarged	الموسع
enlargement	تكبير - اتساع
enlighten	تنوير
enlightened	مثقف
enlightening	المنير
enlightenment	تنوير
enlist	بالسرد
enliven	أحيا
enmity	عداوة
ennui	ملل
enormity	ضخامة
enormous	ضخم
enormously	بشكل هائل
enraged	غاضب
enrich	إثراء
enroll	يتسجل، يلتحق
enrollment	تسجيل
ensemble	طاقم
ensign	حامل الراية
enslave	استعبد
enslaved	مستعبد
enslavement	استعباد
ensue	تترتب على ذلك
ensure	التأكد من
entail	يستتبع
entangled	متورط
entanglement	تشابك
enter	أدخل
enterprise	مشروع - مغامرة
enterprising	مغامر
entertain	ترفيه
entertained	مسلى
entertainer	الفنان
entertaining	مسلي
entertainment	وسائل الترفيه
enthralled	مستعبد
enthusiasm	حماس
enthusiast	متحمس
enthusiastic	متحمس
entice	جذب
entire	كامل
entirety	كلية
entitle	يخول
entity	كيان
entomology	علم الحشرات
entourage	حاشية
entrails	أحشاء
entrance	مدخل
entrapment	انحباس
entreat	توسل
entree	دخول
entrepreneur	ريادي
entrust	ودع
entry	دخول
enumerate	سرد
enumeration	تعداد
envelope	ظرف
envious	حسود
environ	NO TRANSLATION
environment	بيئة
environmental	بيئي
environs	محيط
envision	تصور
envoy	مبعوث
envy	حسد
enzyme	خميرة
ephemeral	سريع الزوال
ephemeris	التقويم الفلكي
epic	الملحم
epidemic	وباء
epidermis	بشرة
epidural	فوق الجافية
epilepsy	صرع
epileptic	مصروع
epilogue	الخاتمه
epiphany	إستيعاب
episcopal	أسقفي
episode	حلقة
episodic	عرضي
epistle	رسالة بولس الرسول
epitaph	نقش على ضريح
epithet	كنية
epitome	مثال
epoch	عصر
equal	مساو
equality	مساواة
equalization	تسوية
equalize	تعادل
equalizer	التعادل
equally	بالتساوي
equate	مساواة
equation	معادلة
equator	خط الاستواء
equatorial	استوائي
equestrian	الفروسية
equidistant	متساوي البعد
equilibration	موازنة
equilibrium	حالة توازن
equip	تجهيز
equipment	الرجعية
equitable	العادل
equity	القيمة المالية
equivalence	مساواة
equivalent	ما يعادل
equivocal	مبهم
era	عصر
eradicate	القضاء
eradication	استئصال
erase	محو
eraser	مسترة
erasure	محو
ere	NO TRANSLATION
erect	منتصب
erectile	انتصابي
erection	انتصاب
ergo	NO TRANSLATION
erode	تقلص
erosion	التعرية
erotic	شهواني
erotica	أدب مكشوف
err	أخطأ
errand	مأمورية
errant	هائم على وجهه
erratic	شارد
erratum	خطأ مطبعي
erroneous	خاطئ
error	خطأ
erst	NO TRANSLATION
erudite	واسع المعرفة
erupt	أطلق
eruption	انفجار
escalade	إسكاليد
escalate	يتصعد
escalating	تصعيد
escalation	التصعيد
escalator	سلم كهربائى
escape	هرب
escaped	هرب
escarpment	جرف
eschew	تجنب
escort	مرافقة
escrow	الضمان
esophagus	المريء
esoteric	مقصور على فئة معينة
especial	NO TRANSLATION
espionage	تجسس
espouse	تزوج
espresso	إسبرسو
esprit	ظرف
esquire	المبجل
essay	مقال
essayist	المنشىء
essence	جوهر
essential	أساسى
essentially	بشكل أساسي
establish	إنشاء
established	أنشئت
establishment	مؤسسة
estate	ملكية
esteem	التقدير
esteemed	مفخم
esthetic	جمالي
estimable	جدير بالاحترام
estimate	تقدير
estimation	تقدير
estoppel	صد
estranged	المبعدة
estrogen	هرمون الاستروجين
estuary	مصب النهر
etch	حفر
etching	خرط
eternal	أبدي
eternity	خلود
ethanol	الإيثانول
ether	الأثير
ethereal	أثيري
ethic	أخلاقي
ethical	أخلاقي
ethics	أخلاق
ethnic	عرقي
ethnography	الأجناس البشرية
etiology	علم أسباب الأمراض
etiquette	آداب
etymology	بسط و علل
eucalyptus	شجرة الكينا
euchre	يوكر
eugenics	اليوجينا علم تحسين النسل
eulogistic	مدحي
eulogium	eulogium
eulogize	مدح
eulogy	مديح
euphemism	كناية
euphoria	النشوة
euphoric	البهيجة
euro	اليورو
euthanasia	قتل رحيم
evacuate	إخلاء
evacuation	إخلاء
evade	تهرب
evaluate	تقييم
evaluation	تقييم
evanescence	تلاش
evangelical	إنجيلي
evangelist	مبشر
evangelistic	انجيلي
evaporate	تبخر
evaporation	تبخر
evasion	تملص
evasive	مراوغ
eve	حوائ
evening	مساء
evens	NO TRANSLATION
event	هدف
eventful	زاخر بالأحداث
eventual	نهائي
eventuality	احتمال
evergreen	دائم الخضرة
everlasting	أبدي
evermore	إلى الأبد
everyday	كل يوم
everyman	كل رجل
evict	طرد
eviction	طرد
evidence	دليل
evident	واضح
evidentiary	الأدلة
evil	شر
evoke	أثار
evolution	تطور
evolutionary	تطوري
evolve	تتطور
ewe	نعجة
ex	السابق
exacerbate	تفاقم
exacerbation	مفاقمة
exact	دقيق
exacting	مرهق
exaggerate	مبالغة
exaggerated	مبالغ فيه
exaggeration	مبالغة
exalt	كثف
exaltation	تمجيد
exalted	مفخم
exam	امتحان
examination	فحص
examine	فحص
examiner	محقق
example	مثال
exasperated	باستياء
exasperation	سخط
excavate	حفر
excavation	حفيات
excavator	حفارة
exceed	يتجاوز
exceeding	تجاوز
excel	تفوق
excellence	تفوق
excellent	ممتاز
excelsior	نجارة
excepting	باستثناء
exception	استثناء
exceptional	استثنائي
excerpt	مقتطفات
excess	فائض
excessive	مفرط، متطرف، متهور
excessively	بإفراط
exchange	تبادل
excise	ضريبة
excision	استئصال
excitability	الاهتياجية
excitable	سريع الانفعال
excitation	إثارة
excite	أثار
excited	فرح
excitement	إثارة
exciting	مثير
exclaim	صرخ
exclamation	علامة تعجب
exclude	استبعد
excluded	مستبعد
excluding	ازالة
exclusion	إقصاء
exclusive	حصرية
excrement	براز
excretion	إفراز
excruciating	طاحنة
excursion	انحراف
excuse	عذر
exec	إكسيك
execute	نفذ - اعدم
execution	تنفيذ
executioner	جلاد
executive	تنفيذي
executor	المنفذ
exegesis	تفسير
exemplar	نموذج
exemplary	مثالي
exemplify	مثالا
exempt	معفى
exemption	إعفاء
exercise	ممارسه الرياضه
exert	بذل
exertion	مجهود
exhale	زفر
exhaust	العادم
exhausted	أرهق
exhaustion	إنهاك
exhaustive	شاملة
exhibit	عرض
exhibition	معرض
exhilarated	مبهج
exhilarating	منعش
exhilaration	ابتهاج
exhort	وعظ
exhortation	عظة
exhumation	استخراج الجثث
exhume	نبش
exigent	NO TRANSLATION
exile	منفى
exist	يوجد
existence	وجود
existent	موجود
existential	وجودي
existing	موجود
exit	ىخرج
exodus	رحيل
exonerate	أبرئ
exorbitant	باهظ
exorcism	طرد الارواح الشريرة
exorcist	طارد الارواح الشريرة
exotic	غريب
expand	وسعت
expanded	موسع
expanse	فسحة
expansion	توسيع
expansive	متمدد
expatriate	مغترب
expect	توقع
expectance	expectance
expectancy	توقع
expectant	متوقع
expectation	توقع
expected	متوقع
expecting	تتوقع
expediency	النفعية
expedient	وسيلة
expedite	الإسراع
expedition	البعثة
expeditious	سريعة
expel	يطرد
expendable	منفق
expenditure	المصروفات
expense	مصروف
expenses	نفقات
expensive	مكلفة
experience	تجربة
experienced	يختبر
experiences	خبرة
experiment	تجربة
experimental	تجريبي
experimentation	تجريب
experimenter	مجرب
expert	خبير
expertise	خبرة
expiration	انتهاء الصلاحية
expire	تنقضي
expired	منتهية الصلاحية
expiry	انقضاء
explain	شرح
explanation	تفسير
explanatory	تفسير
expletive	حشوي
explication	تفسير
explicit	صريح
explode	ينفجر
exploit	استغلال
exploitation	استغلال
exploration	استكشاف
exploratory	استكشافي
explore	يكتشف
explorer	مستكشف
explosion	انفجار
explosions	انفجارات
explosive	مادة متفجرة
expo	المعرض
exponent	الأس
exponential	الأسي
export	تصدير
exportation	تصدير
expose	تعرض
exposed	مكشوف
exposition	معرض
expository	تفسيري
exposure	مكشف
expound	شرح
express	التعبير
expression	التعبير
expressive	معبر
expressway	طريق سريع
expropriation	مصادرة
expulsion	طرد
exquisite	رائع
exquisitely	رائع
extant	موجود
extend	تمديد
extendable	قابلة للتمديد
extended	وسعوا
extension	تمديد
extensive	واسع
extent	مدى
exterior	الخارج
exterminate	إبادة
extermination	إبادة
exterminator	المبيد
external	خارجي
externally	خارجيا
extinct	ينقرض
extinction	انقراض
extinguish	إطفاء
extinguisher	طفاية
extol	مجد
extort	ابتزاز
extortion	ابتزاز
extra	إضافي
extract	استخراج
extracting	استخراج
extraction	استخلاص
extractor	مستخرج
extracurricular	لا روتينى
extradition	تسلم
extrajudicial	الإعدام خارج نطاق القضاء
extramural	خارج أسوار المدينة
extraneous	غير جوهري
extraordinaire	إإكستروردينير
extraordinary	استثنائي
extraterrestrial	خارج الأرض
extravagance	تبذير
extravagant	مفرط
extravaganza	الروعة
extreme	أقصى
extreme anticipation	الترقب الشديد
extreme disgust	الاشمئزاز الشديد
extreme surprise	مفاجأة بالغة
extreme trust	الثقة القصوى
extremely	جدا
extremely negative	سلبي للغاية
extremely positive	ايجابية للغاية
extremity	طرف
extricate	تخليص
extrinsic	خارجي
extrusion	قذف
exuberance	وفرة
exude	تحلب
eye	عين
eyeball	مقلة العين
eyebrow	حاجب العين
eyeful	eyeful
eyeglass	عدسة المجهر
eyeglasses	نظارة طبية
eyelash	رمشة عين
eyelet	العيينة
eyeliner	كحل
eyepiece	العينية عدسة المجهر
eyes	عيون
eyesight	بصر
eyewitness	شاهد عيان
fab	القوات المسلحة البوروندية
fable	أسطورة
fabled	خرافي
fabric	قماش
fabricate	صنع
fabricated	مختلق
fabrication	تلفيق
fabulous	رائع
facade	مظهر زائف
face	وجه
faceless	مجهولي الهوية
facet	وجيه
facial	تجميل الوجه
facile	NO TRANSLATION
facilitate	تسهيل
facility	منشأة
facing	مواجهة
facsimile	الفاكس
fact	حقيقة
faction	فصيل
factor	عامل
factory	مصنع
facts	حقائق
factual	واقعي
faculties	ملكات
faculty	كلية
fad	موضة عابرة
fade	تلاشى
faded	تلاشى
faeces	الفضلات
fag	كدح
faggot	شاذ جنسيا
fail	فشل
failing	فشل
failure	بالفشل
fain	NO TRANSLATION
faint	اغمى عليه
fainting	إغماء
fair	معرض
fairly	تماما
fairness	عدل
fairway	ممر مائي
fairy	جنية
faith	إيمان
faithful	مؤمن
faithfulness	الإخلاص
faithless	كافر
fake	مزورة
faker	مختلق
falafel	فلافل
falcon	صقر
fall	خريف
fallacious	وهمي
fallacy	مغالطة
fallback	تراجع
fallible	عرضة للخطأ
falling	هبوط
fallopian	قناتى
fallout	يسقط
fallow	هاجع
false	خاطئة
falsehood	كذب
falsely	على نحو زائف
falsification	تزييف
falsified	مزورة
falsify	دحض
falsity	زيف
falter	تداعى
fame	شهرة
famed	مشهور
familiar	مألوف
familiarity	معرفة
familiarize	تعريف
family	أسرة
familytime	وقت العائلة
famine	مجاعة
famished	مجوع
famous	مشهور
famously	اشتهر
fan	معجب
fanatic	متعصب
fanatical	متعصب
fanaticism	تعصب
fanciful	خيالي
fancy	مولع ب
fandango	هراء
fanfare	جلبة
fang	NO TRANSLATION
fangs	الأنياب
fanning	تأجيج
fantasia	فنتازية لحن موسيقيي
fantasize	تخيل
fantastic	رائع
fantasy	خيال
faraway	بعيدا
farce	مهزلة
farcical	هزلي
fare	أجرة
farewell	توديع
farm	مزرعة
farmer	مزارع
farmhouse	بيت ريفي
farming	زراعة
farmland	الارض الزراعية
faro	فارو
fart	ضرطة
farther	أبعد
fascia	شقة مسطحة
fascinate	فتن
fascinated	مسحور
fascinating	ساحر
fascination	سحر
fascism	فاشية
fascist	فاشي
fashion	موضه
fashionable	الموضة
fastball	الكرة السريعة
fasten	ربط
fastener	قفل
fastening	إبزيم
fasting	صيام
fat	سمين
fatal	قاتلة - مهلك
fatalism	قضاء وقدر
fatality	نكبة
fate	مصير
fated	مقدر
fateful	مصيري
fathead	غبي
father	الآب
fatherhood	الأبوة
fatherland	وطن أسلاف المرء
fatherly	أبوي
fathom	سبر الغور
fatigue	إعياء
fatigued	مرهق
fatso	فاتسو
fatten	سمن
fatty	دهني
faucet	صنبور
fault	خطأ
faultless	لا عيب فيه
faulty	متعطل
faun	فون آلهة الحقول والقطعان عند الرومان
fauna	الحيوانات
faux	فو
favor	محاباة
favorable	ملائم
favorite	مفضل
favoriteholiday	NO TRANSLATION
favoritism	محسوبية
fawn	تزلف
fax	الفاكس
faze	NO TRANSLATION
fear	خوف
feared	يخشى
fearful	خشية
fearfully	بخوف
fearing	خوفا
fearless	لا يعرف الخوف
fears	المخاوف
fearsome	مخيف
feasibility	جدوى
feasible	قابليه
feast	وليمة
feat	عمل
feather	ريشة
feathered	الريش
feature	خاصية
features	الميزات
febrile	حمي متعلق بالحمى
fecal	برازي
feces	البراز
fecundity	خصوبة
fed	تغذيها
federal	فدرالي
federation	اتحاد
fedup	طفح الكيل
fee	رسوم
feeble	ضعيف
feed	تغذية
feedback	ردود الفعل
feeder	مغذي
feel	يشعر
feelgood	أشعر أنني بحالة جيدة
feeling	شعور
feelingdown	NO TRANSLATION
feelinggood	NO TRANSLATION
feet	أقدام
feign	اختلق
feigned	مختلق
feisty	المشاكس
felicity	سعادة
feline	سنور
fell	سقط
feller	فيلر
fellow	زميل
fellowship	زمالة
felon	مجرم
felony	جناية
felt	شعور
female	إناثا
feminine	المؤنث
femininity	أنوثة
feminism	نظرية المساواة بين الجنسين
feminist	ناشط نسائي
femme	NO TRANSLATION
femoral	فخذ
femur	عظم الفخذ
fen	NO TRANSLATION
fence	سياج
fenced	مسيج
fencing	سياج
fend	صد
fender	درابزين
fennel	الشمرة
ferment	تخمر
fermentation	تخمير
fern	الختشار سرخس أو نبات
ferocious	متوحش
ferocity	ضراوة
ferret	أقلق
ferry	العبارة
ferryboat	NO TRANSLATION
fertile	خصب
fertility	خصوبة
fertilize	أخصب
fertilizer	سماد
fervent	متقد
fervor	حماسة
fess	فيس
fest	مهرجان
festival	مهرجان
festive	احتفالي
fetal	جنين
fetch	جلب
fete	NO TRANSLATION
fetish	صنم
fetus	جنين
feud	عداء
feudal	حزازي
feudalism	إقطاعية
fever	حمة
feverish	محموم
fiancee	NO TRANSLATION
fiasco	فشل
fiat	أمر
fib	أكذوبة
fiber	الأساسية
fiberglass	الألياف الزجاجية
fibrosis	تليف
fibrous	ليفي
fickle	متقلب
fiction	خيال
fictional	خيالي
fictitious	خيالي
fiddle	كمان
fiddler	العابث
fidelity	الاخلاص
fidgety	متململ
fiduciary	الائتمانية
field	حقل
field hockey	الهوكي
fielder	فيلدر
fiend	شيطان
fiendish	شيطاني
fierce	عنيف
fiery	ناري
fiesta	العيد
fiesty	NO TRANSLATION
fifteen	خمسة عشر
fifty	خمسون
fig	تين
fight	يقاتل
fighter	مقاتل
fighting	قتال
fights	معارك
figment	ملفق
figurative	رمزي
figure	الشكل
figurine	التمثيل تمثال صغير
filament	خيط
filamentous	مخيط
file	ملف
filet	فيليه
filibuster	قرصان
filigree	زركشة مخرمة
filing	الايداع
filings	برادة
fill	ملء
filler	حشو
fillet	شريحة
filling	حشوة
filly	مهرة
film	فيلم
filmmaker	المخرج
filmy	NO TRANSLATION
filter	منقي
filth	رجس
filthy	قذر
filtration	تصفية
fin	NO TRANSLATION
final	نهائي
finale	خاتمة
finalist	الدور النهائي
finality	النهائية
finalize	وضع اللمسات الأخيرة
finalized	الانتهاء
finally	أخيرا
finance	المالية
financial	الأمور المالية
financier	خبير مالي
finch	خفق
find	تجد
finder	مكتشف
finding	العثور على
fine	غرامة
finery	أناقة
finesse	براعة
finger	اصبع اليد
fingernail	ظفر
fingerprint	بصمة
fingerscrossed	NO TRANSLATION
finish	إنهاء
finished	تم الانتهاء من
finite	محدود
fink	الواش
fir	خشب التنوب
fire	نار
firearm	سلاح ناري
firearms	الأسلحة النارية
fireball	كرة نارية
firecracker	مفرقعة نارية
firefight	تبادل لإطلاق النار
firefighter	رجال الاطفاء
firefly	يراعة
firehouse	محطة الإطفاء
firelight	ضوء النار
fireman	رجل الاطفاء
fireplace	المدفأة
firepower	قوة النار
fireproof	المضاد للهب
fireside	الحياة البيتية
firestorm	عاصفة
firewall	جدار الحماية
firewood	حطب
firework	الألعاب النارية
fireworks	العاب ناريه
firing	حرق
firm	مؤسسة
firmament	سماء
firmly	قطعا
firmness	ثبات
first	أول
firstborn	بكر
firstworldprobs	NO TRANSLATION
fiscal	مالي
fish	سمك
fisherman	صياد السمك
fishery	السمكية
fishing	صيد السمك
fishing boat	قارب صيد
fishy	مريب
fissile	الانشطارية
fission	الانشطار النووي
fissure	شق
fist	قبضة
fistfight	مشاجرة بالايدي
fistful	قبضة
fistula	ناسور
fit	لائق بدنيا
fitness	اللياقه البدنيه
fits	تناسبها
fitted	تركيب
fitting	مناسب
fittings	التجهيزات
five	خمسة
fiver	الخمسية ورقة مالية
fix	حل
fixable	يمكن حلها
fixation	تثبيت
fixed	ثابت
fixer	يتدخل
fixture	تجهيزات
fixtures	تركيبات
fizz	أز
fjord	مضيق بحري
flabbergast	شده
flabbergasted	مندهش
flabby	مترهل
flaccid	رخو
flag	علم
flagging	واهن
flagpole	سارية العلم
flagrant	فاضح
flagship	الرئيسية
flagstaff	سارية العلم
flair	ميل
flak	مدفعية مضادة للطائرات
flake	تقشر
flaky	قشاري
flamboyant	لامع
flame	لهب
flamethrower	قاذف اللهب
flaming	ملتهب
flamingo	البشروس طائر مائي
flammable	ملتهب
flan	كعكة فواكه
flange	شفة
flank	جناح
flanked	يحيط
flanking	المرافقة
flannel	الفانيلي
flap	رفرف
flapping	ضرب
flare	توهج
flares	مشاعل
flaring	حرق
flash	فلاش
flashback	فلاش باك
flashing	وامض
flashlight	مصباح يدوي
flashy	مبهرج
flask	قارورة
flat	مسطحة
flatbed	مسطحة
flatfoot	قدم مسطحه
flatness	رتابة
flatten	تسطح
flatter	أكثر تسطحا
flattered	بالاطراء
flattering	طرى
flattery	تملق
flatulence	انتفاخ
flaunt	تماوج
flavor	نكهة
flaw	عيب
flawed	معيبة
flawless	بلا عيب
flea	برغوث
fleabag	fleabag
fled	هرب
flee	هرب
fleece	الصوف
fleet	سريع
fleeting	عابر
flesh	لحم
fleshy	سمين
flex	ثني
flexibility	المرونة
flexible	مرن
flexin	flexin
flexion	انثناء
flick	نفض الغبار
flicker	رمش
flickering	وامض
flier	طيار
flight	طيران
flighty	طائش
flimsy	الواهية
flinch	جفل
fling	قذف
flint	صوان
flip	يواجه
flip flop	نعال الشاطئ
flipper	زعنفة
flipping	التقليب
flirt	يغازل
flirtation	مداعبة
flirting	يمزح
flirty	فليرتي
float	تطفو
floater	العوام
flock	قطيع
flog	جلد
flood	فيضان
floor	أرضية
flooring	أرضية
floozy	إمرأة فاسقة
flop	هبوط مفاجئ
floppy	المرن
flora	النباتية
floral	الأزهار
florist	منسق زهور
floss	دودة الحرير
flotation	طفو
flounder	تخبط
flour	طحين
flourish	تزدهر
flow	تدفق
flower	زهرة
flowering	إزهار
flowers	زهور
flowery	منمق
flows	يطفو
flu	أنفلونزا
fluctuate	تذبذب
fluctuating	تقلب
fluctuation	تقلب
flue	المداخن
fluency	طلاقة
fluent	بطلاقة
fluff	زغب
fluffy	رقيق
fluid	مائع
fluidity	سيولة
fluke	حظ
flunk	خفق
flunky	الإمعات
fluorescence	ضوئي
fluorescent	فلوري
flurries	هبات
flurry	اضطراب
flush	فورة
flustered	مضطرب
flute	مزمار
fluted	مخدد
flutter	رفرفة
fluvial	نهري
flux	تدفق
fly	يطير
flyboy	flyboy
flyer	نشرة إعلانية
flying	طيران
flywheel	دولاب الموازنة
foal	تلد مهرا
foam	رغوة
foaming	رغوة
foamy	رغوي
fob	جيب الساعة
focal	الارتكاز
focus	التركيز
fodder	علف
foe	عدو
fog	ضباب
foggy	ضبابي
foil	رقائق
foiled	أحبطت
fold	يطوى
folded	مطوي
folder	مجلد
foliage	أوراق الشجر
folio	ورقة مطوية
folk	قوم
folklore	التراث الشعبي
follicle	بصيلات
follicular	مسامي
follow	إتبع
follower	تابع
folly	حماقة
fond	مغرم
fondle	ربت
fondling	الملا طفة
fondness	ولع
fondue	مخفوق بالجبن
font	الخط
food	طعام
foodie	عشاق الطعام
fool	مجنون
fooled	ينخدع
foolhardy	متهور
fooling	ممازحة
foolish	أحمق
foolishness	غباء
foolproof	سهل جدا
foot	قدم
foot stool	مقعد القدم
footage	لقطات
football	كرة القدم
footbridge	جسر المشاة
foothold	موطئ قدم
footing	أساس
footlocker	خزانة القدم
footloose	الطليقة
footpath	ممر
footprint	اثار
footwear	حذاء
footwork	حركة القدمين
fop	الغندور رجل شديد التأنق
forage	علف الماشية
foray	غزوة
forbearance	تسامح
forbid	حرم
forbidding	منع
force	فرض
forced	قسري
forceful	قوي
forceps	ملقط
forces	القوات
forcibly	غصبا
ford	مخاضة
fore	مقدمة
forearm	ساعد
foreboding	نذير
forecast	توقعات
forecaster	عراف
foreclose	حبس الرهن
foreclosure	حبس الرهن
forefathers	الأجداد
forefinger	سبابة
forefront	طليعة
forego	سبق
foregoing	سبق
foregone	حاصل
foreground	المقدمة
forehead	جبين
foreign	أجنبي
foreigner	أجنبي
foreman	مراقب عمال
foremost	أول
forensic	الطب الشرعي
forensics	التحاليل الجنائية
foreplay	المداعبة
forerunner	الرائد
foresee	توقع
foreseen	متوقعة
foresight	بصيرة
forest	غابة
forestall	إحباط
forethought	التفكير المسبق
foreveralone	وحيد للأبد
forevermore	إلى الأبد
forewarned	محذر
foreword	مقدمة
forfeit	مصادرة
forfeited	المصادرة
forfeiture	مصادرة
forge	تشكيل
forger	مزور
forgery	تزوير
forget	ننسى
forgetful	كثير النسيان
forgetfulness	نسيان
forgive	غفر
forgiven	مغفور
forgiveness	مغفرة
forgiving	غفور
forgotten	نسي
fork	شوكة
forked	متشعب
forking	التفرع
forklift	رافعة شوكية
forlorn	بائس
form	شكل
formal	رسمي
formaldehyde	الفورمالديهايد
formalism	شكلية
formality	شكليات
format	شكل
formation	انعقاد
formative	متكون
formed	شكلت
formidable	هائل
forming	تشكيل
formless	لا شكلي
formula	معادلة
