Word	ky
duplicity	эки жүздүүлүк
durability	узактык
durable	узак
duration	узактыгы
duress	мажбурлоо
dusk	күүгүм
dusky	боз
dust	чаң
duster	чъргъчъ
dustpan	dustpan
dusty	чаң
dutiful	жоопкерчиликтүү
duty	пошлина
dwarf	Анысы аз
dwarfed	жапалак
dweeb	dweeb
dwell	жашоонун
dweller	тургуну
dwelling	жашаган
dye	сырдоо
dying	өлүп
dyke	дайка
dynamic	динамикалык
dynamical	динамикалуу
dynamics	динамикасы
dynamite	динамит
dynamo	динамо-машина
dynasty	династиясы
dysentery	дизентерия
dysfunction	начар
dysfunctional	ата-энеси ажырашып кеткен
dyspepsia	казанынын
eager	даяр
eagerness	ынталуулукту
eagle	бүркүт
ear	кулак
earful	earful
earl	Эрл
earlier	мурун
early	эрте
earn	иштеп табуу
earnest	коргошот
earnestly	чын
earnestness	ырга
earnings	кирешелер
earpiece	Кулакчын
earring	сөйкө
earrings	сөйкөлөрдү
earshot	Туса
earth	жер
earthenware	чопо
earthling	Адамдарды
earthly	жердеги
earthquake	жер титирөө
earthy	топурактан
ease	тынчылык
easel	Кашпаган
easement	Easement
easily	жонокой
east	чыгыш
eastbound	Чыгышка кетүүчү
eastern	чыгыштык
easy	жеңил
easygoing	жөнөкөй
eat	жеш
eater	жегич
eating	тамактануу
eatingdisorders	NO TRANSLATION
eavesdrop	тура
eavesdropping	Тwitter баракчасына
ebb	орбиталары
ebony	Ebony
ebullient	Сияр
eccentric	эн сонун
eccentricity	жабыртып
ecclesiastical	дин
echelon	бөлүк-
echinacea	Echinacea
echo	жаңырык
eclectic	тикалык
eclipse	сүйрү
ecliptic	ecliptic
ecological	экологиялык
economic	экономикалык
economical	экономикалык
economics	экономика
economy	экономика
ecosystem	экосистемасын
ecstasy	махабаты
ecstatic	Дал ушул
ecumenical	тарыхый
eddy	Эдди
edema	шишиги
edge	чет
edging	Дие
edgy	сыйытты жыйыштырып коюп
edible	жегенге
edict	жарлыгы
edification	лиши
edifice	имаратты
edit	редакциялоо
editing	түзөтүү
edition	өзгөртүүлөр жана толуктоолор менен
editor	редактор
editorial	түзөтүү
educate	тарбиялоо
educated	билимдүү
education	тарбия
educational	билим берүү
educator	агартуучу
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	EEK
eel	бетке чыккан ысык
eerie	сырдуу
effect	таасири
effective	эффективдүү
effectiveness	натыйжалуулугу
effects	таасирлери
effectual	Үзүрлүү
effectually	аракеттенип
effectuate	колдонууга
effeminate	эркектер
efficacious	үнсүз
efficacy	натыйжалуулук
efficiency	натыйжа
efficient	таасирдүү
effigy	Сухартонун
effort	күч
effortless	жумшалбагандай
effusion	тилинсе
effyou	NO TRANSLATION
egg	жумуртка
egghead	чилистен
eggnog	eggnog
eggplant	баклажан
eggshell	жумуртканын кабыгы
ego	бу
egomaniac	чалдыктырып
egotistical	ичи тарлык
egregious	чектен чыккан
egress	.Акысыз
eight	сегиз
eighteen	он сегиз
eighth	сегизинчи
eighty	сексен
ejaculate	манини
ejaculation	кыйшаюу
eject	кууп жиберүү
ejection	чириндилер
elaborate	кымбаттык менен жасалган
elaboration	иштеп чыгуу
elan	NO TRANSLATION
elapse	өтүшүнө
elapsed	өткөн
elastic	ийкемдүү
elasticity	ийкемдүүлүк
elated	чечти
elation	сарсанаага
elbow	чыканак
eld	нге
elder	улуу
elderly	улгайган
elders	аксакалдар
eldest	тун
elect	шайлоо
election	шайлоо
elective	тандалма
elector	шайлоочу
electoral	шайлоо
electorate	шайлоочулар
electric	электрдик
electric slide	электр слайд
electrical	электрдик
electrician	электрик
electricity	электричество
electrify	энергиясы менен
electrocute	урулгандан
electrocution	электр ток
electromagnetic	электромагниттик
electron	электрон
electronic	электрондук
electronics	электроника
elegance	элеганттуулук
elegant	элеганттуу
element	элемент
elemental	бас
elementary	башталгыч
elements	элементтер
elephant	пил
elevate	жогору
elevated	жогору
elevation	бийик орун
elevator	жүк көтөргүч
eleven	он бир
eleventh	он биринчи
elf	Elf
elicit	ашыгышат
eligible	ылайыктуу
eliminate	жок
elimination	жоюу
elite	элита
elitist	элиталык
elixir	даба
elk	Элк
ell	Адамды бизни атыбыз
ellipse	эллипс
ellipsis	эллипс
ellipsoid	эллипсоид
elliptic	эллиптикалык
elliptical	эллиптикалык
elm	жазуу
elongate	узарат
elongation	узаруу
elope	elope
eloquence	чечендик
eloquent	чечен
elucidate	рандары
elucidation	түшүндүрмө
elude	качуу
elusive	түз эмес
emaciated	арык
email	электрондук почта
emanate	чыккан
emancipation	боштондукка чыгаруу
embankment	жээктерди
embargo	NO TRANSLATION
embark	кирүү
embarrass	уялтуу
embarrassed	уялат
embarrassing	уялган
embarrassment	уялуу
embassy	элчилик
embattled	кетчи
embed	кыналган
embellish	чырайына
embellishment	украшения
embers	калыбына келтүрүү
embezzlement	уурдоого
embezzler	embezzler
emblem	эмблема
emblematic	белгиси
embodiment	өзү
embolism	эмболиясы
embossed	өрнек
embrace	кучактоо
embroidered	Саймаланган
embroidery	кесте
embroiled	жаз
embryo	түйүлдүк
embryonic	Түйүлдүк
emcee	emcee
emerald	зымырыт,
emerge	көрүнө калуу
emergence	пайда болушу
emergency	өзгөчө кырдаал
emeritus	ардактуу
emery	эмери
emetophobia	emetophobia
emigrate	көчүрүлүп кетүү
emigration	эмиграция
eminence	кардинал
eminent	атактуу
eminently	төгүүгө
emir	NO TRANSLATION
emissary	Мексикада
emission	эмиссиянын
emit	чыгарган
emo	эмо
emotion	толкундануу
emotional	жан
emotive	козгогон
empathic	Ыйса боорукер
empathize	сезимдер
empathy	боор ооруу
emperor	император
emphasis	ачыктык
emphasize	баса
emphatic	алгансыды:
emphysema	бронхит
empire	империя
empirical	эмпирикалык
empiricism	Эмпиризм
employ	колдонуу
employee	кызматкер
employer	жумуш берүүчү
employment	жалдоо
emporium	Emporium
empower	күч-кубат
empress	ханышасы
emptiness	боштук
emption	артыкчылыктуу сатып
empty	бош
emu	EMU
emulate	үлгү
emulsion	турундогу
enable	иштетүү
enablement	ачы-
enact	тартып күчүнө кирет
enactment	колдонууга киргизүү жөнүндө
enamel	сырдалат
encampment	конушу
enchant	сыйкырлоо
enchanted	Enchanted
enchanting	Кызыктырчу
enchantment	сыйкыры
enchantress	enchantress
enchilada	enchilada
encircle	тегеректөө
encircling	агат
enclave	баткен
enclose	тосмолоо
enclosure	тосмолонгон жер
encode	коддоо
encomiastic	NO TRANSLATION
encomium	касабына
encompass	каптаган
encore	NO TRANSLATION
encounter	жолугушуу
encourage	түрткү
encouraged	үндөдүм
encouragement	сыйруу
encouraging	бекемдээрлик
encroach	кол
encroachment	кол салуулар
encrypt	код
encryption	коддоо
encumbrance	оорлотуу
encyclopedia	издөө
end	Бир мезгилдин акырына карата
end table	Бир мезгилдин акырына карата стол
endanger	коркунучка жолуктуруу
endangered	жок болуп кетүү коркунучу астында
endangerment	коркунуч
endearing	сонун
endeavor	аракет
ended	аяктады
endemic	эндемикалык
endgame	окшобогон,
ending	аякташы
endless	чексиз
endocarditis	Endocarditis
endorse	тууралыгын ырастоо
endorsement	ырастоо
endow	үйрөт
endowed	берилген
endowment	кайрымдуулук
endpapers	endpapers
endpoint	чекити
endurance	чыдамкайлык
endure	чыдоо
enduring	туруктуу
enema	клизма
enemy	душман
energetic	энергетик
energize	энергия
energy	энергия
enforce	басым жасоо
enforcement	коргоо
enforcer	Enforcer
engage	жүргүзүү
engaged	жүргүзгөн
engagement	үйлөнүү
engaging	кызыктуу
engender	начарлоодо
engine	машина
engineer	инженер
engineering	инженердик
engrave	оюп түшүрүү
engraved	түшүрдү
engraver	чеккичтер
engraving	чеккендей
engrossed	оту менен
engrossing	кызыктуу
engulf	салгын
enhance	жогорулатуу
enhancement	жогорулатуу
enigma	Enigma
enigmatic	домбыра
enjoin	парз
enjoy	ыракаттануу
enjoyable	жагымдуу
enjoying	кубаныч
enjoyment	ыракаттануу
enlarge	кеңейтүү
enlarged	Карим
enlargement	кеңейтүү
enlighten	жарык
enlightened	сабаттуу
enlightening	жарык
enlightenment	агартуу
enlist	сурайбыз
enliven	жандуу
enmity	душмандык
ennui	Апаке
enormity	артылган
enormous	абдан зор
enormously	өтө
enraged	каары кайнап
enrich	байытуу
enroll	регистрациялоо
enrollment	регистрация
ensemble	ансамбли
ensign	гардемарины
enslave	кул
enslaved	кул
enslavement	кул
ensue	келип
ensure	камсыз кылуу
entail	алып келет
entangled	чырмалып
entanglement	байланышуу
enter	кирүү
enterprise	ишкана
enterprising	демилгечил
entertain	кабыл алуу
entertained	коноктошкон
entertainer	артист
entertaining	кызыктуу
entertainment	оюн-зоок
enthralled	кызыгышууда
enthusiasm	чоң кубаныч
enthusiast	жан
enthusiastic	кубанычтуу
entice	азгырат
entire	толугу менен
entirety	толугу менен
entitle	укуктуу
entity	жак
entomology	Энтомология
entourage	тегерегиндегилер
entrails	чабак
entrance	кириш
entrapment	entrapment
entreat	өтүнөм
entree	Кемүүсү боюнча
entrepreneur	ишкер
entrust	ишеним
entry	кирүү
enumerate	санап
enumeration	тизмеси
envelope	конверт
envious	көз карандуу
environ	NO TRANSLATION
environment	айлана-чөйрө
environmental	айлана-чөйрөнү коргоо
environs	айланалары
envision	жагымдуу
envoy	өкүлү
envy	көрө албоо
enzyme	энзим
ephemeral	көз ирмемдик
ephemeris	ephemeris
epic	эпосу
epidemic	эпидемия
epidermis	эпидерма
epidural	арка
epilepsy	талма
epileptic	талмасы
epilogue	эпилогунда
epiphany	көзү ачылуу
episcopal	епископторго
episode	эпизод
episodic	Эпизоддук
epistle	катты кабыл алуучу
epitaph	Кляшторный
epithet	сөгүү
epitome	жандандырылышы
epoch	доору
equal	бирдей
equality	теңдик
equalization	тегиздөөчү
equalize	теңдештирүү
equalizer	Оюнга
equally	бирдей
equate	өмүрү
equation	барабардык
equator	экватор
equatorial	Кирибати
equestrian	ат
equidistant	алыстыгы
equilibration	кетип жатышы
equilibrium	салмактуулук
equip	жабдуу
equipment	жабдуулар
equitable	акыйкаттуу
equity	капитал
equivalence	бирдей
equivalent	барабар
equivocal	эки жактуу
era	доору
eradicate	жок
eradication	кылуу
erase	кир жуу
eraser	резинка
erasure	өчүрүү
ere	NO TRANSLATION
erect	куруу
erectile	Erectile
erection	экран
ergo	NO TRANSLATION
erode	доо
erosion	эрозия
erotic	эротика
erotica	Erotica
err	Err
errand	Солдат
errant	туура эмес
erratic	өзгөрүлмө
erratum	erratum
erroneous	туура эмес
error	ката
erst	NO TRANSLATION
erudite	такшалган
erupt	жарылуу
eruption	атырылып чыгуу
escalade	Escalade
escalate	көбөйүү
escalating	курчугандан
escalation	Бул чыр
escalator	эскалаторго
escape	качуу
escaped	качып
escarpment	бажыдан
eschew	-чолодогу
escort	кароол
escrow	эсеби
esophagus	Кекиртек
esoteric	эзотерик
especial	NO TRANSLATION
espionage	шпионаж
espouse	жактаган
espresso	эспрессо
esprit	Алып баруучулар:
esquire	Esquire
essay	баян
essayist	эссеист
essence	негизи
essential	маанилүү
essentially	олуттуу
establish	белгилөө
established	белгиленген
establishment	белгилөө
estate	кыймылсыз мүлк
esteem	зоболосу
esteemed	урматтуу
esthetic	эстетикалык
estimable	баа
estimate	баалоо
estimation	баа
estoppel	эстоппел
estranged	таштап
estrogen	эстроген
estuary	казанды
etch	жyрөккө орнойт
etching	бириктирүү
eternal	түбөлүктүү
eternity	түбөлүк
ethanol	этил
ether	Акмаралым
ethereal	сонун
ethic	этикалык
ethical	этикалык
ethics	этика
ethnic	этникалык
ethnography	учкай
etiology	этиологиясы
etiquette	этикет
etymology	этимология
eucalyptus	Eucalyptus
euchre	euchre
eugenics	eugenics
eulogistic	сахнасына
eulogium	eulogium
eulogize	eulogize
eulogy	Eulogy
euphemism	схема
euphoria	балкыткан
euphoric	-жыйма
euro	Euro
euthanasia	EUTHANASIA
evacuate	бошотуу я
evacuation	тазалоо
evade	качуу
evaluate	баалоо
evaluation	баа берүү
evanescence	Evanescence
evangelical	инжилдик
evangelist	Жакшы кабарчы
evangelistic	Жакшы Кабарды
evaporate	жок болуу
evaporation	буулануу
evasion	эңкейүү
evasive	түз емес
eve	Обо эне
evening	кечинде
evens	NO TRANSLATION
event	окуя
eventful	толук окуя менен
eventual	толугу менен
eventuality	уурда-
evergreen	жашыл
everlasting	түбөлүк
evermore	түбөлүккө
everyday	күн сайын
everyman	ар бир киши
evict	кетирүү
eviction	айдап салуу
evidence	далил
evident	айкын
evidentiary	далилдери
evil	жаман
evoke	маанайын
evolution	эволюция
evolutionary	Evolutionary
evolve	өнүктү
ewe	козуну
ex	экс
exacerbate	күчөтөт
exacerbation	курчуу
exact	так
exacting	катаал
exaggerate	апыртуу
exaggerated	ашыкча
exaggeration	ашырып жиберүү
exalt	чечүүчү
exaltation	коёмбу
exalted	жогорку
exam	сынак
examination	изилдөө
examine	карап чыгуу
examiner	эксперт
example	мисал
exasperated	кыжырланып
exasperation	жаман көрүүчүлүк
excavate	жулуу
excavation	касылган оюук
excavator	багер
exceed	ашкан
exceeding	ашкан
excel	Excel
excellence	артыкчылык
excellent	эң жакшы
excelsior	Роттердам
excepting	бөлөк
exception	чыгаруу
exceptional	өзгөчө
excerpt	үзүндү
excess	ашыкча
excessive	ашыкча
excessively	ашыкча
exchange	алмашуу
excise	бортко
excision	кес
excitability	жандануусу
excitable	Дүүлүгүүчү
excitation	козголгондо
excite	козгоо
excited	козголгон
excitement	толкундануу
exciting	кызыктуу
exclaim	деп айтары
exclamation	илеп белгиси
exclude	чыгаруу
excluded	алынып салынат
excluding	кошпогондо
exclusion	чыгарып таштоо
exclusive	өзгөчө
excrement	колу бошобой
excretion	бөлүп чыгаруу
excruciating	жырылып,
excursion	экскурсия
excuse	кечирим
exec	Шмидт
execute	ишке ашыруу
execution	аткаруу
executioner	айып
executive	аткаруучу
executor	аткаруучу
exegesis	чырак
exemplar	үлгү
exemplary	үлгүлүү
exemplify	үлгү
exempt	бошотулган
exemption	бошотуу
exercise	көнүгүү
exert	жумшашыбыз
exertion	жумшап
exhale	кыл
exhaust	арыктатуу
exhausted	арыктап кеткен
exhaustion	алсыроо
exhaustive	толук
exhibit	көргөзүү
exhibition	көргөзмө
exhilarated	коштолуп
exhilarating	кубандырбайбы
exhilaration	кызуу кандуулук
exhort	үндө
exhortation	чакырыгы
exhumation	күйөсүнүн
exhume	ирээтинде
exigent	NO TRANSLATION
exile	куугунтуктоо
exist	бар
existence	бар болуу
existent	жок
existential	болушунан
existing	учурдагы
exit	чыгуу
exodus	Чыгуу
exonerate	токтоолук
exorbitant	Сүткордук
exorcism	кубалашы
exorcist	Exorcist
exotic	экзотикалуу
expand	кеңейтүү
expanded	жайылып
expanse	мейкиндик
expansion	кеңейүү
expansive	зор
expatriate	чет элдик
expect	күтүү
expectance	expectance
expectancy	узактыгы
expectant	кош
expectation	күтүү
expected	күтүлүүдө
expecting	күтүп жаткан
expediency	эместиги
expedient	максатка
expedite	тездетүү
expedition	экспедиция
expeditious	тездетилген
expel	кууп жиберүү
expendable	чыгымдалуучу
expenditure	коротуу
expense	чыгым
expenses	чыгымдар
expensive	кымбат
experience	тажрыйба
experienced	тажрыйбалуу
experiences	окуялар
experiment	тажрыйба
experimental	сынамык
experimentation	эксперименти
experimenter	экспериментаторго
expert	эксперт
expertise	экспертиза
expiration	дем чыгаруу
expire	дем чыгаруу
expired	мөөнөтү
expiry	жарактуулук
explain	түшүндүрүү
explanation	түшүндүрүү
explanatory	түшүндүрмө
expletive	жүрөккө тие
explication	түшүндүрүү
explicit	ачык
explode	жаруу
exploit	пайдаланууга
exploitation	колдонуу
exploration	геологиялык чалгындоо
exploratory	издөө
explore	изилдөө
explorer	изилдөөчү аял
explosion	жарылуу
explosions	жарылуулар
explosive	жарылма
expo	EXPO
exponent	даражанын
exponential	көрсөткүчтүү
export	экспорттоо
exportation	ташып
expose	каратуу
exposed	дуушар
exposition	Көргөзмөгө
expository	чечмелөөчү
exposure	көрсөтүү
expound	жандырам
express	билдирүү
expression	билдирүү
expressive	даана
expressway	expressway
expropriation	Клыки
expulsion	чыгаруу
exquisite	ибараттуу:
exquisitely	кылдат
extant	биздин күндөргө чейин сакталып калган
extend	узартуу
extendable	extendable
extended	узартылат
extension	узартуу
extensive	кең
extent	канчалык
exterior	тышкы
exterminate	жок кылуу
extermination	кыруу
exterminator	ТАРЗАН
external	тышкы
externally	сырткы
extinct	тукум курут
extinction	кырылуу
extinguish	өчүрүү
extinguisher	өчүргүч
extol	мактаймын
extort	өндүрүү
extortion	опузалап талап кылуу
extra	кошумча
extract	көчүрмө
extracting	казып алуу
extraction	казып алуу
extractor	Extractor
extracurricular	тышкаркы
extradition	өткөрүп берүү
extrajudicial	соттук эмес
extramural	сырттан
extraneous	бөтөн
extraordinaire	Extraordinaire
extraordinary	укмуштуу
extraterrestrial	Жерден тышкаркы
extravagance	азарт
extravagant	өзүн
extravaganza	Extravaganza
extreme	четки
extreme anticipation	өзгөчө күтүшөт
extreme disgust	өзгөчө өчө элек
extreme surprise	өзгөчө сюрприз
extreme trust	өтө ишенимдүү
extremely	өтө
extremely negative	өтө терс
extremely positive	абдан жакшы
extremity	учу
extricate	күчтү
extrinsic	таандык
extrusion	дүлүктүрүү
exuberance	сүйүнүү
exude	бөлүп
eye	көз
eyeball	көздүн кареги
eyebrow	каш
eyeful	eyeful
eyeglass	көз айнек
eyeglasses	айнегин
eyelash	кирпик
eyelet	көзөнөгү
eyeliner	глаз
eyepiece	Eyepiece
eyes	көзү
eyesight	көзү
eyewitness	көрүп турган эркек
fab	Fab
fable	тамсил
fabled	легендарлуу
fabric	кездеме
fabricate	ойлоп
fabricated	жалган
fabrication	казып алуу
fabulous	укмуштуу
facade	дайы
face	бет
faceless	жүзү
facet	бир өзгөчөлүгү
facial	бет
facile	NO TRANSLATION
facilitate	жардам
facility	объект
facing	алдында
facsimile	копиялар
fact	чындык
faction	Депутат
factor	нерсе
factory	фабрика
facts	маалымат
factual	айкын
faculties	жождорунун
faculty	жөндөмдүүлүк
fad	жорукпу
fade	өчүшү
faded	анча билинбесе,
faeces	миробдорду
fag	fag
faggot	солк
fail	сөзсүз
failing	албай
failure	ката
fain	NO TRANSLATION
faint	начар
fainting	тануу
fair	туура
fairly	адилеттүү
fairness	адилеттүүлүк
fairway	Fairway
fairy	пери
faith	ишеним
faithful	ишенимдүү
faithfulness	ишенимдүүлүк
faithless	ишенимсиз
fake	жамоо
faker	-shahr
falafel	Falafel
falcon	шумкар
fall	түшөт
fallacious	жалган
fallacy	лачуга
fallback	чегинүү
fallible	чыгат
falling	түшүп
fallopian	домен
fallout	түшүп калуу
fallow	кысыр
false	ЖАЛГАН
falsehood	калп
falsely	жалган
falsification	бурмалоо
falsified	жалган
falsify	жейт
falsity	катачылыгын
falter	чалын
fame	репутация
famed	аайлу
familiar	жакын
familiarity	тааныштыгына
familiarize	тааныштыруу
family	үй-бүлө
familytime	familytime
famine	ачкачылык
famished	чарчап
famous	атактуу
famously	белгилүү
fan	желдеткич
fanatic	бир нерсеге берилген
fanatical	кыжырдуу
fanaticism	динчилдиги
fanciful	чындыкка коошпогон
fancy	кооз
fandango	фанданго
fanfare	дуу
fang	NO TRANSLATION
fangs	тили
fanning	желдетүүгө
fantasia	Fantasia
fantasize	кыялданбашыбыз
fantastic	фантастикалык
fantasy	элестетүү
faraway	алыс
farce	катышпоого чакырды
farcical	келекелей
fare	жүрүүгө төлөө
farewell	коштошуу
farm	чарба
farmer	чарбачы
farmhouse	чарбадагы үй
farming	чарбада иштөө
farmland	чарба жерлери
faro	Танжер
fart	осуруу
farther	ыраак
fascia	мунарыкты жалаяк кылып
fascinate	кызыктуу
fascinated	кызыктуу
fascinating	сүйкүмдүү
fascination	сүйкүм
fascism	фашизм
fascist	фашист
fashion	бычма
fashionable	мода
fastball	fastball
fasten	бекитүү
fastener	болты
fastening	байламта
fasting	орозо
fat	майлуу
fatal	өлүмдүү
fatalism	үмүтсүздүк
fatality	кырылуусу
fate	тагдыр
fated	чыгуусу
fateful	чечүүчү
fathead	Татарча
father	ата
fatherhood	ата
fatherland	Ата
fatherly	аталык
fathom	саржан
fatigue	талыгуу
fatigued	чарчап,
fatso	Giver США
fatten	этимология
fatty	майлуу
faucet	суунун краны
fault	кемчилик
faultless	Күнөөсүз
faulty	туура эмес
faun	FAUN
fauna	жаныбарлар
faux	жалган
favor	пайда
favorable	жагымдуу
favorite	сүйүктүү
favoriteholiday	NO TRANSLATION
favoritism	эки жүздүүлүк
fawn	бугу
fax	Тел
faze	NO TRANSLATION
fear	коркунуч
feared	коркуп
fearful	коркунучтуу
fearfully	Корккондон
fearing	корккон
fearless	эр жүрөк
fears	коркунуч
fearsome	коркунучтуу
feasibility	техникалык-экономикалык
feasible	болушу мүмкүн
feast	банкет
feat	Кайрат Нуртас
feather	канат
feathered	канаттуу
feature	өзгөчөлүк
features	Өзгөчөлүктөрү
febrile	температуралуу
fecal	Дойдум
feces	чарды
fecundity	түшүмдүүлүгүн
fed	семиз
federal	федералдык
federation	федерация
fedup	NO TRANSLATION
fee	акы
feeble	алы жок
feed	тамактануу
feedback	байланыш
feeder	Жашар
feel	сезүү
feelgood	Feelgood
feeling	сезим
feelingdown	NO TRANSLATION
feelinggood	NO TRANSLATION
feet	буттары
feign	кий
feigned	элдин камын ойлогон
feisty	Feisty
felicity	Алек
feline	Мышык
fell	төмөндөдү
feller	кыйганы
fellow	ишенимдештерине
fellowship	жолдоштук
felon	кылмышкер
felony	тоноочулук
felt	сезимде
female	ургаачы
feminine	аялдык
femininity	Айпери
feminism	аялдар
feminist	аялдардын
femme	NO TRANSLATION
femoral	бир кыялдардан
femur	кыйыны
fen	NO TRANSLATION
fence	тосмол
fenced	чептүү
fencing	тосмо
fend	бакканды
fender	камин решеткасы
fennel	Fennel
ferment	ачыткынын
fermentation	ачытуу
fern	папоротник
ferocious	Аянда
ferocity	тутанышына
ferret	кирпи
ferry	ташып өтүү
ferryboat	NO TRANSLATION
fertile	жемиштүү
fertility	төрөттүн
fertilize	жер семиртүү
fertilizer	жер семирткич
fervent	жалындуу
fervor	толкундоо
fess	алымдар
fest	Fest
festival	майрам
festive	майрамдык
fetal	түйүлдүктүн
fetch	алып келүү
fete	NO TRANSLATION
fetish	ноги
fetus	түйүлдүк
feud	душманчылык
feudal	чактын
feudalism	тын'ыыры
fever	безгек
feverish	чоктой
fiancee	NO TRANSLATION
fiasco	кыйроо
fiat	Fiat
fib	зыяны жок
fiber	була
fiberglass	стекловолокно
fibrosis	Дарты
fibrous	булалуу
fickle	туруксуз
fiction	ойдон чыгарылган
fictional	ойдон чыгарылган
fictitious	жасалма
fiddle	скрипка
fiddler	скрипкада ойногон адам
fidelity	тууралык
fidgety	тактык
fiduciary	өргүү
field	талаа
field hockey	чөп үстүндөгү хоккей
fielder	Бычок
fiend	шайтан алгыр
fiendish	ырайымсыз
fierce	таш боор
fiery	күйүп жаткан
fiesta	майрам
fiesty	NO TRANSLATION
fifteen	он беш
fifty	элүү
fig	анжыр
fight	салгылаш
fighter	истребитель
fighting	согуш
fights	күрөш
figment	кыялий
figurative	каймана мааниде
figure	көрсөткүч
figurine	айкелчеси
filament	ысытуу
filamentous	filamentous
file	билэ
filet	Сөөксүз
filibuster	шылтап
filigree	оюк
filing	берүү
filings	тарындылар
fill	толтуруу
filler	түрмөктөлүп,
fillet	эти
filling	толтуруу
filly	filly
film	фильм
filmmaker	кинорежиссер
filmy	NO TRANSLATION
filter	чыпка
filth	баткак
filthy	баткактуу
filtration	чыпкалоо
fin	NO TRANSLATION
final	акыркы
finale	жетер
finalist	кирген
finality	баъин
finalize	иштеп чыгуу
finalized	аяктады
finally	акырында
finance	финансы
financial	каржы
financier	каржылоосу
finch	Finch
find	табуу
finder	тапкыч
finding	ачылыш
fine	айып
finery	жасалгалардын
finesse	мубар
finger	манжа
fingernail	тырмак
fingerprint	манжалардын издери
fingerscrossed	NO TRANSLATION
finish	бүтүрүү
finished	даяр
finite	чектүү
fink	Fink
fir	жабдыгы
fire	от
firearm	аткыч
firearms	ок атуучу курал-жарак
fireball	Тоголок
firecracker	Firecracker
firefight	окуя орун
firefighter	өрт өчүргүчтөр
firefly	жаркырак конуз
firehouse	Firehouse
firelight	Шугарлендский
fireman	өрт өчүргүч адам
fireplace	очок
firepower	Firepower
fireproof	топтгу
fireside	таш
firestorm	Firestorm
firewall	тармактык
firewood	отун
firework	АТАРУ
fireworks	фейерверк
firing	Мулан
firm	катуу
firmament	тирегим
firmly	бек
firmness	катуу
first	алгачкы
firstborn	тун
firstworldprobs	NO TRANSLATION
fiscal	бюджет-салык
fish	балык
fisherman	балыкчы
fishery	балык уулоо
fishing	балык уулоо
fishing boat	балык уулоочу кайык
fishy	көздүү
fissile	Конгресстин
fission	Ядролук бөлүнүү
fissure	жаракалуу
fist	муштум
fistfight	fistfight
fistful	Fistful
fistula	блок
fit	туура
fitness	жарамдуулук
fits	алдыруу
fitted	жабдылган
fitting	жабдуулар
fittings	жабдуу
five	беш
fiver	баягыда
fix	бекитүү
fixable	fixable
fixation	жаздыруу
fixed	туруктуу
fixer	координатордун
fixture	бекемдөө
fixtures	даты
fizz	Fizz
fjord	жүрөөрүн карайлы
flabbergast	flabbergast
flabbergasted	ишене
flabby	балбырап
flaccid	балбырап
flag	желек
flagging	Белгилеп
flagpole	АКШга
flagrant	одоно түрдө
flagship	алдынкысы
flagstaff	Flagstaff
flair	Flair
flak	Журтташтар
flake	ичке
flaky	кыроого
flamboyant	колориттүү
flame	жалын
flamethrower	FlameThrower
flaming	жалындаган
flamingo	Блэкпул
flammable	күйүүчү
flan	flan
flange	тешиктер
flank	чеги
flanked	курчоосунда
flanking	капталдарды
flannel	калыъ
flap	жапкыч
flapping	чабуу
flare	от
flares	этүүлөрдөн
flaring	төбөлсүз
flash	жалын
flashback	Flashback
flashing	жаркыраган
flashlight	сигналдык от
flashy	тамдардын
flask	кумура
flat	жалпак
flatbed	түрдөгү
flatfoot	жалпак таман
flatness	түздүк
flatten	тегиздөө
flatter	жагынуу
flattered	эргий
flattering	кошоматчы
flattery	кычыштыра
flatulence	метеоризм
flaunt	мактанбайт
flavor	даам
flaw	кемчилик
flawed	туура эмес
flawless	кемчиликсиз
flea	бүргө
fleabag	алдамчы
fled	качып кетти
flee	качуу
fleece	жүн
fleet	флот
fleeting	убактылуу
flesh	чийки эт
fleshy	эттүү
flex	бүгүү
flexibility	ийкемдүүлүк
flexible	ийилме
flexin	flexin
flexion	бүгүүнүн
flick	Чабуу
flicker	качпай
flickering	бүлбүлдөгөн
flier	учкуч
flight	учуу
flighty	ажырашкандарды
flimsy	чирик
flinch	чочумак
fling	жанагы
flint	оттук
flip	плакатка
flip flop	Flip Flop
flipper	Эгер сүзгүч
flipping	салдыруу
flirt	тийишүү
flirtation	Башка жыныстагы адамга тийишүү
flirting	тийишүү
flirty	Кокетка
float	сүзүү
floater	Floater
flock	үйүр
flog	сабап
flood	топон суу
floor	кабат
flooring	пол
floozy	floozy
flop	Flop
floppy	дискета
flora	өсүмдүктөр
floral	Эмп
florist	гүл сатуучу аял
floss	жип,
flotation	майдалануучулугун
flounder	жыланга
flour	ун
flourish	гүлдөйт
flow	агуу
flower	гүл
flowering	гүлдөө
flowers	гүлдөр
flowery	Гүлдөй
flows	агат
flu	грипп
fluctuate	чайпалуу
fluctuating	үзүк
fluctuation	термелүү
flue	Грипптин
fluency	салмактуу
fluent	жай-салмактанган
fluff	Fluff
fluffy	пушистый
fluid	суюктук
fluidity	өзгөрмөлүүлүгү
fluke	кокустук
flunk	зачёт
flunky	flunky
fluorescence	химиялык
fluorescent	Fluorescent
flurries	flurries
flurry	ажиотаж
flush	агызма
flustered	селейип
flute	чоор
fluted	жазгыч
