Word	ur
cycle	سائیکل
cyclical	چاکلیٹ
cyclist	سائیکل سائیکل
cyclone	سائیکل
cylinder	سلنڈر
cylindrical	سلنڈر
cymbal	جھگڑا
cynic	سنک
cynical	سنک
cynicism	سنجیدگی
cyst	سیست
cystic	سستک
cytomegalovirus	cytomegalovirus
cytoplasm	سیوٹپلاسم
czar	جار
dab	ڈب
dabble	ڈوببل
dabbling	ڈوبنگ
dad	والد صاحب
daddy	والد صاحب
dado	NO TRANSLATION
daemon	ڈیمون
daft	ڈافٹ
dagger	خنجر
daily	روزانہ
dainty	ہمت
daiquiri	ڈائیوری
dairy	ڈیری
daisy	گلابی
dak	NO TRANSLATION
dale	ڈیل
dam	ڈیم
damage	نقصان
damaged	نقصان پہنچا
damages	نقصانات
dame	ڈیم
damn	لامحدود
damnation	بدمعاش
damned	نقصان دہ
damp	نم
dampened	جھکا ہوا
damper	نقصان
damsel	بستر
dance	رقص
dancer	رقاصہ
dancing	رقص
dandruff	دیوار
dandy	ڈینڈی
danger	خطرہ
dangerous	خطرناک
dangerously	خطرناک
dangit	NO TRANSLATION
dangle	خطرناک
dank	NO TRANSLATION
dapper	ڈپرپر
dare	ہمت
daredevil	نڈر
daresay	ڈیریے
daring	بہادر
dark	اندھیرے
darken	اندھیرے
darkened	اندھیرے
darkly	اندھیرے میں
darkness	اندھیرے
darkroom	اندھیرا کمرہ
darkside	تاریک پہلو
darling	عزیز
darn	ڈار
dart	ڈارٹ
dash	ڈیش
dashboard	ڈیش بورڈ
dashed	ڈرا ہوا
dashing	ڈشنگ
dastardly	بدقسمتی سے
data	ڈیٹا
database	ڈیٹا بیس
date	تاریخ
datenight	NO TRANSLATION
daughter	بیٹی
dawdle	آخر میں
dawn	ڈان کی
dawned	آخرکار
day	دن
daybreak	صبح کا دن
daycare	دن کی دیکھ بھال
daydream	دن خواب
daydreaming	دن کا خواب
daylight	دن کی روشنی
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	دن کے وقت
daze	دھندلا
dazed	خطرہ
dazzle	چراغ
dazzling	شاندار
deacon	ڈیکن
deactivate	غیر فعال
dead	مردہ
deadbeat	مردہ برتن
deadline	ڈیڈ لائن
deadlines	آخری تاریخ
deadlock	بندش
deadly	مہلک
deaf	بہرا
deafening	گراؤنڈ
deafness	بقایا
deal	معاہدہ
dealer	ڈیلر
dealership	ڈیلرشپ
dealing	معاملہ
dealings	معاملات
dean	ڈین
dear	عزیز
dearest	سب سے پیاری
dearth	پیارے
death	موت
deathbed	موت کا
deathly	موت
debacle	مباحثہ
debased	ردعمل
debatable	مباحثہ
debate	بحث
debauchery	مچھر
debenture	ڈبینچر
debilitating	کمزور
debit	ڈیبٹ
debrief	debrief
debriefing	بحث کرنا
debris	ملبے
debt	قرض
debtor	قرضدار
debut	پہلے
debutante	پہلا
decade	دہائی
decadence	کمی
decadent	کامل
decaf	فیصلہ
decanter	decanter
decathlon	Decathlon
decay	ہمت
decayed	خرابی
decaying	فیصلہ کرنا
deceased	مقتول
decedent	مہذب
deceit	دھوکہ / فشنگ
deceitful	دھوکہ دہی
deceive	دھوکہ دہی
deceived	دھوکہ دہی
deceiving	دھوکہ دہی
december	دسمبر
decency	صداقت
decent	مہذب
deception	دھوکہ / فشنگ
deceptive	گمراہی
decide	فیصلہ کرنا
decidedly	فیصلہ کیا
deciduous	پریشان
decimal	ڈیشلی
decimeter	decimeter
decipher	فیصلہ کرنا
decision	فیصلہ
decisive	فیصلہ کن
deck	ڈیک
declaration	اعلان
declaratory	اعلاناتی
declare	اعلان کریں
declination	کمی
decline	کمی
declining	کمی
deco	ڈیمو
decode	ڈوڈ آؤٹ
decoder	ڈوڈیڈر
decompose	بے حد
decomposed	خراب ہے
decomposition	تخریب
decompress	ڈراپ
decompression	ڈسپریشن
decontamination	خرابی
decor	سجاوٹ
decorate	سجانے
decorating	سجاوٹ
decoration	سجاوٹ
decorative	آرائشی
decorator	سجاوٹ
decorum	سجاوٹ
decoy	فیصلہ
decrease	کمی
decreased	کمی
decreasing	کمی
decree	فرمان
decrement	کمی
decrepit	کمی
decry	فیصلہ
decryption	ڈراپریشن
dedicate	وقف
dedication	وقف
deduce	کٹوتی
deduct	کٹوتی
deductible	کٹوتی
deduction	کٹوتی
deed	کام کرنا
deejay	deejay
deem	خیال
deep	گہری
deepen	گہری
deer	ہنر
defamation	افتتاحی
defamatory	افتتاحی
default	پہلے سے طے شدہ
defeat	شکست
defeated	شکست دی
defeatist	شکست دینے والا
defect	خرابی
defection	خرابی
defective	عیب دار
defector	دفاعی
defend	دفاع کرو
defendant	مدعا
defended	دفاعی
defender	محافظ
defending	دفاع
defense	دفاع
defenseless	دفاعی
defensible	دفاعی
defensive	دفاعی
defer	گزرنا
deference	دھن
deferral	لاتعداد
deferring	منتقلی
defiance	دفاعی
defiant	عیب دار
defibrillator	خرابی کا شکار
deficiency	کمی
deficient	کمی
deficit	خسارہ
define	کی وضاحت
defined	وضاحت کی
definite	خاص
definition	تعریف
definitive	مستند
deflate	جھگڑا
deflation	غفلت
deflect	جھگڑا
deflection	کفارہ
defloration	کفارہ
deform	اختر
deformed	بگاڑ دیا
deformity	اخترتی
defraud	کھوکھلی
defray	دفاعی
defrost	ٹھوس
deft	خالی
defunct	غلطی
defuse	خراب کرنا
defy	دفاع کرنا
degeneracy	اپنسیسی
degenerate	بدمعاش
degeneration	اپنانے
degradation	ہراساں کرنا
degrade	ڈراؤ
degraded	خراب ہے
degrading	بے حد
degree	ڈگری
dehydrated	خشک کردہ
dehydration	پانی کی کمی
dejected	خارج کر دیا
delay	تاخیر
delayed	تاخیر
delectable	منقولہ
delegate	وفد
delegation	وفد
delete	حذف کریں
deleterious	بے حد
deletion	حذف کرنا
deli	ڈیلی
deliberate	جان بوجھ کر
deliberation	بیان
deliberative	جان بوجھ کر
delicacy	خوشبو
delicate	نازک
delicatessen	delicatessen
delicious	مزیدار
delight	خوشی
delighted	خوشی ہوئی
delightful	خوشگوار
delineate	نازک
delineation	تشریح
delinquency	ڈیلانسٹی
delinquent	لاتعداد
delirious	پریشان
delirium	Delirium
deliver	فراہم کرو
deliverance	نجات
delivery	ترسیل
dell	ڈیل
delta	ڈیلٹا
delude	خوشگوار
deluge	گندگی
delusion	ڈیلژن
delusional	خوشگوار
deluxe	ڈیلکس
delve	ڈیلے
demand	مطالبہ
demanding	مطالبہ
demeaned	ختم ہوگیا
demeaning	گزرنا
demeanor	بدترین
demented	ڈرون
dementia	ڈیمنشیا
demise	موت
demo	ڈیمو
democracy	جمہوریت
democrat	جمہوریت
democratic	جمہوریت
demographic	ڈیموگرافک
demolish	تباہی
demolished	ختم ہوگیا
demolition	تباہی
demon	راکشس
demonic	شیطان
demonstrable	مظاہرین
demonstrate	ظاہر کرتے ہیں
demonstrated	مظاہرہ کیا
demonstrating	مظاہرین
demonstration	مظاہرین
demonstrative	مظاہرین
demonstrator	مظاہرین
demoralized	نمائش
demos	ڈیمو
demure	ڈیمچر
den	NO TRANSLATION
deniability	انکار
denial	انکار
denied	انکار کر دیا
denim	ڈینم
denomination	منفی
denominational	منفی
denominator	ڈینومٹر
denote	انکار
denounce	انکار
dense	گھنے
density	کثافت
dent	ڈینٹ
dental	دانتوں کا
dentist	دانتوں کا ڈاکٹر
dentistry	دندان سازی
dentists	دانتوں کا ڈاکٹر
denunciation	انکار
deny	انکار
denying	انکار
deodorant	ڈیوڈورٹ
depart	روانہ
departed	چلا گیا
department	شعبہ
departmental	محکمہ
departure	روانگی
depend	انحصار
dependable	قابل اعتماد
dependant	انحصار
dependence	انحصار
dependency	انحصار
dependent	انحصار
depict	دکھایا
depicting	دکھایا
depletion	کمی
deplorable	لاجواب
deplore	ڈیلپلور
deploy	تعیناتی
deployment	تعیناتی
deport	گزرنا
deportation	ہتھیار
depose	ذخیرہ کرنا
deposit	جمع کرنا
depositary	ذخیرہ
deposition	ذخیرہ
depository	ذخیرہ
depot	ڈپوٹ
depraved	خراب
depravity	دریافت
depreciate	ذلت کیجئے
depreciated	استحصال
depreciation	فرسودگی
depress	ڈپریشن
depressed	اداس
depressing	ڈپریشن
depression	ذہنی دباؤ
depressive	ڈپریشن
depresson	NO TRANSLATION
deprivation	محروم
deprive	محروم
deprived	محروم
depth	گہرائی
deputy	ڈپٹی
derail	ناگوار
deranged	خراب ہو گیا
derelict	غفلت
derision	نقطہ نظر
derivation	غصہ
derivative	مشتہر
derive	اخذ کردہ
dermal	ڈرمل
dermatologist	ڈرمیٹولوجسٹ
dermatology	ڈرماتولوجی
derogation	وجوہات
derogatory	ناجائز
descend	آدھا
descendant	نسل پرستی
descendent	NO TRANSLATION
descending	نیچے اترتے ہیں
descent	نسل
describe	بیان کریں
description	تفصیل
descriptive	وضاحتی
desecrate	بے حد
desecration	بیداری
desert	صحرا
deserted	ویران
deserter	deserter
desertion	ہراساں کرنا
deserve	مستحق
deserved	مستحق
deserving	مستحق
design	ڈیزائن
designate	نامزد
designated	نامزد
designation	نامزد
designed	ڈیزائن کیا
designer	ڈیزائنر
designing	ڈیزائن کرنا
desirability	خواہشات
desirable	مطلوبہ
desire	خواہش
desiring	خواہش مند
desirous	خواہش مند
desist	متنازعہ
desk	میز
desolate	بدمعاش
desolation	غفلت
despair	نا امید
despairing	نا امید
despatch	اچانک
desperado	desperado
desperate	بیتاب
desperation	ہراساں کرنا
despicable	ناجائز
despise	نفرت
despondent	ناجائز
despotic	نفرت
despotism	ناپسندی
dessert	میٹھی
destination	منزل
destined	قسمت
destiny	قسمت
destitute	غریب
destroy	تباہ
destroyed	تباہ ہوگیا
destroyer	تباہی
destroying	تباہ
destruct	تباہ
destruction	تباہی
destructive	تباہ کن
detach	توڑنا
detached	الگ الگ
detachment	ڈسپلے
detail	تفصیل
detailed	تفصیلی
details	تفصیلات
detain	کشیدگی
detainee	قیدی
detect	پتہ لگائیں
detectable	پتہ لگانے والا
detection	پتہ لگانا
detective	جاسوسی
detector	آلہ
detention	حراستی
deter	روکنا
detergent	ڈٹرجنٹ
deteriorate	خراب ہے
deteriorated	خراب ہوگیا
deteriorating	خراب ہے
deterioration	خرابی
determinable	قابل اعتماد
determinate	فیصلہ کرو
determination	تعین
determine	تعین کریں
determined	یہ تعین
deterrent	عبرت
detest	جاننا
detestation	تنصیب
detonate	دھماکہ
detonation	دھماکہ
detonator	دھماکہ خیز مواد
detour	ڈراور
detract	کشیدگی
detriment	نفرت
detrimental	نقصان دہ
detritus	ڈٹرتس
deuce	ڈسکو
deutschmark	ڈچچمارک
devalued	منایا
devastate	تباہ کن
devastated	تباہ کن
devastating	تباہ کن
devastation	تباہی
develop	تیار کریں
developer	ڈویلپر
developing	ترقی پذیر
development	ترقی
deviant	گمراہ
deviate	انحراف
deviating	توڑنا
deviation	انحراف
device	آلہ
devil	شیطان
deviled	باطل
devilish	شیطان
devious	متضاد
devise	ویسا
devoid	خالی
devolution	بہاؤ
devolve	بولو
devote	وقف
devoted	وقف
devotee	بیوٹی
devotion	عقیدت
devotional	عقیدت
devour	کھا
devout	عقیدت
dew	اوہ
dexter	ڈسٹرٹر
dexterity	بے حد
dextrose	ڈیکروسو
diabetes	ذیابیطس
diabetic	ذیابیطس
diabolical	شیطان
diagnose	تشخیص
diagnosis	تشخیص
diagnostic	تشخیصی
diagnostics	تشخیصی
diagonal	اختیاری
diagram	ڈایاگرام
dial	ڈائل
dialect	زبان
dialectic	ڈائلیکک
dialogue	بات چیت
dialysis	ڈائلیزیز
diameter	قطر
diamond	ہیرے
diamonds	ہیرے
diaper	ڈایپر
diaphragm	ڈایافرام
diarrhea	اسہال
diarrhoea	اسہال
diary	ڈائری
diatribe	ڈائری
dib	NO TRANSLATION
dibs	ڈیوس
dice	نرد
dicey	ڈکی
dichotomous	ڈیوٹیومس
dichotomy	ڈیوکوٹومی
dick	ڈک
dickhead	dickhead
dicks	کاک
dictate	حکم دیں
dictation	املا
dictator	آمر
dictatorial	آمریت
dictatorship	آمریت
diction	ڈانس
dictionary	لغت
dictum	NO TRANSLATION
didactic	غیر جانبدار
diddle	ڈاپل
die	NO TRANSLATION
died	مر گیا
diesel	ڈیزل
diet	غذا
dietary	غذائیت
differ	مختلف
difference	فرق
differences	اختلافات
different	مختلف
differential	فرق
differentiation	تفرق
differently	مختلف
differing	مختلف
difficult	مشکل
difficulties	مشکلات
difficulty	مشکل
diffuse	پھیلا ہوا
diffusion	دریافت
dig	NO TRANSLATION
digest	ہضم
digestion	ہضم
digestive	ہضم
digit	عدد
digital	ڈیجیٹل
dignified	وقار
dignify	وقار
dignity	وقار
digress	ہک
digs	NO TRANSLATION
dike	NO TRANSLATION
dilapidated	خراب
dilatation	جھاڑو
dilation	تنقید
dildo	dildo کے
dilemma	دشمنی
diligence	محتاج
diligent	میہنتی
dill	ڈیل
diluent	سست
dilute	کمزور
diluted	پتلی
dilution	کمزور
dim	دھیان دو
dime	ڈیم
dimension	طول و عرض
dimensional	جہتی
diminish	کم
diminished	کم
diminution	کم از کم
diminutive	کم سے کم
dimwit	طول و عرض
din	NO TRANSLATION
dine	NO TRANSLATION
diner	ڈنر
dinghy	ڈنگی
dingo	ڈنگو
dingy	ڈنگی
dining	کھانے
dinky	ڈینک
dinner	رات کا کھانا
dinnertime	رات کے کھانے کا وقت
dinosaur	ڈایناسور
dint	ڈانٹ
diocesan	ڈیوسکین
diocese	ڈیوکیس
diorama	ڈائراما
dioxide	ڈائی آکسائڈ
dip	ڈپ
diploma	ڈپلومہ
diplomacy	سفارتکاری
diplomat	سفارتکار
diplomatic	سفارتی
dipper	ڈپرپر
dippy	dippy
dipstick	ڈپسٹک
dire	NO TRANSLATION
direct	براہ راست
directed	ہدایت
direction	سمت
directive	ہدایت
directly	براہ راست
director	ڈائریکٹر
directory	ڈائریکٹری
dirt	گندگی
dirty	گندی
disability	معذور
disable	غیر فعال
disabled	غیر فعال
disadvantage	نقصان
disaffected	ناانصافی
disagree	متفق
disagreeable	ناجائز
disagreeing	متفق
disagreement	اختلاف
disallow	ناجائز
disallowed	ناجائز
disapointment	NO TRANSLATION
disappear	غائب ہو
disappearance	لاپتہ
disappearing	غائب ہو گیا
disappoint	مایوس
disappointed	مایوس
disappointing	مایوسی
disappointment	مایوسی
disapproval	ناپسندی
disapprove	ناپسندی
disapproved	ناپسندی
disapproving	ناپسندی
disarm	بے معل
disarray	تخریب
disaster	مصیبت
disastrous	تباہ کن
disband	ختم
disbelief	کفر
disbelieve	انکار کرو
disburse	ترسیل
disbursement	ادائیگی
disc	ڈسک
discard	چھوڑ دو
discarded	رد کر دیا
discards	تقویت
discern	سمجھتے ہیں
discernible	سمجھدار
discerning	سمجھدار
discernment	سمجھدار
discharge	خارج ہونے والے مادہ
disciple	شاگرد
disciplinary	نظم و ضبط
discipline	نظم و ضبط
disciplined	نظم و ضبط
disclaim	اعلان کریں
disclaimer	ڈس کلیمر
disclose	ظاہر ہے
disclosed	افشا
disclosure	انکشاف
disco	ڈسکو
discoloration	مایوسی
discolored	بے نقاب
discomfort	تکلیف
disconcerted	منقطع
disconcerting	منقطع
disconnect	منقطع
disconnected	منقطع
disconnection	منقطع
disconnects	منقطع
discontent	ناپسندی
discontinuance	پابندی
discontinue	بند کریں
discontinuity	بدمعاش
discontinuous	بدمعاش
discord	متفق
discount	ڈسکاؤنٹ
discounted	رعایتی
discourage	ہراساں کرنا
discouraged	حوصلہ شکنی
discouragement	ناخوشگوار
discouraging	ہراساں کرنا
discourse	گفتگو
discover	دریافت
discovery	دریافت
discredit	بدنام
discredited	بدقسمتی
discreet	NO TRANSLATION
discrepancy	اختلافات
discrete	ڈھوک
discretion	صوابدید
discretionary	اختیاری
discriminate	امتیاز
discriminating	امتیازی سلوک
discrimination	امتیازی سلوک
discus	ڈسپوس
discuss	بحث کریں
discussion	بحث
disdain	نفرت
disdainful	بے حد
disease	بیماری
diseased	بیمار
disembodied	ڈسپلے
disengage	معاوضہ
disengagement	ناپاکی
disfigured	بے نقاب
disgrace	ذلت
disgraced	بدبختی
disgraceful	شرمناک
disgruntled	ہراساں کرنا
disguise	چھپانا
disguised	ڈسپلے
disgust	نفرت
disgusted	ناپسندی
disgusting	نفرت
dish	ڈش
disheartened	ختم ہو گیا
disheartening	ہراساں کرنا
dishonest	بے شک
dishonesty	بے شک
dishonor	بے شک
dishonorable	ناقابل یقین
dishwasher	برتنیں دھونے والا
disillusionment	ناپسندی
disinclination	انفیکشن
disincline	ختم کرنا
disinclined	منحصر ہے
disinfect	ڈسنا
disinfectant	معدنیات سے متعلق
disinfection	ڈسنا
disinformation	بے چینی
disingenuous	بے حد
disintegrate	ختم ہو جاؤ
disintegration	وینٹیلیشن
disinterested	خراب
disjoint	ناجائز
disjointed	ناجائز
disjunctive	ناجائز
disk	ڈسک
diskette	ڈسکیٹ
dislike	ناپسندی
disliked	ناپسندی
disliking	ناپسندی
dislocated	خارج کر دیا
dislocation	نقل و حمل
dislodge	ختم کرنا
disloyal	بے حد
disloyalty	بے حد
dismal	ناپاک
dismantle	ختم کرنا
dismay	ڈراپ
dismayed	ڈراپ
dismemberment	تباہی
dismiss	برطرف
dismissal	برطرف
dismissive	مسترد
dismount	ختم کرنا
disobedience	نافرمانی
disobedient	نافرمانی
disobey	نافرمانی
disorder	خرابی کی شکایت
disordered	خرابی
disorderly	بے ترتیب
disorganized	غیر منظم
disorientation	بدترین
disoriented	ناپسندی
disown	ختم کر دیا
disparage	تفاوت
disparaging	متفق
disparate	متفق
disparity	تفاوت
dispassionate	ڈسپلے
dispatch	ترسیل
dispatcher	ترسیل
dispel	منتقلی
dispensary	ڈسپینسری
dispensation	منتقلی
dispense	تقسیم کرنا
dispenser	ڈسپینسر
dispersal	منتشر
disperse	منتشر
dispersed	منتشر
dispersion	منتقلی
dispirited	مایوسی
displace	تبدیل کریں
displaced	بے گھر
displacement	نقل مکانی
displacency	بے گھرگی
display	ڈسپلے
displease	ناپسندی
displeased	ناخوش
displeasure	ناخوشگوار
disposable	ڈسپوزایبل
disposal	ضائع کرنا
dispose	تصویری
disposed	خارج کر دیا
disposition	ڈسپلے
dispossessed	ڈسپوسایڈ
disprove	غیر فعال
dispute	تنازعہ
disqualification	ناجائز
disqualified	ناگزیر
disqualify	ناگزیر
disquieted	ناپسندی
disregard	بے حد
disregarded	بے حد
disrelish	ڈراؤ
disreputable	ناجائز
disrepute	بدمعاش
disrespect	ناپسندی
disrespectful	ناپسندیدہ
disrupt	رکاوٹ
disrupting	رکاوٹ
disruption	خلل
disruptive	مایوس کن
dissatisfaction	عدم اطمینان
dissatisfied	مطمئن
dissect	پھیلانا
dissection	کھپت
disseminate	تقسیم کرنا
dissemination	تقسیم
dissension	تناؤ
dissent	اختلافات
dissenting	متفق
dissertation	مقالو
disservice	متفق
dissident	مخالفت
dissimilar	مختلف
dissipate	کھپت
dissipated	کھپت
dissociation	انحصار
dissociative	الگ الگ
dissolution	تحلیل
dissolve	تحلیل
dissonance	ناپسندی
dissuade	متفق
distal	فاصلہ
distance	فاصلے
distant	دور
distaste	فاصلہ
distasteful	بدبختی
distillate	پریشان
distillation	توازن
distilled	مایوس
distinct	مختلف
distinction	فرق
distinctive	مخصوص
distinguish	ممتاز
distinguishable	متضاد
distinguished	ممتاز
distinguishing	متنازعہ
distort	بگاڑنا
distorted	خراب ہوگیا
distortion	مسخ
distract	مشغول
distracted	پریشان
distracting	پریشان کن
distraction	پریشان
distraught	پریشان
distress	تکلیف
distressed	پریشان
distressing	پریشانی
distribute	تقسیم کرو
distribution	تقسیم
distributor	تقسیم کار
district	ضلع
distrust	بے اعتمادی
disturb	پریشان
disturbance	مصیبت
disturbed	پریشان
disturbing	پریشان کن
disuse	استعمال کرنا
disused	ناپسندی
ditch	ڈچ
ditto	ڈاٹٹو
ditty	ڈٹی
diurnal	ڈرنل
diva	دیوی
divan	NO TRANSLATION
dive	ڈوبو
diver	غوطہ
diverge	الگ الگ
divergence	دریافت
divergent	الگ الگ
diverging	ڈورنگنگ
divers	متنوع
diverse	متنوع
diversified	متنوع
diversify	متنوع
diversion	متنوع
diversionary	متنوع
diversity	تنوع
divert	تبدیل
diverting	تبدیل کرنا
divest	تقسیم
divested	تقسیم کیا
divestment	تقسیم
divide	تقسیم کریں
divided	تقسیم
dividend	منافع بخش
divination	تقسیم
divine	الہی
divinity	دیوتا
divisible	تقسیم
division	ڈویژن
divisor	ڈویژن
divorce	طلاق
divorcee	طلاق
divulge	تقسیم کرنا
divvy	ڈویژن
dizziness	چکنائی
dizzy	dizzy
do	کیا
doable	قابل
doc	ڈاکٹر
docile	باطل
dock	گودی
docked	ڈبے
docket	جیب
docking	ڈاکنگ
doctor	ڈاکٹر
doctorate	ڈاکٹر
doctrinal	نظریاتی
doctrine	نظریات
document	دستاویز
documentary	دستاویزی
documentation	دستاویزات
documents	دستاویزات
dodge	چکما
dodger	ڈوجر
dodging	ڈوڈنگنگ
dodgy	گندی
dodo	دودو
doe	ڈان
doer	کتے
dog	کتا
dogface	dogface
dogged	کتے
doggy	کتا
doghouse	کتا گھر
dogma	کتا
dogmatic	کتب
dogsick	NO TRANSLATION
doings	کام
doit	NO TRANSLATION
dojo	Dojo
doldrums	داستانیں
dole	ڈائل
doll	گڑیا
dollar	ڈالر
dollhouse	گڑیا ہاؤس
dolor	NO TRANSLATION
dolphin	ڈالفن
domain	ڈومین
dome	گنبد
domestic	گھریلو
domesticated	گھریلو
domestication	گھریلو
domicile	ملکیت
domiciled	غلبہ
dominance	غالبا
dominant	غالب
dominate	غلبہ
dominating	غالبا
domination	تسلسل
dominatrix	dominatrix
dominion	اقتدار
domino	ڈومنو
don	ڈان
donate	عطیہ
donation	عطیہ
donkey	گدھے
donor	ڈونر
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	ڈنٹینیک
dontunderstand	NO TRANSLATION
doodle	ڈوڈل
doom	عذاب
doomed	تباہی
doomsday	قیامت کا دن
door	دروازہ
doorbell	گھنٹی
doorknob	Doorknob
doorman	دروازہ
doormat	دوپہر
doornail	ڈورنویل
doorstep	دروازہ
doorway	دروازے
dopamine	دوپامین
dope	ڈپ
dopey	ڈوپی
dork	ڈارک
dorky	ڈارک
dorm	چھاترالی
dormant	غیر معمولی
dormitory	ڈرمٹیوری
dorsal	دوسل
dosage	خوراک
dose	خوراک
dossier	دوپہر
dot	ڈاٹ
doting	ڈاٹٹنگ
dotted	ڈاٹٹ
dotty	ڈٹی
double	ڈبل
doubled	دوگنا
doublet	دوپہر
doubling	دوگنا
doubt	شک
doubtful	شکایات
doubting	شک ہے
doubtless	بے شک
doubts	شک
douche	ڈوچ
douchebags	douchebags
dough	آٹا
doughboy	doughboy
doughnut	ڈونٹ
dour	کھا
douse	گھر
dove	کبوتر
down	نیچے
downcast	کمی
downer	کمر
downfall	کمی
downfield	نیچے فیلڈ
downhearted	نیچے ڈھیر
downhill	نیچے کی طرف
download	ڈاؤن لوڈ
downpour	نیچے ڈالنا
downright	ٹھیک ہے
downriver	ڈرایور
downside	نیچے کی طرف
downtime	ٹائم ٹائم
downward	نیچے
downy	نیچے
dowry	دوہرا
doze	پیچ
dozen	درجن
drab	ڈراب
draft	مسودہ
drafty	مسودہ
drag	ڈریگ
dragon	ڈریگن
dragonfly	dragonfly
drain	ڈرین
drainage	نکاسیج
drained	سوکھا ہوا
draining	ڈریننگ
drainpipe	ڈرینپپ
drake	ڈریگن
drama	ڈرامہ
dramaqueen	ڈرامہ
dramatic	ڈرامائی
drape	انگور
drapery	ڈراپ
drastic	سخت
drat	NO TRANSLATION
draught	مسودہ
draw	ڈراو
drawback	خرابی
drawbridge	ڈریجج
drawer	دراج
drawers	دراز
drawing	ڈرائنگ
dread	خوفناک
dreaded	خوفناک
dreadful	خوفناک
dreadfully	خوفناک
dreading	خوفناک
dream	خواب
dreamboat	خواب بٹ
dreamer	خواب دیکھنے والا
dreaming	خواب دیکھنا
dreamland	خواب خواب
dreams	خواب
dreamt	خواب دیکھا
dreamy	خواب
dreary	ڈریری
dredge	ڈریج
drenched	کھڑا
dress	لباس
dresser	ڈریسر
dressmaker	درزی
dressy	لباس
dribble	NO TRANSLATION
dried	خشک
drier	drier
drift	بہاؤ
drifted	بڑھتی ہوئی
drifter	ڈراؤٹر
driftwood	driftwood
drill	ڈرل
drink	پینے
drinker	پینے والا
drinking	پینے
drinks	مشروبات
drip	ڈپپ
dripping	ٹپپنگ
drive	ڈرائیو
drivel	بہاؤ
driver	ڈرائیور
driveway	ڈرائیو
drizzle	بہاؤ
droll	ڈول
drone	ڈرون
drones	ڈرون
drool	drool
drooping	ڈراپنگ
droopy	ڈراپ
drop	ڈراپ
droplet	بوند
dropout	باہر چھوڑ
dropper	ڈراپپر
drought	خشک
drove	NO TRANSLATION
drown	ڈوب
drowsiness	بدمعاش
drowsy	غنودگی
drudgery	ڈرگری
drug	منشیات
drug dealing	منشیات کی تجارت
drugged	منشیات
druggist	druggist
drugs	منشیات
drugstore	منشیات کا ذخیرہ
druid	ڈیوڈ
drum	ڈھول
drummer	ڈرمر
drumming	ڈرمنگ
drunk	نشے میں
drunk driving	نشے میں ڈرائیونگ
drunkard	شرابی
drunken	شرابی
drunkenness	شرابی
dry	خشک
dryer	ڈرائر
dryness	خشک
dual	دوہری
dualism	دوستانہ
duality	ڈیوٹی
dub	ڈب
dubious	مشکوک
duchess	duchess
duck	بتھ
ducking	بتھ
duckling	بکسنگ
ducky	ڈکی
duct	ڈک
ductile	نمی
dud	ڈڈ
dude	دوست
duds	دوڈ
due	وجہ سے
duel	دانو
dues	ادائیگی
duet	جوڑی
duffel	ڈفیل
dugout	ڈوب آؤٹ
duh	ہاں
duke	ڈیوک
dull	سست
dullard	dullard
dumb	گونگا
dumbasses	گوبھی
dumbbell	گوبھی
dumbbitch	NO TRANSLATION
dumfound	ڈومفاؤنڈ
dumfounder	NO TRANSLATION
dummy	ڈمی
dump	ڈمپ
dumpling	گوپانگ
dumps	ڈمپ
dumpster	ڈمپسٹر
dun	ڈان
dunce	ڈونس
dune	دھن
dung	NO TRANSLATION
dungeon	تہھانے
dunk	ڈنک
duo	دو
dupe	دوپہر
duplex	دوپہر
duplicate	نقل
duplication	نقل و حرکت
duplicity	تسلسل
durability	استحکام
durable	پائیدار
duration	مدت
duress	پختہ
dusk	دوپہر
dusky	گندی
dust	دھول
duster	جھاڑو
dustpan	dustpan
dusty	دھول
dutiful	بیوقوف
duty	ڈیوٹی
dwarf	بونا
dwarfed	بونا
dweeb	ڈوب
dwell	رہنا
dweller	رہائش گاہ
dwelling	رہائش گاہ
dye	ڈائی
dying	مردہ
dyke	ڈائییکی
dynamic	متحرک
dynamical	متحرک
dynamics	متحرک
dynamite	بارود
dynamo	ڈائمنامو
dynasty	خاندان
dysentery	ڈسینٹری
dysfunction	بیماری
dysfunctional	خراب
dyspepsia	ڈسپس
eager	شوقین
eagerness	چیلنج
eagle	ایگل
ear	کان
earful	earful
earl	earl
earlier	پہلے
early	ابتدائی
earn	کماتے ہیں
earnest	سستا
earnestly	احتیاط سے
earnestness	تعظیم
earnings	آمدنی
earpiece	earpiece
earring	کان کی بالیاں
earrings	کان کی بالیاں
earshot	earshot
earth	زمین
earthenware	زلزلہ
earthling	earthling
earthly	زلزلہ
earthquake	زلزلہ
earthy	زلزلے
ease	آسانی سے
easel	easel
easement	easement
easily	آسانی سے
east	مشرق
eastbound	مشرقی باؤنڈ
eastern	مشرق وسطی
easy	آسان
easygoing	اسانی سے
eat	کھاؤ
eater	کھانا
eating	کھانا
eatingdisorders	NO TRANSLATION
eavesdrop	بچت
eavesdropping	بچاؤ
ebb	ای بی بی
ebony	آبنوس
ebullient	ایوارڈ
eccentric	سنکی
eccentricity	سادگی
ecclesiastical	اقبال
