Word	mt
cheque	kontroll
cherish	għeżież
cherishing	għeżież
cherry	ċirasa
cherub	cherub
chess	ċess
chest	sider
chestnut	qastan
chevron	chevron
chew	tomgħod
chewy	mgħaġġel
chic	CHIC
chicane	chicane
chick	flieles
chicken	tiġieġ
chicken pox	gidri r-riħ
chickenpox	gidri r-riħ
chief	kap
chiefly	prinċipalment
chieftain	chieftain
chiffon	Chiffon
child	tifel / tifla
childbirth	twelid
childhood	it-tfulija
childish	tfal
childless	mingħajr tfal
childlike	tfal simili
childloss	NO TRANSLATION
children	tfal
chili	CHILI
chill	chill
chilled	imkessaħ
chilling	tkessiħ
chilly	chilly
chime	chime
chimera	kimera
chimes	chimes
chimney	ċumnija
chimp	chimp
chimpanzee	chimpanzee
chin	Chin
china	kina
chinchilla	ċinċilla
chine	NO TRANSLATION
chinook	Chinook
chip	ċippa
chipmunk	chipmunk
chipper	chipper
chipping	tixlif
chiropractor	chiropractor
chirp	chirp
chirping	chirping
chisel	chisel
chiseler	chiseler
chit	chit
chitchat	chitchat
chivalry	chivalry
chloride	klorur
chlorine	kloru
chloroform	kloroform
chocolate	ċikkulata
choice	għażla
choir	kor
choke	ċowk
cholera	kolera
cholesterol	kolesterol
choose	agħżel
choosing	jagħżlu
choosy	jagħżlu
chop	CHOP
chopper	chopper
choppers	choppers
chopping	tqattiegħ
chops	chops
choral	korali
chord	korda
chords	kordi
chore	chore
choreographer	koreografu
choreography	Koreografija
chorus	kor
chosen	magħżul
chow	chow
chowder	Chowder
christ	Kristu
christen	NO TRANSLATION
christening	christening
christian	christian
christmas	Milied
christmasbreak	NO TRANSLATION
christmaseve	NO TRANSLATION
christmasspirit	NO TRANSLATION
christmassy	christmassy
christmastime	christmastime
chromatic	kromatiċi
chromatography	kromatografija
chrome	chrome
chromium	kromju
chromosome	kromosoma
chronic	kroniku
chronicle	chronicle
chronograph	kronografu
chronological	kronoloġiku
chubby	chubby
chuck	chuck
chuckle	chuckle
chug	chug
chum	chum
chummy	chummy
chump	chump
chunk	chunk
chunky	chunky
church	knisja
churchyard	bitħa tal-knisja
churn	taħsir
chute	chute
chutney	chutney
ciao	ciao
cider	sidru
cigar	sigarru
cigarette	sigarett
cilantro	cilantro
cinch	cinch
cinder	cinder
cinema	ċinema
cinematic	ċinematiku
cinematographer	ċinematografu
cinematography	ċinematografija
cinnamon	kannella
cipher	ċifra
circle	ċirku
circling	dawran
circuit	ċirkwit
circuitry	ċirkuwiti
circular	ċirkolari
circulate	jiċċirkolaw
circulation	ċirkolazzjoni
circulatory	ċirkolatorja
circumcision	ċirkonċiżjoni
circumference	ċirkonferenza
circumferential	ċirkonferenzjali
circumscribed	ċirkoskritti
circumstance	ċirkustanza
circumstances	ċirkostanzi
circumstantial	ċirkostanzjali
circumvent	jaħarbu
circumvention	evażjoni
circus	ċirku
cirque	cirque
cirrhosis	ċirrożi
cirrus	cirrus
cistern	cistern
citadel	citadel
citation	ċitazzjoni
cite	jikkwotaw
citizen	ċittadin
citizenship	ċittadinanza
citrine	Citrine
citrus	ċitru
city	belt
citywide	madwar il-belt
civic	ċiviku
civics	ċiviċi
civil	ċivili
civilian	ċivili
civilians	nies ċivili
civility	ċivilità
civilization	ċiviltà
civilized	ċivilizzat
clad	miksi
claim	talba
claimant	attur
clairvoyant	clairvoyant
clam	Arzella
clambake	clambake
clammy	twaħħal
clamor	clamor
clamp	morsa
clan	klann
clandestine	klandestin
clang	clang
clap	clap
clapper	clapper
clapping	blalen
clarification	kjarifika
clarify	ikkjarifika
clarinet	klarinett
clarion	ċarezza
clarity	ċarezza
clash	kunflitt
clashing	jikkumbattu
clasp	clasp
class	klassi
classic	klassiku
classic rock	blat klassiku
classical	klassiku
classics	klassiċi
classification	klassifikazzjoni
classified	ikklassifikat
classify	tikklassifika
classmate	klassi tal-klassi
classroom	fil-klassi
classy	classy
clatter	clatter
clause	klawżola
clauses	klawżoli
claustrophobia	claustrofobija
claustrophobic	claustrofobika
clavicle	klavikula
claw	claw
claws	dwiefer
clay	tafal
clean	nadif
cleaner	aktar nodfa
cleaning	tindif
cleanliness	ndafa
cleanly	b'mod nadif
cleanse	nodfa
cleanser	cleanser
cleansing	tindif
cleanup	Naddaf
clear	ċar
clearance	tneħħija
clearing	ikklerjar
clearness	ċarezza
cleat	bitti
cleavage	qsim
cleave	jaqbdu
cleaver	NO TRANSLATION
clef	clef
cleft	fgat
clemency	klemenza
clench	clench
clergy	kleru
clergyman	kleru
cleric	kleru
clerical	klerikali
clerk	skrivan
clerkship	iskrivanija
clever	għaqlija
cleverness	għaqlija
click	ikklikkja
clicker	clicker
client	klijent
clientele	klijentela
cliff	irdum
climate	klima
climatology	klimatoloġija
climax	quċċata
climb	tluq
climber	climber
clinch	tinkwadra
cling	riċiklaġġ
clingy	irbit
clinic	klinika
clinical	kliniku
clink	clink
clip	clip
clipboard	clipboard
clipper	klipper
clipping	ikklippjar
clique	NO TRANSLATION
clitoris	klitoris
cloak	żebgħa
cloaking	cloaking
cloakroom	cloakroom
clobber	clobber
clock	arloġġ
clockwork	xogħol tal-arloġġ
clod	clod
clog	jinstaddu
cloister	cloister
clone	klonu
cloning	klonazzjoni
close	qrib
closed	magħluq
closeness	viċinanza
closet	closet
closure	għeluq
clot	embolu
cloth	drapp
clothe	ilbies
clothes	ħwejjeġ
clothesline	ħwejjeġ tal-bjut
clothing	ilbies
cloud	sħaba
clouded	imdawla
cloudiness	sħana
clouds	sħab
cloudy	imdardra
clout	influwenza
clove	sinna
clover	silla
cloves	qronfol
clown	buffu
clowns	buffi
club	klabb
clubhouse	clubhouse
clubs	klabbs
cluck	Cluck
clue	clue
clueless	mhux ikklassifikat
clump	jingħaqdu
clumsy	torbot
clunk	clunk
cluster	cluster
clutch	klaċċ
clutches	klaċċijiet
clutter	imbarazz
coach	kowċ
coachman	kowċier
coagulation	koagulazzjoni
coal	faħam
coalesce	koalesce
coalition	koalizzjoni
coarse	ħafif
coast	kosta
coastal	kostali
coaster	coaster
coastline	kosta
coat	pil
coating	kisi
coax	coax
cobalt	kobalt
cobble	cobble
cobbler	cobbler
cobra	cobra
cocaine	kokaina
cock	vit
cockamamie	cockamamie
cockeyed	cockeyed
cockpit	kabina tal-pilota
cockroach	cockroach
cocksucker	cocksucker
cocktail	cocktail
cocky	irqad
cocoa	kawkaw
coconut	coconut
cocoon	Cocoon
cod	merluzz
code	kodiċi
codeine	codeine
codex	codex
codfish	merluzz
codification	kodifikazzjoni
codify	jikkodifika
coding	kodifikazzjoni
coed	coed
coefficient	koeffiċjent
coerce	il-ġlied
coercion	koerzjoni
coercive	koercive
coexist	jikkoeżistu
coexistence	koeżistenza
coexisting	koeżistenti
coffee	kafè
coffee table	Mejda tal-kafe
coffeehouse	coffeehouse
coffeepot	coffeepot
coffin	tebut
cog	cog
cogent	konviventi
cognac	Cognac
cognate	imsejjaħ
cognition	konjizzjoni
cognitive	konjittivi
cohabitation	koabitazzjoni
coherence	koerenza
coherent	koerenti
cohesion	koeżjoni
cohesive	koeżiv
cohort	cohort
coil	coil
coiled	f'koljaturi
coin	munita
coinage	muniti
coincide	jikkoinċidu
coincidence	koinċidenza
coincident	koinċidenti
coincidental	b'kumbinazzjoni
coinciding	jikkoinċidi
coke	kokk
cola	cola
cold	kiesaħ
coldly	kiesaħ
coldness	kesħa
coldsweat	NO TRANSLATION
coleslaw	coleslaw
colic	kolika
coliseum	koliseum
collaborate	tikkollabora
collaboration	kollaborazzjoni
collaborator	kollaboratur
collage	collage
collagen	kollaġen
collapse	kollass
collar	kullar
collarbone	klarbun
collate	tiġbor
collateral	kollaterali
collation	kollazzjoni
colleague	kollega
collect	jiġbru
collected	miġbura
collection	ġbir
collective	kollettiv
collectively	kollettivament
collector	kollettur
college	kulleġġ
collegiate	kolleġjali
collide	jikkonfliġġu
collie	collie
collision	kolliżjoni
collocation	kollokazzjoni
colloquial	kollokjali
collusion	kollużjoni
cologne	Cologne
colon	kolon
colonel	Kurunell
colonial	kolonjali
colonic	koloniku
colonoscopy	colonoscopy
colony	kolonja
colophon	kolofonu
color	kulur
coloration	kulur
colored	ikkulurit
colorful	mlewna
coloring	kulur
colorless	bla kulur
colors	kuluri
colossal	kolossali
colt	colt
columbine	columbine
column	kolonna
columnar	columnar
columnist	columnist
com	NO TRANSLATION
coma	koma
comatose	comatose
comb	moxt
combat	ġlieda kontra
combatant	ġellieda
combative	kombinattiv
combination	kombinazzjoni
combinatorial	kombinatorja
combine	jgħaqqdu
combined	flimkien
combo	Combo
combustible	kombustibbli
combustion	kombustjoni
come	come
comeback	Ejja lura
comedian	kummidjant
comedy	kummiedja
comet	kometa
comfort	kumdità
comfortable	komdu
comforter	comforter
comforting	comforting
comfy	comfy
comic	komiks
comical	komiku
comics	komiks
coming	li ġejjin
comma	comma
command	kmand
commandant	kmandant
commandeer	kommandatur
commander	kmandant
commanding	kmandant
commandment	kmandament
commando	commando
commemorate	jikkommemoraw
commemoration	kommemorazzjoni
commemorative	kommemorattiva
commence	tibda
commend	jirrakkomanda
commendable	ifaħħarha
commendation	commendation
commensurate	proporzjonat
comment	kumment
commentary	kummentarju
commentator	kummentatur
commerce	kummerċ
commercial	kummerċjali
commie	commie
commissary	kummissarju
commission	kummissjoni
commissioner	kummissarju
commit	jikkommettu
commitment	impenn
committal	twissija
committed	impenjat
committee	kumitat
commodity	komodità
commodore	commodore
common	komuni
commoner	commoner
commonly	komunement
commonplace	komuni
commons	commons
commonwealth	Commonwealth
commotion	tħassib
communal	komunali
commune	komun
communicable	trasmissibbli
communicate	jikkomunikaw
communication	komunikazzjoni
communicative	komunikattiv
communicator	komunikatur
communion	komunjoni
communism	komuniżmu
communist	komunista
community	komunità
commutation	kommutazzjoni
commutative	commutative
commute	jibdel
commuter	commuter
comp	komp
compact	kumpatt
compaction	kompattazzjoni
compactness	kumpattezza
companion	ħbieb
companionless	bla ħbieb
companionship	il-kumpanija
company	kumpanija
comparable	komparabbli
comparative	komparattiva
comparatively	komparattivament
compare	qabbel
comparison	paragun
compartment	kompartiment
compass	boxxla
compassion	kompassjoni
compassionate	kompassjoni
compatibility	kompatibilità
compatible	kompatibbli
compel	ixxekkel
compelled	imġiegħel
compelling	konvinċenti
compendium	kompendju
compensate	jikkumpensaw
compensation	kumpens
compensatory	kumpensatorju
compete	jikkompetu
competence	kompetenza
competency	kompetenza
competent	kompetenti
competition	kompetizzjoni
competitive	kompetittiv
competitor	kompetitur
compilation	kumpilazzjoni
compile	jikkompila
complacency	kompjaċenza
complacent	kompjaċenti
complain	tilmenta
complaint	ilment
complement	komplement
complementary	kumplimentari
complete	komplet
completed	mimlija
completely	kompletament
completeness	kompletezza
completing	timla
completion	tlestija
complex	kumpless
complexed	kumpless
complexion	jbiddel
complexity	kumplessità
compliance	konformità
compliant	konformi
complicate	ikkomplika
complicated	ikkumplikat
complication	komplikazzjoni
complicity	kompliċità
compliment	NO TRANSLATION
complimentary	kumplimentari
comply	jikkonformaw
complying	li tikkonforma
compo	compo
component	komponent
compose	jikkomponu
composed	magħmul
composer	kompożitur
composite	komposti
composition	kompożizzjoni
compost	kompost
composure	konfużjoni
compound	kompost
comprehend	tifhem
comprehension	komprensjoni
comprehensive	komprensiva
compress	kkompressat
compressed	ikkompressat
compressible	kompressibbli
compression	kompressjoni
compressor	kompressur
comprise	jinkludu
compromise	kompromess
comptroller	Kontrollur
compulsion	kompulsjoni
compulsive	kompulsiv
compulsory	obbligatorju
computable	komputabbli
computation	komputazzjoni
compute	ikkomputa
computer	kompjuter
computerized	kompjuterizzata
computing	informatika
comrade	comrade
con	NO TRANSLATION
concatenation	konkatenazzjoni
concave	konkavi
conceal	ħabi
concealed	moħbija
concealment	ħabi
concede	tikkonċedi
conceit	kunċett
conceited	conceited
conceivable	konċepibbli
conceive	konċepita
concentrate	konċentrat
concentration	konċentrazzjoni
concentric	konċentriku
concept	kunċett
conception	konċepiment
concern	tħassib
concerned	ikkonċernat
concert	kunċert
concerto	konkord
concession	konċessjoni
concessional	konċessjonarju
conch	Conch
concierge	ssorveljar
conciliation	konċiljazzjoni
concise	konċiż
conclave	conclave
conclude	tikkonkludi
concluding	tikkonkludi
conclusion	konklużjoni
conclusive	konklużiv
concoction	taħlit
concomitant	konkomitanti
concord	konkord
concordance	konkordanza
concours	NO TRANSLATION
concourse	konkors
concrete	konkrit
concubine	concubine
concur	jaqblu
concurrence	konkorrenza
concurrent	konkorrenti
concurring	konkorrenti
concussion	konkussjoni
condemn	jikkundannaw
condemnation	kundanna
condensation	kondensazzjoni
condensed	ikkondensat
condescending	kondeskendenza
condescension	kondensazzjoni
condiment	kondiment
condition	kondizzjoni
conditional	kundizzjonali
conditionally	kondizzjonalment
conditioned	kundizzjonata
conditioner	kondizzjonata
conditioning	kondizzjonament
conditions	kundizzjonijiet
condo	condo
condolence	kondoljanzi
condolences	kondoljanzi
condom	kondom
condone	jittollera
condor	kondor
conducive	konduttiva
conduct	kondotta
conduction	konduttività
conductivity	konduttività
conductor	konduttur
conduit	kondjuwit
cone	konu
confederacy	konfederazzjoni
confederate	confederate
confederation	konfederazzjoni
confer	jikkonferixxu
conference	konferenza
confess	nistqarr
confession	konfessjoni
confessional	konfessjonali
confessions	konfessjonijiet
confetti	confetti
confidant	konfidenti
confide	confide
confidence	kunfidenza
confident	kunfidenti
confidential	kunfidenzjali
confidentiality	kunfidenzjalità
confidentially	NO TRANSLATION
configuration	konfigurazzjoni
confine	tillimita ruħha
confined	limitata
confinement	rinunzja
confines	konfini
confirm	tikkonferma
confirmation	konferma
confirmatory	konfermatorja
confirmed	ikkonfermat
confiscate	jikkonfiskaw
confiscation	konfiska
conflagration	conflagration
conflict	kunflitt
conflicting	konfliġġenti
confluence	konfluwenza
conform	jikkonforma
conformance	konformità
conformation	NO TRANSLATION
conformity	konformità
confound	konfuż
confounded	imfixkla
confront	tikkonfronta
confrontation	konfrontazzjoni
confuse	jikkonfondi
confused	konfuż
confusing	konfuż
confusion	konfużjoni
conga	conga
congenial	congenial
congenital	konġenitali
congestion	konġestjoni
conglomerate	konglomerat
conglomeration	konglomerazzjoni
congrats	congrats
congratulate	nifraħ
congratulation	fedeltà
congratulations	congratulations
congratulatory	fedeltà
congregate	kongregat
congregation	kongregazzjoni
congress	kungress
congressional	kungress
congressman	kungress
congruence	kongruwenza
conic	konika
conical	koniku
conjecture	konġettura
conjugal	konjugali
conjugate	konjugat
conjugation	konjugazzjoni
conjunction	konġunzjoni
conjunctive	konġuntiva
conjure	jevokaw
conjuring	conjuring
conk	konk
connect	qabbad
connected	konnessi
connection	konnessjoni
connective	konnettiv
connoisseur	connoisseur
conquer	jirbħu
conquering	conquering
conqueror	conqueror
conquest	konkwista
conscience	kuxjenza
conscientious	kuxjenzjuż
conscious	konxja
consciousness	kuxjenza
conscription	konskrizzjoni
consecrated	ikkonsagrata
consecration	konsagrazzjoni
consecutive	konsekuttivi
consensual	kunsenswali
consensus	kunsens
consent	kunsens
consenting	kunsens
consequence	konsegwenza
consequent	konsegwenti
conservation	konservazzjoni
conservatism	konservatiżmu
conservative	konservattiv
conservatory	conservatory
conserve	ikkonservat
consider	tikkunsidra
considerable	konsiderevoli
considerate	considerate
consideration	konsiderazzjoni
consignee	destinatarju
consignment	konsenja
consist	jikkonsistu
consistency	konsistenza
consistent	konsistenti
consolation	konsolazzjoni
console	console
consoled	ikkonsolata
consolidate	tikkonsolida
consolidated	ikkonsolidat
consolidation	konsolidazzjoni
consonant	konsonanti
consort	consort
conspicuous	jidher ċar
conspiracy	konspirazzjoni
conspirator	conspirator
conspire	conspire
constable	constable
constancy	kostanza
constant	kostanti
constantly	kontinwament
constellation	kostellazzjoni
consternation	konsternazzjoni
constipation	stitikezza
constituency	kostitwenza
constituent	kostitwent
constituents	kostitwenti
constitute	jikkostitwixxu
constitution	Kostituzzjoni
constitutional	kostituzzjonali
constitutionality	kostituzzjonalità
constrain	jirrestrinġi
constrained	kostrett
constraint	restrizzjoni
construct	tinbena
construction	kostruzzjoni
constructive	kostruttiv
construe	jiftiehem
consul	konslu
consulate	konsulat
consult	ikkonsulta
consultant	konsulent
consultation	konsultazzjoni
consume	jikkunsmaw
consumer	konsumatur
consuming	jikkunsmaw
consummate	kkunsmahx
consummation	konsumazzjoni
consumption	konsum
contact	kuntatt
contagion	kontaġju
contagious	kontaġjuż
contain	fihom
container	kontenitur
containment	trażżin
contaminate	tikkontamina
contaminated	kontaminat
contamination	kontaminazzjoni
contemplate	tikkontempla
contemplation	kontemplazzjoni
contemplative	kontemplattiv
contemporaneous	kontemporanji
contemporary	kontemporanju
contempt	disprezz
contemptible	kontestabbli
contemptuous	disprezzabbli
contend	ssostni
contender	konkorrent
contending	kontendenti
content	il-kontenut
contented	kuntent
contention	allegazzjoni
contentious	kontroversjali
contentment	sodisfazzjoni
contents	kontenut
contest	konkors
contestant	kontestant
context	kuntest
contiguous	kontigwu
continence	kontinenza
continent	kontinent
continental	kontinentali
contingency	kontinġenza
contingent	kontinġenti
continual	kontinwu
continually	kontinwament
continuance	kontinwazzjoni
continuation	kontinwazzjoni
continue	tkompli
continued	kompla
continuing	tkompli
continuity	kontinwità
continuous	kontinwu
continuously	kontinwament
continuum	kontinwu
contour	kontorn
contraband	kontrabandu
contraception	kontraċezzjoni
contract	kuntratt
contracted	kuntrattat
contractile	kontrattili
contracting	kuntrattar
contraction	kontrazzjoni
contractor	kuntrattur
contradict	jikkontradixxu
contradiction	kontradizzjoni
contradictory	kontradittorju
contraption	kontrazzjoni
contrary	kuntrarju
contrast	kuntrast
contrasted	kuntrast
contravene	jiksru
contravention	kontravvenzjoni
contribute	tikkontribwixxi
contribution	kontribuzzjoni
contributor	kontributur
contrite	contrite
contrition	contrition
contrived	immanifatturat
control	kontroll
controller	kontrollur
controlling	kontroll
controversial	kontroversjali
controversy	kontroversja
contusion	konfużjoni
conundrum	konundrum
convalescent	konvalexxenti
convection	konvezzjoni
convene	imlaqqa '
convenience	konvenjenza
conveniences	Konvenjenzi
convenient	konvenjenti
convent	kunvent
convention	Konvenzjoni
conventional	konvenzjonali
converge	jikkonverġu
convergence	konverġenza
convergent	konverġenti
conversant	konxja
conversation	konverżazzjoni
conversational	conversational
conversationalist	conversationalist
converse	maqlub
conversing	conversing
conversion	konverżjoni
convert	jikkonverti
converted	konvertit
convertible	konvertibbli
convex	konvessi
convexity	konvessità
convey	twassal
conveyance	twassil
conveyancing	trasferiment tal-propjetà
convict	kundanna
conviction	kundanna
convince	tikkonvinċi
convinced	konvint
convincing	konvinċenti
convocation	konvokazzjoni
convoluted	konvolti
convolution	konvoluzzjoni
convoy	konvoj
coo	koo
cook	insajjru
cookbook	cookbook
cooker	cooker
cookery	tisjir
cookie	cookie
cookies	cookies
cooking	tisjir
cookout	cookout
cool	kessaħ
coolant	coolant
cooler	apparat li jkessaħ
cooling	tkessiħ
coolness	coolness
coon	coon
coop	coop
cooperate	jikkooperaw
cooperating	jikkooperaw
cooperation	kooperazzjoni
cooperative	kooperattiva
coordinate	tikkoordina
coordination	koordinazzjoni
coordinator	koordinatur
cop	cop
copacetic	NO TRANSLATION
cope	ilaħħqu
copier	kopjatur
copilot	kopilot
coping	tiffaċċja
copious	abbundanti
copper	ram
copter	copter
copy	kopja
copycat	copycat
copying	ikkupjar
copyright	awtur
coral	qroll
coral snake	serp tal-korall
cord	korda
cordial	kordjali
cordless	mingħajr fili
cordon	cordon
corduroy	Corduroy
core	qalba
cork	sufra
corkscrew	corkscrew
corn	qamħ
cornball	cornball
cornbread	cornbread
cornea	kornea
corned	Corned
corner	kantuniera
cornerstone	ġebla tax-xewka
cornet	cornet
cornfield	cornfield
cornflakes	NO TRANSLATION
cornice	cornice
cornstarch	lamtu tal-qamħirrun
corny	corny
corollary	korollarju
corona	corona
coronary	koronarji
coronation	koronazzjoni
coroner	koroner
corporal	korporali
corporate	korporattiva
corporation	korporazzjoni
corporeal	korporali
corps	corps
corpse	katavru
corpsman	corpsman
corpus	corpus
corral	corral
correct	korretta
correction	korrezzjoni
correctional	korrettivi
corrective	korrettivi
correctness	korrettezza
correlation	korrelazzjoni
correlative	korrelattiv
correspond	jikkorrispondi
correspondence	korrispondenza
correspondent	korrispondent
corresponding	jikkorrispondi
corridor	kuritur
corroborate	tikkorobora
corroboration	korroborazzjoni
corrosion	korrużjoni
corrosive	korrużiv
corrupt	korrotti
corrupting	korruzzjoni
corruption	korruzzjoni
corsage	qmugħ
corse	NO TRANSLATION
corset	kurpetti
cortex	kortiċi
cortical	kortikali
cortisone	cortisone
corvette	corvette
cosmetic	kosmetiċi
cosmetics	kosmetiċi
cosmic	kożmika
cosmology	Cosmology
cosmopolitan	kożmopolitana
cosmos	Cosmos
cost	spiża
costly	għalja
costume	kostum
cosy	komdu
cot	kerrikot
cote	Kotba
cottage	cottage
cotton	qoton
couch	couch
cougar	cougar
cough	sogħla
council	Kunsill
councilman	kunsillier
counsel	avukat
counseling	pariri
counsellor	konsulent
counselor	konsulent
count	għadd
countdown	countdown
countenance	wiċċ
counter	kontro
counteract	jikkontrobattu
counterattack	kontrattakk
counterbalance	kontrabilanċ
counterclaim	kontrotalba
counterfeit	iffalsifikata
counterpart	kontraparti
counterpoint	kontropunt
countess	countess
countless	għadd kbir
country	pajjiż
countryman	pajjiżu
countrymusic	NO TRANSLATION
countryside	kampanja
counts	jgħodd
county	kontea
coup	kolp ta 'stat
coupe	coupe
couple	koppja
coupled	flimkien
coupling	akkoppjar
coupon	kupun
courage	kuraġġ
courageous	kuraġġuż
courier	kurrier
courses	korsijiet
coursing	coursing
court	qorti
courteous	b'korteżija
courtesy	korteżija
courthouse	tribunal
courtroom	awla tal-qorti
courts	qrati
courtship	qrati
courtside	courtside
courtyard	bitħa
cousin	kuġin
cousins	kuġini
cove	cove
coven	coven
covenant	patt
cover	ikopru
coverage	kopertura
covered	koperti
covering	li tkopri
covert	moħbi
covet	covet
coveted	coveted
cow	baqra
coward	coward
cowardice	cowardice
cowardly	cobardly
cowboy	cowboy
cowgirl	cowgirl
cowhand	cowhand
cowhide	cowhide
cowl	cowl
coworker	coworker
coy	coy
coyote	coyote
cozy	komdu
crab	granċ
crabby	crabby
crack	xquq
cracked	maqsum
cracker	cracker
crackerjack	crackerjack
cracking	qsim
crackle	crackle
crackpot	crackpot
cradle	benniena
craft	inġenji
crafts	snajja '
craftsman	artiġjan
craftsmanship	sengħa
crafty	crafty
craig	craig
cram	cram
crammed	mimlija
cramp	bugħawwieġ
cramped	skomdi
cranberry	cranberry
cranberry juice	meraq tal-cranberry
crane	krejn
cranial	kranju
cranium	kranju
crank	krank
cranky	cranky
cranny	kranju
crap	ħażin
crappy	crappy
craps	Craps
crash	tiġrifa
crass	crass
crate	ċestun
crater	Crater
crave	crave
craving	effetti tax-xenqa
crawfish	awwisti
crawl	jitkaxkru
crayon	crayon
crayons	krejons
craze	jixxaqqaqx
crazed	crazed
craziness	craziness
crazy	crazy
creak	creak
creaking	taħlit
cream	krema
creamed	creamed
creamer	creamer
creamy	krema
crease	titkemmex
create	joħolqu
creation	ħolqien
creative	kreattiv
creativity	il-kreattività
creator	kreatur
creature	kreatura
credence	kredibilità
credential	kredenzjali
credentials	kredenzjali
credibility	kredibilità
credible	kredibbli
credit	kreditu
credit card	karta tal-kreditu
creditable	kredibbli
credited	ikkreditat
crediting	jikkredita
creditor	kreditur
creed	twemmin
creek	qala
creep	creep
creeper	creeper
creeping	creeping
creepy	creepy
cremation	kremazzjoni
creole	krejol
crepe	crepe
crescendo	crescendo
crescent	Crescent
crest	crest
crestfallen	crestfallen
cretin	cretin
cretins	cretins
crevice	xquq
crew	ekwipaġġ
crewman	ekwipaġġ
crib	crib
cricket	cricket
cried	cried
crime	kriminalità
criminal	kriminali
criminality	kriminalità
crimp	crimp
crimson	krimżi
cringe	cringe
cripple	ixxekkel
crippled	imkemmex
crippling	tfarrak
crisis	kriżi
crisp	iqarmeċ
crispy	iqarmeċ
criterion	kriterju
critic	kritiku
critical	kritiku
criticise	jikkritikaw
criticism	kritika
criticize	jikkritikaw
criticized	ikkritikat
critique	kritika
critter	critter
croak	croak
croc	croc
crock	crock
crockery	fuħħar
crocodile	kukkudrill
croft	croft
croissant	croissant
crook	crook
crooked	mgħawweġ
crop	ħsad
croquet	croquet
cross	jaqsam
cross country	pajjiż transkonfinali
crossbow	ballesta
crossed	qasmu
crossfire	crossfire
crossing	qsim
crossover	crossover
crosswalk	crosswalk
crossword	tisliba
crotch	bejn il-koxox
crouch	crouch
crouched	imqaxxar
crouching	mimdud
croupier	croupier
crow	f'linja
crowbar	barra tal-mogħdija
crowd	folla
crowded	iffullar
crowds	folol
crown	kuruna
crowning	crowning
crucial	kruċjali
cruciate	cruciate
crucifix	Kurċifiss
crucifixion	crucifixion
crucify	crucify
crud	crud
crude	mhux raffinat
cruel	krudili
cruelly	krudili
cruelty	krudeltà
cruise	cruise
cruise ship	bastiment tal-kruċiera
cruiser	cruiser
cruising	cruising
crumb	frawli
crumble	crumble
crumbling	neżlin
crummy	crummy
crunch	kriżi
crunchy	tqarmeċ
crusade	kruata
crusader	kruċjata
crush	tfarrak
crushed	imfarrak
crusher	crusher
crushing	tgħaffiġ
crust	qoxra
crusty	qxur
crutch	crutch
crux	crux
cry	cry
crybaby	crybaby
crying	biki
crypt	kripta
cryptic	cryptiku
cryptography	kriptografija
crystal	kristall
crystalline	kristallin
crystallization	kristallizzazzjoni
cub	Cub
cubby	cubby
cube	kubu
cubic	kubiku
cubicle	diviżorja
cuckold	cuckold
cuckoo	cuckoo
cucumber	ħjara
cuddle	cuddle
cuddled	imnaddfa
cuddles	cuddles
cuddling	imqass
cue	cue
cuff	cuff
cuisine	kċina
culinary	kulinari
cull	qatla
culminate	il-qofol
culmination	il-qofol
culpability	Kustilja
culpable	guilt
culprit	ħati
cult	kult
cultivate	jikkultivaw
cultivated	ikkultivati
cultivation	kultivazzjoni
cultural	kulturali
culture	kultura
cultured	ikkultivata
culvert	kanal
cumbersome	ineffiċjenti
cumulus	cumulus
cunning	cunning
cunt	cunt
cup	tazza
cupboard	armadju
cupcake	cupcake
cupping	tqattigħ
cur	kur
curable	kurabbli
curate	curate
curative	kurattivi
curator	kuratur
curb	jitrażżnu
curd	baqta
cure	kura
curfew	curfew
curiosity	kurżità
curious	kurjuż
curl	curl
curling	ħdejjed
currency	munita
current	kurrenti
curriculum	kurrikulu
curry	curry
curse	curse
cursed	misħuta
cursing	misħuta
cursory	sommarju
curt	curt
curtail	inaqqas
curtailment	tnaqqis
curtain	purtiera
curtains	purtieri
curtsy	curtsy
curvature	kurvatura
curve	kurva
curved	mgħawweġ
curvilinear	kurvilinear
cushion	kuxxin
cushy	cushy
cusp	spun
cuss	cuss
cussed	cussed
custard	ċawsli
custodial	kustodja
custodian	kustodju
custody	kustodja
custom	użanza
customary	soltu
customer	klijent
customized	Personalizzata
cut	maqtugħ
cutaneous	fil-ġilda
cute	ħelu
cuticle	rita
cutie	cutie
cutlass	cutlass
cutlery	pożati
cutoff	Aqta 'barra
cutter	cutter
cutters	cutters
cutthroat	cutthroat
cutting	qtugħ
cutting board	bord tat-tqattigħ
cuttings	qatgħat
cwt	cwt
cyanide	cyanide
cyberspace	cyberspace
cycle	ċiklu
cyclical	ċikliku
cyclist	ċiklista
cyclone	ċiklun
cylinder	ċilindru
cylindrical	ċilindriku
cymbal	cymbal
cynic	cynic
cynical	ċinika
cynicism	ċiniżmu
cyst	ċisti
cystic	ċistika
cytomegalovirus	citomegalovirus
cytoplasm	citoplasma
czar	czar
dab	dab
dabble	dabble
dabbling	dabbling
dad	dad
daddy	Daddy
dado	NO TRANSLATION
daemon	Daemon
daft	daft
dagger	dagger
daily	kuljum
dainty	dainty
daiquiri	daiquiri
