Word	pt
cry	chorar
crybaby	Chora bebê
crying	chorando
crypt	cripta
cryptic	enigmático
cryptography	criptografia
crystal	cristal
crystalline	cristalino
crystallization	cristalização
cub	filhote
cubby	cubículo
cube	cubo
cubic	cúbico
cubicle	cubículo
cuckold	corno
cuckoo	cuco
cucumber	pepino
cuddle	abraço
cuddled	afagado
cuddles	afagos
cuddling	afago
cue	sugestão
cuff	punho
cuisine	cozinha
culinary	culinária
cull	abate
culminate	culminar
culmination	culminação
culpability	culpabilidade
culpable	culpado
culprit	culpado
cult	culto
cultivate	cultivar
cultivated	cultivado
cultivation	cultivo
cultural	cultural
culture	cultura
cultured	culta
culvert	bueiro
cumbersome	pesado
cumulus	cumulus
cunning	destreza
cunt	boceta
cup	copo
cupboard	armário
cupcake	Bolinho
cupping	escavação
cur	cur
curable	curável
curate	curar
curative	curativo
curator	curador
curb	calçada
curd	coalhada
cure	cura
curfew	regredir
curiosity	curiosidade
curious	curioso
curl	ondulação
curling	ondulação
currency	moeda
current	atual
curriculum	currículo
curry	Curry
curse	maldição
cursed	amaldiçoado
cursing	maldição
cursory	superficial
curt	curto
curtail	reduzir
curtailment	contingenciamento
curtain	cortina
curtains	cortinas
curtsy	reverência
curvature	curvatura
curve	curva
curved	curvado
curvilinear	curvilíneo
cushion	almofada
cushy	confortável
cusp	cúspide
cuss	cuss
cussed	cussed
custard	Quindim
custodial	custódia
custodian	custodiante
custody	custódia
custom	personalizadas
customary	Costumeiro
customer	cliente
customized	personalizado
cut	cortar
cutaneous	cutâneo
cute	fofa
cuticle	cutícula
cutie	gracinha
cutlass	cutelo
cutlery	talheres
cutoff	corte fora
cutter	cortador
cutters	cortadores
cutthroat	feroz
cutting	corte
cutting board	tábua de cortar
cuttings	estacas
cwt	cwt
cyanide	cianeto
cyberspace	ciberespaço
cycle	ciclo
cyclical	cíclico
cyclist	ciclista
cyclone	ciclone
cylinder	cilindro
cylindrical	cilíndrico
cymbal	címbalo
cynic	cínico
cynical	cínico
cynicism	cinismo
cyst	cisto
cystic	cística
cytomegalovirus	citomegalovírus
cytoplasm	citoplasma
czar	czar
dab	dab
dabble	mexer
dabbling	brincando
dad	Papai
daddy	Papai
dado	NO TRANSLATION
daemon	daemon
daft	idiota
dagger	punhal
daily	diariamente
dainty	guloseima
daiquiri	daiquiri
dairy	laticínios
daisy	margarida
dak	NO TRANSLATION
dale	dale
dam	barragem
damage	danificar
damaged	estragado
damages	danos
dame	dama
damn	Droga
damnation	condenação
damned	maldito
damp	úmido
dampened	umedecido
damper	amortecedor
damsel	donzela
dance	dança
dancer	dançarino
dancing	dançando
dandruff	caspa
dandy	dândi
danger	perigo
dangerous	perigoso
dangerously	perigosamente
dangit	NO TRANSLATION
dangle	balançar
dank	NO TRANSLATION
dapper	dapper
dare	ousar
daredevil	temerário
daresay	ousar
daring	ousadia
dark	Sombrio
darken	escurecer
darkened	escurecido
darkly	sombriamente
darkness	Trevas
darkroom	sala escura
darkside	lado escuro
darling	querida
darn	maldito
dart	dardo
dash	traço
dashboard	painel de controle
dashed	tracejadas
dashing	arrojado
dastardly	covarde
data	dados
database	base de dados
date	encontro
datenight	NO TRANSLATION
daughter	filha
dawdle	dawdle
dawn	alvorecer
dawned	amanheceu
day	dia
daybreak	aurora
daycare	creche
daydream	sonhar Acordado
daydreaming	sonhando acordado
daylight	luz do dia
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	dia
daze	daze
dazed	aturdido
dazzle	deslumbrar
dazzling	deslumbrante
deacon	diácono
deactivate	desativar
dead	morto
deadbeat	caloteiro
deadline	data limite
deadlines	prazos
deadlock	impasse
deadly	mortal
deaf	surdo
deafening	ensurdecedor
deafness	surdez
deal	acordo
dealer	negociante
dealership	concessionária
dealing	lidando
dealings	relações
dean	reitor
dear	caro
dearest	mais querido
dearth	escassez
death	morte
deathbed	leito de morte
deathly	mortal
debacle	debacle
debased	depravado
debatable	discutível
debate	debate
debauchery	devassidão
debenture	debênture
debilitating	debilitante
debit	débito
debrief	interrogar
debriefing	interrogatório
debris	detritos
debt	dívida
debtor	devedor
debut	estréia
debutante	debutante
decade	década
decadence	decadência
decadent	decadente
decaf	descafeinado
decanter	decantador
decathlon	decatlo
decay	decair
decayed	decadente
decaying	decadente
deceased	falecido
decedent	decedente
deceit	engano
deceitful	enganoso
deceive	enganar
deceived	enganado
deceiving	enganando
december	dezembro
decency	decência
decent	decente
deception	decepção
deceptive	enganoso
decide	decidir
decidedly	decididamente
deciduous	decídua
decimal	decimal
decimeter	decímetro
decipher	decifrar
decision	decisão
decisive	decisivo
deck	baralho
declaration	declaração
declaratory	declaratório
declare	declarar
declination	declinação
decline	declínio
declining	declinante
deco	deco
decode	decodificar
decoder	decodificador
decompose	decompor
decomposed	decomposto
decomposition	decomposição
decompress	descomprimir
decompression	descompressão
decontamination	descontaminação
decor	decoração
decorate	decorar
decorating	decorando
decoration	decoração
decorative	decorativo
decorator	decorador
decorum	decoro
decoy	chamariz
decrease	diminuir
decreased	diminuiu
decreasing	diminuindo
decree	decreto
decrement	decremento
decrepit	decrépito
decry	desacreditar
decryption	descriptografia
dedicate	dedicar
dedication	dedicação
deduce	deduzir
deduct	deduzir
deductible	dedutível
deduction	dedução
deed	ato
deejay	DJ
deem	julgar
deep	profundo
deepen	aprofundar
deer	veado
defamation	difamação
defamatory	difamatório
default	padrão
defeat	derrota
defeated	derrotado
defeatist	derrotista
defect	defeito
defection	deserção
defective	defeituoso
defector	desertor
defend	defender
defendant	réu
defended	defendido
defender	defensor
defending	defendendo
defense	defesa
defenseless	sem defesa
defensible	defensável
defensive	defensiva
defer	adiar
deference	deferência
deferral	adiamento
deferring	adiando
defiance	desafio
defiant	desafiador
defibrillator	desfibrilador
deficiency	deficiência
deficient	deficiente
deficit	déficit
define	definir
defined	definiram
definite	definido
definition	definição
definitive	definitivo
deflate	esvaziar
deflation	deflação
deflect	desviar
deflection	deflexão
defloration	defloração
deform	deformar
deformed	deformado
deformity	deformidade
defraud	defraudar
defray	custear
defrost	descongelar
deft	hábil
defunct	defunto
defuse	desarmar
defy	desafiar
degeneracy	degeneração
degenerate	degenerar
degeneration	degeneração
degradation	degradação
degrade	degradar
degraded	degradado
degrading	degradante
degree	grau
dehydrated	desidratado
dehydration	desidratação
dejected	desanimado
delay	demora
delayed	atrasado
delectable	Delicioso
delegate	delegar
delegation	delegação
delete	excluir
deleterious	deletério
deletion	eliminação
deli	Delicatessen
deliberate	deliberar
deliberation	deliberação
deliberative	deliberativo
delicacy	delicadeza
delicate	delicado
delicatessen	Delicatessen
delicious	delicioso
delight	deleite
delighted	Deleitado
delightful	delicioso
delineate	delinear
delineation	delineação
delinquency	delinquência
delinquent	delinquente
delirious	delirante
delirium	delírio
deliver	entregar
deliverance	libertação
delivery	Entrega
dell	dell
delta	delta
delude	iludir
deluge	dilúvio
delusion	ilusão
delusional	delirante
deluxe	deluxe
delve	mergulhar
demand	exigem
demanding	exigente
demeaned	humilhado
demeaning	humilhante
demeanor	comportamento
demented	demente
dementia	demência
demise	morte
demo	demonstração
democracy	democracia
democrat	democrata
democratic	democrático
demographic	demográfico
demolish	demolir
demolished	demolido
demolition	demolição
demon	demônio
demonic	demoníaco
demonstrable	demonstrável
demonstrate	demonstrar
demonstrated	demonstrado
demonstrating	demonstrando
demonstration	demonstração
demonstrative	demonstrativo
demonstrator	demonstrador
demoralized	desmoralizado
demos	demos
demure	recatado
den	NO TRANSLATION
deniability	negação
denial	negação
denied	negado
denim	jeans
denomination	denominação
denominational	confessional
denominator	denominador
denote	denotar
denounce	denunciar
dense	denso
density	densidade
dent	dente
dental	dental
dentist	dentista
dentistry	odontologia
dentists	Dentistas
denunciation	denúncia
deny	negar
denying	negando
deodorant	Desodorante
depart	partem
departed	partiu
department	departamento
departmental	departamental
departure	saída
depend	depender
dependable	confiável
dependant	dependente
dependence	dependência
dependency	dependência
dependent	dependente
depict	retratar
depicting	retratando
depletion	depleção
deplorable	deplorável
deplore	deplore
deploy	implantar
deployment	desdobramento, desenvolvimento
deport	deportar
deportation	deportação
depose	depor
deposit	depósito
depositary	depositário
deposition	deposição
depository	depositário
depot	depósito
depraved	depravado
depravity	depravação
depreciate	depreciar
depreciated	depreciado
depreciation	depreciação
depress	abaixar
depressed	depressivo
depressing	deprimente
depression	depressão
depressive	depressivo
depresson	NO TRANSLATION
deprivation	privação
deprive	privar
deprived	privado
depth	profundidade
deputy	deputado
derail	descarrilhar
deranged	enlouquecido
derelict	abandonado
derision	escárnio
derivation	derivação
derivative	derivado
derive	derivar
dermal	dérmico
dermatologist	dermatologista
dermatology	dermatologia
derogation	derrogação
derogatory	depreciativo
descend	descer
descendant	descendente
descendent	NO TRANSLATION
descending	descendente
descent	descida
describe	descrever
description	descrição
descriptive	descritivo
desecrate	profanar
desecration	profanação
desert	deserto
deserted	deserta
deserter	desertor
desertion	deserção
deserve	merecer
deserved	mereceu
deserving	merecedor
design	desenhar
designate	designar
designated	designada
designation	designação
designed	projetado
designer	desenhista
designing	concepção
desirability	desejabilidade
desirable	desejável
desire	desejo
desiring	desejando
desirous	desejoso
desist	desistir
desk	escrivaninha
desolate	desolado
desolation	desolação
despair	desespero
despairing	desesperado
despatch	despachar
desperado	desesperado
desperate	desesperado
desperation	desespero
despicable	desprezível
despise	desprezar
despondent	desanimado
despotic	despótico
despotism	despotismo
dessert	sobremesa
destination	destino
destined	destinada
destiny	destino
destitute	indigente
destroy	destruir
destroyed	destruído
destroyer	destruidor
destroying	destruindo
destruct	destruir
destruction	destruição
destructive	destrutivo
detach	desanexar
detached	desanexado
detachment	destacamento
detail	detalhe
detailed	detalhado
details	detalhes
detain	deter
detainee	detento
detect	detectar
detectable	detectável
detection	detecção
detective	detetive
detector	detetor
detention	detenção
deter	dissuadir
detergent	detergente
deteriorate	deteriorar
deteriorated	deteriorado
deteriorating	deteriorando
deterioration	deterioração
determinable	determinável
determinate	determinado
determination	determinação
determine	determinar
determined	determinado
deterrent	dissuasivo
detest	detestar
detestation	detestação
detonate	detonar
detonation	detonação
detonator	detonador
detour	Desvio
detract	diminuir
detriment	detrimento
detrimental	prejudicial
detritus	detrito
deuce	deuce
deutschmark	deutschmark
devalued	desvalorizado
devastate	devastar
devastated	devastado
devastating	devastador
devastation	devastação
develop	desenvolve
developer	desenvolvedor
developing	em desenvolvimento
development	desenvolvimento
deviant	desviante
deviate	desviar
deviating	desviando
deviation	desvio
device	dispositivo
devil	diabo
deviled	deviled
devilish	diabólico
devious	desonesto
devise	conceber
devoid	desprovido
devolution	devolução
devolve	devolver
devote	dedicar
devoted	dedicado
devotee	devoto
devotion	devoção
devotional	devocional
devour	devorar
devout	devoto
dew	orvalho
dexter	dexter
dexterity	destreza
dextrose	dextrose
diabetes	diabetes
diabetic	diabético
diabolical	diabólico
diagnose	diagnosticar
diagnosis	diagnóstico
diagnostic	diagnóstico
diagnostics	diagnósticos
diagonal	diagonal
diagram	diagrama
dial	discar
dialect	dialeto
dialectic	dialética
dialogue	diálogo
dialysis	diálise
diameter	diâmetro
diamond	diamante
diamonds	diamantes
diaper	fralda
diaphragm	diafragma
diarrhea	diarréia
diarrhoea	diarréia
diary	diário
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	dados
dicey	arriscado
dichotomous	dicotômico
dichotomy	dicotomia
dick	pinto
dickhead	idiota
dicks	paus
dictate	ditar
dictation	ditado
dictator	ditador
dictatorial	ditatorial
dictatorship	ditadura
diction	dicção
dictionary	dicionário
dictum	NO TRANSLATION
didactic	didático
diddle	diddle
die	NO TRANSLATION
died	morreu
diesel	diesel
diet	dieta
dietary	dietético
differ	diferir
difference	diferença
differences	diferenças
different	diferente
differential	diferencial
differentiation	diferenciação
differently	diferentemente
differing	diferente
difficult	difícil
difficulties	dificuldades
difficulty	dificuldade
diffuse	difuso
diffusion	difusão
dig	NO TRANSLATION
digest	digerir
digestion	digestão
digestive	digestivo
digit	dígito
digital	digital
dignified	digno
dignify	dignificar
dignity	dignidade
digress	digressão
digs	NO TRANSLATION
dike	dique
dilapidated	dilapidado
dilatation	dilatação
dilation	dilatação
dildo	dildo
dilemma	dilema
diligence	diligência
diligent	diligente
dill	aneto
diluent	diluente
dilute	diluir
diluted	diluído
dilution	diluição
dim	escurecer
dime	centavo
dimension	dimensão
dimensional	dimensional
diminish	diminuir
diminished	diminuído
diminution	diminuição
diminutive	diminutivo
dimwit	idiota
din	NO TRANSLATION
dine	jantar
diner	o jantar
dinghy	bote
dingo	dingo
dingy	sujo
dining	jantar
dinky	dinky
dinner	jantar
dinnertime	hora do jantar
dinosaur	dinossauro
dint	força
diocesan	diocesano
diocese	diocese
diorama	diorama
dioxide	dióxido
dip	mergulho
diploma	diploma
diplomacy	diplomacia
diplomat	diplomata
diplomatic	diplomático
dipper	mergulhador
dippy	dippy
dipstick	vareta
dire	NO TRANSLATION
direct	direto
directed	dirigido
direction	direção
directive	diretiva
directly	diretamente
director	diretor
directory	diretório
dirt	sujeira
dirty	sujo
disability	incapacidade
disable	desativar
disabled	Desativado
disadvantage	desvantagem
disaffected	descontente
disagree	discordar
disagreeable	desagradável
disagreeing	discordando
disagreement	desacordo
disallow	não permitir
disallowed	não permitido
disapointment	NO TRANSLATION
disappear	desaparecer
disappearance	desaparecimento
disappearing	desaparecendo
disappoint	decepcionar
disappointed	desapontado
disappointing	decepcionante
disappointment	desapontamento
disapproval	desaprovação
disapprove	desaprovar
disapproved	reprovado
disapproving	desaprovando
disarm	desarmar
disarray	desordem
disaster	desastre
disastrous	desastroso
disband	dissolver
disbelief	descrença
disbelieve	descrer
disburse	desembolsar
disbursement	desembolso
disc	disco
discard	descartar
discarded	descartado
discards	devoluções
discern	discernir
discernible	discernível
discerning	perspicaz
discernment	discernimento
discharge	descarga
disciple	discípulo
disciplinary	disciplinar
discipline	disciplina
disciplined	disciplinado
disclaim	negação
disclaimer	aviso Legal
disclose	divulgar
disclosed	divulgado
disclosure	divulgação
disco	discoteca
discoloration	descoloração
discolored	descolorido
discomfort	desconforto
disconcerted	desconcertado
disconcerting	desconcertante
disconnect	desconectar
disconnected	desconectado
disconnection	desconexão
disconnects	desconexões
discontent	descontentamento
discontinuance	descontinuidade
discontinue	descontinuar
discontinuity	descontinuidade
discontinuous	descontínuo
discord	discórdia
discount	desconto
discounted	com desconto
discourage	desencorajar
discouraged	desencorajado
discouragement	desânimo
discouraging	desencorajando
discourse	discurso
discover	descobrir
discovery	descoberta
discredit	desacreditar
discredited	desacreditado
discreet	NO TRANSLATION
discrepancy	discrepância
discrete	discreto
discretion	critério
discretionary	discricionário
discriminate	discriminar
discriminating	discriminando
discrimination	discriminação
discus	disco
discuss	discutir
discussion	discussão
disdain	desdém
disdainful	desdenhoso
disease	doença
diseased	doente
disembodied	desincorporado
disengage	desengatar
disengagement	desengajamento
disfigured	desfigurado
disgrace	desgraça
disgraced	desgraçado
disgraceful	vergonhoso
disgruntled	desapontado
disguise	disfarce
disguised	disfarçado
disgust	desgosto
disgusted	com nojo
disgusting	repugnante
dish	prato
disheartened	desanimado
disheartening	desalentador
dishonest	desonesto
dishonesty	desonestidade
dishonor	desonra
dishonorable	desonroso
dishwasher	lava-louças
disillusionment	desilusão
disinclination	desinclinação
disincline	indispor
disinclined	desinclinado
disinfect	desinfetar
disinfectant	desinfetante
disinfection	desinfecção
disinformation	desinformação
disingenuous	insincero
disintegrate	desintegrar
disintegration	desintegração
disinterested	desinteressado
disjoint	disjunto
disjointed	desarticulado
disjunctive	disjuntivo
disk	disco
diskette	disquete
dislike	não gostar
disliked	não gostei
disliking	não gostar
dislocated	deslocado
dislocation	luxação
dislodge	desalojar
disloyal	desleal
disloyalty	deslealdade
dismal	triste
dismantle	desmantelar
dismay	desânimo
dismayed	desanimado
dismemberment	desmembramento
dismiss	dispensar
dismissal	despedimento
dismissive	desdenhoso
dismount	desmontar
disobedience	desobediência
disobedient	desobediente
disobey	desobedecer
disorder	desordem
disordered	desordenado
disorderly	desordenado
disorganized	desorganizado
disorientation	desorientaçao
disoriented	desorientado
disown	negar
disparage	depreciar
disparaging	depreciativo
disparate	díspar
disparity	disparidade
dispassionate	desapaixonado
dispatch	Despacho
dispatcher	expedidor
dispel	dissipar
dispensary	dispensário
dispensation	dispensação
dispense	dispensar
dispenser	distribuidor
dispersal	dispersão
disperse	dispersar
dispersed	disperso
dispersion	dispersão
dispirited	desanimado
displace	deslocar
displaced	deslocado
displacement	deslocamento
displacency	deslocamento
display	exibição
displease	desagradar
displeased	descontente
displeasure	descontentamento
disposable	descartável
disposal	disposição
dispose	descarte
disposed	descartado
disposition	disposição
dispossessed	despossuído
disprove	refutar
dispute	contestar
disqualification	desqualificação
disqualified	desqualificado
disqualify	desqualificar
disquieted	inquieto
disregard	desprezo
disregarded	desconsiderado
disrelish	disrelish
disreputable	desonroso
disrepute	descrédito
disrespect	desrespeito
disrespectful	desrespeitoso
disrupt	perturbe
disrupting	perturbando
disruption	perturbação
disruptive	disruptivo
dissatisfaction	insatisfação
dissatisfied	insatisfeito
dissect	dissecar
dissection	dissecação
disseminate	disseminar
dissemination	disseminação
dissension	dissensão
dissent	dissidência
dissenting	dissidente
dissertation	dissertação
disservice	desserviço
dissident	dissidente
dissimilar	diferente
dissipate	dissipar
dissipated	dissipado
dissociation	dissociação
dissociative	dissociativo
dissolution	dissolução
dissolve	dissolver
dissonance	dissonância
dissuade	dissuadir
distal	distal
distance	distância
distant	distante
distaste	aversão
distasteful	desagradável
distillate	destilado
distillation	destilação
distilled	destilado
distinct	distinto
distinction	distinção
distinctive	distintivo
distinguish	distinguir
distinguishable	distinguível
distinguished	distinto
distinguishing	distintivo
distort	distorcer
distorted	distorcido
distortion	distorção
distract	distrair
distracted	distraído
distracting	distrair
distraction	Distração
distraught	perturbado
distress	angústia
distressed	angustiado
distressing	angustiante
distribute	distribuir
distribution	distribuição
distributor	distribuidor
district	distrito
distrust	desconfiança
disturb	perturbar
disturbance	perturbação
disturbed	perturbado
disturbing	perturbador
disuse	desuso
disused	desuso
ditch	vala
ditto	idem
ditty	cantiga
diurnal	diurno
diva	divã
divan	NO TRANSLATION
dive	mergulho
diver	mergulhador
diverge	divergir
divergence	divergência
divergent	divergente
diverging	divergindo
divers	mergulhadores
diverse	diverso
diversified	diversificado
diversify	diversificar
diversion	desvio
diversionary	diversionário
diversity	diversidade
divert	desviar
diverting	desviando
divest	desocupar
divested	desocupado
divestment	desinvestimento
divide	dividir
divided	dividido
dividend	dividendo
divination	adivinhação
divine	divino
divinity	divindade
divisible	divisível
division	divisão
divisor	divisor
divorce	divórcio
divorcee	divorciado
divulge	divulgar
divvy	dividir
dizziness	tontura
dizzy	tonto
do	Faz
doable	factível
doc	doc
docile	dócil
dock	doca
docked	ancorado
docket	docket
docking	encaixe
doctor	médico
doctorate	doutorado
doctrinal	doutrinal
doctrine	doutrina
document	documento
documentary	documentário
documentation	documentação
documents	documentos
dodge	esquivar
dodger	trapaceiro
dodging	esquivando-se
dodgy	desonesto
dodo	dodo
doe	corça
doer	fazedor
dog	cachorro
dogface	dogface
dogged	obstinado
doggy	cãozinho
doghouse	casinha de cachorro
dogma	dogma
dogmatic	dogmático
dogsick	NO TRANSLATION
doings	feitos
doit	NO TRANSLATION
dojo	dojo
doldrums	desânimo
dole	dole
doll	boneca
dollar	dólar
dollhouse	casa de boneca
dolor	NO TRANSLATION
dolphin	golfinho
domain	domínio
dome	cúpula
domestic	doméstica
domesticated	domesticado
domestication	domesticação
domicile	domicílio
domiciled	domiciliado
dominance	domínio
dominant	dominante
dominate	dominar
dominating	dominando
domination	dominação
dominatrix	dominatrix
dominion	domínio
domino	dominó
don	não
donate	doar
donation	doação
donkey	asno
donor	doador
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	doodle
doom	desgraça
doomed	condenado
doomsday	Apocalipse
door	porta
doorbell	campainha
doorknob	maçaneta
doorman	porteiro
doormat	capacho
doornail	doornail
doorstep	porta
doorway	porta de entrada
dopamine	dopamina
dope	narcótico
dopey	dopado
dork	idiota
dorky	idiota
dorm	dormitório
dormant	dormente
dormitory	dormitório
dorsal	dorsal
dosage	dosagem
dose	dose
dossier	dossiê
dot	ponto
doting	amando
dotted	pontilhado
dotty	dotty
double	Duplo
doubled	duplicou
doublet	gibão
doubling	duplicação
doubt	dúvida
doubtful	duvidoso
doubting	duvidando
doubtless	sem dúvida
doubts	dúvidas
douche	douche
douchebags	Idiotas
dough	massa
doughboy	doughboy
doughnut	rosquinha
dour	sisudo
douse	apagar
dove	pomba
down	baixa
downcast	abatido
downer	deprimente
downfall	queda
downfield	campo baixo
downhearted	desanimado
downhill	descida
download	baixar
downpour	aguaceiro
downright	francamente
downriver	rio abaixo
downside	desvantagem
downtime	tempo de inatividade
downward	para baixo
downy	penugem
dowry	dote
doze	cochilar
dozen	dúzia
drab	monótono
draft	esboço, projeto
drafty	esboçado
drag	arrastar
dragon	Dragão
dragonfly	libélula
drain	drenar
drainage	drenagem
drained	drenado
draining	drenando
drainpipe	cano de esgoto
drake	drake
drama	drama
dramaqueen	NO TRANSLATION
dramatic	dramático
drape	cortina
drapery	cortinas
drastic	drástico
drat	NO TRANSLATION
draught	esboço, projeto
draw	desenhar
drawback	recua
drawbridge	ponte levadiça
drawer	gaveta
drawers	gavetas
drawing	desenhando
dread	pavor
dreaded	temido
dreadful	terrível
dreadfully	terrivelmente
dreading	temendo
dream	Sonhe
dreamboat	dreamboat
dreamer	sonhador
dreaming	sonhando
dreamland	terra dos sonhos
dreams	sonhos
dreamt	sonhou
dreamy	sonhadores
dreary	aborrecido
dredge	draga
drenched	encharcado
dress	vestir
dresser	cômoda
dressmaker	costureira
dressy	vistoso
dribble	NO TRANSLATION
dried	seco
drier	secador
drift	deriva
drifted	desviou
drifter	vagabundo
driftwood	troncos
drill	broca
drink	beber
drinker	bebedor
drinking	bebendo
drinks	bebidas
drip	gotejamento
dripping	gotejamento
drive	dirigir
drivel	drivel
driver	motorista
driveway	calçada
drizzle	chuvisco
droll	divertido
drone	drone
drones	drones
drool	babar
drooping	caído
droopy	caído
drop	solta
droplet	gotícula
dropout	cair fora
dropper	conta-gotas
drought	seca
drove	NO TRANSLATION
drown	afogar
drowsiness	sonolência
drowsy	sonolento
drudgery	enfadonho
drug	droga
drug dealing	tráfico de drogas
drugged	drogado
druggist	farmacêutico
drugs	drogas
drugstore	Drogaria
druid	druida
drum	tambor
drummer	baterista
drumming	tocar bateria
drunk	bêbado
drunk driving	Dirigir bêbado
drunkard	bêbado
drunken	bêbado
drunkenness	embriaguez
dry	seco
dryer	secador
dryness	secura
dual	dual
dualism	dualismo
duality	dualidade
dub	dub
dubious	duvidoso
duchess	duquesa
duck	Pato
ducking	esquivar
duckling	patinho
ducky	patinho
duct	duto
ductile	dúctil
dud	fracasso
dude	cara
duds	insucessos
due	vencimento
duel	duelo
dues	dívidas
duet	dueto
duffel	mochila
dugout	abrigo
duh	duh
duke	duque
dull	maçante
dullard	idiota
dumb	burro
dumbasses	dumbasses
dumbbell	haltere
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	manequim
dump	despejar
dumpling	bolinho de massa
dumps	lixões
dumpster	deposito de lixo
dun	dun
dunce	burro
dune	duna
dung	NO TRANSLATION
dungeon	masmorra
dunk	enterrar
duo	duo
dupe	enganar
duplex	duplex
duplicate	duplicado
duplication	duplicação
duplicity	duplicidade
durability	durabilidade
durable	durável
duration	duração
duress	coação
dusk	crepúsculo
dusky	obscuro
dust	poeira
duster	espanador
dustpan	pá de lixo
dusty	empoeirado
dutiful	obediente
duty	dever
dwarf	anão
dwarfed	anão
dweeb	panaca
dwell	habitar
dweller	morador
dwelling	habitação
dye	corante
dying	morrendo
dyke	sapatona
dynamic	dinâmico
dynamical	dinâmico
dynamics	dinâmica
dynamite	dinamite
dynamo	dínamo
dynasty	dinastia
dysentery	disenteria
dysfunction	disfunção
dysfunctional	disfuncional
dyspepsia	dispepsia
eager	ansioso
eagerness	ansiedade
eagle	Águia
ear	orelha
earful	brincalhão
earl	conde
earlier	mais cedo
early	cedo
earn	ganhar
earnest	sincero
earnestly	sinceramente
earnestness	seriedade
earnings	ganhos
earpiece	fone de ouvido
earring	brinco
earrings	brincos
earshot	alcance de voz
earth	terra
earthenware	louça de barro
earthling	terráqueo
earthly	terrestre
earthquake	tremor de terra
earthy	terreno
ease	facilidade
easel	cavalete
easement	servidão
easily	facilmente
east	leste
eastbound	oriente
eastern	Oriental
easy	fácil
easygoing	maleável
eat	comer
eater	comedor
eating	comendo
eatingdisorders	NO TRANSLATION
eavesdrop	escutar
eavesdropping	escutas
ebb	vazante
ebony	ébano
ebullient	efervescente
eccentric	excêntrico
eccentricity	excentricidade
ecclesiastical	eclesiástico
echelon	escalão
echinacea	equinácea
echo	eco
eclectic	eclético
eclipse	eclipse
ecliptic	eclíptica
ecological	ecológico
economic	econômico
economical	econômico
economics	economia
economy	economia
ecosystem	ecossistema
ecstasy	êxtase
ecstatic	em êxtase
ecumenical	ecumênico
eddy	redemoinho
edema	edema
edge	Beira
edging	afiação
edgy	nervoso
edible	comestível
edict	decreto
edification	edificação
edifice	edifício
edit	editar
editing	editando
edition	edição
editor	editor
editorial	editorial
educate	educar
educated	educado
education	Educação
educational	educacional
educator	educador
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	enguia
eerie	estranho
effect	efeito
effective	eficaz
effectiveness	eficácia
effects	efeitos
effectual	eficaz
effectually	eficazmente
effectuate	efetuar
effeminate	efeminado
efficacious	eficaz
efficacy	eficácia
efficiency	eficiência
efficient	eficiente
effigy	efígie
effort	esforço
effortless	sem esforço
effusion	efusão
effyou	NO TRANSLATION
egg	ovo
egghead	egghead
eggnog	gemada
eggplant	Berinjela
eggshell	casca de ovo
ego	ego
egomaniac	egomaníaco
egotistical	egoísta
egregious	notório
egress	saída
eight	oito
eighteen	dezoito
eighth	oitavo
eighty	oitenta
ejaculate	ejacular
ejaculation	ejaculação
eject	ejetar
ejection	ejeção
elaborate	elaborar
elaboration	elaboração
elan	NO TRANSLATION
elapse	decorrer
elapsed	decorrido
elastic	elástico
elasticity	elasticidade
elated	exaltado
elation	euforia
elbow	cotovelo
eld	eld
elder	mais velho
elderly	idosos
elders	anciãos
eldest	mais velho
elect	eleger
election	eleição
elective	eletivo
elector	eleitor
electoral	eleitoral
electorate	eleitorado
electric	elétrico
electric slide	corrediça elétrica
electrical	elétrico
electrician	eletricista
electricity	eletricidade
electrify	eletrificar
electrocute	eletrocutar
electrocution	eletrocussão
electromagnetic	eletromagnético
electron	elétron
electronic	eletrônico
electronics	eletrônicos
elegance	elegância
elegant	elegante
element	elemento
elemental	elementar
elementary	elementar
elements	elementos
elephant	elefante
elevate	elevar
elevated	elevado
elevation	elevação
elevator	elevador
eleven	onze
eleventh	décima primeira
elf	duende
elicit	elicit
eligible	elegível
eliminate	eliminar
elimination	eliminação
elite	elite
elitist	elitista
elixir	elixir
elk	alce
ell	ell
ellipse	elipse
ellipsis	elipse
ellipsoid	elipsóide
elliptic	elíptico
elliptical	elíptico
elm	olmo
elongate	alongado
elongation	alongamento
elope	fugir
eloquence	eloquência
eloquent	eloquente
elucidate	elucidar
elucidation	elucidação
elude	elude
elusive	indescritível
emaciated	emaciado
email	o email
emanate	emanar
emancipation	emancipação
embankment	aterro
embargo	NO TRANSLATION
embark	embarcar
embarrass	embaraçar
embarrassed	envergonhado
embarrassing	embaraçoso
embarrassment	embaraço
embassy	embaixada
embattled	em apuros
embed	Embutir
embellish	embelezar
embellishment	embelezamento
embers	brasas
embezzlement	desfalque
