Word	no
computing	databehandling
comrade	kamerat
con	NO TRANSLATION
concatenation	sammensetning
concave	konkav
conceal	skjule
concealed	skjult
concealment	fortielse
concede	medgir
conceit	innbilskhet
conceited	innbilsk
conceivable	tenkelig
conceive	unnfange
concentrate	konsentrere
concentration	konsentrasjon
concentric	konsentriske
concept	konsept
conception	oppfatning
concern	bekymring
concerned	bekymret
concert	konsert
concerto	konsert
concession	konsesjon
concessional	konsesjonelle
conch	konkylie
concierge	concierge
conciliation	forlik
concise	konsis
conclave	konklave
conclude	konkludere
concluding	avslutt
conclusion	konklusjon
conclusive	avgjørende
concoction	concoction
concomitant	samtidig
concord	concord
concordance	konkordans
concours	NO TRANSLATION
concourse	concourse
concrete	betong
concubine	konkubine
concur	enig
concurrence	samstemmighet
concurrent	samtidig
concurring	concurring
concussion	hjernerystelse
condemn	fordømme
condemnation	fordømmelse
condensation	kondensasjon
condensed	kondensert
condescending	nedlatende
condescension	nedlatenhet
condiment	tilbehør
condition	betingelse
conditional	betinget
conditionally	betinget
conditioned	betinget
conditioner	balsam
conditioning	conditioning
conditions	forhold
condo	leilighet
condolence	kondolanse
condolences	kondolerer
condom	kondom
condone	tolerere
condor	condor
conducive	bidrar
conduct	oppførsel
conduction	ledning
conductivity	ledningsevne
conductor	dirigent
conduit	ledning
cone	kjegle
confederacy	konføderasjon
confederate	confederate
confederation	konføderasjon
confer	konferere
conference	konferanse
confess	tilstå
confession	tilståelse
confessional	bekjennende
confessions	bekjennelser
confetti	confetti
confidant	fortrolige
confide	betro
confidence	selvtillit
confident	Selvsikker
confidential	konfidensiell
confidentiality	konfidensialitet
confidentially	NO TRANSLATION
configuration	konfigurasjon
confine	begrense
confined	begrenset
confinement	sperring
confines	rammen
confirm	bekrefte
confirmation	bekreftelse
confirmatory	bekreftende
confirmed	bekreftet
confiscate	konfiskere
confiscation	inndragning
conflagration	brannen
conflict	konflikt
conflicting	motstrid
confluence	samløpet
conform	samsvare
conformance	conformance
conformation	NO TRANSLATION
conformity	konformitet
confound	skamme
confounded	forvirret
confront	konfrontere
confrontation	konfrontasjon
confuse	forvirre
confused	forvirret
confusing	forvirrende
confusion	forvirring
conga	conga
congenial	congenial
congenital	medfødt
congestion	opphopning
conglomerate	konglomerat
conglomeration	konglomerat
congrats	Gratulerer
congratulate	gratulere
congratulation	Gratulerer
congratulations	Gratulerer
congratulatory	gratulasjons
congregate	samle
congregation	forsamling
congress	kongress
congressional	Kongressens
congressman	kongress
congruence	sammenfallende
conic	kjegle
conical	konisk
conjecture	formodning
conjugal	ekteskape
conjugate	konjugat
conjugation	konjugering
conjunction	sammenheng
conjunctive	konjunktiv
conjure	trylle
conjuring	besvergelse
conk	conk
connect	koble
connected	tilkoblet
connection	forbindelse
connective	binde
connoisseur	connoisseur
conquer	erobre
conquering	erobre
conqueror	erobrer
conquest	erobring
conscience	samvittighet
conscientious	pliktoppfyllende
conscious	bevisst
consciousness	bevissthet
conscription	verneplikt
consecrated	innviet
consecration	innvielse
consecutive	påfølgende
consensual	med samtykke
consensus	konsensus
consent	samtykke
consenting	samtykke
consequence	konsekvens
consequent	konsekvent
conservation	bevaring
conservatism	konservatisme
conservative	konservative
conservatory	vinterhage
conserve	spare
consider	ta i betraktning
considerable	betraktelig
considerate	hensyns
consideration	betraktning
consignee	mottaker
consignment	forsendelse
consist	bestå
consistency	konsistens
consistent	konsistent
consolation	Trøsten
console	konsoll
consoled	trøstet
consolidate	konsolidere
consolidated	konsolidert
consolidation	konsolidering
consonant	konsonant
consort	gemalinne
conspicuous	iøynefallende
conspiracy	sammensvergelse
conspirator	conspirator
conspire	konspirerer
constable	konstabel
constancy	standhaftighet
constant	konstant
constantly	stadig
constellation	konstellasjon
consternation	bestyrtelse
constipation	forstoppelse
constituency	valgkrets
constituent	bestanddel
constituents	bestanddeler
constitute	utgjøre
constitution	grunnlov
constitutional	konstitusjonell
constitutionality	konstitusjonen
constrain	begrense, forhindre
constrained	begrenset
constraint	begrensning
construct	konstruere
construction	konstruksjon
constructive	konstruktiv
construe	fortolke
consul	konsul
consulate	konsulat
consult	rådføre
consultant	konsulent
consultation	konsultasjon
consume	forbruke
consumer	forbruker
consuming	forbruker
consummate	consummate
consummation	fullbyrdelsen
consumption	forbruk
contact	kontakt
contagion	smitte
contagious	smittsom
contain	inneholde
container	container
containment	Begrensning
contaminate	forurense
contaminated	forurenset
contamination	forurensning
contemplate	betrakte
contemplation	tanke
contemplative	Tankefull
contemporaneous	samtidige
contemporary	moderne
contempt	forakt
contemptible	foraktelig
contemptuous	foraktelig
contend	stri
contender	kandidat
contending	motstrid
content	innhold
contented	fornøyd
contention	påstand
contentious	omstridte
contentment	tilfredshet
contents	innhold
contest	contest
contestant	deltaker
context	kontekst
contiguous	sammenhengende
continence	kontinens
continent	kontinent
continental	kontinental
contingency	beredskap
contingent	kontingenten
continual	kontinuerlig
continually	kontinuerlig
continuance	videreføring
continuation	fortsettelse
continue	Fortsette
continued	fortsatte
continuing	fortsetter
continuity	kontinuitet
continuous	kontinuerlige
continuously	kontinuerlig
continuum	kontinuum
contour	kontur
contraband	smugler
contraception	prevensjon
contract	kontrakt
contracted	kontrakt
contractile	kontraktile
contracting	entreprenør
contraction	kontraksjon
contractor	entreprenør
contradict	motsi
contradiction	motsigelse
contradictory	motstrid
contraption	contraption
contrary	motsetning
contrast	kontrast
contrasted	kontras
contravene	strid
contravention	overtredelse
contribute	bidra
contribution	bidrag
contributor	bidragsyter
contrite	angrende
contrition	anger
contrived	contrived
control	kontroll
controller	kontrolleren
controlling	kontrollerende
controversial	kontroversielt
controversy	Kontrovers
contusion	kontusjon
conundrum	gåten
convalescent	rekonvalesent
convection	konveksjon
convene	innkalle
convenience	bekvemmelighet
conveniences	bekvemmeligheter
convenient	beleilig
convent	kloster
convention	konvensjon
conventional	konvensjonell
converge	konvergerer
convergence	konvergens
convergent	konvergent
conversant	fortrolig
conversation	samtale
conversational	conversational
conversationalist	samtale
converse	converse
conversing	samtale
conversion	omdannelse
convert	konvertere
converted	konverterte
convertible	konvertible
convex	konveks
convexity	konveksitet
convey	Formidle
conveyance	Overdragelses
conveyancing	conveyancing
convict	dømme
conviction	dom
convince	overbevise
convinced	overbevist
convincing	overbevisende
convocation	sammenkomst
convoluted	convoluted
convolution	konvolusjon
convoy	konvoi
coo	COO
cook	kokk
cookbook	kokebok
cooker	komfyr
cookery	matlaging
cookie	cookie
cookies	kjeks
cooking	matlaging
cookout	cookout
cool	kul
coolant	kjølevæske
cooler	kulere
cooling	kjøling
coolness	coolness
coon	coon
coop	coop
cooperate	samarbeide
cooperating	samvirkende
cooperation	samarbeid
cooperative	kooperativ
coordinate	koordinere
coordination	koordinasjon
coordinator	koordinator
cop	politimann
copacetic	NO TRANSLATION
cope	håndtere
copier	kopimaskin
copilot	copilot
coping	mestring
copious	innholdsrik
copper	kobber
copter	copter
copy	kopiere
copycat	copycat
copying	kopiering
copyright	opphavsrett
coral	korall
coral snake	koral slange
cord	ledning
cordial	hjertelig
cordless	trådløs
cordon	cordon
corduroy	kordfløyel
core	kjerne
cork	kork
corkscrew	korketrekker
corn	korn
cornball	cornball
cornbread	cornbread
cornea	hornhinnen
corned	corned
corner	hjørne
cornerstone	hjørnestein
cornet	kornett
cornfield	kornåker
cornflakes	NO TRANSLATION
cornice	gesims
cornstarch	cornstarch
corny	rar
corollary	konsekvens
corona	corona
coronary	koronar
coronation	kroning
coroner	rettslege
corporal	korporal
corporate	bedrifts
corporation	selskap
corporeal	legemlige
corps	korps
corpse	lik
corpsman	corpsman
corpus	corpus
corral	innhegningen
correct	riktig
correction	korreksjon
correctional	Rettelsen
corrective	korrigerende
correctness	korrekthet
correlation	sammenheng
correlative	samsvar
correspond	tilsvare
correspondence	korrespondanse
correspondent	korrespondent
corresponding	tilsvarende
corridor	korridor
corroborate	underbygge
corroboration	bekreftelse
corrosion	korrosjon
corrosive	etsende
corrupt	korrupt
corrupting	ødelegge
corruption	korrupsjon
corsage	corsage
corse	NO TRANSLATION
corset	korsett
cortex	cortex
cortical	kortikal
cortisone	kortison
corvette	corvette
cosmetic	kosmetisk
cosmetics	kosmetikk
cosmic	kosmisk
cosmology	kosmologi
cosmopolitan	cosmopolitan
cosmos	kosmos
cost	koste
costly	kostbar
costume	drakt
cosy	koselig
cot	cot
cote	cote
cottage	hytte
cotton	bomull
couch	sofa
cougar	Cougar
cough	hoste
council	råd
councilman	rådmann
counsel	råd
counseling	rådgivning
counsellor	rådgiver
counselor	rådgiver
count	telle
countdown	nedtelling
countenance	ansikt
counter	disk
counteract	motvirke
counterattack	motangrep
counterbalance	motvekt
counterclaim	motkrav
counterfeit	forfalske
counterpart	motstykke
counterpoint	kontra
countess	grevinne
countless	utallige
country	land
countryman	landsmann
countrymusic	NO TRANSLATION
countryside	landsbygda
counts	teller
county	fylke
coup	kupp
coupe	coupe
couple	par
coupled	koplet
coupling	kopling
coupon	kupong
courage	mot
courageous	modig
courier	kurer
courses	kurs
coursing	kursing
court	domstol
courteous	høflig
courtesy	høflighet
courthouse	tinghus
courtroom	rettssal
courts	baner
courtship	frieri
courtside	court
courtyard	gårds
cousin	fetter
cousins	søskenbarn
cove	vik
coven	coven
covenant	pakt
cover	dekke
coverage	dekning
covered	dekket
covering	dekker
covert	skjult
covet	begjære
coveted	ettertraktede
cow	ku
coward	feiging
cowardice	feighet
cowardly	feigt
cowboy	cowboy
cowgirl	cowgirl
cowhand	cowhand
cowhide	okse
cowl	cowl
coworker	kollega
coy	sjenert
coyote	prærieulv
cozy	koselig
crab	krabbe
crabby	sur
crack	sprekk
cracked	sprakk
cracker	cracker
crackerjack	crackerjack
cracking	sprengning
crackle	knitre
crackpot	crackpot
cradle	vugge
craft	håndverket
crafts	håndverk
craftsman	håndverker
craftsmanship	håndverk
crafty	listig
craig	craig
cram	pugge
crammed	crammed
cramp	krampe
cramped	trangt
cranberry	tranebær
cranberry juice	tranebærjuice
crane	kran
cranial	cranial
cranium	kraniet
crank	sveiv
cranky	gretten
cranny	cranny
crap	dritt
crappy	crappy
craps	craps
crash	brak
crass	krasse
crate	kasse
crater	krater
crave	begjærer
craving	lyst
crawfish	kreps
crawl	crawl
crayon	fargestift
crayons	fargestifter
craze	mani
crazed	gal
craziness	galskap
crazy	gal
creak	knirke
creaking	knirk
cream	krem
creamed	kremet
creamer	creamer
creamy	kremete
crease	krøll
create	skape
creation	opprettelse
creative	kreativ
creativity	kreativitet
creator	skaperen
creature	skapning
credence	troverdighet
credential	credential
credentials	legitimasjon
credibility	troverdighet
credible	troverdig
credit	kreditt
credit card	kredittkort
creditable	credit
credited	kreditert
crediting	kreditering
creditor	kreditor
creed	trosbekjennelse
creek	lita elv, bekk
creep	creep
creeper	creeper
creeping	snik
creepy	skummel
cremation	kremasjon
creole	creole
crepe	crepe
crescendo	crescendo
crescent	halvmåne
crest	crest
crestfallen	slukøret
cretin	cretin
cretins	cretins
crevice	sprekk
crew	mannskap
crewman	crewman
crib	krybbe
cricket	siriss
cried	gråt
crime	forbrytelse
criminal	forbryter
criminality	kriminalitet
crimp	krympe
crimson	Høyrød
cringe	kleint
cripple	krøpling
crippled	forkrøplet
crippling	krøplende
crisis	krise
crisp	sprø
crispy	sprø
criterion	kriterium
critic	kritisk
critical	kritisk
criticise	kritisere
criticism	kritikk
criticize	kritisere
criticized	kritisert
critique	kritikk
critter	critter
croak	kvekke
croc	krokodillen
crock	crock
crockery	servise
crocodile	krokodille
croft	croft
croissant	croissant
crook	kjeltring
crooked	krokete
crop	avling
croquet	krokket
cross	kryss
cross country	langrenn
crossbow	armbrøst
crossed	krysset
crossfire	crossfire
crossing	kryssing
crossover	crossover
crosswalk	fotgjengerovergang
crossword	kryssord
crotch	skrittet
crouch	krøke
crouched	huk
crouching	huk
croupier	croupier
crow	kråke
crowbar	brekkjern
crowd	publikum
crowded	fylt
crowds	folkemengder
crown	krone
crowning	kroningen
crucial	avgjørende
cruciate	cruciate
crucifix	krusifiks
crucifixion	korsfestelsen
crucify	korsfeste
crud	crud
crude	grov
cruel	grusom
cruelly	grusomt
cruelty	grusomhet
cruise	cruise
cruise ship	cruise skip
cruiser	cruiser
cruising	cruising
crumb	smule
crumble	smuldre
crumbling	smuldrer
crummy	crummy
crunch	knase
crunchy	knasende
crusade	korstog
crusader	crusader
crush	crush
crushed	knust
crusher	crusher
crushing	knusing
crust	skorpe
crusty	sprø
crutch	krykke
crux	crux
cry	gråte
crybaby	gråtebaby
crying	gråt
crypt	krypten
cryptic	kryptisk
cryptography	kryptografi
crystal	krystall
crystalline	krystallinsk
crystallization	krystallisering
cub	cub
cubby	cubby
cube	cube
cubic	kubikk
cubicle	bås
cuckold	hanrei
cuckoo	gjøk
cucumber	agurk
cuddle	kose
cuddled	kost
cuddles	kos
cuddling	kosing
cue	cue
cuff	mansjett
cuisine	mat
culinary	kulinarisk
cull	Cull
culminate	kulminere
culmination	kulminasjonen
culpability	skyld
culpable	klanderverdig
culprit	skyldige
cult	kult
cultivate	dyrke
cultivated	dyrket
cultivation	dyrking
cultural	kulturell
culture	kultur
cultured	kultivert
culvert	kulvert
cumbersome	tungvint
cumulus	cumulus
cunning	lur
cunt	fitte
cup	kopp
cupboard	skap
cupcake	cupcake
cupping	kopping
cur	cur
curable	herdbart
curate	kuratere
curative	kurativ
curator	kurator
curb	fortauskant
curd	curd
cure	kurere
curfew	portforbud
curiosity	nysgjerrighet
curious	nysgjerrig
curl	curl
curling	Curling
currency	valuta
current	nåværende
curriculum	pensum
curry	karri
curse	forbannelse
cursed	forbannet
cursing	forbannelse
cursory	overfladisk
curt	brysk
curtail	innskrenke
curtailment	avkorting
curtain	gardin
curtains	gardiner
curtsy	curtsy
curvature	krumning
curve	kurve
curved	krummet
curvilinear	krumlinjet
cushion	pute
cushy	cushy
cusp	cusp
cuss	drøfte
cussed	cussed
custard	vaniljesaus
custodial	frihetsberøvelse
custodian	vaktmester
custody	varetekt
custom	tilpasset
customary	vanlig
customer	kunde
customized	tilpasset
cut	kutte opp
cutaneous	kutan
cute	søt
cuticle	cuticle
cutie	søtnos
cutlass	cutlass
cutlery	bestikk
cutoff	cutoff
cutter	kutter
cutters	kuttere
cutthroat	cutthroat
cutting	skjæring
cutting board	skjærefjøl
cuttings	borekaks
cwt	CWT
cyanide	cyanid
cyberspace	cyberspace
cycle	syklus
cyclical	syklisk
cyclist	syklist
cyclone	syklon
cylinder	sylinder
cylindrical	sylindrisk
cymbal	cymbal
cynic	kyniker
cynical	kynisk
cynicism	kynisme
cyst	cyste
cystic	cystisk
cytomegalovirus	cytomegalovirus
cytoplasm	cytoplasma
czar	czar
dab	dAB
dabble	prøve seg
dabbling	dabbling
dad	pappa
daddy	pappa
dado	NO TRANSLATION
daemon	daemon
daft	tåpelig
dagger	dolk
daily	daglig
dainty	lekker
daiquiri	daiquiri
dairy	meieri
daisy	Tusenfryd
dak	NO TRANSLATION
dale	dale
dam	demning
damage	skader
damaged	skadet
damages	skader
dame	dame
damn	jævla
damnation	fortapelse
damned	forbannet
damp	fuktig
dampened	fuktet
damper	spjeldet
damsel	pike
dance	danse
dancer	danser
dancing	dans
dandruff	flass
dandy	dandy
danger	fare
dangerous	farlig
dangerously	farlig
dangit	NO TRANSLATION
dangle	dingle
dank	NO TRANSLATION
dapper	dapper
dare	tør
daredevil	Våghals
daresay	daresay
daring	dristig
dark	mørk
darken	mørkere
darkened	mørknet
darkly	darkly
darkness	mørke
darkroom	mørkerom
darkside	mørk side
darling	elskling
darn	Søren
dart	dart
dash	bindestrek
dashboard	dashbord
dashed	stiplede
dashing	dashing
dastardly	feige
data	data
database	database
date	Dato
datenight	NO TRANSLATION
daughter	datter
dawdle	somle
dawn	soloppgang
dawned	demret
day	dag
daybreak	daggry
daycare	barnehage
daydream	dagdrøm
daydreaming	dagdrømming
daylight	dagslys
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	dagtid
daze	daze
dazed	omtumlet
dazzle	dazzle
dazzling	blendende
deacon	diakon
deactivate	deaktivere
dead	død
deadbeat	Deadbeat
deadline	frist
deadlines	tidsfrister
deadlock	vranglås
deadly	dødelig
deaf	døv
deafening	øredøvende
deafness	døvhet
deal	avtale
dealer	forhandler
dealership	forhandler
dealing	arbeider
dealings	befatning
dean	dekanus
dear	kjære
dearest	kjæreste
dearth	mangel
death	død
deathbed	dødsleie
deathly	deathly
debacle	fiaskoen
debased	fornedret
debatable	diskutabel
debate	debatt
debauchery	utskeielser
debenture	obligasjonslån
debilitating	ødeleggende
debit	debet
debrief	debrief
debriefing	debriefing
debris	rester
debt	gjeld
debtor	debitor
debut	debut
debutante	debutant
decade	tiår
decadence	dekadanse
decadent	dekadent
decaf	koffeinfri
decanter	karaffel
decathlon	Decathlon
decay	forfall
decayed	forfalt
decaying	råtnende
deceased	avdød
decedent	avdødes
deceit	bedrageri
deceitful	bedragersk
deceive	lure
deceived	bedratt
deceiving	bedra
december	desember
decency	anstendighet
decent	skikkelig
deception	bedrag
deceptive	villedende
decide	Bestemme seg for
decidedly	desidert
deciduous	lauv
decimal	desimal
decimeter	decimeter
decipher	dechiffrere
decision	beslutning
decisive	avgjørende
deck	Dekk
declaration	erklæring
declaratory	declaratory
declare	erklære
declination	deklinasjon
decline	avslå
declining	synkende
deco	deco
decode	dekode
decoder	dekoderen
decompose	dekomponerer
decomposed	dekomponeres
decomposition	nedbrytning
decompress	dekomprimere
decompression	dekompresjon
decontamination	dekontaminering
decor	dekor
decorate	dekorere
decorating	dekorere
decoration	dekorasjon
decorative	dekorative
decorator	dekoratør
decorum	decorum
decoy	decoy
decrease	avta
decreased	redusert
decreasing	minkende
decree	resolusjon
decrement	minsk
decrepit	avfeldig
decry	fordømme
decryption	dekryptering
dedicate	vie
dedication	dedikasjon
deduce	utlede
deduct	trekke
deductible	egenandel
deduction	fradrag
deed	skjøte
deejay	deejay
deem	anser
deep	dyp
deepen	utdype
deer	hjort
defamation	ærekrenkelse
defamatory	ærekrenkende
default	misligholde
defeat	nederlag
defeated	nedkjempet
defeatist	defeatist
defect	defekt
defection	avhopp
defective	defekt
defector	avhopper
defend	forsvare
defendant	anklagede
defended	forsvarte
defender	forsvarer
defending	forsvare
defense	forsvar
defenseless	forsvarsløs
defensible	forsvarlig
defensive	defensiv
defer	utsette
deference	aktelse
deferral	utsettelse
deferring	utsette
defiance	trass
defiant	trassig
defibrillator	defibrillator
deficiency	mangel
deficient	mangelfull
deficit	underskudd
define	definere
defined	definert
definite	bestemt
definition	definisjon
definitive	definitive
deflate	deflate
deflation	deflasjon
deflect	avlede
deflection	avbøyning
defloration	defloration
deform	deformeres
deformed	deformert
deformity	misdannelse
defraud	bedra
defray	dekke
defrost	Tine
deft	behendig
defunct	nedlagte
defuse	uskadeliggjøre
defy	trosse
degeneracy	degenerasjon
degenerate	degenerert
degeneration	degenerasjon
degradation	degradering
degrade	degradere
degraded	degradert
degrading	nedverdigende
degree	grad
dehydrated	dehydrert
dehydration	dehydrering
dejected	nedslått
delay	utsette
delayed	forsinket
delectable	delectable
delegate	delegat
delegation	delegasjon
delete	slette
deleterious	skadelig
deletion	sletting
deli	Deli
deliberate	tilsiktet
deliberation	diskusjoner
deliberative	deliberative
delicacy	delikatesse
delicate	delikat
delicatessen	delikatesse
delicious	nydelig
delight	glede
delighted	glad
delightful	herlig
delineate	avgrense
delineation	avgrensing
delinquency	lovovertredelse
delinquent	betalingsudyktig
delirious	delirisk
delirium	delirium
deliver	levere
deliverance	levering
delivery	leveranse
dell	dell
delta	delta
delude	narre
deluge	oversvømmelse
delusion	vrangforestilling
delusional	vrangforestillinger
deluxe	deluxe
delve	dybden
demand	kreve
demanding	krevende
demeaned	nedverdiget
demeaning	nedverdigende
demeanor	oppførsel
demented	demente
dementia	demens
demise	død
demo	demo
democracy	demokrati
democrat	demokrat
democratic	demokratisk
demographic	demografisk
demolish	rive
demolished	revet ned
demolition	riving
demon	demon
demonic	demoniske
demonstrable	påviselig
demonstrate	demonstrere
demonstrated	demonstrert
demonstrating	demonstrere
demonstration	demonstrasjon
demonstrative	demonstrative
demonstrator	demonstrator
demoralized	demoralisert
demos	demoer
demure	anstendig
den	NO TRANSLATION
deniability	benektelse
denial	benektelse
denied	benektet
denim	denim
denomination	trossamfunn
denominational	tverrkirkelig
denominator	nevner
denote	betegne
denounce	fordømme
dense	tett
density	tetthet
dent	bulk
dental	tann
dentist	tannlege
dentistry	tannbehandling
dentists	tannleger
denunciation	Oppsigelsen
deny	benekte
denying	benektes
deodorant	deodorant
depart	reise
departed	avdød
department	avdeling
departmental	avdelings
departure	avgang
depend	avhenge
dependable	pålitelig
dependant	avhengig
dependence	avhengighet
dependency	avhengighet
dependent	avhengig
depict	skildre
depicting	avbilder
depletion	uttømming
deplorable	beklagelig
deplore	beklage
deploy	utplassere
deployment	utplassering
deport	deportere
deportation	deportasjon
depose	avsette
deposit	innskudd
depositary	depot
deposition	avsetning
depository	depot
depot	depot
depraved	fordervet
depravity	fordervelse
depreciate	svekke
depreciated	avskrives
depreciation	avskrivninger
depress	trykke
depressed	deprimert
depressing	deprimerende
depression	depresjon
depressive	depressiv
depresson	NO TRANSLATION
deprivation	deprivasjon
deprive	frarøve
deprived	fratatt
depth	dybde
deputy	nestleder
derail	avspore
deranged	sinnsforvirret
derelict	falleferdige
derision	hån
derivation	derivasjon
derivative	derivat
derive	utlede
dermal	dermal
dermatologist	hudlege
dermatology	dermatologi
derogation	unntak
derogatory	nedsettende
descend	gå ned
descendant	kommer
descendent	NO TRANSLATION
descending	synkende
descent	avstamning
describe	beskrive
description	beskrivelse
descriptive	beskrivende
desecrate	skjende
desecration	skjending
desert	ørken
deserted	forlatt
deserter	desertør
desertion	deserte
deserve	fortjene
deserved	fortjent
deserving	fortjenstfull
design	design
designate	utpeke
designated	utpekt
designation	betegnelse
designed	utformet
designer	designer
designing	utforme
desirability	ønskelig
desirable	ønskelig
desire	ønske
desiring	ønsker
desirous	begjærlig
desist	avstå
desk	pulten
desolate	øde
desolation	ødeleggelse
despair	fortvilelse
despairing	fortvilet
despatch	forsendelse
desperado	desperado
desperate	desperat
desperation	desperasjon
despicable	avskyelig
despise	forakte
despondent	motløs
despotic	despotiske
despotism	despotisme
dessert	dessert
destination	mål
destined	skjebne
destiny	skjebne
destitute	nødlidende
destroy	ødelegge
destroyed	ødelagt
destroyer	ødelegger
destroying	ødelegge
destruct	destruct
destruction	ødeleggelse
destructive	destruktiv
detach	løsne
detached	frakoblet
detachment	løsrivelse
detail	detalj
detailed	detaljert
details	detaljer
detain	holde tilbake
detainee	innsatte
detect	oppdage
detectable	påvisbare
detection	gjenkjenning
detective	detektiv
detector	detektoren
detention	fengsling
deter	avskrekke
detergent	vaskemiddel
deteriorate	forringes
deteriorated	forverret
deteriorating	forverret
deterioration	forverring
determinable	bestem
determinate	determinate
determination	besluttsomhet
determine	fastslå
determined	fast bestemt
deterrent	avskrekkende
detest	avsky
detestation	avsky
detonate	detonere
detonation	detonasjon
detonator	detonator
detour	omvei
detract	døve
detriment	skade
detrimental	skadelig
detritus	detritus
deuce	toer
deutschmark	tyske mark
devalued	devaluert
devastate	ødelegge
devastated	knust
devastating	ødeleggende
devastation	ødeleggelse
develop	utvikle
developer	utvikleren
developing	utvikle
development	utvikling
deviant	avvikende
deviate	avvike
deviating	avvik
deviation	avvik
device	enhet
devil	djevel
deviled	deviled
devilish	djevelsk
devious	utspekulert
devise	tenke ut
devoid	fri
devolution	devolution
devolve	tilfalle
devote	vie
devoted	viet
devotee	tilhenger
devotion	hengivenhet
devotional	andakt
devour	sluke
devout	troende
dew	dugg
dexter	dexter
dexterity	behendighet
dextrose	dextrose
diabetes	diabetes
diabetic	diabetiker
diabolical	djevelske
diagnose	diagnostisere
diagnosis	diagnose
diagnostic	diagnostisk
diagnostics	diagnostikk
diagonal	diagonal
diagram	diagram
dial	slå
dialect	dialekt
dialectic	dialektikk
dialogue	dialog
dialysis	dialyse
diameter	diameter
diamond	diamant
diamonds	diamanter
diaper	bleie
diaphragm	diafragma
diarrhea	diaré
diarrhoea	diaré
diary	dagbok
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	terning
dicey	risikabelt
dichotomous	dikotom
dichotomy	dikotomi
dick	pikk
dickhead	kødd
dicks	dicks
dictate	diktere
dictation	diktat
dictator	diktator
dictatorial	diktatorisk
dictatorship	diktatur
diction	diksjon
dictionary	ordbok
dictum	NO TRANSLATION
didactic	didaktisk
diddle	diddle
die	NO TRANSLATION
died	døde
diesel	diesel
diet	kosthold
dietary	kosttilskudd
differ	avvike
difference	forskjell
differences	forskjeller
different	annerledes
differential	differensial
differentiation	differensiering
differently	annerledes
differing	ulik
difficult	vanskelig
difficulties	vanskeligheter
difficulty	vanskelighet
diffuse	diffuse
diffusion	diffusjon
dig	NO TRANSLATION
digest	fordøye
digestion	fordøyelse
digestive	fordøyelses
digit	sifret
digital	digitalt
dignified	ærverdig
dignify	verdighet
dignity	verdighet
digress	digresjon
digs	NO TRANSLATION
dike	dike
dilapidated	falleferdig
dilatation	dilatasjon
dilation	utvidelse
dildo	dildo
dilemma	dilemma
diligence	aktsomhet
diligent	flittig
dill	dill
diluent	fortynningsmiddel
dilute	fortynne
diluted	fortynnet
dilution	fortynning
dim	dim
dime	krone
dimension	dimensjon
dimensional	dimensjonale
diminish	avta
diminished	redusert
diminution	reduksjon
diminutive	diminutiv
dimwit	dimwit
din	NO TRANSLATION
dine	spise
diner	diner
dinghy	jolle
dingo	dingo
dingy	snusket
dining	spise~~POS=TRUNC
dinky	Eagle
dinner	middag
dinnertime	middags tid
dinosaur	dinosaur
dint	dint
diocesan	bispedømmets
diocese	bispedømme
diorama	diorama
dioxide	dioksid
dip	dyppe
diploma	Diplom
diplomacy	diplomati
diplomat	diplomat
diplomatic	diplomatisk
dipper	dipper
dippy	dippy
dipstick	peilepinnen
dire	NO TRANSLATION
direct	direkte
directed	regissert
direction	retning
directive	direktiv
directly	direkte
director	regissør
directory	katalog
dirt	skitt
dirty	skitne
disability	uførhet
disable	deaktivere
disabled	funksjonshemmet
disadvantage	ulempe
disaffected	misfornøyde
disagree	være uenig
disagreeable	ubehagelig
disagreeing	uenige
disagreement	uenighet
disallow	forby
disallowed	nektet
disapointment	NO TRANSLATION
disappear	forsvinne
disappearance	forsvinning
disappearing	forsvinner
disappoint	skuffe
disappointed	skuffet
disappointing	skuff
disappointment	skuffelse
disapproval	misbilligelse
disapprove	mislike
disapproved	ikke godkjent
disapproving	misbilligende
disarm	avvæpne
disarray	uorden
disaster	katastrofe
disastrous	katastrofal
disband	oppløse
disbelief	vantro
disbelieve	vantro
disburse	utbetale
disbursement	utbetaling
disc	plate
discard	forkaste
discarded	forkastet
discards	utkast
discern	skjelne
discernible	merkbar
discerning	kresne
discernment	dømmekraft
discharge	utladning
disciple	disippel
disciplinary	disiplinære
discipline	disiplin
disciplined	disiplinert
disclaim	fraskriver
disclaimer	ansvarsfraskrivelse
disclose	avsløre
disclosed	omtalt
disclosure	formidling
disco	disco
discoloration	misfarging
discolored	misfarget
discomfort	ubehag
disconcerted	forvirret
disconcerting	urovekkende
disconnect	koble fra
disconnected	frakoblet
disconnection	frakobling
disconnects	kobler
discontent	misnøye
discontinuance	opphør
discontinue	avvikle
discontinuity	diskontinuitet
discontinuous	usammenhengende
discord	splid
discount	rabatt
discounted	nedsatte
discourage	fraråde
discouraged	motet
discouragement	motløshet
discouraging	nedslående
discourse	diskurs
discover	oppdage
discovery	oppdagelse
discredit	diskreditere
discredited	diskreditert
discreet	NO TRANSLATION
discrepancy	avvik
discrete	diskrete
discretion	diskresjon
discretionary	skjønns
discriminate	diskriminere
discriminating	diskriminerende
discrimination	diskriminering
discus	diskos
