Word	hu
cider	almabor
cigar	szivar
cigarette	cigaretta
cilantro	koriander
cinch	nyeregheveder
cinder	salak
cinema	mozi
cinematic	filmes
cinematographer	operatőr
cinematography	filmezés
cinnamon	fahéj
cipher	rejtjel
circle	kör
circling	körözés
circuit	áramkör
circuitry	áramkör
circular	kör alakú
circulate	kering
circulation	keringés
circulatory	keringési
circumcision	körülmetélés
circumference	körméret
circumferential	kerületi
circumscribed	körülírt
circumstance	körülmény
circumstances	körülmények
circumstantial	körülményes
circumvent	megkerülése
circumvention	kijátszás
circus	cirkusz
cirque	Cirque
cirrhosis	cirrózis
cirrus	cirrus
cistern	víztároló
citadel	fellegvár
citation	idézet
cite	idéz
citizen	polgár
citizenship	polgárság
citrine	citromsárga
citrus	citrom- és narancsfélék
city	város
citywide	városnéző
civic	polgári
civics	állampolgári ismeretek
civil	civil
civilian	polgári
civilians	civilek
civility	udvariasság
civilization	civilizáció
civilized	civilizált
clad	öltözött
claim	követelés
claimant	felperes
clairvoyant	látnok
clam	kagyló
clambake	kagylósütés
clammy	nyirkos
clamor	kiabálás
clamp	fogó
clan	klán
clandestine	titkos
clang	csengés
clap	taps
clapper	kereplő
clapping	tapsoló
clarification	derítés
clarify	tisztázni
clarinet	klarinét
clarion	harsona
clarity	világosság
clash	összecsapás
clashing	csattanó
clasp	kapocs
class	osztály
classic	klasszikus
classic rock	klasszikus rock
classical	klasszikus
classics	klasszikusok
classification	osztályozás
classified	osztályozott
classify	osztályoz
classmate	osztálytárs
classroom	tanterem
classy	ízléses
clatter	zörög
clause	kikötés
clauses	kikötések
claustrophobia	klausztrofóbia
claustrophobic	klausztrofóbiás
clavicle	kulcscsont
claw	karom
claws	karom
clay	agyag
clean	tiszta
cleaner	tisztító
cleaning	tisztítás
cleanliness	tisztaság
cleanly	tisztán
cleanse	tisztít
cleanser	tisztító
cleansing	tisztító
cleanup	razzia
clear	egyértelmű
clearance	vámkezelés
clearing	klíring
clearness	tisztaság
cleat	ék
cleavage	hasadás
cleave	hasít
cleaver	NO TRANSLATION
clef	hangjegykulcs
cleft	hasított
clemency	kegyelem
clench	összeerősít
clergy	papság
clergyman	lelkész
cleric	pap
clerical	irodai
clerk	hivatalnok
clerkship	hivatalnoki állás
clever	okos
cleverness	okosság
click	kettyenés
clicker	balekfogó
client	ügyfél
clientele	vevőkör
cliff	szikla
climate	éghajlat
climatology	klimatológia
climax	tetőpont
climb	mászik
climber	hegymászó
clinch	megegyezik
cling	ragaszkodik
clingy	tapadós
clinic	klinika
clinical	klinikai
clink	zörög
clip	csipesz
clipboard	vágólap
clipper	birkanyíró
clipping	darabka
clique	NO TRANSLATION
clitoris	csikló
cloak	köpeny
cloaking	álcázó
cloakroom	ruhatár
clobber	cókmók
clock	óra
clockwork	óraszerkezet
clod	hant
clog	klumpa
cloister	kolostor
clone	klón
cloning	klónozás
close	Bezárás
closed	zárva
closeness	közelség
closet	fülke
closure	bezárás
clot	alvadék
cloth	szövet
clothe	öltöztet
clothes	ruhák
clothesline	ruhaszárító
clothing	ruházat
cloud	felhő
clouded	felhős
cloudiness	zavarosság
clouds	felhők
cloudy	felhős
clout	pofon
clove	szegfűszeg
clover	lóhere
cloves	szegfűszeg
clown	bohóc
clowns	bohócok
club	klub
clubhouse	klubház
clubs	klubok
cluck	kotyog
clue	nyom
clueless	tanácstalan
clump	halom
clumsy	ügyetlen
clunk	becsapódik
cluster	fürt
clutch	kuplung
clutches	tengelykapcsolók
clutter	zűrzavar
coach	távolsági busz
coachman	kocsis
coagulation	alvadás
coal	szén
coalesce	egyesül
coalition	koalíció
coarse	durva
coast	tengerpart
coastal	parti
coaster	alátét
coastline	tengerpart
coat	kabát
coating	bevonat
coax	csalogat
cobalt	kobalt
cobble	macskakövez
cobbler	cipész
cobra	kobra
cocaine	kokain
cock	kakas
cockamamie	cockamamie
cockeyed	kancsal
cockpit	pilótafülke
cockroach	csótány
cocksucker	faszszopó
cocktail	koktél
cocky	öntelt
cocoa	kakaó
coconut	kókuszdió
cocoon	selyemgubó
cod	tőkehal
code	kód
codeine	kodein
codex	kódex
codfish	tőkehal
codification	kodifikáció
codify	törvénybe iktat
coding	kódolás
coed	coed
coefficient	együttható
coerce	kényszerít
coercion	kényszerítés
coercive	kényszerítő erejű
coexist	egymás mellett
coexistence	együttélés
coexisting	Egyidejűleg fennálló
coffee	kávé
coffee table	kávézóasztal
coffeehouse	Kávéház
coffeepot	kávéskanna
coffin	koporsó
cog	patkószeg
cogent	ellenállhatatlan
cognac	konyak
cognate	rokon
cognition	megismerés
cognitive	megismerő
cohabitation	együttélés
coherence	következetesség
coherent	összefüggő
cohesion	kohézió
cohesive	kohéziós
cohort	kohorsz
coil	tekercs
coiled	tekercselt
coin	érme
coinage	pénzverés
coincide	egybevág
coincidence	véletlen egybeesés
coincident	egybevágó
coincidental	időben egybeeső
coinciding	egybeesése
coke	koksz
cola	kóla
cold	hideg
coldly	fagyosan
coldness	hidegség
coldsweat	NO TRANSLATION
coleslaw	káposztasaláta
colic	kólika
coliseum	amfiteátrum
collaborate	együttműködik
collaboration	együttműködés
collaborator	együttműködő
collage	kollázs
collagen	kollagén
collapse	összeomlás
collar	gallér
collarbone	kulcscsont
collate	összehasonlít
collateral	járulékos
collation	egyeztetés
colleague	kolléga
collect	gyűjt
collected	összegyűjtött
collection	Gyűjtemény
collective	kollektív
collectively	együttesen
collector	gyűjtő
college	főiskola
collegiate	kollégiumi
collide	összeütközik
collie	skót juhászkutya
collision	ütközés
collocation	összeállítás
colloquial	köznyelvi
collusion	összejátszás
cologne	kölni
colon	kettőspont
colonel	ezredes
colonial	gyarmati
colonic	vastagbél
colonoscopy	kolonoszkópia
colony	kolónia
colophon	záradék
color	szín
coloration	színezés
colored	színezett
colorful	színes
coloring	színezés
colorless	színtelen
colors	színek
colossal	óriási
colt	csikó
columbine	harangláb
column	oszlop
columnar	oszlopos
columnist	rovatvezető
com	NO TRANSLATION
coma	kóma
comatose	kábult
comb	fésű
combat	harc
combatant	harcos
combative	harcias
combination	kombináció
combinatorial	kombinatorikus
combine	kombájn
combined	kombinált
combo	combo
combustible	éghető
combustion	égés
come	jön
comeback	Gyere vissza
comedian	komikus
comedy	komédia
comet	üstökös
comfort	kényelem
comfortable	kényelmes
comforter	vigasztaló
comforting	megnyugtató
comfy	kellemes
comic	komikus
comical	komikus
comics	képregény
coming	eljövetel
comma	vessző
command	parancs
commandant	parancsnok
commandeer	rekvirál
commander	parancsnok
commanding	parancsnokló
commandment	parancsolat
commando	kommandó
commemorate	megemlékezik
commemoration	megemlékezés
commemorative	emlékeztető
commence	kezdődik
commend	dicsér
commendable	dicséretes
commendation	dicséret
commensurate	arányos
comment	megjegyzés
commentary	kommentár
commentator	kommentátor
commerce	kereskedelem
commercial	kereskedelmi
commie	komcsi
commissary	népbiztos
commission	jutalék
commissioner	biztos
commit	elkövetni
commitment	elkötelezettség
committal	rábízás
committed	elkötelezett
committee	bizottság
commodity	árucikk
commodore	vezérhajó
common	közös
commoner	közember
commonly	általában
commonplace	közhely
commons	köznép
commonwealth	Nemzetközösség
commotion	felbolydulás
communal	kommunális
commune	közösség
communicable	közölhető
communicate	kommunikálni
communication	közlés
communicative	beszédes
communicator	kommunikátor
communion	úrvacsora
communism	kommunizmus
communist	kommunista
community	közösség
commutation	átváltoztatás
commutative	kommutatív
commute	ingázik
commuter	ingázó
comp	comp
compact	kompakt
compaction	tömörödés
compactness	tömörség
companion	társ
companionless	companionless
companionship	társaság
company	vállalat
comparable	hasonló
comparative	összehasonlító
comparatively	viszonylag
compare	hasonlítsa össze
comparison	összehasonlítás
compartment	rekesz
compass	iránytű
compassion	együttérzés
compassionate	könyörületes
compatibility	kompatibilitás
compatible	összeegyeztethető
compel	kényszerít
compelled	kénytelen
compelling	kényszerítő
compendium	rövid összefoglalás
compensate	kompenzálni
compensation	kártérítés
compensatory	kompenzációs
compete	versenyez
competence	szaktudás
competency	alkalmasság
competent	illetékes
competition	verseny
competitive	kompetitív
competitor	versenyző
compilation	összeállítás
compile	összeállít
complacency	elégedettség
complacent	öntelt
complain	panaszkodik
complaint	panasz
complement	kiegészítés
complementary	kiegészítő
complete	teljes
completed	befejezték
completely	teljesen
completeness	teljesség
completing	kitöltésével
completion	befejezés
complex	összetett
complexed	komplexben
complexion	arcszín
complexity	bonyolultság
compliance	teljesítés
compliant	engedékeny
complicate	bonyolít
complicated	bonyolult
complication	bonyodalom
complicity	bűnrészesség
compliment	NO TRANSLATION
complimentary	ingyenes
comply	megfelelnek
complying	felelő
compo	compo
component	összetevő
compose	összeállít
composed	tagjai:
composer	Zeneszerző
composite	összetett
composition	összetétel
compost	komposzt
composure	nyugalom
compound	összetett
comprehend	megért
comprehension	felfogás
comprehensive	átfogó
compress	borogatás
compressed	tömörített
compressible	sűríthető
compression	összenyomás
compressor	kompresszor
comprise	tartalmaz
compromise	kompromisszum
comptroller	számvevő
compulsion	kényszer
compulsive	kényszeres
compulsory	kötelező
computable	kiszámítható
computation	számítás
compute	kiszámít
computer	számítógép
computerized	számítógépes
computing	számítástechnika
comrade	elvtárs
con	NO TRANSLATION
concatenation	láncolat
concave	homorú
conceal	rejt
concealed	rejtett
concealment	eltitkolás
concede	elismerni
conceit	önteltség
conceited	öntelt
conceivable	elképzelhető
conceive	fogan
concentrate	sűrítmény
concentration	koncentráció
concentric	körkörös
concept	koncepció
conception	fogamzás
concern	vonatkozik
concerned	az érintett
concert	koncert
concerto	koncert
concession	engedmény
concessional	kedvezményes
conch	kagyló
concierge	portás
conciliation	békéltetés
concise	tömör
conclave	konklávé
conclude	következtetést levonni
concluding	befejező
conclusion	következtetés
conclusive	perdöntő
concoction	főzet
concomitant	kísérő
concord	egyetértés
concordance	összhang
concours	NO TRANSLATION
concourse	csoportosulás
concrete	Konkrét
concubine	ágyastárs
concur	megegyezik
concurrence	egybeesés
concurrent	egyidejű
concurring	egybehangzó
concussion	sokk
condemn	elítél
condemnation	kárhoztatás
condensation	kondenzáció
condensed	kondenzált
condescending	leereszkedő
condescension	lekezelés
condiment	fűszer
condition	feltétel
conditional	feltételes
conditionally	feltételesen
conditioned	feltételes
conditioner	kondicionáló
conditioning	kondicionálás
conditions	körülmények
condo	lakás
condolence	részvét
condolences	részvétét
condom	óvszer
condone	megbocsát
condor	kondorkeselyű
conducive	elősegítő
conduct	magatartás
conduction	hővezetés
conductivity	vezetőképesség
conductor	karmester
conduit	vezeték
cone	kúp
confederacy	szövetség
confederate	szövetséges
confederation	államszövetség
confer	tanácskozik
conference	konferencia
confess	bevallani
confession	gyónás
confessional	gyóntatószék
confessions	vallomások
confetti	konfetti
confidant	bizalmas
confide	rábíz
confidence	bizalom
confident	magabiztos
confidential	bizalmas
confidentiality	titoktartási
confidentially	NO TRANSLATION
configuration	konfiguráció
confine	korlátoznia
confined	korlátozott
confinement	fogság
confines	határok
confirm	megerősít
confirmation	megerősítés
confirmatory	megerősítő
confirmed	megerősített
confiscate	elkoboz
confiscation	elkobzás
conflagration	tűzvész
conflict	összeütközés
conflicting	ellentmondó
confluence	összefolyás
conform	konform
conformance	megfelelőség
conformation	NO TRANSLATION
conformity	megfelelőség
confound	zavarba hoz
confounded	átkozott
confront	szembeszáll
confrontation	szembesítés
confuse	megzavarja
confused	zavaros
confusing	zavaró
confusion	zavar
conga	konga
congenial	kellemes
congenital	veleszületett
congestion	torlódás
conglomerate	konglomerátum
conglomeration	halmaz
congrats	gratula
congratulate	gratulál
congratulation	gratuláció
congratulations	Gratulálok
congratulatory	gratuláló
congregate	összejön
congregation	gyülekezet
congress	Kongresszus
congressional	kongresszusi
congressman	kongresszusi tag
congruence	megegyezés
conic	kúpos
conical	kúpos
conjecture	sejtés
conjugal	házastársi
conjugate	konjugált
conjugation	konjugáció
conjunction	kötőszó
conjunctive	kötőszó
conjure	varázsol
conjuring	megidézésével
conk	orr
connect	kapcsolódni
connected	csatlakoztatva
connection	kapcsolat
connective	összekötő
connoisseur	műértő
conquer	meghódítani
conquering	hódító
conqueror	hódító
conquest	hódítás
conscience	lelkiismeret
conscientious	lelkiismeretes
conscious	tudatos
consciousness	öntudat
conscription	sorozás
consecrated	megszentelt
consecration	felszentelés
consecutive	egymást követő
consensual	konszenzuális
consensus	megegyezés
consent	beleegyezés
consenting	beleegyező
consequence	következmény
consequent	következetes
conservation	Beszélgetés
conservatism	konzervativizmus
conservative	konzervatív
conservatory	melegház
conserve	megőrzésére
consider	fontolgat
considerable	tekintélyes
considerate	előzékeny
consideration	megfontolás
consignee	címzett
consignment	küldemény
consist	áll
consistency	következetesség
consistent	következetes
consolation	vigasz
console	konzol
consoled	vigasztalta
consolidate	megszilárdítása
consolidated	konszolidált
consolidation	konszolidáció
consonant	mássalhangzó
consort	házastárs
conspicuous	feltűnő
conspiracy	összeesküvés
conspirator	összeesküvő
conspire	összeesküszik
constable	rendőr
constancy	állandóság
constant	állandó
constantly	állandóan
constellation	csillagkép
consternation	megdöbbenés
constipation	székrekedés
constituency	választókerület
constituent	alkotó
constituents	tevő
constitute	alkotják
constitution	alkotmány
constitutional	alkotmányos
constitutionality	alkotmányosság
constrain	kényszerít
constrained	erőltetett
constraint	kényszer
construct	épít
construction	építés
constructive	konstruktív
construe	elemez
consul	konzul
consulate	konzulátus
consult	konzultál
consultant	szaktanácsadó
consultation	konzultáció
consume	fogyaszt
consumer	fogyasztó
consuming	fogyasztó
consummate	tökéletes
consummation	teljesítés
consumption	fogyasztás
contact	kapcsolatba lépni
contagion	fertőzés
contagious	fertőző
contain	tartalmaz
container	tartály
containment	elhatárolás
contaminate	szennyezni
contaminated	szennyezett
contamination	szennyeződés
contemplate	szándékozik
contemplation	elmélkedés
contemplative	elmélkedő
contemporaneous	egyidejű
contemporary	kortárs
contempt	megvetés
contemptible	megvetendő
contemptuous	megvető
contend	azt állítják,
contender	versenyző
contending	versengő
content	tartalom
contented	elégedett
contention	állítás
contentious	vitás
contentment	megelégedés
contents	tartalom
contest	verseny
contestant	versenyző
context	kontextus
contiguous	határos
continence	mérsékletesség
continent	kontinens
continental	kontinentális
contingency	eshetőség
contingent	kontingens
continual	szakadatlan
continually	folyamatosan
continuance	folytonosság
continuation	folytatás
continue	Folytatni
continued	folyamatos
continuing	folyamatos
continuity	folytonosság
continuous	folyamatos
continuously	folyamatosan
continuum	folytonosság
contour	körvonal
contraband	csempészet
contraception	fogamzásgátlás
contract	szerződés
contracted	szerződéses
contractile	összehúzó
contracting	szerződéskötés
contraction	összehúzódás
contractor	vállalkozó
contradict	ellentmond
contradiction	ellentmondás
contradictory	ellentmondó
contraption	szerkentyű
contrary	ellentétes
contrast	kontraszt
contrasted	szembeállítva
contravene	ellenszegül
contravention	megsértésével
contribute	hozzájárul
contribution	hozzájárulás
contributor	hozzájáruló
contrite	bűnbánó
contrition	bűnbánat
contrived	kiagyalt
control	ellenőrzés
controller	vezérlő
controlling	kontrolling
controversial	vitatott
controversy	vita
contusion	zúzódás
conundrum	találós kérdés
convalescent	lábadozó
convection	konvekció
convene	összehív
convenience	kényelem
conveniences	komfort
convenient	kényelmes
convent	kolostor
convention	egyezmény
conventional	hagyományos
converge	összetart
convergence	konvergencia
convergent	konvergens
conversant	bizalmas viszonyban lévő
conversation	beszélgetés
conversational	társalgó
conversationalist	jó társalgó
converse	társalog
conversing	beszélgettek
conversion	átalakítás
convert	alakítani
converted	konvertált
convertible	átváltható
convex	konvex
convexity	domborúság
convey	közvetít
conveyance	szállítás
conveyancing	tulajdonátruházással
convict	elítélt
conviction	meggyőződés
convince	meggyőz
convinced	meggyőződéses
convincing	meggyőző
convocation	összehívás
convoluted	csavart
convolution	tekeredés
convoy	konvoj
coo	turbékol
cook	szakács
cookbook	szakácskönyv
cooker	tűzhely
cookery	szakácsművészet
cookie	aprósütemény
cookies	keksz
cooking	főzés
cookout	cookout
cool	menő
coolant	hűtőfolyadék
cooler	hűtő
cooling	hűsítő
coolness	közömbösség
coon	mosómedve
coop	ketrec
cooperate	együttműködik
cooperating	együttműködő
cooperation	együttműködés
cooperative	szövetkezet
coordinate	koordináta
coordination	egyeztetés
coordinator	koordinátor
cop	zsaru
copacetic	NO TRANSLATION
cope	megbirkózik
copier	másológép
copilot	másodpilóta
coping	megküzdési
copious	bőséges
copper	réz
copter	helikopter
copy	másolat
copycat	copycat
copying	másolás
copyright	szerzői jog
coral	korall
coral snake	korall kígyó
cord	zsinór
cordial	szívélyes
cordless	vezeték nélküli
cordon	kordon
corduroy	kordbársony
core	mag
cork	parafa-
corkscrew	dugóhúzó
corn	kukorica
cornball	cornball
cornbread	kukoricakenyeret
cornea	szaruhártya
corned	sózott
corner	sarok
cornerstone	sarokköve
cornet	kürt
cornfield	búzatábla
cornflakes	NO TRANSLATION
cornice	karnis
cornstarch	kukoricakeményítő
corny	elcsépelt
corollary	következmény
corona	korona
coronary	koronária
coronation	koronázás
coroner	halottkém
corporal	tizedes
corporate	társasági
corporation	vállalat
corporeal	testi
corps	hadtest
corpse	hulla
corpsman	szanitéc
corpus	test
corral	karám
correct	helyes
correction	javítás
correctional	bűnügyi
corrective	javító
correctness	helyességét
correlation	korreláció
correlative	viszonylagos
correspond	megfelelnek
correspondence	levelezés
correspondent	levelező
corresponding	megfelelő
corridor	folyosó
corroborate	alátámaszt
corroboration	megerősítés
corrosion	rozsdásodás
corrosive	maró
corrupt	korrupt
corrupting	megrontó
corruption	vesztegetés
corsage	női ruhaderék
corse	NO TRANSLATION
corset	befűz
cortex	kéreg
cortical	kérgi
cortisone	kortizon
corvette	korvett
cosmetic	kozmetika
cosmetics	kozmetikum
cosmic	kozmikus
cosmology	kozmológia
cosmopolitan	kozmopolita
cosmos	világegyetem
cost	költség
costly	drága
costume	kosztüm
cosy	kényelmes
cot	gyermekágy
cote	utolér
cottage	kunyhó
cotton	pamut-
couch	kanapé
cougar	puma
cough	köhögés
council	tanács
councilman	tanácsos
counsel	jogi képviselő
counseling	tanácsadás
counsellor	tanácsadó
counselor	tanácsadó
count	számol
countdown	visszaszámlálás
countenance	arckifejezés
counter	számláló
counteract	ellensúlyozására
counterattack	ellentámadás
counterbalance	ellensúly
counterclaim	viszontkereset
counterfeit	hamisított
counterpart	hasonmás
counterpoint	ellenpont
countess	grófnő
countless	számtalan
country	ország
countryman	vidéki ember
countrymusic	NO TRANSLATION
countryside	vidéki táj
counts	számít
county	megye
coup	puccs
coupe	kupé
couple	párosít
coupled	összekapcsolt
coupling	tengelykapcsoló
coupon	kupon
courage	bátorság
courageous	bátor
courier	futár
courses	nyelvtanfolyamok
coursing	falkavadászat
court	bíróság
courteous	udvarias
courtesy	udvariasság
courthouse	bíróság
courtroom	bíróság
courts	bíróságok
courtship	udvarlás
courtside	courtside
courtyard	udvar
cousin	unokatestvér
cousins	unokatestvérek
cove	medence
coven	boszorkányok gyülekezete
covenant	szövetség
cover	borító
coverage	lefedettség
covered	fedett
covering	fedő
covert	rejtett
covet	megkíván
coveted	áhított
cow	tehén
coward	gyáva
cowardice	gyávaság
cowardly	gyáván
cowboy	cowboy
cowgirl	tehenészlány
cowhand	cowhand
cowhide	tehénbőr
cowl	csuklya
coworker	munkatárs
coy	félénk
coyote	prérifarkas
cozy	kényelmes
crab	Rák
crabby	zsémbes
crack	repedés
cracked	repedt
cracker	keksz
crackerjack	klassz
cracking	reccsenés
crackle	ropogás
crackpot	rögeszmés
cradle	bölcső
craft	hajó
crafts	iparművészet
craftsman	kézműves
craftsmanship	szaktudás
crafty	ravasz
craig	craig
cram	bemagol
crammed	tömve
cramp	görcs
cramped	görcsös
cranberry	áfonya
cranberry juice	áfonyalé
crane	daru
cranial	koponya-
cranium	koponya
crank	kurbli
cranky	házsártos
cranny	hasadék
crap	marhaság
crappy	gagyi
craps	craps
crash	csattanás
crass	durva
crate	láda
crater	kráter
crave	sóvárog
craving	sóvárgás
crawfish	folyami rák
crawl	csúszik
crayon	zsírkréta
crayons	ceruzák
craze	hóbort
crazed	bolond
craziness	őrület
crazy	őrült
creak	nyikorog
creaking	nyikorgó
cream	krém
creamed	tejszínes
creamer	krémpor
creamy	tejszínes
crease	ránc
create	teremt
creation	Teremtés
creative	kreatív
creativity	kreativitás
creator	Teremtő
creature	teremtmény
credence	hitel
credential	megbízólevél
credentials	hitelesítő adatok
credibility	hitelesség
credible	hihető
credit	hitel
credit card	hitelkártya
creditable	hitelképes
credited	jóváírásra
crediting	jóváírását
creditor	hitelező
creed	hitvallás
creek	patak
creep	kúszás
creeper	kúszónövény
creeping	kúszó
creepy	hátborzongató
cremation	hamvasztás
creole	kreol
crepe	krepp
crescendo	crescendo
crescent	félhold
crest	címer
crestfallen	levert
cretin	kretén
cretins	cretins
crevice	hasadék
crew	legénység
crewman	tagot
crib	gyerekágy
cricket	krikett
cried	kiáltott
crime	bűn
criminal	Bűnügyi
criminality	bűnösség
crimp	hullámosság
crimson	karmazsinvörös
cringe	megalázkodik
cripple	nyomorék
crippled	nyomorék
crippling	bénulás
crisis	válság
crisp	ropogós
crispy	ropogós
criterion	kritérium
critic	kritikus
critical	kritikai
criticise	kritizál
criticism	kritika
criticize	kritizál
criticized	bírálta
critique	kritika
critter	fráter
croak	kuruttyol
croc	kroki
crock	tönkretesz
crockery	cserépedény
crocodile	krokodil
croft	major
croissant	croissant
crook	csaló
crooked	görbe
crop	Vág
croquet	krokettjáték
cross	kereszt
cross country	kereszt ország
crossbow	nyílpuska
crossed	keresztbe
crossfire	kereszttűz
crossing	átkelés
crossover	crossover
crosswalk	gyalogátkelőhely
crossword	keresztrejtvény
crotch	ágyék
crouch	lekuporodik
crouched	kuporgott
crouching	guggoló
croupier	krupié
crow	varjú
crowbar	emelőrúd
crowd	tömeg
crowded	zsúfolt
crowds	tömegek
crown	korona
crowning	koronázás
crucial	alapvető
cruciate	cruciate
crucifix	feszület
crucifixion	keresztre feszítés
crucify	keresztre feszít
crud	szifilisz
crude	nyers
cruel	kegyetlen
cruelly	kegyetlenül
cruelty	kegyetlenség
cruise	hajókázás
cruise ship	Óceánjáró
cruiser	cirkáló
cruising	utazó
crumb	morzsa
crumble	elmorzsol
crumbling	omladozó
crummy	ócska
crunch	ropogtat
crunchy	ropogós
crusade	keresztes hadjárat
crusader	Keresztes lovag
crush	szétzúz
crushed	szétzúzott
crusher	daráló
crushing	zúzó
crust	kéreg
crusty	kérges
crutch	mankó
crux	nehézség
cry	kiáltás
crybaby	síró baba
crying	síró
crypt	kripta
cryptic	rejtélyes
cryptography	kriptográfia
crystal	kristály-
crystalline	kristályos
crystallization	kristályosodás
cub	kölyök
cubby	Cubby
cube	kocka
cubic	kocka alakú
cubicle	hálófülke
cuckold	megcsalt férj
cuckoo	kakukk
cucumber	uborka
cuddle	ölelkezés
cuddled	cuddled
cuddles	cuddles
cuddling	dédelgetéssel
cue	dákó
cuff	mandzsetta
cuisine	konyha
culinary	konyhai-
cull	kiszemel
culminate	kulminál
culmination	csúcspontja
culpability	bűnösség
culpable	bűnös
culprit	tettes
cult	kultusz
cultivate	művel
cultivated	művelt
cultivation	megművelés
cultural	kulturális
culture	kultúra
cultured	kulturált
culvert	szennyvízelvezető
cumbersome	nehézkes
cumulus	gomolyfelhő
cunning	ravasz
cunt	picsa
cup	csésze
cupboard	szekrény
cupcake	muffin
cupping	köpölyözés
cur	korcs
curable	gyógyítható
curate	segédlelkész
curative	gyógyhatású
curator	kurátor
curb	járdaszegély
curd	aludttej
cure	gyógymód
curfew	kijárási tilalom
curiosity	kíváncsiság
curious	kíváncsi
curl	becsavar
curling	bodorítás
currency	valuta
current	jelenlegi
curriculum	tanterv
curry	curry
curse	átok
cursed	átkozott
cursing	káromkodás
cursory	felületes
curt	kurta
curtail	korlátozná
curtailment	csökkentés
curtain	függöny
curtains	függöny
curtsy	meghajlás
curvature	görbület
curve	ív
curved	ívelt
curvilinear	görbe vonalú
cushion	párna
cushy	kényelmes
cusp	holdcsúcs
cuss	szitok
cussed	megátalkodott
custard	tejsodó
custodial	szabadságvesztés
custodian	gondnok
custody	őrizet
custom	szokás
customary	szokásos
customer	vevő
customized	személyre szabott
cut	vágott
cutaneous	bőr-
cute	aranyos
cuticle	kutikula
cutie	szivi
cutlass	rövid kard
cutlery	evőeszköz
cutoff	levág
cutter	vágó
cutters	vágó
cutthroat	gyilkos
cutting	vágás
cutting board	vágódeszka
cuttings	kivágások
cwt	cwt
cyanide	cianid
cyberspace	kibertér
cycle	ciklus
cyclical	ciklikus
cyclist	kerékpáros
cyclone	ciklon
cylinder	henger
cylindrical	hengeres
cymbal	cintányér
cynic	cinikus
cynical	cinikus
cynicism	cinizmus
cyst	hólyag
cystic	cisztás
cytomegalovirus	citomegalovírus
cytoplasm	citoplazma
czar	cár
dab	hangyányi
dabble	megnedvesít
dabbling	dabbling
dad	apu
daddy	apu
dado	NO TRANSLATION
daemon	démon
daft	bolond
dagger	tőr
daily	napi
dainty	kecses
daiquiri	daiquiri
dairy	tejcsarnok
daisy	Százszorszép
dak	NO TRANSLATION
dale	völgy
dam	gát
damage	kár
damaged	sérült
damages	kártérítés
dame	hölgy
damn	átkozott
damnation	kárhozat
damned	Átkozott
damp	nyirkos
dampened	csillapított
damper	csappantyú
damsel	leányka
dance	tánc
dancer	táncos
dancing	tánc
dandruff	korpa
dandy	remek
danger	veszély
dangerous	veszélyes
dangerously	veszélyesen
dangit	NO TRANSLATION
dangle	fityeg
dank	NO TRANSLATION
dapper	jól öltözött
dare	merészel
daredevil	vakmerő
daresay	merem állítani
daring	merész
dark	sötét
darken	elsötétít
darkened	sötétített
darkly	sötéten
darkness	sötétség
darkroom	sötét szoba
darkside	sötét oldal
darling	Drágám
darn	stoppol
dart	dárda
dash	gondolatjel
dashboard	Irányítópult
dashed	szaggatott
dashing	rámenős
dastardly	hitvány
data	adat
database	adatbázis
date	dátum
datenight	NO TRANSLATION
daughter	lánya
dawdle	cselleng
dawn	hajnal
dawned	virradt
day	nap
daybreak	pirkadat
daycare	óvoda
daydream	álmodozik
daydreaming	álmodozás
daylight	napfény
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	nappal
daze	kábít
dazed	kábult
dazzle	káprázat
dazzling	kápráztató
deacon	segédlelkész
deactivate	kikapcsolása
dead	halott
deadbeat	holtfáradt
deadline	határidő
deadlines	határidők
deadlock	holtpont
deadly	halálos
deaf	süket
deafening	süketítő
deafness	süketség
deal	üzlet
dealer	kereskedő
dealership	kereskedelem
dealing	foglalkozó
dealings	kapcsolat
dean	dékán
dear	kedves
dearest	legkedvesebb
dearth	ínség
death	halál
deathbed	Halálos ágyán
deathly	halálos
debacle	bukás
debased	fenolmentesített
debatable	vitatható
debate	vita
debauchery	kicsapongás
debenture	adóslevél
debilitating	gyengítő
debit	tartozás
debrief	kikérdez
debriefing	kikérdezés
debris	törmelék
debt	adósság
debtor	adós
debut	bemutatkozás
debutante	első bálozó
decade	évtized
decadence	dekadencia
decadent	dekadens
decaf	koffeinmentes kávé
decanter	borospalack
decathlon	tízpróba
decay	hanyatlás
decayed	lesüllyedt
decaying	korhadó
deceased	elhunyt
decedent	decedent
deceit	csalás
deceitful	csaló
deceive	becsap
deceived	megtévesztette
deceiving	csal
december	december
decency	tisztesség
decent	megfelelő
deception	megtévesztés
deceptive	megtévesztő
decide	döntsd el
decidedly	határozottan
deciduous	lombhullató
decimal	decimális
decimeter	deciméter
decipher	megfejtés
decision	döntés
decisive	döntő
deck	fedélzet
declaration	nyilatkozat
declaratory	kijelentő
declare	kijelent
declination	deklináció
decline	hanyatlás
declining	hanyatló
deco	deco
decode	megfejt
decoder	dekóder
decompose	bomlanak
decomposed	bomlik
decomposition	bomlás
decompress	nyomást csökkent
decompression	nyomáscsökkenés
decontamination	fertőtlenítés
decor	lakberendezési tárgyak
decorate	díszít
