Word	ja
camera	カメラ
cameraman	カメラマン
camisole	キャミソール
camouflage	迷彩
camouflaged	NO TRANSLATION
camp	キャンプ
campaign	キャンペーン
campaigner	選手
campaigning	キャンペーン
camper	キャンパー
campfire	キャンプファイヤー
camping	キャンプ
campsite	キャンプサイト
campus	キャンパス
can	できる
can opener	缶切り
canal	運河
canary	カナリア
cancel	キャンセル
canceling	取り消す
cancellation	キャンセル
cancer	癌
candid	率直
candidacy	候補
candidate	候補者
candied	甘酸っぱい
candle	キャンドル
candlelight	キャンドルライト
candles	ろうそく
candlestick	燭台
candor	率直
candy	キャンディー
cane	杖
canine	イヌ
canister	キャニスター
canker	潰瘍
cannabis	大麻
canned	缶詰
cannibal	食堂
cannibalism	共食い
canning	缶詰
cannon	大砲
cannonball	砲弾
canoe	カヌー
canon	キヤノン
canonical	正準
canons	キャノン
canopy	キャノピー
cantaloupe	マスクメロン
cantbreathe	NO TRANSLATION
canteen	食堂
canterbury	カンタベリー
canthandleit	NO TRANSLATION
cantilever	カンチレバー
cantina	カンティーナ
canto	NO TRANSLATION
canton	州
cantstandit	NO TRANSLATION
cantwin	キャンツウィン
canvas	キャンバス
canvass	NO TRANSLATION
canyon	キャニオン
cap	キャップ
capability	能力
capable	可能な
capacity	容量
cape	ケープ
caper	ケーパー
capillary	毛細血管
capital	資本
capitalism	資本主義
capitalist	資本主義者
capitalize	資本化する
capitals	首都
capitation	頭上げ
capitol	キャピトル
capitulation	降伏
cappuccino	カプチーノ
caprice	カプリス
capricious	気まぐれな
caps	キャップ
capslock	キャップスロック
capsule	カプセル
captain	キャプテン
caption	キャプション
captivate	魅了する
captivating	魅力的な
captive	捕虜
captivity	捕虜
captor	捕獲者
capture	キャプチャー
car	車
caramel	キャラメル
carat	カラット
caravan	キャラバン
carbon	炭素
carburetor	キャブレター
carcass	カーカス
carcinoma	癌腫
card	カード
cardboard	段ボール
cardiac	心臓
cardigan	カーディガン
cardinal	枢機卿
cardiologist	心臓病学者
cardiology	心臓病
cardiomyopathy	心筋症
cards	カード
care	お手入れ
career	キャリア
carefree	気晴らし
careful	慎重に
carefully	慎重に
careless	不注意
carelessness	不注意
caress	愛撫
caret	キャレット
caretaker	介護者
cargo	貨物
caribou	カリブー
caricature	風刺画
caries	虫歯
caring	思いやりのある
carjack	カージャック
carnage	大虐殺
carnal	肉体
carnation	カーネーション
carnival	カーニバル
carnivorous	肉食性の
carol	キャロル
carols	キャロル
carousel	カルーセル
carp	鯉
carpal	手根骨
carpenter	大工
carpentry	木工
carpet	カーペット
carpeting	カーペット
carpool	カープール
carriage	キャリッジ
carried	運ばれた
carrier	キャリア
carrot	にんじん
carry	キャリー
carrying	運ぶ
carsick	セクシーな
cart	カート
carte	NO TRANSLATION
cartel	カルテル
carter	カーター
cartilage	軟骨
cartographic	地図製作
cartography	地図作成
carton	カートン
cartoon	漫画
cartouche	NO TRANSLATION
cartridge	カートリッジ
carve	刻む
carver	彫刻家
carving	彫刻
cascade	カスケード
case	場合
casein	カゼイン
cash	現金
cashier	レジ
cashmere	カシミヤ
casing	ケーシング
casino	カジノ
cask	キャスク
casket	棺
casserole	キャセロール
cassette	カセット
cast	キャスト
castaway	キャスト・アウェイ
caste	カースト
caster	キャスター
castle	城
castor	キャスター
castrate	去勢
castration	去勢
casual	カジュアル
casually	気軽に
casualty	犠牲者
cat	ネコ
catabolism	異化
catalog	カタログ
catalogue	カタログ
catalysis	触媒作用
catalyst	触媒
catalytic	触媒的
catamaran	カタマラン
catapult	カタパルト
cataract	白内障
catastrophe	災害
catastrophic	壊滅的な
catatonic	緊張した
catch	キャッチ
catcher	キャッチャー
catching	キャッチする
catchphrase	キャッチフレーズ
catchy	キャッチーな
catechism	カテキズム
categorical	カテゴリ
category	カテゴリー
cater	食べる
caterer	出前斡旋業者
caterpillar	キャタピラー
cates	ケイツ
catfish	ナマズ
cathartic	カタルシス
cathedral	大聖堂
catheter	カテーテル
catholic	カトリック
cathouse	カルトハウス
catnip	カニップ
cattle	牛
catwalk	キャットウォーク
caucus	コーカス
caudal	尾側
cauldron	大釜
cauliflower	カリフラワー
caulk	コーキング
causal	因果関係
causality	因果関係
causation	因果関係
cause	原因
caused	原因
causeway	コーズウェイ
caution	注意
cautionary	注意
cautious	慎重な
cautiously	慎重に
cavalier	無邪気な
cavalry	騎兵
cave	洞窟
caveat	警告
caveman	洞窟人
cavern	洞窟
cavernous	海綿
caviar	キャビア
caving	洞窟
cavity	空洞
cayenne	カイエン
cease	停止する
ceasefire	停戦
ceaseless	絶え間ない
cedar	杉
cede	セド
ceiling	天井
celebrant	お祝い
celebrate	祝う
celebrated	祝われた
celebrating	祝う
celebration	お祝い
celebrations	お祝い
celebratory	祝う
celebrity	有名人
celery	セロリ
celestial	天体
celibacy	独身
celibate	独身
cell	細胞
cellar	セラー
cellblock	セルブロック
cellist	チェリスト
cellmate	セルメイト
cello	チェロ
cellophane	セロハン
cellular	携帯電話
cellulite	セルライト
celluloid	セルロイド
cement	セメント
cemented	セメント
cemetery	墓地
censor	検閲
censorship	検閲
censure	非難
census	国勢調査
cent	セント
centenary	100周年
centennial	100年ごと
center	センター
centerfold	センターフォールド
centerpiece	センターピース
centimeter	センチメートル
centipede	ムカデ
central	中央
centrality	中心
centralization	集中化
centralize	集中化する
centrally	中心的に
centrifugal	遠心
centrifuge	遠心
centurion	百姓
century	世紀
ceramic	セラミック
ceramics	セラミックス
cereal	穀物
cereals	シリアル
cerebral	大脳
ceremonial	儀式の
ceremony	式
certain	ある
certainty	確実
certifiable	証明可能な
certificate	証明書
certified	認定
certify	認定する
cervical	子宮頸部
cervix	子宮頸部
cess	セス
cessation	停止
cesspool	セスプール
cha cha	NO TRANSLATION
chaff	チャフ
chafing	擦り傷
chagrin	悪魔
chagrined	嫌な
chai	チャイ
chain	鎖
chainsaw	チェーンソー
chair	椅子
chairman	会長
chairperson	議長
chairwoman	会長
chaise	長椅子
chalet	シャレー
chalice	聖体
chalk	チョーク
challenge	チャレンジ
challenger	挑戦者
chamber	チャンバー
chambermaid	チャンピオン
chambers	部屋
chameleon	カメレオン
champ	チャンピオン
champagne	シャンパン
champion	チャンピオン
championship	チャンピオンシップ
chance	チャンス
chancellor	首相
chandelier	シャンデリア
chandler	チャンドラー
change	変化する
changeable	変更可能な
changed	かわった
changer	チェンジャー
changing	変化
channel	チャネル
chant	聖歌
chaos	混沌
chaotic	混沌としました
chap	チャップ
chapel	チャペル
chaperon	シャペロン
chaplain	牧畜
chapman	チャップマン
chaps	チャップス
chapter	章
char	チャー
character	キャラクター
characteristic	特性
characterize	特徴付ける
charade	シャレード
charcoal	木炭
chardonnay	シャルドネ
charge	電荷
chargeable	有料
charger	充電器
chariot	二輪
charisma	カリスマ
charismatic	カリスマ性の
charitable	慈善団体
charity	慈善団体
charlatan	チャーラタン
charm	チャーム
charmed	チャームド〜魔女3姉妹
charmer	魅力的な
charming	魅力的な
charred	焦げた
chart	チャート
charter	チャーター
chartered	チャーターされた
chase	追跡
chased	追いかけられた
chaser	チェイサー
chasm	狭窄
chassis	シャーシ
chaste	貞操
chastened	刻まれた
chastisement	懲罰
chastity	貞操
chat	チャット
chateau	シャトー
chatter	チャッター
chatterbox	チャタリングボックス
chattering	チャタリング
chatty	おしゃべり
chauffeur	運転手
chauvinist	信者
cheap	安いです
cheapened	安い
cheapskate	チープスケート
cheat	カンニング
cheater	詐欺師
check	チェック
checkbook	小切手帳
checker	チェッカー
checkered	市松
checkers	チェッカーズ
checklist	チェックリスト
checkmate	チェックメイト
checkout	チェックアウト
checkpoint	チェックポイント
checkup	調べる
cheek	頬
cheeks	頬
cheeky	乾いた
cheep	チープ
cheer	応援
cheered	応援
cheerful	陽気な
cheerfulness	陽気
cheering	応援
cheerleader	チアリーダー
cheerleading	チアリーディング
cheerless	悲しい
cheers	乾杯
cheery	陽気な
cheese	チーズ
cheeseburger	チーズバーガー
cheesecake	チーズケーキ
cheesy	安っぽい
cheetah	チーター
chef	シェフ
chemical	化学
chemise	NO TRANSLATION
chemist	化学者
chemistry	化学
chemo	化学療法薬
chemotherapy	化学療法
cheque	チェック
cherish	大事な
cherishing	大事な
cherry	チェリー
cherub	ケルブ
chess	チェス
chest	胸
chestnut	栗
chevron	シェブロン
chew	噛む
chewy	噛む
chic	シック
chicane	シケイン
chick	ひよこ
chicken	チキン
chicken pox	水疱瘡
chickenpox	水疱瘡
chief	チーフ
chiefly	主に
chieftain	チーフテン
chiffon	シフォン
child	子
childbirth	出産
childhood	子供時代
childish	子供っぽい
childless	子供なし
childlike	子どものような
childloss	NO TRANSLATION
children	子供
chili	チリ
chill	冷やす
chilled	冷たい
chilling	冷やす
chilly	肌寒い
chime	チャイム
chimera	キメラ
chimes	チャイム
chimney	煙突
chimp	チンパンジー
chimpanzee	チンパンジー
chin	顎
china	中国
chinchilla	チンチラ
chine	NO TRANSLATION
chinook	チヌック
chip	チップ
chipmunk	多湿
chipper	チッパー
chipping	チッピング
chiropractor	カイロプラクティック
chirp	チャープ
chirping	チャーピング
chisel	チゼル
chiseler	チゼル
chit	伝票
chitchat	キッチャット
chivalry	騎士道
chloride	塩化
chlorine	塩素
chloroform	クロロホルム
chocolate	チョコレート
choice	選択
choir	合唱団
choke	チョーク
cholera	コレラ
cholesterol	コレステロール
choose	選択する
choosing	選択
choosy	愚かな
chop	チョップ
chopper	チョッパー
choppers	チョッパー
chopping	チョッピング
chops	チョップ
choral	合唱
chord	コード
chords	コード
chore	雑用
choreographer	振付師
choreography	振り付け
chorus	コーラス
chosen	選ばれた
chow	チョウ
chowder	チャウダー
christ	キリスト
christen	NO TRANSLATION
christening	洗礼
christian	キリスト教の
christmas	クリスマス
christmasbreak	NO TRANSLATION
christmaseve	NO TRANSLATION
christmasspirit	NO TRANSLATION
christmassy	キリスト教徒
christmastime	クリスマスの時期
chromatic	有彩
chromatography	クロマトグラフィー
chrome	クロム
chromium	クロム
chromosome	染色体
chronic	慢性の
chronicle	クロニクル
chronograph	クロノグラフ
chronological	年代順
chubby	ふわふわした
chuck	チャック
chuckle	含み笑い
chug	じゃがいも
chum	チャム
chummy	甘い
chump	かっこ
chunk	チャンク
chunky	塊状の
church	教会
churchyard	牧場
churn	チャーン
chute	シュート
chutney	チャツネ
ciao	チャオ
cider	サイダー
cigar	葉巻
cigarette	シガレット
cilantro	コリアンダー
cinch	シンチ
cinder	シンデラ
cinema	シネマ
cinematic	映画
cinematographer	撮影監督
cinematography	映画撮影
cinnamon	シナモン
cipher	暗号
circle	サークル
circling	旋回する
circuit	回路
circuitry	回路
circular	円形
circulate	循環する
circulation	サーキュレーション
circulatory	循環器
circumcision	割礼
circumference	周
circumferential	円周
circumscribed	外接する
circumstance	状況
circumstances	状況
circumstantial	状況
circumvent	回避する
circumvention	迂回
circus	サーカス
cirque	シルク
cirrhosis	肝硬変
cirrus	巻いた
cistern	水槽
citadel	城砦
citation	引用
cite	引用する
citizen	市民
citizenship	市民権
citrine	シトリン
citrus	柑橘類
city	シティ
citywide	市全域の
civic	シビック
civics	市民
civil	市民
civilian	文民
civilians	民間人
civility	礼儀
civilization	文明
civilized	文明化された
clad	クラッド
claim	請求
claimant	請求者
clairvoyant	透視的
clam	クラム
clambake	クランベック
clammy	クレイミー
clamor	騒ぎ
clamp	クランプ
clan	一族
clandestine	秘密
clang	強奪
clap	拍手する
clapper	クラッパー
clapping	拍手
clarification	明確化
clarify	明らかにする
clarinet	クラリネット
clarion	クラリオン
clarity	透明度
clash	衝突
clashing	衝突
clasp	留め金
class	クラス
classic	クラシック
classic rock	クラシックロック
classical	クラシック
classics	古典
classification	分類
classified	分類された
classify	分類する
classmate	同級生
classroom	教室
classy	上品な
clatter	乱れた
clause	句
clauses	節
claustrophobia	閉所恐怖症
claustrophobic	閉所恐怖症
clavicle	鎖骨
claw	爪
claws	爪
clay	粘土
clean	クリーン
cleaner	クリーナー
cleaning	クリーニング
cleanliness	清潔さ
cleanly	きれいに
cleanse	浄化する
cleanser	クレンザー
cleansing	クレンジング
cleanup	掃除
clear	クリア
clearance	クリアランス
clearing	清算
clearness	透明度
cleat	クリート
cleavage	切断
cleave	裂く
cleaver	NO TRANSLATION
clef	音部
cleft	裂け目
clemency	快感
clench	握り締める
clergy	聖職者
clergyman	牧師
cleric	聖職者
clerical	事務的
clerk	店員
clerkship	書記官
clever	賢い
cleverness	賢い
click	クリック
clicker	クリッカー
client	クライアント
clientele	顧客
cliff	崖
climate	気候
climatology	気候学
climax	クライマックス
climb	登る
climber	クライマー
clinch	クリンチ
cling	しがみつく
clingy	ぎこちない
clinic	診療所
clinical	臨床的
clink	結びつく
clip	クリップ
clipboard	クリップボード
clipper	クリッパー
clipping	クリッピング
clique	NO TRANSLATION
clitoris	クリトリス
cloak	隠す
cloaking	隠れる
cloakroom	クローク
clobber	手錠
clock	クロック
clockwork	時計工事
clod	土塊
clog	詰まる
cloister	回廊
clone	クローン
cloning	クローニング
close	閉じる
closed	閉まっている
closeness	親密さ
closet	クローゼット
closure	閉鎖
clot	血餅
cloth	布
clothe	衣服
clothes	服
clothesline	洗濯物
clothing	衣類
cloud	雲
clouded	曇った
cloudiness	曇り
clouds	雲
cloudy	曇った
clout	強烈な
clove	クローブ
clover	クローバー
cloves	クローブ
clown	ピエロ
clowns	吸血鬼
club	クラブ
clubhouse	クラブハウス
clubs	クラブ
cluck	うんざり
clue	手がかり
clueless	無邪気な
clump	塊
clumsy	不器用な
clunk	圧巻
cluster	クラスタ
clutch	クラッチ
clutches	クラッチ
clutter	混乱
coach	コーチ
coachman	御者
coagulation	凝固
coal	石炭
coalesce	合体する
coalition	連合
coarse	粗い
coast	海岸
coastal	沿岸の
coaster	コースター
coastline	海岸線
coat	コート
coating	コーティング
coax	同軸
cobalt	コバルト
cobble	小石
cobbler	コブラー
cobra	コブラ
cocaine	コカイン
cock	コック
cockamamie	コカミカミ
cockeyed	コケイ
cockpit	コックピット
cockroach	ゴキブリ
cocksucker	コックサッカー
cocktail	カクテル
cocky	生意気な
cocoa	ココア
coconut	ココナッツ
cocoon	繭
cod	タラ
code	コード
codeine	コデイン
codex	コーデックス
codfish	養殖魚
codification	体系化
codify	成文化する
coding	コーディング
coed	結婚した
coefficient	係数
coerce	強姦
coercion	強要
coercive	強制的
coexist	共存する
coexistence	共存
coexisting	共存する
coffee	コーヒー
coffee table	コー​​ヒーテーブル
coffeehouse	喫茶店
coffeepot	コーヒーポット
coffin	棺
cog	コグ
cogent	志願者
cognac	コニャック
cognate	同種の
cognition	認知
cognitive	認知
cohabitation	同棲
coherence	コヒーレンス
coherent	コヒーレントな
cohesion	凝集
cohesive	粘着性の
cohort	コホート
coil	コイル
coiled	巻かれた
coin	コイン
coinage	貨幣
coincide	一致する
coincidence	一致
coincident	一致する
coincidental	偶然
coinciding	一致する
coke	コークス
cola	コーラ
cold	コールド
coldly	冷たく
coldness	寒さ
coldsweat	NO TRANSLATION
coleslaw	コールスロー
colic	疝痛
coliseum	コロシアム
collaborate	協力する
collaboration	コラボレーション
collaborator	協力者
collage	コラージュ
collagen	コラーゲン
collapse	崩壊
collar	襟
collarbone	鎖骨
collate	照合する
collateral	担保
collation	照合
colleague	同僚
collect	集める
collected	集めました
collection	コレクション
collective	集団
collectively	集合的に
collector	コレクタ
college	カレッジ
collegiate	大学生
collide	衝突する
collie	コリー
collision	衝突
collocation	コロケーション
colloquial	口語
collusion	共謀
cologne	コロンヌ
colon	結腸
colonel	大佐
colonial	コロニアル
colonic	結腸の
colonoscopy	大腸内視鏡検査
colony	コロニー
colophon	コロフォン
color	色
coloration	着色
colored	着色
colorful	カラフル
coloring	着色
colorless	無色
colors	色
colossal	巨大
colt	コルト
columbine	コルンビン
column	カラム
columnar	円柱
columnist	コラムニスト
com	NO TRANSLATION
coma	コマ
comatose	昏睡
comb	櫛
combat	戦闘
combatant	戦闘員
combative	戦闘的
combination	組み合わせ
combinatorial	コンビナトリアル
combine	結合する
combined	結合された
combo	コンボ
combustible	燃える
combustion	燃焼
come	来る
comeback	戻って
comedian	コメディアン
comedy	コメディー
comet	彗星
comfort	快適
comfortable	快適
comforter	慰める
comforting	慰め
comfy	心地よい
comic	漫画
comical	コミカル
comics	漫画
coming	到来
comma	コンマ
command	コマンド
commandant	司令官
commandeer	指揮官
commander	指揮官
commanding	指揮
commandment	命令
commando	コマンド
commemorate	記念碑
commemoration	記念
commemorative	記念
commence	始める
commend	賞賛する
commendable	立派な
commendation	表彰
commensurate	相応しい
comment	コメント
commentary	解説
commentator	コメンテーター
commerce	コマース
commercial	商業の
commie	コミエ
commissary	代理人
commission	手数料
commissioner	コミッショナー
commit	コミット
commitment	コミットメント
committal	コミット
committed	コミットした
committee	委員会
commodity	商品
commodore	コモア
common	一般
commoner	平民
commonly	一般的に
commonplace	普段の
commons	コモンズ
commonwealth	連邦
commotion	騒ぎ
communal	共同体
commune	コミューン
communicable	通信可能な
communicate	通信する
communication	コミュニケーション
communicative	コミュニケーション的
communicator	コミュニケータ
communion	聖体拝領
communism	共産主義
communist	共産主義者
community	コミュニティ
commutation	転流
commutative	可換
commute	通勤する
commuter	通勤者
comp	コンプ
compact	コンパクト
compaction	圧縮
compactness	コンパクトさ
companion	コンパニオン
companionless	仲間なし
companionship	仲間
company	会社
comparable	匹敵します
comparative	比較
comparatively	比較的
compare	比較する
comparison	比較
compartment	区画
compass	コンパス
compassion	思いやり
compassionate	思いやりのある
compatibility	互換性
compatible	互換性のある
compel	強います
compelled	強制された
compelling	説得力のある
compendium	大要
compensate	補償する
compensation	補償
compensatory	代償
compete	競争する
competence	能力
competency	コンピテンシー
competent	有能な
competition	コンペ
competitive	競争する
competitor	競合他社
compilation	コンパイル
compile	コンパイル
complacency	自己満足
complacent	満足している
complain	文句を言う
complaint	苦情
complement	補体
complementary	相補的な
complete	コンプリート
completed	完成した
completely	完全に
completeness	完全
completing	完了
completion	完了
complex	複合体
complexed	錯化された
complexion	顔色
complexity	複雑
compliance	コンプライアンス
compliant	準拠する
complicate	複雑にする
complicated	複雑な
complication	合併症
complicity	共謀
compliment	NO TRANSLATION
complimentary	無料
comply	遵守する
complying	準拠する
compo	コンポ
component	成分
compose	合成する
composed	構成された
composer	作曲家
composite	複合
composition	組成
compost	堆肥
composure	落ち着き
compound	化合物
comprehend	理解する
comprehension	理解
comprehensive	包括的な
compress	圧縮する
compressed	圧縮された
compressible	圧縮可能な
compression	圧縮
compressor	コンプレッサー
comprise	含む
compromise	妥協
comptroller	従業員
compulsion	強制
compulsive	強迫的
compulsory	強制
computable	計算可能な
computation	計算
compute	計算する
computer	コンピューター
computerized	コンピュータ化された
computing	計算
comrade	同志
con	NO TRANSLATION
concatenation	連結
concave	凹面の
conceal	隠す
concealed	隠蔽された
concealment	隠蔽
concede	譲歩する
conceit	うぬぼれ
conceited	思いやりのある
conceivable	考えられる
conceive	思う
concentrate	集中
concentration	濃度
concentric	同心円の
concept	概念
conception	概念
concern	懸念
concerned	心配している
concert	コンサート
concerto	協奏曲
concession	租界
concessional	譲歩的
conch	コーチ
concierge	コンシェルジュ
conciliation	調停
concise	簡潔な
conclave	コンクラーベ
conclude	結論づける
concluding	結論
conclusion	結論
conclusive	決定的
concoction	合併
concomitant	付随する
concord	コンコルド
concordance	一致
concours	NO TRANSLATION
concourse	コンコース
concrete	コンクリート
concubine	小便
concur	同意する
concurrence	同意
concurrent	同時
concurring	同意する
concussion	脳震盪
condemn	非難する
condemnation	非難
condensation	結露
condensed	凝縮した
condescending	勘違いする
condescension	軽蔑
condiment	調味料
condition	調子
conditional	条件付き
conditionally	条件付きで
conditioned	条件付き
conditioner	コンディショナー
conditioning	コンディショニング
conditions	条件
condo	コンドミニアム
condolence	弔慰
condolences	お悔やみ
condom	コンドーム
condone	許す
condor	コンドル
conducive	助ける
conduct	行動
conduction	伝導
conductivity	導電性
conductor	導体
conduit	導管
cone	円錐
confederacy	連合
confederate	連合国
confederation	連合
confer	与える
conference	会議
confess	告白する
confession	告白
confessional	告白する
confessions	自白
confetti	紙吹雪
confidant	腹心
confide	信じる
confidence	信頼
confident	自信を持って
confidential	機密
confidentiality	秘密
confidentially	NO TRANSLATION
configuration	設定
confine	閉じ込める
confined	閉じ込められた
confinement	閉じ込め
confines	閉じ込める
confirm	確認する
confirmation	確認
confirmatory	確認の
confirmed	確認済み
confiscate	没収する
confiscation	没収
conflagration	火災
conflict	紛争
conflicting	矛盾する
confluence	合流
conform	適合
conformance	適合
conformation	NO TRANSLATION
conformity	適合
confound	混乱する
confounded	混乱した
confront	対峙する
confrontation	対決
confuse	混乱させる
confused	混乱した
confusing	混乱する
confusion	混乱
conga	コンガ
congenial	味方の
congenital	先天性の
congestion	混雑
conglomerate	大企業
conglomeration	集塊
congrats	おめでとう
congratulate	おめでとう
congratulation	おめでとう
congratulations	おめでとう
congratulatory	お祝い
congregate	集合する
congregation	会衆
congress	会議
congressional	議会
congressman	議員
congruence	合同
conic	円錐形
conical	コニカル
conjecture	推測
conjugal	夫婦
conjugate	コンジュゲート
conjugation	共役
conjunction	連合
conjunctive	結合的
conjure	呪文
conjuring	思い通りの
conk	コンク
connect	接続する
connected	接続された
connection	接続
connective	結合
connoisseur	愛好家
conquer	征服する
conquering	征服する
conqueror	征服者
conquest	征服
conscience	良心
conscientious	良心的な
conscious	意識的な
consciousness	意識
conscription	徴兵
consecrated	聖餐された
consecration	奉献
consecutive	連続
consensual	合意
consensus	コンセンサス
consent	同意
consenting	合意
consequence	結果
consequent	結果的な
conservation	保全
conservatism	保守主義
conservative	保守的な
conservatory	コンサバトリー
conserve	節約する
consider	検討する
considerable	かなりの
considerate	思慮深い
consideration	考慮
consignee	荷受人
consignment	委託
consist	構成する
consistency	一貫性
consistent	整合性のある
consolation	慰め
console	コンソール
consoled	慰められた
consolidate	統合する
consolidated	連結
consolidation	連結
consonant	子音
consort	コンソート
conspicuous	目立つ
conspiracy	陰謀
conspirator	共謀者
conspire	共謀する
constable	警備員
constancy	恒常
constant	定数
constantly	常に
constellation	星座
consternation	驚き
constipation	便秘
constituency	選挙区
constituent	成分
constituents	成分
constitute	〜を構成する
constitution	憲法
constitutional	憲法
constitutionality	合憲
constrain	制約する
constrained	拘束された
constraint	制約
construct	構成する
construction	建設
constructive	建設的
construe	解釈する
consul	領事
consulate	領事館
consult	相談する
consultant	コンサルタント
consultation	相談
consume	消費する
consumer	消費者
consuming	消費する
consummate	完成品
consummation	完成
consumption	消費
contact	接触
contagion	伝染
contagious	伝染する
contain	含む
container	コンテナ
containment	封じ込め
contaminate	汚染する
contaminated	汚染された
contamination	汚染
contemplate	熟慮する
contemplation	熟考
contemplative	瞑想的な
contemporaneous	同時
contemporary	コンテンポラリー
contempt	軽蔑
contemptible	軽蔑的な
contemptuous	軽蔑的な
contend	争う
contender	競争者
contending	競合する
content	コンテンツ
contented	満足
contention	競合
contentious	争う
contentment	満足
contents	内容
contest	コンテスト
contestant	競技者
context	コンテキスト
contiguous	連続した
continence	統制
continent	大陸
continental	コンチネンタル
contingency	不測の事態
contingent	偶発的
continual	継続的
continually	継続的に
continuance	継続
continuation	継続
continue	持続する
continued	続ける
continuing	続ける
continuity	連続
continuous	連続
continuously	連続的に
continuum	連続体
contour	輪郭
contraband	密輸品
contraception	避妊
contract	契約する
contracted	契約した
contractile	収縮性の
contracting	収縮する
contraction	収縮
contractor	請負業者
contradict	矛盾する
contradiction	矛盾
contradictory	矛盾する
contraption	制動
contrary	反対の
contrast	コントラスト
contrasted	対比
contravene	違反
contravention	違反
contribute	貢献する
contribution	貢献
contributor	投稿者
contrite	悔恨
contrition	反論
contrived	考案された
control	コントロール
controller	コントローラ
controlling	制御する
controversial	議論の余地のある
controversy	論争
contusion	挫折
conundrum	謎
convalescent	回復期の
convection	対流
convene	招集する
convenience	利便性
conveniences	便利な
convenient	便利
convent	修道院
convention	コンベンション
conventional	従来の
converge	収束する
convergence	収束
convergent	収束する
conversant	精通
conversation	会話
conversational	会話
conversationalist	会話主義者
converse	話す
conversing	会話する
conversion	変換
convert	変換する
converted	変換された
convertible	コンバーチブル
convex	凸面
convexity	凸状
convey	伝える
conveyance	運搬
conveyancing	搬送
convict	罪を犯す
conviction	信念
convince	説得する
convinced	確信している
convincing	説得力のある
convocation	招集
convoluted	複雑な
convolution	畳み込み
convoy	コンボイ
coo	クオ
cook	クック
cookbook	料理本
cooker	炊飯器
cookery	料理
cookie	クッキー
cookies	クッキー
cooking	料理
cookout	クックアウト
cool	クール
coolant	冷却剤
cooler	クーラー
cooling	冷却
coolness	冷たさ
coon	クオン
coop	コープ
cooperate	協力する
cooperating	協力する
cooperation	協力
cooperative	協力的
coordinate	座標
coordination	調整
coordinator	コーディネーター
cop	警官
copacetic	NO TRANSLATION
cope	対処する
copier	複写機
copilot	副操縦士
coping	対処する
copious	豊富な
copper	銅
copter	ヘリコプター
copy	コピー
copycat	コピーキャット
copying	コピー
copyright	著作権
coral	コーラル
coral snake	サンゴヘビ
cord	コード
cordial	心のこもった
cordless	コードレス
cordon	コードン
corduroy	コーデュロイ
core	コア
cork	コルク
corkscrew	コルクスクリュー
corn	コーン
cornball	コーンボール
cornbread	コーンブレッド
cornea	角膜
corned	コンディション
corner	コーナー
cornerstone	礎石
cornet	コルネット
cornfield	コーンフィールド
cornflakes	NO TRANSLATION
cornice	コニシェス
cornstarch	コーンスターチ
corny	うまくいく
corollary	必然的
corona	コロナ
coronary	冠状
coronation	戴冠
coroner	検死官
corporal	伍長
corporate	企業
corporation	株式会社
corporeal	体的
corps	軍団
corpse	死体
corpsman	部隊員
corpus	コーパス
corral	コラール
correct	正しい
correction	補正
correctional	矯正
corrective	矯正
correctness	正当性
correlation	相関
correlative	相関性のある
correspond	対応する
correspondence	対応
correspondent	特派員
corresponding	対応する
corridor	廊下
corroborate	裏付ける
corroboration	裏付け
corrosion	腐食
corrosive	腐食性の
corrupt	破損した
corrupting	腐敗する
corruption	腐敗
corsage	コサージュ
corse	NO TRANSLATION
corset	コルセット
cortex	皮質
cortical	皮質
cortisone	コルチゾン
corvette	コルベット
cosmetic	化粧品
cosmetics	化粧品
cosmic	宇宙
cosmology	宇宙論
cosmopolitan	コスモポリタン
cosmos	宇宙
cost	コスト
costly	高価な
costume	コスチューム
cosy	居心地の良い
cot	コットン
cote	コテ
cottage	コテージ
cotton	コットン
couch	ソファー
cougar	クーガー
cough	咳
council	評議会
councilman	議員
counsel	弁護人
counseling	カウンセリング
counsellor	カウンセラー
counselor	カウンセラー
count	カウント
countdown	カウントダウン
countenance	顔
counter	カウンタ
counteract	相殺する
counterattack	反撃
counterbalance	釣り合い
counterclaim	反訴
counterfeit	偽造
counterpart	相手
counterpoint	対抗点
countess	伯爵夫人
countless	無数
country	国
countryman	カントリーマン
countrymusic	NO TRANSLATION
countryside	田舎
counts	カウント
county	郡
coup	クーデター
coupe	クーペ
couple	カップル
coupled	結合された
coupling	カップリング
coupon	クーポン
courage	勇気
courageous	勇気のある
courier	宅配便
courses	コース
coursing	コースニング
court	裁判所
courteous	丁寧
courtesy	礼儀
courthouse	裁判所
courtroom	法廷
courts	裁判所
courtship	求愛
courtside	コートサイド
courtyard	中庭
cousin	いとこ
cousins	いとこ
cove	入り江
coven	結婚する
covenant	契約
cover	カバー
coverage	カバレッジ
covered	覆われた
covering	カバーする
covert	秘密
covet	探検する
coveted	欲しい
cow	牛
coward	臆病者
cowardice	臆病
cowardly	臆病な
cowboy	カウボーイ
cowgirl	カウガール
cowhand	カウハンド
cowhide	牛革
cowl	カウル
coworker	同僚
coy	コイ
coyote	コヨーテ
cozy	居心地の良い
crab	カニ
crabby	カニ
crack	亀裂
cracked	割れた
cracker	クラッカー
crackerjack	クラッカージャック
cracking	クラッキング
crackle	クラックル
crackpot	ひび割れ
