Word	kn
bluegrass	ಬ್ಲ್ಯೂಗ್ರಾಸ್
bluejay	ನೀಲಿಜಾರು
blueprint	ನೀಲನಕ್ಷೆ
blues	ಬ್ಲೂಸ್
bluff	ಬ್ಲಫ್
bluish	ನೀಲಿ
blunder	ತಪ್ಪು
blunt	ಮೊಂಡಾದ
blur	ಮಸುಕು
blurred	ಅಸ್ಪಷ್ಟವಾಗಿದೆ
blurry	ತೆಳುವಾಗಿದೆ
blurt	ದೂಷಿಸು
blush	ನಯಗೊಳಿಸು
blushing	ಹತಾಶೆ
boa	NO TRANSLATION
boa constrictor	NO TRANSLATION
boar	ಹಂದಿ
board	ಬೋರ್ಡ್
board game	ಮಣೆ ಆಟ
boarder	NO TRANSLATION
boarding	ಬೋರ್ಡಿಂಗ್
boardroom	ಬೋರ್ಡ್ ರೂಂ
boards	ಮಂಡಳಿಗಳು
boardwalk	ಕಾಲುದಾರಿ
boast	ಹೆಗ್ಗಳಿಕೆ
boastful	ಧೈರ್ಯಶಾಲಿ
boasting	ಹೆಮ್ಮೆಪಡುವೆ
boat	ದೋಣಿ
boathouse	ಬೋಟ್ ಹೌಸ್
boating	ಬೋಟಿಂಗ್
boatload	ಬೋಟ್ಲೋಡ್
boatman	ಬೋಟ್ಮನ್
bobbin	ಬೋಬಿನ್
bobcat	ಬಾಬ್ಬಾಟ್
bobsled	ಬೊಬ್ಸ್ಲೇಡ್
bode	ಬೊಡೆ
bodega	ಬೊಡೆಗ
bodice	ರವಿಕೆ
bodily	ದೈಹಿಕ
body	ದೇಹ
bodyguard	ಅಂಗರಕ್ಷಕ
bog	ಬಾಗ್
bogey	ಬೋಗಿ
bogeyman	ಬೋಗಿಮ್ಯಾನ್
bogus	ನಕಲಿ
bohemian	ಬೋಹೀಮಿಯನ್
boil	ಕುದಿಯುತ್ತವೆ
boiler	ಬಾಯ್ಲರ್
boilerplate	ಬಾಯ್ಲರ್ಪ್ಲೇಟ್
boiling	ಕುದಿಯುವ
boisterous	ಘೋರವಾದ
bold	ದಪ್ಪ
boldness	ಧೈರ್ಯ
bollocks	ಬೊಲ್ಲಾಕ್ಸ್
bolster	ಹೆಚ್ಚಿಸು
bolt	ಬೋಲ್ಟ್
bolus	ಬೋಲಸ್
bomb	ಬಾಂಬ್
bombard	ಬಾಂಬ್ದಾಳಿ
bombardier	ಬಾಂಬ್ದಾಳಿ
bombardment	ಬಾಂಬ್ ದಾಳಿ
bombed	ಬಾಂಬ್ ದಾಳಿ
bomber	ಬಾಂಬರ್
bombers	ಬಾಂಬರ್ಗಳು
bombing	ಬಾಂಬ್ ದಾಳಿ
bombshell	ಬಾಂಬ್ ದಾಳಿ
bonanza	ಕೊಡುಗೆಯೇ
bonbon	NO TRANSLATION
bond	ಕರಾರುಪತ್ರ
bondage	ಬಂಧನ
bonding	ಬಂಧನ
bonds	ಬಂಧಗಳು
bondsman	ಬಂಧಕ
bone	ಮೂಳೆ
bonehead	ಮೂಳೆ ಹೆಡ್
boner	ಬೋನರ್
bones	ಮೂಳೆಗಳು
bonfire	ದೀಪೋತ್ಸವ
bong	ಬಾಂಗ್
bonkers	ಬಾಂಕರ್ಸ್
bonne	NO TRANSLATION
bonnet	ಬಾನೆಟ್
bonny	ಒಳ್ಳೆಯದು
bonsai	ಬೋನ್ಸೈ
bonus	ಬೋನಸ್
bony	ಎಲುಬು
boo	ಬೂ
boob	ಕುರುಚಲು ಗಿಡ
booby	ಬೂಬಿ
booger	ಬೂಗರ್
boogeyman	ಬೂಗೀಮ್ಯಾನ್
boogie	ಬೂಗೀ
book	ಪುಸ್ತಕ
bookcase	ಬುಕ್ಕೇಸ್
bookie	ಬುಕ್ಕಿ
booking	ಬುಕಿಂಗ್
bookish	ಬುಷಿಶ್
bookkeeper	ಬುಕ್ಕೀಪರ್
bookkeeping	ಬುಕ್ಕೀಪಿಂಗ್
booklet	ಕಿರುಪುಸ್ತಕ
bookmaker	ಬುಕ್ಮೇಕರ್
bookmark	ಬುಕ್ಮಾರ್ಕ್
books	ಪುಸ್ತಕಗಳು
bookseller	ಪುಸ್ತಕ ಮಾರಾಟಗಾರ
bookshop	ಪುಸ್ತಕ ಮಳಿಗೆ
bookstore	ಪುಸ್ತಕದಂಗಡಿಯ
bookworm	ಪುಸ್ತಕ ಹುಳು
boom	ಬೂಮ್
boomer	ಬೂಮರ್
boomerang	ಬೂಮರಾಂಗ್
booming	ಉತ್ಕರ್ಷ
boon	ವರಮಾನ
boooo	NO TRANSLATION
boost	ವರ್ಧಿಸುತ್ತವೆ
booster	ಬೂಸ್ಟರ್
boot	ಬೂಟ್ ಮಾಡಿ
booth	ಮತಗಟ್ಟೆ
bootleg	ಬೂಟ್ಲೆಗ್
bootlegger	ಬೂಟ್ಲೆಗ್ಗರ್
boots	ಬೂಟ್
booty	ಲೂಟಿ
booze	ಮಿತಿಮೀರಿ ಕುಡಿ
bop	ಬಾಪ್
bopper	ಬಾಪರ್
border	ಗಡಿ
bordering	ಗಡಿ
borderline	ಗಡಿರೇಖೆ
bore	ಬೋರ್
boreal	ಬೋರಿಯಲ್
bored	ಬೇಸರ
boredom	ಬೇಸರ
borer	ಕೊರೆಯುವವನು
boring	ನೀರಸ
born	ಹುಟ್ಟು
boron	ಬೋರಾನ್
borough	ಪ್ರಾಂತ್ಯ
borrow	ಎರವಲು
borrower	ಸಾಲಗಾರ
bosom	ಬೋಗುಣಿ
boss	ಮೇಲಧಿಕಾರಿ
bossy	ಬಾಸ್ಸಿ
boston	ಬೋಸ್ಟನ್
botanical	ಸಸ್ಯವಿಜ್ಞಾನ
botanist	ಸಸ್ಯವಿಜ್ಞಾನಿ
botany	ಸಸ್ಯಶಾಸ್ತ್ರ
bother	ಚಿಂತೆ
bothering	ತೊಂದರೆ
bottle	ಬಾಟಲ್
bottleneck	ಅಡಚಣೆ
bottling	ಬಾಟಲಿಂಗ್
bottom	ಕೆಳಗೆ
bottomless	ತಳವಿಲ್ಲದ
botulism	ಬೊಟುಲಿಸಮ್
boulder	ಬೌಲ್ಡರ್
bounce	ಬೌನ್ಸ್
bouncer	ಬೌನ್ಸರ್
bouncy	ನೆಗೆಯುವ
bound	ಬೌಂಡ್
boundary	ಗಡಿರೇಖೆ
boundless	ಮಿತಿಯಿಲ್ಲದ
bounds	ಗಡಿಗಳು
bountiful	ದಯೆತೋರು
bounty	ಬೌಂಟಿ
bouquet	ಪುಷ್ಪಗುಚ್ಛ
bourbon	ಬೌರ್ಬನ್
bourgeois	ಮಧ್ಯಮವರ್ಗದವರು
bourgeoisie	ಮಧ್ಯಮವರ್ಗದವರು
bourse	ಬೇಸ್
bout	ಪಂದ್ಯ
boutique	ಅಂಗಡಿ
bouttime	ಬಾಟಮ್ಟೈಮ್
bovine	ಗೋಳ
bow	ಬಿಲ್ಲು
bowed	ಬಾಗಿದ
bowel	ಕರುಳಿನ
bowels	ಕರುಳುಗಳು
bowl	ಬೌಲ್
bowler	ಬೌಲರ್
bowling	ಬೌಲಿಂಗ್
bowls	ಬಟ್ಟಲುಗಳು
box	ಬಾಕ್ಸ್
boxcar	ಬಾಕ್ಸ್ಕಾರ್
boxer	ಬಾಕ್ಸರ್
boxers	ಬಾಕ್ಸರ್ಗಳು
boxing	ಬಾಕ್ಸಿಂಗ್
boy	ಹುಡುಗ
boycott	ಬಹಿಷ್ಕಾರ
boyfriend	ಗೆಳೆಯ
boyhood	ಬಾಲ್ಯ
boyish	ಬಾಲಿಶ
boysenberry	ಹುಡುಗರುಬೆರ್ರಿ
bozo	ಬೊಜೊ
bra	ಸ್ತನಬಂಧ
brace	ಕಟ್ಟುಪಟ್ಟಿ
bracelet	ಕಂಕಣ
braces	ಕಟ್ಟುಪಟ್ಟಿಗಳು
brachial	ಕವಲೊಡೆಯುವ
bracket	ಬ್ರಾಕೆಟ್
brackets	ಬ್ರಾಕೆಟ್ಗಳು
brackish	ಉಗುರು
brad	ಬ್ರಾಡ್
brag	ಬಡಿಸು
braid	ಬ್ರೇಡ್
brain	ಮೆದುಳು
brainless	ಬುದ್ದಿಹೀನ
brains	ಮಿದುಳುಗಳು
brainstorm	ಬುದ್ದಿಮತ್ತೆ
brainwash	ಬ್ರೇನ್ವಾಶ್
brainy	ಬುದ್ಧಿವಂತ
brake	ಬ್ರೇಕ್
bran	ಹೊಟ್ಟು
branch	ಶಾಖೆ
branching	ಶಾಖೆ
brand	ಬ್ರಾಂಡ್
brandy	ಬ್ರಾಂಡಿ
brash	ಬಡಿತ
brass	ಹಿತ್ತಾಳೆ
brass knuckle	ಹಿತ್ತಾಳೆ ಗೆಣ್ಣು
brassiere	ಬ್ರಾಸ್ಸಿಯರ್
brat	ಬ್ರಾಟ್
bratwurst	ಬ್ರಾಟ್ವರ್ಸ್ಟ್
bravado	ಬ್ರೇವಡೋ
brave	ಕೆಚ್ಚೆದೆಯ
bravery	ಶೌರ್ಯ
brawl	ಕಾದಾಟ
brawn	ಬ್ರಾನ್
brazen	ಲಜ್ಜೆಗೆಟ್ಟ
breach	ಉಲ್ಲಂಘನೆ
bread	ಬ್ರೆಡ್
breadth	ಅಗಲ
break	ವಿರಾಮ
breakable	ಮುರಿಯಬಹುದಾದ
breakaway	ವಿಘಟನೆ
breakdown	ಸ್ಥಗಿತ
breaker	ಬ್ರೇಕರ್
breakers	ಬ್ರೇಕರ್ಸ್
breakfast	ಉಪಹಾರ
breaking and entering	ಮುರಿಯುವುದು ಮತ್ತು ಪ್ರವೇಶಿಸುವುದು
breakingnews	ಬಿಸಿ ಬಿಸಿ ಸುದ್ದಿ
breakneck	ಕಡಿದಾದ
breakthrough	ಪ್ರಗತಿ
breakup	ಬಿರುಕು
breast	ಸ್ತನ
breath	ಉಸಿರು
breathe	ಉಸಿರಾಡು
breather	ಉಸಿರಾಡುವವನು
breathless	ಉಸಿರಾಟದ
breathtaking	ಉಸಿರು
breech	ಬ್ರೀಚ್
breeches	ಚಡ್ಡಿಗಳು
breed	ತಳಿ
breeder	ತಳಿಗಾರ
breeding	ತಳಿ
breeze	ತಂಗಾಳಿ
breezy	ತಂಗಾಳಿ
brethren	ಸಹೋದರರು
breve	NO TRANSLATION
brevity	ಸಂಕ್ಷಿಪ್ತತೆ
brew	ಬ್ರೂ
brewery	ಬ್ರೂರಿ
brewing	ಕುದಿಸುವುದು
briar	ಬ್ರಿಯಾರ್
bribe	ಲಂಚ
bribery	ಲಂಚ
brick	ಇಟ್ಟಿಗೆ
bridal	ವಧುವಿನ
bride	ವಧು
bridegroom	ಮದುಮಗ
bridesmaid	bridesmaid
bridge	ಸೇತುವೆ
bridle	ಬ್ರಿಡ್ಲ್
brief	ಸಂಕ್ಷಿಪ್ತ
briefcase	ಬ್ರೀಫ್ಕೇಸ್
briefing	ಬ್ರೀಫಿಂಗ್
briefly	ಸಂಕ್ಷಿಪ್ತವಾಗಿ
brig	ಬ್ರಿಗ್
brigade	ಬ್ರಿಗೇಡ್
bright	ಪ್ರಕಾಶಮಾನವಾದ
brighten	ಬೆಳಗಿಸು
brightens	ಬೆಳಗಿಸುತ್ತದೆ
brighter	ಪ್ರಕಾಶಮಾನವಾಗಿ
brightness	ಹೊಳಪು
brilliance	ಪ್ರತಿಭೆ
brilliant	ಅದ್ಭುತ
brim	ತುದಿ
brimming	brimming
brimstone	ಗಂಧಕ
brine	ಉಪ್ಪುನೀರಿನ
bring	ತರಲು
brink	ಅಂಚು
brisk	ಚುರುಕಾದ
brisket	ಕಡಲುಕೋಳಿ
bristle	ಬ್ರಿಸ್ಟಲ್
brittle	ಸುಲಭವಾಗಿ
bro	ಬ್ರೋ
broach	ಬ್ರೋಚ್
broad	ವಿಶಾಲ
broadcast	ಪ್ರಸಾರ
broadcasting	ಪ್ರಸಾರ
broaden	ವಿಸ್ತರಿಸಿ
broadside	ವಿಶಾಲ ಪ್ರದೇಶ
broadsword	ವಿಶಾಲವಾದ ಸ್ಥಾನ
brocade	ದಟ್ಟಣೆ
broccoli	ಕೋಸುಗಡ್ಡೆ
brochure	ಕರಪತ್ರ
broil	ಕುಡಿ
broke	ಮುರಿಯಿತು
broken	ಮುರಿದಿದೆ
brokenheart	NO TRANSLATION
brokenhearted	ಮುರಿದ ಹಾರ್ಟ್
broker	ಬ್ರೋಕರ್
brokerage	ದಳ್ಳಾಳಿ
bromide	ಬ್ರೊಮೈಡ್
bronco	ಬ್ರಾಂಕೊ
bronze	ಕಂಚು
brooch	ಬ್ರೂಚ್
brood	ಸಂಸಾರ
brooding	ಪೋಷಣೆ
brook	ಬ್ರೂಕ್
broom	ಬ್ರೂಮ್
broomstick	ಬ್ರೂಮ್ ಸ್ಟಿಕ್
broth	ಮಾಂಸದ ಸಾರು
brothel	ವೇಶ್ಯಾಗೃಹ
brother	ಸಹೋದರ
brotherhood	ಭ್ರಾತೃತ್ವದ
brotherly	ಸಹೋದರ
brow	ಹುಬ್ಬು
brown	ಕಂದು ಬಣ್ಣದಲ್ಲಿರುತ್ತದೆ
brownstone	ಕಂದುಬಣ್ಣ
browse	ಬ್ರೌಸ್
brrr	brrr
bruise	ಗುಳ್ಳೆ
bruising	ತಿಕ್ಕುವುದು
brunch	ಬ್ರಂಚ್
brunette	ಶ್ಯಾಮಲೆ
brunt	ಶ್ರಮಿಸು
brush	ಕುಂಚ
brutal	ಕ್ರೂರ
brutality	ಕ್ರೂರತೆ
brute	ವಿವೇಚನಾರಹಿತ
brutish	ಕ್ರೂರ
bubble	ಬಬಲ್
bubbling	ಬಬ್ಲಿಂಗ್
bubbly	ಬಬ್ಲಿ
bubonic	ಬುಬೊನಿಕ್
buck	ಬಕ್
buckaroo	ಬುಕರೂ
bucket	ಬಕೆಟ್
buckle	ಬಕಲ್
buckled	ಬಕಲ್
bucko	ಬಕ್ಕೋ
buckshot	ಬಕ್ಸ್ಹಾಟ್
buckwheat	ಹುರುಳಿ
bud	ಮೊಗ್ಗು
buddha	ಬುದ್ಧ
buddhism	ಬೌದ್ಧಧರ್ಮ
buddhist	ಬೌದ್ಧರು
budding	ಬಡ್ಡಿಂಗ್
buddy	ಸ್ನೇಹಿತ
budge	ಮೊಗ್ಗು
budget	ಬಜೆಟ್
buff	ಬಫ್
buffalo	ಎಮ್ಮೆ
buffer	ಬಫರ್
buffering	ಬಫರಿಂಗ್
buffet	ಗುದ್ದು
buffoon	buuffoon
bug	ದೋಷ
bugaboo	ಬಗ್ಬೂ
bugged	ಕದ್ದಾಲಿಕೆ
bugger	ಬಗ್ಗರ್
buggy	ದೋಷಯುಕ್ತ
bugle	ಬಾಗಲ್
bugler	ಬಗ್ಲರ್
build	ನಿರ್ಮಿಸಲು
builder	ಬಿಲ್ಡರ್
building	ಕಟ್ಟಡ
buildings	ಕಟ್ಟಡಗಳು
buildup	ರಚನೆ
bulb	ಬಲ್ಬ್
bulbous	ಬಲ್ಬಸ್
bulge	ಉಬ್ಬು
bulimic	ಬುಲಿಮಿಕ್
bulk	ಬೃಹತ್
bulkhead	ಬಲ್ಕ್ ಹೆಡ್
bulky	ಬೃಹತ್
bull	ಬುಲ್
bulldog	ಬುಲ್ಡಾಗ್
bulldozer	ಬುಲ್ಡೊಜರ್
bullet	ಬುಲೆಟ್
bulletin	ಬುಲೆಟಿನ್
bulletproof	ಬುಲೆಟ್ ಪ್ರೂಫ್
bullfighter	ಬುಲ್ಫೈಟರ್
bullfrog	ಬುಲ್ಫ್ರಾಗ್
bullheaded	ತಲೆಕೆಳಗಾದ
bullhorn	ಬುಲ್ಹಾರ್ನ್
bullion	ಬುಲಿಯನ್
bullock	ಬುಲ್
bullpen	ಬುಲ್ಪೆನ್
bullshit	ಬುಲ್ಶಿಟ್
bully	ಬುಲ್ಲಿ
bulwark	ಬುರುಜು
bum	ತಿಕ
bumblebee	ಬಂಬಲ್ಬೀ
bummed	ಬಮ್ಡ್
bummer	ಬಮ್ಮರ್
bump	ನೂಕು
bumper	ಬಂಪರ್
bumpy	ನೆಗೆಯುವ
bun	NO TRANSLATION
bunch	ಗುಂಪನ್ನು
bundle	ಬಂಡಲ್
bungalow	ಬಂಗಲೆ
bungee	ಬಂಗೀ
bunghole	ಬನ್ಗೋಲ್
bunion	ಪಾದದ ಮೇಲೆ ಏಳುವ ಕುರು
bunk	ಬಂಕ್
bunker	ಬಂಕರ್
bunkhouse	ಬಂಕ್ಹೌಸ್
bunny	ಬನ್ನಿ
bunt	ಬಂಟ್
buoy	ತೇಲು
buoyancy	ತೇಲುವಿಕೆ
buoyant	ತೇಲುವ
bur	ಬರ್
burden	ಹೊರೆ
burdened	ಭಾರವಾದ
burdensome	ಭಾರವಾದ
bureau	ಬ್ಯೂರೋ
bureaucracy	ಅಧಿಕಾರಶಾಹಿ
bureaucrat	ಅಧಿಕಾರಿ
bureaucratic	ಅಧಿಕಾರಶಾಹಿ
burger	ಬರ್ಗರ್
burglar	ದರೋಡೆಕೋರ
burglary	ದರೋಡೆಕೋರ
burial	ಸಮಾಧಿ
buried	ಸಮಾಧಿ ಮಾಡಲಾಗಿದೆ
burke	ಬರ್ಕ್
burlap	ಬರ್ಲ್ಯಾಪ್
burlesque	ಅಣಕು
burly	ಬುಲ್ಲಿ
burn	ಬರ್ನ್
burned	ಸುಟ್ಟುಹೋಯಿತು
burner	ಬರ್ನರ್
burning	ಬರೆಯುವ
burnished	ಸುಟ್ಟ
burnout	ಭಸ್ಮವಾಗಿಸು
burnt	ಸುಟ್ಟು
burp	ಬರ್ಪ್
burr	ಬರ್
burrito	ಬುರ್ರಿಟೋ
burro	NO TRANSLATION
burrow	ಬಿಲ
bursary	ಬಾರಿಸರಿ
burst	ಬರ್ಸ್ಟ್
bury	ಮುಚ್ಚಿ
bus	ಬಸ್
busboy	ಬಸ್ಬಾಯ್
bush	ಪೊದೆ
bushel	ಬುಶೆಲ್
bushy	ಬುಷ್
business	ವ್ಯಾಪಾರ
business man	NO TRANSLATION
businessman	ವ್ಯಾಪಾರಿ
businesswoman	ಉದ್ಯಮಿ
busload	ಬಸ್ಲೋಡ್
buss	ಬಸ್
bust	ಬಸ್ಟ್
busted	ಬಯಲು
buster	ಬಸ್ಟರ್
bustle	ಗದ್ದಲ
bustling	ಗಲಭೆ
busy	ನಿರತ
busybody	ಕಾರ್ಯನಿರತ ವ್ಯಕ್ತಿ
butane	ಬ್ಯುಟಾನ್
butcher	ಕಟುಕ
butler	ಬಟ್ಲರ್
butt	ಬಟ್
butter	ಬೆಣ್ಣೆ
buttercup	ಬೆಣ್ಣೆಚಿಪ್ಪು
butterfly	ಚಿಟ್ಟೆ
buttermilk	ಮಜ್ಜಿಗೆ
butterscotch	butterscotch
buttery	ಬೆಣ್ಣೆ
buttock	ಪೃಷ್ಠ
buttocks	ಪೃಷ್ಠದ
button	ಬಟನ್
buttress	ಬಟ್ರೆಸ್
buxom	ಪೆಕ್ಸಮ್
buy	ಖರೀದಿಸಿ
buyer	ಖರೀದಿದಾರ
buying	ಖರೀದಿ
buzz	buzz
buzzard	ಬಝಾರ್ಡ್
buzzed	buzzed
buzzer	ಬಝರ್
buzzing	ಝೇಂಕರಿಸುವ
bye	ಬೈ
bygone	ಮುಂದೂಡಲಾಗಿದೆ
bylaw	ಬೈಲಾ
byline	ಬೈಲೈನ್
bypass	ಬೈಪಾಸ್
bystander	ಪ್ರೇಕ್ಷಕ
byte	ಬೈಟ್
byzantine	ಬೈಜಾಂಟೈನ್
cab	ಕ್ಯಾಬ್
cabal	ಕಬಲ್
cabana	ಕ್ಯಾಬಾನಾ
cabaret	ಕ್ಯಾಬರೆ
cabbage	ಎಲೆಕೋಸು
cabbie	ಕ್ಯಾಬ್
cabernet	ಕೇಬರ್ನೆಟ್
cabin	ಕ್ಯಾಬಿನ್
cabinet	ಕ್ಯಾಬಿನೆಟ್
cable	ಕೇಬಲ್
caboodle	caboodle
caboose	ಕಡಲೆಕಾಯಿ
cabriolet	ಕ್ಯಾಬ್ರಿಯೊಲೆಟ್
cache	ಸಂಗ್ರಹ
cacophony	ಕೋಕೋಫೋನಿ
cactus	ಕಳ್ಳಿ
cad	ಕೇಡ್
cadaver	ಶವದವನು
caddie	NO TRANSLATION
caddy	ಕ್ಯಾಡಿ
cadence	ಕ್ಯಾಡೆನ್ಸ್
cadet	ಕೆಡೆಟ್
cafe	ಕೆಫೆ
cafeteria	ಕೆಫೆಟೇರಿಯಾ
caffeine	ಕೆಫೀನ್
cage	ಕೇಜ್
cagey	ಕೇಜಿ
cahoots	ಕಾಹೂಟ್ಸ್
cairn	ಕೈರ್ನ್
cake	ಕೇಕ್
cakewalk	ಚಕ್ರವರ್ತಿ
calamari	ಕ್ಯಾಲಮಾರಿ
calamitous	ದುಃಖಕರ
calamity	ವಿಪತ್ತು
calcareous	ಕ್ಯಾಲ್ಯುರಿಯಸ್
calcium	ಕ್ಯಾಲ್ಸಿಯಂ
calculate	ಲೆಕ್ಕಾಚಾರ
calculated	ಲೆಕ್ಕ
calculating	ಲೆಕ್ಕಾಚಾರ
calculation	ಲೆಕ್ಕಾಚಾರ
calculator	ಕ್ಯಾಲ್ಕುಲೇಟರ್
calculus	ಕಲನಶಾಸ್ತ್ರ
calendar	ಕ್ಯಾಲೆಂಡರ್
calender	NO TRANSLATION
calf	ಕರು
caliber	ಕ್ಯಾಲಿಬರ್
calibrate	ಮಾಪನಾಂಕ ನಿರ್ಣಯಿಸು
calico	ಕ್ಯಾಲಿಕೊ
calipers	ಕ್ಯಾಲಿಪರ್ಗಳು
calisthenics	ಕ್ಯಾಲಿಸ್ಟೆನಿಕ್ಸ್
call	ಕರೆ ಮಾಡಿ
callback	ಕಾಲ್ಬ್ಯಾಕ್
caller	ಕಾಲರ್
calligraphy	ಕ್ಯಾಲಿಗ್ರಫಿ
calling	ಕರೆ
callous	ಕಠೋರ
calls	ಕರೆಗಳು
calm	ಶಾಂತವಾಗಿ
calming	ಶಾಂತಗೊಳಿಸುವ
calmness	ಶಾಂತತೆ
caloric	ಕ್ಯಾಲೊರಿ
calorie	ಕ್ಯಾಲೊರಿ
calorimeter	ಕ್ಯಾಲೋರಿಮೀಟರ್
cam	ಕ್ಯಾಮ್
camaraderie	ನಿಕಟಸ್ನೇಹ
camber	ಕ್ಯಾಂಬರ್
camcorder	ಕ್ಯಾಮ್ಕಾರ್ಡರ್
camel	ಒಂಟೆ
cameo	ಕ್ಯಾಮಿಯೊ
camera	ಕ್ಯಾಮೆರಾ
cameraman	ಛಾಯಾಗ್ರಾಹಕ
camisole	ಕ್ಯಾಮಿಸೊಲ್
camouflage	ಮರೆಮಾಚುವಿಕೆ
camouflaged	NO TRANSLATION
camp	ಕ್ಯಾಂಪ್
campaign	ಪ್ರಚಾರ
campaigner	ಚಳುವಳಿಗಾರ
campaigning	ಪ್ರಚಾರ
camper	ಕ್ಯಾಂಪರ್
campfire	ಕ್ಯಾಂಪ್ಫೈರ್
camping	ಕ್ಯಾಂಪಿಂಗ್
campsite	ಕ್ಯಾಂಪ್ಸೈಟ್
campus	ಕ್ಯಾಂಪಸ್
can	ಮಾಡಬಹುದು
can opener	ಓಪನ್ ಮಾಡಬಹುದು
canal	ಕಾಲುವೆ
canary	ಕ್ಯಾನರಿ
cancel	ರದ್ದುಮಾಡಿ
canceling	ರದ್ದುಪಡಿಸಲಾಗುತ್ತಿದೆ
cancellation	ರದ್ದತಿ
cancer	ಕ್ಯಾನ್ಸರ್
candid	ಸೀದಾ
candidacy	ಉಮೇದುವಾರಿಕೆ
candidate	ಅಭ್ಯರ್ಥಿ
candied	ಸಕ್ಕರೆ
candle	ಮೋಂಬತ್ತಿ
candlelight	ಕ್ಯಾಂಡಲ್ಲೈಟ್
candles	ಮೇಣದ ಬತ್ತಿಗಳು
candlestick	ಕ್ಯಾಂಡಲ್ಸ್ಟಿಕ್
candor	ಮೋಸಗಾರ
candy	ಕ್ಯಾಂಡಿ
cane	ಕಬ್ಬಿನ
canine	ಕೋರೆಹಲ್ಲು
canister	ಬಾಣಲೆ
canker	ಕಂಕರ್
cannabis	ಗಾಂಜಾ
canned	ಪೂರ್ವಸಿದ್ಧ
cannibal	ನರಭಕ್ಷಕ
cannibalism	ನರಭಕ್ಷಕತೆ
canning	ಕ್ಯಾನಿಂಗ್
cannon	ಫಿರಂಗಿ
cannonball	ಕ್ಯಾನನ್ಬಾಲ್
canoe	ಕಾನೋ
canon	ಕ್ಯಾನನ್
canonical	ಅಂಗೀಕೃತ
canons	ನಿಯಮಗಳು
canopy	ಮೇಲಾವರಣ
cantaloupe	ಕ್ಯಾಂಟಲೌಪ್
cantbreathe	NO TRANSLATION
canteen	ಕ್ಯಾಂಟೀನ್
canterbury	ಕ್ಯಾಂಟರ್ಬರಿ
canthandleit	NO TRANSLATION
cantilever	ಕ್ಯಾಂಟಿಲಿವರ್
cantina	ಕಂಟಿನಾ
canto	NO TRANSLATION
canton	ಕ್ಯಾಟನ್
cantstandit	NO TRANSLATION
cantwin	ಕ್ಯಾಂಟ್ವಿನ್
canvas	ಕ್ಯಾನ್ವಾಸ್
canvass	NO TRANSLATION
canyon	ಕಣಿವೆಯ
cap	ಕ್ಯಾಪ್
capability	ಸಾಮರ್ಥ್ಯ
capable	ಸಾಮರ್ಥ್ಯ
capacity	ಸಾಮರ್ಥ್ಯ
cape	ಕೇಪ್
caper	ಕೇಪರ್
capillary	ಕ್ಯಾಪಿಲ್ಲರಿ
capital	ಬಂಡವಾಳ
capitalism	ಬಂಡವಾಳಶಾಹಿ
capitalist	ಬಂಡವಾಳಶಾಹಿ
capitalize	ಬಂಡವಾಳ
capitals	ರಾಜಧಾನಿಗಳು
capitation	ತಿದ್ದುವಿಕೆ
capitol	ಕ್ಯಾಪಿಟೋಲ್
capitulation	ಶರಣಾಗತಿ
cappuccino	ಕ್ಯಾಪುಸಿನೊ
caprice	ಕ್ಯಾಪ್ರಿಸ್
capricious	ವಿಚಿತ್ರವಾದ
caps	ಕ್ಯಾಪ್ಸ್
capslock	ಕ್ಯಾಪ್ಸ್ಕ್ಲಾಕ್
capsule	ಕ್ಯಾಪ್ಸುಲ್
captain	ನಾಯಕ
caption	ಶೀರ್ಷಿಕೆ
captivate	ಕ್ಯಾಪ್ಟಿವೇಟ್
captivating	ಸೆರೆಯಾಳುವುದು
captive	ಬಂಧಿತ
captivity	ಸೆರೆಯಲ್ಲಿ
captor	ಬಂಧಕ
capture	ಸೆರೆಹಿಡಿಯುವುದು
car	ಕಾರು
caramel	ಕ್ಯಾರಮೆಲ್
carat	ಕ್ಯಾರೆಟ್
caravan	ಕಾರವಾನ್
carbon	ಕಾರ್ಬನ್
carburetor	ಕಾರ್ಬ್ಯುರೇಟರ್
carcass	ಮೃತ ದೇಹ
carcinoma	ಕಾರ್ಸಿನೋಮ
card	ಕಾರ್ಡ್
cardboard	ಕಾರ್ಡ್ಬೋರ್ಡ್
cardiac	ಹೃದಯಾಘಾತ
cardigan	ಕಾರ್ಡಿಜನ್
cardinal	ಕಾರ್ಡಿನಲ್
cardiologist	ಕಾರ್ಡಿಯಾಲಜಿಸ್ಟ್
cardiology	ಹೃದಯವಿಜ್ಞಾನ
cardiomyopathy	ಕಾರ್ಡಿಯೊಮಿಯೊಪತಿ
cards	ಕಾರ್ಡ್ಗಳು
care	ಆರೈಕೆ
career	ವೃತ್ತಿಜೀವನ
carefree	ನಿರಾತಂಕದ
careful	ಎಚ್ಚರಿಕೆಯಿಂದ
carefully	ಎಚ್ಚರಿಕೆಯಿಂದ
careless	ಅಸಡ್ಡೆ
carelessness	ಅಸಡ್ಡೆ
caress	ಮುದ್ದು
caret	ಕೇರ್ಟ್
caretaker	ಉಸ್ತುವಾರಿ
cargo	ಸರಕು
caribou	ಕಾರಿಬೌ
caricature	ವ್ಯಂಗ್ಯಚಿತ್ರ
caries	ಕಿರೀಟಗಳು
