Word	su
contemptible	nista
contemptuous	contemptuous
contend	contend
contender	contender
contending	contending
content	eusi
contented	contented
contention	contention
contentious	contentious
contentment	contentment
contents	eusi
contest	kontes
contestant	contestant
context	konteks
contiguous	contiguous
continence	continence
continent	banua
continental	buana
contingency	contingency
contingent	kontingen
continual	sinambung
continually	terus-terusan
continuance	continuance
continuation	saterusna
continue	neruskeun
continued	dituluykeun
continuing	neraskeun
continuity	continuity
continuous	terus-terusan
continuously	Teterusan
continuum	continuum
contour	garis nu ngurilingan wangun
contraband	barang nu dinyusupkeun
contraception	kontrasepsi
contract	kontrak
contracted	kaserang
contractile	contractile
contracting	kaserang
contraction	kontraksi
contractor	kontraktor
contradict	nyangkal
contradiction	proses ngalawan
contradictory	kontradiktif
contraption	contraption
contrary	tibalikna
contrast	kontras
contrasted	contrasted
contravene	contravene
contravention	contravention
contribute	nyumbang
contribution	sumbangan
contributor	pangdeudeul
contrite	contrite
contrition	contrition
contrived	contrived
control	pangawasan
controller	controller
controlling	ngadalikeun
controversial	kontroversial
controversy	pacogregan
contusion	contusion
conundrum	conundrum
convalescent	convalescent
convection	convection
convene	sidang
convenience	waktuna sae
conveniences	conveniences
convenient	alus teuing
convent	convent
convention	rapat
conventional	konvensional
converge	konvergen
convergence	konvergénsi
convergent	convergent
conversant	conversant
conversation	obrolan
conversational	conversational
conversationalist	conversationalist
converse	ngawangkong
conversing	conversing
conversion	konpersi
convert	ngarobah
converted	dirobah
convertible	convertible
convex	gilig
convexity	convexity
convey	nepikeun
conveyance	conveyance
conveyancing	conveyancing
convict	narapidana
conviction	hukum
convince	ngayakinkeun
convinced	yakin
convincing	nu ngayakinkeun
convocation	convocation
convoluted	convoluted
convolution	konvolusi
convoy	konvoi
coo	COO
cook	masak
cookbook	Citakan: Reflist
cooker	cooker
cookery	cookery
cookie	cookie
cookies	cookies
cooking	masak
cookout	cookout
cool	tiis
coolant	coolant
cooler	cooler
cooling	cooling
coolness	coolness
coon	coon
coop	coop
cooperate	ngagawe bebarengan
cooperating	cooperating
cooperation	gawé babarengan
cooperative	ngagawe bebarengan
coordinate	ngoordinasikeun
coordination	koordinasi
coordinator	koordinator
cop	cop
copacetic	NO TRANSLATION
cope	Cope
copier	copier
copilot	copilot
coping	coping
copious	copious
copper	tambaga
copter	copter
copy	nyalin
copycat	copycat
copying	Niron
copyright	hak cipta
coral	batu karang
coral snake	oray karang
cord	kawat
cordial	cordial
cordless	tanpa kabel
cordon	cordon
corduroy	corduroy
core	inti
cork	cocok
corkscrew	alat keur ngalaan cocok botol
corn	jagong
cornball	cornball
cornbread	cornbread
cornea	cornea
corned	corned
corner	juru
cornerstone	cornerstone
cornet	cornet
cornfield	cornfield
cornflakes	NO TRANSLATION
cornice	cornice
cornstarch	aci jagong
corny	corny
corollary	corollary
corona	Corona
coronary	koronér
coronation	upacara ngistrenan raja
coroner	coroner
corporal	kopral
corporate	perusahaan
corporation	koperasi
corporeal	corporeal
corps	Korps
corpse	mayit
corpsman	corpsman
corpus	korpus
corral	corral
correct	bener
correction	hal nu dimenerkeun
correctional	lapas
corrective	corrective
correctness	correctness
correlation	korelasi
correlative	correlative
correspond	susuratan
correspondence	susuratan
correspondent	nu susuratan
corresponding	sapagodos
corridor	koridor
corroborate	corroborate
corroboration	corroboration
corrosion	korosi
corrosive	corrosive
corrupt	nyelewengkeun
corrupting	corrupting
corruption	korupsi
corsage	corsage
corse	NO TRANSLATION
corset	korsét
cortex	cortex
cortical	cortical
cortisone	cortisone
corvette	corvette
cosmetic	kosmetik
cosmetics	kosmétik
cosmic	kosmis
cosmology	kosmologi
cosmopolitan	kosmopolitan
cosmos	kosmos
cost	harga
costly	awis
costume	pakean husus sasaurang biasana keur pintonan
cosy	cozy
cot	cot
cote	Basisir
cottage	pondok
cotton	kapas
couch	dipan
cougar	cougar
cough	batuk
council	dewan
councilman	councilman
counsel	pituah
counseling	sangakan
counsellor	panasehat
counselor	panasehat
count	ngitung
countdown	mundur
countenance	countenance
counter	meja pamantes
counteract	counteract
counterattack	counterattack
counterbalance	counterbalance
counterclaim	counterclaim
counterfeit	palsu
counterpart	tara
counterpoint	counterpoint
countess	Countess
countless	henteu bisa kaitung
country	nagara
countryman	countryman
countrymusic	NO TRANSLATION
countryside	padesaan
counts	diitung
county	county
coup	kup
coupe	coupe
couple	pasangan
coupled	gandeng
coupling	gandeng
coupon	Kupon
courage	kawani
courageous	wani
courier	kurir
courses	kursus
coursing	coursing
court	pangadilan
courteous	sopan
courtesy	kahadean
courthouse	gedong pangadilan
courtroom	rohang pangadilan
courts	pangadilan
courtship	pacaran
courtside	courtside
courtyard	pakarangan
cousin	dulur misan
cousins	cousins
cove	Bucht
coven	coven
covenant	covenant
cover	tutup
coverage	sinyalna
covered	katutup
covering	ngawengku
covert	covert
covet	covet
coveted	coveted
cow	sapi
coward	sieunan
cowardice	cowardice
cowardly	cowardly
cowboy	Cowboy
cowgirl	cowgirl
cowhand	cowhand
cowhide	cowhide
cowl	cowl
coworker	coworker
coy	coy
coyote	ajag
cozy	cozy
crab	keuyeup
crabby	crabby
crack	rengat
cracked	retak
cracker	cracker
crackerjack	crackerjack
cracking	cracking
crackle	crackle
crackpot	crackpot
cradle	ayunan
craft	karajinan
crafts	karajinan
craftsman	tukang nyieun
craftsmanship	craftsmanship
crafty	parigel
craig	Craig
cram	cram
crammed	crammed
cramp	kejang
cramped	cramped
cranberry	buah cranberry
cranberry juice	jus cranberry
crane	bango
cranial	kranial
cranium	cranium
crank	engkol
cranky	ngambek
cranny	cranny
crap	crap
crappy	crappy
craps	craps
crash	tabrakan
crass	crass
crate	crate
crater	kawah
crave	ngabutuhkeun pisan
craving	craving
crawfish	crawfish
crawl	ngorondang
crayon	crayon
crayons	crayons
craze	craze
crazed	crazed
craziness	craziness
crazy	gelo
creak	creak
creaking	creaking
cream	krim
creamed	creamed
creamer	creamer
creamy	creamy
crease	crease
create	nyiptakeun
creation	ciptaan
creative	kereatip
creativity	kreativitas
creator	panyipta
creature	makhluk
credence	credence
credential	credential
credentials	surat kapercayaan keur utusan
credibility	kapercayaan
credible	kredibel
credit	kiridit
credit card	kartu kiridit
creditable	creditable
credited	credited
crediting	crediting
creditor	creditor
creed	sahadat
creek	Creek
creep	ngabdi
creeper	creeper
creeping	creeping
creepy	creepy
cremation	meuluemkeun mayit
creole	creole
crepe	crepe
crescendo	crescendo
crescent	arit
crest	crest
crestfallen	crestfallen
cretin	cretin
cretins	cretins
crevice	crevice
crew	pagawe
crewman	crewman
crib	ranjang orok
cricket	jangkrik
cried	ngajerit
crime	kajahatan
criminal	perkara kajahatan
criminality	criminality
crimp	crimp
crimson	layung
cringe	cringe
cripple	jelema nu pinceg
crippled	kamer
crippling	crippling
crisis	ngabahayakeun
crisp	garing
crispy	Crispy
criterion	kriteria
critic	kritikus
critical	genting
criticise	nyempad
criticism	hinaan
criticize	nyempad
criticized	dikritik
critique	critique
critter	critter
croak	croak
croc	croc
crock	crock
crockery	crockery
crocodile	buaya
croft	croft
croissant	croissant
crook	crook
crooked	bengkung
crop	panen
croquet	croquet
cross	salib
cross country	meuntas alam
crossbow	crossbow
crossed	meuntas
crossfire	crossfire
crossing	pameutasan
crossover	kawin silang
crosswalk	crosswalk
crossword	crossword
crotch	crotch
crouch	tungkul
crouched	crouched
crouching	crouching
croupier	croupier
crow	gagak
crowbar	linggis
crowd	riungan
crowded	rame
crowds	panongton
crown	makuta
crowning	crowning
crucial	krusial
cruciate	cruciate
crucifix	crucifix
crucifixion	Crucifixion
crucify	crucify
crud	crud
crude	atah
cruel	jahat
cruelly	cruelly
cruelty	cruelty
cruise	balayar
cruise ship	kapal pesiar
cruiser	kapal keur pelesir
cruising	cruising
crumb	remeh-remeh
crumble	crumble
crumbling	crumbling
crummy	crummy
crunch	crunch
crunchy	crunchy
crusade	perang salib
crusader	crusader
crush	naksir
crushed	ditumbuk
crusher	crusher
crushing	crushing
crust	kulit
crusty	crusty
crutch	alat keur nunjang
crux	crux
cry	ceurik
crybaby	crybaby
crying	nangis
crypt	crypt
cryptic	cryptic
cryptography	kriptografi
crystal	kiristal
crystalline	kristalin
crystallization	kristalisasi
cub	cub
cubby	cubby
cube	kubus
cubic	kubik
cubicle	cubicle
cuckold	cuckold
cuckoo	cuckoo
cucumber	bonténg
cuddle	cuddle
cuddled	cuddled
cuddles	cuddles
cuddling	cuddling
cue	cue
cuff	cuff
cuisine	asakan
culinary	kuliner
cull	cull
culminate	culminate
culmination	culmination
culpability	culpability
culpable	culpable
culprit	penjahat
cult	kultus
cultivate	ngokolakeun
cultivated	dibudidaya
cultivation	budidaya
cultural	kabudayaan
culture	kabudayaan
cultured	berbudaya
culvert	culvert
cumbersome	bagong
cumulus	cumulus
cunning	licik
cunt	cunt
cup	cangkir
cupboard	lomari
cupcake	cupcake
cupping	Bekam
cur	kiw
curable	curable
curate	milah
curative	kuratif
curator	curator
curb	curb
curd	curd
cure	jadi cageur
curfew	curfew
curiosity	kahayangweruhan
curious	hayang weruh
curl	curl
curling	curling
currency	duit nu dipake di sahiji nagara
current	ayeuna
curriculum	kurikulum
curry	kari
curse	kutukan
cursed	dilaknat
cursing	cursing
cursory	cursory
curt	Curt
curtail	curtail
curtailment	curtailment
curtain	hordeng
curtains	curtains
curtsy	curtsy
curvature	curvature
curve	pengkolan
curved	melengkung
curvilinear	curvilinear
cushion	bantal
cushy	cushy
cusp	cusp
cuss	cuss
cussed	cussed
custard	custard
custodial	custodial
custodian	custodian
custody	panjagaan
custom	adat
customary	biasa
customer	langganan
customized	ngaropéa
cut	motong
cutaneous	cutaneous
cute	lucu
cuticle	cuticle
cutie	cutie
cutlass	cutlass
cutlery	cutlery
cutoff	dipotong
cutter	cutter
cutters	cutters
cutthroat	cutthroat
cutting	motong
cutting board	papan motong
cuttings	cuttings
cwt	cwt
cyanide	sianida
cyberspace	alam maya
cycle	siklus
cyclical	cyclical
cyclist	cyclist
cyclone	Siklon
cylinder	silinder
cylindrical	cylindrical
cymbal	cymbal
cynic	cynic
cynical	sinis
cynicism	sinisme
cyst	kista
cystic	hampru
cytomegalovirus	cytomegalovirus
cytoplasm	sitoplasma
czar	czar
dab	dab
dabble	dabble
dabbling	dabbling
dad	bapa
daddy	Daddy
dado	NO TRANSLATION
daemon	daemon
daft	daft
dagger	balati
daily	sapopoe
dainty	dainty
daiquiri	daiquiri
dairy	pausahaan susu
daisy	Daisy
dak	NO TRANSLATION
dale	Dale
dam	dam
damage	karuksakan
damaged	ruksak
damages	Karuksakan
dame	Dame
damn	Bangsat
damnation	damnation
damned	damned
damp	beueus
dampened	dampened
damper	damper
damsel	damsel
dance	tari
dancer	nu ngibing
dancing	menari
dandruff	dandruff
dandy	dandy
danger	Bahaya
dangerous	picilakaeun
dangerously	pibahyaeun
dangit	NO TRANSLATION
dangle	dangle
dank	NO TRANSLATION
dapper	dapper
dare	wani
daredevil	daredevil
daresay	daresay
daring	daring
dark	poek
darken	moekan
darkened	darkened
darkly	darkly
darkness	kapoekan
darkroom	darkroom
darkside	sisi poek
darling	Darling
darn	darn
dart	DART
dash	dash
dashboard	dasbor
dashed	dashed
dashing	dashing
dastardly	dastardly
data	data
database	database
date	kaping
datenight	NO TRANSLATION
daughter	puteri
dawdle	dawdle
dawn	pajar
dawned	dawned
day	dinten
daybreak	daybreak
daycare	daycare
daydream	daydream
daydreaming	daydreaming
daylight	terangan
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	daytime
daze	nyi
dazed	dazed
dazzle	dazzle
dazzling	dazzling
deacon	Deacon
deactivate	nganonaktipkeun
dead	maot
deadbeat	deadbeat
deadline	bates waktos
deadlines	deadlines
deadlock	deadlock
deadly	ampuh
deaf	bireu
deafening	deafening
deafness	deafness
deal	perjangjian
dealer	dealer
dealership	dealership
dealing	kaayaan
dealings	transaksi
dean	dekan
dear	dear
dearest	dearest
dearth	dearth
death	tilar dunya
deathbed	deathbed
deathly	deathly
debacle	debacle
debased	debased
debatable	debatable
debate	debat
debauchery	debauchery
debenture	debenture
debilitating	debilitating
debit	debit
debrief	debrief
debriefing	tanya jawab
debris	ruruntuhan
debt	hutang
debtor	debtor
debut	perdana
debutante	debutante
decade	sapuluh taunan
decadence	decadence
decadent	decadent
decaf	decaf
decanter	decanter
decathlon	decathlon
decay	buruk
decayed	decayed
decaying	buruk
deceased	jenatna
decedent	decedent
deceit	tipuan
deceitful	anu bohong
deceive	nipu
deceived	deceived
deceiving	deceiving
december	Desember
decency	kasopanan
decent	sopan
deception	tipu
deceptive	nu nipu
decide	mutuskeun
decidedly	decidedly
deciduous	deciduous
decimal	decimal
decimeter	decimeter
decipher	decipher
decision	kaputusan
decisive	decisive
deck	geladak
declaration	bewara nu singget
declaratory	declaratory
declare	ngabewarakeun
declination	declination
decline	kamunduran
declining	nyirorot
deco	deco
decode	maca tatanda
decoder	decoder
decompose	terurai
decomposed	decomposed
decomposition	dékomposisi
decompress	decompress
decompression	decompression
decontamination	decontamination
decor	decor
decorate	ngahias
decorating	decorating
decoration	hiasan
decorative	hiasan
decorator	decorator
decorum	sopan santun
decoy	decoy
decrease	ngurangan
decreased	Turunna
decreasing	nurunna
decree	SK
decrement	decrement
decrepit	decrepit
decry	decry
decryption	nyah
dedicate	ngahaturanan
dedication	kumawula
deduce	deduce
deduct	ngurangan
deductible	deductible
deduction	teukteukan
deed	akte
deejay	deejay
deem	deem
deep	jero
deepen	deepen
deer	mencek
defamation	defamation
defamatory	fitnah
default	standar
defeat	eleh
defeated	dielehkeun
defeatist	defeatist
defect	karuksakan
defection	defection
defective	cacad
defector	defector
defend	nahankeun
defendant	jelema nu didakwa
defended	salamet
defender	bek
defending	defending
defense	nahanan
defenseless	defenseless
defensible	defensible
defensive	tahan
defer	nunda
deference	pabedaan
deferral	deferral
deferring	deferring
defiance	nyangkatan
defiant	defiant
defibrillator	defibrillator
deficiency	kakurangan
deficient	kakurangan
deficit	kakurangan tina nu enggeus ditangtukeun
define	mere batesan
defined	didefinisikeun
definite	pasti
definition	panjelasan
definitive	definitif
deflate	deflate
deflation	deflation
deflect	deflect
deflection	deflection
defloration	defloration
deform	deform
deformed	cacad
deformity	deformity
defraud	ngagasab duit lain hakna
defray	defray
defrost	defrost
deft	deft
defunct	defunct
defuse	defuse
defy	defy
degeneracy	degeneracy
degenerate	degenerate
degeneration	degeneration
degradation	degradasi
degrade	nguraikeun
degraded	didegradasi
degrading	ngahinakeun
degree	darajat
dehydrated	dehydrated
dehydration	dehidrasi
dejected	dejected
delay	nunda
delayed	nyangsang
delectable	delectable
delegate	utusan
delegation	utusan
delete	mupus
deleterious	deleterious
deletion	ngahapus
deli	Deli
deliberate	ngahaja
deliberation	musyawarah
deliberative	deliberative
delicacy	ngeunah
delicate	hipu
delicatessen	warung
delicious	raos
delight	delight
delighted	Atoh pisan
delightful	pikaresepeun pisan
delineate	delineate
delineation	delineation
delinquency	delinquency
delinquent	delinquent
delirious	delirious
delirium	delirium
deliver	ngirim
deliverance	deliverance
delivery	pangiriman
dell	Dell
delta	delta
delude	delude
deluge	Koruptor
delusion	delusion
delusional	delusional
deluxe	DELUXE
delve	delve
demand	pamenta
demanding	loba pamentaanana
demeaned	demeaned
demeaning	demeaning
demeanor	demeanor
demented	demented
dementia	pikun
demise	demise
demo	demo
democracy	demokrasi
democrat	demokrat
democratic	demokratis
demographic	demografi
demolish	demolish
demolished	dibongkar
demolition	demolition
demon	setan
demonic	demonic
demonstrable	demonstrable
demonstrate	demonstrasian
demonstrated	nunjukkeun
demonstrating	demonstrating
demonstration	demonstrasi
demonstrative	demonstrative
demonstrator	demonstrator
demoralized	demoralized
demos	demo
demure	demure
den	NO TRANSLATION
deniability	deniability
denial	panolakan
denied	nampik
denim	denim
denomination	denomination
denominational	denominational
denominator	pangbagi
denote	denote
denounce	nyawad
dense	kandel
density	dénsitas
dent	penyok
dental	dental
dentist	dokter huntu
dentistry	kedokteran gigi
dentists	dokter gigi
denunciation	denunciation
deny	nyangkal
denying	denying
deodorant	deodorant
depart	mangkat
departed	undur
department	departemen
departmental	departmental
departure	kamangkatan
depend	ngagantung
dependable	bisa diandelkeun
dependant	kagantung
dependence	deudeuieun
dependency	kagumantungan
dependent	kagantung
depict	kondisi
depicting	ngagambarkeun
depletion	depletion
deplorable	deplorable
deplore	deplore
deploy	nyebarkeun
deployment	deployment
deport	nundung
deportation	carana nundung
depose	depose
deposit	neundeun duit
depositary	nyimpen
deposition	déposisi
depository	depository
depot	depot
depraved	depraved
depravity	depravity
depreciate	depreciate
depreciated	depreciated
depreciation	depreciation
depress	depress
depressed	depresi
depressing	neken
depression	rarasaan kateken
depressive	depressive
depresson	NO TRANSLATION
deprivation	deprivation
deprive	nyabut
deprived	dicabut
depth	jerona
deputy	timbalan
derail	derail
deranged	deranged
derelict	derelict
derision	derision
derivation	derivasi
derivative	turunan
derive	nurunkeun
dermal	dermal
dermatologist	dermatologist
dermatology	dermatology
derogation	derogation
derogatory	derogatory
descend	turun
descendant	katurunan
descendent	NO TRANSLATION
descending	nurun
descent	turunan
describe	ngagambarkeun
description	gambaran
descriptive	deskriptif
desecrate	desecrate
desecration	desecration
desert	ninggalkeun
deserted	deserted
deserter	deserter
desertion	pindah ka pihak musuh
deserve	boga hak
deserved	deserved
deserving	deserving
design	rarancang
designate	nunjuk
designated	ditunjuk
designation	designation
designed	dirancang
designer	jelema nu nyieun rarancang
designing	ngarancang
desirability	desirability
desirable	desirable
desire	kahayang
desiring	desiring
desirous	desirous
desist	desist
desk	meja
desolate	kapencil
desolation	desolation
despair	putus harepan
despairing	despairing
despatch	despatch
desperado	desperado
desperate	putus harepan
desperation	desperation
despicable	hina
despise	nganggap hina
despondent	despondent
despotic	despotic
despotism	despotism
dessert	kadaharan panungtup
destination	tujuan
destined	Linggarjati
destiny	takdir
destitute	malarat
destroy	ngahancurkeun
destroyed	ancur
destroyer	kapal keur ngahancurkeun musuh
destroying	ngaruksak
destruct	destruct
destruction	karuksakan
destructive	destructive
detach	nyoekkeun
detached	detached
detachment	detachment
detail	kawincikan nepi ka bubuk leutikna
detailed	wincik
details	rinci
detain	nahan
detainee	detainee
detect	manggihan
detectable	bisa didéteksi
detection	detéksi
detective	detektip
detector	detektor
detention	panahanan
deter	ngahalangan
detergent	deterjen
deteriorate	deteriorate
deteriorated	mudun
deteriorating	deteriorating
deterioration	deterioration
determinable	determinable
determinate	determinate
determination	kateguhan
determine	nangtukeun
determined	ditangtukeun
deterrent	tangkal
detest	detest
detestation	detestation
detonate	ngabitukeun
detonation	detonation
detonator	detonator
detour	jalan muter
detract	detract
detriment	detriment
detrimental	detrimental
detritus	detritus
deuce	deuce
deutschmark	deutschmark
devalued	devalued
devastate	ngahancurkeun
devastated	devastated
devastating	dahsyat
devastation	devastation
develop	ngawangun
developer	pamekar
developing	ngamekarkeun
development	pangwangunan
deviant	deviant
deviate	nyimpang
deviating	deviating
deviation	nyimpang
device	pakakas
devil	setan
deviled	deviled
devilish	devilish
devious	devious
devise	ngamanahan
devoid	devoid
devolution	devolution
devolve	devolve
devote	muja sapenuh ati
devoted	devoted
devotee	devotee
devotion	muja sapenuh ati
devotional	devotional
devour	devour
devout	taat
dew	ibun
dexter	Dexter
dexterity	dexterity
dextrose	dékstrosa
diabetes	diabetes
diabetic	diabetik
diabolical	diabolical
diagnose	nangtukeun jenis panyakitna
diagnosis	carana nangtukeun rupa panyakitna
diagnostic	diagnostik
diagnostics	diagnostics
diagonal	diagonal
diagram	diagram
dial	piringan
dialect	basa nu dihiji tempat
dialectic	jembar
dialogue	dialog
dialysis	dialysis
diameter	diameter
diamond	inten
diamonds	intan
diaper	popok
diaphragm	diafragma
diarrhea	mencret
diarrhoea	mencret
diary	buku catetan tiap poe
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	dadu
dicey	dicey
dichotomous	dichotomous
dichotomy	dikotomi
dick	kontol
dickhead	dickhead
dicks	dicks
dictate	ngadikte
dictation	dikte
dictator	diktator
dictatorial	dictatorial
dictatorship	diktator
diction	diksi
dictionary	kamus
dictum	NO TRANSLATION
didactic	didactic
diddle	diddle
die	NO TRANSLATION
died	maot
diesel	solar
diet	diit
dietary	dietary
differ	bénten
difference	bédana
differences	Bedana
different	béda
differential	diferensial
differentiation	diferensiasi
differently	béda
differing	béda
difficult	hese
difficulties	kasusah
difficulty	kasulitan
diffuse	diffuse
diffusion	difusi
dig	NO TRANSLATION
digest	ngancurkeun
digestion	ngancuran
digestive	pencernaan
digit	angka
digital	digital
dignified	dignified
dignify	dignify
dignity	martabat
digress	digress
digs	NO TRANSLATION
dike	NO TRANSLATION
dilapidated	dilapidated
dilatation	dilatation
dilation	ngaleuleuskeun
dildo	kabayang
dilemma	dilema
diligence	karajinan
diligent	rajin
dill	Dill
diluent	diluent
dilute	ngencerkeun
diluted	diluted
dilution	éncér
dim	taram
dime	récéh
dimension	ukuran
dimensional	diménsi
diminish	ngeureunan
diminished	sabagean gede
diminution	diminution
diminutive	diminutive
dimwit	dimwit
din	NO TRANSLATION
dine	dahar peuting
diner	diner
dinghy	kolek
dingo	dingo
dingy	dingy
dining	dining
dinky	dinky
dinner	dahar peuting
dinnertime	dinnertime
dinosaur	dinosaurus
dint	dint
diocesan	diocesan
diocese	diocese
diorama	diorama
dioxide	dioksida
dip	turun
diploma	diploma
diplomacy	diplomasi
diplomat	diplomat
diplomatic	diplomatik
dipper	dipper
dippy	dippy
dipstick	dipstick
dire	NO TRANSLATION
direct	langsung
directed	diarahkeun
direction	tuju
directive	diréktif
directly	langsung
director	nu mingpin pausahaan
directory	pitunjuk
dirt	kokotor
dirty	kotor
disability	hal nu henteu mampuh
disable	nganonaktipkeun
disabled	cacad
disadvantage	kaayaan nu ngarugikeun
disaffected	disaffected
disagree	teu satuju
disagreeable	disagreeable
disagreeing	disagreeing
disagreement	kaayaan teu satuju
disallow	disallow
disallowed	disallowed
disapointment	NO TRANSLATION
disappear	ngaleungit
disappearance	kaleungitan
disappearing	ngiles
disappoint	nguciwakeun
disappointed	kuciwa
disappointing	nguciwakeun
disappointment	kuciwaan
disapproval	cawad
disapprove	nyempad
disapproved	disapproved
disapproving	disapproving
disarm	ngarampas pakarang
disarray	disarray
disaster	bencana
disastrous	anu mawa musibah
disband	ngabubarkeun
disbelief	kaayaan teu percaya
disbelieve	kafir
disburse	disburse
disbursement	pencairan
disc	disc
discard	Piceun
discarded	dipiceun
discards	discards
discern	discern
discernible	discernible
discerning	discerning
discernment	discernment
discharge	ngalesotkeun
disciple	murid
disciplinary	disiplin
discipline	disiplin
disciplined	disiplin
disclaim	disclaim
disclaimer	bantahan
disclose	nyingkab
disclosed	diungkabkeun
disclosure	nyingkaban
disco	disko
discoloration	discoloration
discolored	discolored
discomfort	teu ngarareunah
disconcerted	disconcerted
disconcerting	disconcerting
disconnect	mutuskeun
disconnected	dipegatkeun
disconnection	disconnection
disconnects	disconnects
discontent	discontent
discontinuance	discontinuance
discontinue	ngaeureunkeun
discontinuity	discontinuity
discontinuous	discontinuous
discord	discord
discount	potongan harga
discounted	potongan
discourage	ngaleutikeun hate
discouraged	discouraged
discouragement	discouragement
discouraging	ngalemahkeun
discourse	wacana
discover	manggih
discovery	pamanggihan
discredit	discredit
discredited	discredited
discreet	NO TRANSLATION
discrepancy	hal nu henteu sajalan
discrete	diskrit
discretion	kawijaksanaan
discretionary	discretionary
discriminate	ngabentenkeun
discriminating	discriminating
discrimination	pilih kasih
discus	discus
discuss	reriungan
discussion	diskusi
disdain	disdain
disdainful	disdainful
disease	panyakit
diseased	diseased
disembodied	disembodied
disengage	disengage
disengagement	paleupasan
disfigured	disfigured
disgrace	aeb
disgraced	disgraced
disgraceful	ngerakeun
disgruntled	disgruntled
disguise	nyamur
disguised	disguised
disgust	geuleuh
disgusted	disgusted
disgusting	pikageuleuhan
dish	asakan
disheartened	disheartened
disheartening	disheartening
dishonest	teu jujur
dishonesty	dishonesty
dishonor	dishonor
dishonorable	dishonorable
dishwasher	pangwasuh piring
disillusionment	disillusionment
disinclination	disinclination
disincline	disincline
disinclined	disinclined
disinfect	disinfect
disinfectant	disinféktan
disinfection	disinfection
disinformation	disinformation
disingenuous	disingenuous
disintegrate	disintegrate
disintegration	disintegration
disinterested	disinterested
disjoint	disjoint
disjointed	disjointed
disjunctive	disjunctive
disk	cakram
diskette	diskette
dislike	daek
disliked	disliked
disliking	disliking
dislocated	dislocated
dislocation	dislocation
dislodge	dislodge
disloyal	disloyal
disloyalty	disloyalty
dismal	dismal
dismantle	ngabongkar
dismay	dismay
dismayed	dismayed
dismemberment	dismemberment
dismiss	ngabubarkeun
dismissal	bubaran
dismissive	dismissive
dismount	dismount
disobedience	hal nu henteu patuh
disobedient	henteu patuh
disobey	henteu patuh
disorder	gangguan
disordered	disordered
disorderly	disorderly
disorganized	disorganized
disorientation	disorientation
disoriented	disoriented
disown	disown
disparage	disparage
disparaging	disparaging
disparate	disparate
disparity	disparity
dispassionate	dispassionate
dispatch	dispatch
dispatcher	dispatcher
dispel	dispel
dispensary	dispensary
dispensation	dispensasi
dispense	dispense
dispenser	dispenser
dispersal	dispersal
disperse	ngabubarkeun
dispersed	dispersed
dispersion	dispersi
dispirited	dispirited
displace	mindahkeun
displaced	lunta
displacement	kapindahan
displacency	displacency
display	mamerkeun
displease	displease
displeased	displeased
displeasure	displeasure
disposable	disposable
disposal	pembuangan
dispose	dispose
disposed	disposed
disposition	disposition
dispossessed	dispossessed
disprove	ngabantah
dispute	pasea
disqualification	disqualification
disqualified	disqualified
disqualify	disqualify
disquieted	disquieted
disregard	disregard
disregarded	disregarded
disrelish	disrelish
disreputable	disreputable
disrepute	disrepute
disrespect	disrespect
disrespectful	cucungah
disrupt	ngacowkeun
disrupting	disrupting
disruption	kariweuh
disruptive	disruptive
dissatisfaction	dissatisfaction
dissatisfied	teu sugema
dissect	dissect
dissection	dissection
disseminate	nyebarkeun
dissemination	sosialisasi
dissension	dissension
dissent	dissent
dissenting	dissenting
dissertation	disertasi
disservice	disservice
dissident	dissident
dissimilar	dissimilar
dissipate	dissipate
dissipated	dissipated
dissociation	disosiasi
dissociative	dissociative
dissolution	disolusi
dissolve	ngaleyurkeun
dissonance	dissonance
dissuade	dissuade
distal	distal
distance	jarak
distant	tebih
distaste	distaste
distasteful	distasteful
distillate	distillate
distillation	distilasi
distilled	sulingan
distinct	béda
distinction	pabedaan
distinctive	has
distinguish	ngabentenkeun
distinguishable	dibédakeung
distinguished	dibédakeun
distinguishing	distinguishing
distort	distort
distorted	menyimpang
distortion	panyimpangan
distract	ngaganggu
distracted	kacau
distracting	distracting
distraction	gangguan
distraught	distraught
distress	kasulitan
distressed	distressed
distressing	distressing
distribute	ngabagikeun
distribution	sebaran
distributor	distributor
district	wewengkon
distrust	teu percaya
disturb	ngaganggu
disturbance	gangguan
disturbed	kaganggu
disturbing	disturbing
disuse	disuse
disused	disused
ditch	solokan
ditto	ditto
ditty	ditty
diurnal	diurnal
diva	Diva
divan	NO TRANSLATION
dive	teuleum
diver	palika
diverge	diverge
divergence	divergence
divergent	divergent
diverging	diverging
divers	divers
diverse	rupa-rupa
diversified	diversified
diversify	diversify
diversion	hiburan
diversionary	diversionary
diversity	diversity
divert	mindahkeun
diverting	Mindahkeun
divest	divest
divested	divested
divestment	divestment
divide	ngabagikeun
divided	dibagi
dividend	dividend
divination	divination
divine	ketuhanan
divinity	sulpat
divisible	dibeulah
division	pamerean
divisor	divisor
divorce	pipisahan
divorcee	divorcee
divulge	divulge
divvy	divvy
dizziness	pusing
dizzy	lieur
do	ngalakukeun
doable	doable
doc	doc
docile	docile
dock	darmaga
docked	docked
docket	docket
docking	docking
doctor	dokter
doctorate	doktor
doctrinal	doctrinal
