Word	de
conversationalist	Unterhalter
converse	umgekehrt
conversing	unterhalten
conversion	Umwandlung
convert	Konvertieren
converted	umgewandelt
convertible	konvertierbar
convex	konvex
convexity	Konvexität
convey	vermitteln
conveyance	Beförderung
conveyancing	Eigentumsübertragung
convict	überführen
conviction	Überzeugung
convince	überzeugen
convinced	überzeugt
convincing	überzeugend
convocation	Einberufung
convoluted	verschachtelt
convolution	Faltung
convoy	Konvoi
coo	gurren
cook	Koch
cookbook	Kochbuch
cooker	Kocher
cookery	Kochen
cookie	Plätzchen
cookies	Kekse
cooking	Kochen
cookout	Grillparty
cool	cool
coolant	Kühlmittel
cooler	Kühler
cooling	Kühlung
coolness	Kühle
coon	Waschbär
coop	Koop
cooperate	kooperieren
cooperating	kooperierend
cooperation	Zusammenarbeit
cooperative	Kooperative
coordinate	Koordinate
coordination	Koordinierung
coordinator	Koordinator
cop	Polizist
copacetic	NO TRANSLATION
cope	bewältigen
copier	Kopierer
copilot	Kopilot
coping	Bewältigung
copious	reichlich
copper	Kupfer
copter	Hubschrauber
copy	Kopieren
copycat	Nachahmer
copying	Kopieren
copyright	Urheberrechte ©
coral	Koralle
coral snake	Korallenschlange
cord	Kabel
cordial	herzlich
cordless	kabellos
cordon	Kordon
corduroy	Kordsamt
core	Ader
cork	Kork
corkscrew	Korkenzieher
corn	Mais
cornball	Kornball
cornbread	Körnerbrot
cornea	Hornhaut
corned	Corned
corner	Ecke
cornerstone	Grundstein
cornet	Kornett
cornfield	Kornfeld
cornflakes	NO TRANSLATION
cornice	Gesims
cornstarch	Maisstärke
corny	kitschig
corollary	logische Folge
corona	Corona
coronary	koronar
coronation	Krönung
coroner	Gerichtsmediziner
corporal	Korporal
corporate	Unternehmen
corporation	Konzern
corporeal	körperlich
corps	Korps
corpse	Leiche
corpsman	Korpsman
corpus	Korpus
corral	Hürde
correct	richtig
correction	Korrektur
correctional	Korrektur
corrective	korrigierend
correctness	Richtigkeit
correlation	Korrelation
correlative	Korrelat
correspond	entsprechen
correspondence	Korrespondenz
correspondent	Korrespondent
corresponding	dazugehörigen
corridor	Gang
corroborate	bestätigen
corroboration	Bestätigung
corrosion	Korrosion
corrosive	ätzend
corrupt	korrupt
corrupting	korrumpierend
corruption	Korruption
corsage	Korsage
corse	NO TRANSLATION
corset	Korsett
cortex	Kortex
cortical	kortikal
cortisone	Kortison
corvette	Korvette
cosmetic	Kosmetika
cosmetics	Kosmetika
cosmic	kosmisch
cosmology	Kosmologie
cosmopolitan	kosmopolitisch
cosmos	Kosmos
cost	Kosten
costly	teuer
costume	Kostüm
cosy	gemütlich
cot	Kinderbett
cote	Cote
cottage	Hütte
cotton	Baumwolle
couch	Couch
cougar	Puma
cough	Husten
council	Rat
councilman	Stadtrat
counsel	Rat
counseling	Beratung
counsellor	Berater
counselor	Berater
count	Anzahl
countdown	Countdown
countenance	Antlitz
counter	Zähler
counteract	entgegenwirken
counterattack	Gegenangriff
counterbalance	Gegengewicht
counterclaim	Widerklage
counterfeit	fälschen
counterpart	Gegenstück
counterpoint	Kontrapunkt
countess	Gräfin
countless	unzählige
country	Land
countryman	Landsmann
countrymusic	NO TRANSLATION
countryside	Landschaft
counts	zählt
county	Bezirk
coup	Coup
coupe	Coupe
couple	Paar
coupled	gekoppelt
coupling	Kupplung
coupon	Coupon
courage	Mut
courageous	mutig
courier	Kurier
courses	Kurse
coursing	Coursing
court	Gericht
courteous	höflich
courtesy	Höflichkeit
courthouse	Gerichtsgebäude
courtroom	Gerichtssaal
courts	Gerichte
courtship	Balz
courtside	vor Gericht
courtyard	Hof
cousin	Cousin
cousins	Cousins
cove	Bucht
coven	Coven
covenant	Bund
cover	Abdeckung
coverage	Abdeckung
covered	bedeckt
covering	Abdeckung
covert	verdeckt
covet	begehren
coveted	begehrt
cow	Kuh
coward	Feigling
cowardice	Feigheit
cowardly	feige
cowboy	Cowboy
cowgirl	Cowgirl
cowhand	Kuhhirtin
cowhide	Rindleder
cowl	Haube
coworker	Mitarbeiter
coy	schüchtern
coyote	Kojote
cozy	gemütlich
crab	Krabbe
crabby	mürrisch
crack	Riss
cracked	geknackt
cracker	Cracker
crackerjack	Crackerjack
cracking	knacken
crackle	knistern
crackpot	Spinner
cradle	Wiege
craft	Kunst
crafts	Kunsthandwerk
craftsman	Handwerker
craftsmanship	Handwerkskunst
crafty	schlau
craig	Craig
cram	stopfen
crammed	vollgestopft
cramp	Krampf
cramped	eng
cranberry	Cranberry
cranberry juice	Cranberrysaft
crane	Kran
cranial	kranial
cranium	Schädel
crank	Kurbel
cranky	verschroben
cranny	Ritze
crap	Mist
crappy	beschissen
craps	scheißt
crash	Absturz
crass	krass
crate	Kiste
crater	Krater
crave	sehnen
craving	Verlangen
crawfish	Langusten
crawl	kriechen
crayon	Buntstift
crayons	Buntstifte
craze	Begeisterung
crazed	verrückt
craziness	Verrücktheit
crazy	verrückt
creak	knarren
creaking	Knarren
cream	Sahne
creamed	Rahmspinat
creamer	Milchkännchen
creamy	cremig
crease	Falte
create	erstellen
creation	Schaffung
creative	kreativ
creativity	Kreativität
creator	Schöpfer
creature	Kreatur
credence	Glaubwürdigkeit
credential	Anmeldeinformationen
credentials	Referenzen
credibility	Glaubwürdigkeit
credible	glaubwürdig
credit	Kredit
credit card	Kreditkarte
creditable	anerkennbar
credited	gutgeschrieben
crediting	Gutschrift
creditor	Gläubiger
creed	Glaubensbekenntnis
creek	Bach
creep	Schleich
creeper	Schlingpflanze
creeping	schleichend
creepy	gruselig
cremation	Einäscherung
creole	kreolisch
crepe	Krepp
crescendo	Crescendo
crescent	Halbmond
crest	Kamm
crestfallen	niedergeschlagen
cretin	Kretin
cretins	Kretinen
crevice	Spalt
crew	Crew
crewman	Besatzungsmitglied
crib	Krippe
cricket	Kricket
cried	hat geweint
crime	Kriminalität
criminal	kriminell
criminality	Kriminalität
crimp	Crimpen
crimson	karmesinrot
cringe	kriechen
cripple	Krüppel
crippled	verkrüppelt
crippling	lähmend
crisis	Krise
crisp	knackig
crispy	knusprig
criterion	Kriterium
critic	Kritiker
critical	kritisch
criticise	kritisieren
criticism	Kritik
criticize	kritisieren
criticized	kritisiert
critique	Kritik
critter	Lebewesen
croak	Krächzen
croc	Krok
crock	Topf
crockery	Geschirr
crocodile	Krokodil
croft	Kate
croissant	Croissant
crook	Gauner
crooked	krumm
crop	Ernte
croquet	Krocket
cross	Kreuz
cross country	querfeldein
crossbow	Armbrust
crossed	gekreuzt
crossfire	Kreuzfeuer
crossing	Kreuzung
crossover	Übergang
crosswalk	Zebrastreifen
crossword	Kreuzworträtsel
crotch	Schritt
crouch	hocken
crouched	kauerte
crouching	hockend
croupier	Croupier
crow	Krähe
crowbar	Brecheisen
crowd	Menge
crowded	überfüllt
crowds	Menschenmengen
crown	Krone
crowning	Krönung
crucial	entscheidend
cruciate	Kreuzband
crucifix	Kruzifix
crucifixion	Kreuzigung
crucify	kreuzigen
crud	Crud
crude	roh
cruel	grausam
cruelly	grausam
cruelty	Grausamkeit
cruise	Kreuzfahrt
cruise ship	Kreuzfahrtschiff
cruiser	Kreuzer
cruising	Kreuzfahrt
crumb	Krume
crumble	zerbröckeln
crumbling	bröckelt
crummy	mies
crunch	knirschen
crunchy	knackig
crusade	Kreuzzug
crusader	Kreuzritter
crush	zerquetschen
crushed	zerkleinert
crusher	Brecher
crushing	Zerkleinern
crust	Kruste
crusty	knusprig
crutch	Krücke
crux	Kern
cry	Schrei
crybaby	Heulsuse
crying	Weinen
crypt	Krypta
cryptic	kryptisch
cryptography	Kryptographie
crystal	Kristall
crystalline	kristallin
crystallization	Kristallisation
cub	Jungtier
cubby	Kabine
cube	Würfel
cubic	kubisch
cubicle	Kabine
cuckold	Hahnrei
cuckoo	Kuckuck
cucumber	Gurke
cuddle	kuscheln
cuddled	gekuschelt
cuddles	Streicheleinheiten
cuddling	kuscheln
cue	Stichwort
cuff	Manschette
cuisine	Küche
culinary	kulinarisch
cull	cull
culminate	gipfeln
culmination	Höhepunkt
culpability	Schuld
culpable	schuldig
culprit	Täter
cult	Kult
cultivate	pflegen
cultivated	kultiviert
cultivation	Anbau
cultural	kulturell
culture	Kultur
cultured	kultiviert
culvert	Düker
cumbersome	schwerfällig
cumulus	Kumulus
cunning	gerissen
cunt	Fotze
cup	Tasse
cupboard	Schrank
cupcake	Cupcake
cupping	Schröpfen
cur	cur
curable	heilbar
curate	kuratieren
curative	kurativ
curator	Kurator
curb	Randstein
curd	Quark
cure	heilen
curfew	Ausgangssperre
curiosity	Neugierde
curious	neugierig
curl	locken
curling	Eisstockschießen
currency	Währung
current	Strom
curriculum	Lehrplan
curry	Curry
curse	Fluch
cursed	verflucht
cursing	Fluchen
cursory	oberflächlich
curt	kurz
curtail	beschneiden
curtailment	Kürzung
curtain	Vorhang
curtains	Vorhänge
curtsy	Knicks
curvature	Krümmung
curve	Kurve
curved	gebogen
curvilinear	krummlinig
cushion	Kissen
cushy	bequem
cusp	Höcker
cuss	fluchen
cussed	geärgert
custard	Pudding
custodial	Verwahrer
custodian	Verwahrer
custody	Sorgerecht
custom	Brauch
customary	üblich
customer	Kunde
customized	angepasst
cut	Schnitt
cutaneous	Haut-
cute	niedlich
cuticle	Kutikula
cutie	Süße
cutlass	Machete
cutlery	Besteck
cutoff	abgeschnitten
cutter	Cutter
cutters	Schneider
cutthroat	Halsabschneider
cutting	Schneiden
cutting board	Schneidbrett
cuttings	Stecklinge
cwt	cwt
cyanide	Zyanid
cyberspace	Cyberspace
cycle	Zyklus
cyclical	zyklisch
cyclist	Radfahrer
cyclone	Zyklon
cylinder	Zylinder
cylindrical	zylindrisch
cymbal	Becken
cynic	Zyniker
cynical	zynisch
cynicism	Zynismus
cyst	Zyste
cystic	zystisch
cytomegalovirus	Cytomegalovirus
cytoplasm	Zytoplasma
czar	Zar
dab	tupfen
dabble	dabble
dabbling	plantschen
dad	Papa
daddy	Vati
dado	NO TRANSLATION
daemon	Daemon
daft	bekloppt
dagger	Dolch
daily	Täglich
dainty	zierlich
daiquiri	Daiquiri
dairy	Molkerei
daisy	Gänseblümchen
dak	NO TRANSLATION
dale	Tal
dam	Damm
damage	Beschädigung
damaged	beschädigt
damages	Schäden
dame	Dame
damn	Verdammt
damnation	Verdammnis
damned	verdammt
damp	feucht
dampened	gedämpft
damper	Dämpfer
damsel	Maid
dance	tanzen
dancer	Tänzer
dancing	Tanzen
dandruff	Schuppen
dandy	Dandy
danger	Achtung
dangerous	gefährlich
dangerously	gefährlich
dangit	NO TRANSLATION
dangle	baumeln
dank	NO TRANSLATION
dapper	adrett
dare	Wagen
daredevil	Draufgänger
daresay	waghalsig
daring	gewagt
dark	dunkel
darken	verdunkeln
darkened	verdunkelt
darkly	dunkel
darkness	Dunkelheit
darkroom	Dunkelkammer
darkside	dunkle Seite
darling	Liebling
darn	verdammt
dart	Pfeil
dash	Strich
dashboard	Instrumententafel
dashed	gestrichelt
dashing	schneidig
dastardly	heimtückisch
data	Daten
database	Datenbank
date	Datum
datenight	NO TRANSLATION
daughter	Tochter
dawdle	trödeln
dawn	Dämmerung
dawned	dämmerte
day	Tag
daybreak	Tagesanbruch
daycare	Kindertagesstätte
daydream	Tagtraum
daydreaming	Tagträumen
daylight	Tageslicht
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	tagsüber
daze	Benommenheit
dazed	benommen
dazzle	blenden
dazzling	blendend
deacon	Diakon
deactivate	deaktivieren
dead	tot
deadbeat	Deadbeat
deadline	Frist
deadlines	Fristen
deadlock	Sackgasse
deadly	tötlich
deaf	taub
deafening	ohrenbetäubend
deafness	Taubheit
deal	Deal
dealer	Händler
dealership	Händler
dealing	Handel
dealings	Umgang
dean	Dean
dear	sehr geehrter
dearest	Liebste
dearth	Mangel
death	Tod
deathbed	Sterbebett
deathly	tödlich
debacle	Debakel
debased	entwertet
debatable	fraglich
debate	Debatte
debauchery	Ausschweifung
debenture	Schuldverschreibung
debilitating	schwächend
debit	Lastschrift
debrief	Nachbesprechung
debriefing	Nachbesprechung
debris	Trümmer
debt	Schuld
debtor	Schuldner
debut	Debüt
debutante	Debütantin
decade	Dekade
decadence	Dekadenz
decadent	dekadent
decaf	entkoffeiniert
decanter	Karaffe
decathlon	Zehnkampf
decay	zerfallen
decayed	verfallen
decaying	verfallend
deceased	Verstorbene
decedent	Verstorbener
deceit	Betrug
deceitful	betrügerisch
deceive	täuschen
deceived	betrogen
deceiving	täuschend
december	Dezember
decency	Anstand
decent	anständig
deception	Täuschung
deceptive	trügerisch
decide	entscheiden
decidedly	entschieden
deciduous	laubabwerfend
decimal	Dezimal
decimeter	Dezimeter
decipher	entziffern
decision	Entscheidung
decisive	entscheidend
deck	Deck
declaration	Erklärung
declaratory	deklaratorisch
declare	erklären
declination	Deklination
decline	Ablehnen
declining	rückläufig
deco	Deko
decode	dekodieren
decoder	Decoder
decompose	zersetzen
decomposed	zersetzt
decomposition	Zersetzung
decompress	dekomprimieren
decompression	Dekompression
decontamination	Dekontamination
decor	Dekor
decorate	schmücken
decorating	dekorieren
decoration	Dekoration
decorative	dekorativ
decorator	Dekorateur
decorum	Anstand
decoy	Köder
decrease	verringern
decreased	verringert
decreasing	abnehmend
decree	Dekret
decrement	dekrementieren
decrepit	altersschwach
decry	anprangern
decryption	Entschlüsselung
dedicate	widmen
dedication	Widmung
deduce	ableiten
deduct	abziehen
deductible	abzugsfähig
deduction	Abzug
deed	Tat
deejay	Deejay
deem	zu schätzen wissen
deep	tief
deepen	vertiefen
deer	Hirsch
defamation	Diffamierung
defamatory	verleumderisch
default	Standard
defeat	Niederlage
defeated	besiegt
defeatist	Defätist
defect	Defekt
defection	Abfall
defective	defekt
defector	Überläufer
defend	verteidigen
defendant	Beklagte
defended	verteidigt
defender	Verteidiger
defending	verteidigen
defense	Verteidigung
defenseless	wehrlos
defensible	vertretbar
defensive	Defensive
defer	verschieben
deference	Ehrerbietung
deferral	Zurückstellung
deferring	verzögern
defiance	Trotz
defiant	trotzig
defibrillator	Defibrillator
deficiency	Mangel
deficient	mangelhaft
deficit	Defizit
define	definieren
defined	definiert
definite	definitiv
definition	Definition
definitive	definitiv
deflate	Luft ablassen
deflation	Deflation
deflect	ablenken
deflection	Ablenkung
defloration	Defloration
deform	verformen
deformed	deformiert
deformity	Deformität
defraud	betrügen
defray	bestreiten
defrost	auftauen
deft	flink
defunct	verstorben
defuse	entschärfen
defy	trotzen
degeneracy	Entartung
degenerate	degenerieren
degeneration	Degeneration
degradation	Degradierung
degrade	degradieren
degraded	degradiert
degrading	erniedrigend
degree	Grad
dehydrated	dehydriert
dehydration	Dehydrierung
dejected	niedergeschlagen
delay	verzögern
delayed	verspätet
delectable	köstlich
delegate	delegieren
delegation	Delegation
delete	löschen
deleterious	schädlich
deletion	Streichung
deli	Feinkost
deliberate	beraten
deliberation	Überlegung
deliberative	beratend
delicacy	Delikatesse
delicate	zart
delicatessen	Delikatessen
delicious	köstlich
delight	Freude
delighted	Erfreut
delightful	herrlich
delineate	skizzieren
delineation	Abgrenzung
delinquency	Kriminalität
delinquent	Delinquent
delirious	phantasierend
delirium	Delirium
deliver	liefern
deliverance	Befreiung
delivery	Lieferung
dell	Dell
delta	Delta
delude	täuschen
deluge	Sintflut
delusion	Täuschung
delusional	wahnhaft
deluxe	Deluxe
delve	vertiefen
demand	Nachfrage
demanding	Anspruchsvoll
demeaned	erniedrigt
demeaning	erniedrigend
demeanor	Haltung
demented	wahnsinnig
dementia	Demenz
demise	Ableben
demo	Demo
democracy	Demokratie
democrat	Demokrat
democratic	demokratisch
demographic	demographisch
demolish	zerstören
demolished	zerstört
demolition	Abriss
demon	Dämon
demonic	dämonisch
demonstrable	nachweisbar
demonstrate	zeigen
demonstrated	gezeigt
demonstrating	demonstrierend
demonstration	Demonstration
demonstrative	demonstrativ
demonstrator	Demonstrator
demoralized	demoralisiert
demos	Demos
demure	sittsam
den	NO TRANSLATION
deniability	Abstreitbarkeit
denial	Verweigerung
denied	abgelehnt
denim	Denim
denomination	Konfession
denominational	konfessionell
denominator	Nenner
denote	bezeichnen
denounce	anprangern
dense	dicht
density	Dichte
dent	Delle
dental	dental
dentist	Zahnarzt
dentistry	Zahnheilkunde
dentists	Zahnärzte
denunciation	Denunziation
deny	verweigern
denying	zu leugnen
deodorant	Deodorant
depart	abfahren
departed	abgereist
department	Abteilung
departmental	Abteilung
departure	Abfahrt
depend	abhängen
dependable	zuverlässig
dependant	abhängig
dependence	Abhängigkeit
dependency	Abhängigkeit
dependent	abhängig
depict	abbilden
depicting	Darstellen
depletion	Erschöpfung
deplorable	bedauerlich
deplore	bedauern
deploy	bereitstellen
deployment	Einsatz
deport	deportieren
deportation	Abschiebung
depose	absetzen
deposit	Anzahlung
depositary	Verwahrstelle
deposition	Ablage
depository	Verwahrstelle
depot	Depot
depraved	verdorben
depravity	Verderbtheit
depreciate	abwerten
depreciated	abgewertet
depreciation	Abschreibung
depress	niederdrücken
depressed	deprimiert
depressing	deprimierend
depression	Depression
depressive	depressiv
depresson	NO TRANSLATION
deprivation	Entbehrung
deprive	berauben
deprived	beraubt
depth	Tiefe
deputy	Stellvertreter
derail	entgleisen
deranged	geistesgestört
derelict	verfallen
derision	Spott
derivation	Ableitung
derivative	Derivat
derive	ableiten
dermal	dermal
dermatologist	Dermatologe
dermatology	Dermatologie
derogation	Ausnahmeregelung
derogatory	abfällig
descend	absteigen
descendant	Nachkomme
descendent	NO TRANSLATION
descending	absteigend
descent	Abstammung
describe	beschreiben
description	Beschreibung
descriptive	beschreibend
desecrate	entheiligen
desecration	Entweihung
desert	Wüste
deserted	verlassen
deserter	Deserteur
desertion	Desertion
deserve	verdienen
deserved	verdient
deserving	verdient
design	Design
designate	benennen
designated	vorgesehen
designation	Bezeichnung
designed	entworfen
designer	Designer
designing	Entwerfen
desirability	Erwünschtheit
desirable	wünschenswert
desire	Verlangen
desiring	begehrend
desirous	begierig
desist	unterlassen
desk	Schreibtisch
desolate	verwüsten
desolation	Verwüstung
despair	Verzweiflung
despairing	verzweifelt
despatch	Absendung
desperado	Desperado
desperate	verzweifelt
desperation	Verzweiflung
despicable	Verabscheuungswürdig
despise	verachten
despondent	mutlos
despotic	despotisch
despotism	Despotismus
dessert	Dessert
destination	Ziel
destined	bestimmt
destiny	Schicksal
destitute	mittellos
destroy	zerstören
destroyed	zerstört
destroyer	Zerstörer
destroying	zerstören
destruct	zerstören
destruction	Zerstörung
destructive	destruktiv
detach	ablösen
detached	freistehend
detachment	Ablösung
detail	Detail
detailed	detailliert
details	Einzelheiten
detain	verhaften
detainee	Häftling
detect	erkennen
detectable	nachweisbarer
detection	Erkennung
detective	Detektiv
detector	Detektor
detention	Haft
deter	abhalten
detergent	Waschmittel
deteriorate	verschlechtern
deteriorated	verschlechtert
deteriorating	sich verschlechternd
deterioration	Verschlechterung
determinable	bestimmbar
determinate	bestimmt
determination	Entschlossenheit
determine	bestimmen
determined	entschlossen
deterrent	abschreckend
detest	verabscheuen
detestation	Verabscheuung
detonate	detonieren
detonation	Detonation
detonator	Zünder
detour	Umleitung
detract	schmälern
detriment	Nachteil
detrimental	schädlich
detritus	Detritus
deuce	Zwei
deutschmark	D-Mark
devalued	abgewertet
devastate	verwüsten
devastated	am Boden zerstört
devastating	verheerend
devastation	Verwüstung
develop	entwickeln
developer	Entwickler
developing	Entwicklung
development	Entwicklung
deviant	abweichend
deviate	abweichen
deviating	abweichend
deviation	Abweichung
device	Gerät
devil	Teufel
deviled	deviled
devilish	teuflisch
devious	Verschwunden
devise	entwickeln
devoid	leer
devolution	Übertragung
devolve	übertragen
devote	widmen
devoted	hingebungsvoll
devotee	Anhänger
devotion	Hingabe
devotional	hingebungsvoll
devour	verschlingen
devout	fromm
dew	Tau
dexter	Dexter
dexterity	Geschicklichkeit
dextrose	Traubenzucker
diabetes	Diabetes
diabetic	Diabetiker
diabolical	teuflisch
diagnose	diagnostizieren
diagnosis	Diagnose
diagnostic	Diagnose
diagnostics	Diagnose
diagonal	Diagonale
diagram	Diagramm
dial	wählen
dialect	Dialekt
dialectic	Dialektik
dialogue	Dialog
dialysis	Dialyse
diameter	Durchmesser
diamond	Diamant
diamonds	Diamanten
diaper	Windel
diaphragm	Membran
diarrhea	Durchfall
diarrhoea	Durchfall
diary	Tagebuch
diatribe	Schmährede
dib	NO TRANSLATION
dibs	dibs
dice	Würfel
dicey	riskant
dichotomous	dichotom
dichotomy	Dichotomie
dick	Schwanz
dickhead	Dickkopf
dicks	Schwänze
dictate	diktieren
dictation	Diktat
dictator	Diktator
dictatorial	diktatorisch
dictatorship	Diktatur
diction	Diktion
dictionary	Wörterbuch
dictum	NO TRANSLATION
didactic	didaktisch
diddle	diddle
die	NO TRANSLATION
died	ist gestorben
diesel	Diesel-
diet	Diät
dietary	diätetisch
differ	abweichen
difference	Unterschied
differences	Unterschiede
different	anders
differential	Differential
differentiation	Differenzierung
differently	anders
differing	anders
difficult	schwer
difficulties	Schwierigkeiten
difficulty	Schwierigkeit
diffuse	diffus
diffusion	Diffusion
dig	NO TRANSLATION
digest	verdauen
digestion	Verdauung
digestive	Verdauungs-
digit	Ziffer
digital	Digital
dignified	würdevoll
dignify	würdigen
dignity	Würde
digress	abschweifen
digs	NO TRANSLATION
dike	Deich
dilapidated	baufällig
dilatation	Erweiterung
dilation	Erweiterung
dildo	Dildo
dilemma	Dilemma
diligence	Sorgfalt
diligent	fleißig
dill	Dill
diluent	Verdünnungsmittel
dilute	verdünnen
diluted	verdünnt
dilution	Verdünnung
dim	dim
dime	Dime
dimension	Abmessungen
dimensional	dimensional
diminish	verringern
diminished	vermindert
diminution	Verminderung
diminutive	winzig
dimwit	Schwachkopf
din	NO TRANSLATION
dine	speisen
diner	Abendessen
dinghy	Schlauchboot
dingo	Dingo
dingy	schmuddelig
dining	Essen
dinky	Dinky
dinner	Abendessen
dinnertime	Zeit für das Abendessen
dinosaur	Dinosaurier
dint	Dint
diocesan	Diözesan
diocese	Diözese
diorama	Diorama
dioxide	Dioxid
dip	tauchen
diploma	Diplom
diplomacy	Diplomatie
diplomat	Diplomat
diplomatic	diplomatisch
dipper	Schöpflöffel
dippy	dippy
dipstick	Messstab
dire	NO TRANSLATION
direct	Direkte
directed	gerichtet
direction	Richtung
directive	Richtlinie
directly	direkt
director	Direktor
directory	Verzeichnis
dirt	Schmutz
dirty	dreckig
disability	Behinderung
disable	deaktivieren
disabled	behindert
disadvantage	Nachteil
disaffected	unzufrieden
disagree	nicht zustimmen
disagreeable	unangenehm
disagreeing	nicht einverstanden
disagreement	Uneinigkeit
disallow	verbieten
disallowed	nicht erlaubt
disapointment	NO TRANSLATION
disappear	verschwinden
disappearance	Verschwinden
disappearing	verschwinden
disappoint	enttäuschen
disappointed	enttäuscht
disappointing	enttäuschend
disappointment	Enttäuschung
disapproval	Missbilligung
disapprove	missbilligen
disapproved	abgelehnt
disapproving	missbilligend
disarm	entwaffnen
disarray	Unordnung
disaster	Katastrophe
disastrous	katastrophal
disband	auflösen
disbelief	Unglaube
disbelieve	nicht glauben
disburse	auszahlen
disbursement	Auszahlung
disc	Scheibe
discard	verwerfen
discarded	verworfen
discards	verwirft
discern	erkennen
discernible	erkennbar
discerning	erkennen
discernment	Unterscheidung
discharge	entladen
disciple	Schüler
disciplinary	disziplinarisch
discipline	Disziplin
disciplined	diszipliniert
disclaim	ablehnen
disclaimer	Haftungsausschluss
disclose	offenbaren
disclosed	offenbart
disclosure	Offenlegung
disco	Disko
discoloration	Verfärbung
discolored	verfärbt
discomfort	Beschwerden
disconcerted	beunruhigt
disconcerting	beunruhigend
disconnect	trennen
disconnected	getrennt
disconnection	Trennung
disconnects	trennt sich
discontent	Unzufriedenheit
discontinuance	Einstellung
discontinue	abbrechen
discontinuity	Diskontinuität
discontinuous	diskontinuierlich
discord	Zwietracht
discount	Rabatt
discounted	diskontiert
discourage	entmutigen
discouraged	entmutigt
discouragement	Entmutigung
discouraging	entmutigend
discourse	Diskurs
discover	entdecken
discovery	Entdeckung
discredit	diskreditieren
discredited	diskreditiert
discreet	NO TRANSLATION
discrepancy	Diskrepanz
discrete	diskret
discretion	Diskretion
discretionary	Ermessensspielraum
discriminate	diskriminieren
discriminating	diskriminierend
discrimination	Diskriminierung
discus	Diskus
discuss	diskutieren
discussion	Diskussion
disdain	Verachtung
disdainful	verächtlich
disease	Krankheit
diseased	krank
disembodied	körperlos
disengage	lösen
disengagement	Abkopplung
disfigured	entstellt
disgrace	Schande
disgraced	blamiert
disgraceful	schändlich
disgruntled	verärgert
disguise	Verkleidung
disguised	verkleidet
disgust	der Ekel
disgusted	angeekelt
disgusting	widerlich
dish	Gericht
disheartened	entmutigt
disheartening	entmutigend
dishonest	unehrlich
dishonesty	Unehrlichkeit
dishonor	entehren
dishonorable	unehrenhaft
dishwasher	Geschirrspüler
disillusionment	Ernüchterung
disinclination	Abneigung
disincline	abgeneigt machen
disinclined	abgeneigt
disinfect	desinfizieren
disinfectant	Desinfektionsmittel
disinfection	Desinfektion
disinformation	Desinformation
disingenuous	unaufrichtig
disintegrate	zerfallen
disintegration	Zerfall
disinterested	desinteressiert
disjoint	disjunkt
disjointed	unzusammenhängend
disjunctive	disjunktiv
disk	Scheibe
diskette	Diskette
dislike	nicht gefallen
disliked	nicht gefallen
disliking	Abneigung
dislocated	disloziert
dislocation	Luxation
dislodge	entfernen
disloyal	illoyal
disloyalty	Untreue
dismal	trostlos
dismantle	abbauen
dismay	Bestürzung
dismayed	bestürzt
dismemberment	Zerstückelung
dismiss	entlassen
dismissal	Entlassung
dismissive	abweisend
dismount	Abgang
disobedience	Ungehorsam
disobedient	ungehorsam
disobey	ungehorsam
disorder	Störung
disordered	ungeordnet
disorderly	ungeordnet
disorganized	desorganisiert
disorientation	Orientierungslosigkeit
disoriented	desorientiert
disown	verleugnen
disparage	verunglimpfen
disparaging	herabsetzend
disparate	disparat
disparity	Ungleichheit
dispassionate	leidenschaftslos
dispatch	Versand
dispatcher	Dispatcher
dispel	zerstreuen
dispensary	Apotheke
dispensation	Dispensation
dispense	dosieren
dispenser	Spender
dispersal	Zerstreuung
disperse	zerstreuen
dispersed	verstreut
dispersion	Dispersion
dispirited	entmutigt
displace	verdrängen
displaced	versetzt
displacement	Verschiebung
displacency	Verdrängung
display	Anzeige
displease	missfallen
displeased	unzufrieden
displeasure	Unmut
disposable	Einweg
disposal	Verfügung
dispose	entsorgen
disposed	entsorgt
disposition	Anordnung
dispossessed	enteignet
disprove	widerlegen
dispute	Streit
disqualification	Disqualifikation
disqualified	disqualifiziert
disqualify	disqualifizieren
disquieted	beunruhigt
disregard	außer Acht lassen
disregarded	missachtet
disrelish	disorish
disreputable	anrüchig
disrepute	Verruf
disrespect	Respektlosigkeit
disrespectful	respektlos
disrupt	stören
disrupting	störend
disruption	Störung
disruptive	störend
dissatisfaction	Unzufriedenheit
dissatisfied	unzufrieden
dissect	sezieren
dissection	Präparation
disseminate	verbreiten
dissemination	Verbreitung
dissension	Uneinigkeit
dissent	Dissens
dissenting	abweichend
dissertation	Dissertation
disservice	Bärendienst
dissident	Dissident
dissimilar	unähnlich
dissipate	zerstreuen
dissipated	zerstreut
dissociation	Dissoziation
dissociative	dissoziativ
dissolution	Auflösung
dissolve	sich auflösen
dissonance	Dissonanz
dissuade	abbringen
distal	distal
distance	Entfernung
distant	entfernt
distaste	Abneigung
distasteful	geschmacklos
distillate	Destillat
distillation	Destillation
distilled	destilliert
distinct	deutlich
distinction	Unterscheidung
distinctive	unverwechselbar
distinguish	unterscheiden
distinguishable	unterscheidbar
distinguished	unterschieden
distinguishing	unterscheiden
distort	verzerren
distorted	verzerrt
distortion	Verzerrung
distract	ablenken
distracted	abgelenkt
distracting	ablenkend
distraction	Ablenkung
