Word	ha
cocktail	hadaddiyar giya
cocky	cocky
cocoa	koko
coconut	kwakwa
cocoon	Cocoon
cod	cod
code	lambar
codeine	codeine
codex	codex
codfish	codfish
codification	tsarawa
codify	Daidaitawa
coding	coding
coed	coed
coefficient	coefficient
coerce	Coerce
coercion	kisa
coercive	m
coexist	coexist
coexistence	coexistence
coexisting	haɗi tare
coffee	kofi
coffee table	kofi tebur
coffeehouse	kofi
coffeepot	coffeepot
coffin	akwatin gawa
cog	cog
cogent	albashi
cognac	kullin
cognate	binciko
cognition	cognition
cognitive	fahimta
cohabitation	cohabitation
coherence	daidaituwa
coherent	m
cohesion	cohesion
cohesive	cohesive
cohort	ƙungiyar
coil	Coil
coiled	an rufe
coin	tsabar
coinage	coinage
coincide	Daidaita
coincidence	daidaituwa
coincident	daidai
coincidental	daidai ba
coinciding	daidaituwa
coke	coke
cola	cola
cold	sanyi
coldly	sanyi
coldness	sanyi
coldsweat	NO TRANSLATION
coleslaw	kwatsam
colic	colic
coliseum	coliseum
collaborate	haɗin kai
collaboration	haɗin gwiwar
collaborator	abokin aiki
collage	haɓakawa
collagen	collagen
collapse	faduwa
collar	abin wuya
collarbone	collarbone
collate	kulla
collateral	Gida
collation	haɗi
colleague	abokin aiki
collect	tattara
collected	tattara
collection	tarin
collective	gama kai
collectively	tare
collector	mai karɓar
college	koleji
collegiate	collegiate
collide	hadu
collie	collie
collision	karo
collocation	haɗin gwiwar
colloquial	colloquial
collusion	rikici
cologne	Cologne
colon	colon
colonel	colonel
colonial	mulkin mallaka
colonic	colonic
colonoscopy	colonoscopy
colony	colony
colophon	colophon
color	launi
coloration	launi
colored	launi
colorful	m
coloring	canza launin
colorless	marar launi
colors	launuka
colossal	m
colt	colt
columbine	columbine
column	shafi
columnar	columnar
columnist	marubucin
com	NO TRANSLATION
coma	coma
comatose	comatose
comb	tsefe
combat	fama
combatant	makamai
combative	mota
combination	hade
combinatorial	ƙungiya
combine	hada
combined	hade
combo	gamuwa
combustible	combustible
combustion	combustion
come	zo
comeback	dawo
comedian	comedian
comedy	comedy
comet	comet
comfort	ta'aziyya
comfortable	dadi
comforter	ta'aziyya
comforting	ta'aziyya
comfy	comfy
comic	comic
comical	mai ban dariya
comics	wasan kwaikwayo
coming	zuwa
comma	comma
command	umurnin
commandant	kwamandan
commandeer	commander
commander	kwamandan
commanding	umurni
commandment	umarni
commando	commando
commemorate	tunawa
commemoration	bikin tunawa
commemorative	ambaci
commence	fara
commend	yaba
commendable	kyakkyawa
commendation	yabo
commensurate	farawa
comment	sharhi
commentary	sharhin
commentator	sharhi
commerce	kasuwanci
commercial	kasuwanci
commie	commie
commissary	Gwamna
commission	kwamiti
commissioner	kwamishinan
commit	aikata
commitment	sadaukarwa
committal	kwance
committed	aikata
committee	kwamitin
commodity	kayayyaki
commodore	sabunta
common	na kowa
commoner	mafi yawan jama'a
commonly	yawanci
commonplace	sananne
commons	sauti
commonwealth	Commonwealth
commotion	tashin hankali
communal	tarayya
commune	sanarwa
communicable	communicable
communicate	sadarwa
communication	sadarwa
communicative	sadarwa
communicator	sadarwa
communion	tarayya
communism	kwaminisanci
communist	kwaminisanci
community	al'umma
commutation	swutation
commutative	swutative
commute	farawa
commuter	sauyawa
comp	comp
compact	m
compaction	compaction
compactness	karami
companion	abokin
companionless	rashin aiki
companionship	abuta
company	kamfanin
comparable	kwatanta
comparative	kwatanta
comparatively	kwatanta
compare	kwatanta
comparison	kwatanta
compartment	daki
compass	kamfas
compassion	tausayi
compassionate	tausayi
compatibility	karfinsu
compatible	dacewa
compel	tilasta
compelled	tilasta
compelling	tilasta
compendium	compendium
compensate	biya
compensation	ramuwa
compensatory	biya
compete	gasa
competence	iyawa
competency	iyawa
competent	m
competition	gasar
competitive	m
competitor	mai gasa
compilation	tari
compile	tara
complacency	natsuwa
complacent	m
complain	koka
complaint	ƙarar
complement	cika
complementary	karin aiki
complete	cikakke
completed	kammala
completely	gaba daya
completeness	kammalawa
completing	kammala
completion	kammala
complex	hadaddun
complexed	hadaddun
complexion	kama
complexity	damuwa
compliance	yarda
compliant	mai yarda
complicate	ƙaddara
complicated	rikitarwa
complication	rikitarwa
complicity	complicity
compliment	NO TRANSLATION
complimentary	m
comply	bi
complying	yin biyayya
compo	compo
component	bangaren
compose	shirya
composed	hada
composer	mawallafi
composite	composite
composition	abun da ke ciki
compost	takin
composure	kirkira
compound	fili
comprehend	fahimta
comprehension	fahimta
comprehensive	cikakke
compress	damfara
compressed	matsa
compressible	compressible
compression	matsawa
compressor	compressor
comprise	shiga
compromise	sulhu
comptroller	jariri
compulsion	tilas
compulsive	karfi
compulsory	wajibi
computable	mai bincike
computation	lissafi
compute	lissafi
computer	kwamfuta
computerized	kwamfuta
computing	sarrafa kwamfuta
comrade	aboki
con	NO TRANSLATION
concatenation	concatenation
concave	Concave
conceal	boye
concealed	boye
concealment	boye
concede	amince
conceit	zato
conceited	girman kai
conceivable	conceivable
conceive	kirkiro
concentrate	mayar da hankali
concentration	maida hankali
concentric	concentric
concept	ra'ayi
conception	zane
concern	damuwa
concerned	damuwa
concert	concert
concerto	concerto
concession	kaya
concessional	kaya
conch	Conch
concierge	concierge
conciliation	sulhu
concise	raguwa
conclave	conclave
conclude	kammala
concluding	kammalawa
conclusion	ƙarshe
conclusive	ƙaddamarwa
concoction	concoction
concomitant	concomitant
concord	sulhu
concordance	daidaituwa
concours	NO TRANSLATION
concourse	taro
concrete	kankare
concubine	ƙwaraƙwarai
concur	concur
concurrence	kwance
concurrent	sau ɗaya
concurring	yin hadin gwiwa
concussion	rikicewa
condemn	yanke hukunci
condemnation	yanke hukunci
condensation	sandaro
condensed	takaice
condescending	tawali'u
condescension	karfin zuciya
condiment	condiment
condition	yanayin
conditional	yanayin
conditionally	yanayin
conditioned	yanayin
conditioner	kwaminis
conditioning	kwaskwarima
conditions	yanayi
condo	Condo
condolence	ta'aziyya
condolences	ta'aziyya
condom	kwaroron roba
condone	amince
condor	Condor
conducive	dace
conduct	hali
conduction	haɗi
conductivity	hawan kaiwa
conductor	jagorar
conduit	direbobi
cone	mazugi
confederacy	rikitarwa
confederate	ƙidaya
confederation	majalisar
confer	tattauna
conference	taron
confess	furta
confession	furci
confessional	confessional
confessions	furta
confetti	confetti
confidant	mai bayarwa
confide	sanar
confidence	amincewa
confident	m
confidential	sirri
confidentiality	sirri
confidentially	NO TRANSLATION
configuration	sanyi
confine	tsare
confined	tsare
confinement	kwance
confines	yankunan
confirm	tabbatar
confirmation	tabbaci
confirmatory	tabbatarwa
confirmed	tabbatar
confiscate	kwace
confiscation	kwata
conflagration	rikici
conflict	rikici
conflicting	rikicewa
confluence	confluence
conform	yarda
conformance	Daidai
conformation	NO TRANSLATION
conformity	Daidai
confound	rikita
confounded	kunya
confront	fuskantar
confrontation	adawa
confuse	rikice
confused	rikita batun
confusing	rikicewa
confusion	rikicewa
conga	conga
congenial	congenial
congenital	al'ada
congestion	damuwa
conglomerate	conglomerate
conglomeration	conglomeration
congrats	congrats
congratulate	taya murna
congratulation	congratulation
congratulations	taya murna
congratulatory	tausaya
congregate	congregate
congregation	ikilisiya
congress	majalisa
congressional	majalisa
congressman	majalisa
congruence	congruence
conic	conic
conical	conical
conjecture	zato
conjugal	conjugal
conjugate	conjugate
conjugation	gamuwa
conjunction	tare da
conjunctive	conjunctive
conjure	conjure
conjuring	conjuring
conk	Conk
connect	haɗi
connected	haɗa
connection	haɗi
connective	haɗi
connoisseur	connoisseur
conquer	cin nasara
conquering	cin nasara
conqueror	mai nasara
conquest	cin nasara
conscience	lamiri
conscientious	mai hankali
conscious	sani
consciousness	sani
conscription	rajista
consecrated	tsabta
consecration	tsararwa
consecutive	jere
consensual	rikice-rikice
consensus	yarjejeniya
consent	yarda
consenting	yarda
consequence	sakamakon
consequent	sakamakon
conservation	kiyayewa
conservatism	conservatism
conservative	ra'ayin mazan jiya
conservatory	kotu
conserve	kare
consider	la'akari
considerable	babba
considerate	la'akari
consideration	shawara
consignee	wakilin
consignment	wasiƙa
consist	kunshi
consistency	daidaito
consistent	daidai
consolation	consolation
console	na'ura wasan bidiyo
consoled	ta'aziyya
consolidate	ƙarfafa
consolidated	ƙarfafa
consolidation	ƙarfafawa
consonant	mai yarda
consort	ƙungiyar
conspicuous	mai hankali
conspiracy	makirci
conspirator	conspirator
conspire	ƙulla
constable	makami
constancy	juriya
constant	m
constantly	kullum
constellation	ƙungiyoyi
consternation	consternation
constipation	maƙarƙashiya
constituency	mazabar
constituent	ginin
constituents	gine-gine
constitute	ƙunshi
constitution	Tsarin mulki
constitutional	tsarin mulki
constitutionality	tsarin mulki
constrain	qarfafawa
constrained	ƙuntatawa
constraint	ƙuntatawa
construct	gina
construction	gini
constructive	m
construe	makirci
consul	hade
consulate	'yan kasuwa
consult	shawarta
consultant	mai ba da shawara
consultation	shawarwari
consume	cinye
consumer	mabukaci
consuming	cinyewa
consummate	amfana
consummation	cinyewa
consumption	amfani
contact	lamba
contagion	contagion
contagious	m
contain	dauke da
container	akwati
containment	kwance
contaminate	gurbata
contaminated	gurbata
contamination	cutar
contemplate	duba
contemplation	kallo
contemplative	mai hankali
contemporaneous	zamani
contemporary	zamani
contempt	raini
contemptible	abin razana
contemptuous	zalunci
contend	yi hamayya
contender	kwata
contending	yin gwagwarmaya
content	abun ciki
contented	abun ciki
contention	hujja
contentious	rikici
contentment	abun ciki
contents	abubuwan ciki
contest	yi hamayya
contestant	mai hamayya
context	mahallin
contiguous	gurgu
continence	ci gaba
continent	nahiyar
continental	nahiyar
contingency	bala'i
contingent	mawuyacin hali
continual	ci gaba
continually	ci gaba
continuance	ci gaba
continuation	ci gaba
continue	ci gaba
continued	ci gaba
continuing	ci gaba
continuity	ci gaba
continuous	ci gaba
continuously	ci gaba
continuum	ci gaba
contour	kwane-kwane
contraband	rikitarwa
contraception	magunguna
contract	kwangila
contracted	kwangila
contractile	contractile
contracting	kwangila
contraction	sabani
contractor	kwangila
contradict	sabawa
contradiction	sabani
contradictory	sabani
contraption	sabani
contrary	akasin haka
contrast	bambanta
contrasted	bambanta
contravene	ya saba
contravention	rikici
contribute	taimakawa
contribution	taimakon
contributor	mai taimakawa
contrite	lalata
contrition	baƙin ciki
contrived	ƙaddara
control	iko
controller	mai kulawa
controlling	sarrafawa
controversial	rikici
controversy	rikici
contusion	rikicewa
conundrum	conundrum
convalescent	convalescent
convection	convection
convene	taro
convenience	saukakawa
conveniences	dacewa
convenient	dace
convent	dakuna
convention	yarjejeniya
conventional	al'ada
converge	Converge
convergence	haɓaka
convergent	sabobin tuba
conversant	magana
conversation	tattaunawa
conversational	tattaunawa
conversationalist	tattaunawa
converse	magana
conversing	magana
conversion	hira
convert	sabon tuba
converted	tuba
convertible	mai sauyawa
convex	convex
convexity	convexity
convey	kai
conveyance	aikawa
conveyancing	aikawa
convict	mai laifin
conviction	amincewa
convince	shawo
convinced	yarda
convincing	tabbatarwa
convocation	convocation
convoluted	wanda aka yarda
convolution	amincewa
convoy	convoy
coo	Coo
cook	dafa
cookbook	littafin abinci
cooker	cooker
cookery	kayan aiki
cookie	kuki
cookies	cookies
cooking	dafa abinci
cookout	kullun
cool	sanyi
coolant	sanyaya
cooler	mai sanyaya
cooling	sanyaya
coolness	sanyi
coon	coon
coop	CO
cooperate	hadin kai
cooperating	hadin kai
cooperation	hadin kai
cooperative	hadin
coordinate	daidaitawa
coordination	daidaito
coordinator	mai gudanarwa
cop	dan sanda
copacetic	NO TRANSLATION
cope	jimre
copier	copyier
copilot	kwararru
coping	farawa
copious	kwarai
copper	jan ƙarfe
copter	kwafi
copy	kwafi
copycat	copycat
copying	kwafi
copyright	ikon mallaka
coral	murjani
coral snake	maciji na coral
cord	igiya
cordial	m
cordless	mara waya
cordon	cordon
corduroy	corduroy
core	ainihin
cork	abin toshe
corkscrew	kullun
corn	masara
cornball	cornball
cornbread	cornbread
cornea	cornea
corned	corned
corner	kusurwa
cornerstone	dutse
cornet	karara
cornfield	cornfield
cornflakes	NO TRANSLATION
cornice	cornice
cornstarch	cornstarch
corny	musa
corollary	corollary
corona	corona
coronary	coronary
coronation	coronation
coroner	coroner
corporal	corporal
corporate	kamfanoni
corporation	kamfani
corporeal	jiki
corps	jiki
corpse	gawa
corpsman	corpsman
corpus	corpus
corral	corral
correct	daidai
correction	gyara
correctional	gyara
corrective	gyara
correctness	Daidai
correlation	daidaitawa
correlative	correlative
correspond	dace
correspondence	rubutu
correspondent	wakilin
corresponding	daidai
corridor	hade
corroborate	lalata
corroboration	corroboration
corrosion	lalata
corrosive	gurgunta
corrupt	lalata
corrupting	gurbata
corruption	cin hanci da rashawa
corsage	corsage
corse	NO TRANSLATION
corset	corset
cortex	bala'i
cortical	cortical
cortisone	cortisone
corvette	corvette
cosmetic	kwaskwarima
cosmetics	kayan shafawa
cosmic	cosmic
cosmology	cosmology
cosmopolitan	cosmopolitan
cosmos	cosmos
cost	kudin
costly	m
costume	kaya
cosy	jin dadi
cot	cot
cote	Cote
cottage	gida
cotton	auduga
couch	babban kujera
cougar	cougar
cough	tari
council	majalisa
councilman	majalisa
counsel	shawara
counseling	shawara
counsellor	mai ba da shawara
counselor	mai ba da shawara
count	ƙidaya
countdown	ragewa
countenance	fuskar
counter	counter
counteract	rikicewa
counterattack	counterattack
counterbalance	rashin daidaituwa
counterclaim	ba da kyauta
counterfeit	m
counterpart	takwaransa
counterpoint	counterpoint
countess	mata
countless	m
country	ƙasa
countryman	countryman
countrymusic	NO TRANSLATION
countryside	yankunan karkara
counts	ƙidaya
county	County
coup	juyin mulki
coupe	kullin
couple	ma'aurata
coupled	guda biyu
coupling	haɗuwa
coupon	coupon
courage	ƙarfin hali
courageous	ƙarfin hali
courier	mai aikawa
courses	darussa
coursing	Kira
court	kotu
courteous	m
courtesy	karimci
courthouse	kotu
courtroom	Kotun
courts	Kotuna
courtship	kaddamarwa
courtside	kotu
courtyard	tsakar gida
cousin	dan uwan
cousins	uwan
cove	cove
coven	majalisa
covenant	alkawari
cover	rufe
coverage	ɗaukar hoto
covered	an rufe
covering	rufe
covert	rufe
covet	kishi
coveted	sha'awar
cow	saniya
coward	matsorata
cowardice	matashi
cowardly	tsoro
cowboy	kauye
cowgirl	cowgirl
cowhand	marar amfani
cowhide	ƙuƙwalwa
cowl	cowl
coworker	abokin aiki
coy	coy
coyote	coyote
cozy	jin dadi
crab	kaguwa
crabby	crabby
crack	crack
cracked	fashe
cracker	cracker
crackerjack	crackerjack
cracking	fashewa
crackle	crackle
crackpot	crackpot
cradle	shimfiɗar jariri
craft	sana'a
crafts	sana'a
craftsman	sana'a
craftsmanship	sana'a
crafty	yaudara
craig	craig
cram	cram
crammed	ƙusa
cramp	damuwa
cramped	cramped
cranberry	cranberry
cranberry juice	ruwan 'ya'yan itace cranberry
crane	crane
cranial	cranial
cranium	cranium
crank	crank
cranky	cranky
cranny	Cranny
crap	crap
crappy	crappy
craps	craps
crash	hadarin
crass	damuwa
crate	raga
crater	crater
crave	nema
craving	sha'awa
crawfish	crawfish
crawl	fashe
crayon	takarda
crayons	crayons
craze	craze
crazed	crazed
craziness	craziness
crazy	mahaukaci
creak	kirkira
creaking	kaddamarwa
cream	cream
creamed	creamed
creamer	creamer
creamy	creamy
crease	crease
create	ƙirƙirar
creation	halitta
creative	m
creativity	kerawa
creator	mahalicci
creature	halitta
credence	tabbaci
credential	takardun shaida
credentials	takardun shaida
credibility	amincewa
credible	gaskiya
credit	bashi
credit card	katin bashi
creditable	gaskiya
credited	an ba da kyauta
crediting	bayarwa
creditor	mai bin bashi
creed	bangaskiya
creek	creek
creep	creep
creeper	creeper
creeping	creeping
creepy	creepy
cremation	cremation
creole	karami
crepe	crepe
crescendo	crescendo
crescent	ƙwaƙwalwa
crest	crest
crestfallen	crestfallen
cretin	cretin
cretins	cretins
crevice	crevice
crew	ƙungiya
crewman	crewman
crib	gidan labaran
cricket	cricket
cried	kuka
crime	laifi
criminal	laifi
criminality	laifi
crimp	shimfiɗa
crimson	Crimson
cringe	cringe
cripple	gurgu
crippled	gurgunta
crippling	crippling
crisis	rikicin
crisp	kullun
crispy	crispy
criterion	ma'auni
critic	soki
critical	m
criticise	zargi
criticism	zargi
criticize	zargi
criticized	soki
critique	critique
critter	mai jujjuya
croak	croak
croc	croc
crock	crock
crockery	crockery
crocodile	tsirara
croft	ƙira
croissant	croissant
crook	crook
crooked	yaudara
crop	amfanin gona
croquet	croquet
cross	giciye
cross country	ƙetare ƙasar
crossbow	crossbow
crossed	ketare
crossfire	crossfire
crossing	wucewa
crossover	crossover
crosswalk	hanyar tafiya
crossword	kalma
crotch	crotch
crouch	Kusa
crouched	kwance
crouching	crouching
croupier	croupier
crow	ƙwaƙwalwa
crowbar	crowbar
crowd	taron
crowded	ƙulla
crowds	taron jama'a
crown	kambi
crowning	daukaka
crucial	muhimmanci
cruciate	cruciate
crucifix	giciye
crucifixion	gicciye
crucify	gicciye
crud	rudu
crude	danye
cruel	mugunta
cruelly	mummunan hali
cruelty	mugunta
cruise	cruise
cruise ship	jirgin ruwa
cruiser	cruiser
cruising	cruising
crumb	crumb
crumble	crumble
crumbling	crumbling
crummy	crummy
crunch	crunch
crunchy	crunchy
crusade	kudancin
crusader	makami
crush	murkushe
crushed	crushed
crusher	crusher
crushing	murkushe
crust	ɓawon burodi
crusty	crusty
crutch	kullun
crux	crux
cry	kuka
crybaby	crybaby
crying	kuka
crypt	crypt
cryptic	cryptic
cryptography	cryptography
crystal	crystal
crystalline	crystalline
crystallization	crystallization
cub	cub
cubby	cubby
cube	kwari
cubic	cubic
cubicle	cubicle
cuckold	cuckold
cuckoo	cuckoo
cucumber	kokwamba
cuddle	cuddle
cuddled	cuddled
cuddles	Cuddles
cuddling	cuddling
cue	kaya
cuff	kullin
cuisine	abinci
culinary	na dafuwa
cull	cull
culminate	rufe
culmination	culmination
culpability	laifi
culpable	laifi
culprit	laifi
cult	al'ada
cultivate	noma
cultivated	horar da
cultivation	namo
cultural	al'adu
culture	al'ada
cultured	al'ada
culvert	culvert
cumbersome	damuwa
cumulus	cumulus
cunning	wayo
cunt	Cunt
cup	kofin
cupboard	katako
cupcake	cupcake
cupping	yan wasa
cur	cur
curable	curable
curate	curate
curative	curative
curator	mai gudanarwa
curb	hana
curd	curd
cure	magani
curfew	ƙuntatawa
curiosity	sani
curious	m
curl	curl
curling	curling
currency	kudin
current	halin yanzu
curriculum	tsarin ilimi
curry	curry
curse	la'ana
cursed	la'ane
cursing	la'ana
cursory	layi
curt	curt
curtail	curtail
curtailment	curtailment
curtain	labule
curtains	labule
curtsy	curtsy
curvature	curvature
curve	tsarin
curved	mai lankwasa
curvilinear	curvilinear
cushion	matashi
cushy	matashi
cusp	cusp
cuss	cuss
cussed	cussed
custard	custard
custodial	tsare
custodian	wakilin
custody	tsarewa
custom	al'ada
customary	al'ada
customer	abokin ciniki
customized	musamman
cut	yanke
cutaneous	cutaneous
cute	cute
cuticle	cuticle
cutie	cutie
cutlass	cutlass
cutlery	cutlery
cutoff	cutoff
cutter	cutter
cutters	cutters
cutthroat	cutthroat
cutting	yankan
cutting board	yanke katako
cuttings	cuttings
cwt	cwt
cyanide	cyanide
cyberspace	tashar yanar gizo
cycle	sake zagayowar
cyclical	cyclical
cyclist	cyclist
cyclone	cyclone
cylinder	cylinder
cylindrical	cylindrical
cymbal	cymbal
cynic	cynic
cynical	cynical
cynicism	cynicism
cyst	cyst
cystic	musa
cytomegalovirus	cytomegalovirus
cytoplasm	cytoplasm
czar	Czar
dab	dab
dabble	dabble
dabbling	magana
dad	baba
daddy	uba
dado	NO TRANSLATION
daemon	daemon
daft	daft
dagger	dagger
daily	kowace rana
dainty	dainty
daiquiri	daiquiri
dairy	kiwo
daisy	daisy
dak	NO TRANSLATION
dale	dale
dam	dam
damage	lalacewa
damaged	lalace
damages	lalacewa
dame	dame
damn	Tsine
damnation	damnation
damned	yanke hukunci
damp	damp
dampened	dampened
damper	damper
damsel	damsel
dance	dancing
dancer	dan rawa
dancing	dancing
dandruff	dandruff
dandy	dandy
danger	hadari
dangerous	hadari
dangerously	da haɗari
dangit	NO TRANSLATION
dangle	dangle
dank	NO TRANSLATION
dapper	dapper
dare	dare
daredevil	daredevil
daresay	daresay
daring	tsoro
dark	duhu
darken	yi duhu
darkened	duhu
darkly	duhu
darkness	duhu
darkroom	darkroom
darkside	darkside
darling	ƙauna
darn	darn
dart	dart
dash	dash
dashboard	dashboard
dashed	dashed
dashing	dashing
dastardly	dastardly
data	bayanai
database	database
date	kwanan wata
datenight	NO TRANSLATION
daughter	yar
dawdle	dawdle
dawn	alfijir
dawned	dawned
day	rana
daybreak	asuba
daycare	daycare
daydream	daydream
daydreaming	daydreaming
daylight	hasken rana
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	rana
daze	daze
dazed	dazed
dazzle	dazzle
dazzling	dazzling
deacon	diakona
deactivate	kashe
dead	matattu
deadbeat	deadbeat
deadline	kwanan wata
deadlines	kwanan nan
deadlock	kullun
deadly	m
deaf	kurãme
deafening	deafening
deafness	kururuwa
deal	yarjejeniyar
dealer	dila
dealership	dealership
dealing	rubutu
dealings	ma'amala
dean	Dean
dear	masoyi
dearest	dearest
dearth	dearth
death	mutuwa
deathbed	deathbed
deathly	mutuwa
debacle	debacle
debased	debased
debatable	debatable
debate	muhawara
debauchery	lalata
debenture	sanarwa
debilitating	debilitating
debit	lalata
debrief	batu
debriefing	debriefing
debris	tarkace
debt	bashi
debtor	debtor
debut	farawa
debutante	debutante
decade	shekaru goma
decadence	lalata
decadent	lalata
decaf	decaf
decanter	decanter
decathlon	decathlon
decay	lalata
decayed	decayed
decaying	lalata
deceased	marigayin
decedent	m
deceit	yaudara
deceitful	yaudara
deceive	yaudara
deceived	yaudara
deceiving	yaudara
december	yaudara
decency	lalata
decent	mai kyau
deception	yaudara
deceptive	yaudara
decide	yanke hukunci
decidedly	yanke shawarar
deciduous	deciduous
decimal	decimal
decimeter	decimeter
decipher	decipher
decision	yanke shawara
decisive	hukunci
deck	bene
declaration	sanarwar
declaratory	declaratory
declare	bayyana
declination	ragewa
decline	ƙi
declining	ragewa
deco	yi ado
decode	ƙayyade
decoder	mai ba da umurni
decompose	decompose
decomposed	bazu
decomposition	bazuwar
decompress	decompress
decompression	decompression
decontamination	decontamination
decor	kayan ado
decorate	yi ado
decorating	yi ado
decoration	ado
decorative	ado
decorator	mai ado
decorum	al'ada
decoy	decoy
decrease	ragewa
decreased	rage
decreasing	ragewa
decree	doka
decrement	ƙoshin
decrepit	decrepit
decry	decry
decryption	decryption
dedicate	keɓe
dedication	sadaukarwa
deduce	deduce
deduct	cirewa
deductible	deductible
deduction	cirewa
deed	aiki
deejay	deejay
deem	tsammani
deep	zurfi
deepen	zurfafa
deer	deer
defamation	defamation
defamatory	defamatory
default	tsoho
defeat	shan kashi
defeated	ci
defeatist	mai cin nasara
defect	lahani
defection	defection
defective	m
defector	defector
defend	kare
defendant	wanda ake zargi
defended	kare
defender	wakĩli a kansu
defending	kare
defense	tsaro
defenseless	marasa tsaro
defensible	defensible
defensive	tsaro
defer	jinkirta
deference	ra'ayi
deferral	deferral
deferring	deferring
defiance	rikici
defiant	defiant
defibrillator	defibrillator
deficiency	rashi
deficient	kasawa
deficit	kasawa
define	ayyana
defined	an tsara
definite	tabbaci
definition	definition
definitive	tabbatacce
deflate	gurbata
deflation	lalata
deflect	kare
deflection	cin nasara
defloration	karewa
deform	deform
deformed	maras kyau
deformity	deformity
defraud	defraud
defray	kare
defrost	defrost
deft	deft
defunct	gurɓata
defuse	rikici
defy	defy
degeneracy	degeneracy
degenerate	degenerate
degeneration	degeneration
degradation	ragewa
degrade	rage
degraded	rage
degrading	lalata
degree	digiri
dehydrated	dehydrated
dehydration	dashi
dejected	zubar da ciki
delay	jinkirta
delayed	jinkirta
delectable	delectable
delegate	wakilai
delegation	tawagar
delete	share
deleterious	m
deletion	sharewa
deli	deli
deliberate	da gangan
deliberation	tattaunawa
deliberative	yanke shawara
delicacy	delicacy
delicate	m
delicatessen	delicatessen
delicious	dadi
delight	farin ciki
delighted	farin ciki
delightful	m
delineate	delineate
delineation	zancewa
delinquency	delinquency
delinquent	m
delirious	delirious
delirium	delirium
deliver	ajiye
deliverance	kubuta
delivery	bayarwa
dell	dell
delta	delta
delude	yaudara
deluge	ruwa
delusion	yaudara
delusional	yaudara
deluxe	deluxe
delve	delve
demand	bukatar
demanding	da wuya
demeaned	demeaned
demeaning	gurzawa
demeanor	demeanor
demented	demented
dementia	dementia
demise	kashewa
demo	demo
democracy	dimokuradiyya
democrat	dimokuradiyya
democratic	dimokra] iyya
demographic	alƙaluma
demolish	rushe
demolished	rushe
demolition	rushewa
demon	aljanu
demonic	demonic
demonstrable	bayyana
demonstrate	nuna
demonstrated	nuna
demonstrating	nuna
demonstration	zanga-zanga
demonstrative	zanga-zanga
demonstrator	mai gabatarwa
demoralized	yanci
demos	demos
demure	lalata
den	NO TRANSLATION
deniability	lalata
denial	ƙaryatawa
denied	ƙaryata
denim	denim
denomination	denomination
denominational	ƙungiyoyi
denominator	lambar maimaita
denote	nuna
denounce	karyata
dense	m
density	yawa
dent	farawa
dental	hakori
dentist	Dentist
dentistry	Dentistry
dentists	Dentists
denunciation	sanarwa
deny	ƙaryatãwa
denying	musun
deodorant	deodorant
depart	tashi
departed	tafi
department	sashen
departmental	sashen
departure	tashi
depend	dogara
dependable	dogara
dependant	dogara
dependence	dogara
dependency	dogara
dependent	dogara
depict	bayyana
depicting	nuna
depletion	depletion
deplorable	deplorable
deplore	deplore
deploy	aikawa
deployment	kwashewa
deport	deport
deportation	fitarwa
depose	cire
deposit	ajiya
depositary	depositary
deposition	shaidar
depository	ajiya
depot	wuri
depraved	ɓata
depravity	lalata
depreciate	ragewa
depreciated	baƙara
depreciation	depreciation
depress	depress
depressed	tawayar
depressing	depressing
depression	bakin ciki
depressive	damuwa
depresson	NO TRANSLATION
deprivation	ɓata
deprive	hana su
deprived	hana
depth	zurfin
deputy	mataimakin
derail	derail
deranged	bare
derelict	rubuta
derision	derision
derivation	derivation
derivative	haɓaka
derive	samu
dermal	dermal
dermatologist	dermatologist
dermatology	dermatology
derogation	sasantawa
derogatory	derogatory
descend	sauka
descendant	zuriyar
descendent	NO TRANSLATION
descending	saukowa
descent	zuriya
describe	bayyana
description	bayanin
descriptive	fassarar
desecrate	lalata
desecration	lalata
desert	hamada
deserted	bace
deserter	gudu
desertion	ƙarewa
deserve	cancanci
deserved	cancanci
deserving	dace
design	zane
designate	sanya
designated	sanya
designation	sanarwa
designed	tsara
designer	zanen
designing	zayyana
desirability	bukata
desirable	kyawawa
desire	sha'awar
desiring	yana son
desirous	marmarin
desist	dakatar
desk	tebur
desolate	zama kufai
desolation	lalata
despair	damuwa
despairing	yanke tsammani
despatch	aikawa
desperado	desperado
desperate	matsananciyar wahala
desperation	damuwa
despicable	m
despise	raina
despondent	baƙin ciki
despotic	despotic
despotism	despotism
dessert	kayan zaki
destination	manufa
destined	ƙaddara
destiny	makoma
destitute	matalauta
destroy	hallaka
destroyed	hallaka
destroyer	rushewa
destroying	lalata
destruct	hallakaswa
destruction	hallaka
destructive	hallakaswa
detach	cire
detached	ware
detachment	detachment
detail	daki-daki
detailed	cikakkun bayanai
details	cikakkun bayanai
detain	tsare
detainee	detainee
detect	gano
detectable	ganowa
detection	ganowa
detective	jami'in
detector	mai ganowa
detention	tsare
deter	deter
detergent	dashi
deteriorate	ci gaba
deteriorated	ci gaba
deteriorating	ci gaba
deterioration	lalacewa
determinable	abin da ake dasu
determinate	kayyade
determination	ƙuduri
determine	ƙayyade
determined	ƙaddara
deterrent	rage
detest	detest
detestation	ƙiyayya
detonate	detonate
detonation	detonation
