Word	ka
begrudge	begrudge
begun	დაიწყო
behappy	NO TRANSLATION
behave	მოიქცეთ
behavior	მოქმედება
behavioral	ქცევითი
behemoth	behemoth
behest	ბრძენი
behold	აჰა
beholden	აჰა,
beholder	beholder
beige	კრემისფერი
belated	დაგვიანებული
belay	belay
belch	belch
belief	რწმენა
believable	წარმოუდგენელია
believe	მჯერა
believed	სჯეროდა
believer	მწამს
believing	სჯერათ
belittle	ქარიშხალი
belittled	შეშინებული
bell	ზარი
bellboy	bellboy
bellhop	ბელა
belligerent	აგრესიული
bellman	ბელიმენი
bellow	ბელო
bellows	bellows
belly	მუცელი
bellybutton	ჭიპი
bellyful	მუცელი
belong	ეკუთვნის
belongings	ნივთები
beloved	საყვარელი
belt	ქამარი
beluga	ბელაგა
bemused	გაბრაზებული
bench	სკამზე
bend	წარმართვა
bender	ბენდერი
bending	bending
beneath	ქვეშ
benedictory	ბენედიტორი
benefactor	მოძღვარი
beneficial	სასარგებლოა
beneficiary	ბენეფიციარი
benefit	სარგებელი
benevolence	კეთილგანწყობა
benevolent	კეთილგანწყობილი
benign	კეთილთვისებიანი
bent	მოხრილი
benzene	ბენზენი
bequeath	bequeath
bequest	დაპყრობა
bereaved	დაღუპული
bereavement	მძიმე დანაკლისი
bereft	შებრუნება
beret	წადი
bergamot	ბერგამოტი
berlin	ბერლინი
berserk	ბოშერი
berth	ბერტ
beryllium	ბერილიუმი
beseech	ვედრება
beset	beset
bestdayever	საუკეთესო
bestfeeling	bestfeeling
bestfriends	საუკეთესო მეგობრები
bestial	bestial
besties	საუკეთესოები
bestow	ჯილდო
bestseller	ბესტსელერი
bet	ფსონი
beta	ბეტა
betray	ღალატი
betrayal	ღალატი
betrayed	უღალატა
betrothed	betrothed
betterment	გაუმჯობესება
betting	ფსონი
betty	betty
bevel	bevel
beverage	სასმელი
bevy	bevy
beware	სიფრთხილე
bewilder	bewilder
bewildered	უყვარდა
bewilderment	გაოცება
bias	კომპენსაცია
biased	მიკერძოებული
bib	ბიბი
bible	ბიბლია
biblical	ბიბლიური
bibliography	ბიბლიოგრაფია
bicarbonate	ბიკარბონატი
bicentennial	bicentennial
biceps	biceps
bicker	ბიკერი
bickering	მღელვარე
bicolor	ბიკლორი
bicycle	ველოსიპედი
bid	თქვან
bidder	პრეტენდენტი
bidding	სატენდერო
bide	NO TRANSLATION
biennial	ბიენალე
bier	NO TRANSLATION
bifurcation	bifurcation
big	დიდი
bigamy	დიდია
bigday	დიდი დღე
biggestfear	NO TRANSLATION
biggie	biggie
bighorn	დიდი რქა
bigmouth	bigmouth
bigot	bigot
bigoted	bigoted
bigotry	ფანატიზმი
bike	ველოსიპედით
biker	ბაიკერი
bikini	ბიკინი
bilateral	ორმხრივი
bilayer	bilayer
bile	ნაღვლის
bilge	bilge
bilingual	ორენოვანი
bill	კანონპროექტი
billboard	ბილბორდი
billet	billet
billiard	ბილიარდი
billiards	ბილიარდი
billing	ბილინგი
billion	მილიარდი
billionaire	მილიარდერი
billy	ბილი
bimbo	ბიიმბო
bimonthly	ორმხრივი
bin	ურნა
binary	ორობითი
bind	სავალდებულოა
binder	ბაინდერი
bindery	bindery
binding	სავალდებულო
bing	bing
binge	გიჟები
bingo	ბინგო
binocular	ბინოკულარი
binoculars	ბინოკლები
binomial	binomial
bio	ბიო
biochemical	ბიოქიმიური
biochemist	ბიოქიმიკოსი
biochemistry	ბიოქიმია
biogenesis	ბიოგენეზი
biographer	ბიოგრაფი
biography	ბიოგრაფია
biological	ბიოლოგიური
biologist	ბიოლოგი
biology	ბიოლოგია
bionic	bionic
biopsy	ბიოფსია
biosphere	ბიოსფერო
bipartite	ბიპარეტ
bipolar	ბიპოლარული
birch	არყის
bird	ფრინველი
birdcage	birdcage
birdie	ჩიტუნა
birdman	birdman
birth	დაბადების
birthday	დაბადების დღე
birthing	მშობიარობა
birthmark	birthmark
birthplace	დაბადების ადგილი
birthright	დაბადება
bis	NO TRANSLATION
biscuit	ორცხობილა
bisexual	ბისექსუალი
bishop	ეპისკოპოსი
bison	bison
bisque	bisque
bistro	ბისტრო
bit	ცოტა
bitch	bitch
bitchy	bitchy
bite	bite
biter	NO TRANSLATION
bitsy	ბიტი
bitter	მწარე
bitterly	მწარედ
bitterness	მწარე
bittersweet	მწარე
bitty	ბიტი
bitumen	ბიტუმი
biweekly	biweekly
biz	biz
bizarre	უცნაური
blab	ბლაბი
blabbermouth	blabbermouth
black	შავი
black snake	შავი გველი
blackberry	მაყვალი
blackbird	blackbird
blackboard	დაფა
blacken	შავია
blackface	blackface
blackjack	blackjack
blacklist	შავი სია
blackmail	შანტაჟი
blackmailer	შანტაჟი
blackness	blackness
blackout	უშუქობა
blacksmith	მჭედელობა
bladder	ბუშტის
blade	დანა
blame	დამნაშავე
blameless	უმანკო
bland	bland
blank	ცარიელი
blanket	საბანი
blare	blare
blase	NO TRANSLATION
blasphemous	დანაშაული
blasphemy	გესმის
blast	აფეთქება
blaster	ბლასტერი
blastoff	აფეთქება
blatant	აშკარაა
blather	ბუშტი
blaze	ბლაგვი
blazer	ბლეზერი
blazing	სროლით
bleach	bleach
bleak	ბლეკი
bleed	bleed
bleeder	სისხლდენა
bleeding	სისხლდენა
bleep	bleep
blemish	blemish
blemished	ბინძური
blend	ნაზავია
blender	ბლენდერი
blending	შერწყმა
bless	დალოცოს
blessed	დალოცა
blessing	კურთხევა
blessings	კურთხევები
bleu	bleu
blight	გრიპი
blighted	დაზიანებულია
blimp	blimp
blind	ბრმა
blinded	ბრმა
blindfold	ბლაინდი
blindfolded	უსინათლო
blinding	ბლაინდი
blindly	ბრმად
blindness	სიბრმავე
blink	თვალის დახამხამება
blip	blip
bliss	ნეტარება
blissful	ნეტარი
blister	ბლისტერი
blistering	აფეთქება
blitz	ბლიცი
blizzard	blizzard
bloat	bloat
bloated	bloated
blob	blob
block	ბლოკი
blockade	ბლოკადა
blockage	ბლოკირება
blockbuster	ბლოკბასტერი
blockhead	ბლოკნოტი
blog	წაკითხვა
bloke	ბლოკები
blond	ქერა
blonde	ქერა
blood	სისხლი
bloodbath	სისხლისღვრა
bloodhound	სისხლი
bloodless	უსისხლო
bloodline	სისხლიანი
bloodshed	სისხლისღვრა
bloodshot	სისხლიანი
bloodstream	სისხლძარღვთა
bloodthirsty	სისხლისმსმელი
bloody	სისხლიანი
bloom	Bloom
bloomers	bloomers
blooming	ყვავის
blossom	ყვავილობის
blot	blot
blotched	აფეთქდა
blotter	blotter
blouse	blouse
blow	დარტყმა
blower	ნებაყოფლობით
blowfish	დარტყმა
blowing	აფეთქება
blowjob	პირში აღება
blown	აფეთქდა
blowout	აფეთქება
blowtorch	blowtorch
blubber	blubber
bluddy	ბლადი
blue	ლურჯი
blue spruce	ლურჯი ნაძვი
blueberry	ლურჯი
bluebird	ლურჯი ჩიტი
bluegrass	ლურჯი
bluejay	bluejay
blueprint	გეგმა
blues	ბლუზი
bluff	ბლეფი
bluish	ლურჯი
blunder	შეცდომა
blunt	ბლაგვი
blur	ბუნდოვანი
blurred	ბუნდოვანია
blurry	ბუნდოვანი
blurt	აფეთქება
blush	blush
blushing	აფეთქება
boa	NO TRANSLATION
boa constrictor	NO TRANSLATION
boar	ღორი
board	ფორუმში
board game	სამაგიდო თამაში
boarder	NO TRANSLATION
boarding	ინტერნატის
boardroom	გამგეობა
boards	დაფები
boardwalk	ბორბალი
boast	ტრაბახობენ
boastful	ბედნიერი
boasting	ტრაბახობდნენ
boat	ნავი
boathouse	boathouse
boating	boating
boatload	boatload
boatman	boatman
bobbin	ბობინი
bobcat	bobcat
bobsled	ბობსილი
bode	bode
bodega	ბოდკა
bodice	bodice
bodily	სხეულის
body	სხეული
bodyguard	დაცვა
bog	ჭა
bogey	ბოგეი
bogeyman	bogeyman
bogus	ყალბი
bohemian	ბოჰემური
boil	მოვხარშოთ
boiler	ქვაბი
boilerplate	boilerplate
boiling	დუღილის
boisterous	მღელვარე
bold	თამამი
boldness	გაბედულება
bollocks	bollocks
bolster	ხელი შევუწყოთ
bolt	ქამარი
bolus	ბოლუსი
bomb	ბომბი
bombard	დაბომბვა
bombardier	ბომბარდირი
bombardment	დაბომბვა
bombed	დაბომბა
bomber	ბომბდამშენი
bombers	ბომბდამშენები
bombing	დაბომბვა
bombshell	ბომბავს
bonanza	ბონანსი
bonbon	NO TRANSLATION
bond	ობლიგაცია
bondage	bondage
bonding	შემაკავშირებელ
bonds	ობლიგაციები
bondsman	ობლიგაციონერი
bone	ძვალი
bonehead	ძვ
boner	boner
bones	ძვლები
bonfire	კოცონი
bong	bong
bonkers	ბონკერები
bonne	NO TRANSLATION
bonnet	კაპოტი
bonny	ბონი
bonsai	ბონსია
bonus	ბონუსი
bony	ძვლიანი
boo	boo
boob	boob
booby	booby
booger	booger
boogeyman	boogeyman
boogie	boogie
book	წიგნი
bookcase	bookcase
bookie	bookie
booking	დაჯავშნა
bookish	bookish
bookkeeper	ბუღალტერი
bookkeeping	ბუღალტერია
booklet	ბუკლეტი
bookmaker	ტოტალიზატორი
bookmark	სანიშნე
books	წიგნები
bookseller	წიგნის გამყიდველი
bookshop	წიგნის მაღაზია
bookstore	წიგნის მაღაზია
bookworm	წიგნი
boom	ბუმი
boomer	ბუმერი
boomerang	ბუმერანგი
booming	ბუმია
boon	სიკეთე
boooo	NO TRANSLATION
boost	გაზარდოს
booster	booster
boot	ჩატვირთვა
booth	კაბინაში
bootleg	ჩატვირთვა
bootlegger	ჩატვირთვა
boots	ფეხსაცმელი
booty	booty
booze	booze
bop	bop
bopper	ბოპერი
border	საზღვარი
bordering	ესაზღვრება
borderline	სასაზღვრო ხაზი
bore	გააჩნდა
boreal	boreal
bored	მოწყენილი
boredom	უსაქმურობის
borer	ბურღული
boring	მოსაწყენი
born	დაიბადა
boron	ბორის
borough	დაბა
borrow	სესხება
borrower	მსესხებლის
bosom	წიწაკა
boss	ბოსი
bossy	bossy
boston	ბოსტონი
botanical	ბოტანიკური
botanist	ბოტანიკოსი
botany	ბოტანიკა
bother	შეწუხება
bothering	აწუხებდა
bottle	ბოთლი
bottleneck	ბოთლი
bottling	ჩამოსხმა
bottom	ქვედა
bottomless	უაზრო
botulism	ბოტულიზმი
boulder	boulder
bounce	bounce
bouncer	bouncer
bouncy	bouncy
bound	შეკრული
boundary	საზღვარი
boundless	უსასრულო
bounds	საზღვრები
bountiful	კეთილშობილური
bounty	Bounty
bouquet	ბუკეტი
bourbon	ბურბონი
bourgeois	ბურჟუაზიული
bourgeoisie	ბურჟუაზია
bourse	bourse
bout	ბუტი
boutique	ბუტიკი
bouttime	ბუტთი
bovine	მსხალი
bow	მშვილდი
bowed	დაუთმო
bowel	ნაწლავის
bowels	ნაწლავები
bowl	თასი
bowler	bowler
bowling	ბოულინგი
bowls	bowls
box	ყუთი
boxcar	ყუთში
boxer	boxer
boxers	მოკრივეები
boxing	კრივი
boy	ბიჭი
boycott	ბოიკოტი
boyfriend	ბიჭი
boyhood	boyhood
boyish	ბიჭი
boysenberry	ბიჭები
bozo	bozo
bra	bra
brace	გაუქმება
bracelet	სამაჯური
braces	აფრთხილებს
brachial	brachial
bracket	bracket
brackets	ფრჩხილებში
brackish	მწარე
brad	ბრედ
brag	უცნაური
braid	ლენტები
brain	ტვინი
brainless	უაზრო
brains	ტვინი
brainstorm	გონება
brainwash	brainwash
brainy	brainy
brake	სამუხრუჭე
bran	ქატო
branch	ფილიალი
branching	ფილიალი
brand	ბრენდი
brandy	კონიაკი
brash	ჩახშობა
brass	თითბერი
brass knuckle	თითბერი knuckle
brassiere	brassiere
brat	brat
bratwurst	bratwurst
bravado	ბრავოდა
brave	მამაცი
bravery	სიმამაცე
brawl	brawl
brawn	გაყინული
brazen	თავხედური
breach	დარღვევა
bread	პური
breadth	სიგანის
break	შესვენება
breakable	breakable
breakaway	გაქცევა
breakdown	ავარია
breaker	breaker
breakers	ამომრთველები
breakfast	საუზმე
breaking and entering	ჩაყრის და შესვლისას
breakingnews	ახალი ამბები
breakneck	breakneck
breakthrough	გარღვევა
breakup	გაშორება
breast	ძუძუს
breath	სუნთქვა
breathe	სუნთქვა
breather	breather
breathless	სუნთქვა
breathtaking	განსაცვიფრებელი
breech	breech
breeches	breeches
breed	ჯიშის
breeder	სელექციონერი
breeding	მეცხოველეობა
breeze	ნიავი
breezy	breezy
brethren	ძმები
breve	NO TRANSLATION
brevity	მტრობა
brew	brew
brewery	ლუდსახარში
brewing	მწიფდება
briar	briar
bribe	ქრთამი
bribery	ქრთამის აღება
brick	აგურის
bridal	საქორწილო
bride	პატარძალი
bridegroom	სიძე
bridesmaid	bridesmaid
bridge	ხიდი
bridle	bridle
brief	მოკლედ
briefcase	ქეისი
briefing	ბრიფინგზე
briefly	მოკლედ
brig	ბრიგამი
brigade	ბრიგადის
bright	ნათელი
brighten	brighten
brightens	brightens
brighter	ნათელი
brightness	სიკაშკაშე
brilliance	ბრწყინვალება
brilliant	ბრწყინვალე
brim	ბრწყინვალება
brimming	ბრწყინვალება
brimstone	ხიბლი
brine	მარილწყალში
bring	მოუტანს
brink	ზღვარზე
brisk	გაღიზიანება
brisket	სისწრაფე
bristle	ჯაგარი
brittle	brittle
bro	ბრო
broach	ბალახი
broad	ფართო
broadcast	ეთერში
broadcasting	მაუწყებლობა
broaden	გაფართოება
broadside	ფართო
broadsword	broadsword
brocade	ბროწეული
broccoli	ბროკოლი
brochure	ბროშურა
broil	ბროლი
broke	დაარღვია
broken	გატეხილი
brokenheart	NO TRANSLATION
brokenhearted	გულგატეხილი
broker	ბროკერი
brokerage	საბროკერო
bromide	ბრომიდი
bronco	ბრინჯაო
bronze	ბრინჯაო
brooch	ბროში
brood	შვრია
brooding	brooding
brook	ბრუკი
broom	ცოცხი
broomstick	broomstick
broth	ბულიონი
brothel	brothel
brother	ძმა
brotherhood	ძმობა
brotherly	ძმური
brow	brow
brown	ყავისფერი
brownstone	ყავისფერი
browse	დაათვალიერეთ
brrr	brrr
bruise	სისხლნაჟღენთი
bruising	bruising
brunch	ფილიალი
brunette	შავგვრემანი
brunt	გაბრაზება
brush	ფუნჯი
brutal	სასტიკი
brutality	სისასტიკე
brute	უხეში
brutish	სასტიკი
bubble	ბუშტი
bubbling	ბუშტი
bubbly	bubbly
bubonic	ბომონური
buck	მამალი
buckaroo	buckaroo
bucket	bucket
buckle	ბალთა
buckled	buckled
bucko	bucko
buckshot	buckshot
buckwheat	წიწიბურა
bud	კვირტი
buddha	ბუდას
buddhism	ბუდიზმი
buddhist	ბუდისტი
budding	budding
buddy	ბადი
budge	ბიუჯეტი
budget	ბიუჯეტი
buff	buff
buffalo	კამეჩების
buffer	ბუფერული
buffering	ბუფერიზაცია
buffet	ბუფეტი
buffoon	buffoon
bug	შეცდომა
bugaboo	bugaboo
bugged	bugged
bugger	bugger
buggy	buggy
bugle	bugle
bugler	bugler
build	აშენება
builder	მშენებელი
building	შენობა
buildings	შენობები
buildup	აშენება
bulb	ბოლქვი
bulbous	bulbous
bulge	შეშუპება
bulimic	bulimic
bulk	ნაყარი
bulkhead	bulkhead
bulky	bulky
bull	ხარი
bulldog	ბულდოგი
bulldozer	ბულდოზერი
bullet	ტყვია
bulletin	ბიულეტენი
bulletproof	ტყვიაგაუმტარი
bullfighter	bullfighter
bullfrog	bullfrog
bullheaded	bullheaded
bullhorn	bullhorn
bullion	ბუილონი
bullock	ხარი
bullpen	bullpen
bullshit	bullshit
bully	დაშინება
bulwark	სიმაგრე
bum	ბუმი
bumblebee	bumblebee
bummed	ბუმია
bummer	ბუმერი
bump	bump
bumper	ბამპერი
bumpy	bumpy
bun	NO TRANSLATION
bunch	bunch
bundle	Bundle
bungalow	ბუნგალო
bungee	bungee
bunghole	bunghole
bunion	bunion
bunk	სისულელეა
bunker	ბუნკერი
bunkhouse	bunkhouse
bunny	bunny
bunt	bunt
buoy	buoy
buoyancy	ბუმია
buoyant	მზარდი
bur	bur
burden	ტვირთი
burdened	დატვირთული
burdensome	მძიმეა
bureau	ბიურო
bureaucracy	ბიუროკრატია
bureaucrat	ბიუროკრატი
bureaucratic	ბიუროკრატიული
burger	ბურგერი
burglar	ძარცვა
burglary	ძარცვა
burial	დაკრძალვის
buried	დაკრძალეს
burke	burke
burlap	burlap
burlesque	ბერლინი
burly	burly
burn	დამწვრობა
burned	დაწვეს
burner	სანთელი
burning	იწვის
burnished	დამწვარი
burnout	გადაღლა
burnt	დამწვარი
burp	burp
burr	burr
burrito	burrito
burro	NO TRANSLATION
burrow	ბაროუსი
bursary	საბურთალო
burst	ადიდებული
bury	დასამარხავად
bus	ავტობუსი
busboy	busboy
bush	ბუჩქი
bushel	ბუშელი
bushy	ბუში
business	ბიზნესი
business man	NO TRANSLATION
businessman	ბიზნესმენი
businesswoman	საქმიანი ქალი
busload	busload
buss	ავტობუსი
bust	ბიუსტი
busted	busted
buster	buster
bustle	bustle
bustling	ფუსფუსი
busy	დაკავებული
busybody	busybody
butane	ბუტანი
butcher	ჯალათიც
butler	მსახურთუფროსი
butt	კონდახით
butter	კარაქი
buttercup	buttercup
butterfly	პეპელა
buttermilk	buttermilk
butterscotch	butterscotch
buttery	buttery
buttock	buttock
buttocks	buttocks
button	ღილაკი
buttress	buttress
buxom	buxom
buy	ყიდვა
buyer	მყიდველი
buying	ყიდულობენ
buzz	ხმაურს
buzzard	buzzard
buzzed	buzzed
buzzer	ბაზერი
buzzing	buzzing
bye	ნახვამდის
bygone	bygone
bylaw	bylaw
byline	byline
bypass	შემოვლითი
bystander	bystander
byte	ბაიტი
byzantine	ბიზანტიური
cab	ტაქსი
cabal	cabal
cabana	კაბინა
cabaret	კაბარე
cabbage	კომბოსტო
cabbie	cabbie
cabernet	კაბერნე
cabin	სალონში
cabinet	კაბინეტი
cable	საკაბელო
caboodle	caboodle
caboose	caboose
cabriolet	კაბრიოლეტი
cache	ქეში
cacophony	cacophony
cactus	cactus
cad	cad
cadaver	cadaver
caddie	NO TRANSLATION
caddy	caddy
cadence	cadence
cadet	კადეტი
cafe	კაფე
cafeteria	კაფეტერია
caffeine	კოფეინს
cage	გალიაში
cagey	კეიჯი
cahoots	cahoots
cairn	კირის
cake	ნამცხვარი
cakewalk	cakewalk
calamari	კალეარი
calamitous	დამამცირებელი
calamity	უბედურება
calcareous	კარბონატული
calcium	კალციუმი
calculate	გამოთვალეთ
calculated	გამოითვლება
calculating	გაანგარიშება
calculation	გაანგარიშება
calculator	კალკულატორი
calculus	კალკულაცია
calendar	კალენდარი
calender	NO TRANSLATION
calf	ხბოს
caliber	კალიბრი
calibrate	დაკალიბრება
calico	კალიკო
calipers	calipers
calisthenics	კალისტენიკა
call	მოვუწოდებთ
callback	გადმომირეკე
caller	აბონენტი
calligraphy	კალიგრაფია
calling	დარეკვა
callous	გულწრფელი
calls	ზარები
calm	მშვიდი
calming	დამამშვიდებელი
calmness	სიმშვიდე
caloric	კალორიური
calorie	კალორია
calorimeter	კალორიმეტრი
cam	cam
camaraderie	კორესპონდენტი
camber	მშვიდი
camcorder	ვიდეოკამერა
camel	აქლემი
cameo	კამეა
camera	კამერა
cameraman	ოპერატორი
camisole	camisole
camouflage	camouflage
camouflaged	NO TRANSLATION
camp	ბანაკი
campaign	კამპანია
campaigner	კამპანიტორი
campaigning	კამპანია
camper	camper
campfire	ბანაკი
camping	კემპინგი
campsite	campsite
campus	კამპუსი
can	შეიძლება
can opener	ქილის გასახსნელი
canal	არხი
canary	კანარის
cancel	გაუქმება
canceling	გაუქმება
cancellation	გაუქმება
cancer	კიბო
candid	ფარული
candidacy	კანდიდატურა
candidate	კანდიდატი
candied	დაშაქილი
candle	სანთელი
candlelight	სანთლის შუქი
candles	სანთლები
candlestick	სასანთლე
candor	სინათლე
candy	Candy
cane	ლერწამი
canine	canine
canister	კალის
canker	canker
cannabis	cannabis
canned	დაკონსერვებული
cannibal	კანიბალი
cannibalism	კანიბალიზმი
canning	საკონსერვო
cannon	ჭავლი
cannonball	ჭავლი
canoe	canoe
canon	Canon
canonical	კანონიკური
canons	კანონები
canopy	canopy
cantaloupe	cantaloupe
cantbreathe	NO TRANSLATION
canteen	სასადილო
canterbury	canterbury
canthandleit	NO TRANSLATION
cantilever	კანტილევერი
cantina	cantina
canto	NO TRANSLATION
canton	Canton
cantstandit	NO TRANSLATION
cantwin	კანტვინი
canvas	ტილო
canvass	NO TRANSLATION
canyon	კანიონი
cap	cap
capability	შესაძლებლობები
capable	შეუძლია
capacity	მოცულობა
cape	კონცხი
caper	caper
capillary	კაპილარული
capital	კაპიტალი
capitalism	კაპიტალიზმი
capitalist	კაპიტალისტი
capitalize	კაპიტალიზაცია
capitals	დედაქალაქები
capitation	capitation
capitol	კაპიტოლი
capitulation	კაპიტულაცია
cappuccino	კაპუჩინო
caprice	caprice
capricious	capricious
caps	ქუდები
capslock	capslock
capsule	კაფსულა
captain	კაპიტანი
caption	წარწერა
captivate	დატყვევება
captivating	ტყვეობაში
captive	ტყვე
captivity	ტყვეობაში
captor	captor
capture	ხელში ჩაგდება
car	მანქანა
caramel	კარამელი
carat	კარატი
caravan	ქარავანი
carbon	ნახშირბადის
carburetor	carburetor
carcass	კარკასი
carcinoma	კარცინომა
card	ბარათი
cardboard	მუყაო
cardiac	გულის
cardigan	კარდინგის
cardinal	კარდინალი
cardiologist	კარდიოლოგი
cardiology	კარდიოლოგია
cardiomyopathy	კარდიომიოპათია
cards	ბარათები
care	ზრუნვა
career	კარიერა
carefree	მზრუნველობამოკლებულ
careful	ფრთხილად
carefully	ყურადღებით
careless	უაზრო
carelessness	დაუდევრობა
caress	caress
caret	ზრუნვა
caretaker	მოამაგე
cargo	ტვირთი
caribou	კარბიო
caricature	კარიკატურა
caries	კარიესი
caring	ზრუნვა
carjack	carjack
carnage	carnage
carnal	carnal
carnation	carnation
carnival	კარნავალი
carnivorous	მტაცებლური
carol	კაროლილი
carols	კეროლები
carousel	კარუსელი
carp	კარპი
carpal	კარპალი
carpenter	კარპენტერი
carpentry	ხალიჩა
carpet	ხალიჩა
carpeting	carpeting
carpool	carpool
carriage	ვაგონი
carried	განხორციელდა
carrier	გადამზიდავი
carrot	სტაფილო
carry	განახორციელოს
carrying	ტარება
carsick	carsick
cart	კალათა
carte	NO TRANSLATION
cartel	კარტელი
carter	კარტერი
cartilage	ხრეში
cartographic	კარტოგრაფიული
cartography	კარტოგრაფია
carton	მუყაო
cartoon	მულტფილმი
cartouche	NO TRANSLATION
cartridge	კარტრიჯი
carve	carve
carver	კარვერი
carving	კვეთის
cascade	კასკადი
case	საქმე
casein	საქმე
cash	ნაღდი ფული
cashier	მოლარე
cashmere	კაშმირი
casing	გარსაცმები
casino	კაზინო
cask	cask
casket	casket
casserole	casserole
cassette	კასეტა
cast	მსახიობი
castaway	კასეტა
caste	კასტი
caster	caster
castle	ციხე
castor	აბუსალათინი
castrate	კასტრატი
castration	კასტრირება
casual	შემთხვევით
casually	ჩვეულებრივ
casualty	მსხვერპლი
cat	კატა
catabolism	კატაბოლიზმი
catalog	კატალოგი
catalogue	კატალოგი
catalysis	კატალიზი
catalyst	კატალიზატორი
catalytic	კატალიზური
catamaran	კატამანი
catapult	catapult
cataract	კატარაქტი
catastrophe	კატასტროფა
catastrophic	კატასტროფული
catatonic	კატატნური
catch	დაჭერა
catcher	Catcher
catching	დაჭერა
catchphrase	catchphrase
catchy	ჩამჭრელ
catechism	კატეხიზმი
categorical	კატეგორიული
category	კატეგორია
cater	cater
caterer	caterer
caterpillar	caterpillar
cates	cates
catfish	ლოქო
cathartic	კათარზული
cathedral	საკათედრო
catheter	კათეტერი
catholic	კათოლიკე
cathouse	cathouse
catnip	catnip
cattle	მსხვილფეხა რქოსანი პირუტყვი
catwalk	პოდიუმი
caucus	caucus
caudal	კაუდელი
cauldron	cauldron
cauliflower	ყვავილოვანი კომბოსტო
caulk	caulk
causal	მიზეზია
causality	მიზეზობრივი
causation	მიზეზია
cause	გამოიწვიოს
caused	გამოიწვია
causeway	გზაჯვარედინზე
caution	სიფრთხილით
cautionary	სიფრთხილე
cautious	ფრთხილი
cautiously	ფრთხილად
cavalier	კავალიერი
cavalry	ცხენოსნობა
cave	გამოქვაბული
caveat	გაფრთხილება
caveman	caveman
cavern	ქევერნ
cavernous	ქვაბული
caviar	ხიზილალა
caving	caving
cavity	ღრუს
cayenne	კაიენი
cease	შეწყვეტა
ceasefire	ცეცხლის შეწყვეტა
ceaseless	უშედეგოდ
cedar	კედარი
cede	დათვი
ceiling	ჭერი
celebrant	celebrant
celebrate	აღსანიშნავად
celebrated	აღინიშნება
celebrating	ზეიმობს
celebration	დღესასწაული
celebrations	ზეიმი
celebratory	საზეიმოდ
celebrity	სახელგანთქმული
celery	ნიახური
celestial	ზეციური
celibacy	celibacy
celibate	celibate
cell	საკანში
cellar	სარდაფში
cellblock	cellblock
cellist	უჯრედისტი
cellmate	კლასელი
cello	ჩელო
cellophane	ცელოფანი
cellular	ფიჭური
cellulite	ცელულიტი
celluloid	ცელულოტი
cement	ცემენტი
cemented	გაამყარა
cemetery	სასაფლაო
censor	ცენზურა
censorship	ცენზურა
censure	აკრძალვა
census	აღწერისთვის
cent	ცენტში
centenary	centenary
centennial	საუკუნე
center	ცენტრი
centerfold	ცენტრიფილდი
centerpiece	ცენტრალურ
centimeter	სანტიმეტრი
centipede	სანტიპედია
central	მთავარი
centrality	ცენტრალიტეტი
centralization	ცენტრალიზაცია
centralize	ცენტრალიზება
centrally	ცენტრალიზებული
centrifugal	ცენტრიდანული
centrifuge	ცენტრიფუგა
centurion	centurion
century	საუკუნეში
ceramic	კერამიკა
ceramics	კერამიკა
cereal	მარცვლეული
cereals	მარცვლეული
cerebral	ცერებრალური
ceremonial	საზეიმო
ceremony	ცერემონია
certain	გარკვეული
certainty	დარწმუნებით
certifiable	სერთიფიკატი
certificate	სერტიფიკატი
certified	დამოწმებული
certify	დამოწმება
cervical	საშვილოსნოს ყელის
cervix	საშვილოსნოს ყელის
cess	სესია
cessation	შეწყვეტა
cesspool	კასპული
cha cha	NO TRANSLATION
chaff	chaff
chafing	chafing
chagrin	chagrin
chagrined	chagrined
chai	ჩაი
chain	ჯაჭვი
chainsaw	chainsaw
chair	სკამი
chairman	თავმჯდომარე
chairperson	თავმჯდომარე
chairwoman	თავმჯდომარე
chaise	chaise
chalet	chalet
chalice	chalice
chalk	ცარცი
challenge	გამოწვევა
challenger	გამოწვევა
chamber	პალატა
chambermaid	შამბედი
chambers	პალატები
chameleon	ქამელეონი
champ	champ
champagne	შამპანური
champion	ჩემპიონი
championship	ჩემპიონატი
chance	შანსი
chancellor	კანცლერი
chandelier	ჭაღი
chandler	chandler
change	ცვლილება
changeable	ცვალებადია
changed	შეიცვალა
changer	ჩეინჯერი
changing	იცვლება
channel	არხი
chant	გალობა
chaos	ქაოსი
chaotic	ქაოტური
chap	chap
chapel	სამლოცველო
chaperon	chaperon
chaplain	chaplain
chapman	chapman
chaps	chaps
chapter	თავი
char	char
character	ხასიათი
characteristic	დამახასიათებელი
characterize	დახასიათება
charade	charade
charcoal	ნახშირი
chardonnay	შარდენი
charge	ბრალდება
chargeable	გადასახდელი
charger	დამტენი
chariot	chariot
charisma	ქარიზმა
charismatic	ქარიზმატული
charitable	საქველმოქმედო
charity	საქველმოქმედო
charlatan	ჩარლატანი
charm	ხიბლი
charmed	მოხიბლული
charmer	ქარიშხალი
charming	მომხიბვლელი
charred	მოჭრილი
chart	ჩარტში
charter	ქარტია
chartered	ჩარტერული
chase	დევნა
chased	გამოეკიდა
chaser	chaser
chasm	უფსკრული
chassis	ჩარჩო
chaste	chaste
chastened	chastened
chastisement	chastisement
chastity	chastity
chat	სასაუბრო
chateau	შატო
chatter	თემა
chatterbox	chatterbox
chattering	ლაპარაკი
chatty	chatty
