Word	tl
disadvantage	kawalan
disaffected	hindi nasisiyahan
disagree	hindi sumasang-ayon
disagreeable	hindi kanais-nais
disagreeing	hindi sumasang-ayon
disagreement	hindi pagkakaunawaan
disallow	huwag pahintulutan
disallowed	hindi pinayagan
disapointment	NO TRANSLATION
disappear	mawala
disappearance	pagkawala
disappearing	mawala
disappoint	biguin
disappointed	bigo
disappointing	disappointing
disappointment	pagkabigo
disapproval	hindi pagsang-ayon
disapprove	hindi sumasang-ayon
disapproved	hindi naaprubahan
disapproving	hindi sumasang-ayon
disarm	mag-disarm
disarray	magkagulo
disaster	kalamidad
disastrous	nakapipinsala
disband	buwagin
disbelief	hindi paniniwala
disbelieve	hindi naniniwala
disburse	pagbayad
disbursement	pagbabayad
disc	disc
discard	itapon
discarded	itinapon
discards	Tinatapon
discern	makilala
discernible	nakikita
discerning	marunong makilala
discernment	pagkilala
discharge	naglalabas
disciple	alagad
disciplinary	pandisiplina
discipline	disiplina
disciplined	disiplinado
disclaim	itakwil
disclaimer	disclaimer
disclose	ibunyag
disclosed	isiniwalat
disclosure	pagsisiwalat
disco	disco
discoloration	pagkawalan ng kulay
discolored	kupas
discomfort	kakulangan sa ginhawa
disconcerted	nalilito
disconcerting	nakapanghihina
disconnect	idiskonekta
disconnected	naalis na
disconnection	pagtatanggal
disconnects	mga disconnect
discontent	kawalang-kasiyahan
discontinuance	pagpapaliban
discontinue	ihinto
discontinuity	pagpigil
discontinuous	walang tigil
discord	pagkakasalungatan
discount	diskwento
discounted	diskwento
discourage	pahinain ang loob
discouraged	nasiraan ng loob
discouragement	kawalang pag-asa
discouraging	nakapanghihina ng loob
discourse	diskurso
discover	matuklasan
discovery	pagtuklas
discredit	kasiraan
discredited	napinsala
discreet	NO TRANSLATION
discrepancy	pagkakaiba
discrete	hiwalay
discretion	pagpapasya
discretionary	discretionary
discriminate	mag-discriminate
discriminating	nakikita ang kaibhan
discrimination	diskriminasyon
discus	discus
discuss	talakayin
discussion	talakayan
disdain	paghamak
disdainful	mapanghamak
disease	sakit
diseased	may sakit
disembodied	disembodied
disengage	tumanggal
disengagement	paghihiwalay
disfigured	napakarumi
disgrace	kahihiyan
disgraced	napahiya
disgraceful	kahiya-hiya
disgruntled	hindi nasisiyahan
disguise	magkaila
disguised	nagtago
disgust	pagkasuya
disgusted	naiinis
disgusting	nakasusuklam
dish	ulam
disheartened	nawawalan ng loob
disheartening	disheartening
dishonest	hindi tapat
dishonesty	kasinungalingan
dishonor	kahihiyan
dishonorable	kasuklam-suklam
dishwasher	dishwasher
disillusionment	kabiguan
disinclination	pagdidisiplina
disincline	disincline
disinclined	disinclined
disinfect	disimpektahin
disinfectant	disimpektante
disinfection	pagdidisimpekta
disinformation	disinformation
disingenuous	hindi matapat
disintegrate	maghiwa-hiwalay
disintegration	paghiwalay
disinterested	walang interes
disjoint	magkahiwa-hiwalay
disjointed	disjointed
disjunctive	disjunctive
disk	disk
diskette	diskette
dislike	hindi gusto
disliked	hindi nagustuhan
disliking	disliking
dislocated	napawalang-bisa
dislocation	paglinsad
dislodge	mag-alis
disloyal	hindi tapat
disloyalty	disloyalty
dismal	malungkot
dismantle	mag-alis
dismay	pagkabalisa
dismayed	nalulungkot
dismemberment	paghihiwalay
dismiss	buwagin
dismissal	pagpapaalis
dismissive	dismissive
dismount	bumaba
disobedience	pagsuway
disobedient	masuwayin
disobey	sumuway
disorder	disorder
disordered	disordered
disorderly	disorderly
disorganized	ginulo
disorientation	disorientation
disoriented	disoriented
disown	itakwil
disparage	pagdumhan
disparaging	pagdaramdam
disparate	disparate
disparity	pagkakaiba
dispassionate	walang taros
dispatch	pagpapadala
dispatcher	dispatcher
dispel	palayasin
dispensary	dispensaryo
dispensation	dispensasyon
dispense	pagpapalabas
dispenser	dispenser
dispersal	dispersal
disperse	ikalat
dispersed	dispersed
dispersion	pagpapakalat
dispirited	nag-alis
displace	lumihis
displaced	displaced
displacement	pag-aalis
displacency	displacency
display	ipakita
displease	pakialam
displeased	hindi nasisiyahan
displeasure	pagkasuklam
disposable	hindi kinakailangan
disposal	pagtatapon
dispose	magtapon
disposed	itapon
disposition	disposisyon
dispossessed	naalis
disprove	pabulaanan
dispute	alitan
disqualification	pagkawala ng karapatan
disqualified	diskwalipikado
disqualify	disqualify
disquieted	disquieted
disregard	balewalain
disregarded	binabalewala
disrelish	hindi nag-uugnay
disreputable	disreputable
disrepute	pagkalito
disrespect	kawalang-galang
disrespectful	walang galang
disrupt	makagambala
disrupting	nakakasagabal
disruption	pagkagambala
disruptive	Nakakaantalang
dissatisfaction	hindi kasiyahan
dissatisfied	hindi nasisiyahan
dissect	dissect
dissection	pagkakatay
disseminate	ikalat
dissemination	pagsasabog
dissension	pagtatalo
dissent	hindi pagsang-ayon
dissenting	dissenting
dissertation	disertasyon
disservice	kapahamakan
dissident	dissident
dissimilar	hindi magkatulad
dissipate	mapawi
dissipated	nalimutan
dissociation	paghihiwalay
dissociative	dissociative
dissolution	paglusaw
dissolve	matunaw
dissonance	disonance
dissuade	magpakunwari
distal	distal
distance	distansya
distant	malayo
distaste	pagkalito
distasteful	nakapipinsala
distillate	maglinis
distillation	paglilinis
distilled	distilled
distinct	naiiba
distinction	pagkakaiba
distinctive	kapansin-pansin
distinguish	makilala
distinguishable	maaaring maliwanagan
distinguished	kilalang
distinguishing	tangi
distort	paliitin
distorted	magulo
distortion	pagbaluktot
distract	makagambala
distracted	ginulo
distracting	nakakagambala
distraction	pagkagambala
distraught	nababalisa
distress	pagkabalisa
distressed	namimighati
distressing	nakakahiya
distribute	ipamahagi
distribution	pamamahagi
distributor	distributor
district	distrito
distrust	kawalan ng tiwala
disturb	abalahin
disturbance	gulo
disturbed	nabalisa
disturbing	nakakagambala
disuse	hindi ginagamit
disused	disused
ditch	kanal
ditto	ditto
ditty	ditty
diurnal	diurnal
diva	diva
divan	NO TRANSLATION
dive	dive
diver	maninisid
diverge	diverge
divergence	divergence
divergent	divergent
diverging	diverging
divers	iba't iba
diverse	iba't iba
diversified	sari-sari
diversify	pag-iba-ibahin
diversion	palipasan
diversionary	palipat-lipat
diversity	pagkakaiba-iba
divert	ilihis
diverting	diverting
divest	divest
divested	divested
divestment	divestment
divide	hatiin
divided	hinati
dividend	dibidendo
divination	paghula
divine	banal
divinity	pagka-diyos
divisible	divisible
division	dibisyon
divisor	panghati
divorce	diborsyo
divorcee	divorcee
divulge	ibunyag
divvy	dibdib
dizziness	pagkahilo
dizzy	nahihilo
do	gawin
doable	maaaring gawin
doc	doc
docile	masunurin
dock	pantalan
docked	docked
docket	docket
docking	docking
doctor	doktor
doctorate	doctorate
doctrinal	doktrina
doctrine	doktrina
document	dokumento
documentary	dokumentaryo
documentation	dokumentasyon
documents	mga dokumento
dodge	umigtad
dodger	tusong tao
dodging	dodging
dodgy	dodgy
dodo	dodo
doe	doe
doer	doer
dog	aso
dogface	dogface
dogged	naisip
doggy	aso
doghouse	silid-tulugan
dogma	dogma
dogmatic	dogmatic
dogsick	NO TRANSLATION
doings	Mga gawa
doit	NO TRANSLATION
dojo	dojo
doldrums	malungkot
dole	dole
doll	manika
dollar	dolyar
dollhouse	bahay na manika
dolor	NO TRANSLATION
dolphin	dolpin
domain	domain
dome	simboryo
domestic	domestic
domesticated	amoy
domestication	pagpapaalam
domicile	tirahan
domiciled	domiciled
dominance	pangingibabaw
dominant	nangingibabaw
dominate	dominahin
dominating	dominating
domination	dominasyon
dominatrix	dominatrix
dominion	kapangyarihan
domino	domino
don	don
donate	mag-abuloy
donation	donasyon
donkey	asno
donor	donor
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	doodle
doom	sentensiya
doomed	tiyak na mapapahamak
doomsday	katapusan ng mundo
door	pinto
doorbell	doorbell
doorknob	doorknob
doorman	doorman
doormat	doormat
doornail	doornail
doorstep	pintuan
doorway	pintuan
dopamine	dopamine
dope	dope
dopey	dopey
dork	dork
dorky	dorky
dorm	dorm
dormant	natutulog
dormitory	dormitoryo
dorsal	dorsal
dosage	dosis
dose	dosis
dossier	dossier
dot	tuldok
doting	doting
dotted	may tuldok
dotty	dotty
double	double
doubled	Dinoble
doublet	doublet
doubling	pagdodoble
doubt	pagdududa
doubtful	duda
doubting	nag-aalinlangan
doubtless	walang alinlangang
doubts	mga pagdududa
douche	douche
douchebags	douchebags
dough	kuwarta
doughboy	doughboy
doughnut	donut
dour	umusbong
douse	douse
dove	kalapati
down	pababa
downcast	malungkot
downer	downer
downfall	pagbagsak
downfield	downfield
downhearted	nalulumbay
downhill	pababa
download	i-download
downpour	buhangin
downright	talaga
downriver	downriver
downside	downside
downtime	downtime
downward	pababa
downy	malungkot
dowry	dote
doze	doze
dozen	dosena
drab	kumakaway
draft	draft
drafty	drafty
drag	i-drag
dragon	Dragon
dragonfly	tutubi
drain	alisan ng tubig
drainage	paagusan
drained	pinatuyo
draining	draining
drainpipe	drainpipe
drake	drake
drama	drama
dramaqueen	drama Queen
dramatic	dramatiko
drape	drape
drapery	drapery
drastic	marahas
drat	NO TRANSLATION
draught	draft
draw	gumuhit
drawback	sagabal
drawbridge	drawbridge
drawer	dibuhista
drawers	drawer
drawing	pagguhit
dread	kasindak-sindak
dreaded	dreaded
dreadful	kakila-kilabot
dreadfully	katakut-takot
dreading	dreading
dream	panaginip
dreamboat	dreamboat
dreamer	mangarap
dreaming	pangangarap
dreamland	panaginip
dreams	mga pangarap
dreamt	napanaginipan
dreamy	parang panaginip
dreary	pagod na pagod
dredge	dredge
drenched	basang-basa
dress	damit
dresser	aparador
dressmaker	dressmaker
dressy	bihisan
dribble	NO TRANSLATION
dried	tuyo
drier	patuyuan
drift	naaanod
drifted	drifted
drifter	drifter
driftwood	driftwood
drill	drill
drink	uminom
drinker	maglalasing
drinking	pag-inom
drinks	inumin
drip	pagtulo
dripping	dripping
drive	biyahe
drivel	pagmamaneho
driver	driver
driveway	driveway
drizzle	ambon
droll	droll
drone	drone
drones	drones
drool	drool
drooping	laylay
droopy	droopy
drop	drop
droplet	maliit na patak
dropout	dropout
dropper	dropper
drought	tagtuyot
drove	NO TRANSLATION
drown	malunod
drowsiness	antok
drowsy	drowsy
drudgery	mahirap na trabaho
drug	gamot
drug dealing	pakikitungo sa droga
drugged	Naka-drugged
druggist	druggist
drugs	gamot
drugstore	botika
druid	druid
drum	tambol
drummer	drummer
drumming	drumming
drunk	lasing
drunk driving	lasing nagmamaneho
drunkard	lasenggo
drunken	lasing
drunkenness	paglalasing
dry	tuyo
dryer	dryer
dryness	pagkatuyo
dual	dalawahan
dualism	dualism
duality	duality
dub	dub
dubious	kahina-hinala
duchess	dukesa
duck	pato
ducking	pagsisid
duckling	sisiw ng baka
ducky	ducky
duct	maliit na tubo
ductile	ductile
dud	hindi
dude	dude
duds	duds
due	dahil
duel	labanan
dues	dues
duet	duet
duffel	duffel
dugout	dugout
duh	duh
duke	duke
dull	mapurol
dullard	dullard
dumb	pipi
dumbasses	dumbasses
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	dummy
dump	dump
dumpling	dumpling
dumps	lungkot
dumpster	dumpster
dun	dun
dunce	dunce
dune	dune
dung	NO TRANSLATION
dungeon	piitan
dunk	magsawsaw
duo	duo
dupe	dupe
duplex	duplex
duplicate	Kopyahin
duplication	pagkopya
duplicity	pandaraya
durability	tibay
durable	matibay
duration	tagal
duress	pagpighati
dusk	gabi
dusky	madilim
dust	alabok
duster	duster
dustpan	pandakot
dusty	maalikabok
dutiful	masunurin
duty	tungkulin
dwarf	dwarf
dwarfed	dwarfed
dweeb	dweeb
dwell	tumira
dweller	dweller
dwelling	tirahan
dye	tinain
dying	namamatay
dyke	dyke
dynamic	dynamic
dynamical	dynamical
dynamics	dynamics
dynamite	dinamita
dynamo	dinamo
dynasty	dinastiya
dysentery	iti
dysfunction	Dysfunction
dysfunctional	dysfunctional
dyspepsia	dyspepsia
eager	sabik
eagerness	pagkasabik
eagle	agila
ear	tainga
earful	masigla
earl	Earl
earlier	mas maaga
early	maaga
earn	kumita
earnest	maalab
earnestly	masigasig
earnestness	masigasig
earnings	kita
earpiece	earpiece
earring	hikaw
earrings	hikaw
earshot	marinig
earth	lupa
earthenware	palayok
earthling	makalupa
earthly	sa lupa
earthquake	lindol
earthy	makadaigdig
ease	madali
easel	kabayo
easement	easement
easily	madali
east	silangan
eastbound	papuntang silangan
eastern	silangan
easy	madali
easygoing	madaling maglakad
eat	kumain
eater	kumain
eating	pagkain
eatingdisorders	NO TRANSLATION
eavesdrop	eavesdrop
eavesdropping	eavesdropping
ebb	ebb
ebony	itim na kahoy
ebullient	ebullient
eccentric	sira-sira
eccentricity	pagkakakilanib
ecclesiastical	ekklesiyastiko
echelon	echelon
echinacea	echinacea
echo	echo
eclectic	eclectic
eclipse	eklipse
ecliptic	ecliptic
ecological	ekolohiya
economic	ekonomiya
economical	ekonomiko
economics	economics
economy	ekonomiya
ecosystem	ecosystem
ecstasy	lubos na kaligayahan
ecstatic	kalugud-lugod
ecumenical	ekumenikal
eddy	eddy
edema	edema
edge	gilid
edging	ukit
edgy	nerbiyoso
edible	nakakain
edict	utos
edification	pagbubuhay
edifice	edipisyo
edit	i-edit
editing	pag-edit
edition	edisyon
editor	editor
editorial	editoryal
educate	turuan
educated	pinag-aralan
education	edukasyon
educational	pang-edukasyon
educator	tagapagturo
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	igat
eerie	nakakatakot
effect	epekto
effective	epektibo
effectiveness	pagiging epektibo
effects	epekto
effectual	mabunga
effectually	epektibo
effectuate	magpatibay
effeminate	kakatwa
efficacious	mabisa
efficacy	bisa
efficiency	kahusayan
efficient	mahusay
effigy	effigy
effort	pagsisikap
effortless	walang hirap
effusion	pagbubuhos
effyou	NO TRANSLATION
egg	itlog
egghead	egghead
eggnog	eggnog
eggplant	talong
eggshell	itlog
ego	pagkamakaako
egomaniac	egomaniac
egotistical	egotistical
egregious	kapansin-pansin
egress	egress
eight	walong
eighteen	labing-walo
eighth	ikawalo
eighty	ikawalo
ejaculate	magbulalas
ejaculation	bulalas
eject	eject
ejection	pagbuga
elaborate	masalimuot
elaboration	pagpaliwanag
elan	NO TRANSLATION
elapse	lumipas
elapsed	lumipas
elastic	nababanat
elasticity	pagkalastiko
elated	masaya
elation	kasiyahan
elbow	elbow
eld	eld
elder	matanda
elderly	matatanda
elders	mga matatanda
eldest	pinakamatanda
elect	hinirang
election	eleksyon
elective	elektibo
elector	botante
electoral	elektoral
electorate	manghahalal
electric	electric
electric slide	electric slide
electrical	elektrikal
electrician	electrician
electricity	kuryente
electrify	magpalakas
electrocute	electrocute
electrocution	electrocution
electromagnetic	electromagnetic
electron	elektron
electronic	electronic
electronics	electronics
elegance	kagandahan
elegant	matikas
element	elemento
elemental	simple
elementary	elementarya
elements	mga elemento
elephant	elepante
elevate	magtaas
elevated	mataas na
elevation	elevation
elevator	elevator
eleven	labing-isang
eleventh	pang-onse
elf	maliit na
elicit	magtamo
eligible	karapat-dapat
eliminate	puksain
elimination	pag-aalis
elite	piling tao
elitist	elitist
elixir	elixir
elk	elk
ell	ell
ellipse	ellipse
ellipsis	ellipsis
ellipsoid	ellipsoid
elliptic	elliptic
elliptical	elliptical
elm	elm
elongate	pahaba
elongation	pagpahaba
elope	lumayo
eloquence	mahusay na pagsasalita
eloquent	magaling
elucidate	elucidate
elucidation	elucidation
elude	elude
elusive	mailap
emaciated	payat na payat
email	email
emanate	nagmula
emancipation	pagpapalaya
embankment	dike
embargo	NO TRANSLATION
embark	pumasok
embarrass	mapahiya
embarrassed	napahiya
embarrassing	nakakahiya
embarrassment	kahihiyan
embassy	embahada
embattled	na-embattled
embed	embed
embellish	magpaganda
embellishment	pagpaganda
embers	embers
embezzlement	paglapastangan
embezzler	embezzler
emblem	sagisag
emblematic	emblematic
embodiment	sagisag
embolism	embolismo
embossed	may emboss
embrace	yakapin
embroidered	burdado
embroidery	pagbuburda
embroiled	nagagalit
embryo	embrayo
embryonic	embryonic
emcee	emcee
emerald	Esmeralda
emerge	lumabas
emergence	paglitaw
emergency	emergency
emeritus	emeritus
emery	emery
emetophobia	emetophobia
emigrate	lumipat
emigration	paglipat
eminence	kadakilaan
eminent	mahalaga
eminently	eminently
emir	NO TRANSLATION
emissary	sugo
emission	paglabas
emit	naglalabas
emo	emo
emotion	damdamin
emotional	emosyonal
emotive	emotive
empathic	empathic
empathize	makiramdam
empathy	makiramdam
emperor	emperador
emphasis	diin
emphasize	bigyang-diin
emphatic	matigas
emphysema	emphysema
empire	imperyo
empirical	empirical
empiricism	empirisismo
employ	gumamit
employee	empleado
employer	tagapag-empleyo
employment	trabaho
emporium	emporium
empower	magbigay ng kapangyarihan
empress	empress
emptiness	kawalan ng laman
emption	paghawak
empty	walang laman
emu	emu
emulate	tularan
emulsion	emulsyon
enable	paganahin
enablement	enablement
enact	magpatibay
enactment	pagpapatibay
enamel	enamel
encampment	kampo
enchant	magayuma
enchanted	enchanted
enchanting	kaakit-akit
enchantment	pagka-akit
enchantress	enchantress
enchilada	enchilada
encircle	bilugan
encircling	palibutan
enclave	enclave
enclose	maglatag
enclosure	enclosure
encode	gawing encode
encomiastic	NO TRANSLATION
encomium	encomium
encompass	maglaman
encore	NO TRANSLATION
encounter	nakatagpo
encourage	hikayatin
encouraged	hinimok
encouragement	bigyan ng lakas ng loob
encouraging	na naghihikayat
encroach	labanan
encroachment	pagsalakay
encrypt	encrypt
encryption	encryption
encumbrance	kabaligtaran
encyclopedia	ensiklopedya
end	wakas
end table	dulo ng lamesa
endanger	ilagay sa panganib
endangered	nanganganib
endangerment	endangerment
endearing	mapagmahal
endeavor	pagsikapan
ended	natapos
endemic	katutubo
endgame	endgame
ending	nagtatapos
endless	walang hanggan
endocarditis	Endocarditis
endorse	nag-endorso
endorsement	pag-endorso
endow	magpatawad
endowed	pinagkalooban
endowment	endowment
endpapers	endpapers
endpoint	endpoint
endurance	pagtitiis
endure	magtiis
enduring	pagtitiis
enema	enema
enemy	kaaway
energetic	masigla
energize	pasiglahin
energy	enerhiya
enforce	ipatupad
enforcement	pagpapatupad
enforcer	tagasunod
engage	makisali
engaged	nakikibahagi
engagement	pakikipag-ugnayan
engaging	makatawag pansin
engender	magbunga
engine	engine
engineer	engineer
engineering	engineering
engrave	ukitin
engraved	engraved
engraver	engraver
engraving	ukit
engrossed	engrossed
engrossing	nakakainis
engulf	lumambot
enhance	mapahusay
enhancement	pagpapahusay
enigma	talinghaga
enigmatic	misteryoso
enjoin	mag-utos
enjoy	tamasahin
enjoyable	kasiya-siya
enjoying	tinatangkilik
enjoyment	kasiyahan
enlarge	palakihin
enlarged	pinalaki
enlargement	pagpapalaki
enlighten	maliwanagan
enlightened	napaliwanagan
enlightening	nakapapaliwanag
enlightenment	paliwanag
enlist	magpatala
enliven	pasiglahin
enmity	pagkapoot
ennui	ennui
enormity	kakila-kilabot
enormous	napakalaking
enormously	sobrang sobra
enraged	galit na galit
enrich	pagyamanin
enroll	magpatala
enrollment	pagpapatala
ensemble	grupo
ensign	ensign
enslave	alipin
enslaved	enslaved
enslavement	pagkaalipin
ensue	sumunod
ensure	siguraduhin
entail	pagsamahin
entangled	gusot
entanglement	gusot
enter	ipasok
enterprise	enterprise
enterprising	handa na
entertain	aliwin
entertained	naaaliw
entertainer	tagapaglibang
entertaining	kawili-wili
entertainment	Aliwan
enthralled	nahihiya
enthusiasm	sigasig
enthusiast	mahilig
enthusiastic	masigasig
entice	hikayatin
entire	buong
entirety	kabuuan
entitle	entitle
entity	entity
entomology	entomolohiya
entourage	entourage
entrails	mga bituka
entrance	pasukan
entrapment	entrapment
entreat	manalangin
entree	kumain
entrepreneur	negosyante
entrust	ipagkatiwala
entry	entry
enumerate	magbilang
enumeration	pagkakakilanlan
envelope	sobre
envious	mainggitin
environ	NO TRANSLATION
environment	kapaligiran
environmental	kapaligiran
environs	environs
envision	makita mo
envoy	sugo
envy	inggit
enzyme	enzyme
ephemeral	ephemeral
ephemeris	ephemeris
epic	mahabang tula
epidemic	epidemya
epidermis	epidermis
epidural	epidural
epilepsy	epilepsy
epileptic	epileptiko
epilogue	epilogue
epiphany	epiphany
episcopal	ukol sa episcopal
episode	episode
episodic	episodiko
epistle	sulat
epitaph	epitaph
epithet	epithet
epitome	epitome
epoch	panahon
equal	pantay
equality	pagkakapantay-pantay
equalization	pagpareho
equalize	equalize
equalizer	pangbalanse
equally	pantay
equate	equate
equation	equation
equator	ekwador
equatorial	equatorial
equestrian	mangangabayo
equidistant	equidistant
equilibration	equilibration
equilibrium	punto ng balanse
equip	magbigay ng kasangkapan
equipment	kagamitan
equitable	pantay
equity	katarungan
equivalence	pagkapareho
equivalent	katumbas
equivocal	katawa-tawa
era	panahon
eradicate	pawiin
eradication	pagwasak
erase	burahin
eraser	pambura
erasure	bura
ere	NO TRANSLATION
erect	magtayo
erectile	maaaring tumayo
erection	pagtayo
ergo	NO TRANSLATION
erode	mababaw
erosion	pagguho
erotic	erotika
erotica	erotika
err	magkamali
errand	lakad
errant	mali
erratic	mali
erratum	erratum
erroneous	mali
error	error
erst	NO TRANSLATION
erudite	matalino
erupt	sumabog
eruption	pagsabog
escalade	escalade
escalate	lumakas
escalating	dumadami
escalation	pagdami
escalator	escalator
escape	makatakas
escaped	nakatakas
escarpment	escarpment
eschew	eschew
escort	escort
escrow	escrow
esophagus	esophagus
esoteric	pribado
especial	NO TRANSLATION
espionage	espionage
espouse	espouse
espresso	espresso
esprit	esprit
esquire	esquire
essay	sanaysay
essayist	sanaysay
essence	kakanyahan
essential	mahalaga
essentially	mahalagang
establish	magtatag
established	itinatag
establishment	pagtatatag
estate	ari-arian
esteem	pagpapahalaga
esteemed	pinahahalagahan
esthetic	esthetic
estimable	pinapanood
estimate	pagtatantya
estimation	pagtatantya
estoppel	estoppel
estranged	hiwalay
estrogen	estrogen
estuary	bunganga
etch	etch
etching	ukit
eternal	walang hanggan
eternity	walang hanggan
ethanol	ethanol
ether	eter
ethereal	kalangitan
ethic	tama
ethical	etikal
ethics	etika
ethnic	etniko
ethnography	etnograpya
etiology	etiology
etiquette	etiketa
etymology	etimolohiya
eucalyptus	uri ng halaman
euchre	euchre
eugenics	eugenics
eulogistic	eulogistic
eulogium	eulogium
eulogize	magpasalamat
eulogy	eulogy
euphemism	euphemism
euphoria	makaramdam ng sobrang tuwa
euphoric	euphoric
euro	euro
euthanasia	pagpatay dahil sa awa
evacuate	lumikas
evacuation	evacuation
evade	umiwas
evaluate	suriin
evaluation	pagsusuri
evanescence	evanescence
evangelical	ebanghelikal
evangelist	ebanghelista
evangelistic	evangelistic
evaporate	maglaho
evaporation	pagsingaw
evasion	pag-iwas
evasive	lumiliko
eve	gabi
evening	gabi
evens	NO TRANSLATION
event	kaganapan
eventful	napakahalaga
eventual	sa wakas
eventuality	parati
evergreen	parating berde
everlasting	walang hanggan
evermore	magpakailanman
everyday	araw-araw
everyman	bawat lalaki
evict	magpalayas
eviction	pagpapaalis
evidence	katibayan
evident	maliwanag
evidentiary	evidentiary
evil	masama
evoke	pukawin
evolution	ebolusyon
evolutionary	sa gitna ng ebolusyon
evolve	nagbabago
ewe	ewe
ex	hal
exacerbate	lumalala
exacerbation	pagpapalabas
exact	eksaktong
exacting	nagpapatunay
exaggerate	magpahigit
exaggerated	pinagrabe
exaggeration	pagmamalabis
exalt	itaas
exaltation	pagpaparangal
exalted	mataas
exam	pagsusulit
examination	pagsusuri
examine	suriin
examiner	tagasuri
example	Halimbawa
exasperated	napahiya
exasperation	pagkagalit
excavate	maghukay
excavation	paghuhukay
excavator	maghuhukay
exceed	lumagpas
exceeding	lubha
excel	excel
excellence	kahusayan
excellent	mahusay
excelsior	excelsior
excepting	maliban sa
exception	pagbubukod
exceptional	pambihirang
excerpt	sipi
excess	labis
excessive	labis
excessively	labis
exchange	palitan
excise	excise
excision	pagbubukod
excitability	excitability
excitable	kapani-paniwala
excitation	paggulo
excite	gumising
excited	nasasabik
excitement	kaguluhan
exciting	kapanapanabik
exclaim	sumigaw
exclamation	tandang
exclude	ibukod
excluded	hindi kasama
excluding	hindi kasama
exclusion	pagbubukod
exclusive	eksklusibo
excrement	excrement
excretion	pagpapalabas
excruciating	masakit na masakit
excursion	iskursiyon
excuse	patawad
exec	exec
execute	execute
execution	pagpapatupad
executioner	tagapagpatupad
executive	executive
executor	tagapagpatupad
exegesis	pag-intindi ng teksto
exemplar	halimbawa
exemplary	kapuri-puri
exemplify	halimbawa
exempt	exempt
exemption	exemption
exercise	ehersisyo
exert	magsikap
exertion	bigay
exhale	huminga nang palabas
exhaust	ubusin
exhausted	naubos na
exhaustion	kapaguran
exhaustive	lubusan
exhibit	eksibit
exhibition	eksibisyon
exhilarated	nakapagtataka
exhilarating	nakapagpapasigla
exhilaration	kagalakan
exhort	magpayo
exhortation	payo
exhumation	Exhumation
exhume	magpahinga
exigent	NO TRANSLATION
exile	pagpapatapon
exist	umiiral
existence	pag-iral
existent	umiiral
existential	existential
existing	umiiral
exit	lumabas
exodus	exodo
exonerate	magpatawad
exorbitant	napakadakila
exorcism	exorcism
exorcist	exorcist
exotic	kakaiba
expand	palawakin
expanded	pinalawak
expanse	kalawakan
expansion	Pagpapalawak
expansive	malawak
expatriate	ekspatriate
expect	asahan
expectance	inaasahan
expectancy	pag-asa
expectant	umaasa
expectation	inaasahan
expected	inaasahan
expecting	umaasa
expediency	kapaki-pakinabang
expedient	mahalaga
expedite	mapabilis
expedition	ekspedisyon
expeditious	mabilis
expel	paalisin
expendable	maaaring gastahin
expenditure	paggasta
expense	gastos
expenses	gastos
expensive	mahal
experience	karanasan
experienced	nakaranas
experiences	mga karanasan
experiment	eksperimento
experimental	experimental
experimentation	eksperimento
experimenter	tagapagsubok
expert	dalubhasa
expertise	kadalubhasaan
expiration	pag-expire
expire	mawawalan ng bisa
expired	Nag-expire na
expiry	pag-expire
explain	ipaliwanag
explanation	paliwanag
explanatory	paliwanag
expletive	sumasalamin
explication	eksplikasyon
explicit	tahasang
explode	sumabog
exploit	pagsamantalahan
exploitation	pagsasamantala
exploration	paggalugad
exploratory	pagsaliksik
explore	galugarin
explorer	explorer
explosion	pagsabog
explosions	mga pagsabog
explosive	paputok
expo	eksibisyon
exponent	exponent
exponential	pagpaparami
export	i-export
exportation	pag-export
expose	ilantad
exposed	nakalantad
exposition	pagsasaysay
expository	expository
exposure	pagkakalantad
expound	ipaliwanag
express	ipahayag
expression	pagpapahayag
expressive	nagpapahayag
expressway	expressway
expropriation	ekspropriasyon
expulsion	pagpapaalis
exquisite	magandang-maganda
exquisitely	exquisitely
extant	umiiral na
extend	palawigin
extendable	maipapalawak
extended	pinalawak
extension	extension
extensive	malawak
extent	lawak
exterior	panlabas
exterminate	puksain
extermination	pagputol
exterminator	tagapaglipol
external	panlabas
externally	panlabas
extinct	wala na
extinction	pagkalipol
extinguish	pumatay
extinguisher	pamatay
extol	extol
extort	kumikilos
extortion	pangingikil
extra	dagdag
extract	kunin
extracting	extracting
extraction	bunutan
extractor	taga bunot
extracurricular	ekstrakurikular
extradition	extradition
extrajudicial	ekstrahudisyal
extramural	extramural
extraneous	sa labas
extraordinaire	extraordinaire
extraordinary	hindi pangkaraniwang
extraterrestrial	extraterrestrial
extravagance	pagpapalabis
extravagant	maluho
extravaganza	marangal
extreme	matinding
extreme anticipation	matinding pag-asa
extreme disgust	labis na pagkasuklam
extreme surprise	matinding sorpresa
extreme trust	matinding tiwala
extremely	labis
extremely negative	labis na negatibo
extremely positive	sobrang positibo
extremity	kaduluhan
extricate	magpalabas
extrinsic	extrinsic
extrusion	pagpilit
