Word	km
captor	captor
capture	ចាប់យក
car	រថយន្ត
caramel	caramel
carat	ការ៉ាត់
caravan	ចរ
carbon	កាបូន
carburetor	carburetor
carcass	គ្រោងឆ្អឹង
carcinoma	ជំងឺមហារីក
card	កាត
cardboard	កាតក្រដាស
cardiac	បេះដូង
cardigan	អាវយឺត
cardinal	កាតូលិក
cardiologist	គ្រូពេទ្យបេះដូង
cardiology	ជំងឺបេះដូង
cardiomyopathy	cardiomyopathy
cards	កាត
care	ថែទាំ
career	អាជីព
carefree	គ្មានកង្វល់
careful	ប្រយ័ត្ន
carefully	ដោយយកចិត្តទុកដាក់
careless	មិនចេះខ្វល់ខ្វាយ
carelessness	ការធ្វេសប្រហែស
caress	caress
caret	សញ្ញា
caretaker	អ្នកថែទាំ
cargo	ទំនិញ
caribou	caribou
caricature	caricature
caries	caries
caring	យកចិត្តទុកដាក់
carjack	carjack
carnage	ការសម្លាប់រង្គាល
carnal	សាច់ឈាម
carnation	carnation
carnival	ក្បួនហេ
carnivorous	ស៊ីសាច់ឆ្អិន
carol	carol
carols	កុន
carousel	រណប
carp	ម្ទេស
carpal	carpal
carpenter	ជាងឈើ
carpentry	ជាងឈើ
carpet	កំរាលព្រំ
carpeting	កំរាលព្រំ
carpool	រថយន្ត
carriage	រទេះ
carried	អនុវត្ត
carrier	ក្រុមហ៊ុនអាកាសចរណ៍
carrot	ការ៉ុត
carry	ដឹក
carrying	ដឹក
carsick	ឡាន
cart	រទេះ
carte	NO TRANSLATION
cartel	cartel
carter	ឡាន
cartilage	ឆ្អឹងខ្ចី
cartographic	គំនូសតាង
cartography	ផែនទី
carton	ផ្ទាំងថ្ម
cartoon	គំនូរជីវចល
cartouche	NO TRANSLATION
cartridge	cartridge
carve	ឆ្លាក់
carver	ឆ្លាក់
carving	ឆ្លាក់
cascade	ល្បាក់
case	ករណី
casein	casein
cash	សាច់ប្រាក់
cashier	អ្នកគិតលុយ
cashmere	cashmere
casing	ប្រអប់
casino	កាស៊ីណូ
cask	កំប៉ុង
casket	ក្ស័យធន
casserole	casserole
cassette	កាសែត
cast	ដេញ
castaway	បោះ​ទៅ​ឆ្ងាយ
caste	វណ្ណះ
caster	caster
castle	ប្រាសាទ
castor	តុកកែ
castrate	castrate
castration	castration
casual	ធម្មតា
casually	ធម្មតា
casualty	គ្រោះថ្នាក់
cat	ឆ្មា
catabolism	catabolism
catalog	កាតាឡុក
catalogue	កាតាឡុក
catalysis	catalysis
catalyst	កាតាលីករ
catalytic	កាតាលីករ
catamaran	catamaran
catapult	catapult
cataract	ជំងឺភ្នែកឡើងបាយ
catastrophe	មហន្តរាយ
catastrophic	មហន្តរាយ
catatonic	catatonic
catch	ចាប់
catcher	catcher
catching	ចាប់
catchphrase	catchphrase
catchy	គួរឱ្យចាប់អារម្មណ៍
catechism	catechism
categorical	ប្រភេទ
category	ប្រភេទ
cater	ផ្តល់ម្ហូបអាហារ
caterer	caterer
caterpillar	caterpillar
cates	cates
catfish	ត្រីខ្សាច់
cathartic	cathartic
cathedral	វិហារ
catheter	បំពង់បូម
catholic	កាតូលិក
cathouse	cathouse
catnip	catnip
cattle	គោក្របី
catwalk	ដើរបង្ហាញម៉ូដ
caucus	caucus
caudal	caudal
cauldron	cauldron
cauliflower	ខាត់ណាផា្កស្ព
caulk	ខ្សាច់
causal	មូលហេតុ
causality	មូលហេតុ
causation	មូលហេតុ
cause	មូលហេតុ
caused	បណ្តាលមកពី
causeway	ផ្លូវ
caution	ការប្រុងប្រយ័ត្ន
cautionary	ការប្រុងប្រយ័ត្ន
cautious	ប្រុងប្រយ័ត្ន
cautiously	ប្រយ័ត្ន
cavalier	cavalier
cavalry	ទ័ពសេះ
cave	រូងភ្នំ
caveat	ប្រយ័ត្ន
caveman	អ្នកការពារ
cavern	រូង
cavernous	cavernous
caviar	caviar
caving	caving
cavity	បែហោងធ្មែញ
cayenne	cayenne
cease	ឈប់
ceasefire	បទឈប់បាញ់
ceaseless	ឥតឈប់ឈរ
cedar	ដើមតាត្រៅ
cede	cede
ceiling	ពិដាន
celebrant	អ្នកគាំទ្រ
celebrate	អបអរ
celebrated	បានប្រារព្ធ
celebrating	អបអរសាទរ
celebration	ការប្រារព្ធពិធី
celebrations	ការប្រារព្ធពិធី
celebratory	ពិធីបុណ្យ
celebrity	តារាល្បី
celery	celery
celestial	ឋានសួគ៌
celibacy	ការលោភលន់
celibate	សេលប៊េត
cell	កោសិកា
cellar	cellar
cellblock	cellblock
cellist	cellist
cellmate	cellmate
cello	cello
cellophane	cellophane
cellular	កោសិកា
cellulite	cellulite
celluloid	celluloid
cement	ស៊ីម៉ងត៍
cemented	ស៊ីម៉ង់
cemetery	ទីបញ្ចុះសព
censor	censor
censorship	ការត្រួតពិនិត្យ
censure	censure
census	ជំរឿន
cent	មួយរយ
centenary	100 ឆ្នាំ
centennial	រយឆ្នាំ
center	កណ្តាល
centerfold	centerfold
centerpiece	កណ្តាល
centimeter	សង់ទីម៉ែត្រ
centipede	លាន
central	កណ្តាល
centrality	កណ្តាល
centralization	មជ្ឈដ្ឋាន
centralize	កណ្តាល
centrally	កណ្តាល
centrifugal	centrifugal
centrifuge	centrifuge
centurion	នាយទាហាន
century	សតវត្ស
ceramic	សេរ៉ាមិច
ceramics	សេរ៉ាមិក
cereal	ធញ្ញជាតិ
cereals	ធញ្ញជាតិ
cerebral	ខួរក្បាល
ceremonial	ពិធី
ceremony	ពិធី
certain	ជាក់លាក់
certainty	ច្បាស់
certifiable	អាចបញ្ជាក់បាន
certificate	វិញ្ញាបនបត្រ
certified	បានបញ្ជាក់
certify	បញ្ជាក់
cervical	មាត់ស្បូន
cervix	មាត់ស្បូន
cess	cess
cessation	បញ្ឈប់
cesspool	cesspool
cha cha	NO TRANSLATION
chaff	ចំបើង
chafing	chafing
chagrin	អាក់អន់ចិត្ត
chagrined	chagrined
chai	ចៃ
chain	ខ្សែសង្វាក់
chainsaw	ចង្វាក់
chair	ប្រធាន
chairman	ប្រធាន
chairperson	ប្រធាន
chairwoman	ប្រធាន
chaise	កៅអី
chalet	chalet
chalice	chalice
chalk	ដីស
challenge	បញ្ហាប្រឈម
challenger	គូប្រជែង
chamber	បន្ទប់
chambermaid	អ្នកបម្រើ
chambers	បន្ទប់
chameleon	ឆ្មេញ
champ	វាល
champagne	ស្រា​សំ​ប៉ា​ញ
champion	ជើងឯក
championship	ជើងឯក
chance	ឱកាស
chancellor	អធិការបតី
chandelier	chandelier
chandler	chandler
change	ផ្លាស់ប្តូរ
changeable	អាចផ្លាស់ប្តូរ
changed	បានផ្លាស់ប្តូរ
changer	ប្តូរ
changing	កំពុងផ្លាស់ប្តូរ
channel	ឆានែល
chant	សូត្រ
chaos	ភាពវឹកវរ
chaotic	វឹកវរ
chap	ជំពូក
chapel	វិហារ
chaperon	chaperon
chaplain	បព្វជិត
chapman	ជំពូក
chaps	ចាប
chapter	ជំពូក
char	char
character	តួអក្សរ
characteristic	លក្ខណៈ
characterize	លក្ខណៈ
charade	charade
charcoal	ធ្យូង
chardonnay	chardonnay
charge	បន្ទុក
chargeable	បន្ទុក
charger	ឆនំង
chariot	រទេះ
charisma	សម្បទាន
charismatic	មានមន្តស្នេហ៍
charitable	សប្បុរសធម៌
charity	សប្បុរសធម៌
charlatan	charlatan
charm	ការទាក់ទាញ
charmed	ទាក់ទាញ
charmer	ឆើតឆាយ
charming	មានមន្តស្នេហ៍
charred	ឆេះ
chart	តារាង
charter	ធម្មនុញ្ញ
chartered	ជួល
chase	ដេញ
chased	ដេញ
chaser	ឆាត
chasm	ចាម
chassis	តួ
chaste	ពិសិដ្ឋ
chastened	chastened
chastisement	ការដាក់ទោស
chastity	ភាពបរិសុទ្ធ
chat	ជជែក
chateau	វិមាន
chatter	ជជែកកំសាន្ត
chatterbox	chatterbox
chattering	ជជែកវែកញែក
chatty	chatty
chauffeur	អ្នកបើកបរ
chauvinist	chauvinist
cheap	ថោក
cheapened	cheapened
cheapskate	cheapskate
cheat	ក្លែងបន្លំ
cheater	បន្លំ
check	ពិនិត្យ
checkbook	សៀវភៅ
checker	ពិនិត្យ
checkered	checkered
checkers	ពិនិត្យ
checklist	បញ្ជីផ្ទៀងផ្ទាត់
checkmate	checkmate
checkout	ពិនិត្យ​មុន​ពេល​ចេញ
checkpoint	ប៉ុស្តិ៍ត្រួតពិនិត្យ
checkup	ត្រួតពិនិត្យ
cheek	ថ្ពាល់
cheeks	ថ្ពាល់
cheeky	ថ្ពាល់
cheep	cheep
cheer	រីករាយ
cheered	អបអរសាទរ
cheerful	ដោយ​ចិត្ដ​រីករាយ
cheerfulness	រីករាយ
cheering	រីករាយ
cheerleader	cheerleader
cheerleading	cheerleading
cheerless	អបអរសាទរ
cheers	អបអរសាទរ
cheery	រីករាយ
cheese	ឈីស
cheeseburger	cheeseburger
cheesecake	cheesecake
cheesy	cheesy
cheetah	cheetah
chef	មេចុងភៅ
chemical	គីមី
chemise	NO TRANSLATION
chemist	គីមីវិទូ
chemistry	គីមីសាស្ត្រ
chemo	chemo
chemotherapy	ការព្យាបាលដោយប្រើគីមី
cheque	ពិនិត្យ
cherish	ពេញចិត្ត
cherishing	ពេញចិត្ត
cherry	cherry
cherub	cherub
chess	អុក
chest	ទ្រូង
chestnut	សណ្តែក
chevron	chevron
chew	ទំពា
chewy	chewy
chic	ឡូយ
chicane	chicane
chick	chick
chicken	សាច់​មាន់
chicken pox	សាច់មាន់
chickenpox	ជំងឺអុតស្វាយ
chief	ប្រធាន
chiefly	សំខាន់
chieftain	មេបញ្ជាការ
chiffon	សំលៀកបំពាក់
child	កូន
childbirth	ការសម្រាលកូន
childhood	កុមារភាព
childish	កូនក្មេង
childless	គ្មានកូន
childlike	ដូចកូនក្មេង
childloss	NO TRANSLATION
children	កុមារ
chili	ម្ទេស
chill	ញាក់
chilled	ញាក់
chilling	ញាក់
chilly	chilly
chime	ខ្សែភាពយន្ត
chimera	chimera
chimes	និយាយ
chimney	បំពង់ផ្សែង
chimp	chimp
chimpanzee	សត្វស្វា
chin	ចង្កា
china	ប្រទេសចិន
chinchilla	chinchilla
chine	NO TRANSLATION
chinook	chinook
chip	បន្ទះឈីប
chipmunk	chipmunk
chipper	chipper
chipping	chipping
chiropractor	chiropractor
chirp	chirp
chirping	chirping
chisel	កាក់
chiseler	chiseler
chit	chit
chitchat	ជជែកគ្នា​លេង
chivalry	chivalry
chloride	ក្លរីត
chlorine	ក្លរីន
chloroform	chloroform
chocolate	សូកូឡា
choice	ជម្រើស
choir	ក្រុមចម្រៀង
choke	ញ័រ
cholera	ជំងឺអាសន្នរោគ
cholesterol	កូលេស្តេរ៉ុល
choose	ជ្រើសរើស
choosing	ជ្រើសរើស
choosy	choosy
chop	chop
chopper	ឡុកឡាក់
choppers	ឆីង
chopping	កាត់
chops	chops
choral	ច្រៀង
chord	អង្កត់ធ្នូ
chords	អង្កត់ធ្នូ
chore	ការងារ
choreographer	អ្នករាំ
choreography	ក្បាច់រាំ
chorus	ច្រៀងបន្ទរ
chosen	ជ្រើសរើស
chow	chow
chowder	ម្សៅ
christ	ព្រះគ្រីស្ទ
christen	NO TRANSLATION
christening	christening
christian	គ្រីស្ទីន
christmas	ណូអែល
christmasbreak	NO TRANSLATION
christmaseve	NO TRANSLATION
christmasspirit	NO TRANSLATION
christmassy	christmassy
christmastime	christmastime
chromatic	chromatic
chromatography	Chromatography
chrome	Chrome
chromium	chromium
chromosome	ក្រូម៉ូសូម
chronic	រ៉ាំរ៉ៃ
chronicle	Chronicle
chronograph	chronograph
chronological	កាលប្បវត្តិ
chubby	chubby
chuck	chuck
chuckle	ញញឹម
chug	chug
chum	ជុំ
chummy	ឆាយ
chump	chump
chunk	កំណាត់
chunky	រញ៉េរញ៉ៃ
church	ព្រះវិហារ
churchyard	សួនច្បារ
churn	churn
chute	ធ្លាក់
chutney	chutney
ciao	ciao
cider	cider
cigar	ស៊ីហ្គា
cigarette	បារី
cilantro	cilantro
cinch	cinch
cinder	cinder
cinema	រោងកុន
cinematic	ភាពយន្ត
cinematographer	អ្នកថតរូប
cinematography	ភាពយន្ត
cinnamon	cinnamon
cipher	cipher
circle	រង្វង់
circling	circling
circuit	សៀគ្វី
circuitry	circuitry
circular	រាងជារង្វង់
circulate	ចរាចរ
circulation	ចរាចរណ៍
circulatory	circulatory
circumcision	ការកាត់ស្បែក
circumference	circumference
circumferential	circumferential
circumscribed	circumscribed
circumstance	កាលៈទេសៈ
circumstances	កាលៈទេសៈ
circumstantial	circumstantial
circumvent	circumvent
circumvention	circumvention
circus	សៀក
cirque	cirque
cirrhosis	ជម្ងឺក្រិនថ្លើម
cirrus	cirrus
cistern	ស្រះ
citadel	citadel
citation	ដកស្រង់
cite	ដកស្រង់
citizen	ប្រជាពលរដ្ឋ
citizenship	ភាពជាពលរដ្ឋ
citrine	citrine
citrus	citrus
city	ទីក្រុង
citywide	ទូទាំងក្រុង
civic	ពលរដ្ឋ
civics	ពលរដ្ឋ
civil	ស៊ីវិល
civilian	ស៊ីវិល
civilians	ស៊ីវិល
civility	ភាពរុងរឿង
civilization	អរិយធម៌
civilized	ស៊ីវិល
clad	ក្រណាត់
claim	ការទាមទារ
claimant	អ្នកទាមទារ
clairvoyant	clairvoyant
clam	ត្រាំ
clambake	clambake
clammy	ក្រមុំ
clamor	ស្រែក
clamp	ការគៀប
clan	ត្រកូល
clandestine	ក្លែងបន្លំ
clang	ត្រកូល
clap	ទះដៃ
clapper	ចំពុះ
clapping	ទះដៃ
clarification	ការបំភ្លឺ
clarify	បញ្ជាក់​ពី
clarinet	clarinet
clarion	បញ្ជាក់
clarity	ភាពច្បាស់លាស់
clash	ប៉ះទង្គិច
clashing	ប៉ះទង្គិច
clasp	clasp
class	ថ្នាក់
classic	បុរាណ
classic rock	ថ្មបុរាណ
classical	បុរាណ
classics	បុរាណ
classification	ចំណាត់ថ្នាក់
classified	បានចាត់ថ្នាក់
classify	ចាត់ថ្នាក់
classmate	មិត្តរួមថ្នាក់
classroom	ថ្នាក់រៀន
classy	ក្លាស៊ីស្តាយ
clatter	កំប្លែង
clause	ឃ្លា
clauses	ឃ្លា
claustrophobia	claustrophobia
claustrophobic	claustrophobic
clavicle	clavicle
claw	ក្រញ៉ាំ
claws	ក្រញ៉ាំ
clay	ដីឥដ្ឋ
clean	ស្អាត
cleaner	អនាម័យ
cleaning	សំអាត
cleanliness	អនាម័យ
cleanly	ស្អាត
cleanse	សំអាត
cleanser	អនាម័យ
cleansing	សម្អាត
cleanup	សម្អាត
clear	ច្បាស់លាស់
clearance	ការបោសសំអាត
clearing	ឈូសឆាយ
clearness	ច្បាស់
cleat	cleat
cleavage	កាច់ចង្កូត
cleave	កាច់
cleaver	NO TRANSLATION
clef	clef
cleft	ឆែប
clemency	ការលើកលែងទោស
clench	clench
clergy	បព្វជិត
clergyman	បព្វជិត
cleric	បព្វជិត
clerical	ស្មៀន
clerk	ស្មៀន
clerkship	ភារកិច្ច
clever	ឆ្លាត
cleverness	ឆ្លាត
click	ចុច
clicker	ចុច
client	អតិថិជន
clientele	អតិថិជន
cliff	ច្រាំងថ្មចោទ
climate	អាកាសធាតុ
climatology	អាកាសធាតុ
climax	កម្រិតមធ្យម
climb	ឡើង
climber	អ្នកឡើងភ្នំ
clinch	clinch
cling	តោង
clingy	ចង្កា
clinic	គ្លីនិក
clinical	គ្លីនិក
clink	clink
clip	ឃ្លីប
clipboard	ក្ដារតម្បៀតខ្ទាស់
clipper	ខាប់
clipping	ច្រឹប
clique	NO TRANSLATION
clitoris	គ្លីតូរីស
cloak	សម្លៀកបំពាក់
cloaking	cloaking
cloakroom	សម្លៀកបំពាក់
clobber	clobber
clock	នាឡិកា
clockwork	clockwork
clod	clod
clog	ស្ទះ
cloister	របៀង
clone	ក្លូន
cloning	ក្លូន
close	បិទ
closed	បានបិទ
closeness	ភាពជិតស្និទ្ធ
closet	ទូ
closure	បិទ
clot	កំណកឈាម
cloth	សំលៀកបំពាក់
clothe	សំលៀកបំពាក់
clothes	សំលៀកបំពាក់
clothesline	សម្លៀកបំពាក់
clothing	សម្លៀកបំពាក់
cloud	ពពក
clouded	ពពក
cloudiness	ពពក
clouds	ពពក
cloudy	ពពក
clout	ឥទ្ធិពល
clove	clove
clover	clover
cloves	cloves
clown	ត្លុក
clowns	ត្លុក
club	ក្លឹប
clubhouse	ក្លឹប
clubs	ក្លឹប
cluck	ខ្ទេច
clue	សញ្ញាព្រមាន
clueless	ភាពក្លៀវក្លា
clump	clump
clumsy	មិនធម្មតា
clunk	clunk
cluster	ចង្កោម
clutch	ក្ដាប់
clutches	កកកុញ
clutter	ពង្រាយ
coach	គ្រូបង្វឹក
coachman	គ្រូបង្វឹក
coagulation	coagulation
coal	ធ្យូងថ្ម
coalesce	coalesce
coalition	ចំរុះ
coarse	សំបូរ
coast	ឆ្នេរ
coastal	ឆ្នេរ
coaster	គ្រូបង្វឹក
coastline	ឆ្នេរ
coat	ថ្នាំកូត
coating	ថ្នាំកូត
coax	coax
cobalt	cobalt
cobble	cobble
cobbler	cobbler
cobra	cobra
cocaine	កូកាអ៊ីន
cock	ជល់មាន់
cockamamie	cockamamie
cockeyed	cockeyed
cockpit	កាប៊ីនយន្ដហោះ
cockroach	កន្លាត
cocksucker	cocksucker
cocktail	ស្រាក្រឡុក
cocky	ជ្រីវជ្រួញ
cocoa	កាកាវ
coconut	ដូង
cocoon	cocoon
cod	cod
code	កូដ
codeine	codeine
codex	codex
codfish	codfish
codification	codification
codify	codify
coding	សរសេរកូដ
coed	coed
coefficient	មេគុណ
coerce	បង្ខិតបង្ខំ
coercion	ការបង្ខិតបង្ខំ
coercive	បង្ខិតបង្ខំ
coexist	រួមរស់ជាមួយគ្នា
coexistence	រួមរស់
coexisting	រួមរស់ជាមួយគ្នា
coffee	កាហ្វេ
coffee table	តុ​កាហ្វេ
coffeehouse	ផ្ទះ​កាហ្វេ
coffeepot	ប៉ាន់​កាហ្វេ
coffin	មឈូស
cog	cog
cogent	cogent
cognac	cognac
cognate	cognate
cognition	ការយល់ដឹង
cognitive	ការយល់ដឹង
cohabitation	វាកើនឡើង
coherence	ភាពស្មុគស្មាញ
coherent	coherent
cohesion	សហសេវិក
cohesive	ស្អិតរមួត
cohort	cohort
coil	ឧបករណ៏
coiled	បង្វិល
coin	កាក់
coinage	coinage
coincide	ស្របពេល
coincidence	ចៃដន្យ
coincident	ចៃដន្យ
coincidental	ចៃដន្យ
coinciding	ស្របពេល
coke	កូកាកូឡា
cola	cola
cold	ត្រជាក់
coldly	ត្រជាក់
coldness	ត្រជាក់
coldsweat	NO TRANSLATION
coleslaw	coleslaw
colic	colic
coliseum	coliseum
collaborate	សហការគ្នា
collaboration	ការសហការ
collaborator	សហការី
collage	ឃោសនា
collagen	កូឡាជែន
collapse	ដួលរលំ
collar	កអាវ
collarbone	ឆ្អឹងក
collate	ប្រមូលផ្ដុំ
collateral	វត្ថុបញ្ចាំ
collation	ប្រមូលផ្ដុំ
colleague	មិត្តរួមការងារ
collect	ប្រមូល
collected	ប្រមូល
collection	ការប្រមូល
collective	សមូហភាព
collectively	រួម
collector	ប្រមូល
college	មហាវិទ្យាល័យ
collegiate	មហាវិទ្យាល័យ
collide	បុកគ្នា
collie	collie
collision	បុក
collocation	តំបន់រង
colloquial	colloquial
collusion	ឃោសនា
cologne	ប្រទេសកូឡុំប៊ី
colon	ពោះវៀន
colonel	វរសេនីយឯក
colonial	អាណានិគម
colonic	អាណានិគម
colonoscopy	colonoscopy
colony	អាណានិគម
colophon	colophon
color	ពណ៌
coloration	ពណ៌
colored	ពណ៌
colorful	ពណ៌ស្រស់ឆើតឆាយ
coloring	ពណ៌
colorless	គ្មានពណ៌
colors	ពណ៌
colossal	colossal
colt	colt
columbine	columbine
column	ជួរឈរ
columnar	ជួរឈរ
columnist	columnist
com	NO TRANSLATION
coma	សន្លប់
comatose	ឆ្អឹង
comb	កំប៉េះ
combat	ប្រយុទ្ធ
combatant	អ្នកប្រយុទ្ធ
combative	combative
combination	បន្សំ
combinatorial	combinatorial
combine	ផ្សំ
combined	រួមបញ្ចូល
combo	បន្សំ
combustible	អាចឆេះបាន
combustion	្រំមហះ
come	មក
comeback	ត្រលប់មកវិញ
comedian	តារាកំប្លែង
comedy	កំប្លែង
comet	ផ្កាយដុះកន្ទុយ
comfort	ការលួងលោម
comfortable	មាន​ផា​សុខភាព
comforter	អ្នកលួងលោម
comforting	ការលួងលោម
comfy	ល្អ
comic	ថ្លុក
comical	កំប្លែង
comics	រឿងកំប្លែង
coming	មក
comma	សញ្ញាក្បៀស
command	ពាក្យបញ្ជា
commandant	មេបញ្ជាការ
commandeer	បញ្ជា
commander	មេបញ្ជាការ
commanding	បញ្ជា
commandment	បទបញ្ជា
commando	commando
commemorate	រំលឹក
commemoration	ការរំឭក
commemorative	ពិធីរំលឹក
commence	ចាប់ផ្តើម
commend	សរសើរ
commendable	គួរឱ្យសរសើរ
commendation	ការសរសើរ
commensurate	សមាមាត្រ
comment	ផ្ដល់មតិ
commentary	អត្ថាធិប្បាយ
commentator	អ្នកអត្ថាធិប្បាយ
commerce	ពាណិជ្ជកម្ម
commercial	ពាណិជ្ជកម្ម
commie	ក្បត់
commissary	ស្នងការ
commission	គណៈកម្មការ
commissioner	ស្នងការ
commit	ប្រព្រឹត្ត
commitment	ការប្តេជ្ញា
committal	committal
committed	ប្តេជ្ញា
committee	គណៈកម្មាធិ
commodity	ទំនិញ
commodore	ទំនិញ
common	ធម្មតា
commoner	ធម្មតា
commonly	ជាទូទៅ
commonplace	ធម្មតា
commons	សាមញ្ញ
commonwealth	ភាពជាពលរដ្ឋ
commotion	ចលាចល
communal	ឃុំ
commune	ឃុំ
communicable	អាចចម្លងបាន
communicate	ទំនាក់ទំនង
communication	ការ​ទំនាក់ទំនង
communicative	ទំនាក់ទំនង
communicator	អ្នកទំនាក់ទំនង
communion	រួមគ្នា
communism	កុម្មុយនិស្ត
communist	កុម្មុយនិស្ត
community	សហគមន៍
commutation	ការប្ដូរ
commutative	ប្រែប្រួល
commute	ធ្វើដំណើរ
commuter	ធ្វើដំណើរ
comp	comp
compact	បង្រួម
compaction	បង្រួម
compactness	បង្រួម
companion	ដៃគូ
companionless	គ្មានដៃគូ
companionship	ភាពជាដៃគូ
company	ក្រុមហ៊ុន
comparable	ប្រៀបធៀប
comparative	ប្រៀបធៀប
comparatively	ប្រៀបធៀប
compare	ប្រៀបធៀប
comparison	ប្រៀបធៀប
compartment	ថ្នាក់
compass	ត្រីវិស័យ
compassion	មេត្តាធម៌
compassionate	មេត្តាករុណា
compatibility	ភាពឆបគ្នា
compatible	ឆបគ្នា
compel	បង្ខំ
compelled	បង្ខំ
compelling	គួរឱ្យទាក់ទាញ
compendium	គណនា
compensate	ទូទាត់សង
compensation	សំណង
compensatory	សំណង
compete	ប្រកួតប្រជែង
competence	សមត្ថភាព
competency	សមត្ថភាព
competent	សមត្ថកិច្ច
competition	ការប្រកួតប្រជែង
competitive	ការប្រកួតប្រជែង
competitor	គូប្រជែង
compilation	ការចងក្រង
compile	ចងក្រង
complacency	ភាពឆ្អែតឆ្អន់
complacent	ពេញចិត្ត
complain	ត្អូញត្អែរ
complaint	ពាក្យបណ្តឹង
complement	បំពេញ
complementary	បំពេញ
complete	បញ្ចប់
completed	បានបញ្ចប់
completely	ទាំងស្រុង
completeness	ពេញលេញ
completing	បំពេញ
completion	បញ្ចប់
complex	ស្មុគស្មាញ
complexed	ស្មុគស្មាញ
complexion	ស្បែក
complexity	ស្មុគស្មាញ
compliance	អនុលោមភាព
compliant	អនុលោម
complicate	ស្មុគស្មាញ
complicated	ភាព​ស្មុគស្មាញ
complication	ផលវិបាក
complicity	ការផ្សំគំនិត
compliment	NO TRANSLATION
complimentary	complimentary
comply	អនុលោមតាម
complying	អនុលោម
compo	compo
component	សមាស​ភាគ
compose	តែង
composed	តែង
composer	អ្នកនិពន្ធ
composite	សមាសធាតុ
composition	ការ​តែង​និពន្ធ
compost	ជីកំប៉ុស
composure	ស្ងប់
compound	បរិវេណ
comprehend	យល់
comprehension	ការយល់ដឹង
comprehensive	ទូលំទូលាយ
compress	បង្ហាប់
compressed	បានបង្ហាប់
compressible	អាចបង្រួមបាន
compression	ការបង្ហាប់
compressor	ម៉ាស៊ីនបង្ហាប់
comprise	រួម
compromise	សម្រុះសម្រួល
comptroller	គណនេយ្យករ
compulsion	បង្ខំ
compulsive	បង្ខំ
compulsory	កាតព្វកិច្ច
computable	អាចគណនាបាន
computation	ការគណនា
compute	គណនា
computer	កុំព្យូទ័រ
computerized	កុំព្យូទ័រ
computing	កុំព្យូទ័រ
comrade	មិត្ត
con	NO TRANSLATION
concatenation	ផ្សំ
concave	concave
conceal	លាក់
concealed	លាក់ទុក
concealment	ការលាក់បាំង
concede	ទទួលស្គាល់
conceit	អំនួត
conceited	លាក់
conceivable	សារធាតុចិញ្ចឹម
conceive	មានផ្ទៃពោះ
concentrate	ផ្តោតអារម្មណ៍
concentration	ការប្រមូលផ្តុំ
concentric	ប្រមូលផ្ដុំ
concept	គំនិត
conception	ទស្សនៈ
concern	ការព្រួយបារម្ភ
concerned	ការព្រួយបារម្ភ
concert	ការប្រគុំតន្ត្រី
concerto	concerto
concession	សម្បទាន
concessional	សម្បទាន
conch	conch
concierge	អ្នកបំរើ
conciliation	ការផ្សះផ្សា
concise	សង្ខេប
conclave	conclave
conclude	បញ្ចប់
concluding	សន្និដ្ឋាន
conclusion	សេចក្តីសន្និដ្ឋាន
conclusive	សន្និដ្ឋាន
concoction	concoction
concomitant	concomitant
concord	ស្រប
concordance	ធូររលុង
concours	NO TRANSLATION
concourse	ពិធីជប់លៀង
concrete	បេតុង
concubine	ស្នាញ់
concur	យល់ស្រប
concurrence	ការយល់ព្រម
concurrent	ស្របពេល
concurring	យល់ស្រប
concussion	ការប៉ះទង្គិច
condemn	ថ្កោលទោស
condemnation	ការផ្តន្ទាទោស
condensation	condensation
condensed	condensed
condescending	បង្អាប់បង្អាក់
condescension	condescension
condiment	condiment
condition	លក្ខខណ្ឌ
conditional	លក្ខខណ្ឌ
conditionally	លក្ខខណ្ឌ
conditioned	ត្រជាក់
conditioner	ម៉ាស៊ីនត្រជាក់
conditioning	លក្ខខណ្ឌ
conditions	លក្ខខណ្ឌ
condo	ខុនដូ
condolence	condolence
condolences	សូមចូលរួមមរណទុក្ខ
condom	ស្រោមអនាម័យ
condone	អភ័យ
condor	condor
conducive	អំណោយផល
conduct	ការប្រព្រឹត្ដ
conduction	conduction
conductivity	ដំណើរការ
conductor	អ្នកដឹកនាំ
conduit	conduit
cone	កោណ
confederacy	សហព័ន្ធ
confederate	សហព័ន្ធ
confederation	សហព័ន្ធ
confer	confer
conference	សន្និសីទ
confess	សារភាព
confession	សារភាព
confessional	confessional
confessions	ចម្លើយសារភាព
confetti	confetti
confidant	ទំនុកចិត្ត
confide	ទុកចិត្ត
confidence	ទំនុកចិត្ត
confident	ទំនុកចិត្ត
confidential	សម្ងាត់
confidentiality	ការសម្ងាត់
confidentially	NO TRANSLATION
configuration	ការកំណត់​រចនាសម្ព័ន្ធ
confine	បង្ខូច
confined	បង្ខាំង
confinement	ការបង្ខាំង
confines	កំណត់
confirm	បញ្ជាក់
confirmation	ការបញ្ជាក់
confirmatory	បញ្ជាក់
confirmed	បានបញ្ជាក់
confiscate	រឹបអូស
confiscation	រឹបអូស
conflagration	ការបង្ក្រាប
conflict	ទំនាស់
conflicting	ការប៉ះទង្គិច
confluence	ចំណុចប្រសព្វ
conform	អនុលោម
conformance	អនុលោម
conformation	NO TRANSLATION
conformity	អនុលោម
confound	confound
confounded	យល់ច្រឡំ
confront	ប្រឈមមុខ
confrontation	ការប្រឈមមុខគ្នា
