Word	bg
date	дата
datenight	NO TRANSLATION
daughter	дъщеря
dawdle	шляя се
dawn	разсъмване
dawned	изгря
day	ден
daybreak	разсъмване
daycare	занималнята
daydream	мечта
daydreaming	бълнувания
daylight	дневна светлина
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	денем
daze	замаяност
dazed	замаян
dazzle	заслепяване
dazzling	ослепителен
deacon	дякон
deactivate	деактивирате
dead	мъртъв
deadbeat	безделник
deadline	краен срок
deadlines	срокове
deadlock	застой
deadly	смъртоносен
deaf	глух
deafening	оглушителен
deafness	глухота
deal	сделка
dealer	дилър
dealership	автокъща
dealing	отношение
dealings	отношения
dean	декан
dear	скъп
dearest	най-скъп
dearth	оскъдица
death	смърт
deathbed	смъртно легло
deathly	смъртно
debacle	разгром
debased	принизена
debatable	спорен
debate	дебат
debauchery	разврат
debenture	дебентура
debilitating	инвалидизиращи
debit	дебит
debrief	разпиташ
debriefing	инструктиране на отговорно лице
debris	отломки
debt	дълг
debtor	длъжник
debut	дебют
debutante	дебютантка
decade	десетилетие
decadence	упадък
decadent	декадентски
decaf	безкофеиново кафе
decanter	гарафа
decathlon	десетобой
decay	гниене
decayed	разложен
decaying	разлагащата
deceased	починал
decedent	покоен
deceit	измама
deceitful	измамен
deceive	мами
deceived	измамени
deceiving	лъжете
december	декември
decency	благоприличие
decent	свестен
deception	измама
deceptive	измамен
decide	реши
decidedly	решително
deciduous	широколистен
decimal	десетичен
decimeter	дециметър
decipher	разчитам
decision	решение
decisive	решителен
deck	палуба
declaration	декларация
declaratory	декларативен
declare	декларирам
declination	деклинация
decline	упадък
declining	намаляващата
deco	деко
decode	дешифрирам
decoder	декодер
decompose	разлагам
decomposed	разложен
decomposition	разлагане
decompress	намаляване натиска на
decompression	декомпресия
decontamination	обеззаразяване
decor	декор
decorate	украсяват
decorating	декориране
decoration	украса
decorative	декоративен
decorator	декоратор
decorum	благоприличие
decoy	примамка
decrease	намаление
decreased	е намалял
decreasing	намаляваща
decree	указ
decrement	снижаване
decrepit	разнебитен
decry	омаловажавам
decryption	декриптиране
dedicate	посвещавам
dedication	всеотдайност
deduce	извод
deduct	приспадне
deductible	приспадане
deduction	удържане
deed	нотариален акт
deejay	диджеят
deem	счете
deep	Дълбок
deepen	задълбочаване
deer	елен
defamation	клевета
defamatory	клеветнически
default	по подразбиране
defeat	поражение
defeated	победен
defeatist	пораженец
defect	дефект
defection	изневяра
defective	дефектен
defector	дезертьор
defend	защитавам
defendant	ответник
defended	защити
defender	защитник
defending	защитавайки
defense	отбрана
defenseless	беззащитен
defensible	защитим
defensive	отбранителен
defer	отлага
deference	почтителност
deferral	отлагане
deferring	отлагане
defiance	явно пренебрежение
defiant	предизвикателен
defibrillator	дефибрилатор
deficiency	дефицит
deficient	недостатъчен
deficit	дефицит
define	дефинира
defined	дефинирани
definite	определен
definition	дефиниция
definitive	окончателен
deflate	опровергавам
deflation	дефлация
deflect	отклонявам
deflection	отклонение
defloration	обезчестяване
deform	разкривявам
deformed	деформиран
deformity	уродливост
defraud	измамвам
defray	поемам
defrost	размразяване
deft	пъргав
defunct	покоен
defuse	обезвреди
defy	предизвиквам
degeneracy	упадък
degenerate	дегенерат
degeneration	израждане
degradation	деградация
degrade	дегенерирам
degraded	понижен
degrading	унизителен
degree	степен
dehydrated	дехидриран
dehydration	дехидрация
dejected	мрачен
delay	закъснение
delayed	отложен
delectable	възхитителен
delegate	делегат
delegation	делегация
delete	Изтрий
deleterious	вреден
deletion	заличаване
deli	магазин за деликатеси
deliberate	преднамерен
deliberation	обсъждане
deliberative	съвещателен
delicacy	деликатес
delicate	деликатен
delicatessen	деликатеси
delicious	много вкусен
delight	наслада
delighted	удоволствието
delightful	възхитителен
delineate	очертае
delineation	очертаване
delinquency	престъпление
delinquent	който е извършил престъпление
delirious	несвързан
delirium	делир
deliver	доставям
deliverance	освобождение
delivery	доставка
dell	долчинка
delta	делта
delude	заблуждавам
deluge	потоп
delusion	илюзия
delusional	налудно
deluxe	луксозен
delve	ровя
demand	търсене
demanding	взискателни
demeaned	принизена
demeaning	унизителни
demeanor	държание
demented	побъркан
dementia	деменция
demise	смърт
demo	демонстрация
democracy	демокрация
democrat	демократ
democratic	демократичен
demographic	демографски
demolish	сривам
demolished	разрушена
demolition	събаряне
demon	демон
demonic	дяволски
demonstrable	доказуем
demonstrate	демонстрира
demonstrated	демонстрира
demonstrating	доказващо
demonstration	демонстрация
demonstrative	показателен
demonstrator	демонстрант
demoralized	деморализирани
demos	демонстрации
demure	въздържан
den	NO TRANSLATION
deniability	опровергаване
denial	отричане
denied	отказан
denim	дънков плат
denomination	вероизповедание
denominational	деноминационно
denominator	знаменател
denote	означаваме
denounce	денонсира
dense	плътен
density	плътност
dent	вдлъбнатина
dental	зъболекарски
dentist	зъболекар
dentistry	стоматология
dentists	стоматолози
denunciation	денонсиране
deny	отричам
denying	отричане
deodorant	дезодорант
depart	отклоняват
departed	отклонила
department	отдел
departmental	ведомствен
departure	тръгване
depend	зависи
dependable	надежден
dependant	зависим
dependence	зависимост
dependency	зависимостта
dependent	зависим
depict	рисувам
depicting	изобразяващи
depletion	изчерпване
deplorable	плачевен
deplore	осъждам
deploy	разгърне
deployment	разгръщане
deport	депортирам
deportation	депортиране
depose	свалям от длъжност
deposit	депозит
depositary	хранилище
deposition	отлагане
depository	хранилище
depot	депо
depraved	покварен
depravity	поквара
depreciate	обезценявам
depreciated	амортизирани
depreciation	амортизация
depress	потискам
depressed	подтиснат
depressing	гнетящ
depression	депресия
depressive	депресивно
depresson	NO TRANSLATION
deprivation	лишаване
deprive	отнемам
deprived	лишен
depth	дълбочина
deputy	депутат
derail	доведат до провал
deranged	умопомрачен
derelict	изоставен
derision	присмех
derivation	деривация
derivative	дериват
derive	извлече
dermal	кожен
dermatologist	дерматолог
dermatology	дерматология
derogation	дерогация
derogatory	пренебрежителен
descend	спускам
descendant	потомък
descendent	NO TRANSLATION
descending	низходящ
descent	слизане
describe	описвам
description	описание
descriptive	описателен
desecrate	осквернявам
desecration	оскверняване
desert	пустинен
deserted	безлюден
deserter	дезертьор
desertion	дезертьорство
deserve	заслужавам
deserved	заслужен
deserving	достоен
design	дизайн
designate	обозначаване
designated	обозначен
designation	обозначаване
designed	проектиран
designer	дизайнер
designing	проектиране
desirability	привлекателност
desirable	желателен
desire	желание
desiring	в желанието си
desirous	желаейки
desist	преставам
desk	бюро
desolate	пуст
desolation	опустошение
despair	отчаяние
despairing	отчаян
despatch	изпращане
desperado	разбойник
desperate	отчаян
desperation	отчаяние
despicable	презрян
despise	презирам
despondent	паднал духом
despotic	деспотичен
despotism	деспотство
dessert	десерт
destination	дестинация
destined	отреден
destiny	съдба
destitute	лишен
destroy	унищожи
destroyed	унищожен
destroyer	разрушител
destroying	унищожавайки
destruct	самоунищожат
destruction	унищожаване
destructive	разрушителна
detach	отвързвам
detached	откъснат
detachment	откъсване
detail	детайл
detailed	подробен
details	детайли
detain	задържам
detainee	задържания
detect	откриване
detectable	откриваем
detection	откриване
detective	детектив
detector	детектор
detention	задържане
deter	възпиране
detergent	перилен препарат
deteriorate	влошава
deteriorated	влошило
deteriorating	влошаващата
deterioration	влошаване
determinable	определима
determinate	определен
determination	решителност
determine	определи
determined	определя
deterrent	спирачка
detest	мразя
detestation	отвращение
detonate	детонирам
detonation	детонация
detonator	петарда
detour	обход
detract	злословя
detriment	вреда
detrimental	вреден
detritus	детрит
deuce	двойка
deutschmark	германската марка
devalued	обезцени
devastate	опропастявам
devastated	опустошен
devastating	опустошителен
devastation	опустошение
develop	развият
developer	разработчик
developing	разработване
development	развитие
deviant	девиантно
deviate	отклонява
deviating	отводен
deviation	отклонение
device	приспособление
devil	дявол
deviled	пикантни
devilish	дяволски
devious	нечестен
devise	разработят
devoid	лишен
devolution	израждане
devolve	тека
devote	посвещавам
devoted	предан
devotee	фанатик
devotion	преданост
devotional	набожен
devour	поглъщам
devout	благочестив
dew	роса
dexter	десен
dexterity	сръчност
dextrose	декстроза
diabetes	диабет
diabetic	диабетик
diabolical	дяволски
diagnose	поставям диагноза
diagnosis	диагноза
diagnostic	диагностичен
diagnostics	диагностика
diagonal	диагонал
diagram	диаграма
dial	циферблат
dialect	диалект
dialectic	логическа аргументация
dialogue	диалог
dialysis	диализа
diameter	диаметър
diamond	диамант
diamonds	диаманти
diaper	пелена
diaphragm	диафрагма
diarrhea	диария
diarrhoea	диария
diary	дневник
diatribe	филипика
dib	NO TRANSLATION
dibs	мангизи
dice	зарове
dicey	рисковано
dichotomous	дихотомна
dichotomy	дихотомия
dick	кур
dickhead	тъпако
dicks	пишки
dictate	диктувам
dictation	диктовка
dictator	диктатор
dictatorial	диктаторски
dictatorship	диктатура
diction	дикция
dictionary	речник
dictum	NO TRANSLATION
didactic	дидактичен
diddle	подхлъзвам
die	NO TRANSLATION
died	починал
diesel	дизел
diet	диета
dietary	диетичен
differ	различават
difference	разлика
differences	разлики
different	различен
differential	диференциал
differentiation	разграничаване
differently	различно
differing	различаващи
difficult	труден
difficulties	затруднения
difficulty	затруднение
diffuse	дифузен
diffusion	дифузия
dig	NO TRANSLATION
digest	резюме
digestion	храносмилане
digestive	храносмилателен
digit	цифра
digital	дигитален
dignified	достоен
dignify	въздигам
dignity	достойнство
digress	отклонявам се
digs	квартира
dike	дига
dilapidated	разнебитен
dilatation	дилатация
dilation	дилатация
dildo	вибратор
dilemma	дилема
diligence	усърдие
diligent	усърден
dill	копър
diluent	разредител
dilute	разреден
diluted	разреден
dilution	разреждане
dim	блед
dime	евтин
dimension	измерение
dimensional	размерите
diminish	намалява
diminished	намален
diminution	намаляване
diminutive	миниатюрен
dimwit	тъпак
din	NO TRANSLATION
dine	обядвам
diner	крайпътен ресторант
dinghy	гумена лодка
dingo	динго
dingy	мръсен
dining	трапезария
dinky	спретнат
dinner	вечеря
dinnertime	време за вечеря
dinosaur	динозавър
dint	удар
diocesan	епископ
diocese	епархия
diorama	диорама
dioxide	двуокис
dip	потапяне
diploma	диплома
diplomacy	дипломация
diplomat	дипломат
diplomatic	дипломатически
dipper	черпак
dippy	смахнат
dipstick	щека
dire	NO TRANSLATION
direct	директен
directed	насочено
direction	посока
directive	директива
directly	пряко
director	директор
directory	указател
dirt	мръсотия
dirty	мръсен
disability	инвалидност
disable	правя неспособен
disabled	хора с увреждания
disadvantage	недостатък
disaffected	недоволен
disagree	не съм съгласен
disagreeable	неприятен
disagreeing	несъгласен
disagreement	несъгласие
disallow	забраните
disallowed	забранил
disapointment	NO TRANSLATION
disappear	изчезва
disappearance	изчезване
disappearing	изчезва
disappoint	разочаровам
disappointed	разочарован
disappointing	разочароващо
disappointment	разочарование
disapproval	неодобрение
disapprove	не одобрявам
disapproved	неодобрение
disapproving	неодобрителен
disarm	обезоръжавам
disarray	безредие
disaster	бедствие
disastrous	катастрофален
disband	разпускам
disbelief	липса на вяра
disbelieve	не вярвам
disburse	изплащам
disbursement	изплащане
disc	диск
discard	изхвърлете
discarded	изхвърли
discards	изхвърлянията
discern	различавам
discernible	доловим
discerning	изискания
discernment	проницателност
discharge	изпразване
disciple	ученик
disciplinary	дисциплинарен
discipline	дисциплина
disciplined	дисциплиниран
disclaim	отказвам се от
disclaimer	опровержение
disclose	оповестява
disclosed	разкрито
disclosure	разкриване
disco	дискотека
discoloration	обезцветяване
discolored	обезцветен
discomfort	неудобство
disconcerted	объркан
disconcerting	смущаващо
disconnect	прекъсване на връзката
disconnected	изключен
disconnection	разединяване
disconnects	прекъсвачи
discontent	недоволство
discontinuance	прекратяване
discontinue	преустанови
discontinuity	прекъсване
discontinuous	непостоянен
discord	раздор
discount	отстъпка
discounted	дисконтирани
discourage	обезкуражи
discouraged	обезкуражени
discouragement	обезсърчаване
discouraging	обезсърчителен
discourse	беседа
discover	откривам
discovery	откритие
discredit	дискредитиране
discredited	дискредитирани
discreet	NO TRANSLATION
discrepancy	несъответствие
discrete	отделен
discretion	дискретност
discretionary	дискреционна
discriminate	дискриминира
discriminating	изтънчен
discrimination	дискриминация
discus	диск
discuss	обсъждам
discussion	дискусия
disdain	презрение
disdainful	надменен
disease	болест
diseased	болен
disembodied	безплътен
disengage	изключвам
disengagement	оттегляне
disfigured	обезобразен
disgrace	позор
disgraced	посрамен
disgraceful	позорен
disgruntled	недоволен
disguise	маскиране
disguised	прикрито
disgust	отвращение
disgusted	отвратен
disgusting	отвратителен
dish	чиния
disheartened	обезсърчен
disheartening	отчайваща
dishonest	нечестен
dishonesty	непочтеност
dishonor	безчестие
dishonorable	непочтен
dishwasher	съдомиялна
disillusionment	разочарование
disinclination	нежелание
disincline	отклонявам
disinclined	без охота
disinfect	дезинфекцирам
disinfectant	дезинфекционен
disinfection	дезинфекция
disinformation	дезинформация
disingenuous	неискрен
disintegrate	разпадне
disintegration	дезинтеграция
disinterested	незаинтересован
disjoint	обърквам
disjointed	изкълчен
disjunctive	дизюнктивен
disk	диск
diskette	дискета
dislike	неприязън
disliked	Не ми хареса
disliking	нехаресването
dislocated	изкълчени
dislocation	разместване
dislodge	изкарвам
disloyal	нелоялен
disloyalty	нелоялност
dismal	некадърен
dismantle	демонтаж
dismay	тревога
dismayed	Уплашиха
dismemberment	осакатяване
dismiss	отхвърли
dismissal	уволнение
dismissive	пренебрежително
dismount	слизам
disobedience	непокорство
disobedient	непокорен
disobey	подчини
disorder	смущение
disordered	разстроен
disorderly	безредно
disorganized	дезорганизиран
disorientation	дезориентация
disoriented	дезориентиран
disown	не признавам
disparage	омаловажавам
disparaging	пренебрежителен
disparate	коренно различен
disparity	несъответствие
dispassionate	безпристрастен
dispatch	изпращане
dispatcher	диспечер
dispel	разсее
dispensary	диспансер
dispensation	освобождаване
dispense	освободи
dispenser	разпределител
dispersal	разпръскване
disperse	разпръсне
dispersed	разпръснато
dispersion	дисперсия
dispirited	обезсърчен
displace	измествам
displaced	разселени
displacement	изместване
displacency	displacency
display	показ
displease	сърдя
displeased	огорчен
displeasure	недоволство
disposable	разполагаем
disposal	изхвърляне
dispose	да се разпорежда
disposed	разположени
disposition	разпореждане
dispossessed	изгонил
disprove	опровергавам
dispute	спор
disqualification	дисквалификация
disqualified	дисквалифициран
disqualify	дисквалифицира
disquieted	обезпокои
disregard	пренебрежение
disregarded	пренебрегва
disrelish	неодобрение
disreputable	непочтен
disrepute	лоша репутация
disrespect	неуважение
disrespectful	непочтителен
disrupt	наруши
disrupting	разрушаваща
disruption	разрушение
disruptive	разрушителен
dissatisfaction	недоволство
dissatisfied	неудовлетворен
dissect	дисектирам
dissection	дисекция
disseminate	разпространяват
dissemination	разпространяване
dissension	раздор
dissent	несъгласие
dissenting	особеното
dissertation	дисертация
disservice	лоша услуга
dissident	дисидент
dissimilar	различен
dissipate	разпръсквам
dissipated	разгулен
dissociation	дисоциация
dissociative	отделящ
dissolution	разтваряне
dissolve	разтвори
dissonance	дисонанс
dissuade	разубеждавам
distal	дисталния
distance	разстояние
distant	далечен
distaste	отвращение
distasteful	неприятен
distillate	дестилат
distillation	дестилация
distilled	дестилирана
distinct	отчетлив
distinction	разграничение
distinctive	отличителен
distinguish	разграничат
distinguishable	различим
distinguished	изтъкнат
distinguishing	отличителния
distort	наруши
distorted	изопачен
distortion	изкривяване
distract	Разсейвам
distracted	разсеян
distracting	подлудяващ
distraction	разсейване
distraught	объркан
distress	беда
distressed	западнал
distressing	печален
distribute	разпространяват
distribution	разпределение
distributor	дистрибутор
district	област
distrust	недоверие
disturb	безпокоя
disturbance	смущение
disturbed	обезпокоен
disturbing	смущаващ
disuse	отвикване
disused	изведен от употреба
ditch	канавка
ditto	дубликат
ditty	песенчица
diurnal	ежедневен
diva	примадона
divan	NO TRANSLATION
dive	гмуркам се
diver	водолаз
diverge	отклонявам
divergence	дивергенция
divergent	различен
diverging	разминаващи
divers	водолази
diverse	разнообразен
diversified	разнообразен
diversify	разнообрази
diversion	отклоняване
diversionary	диверсионна
diversity	разнообразие
divert	отклони
diverting	отклоняване
divest	събличам
divested	продадено
divestment	лишаване
divide	разделям
divided	разделен
dividend	дивидент
divination	гадаене
divine	божествен
divinity	божественост
divisible	делим
division	делене
divisor	делител
divorce	развод
divorcee	разведена жена
divulge	разкривам
divvy	разделям
dizziness	виене на свят
dizzy	замаян
do	правя
doable	изпълним
doc	доктор
docile	податлив на обработка
dock	док
docked	закачен
docket	вписвам
docking	докинг
doctor	лекар
doctorate	докторат
doctrinal	доктринен
doctrine	доктрина
document	документ
documentary	документален филм
documentation	документация
documents	документи
dodge	отдръпване
dodger	хитрец
dodging	избягват
dodgy	завързан
dodo	глупак
doe	кошута
doer	изпълнител
dog	куче
dogface	войник
dogged	твърдоглав
doggy	кучешки
doghouse	кучешка колиба
dogma	догма
dogmatic	догматичен
dogsick	NO TRANSLATION
doings	постъпки
doit	NO TRANSLATION
dojo	доджо
doldrums	затишие
dole	милостиня
doll	кукла
dollar	долар
dollhouse	къща за кукли
dolor	NO TRANSLATION
dolphin	делфин
domain	домейн
dome	купол
domestic	вътрешен
domesticated	опитомен
domestication	опитомяване
domicile	местожителство
domiciled	постоянен адрес,
dominance	господство
dominant	доминантен
dominate	упражнявам контрол
dominating	доминиращ
domination	господство
dominatrix	садо
dominion	доминион
domino	домино
don	дон
donate	дарят
donation	дарение
donkey	магаре
donor	дарител
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	драскулка
doom	гибел
doomed	обречени
doomsday	страшният съд
door	врата
doorbell	входен звънец
doorknob	дръжка на врата
doorman	портиер
doormat	отрепка
doornail	doornail
doorstep	праг
doorway	вход
dopamine	допамин
dope	наркоман
dopey	унесен
dork	глупак
dorky	изглеждаше тъп
dorm	обща спалня
dormant	спящ
dormitory	обща спалня
dorsal	гръбен
dosage	доза
dose	доза
dossier	досие
dot	точка
doting	изкуфял
dotted	пунктирана
dotty	шантав
double	двойно
doubled	удвоил
doublet	дублет
doubling	удвояване
doubt	съмнение
doubtful	съмнителен
doubting	изпълнен със съмнения
doubtless	несъмнено
doubts	съмнения
douche	душ
douchebags	douchebags
dough	тесто
doughboy	американски пехотинец
doughnut	поничка
dour	намусен
douse	свалям
dove	гълъб
down	надолу
downcast	наведен
downer	Даунър
downfall	обилен валеж
downfield	тет
downhearted	обезсърчен
downhill	спускане
download	Изтегли
downpour	порой
downright	отявлен
downriver	по течението на реката
downside	лоша страна
downtime	престой
downward	надолу
downy	нежен
dowry	зестра
doze	дрямка
dozen	дузина
drab	бозав
draft	проект
drafty	проветривата
drag	влача
dragon	дракон
dragonfly	водно конче
drain	отцеди
drainage	дренаж
drained	източи
draining	източване
drainpipe	канализационна тръба
drake	паток
drama	драма
dramaqueen	NO TRANSLATION
dramatic	драматичен
drape	завеса
drapery	перде
drastic	драстичен
drat	NO TRANSLATION
draught	проект
draw	рисувам
drawback	недостатък
drawbridge	подвижен мост
drawer	чекмедже
drawers	чекмеджета
drawing	чертеж
dread	ужас
dreaded	страхуваше
dreadful	страшен
dreadfully	ужасно
dreading	страхувайки
dream	мечта
dreamboat	dreamboat
dreamer	мечтател
dreaming	мечтаете
dreamland	страна на приказките
dreams	сънища
dreamt	сънувах
dreamy	замечтан
dreary	тъжен
dredge	драга
drenched	подгизнал
dress	рокля
dresser	скрин
dressmaker	шивачка
dressy	шик
dribble	NO TRANSLATION
dried	сушен
drier	сушилня
drift	дрейф
drifted	унесе
drifter	скитник
driftwood	плавей
drill	пробивна машина
drink	питие
drinker	пияница
drinking	пиене
drinks	напитки
drip	капене
dripping	капе
drive	път
drivel	глупости
driver	шофьор
driveway	път
drizzle	ръми
droll	смешен човек
drone	търтей
drones	безпилотни летателни апарати
drool	лигавене
drooping	повяхнал
droopy	Droopy
drop	изпускайте
droplet	капчица
dropout	отпадат
dropper	гутатор
drought	суша
drove	NO TRANSLATION
drown	давя
drowsiness	сънливост
drowsy	сънлив
drudgery	робия
drug	лекарство
drug dealing	търговия с наркотици
drugged	упоен
druggist	аптекар
drugs	наркотици
drugstore	аптека
druid	друид
drum	барабан
drummer	барабанист
drumming	барабани
drunk	пиян
drunk driving	шофиране в пияно състояние
drunkard	пияница
drunken	пиян
drunkenness	пиянство
dry	сух
dryer	сушилня
dryness	сухост
dual	двоен
dualism	дуализъм
duality	двойственост
dub	мажа
dubious	съмнителен
duchess	херцогиня
duck	патица
ducking	лов на патици
duckling	пате
ducky	пиленце
duct	канал
ductile	ковък
dud	некадърен
dude	пич
duds	дрехи
due	в следствие
duel	дуел
dues	членски внос
duet	дует
duffel	екип
dugout	землянка
duh	уф
duke	херцог
dull	скучен
dullard	dullard
dumb	тъп
dumbasses	dumbasses
dumbbell	гира
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	манекен
dump	бунище
dumpling	дундьо
dumps	сметища
dumpster	бунище
dun	сивокафяв
dunce	тъпак
dune	дюна
dung	NO TRANSLATION
dungeon	тъмница
dunk	потапям
duo	дует
dupe	будала
duplex	двоен
duplicate	дубликат
duplication	удвояване
duplicity	двуличие
durability	трайност
durable	траен
duration	продължителност
duress	принуда
dusk	здрач
dusky	тъмен
dust	прах
duster	чистач
dustpan	dustpan
dusty	прашен
dutiful	предана
duty	мито
dwarf	джудже
dwarfed	потиснат
dweeb	dweeb
dwell	обитавам
dweller	обитател
dwelling	жилище
dye	боя
dying	умиращ
dyke	дига
dynamic	динамичен
dynamical	динамично
dynamics	динамика
dynamite	динамит
dynamo	динамо
dynasty	династия
dysentery	дизентерия
dysfunction	дисфункция
dysfunctional	дисфункционално
dyspepsia	диспепсия
eager	нетърпелив
eagerness	пламенност
eagle	орел
ear	ухо
earful	earful
earl	граф
earlier	по-рано
early	рано
earn	печеля
earnest	капаро
earnestly	сериозно
earnestness	усърдие
earnings	печалба
earpiece	слушалка
earring	обица
earrings	обици
earshot	отдалечиха
earth	земя
earthenware	глинени изделия
earthling	землянин
earthly	земен
earthquake	земетресение
earthy	земен
ease	лекота
easel	триножник
easement	сервитутно право
easily	лесно
east	изток
eastbound	в източна посока
eastern	източен
easy	лесно
easygoing	отстъпчив
eat	Яжте
eater	който яде
eating	храня се
eatingdisorders	NO TRANSLATION
eavesdrop	подслушвам
eavesdropping	подслушване
ebb	отлив
ebony	абанос
ebullient	буен
eccentric	ексцентричен
eccentricity	ексцентричност
ecclesiastical	църковен
echelon	ешелон
echinacea	ехинацея
echo	ехо
eclectic	еклетричен
eclipse	затъмнение
ecliptic	еклиптика
ecological	екологичен
economic	икономически
economical	икономичен
economics	икономика
economy	икономика
ecosystem	екосистема
ecstasy	екстаз
ecstatic	възторжен
ecumenical	вселенски
eddy	водовъртеж
edema	оток
edge	ръб, край
edging	кант
edgy	нервен
edible	ядивен
edict	указ
edification	назидание
edifice	постройка
edit	редактиране
editing	редактиране
edition	издание
editor	редактор
editorial	редакционна
educate	образовам
educated	образован
education	образование
educational	образователен
educator	възпитател
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	Седмица
eel	змиорка
eerie	зловещ
effect	ефект
effective	ефективен
effectiveness	ефикасност
effects	вещи
effectual	ефикасен
effectually	резултатно
effectuate	постигам
effeminate	женствен
efficacious	ефикасен
efficacy	ефикасност
efficiency	ефективност
efficient	ефикасен
effigy	изображение
effort	усилие
effortless	без усилие
effusion	изливане
effyou	NO TRANSLATION
egg	яйце
egghead	дървен философ
eggnog	яйчен
eggplant	патладжан
eggshell	слонова кост
ego	его
egomaniac	егоцентрик
egotistical	егоистично
egregious	нечуван
egress	изход
eight	осем
eighteen	осемнадесет
eighth	осми
eighty	осемдесет
ejaculate	изхвърлям
ejaculation	възклицание
eject	изхвърлям
ejection	изхвърляне
elaborate	сложен
elaboration	разработване
elan	NO TRANSLATION
elapse	изтече
elapsed	изминало
elastic	еластичен
elasticity	еластичност
elated	въодушевен
elation	главозамайване
elbow	лакът
eld	едно време
elder	бъз
elderly	възрастен
elders	старейшини
eldest	най-възрастен
elect	новоизбран
election	избори
elective	избирателен
elector	избирател
electoral	избирателен
electorate	електорат
electric	електрически
electric slide	електрически пързалка
electrical	електрически
electrician	електротехник
electricity	електричество
electrify	електрифицирам
electrocute	електроудрят
electrocution	електрически ток
electromagnetic	електромагнитна
electron	електрон
electronic	електронен
electronics	електроника
elegance	елегантност
elegant	елегантен
element	елемент
elemental	елементарен
elementary	елементарен
elements	елементи
elephant	слон
elevate	издигам
elevated	висок
elevation	височина
elevator	асансьор
eleven	единадесет
eleventh	единадесети
elf	елф
elicit	предизвикване
eligible	избираем
eliminate	елиминиране
elimination	отстраняване
elite	елит
elitist	елитарна
elixir	еликсир
elk	лосове
ell	лакът
ellipse	елипса
ellipsis	елипса
ellipsoid	елипсоид
elliptic	елипсовиден
elliptical	елиптичен
elm	бряст
elongate	удължавам
elongation	удължаване
elope	избягвам
eloquence	красноречие
eloquent	красноречив
elucidate	разяснявам
elucidation	изясняване
elude	избягвам
elusive	неуловим
emaciated	изтощен
email	електронна поща
emanate	произтичам
emancipation	еманципация
embankment	насип
embargo	NO TRANSLATION
embark	впуснат
embarrass	затруднявам
embarrassed	смутен
embarrassing	смущаващ
embarrassment	смущение
embassy	посолство
embattled	изстрадалия
embed	закрепвам
embellish	украсявам
embellishment	разкрасяване
embers	жар
embezzlement	незаконно присвояване
embezzler	embezzler
emblem	емблема
emblematic	емблематичен
embodiment	изпълнение
embolism	емболия
embossed	релефни
embrace	прегръдка
embroidered	бродирани
embroidery	бродерия
embroiled	въвлечен
embryo	зародиш
embryonic	ембрионален
emcee	ЕмСи
emerald	смарагд
emerge	се появяват
emergence	появяване
emergency	спешен случай
emeritus	заслужил
emery	шмиргел
emetophobia	emetophobia
emigrate	емигрирам
emigration	емиграция
eminence	възвишение
eminent	изтъкнат
eminently	висша степен
emir	NO TRANSLATION
emissary	пратеник
emission	емисия
emit	излъчват
emo	емо
emotion	емоция
emotional	емоционален
emotive	емоционален
empathic	емпатично
empathize	съпричастни
empathy	съпричастие
emperor	император
emphasis	ударение
emphasize	подчертавам
emphatic	категоричен
emphysema	емфизема
empire	империя
empirical	емпиричен
empiricism	емпиризъм
employ	работа
employee	служител
employer	работодател
employment	наемане на работа
emporium	търговски център
empower	овластяване
empress	императрица
emptiness	празнота
emption	изкупуване
empty	празен
emu	ему
emulate	съревновавам се
emulsion	емулсия
enable	се даде възможност на
enablement	позволение
enact	въведат
enactment	влизане в сила
enamel	емайл
encampment	лагер
enchant	очаровам
enchanted	омагьосан
enchanting	пленителен
enchantment	очарование
enchantress	чародейка
enchilada	enchilada
encircle	заобикалям
encircling	обходен
enclave	енклав
enclose	прилагам
enclosure	ограждане
encode	пиша с шифър
encomiastic	NO TRANSLATION
encomium	панегирик
encompass	обхване
encore	NO TRANSLATION
encounter	сблъскване
encourage	насърчавам
encouraged	поощрявал
encouragement	насърчаване
encouraging	обнадеждаващ
encroach	посягам
encroachment	посегателство
encrypt	криптиране
encryption	криптиране
encumbrance	бреме
encyclopedia	енциклопедия
end	край
end table	крайна таблица
endanger	застрашава
endangered	застрашените
endangerment	застрашаване
endearing	скъп
endeavor	усилие
ended	приключила
endemic	ендемичен
endgame	край на играта
ending	край
endless	безкраен
endocarditis	ендокардит
endorse	одобрявам
endorsement	джиро
endow	надарявам
endowed	надарен
endowment	дарение
endpapers	endpapers
endpoint	крайна точка
endurance	издръжливост
endure	търпя
enduring	траен
enema	клизма
enemy	враг
energetic	енергичен
energize	стимулирам
energy	енергия
enforce	наложат
enforcement	изпълнение
enforcer	правоприлагащ
engage	ангажират
engaged	ангажиран
engagement	ангажимент
engaging	привлекателен
engender	предизвиквам
engine	двигател
engineer	инженер
engineering	инженерство
engrave	гравирам
engraved	гравирани
engraver	гравьор
