Word	co
dependent	dipindenti
depict	dirivà
depicting	raffigurante
depletion	aghjustamentu
deplorable	deplore
deplore	deplore
deploy	sparghje
deployment	spargeru
deport	deport
deportation	dipurtazzioni
depose	depose
deposit	accontu
depositary	dipositu
deposition	dipusizioni
depository	dipòsitariu
depot	depostu
depraved	depravata
depravity	depravity
depreciate	depreciate
depreciated	deprezzatu
depreciation	deprezzazioni
depress	depress
depressed	depressu
depressing	depressing
depression	diprissioni
depressive	diprissioni
depresson	NO TRANSLATION
deprivation	privisioni
deprive	privà
deprived	privau
depth	prufundità
deputy	diputatu
derail	derail
deranged	deranged
derelict	abbannunata
derision	sdrigu
derivation	derivazione
derivative	derivativu
derive	derive
dermal	dermal
dermatologist	dermatistu
dermatology	dermatulugia
derogation	derale
derogatory	scunforti
descend	scinniri
descendant	discinnenti
descendent	NO TRANSLATION
descending	falendu
descent	ascendenza
describe	discrive
description	description
descriptive	descriptivu
desecrate	desecrate
desecration	desecration
desert	desertu
deserted	disertu
deserter	deserter
desertion	desertione
deserve	meritanu
deserved	meritava
deserving	meritava
design	u so designu
designate	designate
designated	distinatu
designation	appillazioni
designed	cuncepimentu
designer	designer
designing	designing
desirability	vuleria
desirable	vulete
desire	desideriu
desiring	vulintà
desirous	vuleria
desist	dispiaciri
desk	desk
desolate	desolate
desolation	desolation
despair	dispirazioni
despairing	disprezza
despatch	dispatch
desperado	desperado
desperate	dispirazioni
desperation	dispirazioni
despicable	dispiable
despise	disprezzanu
despondent	disputativu
despotic	dispotiche
despotism	dispotismu
dessert	dessert
destination	destinazione
destined	destinatu
destiny	destinatu
destitute	in folla
destroy	distrughjera
destroyed	distruttu
destroyer	distruttore
destroying	distruggiennu
destruct	destruct
destruction	distruzzioni
destructive	destruzzione
detach	separà
detached	indipendente
detachment	distaccu
detail	dettagliu
detailed	dettagliata
details	dettu
detain	stà
detainee	detto dette
detect	detectar
detectable	detectable
detection	a dittizzioni
detective	detettivu
detector	detector
detention	detenzioni
deter	dissolve
detergent	detergente
deteriorate	deteriorate
deteriorated	deteriorate
deteriorating	a deteriorazione
deterioration	deterioru
determinable	determinable
determinate	determinatu
determination	determinazioni
determine	determinate
determined	determinatu
deterrent	impedente
detest	detest
detestation	detestation
detonate	detonate
detonation	detonazione
detonator	detonatore
detour	detour
detract	detract
detriment	detrimentu
detrimental	detrimentali
detritus	detritus
deuce	deuce
deutschmark	deutschmark
devalued	devalutata
devastate	devastate
devastated	devastated
devastating	devastanti
devastation	divastazioni
develop	sviluppà
developer	sviluppatore
developing	sviluppà
development	sviluppu
deviant	deviant
deviate	diventerà
deviating	divirtì
deviation	devenza
device	dispusitivu
devil	diàvule
deviled	deviled
devilish	devilish
devious	devious
devise	idee
devoid	caru
devolution	devolution
devolve	rivolve
devote	dedicà
devoted	cunsacratu
devotee	devoute
devotion	devozione
devotional	devozione
devour	devour
devout	divuziunosi
dew	rugiada
dexter	Dexter
dexterity	destreza
dextrose	dextrose
diabetes	diabetes
diabetic	diabètica
diabolical	diabolicu
diagnose	diagnose
diagnosis	diagnosi
diagnostic	diagnostic
diagnostics	diagnostics
diagonal	diaggunali
diagram	diagram
dial	dial
dialect	dialettu
dialectic	dialettica
dialogue	dialogu
dialysis	dialisi
diameter	diamitru
diamond	diamanti
diamonds	diamanti
diaper	u diaperu
diaphragm	diafragma
diarrhea	diarrea
diarrhoea	diarrea
diary	diariu
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	dadi
dicey	dicey
dichotomous	dichotomosa
dichotomy	dicotomia
dick	dick
dickhead	dickhead
dicks	cazzi
dictate	dite
dictation	dittatu
dictator	dittaturi
dictatorial	dittatoriali
dictatorship	a dittatura
diction	diction
dictionary	dizziunariu
dictum	NO TRANSLATION
didactic	didactic
diddle	diddle
die	NO TRANSLATION
died	mortu
diesel	diesel
diet	dieta
dietary	dietetica
differ	sò diffirenti
difference	diffarenza
differences	diffirenzi
different	diffirenti
differential	diffirinziali
differentiation	a diferenciazione
differently	diversu
differing	diffirenziu
difficult	difficiule
difficulties	difficultà
difficulty	difficiulmente
diffuse	diffuse
diffusion	diffusione
dig	NO TRANSLATION
digest	digià
digestion	digestion
digestive	digestivu
digit	cifru
digital	digitale
dignified	dignità
dignify	dignificà
dignity	dignità
digress	digress
digs	digs
dike	dike
dilapidated	fruste
dilatation	dilatazione
dilation	dilatazione
dildo	dildo
dilemma	dilema
diligence	diligenza
diligent	diligent
dill	aneto
diluent	diluent
dilute	dilùate
diluted	diluita
dilution	dilution
dim	dim
dime	dime
dimension	dimensione
dimensional	dimensionale
diminish	diminuite
diminished	diminuite
diminution	diminution
diminutive	diminutivu
dimwit	dimwit
din	NO TRANSLATION
dine	cene
diner	diner
dinghy	razza ding
dingo	dingo
dingy	dingy
dining	cena
dinky	dinky
dinner	cena
dinnertime	dinnertime
dinosaur	dinosaur
dint	dint
diocesan	diocesana
diocese	diocesi
diorama	diorama
dioxide	dioxide
dip	dip
diploma	diploma
diplomacy	diplomacia
diplomat	diplomaticu
diplomatic	diplomaticu
dipper	caccia
dippy	dippy
dipstick	dipstick
dire	NO TRANSLATION
direct	diretta
directed	diretta
direction	direzzione
directive	Directiva
directly	direttamente
director	direttore
directory	annuariu
dirt	terra
dirty	bruttu
disability	invalidità
disable	disattivà
disabled	disabilitatu
disadvantage	disadvantage
disaffected	disaffected
disagree	nun cuntrastanu
disagreeable	disgraziatu
disagreeing	disaccordiu
disagreement	disaccordu
disallow	disallow
disallowed	disabilitatu
disapointment	NO TRANSLATION
disappear	sparisce
disappearance	scumparsa
disappearing	spariscia
disappoint	falliu
disappointed	disappruverà
disappointing	disappruvazioni
disappointment	disappointment
disapproval	disapproving
disapprove	disapprovate
disapproved	disapprovate
disapproving	disapproving
disarm	disarm
disarray	disarruni
disaster	disastru
disastrous	disastru
disband	disband
disbelief	incredulite
disbelieve	ùn crrecè
disburse	disburse
disbursement	pagamentu
disc	discu
discard	ricuarà
discarded	scurtatu
discards	scaricamentu
discern	discern
discernible	discernibile
discerning	discerning
discernment	discerniment
discharge	alta
disciple	discìpulu
disciplinary	disciplinariu
discipline	disciplina
disciplined	disciplinatu
disclaim	riclamà
disclaimer	disclaimer
disclose	dichjarà
disclosed	divulgata
disclosure	divulgazione
disco	discoteca
discoloration	discolorazione
discolored	discolorata
discomfort	incomodità
disconcerted	disconcerted
disconcerting	disconcertanti
disconnect	disconnect
disconnected	disconnected
disconnection	disconnection
disconnects	discuecce
discontent	scontintu
discontinuance	discontinuance
discontinue	discontinue
discontinuity	discontinuità
discontinuous	discontinu
discord	discord
discount	discount
discounted	discounted
discourage	scuraggià
discouraged	scuraghjiti
discouragement	scunfortu
discouraging	scuraggià
discourse	discursu
discover	scopre
discovery	scuperta
discredit	scummucciri
discredited	scridite
discreet	NO TRANSLATION
discrepancy	discrepanzia
discrete	discrete
discretion	discretion
discretionary	discretionarii
discriminate	discriminate
discriminating	discriminà
discrimination	discriminazione
discus	discus
discuss	discussà
discussion	discussione
disdain	disprezzu
disdainful	disprezzu
disease	malattia
diseased	malati
disembodied	disembodied
disengage	disengage
disengagement	disengagement
disfigured	disfigùtu
disgrace	disgraziatu
disgraced	disgraced
disgraceful	disgraceful
disgruntled	disgruntled
disguise	disguise
disguised	disguised
disgust	disgust
disgusted	disgusted
disgusting	disgusting
dish	dish
disheartened	disheartened
disheartening	abbattimentu
dishonest	inghjustu
dishonesty	iniquità
dishonor	offisa
dishonorable	dishonorable
dishwasher	inodore
disillusionment	disillusionamentu
disinclination	disideru
disincline	disinsiquà
disinclined	disignati
disinfect	disinfect
disinfectant	purificatu
disinfection	scumpartazione
disinformation	disinformazione
disingenuous	disingenuous
disintegrate	disintegrari
disintegration	disintigrazzioni
disinterested	disinteressi
disjoint	disjoint
disjointed	disjointed
disjunctive	disjunctive
disk	u discu
diskette	diskette
dislike	dislike
disliked	ùn ti piace
disliking	disgrazia
dislocated	dislocated
dislocation	dislocazione
dislodge	dislodge
disloyal	disleale
disloyalty	disleoyalty
dismal	dismal
dismantle	dismantle
dismay	disgrazia
dismayed	disgrazia
dismemberment	dismemberment
dismiss	dimustratu
dismissal	licinziamentu
dismissive	disputativu
dismount	dismount
disobedience	disubbidenza
disobedient	disubbidienti
disobey	disubbidisci
disorder	disordine
disordered	disordine
disorderly	disorderly
disorganized	disurdinata
disorientation	disorientation
disoriented	disoriented
disown	rinnigarè
disparage	disparage
disparaging	disparaging
disparate	disparate
disparity	disparità
dispassionate	dispassibule
dispatch	dispatch
dispatcher	dispatcher
dispel	dispel
dispensary	dispensariu
dispensation	dispensa
dispense	dispensa
dispenser	dispenser
dispersal	spargeru
disperse	disperse
dispersed	spargugliatu
dispersion	scatteratura
dispirited	dispirited
displace	scambià
displaced	spiazzatu
displacement	spustamentu
displacency	disciprazziale
display	vede
displease	displease
displeased	displeased
displeasure	displeasure
disposable	un disposable
disposal	dispusizioni
dispose	dispose
disposed	disposti
disposition	dispusitivu
dispossessed	dispusitivu
disprove	disprovari
dispute	disputa
disqualification	inghjilità
disqualified	ingannula
disqualify	inchiquilibbili
disquieted	disgrazia
disregard	disregard
disregarded	micca cunsideratu
disrelish	struitu
disreputable	disprezzu
disrepute	scuntate
disrespect	disrespect
disrespectful	disrespectful
disrupt	sfacciassi
disrupting	disrupting
disruption	disruption
disruptive	disruptive
dissatisfaction	insatisfacazione
dissatisfied	dissinnatu
dissect	dissect
dissection	dissection
disseminate	disseminate
dissemination	disseminazione
dissension	dissensu
dissent	dissent
dissenting	dissidenti
dissertation	dissertazione
disservice	disservice
dissident	dissident
dissimilar	dissimiliari
dissipate	dissipate
dissipated	dissipate
dissociation	dissociation
dissociative	dissociative
dissolution	dissoluzzioni
dissolve	dissolve
dissonance	dissonance
dissuade	dissuade
distal	distal
distance	distanza
distant	distanti
distaste	disgrazia
distasteful	disgrazia
distillate	distillate
distillation	distillazione
distilled	distillatu
distinct	distinti
distinction	distinzioni
distinctive	distinti
distinguish	distingue
distinguishable	distinguishable
distinguished	distinti
distinguishing	distinguish
distort	distorsioni
distorted	distortu
distortion	distorsioni
distract	distract
distracted	distracté
distracting	distracting
distraction	distrazzioni
distraught	distraught
distress	distress
distressed	distressed
distressing	distressing
distribute	distribuzione
distribution	distribuzione
distributor	distributori
district	distrittu
distrust	distrust
disturb	disturbanu
disturbance	disturbazione
disturbed	disturbatu
disturbing	in burrascidu
disuse	disuse
disused	inutilmenti
ditch	ditch
ditto	ditto
ditty	salottu
diurnal	diurnu
diva	diva
divan	NO TRANSLATION
dive	ghjochi
diver	buse
diverge	divirsenu
divergence	divergenza
divergent	divirsenti
diverging	divirsenu
divers	diversi
diverse	diversa
diversified	diversificatu
diversify	diversificà
diversion	diversione
diversionary	diversione
diversity	diversità
divert	divertisce
diverting	divèrnanu
divest	sfacciate
divested	pruvucatu
divestment	split
divide	dividisce
divided	divisu
dividend	dividend
divination	divinazione
divine	divinu
divinity	divinità
divisible	divisible
division	division
divisor	divisore
divorce	u divorziu
divorcee	divorcee
divulge	divulge
divvy	divvy
dizziness	stomacu
dizzy	sdegnu
do	fà
doable	purtate
doc	doc
docile	docili
dock	dock
docked	accoppiare
docket	docket
docking	docking
doctor	duttore
doctorate	dutturatu
doctrinal	duttinuali
doctrine	duttrina
document	documentu
documentary	documentale
documentation	a ducumentazione
documents	documenti
dodge	dodge
dodger	dodger
dodging	dodging
dodgy	dodgy
dodo	dodo
doe	doe
doer	facicatori
dog	cani
dogface	dogface
dogged	persu
doggy	doggy
doghouse	casottu
dogma	dogma
dogmatic	dogmatic
dogsick	NO TRANSLATION
doings	fà
doit	NO TRANSLATION
dojo	dojo
doldrums	doldrums
dole	dole
doll	doll
dollar	dòrum
dollhouse	dollhouse
dolor	NO TRANSLATION
dolphin	delfinu
domain	duminiu
dome	cupola
domestic	dumèstica
domesticated	domesticatu
domestication	dumesticazioni
domicile	domiciliu
domiciled	domiciliatu
dominance	duminiu
dominant	dominanti
dominate	domine
dominating	dumande
domination	duminiu
dominatrix	dominatrix
dominion	duminiu
domino	dominu
don	don
donate	donate
donation	donu
donkey	sciccuzzu
donor	donu
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	duminiu
dontunderstand	NO TRANSLATION
doodle	doodle
doom	fattu
doomed	cundonce
doomsday	di a ghjustizia
door	porta
doorbell	doorbell
doorknob	puteru
doorman	porca
doormat	caputtu
doornail	doornail
doorstep	a porta
doorway	porta
dopamine	dopamine
dope	dope
dopey	dopey
dork	dork
dorky	dorky
dorm	dormirs
dormant	dormant
dormitory	dormitoriu
dorsal	dorsali
dosage	a dosa
dose	a dosa
dossier	dossier
dot	puntu
doting	doting
dotted	punciutu
dotty	dotty
double	duppia
doubled	duppià
doublet	doublet
doubling	duppià
doubt	dubbitu
doubtful	dubbiosu
doubting	dubbienza
doubtless	induve
doubts	dubbitu
douche	douche
douchebags	douchebags
dough	massa
doughboy	pasticciottu
doughnut	donut
dour	dour
douse	douse
dove	culomba
down	falà
downcast	abbastanza
downer	downer
downfall	cascata
downfield	downfield
downhearted	cori
downhill	sosia
download	download
downpour	stava
downright	ghjustu
downriver	culomba
downside	culopoli
downtime	morti
downward	cariu
downy	scattata
dowry	doti
doze	doze
dozen	docena
drab	grùassu
draft	scrive
drafty	drafty
drag	arraggiari
dragon	dragon
dragonfly	libellula
drain	drenu
drainage	drenaggiu
drained	sguttate
draining	scorrini
drainpipe	pateanu
drake	drake
drama	dramma
dramaqueen	NO TRANSLATION
dramatic	drammaticu
drape	drape
drapery	drapery
drastic	drastic
drat	NO TRANSLATION
draught	scrive
draw	draw
drawback	svantaghju
drawbridge	ponteforti
drawer	coutre
drawers	cajunati
drawing	disegnu
dread	temutu
dreaded	temutu
dreadful	disgraziatu
dreadfully	dreadful
dreading	teme
dream	sònniu
dreamboat	scuppiari
dreamer	sònniu
dreaming	sunnannu
dreamland	dreamland
dreams	i sogni
dreamt	sunnava
dreamy	sognu
dreary	dreadful
dredge	rasturnata
drenched	chinu
dress	vistitu
dresser	dresser
dressmaker	capine
dressy	vestiti
dribble	NO TRANSLATION
dried	seccu
drier	drier
drift	drift
drifted	si stanca
drifter	drifter
driftwood	driftwood
drill	drill
drink	vìviri
drinker	bèie
drinking	abbianu
drinks	bevande
drip	geganti
dripping	dripping
drive	prughjettu
drivel	daveru
driver	mutori
driveway	alloghju
drizzle	drizzle
droll	droll
drone	drone
drones	drones
drool	babbu
drooping	perdita
droopy	droopy
drop	goccia
droplet	guttuna
dropout	lascià
dropper	guttuni
drought	a sequenza
drove	NO TRANSLATION
drown	affucari
drowsiness	sollie
drowsy	di sòlitu
drudgery	cuntru
drug	droga
drug dealing	droga di trattà
drugged	drogatu
druggist	druggist
drugs	droga
drugstore	drugstore
druid	druide
drum	tamburinu
drummer	battezzu
drumming	drumming
drunk	drunk
drunk driving	imbulighjate
drunkard	drunkard
drunken	borraca
drunkenness	borra di bocca
dry	seccu
dryer	secadori
dryness	a curruzzione
dual	duali
dualism	dualisimu
duality	dualtà
dub	dub
dubious	dubious
duchess	duchessa
duck	ànitra
ducking	ducking
duckling	anadru
ducky	ducky
duct	duct
ductile	duttili
dud	dud
dude	dude
duds	duds
due	dovutu
duel	duellu
dues	dui
duet	duet
duffel	duffel
dugout	dugout
duh	duh
duke	duca
dull	sodu
dullard	dullard
dumb	mutu
dumbasses	dumbasses
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	dummy
dump	dump
dumpling	dumpling
dumps	dumpii
dumpster	dumpster
dun	dun
dunce	dunce
dune	dune
dung	NO TRANSLATION
dungeon	dungeon
dunk	dunk
duo	duo
dupe	dupe
duplex	duplex
duplicate	duplicate
duplication	duplicazione
duplicity	duplicità
durability	a durabilità
durable	durable
duration	durata
duress	durizza
dusk	crepuscolo
dusky	dusky
dust	polvara
duster	pumadoru
dustpan	dustpan
dusty	dusty
dutiful	dutiful
duty	duviu
dwarf	dwarf
dwarfed	nanu
dweeb	dweeb
dwell	starete
dweller	domu
dwelling	abitanti
dye	tinti
dying	moriri
dyke	dyke
dynamic	dinamica
dynamical	dinamica
dynamics	dinamica
dynamite	dinamita
dynamo	dinamo
dynasty	dinastia
dysentery	disenteria
dysfunction	disfunzioni
dysfunctional	disfunzioni
dyspepsia	dispepsia
eager	impegnu
eagerness	favurevule
eagle	aquila
ear	'arechja
earful	earful
earl	primuri
earlier	prima
early	prima
earn	guadagnà
earnest	seriamentu
earnestly	impuru
earnestness	fiertà
earnings	prufitti
earpiece	earpiece
earring	arcu
earrings	arreciti
earshot	orehot
earth	terra
earthenware	pignulaghju
earthling	terrenu
earthly	terrenu
earthquake	terrimotu
earthy	terrenu
ease	faciule
easel	cavallu
easement	servitore
easily	faciule
east	este
eastbound	strada
eastern	orientali
easy	faciule
easygoing	facile
eat	manghja
eater	eater
eating	manghjà
eatingdisorders	NO TRANSLATION
eavesdrop	a bocca
eavesdropping	spusendu
ebb	cerva
ebony	ebano
ebullient	ebullient
eccentric	eccricenti
eccentricity	eccentricità
ecclesiastical	eclesiastiche
echelon	echelon
echinacea	echinacea
echo	eccu
eclectic	eclettica
eclipse	eclissi
ecliptic	ecliptic
ecological	ecològichi
economic	ecunomica
economical	ecunomicu
economics	ecunumia
economy	ecunumia
ecosystem	ecosistema
ecstasy	estasi
ecstatic	ecstatic
ecumenical	ecumenicu
eddy	eddy
edema	edema
edge	edge
edging	edging
edgy	edgy
edible	edible
edict	edittu
edification	edificazione
edifice	edifice
edit	edizione
editing	editing
edition	edizione
editor	editore
editorial	edituriale
educate	educate
educated	educatu
education	educazione
educational	educazione
educator	educatore
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	anguilla
eerie	eerie
effect	effettu
effective	efficace
effectiveness	efficace
effects	effetti
effectual	effettuali
effectually	effittivamenti
effectuate	effettuà
effeminate	effeminate
efficacious	efficacità
efficacy	efficacità
efficiency	efficienza
efficient	efficace
effigy	effigy
effort	sforzu
effortless	sforzu
effusion	effusion
effyou	NO TRANSLATION
egg	ovu
egghead	egghead
eggnog	eggnog
eggplant	a brunetta
eggshell	cascaredda
ego	ego
egomaniac	egomaniac
egotistical	egoista
egregious	rigalu
egress	egress
eight	ottu
eighteen	diciottu
eighth	ottesimu
eighty	ottanta
ejaculate	ejaculate
ejaculation	ejaculation
eject	eject
ejection	ejection
elaborate	vechja
elaboration	elaburata
elan	NO TRANSLATION
elapse	elapse
elapsed	aghjustatu
elastic	elàsticu
elasticity	elasticità
elated	elated
elation	elation
elbow	codu
eld	eld
elder	anzianu
elderly	anziani
elders	anziani
eldest	maiuroni
elect	elettu
election	elizzioni
elective	elettu
elector	votu
electoral	elettu
electorate	elettore
electric	elettrica
electric slide	slide elettriku
electrical	electricu
electrician	electricista
electricity	electricità
electrify	elettrify
electrocute	electrocute
electrocution	elettrocution
electromagnetic	elettromagneticu
electron	'elettore
electronic	elettronicu
electronics	elettronica
elegance	elegance
elegant	eleganti
element	elementu
elemental	elementu
elementary	elementarii
elements	elementi
elephant	elefante
elevate	elevate
elevated	elevatu
elevation	elevazione
elevator	ascultru
eleven	ondeci
eleventh	ondicesimu
elf	elf
elicit	elicit
eligible	aggettivu
eliminate	eliminari
elimination	eliminazione
elite	elite
elitist	elitist
elixir	elixir
elk	alce
ell	ellu
ellipse	ellissi
ellipsis	ellipsis
ellipsoid	ellipsoide
elliptic	elliptic
elliptical	ellittichi
elm	elm
elongate	allungatu
elongation	allungamentu
elope	elope
eloquence	eloquence
eloquent	eloquent
elucidate	elucidate
elucidation	elucidazzioni
elude	elude
elusive	elusive
emaciated	emaciated
email	email
emanate	emanate
emancipation	emancipazione
embankment	terraplen
embargo	NO TRANSLATION
embark	imbarcate
embarrass	vargogna
embarrassed	a vargogna
embarrassing	vargogna
embarrassment	vrigogna
embassy	embassy
embattled	assicuta
embed	imbrà
embellish	embellish
embellishment	embellishment
embers	barbari
embezzlement	punizzioni
embezzler	embezzler
emblem	emblema
emblematic	emblematicu
embodiment	indulgenza
embolism	embolismu
embossed	in burdon
embrace	abbracciallu
embroidered	brodata
embroidery	ricami
embroiled	in embroiled
embryo	embrijuni
embryonic	embrioniu
emcee	emcee
emerald	emerald
emerge	emergenu
emergence	emergenza
emergency	emergenza
emeritus	emeritus
emery	spichi
emetophobia	emetofobia
emigrate	emigrà
emigration	emigrazzioni
eminence	eminenza
eminent	eminenti
eminently	eminently
emir	NO TRANSLATION
emissary	emissariu
emission	emission
emit	emissimu
emo	emo
emotion	emozioni
emotional	emuzioni
emotive	l 'emotionu
empathic	empàticu
empathize	empatizioni
empathy	empatia
emperor	imperatore
emphasis	enfasi
emphasize	sottulinà
emphatic	emphatic
emphysema	enfasi
empire	imperu
empirical	empirika
empiricism	empiricismu
employ	impieguassi
employee	impiigatu
employer	patronu
employment	u travagliu
emporium	emporiu
empower	facultà
empress	Imperatrici
emptiness	vacanti
emption	emption
empty	vacanti
emu	emu
emulate	emulate
emulsion	emulsione
enable	attivà
enablement	attivazione
enact	enact
enactment	inactment
enamel	esamelu
encampment	campeghju
enchant	ncantari
enchanted	ncantatu
enchanting	incantevule
enchantment	ncantatu
enchantress	enchantress
enchilada	enchilada
encircle	circondu
encircling	circonda
enclave	enclave
enclose	aghjunghje
enclosure	accintu
encode	codice
encomiastic	NO TRANSLATION
encomium	encomium
encompass	cumprà
encore	NO TRANSLATION
encounter	scontru
encourage	incuragisce
encouraged	hà animatu
encouragement	impegnu
encouraging	incuraghjitu
encroach	invucare
encroachment	miseria
encrypt	cifru
encryption	cifru
encumbrance	encumbrance
encyclopedia	enciclopedia
end	fini
end table	a carta finale
endanger	in casu
endangered	in periculazione
endangerment	periculazione
endearing	endearing
endeavor	aiutu
ended	finita
endemic	endemichi
endgame	endgame
ending	finisci
endless	infinitu
endocarditis	endocarditis
endorse	endorse
endorsement	endorsement
endow	endow
endowed	endowed
endowment	endowment
endpapers	endpapers
endpoint	endpoint
endurance	endurance
endure	endutenu
enduring	persone
enema	enema
enemy	nimicu
energetic	energetic
energize	energize
energy	energia
enforce	impegerà
enforcement	esigenza
enforcer	enforcer
engage	impegnà
engaged	impegni
engagement	impegnu
engaging	ingaghjatu
engender	engender
engine	u mutore
engineer	engineer
engineering	ingignirìa
engrave	gravure
engraved	incisa
engraver	incisore
engraving	gravure
engrossed	ingrata
engrossing	piacevule
engulf	engulf
enhance	valurizà
enhancement	valurizazione
enigma	enigma
enigmatic	enigmatic
enjoin	ricuarà
enjoy	divutu
enjoyable	piacevule
enjoying	divirtìannusi
enjoyment	divirtìannusi
enlarge	agrandà
enlarged	allargate
enlargement	allargamentu
enlighten	illuminà
enlightened	assulitista
enlightening	illuminista
enlightenment	illuminazione
enlist	alistar
enliven	venerà
enmity	ingannità
ennui	ennui
enormity	enormità
enormous	enormi
enormously	enormamente
enraged	arraggiatu
enrich	arricchisce
enroll	fassi scrivevi
enrollment	inscription
ensemble	Ensemble
ensign	ensign
enslave	esclave
enslaved	esclavi
enslavement	esclavità
ensue	segue
ensure	assicurà
entail	impone
entangled	ntricciata
entanglement	entanglement
enter	entre
enterprise	imprese
enterprising	emprusi
entertain	entreprise
entertained	entretenutu
entertainer	animatore
entertaining	entretenimentu
entertainment	divertimentu
enthralled	immersi
enthusiasm	entusiasmu
enthusiast	entusiastu
enthusiastic	entusiasivu
entice	intristellu
entire	tuttu
entirety	tutalità
entitle	entitle
entity	entità
entomology	entomologia
entourage	sèmpiu
entrails	intruti
entrance	entrata
entrapment	entrapment
entreat	entreat
entree	entree
entrepreneur	entrepreneur
entrust	cunfidenza
entry	ingressu
enumerate	enumerate
enumeration	enumerazione
envelope	imbarcu
envious	invidia
environ	NO TRANSLATION
environment	ambiente
environmental	ambiente
environs	abbitanti
envision	envision
envoy	in mezzu
envy	inveci
enzyme	enzyme
ephemeral	efemettu
ephemeris	ephemeris
epic	epic
epidemic	epidemica
epidermis	'epidermisa
epidural	epidurali
epilepsy	epilepsia
epileptic	epileptic
epilogue	epilogue
epiphany	epifania
episcopal	episcopali
episode	episodiu
episodic	episodicu
epistle	epistulu
epitaph	Epitaph
epithet	epitetu
epitome	'epitome
epoch	epoch
equal	uguali
equality	ugualità
equalization	equalizazione
equalize	equalizà
equalizer	equalizer
equally	ugguali
equate	equate
equation	equazzioni
equator	equatori
equatorial	equatoriali
equestrian	equestru
equidistant	equidistante
equilibration	equilibrazzioni
equilibrium	equilibriu
equip	equip
equipment	apparatu
equitable	ghjustu
equity	equità
equivalence	equivalenza
equivalent	equivalenti
equivocal	equivocale
era	era
eradicate	eradicate
eradication	eradicazione
erase	sguassate
eraser	gommaru
erasure	espansione
ere	NO TRANSLATION
erect	erect
erectile	esercitile
erection	erection
ergo	NO TRANSLATION
erode	sgiò
erosion	'erusione
erotic	erotic
erotica	erotica
err	err
errand	cumenti
errant	errant
erratic	erratic
erratum	erratum
erroneous	erroneous
error	errore
erst	NO TRANSLATION
erudite	erudite
erupt	erupt
eruption	eruzzioni
escalade	escalade
escalate	scalate
escalating	scalating
escalation	scalation
escalator	escaliola meccanica
escape	scappari
escaped	scappu
escarpment	scarpment
eschew	evitari
escort	escort
escrow	scarp
esophagus	esofago
esoteric	esoteric
especial	NO TRANSLATION
espionage	espionamentu
espouse	cunvince
espresso	espresso
esprit	esprit
esquire	scollo
essay	prucessu
essayist	essayist
essence	essenza
essential	essenziale
essentially	essenza
establish	stabiliscenu
established	stabilitu
establishment	stabilimentu
estate	duminiu
esteem	stima
esteemed	stima
esthetic	esteticu
estimable	estimibule
estimate	stima
estimation	stima
estoppel	stoppel
estranged	estranged
estrogen	estrogenu
estuary	estuario
etch	etch
etching	incisione
eternal	eterna
eternity	eternità
ethanol	etanolu
ether	etere
ethereal	impurtante
ethic	etica
ethical	etica
ethics	etica
ethnic	etnicu
ethnography	etnografia
etiology	etiologia
etiquette	etiquette
etymology	etimulugia
eucalyptus	eucalyptus
euchre	euchre
eugenics	eugenesi
eulogistic	eulogistic
eulogium	eulogium
eulogize	eulogize
eulogy	eulogy
euphemism	euphemisimu
euphoria	euforia
euphoric	euphoric
euro	euro
euthanasia	eutanasia
evacuate	evacuee
evacuation	evacuazione
evade	evade
evaluate	valutà
evaluation	valutazione
evanescence	evanescence
evangelical	evangelicu
evangelist	evangilista
evangelistic	evangelistic
evaporate	evapora
evaporation	evaporazione
evasion	evasion
evasive	evasivu
eve	vigiglia
evening	sera
evens	NO TRANSLATION
event	successu
eventful	ghjastema
eventual	eventualis
eventuality	eventualità
evergreen	biancu
everlasting	eternu
evermore	in eternu
everyday	ogni ghjornu
everyman	ogniman
evict	evict
eviction	evuluzione
evidence	evidenza
evident	evidenti
evidentiary	provenziale
evil	u male
evoke	evoca
evolution	evoluzioni
evolutionary	evoluzione
evolve	evoluzione
ewe	uanicu
ex	ex
exacerbate	esaggirati
exacerbation	esaggirati
exact	esatta
exacting	siveru
exaggerate	esagera
exaggerated	esaggirati
exaggeration	esaggirazioni
exalt	exalt
exaltation	esaltimentu
exalted	hà innalzatu
exam	esame
examination	esame
examine	esaminà
examiner	examiner
example	esempiu
exasperated	exasperatu
exasperation	'exasperazioni
excavate	excavate
excavation	scavu
excavator	Excavator
exceed	supira
exceeding	più grande
excel	excel
excellence	eccellenza
excellent	eccellenti
excelsior	excelsior
excepting	cissava
exception	eccessione
exceptional	eccezziunali
excerpt	silenziu
excess	eccessi
excessive	eccessivu
excessively	eccessivamente
exchange	scambiu
excise	excise
excision	escisión
excitability	excitabilità
excitable	eccessibili
excitation	excitazioni
excite	scandalizà
excited	ecciteghja
excitement	eccitamento
exciting	passiunanti
exclaim	abbandunà
exclamation	esclamazioni
exclude	escludiri
excluded	sclusa
