Word	sq
desist	pushoj
desk	tavolinë
desolate	i shkretë
desolation	shkretim
despair	dëshpërim
despairing	dëshpëruar
despatch	mbaroj
desperado	njeri i krisur
desperate	i dëshpëruar
desperation	dëshpërim
despicable	i neveritshëm
despise	përçmoj
despondent	i dëshpëruar
despotic	despotik
despotism	despotizëm
dessert	ëmbëlsirë
destination	destinacion
destined	i paracaktuar
destiny	fat
destitute	i varfër
destroy	shkatërroj
destroyed	i shkatërruar
destroyer	shkatërrues
destroying	shkatërruar
destruct	destruct
destruction	shkatërrim
destructive	shkatërrues
detach	shkëput
detached	me shërbim
detachment	detashment
detail	hollësi
detailed	i detajuar
details	detalet
detain	kapur
detainee	i arrestuar
detect	zbuloj
detectable	detektueshme
detection	zbulim
detective	detektiv
detector	detektor
detention	ndalim
deter	frenoj
detergent	larës
deteriorate	përkeqësohet
deteriorated	përkeqësuar
deteriorating	përkeqësuar
deterioration	keqësim
determinable	përcaktueshme
determinate	i vendosur
determination	vendosmëri
determine	përcaktoj
determined	i vendosur
deterrent	sigurues
detest	urrej
detestation	urrejtje
detonate	shpërthej
detonation	shpërthim
detonator	lëndë plasëse
detour	mënyrë e tërthortë
detract	i heq
detriment	dëm
detrimental	i dëmshëm
detritus	detritus
deuce	barazim
deutschmark	marka gjermane
devalued	zhvleftësuar
devastate	shkretoj
devastated	shkatërruar
devastating	shkatërrues
devastation	shkatërrim
develop	zhvilloj
developer	zhvillues
developing	zhvillim
development	zhvillim
deviant	devijante
deviate	shmangem
deviating	devijuar
deviation	devijim
device	pajisje
devil	djall
deviled	deviled
devilish	djallëzor
devious	dinak
devise	lë me testament
devoid	që i mungon
devolution	transferim
devolve	bie
devote	kushtoj
devoted	përkushtuar
devotee	besimtar
devotion	devocion
devotional	i devotshëm
devour	gllabërojë
devout	i devotshëm
dew	vesë
dexter	i djathtë
dexterity	shkathtësi
dextrose	dekstrozë
diabetes	diabet
diabetic	diabetik
diabolical	djallëzor
diagnose	përcaktoj diagnozë
diagnosis	diagnozë
diagnostic	diagnostikues
diagnostics	Diagnostics
diagonal	diagonal
diagram	diagramë
dial	formoj numrin
dialect	dialekt
dialectic	dialektika
dialogue	dialog
dialysis	dializë
diameter	diametër
diamond	diamant
diamonds	karo
diaper	pelenë
diaphragm	diafragmë
diarrhea	diarre
diarrhoea	diarre
diary	ditar
diatribe	fjalim i ashpër
dib	NO TRANSLATION
dibs	zar
dice	zare
dicey	dicey
dichotomous	dikotomik
dichotomy	ndarje në dy pjesë
dick	kar
dickhead	dickhead
dicks	dicks
dictate	diktat
dictation	diktim
dictator	diktator
dictatorial	diktatorial
dictatorship	diktaturë
diction	stil i të folurit
dictionary	Fjalor
dictum	NO TRANSLATION
didactic	didaktik
diddle	mashtroj
die	NO TRANSLATION
died	i vdekur
diesel	naftë
diet	dietë
dietary	diete
differ	ndryshojnë
difference	ndryshim
differences	dallimet
different	i ndryshëm
differential	diferencial
differentiation	diferencim
differently	ndryshe
differing	ndryshme
difficult	i vështirë
difficulties	vështirësi
difficulty	vështirësi
diffuse	përhap
diffusion	difuzion
dig	NO TRANSLATION
digest	tretet
digestion	tretje
digestive	që ndihmon tretjen e ushqimit
digit	shifër
digital	dixhital
dignified	me dinjitet
dignify	denjoj
dignity	dinjitet
digress	dal nga tema
digs	strofkë
dike	digë
dilapidated	i rrënuar
dilatation	zgjerim
dilation	zgjerim
dildo	dildo
dilemma	dilemë
diligence	zell
diligent	i zellshëm
dill	kopër
diluent	hollues
dilute	i holluar
diluted	i dobësuar
dilution	hollim
dim	i zbehtë
dime	i pavlefshëm
dimension	dimension
dimensional	përmasor
diminish	zvogelohet
diminished	i zvogëluar
diminution	pakësim
diminutive	i vogël
dimwit	budalla
din	NO TRANSLATION
dine	shtroj
diner	vagon-restorant
dinghy	barkë e vogël indiane
dingo	qen i egër i australisë
dingy	i dyshimtë
dining	ngrënie
dinky	i veshur bukur
dinner	darkë
dinnertime	Koha e darkes
dinosaur	dinozaur
dint	gjurmë
diocesan	peshkop
diocese	dioqezë
diorama	diorama
dioxide	dyoksid
dip	rënie e horizontit
diploma	diplomë
diplomacy	diplomaci
diplomat	diplomat
diplomatic	diplomatik
dipper	Arusha e Madhe
dippy	i çmendur
dipstick	Matja
dire	NO TRANSLATION
direct	i drejtpërdrejtë
directed	drejtuar
direction	drejtim
directive	direktivë
directly	drejtpërdrejt
director	drejtor
directory	drejtori
dirt	i poshtër
dirty	pis
disability	paaftësi
disable	disable
disabled	i paaftë
disadvantage	dëm
disaffected	i pakënaqur
disagree	nuk bie dakort
disagreeable	i vrenjtur
disagreeing	mospajtim
disagreement	mosmarrëveshje
disallow	nuk lejoj
disallowed	ndaluar
disapointment	NO TRANSLATION
disappear	zhduket
disappearance	zhdukje
disappearing	zhdukur
disappoint	gaboj
disappointed	i zhgënjyer
disappointing	zhgënjyes
disappointment	zhgënjim
disapproval	dënim
disapprove	nuk miratoj
disapproved	miratoi
disapproving	mospranues
disarm	çarmatos
disarray	rrëmujë
disaster	fatkeqësi
disastrous	shkatërrimtar
disband	shpërndaj
disbelief	mosbesim
disbelieve	nuk besojnë
disburse	paguaj
disbursement	disbursimi
disc	disk
discard	heq dorë nga
discarded	fshi
discards	discards
discern	dalloj
discernible	i dukshëm
discerning	i hollë
discernment	mprehtësi
discharge	shkarkim
disciple	dishepull
disciplinary	disiplinor
discipline	disipline
disciplined	i disiplinuar
disclaim	hedh poshtë
disclaimer	mohim
disclose	zbuloj
disclosed	zbulohen
disclosure	zbulim
disco	disko
discoloration	njollë
discolored	i zbardhur
discomfort	siklet
disconcerted	i dekurajuar
disconcerting	shqetësuese
disconnect	shqit
disconnected	shkëputur
disconnection	Shkyçja
disconnects	Shkëputet
discontent	pakënaqësi
discontinuance	ndërprerje
discontinue	ndërpritet
discontinuity	mungesë lidhjeje logjike
discontinuous	i shkëputur
discord	mosmarrëveshje
discount	zbritje
discounted	zbritur
discourage	dekurajoj
discouraged	dekurajuar
discouragement	dekurajim
discouraging	dekurajues
discourse	fjalim
discover	zbuloni
discovery	zbulim
discredit	diskreditoj
discredited	diskredituar
discreet	NO TRANSLATION
discrepancy	mospërputhje
discrete	i veçantë
discretion	liri veprimi
discretionary	diskrecionale
discriminate	diskriminoj
discriminating	diskriminues
discrimination	diskriminim
discus	disk
discuss	diskutoj
discussion	diskutim
disdain	përbuzje
disdainful	mospërfillës
disease	sëmundje
diseased	i sëmurë
disembodied	pa trup
disengage	shkëput
disengagement	shkëputje
disfigured	i shëmtuar
disgrace	turp
disgraced	poshtëruar
disgraceful	i turpshëm
disgruntled	i pakënaqur
disguise	fsheh
disguised	maskuar
disgust	neveri
disgusted	i lodhur
disgusting	i pështirë
dish	pjatë
disheartened	disheartened
disheartening	jashtëzakonisht e dobët
dishonest	i pandershëm
dishonesty	pandershmëri
dishonor	çnderim
dishonorable	i turpshëm
dishwasher	pjatalarëse
disillusionment	zhgënjim
disinclination	mosdashje
disincline	i heq gatishmërinë
disinclined	mosdashës
disinfect	dezinfektoj
disinfectant	dezinfektues
disinfection	dezinfektim
disinformation	dezinformata
disingenuous	i pasinqertë
disintegrate	shpërbëhet
disintegration	shpërbërje
disinterested	pa interes
disjoint	veçoj
disjointed	pa lidhje
disjunctive	disjunctive
disk	disk
diskette	diskette
dislike	antipati
disliked	mospëlqyera
disliking	disliking
dislocated	i ndrydhur
dislocation	përmbysje
dislodge	largoj
disloyal	i pabesë
disloyalty	tradhti
dismal	i dëshpëruar
dismantle	çmontoj
dismay	lebetit
dismayed	u trondit
dismemberment	shqyerje
dismiss	shkarkoj
dismissal	shkarkim
dismissive	dismissive
dismount	çmontoj
disobedience	mosbindje
disobedient	i pabindur
disobey	shkel
disorder	çrregullim
disordered	çrregulluar
disorderly	i çrregullt
disorganized	i çorganizuar
disorientation	disorientation
disoriented	çorientuar
disown	mohoj
disparage	ul
disparaging	i pagjind
disparate	i pangjashëm
disparity	pabarazi
dispassionate	i paanshëm
dispatch	njoftim
dispatcher	dispeçer
dispel	largoj
dispensary	punishte barnash në spital
dispensation	qeverim
dispense	jap
dispenser	bombol me vrimë nxjerrëse
dispersal	shpërhapje
disperse	shpërndaj
dispersed	të shpërndara
dispersion	dispersion
dispirited	i dërrmuar
displace	zhvendos
displaced	zhvendosur
displacement	zhvendosje
displacency	displacency
display	ekran
displease	bezdis
displeased	pëlqeu
displeasure	pakënaqësi
disposable	i disponueshëm
disposal	dispozicion
dispose	rregulloj
disposed	i predispozuar
disposition	natyrë
dispossessed	dëbuar
disprove	përgënjeshtroj
dispute	diskutim
disqualification	përjashtim
disqualified	i përjashtuar
disqualify	ndaloj
disquieted	shqetësove
disregard	mospërfillje
disregarded	shpërfillur
disrelish	mospëlqim
disreputable	i pandershëm
disrepute	diskreditim
disrespect	mosrespektim
disrespectful	i pasjellshëm
disrupt	përçaj
disrupting	ndërprerë
disruption	përçarje
disruptive	përçarës
dissatisfaction	pakënaqësi
dissatisfied	i pakënaqur
dissect	pres
dissection	autopsi
disseminate	shpërndaj
dissemination	përhapje
dissension	përçarje
dissent	mospajtim
dissenting	mospajtues
dissertation	disertacion
disservice	dëmtim
dissident	disident
dissimilar	i ndryshëm
dissipate	zhduket
dissipated	i shpërndarë
dissociation	veçim
dissociative	shkëputës
dissolution	shpërbërje
dissolve	tretet
dissonance	mosmarrëveshje
dissuade	zhbind
distal	skajor
distance	distancë
distant	i largët
distaste	neveri
distasteful	i papëlqyeshëm
distillate	esencë
distillation	distilim
distilled	i distiluar
distinct	i dallueshëm
distinction	dallim
distinctive	dallues
distinguish	të dallojë
distinguishable	i dallueshëm
distinguished	i shquar
distinguishing	dalluese
distort	shtrembëroj
distorted	i shtrembëruar
distortion	shtrembërim
distract	çmend
distracted	i hutuar
distracting	shkëputur
distraction	çmenduri
distraught	i shqetësuar
distress	ankth
distressed	i pikëlluar
distressing	i dhimbshëm
distribute	shpërndaj
distribution	shpërndarje
distributor	shpërndarës
district	rreth
distrust	mosbesim
disturb	shqetësoj
disturbance	shqetësim
disturbed	i shqetësuar
disturbing	shqetësues
disuse	mospërdorim
disused	disused
ditch	hendek
ditto	idem
ditty	këngë e thjeshtë e shkurtër
diurnal	ditor
diva	primadonë
divan	NO TRANSLATION
dive	pikiatë
diver	zhytës
diverge	ndryshojnë
divergence	divergjencë
divergent	divergjent
diverging	divergjente
divers	të ndryshëm
diverse	të ndryshme
diversified	i larmishëm
diversify	diversifikuar
diversion	diversion
diversionary	diversionary
diversity	diversitet
divert	largoj
diverting	devijues
divest	zhvesh
divested	zhveshur
divestment	Shpronësim
divide	përçaj
divided	i ndarë
dividend	dividend
divination	hamendje
divine	hyjnor
divinity	hyjni
divisible	i ndashëm
division	ndarje
divisor	pjesëtues
divorce	divorc
divorcee	grua e ndarë
divulge	nxjerr
divvy	divvy
dizziness	marramendje
dizzy	i trullosur
do	bëj
doable	që mund të bëhet
doc	doktor
docile	i urtë
dock	dok
docked	ankorua
docket	rend dite
docking	docking
doctor	mjek
doctorate	doktoratë
doctrinal	doktrinar
doctrine	doktrinë
document	dokument
documentary	dokumentar
documentation	dokumentim
documents	dokumentet
dodge	dredhi
dodger	mashtrues
dodging	dodging
dodgy	i dyshimtë
dodo	leshko
doe	drenushë
doer	bërës
dog	qen
dogface	dogface
dogged	i paepur
doggy	për t'u dukur
doghouse	stelë qeni
dogma	dogmë
dogmatic	dogmatik
dogsick	NO TRANSLATION
doings	veprimtari shoqërore
doit	NO TRANSLATION
dojo	Dojo
doldrums	apati
dole	ua ndaj të varfërve
doll	kukull
dollar	dollar
dollhouse	shtëpi kukullash
dolor	NO TRANSLATION
dolphin	delfin
domain	fushë
dome	kube
domestic	i brendshëm
domesticated	e zbutur
domestication	zbutje
domicile	vendbanim
domiciled	banues
dominance	mbizotërim
dominant	dominante
dominate	dominojnë
dominating	dominues
domination	sundim
dominatrix	dominatrix
dominion	sundim
domino	domino
don	don
donate	dhuroj
donation	dhurim
donkey	gomar
donor	dhurues
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	shkarravinë
doom	dënim
doomed	i dënuar
doomsday	fundi i botës
door	derë
doorbell	doorbell
doorknob	doorknob
doorman	portier
doormat	këmbësore
doornail	gozhdë me kokë të madhe
doorstep	shkallare
doorway	hapësirë ​​dere
dopamine	dopamine
dope	drogë
dopey	i droguar
dork	Dork
dorky	dorky
dorm	fjetore
dormant	në gjumë
dormitory	konvikt
dorsal	dorsal
dosage	dozim
dose	dozë
dossier	dosje
dot	pikë
doting	adhurues
dotted	pika-pika
dotty	i dobët
double	dyshe
doubled	dyfishuar
doublet	xhamadan
doubling	dyfishuar
doubt	dyshim
doubtful	i dyshimtë
doubting	dyshues
doubtless	pa dyshim
doubts	dyshime
douche	dush
douchebags	douchebags
dough	brumë
doughboy	ushtar këmbësor
doughnut	petull
dour	i sertë
douse	fik
dove	pëllumb
down	poshtë
downcast	i dëshpëruar
downer	Downer
downfall	rrënim
downfield	downfield
downhearted	downhearted
downhill	tatëpjetë
download	Shkarko
downpour	rrebesh
downright	i çiltër
downriver	downriver
downside	downside
downtime	kohë joproduktive
downward	në rënie
downy	me pupla
dowry	prikë
doze	bëj një sy gjumë
dozen	duzinë
drab	i zymtë
draft	draft
drafty	drafty
drag	zvarrit
dragon	dragua
dragonfly	pilivesë
drain	thahet
drainage	kullim
drained	i drenazhuar
draining	kullues
drainpipe	tub kullimi
drake	rosak
drama	dramë
dramaqueen	NO TRANSLATION
dramatic	dramatik
drape	varet
drapery	perde
drastic	ekstreme
drat	NO TRANSLATION
draught	draft
draw	barazim
drawback	pengesë
drawbridge	urë lëvizëse
drawer	sirtar
drawers	mbathje
drawing	vizatim
dread	tmerr
dreaded	dreaded
dreadful	i frikshëm
dreadfully	tmerrësisht
dreading	druheni
dream	ëndërr
dreamboat	Dreamboat
dreamer	ëndërrues
dreaming	ëndërroja
dreamland	vend i dëshiruar
dreams	ëndrrat
dreamt	ëndërruar
dreamy	i ëmbël
dreary	i zymtë
dredge	peshkoj me rrjetë fundore
drenched	përmbyt
dress	veshje
dresser	bufe
dressmaker	rrobaqepëse
dressy	serioze
dribble	NO TRANSLATION
dried	e tharë
drier	makinë tharëse
drift	domethënie
drifted	përvjedhur
drifter	Drifter
driftwood	Driftwood
drill	stërvitje
drink	pije
drinker	pijanec
drinking	pijshëm
drinks	pije
drip	pikoj
dripping	dripping
drive	makinë
drivel	pallavra
driver	shofer
driveway	rrugë me pemë
drizzle	rigon
droll	karagjoz
drone	njeri që rri kot
drones	drones
drool	pallavra
drooping	venitje
droopy	droopy
drop	rënie
droplet	pikëz
dropout	braktisin
dropper	pikatore
drought	thatësirë
drove	NO TRANSLATION
drown	mbytem
drowsiness	të qenët i përgjumur
drowsy	i përgjumur
drudgery	angari
drug	drogë
drug dealing	Shitës i drogës
drugged	i droguar
druggist	farmacist
drugs	droga
drugstore	farmaci
druid	Druid
drum	daulle
drummer	baterist
drumming	nxitjen
drunk	i dehur
drunk driving	ngarje të dehur
drunkard	pijanec
drunken	i dehur
drunkenness	dehurit
dry	thatë
dryer	tharëse
dryness	thatësi
dual	dual
dualism	dualizëm
duality	dualitet
dub	pagëzoj
dubious	i dyshimtë
duchess	dukeshë
duck	rosë
ducking	ducking
duckling	bibë
ducky	zogëz
duct	kanal
ductile	i urtë
dud	gjë pa vlerë
dude	tip
duds	sende personale
due	shkak
duel	duel
dues	shumë për t'u paguar
duet	duet
duffel	çantë doku
dugout	gropë
duh	duh
duke	dukë
dull	e shurdhër
dullard	dullard
dumb	memec
dumbasses	dumbasses
dumbbell	trap
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	bedel
dump	grumbull mbeturinash
dumpling	trashaluq
dumps	mërzi
dumpster	Dumpster
dun	i murmë
dunce	njeri i trashë
dune	dunë
dung	NO TRANSLATION
dungeon	birucë
dunk	njom
duo	duo
dupe	dede
duplex	i dyfishtë
duplicate	kopje
duplication	bërje në dy kopje
duplicity	hipokrizi
durability	qëndrueshmëri
durable	i fortë
duration	kohëzgjatje
duress	detyrim
dusk	muzg
dusky	i errët
dust	pluhur
duster	përparëse
dustpan	kaci
dusty	me pluhur
dutiful	i sjellshëm
duty	detyrë
dwarf	xhuxh
dwarfed	dwarfed
dweeb	dweeb
dwell	banoj
dweller	banor
dwelling	banesë
dye	bojë
dying	që po vdes
dyke	digë
dynamic	dinamik
dynamical	dinamike
dynamics	dinamikë
dynamite	dinamit
dynamo	dinamo
dynasty	dinasti
dysentery	dizenteri
dysfunction	mosfunksionim
dysfunctional	jofunksionale
dyspepsia	dispepsi
eager	i etur
eagerness	padurim
eagle	shqiponjë
ear	vesh
earful	earful
earl	kont
earlier	më herët
early	në fillim
earn	fitoj
earnest	i sinqertë
earnestly	me zell
earnestness	Earnestness
earnings	fitimet
earpiece	kufje
earring	vathë
earrings	një palë vathë
earshot	rreze dëgjimi
earth	tokë
earthenware	enë prej argjile
earthling	earthling
earthly	tokësor
earthquake	tërmet
earthy	tokësor
ease	lehtësi
easel	këmbalec piktori
easement	komoditet
easily	lehtë
east	Lindja
eastbound	eastbound
eastern	lindor
easy	i lehtë
easygoing	i butë
eat	ha
eater	hamës
eating	ushqim
eatingdisorders	NO TRANSLATION
eavesdrop	përgjoj
eavesdropping	përgjim
ebb	dobësim
ebony	zezak
ebullient	i papërmbajtur
eccentric	ekscentrik
eccentricity	sjellje e çuditshme
ecclesiastical	kishëtar
echelon	skalion
echinacea	Echinacea
echo	jehonë
eclectic	eklektik
eclipse	Eklips
ecliptic	ekliptik
ecological	ekologjik
economic	ekonomik
economical	ekonomik
economics	ekonomi
economy	ekonomi
ecosystem	ekosistem
ecstasy	ekstazë
ecstatic	në ekstazë
ecumenical	i përgjithshëm
eddy	vorbull
edema	edemë
edge	buzë
edging	bordurë
edgy	i paduruar
edible	ushqimor
edict	dekret
edification	ngritje morale
edifice	ndërtesë
edit	redaktoj
editing	redaktimi
edition	botim
editor	redaktor
editorial	kryeartikull
educate	edukoj
educated	i edukuar
education	arsim
educational	arsimor
educator	edukator
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	EEK
eel	ngjalë
eerie	i frikshëm
effect	efekt
effective	në fuqi
effectiveness	efikasitet
effects	efektet
effectual	i frytshëm
effectually	effectually
effectuate	kryej
effeminate	si femër
efficacious	i efektshëm
efficacy	efikasitet
efficiency	efikasitet
efficient	efikas
effigy	portret
effort	përpjekje
effortless	i lehtë
effusion	derdhje
effyou	NO TRANSLATION
egg	vezë
egghead	njeri që mendon
eggnog	eggnog
eggplant	patëllxhan
eggshell	eggshell
ego	ego
egomaniac	egomaniac
egotistical	egoist
egregious	skandaloz
egress	dalje
eight	tetë
eighteen	tetëmbëdhjetë
eighth	i tetë
eighty	tetëdhjetë
ejaculate	lëshoj një fjalë
ejaculation	derdhje
eject	nxjerr
ejection	nxjerrje
elaborate	përpunuar
elaboration	përpunim
elan	NO TRANSLATION
elapse	kaloj
elapsed	kaluar
elastic	elastik
elasticity	elasticitet
elated	në gjendje të gëzuar
elation	ngazëllim
elbow	bërryl
eld	pleqëri
elder	i moshuar
elderly	moshuarit
elders	pleqtë
eldest	më i madh
elect	i zgjedhur
election	zgjedhje
elective	i zgjedhur
elector	zgjedhës
electoral	elektoral
electorate	elektorat
electric	elektrik
electric slide	rrëshqitje elektrike
electrical	elektrik
electrician	inxhinier elektrik
electricity	elektricitet
electrify	elektrifikoj
electrocute	electrocute
electrocution	electrocution
electromagnetic	elektromagnetike
electron	elektron
electronic	elektronik
electronics	elektronikë
elegance	hijeshi
elegant	elegant
element	element
elemental	thelbësor
elementary	fillor
elements	elementet
elephant	elefant
elevate	ngre
elevated	i lartë
elevation	lartësi
elevator	Ashensor
eleven	njëmbëdhjetë
eleventh	i njëmbëdhjetë
elf	kukudh
elicit	nxjerr
eligible	i pranueshëm
eliminate	eliminoj
elimination	eliminimi
elite	elitë
elitist	elitist
elixir	eliksir
elk	dre
ell	masë gjatësie
ellipse	elips
ellipsis	shenja që tregojn heqjen e tekstit
ellipsoid	ellipsoid
elliptic	eliptik
elliptical	eliptik
elm	elm
elongate	zgjas
elongation	zgjatim
elope	fshihem
eloquence	gojëtari
eloquent	shprehës
elucidate	shpjegoj
elucidation	sqarim
elude	evitoj
elusive	i pakapshëm
emaciated	i dobësuar
email	email
emanate	zë fill
emancipation	emancipim
embankment	argjinaturë
embargo	NO TRANSLATION
embark	hipi
embarrass	vë në siklet
embarrassed	i zënë ngushtë
embarrassing	i ngatërruar
embarrassment	siklet
embassy	ambasadë
embattled	sulmuar
embed	mbjell
embellish	stolis
embellishment	zbukurim
embers	thëngjijtë
embezzlement	përvetësim
embezzler	përvetësuesi
emblem	simbol
emblematic	simbolik
embodiment	mishërim
embolism	emboli
embossed	embossed
embrace	përqafoj
embroidered	Embroidered
embroidery	qëndisje
embroiled	i ngatërruar
embryo	embrion
embryonic	embrional
emcee	Emcee
emerald	smeraldi
emerge	dal
emergence	shfaqje
emergency	urgjencë
emeritus	emeritus
emery	zmeril
emetophobia	emetophobia
emigrate	emigroj
emigration	emigrim
eminence	famë
eminent	i shquar
eminently	jashtëzakonisht
emir	NO TRANSLATION
emissary	emisar
emission	emision
emit	emetoj
emo	emo
emotion	emocion
emotional	emocional
emotive	emocional
empathic	empatik
empathize	theksohet
empathy	ndjeshmëri
emperor	perandor
emphasis	theks
emphasize	theksoj
emphatic	këmbëngulës
emphysema	emfizemë
empire	perandori
empirical	empirik
empiricism	empirizëm
employ	punë
employee	punonjës
employer	punëdhënës
employment	punësimi
emporium	magazinë e madhe
empower	fuqizojë
empress	perandoreshë
emptiness	zbrazëti
emption	zëvendsim
empty	bosh
emu	emu
emulate	matem
emulsion	emulsion
enable	mundësoj
enablement	enablement
enact	luaj
enactment	ligj
enamel	smalt
encampment	fushim
enchant	kënaq
enchanted	magjepsur
enchanting	shumë i këndshëm
enchantment	magji
enchantress	magjistare
enchilada	enchilada
encircle	rrethoj
encircling	encircling
enclave	enklavë
enclose	fus
enclosure	mbyllje
encode	shifroj
encomiastic	NO TRANSLATION
encomium	encomium
encompass	qarkoj
encore	NO TRANSLATION
encounter	takim
encourage	inkurajoj
encouraged	inkurajuar
encouragement	inkurajim
encouraging	inkurajues
encroach	shkel
encroachment	cenim
encrypt	encrypt
encryption	encryption
encumbrance	pengesë
encyclopedia	enciklopedi
end	fund
end table	Tabela në fund
endanger	rrezikoj
endangered	rrezikuara
endangerment	rrezikimi
endearing	endearing
endeavor	përpjekje
ended	përfunduar
endemic	endemik
endgame	fazë e fundit të luftës
ending	fund
endless	i pafund
endocarditis	endokardit
endorse	vërtetoj
endorsement	miratim
endow	financoj
endowed	pajisur
endowment	dhuratë
endpapers	endpapers
endpoint	pika e fundit
endurance	durim
endure	qëndroj
enduring	i qëndrueshëm
enema	klizmë
enemy	armik
energetic	energjik
energize	aktivizoj
energy	energji
enforce	zbatoj
enforcement	zbatim
enforcer	Zbatues
engage	angazhoj
engaged	angazhuar
engagement	angazhim
engaging	tërheqës
engender	sjell
engine	motor
engineer	inxhinier
engineering	inxhinieri
engrave	gdhend
engraved	gdhendur
engraver	gdhendës
engraving	gdhendje
engrossed	engrossed
engrossing	tërheqës
engulf	gllabëroj
enhance	rrit
enhancement	përmirësim
enigma	enigmë
enigmatic	enigmatik
enjoin	urdhëroj
enjoy	gëzojnë
enjoyable	e kënaqshme
enjoying	shijuar
enjoyment	kënaqësi
enlarge	zgjeroj
enlarged	i zmadhuar
enlargement	zgjerim
enlighten	sqaroj
enlightened	Lartësuar shpirtërisht
enlightening	i shkolluar
enlightenment	sqarim
enlist	rekrutoj
enliven	gjallëroj
enmity	armiqësi
ennui	mërzi
enormity	poshtërsi
enormous	i pamasë
enormously	jashtëzakonisht
enraged	i tërbuar
enrich	pasuroj
enroll	regjistroj
enrollment	regjistrim
ensemble	ansambël
ensign	flamur
enslave	robëroj
enslaved	i skllavëruar
enslavement	skllavërim
ensue	pasoj
ensure	siguroj
entail	detyroj
entangled	i ngatërruar
entanglement	ngatërresë
enter	hyj
enterprise	ndërmarrje
enterprising	me iniciativë
entertain	pres
entertained	argëtuan
entertainer	zot shtëpie
entertaining	i këndshëm
entertainment	argëtim
enthralled	magjepsur
enthusiasm	entuziazëm
enthusiast	entuziast
enthusiastic	entuziast
entice	tërheq
entire	i tërë
entirety	tërësi
entitle	i jap të drejtë
entity	entitet
entomology	entomologji
entourage	rrethim
entrails	gji
entrance	hyrje
entrapment	entrapment
entreat	përgjërohem
entree	anëtarësim
entrepreneur	sipërmarrës
entrust	besoj
entry	hyrje
enumerate	numëroj
enumeration	numërim
envelope	zarf
envious	ziliqar
environ	NO TRANSLATION
environment	mjedis
environmental	mjedisore
environs	rrethina
envision	përfytyroj
envoy	i dërguar
envy	zili
enzyme	enzimë
ephemeral	kalimtar
ephemeris	Ephemeris
epic	epik
epidemic	epidemi
epidermis	veshje e guaskës
epidural	epidural
epilepsy	epilepsi
epileptic	epileptik
epilogue	epilog
epiphany	pagëzim
episcopal	peshkopal
episode	episod
episodic	episodik
epistle	letër
epitaph	epitaf
epithet	epitet
epitome	mishërim
epoch	epokë
equal	i barabartë
equality	barazi
equalization	barazim
equalize	barazoj
equalizer	barazues
equally	njëlloj
equate	vë shenjën e barazimit
equation	ekuacion
equator	ekuator
equatorial	ekuatorial
equestrian	kalorës
equidistant	i baraslarguar
equilibration	baraspeshim
equilibrium	ekuilibër
equip	pajis
equipment	pajisje
equitable	i drejtë
equity	kapitalit
equivalence	ekuivalencë
equivalent	ekuivalent
equivocal	i dyshimtë
era	epokë
eradicate	çrrënjos
eradication	çrrënjosje
erase	shuaj
eraser	gomë
erasure	fshirje
ere	NO TRANSLATION
erect	i drejtë
erectile	që mund të ngrerë
erection	mbledhje
ergo	NO TRANSLATION
erode	ha
erosion	erozion
erotic	erotik
erotica	letërsi erotike
err	gaboj
errand	porosi
errant	endacak
erratic	i çrregullt
erratum	gabim shtypi
erroneous	i gabuar
error	gabim
erst	NO TRANSLATION
erudite	dijetar
erupt	shpërthej
eruption	shpërthim
escalade	Escalade
escalate	shkallëzohet
escalating	i shkallëzuar
escalation	shkallëzim
escalator	shkallë lëvizëse
escape	ikje
escaped	arratis
escarpment	rrëpirë
eschew	rri larg
escort	shoqërues
escrow	dorëzani e besuar një të treti
esophagus	ezofag
esoteric	i fshehtë
especial	NO TRANSLATION
espionage	spiunazh
espouse	martohem
espresso	ekspres
esprit	mend
esquire	zoti
essay	ese
essayist	eseist
essence	thelb
essential	thelbësor
essentially	në thelb
establish	vendos
established	i themeluar
establishment	vendosje
estate	pasurive
esteem	nderim
esteemed	famë
esthetic	estetike
estimable	i vlershëm
estimate	vlerësim
estimation	vlerësim
estoppel	heqje e porosisë
estranged	larguar
estrogen	estrogjenit
estuary	grykëderdhje e gjerë
etch	bëj gravurë
etching	gravurë
eternal	i përjetshëm
eternity	përjetësi
ethanol	etanol
ether	eter
ethereal	i papeshë
ethic	etik
ethical	etik
ethics	etikë
ethnic	etnik
ethnography	etnografi
etiology	etiologji
etiquette	rregulla të mirësjelljes
etymology	etimologji
eucalyptus	eukalipt
euchre	lloj loje letrash
eugenics	eugjenikë
eulogistic	lavdërues
eulogium	eulogium
eulogize	ngre në qiell
eulogy	lavdëri
euphemism	eufemizm
euphoria	eufori
euphoric	euforike
euro	euro
euthanasia	vdekje e lehtë
evacuate	zbraz
evacuation	zbrazje
evade	shmangen
evaluate	vlerësoj
evaluation	vlerësim
evanescence	shuarje
evangelical	ungjillor
evangelist	evangjelist
evangelistic	ungjillizuese
evaporate	zhduket
evaporation	avullim
evasion	shmangie
evasive	i paqartë
