Word	sv
dreadful	hemsk
dreadfully	fruktansvärt
dreading	dreading
dream	dröm
dreamboat	Dreamboat
dreamer	drömmare
dreaming	drömma
dreamland	drömland
dreams	drömmar
dreamt	drömde
dreamy	drömmande
dreary	trist
dredge	muddra
drenched	indränkt
dress	klänning
dresser	byrå
dressmaker	sömmerska
dressy	dressy
dribble	NO TRANSLATION
dried	torkades
drier	tork
drift	drift
drifted	drev
drifter	drifter
driftwood	drivved
drill	borra
drink	dryck
drinker	emellanåt
drinking	dricka
drinks	drycker
drip	dropp
dripping	droppande
drive	kör
drivel	dravel
driver	förare
driveway	uppfart
drizzle	dugga
droll	lustig
drone	Drönare
drones	drönare
drool	dregla
drooping	hängande
droopy	droopy
drop	släppa
droplet	liten droppe
dropout	hoppa av
dropper	dropper
drought	torka
drove	NO TRANSLATION
drown	drunkna
drowsiness	dåsighet
drowsy	dåsig
drudgery	slit
drug	läkemedel
drug dealing	Droghandel
drugged	drogad
druggist	apotekare
drugs	narkotika
drugstore	apotek
druid	druid
drum	trumma
drummer	handelsresande
drumming	trummande
drunk	full
drunk driving	full körning
drunkard	drinkare
drunken	berusad
drunkenness	fylleri
dry	torr
dryer	torktumlare
dryness	torrhet
dual	dubbel
dualism	dualism
duality	dualitet
dub	dubba
dubious	tvivelaktig
duchess	hertiginna
duck	Anka
ducking	smiter
duckling	ankunge
ducky	ducky
duct	kanal
ductile	formbar
dud	BLINDGÅNGARE
dude	killen
duds	duds
due	på grund av
duel	duell
dues	avgifter
duet	duett
duffel	duffel
dugout	urholkad
duh	duh
duke	hertig
dull	tråkig
dullard	dullard
dumb	dum
dumbasses	dumbasses
dumbbell	hantel
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	dummy
dump	dumpa
dumpling	klimp
dumps	soptippar
dumpster	soptunna
dun	dun
dunce	dumhuvud
dune	dyn
dung	NO TRANSLATION
dungeon	fängelsehåla
dunk	dunka
duo	duo
dupe	dupera
duplex	duplex-
duplicate	duplicera
duplication	duplicering
duplicity	falskhet
durability	Hållbarhet
durable	hållbar
duration	varaktighet
duress	tvång
dusk	skymning
dusky	dunkel
dust	damm
duster	dammtrasa
dustpan	sopskyffel
dusty	dammig
dutiful	lydig
duty	plikt
dwarf	dvärg-
dwarfed	dvärgväxta
dweeb	dweeb
dwell	bo
dweller	dweller
dwelling	bostad
dye	färga
dying	döende
dyke	fördämning
dynamic	dynamisk
dynamical	dynamisk
dynamics	dynamik
dynamite	dynamit
dynamo	dynamo
dynasty	dynasti
dysentery	dysenteri
dysfunction	dysfunktion
dysfunctional	dysfunktionell
dyspepsia	dyspepsi
eager	ivrig
eagerness	iver
eagle	Örn
ear	öra
earful	earful
earl	Earl
earlier	tidigare
early	tidigt
earn	tjäna
earnest	allvarlig
earnestly	ärligt
earnestness	allvar
earnings	förtjänst
earpiece	hörlur
earring	örhänge
earrings	örhängen
earshot	hörhåll
earth	jord
earthenware	lergods
earthling	earthling
earthly	jordisk
earthquake	jordbävning
earthy	jordnära
ease	lätthet
easel	staffli
easement	servitut
easily	lätt
east	öster
eastbound	östlig
eastern	östra
easy	lätt
easygoing	Lättsam
eat	äta
eater	-ätare
eating	mat
eatingdisorders	NO TRANSLATION
eavesdrop	tjuvlyssna
eavesdropping	tjuvlyssning
ebb	ebb
ebony	ebenholts
ebullient	sprudlande
eccentric	excentrisk
eccentricity	excentricitet
ecclesiastical	kyrklig
echelon	echelong
echinacea	echinacea
echo	eko
eclectic	eklektisk
eclipse	förmörkelse
ecliptic	ekliptikan
ecological	ekologisk
economic	ekonomisk
economical	ekonomisk
economics	ekonomi
economy	ekonomi
ecosystem	ekosystem
ecstasy	extas
ecstatic	extatisk
ecumenical	ekumenisk
eddy	virvel
edema	ödem
edge	kant
edging	bård
edgy	kantig
edible	ätlig
edict	påbud
edification	uppbyggelse
edifice	byggnad
edit	redigera
editing	redigering
edition	utgåva
editor	redaktör
editorial	redaktionell
educate	utbilda
educated	utbildad
education	utbildning
educational	pedagogisk
educator	pedagog
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	ål
eerie	kuslig
effect	effekt
effective	effektiv
effectiveness	effektivitet
effects	effekter
effectual	verkningsfull
effectually	effectually
effectuate	effektuera
effeminate	feminin
efficacious	effektiv
efficacy	effektivitet
efficiency	effektivitet
efficient	effektiv
effigy	avbildning
effort	ansträngning
effortless	enkel
effusion	utgjutning
effyou	NO TRANSLATION
egg	ägg
egghead	ägghuvud
eggnog	äggtoddy
eggplant	äggplanta
eggshell	äggskal
ego	ego
egomaniac	egomaniac
egotistical	egotistical
egregious	oerhörd
egress	utträde
eight	åtta
eighteen	arton
eighth	åttonde
eighty	åttio
ejaculate	ejakulat
ejaculation	ejakulation
eject	mata ut
ejection	vräkning
elaborate	utveckla
elaboration	utarbetande
elan	NO TRANSLATION
elapse	förflyta
elapsed	förflutit
elastic	elastisk
elasticity	elasticitet
elated	upprymd
elation	upprymdhet
elbow	armbåge
eld	eld
elder	äldre
elderly	äldre
elders	äldste
eldest	äldst
elect	välja
election	val
elective	valfri
elector	väljare
electoral	val-
electorate	väljarkår
electric	elektrisk
electric slide	elektrisk glid
electrical	elektrisk
electrician	elektriker
electricity	elektricitet
electrify	elektrifiera
electrocute	elektrifiera
electrocution	electrocution
electromagnetic	elektromagnetisk
electron	elektron
electronic	elektronisk
electronics	elektronik
elegance	elegans
elegant	elegant
element	element
elemental	elementär
elementary	elementärt
elements	element
elephant	elefant
elevate	upphöja
elevated	upphöjd
elevation	elevation
elevator	hiss
eleven	elva
eleventh	elfte
elf	älva
elicit	framkalla
eligible	berättigad
eliminate	eliminera
elimination	eliminering
elite	elit
elitist	elitistisk
elixir	elixir
elk	älg
ell	aln
ellipse	ellips
ellipsis	ellips
ellipsoid	ellipsoid
elliptic	elliptisk
elliptical	elliptisk
elm	alm
elongate	förlänga
elongation	förlängning
elope	rymma
eloquence	vältalighet
eloquent	vältalig
elucidate	klarlägga
elucidation	klargörande
elude	gäcka
elusive	elusive
emaciated	utmärglad
email	e-post
emanate	utgå
emancipation	frigörelse
embankment	vägbank
embargo	NO TRANSLATION
embark	gå ombord
embarrass	besvära
embarrassed	generad
embarrassing	pinsam
embarrassment	förlägenhet
embassy	ambassad
embattled	kämpande
embed	bädda in
embellish	försköna
embellishment	utsmyckning
embers	glöd
embezzlement	förskingring
embezzler	FÖRSKINGRARE
emblem	emblem
emblematic	symbolisk
embodiment	utföringsform
embolism	emboli
embossed	präglade
embrace	omfamning
embroidered	broderad
embroidery	broderi
embroiled	indragen
embryo	embryo
embryonic	embryonala
emcee	emcee
emerald	smaragd-
emerge	framträda
emergence	uppkomsten
emergency	nödsituation
emeritus	emeritus
emery	smärgel
emetophobia	NO TRANSLATION
emigrate	emigrera
emigration	emigration
eminence	höjd
eminent	eminent
eminently	högsta grad
emir	NO TRANSLATION
emissary	sändebud
emission	utsläpp
emit	avge
emo	emo
emotion	känsla
emotional	emotionell
emotive	emotiv
empathic	empatiska
empathize	känna empati
empathy	empati
emperor	kejsare
emphasis	betoning
emphasize	betona
emphatic	eftertrycklig
emphysema	emfysem
empire	imperium
empirical	empirisk
empiricism	empirism
employ	använda
employee	anställd
employer	arbetsgivare
employment	sysselsättning
emporium	varuhus
empower	bemyndiga
empress	kejsarinna
emptiness	tomhet
emption	företrädesrätt
empty	tömma
emu	emu
emulate	tävla med
emulsion	emulsion
enable	Gör det möjligt
enablement	enable
enact	anta
enactment	enactment
enamel	emalj
encampment	läger
enchant	tjusa
enchanted	förtrollad
enchanting	förtjusande
enchantment	förtrollning
enchantress	tjuserska
enchilada	Enchiladas
encircle	omringa
encircling	omslutande
enclave	enklav
enclose	bifoga
enclosure	inhägnad
encode	koda
encomiastic	NO TRANSLATION
encomium	Encomium
encompass	omfatta
encore	NO TRANSLATION
encounter	råka ut för
encourage	uppmuntra
encouraged	uppmuntrad
encouragement	uppmuntran
encouraging	uppmuntrande
encroach	inkräkta
encroachment	intrång
encrypt	kryptera
encryption	kryptering
encumbrance	belastning
encyclopedia	encyklopedi
end	slutet
end table	ändbordet
endanger	äventyra
endangered	utsatt för fara
endangerment	endangerment
endearing	älskvärd
endeavor	strävan
ended	slutade
endemic	endemisk
endgame	slutspel
ending	slut
endless	ändlös
endocarditis	endokardit
endorse	stödja
endorsement	godkännande
endow	begåva
endowed	begåvad
endowment	begåvning
endpapers	endpapers
endpoint	slutpunkt
endurance	uthållighet
endure	härda ut
enduring	bestående
enema	lavemang
enemy	fiende
energetic	energisk
energize	energize
energy	energi
enforce	förstärka
enforcement	tillämpning
enforcer	enforcer
engage	förlova sig
engaged	engagerad
engagement	engagemang
engaging	engagerande
engender	framkalla
engine	motor
engineer	ingenjör
engineering	teknik
engrave	gravera
engraved	graverade
engraver	gravör
engraving	gravyr
engrossed	engrossed
engrossing	fängslande
engulf	uppsluka
enhance	förbättra
enhancement	förbättring
enigma	gåta
enigmatic	gåtfull
enjoin	ålägga
enjoy	njut av
enjoyable	trevlig
enjoying	njuter
enjoyment	njutning
enlarge	förstora
enlarged	förstorad
enlargement	utvidgning
enlighten	upplysa
enlightened	upplyst
enlightening	upplysande
enlightenment	upplysning
enlist	värva
enliven	liva upp
enmity	fiendskap
ennui	ennui
enormity	enorma
enormous	enorm
enormously	enormt
enraged	rasande
enrich	berika
enroll	skriva in
enrollment	inskrivning
ensemble	ensemble
ensign	baner
enslave	enslave
enslaved	enslaved
enslavement	förslavning
ensue	bli följden
ensure	säkerställa
entail	medföra
entangled	intrasslad
entanglement	förveckling
enter	stiga på
enterprise	företag
enterprising	företagsam
entertain	underhålla
entertained	hyste
entertainer	underhållare
entertaining	underhållande
entertainment	underhållning
enthralled	trollbundit
enthusiasm	entusiasm
enthusiast	entusiast
enthusiastic	entusiastisk
entice	locka
entire	hel
entirety	helhet
entitle	berättiga
entity	entitet
entomology	entomologi
entourage	följe
entrails	inälvor
entrance	ingång
entrapment	infångning
entreat	bönfalla
entree	entree
entrepreneur	entreprenör
entrust	anförtro
entry	inträde
enumerate	räkna upp
enumeration	uppräkning
envelope	kuvert
envious	avundsjuk
environ	NO TRANSLATION
environment	miljö
environmental	miljö-
environs	environs
envision	envision
envoy	sändebud
envy	avundas
enzyme	enzym
ephemeral	kortlivad
ephemeris	efemerid
epic	episk
epidemic	epidemi
epidermis	epidermis
epidural	epidural
epilepsy	epilepsi
epileptic	epileptisk
epilogue	epilog
epiphany	uppenbarelse
episcopal	biskops-
episode	episod
episodic	episodisk
epistle	brev
epitaph	epitafium
epithet	epitet
epitome	symbol
epoch	epok
equal	lika
equality	jämlikhet
equalization	utjämning
equalize	utjämna
equalizer	utjämnare
equally	lika
equate	likställa
equation	ekvation
equator	ekvator
equatorial	ekvatorial
equestrian	ryttare
equidistant	ekvidistant
equilibration	ekvilibrering
equilibrium	jämvikt
equip	utrusta
equipment	Utrustning
equitable	rättvis
equity	rättvisa
equivalence	likvärdighet
equivalent	likvärdig
equivocal	tvetydig
era	epok
eradicate	utrota
eradication	utrotning
erase	radera
eraser	suddgummi
erasure	radering
ere	NO TRANSLATION
erect	upprätt
erectile	erektil
erection	erektion
ergo	NO TRANSLATION
erode	erodera
erosion	erosion
erotic	erotisk
erotica	erotik
err	fela
errand	ärende
errant	felande
erratic	oregelbunden
erratum	erratum
erroneous	felaktig
error	fel
erst	NO TRANSLATION
erudite	lärd
erupt	få ett utbrott
eruption	utbrott
escalade	escalade
escalate	eskalera
escalating	eskalerande
escalation	upptrappning
escalator	rulltrappa
escape	fly
escaped	rymde
escarpment	brant sluttning
eschew	eschew
escort	eskort
escrow	spärrade
esophagus	matstrupe
esoteric	esoterisk
especial	NO TRANSLATION
espionage	spionage
espouse	ansluta sig till
espresso	espresso
esprit	esprit
esquire	väpnare
essay	uppsats
essayist	essäist
essence	väsen
essential	grundläggande
essentially	väsentligen
establish	slå fast
established	Etablerade
establishment	etablering
estate	egendom
esteem	aktning
esteemed	aktad
esthetic	estetisk
estimable	aktnings
estimate	uppskatta
estimation	uppskattning
estoppel	estoppel
estranged	främmande
estrogen	östrogen
estuary	flodmynning
etch	etsa
etching	etsning
eternal	evig
eternity	evighet
ethanol	etanol
ether	eter
ethereal	eterisk
ethic	etik-
ethical	etisk
ethics	etik
ethnic	etnisk
ethnography	etnografi
etiology	etiologi
etiquette	etikett
etymology	etymologi
eucalyptus	eukalyptus
euchre	euchre
eugenics	eugenik
eulogistic	eulogistic
eulogium	eulogium
eulogize	lovprisa
eulogy	lovtal
euphemism	eufemism
euphoria	eufori
euphoric	euforisk
euro	euro
euthanasia	dödshjälp
evacuate	evakuera
evacuation	evakuering
evade	undgå
evaluate	utvärdera
evaluation	utvärdering
evanescence	förbleknande
evangelical	evangelisk
evangelist	evangelist
evangelistic	evangelistic
evaporate	avdunsta
evaporation	avdunstning
evasion	undvikande
evasive	undvikande
eve	eve
evening	kväll
evens	NO TRANSLATION
event	händelse
eventful	händelserikt
eventual	eventuell
eventuality	eventualitet
evergreen	vintergröna
everlasting	evighet
evermore	evigt
everyday	varje dag
everyman	varje man
evict	vräka
eviction	vräkning
evidence	bevis
evident	uppenbar
evidentiary	bevis
evil	ondska
evoke	framkalla
evolution	Evolution
evolutionary	evolutionära
evolve	utveckla
ewe	tacka
ex	ex
exacerbate	förvärra
exacerbation	förvärrande
exact	exakt
exacting	krävande
exaggerate	överdriva
exaggerated	överdriven
exaggeration	överdrift
exalt	upphöja
exaltation	upphöjelse
exalted	upphöjd
exam	examen
examination	undersökning
examine	undersöka
examiner	examinator
example	exempel
exasperated	förbittrad
exasperation	förbittring
excavate	gräva
excavation	utgrävning
excavator	grävmaskin
exceed	överstiga
exceeding	överstiger
excel	excel
excellence	förträfflighet
excellent	excellent
excelsior	träull
excepting	utom
exception	undantag
exceptional	exceptionell
excerpt	utdrag
excess	överskott
excessive	överdriven
excessively	alltför
exchange	utbyta
excise	skära bort
excision	excision
excitability	retbarhet
excitable	exciterbar
excitation	excitation
excite	excitera
excited	upphetsad
excitement	spänning
exciting	spännande
exclaim	utropa
exclamation	utrop
exclude	utesluta
excluded	uteslutna
excluding	exklusive
exclusion	uteslutning
exclusive	exklusiv
excrement	träck
excretion	exkretion
excruciating	olidlig
excursion	utflykt
excuse	ursäkt
exec	exec
execute	Kör
execution	avrättning
executioner	bödel
executive	verkställande
executor	testamentsexekutor
exegesis	exeges
exemplar	exemplar
exemplary	exemplarisk
exemplify	exemplifiera
exempt	befria
exemption	befrielse
exercise	träning
exert	utöva
exertion	ansträngning
exhale	andas ut
exhaust	uttömma
exhausted	utmattad
exhaustion	utmattning
exhaustive	uttömmande
exhibit	utställning
exhibition	utställning
exhilarated	upprymd
exhilarating	uppiggande
exhilaration	upprymdhet
exhort	uppmana
exhortation	uppmaning
exhumation	uppgrävning
exhume	gräva upp
exigent	NO TRANSLATION
exile	exil
exist	existera
existence	existens
existent	existerande
existential	existentiell
existing	existerande
exit	utgång
exodus	utvandring
exonerate	befria
exorbitant	orimlig
exorcism	exorcism
exorcist	exorcist
exotic	exotisk
expand	bygga ut
expanded	expanderat
expanse	vidd
expansion	expansion
expansive	expansiv
expatriate	landsförvisa
expect	förvänta
expectance	förväntan
expectancy	förväntning
expectant	förväntans
expectation	förväntan
expected	förväntat
expecting	förväntar sig
expediency	ändamålsenlighet
expedient	ändamålsenlig
expedite	påskynda
expedition	expedition
expeditious	snabb
expel	utvisa
expendable	förbruknings-
expenditure	utgifter
expense	bekostnad
expenses	kostnader
expensive	dyr
experience	erfarenhet
experienced	erfaren
experiences	upplevelser
experiment	experimentera
experimental	experimentell
experimentation	experimenterande
experimenter	experimentator
expert	expert-
expertise	expertis
expiration	utgång
expire	upphöra
expired	utgånget
expiry	upphörande
explain	förklara
explanation	förklaring
explanatory	förklarande
expletive	svordom
explication	explikation
explicit	explicit
explode	explodera
exploit	utnyttja
exploitation	utnyttjande
exploration	utforskning
exploratory	utforskande
explore	utforska
explorer	explorer
explosion	explosion
explosions	explosioner
explosive	explosiv
expo	expo
exponent	exponent
exponential	exponentiell
export	exportera
exportation	export
expose	översikt
exposed	utsatt
exposition	utläggning
expository	förklarande
exposure	exponering
expound	förklara
express	uttrycka
expression	uttryck
expressive	uttrycksfull
expressway	motorväg
expropriation	expropriation
expulsion	uteslutning
exquisite	utsökt
exquisitely	utsökt
extant	bevarad
extend	förlänga
extendable	utdrag
extended	förlängas
extension	förlängning
extensive	omfattande
extent	utsträckning
exterior	exteriör
exterminate	utrota
extermination	utrotning
exterminator	utrotare
external	extern
externally	externt
extinct	utdöd
extinction	utdöende
extinguish	släcka
extinguisher	eldsläckare
extol	prisa
extort	pressa ut
extortion	utpressning
extra	extra
extract	extrahera
extracting	extraktion
extraction	extraktion
extractor	extraktor
extracurricular	extracurricular
extradition	utlämning
extrajudicial	utomrättsliga
extramural	extramural
extraneous	främmande
extraordinaire	extraordinaire
extraordinary	utöver det vanliga
extraterrestrial	utomjordisk
extravagance	extravagans
extravagant	extravagant
extravaganza	extravaganza
extreme	extrem
extreme anticipation	extrem förväntan
extreme disgust	extrem avsky
extreme surprise	extrem överraskning
extreme trust	extrema förtroende
extremely	ytterst
extremely negative	extremt negativ
extremely positive	extremt positiv
extremity	extremitet
extricate	befria
extrinsic	yttre
extrusion	extrudering
exuberance	överflöd
exude	utstrålar
eye	öga
eyeball	eyeball
eyebrow	ögonbryn
eyeful	eyeful
eyeglass	monokel
eyeglasses	glasögon
eyelash	ögonhår
eyelet	snörhål
eyeliner	eyeliner
eyepiece	okular
eyes	ögon
eyesight	syn
eyewitness	ögonvittne
fab	fab
fable	fabel
fabled	fabled
fabric	tyg
fabricate	tillverka
fabricated	fabricerade
fabrication	tillverkning
fabulous	fantastisk
facade	Fasad
face	ansikte
faceless	ansiktslösa
facet	aspekt
facial	ansiktsbehandling
facile	NO TRANSLATION
facilitate	främja
facility	anläggning
facing	vänd
facsimile	faksimil
fact	faktum
faction	fraktion
factor	faktor
factory	fabrik
facts	fakta
factual	faktisk
faculties	fakulteter
faculty	fakultet
fad	fluga
fade	blekna
faded	urblekt
faeces	avföring
fag	bög
faggot	bög
fail	misslyckas
failing	brist
failure	fel
fain	NO TRANSLATION
faint	svag
fainting	svimning
fair	rättvis
fairly	ganska
fairness	rättvisa
fairway	fairway
fairy	fe-
faith	tro
faithful	trogen
faithfulness	trofasthet
faithless	trolös
fake	falsk
faker	förfalskare
falafel	falafel
falcon	falk
fall	falla
fallacious	vilseledande
fallacy	felslut
fallback	Retirera
fallible	felbar
falling	faller
fallopian	fallopian
fallout	Ramla ut
fallow	träda
false	FALSK
falsehood	lögn
falsely	falskt
falsification	förfalskning
falsified	förfalskad
falsify	förfalska
falsity	falskhet
falter	vackla
fame	berömmelse
famed	berömd
familiar	bekant
familiarity	förtrogenhet
familiarize	bekanta
family	familj
familytime	familjetid
famine	svält
famished	utsvulten
famous	känd
famously	ökänt
fan	fläkt
fanatic	fanatiker
fanatical	fanatisk
fanaticism	fanatism
fanciful	fantasifull
fancy	fint
fandango	fandango
fanfare	fanfar
fang	NO TRANSLATION
fangs	huggtänder
fanning	fläkt-
fantasia	fantasi
fantasize	fantisera
fantastic	fantastisk
fantasy	fantasi
faraway	långt borta
farce	fars
farcical	farsartad
fare	biljettpris
farewell	farväl
farm	odla
farmer	jordbrukare
farmhouse	bondgård
farming	jordbruk
farmland	jordbruksmark
faro	faro
fart	fisa
farther	längre
fascia	fascia
fascinate	fascinera
fascinated	fascinerad
fascinating	fascinerande
fascination	fascination
fascism	fascism
fascist	fascistisk
fashion	mode
fashionable	modern
fastball	fastball
fasten	fästa
fastener	fästanordning
fastening	fastsättning
fasting	fasta
fat	fett
fatal	dödlig
fatalism	fatalism
fatality	dödsoffer
fate	öde
fated	ödesbestämd
fateful	ödesdiger
fathead	fathead
father	far
fatherhood	faderskap
fatherland	fädernesland
fatherly	faderlig
fathom	famn
fatigue	Trötthet
fatigued	trött
fatso	tjockis
fatten	göda
fatty	fet
faucet	kran
fault	fel
faultless	felfri
faulty	felaktig
faun	faun
fauna	fauna
faux	faux
favor	förmån
favorable	gynnsam
favorite	favorit-
favoriteholiday	NO TRANSLATION
favoritism	favorisering
fawn	fawn
fax	fax
faze	NO TRANSLATION
fear	rädsla
feared	fruktade
fearful	rädd
fearfully	fruktans
fearing	fruktade
fearless	orädd
fears	rädsla
fearsome	skrämmande
feasibility	genomförbarhet
feasible	möjlig
feast	fest
feat	bedrift
feather	fjäder
feathered	befjädrad
feature	funktion
features	funktioner
febrile	febril
fecal	fekal
feces	avföring
fecundity	fruktsamhet
fed	matad
federal	Federal
federation	federation
fedup	NO TRANSLATION
fee	avgift
feeble	svag
feed	utfodra
feedback	återkoppling
feeder	matare
feel	känna
feelgood	må bra
feeling	känsla
feelingdown	NO TRANSLATION
feelinggood	NO TRANSLATION
feet	fötter
feign	hyckla
feigned	feigned
feisty	lättretlig
felicity	sällhet
feline	kattdjur
fell	föll
feller	fällare
fellow	Kompis
fellowship	gemenskap
felon	brottsling
felony	grov förbrytelse
felt	känt
female	kvinna
feminine	feminin
femininity	kvinnlighet
feminism	feminism
feminist	feminist
femme	NO TRANSLATION
femoral	femorala
femur	lårben
fen	NO TRANSLATION
fence	staket
fenced	inhägnad
fencing	fäktning
fend	parera
fender	fender
fennel	fänkål
ferment	jäsa
fermentation	jäsning
fern	ormbunke
ferocious	våldsam
ferocity	grymhet
ferret	snoka
ferry	färja
ferryboat	NO TRANSLATION
fertile	bördig
fertility	fertilitet
fertilize	befrukta
fertilizer	gödningsmedel
fervent	brinnande
fervor	glöd
fess	fess
fest	fest
festival	festival
festive	festlig
fetal	foster-
fetch	hämta
fete	NO TRANSLATION
fetish	fetisch
fetus	foster
feud	fejd
feudal	feodal-
feudalism	feodalism
fever	feber
feverish	febrig
fiancee	NO TRANSLATION
fiasco	fiasko
fiat	fiat
fib	fib
fiber	fiber
fiberglass	Glasfiber
fibrosis	fibros
fibrous	fibrös
fickle	ombytlig
fiction	fiktion
fictional	fiktiva
fictitious	fiktiv
fiddle	fiol
fiddler	fifflare
fidelity	trohet
fidgety	rastlös
fiduciary	förtroendeman
field	fält
field hockey	landhockey
fielder	Fielder
fiend	djävul
fiendish	djävulsk
fierce	våldsam
fiery	eldig
fiesta	fiesta
fiesty	NO TRANSLATION
fifteen	femton
fifty	femtio
fig	fikon
fight	bekämpa
fighter	kämpe
fighting	stridande
fights	slagsmål
figment	påhitt
figurative	bildlig
figure	figur
figurine	statyett
filament	tråd
filamentous	filamentös
file	fil
filet	filet
filibuster	filibuster
filigree	filigran
filing	arkivering
filings	filspån
fill	fylla
filler	fyllmedel
fillet	filea
filling	fyllning
filly	stoföl
film	filma
filmmaker	filmskapare
filmy	NO TRANSLATION
filter	filtrera
filth	smuts
filthy	snuskig
filtration	filtrering
fin	NO TRANSLATION
final	slutlig
finale	final
finalist	finalist
finality	slutgiltig
finalize	avsluta
finalized	slutfört
finally	till sist
finance	finansiera
financial	finansiell
financier	finansiär
finch	fink
find	hitta
finder	upphittare
finding	fynd
fine	bra
finery	stass
finesse	finess
finger	finger
fingernail	nagel
fingerprint	fingeravtryck
fingerscrossed	NO TRANSLATION
finish	Avsluta
finished	färdiga
finite	ändlig
fink	fink
fir	gran
fire	brand
firearm	skjutvapen
firearms	skjutvapen
fireball	eldkula
firecracker	smällare
firefight	brandbekämpning
firefighter	brandman
firefly	eldfluga
firehouse	brandstation
firelight	eldsken
fireman	brandman
fireplace	öppen spis
firepower	eldkraft
fireproof	eldfast
fireside	fireside
firestorm	firestorm
firewall	brandvägg
firewood	ved
firework	fyrverkeri
fireworks	fyrverkeri
firing	bränning
firm	fast
firmament	fäste
firmly	fast
firmness	fasthet
first	först
firstborn	förstfödda
firstworldprobs	NO TRANSLATION
fiscal	fiskal
fish	fisk
fisherman	fiskare
fishery	fiske
fishing	fiske
fishing boat	fiskebåt
fishy	skum
fissile	klyvbart
fission	fission
fissure	spricka
fist	näve
fistfight	slagsmål
fistful	fistful
fistula	fistel
fit	passa
fitness	kondition
fits	passar
fitted	inpassad
fitting	passande
fittings	beslag
five	fem
fiver	fiver
fix	fixera
fixable	fixerbar
fixation	fixering
fixed	fast
fixer	fixare
fixture	fixtur
fixtures	fixturer
fizz	fräsa
fjord	fjord
flabbergast	flabbergast
flabbergasted	förbluffad
flabby	slapp
flaccid	slapp
flag	flagga
flagging	flaggning
flagpole	flaggstång
flagrant	flagrant
flagship	flaggskepp
flagstaff	flaggstång
flair	stil
flak	flaken
flake	flaga
flaky	fjällig
flamboyant	flamboyant
flame	flamma
flamethrower	eldkastare
flaming	flammande
flamingo	flamingo
flammable	brännbar
flan	flan
flange	fläns
flank	flank
flanked	flankerad
flanking	flankerande
flannel	flanell-
flap	flaxa
flapping	fladdrande
flare	blossa
flares	bloss
flaring	fackling
flash	blixt
flashback	flashback
flashing	blinkande
flashlight	ficklampa
flashy	prålig
flask	flaska
flat	platt
flatbed	platt säng
flatfoot	plattfot
flatness	flathet
flatten	platta
flatter	smickra
flattered	smickrad
flattering	smickrande
flattery	smicker
flatulence	flatulens
flaunt	pråla
flavor	smak
flaw	fel
flawed	bristfällig
flawless	felfri
flea	loppa
fleabag	fleabag
fled	fled
flee	fly
fleece	skinna
fleet	flotta
fleeting	flyktig
flesh	kött
fleshy	köttig
flex	böja
flexibility	flexibilitet
flexible	flexibel
flexin	flexin
flexion	böjning
flick	snärt
flicker	flimmer
flickering	flimmer
flier	flygblad
flight	flyg
flighty	flighty
flimsy	tunn
flinch	rygga tillbaka
fling	förälskelse
flint	flinta
flip	flip
flip flop	flip-flop
flipper	Flipper
flipping	vändning
flirt	flört
flirtation	flört
flirting	flirta
flirty	flörtig
float	flyta
floater	floater
flock	flock
flog	prygla
flood	översvämning
floor	golv
flooring	golv
floozy	floozy
flop	flop
floppy	diskett
flora	flora
floral	blommig
florist	blomsterhandlare
floss	flock
flotation	flotation
flounder	flundra
flour	mjöl
flourish	frodas
flow	flöde
flower	blomma
flowering	blommande
flowers	blommor
flowery	blommig
flows	strömmar
flu	influensa
fluctuate	fluktuera
fluctuating	fluktuerande
fluctuation	fluktuation
flue	rökkanal
fluency	flyt
fluent	flytande
fluff	ludd
fluffy	fluffig
fluid	vätska
fluidity	fluiditet
fluke	lyckträff
flunk	kuggar
flunky	lakej
fluorescence	fluorescens
fluorescent	fluorescerande
flurries	kastbyar
flurry	kastby
flush	spola
flustered	nervös
flute	flöjt
fluted	rafflat
flutter	fladdra
fluvial	fluvial
flux	flöde
fly	flyga
flyboy	flyboy
flyer	flygblad
flying	flygande
flywheel	svänghjul
foal	föl
foam	skum
foaming	skumning
foamy	skummig
fob	fob
focal	fokal-
focus	fokus
fodder	foder
foe	fiende
fog	dimma
foggy	dimmig
foil	folie
foiled	foiled
fold	vika ihop
folded	vikta
folder	mapp
foliage	lövverk
folio	folio
folk	folk
folklore	folklore
follicle	follikel
follicular	follikulär
follow	Följ
follower	efterföljare
folly	dårskap
fond	fond
fondle	smeka
fondling	smekningar
fondness	förkärlek
fondue	fondue
font	font
food	mat
foodie	foodie
fool	lura
fooled	luras
foolhardy	dumdristig
fooling	fooling
foolish	dåraktig
foolishness	dåraktighet
foolproof	idiotsäker
foot	fot
foot stool	fotstoll
footage	antal fot
football	fotboll
footbridge	gångbro
foothold	fotfäste
footing	fot
footlocker	fotboja
footloose	footloose
footpath	gångstig
footprint	fotavtryck
footwear	Skodon
footwork	fotarbete
fop	snobb
forage	foder
foray	plundringståg
forbearance	tålamod
forbid	förbjuda
forbidding	förbjuder
force	tvinga
forced	tvingade
forceful	kraftfull
forceps	tång
forces	krafter
forcibly	med våld
ford	vadställe
fore	främre
forearm	underarm
foreboding	förebud
forecast	prognos
