Word	az
coronation	koronasiya
coroner	koroner
corporal	koral
corporate	korporativ
corporation	korporasiya
corporeal	cismani
corps	korpus
corpse	cəsəd
corpsman	korpus
corpus	korpus
corral	corral
correct	düzgündür
correction	düzəliş
correctional	düzəliş
corrective	düzəldir
correctness	düzgünlük
correlation	korrelyasiya
correlative	əlaqəli
correspond	uyğun
correspondence	yazışma
correspondent	müxbir
corresponding	uyğun
corridor	koridor
corroborate	təsdiq edirəm
corroboration	təsdiqləmə
corrosion	korroziya
corrosive	korroziyadır
corrupt	korrupsiya
corrupting	zərər verən
corruption	korrupsiya
corsage	corsage
corse	NO TRANSLATION
corset	korset
cortex	korteks
cortical	kortikal
cortisone	kortizon
corvette	corvette
cosmetic	kosmetik
cosmetics	kosmetika
cosmic	kosmik
cosmology	kosmologiya
cosmopolitan	kosmopolit
cosmos	kosmos
cost	qiyməti
costly	bahalı
costume	kostyum
cosy	rahat
cot	uşaq çarpayısı
cote	cote
cottage	kottec
cotton	pambıq
couch	divan
cougar	yanıx xalaşka
cough	öskürək
council	məclis
councilman	məclis
counsel	məsləhətdir
counseling	məsləhətdir
counsellor	məsləhətçi
counselor	məsləhətçi
count	saymaq
countdown	Geri sayma
countenance	üzr
counter	əksinə
counteract	qarşıdurma
counterattack	əks hücum
counterbalance	balans
counterclaim	qarşı iddia
counterfeit	saxta
counterpart	həmkarı
counterpoint	qarşılıqlı mövqe
countess	qəsəbə
countless	saysız
country	ölkə
countryman	kəndli
countrymusic	NO TRANSLATION
countryside	kənd
counts	sayar
county	ilçe
coup	zərbə
coupe	kupe
couple	cüt
coupled	birləşdi
coupling	birləşmə
coupon	kupon
courage	cəsarət
courageous	cəsarətli
courier	Kuryer
courses	kurslar
coursing	dərslik
court	məhkəmə
courteous	nəzakətli
courtesy	nəzakət
courthouse	ədliyyə
courtroom	məhkəmə zalında
courts	məhkəmələr
courtship	məhkəməlik
courtside	məhkəmə
courtyard	Həyət
cousin	cousin
cousins	cousins
cove	Koyun
coven	coven
covenant	əhd
cover	əhatə edir
coverage	əhatə dairəsi
covered	örtülüdür
covering	əhatə edir
covert	gizli
covet	covet
coveted	coveted
cow	inək
coward	qorxaq
cowardice	qorxaqlıq
cowardly	qorxaq
cowboy	kovboy
cowgirl	inəkli qız
cowhand	cowhand
cowhide	cowhide
cowl	cowl
coworker	işəgötürən
coy	coy
coyote	coyote
cozy	rahat
crab	yencək
crabby	yırtıcı
crack	çatlaq
cracked	çatladı
cracker	kraker
crackerjack	crackerjack
cracking	çatlama
crackle	çaxmaq
crackpot	crackpot
cradle	beşik
craft	sənətkarlıq
crafts	sənətkarlıq
craftsman	sənətkarı
craftsmanship	sənətkarlıq
crafty	məkrli
craig	craig
cram	cram
crammed	crammed
cramp	kramp
cramped	sıx
cranberry	zoğalı
cranberry juice	meyvə şirəsi
crane	Vinç
cranial	kranial
cranium	kranium
crank	krank
cranky	cırıq
cranny	cranny
crap	crap
crappy	dəhşətli
craps	craps
crash	qəza
crass	çınqıl
crate	sandıq
crater	krater
crave	tələsmək
craving	özlem
crawfish	kələmbalığı
crawl	tarama
crayon	karandaş
crayons	karandaşlar
craze	dəb
crazed	cırılmış
craziness	dəlilik
crazy	dəli
creak	kəklik
creaking	qarışıqlıq
cream	krem
creamed	kremli
creamer	qayçı
creamy	kremli
crease	bürüşmək
create	yaratmaq
creation	yaradılması
creative	yaradıcılıq
creativity	yaradıcılıq
creator	yaradıcısı
creature	məxluq
credence	etibarlılıq
credential	etimadnaməsi
credentials	etimadnamələr
credibility	etibarlılıq
credible	etibarlı
credit	kredit
credit card	kredit kartı
creditable	NO TRANSLATION
credited	kredit verildi
crediting	kreditləşmə
creditor	kreditor
creed	hədis
creek	dere
creep	dırmaşmaq
creeper	sürünən
creeping	sürünən
creepy	ürpertici
cremation	kremasiya
creole	kreol
crepe	krep
crescendo	crescendo
crescent	hilal
crest	kreş
crestfallen	kədərləndi
cretin	kretin
cretins	kriptinlər
crevice	yarıqlar
crew	ekipaj
crewman	kruvmen
crib	yataq otağı
cricket	kriket
cried	ağladı
crime	cinayət
criminal	cinayət
criminality	cinayətkarlıq
crimp	kıvrım
crimson	qırmızı
cringe	kədərlənmə
cripple	şikəst
crippled	şikəst
crippling	şikəstlik
crisis	böhran
crisp	xırtıldı
crispy	xırtıldayan
criterion	meyar
critic	tənqidçi
critical	kritik
criticise	tənqid edin
criticism	tənqid
criticize	tənqid edin
criticized	tənqid etdi
critique	tənqid
critter	tənqidçi
croak	croak
croc	croc
crock	crock
crockery	qab
crocodile	timsah
croft	croft
croissant	croissant
crook	crook
crooked	əyri
crop	məhsul
croquet	kroket
cross	xaç
cross country	kross ölkə
crossbow	keçid bağı
crossed	keçdi
crossfire	crossfire
crossing	keçid
crossover	krossover
crosswalk	crosswalk
crossword	krossvord
crotch	kətan
crouch	crouch
crouched	crouched
crouching	crouching
croupier	krupiyer
crow	qarğa
crowbar	qaranlıq
crowd	izdiham
crowded	dolu
crowds	dəstə-dəstə
crown	tacı
crowning	qaranlıq
crucial	vacibdir
cruciate	xırda
crucifix	xaçpərəst
crucifixion	çarmıxa çəkilmək
crucify	çarmıxa çəkin
crud	crud
crude	xam
cruel	zalım
cruelly	qəddarlıqla
cruelty	zülm
cruise	kruiz
cruise ship	kruiz gəmisi
cruiser	kruizer
cruising	kruiz
crumb	qırıntı
crumble	dağılmaq
crumbling	çöküntü
crummy	kəklik
crunch	çaxmaq
crunchy	gıcırtılı
crusade	Haçlı seferi
crusader	hərbiçi
crush	əzmək
crushed	əzik
crusher	crusher
crushing	sarsıdıcı
crust	qabıq
crusty	qatıqlı
crutch	qolu
crux	crux
cry	ağlamaq
crybaby	kristal
crying	ağlayır
crypt	crypt
cryptic	kriptik
cryptography	kriptoqrafiya
crystal	kristal
crystalline	kristal
crystallization	kristalizasiya
cub	kub
cubby	cubby
cube	kub
cubic	kub
cubicle	kabin
cuckold	cənab
cuckoo	cuckoo
cucumber	xiyar
cuddle	cığır
cuddled	cuddled
cuddles	cuddles
cuddling	cuddling
cue	replika
cuff	manşet
cuisine	Mətbəx
culinary	kulinariya
cull	cull
culminate	culminate
culmination	culmination
culpability	günahkarlıq
culpable	günahkar
culprit	günahkar
cult	dini
cultivate	becərmək
cultivated	becərilmişdir
cultivation	becərmə
cultural	mədəniyyət
culture	mədəniyyət
cultured	mədəniyyət
culvert	culvert
cumbersome	çətin
cumulus	kub
cunning	hiyləgər
cunt	cunt
cup	kubok
cupboard	şkaf
cupcake	cupcake
cupping	cupping
cur	cır
curable	müalicə edilə bilər
curate	Müəllif
curative	müalicəvi
curator	kurator
curb	cilovlamaq
curd	ləzzət
cure	müalicə
curfew	komendantları
curiosity	merak
curious	maraqlıdır
curl	curl
curling	buruq
currency	Valyuta
current	cari
curriculum	tədris planı
curry	köri
curse	lə'nət
cursed	lənətlədi
cursing	küfr
cursory	cursory
curt	curt
curtail	məhdudlaşdırmaq
curtailment	səksənlik
curtain	pərdə
curtains	pərdələr
curtsy	dərslik
curvature	əyrilik
curve	əyri
curved	əyri
curvilinear	curvilinear
cushion	yastıq
cushy	cushy
cusp	cusp
cuss	cuss
cussed	cussed
custard	muhallət
custodial	mühafizə
custodian	custodian
custody	gözətçilik
custom	xüsusi
customary	adət
customer	müştəri
customized	özelleştirildi
cut	kəsmək
cutaneous	dərmanlı
cute	sevimli
cuticle	Kütikül
cutie	cutie
cutlass	cutlass
cutlery	bıçaq dəsti
cutoff	kəsmək
cutter	kəsici
cutters	kəsicilər
cutthroat	kəsik
cutting	kəsmə
cutting board	Doğrama taxtası
cuttings	kəsiklər
cwt	cwt
cyanide	siyanür
cyberspace	kiberməkan
cycle	dövrü
cyclical	döngüsel
cyclist	velosipedçi
cyclone	siklon
cylinder	silindr
cylindrical	silindrik
cymbal	cymbal
cynic	cynic
cynical	cynical
cynicism	cynicism
cyst	kist
cystic	kistik
cytomegalovirus	sitomegalovirus
cytoplasm	sitoplazma
czar	czar
dab	dab
dabble	dabble
dabbling	dabbling
dad	baba
daddy	baba
dado	NO TRANSLATION
daemon	daemon
daft	daft
dagger	xəncər
daily	gündəlik
dainty	xoşbəxtlik
daiquiri	daiquiri
dairy	süd
daisy	papatya
dak	NO TRANSLATION
dale	dale
dam	baraj
damage	ziyan
damaged	zədələnmiş
damages	zərərlər
dame	dadı
damn	lanet olsun
damnation	lənətləmək
damned	lanet olsun
damp	nəm
dampened	nəmləndirdi
damper	damper
damsel	evlənmək
dance	rəqs
dancer	rəqqasə
dancing	rəqs
dandruff	kəpək
dandy	dandy
danger	təhlükə
dangerous	təhlükəli
dangerously	təhlükəli şəkildə
dangit	NO TRANSLATION
dangle	sürüşmək
dank	NO TRANSLATION
dapper	dapper
dare	cəsarət
daredevil	daredevil
daresay	daresay
daring	cəsarətli
dark	qaranlıq
darken	qaranlıq
darkened	qaranlıq
darkly	qaranlıq
darkness	qaranlıq
darkroom	qaranlıq otaq
darkside	qaranlıq tərəf
darling	sevgilim
darn	darn
dart	dart
dash	tire
dashboard	pano
dashed	zərbə vurdu
dashing	dırmaşan
dastardly	hörmətlə
data	məlumatlar
database	verilənlər bazası
date	Tarix
datenight	NO TRANSLATION
daughter	qızı
dawdle	dawdle
dawn	şəfəq
dawned	şənləndi
day	gün
daybreak	gündüzü
daycare	cocuk bakımı
daydream	daydream
daydreaming	xəyanətdir
daylight	gündüz
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	gündüz
daze	dad
dazed	dazed
dazzle	göz qamaşdırın
dazzling	gözqamaşdırıcı
deacon	deacon
deactivate	ləğv et
dead	ölü
deadbeat	ölməz
deadline	son tarix
deadlines	son tarixləri
deadlock	çıxılmaz vəziyyət
deadly	ölümcül
deaf	kar
deafening	qulaq asırlar
deafness	sağırlıq
deal	anlaşma
dealer	satıcı
dealership	diler
dealing	məşğulluq
dealings	məşğulluq
dean	dekan
dear	Əziz
dearest	sevgilim
dearth	əziyyət
death	ölüm
deathbed	ölüm yatağı
deathly	ölümlə
debacle	səhv
debased	qarışıqlıq
debatable	mübahisəli
debate	müzakirə
debauchery	axmaqlıq
debenture	borc
debilitating	zəifləyər
debit	debet
debrief	debrief
debriefing	debriefing
debris	dağıntılar
debt	borc
debtor	borclu
debut	debüt
debutante	debütante
decade	on ildir
decadence	decadence
decadent	çökən
decaf	kərpic
decanter	dekanter
decathlon	decathlon
decay	çürüməsi
decayed	çürümüşdü
decaying	çürüyür
deceased	ölən
decedent	qürurlu
deceit	aldatma
deceitful	aldadıcı
deceive	aldatmaq
deceived	aldadılmış
deceiving	aldatma
december	dekabr
decency	ləyaqət
decent	layiqli
deception	aldatma
deceptive	aldadıcı
decide	qərar verin
decidedly	qətiyyətlə
deciduous	yarpaqlı
decimal	ondalık
decimeter	dekimetr
decipher	deşifr
decision	qərar
decisive	həlledici
deck	göyərtə
declaration	bəyannamə
declaratory	deklarasiya
declare	bildirmək
declination	meyl
decline	azalma
declining	azalıb
deco	deco
decode	dekode
decoder	dekoder
decompose	ayrılmaq
decomposed	ayrıldı
decomposition	parçalanma
decompress	buraxmaq
decompression	dekompressiya
decontamination	dekontaminasiya
decor	dekorasiya
decorate	bəzəyəcək
decorating	bəzək
decoration	bəzək
decorative	dekorativ
decorator	dekoratör
decorum	dəlil
decoy	qaranlıq
decrease	azalma
decreased	azaldı
decreasing	azalma
decree	fərman
decrement	azalma
decrepit	qəflətən
decry	decry
decryption	şifrələmə
dedicate	həsrət
dedication	fədakarlıq
deduce	anlamak
deduct	çıxmaq
deductible	çıxılmaq
deduction	kəsilmə
deed	əməl
deejay	deejay
deem	hesab et
deep	dərin
deepen	dərinləşdirin
deer	geyik
defamation	diffamasiya
defamatory	tənbəllik
default	default
defeat	məğlub etmək
defeated	məğlub oldu
defeatist	məğlubiyyətçi
defect	qüsur
defection	defekt
defective	qüsurlu
defector	defekt
defend	müdafiə
defendant	şübhəli
defended	müdafiə etdi
defender	müdafiəçi
defending	müdafiə edir
defense	müdafiə
defenseless	müdafiəsiz
defensible	müdafiə edə bilər
defensive	müdafiəçi
defer	gecikdirmək
deference	hörmət
deferral	təxirə salmaq
deferring	təxirə salmaq
defiance	itaətsizlik
defiant	qüsurlu
defibrillator	defibrilator
deficiency	çatışmazlıq
deficient	çatışmazlıq
deficit	açığı
define	müəyyənləşdirmək
defined	müəyyənləşdirilmişdir
definite	müəyyəndir
definition	tərif
definitive	qəti
deflate	deflate
deflation	deflyasiya
deflect	əyilmə
deflection	sapma
defloration	deflorasiya
deform	deformasiya
deformed	deformasiya olundu
deformity	deformasiya
defraud	aldatma
defray	defrayla
defrost	defrost
deft	hörmətli
defunct	kəsilməmiş
defuse	yalvarmaq
defy	təhqir edir
degeneracy	degenerasiya
degenerate	degenerasiya
degeneration	degenerasiya
degradation	degradasiya
degrade	qaçaq
degraded	pozulmuşdu
degrading	pozulma
degree	dərəcə
dehydrated	susuzlaşdırılmışdır
dehydration	dehidrasyon
dejected	qəzəbləndi
delay	gecikmə
delayed	gecikdi
delectable	nefisdir
delegate	nümayəndə
delegation	nümayəndə heyəti
delete	silmək
deleterious	zərərli
deletion	silinmə
deli	deli
deliberate	qəsdən
deliberation	müzakirə
deliberative	müzakirə
delicacy	incəlik
delicate	incə
delicatessen	şirniyyat
delicious	dadlı
delight	zövq
delighted	sevindim
delightful	ləzzətli
delineate	təsvir etmək
delineation	məhdudlaşdırma
delinquency	sui-istifadə
delinquent	sui-qəsd
delirious	delirious
delirium	deliryum
deliver	çatdırmaq
deliverance	qurtarmaq
delivery	çatdırılma
dell	dell
delta	delta
delude	delude
deluge	su çatışmazlığı
delusion	aldanma
delusional	delusional
deluxe	lüks
delve	delve
demand	tələb
demanding	tələb
demeaned	təhqir etdi
demeaning	azalan
demeanor	davranış
demented	demented
dementia	demans
demise	ölmək
demo	demo
democracy	demokratiya
democrat	demokrat
democratic	demokratik
demographic	demoqrafik
demolish	yıxmaq
demolished	yıxıldı
demolition	dağıtma
demon	Şeytan
demonic	şeytan
demonstrable	göstərilə bilər
demonstrate	nümayiş etdirin
demonstrated	göstərdi
demonstrating	nümayiş etdirir
demonstration	nümayiş
demonstrative	nümayişçi
demonstrator	nümayişçi
demoralized	demoralized
demos	demolar
demure	demure
den	NO TRANSLATION
deniability	reddedilebilirlik
denial	imtina
denied	rədd etdi
denim	denim
denomination	nominasiya
denominational	denominational
denominator	denominator
denote	göstərmək
denounce	cəzalandırmaq
dense	sıx
density	sıxlıq
dent	dent
dental	diş
dentist	Diş həkimi
dentistry	Diş həkimi
dentists	dişlər
denunciation	denonsasiya
deny	inkar et
denying	inkar edir
deodorant	deodorant
depart	ayrılmaq
departed	ayrıldı
department	şöbə
departmental	bölmə
departure	gediş
depend	asılıdır
dependable	etibarlıdır
dependant	asılıdır
dependence	asılılıq
dependency	asılılıq
dependent	asılıdır
depict	təsvir
depicting	təsvir edir
depletion	tükənmə
deplorable	acınacaqlıdır
deplore	deplore
deploy	yerləşdirmək
deployment	yerləşdirmə
deport	deportasiya
deportation	deportasiya
depose	boşaltmaq
deposit	depozit
depositary	əmanətçi
deposition	çökmə
depository	depozitariya
depot	Anbar
depraved	pozulmuşdu
depravity	əxlaqsızlıq
depreciate	amortizasiya
depreciated	amortizasiya edildi
depreciation	amortizasiya
depress	susdurmaq
depressed	məzlum
depressing	əzici
depression	depressiya
depressive	depresif
depresson	NO TRANSLATION
deprivation	məhrumiyyət
deprive	məhrum etmə
deprived	məhrum etdi
depth	dərinliyi
deputy	millət vəkili
derail	çıxmaq
deranged	dərinləşdi
derelict	xaric
derision	dərman
derivation	törəmə
derivative	törəmə
derive	çıxarmaq
dermal	dermal
dermatologist	dermatolog
dermatology	dermatoloji
derogation	derogasiya
derogatory	haqsızlıq
descend	inək
descendant	nəslindən
descendent	NO TRANSLATION
descending	azalıb
descent	inşası
describe	təsvir etmək
description	təsviri
descriptive	təsviri
desecrate	hörmətlə
desecration	xəcalət
desert	səhra
deserted	boş qaldı
deserter	qaçmaq
desertion	qaçmaq
deserve	layiq olmaq
deserved	layiqdir
deserving	layiqdirlər
design	dizayn
designate	təyin
designated	təyin olunmuşdur
designation	təyinatı
designed	nəzərdə tutulmuşdur
designer	dizaynçı
designing	dizayn
desirability	istək
desirable	arzu edilir
desire	arzu
desiring	arzu edirəm
desirous	istəkli
desist	çəkinməyin
desk	Yazı masası
desolate	boş yerə
desolation	xarabalıq
despair	ümidsizlik
despairing	ümidsizlik
despatch	göndərmə
desperado	desperado
desperate	ümidsiz
desperation	çarəsizlik
despicable	hörmətli
despise	nifrət
despondent	təəssüf
despotic	despotik
despotism	despotizm
dessert	şirin
destination	təyinat
destined	qəsdən
destiny	taleyi
destitute	yoxsulluq
destroy	məhv et
destroyed	məhv edildi
destroyer	destroyer
destroying	məhv edirlər
destruct	məhv
destruction	məhv
destructive	dağıdıcı
detach	ayırmaq
detached	müstəqil
detachment	dəstə
detail	detal
detailed	ətraflı
details	ətraflı məlumat
detain	tutmaq
detainee	məhbus
detect	təsbit edin
detectable	təsbit edilə bilən
detection	aşkarlama
detective	dedektif
detector	detektor
detention	həbs
deter	cəzalandırmaq
detergent	deterjan
deteriorate	pisləşmək
deteriorated	pisləşdi
deteriorating	pisləşir
deterioration	pozulma
determinable	təyin edilə bilən
determinate	müəyyənləşdirir
determination	qətiyyət
determine	müəyyənləşdirin
determined	müəyyən oldu
deterrent	cəzalandırıcı
detest	təəssüf
detestation	nifrət
detonate	patlatmaq
detonation	detonasiya
detonator	detonator
detour	sapma
detract	azaldın
detriment	zərər verə bilər
detrimental	zərərli
detritus	dərd
deuce	ləqəb
deutschmark	deutschmark
devalued	devalued
devastate	dağıdıcı
devastated	dağıdılmışdır
devastating	dağıdıcı
devastation	xarabalıq
develop	inkişaf
developer	inkişaf etdirici
developing	inkişaf edir
development	inkişafı
deviant	deviant
deviate	çəkinmək
deviating	sapma
deviation	sapma
device	qurğu
devil	şeytan
deviled	qurdu
devilish	şeytanlıq
devious	çirkin
devise	hazırlamaq
devoid	məhv
devolution	Devolution
devolve	develve
devote	həsrət
devoted	həsr olunmuşdu
devotee	dindar
devotion	həsrət
devotional	devotional
devour	devour
devout	dindar
dew	dew
dexter	Dexter
dexterity	çeviklik
dextrose	dekstroz
diabetes	diabet
diabetic	diabetik
diabolical	şiddətli
diagnose	diaqnoz
diagnosis	diaqnoz
diagnostic	diaqnostika
diagnostics	diaqnostika
diagonal	diaqonal
diagram	diaqram
dial	yığın
dialect	dialekt
dialectic	dialektik
dialogue	dialoq
dialysis	dializ
diameter	Diametr
diamond	almaz
diamonds	brilyantlar
diaper	uşaq bezi
diaphragm	diaphragm
diarrhea	ishal
diarrhoea	ishal
diary	gündəlik
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	zar
dicey	dəlili
dichotomous	dichotomous
dichotomy	dichotomy
dick	sik
dickhead	Sikkədə
dicks	dicks
dictate	diktə edir
dictation	diktatorluq
dictator	diktator
dictatorial	diktatorluq
dictatorship	diktatorluq
diction	Diksiyon
dictionary	lüğət
dictum	NO TRANSLATION
didactic	didaktik
diddle	diddle
die	NO TRANSLATION
died	ölmüş
diesel	dizel
diet	pəhriz
dietary	pəhriz
differ	fərqli
difference	fərq
differences	fərqlər
different	fərqli
differential	fərqlilik
differentiation	fərqlənmə
differently	fərqli olaraq
differing	fərqlidir
difficult	çətin
difficulties	çətinliklər
difficulty	çətinlik
diffuse	diffuz
diffusion	diffuziya
dig	NO TRANSLATION
digest	həzm
digestion	həzm
digestive	həzm
digit	rəqəmli
digital	rəqəmsal
dignified	ləyaqətlidir
dignify	qürur ver
dignity	ləyaqət
digress	imtina etmək
digs	qazıntılar
dike	dike
dilapidated	xırda
dilatation	dilatasiya
dilation	dilatasiya
dildo	dildo
dilemma	dilemma
diligence	səy
diligent	çalışqan
dill	dereotu
diluent	diluent
dilute	sulandırmaq
diluted	seyreltilmiş
dilution	dilüsyon
dim	zəif
dime	dime
dimension	ölçüsü
dimensional	ölçülü
diminish	azalıb
diminished	azaldı
diminution	azalma
diminutive	küçümseyen
dimwit	dimwit
din	NO TRANSLATION
dine	yemək
diner	yeməkxana
dinghy	dinghy
dingo	dingo
dingy	pis
dining	yemək
dinky	dinky
dinner	yemək
dinnertime	Nahar vaxtı
dinosaur	dinozavr
dint	dint
diocesan	diocesan
diocese	piskoposluk
diorama	diorama
dioxide	dioksid
dip	dip
diploma	diplom
diplomacy	diplomatiya
diplomat	diplomat
diplomatic	diplomatik
dipper	dipper
dippy	dippy
dipstick	dipstick
dire	NO TRANSLATION
direct	birbaşa
directed	yönəldilmişdir
direction	istiqaməti
directive	direktiv
directly	birbaşa
director	rejissor
directory	kataloq
dirt	kir
dirty	kirli
disability	əlilliyi
disable	disable
disabled	əlillər
disadvantage	dezavantaj
disaffected	təəssüfləndi
disagree	razılaşmıram
disagreeable	xoşagəlməz
disagreeing	razılaşmır
disagreement	ixtilaf
disallow	icazə verməyin
disallowed	icazə verilməmişdir
disapointment	NO TRANSLATION
disappear	yox
disappearance	yoxa çıxma
disappearing	yoxa çıxır
disappoint	xəyal qırıqlığı
disappointed	məyus
disappointing	xəyal qırıqlığı
disappointment	xəyal qırıqlığı
disapproval	imtina etmə
disapprove	razılaşmıram
disapproved	təsdiq edilmədi
disapproving	razılaşmır
disarm	silahsızlanma
disarray	pozulma
disaster	fəlakət
disastrous	fəlakətli
disband	dağılmaq
disbelief	küfr
disbelieve	inkar et
disburse	buraxmaq
disbursement	ödəniş
disc	disk
discard	rədd etmək
discarded	ləğv edildi
discards	imtina edir
discern	fərqlənir
discernible	gözə dəyir
discerning	həssasdır
discernment	həssaslıq
discharge	boşalma
disciple	şagird
disciplinary	intizam
discipline	intizam
disciplined	intizamlıdır
disclaim	imtina etmə
disclaimer	Disclaimer
disclose	açıqlamalıdır
disclosed	açıqlandı
disclosure	açıqlama
disco	diskoteka
discoloration	rəng pozulması
discolored	rənglənmişdir
discomfort	narahatlıq
disconcerted	imtina etdi
disconcerting	imtina edir
disconnect	ayırın
disconnected	ayrıldı
disconnection	ayırma
disconnects	ayırır
discontent	narazılıq
discontinuance	dayandırılması
discontinue	dayandırmaq
discontinuity	davamlılıq
discontinuous	kəsilməz
discord	qarşıdurma
discount	endirim
discounted	diskontlaşdırılmışdır
discourage	imtina edin
discouraged	cəsarətləndirdi
discouragement	cazibə
discouraging	cəsarətləndirir
discourse	söhbət
discover	kəşf etmək
discovery	kəşf
discredit	hörmətsizlik
discredited	ləğv edildi
discreet	NO TRANSLATION
discrepancy	uyğunsuzluq
discrete	diskret
discretion	takdir
discretionary	diskriminasiya
discriminate	ayrılıq
discriminating	ayrılıq
discrimination	ayrılıq
discus	diskus
discuss	müzakirə edin
discussion	müzakirə
disdain	kədərlənmək
disdainful	hörmətsiz
disease	xəstəlikdir
diseased	xəstədir
disembodied	dağılmış vəziyyətdədir
disengage	ayrılmaq
disengagement	qaçmaq
disfigured	xəyanət etdi
disgrace	rüsvayçılıq
disgraced	rüsvayedici
disgraceful	rüsvayçı
disgruntled	təəssüfləndi
disguise	maskalamaq
disguised	gizlənmiş
disgust	nifrət
disgusted	təəssüfləndi
disgusting	iğrenç
dish	yemək
disheartened	dözülməzdi
disheartening	dözümsüzlük
dishonest	xəyanətsizdir
dishonesty	əxlaqsızlıq
dishonor	haqsızlıq
dishonorable	nifrətsiz
dishwasher	Qabyuyan maşın
disillusionment	xəyal qırıqlığı
disinclination	disiklinasiya
disincline	imtina etmə
disinclined	inkar etdilər
disinfect	dezinfeksiya
disinfectant	dezenfektan
disinfection	dezinfeksiya
disinformation	dezinformasiya
disingenuous	xəyanətsiz
disintegrate	dağılmaq
disintegration	parçalanma
disinterested	həvəssizdir
disjoint	disjoint
disjointed	disjointed
disjunctive	disjunctive
disk	disk
diskette	disket
dislike	sevmirəm
disliked	sevmirdi
disliking	sevməz
dislocated	çıxdı
dislocation	dislokasiya
dislodge	çıxmaq
disloyal	hörmətsiz
disloyalty	sədaqətsizlik
dismal	kədərləndi
dismantle	sökmək
dismay	dəhşət
dismayed	dəhşətə saldı
dismemberment	dismemberment
dismiss	vəzifədən azad olun
dismissal	işdən çıxarılması
dismissive	itkin
dismount	çıxmaq
disobedience	itaətsizlik
disobedient	itaətsiz
disobey	itaətsizlik
disorder	pozğunluq
disordered	pozulmuşdu
disorderly	pozğunluqla
disorganized	disorganized
disorientation	disorientation
disoriented	narazı
disown	imtina edib
disparage	yoxsulluq
disparaging	pozulma
disparate	fərqli
disparity	uyğunsuzluq
dispassionate	nifrət edən
dispatch	göndərmək
dispatcher	dispetçer
dispel	dağıtmaq
dispensary	dispanser
dispensation	dispensasiya
dispense	dağıtmaq
dispenser	dispenser
dispersal	dispersal
disperse	dağılmaq
dispersed	dağılmışdı
dispersion	dispersiya
dispirited	pozulmuşdu
displace	dəyişdirmək
displaced	məcburi köçkün
displacement	yerdəyişmə
displacency	yerdəyişmə
display	görünüşü
displease	razılaşmaq
displeased	xoşagəlməz
displeasure	narazılıq
disposable	birdəfəlik
disposal	sərəncam
dispose	sərf edin
disposed	qaçırdılar
disposition	disposition
dispossessed	sövq edildi
disprove	rədd et
dispute	münaqişə
disqualification	diskvalifikasiya
disqualified	diskvalifikasiya olunmuşdur
disqualify	diskvalifikasiya etmək
disquieted	narahatdır
disregard	nəzərə almamaq
disregarded	nəzərə alınmadı
disrelish	imtina etmə
disreputable	etibarsızdır
disrepute	imtina etmə
disrespect	hörmətsizlik
disrespectful	hörmətsizlik
disrupt	pozmaq
disrupting	pozdu
disruption	pozulması
disruptive	pozucu
dissatisfaction	narazılıq
dissatisfied	narazıdır
dissect	disekti
dissection	diseksiya
disseminate	yaymaq
dissemination	yayılması
dissension	qarşıdurma
dissent	müxalifət
dissenting	Müxalifət
dissertation	dissertasiya
disservice	imtiyaz
dissident	müxalifət
dissimilar	fərqli
dissipate	dağıtmaq
dissipated	yayılmışdır
dissociation	ayrılma
dissociative	dissociative
dissolution	dağılma
dissolve	həll edin
dissonance	dissonans
dissuade	imtina etmə
distal	distal
distance	məsafə
distant	uzaqdan
distaste	dəhşət
distasteful	xoşagəlməz
distillate	distillə
distillation	damıtma
distilled	təmizlənmişdir
distinct	fərqli
distinction	fərqlənmə
distinctive	fərqli
distinguish	ayırmaq
distinguishable	fərqlənə bilər
distinguished	seçicidir
distinguishing	fərqləndirici
distort	təhrif edir
distorted	təhrif olunmuşdur
distortion	təhrif
distract	yayındırmaq
distracted	diqqət çəkdi
distracting	diqqət çəkir
distraction	yayındırma
distraught	xəyanət
distress	çətinliklər
distressed	çətinlik çəkdi
distressing	həyəcan verici
distribute	paylamaq
distribution	paylanması
distributor	distribütor
district	rayon
distrust	etibarsızlıq
disturb	narahat
disturbance	narahatlıq
disturbed	narahatdır
disturbing	narahatdır
disuse	istifadəsi
disused	istifadə edilmədi
ditch	xəndək
ditto	ditto
ditty	ditty
diurnal	gündüz
diva	diva
divan	NO TRANSLATION
dive	dalış
diver	dalğıc
diverge	ayrılmaq
divergence	fərqlilik
divergent	fərqli
diverging	diverging
divers	dalgıçlar
diverse	müxtəlifdir
diversified	müxtəlifdir
diversify	diversifikasiya etmək
diversion	təxribat
diversionary	dağıtıcı
diversity	müxtəliflik
divert	yönləndirmək
diverting	yönləndirmək
divest	ayrılmaq
divested	ayrıldı
divestment	ayrılma
divide	bölmək
divided	bölünmüşdür
dividend	dividend
divination	kehanet
divine	ilahi
divinity	İlahiyat
divisible	bölünür
division	bölmə
divisor	divisor
divorce	boşanma
divorcee	boşanma
divulge	yaymaq
divvy	divvy
dizziness	başgicəllənmə
dizzy	baş döndü
do	etmək
doable	doable
doc	doc
docile	hörmətli
dock	dock
docked	docked
docket	dükan
docking	yerləşdirmə
doctor	həkim
doctorate	doktorluq
