Word	am
disapproved	አልፀደቀም
disapproving	አልፀደቀም
disarm	መጣል
disarray	እፎይር
disaster	አደጋ
disastrous	አስከፊ
disband	ተወግዷል
disbelief	አለመታመን
disbelieve	እምቢተኛ
disburse	መክፈል
disbursement	ክፍያ
disc	ዲስክ
discard	ተወው
discarded	ተወግዷል
discards	መጣል
discern	አስተዋለ
discernible	ሊታወቅ የሚችል
discerning	አስተዋይነት
discernment	ማስተዋል
discharge	መፍታት
disciple	ደቀ መዝሙር
disciplinary	ሥነ-ሥርዓት
discipline	ተግሣጽ
disciplined	ተግሣጽ
disclaim	አትቀበል
disclaimer	የኃላፊነት ማስተባበያ
disclose	ይፋ
disclosed	ተብራራ
disclosure	ይፋ ማድረግ
disco	ዲስኮ
discoloration	ቀለም መቀየር
discolored	ተቀይሯል
discomfort	አለመተማመን
disconcerted	ተረብሾ ነበር
disconcerting	እምቢተኝነት
disconnect	አለያይ
disconnected	ተለያይቷል
disconnection	መቋረጥ
disconnects	አለያይ
discontent	ቅሬታ
discontinuance	ማቋረጥ
discontinue	ማቋረጥ
discontinuity	የማያቋርጥ
discontinuous	የማያቋርጥ
discord	አለመግባባት
discount	ቅናሽ
discounted	ቅናሽ የተደረገበት
discourage	ተስፋ ቆረጠ
discouraged	ተስፋ ቆረጠ
discouragement	የተስፋ መቁረጥ ስሜት
discouraging	ተስፋ የሚያስቆርጥ
discourse	ንግግር
discover	ፈልግ
discovery	ግኝት
discredit	ማጭበርበር
discredited	ቀርቷል
discreet	NO TRANSLATION
discrepancy	ልዩነት
discrete	ልዩነት
discretion	ግምት
discretionary	ግምት
discriminate	መድልዎ
discriminating	መድልዎ
discrimination	መድልዎ
discus	ዲስክስ
discuss	ተወያዩ
discussion	ውይይት
disdain	ንቀት
disdainful	እብሪተኛ
disease	በሽታ
diseased	የታመመ
disembodied	ያልተለመደ
disengage	መባረር
disengagement	መባረር
disfigured	ተበላሽቷል
disgrace	ኀፍረት
disgraced	ውርደት
disgraceful	እብሪተኛ
disgruntled	ተረብሾ ነበር
disguise	ሽኩቻ
disguised	አለመስራት
disgust	መጸጸት
disgusted	ተጸየፈ
disgusting	አስጸያፊ
dish	ምግብ
disheartened	ተስፋ የቆረጡ
disheartening	እፍረት
dishonest	ሐቀኛ
dishonesty	ሐቀኝነት
dishonor	ማጭበርበር
dishonorable	እፍረት
dishwasher	እቃ ማጠቢያ
disillusionment	ግራ መጋባት
disinclination	ሽርሽር
disincline	ማጭበርበር
disinclined	አልተፈበረም
disinfect	ፈሳሽ
disinfectant	ተከላካይ
disinfection	ማጽዳት
disinformation	የተሳሳተ መረጃ
disingenuous	የማይበጠስ
disintegrate	ተሰብስቦ
disintegration	ብጥብጥ
disinterested	የማይመኝ
disjoint	ተሰበሰበ
disjointed	የተቆራረጠ
disjunctive	ተከላካይ
disk	ዲስክ
diskette	ዲስክ
dislike	አለመውደድ
disliked	አልወደዱም
disliking	አለመውደድ
dislocated	ተበላሽቷል
dislocation	መፈናቀል
dislodge	አሰናብት
disloyal	አለመታዘዝ
disloyalty	አለመታመን
dismal	አስደንጋጭ
dismantle	ማፍረቅ
dismay	አስደንጋጭ
dismayed	ተደናቅፏል
dismemberment	መበተንን
dismiss	ማሰናበት
dismissal	ማሰናበት
dismissive	ውድቅ
dismount	መጨመሪያ
disobedience	አለመታዘዝ
disobedient	አለመታዘዝ
disobey	አለመታዘዝ
disorder	ሕመም
disordered	የተዛባ
disorderly	በስርዓት
disorganized	ያልተደራጀ
disorientation	አለመግባባት
disoriented	መዞር የለበትም
disown	ውድቅ
disparage	ማጭበርበር
disparaging	መበከል
disparate	ልዩነት
disparity	አለመመጣጠን
dispassionate	በፍርሀት
dispatch	መላክ
dispatcher	ተላላፊ
dispel	መበታተን
dispensary	ዶክተር
dispensation	ስርጭትን
dispense	ማከፋፈል
dispenser	አፓርተማ
dispersal	ተከፋፍል
disperse	ተበተነ
dispersed	የተበተነ
dispersion	ተበታተነ
dispirited	ተፋለ
displace	ተለዋወጡ
displaced	ተፈናቅሏል
displacement	መፈናቀል
displacency	መፈናቀል
display	ማሳያ
displease	አልወደውም
displeased	አልሰደደም
displeasure	አልረካሁም
disposable	የሚጣል
disposal	ማስወገድ
dispose	ተወው
disposed	ተወስዷል
disposition	አመለካከት
dispossessed	ተዳክሟል
disprove	ውድቅ
dispute	ክርክር
disqualification	ውድቅ መሆን
disqualified	ያልተገለፀ
disqualify	ውድቅ አድርግ
disquieted	አልፈራም
disregard	ችላ
disregarded	ችላ ተብሏል
disrelish	ክፉኛ
disreputable	የማይበላሽ
disrepute	አለመምታት
disrespect	አለመታዘዝ
disrespectful	አክብሮት የጎደለው
disrupt	ጣልቃ መግባት
disrupting	ጣልቃ መግባት
disruption	መቋረጥ
disruptive	ረባሽ
dissatisfaction	እርካታ
dissatisfied	አልረካሁም
dissect	ፈሳሽ
dissection	የመበስበስ
disseminate	ማሰራጨት
dissemination	ማሰራጨት
dissension	አለመግባባት
dissent	ተቃውሞ
dissenting	ተቃዋሚ
dissertation	የሒሳብ ጽሁፍ
disservice	መበላሸት
dissident	ተቃዋሚ
dissimilar	ያልተዛባ
dissipate	ተሰወረ
dissipated	ተሰወረ
dissociation	መበታተን
dissociative	የማይንቀሳቀስ
dissolution	መፍረስ
dissolve	ፈሰሰ
dissonance	መፈናፈኛ
dissuade	አሻፈረኝ
distal	ልዩነት
distance	ርቀት
distant	ርቀት
distaste	ጣል
distasteful	አስቀያሚ
distillate	ተጣራ
distillation	ጥምረት
distilled	የተጣራ
distinct	ልዩ
distinction	ልዩነት
distinctive	ልዩ
distinguish	ለይቶ ማወቅ
distinguishable	ተለይቶ ሊታይ የሚችል
distinguished	ተለይቷል
distinguishing	ለይቶ ማወቅ
distort	ማጭበርበር
distorted	የተዛባ
distortion	መዛባት
distract	ትኩረትን ይስርስ
distracted	ተከፋፍሏል
distracting	ትኩረትን የሚስብ
distraction	ትኩረት መስጠትን
distraught	በጭንቀት ተውጧል
distress	ጭንቀት
distressed	የተጨነቀ
distressing	አስጨናቂ
distribute	ማሰራጨት
distribution	ስርጭት
distributor	አከፋፋይ
district	ወረዳ
distrust	አለመተማመን
disturb	ተረብሸኛ
disturbance	ብጥብጥ
disturbed	የተረበሸ
disturbing	ረባሽ
disuse	አላስፈላጊ
disused	ውድቅ ተደርጓል
ditch	እጥፋት
ditto	ዲ
ditty	ተፈላጊነት
diurnal	ቀን ዘጠኝ
diva	diva
divan	NO TRANSLATION
dive	ዘለለ
diver	ተከላካይ
diverge	ተራርቋል
divergence	ልዩነት
divergent	የተለየ
diverging	ልዩነት
divers	የተለያዩ
diverse	የተለያዩ
diversified	የተለያየ
diversify	ተለያየ
diversion	ማዞር
diversionary	ተለዋዋጭ
diversity	ልዩነት
divert	ማዞር
diverting	መዞር
divest	መከፋፈል
divested	ተከፋፈለች
divestment	መክፈያ
divide	ተካፋ
divided	ተከፈለ
dividend	ትርፍ
divination	ጥንቆላ
divine	መለኮታዊ
divinity	መለኮት
divisible	የሚከፈል
division	ማካፈል
divisor	አካፋይ
divorce	ፍቺ
divorcee	ፍቺ
divulge	አውጁ
divvy	ተስፉ
dizziness	መፍዘዝ
dizzy	ድብልቅ
do	መ ስ ራ ት
doable	ሊደረስበት የሚችል
doc	doc
docile	ድክም
dock	መትከል
docked	ተከልክሏል
docket	ዶሴ
docking	መትከል
doctor	ሐኪም
doctorate	ዶክትሬት
doctrinal	ዶክትሪን
doctrine	ዶክትሪን
document	ሰነድ
documentary	ዘጋቢ ፊልም
documentation	ሰነዶች
documents	ሰነዶች
dodge	ድፍን
dodger	ዳዶር
dodging	መቁረጥ
dodgy	ድባብ
dodo	ዶዶ
doe	ዶ
doer	ሥራ
dog	ውሻ
dogface	dogface
dogged	ድካም
doggy	ቆዳ
doghouse	የሙያ ቤት
dogma	ቀኖና
dogmatic	ቀኖናዊ
dogsick	NO TRANSLATION
doings	ድርጊቶች
doit	NO TRANSLATION
dojo	ዶጆ
doldrums	ድሎረም
dole	ዶል
doll	አሻንጉሊት
dollar	ዶላር
dollhouse	አሻንጉሊት
dolor	NO TRANSLATION
dolphin	ዶልፊን
domain	ጎራ
dome	መድረክ
domestic	የቤት ውስጥ
domesticated	የቤት ውስጥ
domestication	የቤት እንስሳት
domicile	መኖሪያ ቤት
domiciled	በንብረት የተያዘ
dominance	የበላይነት
dominant	የበላይነት
dominate	የበላይ ነው
dominating	ቁጥጥር
domination	የበላይነት
dominatrix	ጭንቃቃ
dominion	የበላይነት
domino	ዶሚኖ
don	ዶን
donate	ለጋስ
donation	ልገሳ
donkey	አህያ
donor	ለጋሽ
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	ከከንቱ ጋር
dontpanic	አትደንግጥ
dontunderstand	NO TRANSLATION
doodle	ዱድል
doom	ድፍ
doomed	ያጠፋል
doomsday	የዓለም መጨረሻ
door	በር
doorbell	የበሩ በር
doorknob	የበር እጀታ
doorman	ተቆጣጣሪ
doormat	መድረክ
doornail	መድረክ
doorstep	በሮች
doorway	በር
dopamine	dopamine
dope	dope
dopey	dopey
dork	dork
dorky	dorky
dorm	ዶርም
dormant	ተኛ
dormitory	የመኝታ ክፍል
dorsal	ዳግመኛ
dosage	መጠን
dose	መጠን
dossier	ዶክመንት
dot	ነጥብ
doting	መዘወር
dotted	ነጥበ ምልክት
dotty	ነጥብ
double	ድርብ
doubled	እጥፍ አድጓል
doublet	doublet
doubling	በመድገም
doubt	ጥርጣሬ
doubtful	ጥርጣሬ
doubting	ጥርጥር
doubtless	ያለጥርጥር
doubts	ጥርጣሬዎች
douche	ማጠጫ
douchebags	ገመዶች
dough	ወተት
doughboy	doughboy
doughnut	ዶናት
dour	ዶር
douse	ወዘተ
dove	ርግብ
down	ታች
downcast	ተንቀጠቀጠ
downer	ወደታች
downfall	መውደቅ
downfield	ሜዳ ቦታ
downhearted	አዝኗል
downhill	ወደ ታች
download	አውርድ
downpour	ዝናብ
downright	ታች
downriver	ወደ ውስጥ ገባ
downside	ወደኋላ አለ
downtime	የውል ጊዜ
downward	ወደ ታች
downy	ታች
dowry	ጥሎሽ
doze	መደርደር
dozen	ዐስራ ሁለት
drab	ድካም
draft	ረቂቅ
drafty	ረቂቅ
drag	ጎትት
dragon	ድራጎን
dragonfly	ድራምብል
drain	ገመዱ
drainage	ፍሳሽን
drained	ፈሰሰ
draining	ፈሰሰ
drainpipe	የውኃ መውረጃ ቱቦ
drake	ድራማ
drama	ድራማ
dramaqueen	NO TRANSLATION
dramatic	ድራማ
drape	መጋረጃ
drapery	መጋረጃ
drastic	ከባድ
drat	NO TRANSLATION
draught	ረቂቅ
draw	መሳል
drawback	እሽግ
drawbridge	እግር ኳስ
drawer	መሳቢያ
drawers	መሳቢያዎች
drawing	ስዕል
dread	ፍርሃት
dreaded	ፍርሃት
dreadful	አስፈሪ
dreadfully	የሚያስፈራ
dreading	መፍራት
dream	ህልም
dreamboat	dreamboat
dreamer	ህልም አላሚ
dreaming	ህልም
dreamland	ህልም
dreams	ህልሞች
dreamt	ህልም
dreamy	ህልም
dreary	ድካም
dredge	መጭመቅ
drenched	የተጣለ
dress	አለባበስ
dresser	መጸዳጃ ቤት
dressmaker	ልብስ ሠሪ
dressy	ቀሚስ
dribble	NO TRANSLATION
dried	ደረቅ
drier	ደረቅ
drift	መንሸራተት
drifted	ወጥቷል
drifter	እየጠበበ የሚሄድ
driftwood	እንፋሎት
drill	ጥራ
drink	መጠጥ
drinker	ጠጪ
drinking	መጠጥ
drinks	መጠጦች
drip	ነጠብጣብ
dripping	የሚንጠባጠብ
drive	መንዳት
drivel	ዝገት
driver	ሾፌር
driveway	የመኪና መንገድ
drizzle	ዝናብ
droll	ጩኸት
drone	አውሮፕላን
drones	አውሮፕላኖች
drool	ፍርፍ
drooping	መጮህ
droopy	ወደታች
drop	አስቀምጥ
droplet	ነጠብጣብ
dropout	መጣል
dropper	ዱባ
drought	ድርቅ
drove	NO TRANSLATION
drown	ሰረቀ
drowsiness	እንቅልፍ
drowsy	እንቅልፍ
drudgery	ድካም
drug	መድሃኒት
drug dealing	የአደገኛ ዕፅ ንግድ
drugged	ድብደባ
druggist	ዶክተር
drugs	መድሃኒቶች
drugstore	መድሃኒት ቤት
druid	ዳይድ
drum	ከበሮ
drummer	ተኳላሚ
drumming	ከበሬን
drunk	ሰክረው
drunk driving	የመጠጥ መንዳት
drunkard	ሰካራም
drunken	ጠሰ
drunkenness	ስካር
dry	ደረቅ
dryer	ማድረቂያ
dryness	ደረቅ ሁኔታ
dual	ሁለት
dualism	ሁለትነት
duality	ሁለቴ
dub	dub
dubious	እምቢተኛ
duchess	የሴት ምሽት
duck	ዳክዬ
ducking	ዳክዬ
duckling	ዶና
ducky	ዳክዬ
duct	ቱቦ
ductile	መበስበስ
dud	dud
dude	ድባብ
duds	ዱዳዎች
due	የሚከፈል
duel	ዱቤ
dues	የሚከፈል
duet	ዱስ
duffel	ድፍን
dugout	እንጉዳይ
duh	ዶው
duke	ዘፋኝ
dull	የደነዘዘ
dullard	ድንግል
dumb	ቂል
dumbasses	dumbasses
dumbbell	ጩኸት
dumbbitch	NO TRANSLATION
dumfound	ድብቅ
dumfounder	NO TRANSLATION
dummy	dummy
dump	ጭነት
dumpling	ማሾሃፍ
dumps	dumps
dumpster	ጭራቅ
dun	ዶን
dunce	dunce
dune	ሙንዳ
dung	NO TRANSLATION
dungeon	ጉድጓድ
dunk	ዱክታ
duo	ሁለት
dupe	ዱላ
duplex	ዲጀል
duplicate	የተባዛ
duplication	ማባዛት
duplicity	ድብደባ
durability	ቆንጆነት
durable	ቆንጆ
duration	ቆይታ
duress	አስጨናቂ
dusk	ገናና
dusky	ዳሽኪ
dust	አቧራ
duster	ድብልቅ
dustpan	ቆርቆሮ
dusty	አቧራማ
dutiful	የተከበረ
duty	ሃላፊነት
dwarf	ዳዋ
dwarfed	ዳውድ
dweeb	ድዌብ
dwell	ተቀመጠ
dweller	ሞግዚት
dwelling	መኖሪያ ቤት
dye	ቀለም
dying	እየሞተ
dyke	ድሬ
dynamic	ተለዋዋጭ
dynamical	ተለዋዋጭ
dynamics	ዳይናሚክ
dynamite	dynamite
dynamo	dynamo
dynasty	ሥርወ መንግሥት
dysentery	ተቅማጥ
dysfunction	ድብቅነት
dysfunctional	ድካም
dyspepsia	dyspepsia
eager	ጉጉት
eagerness	ጉጉ
eagle	ንስር
ear	ጆሮ
earful	ድንገተኛ
earl	ጆርጅ
earlier	ቀደም ብሎ
early	ቀደም ብሎ
earn	ገቢ
earnest	ከልብ
earnestly	ከልብ
earnestness	ታማኝነት
earnings	ገቢዎች
earpiece	የጆሮ ማዳመጫ
earring	የጆሮ ጌጥ
earrings	ጉትቻ
earshot	የጆሮ ማዳመጫ
earth	ምድር
earthenware	ጌጣጌጥ
earthling	የመሬት መንቀጥቀጥ
earthly	ምድራዊ
earthquake	የመሬት መንቀጥቀጥ
earthy	ምድራዊ
ease	ማሻሻል
easel	እንሽላሊት
easement	መፍትሔ
easily	በቀላሉ
east	ምስራቅ
eastbound	ምሥራቅ
eastern	ምሥራቅ
easy	ቀላል
easygoing	በቀላሉ የምትሄድ
eat	ይመገቡ
eater	ምግብ
eating	መብላት
eatingdisorders	NO TRANSLATION
eavesdrop	መስረቅ
eavesdropping	በመስማት ላይ
ebb	ebb
ebony	ebony
ebullient	ሞገስ
eccentric	ኢ-ሴክሽን
eccentricity	ኢንትካስትነት
ecclesiastical	ቤተ ክርስቲያን
echelon	echelon
echinacea	echinacea
echo	ድብልቅ
eclectic	ተመራጭ
eclipse	ግርዶሽ
ecliptic	ኤክሊፕቲክ
ecological	ሥነ ምሕዳር
economic	ኢኮኖሚ
economical	ኢኮኖሚያዊ
economics	ኢኮኖሚክስ
economy	ኢኮኖሚ
ecosystem	ሥነ ምህዳር
ecstasy	ኤክስታሲ
ecstatic	ደስ የማይል
ecumenical	ኦውዮቲካዊ
eddy	እብድ
edema	እብጠት
edge	ጠርዝ
edging	መከለያ
edgy	የተበሳጨ
edible	የሚበላው
edict	አዋጅ
edification	ማነጽ
edifice	ሕንፃ
edit	አርትዕ
editing	አርትዖት
edition	እትም
editor	አርታዒ
editorial	አርታኢ
educate	ማስተማር
educated	የተማሩ
education	ትምህርት
educational	ትምህርታዊ
educator	አስተማሪ
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	እሺ
eel	ዳባ
eerie	እንግዳ
effect	ውጤት
effective	ውጤታማ
effectiveness	ውጤታማነት
effects	ተጽእኖዎች
effectual	ተመጣጣኝ
effectually	በተግባር
effectuate	ተፈፀመ
effeminate	አስፈሪ
efficacious	ውጤታማ
efficacy	ውጤታማነት
efficiency	ብቃት
efficient	ውጤታማ
effigy	ፍጠር
effort	ጥረት
effortless	ምንም ጥረት አላደረገም
effusion	መበስበስ
effyou	NO TRANSLATION
egg	እንቁላል
egghead	የእንቁላል ጫማ
eggnog	እንቁላል
eggplant	ዩፕሬተር
eggshell	እንቁላል
ego	ኢጂ
egomaniac	egomaniac
egotistical	ራስ ወዳድነት
egregious	ቸልተኛ
egress	ፈፅም
eight	ስምት
eighteen	አስራ ስምንት
eighth	ስምንተኛ
eighty	ሰማንያ
ejaculate	ፈሳሽ
ejaculation	የወሲብ ስሜት
eject	አስወጣ
ejection	ማባረር
elaborate	የተራቀቀ
elaboration	ማዘጋጀት
elan	NO TRANSLATION
elapse	ጊዜው
elapsed	አልፏል
elastic	መራቅ
elasticity	መራመድ
elated	ተደስቷል
elation	ሞገስ
elbow	ክንድ
eld	eld
elder	ሽማግሌ
elderly	አረጋውያን
elders	ሽማግሌዎች
eldest	ትልቁ
elect	የተመረጠ
election	ምርጫ
elective	ተመራጭ
elector	መራጩ
electoral	የምርጫ
electorate	መራጩ
electric	የኤሌክትሪክ ኃይል
electric slide	የኤሌክትሪክ ስላይድ
electrical	ኤሌክትሪክ
electrician	የኤሌክትሪክ ሠራተኛ
electricity	ኤሌክትሪክ
electrify	መብረቅ
electrocute	ኤሌክትሮክቴክ
electrocution	የኤሌክትሪክ ኃይል መቆጣጠሪያ
electromagnetic	ኤሌክትሮማግኔቲክ
electron	ኤሌክትሮን
electronic	ኤሌክትሮኒክ
electronics	ኤሌክትሮኒክስ
elegance	ውበት
elegant	ውብ
element	አካል
elemental	ንጥረ ነገር
elementary	አንደኛ ደረጃ
elements	ክፍሎች
elephant	ዝሆን
elevate	ከፍ ያለ
elevated	ከፍ ያለ
elevation	ከፍታ
elevator	ፍሳሽ
eleven	አስራ አንድ
eleventh	አስራ አንደኛ
elf	elf
elicit	አስመስሎ መናገር
eligible	ብቁ
eliminate	ማጥፋት
elimination	ማስወገድ
elite	ምሁር
elitist	የበላይነት
elixir	ዘፋኝ
elk	ኤልክ
ell	ሒ
ellipse	ኤሊፕስ
ellipsis	አረንጓዴ
ellipsoid	ellipsoid
elliptic	ኤሊፕቲክ
elliptical	ኤሊፕስ
elm	ሙል
elongate	ሙላው
elongation	መጎነዝ
elope	ሞገስ
eloquence	አንደበተነ
eloquent	አንደበተ ርቱዕ
elucidate	ግልጽነት
elucidation	ግልጽነት
elude	መራቅ
elusive	አስቸጋሪ
emaciated	ተፈጥሯል
email	ኢሜይል
emanate	ፈጣን
emancipation	ነፃ ማውጣት
embankment	የውሃ ማጠራቀሚያ
embargo	NO TRANSLATION
embark	ጀምር
embarrass	አሳፋሪ
embarrassed	አሳፋሪ
embarrassing	አሳፋሪ
embarrassment	አሳፋሪ
embassy	ኤምባሲ
embattled	ተረብሾ ነበር
embed	ተካትቷል
embellish	ማቅለጫ
embellishment	ሽቅብ
embers	ብርጭቆዎች
embezzlement	ማጭበርበር
embezzler	አጭበርባሪ
emblem	ምልክት
emblematic	አርማ
embodiment	አቀራረብ
embolism	በጭንቀት
embossed	የተሠራ
embrace	እቅፍ
embroidered	በጥልፍ የተጠለፈ
embroidery	የጥልፍ ልብስ
embroiled	ድካም
embryo	ፅንስ
embryonic	እምብርት
emcee	emcee
emerald	እንቁራሪ
emerge	ብቅ አለ
emergence	ብቅ አለ
emergency	አስቸኳይ ሁኔታ
emeritus	አከባቢ
emery	ኢመሪ
emetophobia	ኢቶፔፖቢያ
emigrate	ሰደደ
emigration	ስደተኞች
eminence	ትልቅነት
eminent	ታዋቂ
eminently	በእጅጉ
emir	NO TRANSLATION
emissary	ወኪል
emission	ማሰራጨት
emit	ይለጥፋል
emo	ኢሞ
emotion	ስሜት
emotional	ስሜታዊ
emotive	ስሜታዊነት
empathic	ስሜታዊ
empathize	ስሜታቸውን የሚረዳ
empathy	ችግራቸውን ይረዳሉ
emperor	ንጉሠ ነገሥት
emphasis	አጽንዖት
emphasize	አጽንዖት
emphatic	አጽንዖት
emphysema	ኤምፊዚማ
empire	ግዛት
empirical	ተግሣጽ
empiricism	ተምሳሌታዊነት
employ	ሥራ
employee	ሠራተኛ
employer	አሠሪ
employment	ሥራ
emporium	ኤምፐሪያየም
empower	ኃይልን
empress	እቴጌ
emptiness	ባዶነት
emption	እፎይታ
empty	ባዶ
emu	ኢዩ
emulate	ተመስሏል
emulsion	ኢምፐስ
enable	አንቃ
enablement	????
enact	ተስማምቷል
enactment	ማፅደቅ
enamel	እንጀራን
encampment	መቀመጫ ቦታ
enchant	አስቂኝ
enchanted	የተማረከ
enchanting	የሚያስደስት
enchantment	አስማት
enchantress	ጌጣጌጥ
enchilada	ኤንቻላዳ
encircle	ዙፋን
encircling	ዙሪያውን
enclave	አውራጅ
enclose	ያዝ
enclosure	የታሸገ
encode	ኮድ ያርሙ
encomiastic	NO TRANSLATION
encomium	ኤንሲየም
encompass	ያካትታል
encore	NO TRANSLATION
encounter	ገጠማ
encourage	ማበረታታት
encouraged	ማበረታቻ
encouragement	ማበረታቻ
encouraging	ማበረታታት
encroach	ወጥቷል
encroachment	መበታተን
encrypt	ምስጠራ
encryption	ማመስጠር
encumbrance	ጉድለት
encyclopedia	ኢንሳይክሎፒዲያ
end	ጨርስ
end table	መጨረሻ ሰንጠረዥ
endanger	አደጋ ላይ ጣለ
endangered	ሊጠፋ የተቃረበ
endangerment	አደገኛ
endearing	ተወዳጅ
endeavor	ጥረት አድርግ
ended	ጨርሷል
endemic	ተላላፊ በሽታ
endgame	endgame
ending	ማጠናቀቅ
endless	ማለቂያ የሌለው
endocarditis	ቀዶ ጥገና
endorse	ያጸድቃል
endorsement	መፅደቅ
endow	ስጦታ
endowed	የተፈተነ
endowment	ስጦታ
endpapers	ማቆሚያዎች
endpoint	የመጨረሻ ነጥብ
endurance	ጽናት
endure	መጽናት
enduring	መጽናት
enema	መታጠጥ
enemy	ጠላት
energetic	ብርቱ
energize	ብርታት
energy	ኃይል
enforce	ተፈጻሚነት
enforcement	ማስፈጸሚያ
enforcer	አስገዳጅ
engage	ተሳታፊ
engaged	ተሳታፊ
engagement	ተሳትፎ
engaging	መሳተፍ
engender	ፈጠረ
engine	ሞተር
engineer	መሐንዲስ
engineering	ምህንድስና
engrave	ቅርጽ
engraved	ቅርጽ የተቀረጸ
engraver	ቁርከሪያ
engraving	ቅርፅ
engrossed	ተጠምደዋል
engrossing	ጉልበተኛ
engulf	ሞተ
enhance	ማሻሻል
enhancement	ማጎልበት
enigma	እንቆቅልሽ
enigmatic	እብሪተኛ
enjoin	ቅኝት
enjoy	ይደሰቱ
enjoyable	አስደሳች
enjoying	እየተደሰቱ
enjoyment	ደስታ
enlarge	አሳፋ
enlarged	ተዘርግቷል
enlargement	ማስፋት
enlighten	ብርሃን ሁን
enlightened	ግልጽ
enlightening	ዕውቀት
enlightenment	መገለጥ
enlist	ቅኝት
enliven	የተወደደ
enmity	ጠላትነት
ennui	አስፈሪ
enormity	ትልቅነት
enormous	ግዙፍ
enormously	እጅግ በጣም ብዙ
enraged	በጣም የተናደደ
enrich	ያበለጽጋል
enroll	ይመዝገቡ
enrollment	መመዝገብ
ensemble	ስብስብ
ensign	ምልክት
enslave	ባሪያ
enslaved	ባሪያ
enslavement	ባርነት
ensue	ተከታይ
ensure	እርግጠኛ ይሁኑ
entail	ተፈጠረ
entangled	ተጣደፈ
entanglement	ተጣላቂነት
enter	ግባ
enterprise	ድርጅት
enterprising	የንግድ ድርጅት
entertain	መዝናኛ
entertained	የተዝናና
entertainer	አስቂኝ
entertaining	መዝናኛ
entertainment	መዝናኛ
enthralled	በጣም የተደሰተ
enthusiasm	ጉጉት
enthusiast	ተጫዋች
enthusiastic	በጣም የሚያስደስት
entice	ማባበል
entire	በሙሉ
entirety	ሙሉ በሙሉ
entitle	መብት
entity	ህጋዊ አካል
entomology	ኢንኮሞሎጂ
entourage	ጓደኞች
entrails	እብጠት
entrance	መግቢያ
entrapment	እብጠት
entreat	ማፈኛ
entree	መግባት
entrepreneur	ሥራ ፈጣሪ
entrust	አደራ
entry	ግቢ
enumerate	መቁጠር
enumeration	መዘርዝር
envelope	ኤንቬሎፕ
envious	ምቀኛ
environ	NO TRANSLATION
environment	አካባቢ
environmental	አካባቢ
environs	የአካባቢው
envision	እሳትን
envoy	ልዑክ
envy	ምቀኝነት
enzyme	ኢንዛይም
ephemeral	ጊዜያዊ
ephemeris	ጳጳሳት
epic	አስገራሚ
epidemic	ወረርሽኝ
epidermis	ፓፒለመስ
epidural	የፓይድሪክኛ
epilepsy	የሚጥል በሽታ
epileptic	የሚጥል በሽታ
epilogue	ትዕይንት
epiphany	ጥምቀት
episcopal	ኤጲስቆጶል
episode	ትዕይንት ክፍል
episodic	ትሩክሪፕት
epistle	ደብዳቤ
epitaph	ኤፒራፍ
epithet	ፊደል
epitome	ተምሳሌት
epoch	epoch
equal	እኩል
equality	እኩልነት
equalization	እኩልነት
equalize	እኩል መሆን
equalizer	እኩል መሆን
equally	እኩል ነው
equate	እኩል
equation	እኩልታ
equator	እፅሃር
equatorial	እብነታ
equestrian	እብድ ፈረስ
equidistant	እኩል የሆነ
equilibration	እኩልነት
equilibrium	ሚዛናዊነት
equip	እኩል
equipment	መሣሪያ
equitable	እኩል
equity	እኩልነት
equivalence	እኩልነት
equivalent	እኩል
equivocal	እኩል
era	ዘመን
eradicate	አጥፋ
eradication	ማጥፋት
erase	ተደምስሱ
eraser	ማጥፊያ
erasure	????
ere	NO TRANSLATION
erect	ቀጥ ብሎ
erectile	እብሪተኛ
erection	መከለያ
ergo	NO TRANSLATION
erode	ጠነከረ
erosion	የአፈር መሸርሸር
erotic	ወሲባዊ ስሜት
erotica	erotica
err	ስህተት
errand	ሥራ
errant	የተሳሳተ
erratic	ያልተለመደ
erratum	ብልሹነት
erroneous	የተሳሳተ
error	ስህተት
erst	NO TRANSLATION
erudite	እርባና
erupt	ፈነጠቀ
eruption	ፍንዳታ
escalade	ወደ ላይ መውጣት
escalate	ወደ ላይ ከፍ አለ
escalating	እየጨመረ መጥቷል
escalation	ጭማሪ
escalator	አሳንሰር
escape	ማምለጥ
escaped	አምልጧል
escarpment	ከፍ ከፍ ማለት
eschew	ፈነጠቀ
escort	አጃቢ
escrow	ማስያዣ
esophagus	አስቀያሚ
esoteric	esoteric
especial	NO TRANSLATION
espionage	ጉልበተኝነት
espouse	የትዳር ጓደኛ
espresso	ኤስፕሬሶ
esprit	መንፈሱ
esquire	ተጠንቀቅ
essay	ጽሑፍ
essayist	ጸሐፊ
essence	ንጥረ ነገር
essential	አስፈላጊ
essentially	በመሠረቱ
establish	መመስረት
established	ተጠናቅቋል
establishment	መቋቋም
estate	ንብረት
esteem	እጅግ በጣም ጥሩ
esteemed	የተከበረ
esthetic	ውበት
estimable	ሊገመት የሚችል
estimate	ግምት
estimation	ግምት
estoppel	ኢስቶፒል
estranged	የተዋረደ
estrogen	ኤስትሮጅን
estuary	ምሽግ
etch	etch
etching	መቀባጠፍ
eternal	ዘለአለማዊ
