Word	ga
droopy	droopy
drop	titim
droplet	droplet
dropout	titim
dropper	dropper
drought	triomach
drove	NO TRANSLATION
drown	báite
drowsiness	codlatacht
drowsy	codlata
drudgery	drudgery
drug	druga
drug dealing	déileáil drugaí
drugged	drugaí
druggist	drugaire
drugs	drugaí
drugstore	drugaí
druid	druid
drum	druma
drummer	drumadóir
drumming	drumadóireacht
drunk	ólta
drunk driving	tiomáint ólta
drunkard	drunkard
drunken	deoch
drunkenness	meisce
dry	tirim
dryer	triomadóir
dryness	triomacht
dual	dé
dualism	dualism
duality	déine
dub	dub
dubious	amhrasach
duchess	duchess
duck	lacha
ducking	ducking
duckling	duckling
ducky	ducky
duct	duct
ductile	ductile
dud	dud
dude	gaige
duds	duds
due	dlite
duel	duel
dues	dleachtanna
duet	duet
duffel	duffel
dugout	dugout
duh	duh
duke	duke
dull	dull
dullard	dullard
dumb	balbh
dumbasses	dumbasses
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	caol
dump	Dumpáil
dumpling	dumpling
dumps	bioráin
dumpster	dumpster
dun	dún
dunce	dunce
dune	dún
dung	NO TRANSLATION
dungeon	dungeon
dunk	dunk
duo	duo
dupe	dupe
duplex	dúbailte
duplicate	dúbailt
duplication	dúbailt
duplicity	dúbailt
durability	marthanacht
durable	durable
duration	fad
duress	diúltacht
dusk	dusk
dusky	dusky
dust	deannaigh
duster	duster
dustpan	deannach
dusty	dusty
dutiful	dutiful
duty	dualgas
dwarf	dwarf
dwarfed	dwarfed
dweeb	dweeb
dwell	dwell
dweller	áititheoir
dwelling	teaghais
dye	dath
dying	ag fáil bháis
dyke	darach
dynamic	dinimiciúil
dynamical	dinimiciúil
dynamics	dinimic
dynamite	dinamite
dynamo	dynamo
dynasty	dynasty
dysentery	dysentery
dysfunction	mífheidhmiú
dysfunctional	mífheidhmiúil
dyspepsia	dyspepsia
eager	fonnmhar
eagerness	eagracht
eagle	iolaire
ear	cluas
earful	earrach
earl	iarla
earlier	níos luaithe
early	go luath
earn	thuilleamh
earnest	deimhin
earnestly	go daingean
earnestness	tuirseacht
earnings	tuillimh
earpiece	earpiece
earring	cluaise
earrings	cluaise
earshot	earshot
earth	talamh
earthenware	cré
earthling	earthling
earthly	domhain
earthquake	crith talún
earthy	earthy
ease	éasca
easel	easel
easement	éasúint
easily	go héasca
east	soir
eastbound	soir
eastern	oirthear
easy	éasca
easygoing	éasca
eat	ithe
eater	itheacháin
eating	ag ithe
eatingdisorders	NO TRANSLATION
eavesdrop	avesdrop
eavesdropping	sceimhlitheoireacht
ebb	ebb
ebony	ebony
ebullient	go leor
eccentric	eccentric
eccentricity	eccentricity
ecclesiastical	eaglasta
echelon	echelon
echinacea	echinacea
echo	macalla
eclectic	eicléictreach
eclipse	eclipse
ecliptic	ecliptic
ecological	éiceolaíochta
economic	eacnamaíoch
economical	eacnamaíoch
economics	eacnamaíocht
economy	Geilleagar
ecosystem	éiceachóras
ecstasy	eacstais
ecstatic	éisteach
ecumenical	ecumenical
eddy	eddy
edema	edema
edge	imeall
edging	imeall
edgy	edgy
edible	inite
edict	edict
edification	athchóiriú
edifice	athchóiriú
edit	in eagar
editing	eagarthóireacht
edition	eagrán
editor	eagarthóir
editorial	eagarthóireachta
educate	oideachas a fháil
educated	oideachas
education	oideachas
educational	oideachasúil
educator	oideachasóir
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	eascann
eerie	eerie
effect	éifeacht
effective	éifeachtach
effectiveness	éifeachtacht
effects	éifeachtaí
effectual	éifeachtach
effectually	go héifeachtach
effectuate	iarbhír
effeminate	effeminate
efficacious	éifeachtach
efficacy	éifeachtúlacht
efficiency	éifeachtacht
efficient	éifeachtach
effigy	effigy
effort	iarracht
effortless	gan iarracht
effusion	éisteacht
effyou	NO TRANSLATION
egg	uibheacha
egghead	egghead
eggnog	eggnog
eggplant	ubhthoradh
eggshell	uibheacha
ego	ego
egomaniac	egomaniac
egotistical	egotistical
egregious	egregious
egress	dul amach
eight	ocht mbliana
eighteen	ocht déag
eighth	ochtú
eighty	ochtó
ejaculate	ejaculate
ejaculation	ejaculation
eject	cuir amach
ejection	instealladh
elaborate	ilchasta
elaboration	léiriú
elan	NO TRANSLATION
elapse	elapse
elapsed	thar lear
elastic	leaisteacha
elasticity	leaisteachas
elated	elated
elation	elation
elbow	elbow
eld	eld
elder	elder
elderly	daoine scothaosta
elders	elders
eldest	is sine
elect	roghnaigh
election	toghchán
elective	roghnach
elector	toghthóir
electoral	toghcháin
electorate	toghthóirí
electric	Leictreach
electric slide	sleamhnán leictreach
electrical	leictreach
electrician	leictreoir
electricity	leictreachas
electrify	electrify
electrocute	electrocute
electrocution	athghrithiú
electromagnetic	leictreamaighnéadach
electron	leictreon
electronic	leictreonach
electronics	leictreonaic
elegance	elegance
elegant	galánta
element	eilimint
elemental	eiliminteach
elementary	tosaigh
elements	eilimintí
elephant	eilifint
elevate	ardaigh
elevated	ardaithe
elevation	ingearchló
elevator	ardaitheoir
eleven	aon cheann déag
eleventh	naoi mbliana déag
elf	elf
elicit	eascraíonn
eligible	incháilithe
eliminate	deireadh a chur
elimination	deireadh a chur
elite	mionlach
elitist	elitist
elixir	elixir
elk	elk
ell	ell
ellipse	éilips
ellipsis	ellipsis
ellipsoid	ellipsoid
elliptic	elliptic
elliptical	éilipseacha
elm	Elm
elongate	fada
elongation	fadú
elope	elope
eloquence	eloquence
eloquent	eloquent
elucidate	léirigh
elucidation	léiriú
elude	elude
elusive	elusive
emaciated	sásúil
email	ríomhphost
emanate	emanate
emancipation	imscrúdú
embankment	claífort
embargo	NO TRANSLATION
embark	tosú
embarrass	náire
embarrassed	náire
embarrassing	náire
embarrassment	náire
embassy	ambasáid
embattled	embattled
embed	leabaithe
embellish	embellish
embellishment	embellishment
embers	cuimsíonn
embezzlement	bualadh
embezzler	embezzler
emblem	feathal
emblematic	suaitheanta
embodiment	ionchódú
embolism	embolism
embossed	cabhraithe
embrace	glacadh leis
embroidered	bróidnithe
embroidery	bróidnéireacht
embroiled	embroiled
embryo	brón
embryonic	suthach
emcee	emcee
emerald	emerald
emerge	teacht chun cinn
emergence	teacht chun cinn
emergency	éigeandála
emeritus	emeritus
emery	súile
emetophobia	éiteafóibe
emigrate	imirce
emigration	imirce
eminence	eminence
eminent	eminent
eminently	eminently
emir	NO TRANSLATION
emissary	eisiúint
emission	astaíochtaí
emit	a scaoileadh
emo	Ioma
emotion	mothúchán
emotional	mothúchánach
emotive	mothúchánach
empathic	ionbhánta
empathize	comhbhá
empathy	comhbhá
emperor	impire
emphasis	béim
emphasize	béim a chur
emphatic	comhfhreagrach
emphysema	emphysema
empire	Impireacht
empirical	empirical
empiricism	empiricism
employ	fhostú
employee	fostaí
employer	fostóir
employment	fostaíocht
emporium	emporium
empower	cumhacht
empress	empress
emptiness	folúntas
emption	emption
empty	folamh
emu	emu
emulate	aithris
emulsion	eibleacht
enable	cumasaigh
enablement	cumasú
enact	achtaigh
enactment	achtachán
enamel	cruan
encampment	campáil
enchant	gleoite
enchanted	gleoite
enchanting	enchanting
enchantment	enchantment
enchantress	enchantress
enchilada	enchilada
encircle	timpeall
encircling	timpeall
enclave	enclave
enclose	cuir isteach
enclosure	imfhálú
encode	ionchódú
encomiastic	NO TRANSLATION
encomium	encomium
encompass	cuimsíonn
encore	NO TRANSLATION
encounter	teacht
encourage	spreagadh
encouraged	spreagadh
encouragement	spreagadh
encouraging	ag spreagadh
encroach	isteach
encroachment	ionsaí
encrypt	criptigh
encryption	criptithe
encumbrance	cumhdach
encyclopedia	chiclipéid
end	deireadh
end table	tábla deiridh
endanger	i mbaol
endangered	i mbaol
endangerment	i mbaol
endearing	endearing
endeavor	iarracht a dhéanamh
ended	dar críoch
endemic	endemic
endgame	deireadh chéanna
ending	dar críoch
endless	gan deireadh
endocarditis	endocarditis
endorse	fhormhuiniú
endorsement	fhormhuiniú
endow	endow
endowed	endowed
endowment	díolachán
endpapers	páipéir
endpoint	deireadhphointe
endurance	seasmhacht
endure	mairfidh
enduring	buan
enema	enema
enemy	namhaid
energetic	fuinniúil
energize	fuinneamh
energy	fuinneamh
enforce	cuir i bhfeidhm
enforcement	forfheidhmiú
enforcer	forfheidhmiú
engage	gabháil
engaged	gabháil
engagement	rannpháirtíocht
engaging	páirt a ghlacadh
engender	géilleadh
engine	inneall
engineer	innealtóir
engineering	innealtóireacht
engrave	engrave
engraved	greanta
engraver	greanadh
engraving	greanadh
engrossed	engrossed
engrossing	géilleadh
engulf	engulf
enhance	feabhas a chur air
enhancement	feabhsú
enigma	enigma
enigmatic	enigmatic
enjoin	taitneamh as
enjoy	taitneamh a bhaint as
enjoyable	taitneamhach
enjoying	taitneamh a bhaint as
enjoyment	taitneamh a bhaint as
enlarge	méadú
enlarged	méadaithe
enlargement	méadú
enlighten	soiléiriú
enlightened	eolaithe
enlightening	léargasach
enlightenment	léargas
enlist	liostáil
enliven	saothraigh
enmity	imní
ennui	ennui
enormity	ollmhór
enormous	ollmhór
enormously	go mór
enraged	enraged
enrich	saibhriú
enroll	clárú
enrollment	clárú
ensemble	ensemble
ensign	síniú
enslave	enslave
enslaved	slabhra
enslavement	scaoileadh
ensue	lean
ensure	cinnteoidh
entail	i gceist
entangled	isteach
entanglement	dul isteach
enter	dul isteach
enterprise	fiontar
enterprising	fiontraíoch
entertain	siamsaíocht
entertained	siamsaíocht
entertainer	siamsóir
entertaining	siamsaíocht
entertainment	siamsaíochta
enthralled	iontaofa
enthusiasm	díograis
enthusiast	díograiseach
enthusiastic	díograiseach
entice	táille
entire	ar fad
entirety	go hiomlán
entitle	teideal
entity	eintiteas
entomology	entomology
entourage	entourage
entrails	iontrálacha
entrance	bealach isteach
entrapment	dífhostú
entreat	oireann
entree	entree
entrepreneur	fiontraí
entrust	iontaobhais
entry	iontráil
enumerate	áirithigh
enumeration	áirimh
envelope	clúdach litreach
envious	envious
environ	NO TRANSLATION
environment	timpeallacht
environmental	comhshaoil
environs	ceantar máguaird
envision	envision
envoy	toscaire
envy	éad
enzyme	einsím
ephemeral	an-mhór
ephemeris	ephemeris
epic	eipiciúil
epidemic	eipidéim
epidermis	eipideirm
epidural	epidural
epilepsy	titimeas
epileptic	epileptic
epilogue	epilogue
epiphany	epiphany
episcopal	easpa
episode	eachtra
episodic	episodic
epistle	epistle
epitaph	epitaph
epithet	epithet
epitome	epitome
epoch	eacht
equal	comhionann
equality	comhionannas
equalization	cothromaíocht
equalize	comhionannú
equalizer	cothromóir
equally	chomh maith
equate	cothrom
equation	cothromóid
equator	meánchiorcal
equatorial	meánchiorcal
equestrian	eachaíochta
equidistant	cothromaíocht
equilibration	cothromaíocht
equilibrium	cothromaíocht
equip	threalmhú
equipment	trealamh
equitable	cothromasach
equity	Cothromas
equivalence	coibhéis
equivalent	coibhéiseach
equivocal	coimhthíoch
era	ré
eradicate	deireadh a chur
eradication	díothú
erase	scriosadh
eraser	scriosán
erasure	scriosadh
ere	NO TRANSLATION
erect	tógáil
erectile	erectile
erection	tógáil
ergo	NO TRANSLATION
erode	erode
erosion	creimeadh
erotic	erotic
erotica	erotica
err	err
errand	comhartha
errant	errant
erratic	erratic
erratum	erratum
erroneous	earráideach
error	earráid
erst	NO TRANSLATION
erudite	erudite
erupt	briseadh
eruption	brúchtadh
escalade	escalade
escalate	ardú
escalating	ag ardú
escalation	ardú
escalator	escalator
escape	éalú
escaped	éalaigh
escarpment	escarpment
eschew	eschew
escort	coimhdeacht
escrow	scrow
esophagus	esópagas
esoteric	esoteric
especial	NO TRANSLATION
espionage	spionáiste
espouse	espouse
espresso	espresso
esprit	esprit
esquire	bualadh
essay	aiste
essayist	aisteoir
essence	bunúsach
essential	riachtanach
essentially	go bunúsach
establish	bhunú
established	bunaithe
establishment	bunú
estate	eastát
esteem	meas
esteemed	meas
esthetic	estéiseach
estimable	measta
estimate	meastachán
estimation	meastachán
estoppel	estoppel
estranged	scaoileadh
estrogen	estrogen
estuary	inbhir
etch	etch
etching	eitseáil
eternal	síoraí
eternity	an tsíoraíocht
ethanol	eatánól
ether	éitear
ethereal	ethereal
ethic	eitic
ethical	eiticiúil
ethics	eitic
ethnic	eitneach
ethnography	eitneagrafaíocht
etiology	eolaíocht
etiquette	etiquette
etymology	etymology
eucalyptus	eucalyptus
euchre	echra
eugenics	eugenics
eulogistic	eulogistic
eulogium	eulogium
eulogize	eulogize
eulogy	eulogy
euphemism	euphemism
euphoria	euphoria
euphoric	euphoric
euro	euro
euthanasia	euthanasia
evacuate	imigh as
evacuation	aslonnú
evade	éalú
evaluate	meastóireacht a dhéanamh
evaluation	meastóireacht
evanescence	imghabháil
evangelical	evangelical
evangelist	evangelist
evangelistic	evangelistic
evaporate	evaporate
evaporation	galú
evasion	imghabháil
evasive	easpa
eve	oíche roimh
evening	tráthnóna
evens	NO TRANSLATION
event	imeacht
eventful	taitneamhach
eventual	deiridh
eventuality	imeacht
evergreen	síorghlas
everlasting	slánach
evermore	riamh
everyday	gach lá
everyman	riamh
evict	éalú
eviction	díshealbhú
evidence	fianaise
evident	soiléir
evidentiary	taispeántas
evil	olc
evoke	evoke
evolution	éabhlóid
evolutionary	éabhlóideach
evolve	éabhlóid
ewe	caorach
ex	ex
exacerbate	níos measa
exacerbation	níos measa
exact	cruinn
exacting	cruinniú
exaggerate	áibhéil
exaggerated	áibhéalacha
exaggeration	áibhéil
exalt	exalt
exaltation	ardú
exalted	exalted
exam	scrúdú
examination	scrúdú
examine	scrúdú
examiner	scrúdaitheoir
example	sampla
exasperated	neamhspleách
exasperation	exasperation
excavate	tochailt
excavation	tochailt
excavator	tochailteoir
exceed	dul thar
exceeding	níos mó ná
excel	barr
excellence	sármhaitheas
excellent	den scoth
excelsior	excelsior
excepting	ach amháin
exception	eisceacht
exceptional	eisceachtúil
excerpt	sliocht
excess	breis
excessive	iomarcach
excessively	iomarcach
exchange	malartú
excise	máil
excision	excision
excitability	excitability
excitable	excitable
excitation	excitation
excite	bródúil as
excited	spreagtha
excitement	spreagadh
exciting	spreagúil
exclaim	exclaim
exclamation	exclamation
exclude	eisiamh
excluded	eisiata
excluding	gan áireamh
exclusion	eisiamh
exclusive	eisiach
excrement	eisfhearadh
excretion	eisfhearadh
excruciating	excruciating
excursion	turas
excuse	leithscéal
exec	exec
execute	forghníomhú
execution	forghníomhú
executioner	forghníomhóir
executive	feidhmiúcháin
executor	seiceadóir
exegesis	exegesis
exemplar	eiseamláir
exemplary	eiseamláireach
exemplify	samplaí a dhéanamh
exempt	díolmhaithe
exemption	díolúine
exercise	cleachtadh
exert	exert
exertion	iomadú
exhale	exhale
exhaust	sceite
exhausted	ídithe
exhaustion	ídiú
exhaustive	uileghabhálach
exhibit	taispeántas
exhibition	taispeántas
exhilarated	exhilarated
exhilarating	iontach
exhilaration	áthas
exhort	exhort
exhortation	áthas
exhumation	íogadh
exhume	exhume
exigent	NO TRANSLATION
exile	deoraíocht
exist	ann
existence	bheith ann
existent	ann
existential	seachtrach
existing	atá ann cheana
exit	an slí amach
exodus	ag brath
exonerate	neamhspleách
exorbitant	exorbitant
exorcism	exorcism
exorcist	exorcist
exotic	coimhthíocha
expand	leathnú
expanded	leathnaithe
expanse	leathnú
expansion	leathnú
expansive	expansive
expatriate	neamhchláraithe
expect	ag súil
expectance	ionchas
expectancy	ionchas
expectant	ionchasach
expectation	ionchas
expected	ag súil leis
expecting	ag súil
expediency	inniúlacht
expedient	fóirsteanach
expedite	iomasach
expedition	expedition
expeditious	iomasach
expel	díbirt
expendable	caiteachas
expenditure	caiteachas
expense	costas
expenses	costais
expensive	costasach
experience	taithí
experienced	taithí acu
experiences	eispéiris
experiment	turgnamh
experimental	turgnamhach
experimentation	turgnamh
experimenter	tástálaí
expert	saineolaí
expertise	saineolas
expiration	in éag
expire	in éag
expired	in éag
expiry	in éag
explain	mínigh
explanation	míniú
explanatory	míniúcháin
expletive	iomarcach
explication	míniú
explicit	sainráite
explode	pléascadh
exploit	leas a bhaint as
exploitation	saothrú
exploration	taiscéalaíochta
exploratory	taiscéalaíoch
explore	iniúchadh a dhéanamh
explorer	taiscéalaí
explosion	pléascadh
explosions	pléascanna
explosive	pléascach
expo	expo
exponent	eisitheoir
exponential	neamhspleách
export	onnmhairiú
exportation	onnmhairiú
expose	nochtadh
exposed	nochta
exposition	nochtadh
expository	nochtadh
exposure	nochtadh
expound	expound
express	in iúl
expression	léiriú
expressive	sainráiteach
expressway	luasbhealaigh
expropriation	díshealbhú
expulsion	díbirt
exquisite	exquisite
exquisitely	exquisitely
extant	atá ann
extend	leathnú
extendable	leathnaithe
extended	leathnaithe
extension	síneadh
extensive	fairsing
extent	mhéid
exterior	taobh amuigh
exterminate	díothú
extermination	díothú
exterminator	exterminator
external	seachtrach
externally	seachtrach
extinct	díorthaithe
extinction	díothú
extinguish	mhúchadh
extinguisher	múchtóir
extol	extol
extort	sracadh
extortion	cealú
extra	breise
extract	sliocht
extracting	ag tarraingt
extraction	eastóscadh
extractor	eastóscóir
extracurricular	seach-churaclaim
extradition	eiseachadadh
extrajudicial	seachbhreithiúnacha
extramural	extramural
extraneous	neamhghnách
extraordinaire	extraordinaire
extraordinary	neamhghnách
extraterrestrial	extraterrestrial
extravagance	eachtrannach
extravagant	neamhbhruthach
extravaganza	extravaganza
extreme	mhór
extreme anticipation	réamh-mheas
extreme disgust	tromchúiseach
extreme surprise	iontas mhór
extreme trust	iontaobhas mhór
extremely	thar a bheith
extremely negative	thar a bheith diúltach
extremely positive	thar a bheith dearfach
extremity	extremity
extricate	leathnú
extrinsic	taobh istigh
extrusion	easbhrúite
exuberance	easnamh
exude	exude
eye	súl
eyeball	eyeball
eyebrow	eyebrow
eyeful	súiliúil
eyeglass	eyeglass
eyeglasses	eyeglasses
eyelash	eyelash
eyelet	eyelet
eyeliner	eyeliner
eyepiece	eyepiece
eyes	súile
eyesight	radharc na seachtaine
eyewitness	finné súl
fab	fab
fable	fable
fabled	fabled
fabric	fabraic
fabricate	fabraicí
fabricated	déanta
fabrication	fabraiciú
fabulous	fabulous
facade	facade
face	aghaidh
faceless	gan choinne
facet	facet
facial	facial
facile	NO TRANSLATION
facilitate	éascú
facility	áis
facing	os comhair
facsimile	facs
fact	deimhin
faction	dhruid
factor	fachtóir
factory	monarcha
facts	fíricí
factual	fíorasach
faculties	dámha
faculty	dámh
fad	fad
fade	céimnithe
faded	faded
faeces	faeces
fag	fag
faggot	fagot
fail	theipeann
failing	mainneachtain
failure	teip
fain	NO TRANSLATION
faint	faint
fainting	fainting
fair	cothrom
fairly	go cothrom
fairness	cothroime
fairway	fairway
fairy	sióg
faith	Creideamh
faithful	dílis
faithfulness	dílis
faithless	gan chreideamh
fake	falsa
faker	fáiche
falafel	falafel
falcon	fabhcún
fall	titim
fallacious	fallacious
fallacy	fallacy
fallback	titim ar ais
fallible	fallible
falling	ag titim
fallopian	fallopian
fallout	titim amach
fallow	buille
false	FÁS
falsehood	bréagach
falsely	go bréagach
falsification	falsaithe
falsified	falsaithe
falsify	falsify
falsity	falsa
falter	falter
fame	Laochra
famed	famed
familiar	eolas
familiarity	eolas
familiarize	eolas a fháil
family	teaghlach
familytime	am teaghlaigh
famine	gorta
famished	famished
famous	cáiliúil
famously	cáiliúil
fan	lucht leanúna
fanatic	fanatic
fanatical	fanatical
fanaticism	fanaticism
fanciful	fanciful
fancy	mhaisiúil
fandango	fandango
fanfare	fanfare
fang	NO TRANSLATION
fangs	fangs
fanning	fanning
fantasia	fantasia
fantasize	fantasize
fantastic	iontach
fantasy	fantaisíocht
faraway	i gcéin
farce	farce
farcical	méarógach
fare	táille
farewell	slán
farm	feirme
farmer	feirmeoir
farmhouse	teach feirme
farming	feirmeoireacht
farmland	talamh feirme
faro	faro
fart	fart
farther	níos faide
fascia	fascia
fascinate	suimiúil
fascinated	suimiúil
fascinating	suimiúil
fascination	fascination
fascism	fascism
fascist	faisisteach
fashion	faisean
fashionable	faiseanta
fastball	fastball
fasten	fasten
fastener	ceanglóir
fastening	ceangail
fasting	troscadh
fat	saill
fatal	marfach
fatalism	marfach
fatality	báis
fate	cinniúint
fated	fated
fateful	fonnmhar
fathead	fathead
father	athair
fatherhood	athair
fatherland	athairland
fatherly	athair
fathom	fathom
fatigue	tuirse
fatigued	fatigued
fatso	fatso
fatten	fatten
fatty	sailleacha
faucet	faucet
fault	locht
faultless	lochtach
faulty	lochtach
faun	faun
fauna	fauna
faux	faux
favor	bhfabhar
favorable	fabhrach
favorite	is fearr leat
favoriteholiday	NO TRANSLATION
favoritism	bhfabharachas
fawn	fawn
fax	facs
faze	NO TRANSLATION
fear	eagla
feared	eagla
fearful	eaglach
fearfully	eagla
fearing	eagla
fearless	fearless
fears	eagla
fearsome	eagla
feasibility	féidearthacht
feasible	indéanta
feast	feast
feat	feat
feather	cleite
feathered	cleachtadh
feature	gné
features	gnéithe
febrile	febrile
fecal	fecal
feces	feces
fecundity	feabhais
fed	chothaithe
federal	cónaidhme
federation	cónaidhm
fedup	NO TRANSLATION
fee	táille
feeble	folamh
feed	beatha
feedback	aiseolas
feeder	friothálacha
feel	bhraitheann
feelgood	mothú go maith
feeling	mothú
feelingdown	NO TRANSLATION
feelinggood	NO TRANSLATION
feet	cosa
feign	feign
feigned	feigned
feisty	feisty
felicity	felicity
feline	feline
fell	thit
feller	marler
fellow	fear eile
fellowship	comhaltacht
felon	felon
felony	feirmeoireacht
felt	bhraith
female	baineann
feminine	baininscneach
femininity	femininity
feminism	feminism
feminist	feminist
femme	NO TRANSLATION
femoral	femoral
femur	femur
fen	NO TRANSLATION
fence	fál
fenced	fál
fencing	fálú
fend	briseadh
fender	fender
fennel	finéal
ferment	coipeadh
fermentation	coipeadh
fern	raithneach
ferocious	brónach
ferocity	ferocity
ferret	ferret
ferry	farantóireachta
ferryboat	NO TRANSLATION
fertile	torthúil
fertility	torthúlacht
fertilize	fertilize
fertilizer	leasacháin
fervent	fionnuar
fervor	fervor
fess	fess
fest	fest
festival	féile
festive	féile
fetal	féatais
fetch	a fháil
fete	NO TRANSLATION
fetish	fetish
fetus	féatas
feud	feud
feudal	feudal
feudalism	feudalism
fever	fiabhras
feverish	fiabhrasach
fiancee	NO TRANSLATION
fiasco	fiasco
fiat	fiat
fib	snáithín
fiber	snáithín
fiberglass	fiberglass
fibrosis	snáithris
fibrous	snáithíneach
fickle	fickle
fiction	ficsean
fictional	ficseanúil
fictitious	ficticiúil
fiddle	fidil
fiddler	fiddler
fidelity	dílis
fidgety	fidgety
fiduciary	muiníneach
field	Gort
field hockey	haca réimse
fielder	páirceálaí
fiend	fiend
fiendish	fiendish
fierce	fíochmhar
fiery	fiery
fiesta	fiesta
fiesty	NO TRANSLATION
fifteen	cúig bliana déag
fifty	caoga
fig	fig
fight	troid
fighter	Trodaire
fighting	troid
fights	troideanna
figment	figment
figurative	figurative
figure	figiúr
figurine	figurine
filament	filament
filamentous	filamentous
file	comhad
filet	comhaid
filibuster	filibuster
filigree	filigree
filing	comhdú
filings	comhdú
fill	líon
filler	filler
fillet	filléad
filling	líonadh
filly	filly
film	scannán
filmmaker	scannánóir
filmy	NO TRANSLATION
filter	scagaire
filth	filth
filthy	trua
filtration	scagachán
fin	NO TRANSLATION
final	deiridh
finale	finale
finalist	deiridh
finality	finality
finalize	críochnaithe
finalized	críochnaithe
finally	ar deireadh
finance	airgeadas
financial	airgeadais
financier	airgeadaithe
finch	finch
find	teacht
finder	aimsitheoir
finding	aimsiú
fine	fíneáil
finery	finery
finesse	finesse
finger	finger
fingernail	fingernail
fingerprint	méarloirg
fingerscrossed	NO TRANSLATION
finish	críochnaigh
finished	críochnaithe
finite	críochnaitheach
fink	fink
fir	fir
fire	tine
firearm	arm tine
firearms	arm tine
fireball	fireball
firecracker	crann tine
firefight	firefight
firefighter	comhraiceoir dóiteáin
firefly	firefly
firehouse	teach tine
firelight	firelight
fireman	fear tine
fireplace	teallach
firepower	firepower
fireproof	fireproof
fireside	tinte
firestorm	stoirm dóiteáin
firewall	balla dóiteáin
firewood	connadh
firework	obair tine
fireworks	tinte ealaíne
firing	lámhaigh
firm	daingean
firmament	firmament
firmly	go daingean
firmness	daingean
first	an chéad
firstborn	chéadborn
firstworldprobs	NO TRANSLATION
fiscal	fioscach
fish	iasc
fisherman	iascaire
fishery	iascaigh
fishing	iascaireacht
fishing boat	bád iascaireachta
fishy	iascach
fissile	inscne
fission	eamhnaithe
fissure	fíochán
fist	dorn
fistfight	fistfight
fistful	fistful
fistula	fistula
fit	oiriúnach
fitness	folláine
fits	oireann
fitted	feistithe
fitting	feistiú
fittings	feistis
five	cúig
fiver	fior
fix	socrú
fixable	socraithe
fixation	socrú
fixed	socraithe
fixer	sraitheoir
fixture	daingneán
fixtures	daingneáin
fizz	fizz
fjord	fjord
flabbergast	flabbergast
flabbergasted	flabbergasted
flabby	flabby
flaccid	flaccid
flag	bratach
flagging	bratach
flagpole	flagpole
flagrant	bratach
flagship	príomhthionscadal
flagstaff	flagstaff
flair	léargas
flak	flak
flake	flake
flaky	flaky
flamboyant	flamboyant
flame	lasair
flamethrower	lascaire
flaming	lasair
flamingo	flamingo
flammable	inadhainte
flan	flan
flange	flange
flank	taobh
flanked	taobh le chéile
flanking	taobh le chéile
flannel	flannel
flap	flap
flapping	ag bualadh
flare	flare
flares	flares
flaring	ag súgradh
flash	flash
flashback	flashback
flashing	splancadh
flashlight	flashlight
flashy	flashy
flask	fleascán
flat	árasán
flatbed	flatbed
flatfoot	flatfoot
flatness	cothromas
flatten	flatten
flatter	flatter
flattered	flattered
flattering	flattering
flattery	flattery
flatulence	flatulence
flaunt	flaunt
flavor	blas
flaw	locht
flawed	lochtach
flawless	flawless
flea	flea
fleabag	fleabag
fled	theith
flee	teitheadh
fleece	lomra
fleet	cabhlach
fleeting	fleeting
flesh	flesh
fleshy	fleshy
flex	flex
flexibility	solúbthacht
flexible	solúbtha
flexin	flexin
flexion	flexion
flick	flick
flicker	bréagán
flickering	flickering
flier	flier
flight	eitilt
flighty	eitilte
flimsy	flimsy
flinch	flinch
fling	fling
flint	flint
flip	smeach
flip flop	flip flip
flipper	flipper
flipping	flipping
flirt	flirt
flirtation	flirtation
flirting	flirting
flirty	flirty
float	snámhphointe
floater	floater
flock	flock
flog	flog
flood	tuilte
floor	urlár
flooring	flooring
floozy	floozy
flop	flop
floppy	floppy
flora	flora
floral	bláthanna
florist	florist
floss	floss
flotation	snámhachta
flounder	sreabhadh
flour	plúr
flourish	rath
flow	sreabhadh
flower	bláth
flowering	bláthanna
flowers	bláthanna
flowery	bláthanna
flows	sreafaí
flu	fliú
fluctuate	flúirseach
fluctuating	ag athrú
fluctuation	luaineacht
flue	fliú
fluency	líofacht
fluent	líofa
fluff	fluff
fluffy	leannach
fluid	sreabhach
fluidity	leachtacht
fluke	fliú
flunk	flunk
flunky	flunky
fluorescence	fluaraiseacht
fluorescent	fluaraiseacha
flurries	flurries
flurry	flurry
flush	flush
flustered	flustered
flute	fliúit
fluted	fluted
flutter	flutter
fluvial	aerbhealach
flux	fliú
fly	eitilt
flyboy	flyboy
flyer	fógrán
flying	ag eitilt
flywheel	eitilt
foal	foal
foam	cúr
foaming	cúr
foamy	foamy
fob	fob
focal	fócasach
focus	fócas
fodder	fothaí
foe	foighne
fog	ceo
foggy	foggy
foil	scragall
foiled	foiled
fold	huaire
folded	fillte
folder	fillteán
foliage	duilliúr
folio	folio
folk	tíre
folklore	béaloideas
follicle	follicle
follicular	follicular
follow	leanúint
follower	leanúna
folly	fulangas
fond	Fond
fondle	fondle
fondling	fondling
fondness	fondness
fondue	fondue
font	cló
food	bia
foodie	foodie
fool	amadán
fooled	fooled
foolhardy	foolhardy
