Word	mk
busboy	busboy
bush	грмушка
bushel	бушел
bushy	газирани
business	бизнис
business man	NO TRANSLATION
businessman	бизнисмен
businesswoman	бизнисменка
busload	busload
buss	автобус
bust	биста
busted	разби
buster	другар
bustle	ритамот
bustling	суета
busy	зафатен
busybody	зафатен
butane	бутан
butcher	Месар
butler	Батлер
butt	задник
butter	путер
buttercup	путер
butterfly	пеперутка
buttermilk	матеница
butterscotch	гранче
buttery	маслени
buttock	задница
buttocks	задникот
button	копче
buttress	подршка
buxom	buxom
buy	купи
buyer	купувач
buying	купување
buzz	зуи
buzzard	магаре
buzzed	збунет
buzzer	Сирена
buzzing	зуењето
bye	Чао
bygone	преминал
bylaw	подзаконски акт
byline	byline
bypass	бајпас
bystander	минувач
byte	бајт
byzantine	византиски
cab	такси
cabal	кабала
cabana	cabana
cabaret	кабаре
cabbage	зелка
cabbie	cabbie
cabernet	каберне
cabin	кабина
cabinet	кабинет
cable	кабел
caboodle	кабул
caboose	кабаоза
cabriolet	кабриолет
cache	кеш
cacophony	какофонија
cactus	кактус
cad	cad
cadaver	кадавер
caddie	NO TRANSLATION
caddy	caddy
cadence	каденца
cadet	кадет
cafe	кафе
cafeteria	Кафетерија
caffeine	кофеин
cage	кафез
cagey	cagey
cahoots	cahoots
cairn	cairn
cake	торта
cakewalk	cakewalk
calamari	каламари
calamitous	катастрофален
calamity	катастрофа
calcareous	варовнички
calcium	калциум
calculate	пресмета
calculated	пресметано
calculating	пресметување
calculation	пресметка
calculator	калкулатор
calculus	калкулус
calendar	календар
calender	NO TRANSLATION
calf	теле
caliber	калибар
calibrate	калибрирај
calico	калико
calipers	дебеломер
calisthenics	calisthenics
call	повик
callback	повратен повик
caller	повикувачот
calligraphy	калиграфија
calling	повик
callous	бездушен
calls	повици
calm	смирен
calming	смирувачки
calmness	смиреност
caloric	калорична
calorie	калории
calorimeter	калориметар
cam	cam
camaraderie	другарство
camber	камен
camcorder	видео камера
camel	камила
cameo	камео
camera	камера
cameraman	снимател
camisole	камизол
camouflage	маскирна
camouflaged	NO TRANSLATION
camp	камп
campaign	кампања
campaigner	кампања
campaigning	кампања
camper	кампер
campfire	логорски оган
camping	кампување
campsite	камп
campus	кампус
can	може
can opener	отварач за конзерви
canal	канал
canary	канари
cancel	откажете
canceling	откажување
cancellation	откажување
cancer	рак
candid	искрен
candidacy	кандидатура
candidate	кандидат
candied	захаросани
candle	свеќа
candlelight	свеќи
candles	свеќи
candlestick	светилник
candor	искреност
candy	бонбони
cane	трска
canine	кучешки
canister	канистер
canker	canker
cannabis	канабис
canned	конзервирана
cannibal	канибал
cannibalism	канибализам
canning	конзервирање
cannon	топови
cannonball	топовски удар
canoe	кану
canon	канон
canonical	канонски
canons	канони
canopy	крошна
cantaloupe	диња
cantbreathe	NO TRANSLATION
canteen	кантина
canterbury	canterbury
canthandleit	NO TRANSLATION
cantilever	конзола
cantina	кантина
canto	NO TRANSLATION
canton	кантон
cantstandit	NO TRANSLATION
cantwin	cantwin
canvas	платно
canvass	NO TRANSLATION
canyon	кањонот
cap	капа
capability	способност
capable	способен
capacity	капацитет
cape	нос
caper	капер
capillary	капиларен
capital	капитал
capitalism	капитализмот
capitalist	капиталистички
capitalize	капитализираат
capitals	престолнини
capitation	капитација
capitol	капитол
capitulation	капитулација
cappuccino	капучино
caprice	каприз
capricious	каприциозен
caps	капи
capslock	големи букви
capsule	капсула
captain	капетан
caption	Наслов
captivate	очаровам
captivating	волшебна
captive	заробеник
captivity	заробеништво
captor	каптор
capture	фаќање
car	автомобил
caramel	карамел
carat	карат
caravan	караван
carbon	јаглерод
carburetor	карбуретор
carcass	труп
carcinoma	карцином
card	картичка
cardboard	картон
cardiac	срцева
cardigan	кардиган
cardinal	кардинал
cardiologist	кардиолог
cardiology	кардиологија
cardiomyopathy	кардиомиопатија
cards	картички
care	грижа
career	кариера
carefree	безгрижно
careful	внимателен
carefully	внимателно
careless	безгрижно
carelessness	негрижа
caress	галење
caret	caret
caretaker	чувар
cargo	товар
caribou	caribou
caricature	карикатура
caries	кариес
caring	грижа
carjack	carjack
carnage	масакр
carnal	телесна
carnation	каранфил
carnival	карневал
carnivorous	месојади
carol	carol
carols	carols
carousel	рингишпил
carp	крап
carpal	карпал
carpenter	столар
carpentry	столарија
carpet	тепих
carpeting	теписи
carpool	carpool
carriage	превоз
carried	носени
carrier	превозникот
carrot	морков
carry	носат
carrying	носејќи
carsick	автомобили
cart	количка
carte	NO TRANSLATION
cartel	картел
carter	картер
cartilage	'рскавица
cartographic	картографски
cartography	картографија
carton	цртан
cartoon	цртан филм
cartouche	NO TRANSLATION
cartridge	кертриџ
carve	издлаби
carver	карвер
carving	резба
cascade	каскада
case	случај
casein	казеин
cash	готовина
cashier	благајник
cashmere	кашмир
casing	обвивка
casino	казино
cask	буре
casket	ковчег
casserole	тепсија
cassette	касета
cast	фрлија
castaway	растура
caste	каста
caster	риболов
castle	замокот
castor	кастор
castrate	кастрат
castration	кастрација
casual	секојдневен
casually	случајно
casualty	жртва
cat	мачка
catabolism	катаболизам
catalog	каталог
catalogue	каталог
catalysis	катализа
catalyst	катализатор
catalytic	каталитички
catamaran	катамаран
catapult	катапулт
cataract	катаракта
catastrophe	катастрофа
catastrophic	катастрофална
catatonic	кататоничен
catch	фати
catcher	catcher
catching	фаќање
catchphrase	catchphrase
catchy	препреки
catechism	катехизам
categorical	категорично
category	категорија
cater	задоволи
caterer	угостител
caterpillar	гасеница
cates	cates
catfish	сом
cathartic	катарзичен
cathedral	катедрала
catheter	катетер
catholic	католички
cathouse	катоус
catnip	кочан
cattle	добиток
catwalk	модна писта
caucus	пратеничка група
caudal	каудален
cauldron	котел
cauliflower	карфиол
caulk	коноп
causal	каузално
causality	каузалност
causation	каузација
cause	причина
caused	предизвикани
causeway	насип
caution	претпазливост
cautionary	предупредувачки
cautious	претпазлив
cautiously	внимателно
cavalier	кавалер
cavalry	коњаница
cave	пештера
caveat	протест
caveman	дивак
cavern	пештера
cavernous	кавернозен
caviar	кавијар
caving	спелеолошки
cavity	празнина
cayenne	cayenne
cease	престанете
ceasefire	прекин на огнот
ceaseless	непрекинат
cedar	кедар
cede	отстапи
ceiling	таванот
celebrant	церерант
celebrate	слави
celebrated	прослави
celebrating	славејќи
celebration	прослава
celebrations	прослави
celebratory	славенички
celebrity	славна личност
celery	целер
celestial	небесен
celibacy	целибатот
celibate	целибате
cell	клетка
cellar	визба
cellblock	клеточен блок
cellist	виолончелист
cellmate	клеветник
cello	виолончело
cellophane	целофан
cellular	клеточен
cellulite	целулит
celluloid	целулоид
cement	цемент
cemented	цементиран
cemetery	гробишта
censor	цензор
censorship	цензура
censure	цензура
census	попис
cent	цент
centenary	стогодишнината
centennial	стогодишнината
center	центар
centerfold	центриран
centerpiece	централен дел
centimeter	сантиметар
centipede	стоножка
central	централно
centrality	централноста
centralization	централизација
centralize	централизира
centrally	централно
centrifugal	центрифугални
centrifuge	центрифуга
centurion	стотник
century	век
ceramic	керамика
ceramics	керамика
cereal	житни култури
cereals	житарици
cerebral	церебрална
ceremonial	церемонијална
ceremony	церемонија
certain	сигурно
certainty	сигурност
certifiable	потврден
certificate	сертификат
certified	сертифициран
certify	потврди
cervical	грлото на матката
cervix	грлото на матката
cess	наплата
cessation	престанок
cesspool	cesspool
cha cha	NO TRANSLATION
chaff	шега
chafing	шега
chagrin	разочарување
chagrined	огорчен
chai	чај
chain	синџир
chainsaw	моторна пила
chair	стол
chairman	претседател
chairperson	претседател
chairwoman	претседателка
chaise	кочии
chalet	вила
chalice	чаша
chalk	креда
challenge	предизвик
challenger	предизвикувач
chamber	комора
chambermaid	камермаид
chambers	комори
chameleon	камелеон
champ	шампион
champagne	шампањ
champion	шампион
championship	првенство
chance	шанса
chancellor	канцелар
chandelier	лустерот
chandler	chandler
change	промена
changeable	променлива
changed	сменето
changer	менувач
changing	се менува
channel	канал
chant	пеење
chaos	хаос
chaotic	хаотичен
chap	погл
chapel	капела
chaperon	chaperon
chaplain	капелан
chapman	Чепмен
chaps	chaps
chapter	поглавје
char	char
character	карактер
characteristic	карактеристика
characterize	карактеризираат
charade	шарада
charcoal	јаглен
chardonnay	шардоне
charge	задолжен
chargeable	наплатлив
charger	полнач
chariot	кочија
charisma	харизма
charismatic	харизматичен
charitable	добротворни
charity	добротворна организација
charlatan	шарлатан
charm	шарм
charmed	шармиран
charmer	шармер
charming	шармантно
charred	јагленисано
chart	шема
charter	чартер
chartered	експерт
chase	потера
chased	бркале
chaser	чрезмер
chasm	бездна
chassis	шасија
chaste	чиста
chastened	казнет
chastisement	казнување
chastity	чистота
chat	разговор
chateau	замок
chatter	брборењата
chatterbox	chatterbox
chattering	талкање
chatty	зборлив
chauffeur	возач
chauvinist	шовинистички
cheap	евтини
cheapened	cheapened
cheapskate	cheapskate
cheat	измамник
cheater	измамник
check	провери
checkbook	чекова книга
checker	Проверка
checkered	кариран
checkers	дама
checklist	контролна листа
checkmate	мат
checkout	исходот
checkpoint	контролен пункт
checkup	преглед
cheek	образ
cheeks	образи
cheeky	Дрзок
cheep	cheep
cheer	навиваат
cheered	поздрави
cheerful	весели
cheerfulness	бодрост
cheering	навива
cheerleader	мажоретка
cheerleading	навивање
cheerless	безгрижни
cheers	извици
cheery	весел
cheese	сирење
cheeseburger	чизбургер
cheesecake	чизкејк
cheesy	вулгарен
cheetah	гепард
chef	готвач
chemical	хемиски
chemise	NO TRANSLATION
chemist	хемичар
chemistry	хемија
chemo	хемо
chemotherapy	хемотерапија
cheque	провери
cherish	негувај
cherishing	негувајќи
cherry	цреша
cherub	херувим
chess	шах
chest	градите
chestnut	костен
chevron	Шеврон
chew	џвака
chewy	измамнички
chic	шик
chicane	шикан
chick	пиле
chicken	пилешко
chicken pox	сипаница
chickenpox	сипаница
chief	главен
chiefly	главно
chieftain	главен
chiffon	шифон
child	дете
childbirth	породување
childhood	детството
childish	детски
childless	бездетни
childlike	детска
childloss	NO TRANSLATION
children	деца
chili	чили
chill	студ
chilled	разладено
chilling	застрашувачки
chilly	студено
chime	ѕвонче
chimera	химера
chimes	камења
chimney	оџак
chimp	шимпанзо
chimpanzee	шимпанзо
chin	брадата
china	Кина
chinchilla	шиншила
chine	NO TRANSLATION
chinook	chinook
chip	чип
chipmunk	североамериканска вештерка
chipper	чиппер
chipping	chipping
chiropractor	хиропрактор
chirp	chirp
chirping	chirping
chisel	длето
chiseler	чизлер
chit	дремка
chitchat	разговор
chivalry	витештво
chloride	хлорид
chlorine	хлор
chloroform	хлороформ
chocolate	чоколада
choice	избор
choir	хорот
choke	задави
cholera	колера
cholesterol	холестерол
choose	изберете
choosing	изборот
choosy	измазен
chop	сека
chopper	хеликоптер
choppers	хеликоптери
chopping	сечкање
chops	рифови
choral	хорски
chord	акорд
chords	акорди
chore	скучна работа
choreographer	кореограф
choreography	кореографија
chorus	хор
chosen	избран
chow	чау
chowder	супа
christ	Христос
christen	NO TRANSLATION
christening	крштевање
christian	христијански
christmas	Божиќ
christmasbreak	NO TRANSLATION
christmaseve	NO TRANSLATION
christmasspirit	NO TRANSLATION
christmassy	Христосмаси
christmastime	Христово време
chromatic	хроматска
chromatography	хроматографија
chrome	хром
chromium	хром
chromosome	хромозом
chronic	хроничен
chronicle	хроника
chronograph	хронограф
chronological	хронолошки
chubby	Чаби
chuck	Чак
chuckle	се смееш
chug	chug
chum	другар
chummy	слатка
chump	дебеличка
chunk	парче
chunky	буци
church	црква
churchyard	црква
churn	разпенвам
chute	штит
chutney	chutney
ciao	Чао
cider	јаболковина
cigar	пура
cigarette	цигара
cilantro	cilantro
cinch	cinch
cinder	гареж
cinema	кино
cinematic	филмски
cinematographer	кинематографер
cinematography	кинематографија
cinnamon	цимет
cipher	шифра
circle	круг
circling	кружат
circuit	коло
circuitry	кола
circular	кружни
circulate	циркулира
circulation	циркулација
circulatory	циркулаторен систем
circumcision	обрежување
circumference	обем
circumferential	периферен
circumscribed	ограничен
circumstance	околност
circumstances	околности
circumstantial	посредничка
circumvent	заобиколи
circumvention	заобиколување
circus	циркус
cirque	цирка
cirrhosis	цироза
cirrus	циркус
cistern	цистерна
citadel	цитадела
citation	цитирање
cite	цитираат
citizen	граѓанин
citizenship	државјанство
citrine	цитрин
citrus	цитрус
city	град
citywide	градwide
civic	граѓански
civics	граѓани
civil	граѓански
civilian	цивилен
civilians	цивили
civility	учтивост
civilization	цивилизација
civilized	цивилизиран
clad	облечени
claim	тврдат
claimant	тужителот
clairvoyant	визионер
clam	clam
clambake	кламбак
clammy	леплива
clamor	врева
clamp	Стегач
clan	клан
clandestine	тајна
clang	клен
clap	clap
clapper	клопче
clapping	плескање
clarification	појаснување
clarify	разјасни
clarinet	кларинет
clarion	clarion
clarity	јасност
clash	судир
clashing	судир
clasp	затворач
class	класа
classic	класичен
classic rock	класичен рок
classical	класична
classics	класици
classification	класификација
classified	класифицирани
classify	класифицирам
classmate	соученик
classroom	училница
classy	елегантен
clatter	тропаат
clause	клаузула
clauses	клаузули
claustrophobia	клаустрофобија
claustrophobic	клаустрофобичен
clavicle	квиквица
claw	ноктот
claws	канџи
clay	глина
clean	чист
cleaner	почиста
cleaning	чистење
cleanliness	чистота
cleanly	чисто
cleanse	очисти
cleanser	чистење
cleansing	чистење
cleanup	исчисти
clear	јасно
clearance	дозвола
clearing	расчистување
clearness	чистота
cleat	клин
cleavage	расцеп
cleave	расцеп
cleaver	NO TRANSLATION
clef	clef
cleft	расцеп
clemency	помилување
clench	стискам
clergy	свештенството
clergyman	свештеник
cleric	свештеник
clerical	свештенички
clerk	службеник
clerkship	службеник
clever	умен
cleverness	умешност
click	кликнете
clicker	клипер
client	клиент
clientele	клиентела
cliff	карпа
climate	клима
climatology	климатологија
climax	климакс
climb	се искачи
climber	алпинист
clinch	клинч
cling	се држат
clingy	Чувствителни
clinic	клиника
clinical	клинички
clink	клинк
clip	клип
clipboard	клипборд
clipper	клипер
clipping	клипинг
clique	NO TRANSLATION
clitoris	клиторис
cloak	наметка
cloaking	поезијата
cloakroom	кулоари
clobber	clobber
clock	часовник
clockwork	часовник
clod	Клод
clog	пречка
cloister	манастир
clone	клон
cloning	клонирање
close	затвори
closed	затворена
closeness	блискост
closet	плакарот
closure	затворање
clot	тромб
cloth	ткаенина
clothe	облека
clothes	алишта
clothesline	алишта
clothing	облека
cloud	облак
clouded	заматен
cloudiness	облачност
clouds	облаци
cloudy	облачно
clout	моќ
clove	каранфилче
clover	детелина
cloves	каранфилче
clown	кловн
clowns	кловнови
club	клуб
clubhouse	клуб
clubs	клубови
cluck	cluck
clue	поим
clueless	clueless
clump	грмушка
clumsy	несмасен
clunk	clunk
cluster	Грозд
clutch	спојка
clutches	спојки
clutter	средена
coach	тренер
coachman	кученце
coagulation	коагулација
coal	јаглен
coalesce	коалесцирање
coalition	коалиција
coarse	груб
coast	брег
coastal	крајбрежни
coaster	увеселителен
coastline	крајбрежје
coat	Палто
coating	слој
coax	убедувам
cobalt	кобалт
cobble	калдрма
cobbler	cobbler
cobra	кобра
cocaine	кокаин
cock	петел
cockamamie	какамами
cockeyed	коскиче
cockpit	пилотската кабина
cockroach	лебарка
cocksucker	пупка
cocktail	коктел
cocky	дебеличка
cocoa	какао
coconut	кокос
cocoon	кожурец
cod	треска
code	код
codeine	кодеин
codex	codex
codfish	треска
codification	кодификација
codify	кодифицирај
coding	кодирање
coed	coed
coefficient	коефициент
coerce	принудува
coercion	принуда
coercive	принудна
coexist	коегзистираат
coexistence	соживот
coexisting	коегзистира
coffee	кафе
coffee table	маса за кафе
coffeehouse	кафеана
coffeepot	ѓезве
coffin	ковчегот
cog	Здраво
cogent	убедливо
cognac	коњак
cognate	сроден
cognition	когниција
cognitive	когнитивен
cohabitation	кохабитација
coherence	кохерентност
coherent	кохерентна
cohesion	кохезија
cohesive	кохезивен
cohort	група
coil	намотка
coiled	свиткана
coin	монета
coinage	кованица
coincide	се совпаѓаат
coincidence	случајност
coincident	се совпадна
coincidental	случајно
coinciding	се совпаѓа
coke	Кока Кола
cola	кола
cold	студ
coldly	студено
coldness	студенило
coldsweat	NO TRANSLATION
coleslaw	coleslaw
colic	Чолиќ
coliseum	колосеум
collaborate	соработува
collaboration	соработка
collaborator	соработник
collage	колаж
collagen	колаген
collapse	колапс
collar	јака
collarbone	клучна коска
collate	средува
collateral	колатерал
collation	споредување
colleague	колега
collect	собираме
collected	собрани
collection	собирање
collective	колективно
collectively	колективно
collector	колектор
college	колеџ
collegiate	колегиум
collide	се судираат
collie	collie
collision	судир
collocation	колокација
colloquial	колоквијален
collusion	заговор
cologne	колонска вода
colon	дебелото црево
colonel	полковник
colonial	колонијален
colonic	колони
colonoscopy	колоноскопија
colony	колонија
colophon	колофон
color	боја
coloration	обојување
colored	обоени
colorful	шарени
coloring	боење
colorless	безбоен
colors	бои
colossal	колосален
colt	колт
columbine	коломин
column	колона
columnar	колонообразен
columnist	колумнист
com	NO TRANSLATION
coma	кома
comatose	коматозен
comb	чешел
combat	борба
combatant	борбен
combative	борбена
combination	комбинација
combinatorial	комбинаторна
combine	се комбинираат
combined	комбинирано
combo	комбо
combustible	запалив
combustion	согорување
come	дојде
comeback	врати се
comedian	комичар
comedy	комедија
comet	комета
comfort	удобност
comfortable	удобно
comforter	утешител
comforting	утешна
comfy	удобно
comic	стрип
comical	комично
comics	стрипови
coming	доаѓаат
comma	запирка
command	команда
commandant	командант
commandeer	командант
commander	командант
commanding	командантот
commandment	заповед
commando	командо
commemorate	комеморација
commemoration	комеморација
commemorative	комеморативна
commence	започнете
commend	пофали
commendable	пофално
commendation	пофалба
commensurate	пропорционален
comment	коментар
commentary	коментар
commentator	коментатор
commerce	трговија
commercial	комерцијални
commie	комедија
commissary	комесар
commission	комисија
commissioner	комесар
commit	изврши
commitment	посветеност
committal	посветеност
committed	посветена
committee	комитет
commodity	стока
commodore	commodore
common	чести
commoner	обичен
commonly	најчесто
commonplace	вообичаена
commons	заедници
commonwealth	комонвелт
commotion	мешање
communal	комунални
commune	комуна
communicable	пренослив
communicate	комуницира
communication	комуникација
communicative	комуникативни
communicator	комуникатор
communion	заедница
communism	комунизмот
communist	комунист
community	заедница
commutation	комутација
commutative	комутативно
commute	менуваат
commuter	патнички
comp	comp
compact	компактен
compaction	тампонирање
compactness	компактност
companion	придружник
companionless	придружник
companionship	дружење
company	компанија
comparable	споредливи
comparative	компаративна
comparatively	релативно
compare	споредба
comparison	споредба
compartment	купе
compass	компас
compassion	сочувство
compassionate	сочувствителен
compatibility	компатибилност
compatible	компатибилен
compel	принудат
compelled	принудени
compelling	привлечни
compendium	компендиум
compensate	компензира
compensation	компензација
compensatory	компензаторни
compete	се натпреваруваат
competence	компетентност
competency	компетентност
competent	компетентен
competition	конкуренција
competitive	конкурентна
competitor	конкурент
compilation	компилација
compile	компајлирање
complacency	самозадоволство
complacent	самозадоволен
complain	се жалат
complaint	жалба
complement	дополнување
complementary	комплементарни
complete	заврши
completed	завршено
completely	целосно
completeness	комплетноста
completing	завршувајќи
completion	завршување
complex	комплексен
complexed	комплексен
complexion	тен
complexity	комплексност
compliance	усогласеност
compliant	согласност
complicate	комплицира
complicated	комплицирано
complication	компликација
complicity	соучество
compliment	NO TRANSLATION
complimentary	комплементарни
comply	усогласете
complying	усогласеност
compo	compo
component	компонента
compose	Компонирај
composed	составен
composer	композитор
composite	композитен
composition	состав
compost	компост
composure	смиреноста
compound	соединение
comprehend	сфати
comprehension	разбирање
comprehensive	сеопфатна
compress	компресира
compressed	компресирана
compressible	компресибилен
compression	компресија
compressor	компресор
comprise	се состојат
compromise	компромис
comptroller	контролор
compulsion	принуда
compulsive	компулсивно
compulsory	задолжително
computable	пресметано
computation	пресметка
compute	пресмета
computer	компјутер
computerized	компјутеризирани
computing	компјутери
comrade	другар
con	NO TRANSLATION
concatenation	конкатенација
concave	конкавна
conceal	скрие
concealed	сокриени
concealment	прикривање
concede	признавам
conceit	суета
conceited	замислен
conceivable	замислено
conceive	замислувам
concentrate	се концентрира
concentration	концентрација
concentric	концентрично
concept	концепт
conception	концепција
concern	загриженост
concerned	загрижени
concert	концерт
concerto	концерт
concession	концесија
concessional	концесиски
conch	раковина
concierge	консиерж
conciliation	помирување
concise	концизен
conclave	конклава
conclude	заклучи
concluding	склучување
conclusion	заклучок
conclusive	убедливо
concoction	измислица
concomitant	истовремена
concord	соглас
concordance	согласност
concours	NO TRANSLATION
concourse	конкурс
concrete	бетон
concubine	наложница
concur	согласен
concurrence	согласување
concurrent	истовремени
concurring	се согласува
concussion	потрес на мозокот
condemn	осуди
condemnation	осуда
condensation	кондензација
condensed	кондензирана
condescending	погрешно
condescension	понижување
condiment	подправка
condition	состојба
conditional	условно
conditionally	условно
conditioned	условени
conditioner	кондиционер
conditioning	климатизација
conditions	Услови
condo	condo
condolence	сочувство
condolences	сочувство
condom	кондом
condone	оправда
condor	кондор
conducive	погодна
conduct	однесување
conduction	спроводливост
conductivity	спроводливост
conductor	диригент
conduit	канал
cone	конус
confederacy	конфедерација
confederate	конфедерација
confederation	конфедерација
confer	се предаде
conference	конференција
confess	признае
confession	исповед
confessional	исповед
confessions	признанија
confetti	конфети
confidant	доверлив
confide	довери се
confidence	доверба
confident	уверени
confidential	Доверливо
confidentiality	доверливост
confidentially	NO TRANSLATION
configuration	конфигурација
confine	ограничи
confined	ограничени
confinement	затвор
confines	граници
confirm	потврди
confirmation	потврда
confirmatory	потврда
confirmed	потврдено
confiscate	конфискувам
confiscation	конфискација
conflagration	пожар
conflict	конфликт
conflicting	конфликтни
confluence	сливот
conform	согласност
conformance	сообразност
conformation	NO TRANSLATION
conformity	сообразност
confound	смутен
confounded	збунет
confront	се соочи
confrontation	конфронтација
confuse	збуни
confused	збунет
confusing	збунувачки
confusion	конфузија
conga	conga
congenial	соодветен
congenital	вродени
congestion	метеж
conglomerate	конгломерат
conglomeration	конгломерација
congrats	честитки
congratulate	честитам
congratulation	честитки
congratulations	честитки
congratulatory	честитки
congregate	се собираат
congregation	општество
congress	конгрес
congressional	конгресен
congressman	конгресмен
congruence	конгруенција
conic	конус
conical	конусна
conjecture	претпоставка
conjugal	брак
conjugate	конјугиран
conjugation	конјугација
conjunction	врска
conjunctive	конјунктивно
conjure	апелирам
conjuring	зашеметување
conk	conk
connect	поврзи се
connected	поврзани
connection	врска
connective	сврзувачки
connoisseur	познавач
conquer	освои
conquering	освојување
conqueror	освојувач
conquest	освојување
conscience	совеста
conscientious	совесна
conscious	свесен
consciousness	свест
conscription	регрутација
consecrated	осветена
consecration	осветување
consecutive	последователно
consensual	консензуален
consensus	консензус
consent	согласност
consenting	согласување
consequence	последица
consequent	последица
conservation	конзервација
conservatism	конзерватизам
conservative	конзервативен
conservatory	конзерваториум
conserve	зачувување
consider	да се разгледа
considerable	значителен
considerate	внимателен
consideration	разгледување
consignee	примач
consignment	пратка
consist	се состои
consistency	конзистентност
consistent	доследен
consolation	утеха
console	конзола
consoled	утеши
consolidate	консолидираат
consolidated	консолидирана
consolidation	консолидација
consonant	согласка
consort	соработник
conspicuous	упадливи
conspiracy	заговор
conspirator	конспиратор
conspire	конспирирам
constable	констебл
constancy	постојаност
constant	постојана
constantly	постојано
constellation	соѕвездие
consternation	вчудоневиденост
constipation	запек
constituency	изборна единица
constituent	составен
constituents	составни делови
constitute	претставуваат
constitution	устав
constitutional	уставно
constitutionality	уставност
constrain	ограничи
constrained	ограничени
constraint	ограничување
construct	конструирај
construction	градба
constructive	конструктивна
construe	толкувам
consul	конзул
consulate	конзулат
consult	консултирајте се
consultant	консултант
consultation	консултација
consume	консумираат
consumer	потрошувач
consuming	конзумирање
consummate	севкупно
consummation	конзумирање
consumption	потрошувачка
contact	контакт
contagion	зараза
contagious	заразно
contain	содржи
container	контејнер
containment	задржување
contaminate	загадуваат
contaminated	контаминирани
contamination	контаминација
contemplate	размисли
contemplation	контемплација
contemplative	контемплативен
contemporaneous	истовремени
contemporary	современ
contempt	презир
contemptible	презир
contemptuous	презир
contend	тврдат
contender	кандидат
contending	тврдејќи
content	содржина
contented	задоволен
contention	спор
contentious	спорно
contentment	задоволство
contents	содржина
contest	натпревар
contestant	натпреварувач
context	контекст
contiguous	соседни
continence	континент
continent	континент
continental	континентална
contingency	непредвидени околности
contingent	контингент
continual	континуирано
continually	постојано
continuance	продолжување
continuation	продолжување
continue	продолжи
continued	продолжи
continuing	продолжува
continuity	континуитет
continuous	континуирано
continuously	континуирано
continuum	континуум
contour	контура
contraband	шверц
contraception	контрацепција
contract	договор
contracted	договор
contractile	контрактилен
contracting	договорни
contraction	контракција
contractor	изведувач
contradict	контрадикторни
contradiction	контрадикција
contradictory	контрадикторни
contraption	припадност
contrary	напротив
contrast	контраст
contrasted	контрастен
contravene	во спротивност
contravention	контраверзија
contribute	придонесе
contribution	придонес
contributor	соработник
contrite	скршени
contrition	каење
contrived	измислен
control	контрола
controller	управувач
controlling	контролирање
controversial	контроверзен
controversy	контроверзии
contusion	контузија
conundrum	загатка
convalescent	реконвалесцент
convection	конвекција
convene	свика
convenience	погодност
conveniences	удобства
convenient	Погодно
convent	манастир
convention	конвенција
conventional	конвенционален
converge	конвергираат
convergence	конвергенција
convergent	конвергентна
conversant	познавач
conversation	разговор
conversational	разговорно
conversationalist	разговорничка
converse	обратна
conversing	разговара
conversion	конверзија
convert	конвертира
converted	конвертира
convertible	кабриолет
convex	конвексен
convexity	конвективност
convey	пренесе
conveyance	пренесување
conveyancing	пренесување
convict	осуденик
conviction	убедување
convince	убеди
convinced	убеден
convincing	убедливо
convocation	свикување
convoluted	згрчена
convolution	конволуција
convoy	конвој
coo	коо
cook	готви
cookbook	готвач
cooker	шпорет
cookery	готвење
cookie	колаче
cookies	колачиња
cooking	готвење
cookout	cookout
cool	кул
coolant	течност за ладење
cooler	кулер
cooling	ладење
coolness	свежина
coon	кун
coop	coop
cooperate	соработува
cooperating	соработка
cooperation	соработка
cooperative	соработка
coordinate	координира
coordination	координација
coordinator	координатор
cop	полицаец
copacetic	NO TRANSLATION
cope	се справат
copier	копир
copilot	copilot
coping	справување
copious	обилно
copper	бакар
copter	copter
copy	копирај
copycat	копирај
copying	копирање
copyright	авторски права
coral	корал
coral snake	корална змија
cord	кабел
cordial	срдечна
cordless	безжични
cordon	кордон
corduroy	совршено
core	core
cork	плута
corkscrew	спирален
corn	пченка
cornball	корнбол
cornbread	пченка
cornea	корнеа
corned	сокриен
corner	агол
cornerstone	камен-темелник
cornet	корнет
cornfield	пченкарно поле
cornflakes	NO TRANSLATION
cornice	корниз
cornstarch	пченкарен скроб
corny	старомоден
corollary	последица
corona	корона
coronary	коронарна
coronation	крунисување
coroner	коронер
corporal	телесна
corporate	корпорации
corporation	корпорација
corporeal	телесен
corps	кор
corpse	труп
corpsman	корпсан
corpus	корпус
corral	корал
correct	точно
correction	корекција
correctional	поправни
corrective	корективни
correctness	точноста
correlation	корелација
correlative	корелатив
correspond	кореспондираат
correspondence	преписка
correspondent	дописник
corresponding	одговара
corridor	коридор
corroborate	потврди
corroboration	потврда
corrosion	корозија
corrosive	корозивни
corrupt	корумпиран
corrupting	корумпиран
corruption	корупција
corsage	корсажа
corse	NO TRANSLATION
corset	корсет
cortex	кортекс
cortical	кортикален
cortisone	кортизон
corvette	корвета
cosmetic	козметички
cosmetics	козметика
cosmic	космички
cosmology	космологија
cosmopolitan	космополитски
cosmos	космос
cost	цена
costly	скапи
costume	костим
cosy	пријатен
cot	количка
cote	Брегот
cottage	куќа
cotton	памук
couch	каучот
cougar	пума
cough	кашлица
council	совет
councilman	советник
counsel	советник
counseling	советување
counsellor	советник
counselor	советник
count	брои
countdown	одбројувањето
countenance	лице
counter	контра
counteract	се спротивстави
counterattack	контра напад
counterbalance	противтежа
counterclaim	противтужба
