Word	sd
cheered	خوش ٿيو
cheerful	خوش مزاج
cheerfulness	خوش مزاج
cheering	جان
cheerleader	چيريليٽر
cheerleading	خوش مزاج
cheerless	بيقرار
cheers	خوش رهو
cheery	خوشبو
cheese	پنيس
cheeseburger	چيزبرگر
cheesecake	چيزيڪڪ
cheesy	شيرين
cheetah	چيٽ
chef	کير
chemical	ڪيميائي
chemise	NO TRANSLATION
chemist	معزز
chemistry	ڪيمسٽريٽ
chemo	ٻيٽ
chemotherapy	جيمياٿراپي
cheque	چيڪ
cherish	بچي ويو
cherishing	ويندڙ
cherry	چيري
cherub	چيڀرو
chess	شطرنج
chest	سينيٽ
chestnut	ڪنگيل
chevron	شيورول
chew	چٽيو
chewy	تيار
chic	وڌو
chicane	ڄاڻي ٿو
chick	ڇوڪري
chicken	ڪڪڙ
chicken pox	لاکڙي جي بيماري
chickenpox	لاکڙي جي بيماري
chief	سربراهه
chiefly	اھو
chieftain	چمڪندڙ
chiffon	سيف
child	ٻار
childbirth	پيدائش
childhood	ننڍپڻ
childish	ٻارڙي
childless	ننڍڙو
childlike	ٻار وانگر
childloss	NO TRANSLATION
children	ٻار
chili	مرچ
chill	چپ
chilled	سڪل
chilling	وڌائڻ
chilly	مزيدار
chime	چيم
chimera	ڪريم
chimes	ٽائم
chimney	چمني
chimp	چيچ
chimpanzee	چمپن جو
chin	چٽ
china	چاهن
chinchilla	chinchilla
chine	NO TRANSLATION
chinook	چوڪ
chip	چپ
chipmunk	چپڙي
chipper	چپپر
chipping	ڇڪڻ
chiropractor	ڪترائيٽر
chirp	شير
chirping	ڇڪ
chisel	ننڍا
chiseler	ٽيسٽ
chit	چپ
chitchat	ڳالھ ٻولھ
chivalry	شديد
chloride	کلورائڊ
chlorine	کلورين
chloroform	کلوروفارم
chocolate	چاڪليٽ
choice	پسند
choir	ڪوئر
choke	دٻائڻ
cholera	کلورا
cholesterol	ڪيليٽرول
choose	چونڊيو
choosing	چونڊيو
choosy	چونڊيل
chop	چوپ
chopper	ويندڙ
choppers	فولڊر
chopping	روڪ
chops	چپس
choral	گهڻا
chord	وڏا
chords	شارٽ
chore	ماڻهو
choreographer	ماهر
choreography	نوڪريون
chorus	هارس
chosen	منتخب ٿيل
chow	Chow
chowder	چمڪندڙ
christ	مسيح
christen	NO TRANSLATION
christening	ڏڪڻ
christian	مسيحي
christmas	ڪرسمس
christmasbreak	NO TRANSLATION
christmaseve	NO TRANSLATION
christmasspirit	NO TRANSLATION
christmassy	ڪرسمس
christmastime	پيشي
chromatic	ڪروميٽ
chromatography	ڪرراٽوگراف
chrome	ڪروم
chromium	ڪروميم
chromosome	ڪروموزوم
chronic	ذلت
chronicle	مذڪر
chronograph	ڪرنگراف
chronological	تاريخاڻي
chubby	ڪوبہ
chuck	شاه
chuckle	چڪ
chug	چپ
chum	chum
chummy	چيما
chump	ڪڙم
chunk	ڪانٽو
chunky	ڪانء
church	چرچ
churchyard	گرجا گھر جي
churn	ٻرندڙ
chute	ڦٽي
chutney	چٽني
ciao	سينگار
cider	ڪائيٽر
cigar	سگري
cigarette	سگريٽ
cilantro	سريلانٽ
cinch	Cinch
cinder	وندر
cinema	سنيما
cinematic	سينما
cinematographer	سينما گرافر
cinematography	سينما جيون
cinnamon	گانڌي
cipher	هارپر
circle	دائرو
circling	سائيڪل
circuit	سرڪٽ
circuitry	سرڪشي
circular	سرڪشي
circulate	گردش
circulation	گردش
circulatory	گردش
circumcision	غلطي
circumference	فضا
circumferential	معتبر
circumscribed	ڳچيل
circumstance	حالتون
circumstances	حالتون
circumstantial	حالتون
circumvent	تڪرار ڪيو
circumvention	ڏنڊ
circus	سرڪس
cirque	سرڪشي
cirrhosis	سروروس
cirrus	cirrus
cistern	ڪيٽي
citadel	قلعو
citation	صفائي
cite	ڪشتي
citizen	شهري
citizenship	شهرت
citrine	سري لنڊن
citrus	ٻرندڙ
city	شهر
citywide	شهر آباد
civic	عام
civics	ماڻهو
civil	ديوان
civilian	سولين
civilians	ٻارڙا
civility	ميلاپ
civilization	تهذيب
civilized	تهذيب
clad	ڪل
claim	دعوى
claimant	دعوى
clairvoyant	مٽي
clam	ڪل
clambake	ڪلبيڪ
clammy	کلمي
clamor	ڪلامر
clamp	ڇڙو
clan	مٽيء جو
clandestine	گندو آهي
clang	ڪلنگ
clap	ڪلپ
clapper	ڪلپيٽ
clapping	نقشه
clarification	وضاحت
clarify	وضاحت ڪرڻ
clarinet	ڪپڙو
clarion	صفا
clarity	وضاحت
clash	شڪار
clashing	ويڙهه
clasp	چوڪ
class	ڪلاس
classic	ڪلاس
classic rock	ڪشتي پٿر
classical	ڪلاس
classics	ڪلاس
classification	درجه بندي
classified	درجه بندي
classify	درجه بندي
classmate	ڪلاس
classroom	ڪلاس روم
classy	ڪلاس
clatter	ٽٽل
clause	شق
clauses	شقون
claustrophobia	ڪلواٽروبوبيا
claustrophobic	ڪلواٽروبوبڪ
clavicle	ٽڪر
claw	پنڌ
claws	پنڌ
clay	مٽيء جو
clean	صاف ڪيو
cleaner	صاف
cleaning	صفائي
cleanliness	صفائي
cleanly	صاف صاف
cleanse	صاف ڪيو
cleanser	صاف ڪرڻ وارو
cleansing	صاف ڪرڻ
cleanup	صاف ڪريو
clear	صاف ڪيو
clearance	صاف
clearing	صاف ڪرڻ
clearness	صفائي
cleat	تڪڙو
cleavage	ٿڪيل
cleave	ڦاٽيو
cleaver	NO TRANSLATION
clef	ٿڪ
cleft	ڦاٽيو
clemency	تڪليف
clench	ڄڀي
clergy	پادري
clergyman	پادري
cleric	ڪلرڪ
clerical	ڪليلڪ
clerk	کلچر
clerkship	ڪليڪٽر
clever	تڪڙو
cleverness	چٽيو
click	ڪلڪ ڪريو
clicker	ڪلڪ ڪندڙ
client	استعمال ڪندڙ
clientele	مبلغ
cliff	ٽڪر
climate	آبهوا
climatology	ڪلپاڻي
climax	ڪليمڪس
climb	چڙهڻ
climber	ڪلھبر
clinch	کلچر
cling	ويندڙ
clingy	ماڙ
clinic	ڪلينڪ
clinical	ڪلينڪ
clink	کلڻ
clip	clip
clipboard	ڪلپ بورڊ
clipper	ڪلپر
clipping	ڇڪڻ
clique	NO TRANSLATION
clitoris	ڪلائيٽ
cloak	سليڪ
cloaking	کائڻ
cloakroom	ڪمرو
clobber	ڪلو
clock	گھڙي
clockwork	گھڙي ڪم
clod	ڪل
clog	وصف
cloister	ٻيلو
clone	ڪلون
cloning	کلون
close	بند ڪريو
closed	بند ڪيو
closeness	جلدي
closet	قريب
closure	بندش
clot	ڪلٽ
cloth	ڪپڙو
clothe	لباس
clothes	ڪپڙا
clothesline	ڪپڙي جو دڪان
clothing	ڪپڙا
cloud	ڪڪر
clouded	بادل
cloudiness	بادل
clouds	ڪڪر
cloudy	اڀرندي
clout	ڪالڪ
clove	ڪلو
clover	سليڪ
cloves	ڪپڙا
clown	جوڙو
clowns	شاديون
club	ڪلب
clubhouse	ڪلب جو گھر
clubs	ڪلبون
cluck	پتا
clue	ڄڀي
clueless	بيوقوف
clump	پمپ
clumsy	گهريلو
clunk	ٽڪڙو
cluster	ڪلچر
clutch	کلچ
clutches	ڪچري
clutter	وڏيٽر
coach	ڪوچ
coachman	گڏوگڏ
coagulation	ڪوڙا
coal	ڪوئلي
coalesce	ڪوئلي
coalition	اتحاد
coarse	ننڍا
coast	سامونڊي
coastal	سامونڊي
coaster	کوٽ
coastline	سامونڊي ڪناري
coat	ڪوٽ
coating	ڪوٽنگ
coax	ڪيڪ
cobalt	کوبال
cobble	ڪتب
cobbler	ڪوبر
cobra	ڪئوبرا
cocaine	کوڪن
cock	مرضي
cockamamie	ڪاکمامامي
cockeyed	ڪڪين
cockpit	ڪيڪپيٽ
cockroach	ڪڪڙڙي
cocksucker	ڪڪڙيندڙ
cocktail	ڪيميائي
cocky	ڪاکي
cocoa	ڪوڪو
coconut	ناريل
cocoon	ڪوڪون
cod	ڪوڊ
code	ڪوڊ
codeine	ڪوڊين جو
codex	ڪوڊڪس
codfish	ڪوڊفش
codification	codification
codify	معياري بڻجندي
coding	ڪوڊنگ
coed	ملندڙ
coefficient	گهڻائي
coerce	ڪوڙا
coercion	ورزش
coercive	قابليت
coexist	مڪاني
coexistence	استقبال
coexisting	همٿ
coffee	ڪافي
coffee table	ڪافي ٽيبل
coffeehouse	ڪوفي
coffeepot	ڪوفيٽٽ
coffin	ڪوڙا
cog	ڪريم
cogent	سمورو
cognac	سنجڪ
cognate	سمجهه
cognition	معرفت
cognitive	سنجڪ
cohabitation	جوش
coherence	جهل
coherent	جهڙا
cohesion	جوزف
cohesive	هڪڙو
cohort	کاڌو
coil	ڪوڙا
coiled	گڏ ڪيل
coin	سنگ ميل
coinage	اشارو
coincide	ٺوڪيو
coincidence	اتفاق
coincident	اتفاق
coincidental	اتفاق
coinciding	ٺهيو
coke	ڪري ڇڏيو
cola	ڪاليج
cold	ڀڌ
coldly	ٿڌو
coldness	ٿڌو
coldsweat	NO TRANSLATION
coleslaw	ڪلاسس
colic	وڳوڙ
coliseum	ڪليسيم
collaborate	تعاون ڪيو
collaboration	تعاون
collaborator	مددگار
collage	ڪليج
collagen	ڪوليگن
collapse	بند ڪرڻ
collar	ڪڪر
collarbone	ڪڪرون
collate	ٽڪيٽ
collateral	لاڳاپا
collation	ڪاليج
colleague	همٿ
collect	گڏ ڪيو
collected	گڏ ڪيو
collection	گڏ ڪرڻ
collective	اجتماعي
collectively	مجموعي طور تي
collector	کلیکٹر
college	ڪاليج
collegiate	ڪاليج
collide	ڪٽيو
collie	ٽولي
collision	ڪٽڪ
collocation	ڪچهري
colloquial	ڳالھ ٻولھ
collusion	ٺهيل
cologne	کولڊو
colon	نوآبادي
colonel	نوڪريون
colonial	نوآبادياتي
colonic	نوآبادياتي
colonoscopy	نوآباديڪوپي
colony	ڪالوني
colophon	فولفو
color	رنگ
coloration	رنگ
colored	رنگين
colorful	رنگين
coloring	رنگ
colorless	پنگو
colors	رنگن
colossal	زبردست
colt	ڪالٽ
columbine	ڪولبيني
column	ڪالمن
columnar	ڪڪر
columnist	شاڪر
com	NO TRANSLATION
coma	ڪوٽا
comatose	ڪامريڊ
comb	گڏيل
combat	وڙهڻ
combatant	جنگجو
combative	گڏجاڻي
combination	ميلاپ
combinatorial	باضابطه
combine	گڏوگڏ
combined	گڏيل
combo	ڪامبو
combustible	ٻڏل
combustion	گڙٻي
come	اچ
comeback	واپس اچو
comedian	ڪامريڊ
comedy	مزاحيه
comet	ڪامريڊ
comfort	آرام
comfortable	آرام سان
comforter	گهرو
comforting	آرام سان
comfy	ڪامريڊ
comic	مزاحيه
comical	نظرياتي
comics	مزاحيه
coming	اچي رهيو آهي
comma	راڻو
command	حڪم
commandant	ڪمانڊر
commandeer	ڪمانڊر
commander	ڪمانڊر
commanding	حڪم
commandment	حڪم
commando	ڪمانڊو
commemorate	يادگار
commemoration	يادگار
commemorative	يادگار
commence	شروع ٿيو
commend	انجام ڏنو
commendable	قابل اعتماد آهي
commendation	تجويز
commensurate	ڪمزور
comment	راء ڏيو
commentary	تبصرو
commentator	تبصرو
commerce	ڪامرس
commercial	تجارتي
commie	ڪميونٽي
commissary	ڪمزور
commission	ڪميشن
commissioner	ڪمشنر
commit	انجام ڏيو
commitment	واعدو
committal	ڪميٽي
committed	ڪيل آهي
committee	ڪميٽي
commodity	ڪمائي
commodore	ڪمراڊور
common	عام
commoner	عام
commonly	عام طور تي
commonplace	عام طور تي
commons	ڪميونٽي
commonwealth	عام طور تي
commotion	شروعات
communal	ڪميونٽي
commune	ڪرڻو آهي
communicable	مباحثا
communicate	ڳالھائڻ
communication	رابطا
communicative	رابطو
communicator	رابطو ڪندڙ
communion	ڪميونٽي
communism	ڪميونزم
communist	ڪميونسٽ
community	ڪميونٽي
commutation	شهرت
commutative	ڪميٽي
commute	ڪري ڇڏيو
commuter	مسافر
comp	comp
compact	ترتيب ڏيڻ
compaction	سمجھو
compactness	مطابقت
companion	ساٿي
companionless	سنگت هجي
companionship	صحبت
company	ڪمپني
comparable	نسبتا
comparative	نسخي
comparatively	عام طور تي
compare	سمجهان ٿو
comparison	مقابلو
compartment	ٺٽو
compass	گهرو
compassion	رحم ڪريو
compassionate	رحم ڪندڙ
compatibility	مطابقت
compatible	مناسب
compel	تيار ڪيو
compelled	مجبور ڪيو
compelling	زبردست
compendium	مرڪزي
compensate	معاوضي
compensation	معاوضو
compensatory	معاوضي
compete	مقابلو
competence	صلاحيت
competency	صلاحيت
competent	مستحق
competition	هجن
competitive	مقابلو
competitor	مصلحت
compilation	تاليف
compile	سمجهيو
complacency	شڪايت
complacent	شڪايت
complain	شڪايت
complaint	شڪايت
complement	پورو
complementary	پورو
complete	مڪمل
completed	مڪمل
completely	مڪمل طور تي
completeness	سموريون
completing	مڪمل ڪرڻ
completion	مڪمل
complex	پيچيده
complexed	پيچيده
complexion	رنگ
complexity	پيچيدگي
compliance	فرمانبرداري
compliant	تعميل
complicate	مشڪل
complicated	پيچيده
complication	مشڪل
complicity	پيچيده
compliment	NO TRANSLATION
complimentary	فرمانبرداري
comply	مثل آهي
complying	تعميل
compo	جامع
component	ساٿي
compose	ٺاهيو
composed	ٺهيل آهي
composer	موسيقار
composite	جامع
composition	جوڙجڪ
compost	سمجھو
composure	ٺهيل
compound	مرڪب
comprehend	سمجھڻ
comprehension	فڪر
comprehensive	جامع
compress	دٻايو
compressed	مچائي
compressible	سمجھو
compression	سمجهه
compressor	کمپريسر
comprise	هيٺ ڏنل آهي
compromise	سمجھو
comptroller	مرڪائيندڙ
compulsion	لازمي
compulsive	لازمي
compulsory	لازمي
computable	مجبوري
computation	شهرت
compute	ڪريٽو
computer	ڪمپيوٽر
computerized	ڳڻپيوڪر ٿيو
computing	دستاويز
comrade	ڪامريڊ
con	NO TRANSLATION
concatenation	سازش
concave	سمجهه
conceal	پڪاريو
concealed	لڪايو
concealment	ڪوبہ
concede	سمجهيو ويو
conceit	ڳاڙهو
conceited	ڳجهو
conceivable	ڳاڙهو
conceive	تصور ڪيو
concentrate	وڌو
concentration	تڪرار
concentric	گهرايو
concept	تصور
conception	تصور
concern	ڳڻتي
concerned	لاڳاپو
concert	ڪنسرٽ
concerto	سمورو
concession	شفاعت
concessional	رضامندي
conch	conch
concierge	ڪانگريس
conciliation	رضامندي
concise	سمجهه
conclave	گڏوگڏ
conclude	ختم ڪيو
concluding	اختتام
conclusion	نتيجو
conclusive	ٺهراء
concoction	ٺهرايل
concomitant	جيترو آهي
concord	سمورو
concordance	سمورو
concours	NO TRANSLATION
concourse	گڏجاڻي
concrete	ڪنڪريڪ
concubine	سمورو
concur	سمورو
concurrence	سمورو
concurrent	سمورو
concurring	سمورو
concussion	ڪانفرنس
condemn	مذمت ڪري ٿو
condemnation	مذمت
condensation	حساسيت
condensed	سانڍيل آهي
condescending	تعزيت
condescension	تعزيت
condiment	سازش
condition	حالت
conditional	مشروط
conditionally	حقيقت ۾
conditioned	مشروط
conditioner	حالتر
conditioning	ڪنڊيشن
conditions	حالتون
condo	پيش ڪيو
condolence	تعزيت
condolences	تعزيت
condom	ڪوموم
condone	ڪنوار
condor	condor
conducive	سازگار
conduct	طريقا
conduction	وڇڻ
conductivity	ڪارڪردگي
conductor	ڪوڊيندڙ
conduit	ڪنڊول
cone	ڪانء جو
confederacy	گڏيل طور تي
confederate	گڏيل طور تي
confederation	ڪانفرنس
confer	سمجهو
conference	ڪانفرنس
confess	قبول ڪر
confession	اقرار
confessional	اتفاق سان
confessions	اقرار
confetti	ڪيٽٽا
confidant	باطل
confide	پريشان ٿيو
confidence	اعتماد
confident	يقين رکو
confidential	خفيه
confidentiality	رازداري
confidentially	NO TRANSLATION
configuration	تشڪيل
confine	محدود ڪيو
confined	محدود ناهي
confinement	تڪرار
confines	محدود ڪندو آهي
confirm	تصديق ڪريو
confirmation	تصديق
confirmatory	تصديق ڪندڙ
confirmed	تصديق ٿيل
confiscate	قبضو ڪيو
confiscation	قبضي ۾
conflagration	تضاد
conflict	تڪرار
conflicting	تڪرار
confluence	سنگم
conform	ڪنٽرول
conformance	مطابقت
conformation	NO TRANSLATION
conformity	مطابقت
confound	گرايو
confounded	ڦڙجي ويو
confront	منهن ڏيڻ
confrontation	هٿ
confuse	سمجھو
confused	پريشان
confusing	جهڳڙو ڪرڻ
confusion	مونجهارو
conga	ڪانگ
congenial	پريشان آهي
congenital	ڄاڻي واڻي
congestion	جلوس
conglomerate	ڪانگريس
conglomeration	ڪانگريس
congrats	مبارڪون هجن
congratulate	مبارڪباد
congratulation	مبارڪ
congratulations	مبارڪون هجن
congratulatory	مبارڪباد
congregate	گڏ ڪيو ويندو
congregation	جماعت
congress	ڪانگريس
congressional	ڪانگريس
congressman	ڪانگريس
congruence	گڏجاڻي
conic	خوشخبري
conical	نظرياتي
conjecture	گمان
conjugal	لازمي آهي
conjugate	ڪانگريس
conjugation	ٺهراء
conjunction	گڏجاڻي
conjunctive	لازمي آهي
conjure	سمجهي ٿو
conjuring	ٻڌائڻ
conk	کنڪ
connect	ڳنڍڻ
connected	ڳنڍيل
connection	ڪنيڪشن
connective	ملندڙ
connoisseur	ناهن
conquer	فتح ڪيو
conquering	فتح
conqueror	فاتح
conquest	فتح
conscience	ضمير
conscientious	بااثر
conscious	شعور
consciousness	شعور
conscription	رسيد
consecrated	اجازت ڏنل آهي
consecration	رعايت
consecutive	مسلسل
consensual	غير معمولي
consensus	اتفاق ڪيو
consent	رضامندي
consenting	رضامندي
consequence	نتيجو
consequent	نتيجو
conservation	تحفظ
conservatism	محافظت
conservative	محافظ
conservatory	محافظ
conserve	محفوظ آهي
consider	غور ڪيو
considerable	قابل ذڪر
considerate	غور سان
consideration	غور ڪيو
consignee	تقسيم ڪندڙ
consignment	دستخط
consist	مشتمل آهي
consistency	استحڪام
consistent	جهڙي ٿي وئي
consolation	سازش
console	ڪنسول
consoled	ٿي سگهي ٿو
consolidate	مضبوط ڪيو
consolidated	استقبال ڪيو ويو
consolidation	استحڪام
consonant	رضامندي
consort	صلاحڪار
conspicuous	تمام سٺو
conspiracy	سازش
conspirator	سازش
conspire	صلاح ڏيو
constable	جامد
constancy	تڪليف
constant	مسلسل
constantly	مسلسل
constellation	نيل
consternation	رعايت
constipation	تڪليف
constituency	تڪ
constituent	تڪليف
constituents	تڪڙا
constitute	ٺهيل آهي
constitution	آئين
constitutional	آئيني
constitutionality	آئين
constrain	تڪرار
constrained	محدود آهي
constraint	ٺهيل آهي
construct	تعمير ڪيو
construction	تعمير
constructive	تعميري
construe	وڌائڻ
consul	قونتون
consulate	قونصل
consult	صلاحڪار
consultant	صلاحڪار
consultation	صلاحون
consume	کائڻ
consumer	صارف
consuming	سازش
consummate	سازش
consummation	سازش
consumption	واھپو
contact	رابطو ڪريو
contagion	سانحو
contagious	متضاد آهي
contain	تي مشتمل آهي
container	ڪتب
containment	گھربل
contaminate	معيشت
contaminated	زهر
contamination	زهر
contemplate	ويچارو
contemplation	ويچارو
contemplative	ويچارو
contemporaneous	معاشي طور تي
contemporary	همعصر
contempt	رعايت
contemptible	سمجھو
contemptuous	بي عزتي
contend	جھڳڙو
contender	ضمير
contending	مقابلي ۾
content	مواد
contented	مشهوري
contention	سڪون
contentious	مجازي
contentment	سڪون
contents	مواد
contest	مقابلو
contestant	مقابلو ڪندڙ
context	حوالي سان
contiguous	لازمي
continence	تسلسل
continent	اڀرندي
continental	اڀرندي
contingency	جامد
contingent	مقابلي ۾
continual	مسلسل
continually	مسلسل
continuance	تسلسل
continuation	تسلسل
continue	جاري رکو
continued	جاري رهي
continuing	اڳتي وڌو
continuity	تسلسل
continuous	لڳاتار
continuously	لاڳيتو
continuum	تسلسل
contour	سمورو
contraband	تڪرار
contraception	منهن ڏيڻ
contract	معاهدو
contracted	تجويز ڪيل
contractile	معتبر
contracting	ٺيڪيدار
contraction	جهڳڙو
contractor	ٺيڪيدار
contradict	متضاد آهي
contradiction	تضاد
contradictory	متضاد آهي
contraption	منهن ڏيڻ
contrary	انهي سان
contrast	ان جي ابتڙ
contrasted	ان جي ابتڙ
contravene	منهنجا
contravention	تضاد
contribute	تعاون
contribution	مددگار
contributor	مددگار
contrite	جهڳڙو
contrition	تضاد
contrived	جهڳڙو ٿيو
control	ڪنٽرول
controller	ڪنٽرولر
controlling	سنڀالڻ
controversial	جهڳڙو
controversy	تڪرار
contusion	ٺهيل
conundrum	ڪنڊول
convalescent	قابليت
convection	سينٽر
convene	convene
convenience	سهولت
conveniences	صلاحيتون
convenient	آسان
convent	کائڻ
convention	ڪانفرنس
conventional	روايتي
converge	جيترا
convergence	مونجهاري
convergent	مونجهاري
conversant	ڪچهري
conversation	گفتگو
conversational	ڪچهري
conversationalist	ڪچهري
converse	ڪچهري
conversing	ڳالهائيندي
conversion	مٽائي
convert	بدلائي
converted	بدلجي ويو
convertible	بدلجڻ
convex	تمام سٺو
convexity	وحدت
convey	پھچائڻ
conveyance	پيغام
conveyancing	پهچائڻ
convict	سمجهان ٿو
conviction	سزا
convince	سمجهايو
convinced	سمجهان ٿو
convincing	سمجهڻ
convocation	قاعدو
convoluted	جهڙي ٿي وئي
convolution	قاعدو
convoy	قافلو
coo	coo
cook	کائڻ
cookbook	ڪوڪي ڪتاب
cooker	کڪيندڙ
cookery	کاڌا
cookie	ڪوڪي
cookies	ڪوڪيز
cooking	کاڌا
cookout	کاڌو
cool	عمده
coolant	ٿڌو
cooler	ٿڌو
cooling	ٿڌو
coolness	ٿڌو
coon	ڪوڙي
coop	چوپ
cooperate	تعاون
cooperating	تعاون
cooperation	تعاون
cooperative	تعاون
coordinate	همٿ
coordination	تعاون
coordinator	همٿ
cop	ڪاپي
copacetic	NO TRANSLATION
cope	منهن ڏيڻ
copier	ڪيپيئر
copilot	ڪيپيلوٽ
coping	ڪاپي
copious	معتبر
copper	مسو
copter	ڪاٽر
copy	ڪاپي
copycat	ڪاپيڪٽ
copying	ڪاپي
copyright	ڪاپي رائيٽ
coral	مرجان
coral snake	مرجان سانپ
cord	ڪنڊ
cordial	درٻار
cordless	بيشمار
cordon	ڪفن
corduroy	ڪورووريو
core	بنيادي
cork	کاڪ
corkscrew	سائڪريچرو
corn	مڇي
cornball	ڪنڊو بال
cornbread	ڪڻڪ
cornea	ڪينيسي
corned	ڪٽي
corner	ڪنڊ
cornerstone	ڪشادو
cornet	ڪنيٽ
cornfield	مکيه ميدان
cornflakes	NO TRANSLATION
cornice	کائڻ
cornstarch	کٽسٽ
corny	ڪنوار
corollary	مرضي
corona	ڪورونا
coronary	ڪنسواري
coronation	ڪنونشن
coroner	ڪورونر
corporal	ڪاروباري
corporate	ڪاروبار
corporation	ڪاروباري
corporeal	ڪورپيئر
corps	ڪور
corpse	ڪور
corpsman	ڪورپس
corpus	ڪورپس
corral	مرجان
correct	صحيح
correction	اصلاح
correctional	اصلاحاتي
corrective	صحيح
correctness	سمجهه
correlation	باضابطه
correlative	باضابطه
correspond	ساڳيو
correspondence	خطا
correspondent	نمائندو
corresponding	ملندڙ
corridor	گليڊور
corroborate	اطمينان
corroboration	بگڙيل
corrosion	سنسڪرت
corrosive	سنسڪرت
corrupt	بدڪار
corrupting	خراب ٿيڻ
corruption	ڪرپشن
corsage	ڪوريج
corse	NO TRANSLATION
corset	مرض
cortex	انتھائي
cortical	جزياتي
cortisone	سمورو
corvette	ڪوريوٽ
cosmetic	کاسمينڪ
cosmetics	کاسمیٹڪ
cosmic	ڪشادو
cosmology	cosmology
cosmopolitan	جمالياتيات
cosmos	برما
cost	خرچ
costly	مهانگي
costume	لباس
cosy	آرام سان
cot	cot
cote	ڪري ڇڏيو
cottage	کاڌو
cotton	ڪپهه
couch	سوڌو
cougar	کوٽ
cough	کائڻ
council	ڪائونسل
councilman	ڪائونسل
counsel	صلاح
counseling	صلاحڪار
counsellor	صلاحڪار
counselor	صلاحڪار
count	ڳڻپ
countdown	ڳاڻيٽوڊ
countenance	ڳڻپيوڪر
counter	مقابلو
counteract	مقابلو
counterattack	جوابي حملو
counterbalance	گهڻائي
counterclaim	سمجهيو
counterfeit	جعلي
counterpart	منصوبه بندي
counterpoint	نقطي پوائنٽ
countess	ڳڻپيوڪر
countless	بيشمار
country	ملڪ
countryman	ملڪاڻي
countrymusic	NO TRANSLATION
countryside	ڳوٺاڻن
counts	ڳڻپيوڪر
county	ملڪ
coup	ٽڪرا
coupe	ڪنپ
couple	جوڙو
coupled	ٿيڻو
coupling	ڀيڻ
coupon	ڪوپن
courage	جرئت
courageous	باهمي
courier	رڌل
courses	ڪورس
coursing	ٻڌائڻ
court	عدالت
courteous	مجلس
courtesy	درٻار
courthouse	جوش
courtroom	ڪورٽ جو ميدان
courts	عدالتون
courtship	عدالتن جي
courtside	عدالتون
courtyard	آھستي
cousin	سوٽ
cousins	کزن
cove	ڦاٽ
coven	ناڻو
covenant	عهد
cover	ڪپڙا
coverage	ڪوريج
covered	ڍڪيل
covering	ڍڪيل
covert	پٺير
covet	ڪوريٽ
coveted	جهڙي طرح
cow	ڳئون
coward	گهرن
cowardice	گهرو
cowardly	ڳئون
cowboy	چريو
cowgirl	ڳاڙهو
cowhand	ڳئون
cowhide	ڳئون
cowl	ڳاڙهو
coworker	همراهه
coy	کايو
coyote	coyote
cozy	آرام سان
crab	ڪابينا
crabby	ڪابينا
crack	ڀڃي
cracked	ڀريل
cracker	ڀڄڻ
crackerjack	ٽٽلر
cracking	ڀڃڻ
crackle	ٽڪر
crackpot	ٽوٻر
cradle	ٽڪر
craft	ڀرت
crafts	دستور
craftsman	دستخط
craftsmanship	دستوردارگي
crafty	ڀريل
craig	craig
cram	ڪريم
crammed	ٽڪر
cramp	چڪر
cramped	ويران
cranberry	ڪبانري
cranberry juice	ڪرين بيري جوس
crane	ڪائنات
cranial	هٿراڌو
cranium	سري لنڪا
crank	مستند
cranky	ڪيو ويندو آهي
cranny	ڪرين
crap	ڪفن
crappy	گندو آهي
craps	ڪفن
crash	حادثو
crass	آفتاب
crate	ٽڪر
crater	کاتر
crave	ڍڪيل
craving	ڪري ڇڏيو
crawfish	ڪوريش
crawl	ڪريل
crayon	ڪڀي
crayons	ڪفن
craze	ڇڪڻ
crazed	ڇڪيل
craziness	ڇانو
crazy	چريو
creak	چرڪ
creaking	جڙڻ
cream	ڪريم
creamed	تخليق ڪيو
creamer	ڪريم
creamy	ڪريمي
crease	چرچو
create	ٺاهيو
creation	پيدائش
creative	تخليقي
creativity	تخليقيت
creator	خالق
creature	چرندڙ
credence	اعتبار
credential	صحيح آهي
credentials	اعتبار
credibility	اعتبار
credible	اعتبار سان
credit	ڪريٽو
credit card	ڪريڊٽ ڪارڊ
creditable	اعتبار سان
credited	اعتبار ڏنل آهي
crediting	ڪري رهيو آهي
creditor	اعتبار ڪندڙ
creed	پيدا ٿيو
creek	خالق
creep	چرچ
creeper	خالق
creeping	چرندڙ
creepy	چرچ
cremation	تخليق
creole	چرچ
crepe	چرپ
crescendo	ڪانسيڪورس
crescent	ڪروڙ
crest	ايڏو وڏو
crestfallen	ٽڪر
cretin	چرندڙ
cretins	تخليق
crevice	ٽريڪ
crew	چرچ
crewman	چرچ
crib	پٻريو
cricket	ڪرڪيٽ
cried	روئي ويو
crime	جرم
criminal	ڏوهاري
criminality	ڏوھاري
crimp	کليل
crimson	ريگنون
cringe	ڪنگ
cripple	واهپي
crippled	ٻڏل
crippling	اڻڄاڻ
crisis	بحران
crisp	ڇاپو
crispy	ٽڪر
criterion	معيار
critic	نقاد
critical	نازڪ
criticise	تنقيد
criticism	تنقيد
criticize	تنقيد
criticized	تنقيد
critique	نقاد
critter	نقٽر
croak	ڇڪ
croc	ڪيڏو
crock	ٻٽ
crockery	ٻرندڙ
crocodile	زراعت
croft	ٻوڙا
croissant	ٻرندڙ
crook	ڪٽيو
