Word	th
creator	ผู้สร้าง
creature	สัตว์
credence	เชื่อ
credential	ข้อมูลประจำตัว
credentials	หนังสือรับรอง
credibility	ความน่าเชื่อถือ
credible	น่าเชื่อถือ
credit	เครดิต
credit card	บัตรเครดิต
creditable	น่าเชื่อถือ
credited	เครดิต
crediting	การเลื่อมใส
creditor	เจ้าหนี้
creed	ลัทธิ
creek	ห้วย
creep	เล็ดลอด
creeper	ลดา
creeping	คืบคลาน
creepy	น่าขนลุก
cremation	การเผาศพ
creole	ครีโอล
crepe	แพรย่น
crescendo	เสียงดังขึ้นโดยลำดับ
crescent	เสี้ยว
crest	ยอด
crestfallen	คอตก
cretin	คนโง่
cretins	cretins
crevice	รอยแยก
crew	พวกลูกเรือ
crewman	กะลาสี
crib	เปล
cricket	จิ้งหรีด
cried	ร้องไห้
crime	อาชญากรรม
criminal	อาชญากร
criminality	ความผิดทางอาญา
crimp	จีบ
crimson	แดงเข้ม
cringe	ประจบประแจง
cripple	คนพิการ
crippled	ง่อย
crippling	การทำให้หมดอำนาจ
crisis	วิกฤติ
crisp	กรอบ
crispy	กรอบ
criterion	เกณฑ์
critic	นักวิจารณ์
critical	วิกฤติ
criticise	วิจารณ์
criticism	คำวิจารณ์
criticize	วิจารณ์
criticized	วิพากษ์วิจารณ์
critique	คำติชม
critter	สัตว์
croak	บ่น
croc	จระเข้
crock	หม้อ
crockery	เครื่องถ้วยชาม
crocodile	จระเข้
croft	ที่ดินฝืนเล็ก ๆ
croissant	ครัวซองค์
crook	คด
crooked	หลังค่อม
crop	พืชผล
croquet	กีฬาชนิดหนึ่ง
cross	ข้าม
cross country	ข้ามประเทศ
crossbow	หน้าไม้
crossed	ข้าม
crossfire	ภวังค์
crossing	ที่ข้าม
crossover	ครอสโอเวอร์
crosswalk	ทางม้าลาย
crossword	ปริศนาคำไขว้
crotch	เป้า
crouch	หมอบคลาน
crouched	หมอบ
crouching	หมอบ
croupier	เจ้ามือการพนัน
crow	อีกา
crowbar	ชะแลง
crowd	ฝูงชน
crowded	แออัด
crowds	ฝูงชน
crown	มงกุฎ
crowning	เป็นยอด
crucial	สำคัญมาก
cruciate	ไขว้
crucifix	ไม้กางเขน
crucifixion	การตรึงกางเขน
crucify	นำไปตรึงไว้บนไม้กางเขน
crud	CRUD
crude	หยาบ
cruel	โหดร้าย
cruelly	โหดร้าย
cruelty	ความโหดร้าย
cruise	ล่องเรือ
cruise ship	เรือสำราญ
cruiser	คนแล่นเรือเที่ยว
cruising	ล่องเรือ
crumb	เศษ
crumble	สลาย
crumbling	บี้
crummy	crummy
crunch	กระทืบ
crunchy	กรุบ
crusade	สงครามครูเสด
crusader	ผู้ทำสงครามศาสนา
crush	บด
crushed	บด
crusher	บด
crushing	ย่อยยับ
crust	เปลือก
crusty	ดื้อ
crutch	ไม้ยันรักแร้
crux	ปม
cry	ร้องไห้
crybaby	ร้องไห้ออกมาเถอะที่รัก
crying	กึกก้อง
crypt	ฝังศพใต้ถุนโบสถ์
cryptic	คลุมเครือ
cryptography	การอ่านรหัส
crystal	คริสตัล
crystalline	แจ๋ว
crystallization	การตกผลึก
cub	ทารก
cubby	Cubby
cube	ลูกบาศก์
cubic	คิว
cubicle	กุฏิ
cuckold	สามีซึ่งภรรยามีชู้
cuckoo	นกกาเหว่า
cucumber	แตงกวา
cuddle	กอด
cuddled	cuddled
cuddles	กอด
cuddling	การกอด
cue	คิว
cuff	ข้อมือ
cuisine	อาหาร
culinary	การทำอาหาร
cull	เฟ้นหา
culminate	สุดยอด
culmination	สุดยอด
culpability	กฎหมาย
culpable	ติติง
culprit	ผู้ร้าย
cult	ศาสนา
cultivate	ปลูกฝัง
cultivated	การเพาะปลูก
cultivation	การเพาะปลูก
cultural	ด้านวัฒนธรรม
culture	วัฒนธรรม
cultured	มีวัฒนธรรม
culvert	ท่อระบายน้ำ
cumbersome	ยุ่งยาก
cumulus	คิวมูลัส
cunning	ฉลาดแกมโกง
cunt	หี
cup	ถ้วย
cupboard	ตู้
cupcake	คัพเค้ก
cupping	ป้อง
cur	คนเลว
curable	รักษาได้
curate	พระสอนศาสนา
curative	แก้
curator	ผู้ดูแล
curb	ขอบ
curd	นมเปรี้ยว
cure	รักษา
curfew	เคอร์ฟิว
curiosity	ความอยากรู้
curious	อยากรู้อยากเห็น
curl	ขด
curling	การดัดผม
currency	เงินตรา
current	ปัจจุบัน
curriculum	หลักสูตร
curry	แกง
curse	คำสาป
cursed	ถูกสาป
cursing	การแช่ง
cursory	คร่าวๆ
curt	สั้น ๆ
curtail	กำจัด
curtailment	การลดลง
curtain	ม่าน
curtains	ผ้าม่าน
curtsy	การถวายบังคม
curvature	ความโค้ง
curve	เส้นโค้ง
curved	โค้ง
curvilinear	โค้ง
cushion	รอง
cushy	สุโข
cusp	cusp
cuss	คนโง่
cussed	สบถ
custard	คัสตาร์
custodial	คุมขัง
custodian	ผู้ปกครอง
custody	การดูแล
custom	กำหนดเอง
customary	เป็นกิจวัตร
customer	ลูกค้า
customized	ที่กำหนดเอง
cut	ตัด
cutaneous	เกี่ยวกับผิวหนัง
cute	น่ารัก
cuticle	หนังกำพร้า
cutie	น่ารัก
cutlass	มีดสั้น
cutlery	มีด
cutoff	ตัด
cutter	เครื่องตัด
cutters	เครื่องตัด
cutthroat	ฆาตกร
cutting	ตัด
cutting board	ตัดคณะกรรมการ
cuttings	ตัด
cwt	CWT
cyanide	ไซยาไนด์
cyberspace	โลกเทคโนโลยีสารสนเทศ
cycle	วงจร
cyclical	เป็นวงกลม
cyclist	นักขี่รถจักรยาน
cyclone	พายุหมุน
cylinder	กระบอก
cylindrical	ทรงกระบอก
cymbal	ฉิ่ง
cynic	ถากถาง
cynical	เหยียดหยาม
cynicism	ความเห็นถากถางดูถูก
cyst	ถุง
cystic	เปาะ
cytomegalovirus	cytomegalovirus
cytoplasm	พลาสซึม
czar	พระเจ้าซาร์แห่งรัสเซีย
dab	ตบเบา ๆ
dabble	ทำเล่น ๆ
dabbling	เล่นน้ำ
dad	พ่อ
daddy	พ่อ
dado	NO TRANSLATION
daemon	ภูต
daft	บ้า
dagger	กริช
daily	ประจำวัน
dainty	โอชะ
daiquiri	Daiquiri
dairy	โรงรีดนม
daisy	ดอกเดซี
dak	NO TRANSLATION
dale	หุบเหว
dam	เขื่อน
damage	ความเสียหาย
damaged	ได้รับความเสียหาย
damages	ค่าเสียหาย
dame	แม่บ้าน
damn	ประณาม
damnation	การสาปแช่ง
damned	พิลึก
damp	ชื้น
dampened	ชุบ
damper	สิ่งที่ทำให้ชื้น
damsel	หญิงสาว
dance	เต้นรำ
dancer	นาฏ
dancing	การเต้นรำ
dandruff	รังแค
dandy	สำรวย
danger	อันตราย
dangerous	เป็นอันตราย
dangerously	ฉกรรจ์
dangit	NO TRANSLATION
dangle	ห้อย
dank	NO TRANSLATION
dapper	กระฉับกระเฉง
dare	กล้า
daredevil	บ้าบิ่น
daresay	daresay
daring	ความกล้าหาญ
dark	มืด
darken	มืดมิด
darkened	มืด
darkly	ลึกลับ
darkness	ความมืด
darkroom	ห้องมืด
darkside	ด้านมืด
darling	ที่รัก
darn	ยี้
dart	โผ
dash	ชน
dashboard	แผงควบคุม
dashed	ประ
dashing	ห้าว
dastardly	ขี้ขลาดตาขาว
data	ข้อมูล
database	ฐานข้อมูล
date	วันที่
datenight	NO TRANSLATION
daughter	ลูกสาว
dawdle	อู้
dawn	รุ่งอรุณ
dawned	ผุดขึ้น
day	วัน
daybreak	รุ่งสาง
daycare	รับเลี้ยงเด็ก
daydream	ฝันกลางวัน
daydreaming	การฝันกลางวัน
daylight	กลางวัน
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	ตอนกลางวัน
daze	ความงุนงง
dazed	งุนงง
dazzle	ทำให้ตาพร่า
dazzling	พราว
deacon	ผู้ดูแลวัด
deactivate	ยกเลิกการใช้งาน
dead	ตาย
deadbeat	อู้
deadline	วันกำหนดส่ง
deadlines	กำหนดเวลา
deadlock	การหยุดชะงัก
deadly	มฤตยู
deaf	หูหนวก
deafening	อึกทึก
deafness	อาการหูหนวก
deal	จัดการ
dealer	เจ้ามือ
dealership	ตัวแทนจำหน่าย
dealing	การซื้อขาย
dealings	การค้า
dean	คณบดี
dear	ที่รัก
dearest	หัวแก้วหัวแหวน
dearth	ความขาดแคลน
death	ความตาย
deathbed	เตียงมรณะ
deathly	เหมือนคนตาย
debacle	น้ำท่วม
debased	ปลอมปน
debatable	เป็นที่ถกเถียงกัน
debate	อภิปราย
debauchery	การมึนเมา
debenture	หุ้นกู้
debilitating	ทำให้ร่างกายอ่อนแอ
debit	หักบัญชี
debrief	การถ่ายทอดข้อมูล
debriefing	การซักถาม
debris	เศษ
debt	หนี้สิน
debtor	ลูกหนี้
debut	เปิดตัวครั้งแรก
debutante	การเปิดตัวหญิงสาว
decade	ทศวรรษ
decadence	ความเสื่อมโทรม
decadent	เสื่อม
decaf	decaf
decanter	ขวดเหล้า
decathlon	การกรีฑาสิบประเภท
decay	ผุ
decayed	เน่าเสีย
decaying	เนื้อที่
deceased	ตาย
decedent	ผู้ถือครอง
deceit	ความหลอกลวง
deceitful	หลอกลวง
deceive	หลอกลวง
deceived	หลอก
deceiving	การหลอกลวง
december	ธันวาคม
decency	ความเหมาะสม
decent	เหมาะสม
deception	การหลอกลวง
deceptive	เทียม
decide	ตัดสิน
decidedly	เด็ด
deciduous	ซึ่งผลัดใบ
decimal	ทศนิยม
decimeter	เดซิเมตร
decipher	แปลรหัส
decision	การตัดสิน
decisive	แตกหัก
deck	สำรับ
declaration	การประกาศ
declaratory	แถลงการณ์
declare	ประกาศ
declination	การปฏิเสธ
decline	ปฏิเสธ
declining	การลดลง
deco	เดคโค
decode	ถอดรหัส
decoder	ถอดรหัส
decompose	เปื่อย
decomposed	เปื่อย
decomposition	การจำแนก
decompress	ขยาย
decompression	การบีบอัด
decontamination	การปนเปื้อน
decor	การตกแต่ง
decorate	ตกแต่ง
decorating	ตกแต่ง
decoration	เครื่องประดับ
decorative	ตกแต่ง
decorator	มัณฑนากร
decorum	มารยาท
decoy	ล่อ
decrease	ลดลง
decreased	ลดลง
decreasing	ลดลง
decree	พระราชกฤษฎีกา
decrement	การพร่อง
decrepit	อ่อนเปลี้ย
decry	ประณาม
decryption	ถอดรหัส
dedicate	อุทิศ
dedication	การอุทิศ
deduce	อนุมาน
deduct	หัก
deductible	นำไปหักลดหย่อน
deduction	การหัก
deed	โฉนด
deejay	ดีเจ
deem	ถือว่า
deep	ลึก
deepen	เข้มขึ้น
deer	กวาง
defamation	การหมิ่นประมาท
defamatory	ซึ่งทำให้เสียชื่อเสียง
default	ค่าเริ่มต้น
defeat	ความพ่ายแพ้
defeated	แพ้
defeatist	ผู้เห็นว่าควรยอมแพ้
defect	ข้อบกพร่อง
defection	การละทิ้ง
defective	บกพร่อง
defector	ผู้แปรพักตร์
defend	แก้ต่าง
defendant	จำเลย
defended	ได้รับการปกป้อง
defender	ศรัณยู
defending	ปกป้อง
defense	ป้องกัน
defenseless	ไม่มีที่พึ่ง
defensible	ซึ่งป้องกันได้
defensive	เกี่ยวกับการป้องกัน
defer	คล้อย
deference	ความเคารพ
deferral	เลื่อน
deferring	การชะลอ
defiance	การขัดขืน
defiant	ที่ท้าทาย
defibrillator	เครื่องกระตุ้นหัวใจ
deficiency	ข้อบกพร่อง
deficient	บกพร่อง
deficit	การขาดดุล
define	กำหนด
defined	ที่กำหนดไว้
definite	ชัดเจน
definition	คำนิยาม
definitive	แตกหัก
deflate	ยุบ
deflation	ภาวะเงินฝืด
deflect	เบนเข็ม
deflection	โก่ง
defloration	defloration
deform	เบี้ยว
deformed	พิการ
deformity	ความผิดปกติ
defraud	โกง
defray	ออกค่าใช้จ่าย
defrost	ทำน้ำแข็งให้ละลาย
deft	คล่องแคล่ว
defunct	ตาย
defuse	กลบเกลื่อน
defy	ท้า
degeneracy	ความเสื่อม
degenerate	คนเลว
degeneration	การเสื่อมสภาพ
degradation	การปลด
degrade	ปลด
degraded	เสื่อมโทรม
degrading	น่าอาย
degree	ระดับ
dehydrated	ถูกคายน้ำ
dehydration	การคายน้ำ
dejected	สลดใจ
delay	ความล่าช้า
delayed	ล่าช้า
delectable	เอร็ดอร่อย
delegate	ตัวแทน
delegation	คณะผู้แทน
delete	ลบ
deleterious	เป็นอันตราย
deletion	การลบ
deli	เดลี่
deliberate	โดยเจตนา
deliberation	การตรึกตรอง
deliberative	อภิปราย
delicacy	อาหารอันโอชะ
delicate	ละเอียดอ่อน
delicatessen	อาหารสำเร็จรูป
delicious	อร่อย
delight	สุข
delighted	ยินดี
delightful	น่ารื่นรมย์
delineate	วาดภาพ
delineation	การวาดภาพ
delinquency	การหลีกเลี่ยงหน้าที่
delinquent	กระทำผิด
delirious	เพ้อ
delirium	ความคุ้มคลั่ง
deliver	ส่งมอบ
deliverance	การปลดปล่อย
delivery	การจัดส่ง
dell	เดลล์
delta	สันดอน
delude	ลวงตา
deluge	น้ำท่วม
delusion	ความเข้าใจผิด
delusional	ประสาทหลอน
deluxe	หรูหรา
delve	คุ้ย
demand	ความต้องการ
demanding	เรียกร้อง
demeaned	demeaned
demeaning	ข่าว
demeanor	การกระทำ
demented	เป็นบ้า
dementia	การเป็นบ้า
demise	มรณกรรม
demo	การสาธิต
democracy	ประชาธิปไตย
democrat	ประชาธิปัตย์
democratic	ประชาธิปัตย์
demographic	กลุ่มผู้เข้าชม
demolish	ทำลาย
demolished	พังยับเยิน
demolition	การรื้อ
demon	ปิศาจ
demonic	ผิดมนุษย์
demonstrable	สามารถพิสูจน์ได้
demonstrate	สาธิต
demonstrated	แสดงให้เห็นถึง
demonstrating	แสดงให้เห็นถึง
demonstration	สาธิต
demonstrative	เป็นการสาธิต
demonstrator	ผู้สาธิต
demoralized	ขวัญเสีย
demos	การสาธิต
demure	เอียงอาย
den	NO TRANSLATION
deniability	deniability
denial	การปฏิเสธ
denied	ปฏิเสธ
denim	ผ้ายีนส์
denomination	นิกาย
denominational	เกี่ยวกับนิกาย
denominator	ตัวหาร
denote	แสดงว่า
denounce	ปรักปรำ
dense	หนาแน่น
density	ความหนาแน่น
dent	บุ๋ม
dental	ทันตกรรม
dentist	ทันตแพทย์
dentistry	การทำฟัน
dentists	ทันตแพทย์
denunciation	การกล่าวโทษ
deny	ปฏิเสธ
denying	การปฏิเสธ
deodorant	ยาดับกลิ่น
depart	ออก
departed	ออก
department	แผนก
departmental	แผนก
departure	การออกเดินทาง
depend	ขึ้นอยู่กับ
dependable	เชื่อถือได้
dependant	ขึ้นอยู่กับ
dependence	การพึ่งพาอาศัยกัน
dependency	เมืองขึ้น
dependent	ขึ้นอยู่กับ
depict	พรรณนา
depicting	ภาพวาด
depletion	การพร่อง
deplorable	น่าเสียดาย
deplore	เสียใจ
deploy	ปรับใช้
deployment	การใช้งาน
deport	ขับไล่
deportation	การเนรเทศ
depose	ขัดไล่
deposit	เงินฝาก
depositary	ผู้รับฝาก
deposition	การสะสม
depository	รับฝากเงิน
depot	สถานีรถไฟ
depraved	ต่ำช้า
depravity	สิ่งเลวร้าย
depreciate	ลดลง
depreciated	คิดค่าเสื่อมราคา
depreciation	การเสื่อมราคา
depress	กด
depressed	ตกต่ำ
depressing	ซึ่งทำให้ตกต่ำ
depression	พายุดีเปรสชัน
depressive	ซึมเศร้า
depresson	NO TRANSLATION
deprivation	การกีดกัน
deprive	กีดกัน
deprived	ถูกลิดรอน
depth	ความลึก
deputy	รอง
derail	ทำให้ตกราง
deranged	บ้า
derelict	ที่ถูกทอดทิ้ง
derision	การดูถูก
derivation	รากศัพท์
derivative	ตราสารอนุพันธ์
derive	ได้รับมา
dermal	ผิวหนัง
dermatologist	แพทย์ผิวหนัง
dermatology	โรคผิวหนัง
derogation	ความเลว
derogatory	เสื่อมเสีย
descend	ลง
descendant	ลูกหลาน
descendent	NO TRANSLATION
descending	จากมากไปน้อย
descent	โคตร
describe	อธิบาย
description	ลักษณะ
descriptive	พรรณนา
desecrate	ทำลายศาสนา
desecration	การดูหมิ่นศาสนา
desert	ทะเลทราย
deserted	วิเวกวังเวง
deserter	คนละทิ้งหน้าที่
desertion	การละทิ้ง
deserve	สมน้ำสมเนื้อ
deserved	สมควรได้รับ
deserving	สมควร
design	ออกแบบ
designate	กำหนด
designated	ที่กำหนด
designation	การแต่งตั้ง
designed	ได้รับการออกแบบ
designer	นักออกแบบ
designing	การออกแบบ
desirability	ความพึงปรารถนา
desirable	น่าพอใจ
desire	ปรารถนา
desiring	ปรารถนา
desirous	เป็นที่พึงปรารถนา
desist	เลิก
desk	เคาน์เตอร์
desolate	อ้างว้าง
desolation	ความอ้างว้าง
despair	สิ้นหวัง
despairing	หวัง
despatch	ฆ่า
desperado	คนสิ้นคิด
desperate	หมดหวัง
desperation	ความสิ้นคิด
despicable	น่ารังเกียจ
despise	ชัง
despondent	สิ้นหวัง
despotic	เผด็จการ
despotism	ความกดขี่
dessert	ขนม
destination	ปลายทาง
destined	ลิขิต
destiny	โชคชะตา
destitute	ยากจน
destroy	ทำลาย
destroyed	ทำลาย
destroyer	ผู้ทำลาย
destroying	ทำลาย
destruct	ทำลาย
destruction	การทำลาย
destructive	เป็นอันตราย
detach	ถอดออก
detached	สันโดษ
detachment	การปลด
detail	รายละเอียด
detailed	รายละเอียด
details	รายละเอียด
detain	คุมตัว
detainee	นักโทษ
detect	ตรวจจับ
detectable	สืบค้นได้
detection	การตรวจพบ
detective	นักสืบ
detector	เครื่องตรวจจับ
detention	การกักกัน
deter	ยับยั้ง
detergent	ผงซักฟอก
deteriorate	เสื่อมลง
deteriorated	โปเก
deteriorating	ทวีความรุนแรงขึ้น
deterioration	การเสื่อมสภาพ
determinable	วัดได้
determinate	เด็ดขาด
determination	การกำหนด
determine	กำหนด
determined	แน่นอน
deterrent	เครื่องยับยั้ง
detest	ชัง
detestation	ความเกลียดชัง
detonate	ระเบิด
detonation	ระเบิด
detonator	เชื้อปะทุสำหรับจุดสูกระเบิด
detour	ทางอ้อม
detract	เอาออก
detriment	ความเสียหาย
detrimental	เป็นอันตราย
detritus	เศษซาก
deuce	ผีสาง
deutschmark	Deutschmark
devalued	คุณค่า
devastate	ทำลายล้าง
devastated	เสียใจ
devastating	ซึ่งล้างผลาญ
devastation	การทำลายล้าง
develop	พัฒนา
developer	ผู้พัฒนา
developing	ที่กำลังพัฒนา
development	พัฒนาการ
deviant	เบี่ยงเบน
deviate	เบี่ยงเบน
deviating	เบี่ยงเบนประเด็น
deviation	การเบี่ยงเบน
device	เครื่อง
devil	ปีศาจ
deviled	deviled
devilish	วายร้าย
devious	คดเคี้ยว
devise	ประดิษฐ์
devoid	ไร้
devolution	ความรับผิดชอบ
devolve	ตกมาอยู่กับ
devote	อุทิศ
devoted	อุทิศ
devotee	ผู้นับถือศรัทธา
devotion	ความจงรักภักดี
devotional	ซึ่งนับถือศรัทธา
devour	เผาผลาญ
devout	มีศรัทธา
dew	น้ำค้าง
dexter	ขวา
dexterity	ความชำนาญ
dextrose	เดกซ์โทรส
diabetes	โรคเบาหวาน
diabetic	ผู้ป่วยโรคเบาหวาน
diabolical	โหดร้าย
diagnose	วินิจฉัย
diagnosis	การวินิจฉัยโรค
diagnostic	การวินิจฉัย
diagnostics	การวินิจฉัย
diagonal	เส้นทแยงมุม
diagram	แผนภาพ
dial	หมุน
dialect	ภาษาถิ่น
dialectic	ตรรกวิทยา
dialogue	บทสนทนา
dialysis	การฟอกไต
diameter	เส้นผ่าศูนย์กลาง
diamond	เพชร
diamonds	เพชร
diaper	ผ้าอ้อม
diaphragm	กะบังลม
diarrhea	โรคท้องร่วง
diarrhoea	โรคท้องร่วง
diary	ไดอารี่
diatribe	คำติเตียนกลาวร้าย
dib	NO TRANSLATION
dibs	หมากเก็บ
dice	ลูกเต๋า
dicey	dicey
dichotomous	dichotomous
dichotomy	ขั้ว
dick	กระเจี๊ยว
dickhead	DICKHEAD
dicks	จู๋
dictate	บงการ
dictation	คำสั่ง
dictator	เผด็จการ
dictatorial	เด็ดขาด
dictatorship	อำนาจเผด็จการ
diction	พจน์
dictionary	พจนานุกรม
dictum	NO TRANSLATION
didactic	เกี่ยวกับการสอน
diddle	ผ่านราคา
die	NO TRANSLATION
died	เสียชีวิต
diesel	ดีเซล
diet	อาหาร
dietary	การบริโภคอาหาร
differ	แตกต่าง
difference	ข้อแตกต่าง
differences	ความแตกต่าง
different	ต่าง
differential	ค่า
differentiation	การเปลี่ยนแปลง
differently	ต่างกัน
differing	ที่แตกต่างกัน
difficult	ยาก
difficulties	ความยากลำบาก
difficulty	ความยาก
diffuse	กระจาย
diffusion	การแพร่
dig	NO TRANSLATION
digest	ย่อยอาหาร
digestion	การย่อย
digestive	เกี่ยวกับการย่อย
digit	หลัก
digital	ดิจิตอล
dignified	สง่างาม
dignify	ทำให้สง่างาม
dignity	เกียรติ
digress	เชือนแช
digs	NO TRANSLATION
dike	NO TRANSLATION
dilapidated	ทรุดโทรม
dilatation	การขยาย
dilation	การขยาย
dildo	dildo
dilemma	ภาวะที่กลืนไม่เข้าคายไม่ออก
diligence	ความขยัน
diligent	ขยัน
dill	ผักชีฝรั่ง
diluent	เจือจาง
dilute	เบาบาง
diluted	เจือจาง
dilution	เจือจาง
dim	สลัว
dime	ค่าเล็กน้อย
dimension	มิติ
dimensional	มิติ
diminish	ลดทอน
diminished	ลดลง
diminution	ลดลง
diminutive	เล็กกระจิดริด
dimwit	แสบ
din	NO TRANSLATION
dine	NO TRANSLATION
diner	เหลา
dinghy	เรือบดเล็ก
dingo	ดินโก
dingy	สกปรก
dining	การรับประทานอาหาร
dinky	Dinky
dinner	อาหารเย็น
dinnertime	มื้อค่ำ
dinosaur	ไดโนเสาร์
dint	อาศัย
diocesan	โบสถ์
diocese	สังฆมณฑล
diorama	ภาพสามมิติ
dioxide	ดีออกไซด์
dip	จุ่ม
diploma	ประกาศนียบัตร
diplomacy	การทูต
diplomat	ทูต
diplomatic	มีชั้นเชิง
dipper	กระบวย
dippy	สติเฟื่อง
dipstick	dipstick
dire	NO TRANSLATION
direct	โดยตรง
directed	กำกับการแสดง
direction	ทิศทาง
directive	คำสั่ง
directly	โดยตรง
director	ผู้อำนวยการ
directory	ไดเรกทอรี
dirt	ฝุ่น
dirty	สกปรก
disability	ความพิการ
disable	ปิดการใช้งาน
disabled	พิการ
disadvantage	ข้อเสียเปรียบ
disaffected	ไม่พอใจ
disagree	ไม่เห็นด้วย
disagreeable	ไม่ถูกใจ
disagreeing	เสียงแตก
disagreement	ความไม่เห็นด้วย
disallow	ไม่อนุญาต
disallowed	ไม่ได้รับอนุญาต
disapointment	NO TRANSLATION
disappear	หายไป
disappearance	การหายไป
disappearing	หายไป
disappoint	ทำให้ผิดหวัง
disappointed	ผิดหวัง
disappointing	ที่น่าผิดหวัง
disappointment	ความผิดหวัง
disapproval	ความไม่พอใจ
disapprove	ไม่พอใจ
disapproved	ไม่ผ่านการอนุมัติ
disapproving	ซึ่งไม่พอใจ
disarm	ปลดอาวุธ
disarray	ความระส่ำระสาย
disaster	ภัยพิบัติ
disastrous	หายนะ
disband	ปลดประจำการ
disbelief	ปฏิเสธ
disbelieve	ไม่เชื่อ
disburse	จ่าย
disbursement	รายจ่าย
disc	จาน
discard	ทิ้ง
discarded	ทิ้ง
discards	ทิ้ง
discern	มองเห็น
discernible	ซึ่งมองเห็นได้
discerning	ฉลาด
discernment	ความฉลาด
discharge	ปล่อย
disciple	สาวก
disciplinary	วินัย
discipline	วินัย
disciplined	ซึ่งรักษาวินัย
disclaim	ปฏิเสธ
disclaimer	คำปฏิเสธ
disclose	เปิดเผย
disclosed	เปิดเผย
disclosure	การเปิดเผย
disco	ดิสโก้
discoloration	การเปลี่ยนสี
discolored	กะดำกะด่าง
discomfort	ความไม่สบาย
disconcerted	อึกอัก
disconcerting	ซึ่งทำให้อึกอัก
disconnect	ปลด
disconnected	ตัดการเชื่อมต่อ
disconnection	การปลด
disconnects	ยกเลิกการเชื่อมต่อ
discontent	ไม่พอใจ
discontinuance	หยุด
discontinue	หยุด
discontinuity	ไม่ต่อเนื่อง
discontinuous	ไม่ต่อเนื่อง
discord	ความบาดหมางกัน
discount	ส่วนลด
discounted	ลด
discourage	กีดกัน
discouraged	หมดกำลังใจ
discouragement	ความท้อใจ
discouraging	น่าท้อใจ
discourse	สนทนา
discover	ค้นพบ
discovery	การค้นพบ
discredit	ทำให้เสียชื่อเสียง
discredited	น่าอดสู
discreet	NO TRANSLATION
discrepancy	ความคลาดเคลื่อน
discrete	ไม่ต่อเนื่อง
discretion	ดุลพินิจ
discretionary	เกี่ยวกับการตัดสินใจ
discriminate	เห็นความแตกต่าง
discriminating	ซึ่งพินิจพิเคราะห์
discrimination	การแบ่งแยก
discus	จาน
discuss	สนทนา
discussion	การสนทนา
disdain	ดูถูก
disdainful	หยิ่งยะโส
disease	โรค
diseased	เป็นโรค
disembodied	ปลด
disengage	ปลด
disengagement	ความหลุดพ้น
disfigured	วิกล
disgrace	ความอับอายขายหน้า
disgraced	ศักดิ์ศรี
disgraceful	น่าอาย
disgruntled	ไม่พอใจ
disguise	ปลอม
disguised	ซึ่งปลอมตัว
disgust	ความรังเกียจ
disgusted	เบื่อหน่าย
disgusting	น่าสะอิดสะเอียน
dish	จาน
disheartened	ท้อแท้
disheartening	ซึ่งทำให้หมดกำลังใจ
dishonest	ไม่สุจริต
dishonesty	ความไม่ซื่อสัตย์
dishonor	ความอับอายขายหน้า
dishonorable	เสียชื่อเสียง
dishwasher	เครื่องล้างจาน
disillusionment	ความท้อแท้
disinclination	ความไม่สมัครใจ
disincline	ทำให้ไม่สมัครใจ
disinclined	อิดออด
disinfect	ฆ่าเชื้อ
disinfectant	ยาฆ่าเชื้อ
disinfection	การฆ่าเชื้อโรค
disinformation	บิดเบือน
disingenuous	มีเลศนัย
disintegrate	สลายตัว
disintegration	การสลายตัว
disinterested	ไม่สนใจ
disjoint	ทำเคล็ด
disjointed	ไม่ปะติดปะต่อ
disjunctive	ลักษณะที่แยกออก
disk	ดิสก์
diskette	ดีสเกตต์
dislike	ไม่ชอบ
disliked	ไม่ชอบ
disliking	ขี้หน้า
dislocated	เคล็ด
dislocation	ความคลาดเคลื่อน
dislodge	ไล่ออก
disloyal	ไม่สุจริต
disloyalty	ความไม่ซื่อสัตย์
dismal	กลุ้มใจ
dismantle	รื้อ
dismay	ความกลัว
dismayed	อนาถใจ
dismemberment	สูญเสียอวัยวะ
dismiss	ยกเลิก
dismissal	การถอดถอน
dismissive	ไม่ไยดี
dismount	ลงจากหลังม้า
disobedience	การไม่เชื่อฟัง
disobedient	ไม่เชื่อฟัง
disobey	ไม่เชื่อฟัง
disorder	ความไม่เป็นระเบียบ
disordered	ไม่เป็นระเบียบ
disorderly	ไม่เป็นระเบียบ
disorganized	ไม่เป็นระเบียบ
disorientation	อาการเวียนศีรษะ
disoriented	ยุ่งเหยิง
disown	บอกปัด
disparage	ดูหมิ่น
disparaging	ซึ่งทำให้เสียชื่อ
disparate	ต่างกัน
disparity	ความต่าง
dispassionate	ไม่อคติ
dispatch	ฆ่า
dispatcher	ผู้จัดการ
dispel	ปัดเป่า
dispensary	ร้านขายยา
dispensation	การแจกจ่าย
dispense	จ่ายยา
dispenser	เครื่องจ่าย
dispersal	การกระจายไป
disperse	กระจายไป
dispersed	แยกย้ายกันไป
dispersion	การกระจายตัว
dispirited	ท้อแท้
displace	ไล่
displaced	พลัดถิ่น
displacement	การกำจัด
displacency	displacency
display	แสดง
displease	ขัดใจ
displeased	ไม่พอใจ
displeasure	ความไม่พอใจ
disposable	ทิ้ง
disposal	การกำจัด
dispose	กำจัด
disposed	เอนเอียง
disposition	อารมณ์
dispossessed	ยึดทรัพย์
