Word	lo
continuation	ສືບຕໍ່
continue	ສືບຕໍ່
continued	ສືບຕໍ່
continuing	ສືບຕໍ່
continuity	continuity
continuous	ຢ່າງຕໍ່ເນື່ອງ
continuously	ຢ່າງຕໍ່ເນື່ອງ
continuum	continuum
contour	contour
contraband	contraband
contraception	contraception
contract	ສັນຍາ
contracted	contracted
contractile	contractile
contracting	ການເຮັດສັນຍາ
contraction	contraction
contractor	ຜູ້ຮັບເຫມົາ
contradict	ກົງກັນຂ້າມ
contradiction	contradiction
contradictory	ກົງກັນຂ້າມ
contraption	contraption
contrary	ກົງກັນຂ້າມ
contrast	ກົງກັນຂ້າມ
contrasted	ກົງກັນຂ້າມ
contravene	contravene
contravention	ການລ່ວງລະເມີດ
contribute	ປະກອບສ່ວນ
contribution	ການປະກອບສ່ວນ
contributor	ຜູ້ປະກອບສ່ວນ
contrite	contrite
contrition	contrition
contrived	contrived
control	ຄວບຄຸມ
controller	ຄວບຄຸມ
controlling	ການຄວບຄຸມ
controversial	controversial
controversy	controversy
contusion	contusion
conundrum	conundrum
convalescent	convalescent
convection	convection
convene	convene
convenience	ຄວາມສະດວກສະບາຍ
conveniences	ສິ່ງອໍານວຍຄວາມສະດວກ
convenient	ສະດວກສະບາຍ
convent	convent
convention	ສົນທິສັນຍາ
conventional	conventional
converge	converge
convergence	convergence
convergent	convergent
conversant	ການສົນທະນາ
conversation	ການສົນທະນາ
conversational	ການສົນທະນາ
conversationalist	conversationarianist
converse	ເວົ້າລົມກັນ
conversing	ການສົນທະນາ
conversion	ການປ່ຽນແປງ
convert	ປ່ຽນແປງ
converted	ປ່ຽນແປງ
convertible	convertible
convex	convex
convexity	convexity
convey	ບົ່ງບອກ
conveyance	ການຂົນສົ່ງ
conveyancing	ການສື່ສານ
convict	convict
conviction	ການຕັດສິນໃຈ
convince	ສະທ້ອນໃຫ້ເຫັນ
convinced	ເຊື່ອຫມັ້ນ
convincing	convincing
convocation	ການສົນທະນາ
convoluted	convoluted
convolution	convolution
convoy	convoy
coo	coo
cook	ແຕ່ງກິນ
cookbook	cookbook
cooker	cooker
cookery	cookery
cookie	ຄຸກກີ
cookies	cookies
cooking	ປຸງແຕ່ງອາຫານ
cookout	ປຸງແຕ່ງອາຫານ
cool	ເຢັນ
coolant	coolant
cooler	cooler
cooling	ເຢັນ
coolness	ຄວາມເຢັນ
coon	coon
coop	coop
cooperate	ຮ່ວມມື
cooperating	ຮ່ວມມື
cooperation	ການຮ່ວມມື
cooperative	ຮ່ວມມື
coordinate	ປະສານງານ
coordination	ການປະສານງານ
coordinator	ຜູ້ປະສານງານ
cop	cop
copacetic	NO TRANSLATION
cope	ຮັບມືກັບ
copier	copier
copilot	copilot
coping	ການແກ້ໄຂ
copious	copious
copper	ທອງແດງ
copter	copter
copy	ຄັດລອກ
copycat	copycat
copying	copying
copyright	copyright
coral	coral
coral snake	ງູປາ
cord	ສາຍໄຟ
cordial	cordial
cordless	ບໍ່ມີສາຍໄຟ
cordon	cordon
corduroy	corduroy
core	core
cork	cork
corkscrew	corkscrew
corn	ສາລີ
cornball	cornball
cornbread	cornbread
cornea	cornea
corned	corned
corner	corner
cornerstone	cornerstone
cornet	cornet
cornfield	cornfield
cornflakes	NO TRANSLATION
cornice	cornice
cornstarch	cornstarch
corny	corny
corollary	corollary
corona	corona
coronary	coronary
coronation	coronation
coroner	coroner
corporal	corporal
corporate	ບໍລິສັດ
corporation	ບໍລິສັດ
corporeal	corporeal
corps	corps
corpse	corpse
corpsman	corpsman
corpus	corpus
corral	corral
correct	ຖືກຕ້ອງ
correction	ແກ້ໄຂ
correctional	ການແກ້ໄຂ
corrective	ແກ້ໄຂ
correctness	ຄວາມຖືກຕ້ອງ
correlation	correlation
correlative	correlative
correspond	ກົງກັນ
correspondence	correspondence
correspondent	correspondent
corresponding	ທີ່ສອດຄ້ອງກັນ
corridor	ແລວເສດຖະກິດ
corroborate	ຍືນຍັນ
corroboration	corroboration
corrosion	ການກັດກ່ອນ
corrosive	corrosive
corrupt	ເສຍຫາຍ
corrupting	ເສຍຫາຍ
corruption	corruption
corsage	corsage
corse	NO TRANSLATION
corset	corset
cortex	cortex
cortical	cortical
cortisone	cortisone
corvette	corvette
cosmetic	ເຄື່ອງສໍາອາງ
cosmetics	ເຄື່ອງສໍາອາງ
cosmic	cosmic
cosmology	cosmology
cosmopolitan	cosmopolitan
cosmos	cosmos
cost	ຄ່າໃຊ້ຈ່າຍ
costly	costly
costume	costume
cosy	ອົບອຸ່ນ
cot	ຕຽງນອນ
cote	cote
cottage	cottage
cotton	ຜ້າຝ້າຍ
couch	couch
cougar	cougar
cough	ໄອ້
council	ຄະນະກໍາມະການ
councilman	councilman
counsel	ຄໍາແນະນໍາ
counseling	ການໃຫ້ຄໍາປຶກສາ
counsellor	ປຶກສາ
counselor	ປຶກສາ
count	ນັບແລ້ວ
countdown	countdown
countenance	ໃບຫນ້າ
counter	counter
counteract	counteract
counterattack	counterattack
counterbalance	counterbalance
counterclaim	counterclaim
counterfeit	ການປອມແປງ
counterpart	ຄູ່ຮ່ວມງານ
counterpoint	counterpoint
countess	Countess
countless	countless
country	ປະເທດ
countryman	countryman
countrymusic	NO TRANSLATION
countryside	ຊົນນະບົດ
counts	counts
county	county
coup	coup
coupe	coupe
couple	ຄູ່ຜົວເມຍ
coupled	ບວກກັບ
coupling	ການເຊື່ອມໂຍງ
coupon	coupon
courage	ຄວາມກ້າຫານ
courageous	ມີຄວາມກ້າຫານ
courier	courier
courses	ຫລັກສູດ
coursing	coursing
court	ສານ
courteous	courteous
courtesy	ມີຄວາມສຸຂຸມ
courthouse	ສານປະຊາຊົນ
courtroom	courtroom
courts	ສານ
courtship	courthip
courtside	courtide
courtyard	courtyard
cousin	cousin
cousins	cousins
cove	cove
coven	coven
covenant	ພັນທະສັນຍາ
cover	ກວມເອົາ
coverage	ການຄຸ້ມຄອງ
covered	ກວມເອົາ
covering	ກວມເອົາ
covert	ຂີ້ຕົວະ
covet	covet
coveted	coveted
cow	ງົວ
coward	coward
cowardice	cowardice
cowardly	cowardly
cowboy	cowboy
cowgirl	cowgirl
cowhand	cowhand
cowhide	cowhide
cowl	cowl
coworker	ເພື່ອນຮ່ວມງານ
coy	coy
coyote	coyote
cozy	ອົບອຸ່ນ
crab	ກະປູ
crabby	crabby
crack	crack
cracked	cracked
cracker	cracker
crackerjack	crackerjack
cracking	cracking
crackle	crackle
crackpot	crackpot
cradle	cradle
craft	ຫັດຖະກໍາ
crafts	ຫັດຖະກໍາ
craftsman	ຊ່າງຫັດຖະກໍາ
craftsmanship	ຫັດຖະກໍາ
crafty	crafty
craig	craig
cram	cram
crammed	crammed
cramp	cramp
cramped	ຫັກ
cranberry	cranberry
cranberry juice	ນ້ໍາ cranberry
crane	crane
cranial	cranial
cranium	cranium
crank	crank
cranky	cranky
cranny	cranny
crap	crap
crappy	crappy
craps	craps
crash	crash
crass	crass
crate	crate
crater	crater
crave	crave
craving	craving
crawfish	crawfish
crawl	ການຂຸດຄົ້ນ
crayon	crayon
crayons	crayons
craze	craze
crazed	crazed
craziness	craziness
crazy	crazy
creak	creak
creaking	creaking
cream	ຄີມ
creamed	creamed
creamer	creamer
creamy	creamy
crease	ເພີ່ມເຕີມ
create	ສ້າງ
creation	ການສ້າງ
creative	ສ້າງສັນ
creativity	ຄວາມຄິດສ້າງສັນ
creator	ຜູ້ສ້າງ
creature	creature
credence	ຄວາມເຊື່ອ
credential	ຂໍ້ມູນຂ່າວສານ
credentials	ສິດທິພິເສດ
credibility	ຄວາມເຊື່ອຫມັ້ນ
credible	ເຊື່ອຖືໄດ້
credit	ການປ່ອຍສິນເຊື່ອ
credit card	ບັດ​ເຄຣ​ດິດ
creditable	creditable
credited	credited
crediting	crediting
creditor	ເຈົ້າຫນີ້
creed	ສາດສະຫນາ
creek	creek
creep	creep
creeper	ຜັກທຽມ
creeping	ການລວບລວມ
creepy	creepy
cremation	cremation
creole	creole
crepe	crepe
crescendo	crescendo
crescent	crescent
crest	crest
crestfallen	crestfallen
cretin	cretin
cretins	cretins
crevice	crevice
crew	ລູກເຮືອ
crewman	crewman
crib	crib
cricket	cricket
cried	ຮ້ອງໄຫ້
crime	ອາຊະຍາກໍາ
criminal	ຄະດີອາຍາ
criminality	ຄະດີອາຍາ
crimp	crimp
crimson	crimson
cringe	cringe
cripple	cripple
crippled	crippled
crippling	ກໍາປັ່ນ
crisis	ວິກິດການ
crisp	ຂັດໃຈ
crispy	crispy
criterion	criterion
critic	ນັກວິຈານ
critical	ສໍາຄັນ
criticise	ຕໍາຫນິ
criticism	ການວິພາກວິຈານ
criticize	ຕໍາຫນິ
criticized	ຖືກກ່າວຫາ
critique	critique
critter	critter
croak	croak
croc	croc
crock	crock
crockery	ເຄື່ອງເປົ່າ
crocodile	crocodile
croft	croft
croissant	croissant
crook	crook
crooked	ໂກງ
crop	ການປູກພືດ
croquet	croquet
cross	ຂ້າມ
cross country	ຂ້າມ​ປະ​ເທດ
crossbow	crossbow
crossed	ຂ້າມຜ່ານ
crossfire	crossfire
crossing	ຂ້າມ
crossover	crossover
crosswalk	crosswalk
crossword	crossword
crotch	crotch
crouch	crouch
crouched	crouched
crouching	crouching
croupier	croupier
crow	crow
crowbar	crowbar
crowd	ຝູງຊົນ
crowded	ແອ​ອັດ
crowds	crowds
crown	ເຮືອນຍອດ
crowning	ຍອດຮອນ
crucial	ທີ່ສໍາຄັນ
cruciate	cruciate
crucifix	crucifix
crucifixion	crucifixion
crucify	crucify
crud	crud
crude	ເຂັ້ມຂຸ້ນ
cruel	ໂຫດຮ້າຍ
cruelly	ອັນຕະລາຍ
cruelty	cruelty
cruise	cruise
cruise ship	cruise ship
cruiser	cruiser
cruising	cruising
crumb	crumb
crumble	crumble
crumbling	ການລົ້ມລົງ
crummy	crummy
crunch	crunch
crunchy	crunchy
crusade	ໂບດ
crusader	crusader
crush	ປວດ
crushed	ຂັດຂວາງ
crusher	crusher
crushing	ລົບກວນ
crust	crust
crusty	ເປືອກຫນາ
crutch	ຂັດ
crux	crux
cry	ຮ້ອງໄຫ້
crybaby	crybaby
crying	ຮ້ອງໄຫ້
crypt	crypt
cryptic	cryptic
cryptography	cryptography
crystal	crystal
crystalline	crystalline
crystallization	crystallization
cub	cub
cubby	cubby
cube	cube
cubic	cubic
cubicle	cubicle
cuckold	cuckold
cuckoo	cuckoo
cucumber	ແຕງກວາ
cuddle	cuddle
cuddled	cuddled
cuddles	cuddles
cuddling	cuddling
cue	cue
cuff	ຂໍ້​ມື
cuisine	cuisine
culinary	culinary
cull	cull
culminate	ສິ້ນສຸດລົງ
culmination	ຈຸດສູງສຸດ
culpability	culpability
culpable	culpable
culprit	culprit
cult	cult
cultivate	ປູກ
cultivated	ການປູກຝັງ
cultivation	ການປູກຝັງ
cultural	ວັດທະນະທໍາ
culture	ວັດທະນະທໍາ
cultured	ວັດທະນະທໍາ
culvert	culvert
cumbersome	cumbersome
cumulus	cumulus
cunning	cunning
cunt	cunt
cup	ຈອກ
cupboard	ຕູ້
cupcake	cupcake
cupping	ເກີບ
cur	cur
curable	curable
curate	curate
curative	curative
curator	curator
curb	curb
curd	curd
cure	ປິ່ນປົວ
curfew	curfew
curiosity	curiosity
curious	curious
curl	curl
curling	curling
currency	ເງິນຕາ
current	ປັດຈຸບັນ
curriculum	curriculum
curry	curry
curse	ສາບແຊ່ງ
cursed	cursed
cursing	cursing
cursory	cursory
curt	curt
curtail	curtail
curtailment	curtailment
curtain	curtain
curtains	curtains
curtsy	curtsy
curvature	curvature
curve	ເສັ້ນໂຄ້ງ
curved	curved
curvilinear	curvilinear
cushion	cushion
cushy	cushy
cusp	cusp
cuss	cuss
cussed	cussed
custard	custard
custodial	ຖືກຄຸມຂັງ
custodian	ຜູ້ປົກຄອງ
custody	ການຄຸມຂັງ
custom	custom
customary	customary
customer	ລູກຄ້າ
customized	customized
cut	ຕັດ
cutaneous	cutaneous
cute	ງາມ
cuticle	cuticle
cutie	cutie
cutlass	cutlass
cutlery	cutlery
cutoff	ຕັດ​ອອກ
cutter	ເຄື່ອງຕັດ
cutters	ເຄື່ອງຕັດ
cutthroat	cutthroat
cutting	ການຕັດ
cutting board	ຕັດກະດານ
cuttings	cuttings
cwt	cwt
cyanide	cyanide
cyberspace	cyberspace
cycle	ວົງຈອນ
cyclical	ວົງຈອນ
cyclist	cyclist
cyclone	cyclone
cylinder	cylinder
cylindrical	cylindrical
cymbal	cymbal
cynic	cynic
cynical	cynical
cynicism	cynicism
cyst	cyst
cystic	cystic
cytomegalovirus	cytomegalovirus
cytoplasm	cytoplasm
czar	czar
dab	dab
dabble	dabble
dabbling	dabbling
dad	ພໍ່
daddy	daddy
dado	NO TRANSLATION
daemon	daemon
daft	daft
dagger	dagger
daily	ທຸກມື້
dainty	dainty
daiquiri	daiquiri
dairy	ນົມ
daisy	daisy
dak	NO TRANSLATION
dale	dale
dam	ເຂື່ອນ
damage	ຄວາມເສຍຫາຍ
damaged	ເສຍຫາຍ
damages	ຄວາມເສຍຫາຍ
dame	dame
damn	damn
damnation	damnation
damned	damned
damp	ປຽກ
dampened	ລົດລົງ
damper	damper
damsel	ນ້ອງສາວ
dance	ເຕັ້ນຮໍາ
dancer	ນັກເຕັ້ນລໍາ
dancing	ການເຕັ້ນລໍາ
dandruff	dandruff
dandy	dandy
danger	ອັນຕະລາຍ
dangerous	ອັນຕະລາຍ
dangerously	ອັນຕະລາຍ
dangit	NO TRANSLATION
dangle	dangle
dank	NO TRANSLATION
dapper	dapper
dare	dare
daredevil	daredevil
daresay	daresay
daring	ຫນ້າຢ້ານ
dark	ຊ້ໍາ
darken	darken
darkened	darkened
darkly	darkly
darkness	ຄວາມມືດ
darkroom	darkroom
darkside	ດ້ານ​ມືດ
darling	darling
darn	darn
dart	dart
dash	dash
dashboard	dashboard
dashed	dashed
dashing	dashing
dastardly	dastardly
data	ຂໍ້ມູນ
database	ຖານຂໍ້ມູນ
date	ວັນທີ່
datenight	NO TRANSLATION
daughter	ລູກສາວ
dawdle	dawdle
dawn	ອາລຸນ
dawned	ສະຫງົບສຸກ
day	ມື້
daybreak	daybreak
daycare	daycare
daydream	daydream
daydreaming	daydreaming
daylight	daylight
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	ໃນຕອນກາງຄືນ
daze	daze
dazed	dazed
dazzle	dazzle
dazzling	dazzling
deacon	deacon
deactivate	deactivate
dead	ຕາຍແລ້ວ
deadbeat	deadbeat
deadline	ມື້​ກໍາ​ນົດ​ສົ່ງ
deadlines	ກໍານົດເວລາ
deadlock	deadlock
deadly	ຕາຍ
deaf	deaf
deafening	deafening
deafness	deafness
deal	deal
dealer	dealer
dealership	dealership
dealing	deal
dealings	dealings
dean	dean
dear	ຮັກແພງ
dearest	dearest
dearth	dearth
death	ເສຍຊີວິດ
deathbed	deathbed
deathly	ເສຍຊີວິດ
debacle	ເທວະດາ
debased	ຂົມຂື່ນ
debatable	ສົນທະນາ
debate	ການໂຕ້ຖຽງ
debauchery	ການຂີ້ຕົວະ
debenture	debenture
debilitating	debilitating
debit	debit
debrief	ຂໍ້ມູນເບື້ອງຕົ້ນ
debriefing	debriefing
debris	debris
debt	ຫນີ້ສິນ
debtor	ລູກຫນີ້
debut	debut
debutante	debutante
decade	ທົດສະວັດ
decadence	decadence
decadent	decadent
decaf	decaf
decanter	decanter
decathlon	decathlon
decay	ທໍາລາຍ
decayed	ເສຍຊີວິດ
decaying	decaying
deceased	ເສຍຊີວິດ
decedent	decedent
deceit	ການຫລອກລວງ
deceitful	deceitful
deceive	ຫລອກລວງ
deceived	ຫລອກລວງ
deceiving	ການຫລອກລວງ
december	ທັນວາ
decency	decency
decent	ເຫມາະສົມ
deception	ການຫຼອກລວງ
deceptive	ຫລອກລວງ
decide	ຕັດສິນໃຈ
decidedly	ແນ່ນອນ
deciduous	deciduous
decimal	decimal
decimeter	decimeter
decipher	decipher
decision	ການຕັດສິນໃຈ
decisive	decisive
deck	deck
declaration	ການປະກາດ
declaratory	ປະກາດ
declare	ປະກາດ
declination	declination
decline	ຫຼຸດລົງ
declining	ຫຼຸດລົງ
deco	deco
decode	decode
decoder	decoder
decompose	decompose
decomposed	decomposed
decomposition	decomposition
decompress	decompress
decompression	decompression
decontamination	decontamination
decor	ຕົກແຕ່ງ
decorate	ຕົກແຕ່ງ
decorating	ການອອກແບບ
decoration	ການອອກແບບ
decorative	ຕົກແຕ່ງ
decorator	ຕົກແຕ່ງ
decorum	decorum
decoy	decoy
decrease	ຫຼຸດລົງ
decreased	ລົດລົງ
decreasing	ຫຼຸດລົງ
decree	decree
decrement	ຫຼຸດລົງ
decrepit	ຕົກລົງ
decry	decry
decryption	decryption
dedicate	ເອົາໃຈໃສ່
dedication	ການອຸທິດ
deduce	ຄິດໄລ່
deduct	ລົດຄ່າ
deductible	ສາມາດຖອນໄດ້
deduction	ການຫັກອອກ
deed	deed
deejay	deejay
deem	deem
deep	ເລິກ
deepen	ເພີ່ມເຕີມ
deer	deer
defamation	defamation
defamatory	defamatory
default	Default
defeat	ເອົາຊະນະ
defeated	defeated
defeatist	defeatist
defect	ຜິດປົກກະຕິ
defection	defection
defective	ຜິດປົກກະຕິ
defector	defector
defend	ປ້ອງກັນ
defendant	ຈໍາເລີຍ
defended	defended
defender	ຜູ້ຖືກກ່າວຟ້ອງ
defending	ການປ້ອງກັນ
defense	ປ້ອງ​ກັນ
defenseless	defenseless
defensible	defensible
defensive	ປ້ອງກັນປະເທດ
defer	defer
deference	deference
deferral	deferral
deferring	deferring
defiance	defiance
defiant	defiant
defibrillator	defibrillator
deficiency	ຂາດແຄນ
deficient	ຂາດຕົວ
deficit	ການຂາດດຸນ
define	ກໍານົດ
defined	ກໍານົດໄວ້
definite	ແນ່ນອນ
definition	definition
definitive	ແນ່ນອນ
deflate	ເຮັດລາຍ
deflation	deflation
deflect	deflect
deflection	deflection
defloration	defloration
deform	deform
deformed	deformed
deformity	deformity
defraud	ການຂົ່ມເຫັງ
defray	defray
defrost	defrost
deft	deft
defunct	ຂາດຕົວ
defuse	ຂັດຂວາງ
defy	defy
degeneracy	degeneracy
degenerate	degenerate
degeneration	degeneration
degradation	degradation
degrade	degrade
degraded	degraded
degrading	degrading
degree	degree
dehydrated	ຂາດນ້ໍາ
dehydration	dehydration
dejected	dejected
delay	ຊັກຊ້າ
delayed	ຊັກຊ້າ
delectable	delectable
delegate	ຜູ້ແທນ
delegation	ຄະນະຜູ້ແທນ
delete	ລົບ
deleterious	deleterious
deletion	deletion
deli	deli
deliberate	deliberate
deliberation	deliberation
deliberative	deliberative
delicacy	delicacy
delicate	ອ່ອນເພຍ
delicatessen	delicatessen
delicious	delicious
delight	delight
delighted	ພໍໃຈ
delightful	delightful
delineate	delineate
delineation	delineation
delinquency	ຄວາມຜິດກົດຫມາຍ
delinquent	delinquent
delirious	delirious
delirium	delirium
deliver	ມອບໃຫ້
deliverance	ການປົດປ່ອຍ
delivery	delivery
dell	dell
delta	delta
delude	delude
deluge	deluge
delusion	delusion
delusional	delusional
deluxe	deluxe
delve	delve
demand	ຄວາມຕ້ອງການ
demanding	ຕ້ອງການ
demeaned	demeaned
demeaning	demeaning
demeanor	demeanor
demented	demented
dementia	dementia
demise	demise
demo	demo
democracy	ປະຊາທິປະໄຕ
democrat	ປະຊາທິປະໄຕຍ
democratic	ປະຊາທິປະໄຕຍ
demographic	demographic
demolish	ທໍາລາຍ
demolished	ທໍາລາຍ
demolition	ການທໍາລາຍ
demon	demon
demonic	demonic
demonstrable	ສາມາດນໍາສະເຫນີໄດ້
demonstrate	ສະແດງໃຫ້ເຫັນ
demonstrated	ສະແດງໃຫ້ເຫັນ
demonstrating	ສະແດງໃຫ້ເຫັນ
demonstration	ການປະທ້ວງ
demonstrative	ສະແດງໃຫ້ເຫັນ
demonstrator	ນັກສະແດງ
demoralized	demoralized
demos	demos
demure	ເຮັດໃຫ້ຂັດຂວາງ
den	NO TRANSLATION
deniability	deniability
denial	ການປະຕິເສດ
denied	ຖືກປະຕິເສດ
denim	denim
denomination	denomination
denominational	denominational
denominator	ຕົວບົ່ງຊີ້
denote	ຫມາຍເຖິງ
denounce	ປະຕິເສດ
dense	ຫນາແຫນ້ນ
density	ຄວາມ​ຫນາ​ແຫນ້ນ
dent	dent
dental	ແຂ້ວ
dentist	ຫມໍແຂ້ວ
dentistry	dentistry
dentists	ຫມໍແຂ້ວ
denunciation	ການລົງໂທດ
deny	ປະຕິເສດ
denying	ປະຕິເສດ
deodorant	deodorant
depart	ອອກເດີນທາງ
departed	ຫນີໄປ
department	ພະແນກ
departmental	departmental
departure	ອອກເດີນທາງ
depend	depend
dependable	ເຊື່ອຖືໄດ້
dependant	dependent
dependence	dependence
dependency	dependency
dependent	dependent
depict	depict
depicting	ສະແດງໃຫ້ເຫັນ
depletion	depletion
deplorable	deplorable
deplore	ຂີ້ກຽດ
deploy	deploy
deployment	deployment
deport	deport
deportation	deportation
depose	depose
deposit	deposit
depositary	depositary
deposition	ເງິນຝາກ
depository	depository
depot	depot
depraved	depraved
depravity	depravity
depreciate	ຕົກລົງ
depreciated	ຖືກຫັກຄ່າ
depreciation	ການ​ເສື່ອມ​ຄຸນ​ຄ່າ
depress	ຊຶມເສົ້າ
depressed	ຊຶມເສົ້າ
depressing	ຊຶມເສົ້າ
depression	ການຊຶມເສົ້າ
depressive	ຊຶມເສົ້າ
depresson	NO TRANSLATION
deprivation	ການຂາດແຄນ
deprive	ລົບກວນ
deprived	ຂາດດ່າງ
depth	ຄວາມເລິກ
deputy	ຮອງ
derail	ຂັດຂວາງ
deranged	deranged
derelict	derelict
derision	derision
derivation	derivation
derivative	derivative
derive	ມາຈາກ
dermal	dermal
dermatologist	dermatologist
dermatology	dermatology
derogation	derogation
derogatory	ການລ່ວງລະເມີດ
descend	ລົງມາ
descendant	descendant
descendent	NO TRANSLATION
descending	ຫຼຸດລົງ
descent	descent
describe	ອະທິບາຍ
description	ລາຍລະອຽດ
descriptive	descriptive
desecrate	ຂັດຂືນ
desecration	desecration
desert	ທະ​ເລ​ຊາຍ
deserted	deserted
deserter	deserter
desertion	desertion
deserve	ສົມຄວນ
deserved	ສົມຄວນ
deserving	ເຫມາະສົມ
design	ອອກ​ແບບ
designate	ກໍາຫນົດ
designated	ກໍານົດ
designation	ການອອກແບບ
designed	ຖືກອອກແບບມາ
designer	ອອກແບບ
designing	ການອອກແບບ
desirability	ຄວາມປາຖະຫນາ
desirable	ຕ້ອງການ
desire	ຄວາມປາຖະຫນາ
desiring	ຕ້ອງການ
desirous	desirous
desist	desist
desk	ໂຕ໊ະເຮັດວຽກ
desolate	desolate
desolation	desolation
despair	ຄວາມເປັນຫ່ວງ
despairing	ຫ່ວງໃຍ
despatch	despatch
desperado	desperado
desperate	ຫ່ວງໃຍ
desperation	desperation
despicable	ຫນ້າກຽດຊັງ
despise	despise
despondent	ຕົກໃຈ
despotic	despotic
despotism	despotism
dessert	dessert
destination	destination
destined	destined
destiny	ຈຸດຫມາຍປາຍທາງ
destitute	ທຸກຍາກ
destroy	ເຮັດລາຍ
destroyed	ຖືກທໍາລາຍ
destroyer	destroyer
destroying	ທໍາລາຍ
destruct	ທໍາລາຍ
destruction	ການທໍາລາຍ
destructive	destructive
detach	ແນກ
detached	ຖືກແຍກອອກ
detachment	detachment
detail	ລາຍລະອຽດ
detailed	ລາຍລະອຽດ
details	ລາຍລະອຽດ
detain	ຈັບຕົວ
detainee	detainee
detect	ກວດພົບ
detectable	detectable
detection	ການກວດພົບ
detective	ນັກສືບ
detector	ເຄື່ອງກວດຈັບ
detention	ການຄຸມຂັງ
deter	ຂັດຂວາງ
detergent	ຜົງຊັກຟອກ
deteriorate	ຕົກລົງ
deteriorated	ເສຍດາຍ
deteriorating	ລົດລົງ
deterioration	ຄວາມເສຍຫາຍ
determinable	ສາມາດກໍານົດໄດ້
determinate	ກໍານົດ
determination	ການກໍານົດ
determine	ກໍານົດ
determined	ຖືກກໍານົດ
deterrent	ຂັດຂວາງ
detest	detest
detestation	detestation
detonate	ລະເບີດ
detonation	ການລະເບີດ
detonator	ນັກລະເບີດ
detour	ເສັ້ນທາງເດີນເຮືອ
detract	ເຮັດລາຍ
detriment	ເສຍຫາຍ
detrimental	ເປັນອັນຕະລາຍ
detritus	detritus
deuce	deuce
deutschmark	deutschmark
devalued	devalued
devastate	devastate
devastated	devastated
devastating	devastating
devastation	devastation
develop	ພັດທະນາ
developer	ນັກພັດທະນາ
developing	ການພັດທະນາ
development	ການພັດທະນາ
deviant	deviant
deviate	ຫັນໄປ
deviating	deviating
deviation	deviation
device	ອຸປະກອນ
devil	devil
deviled	deviled
devilish	devilish
devious	devious
devise	ອອກແບບ
devoid	devoid
devolution	devolution
devolve	devolve
devote	ອຸທິດ
devoted	ອຸທິດຕົນ
devotee	devotee
devotion	ການອຸທິດຕົນ
devotional	devotional
devour	devour
devout	devout
dew	dew
dexter	dexter
dexterity	dexterity
dextrose	dextrose
diabetes	ໂລກເບົາຫວານ
diabetic	diabetic
diabolical	diabolical
diagnose	ການວິນິດໄສ
diagnosis	ການວິນິດໄສ
diagnostic	ການວິນິດໄສ
diagnostics	ການວິນິດໄສ
diagonal	diagonal
diagram	diagram
dial	dial
dialect	dialect
dialectic	dialectic
dialogue	ການປຶກສາຫາລື
dialysis	dialysis
diameter	ເສັ້ນຜ່າສູນກາງ
diamond	ເພັດ
diamonds	ເພັດ
diaper	diaper
diaphragm	diaphragm
diarrhea	ພະຍາດຖອກທ້ອງ
diarrhoea	ພະຍາດຖອກທ້ອງ
diary	ວາລະສານ
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	dice
dicey	dicey
dichotomous	dichotomous
dichotomy	dichotomy
dick	dick
dickhead	dickhead
dicks	dicks
dictate	dictate
dictation	dictation
dictator	dictator
dictatorial	dictatorial
dictatorship	dictatorship
diction	diction
dictionary	ວັດ​ຈະ​ນາ​ນຸ​ກົມ
dictum	NO TRANSLATION
didactic	didactic
diddle	diddle
die	NO TRANSLATION
died	ເສຍຊີວິດ
diesel	ກາຊວນ
diet	ອາຫານ
dietary	ອາຫານ
differ	ແຕກຕ່າງກັນ
difference	ຄວາມແຕກຕ່າງ
differences	ຄວາມແຕກຕ່າງ
different	ແຕກຕ່າງກັນ
differential	ຄວາມແຕກຕ່າງ
differentiation	ຄວາມແຕກຕ່າງ
differently	ແຕກຕ່າງກັນ
differing	ແຕກຕ່າງກັນ
difficult	ຍາກ
difficulties	ຄວາມຫຍຸ້ງຍາກ
difficulty	ຄວາມຫຍຸ້ງຍາກ
diffuse	ກະ​ຈາຍ
diffusion	ການແຜ່ກະຈາຍ
dig	NO TRANSLATION
digest	digest
digestion	ການຍ່ອຍອາຫານ
digestive	digestive
digit	ຕົວເລກ
digital	ດິຈິຕອນ
dignified	dignified
dignify	ສະຫງ່າງາມ
dignity	dignity
digress	digress
digs	NO TRANSLATION
dike	dike
dilapidated	ເສຍຫາຍ
dilatation	dilatation
dilation	dilation
dildo	dildo
dilemma	dilemma
diligence	ຄວາມດຸຫມັ່ນ
diligent	ດຸຫມັ່ນ
dill	dill
diluent	diluent
dilute	dilute
diluted	diluted
dilution	dilution
dim	dim
dime	dime
dimension	dimension
dimensional	dimensional
diminish	ລົດລົງ
diminished	ຫຼຸດລົງ
diminution	diminution
diminutive	diminutive
dimwit	dimwit
din	NO TRANSLATION
dine	ກິນເຂົ້າ
diner	diner
dinghy	dinghy
dingo	dingo
dingy	dingy
dining	dining
dinky	dinky
dinner	ອາຫານຄ່ໍາ
dinnertime	ເວ​ລາ​ອາ​ຫານ​ຄ​່​ໍ​າ
dinosaur	ໄດໂນເສົາ
dint	dint
diocesan	diocesan
