Word	gd
comforter	compordair
comforting	a 'comhfhurtachd
comfy	comfy
comic	comic
comical	èibhinn
comics	comaigean
coming	tighinn
comma	cromag
command	òrdugh
commandant	ceannard
commandeer	ceannard
commander	ceannard
commanding	òrdugh
commandment	òrdugh
commando	comando
commemorate	cuimhneachadh
commemoration	cuimhneachaidh
commemorative	cuimhneachaidh
commence	tòiseachadh
commend	moladh
commendable	moladh
commendation	moladh
commensurate	co-ionnan
comment	aithris
commentary	aithris
commentator	aithrisiche
commerce	malairt
commercial	malairt
commie	coma
commissary	comisiàir
commission	coimisean
commissioner	coimiseanair
commit	dèanamh
commitment	dealas
committal	tiomnadh
committed	dealasach
committee	chomataidh
commodity	bathar-amh
commodore	cladhach
common	cumanta
commoner	cumanta
commonly	gu cumanta
commonplace	àbhaisteach
commons	coman
commonwealth	co-fhlaitheas
commotion	tubaist
communal	coitcheann
commune	comainn
communicable	comasach
communicate	conaltradh
communication	conaltradh
communicative	conaltraidh
communicator	conaltraidh
communion	comanachadh
communism	comannachd
communist	comannach
community	coimhearsnachd
commutation	còmhradh
commutative	coimeasach
commute	siubhal
commuter	siubhal
comp	comp
compact	compact
compaction	coimeasachadh
compactness	compactness
companion	companach
companionless	companachless
companionship	companach
company	companaidh
comparable	coltach
comparative	coimeasach
comparatively	gu ìre bheag
compare	coimeas a dhèanamh
comparison	coimeas
compartment	seòmar
compass	compas
compassion	truas
compassionate	truasnach
compatibility	co-chòrdachd
compatible	co-chòrdail
compel	compàirteachadh
compelled	air a neartachadh
compelling	làidir
compendium	compendium
compensate	dìoladh
compensation	dìoladh
compensatory	dìoladh
compete	farpais
competence	comas
competency	comasachd
competent	comasach
competition	farpais
competitive	farpaiseach
competitor	farpaiseach
compilation	cruinneachadh
compile	cruinneachadh
complacency	sàrachadh
complacent	sàsaichte
complain	gearanan
complaint	gearan
complement	a bharrachd
complementary	co-phàirteach
complete	iomlan
completed	crìochnaichte
completely	gu tur
completeness	iomlanachd
completing	crìochnachadh
completion	crìochnachadh
complex	iom-fhillte
complexed	iom-fhillte
complexion	sgaoileadh
complexity	iom-fhillteachd
compliance	gèilleadh
compliant	co-chòrdail
complicate	duilich
complicated	iom-fhillte
complication	duilgheadas
complicity	duilgheadas
compliment	NO TRANSLATION
complimentary	s an Iar-
comply	gèilleadh
complying	a 'gèilleadh
compo	compo
component	pàirt
compose	compàirteachadh
composed	air a dhèanamh
composer	sgrìobhaiche
composite	coimeasgaichte
composition	sgaoileadh
compost	compost
composure	sgaoileadh
compound	cumanta
comprehend	tuigse
comprehension	tuigse
comprehensive	iomlan
compress	compress
compressed	sgaoileadh
compressible	mì-chinnteach
compression	compression
compressor	compressor
comprise	sgaoileadh
compromise	co-rèiteachadh
comptroller	neach-riaghlaidh
compulsion	èigneachadh
compulsive	èibhinn
compulsory	èigneachail
computable	sgaoileadh
computation	àireamhachd
compute	cunntadh
computer	coimpiutair
computerized	coimpiutaireachd
computing	coimpiutaireachd
comrade	comrade
con	NO TRANSLATION
concatenation	concatenation
concave	concave
conceal	ceal
concealed	falach
concealment	a 'falach
concede	Ceadaich
conceit	s an Iar-
conceited	sneachda
conceivable	faireachdainn
conceive	faireachdainn
concentrate	concentrate
concentration	concentration
concentric	cruinneachaidh
concept	bun-bheachd
conception	beul-aithris
concern	dragh
concerned	draghail
concert	cuirm-chiùil
concerto	Ceòladair
concession	connsachadh
concessional	saorsaidh
conch	conch
concierge	concierge
conciliation	rèiteachadh
concise	geàrr
conclave	conclave
conclude	tighinn gu crìch
concluding	crìochnachadh
conclusion	co-dhùnadh
conclusive	dhùnadh
concoction	sneachda
concomitant	co-fhaireachdainn
concord	concord
concordance	concordance
concours	NO TRANSLATION
concourse	còmhradh
concrete	concrait
concubine	co-bhanntachd
concur	co-chòrdadh
concurrence	aonta
concurrent	co-ionnan
concurring	co-rèiteachadh
concussion	s an Iar-
condemn	dìteadh
condemnation	dìteadh
condensation	co-chòrdadh
condensed	sgaoileadh
condescending	a 'cur an cèill
condescension	dìomhaireachd
condiment	sèididh
condition	staid
conditional	cùmhnantach
conditionally	gu cùramach
conditioned	air a ghleidheadh
conditioner	gleidhidh
conditioning	aodach
conditions	suidheachaidhean
condo	condo
condolence	condolence
condolences	co-fhaireachdainn
condom	condom
condone	a 'cur an cèill
condor	condor
conducive	taiceil
conduct	giùlan
conduction	gluasad
conductivity	giùlanachd
conductor	stiùiriche
conduit	seòl
cone	cón
confederacy	co-sheòrsachd
confederate	co-aonta
confederation	co-chaidreachas
confer	toirt seachad
conference	co-labhairt
confess	aideachadh
confession	aideachadh
confessional	confessional
confessions	confessions
confetti	confetti
confidant	ag ràdh
confide	deònach
confidence	misneachd
confident	misneachail
confidential	dìomhair
confidentiality	dìomhaireachd
confidentially	NO TRANSLATION
configuration	rèiteachadh
confine	sgaoileadh
confined	sgaoileadh
confinement	cuingealachadh
confines	co-cheangailte
confirm	daingnich
confirmation	dearbhadh
confirmatory	dearbhaidh
confirmed	daingneachadh
confiscate	sabaid
confiscation	sguabadh às
conflagration	mì-chliù
conflict	còmhstri
conflicting	eadar-dhealaichte
confluence	còmhradh
conform	rèir
conformance	co-rèiteachadh
conformation	NO TRANSLATION
conformity	co-rèiteachadh
confound	mearachdach
confounded	mì-thoilichte
confront	aghaidh
confrontation	confrontation
confuse	troimh-chèile
confused	mearachdach
confusing	meallta
confusion	mearachd
conga	conga
congenial	congenial
congenital	congenital
congestion	dùmhlachd
conglomerate	còmhdach
conglomeration	cruinneachaidhean
congrats	co-chòrdadh
congratulate	meal-a-naidheachd
congratulation	meal-a-naidheachd
congratulations	meala-naidheachd
congratulatory	meala-naidheachd
congregate	cruinnich
congregation	coitheanal
congress	congress
congressional	congressional
congressman	congressman
congruence	co-ionnanachd
conic	conic
conical	cianail
conjecture	giùlan
conjugal	co-dhualchasach
conjugate	co-ghluasadach
conjugation	co-luachadh
conjunction	co-obrachadh
conjunctive	connspaideach
conjure	gèilleadh
conjuring	sgaoileadh
conk	conk
connect	ceangal
connected	ceangailte
connection	ceangal
connective	ceangal
connoisseur	connoisseur
conquer	gèilleadh
conquering	a 'toirt ionnsaigh
conqueror	conqueror
conquest	conquest
conscience	cogais
conscientious	dìleas
conscious	mothachail
consciousness	mothachadh
conscription	conscription
consecrated	coisrigte
consecration	coisrigeadh
consecutive	leantainneach
consensual	aontaich
consensus	co-aontachd
consent	cead
consenting	a 'ceadachadh
consequence	buaidh
consequent	mar thoradh air
conservation	glèidhteachas
conservatism	glèidhteachas
conservative	glèidhteach
conservatory	seòmar-cadail
conserve	glèidhte
consider	beachdachadh
considerable	mòran
considerate	beachdachadh
consideration	beachdachadh
consignee	neach-tagraidh
consignment	seirbheis
consist	a 'gabhail a-steach
consistency	cunbhalachd
consistent	co-chòrdail
consolation	consolation
console	console
consoled	s an Iar-
consolidate	daingneachadh
consolidated	daingnichte
consolidation	daingneachadh
consonant	consonant
consort	co-chòrdadh
conspicuous	tha e follaiseach
conspiracy	co-chòrdadh
conspirator	co-cheannaiche
conspire	chiad sreath
constable	Constable
constancy	seasmhachd
constant	seasmhach
constantly	daonnan
constellation	connspaid
consternation	dragh
constipation	slatan-tomhais
constituency	roinn-phàrlamaid
constituent	riochdaire
constituents	luchd-taghaidh
constitute	a 'riochdachadh
constitution	bun-reachd
constitutional	bun-reachdail
constitutionality	bun-reachdas
constrain	cuingealachadh
constrained	cuingealaichte
constraint	srian
construct	togail
construction	togail
constructive	cuideachail
construe	togail
consul	consul
consulate	consulachd
consult	co-chomhairleachadh
consultant	comhairliche
consultation	co-chomhairleachadh
consume	ithe
consumer	luchd-cleachdaidh
consuming	a 'caitheamh
consummate	làn
consummation	crìochnachadh
consumption	caitheamh
contact	cuir fios thugainn
contagion	sàrachadh
contagious	gabhaltach
contain	steach
container	còmhdach
containment	còmhdach
contaminate	truailleadh
contaminated	truailleadh
contamination	truailleadh
contemplate	beachdachadh air
contemplation	miannachadh
contemplative	sgaoileadh
contemporaneous	co-ionnan
contemporary	co-aimsireil
contempt	dìomhaireachd
contemptible	mì-mhisneach
contemptuous	èibhinn
contend	a 'cumail a-mach
contender	gearan
contending	a 'leantainn
content	susbaint
contented	sàsaichte
contention	sàrachadh
contentious	còmhstri
contentment	sàsaichte
contents	susbaint
contest	farpais
contestant	farpais
context	co-theacsa
contiguous	còmhla
continence	leantainneachd
continent	mòr-thìr
continental	mòr-thìr
contingency	èiginn
contingent	cùis-lagha
continual	leantainneach
continually	gu bràth
continuance	leantainn
continuation	leantainn
continue	lean ort
continued	a 'leantainn
continuing	a 'leantainn
continuity	leantainneachd
continuous	leantainneach
continuously	gu leantainneach
continuum	leantainneach
contour	contour
contraband	contraband
contraception	frith-bheothachadh
contract	cùmhnant
contracted	cunnradh
contractile	cunnraidh
contracting	cunnraidh
contraction	crapadh
contractor	cunnradair
contradict	a 'dol an aghaidh
contradiction	contradiction
contradictory	a rèir coltais
contraption	còmhradh
contrary	an aghaidh
contrast	eadar-dhealachadh
contrasted	eadar-theangachadh
contravene	bualadh
contravention	briseadh
contribute	cuir a-steach
contribution	chuideachadh
contributor	am fiosraiche
contrite	bualadh
contrition	sgaoileadh
contrived	sgaoileadh
control	smachd
controller	riaghladair
controlling	a 'smachdachadh
controversial	connspaideach
controversy	connspaid
contusion	còmhdach
conundrum	sneachda
convalescent	dùmhlachadh
convection	giùlan
convene	bruidhinn
convenience	goireasan
conveniences	goireasan
convenient	convenient
convent	cràbhach
convention	cùmhnant
conventional	àbhaisteach
converge	converge
convergence	convergence
convergent	co-fhillte
conversant	còmhradh
conversation	còmhradh
conversational	còmhradh
conversationalist	còmhladair
converse	còmhradh
conversing	còmhradh
conversion	tionndadh
convert	tionndadh
converted	tionndadh
convertible	tionndadh
convex	gàirdeil
convexity	dìomhaireachd
convey	bruidhinn
conveyance	còmhdhail
conveyancing	conveyancing
convict	ciontach
conviction	dìteadh
convince	dearbhadh
convinced	dearbhadh
convincing	dearbhach
convocation	co-labhairt
convoluted	sgaoileadh
convolution	convolution
convoy	convoy
coo	coo
cook	còcaireachd
cookbook	leabhar còcaireachd
cooker	còcaireachd
cookery	còcaireachd
cookie	còcaireachd
cookies	briosgaidean
cooking	còcaireachd
cookout	còcaireachd
cool	tarraingeach
coolant	fuasgladh
cooler	sneachda
cooling	fuarachadh
coolness	fionnasachd
coon	coon
coop	coop
cooperate	co-obrachadh
cooperating	co-obrachadh
cooperation	co-obrachadh
cooperative	co-obrachail
coordinate	co-òrdanachadh
coordination	co-òrdanachadh
coordinator	co-òrdanaiche
cop	cop
copacetic	NO TRANSLATION
cope	cope
copier	copaidh
copilot	s an Iar-
coping	a 'dèiligeadh
copious	glè mhòr
copper	copar
copter	s an Iar-
copy	lethbhreac
copycat	sgaoileadh
copying	copaidh
copyright	dlighe-sgrìobhaidh
coral	corail
coral snake	nathair corail
cord	corda
cordial	s an Iar-
cordless	sgaoileadh
cordon	cordon
corduroy	corduroy
core	cridhe
cork	coirce
corkscrew	corkscrew
corn	arbhar
cornball	cornball
cornbread	cornbread
cornea	cornea
corned	coirce
corner	oisean
cornerstone	chlach-oisinn
cornet	cornet
cornfield	cornfield
cornflakes	NO TRANSLATION
cornice	cornice
cornstarch	cornstarch
corny	coirce
corollary	coimheadaidh
corona	corona
coronary	coronaidh
coronation	crùnadh
coroner	crònair
corporal	chorporra
corporate	corporra
corporation	corporra
corporeal	corporra
corps	corp
corpse	corp
corpsman	corp
corpus	corpus
corral	corral
correct	ceart
correction	ceartachadh
correctional	ceartachadh
corrective	ceartachadh
correctness	ceartachd
correlation	co-dhàimh
correlative	co-fhreagarrach
correspond	co-fhreagair
correspondence	litrichean
correspondent	sgrìobhaiche
corresponding	co-fhreagairt
corridor	trannsa
corroborate	a 'daingneachadh
corroboration	corroboration
corrosion	corrosion
corrosive	corrosive
corrupt	truaillidh
corrupting	truailleadh
corruption	coirbeachd
corsage	corsage
corse	NO TRANSLATION
corset	corset
cortex	cortex
cortical	cortical
cortisone	cortisone
corvette	corvette
cosmetic	cosgais
cosmetics	cosmigean
cosmic	cosmic
cosmology	cosmology
cosmopolitan	cosmopolitan
cosmos	cosmos
cost	cosgais
costly	costasach
costume	èideadh
cosy	cozy
cot	cot
cote	cote
cottage	taigh-tughaidh
cotton	cotan
couch	lobhta
cougar	cùbhraidh
cough	casadaich
council	comhairle
councilman	comhairle
counsel	comhairle
counseling	comhairleachadh
counsellor	comhairleora
counselor	comhairleora
count	cunntadh
countdown	cunntadh sìos
countenance	facal
counter	cunntair
counteract	a 'cur an aghaidh
counterattack	ioma-aghaidh
counterbalance	sìor-chothromachadh
counterclaim	co-fhreagairt
counterfeit	sgaoileadh
counterpart	co-ionnan
counterpoint	Cùmhnantan-cleachdaidh
countess	ban-iarla
countless	cunntadh
country	dùthaich
countryman	dùthaich
countrymusic	NO TRANSLATION
countryside	dùthaich
counts	cunntadh
county	siorrachd
coup	coup
coupe	cùpe
couple	càraid
coupled	còmhla
coupling	còmhradh
coupon	cùpón
courage	misneachd
courageous	misneachail
courier	teachdaire
courses	cùrsaichean
coursing	a 'cèilidh
court	cùirt
courteous	èibhinn
courtesy	le cùirt
courthouse	cùirt
courtroom	seòmar-cùirte
courts	cùirtean
courtship	suirghe
courtside	taobh cùirt
courtyard	lios
cousin	co-ogha
cousins	co-oghaichean
cove	cove
coven	coven
covenant	co-cheangal
cover	còmhdach
coverage	còmhdach
covered	còmhdaichte
covering	còmhdach
covert	còmhdach
covet	còmhdach
coveted	s an Iar-
cow	bò
coward	èibhinn
cowardice	èibhinn
cowardly	èibhinn
cowboy	buachaille
cowgirl	buachaille
cowhand	bòcan
cowhide	sneachda
cowl	bòc
coworker	obrach
coy	coy
coyote	coyote
cozy	cozy
crab	crab
crabby	crabby
crack	craiceann
cracked	air sgàin
cracker	sgàileadh
crackerjack	craiceann-craiceann
cracking	a 'sgioblachadh
crackle	sgàineadh
crackpot	s an Iar-
cradle	cradle
craft	ceàird
crafts	ciùird
craftsman	ceàird
craftsmanship	ciùird
crafty	crafty
craig	craig
cram	cram
crammed	s an Iar-
cramp	cramp
cramped	glè bheag
cranberry	cranberry
cranberry juice	sùgh cranberry
crane	crann
cranial	cranial
cranium	cranium
crank	crank
cranky	cranky
cranny	cranny
crap	crap
crappy	sgiobalta
craps	sgioblachadh
crash	tubaist
crass	crass
crate	crathadh
crater	crater
crave	caoidh
craving	ag iarraidh
crawfish	crosgag
crawl	crawl
crayon	crèadh
crayons	criùran
craze	craze
crazed	air a chrochadh
craziness	craziness
crazy	crazy
creak	sgaoileadh
creaking	ag èigheach
cream	uachdar
creamed	sgaoileadh
creamer	creamer
creamy	uamhasach
crease	sgaoileadh
create	cruthaich
creation	cruthachadh
creative	cruthachail
creativity	cruthachalachd
creator	creutair
creature	creutair
credence	creideas
credential	teisteanas
credentials	teisteanasan
credibility	creideas
credible	creidsinneach
credit	creideas
credit card	Cairt creideis
creditable	creidsinneach
credited	air a chreidsinn
crediting	creideas
creditor	creideasair
creed	creideamh
creek	clach
creep	a 'cromadh
creeper	sgaoileadh
creeping	a 'crathadh
creepy	uaigealta
cremation	losgadh
creole	criolla
crepe	crepe
crescendo	crescendo
crescent	creagan
crest	suaicheantas
crestfallen	creagan
cretin	cretin
cretins	cretairean
crevice	sgoltadh
crew	criutha
crewman	criutha
crib	crib
cricket	criogaid
cried	ghlaodh
crime	eucoir
criminal	eucoireach
criminality	eucorach
crimp	crimp
crimson	dearg
cringe	cringeadh
cripple	crioch
crippled	s an Iar-
crippling	sgiobalta
crisis	èiginn
crisp	crisp
crispy	crispy
criterion	criterion
critic	càineadh
critical	cruaidh
criticise	càineadh
criticism	càineadh
criticize	càineadh
criticized	càineadh
critique	breithneachadh
critter	critter
croak	croak
croc	croc
crock	crock
crockery	croisean
crocodile	crogall
croft	croit
croissant	sgaoileadh
crook	crook
crooked	cam
crop	bàrr
croquet	croquet
cross	crois
cross country	thar-dùthaich
crossbow	bogha-bhogha
crossed	thairis
crossfire	crois-chraobh
crossing	dol thairis
crossover	crossover
crosswalk	crosswalk
crossword	crossword
crotch	crotch
crouch	cromadh
crouched	crùbadh
crouching	a 'cromadh
croupier	cròpair
crow	feannag
crowbar	saoghail
crowd	sluagh
crowded	sluagh
crowds	sluagh
crown	crùn
crowning	a 'crùnadh
crucial	deatamach
cruciate	cruciate
crucifix	ceusadh
crucifixion	cruisneachadh
crucify	ceusadh
crud	crud
crude	amh
cruel	cruaidh
cruelly	cruaidh
cruelty	cruelty
cruise	cuairt-mara
cruise ship	bàta-turais
cruiser	cruiser
cruising	siubhal
crumb	crùbag
crumble	crumble
crumbling	crìonadh
crummy	crummy
crunch	criseadh
crunchy	crunchy
crusade	còmhdhail
crusader	cruadair
crush	crush
crushed	air a bhriseadh
crusher	brògair
crushing	a 'briseadh
crust	crust
crusty	sgudal
crutch	crutch
crux	crux
cry	caoineadh
crybaby	crìbag
crying	a 'caoineadh
crypt	crioch
cryptic	clach
cryptography	criptography
crystal	criostail
crystalline	criostail
crystallization	criostalan
cub	cub
cubby	cubby
cube	ciùb
cubic	ciùbach
cubicle	còmhdach
cuckold	cuckold
cuckoo	cuthag
cucumber	cucumber
cuddle	cuddle
cuddled	cuddled
cuddles	cuddles
cuddling	a 'cromadh
cue	cluinntinn
cuff	cuff
cuisine	biadh
culinary	saoghail
cull	caoidh
culminate	crìochnachadh
culmination	crìch
culpability	cionta
culpable	s an Iar-
culprit	a 'chùis
cult	cult
cultivate	àiteach
cultivated	àiteach
cultivation	àiteachadh
cultural	cultarail
culture	cultar
cultured	cultarach
culvert	cladhach
cumbersome	èibhinn
cumulus	cumulus
cunning	cunning
cunt	cunt
cup	cupa
cupboard	pròbhaist
cupcake	cupcake
cupping	cupping
cur	cur
curable	cothromach
curate	saighdear
curative	cùramach
curator	neach-glèidhidh
curb	sgoltadh
curd	sgaoileadh
cure	leigheas
curfew	curfew
curiosity	iongnadh
curious	neònach
curl	curl
curling	curladh
currency	airgead
current	làithreach
curriculum	curraicealam
curry	curry
curse	mhallachd
cursed	mallachd
cursing	mallachadh
cursory	sgaoileadh
curt	curt
curtail	lùghdachadh
curtailment	cuartachadh
curtain	cùirteir
curtains	cùirtearan
curtsy	curtsy
curvature	cuibhleachd
curve	lùb
curved	sgaoileadh
curvilinear	sgaoileadh
cushion	cuisean
cushy	cushy
cusp	Cus
cuss	cuss
cussed	sgaoileadh
custard	Cladard
custodial	dìon
custodian	gleidhidh
custody	cùram
custom	àbhaisteach
customary	àbhaisteach
customer	luchd-ceannach
customized	àbhaisteach
cut	gearradh
cutaneous	sneachda
cute	cute
cuticle	cuticle
cutie	gearradh
cutlass	gearradh glas
cutlery	snàithlean
cutoff	Geàrr dheth
cutter	gearradh
cutters	gearraidh
cutthroat	gearradh cruaidh
cutting	gearradh
cutting board	buain gearraidh
cuttings	gearraidhean
cwt	cwt
cyanide	cianide
cyberspace	cyberspace
cycle	rothaireachd
cyclical	ciorramach
cyclist	rothaiche
cyclone	rothaiche
cylinder	siolandair
cylindrical	siolandair
cymbal	cymbal
cynic	cuthaig
cynical	cianail
cynicism	cinnidheachd
cyst	cyst
cystic	cist
cytomegalovirus	citomegalovirus
cytoplasm	cytoplasm
czar	czar
dab	dab
dabble	dabble
dabbling	dabbling
dad	athair
daddy	dad
dado	NO TRANSLATION
daemon	daemon
daft	daft
dagger	biodag
daily	a h-uile latha
dainty	bòidheach
daiquiri	daiquiri
dairy	bainne
daisy	daisy
dak	NO TRANSLATION
dale	dale
dam	dama
damage	milleadh
damaged	milleadh
damages	milleadh
dame	dame
damn	damn
damnation	damnation
damned	damned
damp	taise
dampened	sgaoileadh
damper	sgoltadh
damsel	nighean
dance	dannsa
dancer	dannsair
dancing	dannsa
dandruff	dandruff
dandy	dandy
danger	cunnart
dangerous	cunnartach
dangerously	cunnartach
dangit	NO TRANSLATION
dangle	cunnartach
dank	NO TRANSLATION
dapper	dapper
dare	dare
daredevil	daredevil
daresay	sàmhach
daring	caoidh
dark	dorcha
darken	dorchadas
darkened	dorchadas
darkly	dorcha
darkness	dorchadas
darkroom	seòmar dorcha
darkside	air falbh
darling	leannan
darn	darn
dart	dart
dash	dash
dashboard	deas-bhòrd
dashed	sgaoileadh
dashing	dashing
dastardly	gu dòigheil
data	dàta
database	stòr-dàta
date	ceann-latha
datenight	NO TRANSLATION
daughter	nighean
dawdle	dawdle
dawn	dawn
dawned	s an Ear-Dheas
day	latha
daybreak	briseadh latha
daycare	cùram latha
daydream	sgaoileadh
daydreaming	sgaoileadh
daylight	solas an latha
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	latha
daze	daze
dazed	sneachda
dazzle	dazzle
dazzling	sàmhach
deacon	deacon
deactivate	deactivate
dead	marbh
deadbeat	marbh
deadline	ceann-latha
deadlines	cinn-latha
deadlock	sgaoileadh
deadly	marbhtach
deaf	bodhar
deafening	bodhar
deafness	bodhar
deal	dèiligeadh
dealer	neach-malairt
dealership	dealership
dealing	dèiligeadh
dealings	gnothaichean
dean	Dean
dear	brònach
dearest	gaoil
dearth	dìomhaireachd
death	bàs
deathbed	leabaidh bàis
deathly	bàsachadh
debacle	dannsa
debased	sgaoileadh
debatable	deasbad
debate	deasbad
debauchery	bualadh
debenture	buannachd
debilitating	lùghdachadh
debit	fiachan
debrief	debrief
debriefing	breithneachadh
debris	sprùilleach
debt	fiachan
debtor	fiachan
debut	toiseach
debutante	debutante
decade	deichead
decadence	dealachadh
decadent	fàgail
decaf	decaf
decanter	sgaoileadh
decathlon	diadhaidh
decay	lobhadh
decayed	sguabadh às
decaying	a 'crìonadh
deceased	bàsachadh
decedent	dìtheas
deceit	meallta
deceitful	meallta
deceive	meallta
deceived	meallta
deceiving	meallta
december	An Dùbhlachd
decency	deònach
decent	cothromach
deception	milleadh
deceptive	duilich
decide	co-dhùnadh
decidedly	gu co-dhùnadh
deciduous	gruamach
decimal	deicheach
decimeter	tomhas-tomhais
decipher	deisealachadh
decision	co-dhùnadh
decisive	dearbhach
deck	deic
declaration	dearbhadh
declaratory	dearbhadh
declare	innse
declination	crìonadh
decline	crìonadh
declining	a 'crìonadh
deco	sgeadachadh
decode	decodadh
decoder	decoder
decompose	dealachadh
decomposed	dealachadh
decomposition	cromadh
decompress	decompress
decompression	dìomhaireachd
decontamination	dì-mhilleadh
decor	sgeadachadh
decorate	sgeadachadh
decorating	sgeadachadh
decoration	sgeadachadh
decorative	sgeadachadh
decorator	sgeadachaidh
decorum	deasaich |
decoy	sgeadachadh
decrease	lùghdachadh
decreased	lùghdachadh
decreasing	lùghdachadh
decree	òrdugh
decrement	lùghdachadh
decrepit	sgaoileadh
decry	deiseil
decryption	dì-chriochnachadh
dedicate	coisrigte
dedication	dìcheall
deduce	thoir
deduct	falbh
deductible	so-ruigsinneach
deduction	sgaoileadh
deed	gnìomh
deejay	deejay
deem	cùis-lagha
deep	domhainn
deepen	domhainn
deer	fèidh
defamation	mì-chliù
defamatory	smear
default	bunaiteach
defeat	defeat
defeated	bhuail
defeatist	defeatist
defect	lochd
defection	buaidh
defective	lochtach
defector	buaidh
defend	dìon
defendant	dìonach
defended	air a dhìon
defender	dìonach
defending	a 'dìon
defense	dìon
defenseless	gun dìon
defensible	dìonach
defensive	dìon
defer	siar
deference	deference
deferral	cur dheth
deferring	tagradh
defiance	aimhreit
defiant	mì-thoilichte
defibrillator	defibrillator
deficiency	easbhaidh
deficient	easbhaidh
deficit	easbhaidh
define	mìneachadh
defined	mìneachadh
definite	deiseil
definition	mìneachadh
definitive	deimhinnte
deflate	sguabadh às
deflation	sgoltadh
deflect	sguabadh às
deflection	milleadh
defloration	crìonadh
deform	deform
deformed	deformed
deformity	deformity
defraud	sàbhaladh
defray	toirt seachad
defrost	tubaist
deft	deft
defunct	dhìochuimhnich
defuse	sguabadh às
defy	dùbhlan
degeneracy	degeneracy
degenerate	degenerate
degeneration	degeneration
degradation	degradation
degrade	degrade
degraded	air a chall
degrading	ag atharrachadh
degree	ceum
dehydrated	dehydrated
dehydration	dehydration
dejected	sneachda
delay	dàil
delayed	dàil
delectable	deònach
delegate	riochdaire
delegation	riochdachadh
delete	sguab às
deleterious	mì-thoilichte
deletion	sguabadh às
deli	deli
deliberate	deiseil
deliberation	deasbad
deliberative	deasbaid
delicacy	bòidhchead
delicate	bòidheach
delicatessen	bèicearan-bìdh
delicious	bòidheach
delight	tlachd
delighted	air leth toilichte
delightful	tlachdmhor
delineate	sgaoileadh
delineation	sònrachadh
delinquency	delinquence
delinquent	ciontach
delirious	saoghail
delirium	deirium
deliver	lìbhrigeadh
deliverance	saorsa
delivery	lìbhrigeadh
dell	dell
delta	delta
delude	sgaoileadh
deluge	sgaoileadh
delusion	dealachadh
delusional	deònach
deluxe	deluxe
delve	saoghail
demand	iarrtas
demanding	ag iarraidh
demeaned	s an Iar-
demeaning	sgaoileadh
demeanor	sìth
demented	s an Iar-
dementia	dementia
demise	crìonadh
demo	demo
democracy	deamocrasaidh
democrat	deamocratach
democratic	deamocratach
demographic	deamografach
demolish	leagail
demolished	leagail
demolition	leagail
demon	deam
demonic	deuchainn
demonstrable	nochdte
demonstrate	sealltainn
demonstrated	air a shealltainn
demonstrating	a 'taisbeanadh
demonstration	taisbeanadh
demonstrative	taisbeanadh
demonstrator	neach-taisbeanaidh
demoralized	dealaichte
demos	demos
demure	dealachadh
den	NO TRANSLATION
deniability	deniability
denial	denial
denied	dhiùltadh
denim	denim
denomination	seòrsa
denominational	ainmichte
denominator	seòrsaiche
denote	comharrachadh
denounce	den bheachd
dense	dlùth
density	dùmhlachd
dent	fiaclair
dental	fiaclaireachd
dentist	fiaclair
dentistry	fiaclaireachd
dentists	fiaclairean
denunciation	denunciation
deny	dhiùlt
denying	a 'diùltadh
deodorant	deodorant
depart	falbh
departed	dh 'fhalbh
department	roinn
departmental	roinn
departure	fàgail
depend	an crochadh
dependable	neo-eisimeileach
dependant	eisimeileach
dependence	eisimeileachd
dependency	eisimeileachd
dependent	eisimeileach
depict	dealbh
depicting	a 'sealltainn
depletion	òl
deplorable	mì-thoilichte
deplore	deplore
deploy	cleachdadh
deployment	cleachdadh
deport	spòrs
deportation	sgaoileadh
depose	depose
deposit	tasgaidh
depositary	tasgaidh
deposition	tasgadh
depository	tasgaidh
depot	dealain
depraved	mì-fhortanach
depravity	dealachaidh
depreciate	ìsleachadh
depreciated	ìsleachadh
depreciation	ìsleachadh
depress	bochd
depressed	dona
depressing	dìomhaireachd
depression	sneachda
depressive	bochd
depresson	NO TRANSLATION
deprivation	bochdainn
deprive	caochladh
deprived	bochdainn
depth	doimhneachd
deputy	leas-cheannard
derail	derail
deranged	deanged
derelict	fàgail
derision	milleadh
derivation	derivation
derivative	derivative
derive	sgaoileadh
dermal	dermal
dermatologist	dermatologist
dermatology	dermatology
derogation	maoidheadh
derogatory	mì-riaghailteach
descend	dealachadh
descendant	sliochd
descendent	NO TRANSLATION
descending	a 'teàrnadh
descent	shliochd
describe	cunntas
description	Tuairisgeul
descriptive	tuairisgeul
desecrate	sgaoileadh
desecration	ciùradh
desert	fàsach
deserted	fàsach
deserter	fàsach
desertion	fàsach
deserve	mearachd
deserved	airidh air
deserving	mealladh
design	dealbhadh
designate	ainmeachadh
designated	ainmichte
designation	ainmeachadh
designed	air a dhealbhadh
designer	dealbhaiche
designing	a 'dealbhadh
desirability	deimhinn
desirable	ion-mhiannaichte
desire	miann
desiring	ag iarraidh
desirous	ag iarraidh
desist	desist
desk	deasg
desolate	falamh
desolation	sònrachadh
despair	an-dòchas
despairing	an-dòchas
despatch	sgaoileadh
desperado	deisealachadh
desperate	èiginneach
desperation	èiginn
despicable	gun teagamh
despise	sguabadh às
despondent	duilich
despotic	despotic
despotism	dìomhaireachd
dessert	milseag
