Word	ru
deluxe	роскошный
delve	копаться
demand	спрос
demanding	требовательный
demeaned	унижал
demeaning	унизительно
demeanor	поведение
demented	безумный
dementia	слабоумие
demise	кончина
demo	демонстрация
democracy	демократия
democrat	демократ
democratic	демократической
demographic	демографический
demolish	сносить
demolished	снесены
demolition	снос
demon	демон
demonic	демонический
demonstrable	доказуемый
demonstrate	демонстрировать
demonstrated	продемонстрировал
demonstrating	демонстрирующий
demonstration	демонстрация
demonstrative	демонстративный
demonstrator	демонстратор
demoralized	деморализованный
demos	демос
demure	скромный
den	NO TRANSLATION
deniability	отрицания
denial	отказ
denied	отказано
denim	джинсовая ткань
denomination	наименование
denominational	сектантский
denominator	знаменатель
denote	обозначать
denounce	денонсировать
dense	плотный
density	плотность
dent	вмятина
dental	зубоврачебный
dentist	Дантист
dentistry	лечение зубов
dentists	стоматологи
denunciation	денонсация
deny	Отрицать
denying	отрицающий
deodorant	дезодорант
depart	отходить
departed	отбыли
department	отдел
departmental	ведомственный
departure	Вылет из
depend	зависеть
dependable	надежный
dependant	зависимый
dependence	зависимость
dependency	зависимость
dependent	зависимый
depict	изображать
depicting	изображающая
depletion	истощение
deplorable	прискорбный
deplore	оплакивать
deploy	развертывание
deployment	развертывание
deport	депортировать
deportation	депортация
depose	низложить
deposit	депозит
depositary	депозитарный
deposition	отложение
depository	депозитарий
depot	депо
depraved	развращенный
depravity	развращенность
depreciate	амортизировать
depreciated	амортизироваться
depreciation	амортизация
depress	угнетать
depressed	подавленный
depressing	унылый
depression	депрессия
depressive	депрессивный
depresson	NO TRANSLATION
deprivation	лишение
deprive	лишать
deprived	лишенный
depth	глубина
deputy	заместитель
derail	пускать под откос
deranged	ненормальный
derelict	покинутый
derision	осмеяние
derivation	вывод
derivative	производное
derive	выводить
dermal	кожный
dermatologist	дерматолог
dermatology	дерматология
derogation	умаление
derogatory	уничижительный
descend	сходить
descendant	потомок
descendent	NO TRANSLATION
descending	нисходящий
descent	спуск
describe	описывать
description	описание
descriptive	описательный
desecrate	осквернять
desecration	осквернение
desert	пустыня
deserted	пустынный
deserter	дезертир
desertion	оставление
deserve	заслуживать
deserved	заслуженный
deserving	заслуживающий
design	дизайн
designate	назначать
designated	назначенный
designation	обозначение
designed	предназначенный
designer	дизайнер
designing	проектирование
desirability	желательность
desirable	желательный
desire	желание
desiring	желая
desirous	жаждущий
desist	воздерживаться
desk	стол письменный
desolate	заброшенный
desolation	опустошение
despair	отчаяние
despairing	отчаявшийся
despatch	депеша
desperado	головорез
desperate	отчаянный
desperation	безрассудство
despicable	презренный
despise	презирать
despondent	подавленный
despotic	деспотический
despotism	деспотизм
dessert	Десерт
destination	место назначения
destined	предназначенный
destiny	судьба
destitute	нуждающийся
destroy	уничтожить
destroyed	разрушенный
destroyer	разрушитель
destroying	разрушающий
destruct	разрушать
destruction	разрушение
destructive	разрушительный
detach	отрывать
detached	отдельный
detachment	отслойка
detail	подробно
detailed	подробный
details	Детали
detain	задерживать
detainee	задержанный
detect	обнаружить
detectable	обнаруживаемый
detection	обнаружение
detective	детектив
detector	детектор
detention	задержание
deter	отпугивать
detergent	моющее средство
deteriorate	ухудшать
deteriorated	ухудшилось
deteriorating	ухудшается
deterioration	ухудшение
determinable	определяемая
determinate	детерминированный
determination	определение
determine	определить
determined	определенный
deterrent	сдерживающий
detest	ненавидеть
detestation	омерзение
detonate	детонировать
detonation	детонация
detonator	детонатор
detour	объезд
detract	умалять
detriment	ущерб
detrimental	вредный
detritus	детрит
deuce	двойка
deutschmark	немецкая марка
devalued	девальвированный
devastate	опустошать
devastated	опустошенный
devastating	разрушительный
devastation	опустошение
develop	развивать
developer	разработчик
developing	развивающийся
development	развитие
deviant	отклоняющееся
deviate	отклоняться
deviating	отклоняющийся
deviation	отклонение
device	устройство
devil	дьявол
deviled	приготовленный с пряностями
devilish	дьявольский
devious	окольный
devise	разрабатывать
devoid	лишенный
devolution	деволюция
devolve	передавать
devote	посвятить
devoted	посвященный
devotee	приверженец
devotion	преданность
devotional	набожный
devour	пожирать
devout	благочестивый
dew	роса
dexter	правый
dexterity	ловкость
dextrose	декстроза
diabetes	диабет
diabetic	диабетический
diabolical	дьявольский
diagnose	диагностики
diagnosis	диагностика
diagnostic	диагностика
diagnostics	диагностика
diagonal	диагональ
diagram	диаграмма
dial	набирать номер
dialect	диалект
dialectic	диалектический
dialogue	диалог
dialysis	диализ
diameter	диаметр
diamond	бриллиант
diamonds	бриллианты
diaper	подгузник
diaphragm	диафрагма
diarrhea	понос
diarrhoea	понос
diary	дневник
diatribe	диатриба
dib	NO TRANSLATION
dibs	бабки
dice	игральная кость
dicey	рискованный
dichotomous	дихотомический
dichotomy	дихотомия
dick	Дик
dickhead	залупа
dicks	Дикс
dictate	диктовать
dictation	диктант
dictator	диктатор
dictatorial	диктаторский
dictatorship	диктатура
diction	дикция
dictionary	Словарь
dictum	NO TRANSLATION
didactic	дидактический
diddle	надувать
die	NO TRANSLATION
died	умер
diesel	дизель
diet	диета
dietary	диетический
differ	отличаться
difference	разница
differences	различия
different	другой
differential	дифференциал
differentiation	дифференциация
differently	иначе
differing	отличаясь
difficult	сложно
difficulties	сложности
difficulty	трудность
diffuse	диффузный
diffusion	диффузия
dig	NO TRANSLATION
digest	дайджест
digestion	пищеварение
digestive	пищеварительный
digit	цифра
digital	цифровой
dignified	величавый
dignify	величать
dignity	достоинство
digress	отступать
digs	NO TRANSLATION
dike	дамба
dilapidated	полуразрушенный
dilatation	расширение
dilation	расширение
dildo	фаллоимитатор
dilemma	дилемма
diligence	старательность
diligent	прилежный
dill	укроп
diluent	разбавитель
dilute	разбавлять
diluted	разбавленный
dilution	разведение
dim	тусклый
dime	дайм
dimension	измерение
dimensional	мерная
diminish	уменьшить
diminished	уменьшенный
diminution	убывание
diminutive	крохотный
dimwit	тупица
din	NO TRANSLATION
dine	обедать
diner	обедающий
dinghy	шлюпка
dingo	динго
dingy	грязноватый
dining	обеденный
dinky	нарядный
dinner	ужин
dinnertime	время ужина
dinosaur	динозавр
dint	вмятина
diocesan	епархиальный
diocese	епархия
diorama	диорама
dioxide	диоксид
dip	падение
diploma	диплом
diplomacy	дипломатия
diplomat	дипломат
diplomatic	дипломатичный
dipper	черпак
dippy	рехнувшийся
dipstick	указатель уровня
dire	NO TRANSLATION
direct	непосредственный
directed	направленный
direction	направление
directive	директива
directly	непосредственно
director	директор
directory	каталог
dirt	грязь
dirty	грязный
disability	инвалидность
disable	запрещать
disabled	отключен
disadvantage	недостаток
disaffected	недружелюбный
disagree	не соглашаться
disagreeable	противный
disagreeing	несогласия
disagreement	разногласие
disallow	запрещать
disallowed	запрещено
disapointment	NO TRANSLATION
disappear	исчезать
disappearance	исчезновение
disappearing	исчезающий
disappoint	разочаровывать
disappointed	разочарованный
disappointing	разочаровывающий
disappointment	разочарование
disapproval	неодобрение
disapprove	не одобрять
disapproved	отклоненные
disapproving	неодобрительный
disarm	разоружаться
disarray	разоблачать
disaster	катастрофа
disastrous	гибельный
disband	расформировывать
disbelief	неверие
disbelieve	не верить
disburse	проплачивать
disbursement	выплаты
disc	диск
discard	отбрасывать
discarded	отбрасываются
discards	выброс рыбы
discern	усмотреть
discernible	различимый
discerning	проницательный
discernment	проницательность
discharge	разряд
disciple	ученик
disciplinary	дисциплинарный
discipline	дисциплина
disciplined	дисциплинированный
disclaim	отказываться
disclaimer	отказ
disclose	раскрывать
disclosed	раскрытый
disclosure	раскрытие
disco	дискотека
discoloration	обесцвечивание
discolored	обесцвеченными
discomfort	дискомфорт
disconcerted	смущенный
disconcerting	дезорганизующим
disconnect	Отключить
disconnected	отсоединены
disconnection	отключение
disconnects	отсоединяется
discontent	недовольство
discontinuance	прекращение
discontinue	прекращать
discontinuity	разрыв
discontinuous	прерывистый
discord	диссонанс
discount	скидка
discounted	со скидкой
discourage	отговаривать
discouraged	обескураженный
discouragement	уныние
discouraging	обескураживающий
discourse	речь
discover	обнаружить
discovery	открытие
discredit	дискредитировать
discredited	дискредитированный
discreet	NO TRANSLATION
discrepancy	несоответствие
discrete	дискретный
discretion	осмотрительность
discretionary	дискреционный
discriminate	дискриминировать
discriminating	разборчивый
discrimination	дискриминация
discus	метание диска
discuss	обсуждать
discussion	обсуждение
disdain	презирать
disdainful	презрительный
disease	болезнь
diseased	заболевший
disembodied	бестелесный
disengage	выключать
disengagement	расцепление
disfigured	изуродованный
disgrace	бесчестие
disgraced	опальный
disgraceful	позорный
disgruntled	раздраженный
disguise	маскировать
disguised	замаскированный
disgust	отвращение
disgusted	чувствующий отвращение
disgusting	отвратительный
dish	блюдо
disheartened	обескуражена
disheartening	обескураживает
dishonest	нечестный
dishonesty	нечестность
dishonor	бесчестие
dishonorable	бесчестный
dishwasher	посудомоечная машина
disillusionment	разочарованность
disinclination	нерасположение
disincline	отбивать охоту
disinclined	склонно
disinfect	дезинфицировать
disinfectant	дезинфицирующее средство
disinfection	дезинфекция
disinformation	дезинформация
disingenuous	лицемерный
disintegrate	распадаться
disintegration	дезинтеграция
disinterested	бескорыстный
disjoint	непересекающиеся
disjointed	расчлененный
disjunctive	разъединяющий
disk	диск
diskette	дискета
dislike	нелюбовь
disliked	нелюбимое
disliking	антипатия
dislocated	дислоцированный
dislocation	вывих
dislodge	вытеснять
disloyal	нелояльный
disloyalty	нелояльность
dismal	гнетущий
dismantle	демонтировать
dismay	испуг
dismayed	встревоженный
dismemberment	расчленение
dismiss	отклонять
dismissal	увольнение
dismissive	пренебрежительно
dismount	спешиться
disobedience	непослушание
disobedient	непослушный
disobey	не слушаться
disorder	расстройство
disordered	неупорядоченный
disorderly	беспорядочный
disorganized	дезорганизованный
disorientation	дезориентация
disoriented	дезориентированный
disown	отрекаться
disparage	принижать
disparaging	пренебрежительный
disparate	несоизмеримый
disparity	несоответствие
dispassionate	бесстрастный
dispatch	отправка
dispatcher	диспетчер
dispel	рассеять
dispensary	диспансер
dispensation	разрешение
dispense	распределять
dispenser	распылитель
dispersal	рассредоточение
disperse	рассеивать
dispersed	рассеянный
dispersion	дисперсия
dispirited	удрученный
displace	вытеснять
displaced	перемещенных
displacement	смещение
displacency	displacency
display	дисплей
displease	сердить
displeased	недовольный
displeasure	неудовольствие
disposable	одноразовый
disposal	удаление
dispose	располагать
disposed	расположенный
disposition	расположение
dispossessed	обездоленные
disprove	опровергать
dispute	спор
disqualification	дисквалификация
disqualified	дисквалифицированный
disqualify	дисквалифицировать
disquieted	обеспокоенный
disregard	невнимание
disregarded	игнорируются
disrelish	нерасположение
disreputable	постыдный
disrepute	дурная слава
disrespect	неуважение
disrespectful	непочтительный
disrupt	срывать
disrupting	срывающее
disruption	нарушение
disruptive	разрушительный
dissatisfaction	неудовлетворенность
dissatisfied	неудовлетворенный
dissect	рассекать
dissection	рассечение
disseminate	распространять
dissemination	распространение
dissension	разногласие
dissent	разногласие
dissenting	отколовшийся
dissertation	диссертация
disservice	вред
dissident	диссидент
dissimilar	непохожий
dissipate	рассеивать
dissipated	рассеянный
dissociation	диссоциация
dissociative	разобщающий
dissolution	растворение
dissolve	растворяться
dissonance	диссонанс
dissuade	разубеждать
distal	дистальный
distance	расстояние
distant	отдаленный
distaste	отвращение
distasteful	неприятный
distillate	дистиллят
distillation	дистилляция
distilled	дистиллированный
distinct	отчетливый
distinction	различие
distinctive	отличительный
distinguish	выделить
distinguishable	различимый
distinguished	выдающийся
distinguishing	отличительная
distort	искажать
distorted	искаженный
distortion	искажение
distract	отвлекать
distracted	отвлекается
distracting	отвлекающий
distraction	отвлечение
distraught	обезумевший
distress	бедствие
distressed	бедственном
distressing	огорчительный
distribute	распространять
distribution	распределение
distributor	распределитель
district	район
distrust	недоверие
disturb	беспокоить
disturbance	нарушение
disturbed	нарушенный
disturbing	тревожный
disuse	неиспользование
disused	вышедший из употребления
ditch	ров
ditto	то же самое
ditty	песенка
diurnal	суточный
diva	дива
divan	NO TRANSLATION
dive	погружение
diver	водолаз
diverge	расходиться
divergence	дивергенция
divergent	расходящийся
diverging	отклонение
divers	различный
diverse	разнообразный
diversified	многоотраслевой
diversify	диверсифицировать
diversion	отвлечение
diversionary	диверсионный
diversity	разнообразие
divert	переадресовывать
diverting	отвлечения
divest	лишать
divested	лишается
divestment	лишение прав
divide	делить
divided	разделенный
dividend	дивиденд
divination	гадание
divine	божественный
divinity	божественность
divisible	делимый
division	деление
divisor	делитель
divorce	развод
divorcee	разведенная
divulge	разглашать
divvy	пай
dizziness	головокружение
dizzy	голова кружится
do	делать
doable	выполнимый
doc	доктор
docile	послушный
dock	док
docked	состыковался
docket	наклеивать этикетки
docking	стыковка
doctor	врач
doctorate	докторская степень
doctrinal	доктринальное
doctrine	учение
document	документ
documentary	документальный
documentation	документация
documents	документы
dodge	изворачиваться
dodger	ловкач
dodging	уклонение
dodgy	изворотливый
dodo	дронт
doe	лань
doer	деятель
dog	собака
dogface	морда
dogged	упрямый
doggy	собачий
doghouse	собачья будка
dogma	догма
dogmatic	догматический
dogsick	NO TRANSLATION
doings	дела
doit	NO TRANSLATION
dojo	школа дзюдо
doldrums	дурное настроение
dole	пособие по безработице
doll	кукла
dollar	доллар
dollhouse	кукольный дом
dolor	NO TRANSLATION
dolphin	дельфин
domain	домен
dome	купол
domestic	внутренний
domesticated	прирученный
domestication	приручение
domicile	домицилий
domiciled	домицилированный
dominance	господство
dominant	доминирующий
dominate	доминировать
dominating	доминирующий
domination	доминирование
dominatrix	вамп
dominion	владычество
domino	домино
don	дон
donate	жертвовать
donation	пожертвование
donkey	осел
donor	донор
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	болван
doom	гибель
doomed	обреченный
doomsday	конец света
door	дверь
doorbell	дверной звонок
doorknob	дверная ручка
doorman	швейцар
doormat	половик
doornail	дверной гвоздь
doorstep	порог
doorway	дверной проем
dopamine	допамин
dope	дурман
dopey	полусонный
dork	придурок
dorky	тупой
dorm	общая спальня
dormant	бездействующий
dormitory	общежитие
dorsal	спинной
dosage	дозировка
dose	дозировать
dossier	досье
dot	точка
doting	страдающий старческое слабоумие
dotted	пунктирный
dotty	рехнувшийся
double	двойной
doubled	двойной
doublet	дуплет
doubling	удвоение
doubt	сомнение
doubtful	сомнительный
doubting	сомневающийся
doubtless	несомненно
doubts	сомнения
douche	душ
douchebags	Douchebags
dough	тесто
doughboy	Doughboy
doughnut	пончик
dour	непреклонный
douse	окунать
dove	голубь
down	вниз
downcast	удрученный
downer	неудачник
downfall	ниспровержение
downfield	тетраметилсилана
downhearted	унылый
downhill	вниз
download	скачать
downpour	ливень
downright	совершенно
downriver	вниз по течению
downside	нижняя сторона
downtime	время простоя
downward	вниз
downy	пуховый
dowry	приданое
doze	дремать
dozen	дюжина
drab	однообразный
draft	проект
drafty	сквозистый
drag	бремя
dragon	Дракон
dragonfly	стрекоза
drain	истощать
drainage	дренаж
drained	осушенных
draining	осушение
drainpipe	водосточная труба
drake	селезень
drama	драма
dramaqueen	NO TRANSLATION
dramatic	драматичный
drape	драпировка
drapery	драпировка
drastic	радикальный
drat	NO TRANSLATION
draught	проект
draw	привлечь
drawback	недостаток
drawbridge	подъемный мост
drawer	выдвижной ящик
drawers	подштанники
drawing	Рисование
dread	страшиться
dreaded	ужасный
dreadful	ужасный
dreadfully	ужасно
dreading	ужасает
dream	мечта
dreamboat	красавчик
dreamer	мечтатель
dreaming	сновидение
dreamland	сказочная страна
dreams	мечты
dreamt	снилось
dreamy	мечтательный
dreary	тоскливый
dredge	драга
drenched	промокший
dress	платье
dresser	костюмер
dressmaker	портниха
dressy	разодетый
dribble	NO TRANSLATION
dried	высушенный
drier	сушилка
drift	дрейф
drifted	дрейфовали
drifter	бродяга
driftwood	коряги
drill	дрель
drink	напиток
drinker	пьющий
drinking	питьевой
drinks	напитки
drip	капельный
dripping	капающий
drive	водить машину
drivel	бессмыслица
driver	Водитель
driveway	дорога
drizzle	изморось
droll	чудной
drone	трутень
drones	беспилотные летательные аппараты
drool	сочиться
drooping	изнеможенный
droopy	упавший дух
drop	падение
droplet	капелька
dropout	выбывать
dropper	пипетка
drought	засуха
drove	NO TRANSLATION
drown	тонуть
drowsiness	сонливость
drowsy	сонный
drudgery	нудная работа
drug	лекарственное средство
drug dealing	торговля наркотиками
drugged	под воздействием наркотиков
druggist	аптекарь
drugs	наркотики
drugstore	аптека
druid	друид
drum	барабан
drummer	ударник
drumming	барабанил
drunk	пьяный
drunk driving	вождение в нетрезвом виде
drunkard	пьяница
drunken	пьяный
drunkenness	пьянство
dry	сухой
dryer	сушилка
dryness	сухость
dual	двойной
dualism	дуализм
duality	двойственность
dub	ровнять
dubious	сомнительный
duchess	герцогиня
duck	утка
ducking	погружение в воду
duckling	утенок
ducky	душка
duct	проток
ductile	пластичный
dud	рвань
dude	чувак
duds	лохмотья
due	в связи
duel	поединок
dues	сборы
duet	дуэт
duffel	спортивный костюм
dugout	землянка
duh	Дух
duke	герцог
dull	скучный
dullard	тупица
dumb	тупой
dumbasses	dumbasses
dumbbell	гантель
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	фиктивный
dump	свалка
dumpling	клецка
dumps	отвалы
dumpster	мусорный контейнер
dun	надоедать
dunce	раздолбай
dune	дюна
dung	NO TRANSLATION
dungeon	подземелье
dunk	замочить
duo	дуэт
dupe	простофиля
duplex	дуплекс
duplicate	дублировать
duplication	дублирование
duplicity	двуличность
durability	долговечность
durable	прочный
duration	продолжительность
duress	принуждение
dusk	смеркаться
dusky	сумеречный
dust	пыли
duster	пыльник
dustpan	совок для мусора
dusty	пыльный
dutiful	покорный
duty	обязанность
dwarf	карликовый
dwarfed	карликовый
dweeb	слабак
dwell	обитать
dweller	обитатель
dwelling	жилье
dye	краситель
dying	умирающий
dyke	дамба
dynamic	динамический
dynamical	динамический
dynamics	динамика
dynamite	динамит
dynamo	динамо
dynasty	династия
dysentery	дизентерия
dysfunction	дисфункция
dysfunctional	дисфункциональный
dyspepsia	диспепсия
eager	нетерпеливый
eagerness	рвение
eagle	орел
ear	ухо
earful	нагоняй
earl	граф
earlier	ранее
early	рано
earn	зарабатывать
earnest	ревностный
earnestly	серьезно
earnestness	серьезность
earnings	прибыль
earpiece	наушник
earring	серьга
earrings	серьги
earshot	предел слышимости
earth	Земля
earthenware	глиняная посуда
earthling	землянин
earthly	земной
earthquake	землетрясение
earthy	землистый
ease	легкость
easel	мольберт
easement	сервитут
easily	без труда
east	восток
eastbound	восточном
eastern	восточный
easy	легко
easygoing	с легким характером
eat	есть
eater	едок
eating	принимать пищу
eatingdisorders	NO TRANSLATION
eavesdrop	подслушивать
eavesdropping	подслушивание
ebb	отлив
ebony	черное дерево
ebullient	кипучий
eccentric	эксцентричный
eccentricity	эксцентричность
ecclesiastical	церковный
echelon	эшелон
echinacea	эхинацея
echo	эхо
eclectic	эклектический
eclipse	затмение
ecliptic	эклиптика
ecological	экологический
economic	экономической
economical	экономный
economics	экономика
economy	экономика
ecosystem	экосистема
ecstasy	экстаз
ecstatic	экстатический
ecumenical	экуменический
eddy	Эдди
edema	отек
edge	край
edging	окантовка
edgy	раздражительный
edible	съедобный
edict	эдикт
edification	назидание
edifice	здание
edit	редактировать
editing	редактирование
edition	издание
editor	редактор
editorial	редакционный
educate	воспитывать
educated	образованный
education	образование
educational	образования
educator	воспитатель
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	еек
eel	угорь
eerie	сверхъестественный
effect	эффект
effective	эффективный
effectiveness	эффективность
effects	последствия
effectual	эффективный
effectually	действенно
effectuate	приводить в исполнение
effeminate	женоподобный
efficacious	эффективный
efficacy	эффективность
efficiency	эффективность
efficient	эффективное
effigy	изображение
effort	усилие
effortless	легкий
effusion	выпот
effyou	NO TRANSLATION
egg	яйцо
egghead	умник
eggnog	эгног
eggplant	баклажан
eggshell	яичная скорлупа
ego	эго
egomaniac	эгоист
egotistical	самовлюбленный
egregious	вопиющий
egress	выход
eight	8
eighteen	18
eighth	восьмой
eighty	восемьдесят
ejaculate	эякулят
ejaculation	эякуляция
eject	выталкивать
ejection	выбрасывание
elaborate	разрабатывать
elaboration	разработка
elan	NO TRANSLATION
elapse	истекать
elapsed	истекшее
elastic	эластичный
elasticity	эластичность
elated	ликующий
elation	приподнятое настроение
elbow	локоть
eld	старость
elder	старший
elderly	престарелые
elders	старейшины
eldest	самый старший
elect	избранные
election	выборы
elective	факультативный
elector	избиратель
electoral	избирательный
electorate	электорат
electric	электрический
electric slide	электрический слайд
electrical	электрический
electrician	электрик
electricity	электричество
electrify	электрифицировать
electrocute	казнить на электрическом стуле
electrocution	казнь на электрическом стуле
electromagnetic	электромагнитный
electron	электрон
electronic	электронный
electronics	электроника
elegance	элегантность
elegant	элегантный
element	элемент
elemental	стихийный
elementary	элементарный
elements	элементы
elephant	слон
elevate	возвысить
elevated	приподнятый
elevation	высота
elevator	лифт
eleven	11
eleventh	одиннадцатый
elf	эльф
elicit	вызывать
eligible	право
eliminate	Устранить
elimination	устранение
elite	элита
elitist	элитарный
elixir	эликсир
elk	лось
ell	флигель
ellipse	эллипс
ellipsis	эллипсис
ellipsoid	эллипсоид
elliptic	эллиптический
elliptical	эллиптический
elm	вяз
elongate	вытянутый
elongation	удлинение
elope	сбежать
eloquence	красноречие
eloquent	красноречивый
elucidate	разъяснять
elucidation	разъяснение
elude	ускользать
elusive	неуловимый
emaciated	истощенный
email	Эл. адрес
emanate	исходить
emancipation	эмансипация
embankment	насыпь
embargo	NO TRANSLATION
embark	начинать
embarrass	смущать
embarrassed	смущенный
embarrassing	затруднительный
embarrassment	конфуз
embassy	посольство
embattled	приведенный в боевую готовность
embed	встраивать
embellish	приукрашивать
embellishment	приукрашивание
embers	угольки
embezzlement	растрата
embezzler	аферист
emblem	герб
emblematic	эмблематический
embodiment	воплощение
embolism	эмболия
embossed	тисненая
embrace	охватывать
embroidered	вышитый
embroidery	вышивка
embroiled	втянутым
embryo	эмбрион
embryonic	эмбриональный
emcee	конферансье
emerald	изумруд
emerge	всплывать
emergence	появление
emergency	крайняя необходимость
emeritus	заслуженный
emery	Эмери
emetophobia	Emetophobia
emigrate	эмигрировать
emigration	эмиграция
eminence	высокопреосвященство
eminent	выдающийся
eminently	в высшей степени
emir	NO TRANSLATION
emissary	эмиссар
emission	излучение
emit	испускают
emo	эмо
emotion	эмоция
emotional	эмоциональный
emotive	волнующий
empathic	эмпатии
empathize	сопереживать
empathy	сопереживание
emperor	император
emphasis	акцент
emphasize	подчеркивать
emphatic	выразительный
emphysema	эмфизема
empire	империя
empirical	эмпирический
empiricism	эмпиризм
employ	использовать
employee	наемный рабочий
employer	работодатель
employment	занятость
emporium	торговый центр
empower	уполномочивать
empress	императрица
emptiness	пустота
emption	Преимущественное
empty	пустой
emu	эму
emulate	подражать
emulsion	эмульсия
enable	включить
enablement	Enablement
enact	предписывать
enactment	принятие
enamel	эмаль
encampment	лагерь
enchant	очаровывать
enchanted	зачарованный
enchanting	феерический
enchantment	колдовство
enchantress	волшебница
enchilada	энчилада
encircle	окружать
encircling	окружение
enclave	анклав
enclose	окружать
enclosure	ограда
encode	шифровать
encomiastic	NO TRANSLATION
encomium	восхваление
encompass	охватывать
encore	NO TRANSLATION
encounter	столкновение
encourage	поощрять
encouraged	поощряла
encouragement	поощрение
encouraging	обнадеживающий
encroach	посягать
encroachment	посягательство
encrypt	шифровать
encryption	шифрование
encumbrance	обременение
encyclopedia	энциклопедия
end	конец
end table	конечная таблица
endanger	подвергать опасности
endangered	находящихся под угрозой исчезновения
endangerment	создание угрозы
endearing	привлекательный
endeavor	прилагать усилия
ended	закончился
endemic	эндемический
endgame	эндшпиль
ending	окончание
endless	бесконечный
endocarditis	эндокардит
endorse	одобрять
endorsement	поддержка
endow	наделять
endowed	наделенный
endowment	дарование
endpapers	форзацы
endpoint	конечная точка
endurance	выносливость
endure	терпеть
enduring	выносливый
enema	клизма
enemy	враг
energetic	энергичный
energize	возбуждать
energy	энергия
enforce	обеспечивать соблюдение
enforcement	правоприменение
enforcer	инфорсер
engage	заниматься
engaged	занято
engagement	помолвка
engaging	обаятельный
engender	зародить
engine	двигатель
engineer	инженер
engineering	инжиниринг
engrave	гравировать
engraved	выгравирован
engraver	гравер
engraving	гравюра
engrossed	поглощенный
engrossing	всепоглощающий
engulf	поглощать
enhance	усилить
enhancement	усиление
enigma	загадка
enigmatic	загадочный
enjoin	предписывать
enjoy	наслаждаться
enjoyable	приятный
enjoying	наслаждаясь
enjoyment	наслаждение
enlarge	увеличить
enlarged	увеличенный
enlargement	укрупнение
enlighten	просветить
enlightened	просвещенный
enlightening	поучительный
enlightenment	просветление
enlist	завербоваться
enliven	оживлять
enmity	враждебность
ennui	скука
enormity	чудовищность
enormous	огромный
enormously	чрезвычайно
enraged	разъяренный
enrich	обогащать
enroll	зачислять
enrollment	регистрация
ensemble	ансамбль
ensign	прапорщик
enslave	порабощать
enslaved	порабощенный
enslavement	порабощение
ensue	вытекать
ensure	обеспечивать
entail	влечь за собой
entangled	запутанный
entanglement	запутывание
enter	войти
enterprise	предприятие
enterprising	предприимчивый
entertain	развлекать
entertained	развлекаться
entertainer	конферансье
entertaining	развлекательный
entertainment	развлекательная программа
enthralled	увлечен
enthusiasm	энтузиазм
enthusiast	энтузиаст
enthusiastic	восторженный
entice	соблазнять
entire	все
entirety	цельность
entitle	давать право
entity	организация
entomology	энтомология
entourage	свита
entrails	внутренности
entrance	вход
entrapment	улавливание
entreat	упросить
entree	основное блюдо
entrepreneur	предприниматель
entrust	вверять
entry	запись
enumerate	перечислять
enumeration	перечисление
envelope	конверт
envious	завистливый
environ	NO TRANSLATION
environment	Окружающая среда
environmental	экологическая
environs	пригороды
envision	воображать
envoy	эмиссар
envy	зависть
enzyme	фермент
ephemeral	эфемерный
ephemeris	эфемерид
epic	эпический
epidemic	эпидемия
epidermis	эпидермис
epidural	эпидуральный
epilepsy	эпилепсия
epileptic	эпилептический
epilogue	эпилог
epiphany	Богоявление
episcopal	епископский
episode	эпизод
episodic	эпизодический
epistle	послание
epitaph	эпитафия
epithet	эпитет
epitome	олицетворение
epoch	эпоха
equal	равный
equality	равенство
equalization	уравнивание
equalize	уравнять
equalizer	эквалайзер
equally	в равной степени
equate	приравнивать
equation	уравнение
equator	экватор
equatorial	экваториальный
equestrian	наездник
equidistant	эквидистантный
equilibration	уравновешивание
equilibrium	равновесие
equip	оборудовать
equipment	оборудование
equitable	равноправный
equity	капитал
equivalence	эквивалентность
equivalent	эквивалент
equivocal	сомнительный
era	эпоха
eradicate	искоренять
eradication	искоренение
erase	стирать
eraser	ластик
erasure	подчистка
ere	NO TRANSLATION
erect	воздвигать
erectile	эректильная
erection	монтаж
ergo	NO TRANSLATION
erode	разъедать
erosion	эрозия
erotic	эротический
erotica	эротика
err	заблуждаться
errand	поручение
errant	блуждающий
erratic	неустойчивый
erratum	опечатка
erroneous	ошибочный
error	ошибка
erst	NO TRANSLATION
erudite	эрудированный
erupt	прорезываться
eruption	извержение
escalade	эскалада
escalate	обострять
escalating	возрастающий
escalation	эскалация
escalator	эскалатор
escape	побег
escaped	спасся
escarpment	откос
eschew	сторониться
escort	эскорт
escrow	условное депонирование
esophagus	пищевод
esoteric	тайный
especial	NO TRANSLATION
espionage	шпионаж
espouse	поддерживать
espresso	эспрессо
esprit	остроумие
esquire	эсквайр
essay	сочинение
essayist	эссеист
essence	сущность
essential	существенный
essentially	по существу
establish	установить
established	установленный
establishment	создание
estate	имущество
esteem	почитать
esteemed	почитаемый
esthetic	эстетический
estimable	ценный
estimate	оценить
estimation	оценка
estoppel	процессуальный отвод
estranged	раздельно проживающий
estrogen	эстроген
estuary	устье реки
etch	травление
