Word	hi
devout	धार्मिक
dew	ओस
dexter	दायां
dexterity	निपुणता
dextrose	डेक्सट्रोज
diabetes	मधुमेह
diabetic	मधुमेह
diabolical	पैशाचिक
diagnose	का निदान
diagnosis	निदान
diagnostic	नैदानिक
diagnostics	निदान
diagonal	विकर्ण
diagram	आरेख
dial	डायल
dialect	बोली
dialectic	द्वंद्वात्मक
dialogue	संवाद
dialysis	डायलिसिस
diameter	व्यास
diamond	हीरा
diamonds	हीरे
diaper	डायपर
diaphragm	डायाफ्राम
diarrhea	दस्त
diarrhoea	दस्त
diary	डायरी
diatribe	अभियोगात्मक भाषण
dib	NO TRANSLATION
dibs	झलक
dice	पासा
dicey	dicey
dichotomous	दिचोतोमोउस
dichotomy	विरोधाभास
dick	लिंग
dickhead	गधे
dicks	डिक्स
dictate	हुक्म
dictation	इमला
dictator	तानाशाह
dictatorial	तानाशाह का
dictatorship	अधिनायकत्व
diction	शब्द-चयन
dictionary	शब्दकोश
dictum	NO TRANSLATION
didactic	शिक्षाप्रद
diddle	लुढ़का
die	NO TRANSLATION
died	मर गए
diesel	डीज़ल
diet	आहार
dietary	पथ्य
differ	अलग
difference	अंतर
differences	मतभेद
different	विभिन्न
differential	अंतर
differentiation	भेदभाव
differently	अलग ढंग से
differing	भिन्न
difficult	कठिन
difficulties	कठिनाइयों
difficulty	कठिनाई
diffuse	फैलाना
diffusion	प्रसार
dig	NO TRANSLATION
digest	संग्रह
digestion	पाचन
digestive	पाचक
digit	अंक
digital	डिजिटल
dignified	अभिमानी
dignify	सत्कार करना
dignity	गौरव
digress	पीछे हटना
digs	NO TRANSLATION
dike	तटबंध
dilapidated	जीर्ण
dilatation	फैलाव
dilation	फैलाव
dildo	डिल्डो
dilemma	दुविधा
diligence	लगन
diligent	मेहनती
dill	दिल
diluent	घुलानेवाला
dilute	पतला
diluted	पतला
dilution	पतला करने की क्रिया
dim	धुंधला
dime	पैसा
dimension	आयाम
dimensional	आकार
diminish	घटाना
diminished	कम
diminution	कमी
diminutive	अल्पार्थक
dimwit	उल्लू
din	NO TRANSLATION
dine	दोपहर का खाना खाना
diner	भोजन करनेवाला
dinghy	डोंगी
dingo	कुत्ते का एक प्राकर
dingy	धूंधला
dining	भोजन
dinky	छोटे आकार का
dinner	रात का खाना
dinnertime	रात के खाने का समय
dinosaur	डायनासोर
dint	प्रहार
diocesan	बिशप
diocese	सूबा
diorama	चित्रावली
dioxide	डाइऑक्साइड
dip	डुबोना
diploma	डिप्लोमा
diplomacy	कूटनीति
diplomat	राजनयिक
diplomatic	राजनयिक
dipper	रंगरेज़
dippy	बावला
dipstick	डिपस्टिक
dire	NO TRANSLATION
direct	प्रत्यक्ष
directed	निर्देशित
direction	दिशा
directive	आदेश
directly	सीधे
director	निदेशक
directory	निर्देशिका
dirt	गंदगी
dirty	गंदा
disability	विकलांगता
disable	अक्षम करें
disabled	विकलांग
disadvantage	हानि
disaffected	असंतुष्ट
disagree	असहमत
disagreeable	अप्रिय
disagreeing	असहमति
disagreement	बहस
disallow	ठुकराना
disallowed	अनुमति नहीं
disapointment	NO TRANSLATION
disappear	गायब होना
disappearance	लापता होने के
disappearing	गायब
disappoint	निराश
disappointed	निराश
disappointing	निराशाजनक
disappointment	निराशा
disapproval	अस्वीकृति
disapprove	अस्वीकार करना
disapproved	अस्वीकृत कर
disapproving	अनुमोदन
disarm	वश में कर लेना
disarray	उधेड़-बुन
disaster	आपदा
disastrous	विनाशकारी
disband	उखड़ना
disbelief	नास्तिकता
disbelieve	नास्तिकता करना
disburse	चुकाना
disbursement	अदायगी
disc	डिस्क
discard	छोड़ना
discarded	बाहर किया हुआ
discards	छोड देता है
discern	देख लेना
discernible	नमूदार
discerning	विवेकी
discernment	प्रभेद
discharge	मुक्ति
disciple	शिष्य
disciplinary	अनुशासनात्मक
discipline	अनुशासन
disciplined	अनुशासन प्रिय
disclaim	छोड़ना
disclaimer	अस्वीकरण
disclose	खुलासा
disclosed	खुलासा
disclosure	प्रकटीकरण
disco	डिस्को
discoloration	मलिनकिरण
discolored	फीका पड़ा हुआ
discomfort	बेचैनी
disconcerted	घबराया हुआ
disconcerting	चिंताजनक
disconnect	डिस्कनेक्ट
disconnected	डिस्कनेक्ट किया गया
disconnection	वियोग
disconnects	डिस्कनेक्ट
discontent	असंतोष
discontinuance	विरति
discontinue	बंद
discontinuity	अलगाव
discontinuous	टूटनेवाला
discord	कलह
discount	छूट
discounted	रियायती
discourage	हतोत्साह करना
discouraged	हतोत्साहित
discouragement	निराशा
discouraging	उत्साह भंग करनेवाला
discourse	प्रवचन
discover	पता चलता है
discovery	खोज
discredit	बदनाम करना
discredited	बदनाम
discreet	NO TRANSLATION
discrepancy	विसंगति
discrete	अलग
discretion	विवेक
discretionary	विवेकाधीन
discriminate	भेदभाव
discriminating	विशेषक
discrimination	भेदभाव
discus	चक्र
discuss	चर्चा कर
discussion	विचार-विमर्श
disdain	तिरस्कार
disdainful	हेय
disease	रोग
diseased	रोगी
disembodied	भंग किया हुआ
disengage	छुड़ाना
disengagement	मुक्ति
disfigured	विकृत
disgrace	अपमान
disgraced	बेआबरू
disgraceful	शर्मनाक
disgruntled	ख़फ़ा
disguise	भेस
disguised	प्रच्छन्न
disgust	घृणा
disgusted	घृणा करनेवाला
disgusting	घिनौना
dish	थाली
disheartened	निस्र्त्साहित
disheartening	बेहद निराशाजनक
dishonest	बेईमान
dishonesty	बेईमानी
dishonor	अपमान
dishonorable	नीच
dishwasher	बर्तन साफ़ करने वाला
disillusionment	मोहभंग
disinclination	अनिच्छा
disincline	विराग उत्पन्न करना
disinclined	विमुख
disinfect	शुद्ध करना
disinfectant	निस्संक्रामक
disinfection	कीटाणुशोधन
disinformation	दुष्प्रचार
disingenuous	कपटी
disintegrate	टुकड़े टुकड़े करना
disintegration	विघटन
disinterested	उदासीन
disjoint	विभिन्न करना
disjointed	असंबद्ध
disjunctive	संधि तोड़नेवाला
disk	डिस्क
diskette	डिस्केट
dislike	नापसन्द
disliked	नापसंद
disliking	disliking
dislocated	हड्डी उखड़
dislocation	अव्यवस्था
dislodge	जगह देना
disloyal	बेवफ़ा
disloyalty	द्रोह
dismal	निराशाजनक
dismantle	विघटित
dismay	बेचैनी
dismayed	निराश
dismemberment	बहिष्कार
dismiss	खारिज
dismissal	पदच्युति
dismissive	खारिज
dismount	उतरना
disobedience	आज्ञा का उल्लंघन
disobedient	हठी
disobey	अवज्ञा करना
disorder	विकार
disordered	बेक़ायदा
disorderly	उल्टा पुल्टा
disorganized	बेतरतीब
disorientation	भटकाव
disoriented	गुमराह
disown	अस्वीकार करना
disparage	उपेक्षा करना
disparaging	उपेक्षा करनेवाला
disparate	मुक़्तलिफ़
disparity	असमानता
dispassionate	आवेगहीन
dispatch	प्रेषण
dispatcher	डिस्पैचर
dispel	दूर हो जाना
dispensary	औषधालय
dispensation	व्यवस्था
dispense	बांटना
dispenser	दवासाज़
dispersal	प्रसार
disperse	फैलाने
dispersed	तितर - बितर
dispersion	फैलाव
dispirited	मायूस
displace	विस्थापित करना
displaced	विस्थापित
displacement	विस्थापन
displacency	displacency
display	प्रदर्शन
displease	नाराज़ करना
displeased	अप्रसन्न
displeasure	अप्रसन्नता
disposable	डिस्पोजेबल
disposal	निपटान
dispose	निपटाना
disposed	उतारू
disposition	स्वभाव
dispossessed	बेदख़ल
disprove	असत्य सिद्ध करना
dispute	विवाद
disqualification	अयोग्यता
disqualified	अयोग्य घोषित कर दिया
disqualify	अयोग्य ठहराना
disquieted	disquieted
disregard	उपेक्षा
disregarded	अवहेलना
disrelish	घृणा करना
disreputable	जर्जर
disrepute	बदनामी
disrespect	अनादर
disrespectful	अनुचित
disrupt	बाधित
disrupting	खलल न डालें
disruption	विघटन
disruptive	हानिकारक
dissatisfaction	असंतोष
dissatisfied	असंतुष्ट
dissect	काटना
dissection	विच्छेदन
disseminate	प्रसारित करना
dissemination	प्रसार
dissension	कलह
dissent	मतभेद
dissenting	असहमति
dissertation	निबंध
disservice	अपकार
dissident	मतभेद करनेवाला
dissimilar	भिन्न
dissipate	नष्ट करना
dissipated	व्यस्त
dissociation	पृथक्करण
dissociative	अलग करनेवाला
dissolution	विघटन
dissolve	भंग
dissonance	मतभेद
dissuade	विरत करना
distal	बाहर का
distance	दूरी
distant	दूर
distaste	वैमनस्य
distasteful	अप्रिय
distillate	खींचा हुआ शराब
distillation	आसवन
distilled	आसुत
distinct	अलग
distinction	भेद
distinctive	विशेष
distinguish	अंतर करना
distinguishable	साफ़
distinguished	विशिष्ट
distinguishing	विशिष्ठ
distort	बिगाड़ना
distorted	विकृत
distortion	विरूपण
distract	विचलित
distracted	विचलित
distracting	ध्यान भंग
distraction	व्याकुलता
distraught	व्याकुल
distress	संकट
distressed	व्यथित
distressing	विक्षुब्ध
distribute	बांटो
distribution	वितरण
distributor	वितरक
district	जिला
distrust	शक
disturb	परेशान
disturbance	अशांति
disturbed	व्याकुल
disturbing	परेशान
disuse	अप्रचार
disused	अनुपयोगी
ditch	खाई
ditto	ठीक इसी प्रकार से
ditty	छोटा गीत
diurnal	प्रतिदिन
diva	दिवा
divan	NO TRANSLATION
dive	डुबकी
diver	ग़ोताख़ोर
diverge	हट जाना
divergence	विचलन
divergent	विभिन्न
diverging	अपसारी
divers	गोताखोरों
diverse	विविध
diversified	विविध
diversify	विविधता
diversion	परिवर्तन
diversionary	पथांतरित
diversity	विविधता
divert	मोड़ना
diverting	मनोरंजक
divest	ले लेना
divested	वापस ले ली
divestment	भंडाफोड़
divide	विभाजन
divided	अलग करना
dividend	लाभांश
divination	अटकल
divine	दिव्य
divinity	देवत्व
divisible	भाज्य
division	विभाजन
divisor	भाजक
divorce	तलाक
divorcee	त्याग किया हुआ स्री
divulge	प्रकाशित करना
divvy	सूद
dizziness	चक्कर आना
dizzy	चक्कर
do	कर
doable	साध्य
doc	दस्तावेज़
docile	विनम्र
dock	गोदी
docked	डॉक की गई
docket	फैसलों की सूची
docking	डॉकिंग
doctor	चिकित्सक
doctorate	डॉक्टर की उपाधि
doctrinal	मत-संबंधी
doctrine	सिद्धांत
document	दस्तावेज़
documentary	दस्तावेज़ी
documentation	प्रलेखन
documents	दस्तावेजों
dodge	चकमा
dodger	चालबाज़
dodging	dodging
dodgy	कुशल
dodo	सुस्तदिमाग़
doe	हरिणी
doer	कर्ता
dog	कुत्ता
dogface	कुत्ते जैसा मुंह
dogged	हठी
doggy	कुत्ता
doghouse	कुत्ता-घर
dogma	हठधर्मिता
dogmatic	कट्टर
dogsick	NO TRANSLATION
doings	कर्म
doit	NO TRANSLATION
dojo	डोजो
doldrums	उदासी
dole	ख़ैरात करना
doll	गुड़िया
dollar	डॉलर
dollhouse	गुड़िया का घर
dolor	NO TRANSLATION
dolphin	डॉल्फिन
domain	डोमेन
dome	गुंबद
domestic	घरेलू
domesticated	पाला हुआ
domestication	पातलू बनाने का कार्य
domicile	अधिवास
domiciled	अधिवासित
dominance	प्रभाव
dominant	प्रमुख
dominate	हावी
dominating	पर हावी
domination	प्रभुत्व
dominatrix	से शासन करने
dominion	अधिराज्य
domino	मास्क
don	डॉन
donate	दान करना
donation	दान
donkey	गधा
donor	दाता
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	अपन से मुॅह मत लगा कर
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	कामचोर
doom	कयामत
doomed	अपराधी
doomsday	कयामत का दिन
door	द्वार
doorbell	दर्वाज़ी की घंटी
doorknob	दरवाज़े
doorman	दरबान
doormat	doormat
doornail	doornail
doorstep	दरवाजे
doorway	द्वार
dopamine	डोपामाइन
dope	नशा
dopey	बासी
dork	बेवकूफ
dorky	dorky
dorm	छात्रावास
dormant	निष्क्रिय
dormitory	छात्रावास
dorsal	पृष्ठीय
dosage	मात्रा बनाने की विधि
dose	औषधि की मात्रा
dossier	फ़ाइल
dot	डॉट
doting	अति अनुरक्त
dotted	छितराया हुआ
dotty	दीवाना हो गया
double	दोहरा
doubled	दोगुनी
doublet	नक़ल
doubling	दोहरीकरण
doubt	शक
doubtful	संदिग्ध
doubting	संदेह करनेवाला
doubtless	निस्संदेह
doubts	संदेह
douche	खंगालना
douchebags	douchebags
dough	लोई
doughboy	doughboy
doughnut	डोनट
dour	बेदर्द
douse	पानी में गोता लगाना
dove	कबूतर
down	नीचे
downcast	खिन्न
downer	डाउनर
downfall	बाढ़ का उतार
downfield	downfield
downhearted	निराश
downhill	ढलान
download	डाउनलोड
downpour	मूसलधार बारिश
downright	सर्वथा
downriver	downriver
downside	नकारात्मक पक्ष यह है
downtime	स्र्कना
downward	नीचे
downy	कोमल
dowry	दहेज
doze	झपकी लेना
dozen	दर्जन
drab	एकाकार
draft	प्रारूप
drafty	हवादार
drag	खींचें
dragon	अजगर
dragonfly	व्याध-पतंग
drain	नाली
drainage	जलनिकास
drained	सूखा
draining	draining
drainpipe	drainpipe
drake	मक्खी
drama	नाटक
dramaqueen	NO TRANSLATION
dramatic	नाटकीय
drape	टांगना
drapery	चिलमन
drastic	भीषण
drat	NO TRANSLATION
draught	प्रारूप
draw	खींचना
drawback	कमी
drawbridge	सीढ़ी
drawer	दराज
drawers	दराज़
drawing	चि त्र का री
dread	भय
dreaded	खूंखार
dreadful	भयानक
dreadfully	dreadfully
dreading	dreading
dream	ख्वाब
dreamboat	dreamboat
dreamer	सपने देखने
dreaming	सपना देखना
dreamland	मन की तरंग
dreams	सपने
dreamt	सपना देखा
dreamy	काल्पनिक
dreary	सुनसान
dredge	छिड़कना
drenched	भीग
dress	पोशाक
dresser	ड्रेसर
dressmaker	ललित
dressy	फै़शनवाला
dribble	NO TRANSLATION
dried	सूखा
drier	सुखाने की मशीन
drift	अभिप्राय
drifted	हो गए
drifter	आवारा
driftwood	Driftwood
drill	ड्रिल
drink	पेय
drinker	वाली
drinking	पीने
drinks	पेय
drip	टपक
dripping	टपकाव का
drive	चलाना
drivel	बेहूदा बात
driver	चालक
driveway	सड़क
drizzle	बूंदा बांदी
droll	हंसी उड़ाना
drone	मुफ़्तक़ोर
drones	ड्रोन
drool	लार
drooping	drooping
droopy	droopy
drop	ड्रॉप
droplet	छोटी बूंद
dropout	ड्रॉप आउट
dropper	ड्रॉपर
drought	सूखा
drove	NO TRANSLATION
drown	डुबकर मरना
drowsiness	तंद्रा
drowsy	सुस्त
drudgery	कठिन परिश्रम
drug	दवा
drug dealing	ड्रग्स का सौदा
drugged	नशा
druggist	अत्तार
drugs	दवाओं
drugstore	दवा की दुकान
druid	ड्र्यूड
drum	ढोल
drummer	ढंढोरची
drumming	नगाड़ा बजाना
drunk	नशे में
drunk driving	पीके चलाना
drunkard	शराबी
drunken	शराबी
drunkenness	मादकता
dry	सूखा
dryer	ड्रायर
dryness	शुष्कता
dual	दोहरी
dualism	द्वैतवाद
duality	द्वंद्व
dub	प्रहार
dubious	संदिग्ध
duchess	रानी
duck	बत्तख
ducking	पूर्ण रूप से भीगना
duckling	बत्तख़ का बच्चा
ducky	लालित्य
duct	वाहिनी
ductile	नमनीय
dud	व्यर्थ
dude	दोस्त
duds	चिथड़े
due	देय
duel	द्वंद्वयुद्ध
dues	देय राशि
duet	युगल
duffel	duffel
dugout	खोदकर निकालना
duh	ओह
duke	शासक
dull	कुंठित
dullard	dullard
dumb	गूंगा
dumbasses	dumbasses
dumbbell	डम्बल
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	डमी
dump	ढेर
dumpling	उबाली हुई पकौड़ी
dumps	उदासीनता
dumpster	कूड़े के ढेर
dun	धुंधला काले रंग
dunce	कुंद
dune	टिब्बा
dung	NO TRANSLATION
dungeon	कालकोठरी
dunk	डुबोना
duo	जोड़ी
dupe	भोला-भाला
duplex	दोहरा
duplicate	प्रतिलिपि
duplication	प्रतिलिपि
duplicity	कपट
durability	सहनशीलता
durable	टिकाऊ
duration	अवधि
duress	अवरोध
dusk	गोधूलि बेला
dusky	काला
dust	धूल
duster	झाड़न
dustpan	dustpan
dusty	मटमैला
dutiful	कर्त्तव्य परायण
duty	कर्तव्य
dwarf	बौना आदमी
dwarfed	dwarfed
dweeb	dweeb
dwell	ध्यान केन्द्रित करना
dweller	निवासी
dwelling	आवास
dye	रंग
dying	मौत
dyke	बांध
dynamic	गतिशील
dynamical	गतिशील
dynamics	गतिकी
dynamite	बारूद
dynamo	डाइनेमो
dynasty	वंश
dysentery	पेचिश
dysfunction	रोग
dysfunctional	बेकार
dyspepsia	अपच
eager	उत्सुक
eagerness	उत्सुकता
eagle	ईगल
ear	कान
earful	earful
earl	राजा
earlier	पूर्व
early	जल्दी
earn	कमाना
earnest	बयाना
earnestly	ज़ोर देकर
earnestness	ईमानदारी
earnings	कमाई
earpiece	इयरपीस
earring	कान की बाली
earrings	कान की बाली
earshot	श्रवण सीमा
earth	पृथ्वी
earthenware	मिट्टी के बरतन
earthling	earthling
earthly	लौकिक
earthquake	भूकंप
earthy	मिट्टी की
ease	आराम
easel	चित्रफलक
easement	दिलजमई
easily	आसानी से
east	पूर्व
eastbound	पूर्वाभिमुख
eastern	पूर्व का
easy	आसान
easygoing	आरामपसंद
eat	खाना खा लो
eater	भक्षक
eating	भोजन
eatingdisorders	NO TRANSLATION
eavesdrop	छिपकर बातें सुनना
eavesdropping	जासूसी
ebb	अवनति
ebony	आबनूस
ebullient	उबलनेवाला
eccentric	विलक्षण
eccentricity	सनक
ecclesiastical	गिरिजाघर
echelon	टोली
echinacea	Echinacea
echo	गूंज
eclectic	उदार
eclipse	ग्रहण
ecliptic	क्रांतिवृत्त
ecological	पारिस्थितिक
economic	आर्थिक
economical	किफ़ायती
economics	अर्थशास्त्र
economy	अर्थव्यवस्था
ecosystem	पारिस्थितिकी तंत्र
ecstasy	परमानंद
ecstatic	उन्मादपूर्ण
ecumenical	दुनियावी
eddy	एडी
edema	शोफ
edge	धार
edging	किनारा
edgy	नुकीला
edible	खाद्य
edict	अध्यादेश
edification	नसीहत
edifice	भवन
edit	संपादित करें
editing	संपादन
edition	संस्करण
editor	संपादक
editorial	संपादकीय
educate	शिक्षित
educated	शिक्षित
education	शिक्षा
educational	शिक्षात्मक
educator	शिक्षक
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	EEK
eel	बाम मछली
eerie	भयानक
effect	प्रभाव
effective	प्रभावी
effectiveness	प्रभावशीलता
effects	प्रभाव
effectual	क्रियाशील
effectually	effectually
effectuate	सिद्ध करना
effeminate	स्रैण
efficacious	प्रभावोत्पादक
efficacy	प्रभावोत्पादकता
efficiency	दक्षता
efficient	कुशल
effigy	पुतला
effort	प्रयास है
effortless	सरल
effusion	बहाव
effyou	NO TRANSLATION
egg	अंडा
egghead	अंडमुख
eggnog	एग्नॉग
eggplant	बैंगन
eggshell	खोल
ego	अहंकार
egomaniac	egomaniac
egotistical	घमंडी
egregious	प्रबल
egress	निकास
eight	आठ
eighteen	अठारह
eighth	आठवाँ
eighty	अस्सी
ejaculate	बोल पड़ना
ejaculation	फटना
eject	निकालना
ejection	बेदख़ल
elaborate	विस्तृत
elaboration	विस्तार
elan	NO TRANSLATION
elapse	बीत जाना
elapsed	गुजर चुके
elastic	लोचदार
elasticity	लोच
elated	उत्तेजित
elation	उत्साह
elbow	कोहनी
eld	वृद्धावस्था
elder	ज्येष्ठ
elderly	बुज़ुर्ग
elders	बड़ों
eldest	ज्येष्ठ
elect	चुनाव
election	चुनाव
elective	निर्वाचित
elector	निर्वाचक
electoral	चुनावी
electorate	मतदाताओं
electric	बिजली
electric slide	बिजली स्लाइड
electrical	विद्युतीय
electrician	बिजली मिस्त्री
electricity	बिजली
electrify	विद्युतीकरण करना
electrocute	विद्युत् से मारना
electrocution	बिजली
electromagnetic	विद्युत चुम्बकीय
electron	इलेक्ट्रॉन
electronic	इलेक्ट्रोनिक
electronics	इलेक्ट्रानिक्स
elegance	लालित्य
elegant	शिष्ट
element	तत्त्व
elemental	मौलिक
elementary	प्राथमिक
elements	तत्वों
elephant	हाथी
elevate	ऊपर उठाना
elevated	ऊपर उठाया
elevation	ऊंचाई
elevator	लिफ्ट
eleven	ग्यारह
eleventh	ग्यारहवाँ
elf	योगिनी
elicit	प्रकाश में लाना
eligible	योग्य
eliminate	को खत्म
elimination	निकाल देना
elite	अभिजात वर्ग
elitist	संभ्रांतवादी
elixir	अमृत
elk	गोज़न
ell	पक्ष
ellipse	अंडाकार
ellipsis	अंडाकार
ellipsoid	दीर्घवृत्ताभ
elliptic	अंडाकार का
elliptical	दीर्घ वृत्ताकार
elm	एल्म
elongate	बढ़ाना
elongation	बढ़ाव
elope	साथ भाग जाना
eloquence	वाग्मिता
eloquent	सुवक्ता
elucidate	स्पष्ट करना
elucidation	व्याख्या
elude	टलना
elusive	मायावी
emaciated	क्षीण
email	ईमेल
emanate	निर्गत होना
emancipation	मुक्ति
embankment	तटबंध
embargo	NO TRANSLATION
embark	लगना
embarrass	असमंजस में डालना
embarrassed	शर्मिंदा
embarrassing	शर्मनाक
embarrassment	शर्मिंदगी
embassy	दूतावास
embattled	ठनी
embed	एम्बेड
embellish	संवारना
embellishment	ज़ेब
embers	चिंगारी
embezzlement	ग़बन
embezzler	गबन करने
emblem	प्रतीक
emblematic	प्रतीकात्मक
embodiment	अवतार
embolism	दिल का आवेश
embossed	उभरे
embrace	आलिंगन
embroidered	बूटेदार
embroidery	कढ़ाई
embroiled	घपला
embryo	भ्रूण
embryonic	भ्रूण
emcee	emcee
emerald	पन्ना
emerge	उभरना
emergence	उद्भव
emergency	आपातकालीन
emeritus	एमेरिटस
emery	कस्र्न पत्थर
emetophobia	emetophobia
emigrate	विदेशवास करना
emigration	प्रवासी
eminence	श्रेष्ठता
eminent	प्रख्यात
eminently	अत्यंत
emir	NO TRANSLATION
emissary	दूत
emission	उत्सर्जन
emit	फेंकना
emo	emo
emotion	भावना
emotional	भावुक
emotive	भावपूर्ण
empathic	empathic
empathize	सहानुभूति
empathy	सहानुभूति
emperor	सम्राट
emphasis	ज़ोर
emphasize	ज़ोर देना
emphatic	ज़ोरदार
emphysema	वातस्फीति
empire	साम्राज्य
empirical	प्रयोगसिद्ध
empiricism	अनुभववाद
employ	रोजगार
employee	कर्मचारी
employer	नियोक्ता
employment	रोज़गार
emporium	बिक्री भंडार
empower	सशक्त
empress	महारानी
emptiness	शून्यता
emption	क्रय
empty	खाली
emu	एमु
emulate	अनुकरण करना
emulsion	पायसन
enable	सक्षम
enablement	सक्षमता
enact	अभिनय करना
enactment	कानून
enamel	तामचीनी
encampment	पड़ाव
enchant	मंत्रमुग्ध करना
enchanted	जादू
enchanting	करामाती
enchantment	आकर्षण
enchantress	जादूगरनी
enchilada	enchilada
encircle	घेरना
encircling	घेराबंदी
enclave	एन्क्लेव
enclose	जोड़ देना
enclosure	दीवार
encode	सांकेतिक शब्दों में बदलना
encomiastic	NO TRANSLATION
encomium	encomium
encompass	धरना
encore	NO TRANSLATION
encounter	मुठभेड़
encourage	प्रोत्साहित करना
encouraged	प्रोत्साहित
encouragement	प्रोत्साहन
encouraging	उत्साहजनक
encroach	अतिक्रमण करना
encroachment	अतिक्रमण
encrypt	एन्क्रिप्ट
encryption	एन्क्रिप्शन
encumbrance	भार
encyclopedia	विश्वकोश
end	समाप्त
end table	अंत तालिका
endanger	जोखिम में डालना
endangered	लुप्तप्राय
endangerment	खतरे में
endearing	प्रीतिकर
endeavor	प्रयास
ended	समाप्त
endemic	स्थानिक
endgame	एंडगेम
ending	समापन
endless	अनंत
endocarditis	अन्तर्हृद्शोथ
endorse	समर्थन
endorsement	समर्थन
endow	प्रदान करना
endowed	संपन्न
endowment	अक्षय निधि
endpapers	endpapers
endpoint	endpoint
endurance	धैर्य
endure	सहना
enduring	चिरस्थायी
enema	एनीमा
enemy	दुश्मन
energetic	शक्तिशाली
energize	उत्साहित
energy	ऊर्जा
enforce	लागू करना
enforcement	प्रवर्तन
enforcer	लागू करनेवाला
engage	संलग्न
engaged	व्यस्त
engagement	सगाई
engaging	मनोहन
engender	पैदा करना
engine	इंजन
engineer	इंजीनियर
engineering	अभियांत्रिकी
engrave	उत्कीर्ण करना
engraved	उत्कीर्ण
engraver	नक़्क़ाश
engraving	एनग्रेविंग
engrossed	तल्लीन
engrossing	मनोरंजक
engulf	निगल जाना
enhance	बढ़ाने
enhancement	वृद्धि
enigma	पहेली
enigmatic	रहस्यपूर्ण
enjoin	हुक्म चलाना
enjoy	का आनंद लें
enjoyable	सुखद
enjoying	मजा अ
enjoyment	आनदं
enlarge	विस्तार करना
enlarged	बढ़ा हुआ
enlargement	इज़ाफ़ा
enlighten	सूचित करना
enlightened	प्रबुद्ध
enlightening	शिक्षाप्रद
enlightenment	प्रबोधन
enlist	प्राप्त करना
enliven	सजीव करना
enmity	शत्रुता
ennui	विरक्ति
enormity	दुष्टता
enormous	विशाल
enormously	अत्यंत
enraged	गुस्से में आया
enrich	समृद्ध
enroll	नामांकन
enrollment	उपस्थिति पंजी
ensemble	कलाकारों की टुकड़ी
ensign	प्रतीक
enslave	वश में रखना
enslaved	ग़ुलाम बनाया हुआ
enslavement	दास बनाना
ensue	पीछा करना
ensure	सुनिश्चित
entail	आवश्यक
entangled	फँसा हआ
entanglement	नाज़ुक हालत
enter	दर्ज
enterprise	उद्यम
enterprising	उद्यमी
entertain	मनोरंजन
entertained	मनोरंजन
entertainer	मनोरंजन
entertaining	मनोरंजक
entertainment	मनोरंजन
enthralled	रोमांचित
enthusiasm	उत्साह
enthusiast	सरगर्म
enthusiastic	उत्साही
entice	लुभाने
entire	संपूर्ण
entirety	संपूर्णता
entitle	समर्थ बनाना
entity	सत्ता
entomology	कीटविज्ञान
entourage	घेरा
entrails	अंतड़ियों
entrance	प्रवेश
entrapment	फंसाने
entreat	विनती करना
entree	दखल
entrepreneur	व्यवसायी
entrust	सौंपना
entry	प्रवेश
enumerate	एक एक करके बताना
enumeration	गणना
envelope	लिफ़ाफ़ा
envious	ईर्ष्या
environ	NO TRANSLATION
environment	वातावरण
environmental	पर्यावरण
environs	पड़ोस
envision	कल्पना करना
envoy	दूत
envy	डाह
enzyme	एंजाइम
ephemeral	अल्पकालिक
ephemeris	पंचांग
epic	महाकाव्य
epidemic	महामारी
epidermis	एपिडर्मिस
epidural	एपीड्यूरल
epilepsy	मिरगी
epileptic	मिरगी
epilogue	उपसंहार
epiphany	इपिफ़नी
episcopal	बिशप का
episode	प्रकरण
episodic	प्रासंगिक
epistle	पत्र
epitaph	समाधि-लेख
epithet	विशेषण
epitome	प्रतीक
epoch	युग
equal	बराबरी का
equality	समानता
equalization	समीकरण
equalize	बराबर करना
equalizer	तुल्यकारक
equally	समान रूप से
equate	समान बनाना
equation	समीकरण
equator	भूमध्य रेखा
equatorial	भूमध्यरेखीय
equestrian	घुड़सवार
equidistant	समान दूरी
equilibration	संतुलन
equilibrium	संतुलन
equip	लैस
equipment	उपकरण
equitable	न्यायसंगत
equity	इक्विटी
equivalence	समानक
equivalent	बराबर
equivocal	गोलमोल
era	युग
eradicate	उन्मूलन
eradication	नाश
erase	मिटाना
eraser	रबड़
erasure	मिटाना
ere	NO TRANSLATION
erect	खड़ा
erectile	सीधा होने के लायक़
erection	निर्माण
ergo	NO TRANSLATION
erode	खत्म
erosion	कटाव
erotic	कामुक
erotica	प्रेमकाव्य
err	ग़लती होना
errand	दूतकार्म
errant	भटकनेवाला
erratic	अनियमित
erratum	इरेटा
erroneous	ग़लत
error	त्रुटि
erst	NO TRANSLATION
erudite	वैज्ञानिक
erupt	फूटना
eruption	विस्फोट
escalade	Escalade
escalate	गहरा बनाना
escalating	तना हुआ
escalation	वृद्धि
escalator	चलती सीढ़ी
escape	पलायन
escaped	भाग निकले
escarpment	ढलान
eschew	त्याग करना
