Word	ig
circumference	gbara gburugburu
circumferential	agafe
circumscribed	gbara gburugburu
circumstance	ọnọdụ
circumstances	ọnọdụ
circumstantial	dị mkpa
circumvent	gafere
circumvention	gabigara
circus	ihe nkiri
cirque	cirque
cirrhosis	cirrhosis
cirrus	cirrus
cistern	olulu mmiri
citadel	citadel
citation	okwu
cite	ebe
citizen	nwa amaala
citizenship	ụmụ amaala
citrine	citrine
citrus	citrus
city	obodo
citywide	obodo dum
civic	obodo
civics	obodo
civil	obodo
civilian	ndị nkịtị
civilians	ndị nkịtị
civility	civility
civilization	mmepeanya
civilized	mepere anya
clad	mechie
claim	Mgbarakwa
claimant	onye na-ekwu okwu
clairvoyant	clairvoyant
clam	clam
clambake	nkpuchi
clammy	clammy
clamor	kpoo
clamp	mwepu
clan	ezinụlọ
clandestine	ezighi ezi
clang	mechie
clap	kpoo
clapper	mechie
clapping	na-akụchi
clarification	nkowa
clarify	dokwuo anya
clarinet	clarinet
clarion	nkpu
clarity	doo anya
clash	nsogbu
clashing	ịlụ ọgụ
clasp	nchikọta
class	klas
classic	kpochapụ
classic rock	kristal mara mma
classical	oge gboo
classics	akarị
classification	nhazi ọkwa
classified	nke a
classify	dozie
classmate	nwa klas gị
classroom	klas
classy	classy
clatter	kpoo
clause	nkowa
clauses	nkowa
claustrophobia	claustrophobia
claustrophobic	claustrophobic
clavicle	clavicle
claw	ncha
claws	ncha
clay	ụrọ
clean	dị ọcha
cleaner	Cleaner
cleaning	nhicha
cleanliness	ịdị ọcha
cleanly	ọcha
cleanse	sacha
cleanser	ọcha
cleansing	ọcha
cleanup	hichapụ
clear	doro anya
clearance	nnyefe
clearing	nhichapu
clearness	doro anya
cleat	isi
cleavage	ikpochapu
cleave	kpochapụ
cleaver	NO TRANSLATION
clef	isi
cleft	ncha
clemency	ike
clench	clench
clergy	ndị ụkọchukwu
clergyman	onye ụkọchukwu
cleric	ụkọchukwu
clerical	ndị ụkọchukwu
clerk	odeakwụkwọ
clerkship	ụlọ akwụkwọ
clever	onye maara ihe
cleverness	nkọ
click	pịa
clicker	clicker
client	onye ahịa
clientele	ndị ahịa
cliff	elu ugwu
climate	ihu igwe
climatology	climatology
climax	oke
climb	arịgo
climber	arịgo elu
clinch	ụlọ
cling	jidesie ike
clingy	jidesie ike
clinic	ụlọ ọgwụ
clinical	ọgwụ
clink	clink
clip	clip
clipboard	ihe nhazi
clipper	clipper
clipping	clipping
clique	NO TRANSLATION
clitoris	clitoris
cloak	uwe mgbokwasị
cloaking	ejiji
cloakroom	akwa igwe
clobber	na-ekpuchi
clock	elekere
clockwork	clockwork
clod	clod
clog	clog
cloister	cloister
clone	mmepụta oyiri
cloning	cloning
close	nso
closed	mechiri
closeness	nsochi
closet	imechi
closure	mmechi
clot	clot
cloth	ákwà
clothe	uwe
clothes	uwe
clothesline	uwe akwa
clothing	uwe
cloud	igwe ojii
clouded	kpakpando
cloudiness	igwe ojii
clouds	igwe ojii
cloudy	igwe ojii
clout	ncha
clove	nchara
clover	clover
cloves	cloves
clown	ncha
clowns	clowns
club	osisi
clubhouse	ụlọ ụlọ
clubs	klọb
cluck	cluck
clue	ihe ngosi
clueless	enweghị ntụpọ
clump	juputa
clumsy	enweghị ntụpọ
clunk	ike
cluster	ụyọkọ
clutch	njide
clutches	ejiri aka
clutter	njide
coach	nchịkwa
coachman	onye nhazi
coagulation	coagulation
coal	coal
coalesce	coalesce
coalition	mmekorita
coarse	oke nkpa
coast	n'ụsọ oké osimiri
coastal	n'ụsọ oké osimiri
coaster	na-eme njem
coastline	n'ụsọ oké osimiri
coat	uwe
coating	mkpuchi
coax	coax
cobalt	cobalt
cobble	ọkpụkpụ
cobbler	ọkpụkpụ
cobra	cobra
cocaine	cocaine
cock	n'ike mmụọ nsọ
cockamamie	cockamamie
cockeyed	cockeyed
cockpit	ụgbọ elu
cockroach	eme ihe
cocksucker	cockwacker
cocktail	mmanya
cocky	cocky
cocoa	koko
coconut	akụ oyibo
cocoon	akwuru
cod	cod
code	koodu
codeine	codeine
codex	codex
codfish	codfish
codification	nhazi
codify	codify
coding	nzuzo
coed	coed
coefficient	ọnụọgụgụ
coerce	coerce
coercion	ike mmanye
coercive	mkparịta ụka
coexist	coexist
coexistence	enwe mmekọrịta
coexisting	na-ebikọ ọnụ
coffee	kọfị
coffee table	okpokoro kọfị
coffeehouse	kọfị
coffeepot	coffeepot
coffin	akpati
cog	cog
cogent	ego
cognac	cognac
cognate	chekwaa
cognition	cognition
cognitive	ezi uche
cohabitation	ịba ụba
coherence	mmekọrịta
coherent	dị mma
cohesion	cohesion
cohesive	cohesive
cohort	ngalaba
coil	mgbakwunye
coiled	weghaara
coin	ego
coinage	coinage
coincide	adaba
coincidence	emekorita
coincident	kwadoro
coincidental	na-agakọ
coinciding	adaba
coke	coke
cola	cola
cold	oyi
coldly	oyi
coldness	oyi
coldsweat	NO TRANSLATION
coleslaw	coleslaw
colic	colic
coliseum	kolise
collaborate	imekota
collaboration	mmekorita
collaborator	onye na-emekọ ihe
collage	nhazi
collagen	ngwugwu
collapse	ida
collar	olu akwa
collarbone	akpụkpọ ụkwụ
collate	kpokọta
collateral	nkwenye
collation	nchịkọta
colleague	onye ọrụ
collect	nakọta
collected	anakọtara
collection	nchịkọta
collective	mkpokọta
collectively	otu
collector	nchịkọta
college	mahadum
collegiate	kollegiate
collide	zukọta
collie	collie
collision	nkuku
collocation	ebe obibi
colloquial	mkparịta ụka
collusion	nkwekọrịta
cologne	cologne
colon	colon
colonel	colonel
colonial	colonial
colonic	colonic
colonoscopy	colonoscopy
colony	ógbè
colophon	colophon
color	agba
coloration	agba
colored	acha
colorful	acha
coloring	agba
colorless	enweghị ntụpọ
colors	agba
colossal	agba
colt	nwa ehi
columbine	ụlọ akwụkwọ
column	kọlụm
columnar	nchịkọta
columnist	nhazi akwukwo
com	NO TRANSLATION
coma	coma
comatose	mara mma
comb	mbo
combat	agha
combatant	onye agha
combative	agwakọta
combination	Nchikota
combinatorial	ejikọta ọnụ
combine	ikpokọta
combined	jikọtara
combo	ngwakọta
combustible	combustible
combustion	combustion
come	bia
comeback	laghachite azụ
comedian	comedian
comedy	ọchị
comet	comet
comfort	nkasi obi
comfortable	ntụsara ahụ
comforter	nkasi obi
comforting	nkasi obi
comfy	comfy
comic	ọchị
comical	ọchị
comics	ihe egwuregwu
coming	abịa
comma	njuma
command	iwu
commandant	onye ndu
commandeer	nhazi
commander	ọchịagha
commanding	na-enye iwu
commandment	iwu
commando	iwu
commemorate	eme ememe ncheta
commemoration	ememe ncheta
commemorative	ememe ncheta
commence	malite
commend	jaa ya mma
commendable	ezi mma
commendation	ịja mma
commensurate	bidoro
comment	okwu
commentary	nkọwa
commentator	akọwa
commerce	ahia
commercial	azụmahịa
commie	mma
commissary	nhazi
commission	ọrụ
commissioner	onye nlekọta
commit	eme
commitment	nkwa
committal	akwụ
committed	mere
committee	kọmitii
commodity	ahia
commodore	mma
common	nkịtị
commoner	ndi mmadu
commonly	ọtụtụ ndị
commonplace	ebe niile
commons	mma
commonwealth	obodo ndi mmadu
commotion	ọgba aghara
communal	obodo
commune	ogbako
communicable	ekwurịta okwu
communicate	okwu
communication	nkwurịta okwu
communicative	nkwurịta okwu
communicator	onye na-ekwurịta okwu
communion	udo
communism	kọmitii
communist	nkịta
community	obodo
commutation	ngbanwe
commutative	swutative
commute	gafee
commuter	gbanwee
comp	comp
compact	kọmpat
compaction	compaction
compactness	compactness
companion	enyi
companionless	enweghị enyi
companionship	enyi
company	ụlọ ọrụ
comparable	tụnyere
comparative	atụnyere
comparatively	dịka
compare	tụnyere
comparison	tụnyere
compartment	ogige
compass	kọmpụ
compassion	ọmịiko
compassionate	nwe ọmịiko
compatibility	ndakọrịta
compatible	dakọtara
compel	ịmanye
compelled	amanye
compelling	na-akpali
compendium	compendium
compensate	kwụọ ụgwọ
compensation	ụgwọ
compensatory	na-akwụ ụgwọ
compete	mpi
competence	ike
competency	ike
competent	mara
competition	asọmpi
competitive	asọmpi
competitor	onye asọmpi
compilation	nchịkọta
compile	chịkọta
complacency	enweghị afọ ojuju
complacent	enwe obi iru ala
complain	mkpesa
complaint	mkpesa
complement	kwadoro
complementary	kwadoro
complete	zuru
completed	mechara
completely	kpamkpam
completeness	zuru ezu
completing	emecha
completion	mmecha
complex	mgbagwoju anya
complexed	mgbagwoju anya
complexion	mgbagwoju anya
complexity	mgbagwoju anya
compliance	nkwado
compliant	kwadoro ya
complicate	mechie
complicated	mgbagwoju anya
complication	mgbagwoju anya
complicity	ike
compliment	NO TRANSLATION
complimentary	ekele
comply	kwenye
complying	na-ekwenye
compo	compo
component	akụrụngwa
compose	ide
composed	dere
composer	onye dere ya
composite	mejupụtara
composition	mejupụtara
compost	compost
composure	dị mma
compound	ụlọ
comprehend	ghọta
comprehension	nghọta
comprehensive	zuru ezu
compress	mpikota onu
compressed	tinye ya
compressible	ihe ike
compression	mkpakọ
compressor	mpịakọta
comprise	gụnyere
compromise	nkwenye
comptroller	ego
compulsion	mmanye
compulsive	ike
compulsory	onye mmanye
computable	nwere ike ịkọ
computation	nhazi
compute	tụlee
computer	kọmputa
computerized	kọmputa
computing	nhazi
comrade	enyi m
con	NO TRANSLATION
concatenation	concatenation
concave	concave
conceal	zoo
concealed	zoro ezo
concealment	ezo
concede	kwenye
conceit	zoo
conceited	kwalite
conceivable	echepụta
conceive	nwa ime
concentrate	uche
concentration	itinye uche
concentric	concentric
concept	echiche
conception	echiche
concern	nchegbu
concerned	echegbu onwe ya
concert	egwu egwu
concerto	concerto
concession	nkwenye
concessional	mgbapụta
conch	conch
concierge	concierge
conciliation	nkwekọrịta
concise	nkenke
conclave	conclave
conclude	kwubie
concluding	mechie
conclusion	nkwubi okwu
conclusive	obi ike
concoction	concoction
concomitant	obi ike
concord	nkwekọrịta
concordance	nkwekọrịta
concours	NO TRANSLATION
concourse	nkwekọrịta
concrete	ihe
concubine	iko nwanyị
concur	nkwekọrịta
concurrence	nkwekọrịta
concurrent	onye na-akwado ọnụ
concurring	akwado
concussion	mkparịta ụka
condemn	ikpe
condemnation	ikpe
condensation	odide
condensed	condensed
condescending	na-edo onwe ha ala
condescension	dị ala
condiment	nkwenye
condition	ọnọdụ
conditional	ọnọdụ
conditionally	ọnọdụ
conditioned	oyi
conditioner	nhazi
conditioning	oyi
conditions	ọnọdụ
condo	mgbakọ
condolence	obi iru ala
condolences	nkasi obi
condom	condom
condone	kwadoro ya
condor	condor
conducive	eme ihe
conduct	omume
conduction	mgbakọ
conductivity	eduzi
conductor	onye nduzi
conduit	eduzi
cone	cone
confederacy	njedebe
confederate	njedebe
confederation	ndi agha
confer	nye
conference	ogbako
confess	kwupụta
confession	nkwupụta
confessional	nkwupụta
confessions	nkwupụta
confetti	confetti
confidant	onye nkenke
confide	kọọrọ ya
confidence	obi ike
confident	obi ike
confidential	nzuzo
confidentiality	nzuzo
confidentially	NO TRANSLATION
configuration	nhazi
confine	jide
confined	ejigide
confinement	nkwenye
confines	na-emechi
confirm	gosi
confirmation	nkwenye
confirmatory	nkwenye
confirmed	kwadoro
confiscate	weghachị
confiscation	nkwenye
conflagration	agha
conflict	agha
conflicting	esemokwu
confluence	confluence
conform	kwenye
conformance	nkwekọrịta
conformation	NO TRANSLATION
conformity	nkwekọrịta
confound	ndakpọ
confounded	gbagwoju anya
confront	ihu
confrontation	esemokwu
confuse	mgbagwoju anya
confused	mgbagwoju anya
confusing	mgbagwoju anya
confusion	mgbagwoju anya
conga	conga
congenial	nke ọma
congenital	congenital
congestion	mgbakọ
conglomerate	conglomerate
conglomeration	nchịkọta
congrats	ekele
congratulate	kelee
congratulation	ekele
congratulations	ekele
congratulatory	ekele
congregate	ezukọ
congregation	ọgbakọ
congress	nzuko
congressional	agha
congressman	onye nzuko
congruence	obi ike
conic	conic
conical	conical
conjecture	echiche
conjugal	ezukọta
conjugate	jikọta ya
conjugation	agha
conjunction	njikọ
conjunctive	njikọ
conjure	conjure
conjuring	jikọta
conk	nkpuchi
connect	jikọọ
connected	ejikọrọ
connection	njikọ
connective	jikọọ
connoisseur	connoisseur
conquer	merie
conquering	na-emeri
conqueror	mmeri
conquest	mmeri
conscience	akọ na uche
conscientious	akọ na uche
conscious	mara
consciousness	mmata
conscription	nkwenye
consecrated	edozi
consecration	nhazi
consecutive	na-esochi
consensual	nkwenye
consensus	nkwenye
consent	nkwenye
consenting	nkwenye
consequence	ihe si na ya pụta
consequent	ntụgharị
conservation	nchekwa
conservatism	nkwenye
conservative	nchekwa
conservatory	ụlọ akwụkwọ
conserve	chebe
consider	tụlee
considerable	buru ibu
considerate	echebara echiche
consideration	echiche
consignee	onye nchekwa
consignment	ndenye
consist	mejuputa
consistency	agbanwe agbanwe
consistent	agbanwe agbanwe
consolation	nkasi obi
console	njikwa
consoled	nkasi obi
consolidate	kwadoro ya
consolidated	akwado
consolidation	nkwenye
consonant	nkwenye
consort	agụ
conspicuous	mara ihe
conspiracy	izu nkata
conspirator	onye nkwekọrịta
conspire	gbaa izu
constable	onye nche
constancy	obi ike
constant	mgbe niile
constantly	mgbe niile
constellation	kpakpando
consternation	nchegharị
constipation	njigide
constituency	agbụrụ
constituent	emepụta
constituents	emebe
constitute	mejupụtara
constitution	iwu
constitutional	iwu
constitutionality	iwu iwu
constrain	agbagha
constrained	agbachi
constraint	nrụgide
construct	iwu
construction	iwu
constructive	arụ ọrụ
construe	njigide
consul	nyocha
consulate	consulate
consult	gbaa izu
consultant	onye ndụmọdụ
consultation	nyocha
consume	rie
consumer	onye ahịa
consuming	na-eri
consummate	na-efu
consummation	mmebi
consumption	oriri
contact	kọntaktị
contagion	na-efe efe
contagious	na-efe efe
contain	nwere
container	akpa
containment	nkwenye
contaminate	merụọ
contaminated	emerụ
contamination	nje
contemplate	eche echiche
contemplation	eche echiche
contemplative	eche echiche
contemporaneous	dịkọrọ ndụ
contemporary	dị ugbu a
contempt	nlelị
contemptible	dị njọ
contemptuous	nlelị
contend	na-ese okwu
contender	nsogbu
contending	na-ese okwu
content	ọdịnaya
contented	enwe obi ụtọ
contention	esemokwu
contentious	esemokwu
contentment	obi ụtọ
contents	ọdịnaya
contest	zoo
contestant	onye na-asọ asọ
context	onodu
contiguous	kwadoro
continence	ebe niile
continent	Afrika
continental	ala
contingency	enweghi ike
contingent	arụ
continual	na-aga n'ihu
continually	na-aga n'ihu
continuance	gaa n'ihu
continuation	n'ihu
continue	gaa n'ihu
continued	gara n'ihu
continuing	na-aga n'ihu
continuity	aga n'ihu
continuous	na-aga n'ihu
continuously	nọgidere
continuum	continuum
contour	nkata
contraband	igwe
contraception	ọgwụ mgbochi
contract	nkwekọrịta
contracted	kwadoro
contractile	nkwekọrịta
contracting	nkwekọrịta
contraction	nkwekọrịta
contractor	onye nkwekọrịta
contradict	emegide
contradiction	emegide
contradictory	emegide onwe ya
contraption	nkwekọrịta
contrary	emegide
contrast	iche
contrasted	iche
contravene	emegide
contravention	mmegide
contribute	inye onyinye
contribution	onyinye
contributor	onye inyeaka
contrite	agbagha
contrition	nchegharị
contrived	mepụtara
control	njikwa
controller	njikwa
controlling	ịchịkwa
controversial	esemokwu
controversy	esemokwu
contusion	mgbagha
conundrum	conundrum
convalescent	convalescent
convection	convection
convene	akpọ
convenience	mma
conveniences	ndozi
convenient	mfe
convent	ebe obibi ndị nọn
convention	mgbakọ
conventional	ot
converge	megharia
convergence	nnweta
convergent	ndi mmadu
conversant	na-akparịta ụka
conversation	mkparịta ụka
conversational	mkparịta ụka
conversationalist	onye mkparịta ụka
converse	ekwu okwu
conversing	na-akparịta ụka
conversion	ntụgharị
convert	mgbanwe
converted	gbanwere
convertible	agbanwe agbanwe
convex	convex
convexity	convexity
convey	ebufe
conveyance	transmission
conveyancing	na-edozi
convict	onye ikpe
conviction	nkwenye
convince	kwenye
convinced	kwenyesiri ike
convincing	kwenye
convocation	mgbakọ
convoluted	ikpe ikpe
convolution	kwadoro
convoy	convoy
coo	coo
cook	esi nri
cookbook	akwukwo nri
cooker	osi kuki
cookery	esi nri
cookie	kuki
cookies	kuki
cooking	esi nri
cookout	okpokoro
cool	mma
coolant	coolant
cooler	ngwa nju oyi
cooling	mma
coolness	mma
coon	coon
coop	coop
cooperate	kwadoro
cooperating	kwenye
cooperation	imekọ ihe
cooperative	kwenye
coordinate	nhazi
coordination	nhazi
coordinator	onye nhazi
cop	cop
copacetic	NO TRANSLATION
cope	ịnagide
copier	copier
copilot	copilot
coping	imeri
copious	mechie
copper	ọla kọpa
copter	copter
copy	udi
copycat	copycat
copying	na-edegharị
copyright	nwebisiinka
coral	coral
coral snake	agwọ coral
cord	ụdọ
cordial	udo
cordless	enweghị ntụpọ
cordon	ụdọ
corduroy	corduroy
core	isi
cork	nkpu
corkscrew	ndị na-arụ ọrụ
corn	ọka
cornball	ọka ọka
cornbread	ọka wit
cornea	cornea
corned	ọka
corner	nkuku
cornerstone	nkume isi nkuku
cornet	ọka
cornfield	ọka ọka
cornflakes	NO TRANSLATION
cornice	ọka
cornstarch	ọka ọka
corny	ọka
corollary	nyocha
corona	corona
coronary	akwara
coronation	nyocha
coroner	coroner
corporal	corporal
corporate	ụlọ ọrụ
corporation	ụlọ ọrụ
corporeal	akụrụngwa
corps	ozu
corpse	ozu
corpsman	mmadụ
corpus	akpụkpọ anụ
corral	corral
correct	ziri ezi
correction	ndozi
correctional	ndozi
corrective	imezi
correctness	ezi
correlation	mmekọrịta
correlative	correlative
correspond	kwekọrọ
correspondence	ederede
correspondent	onye mmekorita
corresponding	kwekọrọ
corridor	okirikiri
corroborate	edozi
corroboration	nchịkọta
corrosion	corrosion
corrosive	na-emerụ ahụ
corrupt	rụrụ arụ
corrupting	emebi
corruption	nrụrụ aka
corsage	corsage
corse	NO TRANSLATION
corset	corset
cortex	cortex
cortical	cortical
cortisone	cortisone
corvette	corvette
cosmetic	mma
cosmetics	Ngosiputa Ngwa
cosmic	cosmic
cosmology	cosmology
cosmopolitan	cosmopolitan
cosmos	cosmos
cost	ego
costly	ọnụ
costume	ejiji
cosy	mma
cot	akwa
cote	ebe
cottage	ụlọ
cotton	owu
couch	ihe ndina
cougar	cougar
cough	ụkwara
council	nzukọ
councilman	onye nlekọta
counsel	ndụmọdụ
counseling	ndụmọdụ
counsellor	onye ndụmọdụ
counselor	onye ndụmọdụ
count	gụọ
countdown	ọnụ ọgụgụ
countenance	ihu
counter	nyocha
counteract	kwenye
counterattack	counterattack
counterbalance	enweghị atụ
counterclaim	kwadoro
counterfeit	aghụghọ
counterpart	onye ozo
counterpoint	echekwa ihe
countess	nwe
countless	ọtụtụ
country	mba
countryman	mba
countrymusic	NO TRANSLATION
countryside	obodo
counts	ọnụ ọgụgụ
county	obodo
coup	agha
coupe	mkpịsị ụkwụ
couple	di na nwunye
coupled	tinyere
coupling	njikọ
coupon	dere
courage	obi ike
courageous	obi ike
courier	onye ozi
courses	klas
coursing	na-agba ọsọ
court	ikpe
courteous	eji obi ụtọ
courtesy	n'ikike
courthouse	ụlọikpe
courtroom	ụlọ ikpe
courts	ụlọ ikpe
courtship	emekọrita
courtside	ekpe ikpe
courtyard	ogige
cousin	nwa nwanne
cousins	ụmụ nwanne
cove	anya
coven	agba
covenant	ọgbụgba ndụ
cover	mkpuchi
coverage	mkpuchi
covered	kpuchie
covering	ekpuchi
covert	oghere
covet	anyaukwu
coveted	anyaukwu
cow	ehi
coward	ụjọ
cowardice	ụjọ
cowardly	ụjọ
cowboy	egwu
cowgirl	cowgirl
cowhand	mara
cowhide	na-atụ egwu
cowl	cowl
coworker	onye ọrụ ibe
coy	coy
coyote	coyote
cozy	mma
crab	nshịkọ
crabby	crabby
crack	ịgbawa
cracked	gbawara
cracker	cracker
crackerjack	crackerjack
cracking	cracking
crackle	crackle
crackpot	crackpot
cradle	nwa
craft	ọrụ
crafts	nkà
craftsman	onye omenkà
craftsmanship	nkà
crafty	aghụghọ
craig	craig
cram	cram
crammed	kpara aka
cramp	mgbochi
cramped	mgbochi
cranberry	kranberị
cranberry juice	nri kranberị
crane	crane
cranial	kranu
cranium	cranium
crank	crank
cranky	kpara
cranny	uzo
crap	ncha
crappy	crappy
craps	craps
crash	okuku
crass	crass
crate	kpara
crater	olulu
crave	chọsie ike
craving	agụụ
crawfish	crawfish
crawl	igwu
crayon	klas
crayons	crayons
craze	craze
crazed	crazed
craziness	craziness
crazy	nzuzu
creak	aka
creaking	ịmalite
cream	ude
creamed	udeme
creamer	creamer
creamy	udeme
crease	nkwụsị
create	mepụta
creation	ihe okike
creative	ihe okike
creativity	creativity
creator	onye okike
creature	ihe okike
credence	nkwenye
credential	nzere
credentials	nzere
credibility	nkwenye
credible	ikwenye
credit	akwụ ụgwọ
credit card	kaadị akwụmụgwọ
creditable	akwụ ụgwọ
credited	kwetara
crediting	ekwenye
creditor	onye ji ụgwọ
creed	nkwenye
creek	na-agba
creep	creep
creeper	akpụ akpụ
creeping	na-akpụ akpụ
creepy	na-akpụ akpụ
cremation	ncha
creole	creole
crepe	nhazi
crescendo	crescendo
crescent	ebe obibi
crest	na-eme
crestfallen	crestfallen
cretin	cretin
cretins	nchịkọta
crevice	eme ihe
crew	ndị ọrụ
crewman	crewman
crib	ụlọ
cricket	ugbo
cried	tiri mkpu
crime	mpụ
criminal	omempụ
criminality	omekome
crimp	mechie
crimson	crimson
cringe	jụọ
cripple	aru
crippled	ndị dara mbà
crippling	na-agwụ ike
crisis	nsogbu
crisp	kpụ ọkụ n'ọnụ
crispy	crispy
criterion	nkatọ
critic	nkatọ
critical	dị egwu
criticise	ịkatọ
criticism	nkatọ
criticize	ịkatọ
criticized	akatọ
critique	nkatọ
critter	nkatọ
croak	croak
croc	croc
crock	crock
crockery	nri
crocodile	agụ iyi
croft	osisi
croissant	croissant
crook	crook
crooked	gbagọrọ agbagọ
crop	akuku
croquet	croquet
cross	obe
cross country	mgbagharị obodo
crossbow	crossbow
crossed	gafere
crossfire	crossfire
crossing	agafe
crossover	crossover
crosswalk	okporo ụzọ
crossword	ntụgharị okwu
crotch	crotch
crouch	tụda
crouched	zoro
crouching	crouching
croupier	croupier
crow	okpu
crowbar	oke nkpu
crowd	ìgwè mmadụ
crowded	juputara
crowds	ìgwè mmadụ
crown	okpueze
crowning	okpueze
crucial	dị oké mkpa
cruciate	nri
crucifix	crucifix
crucifixion	crucifixion
crucify	kpọgidere n'obe
crud	kọn
crude	anụ
cruel	obi ọjọọ
cruelly	obi ọjọọ
cruelty	obi ọjọọ
cruise	ụgbọ mmiri
cruise ship	ụgbọ mmiri
cruiser	ụgbọ mmiri
cruising	ụgbọ mmiri
crumb	kpara
crumble	crumble
crumbling	na-eme mkpesa
crummy	crummy
crunch	crunch
crunchy	crunchy
crusade	oke agha
crusader	agha
crush	kpoo
crushed	etipịa
crusher	kpochapu
crushing	kpochapu
crust	jikọrọ ọnụ
crusty	kịtịkpa
crutch	nchịkọta
crux	crux
cry	tie mkpu
crybaby	zoro
crying	akwa ákwá
crypt	crypt
cryptic	cryptic
cryptography	cryptography
crystal	kristal
crystalline	crystalline
crystallization	crystallization
cub	cub
cubby	cubby
cube	cube
cubic	cubic
cubicle	cubicle
cuckold	cuckold
cuckoo	ọkpụkpụ
cucumber	kukumba
cuddle	na-egwu
cuddled	cuddled
cuddles	ugbo
cuddling	cuddling
cue	cue
cuff	cuff
cuisine	nri
culinary	ihe oriri
cull	akpụ
culminate	mechie
culmination	njedebe
culpability	ikpe mara
culpable	ikpe mara
culprit	na-eme ihe ọjọọ
cult	òtù nzuzo
cultivate	ịzụlite
cultivated	akọ
cultivation	ịkọ ihe
cultural	omenala
culture	omenala
cultured	eme ihe
culvert	culvert
cumbersome	cumbersome
cumulus	cumulus
cunning	aghụghọ
cunt	cunt
cup	iko
cupboard	okpokoro
cupcake	cupcake
cupping	cupping
cur	nwa
curable	agwọ ọrịa
curate	curate
curative	agwọ ọrịa
curator	onye nduzi
curb	igbochi
curd	na-achọ
cure	ọgwụgwọ
curfew	ịpụ
curiosity	ọchịchọ ịmata ihe
curious	achọ ịmata
curl	curl
curling	na-achọgharị
currency	ego
current	ugbu a
curriculum	usoro ọmụmụ
curry	bido
curse	ọbụbụ ọnụ
cursed	bụrụ ọnụ
cursing	nkọcha
cursory	ọnụ
curt	nkwụsị
curtail	ntụgharị
curtailment	ntụgharị
curtain	ákwà mgbochi
curtains	ákwà mgbochi
curtsy	na-achọgharị
curvature	nkwụsị
curve	usoro
curved	agba
curvilinear	ọhụụ
cushion	kwusi
cushy	kwụ
cusp	cusp
cuss	na na
cussed	kpata
custard	elekọta
custodial	nlekọta
custodian	onye nlekọta
custody	njide
custom	omenala
customary	omenala
customer	onye ahịa
customized	ahaziri
cut	ịkpụ
cutaneous	ọkpụkpụ
cute	mara mma
cuticle	ọkpụkpụ
cutie	ebipu
cutlass	ọkpụkpụ
cutlery	ihe ndi ozo
cutoff	bepụ
cutter	ọkpụkpụ
cutters	ndị na-egbu ihe
cutthroat	ọkpụkpụ
cutting	ịcha
cutting board	ịcha osisi
cuttings	cuttings
cwt	cwt
cyanide	cyanide
cyberspace	cyberspace
cycle	okirikiri
cyclical	cyclical
cyclist	cyclist
cyclone	cyclone
cylinder	ihe ọṅụṅụ
cylindrical	cylindrical
cymbal	cymbal
cynic	na-atụgharị uche
cynical	ịtụgharị uche
cynicism	na-atụgharị uche
cyst	cyst
cystic	cystic
cytomegalovirus	cytomegalovirus
cytoplasm	cytoplasm
czar	eze
dab	acha
dabble	agba
dabbling	ekwu okwu
dad	papa
daddy	nna
dado	NO TRANSLATION
daemon	daemon
daft	daft
dagger	dagger
daily	kwa ụbọchị
dainty	dainty
daiquiri	daiquiri
dairy	mmiri ara ehi
daisy	daisy
dak	NO TRANSLATION
dale	dale
dam	dam
damage	mmebi
damaged	mebiri
damages	emebi emebi
dame	nwanyị
damn	Ụchụ
damnation	ikpe
damned	mara mma
damp	iru mmiri
dampened	dampened
damper	damper
damsel	damsel
dance	agba egwú
dancer	agba egwú
dancing	agba egwú
dandruff	dandruff
dandy	dandy
danger	Ihe egwu
dangerous	dị ize ndụ
dangerously	dị ize ndụ
dangit	NO TRANSLATION
dangle	dangle
dank	NO TRANSLATION
dapper	dapper
dare	ama
daredevil	daredevil
daresay	daresay
daring	na-atụ egwu
dark	ọchịchịrị
darken	mechie
darkened	gbara ọchịchịrị
darkly	ọchịchịrị
darkness	ọchịchịrị
darkroom	darkroom
darkside	darkside
darling	na-ahụ n'anya
darn	darn
dart	dart
dash	kwuo
dashboard	dashboard
dashed	dashed
dashing	ịkwanye
dastardly	ngwa ngwa
data	data
database	nchekwa data
date	ụbọchị
datenight	NO TRANSLATION
daughter	nwa
dawdle	agha
dawn	ụtụtụ
dawned	malitere
day	ụbọchị
daybreak	ụtụtụ
daycare	elekọta ụlọ
daydream	daydream
daydreaming	ụbọchị ụra
daylight	ìhè
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	ehihie
daze	daze
dazed	dazed
dazzle	dazzle
dazzling	na-egbuke egbuke
deacon	Diakọn
deactivate	kwụsị
dead	ndị nwụrụ
deadbeat	anwụ
deadline	oge imecha
deadlines	oge igbu
deadlock	njedebe
deadly	egbu egbu
deaf	ntị chiri
deafening	ogbi
deafness	ntị chiri
deal	eme
dealer	dealer
dealership	onye ahịa
dealing	eme
dealings	arụ ọrụ
dean	dean
dear	ọ hụrụ n'anya
dearest	dearest
dearth	ụnwụ
death	ọnwụ
deathbed	ọnwụ ọnwụ
deathly	ọnwụ
debacle	debacle
debased	debased
debatable	nabatara
debate	arụmụka
debauchery	ịkwa iko
debenture	ndebanye ego
debilitating	na-agba ume
debit	debit
debrief	ezumike
debriefing	nchịkọta okwu
debris	irighiri ihe
debt	ụgwọ
