Word	bn
downfield	downfield
downhearted	হতাশ
downhill	উতরাই
download	ডাউনলোড
downpour	প্রবল বর্ষণ
downright	নিতান্ত
downriver	downriver
downside	downside হয়
downtime	ডাউনটাইম
downward	নিম্নাভিমুখ
downy	downy
dowry	যৌতুক
doze	তন্দ্রা
dozen	ডজন
drab	বেশ্যা
draft	খসড়া
drafty	drafty
drag	টানা
dragon	ঘুড়ি বিশেষ
dragonfly	গয়াল-পোকা
drain	ড্রেন
drainage	নিষ্কাশন
drained	আপীত
draining	পাড়ে
drainpipe	নর্দমার নল
drake	হংস
drama	নাটক
dramaqueen	NO TRANSLATION
dramatic	নাটকীয়
drape	সাজান
drapery	বস্ত্রব্যবসায়
drastic	প্রচণ্ড
drat	NO TRANSLATION
draught	খসড়া
draw	আঁকা
drawback	অপূর্ণতা
drawbridge	অপসারণীয় সেতু
drawer	টানা
drawers	দেরাজ
drawing	অঙ্কন
dread	ভয়
dreaded	dreaded
dreadful	ভয়ঙ্কর
dreadfully	dreadfully
dreading	dreading
dream	স্বপ্ন
dreamboat	dreamboat
dreamer	স্বপ্নদর্শী
dreaming	dreaming
dreamland	স্বপ্নরাজ্য
dreams	স্বপ্ন
dreamt	স্বপ্ন
dreamy	স্বপ্নময়
dreary	বিষণ্ণ
dredge	ঝালা
drenched	প্লাবিত
dress	পোশাক
dresser	রুপকার
dressmaker	পোশাক-প্রস্তুতকারক
dressy	সাজপোশাকপ্রি়
dribble	NO TRANSLATION
dried	শুকনো
drier	শোষক
drift	প্রবাহ
drifted	সরে
drifter	প্রবাহতাড়িত ব্যক্তি
driftwood	Driftwood
drill	কসরত
drink	পান করা
drinker	মদ্যপ
drinking	মদ্যপান
drinks	পানীয়
drip	ক্ষরা
dripping	ক্ষরণ
drive	ড্রাইভ
drivel	আবোলতাবোল বকা
driver	চালক
driveway	গাড়ীবারান্দা
drizzle	গুঁড়ি গুঁড়ি ব্রষ্টি
droll	হাস্যরসিক
drone	গুঁজনধ্বনি
drones	ড্রোন
drool	আবোলতাবোল বকা
drooping	drooping
droopy	droopy
drop	ঝরা
droplet	droplet
dropout	বাদ পরা
dropper	ড্রপার
drought	খরা
drove	NO TRANSLATION
drown	মজান
drowsiness	চটকা
drowsy	নিদ্রালু
drudgery	গোলামি
drug	ড্রাগ
drug dealing	মাদক ব্যবসা
drugged	মাদকাসক্ত
druggist	ঔষধ-বিক্রেতা
drugs	ওষুধের
drugstore	ঔষধের দোকান
druid	ভবিষ্যদ্বক্তা
drum	ঢাক
drummer	ঢাকি
drumming	বাজনার সাথে
drunk	মাতাল
drunk driving	মাতাল ড্রাইভিং
drunkard	মাতাল
drunken	মাতাল
drunkenness	মত্ততা
dry	শুষ্ক
dryer	ড্রায়ার
dryness	শোষ
dual	দ্বৈত
dualism	দ্বৈতবাদ
duality	দ্বৈত
dub	খেতাব দেত্তয়া
dubious	সন্দেহজনক
duchess	জাঁদরেল
duck	হাঁস
ducking	নীচু করা হচ্ছে
duckling	হংসশাবক
ducky	আদরের সন্বোধনবিশেষ
duct	নালী
ductile	নমনীয়
dud	জীর্ণ পোশাক
dude	শহরবাসী
duds	কাপড়চোপড়
due	কারণে
duel	দ্বন্দ্ব
dues	খাজনা
duet	দ্বৈতসঙ্গীত
duffel	Duffel
dugout	dugout
duh	duh
duke	সর্দার
dull	নিস্তেজ
dullard	উদো
dumb	মূক
dumbasses	dumbasses
dumbbell	ডাম্বেল
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	পুতুল
dump	মনমরা ভাব
dumpling	পুডিংবিশেষ
dumps	ডাম্প
dumpster	স্কুলের
dun	মেটে রঙ্গবিশিষ্ট
dunce	কেবলরাম
dune	বালিয়াড়ি
dung	NO TRANSLATION
dungeon	অন্ধকূপ
dunk	ডাঙ্ক
duo	মানিকজোড়
dupe	প্রতারিত ব্যক্তি
duplex	দ্বৈত
duplicate	নকল
duplication	দ্বিত্ব
duplicity	ছলনা
durability	স্থায়িত্ব
durable	টেকসই
duration	স্থিতিকাল
duress	কয়েদ
dusk	কালচে
dusky	বিষণ্ণ
dust	ধূলিকণা
duster	ঝাড়ন
dustpan	dustpan
dusty	ধূলিমলিন
dutiful	কর্তব্যপরায়ণ
duty	দায়িত্ব
dwarf	বামন
dwarfed	dwarfed
dweeb	dweeb
dwell	বাস করা
dweller	অধিষ্ঠাতা
dwelling	বাস
dye	রং
dying	মরণ
dyke	আলি
dynamic	প্রগতিশীল
dynamical	গতিশীলতার
dynamics	গতিবিদ্যা
dynamite	ডিনামাইট
dynamo	ডিনামো
dynasty	রাজবংশ
dysentery	আম
dysfunction	কর্মহীনতার
dysfunctional	ক্রিয়াহীন
dyspepsia	এঁড়ে
eager	আগ্রহী
eagerness	আগ্রহ
eagle	গল
ear	কান
earful	কড়া ধমকানি
earl	আর্ল
earlier	পূর্বে
early	গোড়ার দিকে
earn	আয় করা
earnest	আন্তরিক
earnestly	আন্তরিকভাবে
earnestness	ব্যগ্রতা
earnings	উপার্জন
earpiece	ইয়ারপিস
earring	মাকড়ি
earrings	কানের দুল
earshot	শুনিতে পাইবার মত দূরত্ব
earth	পৃথিবী
earthenware	মৃন্ময় পাত্র
earthling	earthling
earthly	পার্থিব
earthquake	ভূমিকম্প
earthy	পার্থিব
ease	আরাম
easel	চিত্রফলক
easement	আরাম
easily	সহজে
east	পূর্ব
eastbound	পূর্বদিকগামী
eastern	পূর্ব
easy	সহজ
easygoing	স্বচ্ছন্দ
eat	খাওয়া
eater	ভক্ষক
eating	আহার
eatingdisorders	NO TRANSLATION
eavesdrop	আড়ি পেতে শোনা
eavesdropping	আড়ি
ebb	ভাটা
ebony	আবলুস
ebullient	অত্যুত্সাহী
eccentric	অদ্ভুতস্বভাব
eccentricity	ছিট
ecclesiastical	যাজকীয়
echelon	পর্যায়
echinacea	echinacea
echo	প্রতিধ্বনি
eclectic	সারগ্রাহী
eclipse	গ্রহণ
ecliptic	গ্রহণসংক্রান্ত
ecological	বাস্তুসংস্থানসংক্রান্ত
economic	অর্থনৈতিক
economical	লাভজনক
economics	অর্থনীতি
economy	অর্থনীতি
ecosystem	বাস্তু
ecstasy	পরমানন্দ
ecstatic	ভাবাবেশকর
ecumenical	জগদ্ব্যাপী
eddy	ঘূর্ণাবর্ত
edema	শোথ
edge	প্রান্ত
edging	কিনারা
edgy	ধারাল
edible	ভোজ্য
edict	ফরমান
edification	শিক্ষাদীক্ষা
edifice	প্রাসাদ
edit	সম্পাদন করা
editing	সম্পাদনা
edition	সংস্করণ
editor	সম্পাদক
editorial	সম্পাদকীয়
educate	শিক্ষিত করা
educated	শিক্ষিত
education	শিক্ষা
educational	শিক্ষাবিষয়ক
educator	শিক্ষাব্রতী
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	Eek
eel	পাঁকাল
eerie	অতিপ্রাকৃত
effect	প্রভাব
effective	কার্যকর
effectiveness	কার্যকারিতা
effects	প্রভাব
effectual	সফল
effectually	effectually
effectuate	সম্পন্ন করা
effeminate	মেয়েলি
efficacious	ফলপ্রদ
efficacy	কার্যক্ষমতা
efficiency	দক্ষতা
efficient	দক্ষ
effigy	প্রতিকৃতি
effort	প্রচেষ্টা
effortless	অনায়াস
effusion	কবিতা
effyou	NO TRANSLATION
egg	ডিম
egghead	পণ্ডিত
eggnog	eggnog
eggplant	বেগুন
eggshell	খোলা
ego	অহং
egomaniac	egomaniac
egotistical	আত্মম্ভরি
egregious	গুরুতর
egress	বহির্গমন
eight	আট
eighteen	আঠার
eighth	অষ্টম
eighty	আশি
ejaculate	নির্গত করা
ejaculation	উল্লাসধ্বনি
eject	প্রক্ষেপ করা
ejection	বমি
elaborate	সম্প্রসারিত
elaboration	বিবরণাদি
elan	NO TRANSLATION
elapse	বহা
elapsed	অতিক্রান্ত
elastic	প্রাণবন্ত
elasticity	স্থিতিস্থাপকতা
elated	গর্বিত
elation	উল্লাস
elbow	কনুই
eld	বৃদ্ধাবস্থা
elder	অগ্রজ
elderly	বৃদ্ধ
elders	গুরুজন
eldest	জ্যেষ্ঠ
elect	নির্বাচিত
election	নির্বাচন
elective	নির্বাচক
elector	নির্বাচক
electoral	নির্বাচনী
electorate	নির্বাচকমণ্ডলী
electric	বৈদ্যুতিক
electric slide	বৈদ্যুতিক স্লাইড
electrical	বৈদ্যুতিক
electrician	তাড়িতী
electricity	বিদ্যুৎ
electrify	বৈদ্যুতীকরণ করা
electrocute	তড়িত-প্রবাহের
electrocution	তড়িতাহত
electromagnetic	ইলেক্ট্রোম্যাগনেটিক
electron	ইলেক্ট্রন
electronic	বৈদ্যুতিক
electronics	ইলেকট্রনিক্স
elegance	কমনীয়তা
elegant	মার্জিত
element	উপাদান
elemental	আধিভৌতিক
elementary	প্রাথমিক
elements	উপাদান
elephant	হাতি
elevate	চড়ান
elevated	উবু
elevation	টিলা
elevator	লিফট
eleven	এগার
eleventh	একাদশ
elf	পরী
elicit	প্রকাশ করা
eligible	উপযুক্ত
eliminate	বাছা
elimination	বর্জন
elite	অভিজাত
elitist	অভিজাত
elixir	স্পর্শমণি
elk	হরিণবিশেষ
ell	উপগৃহ
ellipse	উপবৃত্ত
ellipsis	ঊহ্য শব্দ
ellipsoid	উপবৃত্ত
elliptic	উপবৃত্তাকার
elliptical	উপবৃত্তাকার
elm	বেদারুজাতীয় বৃক্ষবিশেষ
elongate	সম্প্রসারিত
elongation	প্রতান
elope	গোপনে পলায়ন করা
eloquence	বাগ্মিতা
eloquent	বাক্যবাগীশ
elucidate	বিশদ করা
elucidation	ব্যাখ্যা
elude	পালান
elusive	অধরা
emaciated	কৃশ
email	ই-মেইল
emanate	নি: সৃত হত্তয়া
emancipation	বন্ধনমুক্তি
embankment	বাঁধ
embargo	NO TRANSLATION
embark	পোতারূঢ করা
embarrass	বিজড়িত করা
embarrassed	অপ্রস্তুত
embarrassing	হতবুদ্ধিকর
embarrassment	বিমূঢ়তা
embassy	দূতাবাস
embattled	রেডিও তেহরান
embed	বসান
embellish	সজ্জিত করা
embellishment	ভূষণ
embers	জ্বলন্ত অঙ্গার
embezzlement	আত্মসাৎ
embezzler	embezzler
emblem	প্রতীক
emblematic	প্রতীকসংক্রান্ত
embodiment	প্রতিমূর্তি
embolism	এম্বলিজ্ম
embossed	এমবসড
embrace	আলিঙ্গন
embroidered	দোরোখা
embroidery	সূচিকর্ম
embroiled	জড়িয়ে
embryo	ভ্রূণ
embryonic	আদিম
emcee	Emcee
emerald	পান্না
emerge	উত্থান করা
emergence	উত্থান
emergency	জরুরি অবস্থা
emeritus	এমেরিটাস
emery	শিরীষের গুঁড়ো
emetophobia	emetophobia
emigrate	বাসস্থান বদলান
emigration	প্রবাস
eminence	সহত্ত্ব
eminent	বিশিষ্ট
eminently	মাত্রাতিরিক্তভাবে
emir	NO TRANSLATION
emissary	গুপ্তচর
emission	নিঃসরণ
emit	নির্গত করা
emo	emo পর্ণ
emotion	আবেগ
emotional	আবেগপ্রবণ
emotive	আবেগপ্রবণ
empathic	empathic
empathize	empathize
empathy	সহমর্মিতা
emperor	সম্রাট
emphasis	জোর
emphasize	গুরুত্ব আরোপ করা
emphatic	সতেজ
emphysema	এমফিসেমা
empire	সাম্রাজ্য
empirical	গবেষণামূলক
empiricism	প্রয়োগবাদ
employ	চাকরী
employee	কর্মচারী
employer	নিয়োগকর্তা
employment	চাকরি
emporium	বড়বাজার
empower	ক্ষমতাপ্রদান করা
empress	সম্রাজ্ঞী
emptiness	শূন্যতা
emption	ক্রয়
empty	খালি
emu	পক্ষীবিশেষ
emulate	অনুকরণ করা
emulsion	দুগ্ধবৎ নির্যাসবিশেষ
enable	সক্ষম করা
enablement	সক্ষমতা
enact	আইন পাস করা
enactment	আইন
enamel	কলাই
encampment	শিবির
enchant	পুলকিত
enchanted	মায়াময়
enchanting	আকর্ষণীয়
enchantment	জাদু
enchantress	যাদুকরী
enchilada	enchilada
encircle	বেষ্টন করা
encircling	গের্দ
enclave	ছিটমহল
enclose	ঘিরা
enclosure	ঘের
encode	সঙ্কেতাক্ষরে লিখা
encomiastic	NO TRANSLATION
encomium	স্তোত্র
encompass	পরিবেষ্টন করা
encore	NO TRANSLATION
encounter	সাক্ষাৎ
encourage	উত্সাহিত করা
encouraged	প্রণোদিত
encouragement	অনুপ্রেরণা
encouraging	উদ্দীপক
encroach	সীমালঙ্ঘন করা
encroachment	অভিযান
encrypt	এনক্রিপ্ট
encryption	এনক্রিপশন
encumbrance	দায়
encyclopedia	বিশ্বকোষ
end	শেষ
end table	শেষ টেবিল
endanger	বিপন্ন করা
endangered	বিপন্ন
endangerment	বিপদ
endearing	প্রীতিকর
endeavor	চেষ্টা
ended	শেষ পর্যন্ত
endemic	স্থানীয়
endgame	যুদ্ধের
ending	শেষ
endless	অবিরাম
endocarditis	endocarditis
endorse	অনুমোদন করা
endorsement	পৃষ্ঠাঙ্কন
endow	বুদ্ধি দ্বারা অলঙ্কৃত করা
endowed	অন্বিত
endowment	প্রতিভা
endpapers	endpapers
endpoint	শেষপ্রান্ত
endurance	সহনশীলতা
endure	সহ্য করা
enduring	স্থায়ী
enema	ডুশ
enemy	শত্রু
energetic	অনলস
energize	শক্তি ভরণ করা
energy	শক্তি
enforce	জোরদার করা
enforcement	প্রয়োগকারী
enforcer	বলপ্রয়োগকারী
engage	চুক্তিবদ্ধ করান
engaged	জড়িত
engagement	প্রবৃত্তি
engaging	আকর্ষক
engender	প্রসব করা
engine	ইঞ্জিন
engineer	প্রকৌশলী
engineering	প্রকৌশল
engrave	খুদা
engraved	উত্কীর্ণ
engraver	খোদকার
engraving	খোদাই
engrossed	নিবিষ্ট
engrossing	চিত্তাকর্ষক
engulf	ঢালা
enhance	বাড়ান
enhancement	বৃদ্ধি
enigma	হেঁয়ালি
enigmatic	হেঁয়ালিপূর্ণ
enjoin	নিষেধ করা
enjoy	উপভোগ
enjoyable	উপভোগ্য
enjoying	সেবন
enjoyment	রমণ
enlarge	সম্প্রসারিত করা
enlarged	বৃদ্ধ
enlargement	পরিবর্ধন
enlighten	জ্বালান
enlightened	আলোকিত
enlightening	জ্ঞানগর্ভ
enlightenment	জ্ঞানদান
enlist	পক্ষভুক্ত করা
enliven	উদ্দীপ্ত করা
enmity	শত্রুতা
ennui	মানসিক ক্লান্তি
enormity	বিশালতা
enormous	প্রচুর
enormously	অতিশয়
enraged	ক্রুদ্ধ
enrich	সমৃদ্ধ করা
enroll	নথিভুক্ত করা
enrollment	নিয়োগ
ensemble	আঁসাঁব্ল
ensign	নিশান
enslave	ক্রীতদাস করা
enslaved	enslaved
enslavement	দাসত্ববন্ধন
ensue	ঘটা
ensure	নিশ্চিত করা
entail	ফলস্বরূপ ঘটা
entangled	বিজড়িত
entanglement	জড়াইয়া পড়া
enter	প্রবেশ করান
enterprise	উদ্যোগ
enterprising	উদ্যমী
entertain	পোষণ করা
entertained	বিনোদন ও
entertainer	বিনোদনকারী
entertaining	রসাল
entertainment	বিনোদন
enthralled	মুগ্ধ
enthusiasm	উদ্যম
enthusiast	কৌতূহলী ব্যক্তি
enthusiastic	উদ্যমী
entice	বিপথে চালিত করা
entire	সমগ্র
entirety	সম্পূর্ণতা
entitle	আখ্যাত করা
entity	সত্তা
entomology	পতঙ্গবিজ্ঞান
entourage	পরিপার্শ্ব
entrails	অন্ত্র
entrance	প্রবেশদ্বার
entrapment	entrapment
entreat	সনির্বন্ধ অনুরোধ করা
entree	প্রবেশাধিকার
entrepreneur	উদ্যোক্তা
entrust	গচ্ছিত রাখা
entry	প্রবেশ
enumerate	গনা
enumeration	শুমার
envelope	খাম
envious	পরশ্রীকাতর
environ	NO TRANSLATION
environment	পরিবেশ
environmental	পরিবেশগত
environs	শহরতলি
envision	কল্পনা করা
envoy	দূত
envy	দ্বেষ
enzyme	উত্সেচক
ephemeral	ক্ষণজীবী
ephemeris	পঁজিকা
epic	মহাকাব্য
epidemic	মহামারী
epidermis	বহিস্ত্বক
epidural	epidural
epilepsy	মৃগীরোগ
epileptic	মৃগীরোগী
epilogue	উপসংহার
epiphany	নিকট যীশুর আবির্ভাব
episcopal	বিশপশাসিত
episode	উপাখ্যান
episodic	অনিয়মিত
epistle	পত্র
epitaph	সমাধিস্তম্ভ-লিপি
epithet	বিশেষণ
epitome	সংক্ষিপ্তসার
epoch	কাল
equal	সমান
equality	সমতা
equalization	সমতাবিধান
equalize	সমকক্ষ করা
equalizer	ইকুয়ালাইজার
equally	সমানভাবে
equate	সমীকরণ করা
equation	সমীকরণ
equator	বিষুবরেখা
equatorial	নিরক্ষীয়
equestrian	অশ্বারূঢ়
equidistant	সমদূরবর্তী
equilibration	সমবস্থান
equilibrium	সুস্থিতি
equip	সজ্জিত করা
equipment	উপকরণ
equitable	ন্যায়সঙ্গত
equity	ন্যায়
equivalence	সমানতা
equivalent	সমতুল্য
equivocal	সন্দেহজনক
era	যুগ
eradicate	সমূলে উত্পাটন করা
eradication	উচ্ছেদ
erase	নিশ্চিহ্ন করা
eraser	রবার
erasure	ইরেজিওর
ere	NO TRANSLATION
erect	খাড়া
erectile	উন্নয়নক্ষম
erection	ইমারত
ergo	NO TRANSLATION
erode	ক্ষয় করা
erosion	ক্ষয়
erotic	প্রেমমূলক
erotica	এরোটিকা
err	ভ্রম করা
errand	প্রেরিত বার্তা
errant	ভ্রমণরত
erratic	লক্ষ্যভ্রষ্ট
erratum	লেখার ভুল
erroneous	ভ্রান্ত
error	এরর
erst	NO TRANSLATION
erudite	জ্ঞানী
erupt	বিস্ফোরণ হত্তয়া
eruption	অগ্ন্যুত্পাত
escalade	মইয়ের সাহায্য প্রাচীর বাহিয়া আরোহণ
escalate	ধাপে ধাপে বৃদ্ধি করা
escalating	escalating
escalation	তীব্রতাবৃদ্ধি
escalator	চলন্ত সিঁড়ি
escape	অব্যাহতি
escaped	পলান
escarpment	খাড়া উঁচু পাহাড়
eschew	পরিহার করা
escort	সহচর
escrow	এসক্রো
esophagus	অন্ননালী
esoteric	গূঢ়
especial	NO TRANSLATION
espionage	গুপ্তচরবৃত্তি
espouse	পক্ষাবলম্বন করা
espresso	এসপ্রেসো
esprit	সজীবতা
esquire	ঢালবাহী
essay	প্রবন্ধ
essayist	প্রবন্ধকার
essence	সারাংশ
essential	অপরিহার্য
essentially	মূলত
establish	স্থাপন করা
established	প্রতিষ্ঠিত
establishment	সংস্থা
estate	স্টেট
esteem	শ্রদ্ধা
esteemed	সম্মানিত
esthetic	সৌন্দর্যবোধবিশিষ্ট
estimable	শ্রদ্ধেয়
estimate	হিসাব
estimation	প্রাক্কলন
estoppel	প্রতিবন্ধক
estranged	সঙ্গে পারিবারিকভাবে বিছিন্ন
estrogen	ইস্ট্রজেন
estuary	মোহনা
etch	খোদাই করা
etching	নকশাকাটা
eternal	অনন্ত
eternity	অনন্তকাল
ethanol	ইথানল
ether	থার
ethereal	গগনচারী
ethic	নৈতিক
ethical	নৈতিক
ethics	নীতিশাস্ত্র
ethnic	জাতিগত
ethnography	নৃকুলবিদ্যা
etiology	নিদান
etiquette	শিষ্টাচার
etymology	ব্যাকরণ
eucalyptus	ইউক্যালিপ্টাস গাছ
euchre	Euchre
eugenics	সুপ্রজননবিদ্যা
eulogistic	প্রশংসাবাদপূর্ণ
eulogium	স্তুতিবাদ
eulogize	স্তুতি করা
eulogy	বাখান
euphemism	রেখাসমূহ
euphoria	রমরমা
euphoric	euphoric
euro	ইউরো
euthanasia	আরামের মরণ
evacuate	পায়খানা করা
evacuation	উদ্বাসন
evade	টালা
evaluate	মূল্যায়ন
evaluation	মূল্যায়ন
evanescence	অদৃশ্যতা
evangelical	ভগবদ্বাক্য-সংক্রান্ত
evangelist	ধর্মপ্রচারক
evangelistic	সুসমাচার
evaporate	বাষ্পে পরিণত করা
evaporation	বাষ্পীভবন
evasion	ছল
evasive	অসরল
eve	ইভ
evening	সন্ধ্যা
evens	NO TRANSLATION
event	ঘটনা
eventful	ঘটনাবহুল
eventual	পরিণামস্বরূপ
eventuality	পরিণাম
evergreen	চিরহরিৎ
everlasting	অনন্ত
evermore	চিরকাল
everyday	প্রতিদিন
everyman	প্রত্যেক মানুষ
evict	উচ্ছেদ করা
eviction	উচ্ছেদ
evidence	প্রমান
evident	স্পষ্ট
evidentiary	প্রমাণকারী
evil	মন্দ
evoke	আহ্বান করা
evolution	বিবর্তন
evolutionary	অভিব্যক্তিমূলক
evolve	গজান
ewe	অজা
ex	প্রাক্তন
exacerbate	বর্ধিত করা
exacerbation	তীব্রতা
exact	সঠিক
exacting	রূক্ষ
exaggerate	ফলান
exaggerated	ক্ষতিকারক
exaggeration	অত্যুক্তি
exalt	উল্লসিত করা
exaltation	উচ্চপদ
exalted	সমুচ্চ
exam	পরীক্ষা
examination	পরীক্ষা
examine	পরীক্ষা করা
examiner	পরীক্ষক
example	উদাহরণ
exasperated	exasperated
exasperation	ক্রোধ
excavate	খনন করা
excavation	খনন
excavator	খনক
exceed	অতিক্রম করা
exceeding	মাত্রাধিক
excel	সীমা অতিক্রম করা
excellence	শ্রেষ্ঠত্ব
excellent	চমত্কার
excelsior	আরত্ত ভাল
excepting	ব্যতিরেকে
exception	ব্যতিক্রম
exceptional	ব্যতিক্রমী
excerpt	উদ্ধৃতাংশ
excess	বাড়তি
excessive	অত্যধিক
excessively	বেজায়
exchange	বিনিময়
excise	আবগারি
excision	ছেদন
excitability	স্থাবিত্ত
excitable	উত্তেজনক্ষম
excitation	উত্তেজনা
excite	জাগান
excited	উত্তেজিত
excitement	হুজুগ
exciting	উত্তেজনাপূর্ণ
exclaim	চীত্কার করা
exclamation	চীত্কার
exclude	বর্জন করা
excluded	ছাঁটা
excluding	অপসারণ
exclusion	বর্জন
exclusive	একচেটিয়া
excrement	মল
excretion	রেচন
excruciating	মর্মযন্ত্রণাপূর্ণ
excursion	প্রমোদভ্রমণ
excuse	ছুতা
exec	Exec
execute	এক্সিকিউট
execution	ফাঁসি
executioner	জল্লাদ
executive	কার্যনির্বাহী
executor	নির্বাহক
exegesis	বাইবেলের সমালোচনা ও ভাষ্য
exemplar	আদর্শ
exemplary	আদর্শ
exemplify	উদাহরণ দ্বারা ব্যাখ্যা করা
exempt	অব্যাহতিপ্রাপ্ত
exemption	অব্যাহতি
exercise	ব্যায়াম
exert	জাহির করা
exertion	উদ্যম
exhale	নি: সৃত করা
exhaust	এক্সস্ট
exhausted	ক্লান্ত
exhaustion	অবসাদ
exhaustive	সম্পূর্ণ
exhibit	প্রদর্শক
exhibition	প্রদর্শনী
exhilarated	ফূর্তিবাজ
exhilarating	উল্লাসজনক
exhilaration	উল্লাস
exhort	উত্সাহিত করা
exhortation	পরামর্শ
exhumation	কবর হতে তোলা
exhume	প্রকাশ করা
exigent	NO TRANSLATION
exile	নির্বাসন
exist	থাকা
existence	অস্তিত্ব
existent	বিদ্যমান
existential	অস্তিত্ববাদের
existing	বিদ্যমান
exit	প্রস্থান
exodus	প্রস্থান
exonerate	ক্ষালন করা
exorbitant	গলাকাটা
exorcism	গুণ
exorcist	ভূতের রাজা
exotic	বহিরাগত
expand	বিস্তৃত করা
expanded	সম্প্রসারিত
expanse	বিস্তৃতি
expansion	সম্প্রসারণ
expansive	অকপট
expatriate	নির্বাসিত করা
expect	আশা করা
expectance	প্রত্যাশিত বস্তু
expectancy	প্রত্যাশা
expectant	প্রত্যাশী
expectation	প্রত্যাশা
expected	প্রত্যাশিত
expecting	আশা করা
expediency	যুক্তিযুক্ততা
expedient	সমীচীন
expedite	সুবিধাযুক্ত
expedition	অভিযান
expeditious	ত্বরিত
expel	ঠেলা
expendable	ব্যয় করা যয় এমন
expenditure	ব্যয়
expense	ব্যয়
expenses	খরচ
expensive	ব্যয়বহুল
experience	অভিজ্ঞতা
experienced	অভিজ্ঞ
experiences	অভিজ্ঞতা
experiment	পরীক্ষা
experimental	পরীক্ষামূলক
experimentation	পরীক্ষা
experimenter	পরীক্ষায় নিযুক্ত লোক
expert	বিশেষজ্ঞ
expertise	অভিজ্ঞতা
expiration	শ্বাসত্যাগ
expire	নি: শ্বাস ফেলা
expired	মেয়াদোত্তীর্ণ
expiry	অবসান
explain	ব্যাখ্যা করা
explanation	ব্যাখ্যা
explanatory	ব্যাখ্যামূলক
expletive	অনুপূরক
explication	ব্যাখ্যা
explicit	স্পষ্ট
explode	বিস্ফোরিত করা
exploit	কাজে লাগান
exploitation	শোষণ
exploration	অন্বেষণ
exploratory	গবেষণামূলক
explore	অন্বেষণ করা
explorer	অনুসন্ধানকারী
explosion	বিস্ফোরণ
explosions	বিস্ফোরণ
explosive	বিস্ফোরক
expo	উত্পন্ন দ্রব্যাদির আন্তর্জাতিক প্রদর্শনী
exponent	সূচক
exponential	ব্যাখ্যামূলক
export	রপ্তানি
exportation	রপ্তানিকরণ
expose	প্রভাবাধীন করা
exposed	উদ্ভাসিত
exposition	উদ্ভাস
expository	বর্ণনামূলক
exposure	প্রকাশ
expound	উদ্ভাসিত করা
express	প্রকাশ করা
expression	অভিব্যক্তি
expressive	ভাবপূর্ণ
expressway	মোটর রাজপথ
expropriation	বাজেয়াপ্তকরণ
expulsion	বিতাড়ন
exquisite	সূক্ষ্ম
exquisitely	অত্যন্ত সুন্দরভাবে
extant	অদ্যাপি বর্তমান
extend	প্রসারিত করা
extendable	extendable
extended	সম্প্রসারিত
extension	প্রসার
extensive	ব্যাপক
extent	ব্যাপ্তি
exterior	বহি
exterminate	উপড়াইয়া ফেলা
extermination	উন্মূলন
exterminator	উন্মুলয়িতা
external	বহিরাগত
externally	বাহ্যিকভাবে
extinct	লুপ্ত
extinction	বিলোপ
extinguish	নিভান
extinguisher	নির্বাপক
extol	উচ্চপ্রশংসা করা
extort	বলপ্রয়োগ আদায় করা
extortion	চাঁদাবাজি
extra	অতিরিক্ত
extract	নির্যাস
extracting	আহরণের
extraction	নিষ্কাশন
extractor	নিষ্কর্ষক
extracurricular	নিয়মিত পাঠক্রম বহির্ভূত
extradition	বহি: সমর্পন
extrajudicial	বিচারবহির্ভূত
extramural	গৃহপ্রাচীরের বহির্ভূত
extraneous	বিদেশী
extraordinaire	extraordinaire
extraordinary	অসাধারণ
extraterrestrial	একটি extraterrestrial
extravagance	অপব্যয়
extravagant	অসংযত
extravaganza	অসংযত আচরণ
extreme	চরম
extreme anticipation	চরম প্রত্যাশা
extreme disgust	চরম ঘৃণা
extreme surprise	চরম বিস্ময়
extreme trust	চরম বিশ্বাস
extremely	অত্যন্ত
extremely negative	অত্যন্ত নেতিবাচক
extremely positive	অত্যন্ত ইতিবাচক
extremity	প্রান্তসীমা
extricate	মুক্ত করা
extrinsic	দেহগত নহে এমন
extrusion	বহিষ্করণ
exuberance	উদ্দীপনা
exude	ঝরান
eye	চোখ
eyeball	অক্ষিগোলক
eyebrow	ভুরু
eyeful	চোখভরে দেখা
eyeglass	দৃষ্টি সহায়ের কাচ
eyeglasses	চশমা
eyelash	পক্ষ্ম
eyelet	গবাক্ষ
eyeliner	eyeliner
eyepiece	আই-পীস
eyes	চোখ
eyesight	দৃষ্টিশক্তি
eyewitness	প্রত্যক্ষ সাক্ষী
fab	প্রভূত
fable	উপকথা
fabled	অলীক
fabric	ফ্যাব্রিক
fabricate	নির্মাণ করা
fabricated	গড়া
fabrication	জালিয়াতি
fabulous	কল্পিত
facade	অট্টালিকার সদরের বহির্ভাগ
face	মুখ
faceless	পরিচয়হীন
facet	পল
facial	সম্মুখস্থ
facile	NO TRANSLATION
facilitate	সহজতর করা
facility	সুবিধা
facing	সম্মুখ
facsimile	অনুলিপি
fact	সত্য
faction	দলাদলি
factor	গুণক
factory	কারখানা
facts	তথ্য
factual	প্রকৃত
faculties	অনুষদ
faculty	দক্ষতা
fad	খেপামি
fade	বিলীন করা
faded	ম্লান
faeces	মল
