Word	gu
computing	કમ્પ્યુટિંગ
comrade	સાથી
con	NO TRANSLATION
concatenation	જોડાણ
concave	અંતર્મુખ
conceal	છુપાવી
concealed	ગુપ્ત
concealment	સંતાપ
concede	સ્વીકારવું
conceit	અહંકાર
conceited	હોશિયાર
conceivable	કલ્પનાક્ષમ
conceive	કલ્પના
concentrate	ધ્યાન કેન્દ્રિત
concentration	એકાગ્રતા
concentric	કેન્દ્રિત
concept	ખ્યાલ
conception	વિભાવના
concern	ચિંતા
concerned	સંબંધિત
concert	કોન્સર્ટ
concerto	કોન્સર્ટો
concession	રાહત
concessional	છૂટછાટ
conch	શંખ
concierge	દ્વારપાલની
conciliation	સમાધાન
concise	સંક્ષિપ્ત
conclave	કોન્ક્લેવ
conclude	નિષ્કર્ષ
concluding	સમાપન
conclusion	નિષ્કર્ષ
conclusive	નિર્ણાયક
concoction	કલ્પના
concomitant	સહયોગી
concord	સમારોહ
concordance	સુમેળ
concours	NO TRANSLATION
concourse	ટોળું
concrete	કોંક્રિટ
concubine	ઉપપત્ની
concur	સહમત થવું
concurrence	સંમતિ
concurrent	સહવર્તી
concurring	સહમત
concussion	ઉશ્કેરાટ
condemn	તિરસ્કાર
condemnation	નિંદા
condensation	ઘનીકરણ
condensed	કન્ડેન્સ્ડ
condescending	નિરુત્સાહ
condescension	નમ્રતા
condiment	મસાલેદાર
condition	શરત
conditional	શરતી
conditionally	શરતી રીતે
conditioned	શરતી
conditioner	કન્ડીશનર
conditioning	કન્ડીશનીંગ
conditions	શરતો
condo	કોન્ડો
condolence	શરણાગતિ
condolences	સંવેદના
condom	કોન્ડોમ
condone	માફી આપવી
condor	કોન્ડોર
conducive	અનુકૂળ
conduct	આચાર
conduction	વહન
conductivity	વાહકતા
conductor	વાહક
conduit	નળી
cone	શંકુ
confederacy	સંઘ
confederate	સંઘ
confederation	કોન્ફેડરેશન
confer	આપવું
conference	પરિષદ
confess	એકરાર કરવો
confession	કબૂલાત
confessional	કબૂલાત
confessions	કબૂલાત
confetti	કોન્ફેટી
confidant	વિશ્વાસુ
confide	વિશ્વાસ કરવો
confidence	આત્મવિશ્વાસ
confident	વિશ્વાસ
confidential	ગોપનીય
confidentiality	ગુપ્તતા
confidentially	NO TRANSLATION
configuration	રૂપરેખાંકન
confine	મર્યાદા
confined	મર્યાદિત
confinement	કેદ
confines	મર્યાદા
confirm	પુષ્ટિ કરો
confirmation	પુષ્ટિ
confirmatory	સમર્થનકારી
confirmed	પુષ્ટિ
confiscate	જપ્ત
confiscation	જપ્ત
conflagration	ગૂંચવણ
conflict	સંઘર્ષ
conflicting	વિરોધાભાસી
confluence	સંગમ
conform	અનુકૂળ
conformance	સમાનતા
conformation	NO TRANSLATION
conformity	સંવાદિતા
confound	ગૂંચવવું
confounded	શાપિત
confront	મુકાબલો
confrontation	મુકાબલો
confuse	ગૂંચવવું
confused	ભેળસેળ
confusing	ગૂંચવણમાં
confusion	મૂંઝવણ
conga	કોન્ગા
congenial	સૌમ્ય
congenital	જન્મજાત
congestion	ભીડ
conglomerate	સમૂહ
conglomeration	સમૂહ
congrats	અભિનંદન
congratulate	અભિનંદન
congratulation	અભિનંદન
congratulations	અભિનંદન
congratulatory	અભિનંદન
congregate	એકઠું કરો
congregation	મંડળ
congress	કોંગ્રેસ
congressional	કોંગ્રેસનલ
congressman	કોંગ્રેસમેન
congruence	એકરૂપતા
conic	શંકુ
conical	શંક્વાકાર
conjecture	અનુમાન
conjugal	વૈવાહિક
conjugate	જોડવું
conjugation	સંયોગ
conjunction	જોડાણમાં
conjunctive	સંયોજક
conjure	નજરબંધી કરવી
conjuring	જાદુગરી
conk	કોંક
connect	જોડાવા
connected	જોડાયેલ
connection	જોડાણ
connective	સંયોજક
connoisseur	ગુણગ્રાહક
conquer	જીતી
conquering	વિજય
conqueror	વિજેતા
conquest	વિજય
conscience	અંતરાત્મા
conscientious	પ્રમાણિક
conscious	સભાન
consciousness	સભાનતા
conscription	ફરજિયાત
consecrated	પવિત્ર
consecration	સંસ્કાર
consecutive	સળંગ
consensual	સહમતિજન્ય
consensus	સર્વસંમતિ
consent	સંમતિ
consenting	સંમતિ
consequence	પરિણામ
consequent	પરિણામે
conservation	સંરક્ષણ
conservatism	રૂઢિચુસ્તતા
conservative	રૂઢિચુસ્ત
conservatory	કન્ઝર્વેટરી
conserve	સંરક્ષણ
consider	વિચાર કરો
considerable	નોંધપાત્ર
considerate	ગંભીર
consideration	વિચારણા
consignee	માલ લેનાર
consignment	માલ
consist	સમાવે છે
consistency	સુસંગતતા
consistent	સુસંગત
consolation	આશ્વાસન
console	કન્સોલ
consoled	આશ્વાસન
consolidate	એકત્રિત કરો
consolidated	એકીકૃત
consolidation	એકીકરણ
consonant	વ્યંજન
consort	પત્ની
conspicuous	સુસ્પષ્ટ
conspiracy	ષડયંત્ર
conspirator	કાવતરાખોર
conspire	કાવતરું કરવું
constable	કોન્સ્ટેબલ
constancy	સ્થિરતા
constant	સતત
constantly	સતત
constellation	નક્ષત્ર
consternation	ભડક
constipation	કબજિયાત
constituency	મતદાર ક્ષેત્ર
constituent	ઘટક
constituents	ઘટકો
constitute	રચના
constitution	બંધારણ
constitutional	બંધારણીય
constitutionality	બંધારણીયતા
constrain	મર્યાદા
constrained	મર્યાદા
constraint	અવરોધ
construct	રચવું
construction	બાંધકામ
constructive	રચનાત્મક
construe	નિર્ધારિત કરો
consul	કોન્સલ
consulate	વાણિજ્ય દૂતાવાસ
consult	સલાહ લો
consultant	સલાહકાર
consultation	પરામર્શ
consume	વપરાશ કરો
consumer	ગ્રાહક
consuming	વપરાશ
consummate	પરિપૂર્ણ
consummation	સમાપ્તિ
consumption	વપરાશ
contact	સંપર્ક કરો
contagion	સંસર્ગ
contagious	ચેપી
contain	સમાવે છે
container	કન્ટેનર
containment	પ્રતિબંધ
contaminate	દૂષિત
contaminated	દુષિત
contamination	દૂષણ
contemplate	ચિંતન કરવું
contemplation	ચિંતન
contemplative	ચિંતનશીલ
contemporaneous	સમકાલીન
contemporary	સમકાલીન
contempt	તિરસ્કાર
contemptible	તિરસ્કારપાત્ર
contemptuous	ધિક્કારપાત્ર
contend	દલીલ
contender	દાવેદાર
contending	દલીલ
content	સામગ્રી
contented	સંતોષી
contention	તકરાર
contentious	વિવાદાસ્પદ
contentment	સંતોષ
contents	વિષયવસ્તુ
contest	સ્પર્ધા
contestant	સ્પર્ધક
context	સંદર્ભ
contiguous	સંલગ્ન
continence	સંયમ
continent	ખંડ
continental	ખંડીય
contingency	આકસ્મિક
contingent	આકસ્મિક
continual	સતત
continually	સતત
continuance	ચાલુ રાખવું
continuation	ચાલુ રાખવું
continue	ચાલુ રાખો
continued	ચાલુ રાખ્યું
continuing	ચાલુ
continuity	સાતત્ય
continuous	સતત
continuously	સતત
continuum	સાતત્ય
contour	સમોચ્ચ
contraband	પ્રતિબંધિત
contraception	ગર્ભનિરોધક
contract	કરાર
contracted	કરાર કર્યો
contractile	સંકોચક
contracting	કરાર
contraction	સંકોચન
contractor	ઠેકેદાર
contradict	વિરોધાભાસ
contradiction	વિરોધાભાસ
contradictory	વિરોધાભાસી
contraption	કોન્ટ્રાપ્શન
contrary	વિપરીત
contrast	વિપરીત
contrasted	વિપરીત
contravene	ઉલ્લંઘન
contravention	ઉલ્લંઘન
contribute	યોગદાન આપો
contribution	યોગદાન
contributor	યોગદાન આપનાર
contrite	દુભાવ
contrition	પસ્તાવો
contrived	જૂઠ્ઠું
control	નિયંત્રણ
controller	નિયંત્રક
controlling	નિયંત્રણ
controversial	વિવાદાસ્પદ
controversy	વિવાદ
contusion	મિશ્રણ
conundrum	કોયડો
convalescent	સ્વાસ્થ્યવર્ધક
convection	સંવહન
convene	બોલાવો
convenience	સગવડ
conveniences	સગવડતા
convenient	અનુકૂળ
convent	કોન્વેન્ટ
convention	સંમેલન
conventional	પરંપરાગત
converge	એકાગ્રતા
convergence	સંપાત
convergent	સંક્ષિપ્ત
conversant	રૂપક
conversation	વાતચીત
conversational	વાતચીત
conversationalist	વાતચીતકર્તા
converse	વાતચીત
conversing	વાતચીત
conversion	રૂપાંતર
convert	કન્વર્ટ
converted	રૂપાંતરિત
convertible	કન્વર્ટિબલ
convex	બહિર્મુખ
convexity	બહિર્મુખતા
convey	અભિવ્યક્ત
conveyance	વાહન
conveyancing	conveyancing
convict	ગુનેગાર
conviction	પ્રતીતિ
convince	મનાવવા
convinced	સહમત
convincing	શ્રદ્ધેય
convocation	દીક્ષાન્ત
convoluted	ગૂંચળાવાળું
convolution	સંકલન
convoy	કાફલો
coo	કુઓ
cook	કૂક
cookbook	કુકબુક
cooker	કૂકર
cookery	રસોઈકળા
cookie	કૂકી
cookies	કૂકીઝ
cooking	રસોઈ
cookout	કૂકઆઉટ
cool	કૂલ
coolant	શીતક
cooler	ઠંડા
cooling	ઠંડક
coolness	ઠંડક
coon	કુનન
coop	ખડો
cooperate	સહકાર
cooperating	સહકાર
cooperation	સહકાર
cooperative	સહકારી
coordinate	સંકલન
coordination	સંકલન
coordinator	સંયોજક
cop	કોપ
copacetic	NO TRANSLATION
cope	સામનો
copier	કોપિયર
copilot	કોપિઓલોટ
coping	કંદોરો
copious	પુષ્કળ
copper	તાંબુ
copter	કોપર
copy	કૉપિ કરો
copycat	નકલ
copying	નકલ
copyright	કૉપિરાઇટ
coral	કોરલ
coral snake	કોરલ સાપ
cord	દોરડું
cordial	સૌમ્ય
cordless	કોર્ડલેસ
cordon	ઘેરો
corduroy	કૉર્ડૂરો
core	કોર
cork	કૉર્ક
corkscrew	કૉર્કસ્ક્રેવ
corn	મકાઈ
cornball	કોર્નબૉલ
cornbread	કોર્નબ્રેડ
cornea	કૉર્નિયા
corned	આકાશો
corner	ખૂણા
cornerstone	પાયાનો
cornet	મણકા
cornfield	કોર્નફિલ્ડ
cornflakes	NO TRANSLATION
cornice	કાંડા
cornstarch	મકાઈનો લોટ
corny	ગૂંચળું
corollary	પરિણામ
corona	કોરોના
coronary	કોરોનરી
coronation	રાજ્યાભિષેક
coroner	કોરોનર
corporal	શારીરિક
corporate	કોર્પોરેટ
corporation	કોર્પોરેશન
corporeal	ભૌતિક
corps	કોર્પ્સ
corpse	શબ
corpsman	કોર્પ્સમેન
corpus	કોર્પસ
corral	કોરલ
correct	સાચું
correction	કરેક્શન
correctional	સુધારણાત્મક
corrective	સુધારાત્મક
correctness	ચોકસાઈ
correlation	સંબંધ
correlative	સહસંબંધિક
correspond	પત્રવ્યવહાર
correspondence	પત્રવ્યવહાર
correspondent	સંવાદદાતા
corresponding	અનુરૂપ
corridor	કોરીડોર
corroborate	સમર્થન આપવું
corroboration	સમર્થન
corrosion	કાટ
corrosive	સડો કરતા
corrupt	ભ્રષ્ટ
corrupting	ભ્રષ્ટ
corruption	ભ્રષ્ટાચાર
corsage	ચિકિત્સા
corse	NO TRANSLATION
corset	કાંચળી
cortex	આચ્છાદન
cortical	કોર્ટિકલ
cortisone	કોર્ટિસોન
corvette	ડોળકાઠીવાળી ઝડપી યુદ્ધનૌકા
cosmetic	કોસ્મેટિક
cosmetics	સૌંદર્ય પ્રસાધનો
cosmic	કોસ્મિક
cosmology	બ્રહ્માંડવિજ્ઞાન
cosmopolitan	સર્વદેશી
cosmos	કોસમોસ
cost	ખર્ચ
costly	ખર્ચાળ
costume	પોશાક
cosy	હૂંફાળું
cot	ખાટ
cote	કોટ
cottage	કોટેજ
cotton	કપાસ
couch	સો ફા
cougar	બિલાડીનો ટોપ
cough	ઉધરસ
council	પરિષદ
councilman	કાઉન્સિમેન
counsel	સલાહકાર
counseling	પરામર્શ
counsellor	કાઉન્સેલર
counselor	કાઉન્સેલર
count	ગણતરી
countdown	કાઉન્ટડાઉન
countenance	લાગણી
counter	કાઉન્ટર
counteract	પ્રતિક્રિયા
counterattack	વળતો હુમલો
counterbalance	સંતુલન
counterclaim	કાઉન્ટરક્લેમ
counterfeit	નકલી
counterpart	સમકક્ષ
counterpoint	કાઉન્ટરપોઇન્ટ
countess	કાઉન્ટેસ
countless	અસંખ્ય
country	દેશ
countryman	દેશબંધુ
countrymusic	NO TRANSLATION
countryside	દેશભરમાં
counts	ગણતરીઓ
county	કાઉન્ટી
coup	બળવો
coupe	કૂપ
couple	દંપતી
coupled	જોડી
coupling	જોડી
coupon	કૂપન
courage	હિંમત
courageous	હિંમતવાન
courier	કુરિયર
courses	અભ્યાસક્રમો
coursing	કુરિંગ
court	કોર્ટ
courteous	નમ્ર
courtesy	સૌજન્ય
courthouse	કોર્ટને
courtroom	કોર્ટરૂમ
courts	અદાલતો
courtship	સંવનન
courtside	કોર્ટાઇડ
courtyard	કોર્ટયાર્ડ
cousin	પિતરાઈ
cousins	પિતરાઈ
cove	કોવ
coven	coven
covenant	કરાર
cover	કવર
coverage	કવરેજ
covered	આવરી લેવામાં
covering	આવરણ
covert	અપ્રગટ
covet	ઝંખના કરવી
coveted	પ્રખ્યાત
cow	ગાય
coward	ડરપોક
cowardice	કાયરતા
cowardly	કાયર
cowboy	કાઉબોય
cowgirl	cowgirl
cowhand	ગાયક
cowhide	ગોહાઈડ
cowl	કાઉલ
coworker	સહકર્મીને
coy	લજ્જા
coyote	કોયોટે
cozy	હૂંફાળું
crab	કરચલો
crabby	કરચલો
crack	ક્રેક
cracked	તિરાડ
cracker	ક્રેકર
crackerjack	ક્રેકરજેક
cracking	ક્રેકીંગ
crackle	કડકડાટ
crackpot	ક્રેકપોટ
cradle	પારણું
craft	હસ્તકલા
crafts	હસ્તકલા
craftsman	કારીગર
craftsmanship	હસ્તકલા
crafty	વિચક્ષણ
craig	ક્રેગ
cram	ભીડ
crammed	crammed
cramp	આંચકો
cramped	ગરબડિયા
cranberry	ક્રેનબૅરી
cranberry juice	ક્રેનબૅરી રસ
crane	ક્રેન
cranial	કર્નલ
cranium	કપાળ
crank	ક્રેન્ક
cranky	તરંગી
cranny	ફાટ
crap	વાહિયાત
crappy	અણઘડ
craps	ક્રેપ્સ
crash	ક્રેશ
crass	ક્રેસ
crate	ક્રેટ
crater	ખાડો
crave	ઝંખવું
craving	તૃષ્ણા
crawfish	crawfish
crawl	ક્રોલ
crayon	ચિત્રશલાકા
crayons	ક્રેયન્સ
craze	ક્રેઝ
crazed	ગાંડું - ઘેલું
craziness	ઘેલછા
crazy	ઉન્મત્ત
creak	ચિકિત્સક
creaking	ક્રીકિંગ
cream	ક્રીમ
creamed	creamed
creamer	ક્રીમર
creamy	મલાઈ જેવું
crease	ક્રેઝ
create	બનાવો
creation	બનાવટ
creative	સર્જનાત્મક
creativity	સર્જનાત્મકતા
creator	સર્જક
creature	પ્રાણી
credence	વિશ્વાસ
credential	ઓળખપત્ર
credentials	ઓળખાણપત્ર
credibility	વિશ્વસનીયતા
credible	વિશ્વસનીય
credit	ક્રેડિટ
credit card	ક્રેડીટ કાર્ડ
creditable	પ્રતિષ્ઠિત
credited	શ્રેય
crediting	ક્રેડિટિંગ
creditor	લેણદાર
creed	પંથ
creek	ખાડી
creep	સળવળવું
creeper	લતા
creeping	વિસર્પી
creepy	વિલક્ષણ
cremation	અંતિમ સંસ્કાર
creole	ક્રિઓલ
crepe	ક્રેપ
crescendo	ક્રેસેન્ડો
crescent	અર્ધચંદ્રાકાર
crest	મુગટ
crestfallen	ક્રેસ્ટફોલેન
cretin	ક્રેટિન
cretins	ક્રેટીન
crevice	તડ
crew	ક્રૂ
crewman	ક્રુમેન
crib	ઢોરની ગમાણ
cricket	ક્રિકેટ
cried	રુદન
crime	અપરાધ
criminal	ફોજદારી
criminality	ગુનાખોરી
crimp	વાળવું
crimson	કિરમજી
cringe	આર્જવ
cripple	લૂલો
crippled	અપંગ
crippling	અપંગ
crisis	કટોકટી
crisp	ચપળ
crispy	કડક
criterion	માપદંડ
critic	વિવેચક
critical	જટિલ
criticise	ટીકા
criticism	ટીકા
criticize	ટીકા
criticized	ટીકા
critique	વિવેચન
critter	critter
croak	ઉચ્ચારવું
croc	ક્રૉક
crock	ક્રેક
crockery	બરબેકયુ
crocodile	મગર
croft	ક્રોફ્ટ
croissant	ક્રોસન્ટ
crook	ક્રેક
crooked	કુટિલ
crop	પાક
croquet	ક્રોક્વેટ
cross	ક્રોસ
cross country	ક્રોસ કન્ટ્રી
crossbow	ક્રોસબો
crossed	ઓળંગી
crossfire	ક્રોસફાયર
crossing	ક્રોસિંગ
crossover	ક્રોસઓવર
crosswalk	ક્રોસવૉક
crossword	ક્રોસવર્ડ
crotch	કાણું પાડવું
crouch	ક્રોચ
crouched	ગુજારવામાં
crouching	ક્રોચિંગ
croupier	ગલુડિયાઓ
crow	કાગડો
crowbar	કાગળ
crowd	ભીડ
crowded	ગીચ
crowds	ભીડ
crown	તાજ
crowning	મુગટ
crucial	નિર્ણાયક
cruciate	ક્રુસિએટ
crucifix	ક્રૂસ ઉપરની ખ્રિસ્તની મૂર્તિ
crucifixion	તીવ્ર દુઃખ
crucify	ક્રૂઝ કરવી
crud	કાદવ
crude	ક્રૂડ
cruel	ક્રૂર
cruelly	અણઘડપણે
cruelty	ક્રૂરતા
cruise	ક્રુઝ
cruise ship	ક્રૂઝ જહાજ
cruiser	ક્રુઝર
cruising	ફરવા
crumb	નાનો ટુકડો બટકું
crumble	ક્ષીણ થઈ જવું
crumbling	ભાંગી
crummy	તુચ્છ
crunch	તંગી
crunchy	ભચડ - ભચડ અવાજવાળું
crusade	ક્રૂસેડ
crusader	ક્રુસેડર
crush	વાટવું
crushed	કચડી
crusher	કોલું
crushing	શરમજનક
crust	પોપડો
crusty	કર્કશ
crutch	ઘોડી
crux	ક્રક્સ
cry	રુદન
crybaby	રડતુ બાળક
crying	રડતી
crypt	ક્રિપ્ટ
cryptic	રહસ્યમય
cryptography	સંકેતલિપી
crystal	સ્ફટિક
crystalline	સ્ફટિકીય
crystallization	સ્ફટિકીકરણ
cub	બચ્ચા
cubby	ઘૂંટણની
cube	સમઘન
cubic	ઘન
cubicle	કુશળ
cuckold	વ્યભિચારી
cuckoo	કોયલ
cucumber	કાકડી
cuddle	પંપાળવું
cuddled	cuddled
cuddles	cuddles
cuddling	cuddling
cue	કયૂ
cuff	કફ
cuisine	રાંધણકળા
culinary	રાંધણ
cull	તારવવું
culminate	પરાકાષ્ઠા
culmination	પરાકાષ્ઠા
culpability	દોષપાત્રતા
culpable	ગુનાહિત
culprit	ગુનેગાર
cult	સંપ્રદાય
cultivate	ખેતી
cultivated	વાવેતર
cultivation	ખેતી
cultural	સંસ્કૃતિક
culture	સંસ્કૃતિ
cultured	સંસ્કારી
culvert	બરછટ
cumbersome	બોજારૂપ
cumulus	ઢગલાબંધ વાદળોનો જથ્થો
cunning	ઘડાયેલું
cunt	કન્ટ
cup	કપ
cupboard	આલમારી
cupcake	કપકેક
cupping	કપિંગ
cur	cur
curable	સાધ્ય
curate	ક્યુરેટ
curative	ઉપચારાત્મક
curator	વસ્તુપાલ
curb	કિનાર
curd	દહીં
cure	ઉપચાર
curfew	કર્ફ્યુ
curiosity	જિજ્ઞાસા
curious	વિચિત્ર
curl	curl
curling	કેશિંગ
currency	ચલણ
current	વર્તમાન
curriculum	અભ્યાસક્રમ
curry	કરી
curse	શાપ
cursed	શ્રાપ
cursing	શ્રાપ
cursory	અસ્થાયી
curt	કર્ટે
curtail	ઘટાડવું
curtailment	ઘટાડા
curtain	પડદો
curtains	પડધા
curtsy	કર્શસી
curvature	વળાંક
curve	વળાંક
curved	વક્ર
curvilinear	ક્યૂવિલીઅનિયર
cushion	ગાદી
cushy	રુચિકર
cusp	કુશળ
cuss	કાસી
cussed	ગુસ્સે થયેલું
custard	કસ્ટાર્ડ
custodial	કસ્ટોડિયલ
custodian	સંરક્ષક
custody	કસ્ટડીમાં
custom	કસ્ટમ
customary	રૂઢિગત
customer	ગ્રાહક
customized	કસ્ટમાઇઝ્ડ
cut	કાપવું
cutaneous	ચામડીનું
cute	સુંદર
cuticle	ત્વચા
cutie	cutie
cutlass	કટલેસ
cutlery	કટલેટરી
cutoff	કટફૉફ
cutter	કટર
cutters	કટર
cutthroat	કટથ્થુ
cutting	કટિંગ
cutting board	કટીંગ બોર્ડ
cuttings	કાપીને
cwt	cwt
cyanide	સાઇનાઇડ
cyberspace	સાઇબરસ્પેસ
cycle	ચક્ર
cyclical	ચક્રીય
cyclist	બાઇસિકલસવાર
cyclone	ચક્રવાત
cylinder	સિલિન્ડર
cylindrical	નળાકાર
cymbal	ઝાંઝ
cynic	સિનિક
cynical	ભાવનાશૂન્ય
cynicism	ભાવનાશૂન્યતા
cyst	ફોલ્લો
cystic	સિસ્ટીક
cytomegalovirus	સાયટોમેગાલોવાયરસ
cytoplasm	કોષરસ
czar	ઝાર
dab	ડબ
dabble	છબછબિયાં કરવાં
dabbling	છીછરા
dad	પિતા
daddy	ડેડી
dado	NO TRANSLATION
daemon	ડિમન
daft	મૂર્ખ
dagger	કટારી
daily	દૈનિક
dainty	નમ્ર
daiquiri	દાઇક્વીરી
dairy	ડેરી
daisy	ડેઝી
dak	NO TRANSLATION
dale	ડેલ
dam	ડેમ
damage	નુકસાન
damaged	નુકસાન
damages	નુકસાની
dame	ડેમ
damn	ખરેખર
damnation	અધોગતિ
damned	શાપિત
damp	ભીના
dampened	હાંસલ
damper	ઉત્સાહ ભંગ કરનાર
damsel	યુવતી
dance	નૃત્ય
dancer	નૃત્યાંગના
dancing	નૃત્ય
dandruff	ખોડો
dandy	ડેન્ડી
danger	ભય
dangerous	ખતરનાક
dangerously	ખતરનાક રીતે
dangit	NO TRANSLATION
dangle	ઝૂલતું લટકાવવું
dank	NO TRANSLATION
dapper	દીપર
dare	હિંમત
daredevil	સાહસિક
daresay	ડેરેસી
daring	હિંમતવાન
dark	શ્યામ
darken	અંધારું
darkened	અંધારિયા
darkly	અસ્પષ્ટ રીતે
darkness	અંધકાર
darkroom	અંધારિયો ખંડ
darkside	કાળી બાજુ
darling	પ્રિયતમ
darn	રફૂ કરવું
dart	ડાર્ટ
dash	આડંબર
dashboard	ડેશબોર્ડ
dashed	ડૈશ્ડ
dashing	હિંમત
dastardly	નિસ્તેજ
data	માહિતી
database	ડેટાબેઝ
date	તારીખ
datenight	NO TRANSLATION
daughter	દીકરી
dawdle	ડહાપણ
dawn	પરોઢ
dawned	dawned
day	દિવસ
daybreak	ભીડ
daycare	દૈનિક સંભાળ
daydream	ડેડ્રીમ
daydreaming	દીવાદાંડી
daylight	ડેલાઇટ
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	દિવસના
daze	ભીડ
dazed	ચકિત
dazzle	ઝાકઝમાળ
dazzling	સ્ટેજિંગ
deacon	ડેકોન
deactivate	નિષ્ક્રિય
dead	મૃત
deadbeat	ડેડબીટ
deadline	અન્તિમ રેખા
deadlines	મુદતો
deadlock	ડેડલોક
deadly	જીવલેણ
deaf	બહેરા
deafening	ગુંડાગીરી કરવી
deafness	બહેરાશ
deal	સોદો
dealer	વેપારી
dealership	ડીલરશીપ
dealing	વ્યવહાર
dealings	વ્યવહાર
dean	ડીન
dear	પ્રિય
dearest	પ્રિયતમ
dearth	અભાવ
death	મૃત્યુ
deathbed	મૃત્યુદંડ
deathly	મોતની
debacle	રકાસ
debased	ભ્રષ્ટ
debatable	વિવાદાસ્પદ
debate	ચર્ચા
debauchery	દુ: ખી
debenture	ડિબેન્ચર
debilitating	કમજોર
debit	ડેબિટ
debrief	ડેબ્રીફ
debriefing	ડિબ્રીગિંગ
debris	કાટમાળ
debt	દેવું
debtor	દેવાદાર
debut	પદાર્પણ
debutante	નવોદિત
decade	દાયકા
decadence	અવનતિ
decadent	અવનતિને માર્ગે જતી
decaf	ડીકાફ
decanter	મદ્યપાન કરનાર
decathlon	ડેકાથલોન
decay	સડો
decayed	ક્ષીણ
decaying	સડો
deceased	મૃત
decedent	મૃતક
deceit	છેતરપિંડી
deceitful	કપટી
deceive	છેતરવું
deceived	છેતરતી
deceiving	છેતરપિંડી
december	ડિસેમ્બર
decency	શિષ્ટાચાર
decent	યોગ્ય
deception	છેતરપિંડી
deceptive	ભ્રામક
decide	નક્કી કરો
decidedly	નિર્વિવાદપણે
deciduous	પાનખર
decimal	દશાંશ
decimeter	દશાંશક
decipher	ડિસાયફર
decision	નિર્ણય
decisive	નિર્ણાયક
deck	તૂતક
declaration	જાહેરાત
declaratory	ઘોષણાત્મક
declare	જાહેર કરવું
declination	ઘટાડો
decline	ઘટાડો
declining	ઘટી
deco	ડેકો
decode	ડીકોડ
decoder	ડીકોડર
decompose	સડવું
decomposed	ઊતરેલું
decomposition	વિઘટન
decompress	વિસંકુચિત
decompression	પ્રતિસંકોચન
decontamination	વિશુદ્ધીકરણ
decor	સરંજામ
decorate	સજાવટ
decorating	સુશોભિત
decoration	શણગાર
decorative	સુશોભન
decorator	શોભનકળાનો નિષ્ણાત
decorum	શણગાર
decoy	પ્રલોભન
decrease	ઘટાડો
decreased	ઘટાડો થયો
decreasing	ઘટાડો
decree	હુકમનામું
decrement	ઘટાડો
decrepit	જર્જરિત
decry	ક્ષોભજનક
decryption	ડિક્રિપ્શન
dedicate	સમર્પિત
dedication	સમર્પણ
deduce	સમજાવવું
deduct	બાદ કરવું
deductible	કપાતપાત્ર
deduction	કપાત
deed	ખત
deejay	ડીજે
deem	માનવું
deep	ઊંડા
deepen	ઊંડું
deer	હરણ
defamation	બદનક્ષી
defamatory	બદનક્ષીભર્યું
default	ડિફૉલ્ટ
defeat	હાર
defeated	હરાવ્યો
defeatist	હારવાદી
defect	ખામી
defection	પક્ષપલટો
defective	ખામીયુક્ત
defector	પક્ષપલટુ
defend	કોઈ રન નોંધાયો નહીં
defendant	પ્રતિવાદી
defended	બચાવ
defender	ડિફેન્ડર
defending	બચાવ
defense	સંરક્ષણ
defenseless	રક્ષણ કરવા અસમર્થ
defensible	સંરક્ષણાત્મક
defensive	રક્ષણાત્મક
defer	સ્થગિત કરવું
deference	માન
deferral	ઢીલ
deferring	deferring
defiance	અવજ્ઞા
defiant	માથાભારે
defibrillator	ડિફિબ્રિલેટર
deficiency	ઉણપ
deficient	ખામી
deficit	ખાધ
define	વ્યાખ્યાયિત કરો
defined	વ્યાખ્યાયિત
definite	ચોક્કસ
definition	વ્યાખ્યા
definitive	નિર્ણાયક
deflate	ડિફ્લેટ
deflation	ડિફ્લેશન
deflect	ચલિત થાઓ
deflection	વળાંક
defloration	લુપ્તતા
deform	વિકૃત
deformed	વિકૃિત
deformity	ખોડ
defraud	છેતરપિંડી
defray	ડિફ્રે
defrost	ડીફ્રોસ્ટ
deft	કુશળ
defunct	નિષ્ક્રિય
defuse	ઘટાડવું
defy	અવજ્ઞા કરવી
degeneracy	અધોગતિ
degenerate	પતિત
degeneration	અધોગતિ
degradation	ડિગ્રેડેશન
degrade	ઉતારવું
degraded	ભ્રષ્ટ
degrading	અપમાનજનક
degree	ડિગ્રી
dehydrated	નિર્જલીકૃત
dehydration	નિર્જલીકરણ
dejected	નિરાશ
delay	વિલંબ
delayed	વિલંબિત
delectable	સુશોભિત
delegate	પ્રતિનિધિ
delegation	પ્રતિનિધિમંડળ
delete	કાઢી નાખો
deleterious	હાનિકારક
deletion	કાઢી નાંખવાનું
deli	ડેલી
deliberate	ઇરાદાપૂર્વક
deliberation	વિચારણા
deliberative	વિચારશીલ
delicacy	સ્વાદિષ્ટ
delicate	નાજુક
delicatessen	સ્વાદિષ્ટ
delicious	સ્વાદિષ્ટ
delight	ખુશી
delighted	આનંદ
delightful	આહલાદક
delineate	ચિત્રાંકિત
delineation	ચિત્રાંકિત
delinquency	અપરાધ
delinquent	ગુનેગાર
delirious	બેભાન
delirium	ચિત્તભ્રમણા
deliver	પહોંચાડવા
deliverance	છુટકારો
delivery	ડિલિવરી
dell	ડેલ
delta	ડેલ્ટા
