Word	hr
commonplace	banalan
commons	zajednička
commonwealth	komonvelt
commotion	komocija
communal	komunalni
commune	komuna
communicable	infektivan
communicate	komunicirati
communication	komunikacija
communicative	komunikativan
communicator	komunikator
communion	pričest
communism	komunizam
communist	komunist
community	zajednica
commutation	komutacija
commutative	zamjenski
commute	mijenjati
commuter	prigradskim
comp	spoj
compact	kompaktan
compaction	zbijanje
compactness	kompaktnost
companion	drug
companionless	companionless
companionship	drugarstvo
company	društvo
comparable	usporedivo
comparative	komparativna
comparatively	usporedno
compare	usporediti
comparison	usporedba
compartment	odjeljak
compass	kompas
compassion	samilost
compassionate	samilostan
compatibility	kompatibilnost
compatible	kompatibilan
compel	natjerati
compelled	primoran
compelling	neodoljiv
compendium	sažet pregled
compensate	nadoknaditi
compensation	kompenzacija
compensatory	kompenzacijski
compete	konkurirati
competence	nadležnost
competency	sposobnost
competent	nadležan
competition	konkurencija
competitive	konkurentan
competitor	konkurent
compilation	kompilacija
compile	sastaviti
complacency	samozadovoljstvo
complacent	samodopadan
complain	žaliti se
complaint	prigovor
complement	upotpuniti, dopuna
complementary	dopunski
complete	potpun
completed	dovršen
completely	potpuno
completeness	potpunost
completing	popunjavanja
completion	završetak
complex	kompleks
complexed	kompleksu
complexion	ten
complexity	složenost
compliance	usklađenost
compliant	popustljiv
complicate	otežavati
complicated	složen
complication	komplikacija
complicity	saučesništvo
compliment	NO TRANSLATION
complimentary	pozdravni
comply	u skladu
complying	udovoljavanje
compo	Zida se produznim
component	sastavni dio
compose	sastaviti
composed	sastavljen
composer	kompozitor
composite	mješavina
composition	sastav
compost	kompost
composure	pribranost
compound	spoj
comprehend	shvatiti
comprehension	razumijevanje
comprehensive	opsežan
compress	oblog
compressed	stisnut
compressible	može stlačiti
compression	kompresija
compressor	kompresor
comprise	uključiti
compromise	kompromis
comptroller	kontrolora
compulsion	prinuda
compulsive	kompulzivan
compulsory	obavezan
computable	podložan računanju
computation	računanje
compute	prebrojavati
computer	Računalo
computerized	kompjutorizirani
computing	računanje
comrade	drug
con	NO TRANSLATION
concatenation	povezan u lanac
concave	konkavan
conceal	prikriti
concealed	sakriven
concealment	prikrivanje
concede	dopustiti
conceit	uobraženost
conceited	uobražen
conceivable	razumljiv
conceive	zamisliti
concentrate	koncentrat
concentration	koncentracija
concentric	koncentričan
concept	koncept
conception	začeće
concern	briga
concerned	zabrinut
concert	koncert
concerto	koncert
concession	koncesija
concessional	privilegirani
conch	ljuštura
concierge	vratar
conciliation	pomirenje
concise	sažet
conclave	sjednica
conclude	zaključiti
concluding	završni
conclusion	zaključak
conclusive	konačan
concoction	izmišljotina
concomitant	prateći
concord	sloga
concordance	saglasnost
concours	NO TRANSLATION
concourse	gomila
concrete	beton
concubine	konkubina
concur	slagati se
concurrence	potpomaganje
concurrent	istovremen
concurring	suglasno
concussion	potres
condemn	osuditi
condemnation	osuda
condensation	kondenzacija
condensed	kondenzovan
condescending	snishodljiv
condescension	snishodljivost
condiment	začin
condition	stanje
conditional	uvjetna
conditionally	uslovno
conditioned	uslovan
conditioner	regenerator
conditioning	uređaj
conditions	Uvjeti
condo	apartman
condolence	izjava saučešća
condolences	saučešće
condom	kondom
condone	opraštati
condor	kondor
conducive	pogodan
conduct	ponašanje
conduction	kondukcija
conductivity	provodljivost
conductor	dirigent
conduit	cijev
cone	konus
confederacy	konfederacija
confederate	kofederativan
confederation	član konfederacije
confer	savjetovati
conference	konferencija
confess	priznati
confession	ispovijest
confessional	ispovjedaonica
confessions	ispovijedi
confetti	konfete
confidant	povjerenik
confide	povjeriti
confidence	samouvjerenost
confident	uvjeren
confidential	povjerljiv
confidentiality	povjerljivost
confidentially	NO TRANSLATION
configuration	konfiguracija
confine	ograničiti
confined	zatvoren
confinement	ograničavanje
confines	granice
confirm	potvrditi
confirmation	potvrda
confirmatory	potvrdna
confirmed	potvrđen
confiscate	zaplijeniti
confiscation	konfiskacija
conflagration	požar
conflict	sukob
conflicting	konfliktan
confluence	ušće
conform	odgovara
conformance	sukladnosti
conformation	NO TRANSLATION
conformity	konformizam
confound	zbuniti
confounded	zbunjen
confront	suočiti
confrontation	konfrontacija
confuse	zbuniti
confused	zbunjen
confusing	zbunjujuće
confusion	zbunjenost
conga	Conga
congenial	kongenijalan
congenital	urođen
congestion	kongestija
conglomerate	konglomerat
conglomeration	konglomerat
congrats	čestitke
congratulate	čestitati
congratulation	čestitka
congratulations	Čestitamo
congratulatory	čestitajući
congregate	skupiti
congregation	zajednica
congress	kongres
congressional	kongresni
congressman	kongresmen
congruence	kongruencija
conic	konusni
conical	kupast
conjecture	pretpostavka
conjugal	bračni
conjugate	konjugat
conjugation	konjugacija
conjunction	veznik
conjunctive	vezivni
conjure	prizivati
conjuring	conjuring
conk	pokvariti se
connect	Spojiti
connected	povezan
connection	veza
connective	vezivni
connoisseur	znalac
conquer	osvojiti
conquering	osvajački
conqueror	osvajač
conquest	osvajanje
conscience	savjest
conscientious	savjestan
conscious	svjestan
consciousness	svijest
conscription	vojna obaveza
consecrated	posvećen
consecration	posvećenje
consecutive	uzastopni
consensual	konsenzualni
consensus	konsenzus
consent	pristanak
consenting	pristao
consequence	posljedica
consequent	dosljedan
conservation	konzervacija
conservatism	konzervatizam
conservative	konzervativan
conservatory	konzervatorijum
conserve	čuvati
consider	uzeti u obzir
considerable	znatan
considerate	obziran
consideration	obzir
consignee	primalac robe
consignment	pošiljka
consist	sastojati
consistency	dosljednost
consistent	dosljedan
consolation	utjeha
console	konzola
consoled	utješen
consolidate	učvrstiti
consolidated	konsolidirani
consolidation	konsolidacija
consonant	suglasnik
consort	ortak
conspicuous	primjetan
conspiracy	zavjera
conspirator	zavjerenik
conspire	kovati zavjeru
constable	policajac
constancy	postojanost
constant	konstantno
constantly	konstantno
constellation	konstelacija
consternation	zapanjenost
constipation	zatvor
constituency	izborna jedinica
constituent	sastavni
constituents	sastojci
constitute	konstituirati
constitution	ustav
constitutional	ustavni
constitutionality	ustavnost
constrain	nagnati
constrained	ograničen
constraint	ograničenje
construct	izgraditi
construction	izgradnja
constructive	konstruktivan
construe	protumačiti
consul	konzul
consulate	konzulat
consult	savjetovati
consultant	konzultant
consultation	konzultacija
consume	pojesti
consumer	potrošač
consuming	konzumiranje
consummate	besprijekoran
consummation	konzumacija
consumption	potrošnja
contact	kontakt
contagion	zaraza
contagious	zarazan
contain	sadržati
container	kontejner
containment	zatvorenost
contaminate	kontaminirati
contaminated	zagađen
contamination	kontaminacija
contemplate	razmišljati
contemplation	razmišljanje
contemplative	kontemplativan
contemporaneous	savremen
contemporary	suvremeni
contempt	prezir
contemptible	prezren
contemptuous	preziran
contend	tvrditi
contender	natjecatelj
contending	boriti
content	sadržaj
contented	zadovoljan
contention	tvrdnja
contentious	svadljiv
contentment	zadovoljstvo
contents	sadržaj
contest	Natjecanje
contestant	takmičar
context	kontekst
contiguous	granični
continence	apstinencija
continent	kontinent
continental	kontinentalni
contingency	slučaj
contingent	slučajan
continual	stalan
continually	stalno
continuance	trajanje
continuation	nastavljanje
continue	nastaviti
continued	i dalje
continuing	nastavlja
continuity	neprekidnost
continuous	stalan
continuously	neprekidno
continuum	kontinuum
contour	kontura
contraband	krijumčarenje
contraception	kontracepcija
contract	ugovor
contracted	ugovoreno
contractile	kontraktilan
contracting	ugovaranje
contraction	stezanje
contractor	izvođač radova
contradict	proturječiti
contradiction	kontradikcija
contradictory	kontradiktoran
contraption	novatorstvo
contrary	suprotno
contrast	kontrast
contrasted	u kontrastu
contravene	prekršiti
contravention	kršenje
contribute	doprinijeti
contribution	doprinos
contributor	suradnik
contrite	pokajnički
contrition	kajanje
contrived	neprirodan
control	kontrolirati
controller	kontrolor
controlling	kontrolni
controversial	kontroverzno
controversy	polemika
contusion	ozljeda
conundrum	zagonetka
convalescent	oporavljenički
convection	konvekcija
convene	sazvati
convenience	pogodnost
conveniences	pogodnosti
convenient	zgodan
convent	manastir
convention	konvencija
conventional	konvencionalne
converge	konvergirati
convergence	konvergencija
convergent	konvergentan
conversant	upoznat
conversation	razgovor
conversational	razgovorni
conversationalist	kozer
converse	razgovarati
conversing	razgovor
conversion	pretvaranje
convert	Pretvoriti
converted	pretvaraju
convertible	kabriolet
convex	konveksan
convexity	konveksnost
convey	prenijeti
conveyance	prijenos
conveyancing	prosleđi-
convict	osuđenik
conviction	osuda
convince	uvjeriti
convinced	uvjeren
convincing	uvjerljiv
convocation	sazivanje
convoluted	savijen
convolution	saziv
convoy	konvoj
coo	gugutati
cook	kuhati
cookbook	kuharica
cooker	štednjak
cookery	kulinarstvo
cookie	kolačić
cookies	keksi
cooking	kuhanje
cookout	cookout
cool	svjež
coolant	rashladne tekućine
cooler	hladnjak
cooling	hlađenje
coolness	hladovina
coon	rakun
coop	kavez
cooperate	surađivati
cooperating	surađuje
cooperation	suradnja
cooperative	zadruga
coordinate	Koordinirati
coordination	koordinacija
coordinator	koordinator
cop	policajac
copacetic	NO TRANSLATION
cope	izaći na kraj
copier	mašina za kopiranje
copilot	ko-pilot
coping	suočavanje
copious	obilan
copper	bakar
copter	helikopterom
copy	kopirati
copycat	oponašatelj
copying	kopiranje
copyright	autorsko pravo
coral	koraljni
coral snake	koraljna zmija
cord	vrpca
cordial	srdačan
cordless	bezžičan
cordon	kordon
corduroy	samt
core	srž
cork	pluta
corkscrew	vadičep
corn	kukuruz
cornball	cornball
cornbread	kukuruzni kruh
cornea	kornea
corned	usoljen
corner	ugao
cornerstone	kamen temeljac
cornet	kornet
cornfield	polje kukuruza
cornflakes	kukuruzne pahuljice
cornice	krovni vijenac
cornstarch	kukuruzni štirak
corny	banalan
corollary	posljedica
corona	korona
coronary	koronarni
coronation	krunidba
coroner	istražitelj
corporal	desetar
corporate	korporativni
corporation	korporacija
corporeal	opipljiv
corps	korpus
corpse	lješ
corpsman	corpsman
corpus	zbirka
corral	tor za stoku
correct	ispravan
correction	korekcija
correctional	popravni
corrective	korektiv
correctness	ispravnost
correlation	korelacija
correlative	prikladan
correspond	odgovarati
correspondence	Dopisivanje
correspondent	dopisnik
corresponding	odgovara
corridor	hodnik
corroborate	potvrditi
corroboration	potvrda
corrosion	korozija
corrosive	nagrizajući
corrupt	pokvariti
corrupting	oštećenje
corruption	korupcija
corsage	gornji dio ženske odjeće
corse	NO TRANSLATION
corset	steznik
cortex	korteks
cortical	kortikalna
cortisone	kortizon
corvette	korveta
cosmetic	kozmetički
cosmetics	kozmetika
cosmic	kosmički
cosmology	kosmologija
cosmopolitan	kosmopolitski
cosmos	kosmos
cost	cijena
costly	skup
costume	kostim
cosy	udoban
cot	dječji krevet
cote	tor
cottage	kućica
cotton	pamuk
couch	kauč
cougar	kuguar
cough	kašalj
council	vijeće
councilman	vijećnik
counsel	savjet
counseling	savjetovanje
counsellor	savjetnik
counselor	savjetnik
count	računati
countdown	odbrojavanje
countenance	lice
counter	brojač
counteract	protiviti se
counterattack	protunapad
counterbalance	protuteža
counterclaim	protutvrdnja
counterfeit	lažan
counterpart	duplikat
counterpoint	kontrapunkt
countess	grofica
countless	nebrojen
country	zemlja
countryman	zemljak
countrymusic	NO TRANSLATION
countryside	selo
counts	broji
county	okrug
coup	genijalan potez
coupe	zatvorena kola sa dva sjedišta
couple	par
coupled	spojen
coupling	spojke
coupon	kupon
courage	hrabrost
courageous	hrabar
courier	kurir
courses	tečajevi
coursing	krvotok
court	sud
courteous	uljudan
courtesy	uljudnost
courthouse	sud
courtroom	sudnica
courts	sudovi
courtship	udvaranje
courtside	courtside
courtyard	dvorište
cousin	rođak
cousins	rođaci
cove	uvala
coven	koven
covenant	savez
cover	pokriti
coverage	pokrivenost
covered	pokriven
covering	pokrivati
covert	prikriven
covet	žudjeti
coveted	željeti
cow	krava
coward	kukavica
cowardice	kukavičluk
cowardly	kukavički
cowboy	kauboj
cowgirl	kaubojka
cowhand	cowhand
cowhide	bičevati
cowl	kapuljača
coworker	kolega
coy	stidljiv
coyote	kojot
cozy	udoban
crab	Rak
crabby	tvrdoglav
crack	pukotina
cracked	napuknut
cracker	kreker
crackerjack	crackerjack
cracking	kreking
crackle	pucketanje
crackpot	ludak
cradle	kolijevka
craft	čamac
crafts	zanati
craftsman	zanatlija
craftsmanship	umješnost
crafty	lukav
craig	Craig
cram	strpati
crammed	naguranih
cramp	grč
cramped	tijesan
cranberry	brusnica
cranberry juice	Sok od brusnica
crane	dizalica
cranial	kranijalni
cranium	lobanja
crank	ručica
cranky	mrzovoljan
cranny	pukotina
crap	sranje
crappy	jebani
craps	craps
crash	sudar
crass	potpun
crate	sanduk
crater	krater
crave	žudjeti
craving	žudnja
crawfish	rak
crawl	puzati
crayon	krejon
crayons	bojice
craze	moda
crazed	bjesomučan
craziness	ludost
crazy	lud
creak	škripa
creaking	škripa
cream	krema
creamed	creamed
creamer	posuda za pavlaku
creamy	kremast
crease	nabor
create	stvoriti
creation	stvaranje
creative	kreativan
creativity	kreativnost
creator	tvorac
creature	stvorenje
credence	vjera
credential	uvjerenje
credentials	akreditiv
credibility	vjerodostojnost
credible	vjerodostojan
credit	Kreditna
credit card	kreditna kartica
creditable	NO TRANSLATION
credited	zaslužan
crediting	knjiženje
creditor	povjerilac
creed	vjera
creek	potok
creep	odvratna osoba
creeper	puzavac
creeping	puzav
creepy	jeziv
cremation	kremiranje
creole	kreolski
crepe	krep
crescendo	kreščendo
crescent	srp
crest	vrh
crestfallen	pokunjen
cretin	kreten
cretins	kreteni
crevice	pukotina
crew	posada
crewman	posade
crib	jasle
cricket	kriket
cried	plakala
crime	kriminal
criminal	kriminalac
criminality	kriminalitet
crimp	nabirati
crimson	tamnocrven
cringe	dodvoravanje
cripple	bogalj
crippled	osakaćen
crippling	sakaćenje
crisis	kriza
crisp	hrskav
crispy	hrskavo
criterion	kriterij
critic	kritičar
critical	kritično
criticise	kritikovati
criticism	kritika
criticize	kritikovati
criticized	kritizirao
critique	kritika
critter	critter
croak	kreštanje
croc	Croc
crock	zemljani lonac
crockery	zemljano posuđe
crocodile	krokodil
croft	okućnica
croissant	kroasan
crook	lopov
crooked	nepošten
crop	usjev
croquet	kriket
cross	križ
cross country	cross country
crossbow	samostrel
crossed	prešao
crossfire	unakrsna vatra
crossing	prijelaz
crossover	crossover
crosswalk	zebra
crossword	ukrštene riječi
crotch	prepone
crouch	čučanje
crouched	čučnuo
crouching	čučeći
croupier	krupje
crow	vrana
crowbar	željezna poluga
crowd	gužva
crowded	prometan
crowds	gužve
crown	kruna
crowning	krunidba
crucial	presudan
cruciate	križni
crucifix	križ sa razapetim Isusem
crucifixion	raspeće
crucify	razapeti
crud	CRUD
crude	Sirovi
cruel	okrutan
cruelly	okrutno
cruelty	okrutnost
cruise	krstarenje
cruise ship	kruzer
cruiser	krstarica
cruising	krstarenje
crumb	mrvica
crumble	mrviti
crumbling	pucaju
crummy	bijedan
crunch	škripanje
crunchy	hrskav
crusade	križarska vojna
crusader	križar
crush	simpatija
crushed	zgnječen
crusher	drobilice
crushing	velik
crust	kora
crusty	s koricom
crutch	štaka
crux	srž
cry	plakati
crybaby	plačljivica
crying	plač
crypt	kripta
cryptic	grobni
cryptography	kriptografija
crystal	kristal
crystalline	kristalni
crystallization	kristalizacija
cub	mlado
cubby	cubby
cube	kocka
cubic	kubni
cubicle	odjelenje
cuckold	rogonja
cuckoo	kukavica
cucumber	krastavac
cuddle	maziti
cuddled	zagrljeni
cuddles	cuddles
cuddling	maženje
cue	tak
cuff	lisičine za ruke
cuisine	kuhinja
culinary	kulinarski
cull	raspodijeliti
culminate	kulminirati
culmination	kulminacija
culpability	krivnja
culpable	kriv
culprit	krivac
cult	kult
cultivate	njegovati
cultivated	kultiviran
cultivation	uzgoj
cultural	kulturni
culture	Kultura
cultured	kulturan
culvert	odvodni kanal
cumbersome	nezgrapan
cumulus	kumulus
cunning	lukav
cunt	pićka
cup	kupa
cupboard	kredenac
cupcake	Kolačić
cupping	proces puštanja krvi
cur	mješanac
curable	izlječiv
curate	paroh
curative	ljekovit
curator	kustos
curb	obuzdati
curd	surutka
cure	lijek
curfew	policijski sat
curiosity	znatiželja
curious	znatiželjan
curl	kovrča
curling	kovrčav
currency	valuta
current	Trenutno
curriculum	nastavni plan
curry	curry
curse	kletva
cursed	proklet
cursing	psujući
cursory	letimičan
curt	osoran
curtail	skratiti
curtailment	smanjenje
curtain	zavjesa
curtains	zavjese
curtsy	napraviti kniks
curvature	zavoj
curve	zavoj
curved	zakrivljen
curvilinear	krivolinijski
cushion	jastuk
cushy	lak
cusp	vrh
cuss	psovka
cussed	nastran
custard	krema
custodial	skrbništvo
custodian	staratelj
custody	starateljstvo
custom	prilagođen
customary	uobičajen
customer	kupac
customized	prilagođeno
cut	izrezati
cutaneous	kožni
cute	sladak
cuticle	zanoktica
cutie	slatkica
cutlass	kratka sablja
cutlery	pribor za jelo
cutoff	odrezati
cutter	rezač
cutters	rezači
cutthroat	koljač
cutting	rezanje
cutting board	daska za rezanje
cuttings	strugotine
cwt	CWT
cyanide	cijanid
cyberspace	cyberspace
cycle	ciklus
cyclical	ciklična
cyclist	biciklista
cyclone	ciklon
cylinder	cilindar
cylindrical	cilindričan
cymbal	cimbal
cynic	cinik
cynical	ciničan
cynicism	cinizam
cyst	cista
cystic	cistična
cytomegalovirus	citomegalovirus
cytoplasm	citoplazma
czar	car
dab	mrlja
dabble	baviti se površno
dabbling	brbljanje
dad	tata
daddy	tata
dado	NO TRANSLATION
daemon	demon
daft	lud
dagger	bodež
daily	dnevno
dainty	poslastica
daiquiri	Daiquiri
dairy	mljekara
daisy	tratinčica
dak	NO TRANSLATION
dale	dolina
dam	brana
damage	šteta
damaged	oštećen
damages	štete
dame	dama
damn	proklet
damnation	prokletstvo
damned	proklet
damp	vlažan
dampened	namočenom
damper	prigušivač
damsel	djevojka
dance	ples
dancer	plesač
dancing	ples
dandruff	prhut
dandy	kicoš
danger	opasnost
dangerous	opasno
dangerously	opasno
dangit	NO TRANSLATION
dangle	visiti
dank	NO TRANSLATION
dapper	dotjeran
dare	usuditi se
daredevil	hazarder
daresay	pretpostavljam
daring	smion
dark	mrak
darken	potamnjeti
darkened	pomračen
darkly	mračno
darkness	tama
darkroom	tamna soba
darkside	tamna strana
darling	dragi
darn	štopati
dart	strijelica
dash	crtica
dashboard	kontrolna ploča
dashed	isprekidane
dashing	poletan
dastardly	kukavički
data	podaci
database	baza podataka
date	datum
datenight	NO TRANSLATION
daughter	kći
dawdle	traćiti vrijeme
dawn	zora
dawned	sinulo
day	dan
daybreak	svitanje
daycare	vrtića
daydream	sanjarenje
daydreaming	sanjarenje
daylight	dnevna svjetlost
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	dan
daze	ošamućenost
dazed	ošamućen
dazzle	zasjeniti
dazzling	zaslijepljujući
deacon	đakon
deactivate	deaktiviranje
dead	mrtav
deadbeat	iscrpljen
deadline	rok
deadlines	rokovi
deadlock	zastoj
deadly	ubojit
deaf	gluh
deafening	zaglušujući
deafness	gluhoća
deal	Dogovor
dealer	prodavač
dealership	trgovina
dealing	bavljenje
dealings	poslovanje
dean	dekan
dear	draga
dearest	najdraži
dearth	nestašica
death	smrt
deathbed	samrtna postelja
deathly	smrtonosno
debacle	debakl
debased	pokvareno
debatable	sporan
debate	debata
debauchery	razvrat
debenture	zadužnica
debilitating	oslabiti
debit	zaduženje
debrief	ispitati
debriefing	ispitivanje
debris	krhotine
debt	dug
debtor	dužnik
debut	debi
debutante	debitantkinja
decade	desetljeće
decadence	dekadencija
decadent	dekadentan
decaf	kava bez kofeina
decanter	bokal
decathlon	desetoboj
decay	raspad
decayed	istrunuo
decaying	raspadaju
deceased	pokojni
decedent	pokojnik
deceit	obmana
deceitful	obmanjiv
deceive	prevariti
deceived	prevaren
deceiving	obmanjuju
december	prosinac
decency	pristojnost
decent	pristojan
deception	prijevara
deceptive	obmanljiv
decide	odlučiti
decidedly	odlučno
deciduous	listopadan
decimal	decimal
decimeter	decimetar
decipher	dešifrirati
decision	odluka
decisive	odlučujući
deck	paluba
declaration	izjava
declaratory	koji proglašava
declare	proglasiti
declination	deklinacija
decline	odbiti
declining	opadanju
deco	deco
decode	dešifrirati
decoder	dekoder
decompose	razložiti
decomposed	razgraditi
decomposition	raspad
decompress	smanjivati ​​pritisak
decompression	dekompresija
decontamination	dekontaminacija
decor	dekor
decorate	ukrasiti
decorating	dekoriranje
decoration	ukras
decorative	ukrasni
decorator	dekorater
decorum	pristojnost
decoy	mamac
decrease	smanjenje
decreased	smanjen
decreasing	smanjuje
decree	dekret
decrement	opadanje
decrepit	oronuo
decry	uvrijediti
decryption	dešifriranje
dedicate	posvetiti
dedication	posveta
deduce	utvrditi
deduct	odbiti
deductible	izvediv
deduction	odbitak
deed	djelo
deejay	deejay
deem	smatrati
deep	duboko
deepen	produbiti
deer	jelen
defamation	klevetanje
defamatory	klevetnički
default	zadano
defeat	poraz
defeated	poražen
defeatist	pobijeđen čovjek
defect	mana
defection	dezerterstvo
defective	neispravan
defector	dezerter
defend	braniti
defendant	tuženik
defended	branio
defender	branitelj
defending	brani
defense	odbrana
defenseless	neobranjiv
defensible	branljiv
defensive	obrambeni
defer	odgoditi
deference	priklanjanje
deferral	odgoda
deferring	odgađanje
defiance	prkos
defiant	prkosan
defibrillator	defibrilator
deficiency	nedostatak
deficient	manjkav
deficit	deficit
define	definirati
defined	definiran
definite	određen
definition	definicija
definitive	konačan
deflate	ispumpati
deflation	deflacija
deflect	skrenuti
deflection	skretanje
defloration	defloracija
deform	deformirati
deformed	deformiran
deformity	deformacija
defraud	pronevjeriti
defray	snositi
defrost	odlediti
deft	spretan
defunct	mrtav
defuse	ublažiti
defy	prkositi
degeneracy	izrođenost
degenerate	degenerirati
degeneration	degeneracija
degradation	degradacija
degrade	degradirati
degraded	ponižen
degrading	ponižavajući
degree	stupanj
dehydrated	dehidriran
dehydration	dehidracija
dejected	bezvoljan
delay	odgoditi
delayed	kasni
delectable	sladak
delegate	delegat
delegation	delegacija
delete	izbrisati
deleterious	štetan
deletion	brisanje
deli	delikatesni proizvodi
deliberate	namjeran
deliberation	razmatranje
deliberative	savjetodavni
delicacy	poslastica
delicate	delikatan
delicatessen	suhomesnati proizvodi
delicious	ukusno
delight	zadovoljstvo
delighted	presretan
delightful	divan
delineate	ocrtati
delineation	ocrtavanje
delinquency	delinkvencija
delinquent	delinkvent
delirious	bunovan
delirium	delirijum
deliver	dostaviti
deliverance	oslobođenje
delivery	dostava
dell	šumovita dolina
delta	delta
delude	varati
deluge	potop
delusion	obmana
delusional	u zabludi
deluxe	luksuzan
delve	kopati
demand	zahtijevajte
demanding	zahtjevan
demeaned	demeaned
demeaning	ponižavajućim
demeanor	ponašanje
demented	lud
dementia	demencija
demise	smrt
demo	demo
democracy	demokratija
democrat	demokrat
democratic	demokratski
demographic	demografski
demolish	rušiti
demolished	srušen
demolition	rušenje
demon	demon
demonic	demonski
demonstrable	dokazati
demonstrate	pokazati
demonstrated	pokazao
demonstrating	koji pokazuju
demonstration	demonstracija
demonstrative	pokazni
demonstrator	demonstrant
demoralized	demoraliziran
demos	demos
demure	stidljiv
den	NO TRANSLATION
deniability	deniability
denial	poricanje
denied	odbijen
denim	traper
denomination	vjeroispovijest
denominational	sektaški
denominator	nazivnik
denote	označiti
denounce	otkazati
dense	gust
density	gustoća
dent	utiskivati
dental	zubni
dentist	stomatolog
dentistry	stomatologija
dentists	stomatolozi
denunciation	prijava
deny	poreći
denying	uskraćivanje
deodorant	dezodorans
depart	odstupiti
departed	pokojni
department	odjel
departmental	odsjek
departure	odlazak
depend	zavisiti
dependable	pouzdan
dependant	zavisan
dependence	zavisnost
dependency	zavisnost
dependent	zavisan
depict	opisati
depicting	prikazom
depletion	trošenje
deplorable	jadan
deplore	žaliti
deploy	razviti
deployment	razvoj
deport	protjerati
deportation	deportacija
depose	svrgnuti
deposit	depozit
depositary	spremište
deposition	taloženje
depository	spremište
depot	depo
depraved	lišen
depravity	izopačenost
depreciate	podcijeniti
depreciated	amortiziraju
depreciation	deprecijacija
depress	pritisnuti
depressed	depresivno
depressing	depresivan
depression	depresija
depressive	depresivna
depresson	NO TRANSLATION
deprivation	lišavanje
deprive	lišiti
deprived	lišen
depth	dubina
deputy	zamjenik
derail	izbaciti iz kolosjeka
deranged	poremećen
derelict	napušten
derision	ismijavanje
derivation	derivacija
derivative	derivat
derive	izvući
dermal	kožni
dermatologist	dermatolog
dermatology	dermatologija
derogation	umanjenje
derogatory	ponižavajući
descend	sići
descendant	potomak
descendent	NO TRANSLATION
descending	silazni
descent	silazak
describe	opisati
description	opis
descriptive	opisni
desecrate	oskrnaviti
desecration	skrnavljenje
desert	pustinja
deserted	napušten
deserter	dezerter
desertion	napuštanje
deserve	zaslužiti
deserved	zasluženo
deserving	zaslužen
design	dizajn
designate	odrediti
designated	određen
designation	oznaka
designed	konstruiran
designer	dizajner
designing	projektiranje
desirability	želja
desirable	poželjan
desire	želja
desiring	žele
desirous	željan
desist	prestati
desk	stol
desolate	opustošiti
desolation	pustošenje
despair	očajavati
despairing	očajnički
despatch	otpremanje
desperado	razbojnik
desperate	očajan
desperation	očajanje
despicable	dostojan prezira
despise	prezirati
despondent	utučen
despotic	despotski
despotism	despotizam
dessert	desert
destination	odredište
destined	predodređen
destiny	sudbina
destitute	siromašan
destroy	uništiti
destroyed	uništen
destroyer	razarač
destroying	uništavanje
destruct	uništiti
destruction	razaranje
destructive	destruktivno
detach	odvojiti
detached	odvojen
detachment	odred
detail	detalj
detailed	detaljan
details	detalji
detain	zadržati
detainee	pritvorenik
detect	otkriti
detectable	prepoznatljiv
detection	otkrivanje
detective	detektiv
detector	detektor
detention	zadržavanje
deter	zadržavati
detergent	deterdžent
deteriorate	pogoršati
deteriorated	pogoršalo
deteriorating	pogoršanje
deterioration	pogoršanje
determinable	opredjeljiv
determinate	odlučan
determination	odlučnost
determine	odrediti
determined	odlučan
deterrent	zastrašujući
detest	mrziti
detestation	detestation
detonate	eksplodirati
detonation	detonacija
detonator	detonator
detour	obilazak
detract	umanjiti
detriment	šteta
detrimental	štetan
detritus	krš
deuce	dvojka
deutschmark	njemačka
devalued	podcijenjena
devastate	opustošiti
devastated	razoren
devastating	poražavajući
devastation	pustoš
develop	razviti
developer	razvijač
developing	razvoju
development	razvoj
deviant	devijantan
deviate	odstupati
deviating	odstupa
deviation	devijacija
device	uređaj
devil	vrag
deviled	deviled
devilish	vraški
devious	neiskren
devise	smisliti
devoid	lišen
devolution	pogoršavanje vrste
devolve	dopasti
devote	posvetiti
devoted	posvećen
devotee	ljubitelj
devotion	odanost
devotional	molitveni
devour	proždirati
devout	pobožan
dew	rosa
dexter	desni
dexterity	spretnost
dextrose	dekstroza
diabetes	dijabetes
diabetic	dijabetičar
diabolical	dijaboličan
diagnose	postaviti dijagnozu
diagnosis	dijagnoza
diagnostic	dijagnostički
diagnostics	dijagnostika
diagonal	dijagonala
diagram	dijagram
dial	nazvati
dialect	dijalekt
dialectic	dijalektika
dialogue	dijalog
dialysis	dijaliza
diameter	promjer
diamond	dijamant
diamonds	karo
diaper	pelena
diaphragm	dijafragma
diarrhea	proljev
diarrhoea	proljev
diary	dnevnik
diatribe	klevetnički govor
dib	NO TRANSLATION
dibs	pare
dice	kocke
dicey	kockast
dichotomous	dihotomna
dichotomy	Dihotomija
dick	kurac
dickhead	kurvin sin
dicks	dicks
dictate	diktirati
dictation	diktat
dictator	diktator
dictatorial	diktatorski
dictatorship	diktatura
diction	dikcija
dictionary	rječnik
dictum	NO TRANSLATION
didactic	poučan
diddle	ismijavati
die	NO TRANSLATION
died	umro
diesel	dizel
diet	dijeta
dietary	dijeta
differ	razlikuju
difference	razlika
differences	Razlike
different	drugačiji
differential	diferencijal
differentiation	diferencijacija
differently	različito
