Word	eu
damsel	neskatxa
dance	dantza
dancer	dantzari
dancing	dantzan
dandruff	dandruff
dandy	dandy
danger	arriskuan
dangerous	arriskutsua
dangerously	arriskutsuan
dangit	NO TRANSLATION
dangle	dangle
dank	NO TRANSLATION
dapper	dapper
dare	ausartzen
daredevil	daredevil
daresay	esango
daring	ausartenak
dark	iluna
darken	ilundu
darkened	iluntzen
darkly	darkly
darkness	iluntasuna
darkroom	Darkroom
darkside	alde iluna
darling	laztana
darn	darn
dart	dardoak
dash	etenaren
dashboard	Arbel
dashed	marratxodun
dashing	dashing
dastardly	dastardly
data	datuak
database	datu-basea
date	data
datenight	NO TRANSLATION
daughter	alaba
dawdle	dawdle
dawn	egunsentian
dawned	atarian
day	egun
daybreak	Egunsentian
daycare	daycare
daydream	daydream
daydreaming	daydreaming
daylight	egunez
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	egunez
daze	daze
dazed	zorabiatu
dazzle	dazzle
dazzling	liluragarri
deacon	Deacon
deactivate	desaktibatzeko
dead	hildako
deadbeat	deadbeat
deadline	epemuga
deadlines	epeak
deadlock	blokeatuta
deadly	hilgarria
deaf	gor
deafening	deafening
deafness	gortasuna
deal	tratua
dealer	dealer
dealership	kontzesionario
dealing	aurre
dealings	harremanen
dean	dean
dear	maitea
dearest	Maitea
dearth	dearth
death	heriotza
deathbed	deathbed
deathly	deathly
debacle	debacle
debased	debased
debatable	eztabaidagarria
debate	eztabaida
debauchery	debauchery
debenture	obligazio
debilitating	debilitating
debit	zordunketa
debrief	debrief
debriefing	debriefing
debris	hondakinak
debt	zor
debtor	zordun
debut	debut
debutante	debutante
decade	hamarkada
decadence	gainbehera
decadent	dekadente
decaf	decaf
decanter	decanter
decathlon	Decathlon
decay	desintegrazio
decayed	decayed
decaying	Laneko
deceased	hildakoaren
decedent	decedent
deceit	iruzur
deceitful	deceitful
deceive	engainatzen
deceived	engainatu
deceiving	engainatzen
december	abenduaren
decency	decency
decent	duina
deception	Iruzurra
deceptive	engainagarria
decide	erabakitzeko
decidedly	decidedly
deciduous	hostogalkor
decimal	hamartarrekin
decimeter	decimeter
decipher	argitu
decision	Erabaki
decisive	erabakigarri
deck	bizkarreko
declaration	adierazpena
declaratory	declaratory
declare	deklaratzen
declination	deklinazioa
decline	gainbehera
declining	gainbeheran
deco	deco
decode	deskodetu
decoder	deskodetzailea
decompose	deskonposatzen
decomposed	deskonposatu
decomposition	deskonposizio
decompress	deskonprimitu
decompression	deskonpresio
decontamination	deskontaminazio
decor	dekorazioa
decorate	apaintzeko
decorating	apaintzeko
decoration	apainketa
decorative	apaingarri
decorator	dekoratzaileak
decorum	decorum
decoy	decoy
decrease	txikitzeko
decreased	jaitsi
decreasing	jaitsiz
decree	dekretu
decrement	txikitze
decrepit	zaharkituaren
decry	kondenatzen
decryption	deszifratzeko
dedicate	eskainiko
dedication	dedikazio
deduce	ondorioztatu
deduct	kendu
deductible	kengarriak
deduction	kenkaria
deed	eskriturak
deejay	deejay
deem	iritzitako
deep	sakona
deepen	sakontzea
deer	orein
defamation	difamazio
defamatory	defamatory
default	lehenetsi
defeat	porrot
defeated	garaitu
defeatist	defeatist
defect	akatsa
defection	joateagatik
defective	akastuna
defector	defector
defend	defendatzeko
defendant	salatua
defended	defendatu
defender	defender
defending	defendatzeko
defense	defentsa
defenseless	defentsarik
defensible	defensible
defensive	defentsarako
defer	atzeratu
deference	begirunez
deferral	atzerapena
deferring	deferring
defiance	DEFIANCE
defiant	defiant
defibrillator	desfibriladore
deficiency	gabezia
deficient	eskasak
deficit	defizita
define	definitu
defined	definitu
definite	definitua
definition	definition
definitive	betiko
deflate	Deflate
deflation	deflazioa
deflect	deflect
deflection	deflection
defloration	defloration
deform	deformatze
deformed	deformatu
deformity	deformazioa
defraud	iruzurra
defray	ordaintzeko
defrost	defrost
deft	deft
defunct	desagertuta
defuse	defuse
defy	defy
degeneracy	degeneracy
degenerate	endekatua
degeneration	endekapen
degradation	degradazioa
degrade	jeitsi
degraded	degradatutako
degrading	umiliagarririk
degree	Gradu
dehydrated	deshidratatu
dehydration	deshidratazioa
dejected	lur jota
delay	atzerapenik
delayed	atzeratua
delectable	delectable
delegate	delegatua
delegation	ordezkaritza
delete	ezabatu
deleterious	deleterious
deletion	ezabatzeko
deli	delicatessen
deliberate	nahita
deliberation	eztabaidatu
deliberative	eztabaida
delicacy	jaki
delicate	delikatuak
delicatessen	delicatessen
delicious	gozoak
delight	gozamenerako
delighted	poz-pozik
delightful	ederra
delineate	delineate
delineation	delineazio
delinquency	delinkuentzia
delinquent	berankorren
delirious	zoroak
delirium	Delirium
deliver	entregatu
deliverance	Deliverance
delivery	entrega
dell	dell
delta	delta
delude	delude
deluge	deluge
delusion	delusion
delusional	delusional
deluxe	luxuzko
delve	murgilduko
demand	eskaria
demanding	zorrotzak
demeaned	demeaned
demeaning	demeaning
demeanor	demeanor
demented	zoro
dementia	dementzia
demise	desagertu
demo	demo
democracy	demokrazia
democrat	demokrata
democratic	demokratikoan
demographic	demografikoa
demolish	eraisteko
demolished	eraitsi
demolition	eraispen
demon	Deabru
demonic	deabruzko
demonstrable	frogagarria
demonstrate	frogatu
demonstrated	frogatu
demonstrating	erakusteko
demonstration	manifestazioa
demonstrative	erakusleak
demonstrator	manifestari
demoralized	demoralized
demos	demoak
demure	demure
den	NO TRANSLATION
deniability	deniability
denial	ukatzea
denied	ukatu
denim	bakero
denomination	deitura
denominational	konfesionala
denominator	izendatzaile
denote	adierazteko
denounce	salatzeko
dense	trinko
density	dentsitate
dent	dent
dental	hortz
dentist	dentista
dentistry	odontologia
dentists	argazkilariak
denunciation	Salaketak
deny	ukatzeko
denying	ukatuz
deodorant	desodorantea
depart	irteten
departed	irtenda
department	Sail
departmental	sailen
departure	irteera
depend	mendekoak
dependable	Fiare
dependant	menpeko
dependence	menpekotasun
dependency	mendekotasun
dependent	menpeko
depict	irudikatzeko
depicting	irudikatzeko
depletion	agortzea
deplorable	deitoragarria
deplore	deitoratu
deploy	zabaldu
deployment	hedatzea
deport	deport
deportation	deportazioa
depose	Déposées
deposit	gordailua
depositary	gordailuzain
deposition	metaketa
depository	gordailuzaina
depot	biltegi
depraved	depraved
depravity	depravity
depreciate	depreciate
depreciated	amortizatuta
depreciation	amortizazio
depress	jota
depressed	lur jota
depressing	etsigarriak
depression	depresioa
depressive	depresio
depresson	NO TRANSLATION
deprivation	gabezia
deprive	pobretu
deprived	kenduko
depth	sakonera
deputy	diputatu
derail	derail
deranged	deranged
derelict	bilakatu
derision	iseka
derivation	deribazio
derivative	eratorria
derive	ondorioz
dermal	dermal
dermatologist	Dermatologoa
dermatology	dermatologian
derogation	salbuespen
derogatory	derogatory
descend	jaitsi
descendant	ondorengoa
descendent	NO TRANSLATION
descending	beherantz
descent	jaitsiera
describe	deskribatzea
description	azalpena
descriptive	deskriptiboa
desecrate	lohituenak
desecration	profanazioa
desert	basamortuko
deserted	desertu
deserter	deserter
desertion	desertzioa
deserve	merezi
deserved	merezitako
deserving	merezi
design	diseinua
designate	izendatzeko
designated	izendatutako
designation	izendapen
designed	diseinatu
designer	diseinatzaile
designing	diseinatzen
desirability	komeni
desirable	Komenigarria
desire	nahia
desiring	seguritate
desirous	desiratzen
desist	desist
desk	mahaian
desolate	suntsituta
desolation	hondamena
despair	etsipen
despairing	despairing
despatch	sarrerak
desperado	desperado
desperate	etsi
desperation	etsipena
despicable	zital
despise	mespretxatzen
despondent	despondent
despotic	despotic
despotism	despotismoa
dessert	postrea
destination	helmuga
destined	bideratu
destiny	patu
destitute	destitute
destroy	suntsitu
destroyed	deuseztatu
destroyer	destruktoreak
destroying	suntsituz
destruct	destruct
destruction	suntsipena
destructive	suntsitzailea
detach	deskonektatzea
detached	askatuta
detachment	urruntze
detail	Xehetasun
detailed	zehatza
details	Xehetasunak
detain	atxilotzen
detainee	atxilotuaren
detect	detektatzeko
detectable	atzeman
detection	detektatzeko
detective	detektibe
detector	detektagailu
detention	atxiloketa
deter	jakitea
detergent	detergente
deteriorate	hondatzen
deteriorated	txarrera
deteriorating	hondatzen
deterioration	hondatzea
determinable	determinagarria
determinate	zehatz
determination	determinazio
determine	zehaztu
determined	zehaztu
deterrent	disuasio
detest	gorrotatu
detestation	gorrotoa
detonate	detonate
detonation	eztanda
detonator	lehergarri
detour	desbideratzea
detract	gutxietsi
detriment	kalterako
detrimental	kaltegarria
detritus	detritus
deuce	deuce
deutschmark	markora
devalued	devalued
devastate	devastate
devastated	suntsitutako
devastating	suntsitzaileak
devastation	suntsiketak
develop	garatzea
developer	sustatzailearen
developing	garatzeko
development	garapena
deviant	galduan
deviate	desbideratu
deviating	deviating
deviation	desbideraketa
device	gailu
devil	deabrua
deviled	deviled
devilish	devilish
devious	Devious
devise	asmatu
devoid	gabekoa
devolution	gaitzustea
devolve	devolve
devote	eskaintzeko
devoted	dedicado
devotee	devotee
devotion	debozio
devotional	deboziozko
devour	irentsi
devout	elizkoia
dew	ihintza
dexter	dexter
dexterity	trebezia
dextrose	dextrose
diabetes	diabetes
diabetic	diabetikoa
diabolical	diabolical
diagnose	diagnostikoa
diagnosis	diagnostikoa
diagnostic	diagnostiko
diagnostics	diagnostiko
diagonal	diagonal
diagram	diagram
dial	markatu
dialect	euskalki
dialectic	dialektika
dialogue	elkarrizketa
dialysis	dialisia
diameter	diametroa
diamond	diamantea
diamonds	diamante
diaper	diaper
diaphragm	diafragma
diarrhea	beherakoa
diarrhoea	beherakoa
diary	egunkari
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	dado
dicey	dicey
dichotomous	dikotomiko
dichotomy	dikotomia
dick	Dick
dickhead	dickhead
dicks	dicks
dictate	dictate
dictation	diktaketa
dictator	diktadore
dictatorial	diktatoriala
dictatorship	diktadura
diction	diction
dictionary	hiztegia
dictum	NO TRANSLATION
didactic	didaktikoa
diddle	diddle
die	NO TRANSLATION
died	hil
diesel	diesel
diet	dieta
dietary	dieta
differ	datoz
difference	aldea
differences	desberdintasunak
different	ezberdinak
differential	diferentziala
differentiation	desberdintzea
differently	ezberdina
differing	desberdinak
difficult	zaila
difficulties	zailtasunak
difficulty	zailtasun
diffuse	hedatu
diffusion	zabalkunde
dig	NO TRANSLATION
digest	digest
digestion	digestioa
digestive	digestio
digit	digitua
digital	Digitala
dignified	duina
dignify	duintasuna
dignity	duintasuna
digress	digress
digs	indusketa
dike	dike
dilapidated	kalamastran
dilatation	dilatation
dilation	dilatazioan
dildo	Errea
dilemma	dilema
diligence	arduraz
diligent	arduratsuan
dill	aneta
diluent	diluent
dilute	arinduko
diluted	diluitu
dilution	diluzio
dim	iluntzeko
dime	dime
dimension	dimentsioa
dimensional	dimentsioko
diminish	murriztu
diminished	gutxitu
diminution	gutxitze
diminutive	txikigarria
dimwit	dimwit
din	NO TRANSLATION
dine	afaldu
diner	afari
dinghy	baltsako
dingo	dingo
dingy	dingy
dining	jangelako
dinky	dinky
dinner	afaria
dinnertime	afaltzeko ordua
dinosaur	dinosauro
dint	dint
diocesan	elizbarrutiko
diocese	elizbarrutia
diorama	diorama
dioxide	dioxidoa
dip	Manteo
diploma	diploma
diplomacy	diplomazia
diplomat	diplomatiko
diplomatic	diplomatikoak
dipper	zozoa
dippy	dippy
dipstick	dipstick
dire	NO TRANSLATION
direct	zuzeneko
directed	zuzendu
direction	norabidea
directive	zuzentaraua
directly	zuzenean
director	zuzendaria
directory	direktorioa
dirt	zikinkeria
dirty	zikinak
disability	ezintasuna
disable	ezgaitu
disabled	desgaituta
disadvantage	desabantaila
disaffected	disaffected
disagree	ados
disagreeable	ezatsegina
disagreeing	desadostasuna
disagreement	desadostasuna
disallow	onartzeko
disallowed	debekatu
disapointment	NO TRANSLATION
disappear	desagertu
disappearance	desagerpena
disappearing	desagertzeko
disappoint	huts egin
disappointed	etsita
disappointing	etsipena
disappointment	berriz
disapproval	gaitzespena
disapprove	gaitzetsi
disapproved	gaitzetsi
disapproving	disapproving
disarm	desarmatzeko
disarray	disarray
disaster	Hondamendi
disastrous	penagarria
disband	desagertuko
disbelief	sinesgaitza
disbelieve	sinesten
disburse	disburse
disbursement	ordainketa
disc	diskoa
discard	baztertu
discarded	baztertu
discards	baztertzeko
discern	bereizten
discernible	discernible
discerning	discerning
discernment	ulertu
discharge	alta
disciple	dizipulua
disciplinary	diziplina
discipline	diziplina
disciplined	diziplina
disclaim	uko
disclaimer	disclaimer
disclose	ezagutzera
disclosed	kontuetarako
disclosure	dibulgazioa
disco	disco
discoloration	discoloration
discolored	discolored
discomfort	deserosotasuna
disconcerted	asaldatu
disconcerting	nahasgarria
disconnect	deskonektatzeko
disconnected	deskonektatu
disconnection	deskonektatzeko
disconnects	deskonektatu
discontent	discontent
discontinuance	discontinuance
discontinue	etetea
discontinuity	eza
discontinuous	etena
discord	discord
discount	deskontua
discounted	kenduz
discourage	disuasio
discouraged	gomendagarria
discouragement	discouragement
discouraging	discouraging
discourse	diskurtsoa
discover	ezagutzeko
discovery	aurkikuntza
discredit	aipua
discredited	discredited
discreet	NO TRANSLATION
discrepancy	desadostasun
discrete	diskretuak
discretion	diskrezioa
discretionary	diskrezionala
discriminate	diskriminatu
discriminating	Diskriminaziozko
discrimination	diskriminazioa
discus	eztabaida
discuss	eztabaidatu
discussion	eztabaida
disdain	disdain
disdainful	disdainful
disease	gaixotasunak
diseased	gaixotutako
disembodied	disembodied
disengage	arintzera
disengagement	disengagement
disfigured	desitxuratuta
disgrace	lotsagarria
disgraced	disgraced
disgraceful	lotsagarria
disgruntled	disgruntled
disguise	mozorrotzeko
disguised	mozorrotua
disgust	nazka
disgusted	atsekabetu
disgusting	disgusting
dish	plater
disheartened	disheartened
disheartening	negargarria
dishonest	petrala
dishonesty	dishonesty
dishonor	desohorea
dishonorable	lotsagarria
dishwasher	ontzi-garbigailu
disillusionment	desengainuaren
disinclination	disinclination
disincline	disincline
disinclined	disinclined
disinfect	desinfektatzeko
disinfectant	desinfektatzaile
disinfection	desinfekzio
disinformation	desinformazio
disingenuous	disingenuous
disintegrate	desegiten
disintegration	desegituraketa
disinterested	disinterested
disjoint	disjuntu
disjointed	disjointed
disjunctive	disjuntiboan
disk	diskoan
diskette	diskete
dislike	Dislike
disliked	Gustukoak
disliking	disliking
dislocated	dislocated
dislocation	lokadura
dislodge	dislodge
disloyal	disloyal
disloyalty	disloyalty
dismal	berriz
dismantle	desmuntatu
dismay	jarriz
dismayed	dismayed
dismemberment	desegin
dismiss	baztertu
dismissal	kaleratzea
dismissive	mespretxua
dismount	dismount
disobedience	desobedientzia
disobedient	disobedient
disobey	obeditzen
disorder	nahaste
disordered	nahastuta
disorderly	disorderly
disorganized	disorganized
disorientation	desorientazioa
disoriented	disoriented
disown	uko
disparage	gutxietsi
disparaging	disparaging
disparate	disparate
disparity	desberdintasuna
dispassionate	dispassionate
dispatch	bidalketa
dispatcher	aztergailu
dispel	uxatu
dispensary	anbulatorioa
dispensation	dispensation
dispense	dispense
dispenser	automatiko
dispersal	sakabanaketa
disperse	sakabanatu
dispersed	sakabanatua
dispersion	sakabanaketa
dispirited	dispirited
displace	Desplazatu
displaced	lekualdatu
displacement	desplazamendu
displacency	displacency
display	pantaila
displease	displease
displeased	haserre
displeasure	nahigabea
disposable	botatzekoak
disposal	eskura
dispose	bota
disposed	bota
disposition	xedapen
dispossessed	dispossessed
disprove	disprove
dispute	gatazka
disqualification	kanporatu
disqualified	kanporatua
disqualify	sarietatik
disquieted	urduritzen
disregard	Kontuan izanik
disregarded	galdu
disrelish	disrelish
disreputable	disreputable
disrepute	disrepute
disrespect	disrespect
disrespectful	disrespectful
disrupt	eten
disrupting	disrupting
disruption	etenaldiak
disruptive	kalteak
dissatisfaction	atsekabea
dissatisfied	dissatisfied
dissect	disekzionatzen
dissection	disekzio
disseminate	zabaltzea
dissemination	zabalkundea
dissension	dissension
dissent	desadostasuna
dissenting	dissenting
dissertation	tesia
disservice	disservice
dissident	disidente
dissimilar	desberdinak
dissipate	xahutzen
dissipated	xahutzen
dissociation	disoziazio
dissociative	dissociative
dissolution	disoluzioa
dissolve	desegiteko
dissonance	disonantzia
dissuade	dissuade
distal	distal
distance	distantzia
distant	urrutiko
distaste	distaste
distasteful	distasteful
distillate	distillate
distillation	destilazioa
distilled	distilatu
distinct	desberdin
distinction	bereizketa
distinctive	bereizgarria
distinguish	bereizteko
distinguishable	bereizten
distinguished	bereizten
distinguishing	bereizgarria
distort	desitxuratzen
distorted	desitxuratu
distortion	distortsioa
distract	oharkabetu
distracted	arreta
distracting	distracting
distraction	distrazio
distraught	distraught
distress	apuros
distressed	distressed
distressing	distressing
distribute	banatu
distribution	banaketa
distributor	banatzaile
district	auzoan
distrust	mesfidantza
disturb	trabarik
disturbance	traba
disturbed	asaldatu
disturbing	kezkagarria
disuse	erabili gabe
disused	hutsetan
ditch	zanga
ditto	Ditto
ditty	ditty
diurnal	eguneko
diva	Diva
divan	NO TRANSLATION
dive	murgiltzeko
diver	urpekari
diverge	datoz
divergence	dibergentzia
divergent	dibergentea
diverging	ezberdinak
divers	urpekariak
diverse	anitza
diversified	dibertsifikatua
diversify	dibertsifikatzeko
diversion	desbideratzea
diversionary	diversionary
diversity	aniztasuna
divert	desbideratzea
diverting	desbideratu
divest	divest
divested	divested
divestment	desinbertsio
divide	arraila
divided	banatzen
dividend	dibidendu
divination	divination
divine	jainkozko
divinity	jainko
divisible	zatitu
division	zatiketa
divisor	zatitzaile
divorce	dibortzio
divorcee	divorcee
divulge	zabaltzea
divvy	divvy
dizziness	zorabioak
dizzy	zorabiatuta
do	ez
doable	doable
doc	doc
docile	docile
dock	kaia
docked	atrakatu
docket	docket
docking	atrakatzeko
doctor	medikua
doctorate	doktoretza
doctrinal	doktrina
doctrine	doktrina
document	dokumentu
documentary	dokumentala
documentation	dokumentazioa
documents	dokumentuak
dodge	sahiestu
dodger	dodger
dodging	dodging
dodgy	dodgy
dodo	dodo
doe	doe
doer	doer
dog	txakur
dogface	dogface
dogged	dogged
doggy	doggy
doghouse	doghouse
dogma	dogma
dogmatic	dogmatikoa
dogsick	NO TRANSLATION
doings	egintza
doit	NO TRANSLATION
dojo	dojo
doldrums	doldrums
dole	langabezian
doll	panpina
dollar	dolarra
dollhouse	Dollhouse
dolor	NO TRANSLATION
dolphin	izurdea
domain	domeinu
dome	kupula
domestic	etxeko
domesticated	etxe-
domestication	etxekotu
domicile	egoitza
domiciled	helbideratutako
dominance	nagusitasuna
dominant	menderatzailea
dominate	menderatzeko
dominating	A.
domination	dominazioaren
dominatrix	dominatrix
dominion	dominationeric
domino	bakarka
don	don
donate	dohaintzan
donation	dohaintza
donkey	asto
donor	emaile
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	doodle
doom	infernura
doomed	kondenatuta
doomsday	eraisten
door	ate
doorbell	txirrina
doorknob	doorknob
doorman	atezain
doormat	doormat
doornail	doornail
doorstep	batzuetan
doorway	atari
dopamine	dopamina
dope	Dope
dopey	dopey
dork	dork
dorky	dorky
dorm	gela
dormant	dormant
dormitory	logela
dorsal	bizkar
dosage	dosia
dose	dosi
dossier	dossierra
dot	dot
doting	doting
dotted	zipriztindua
dotty	dotty
double	bikoitza
doubled	bikoiztu
doublet	jipoia
doubling	bikoiztu
doubt	Zalantzarik
doubtful	zalantzagarria
doubting	doubting
doubtless	ezbairik gabe
doubts	zalantzak
douche	douche
douchebags	Douchebags
dough	pasta
doughboy	doughboy
doughnut	donut
dour	dour
douse	douse
dove	usoa
down	behera
downcast	downcast
downer	downer
downfall	kondena
downfield	downfield
downhearted	Downhearted
downhill	jeitsiera
download	deskargatu
downpour	Zaparradak
downright	downright
downriver	downriver
downside	arazotxo
downtime	hutsartea
downward	beheranzko
downy	downy
dowry	dote
doze	doze
dozen	dozena
drab	drab
draft	zirriborro
drafty	drafty
drag	arrastatu
dragon	herensuge
dragonfly	Dragonfly
drain	agortzea
drainage	drainatze
drained	xukatu
draining	hustutzen
drainpipe	drainpipe
drake	drake
drama	drama
dramaqueen	NO TRANSLATION
dramatic	dramatikoa
drape	drape
drapery	drapery
drastic	zorrotzak
drat	NO TRANSLATION
draught	zirriborro
draw	marrazteko
drawback	eragozpen
drawbridge	altxagarriak
drawer	tiradera
drawers	marrazkilariak
drawing	marrazki
dread	beldur
dreaded	beldurgarria
dreadful	beldurgarri
dreadfully	ikaragarria
dreading	dreading
dream	ametsa
dreamboat	dreamboat
dreamer	ameslari
dreaming	ametsetan
dreamland	dreamland
dreams	ametsak
dreamt	amestu
dreamy	ameslaria
dreary	dreary
dredge	dredge
drenched	blaituak
dress	soineko
dresser	dresser
dressmaker	jostuna
dressy	dressy
dribble	NO TRANSLATION
dried	lehortu
drier	lehorragoa
drift	drift
drifted	drifted
drifter	drifter
driftwood	driftwood
drill	zulatzeko
drink	edaria
drinker	edale
drinking	edateko
drinks	edariak
drip	tantaka
dripping	tantaka
drive	drive
drivel	jarioa
driver	gidari
driveway	driveway
drizzle	zirimiria
droll	droll
drone	drone
drones	drones
drool	drool
drooping	drooping
droopy	droopy
drop	askatu
droplet	tantaren
dropout	utzi
dropper	dropper
drought	lehorte
drove	NO TRANSLATION
drown	ito
drowsiness	logura
drowsy	drowsy
drudgery	drudgery
drug	droga
drug dealing	droga aurre
drugged	drugged
druggist	botikarioa
drugs	drogak
drugstore	drogeria
druid	morroiak
drum	danborra
drummer	bateria-jotzailea
drumming	ZAHAR
drunk	mozkortuta
drunk driving	edan gidatzea
drunkard	mozkorra
drunken	mozkor
drunkenness	hordiqueriaz
dry	lehorra
dryer	lehorgailua
dryness	lehortasunak
dual	bikoitza
dualism	dualismo
duality	dualtasuna
dub	dub
dubious	txarreko
duchess	dukesa
duck	ahate
ducking	ducking
duckling	ahatetxo
ducky	ducky
duct	hodi
ductile	harikorra
dud	dud
dude	dude
duds	duds
due	ondorioz
duel	duelu
dues	dues
duet	duet
duffel	duffel
dugout	Kanoak
duh	duh
duke	dukeak
dull	tristea
dullard	dullard
dumb	muda
dumbasses	dumbasses
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	gezurrezko
dump	iraulketa
dumpling	dumpling
dumps	zabortegiak
dumpster	dumpster
dun	dun
dunce	dunce
dune	duna
dung	NO TRANSLATION
dungeon	ziega
dunk	dunk
duo	duo
dupe	dupe
duplex	duplex
duplicate	bikoiztu
duplication	bikoizketa
duplicity	bikoiztasun
durability	iraunkortasuna
durable	iraunkorrak
duration	iraupen
duress	duress
dusk	ilunabarrean
dusky	dusky
dust	hautsa
duster	duster
dustpan	pala
dusty	hautsez
dutiful	dutiful
duty	betebeharra
dwarf	Nano
dwarfed	nanoak
dweeb	dweeb
dwell	Ohar
dweller	dweller
dwelling	etxebizitza
dye	koloratzaile
dying	hiltzen
dyke	dike
dynamic	dinamikoa
dynamical	dinamikoak
dynamics	dinamika
dynamite	dinamita
dynamo	Dynamo
dynasty	dinastia
dysentery	dysentery
dysfunction	disfuntzio
dysfunctional	dysfunctional
dyspepsia	dyspepsia
eager	irrikaz
eagerness	nahia
eagle	arrano
ear	belarria
earful	Epaileak ondo merezitako
earl	earl
earlier	lehenago
early	goiz
earn	irabazten
earnest	serio
earnestly	serio
earnestness	earnestness
earnings	irabaziak
earpiece	entzungailu
earring	areto
earrings	belarritakoak
earshot	earshot
earth	lurra
earthenware	buztinezko
earthling	earthling
earthly	lurreko
earthquake	lurrikara
earthy	earthy
ease	arintzeko
easel	astoaren
easement	easement
easily	erraz
east	ekialdean
eastbound	eastbound
eastern	ekialdeko
easy	erraza
easygoing	easygoing
eat	jan
eater	eater
eating	jateko
eatingdisorders	NO TRANSLATION
eavesdrop	eavesdrop
eavesdropping	entzuketak
ebb	EBBko
ebony	Ebony
ebullient	ebullient
eccentric	xelebre
eccentricity	eszentrikotasuna
ecclesiastical	eliz
echelon	eCHELON
echinacea	Echinacea
echo	oihartzuna
eclectic	eklektikoa
eclipse	eklipse
ecliptic	ecliptic
ecological	ekologikoa
economic	ekonomikoa
economical	ekonomikoa
economics	ekonomia
economy	ekonomia
ecosystem	ekosistema
ecstasy	estasia
ecstatic	ecstatic
ecumenical	ecumenical
eddy	Eddy
edema	edema
edge	ertz
edging	edging
edgy	edgy
edible	jangarria
edict	ediktu
edification	Eraikinak
edifice	eraikin
edit	editatu
editing	edizio
edition	edizioa
editor	editore
editorial	editorial
educate	hezteko
educated	hezi
education	hezkuntza
educational	hezkuntzaren
educator	hezitzaile
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	eel
eerie	eerie
effect	efektu
effective	eraginkor
effectiveness	eraginkortasuna
effects	efektu
effectual	effectual
effectually	effectually
effectuate	eraginkor
effeminate	effeminate
efficacious	eraginkor
efficacy	eraginkortasuna
efficiency	eraginkortasuna
efficient	eraginkor
effigy	irudia
effort	esfortzua
effortless	effortless
effusion	effusion
effyou	NO TRANSLATION
egg	arrautza
egghead	egghead
eggnog	eggnog
eggplant	berenjena
eggshell	eggshell
ego	ego
egomaniac	egomaniac
egotistical	egoten
egregious	egregious
egress	egress
eight	zortzi
eighteen	hamazortzi
eighth	zortzigarren
eighty	laurogei
ejaculate	ejaculate
ejaculation	Prononcés
eject	egotzi
ejection	eiekzio
elaborate	prestatzerakoan
elaboration	elaborazio
elan	NO TRANSLATION
elapse	igaro
elapsed	igarotako
elastic	elastikoa
elasticity	elastikotasuna
elated	elated
elation	elation
elbow	ukondoa
eld	eld
elder	zaharrenaren
elderly	adinekoek
elders	zaharrenei
eldest	zaharrena
elect	hautatua
election	hauteskunde
elective	hautazko
elector	Hauteslearen
electoral	electoral
electorate	hauteskunde
electric	elektrikoa
electric slide	diapositiba elektrikoa
electrical	elektriko
electrician	electrician
electricity	elektrizitatea
electrify	argindarra
electrocute	electrocute
electrocution	electrocution
electromagnetic	elektromagnetikoaren
electron	elektroia
electronic	elektroniko
electronics	elektronika
elegance	dotorezia
elegant	dotore
element	elementu
elemental	elemental
elementary	oinarrizko
elements	elementu
elephant	elefante
elevate	elevate
elevated	altxatutako
elevation	kota
elevator	igogailua
eleven	hamaika
eleventh	hamaikagarren
elf	duende
elicit	elicit
eligible	jaso
eliminate	kentzeko
elimination	ezabatzea
elite	elite
elitist	elitista
elixir	elixir
elk	elk
ell	ell
ellipse	elipse
ellipsis	elipsi
ellipsoid	elipsoidearen
elliptic	eliptiko
elliptical	eliptikoa
elm	elm
elongate	luzangak
elongation	luzapena
elope	elope
eloquence	elokuentzia
eloquent	elokuenteak
elucidate	argitu
elucidation	argitu
elude	ihes
elusive	iheskorra
emaciated	emaciated
email	email
emanate	darizkio
emancipation	emantzipazio
embankment	lubeta
embargo	NO TRANSLATION
embark	ekitea
embarrass	embarrass
embarrassed	lotsatzen
embarrassing	lotsa
embarrassment	lotsa
embassy	enbaxadan
embattled	embattled
embed	embed
embellish	edertzeko
embellishment	apaingarria
embers	sua
embezzlement	embezzlement
embezzler	embezzler
emblem	ikurra
emblematic	enblematikoa
embodiment	isla
embolism	enbolia
embossed	errektifikatu
embrace	besarkatu
embroidered	bordatua
embroidery	bordatuak
embroiled	embroiled
embryo	enbrioia
embryonic	enbrioi
emcee	emcee
emerald	esmeralda
emerge	azaleratzen
emergence	sorrera
emergency	larrialdi
emeritus	emeritu
emery	Emery
emetophobia	emetophobia
emigrate	emigratzea
emigration	emigrazioa
eminence	eminence
eminent	ospetsuren
eminently	guztiz
emir	NO TRANSLATION
emissary	mezulari
emission	isuriaren
emit	igortzen
emo	eMO
emotion	emozio
emotional	emozionala
emotive	emotiboa
empathic	enpatikoa
empathize	enpatia
empathy	enpatia
