Word	pl
elevated	podniesiony
elevation	podniesienie
elevator	winda
eleven	jedenaście
eleventh	jedenasty
elf	elf
elicit	wywołać
eligible	wybieralny
eliminate	wyeliminować
elimination	eliminacja
elite	elita
elitist	elitarny
elixir	eliksir
elk	łoś
ell	łokieć
ellipse	elipsa
ellipsis	elipsa
ellipsoid	elipsoida
elliptic	eliptyczny
elliptical	eliptyczny
elm	wiąz
elongate	wydłużony
elongation	wydłużenie
elope	zbiec
eloquence	elokwencja
eloquent	wymowny
elucidate	wyjaśniać
elucidation	wyjaśnienie
elude	uniknąć
elusive	nieuchwytny
emaciated	wychudzony
email	e-mail
emanate	pochodzić
emancipation	emancypacja
embankment	wał przeciwpowodziowy
embargo	NO TRANSLATION
embark	rozpocząć
embarrass	zawstydzić
embarrassed	Zakłopotany
embarrassing	żenujący
embarrassment	zakłopotanie
embassy	ambasada
embattled	ustawiony w szyku
embed	osadzać
embellish	ozdobić
embellishment	przystrojenie
embers	żar
embezzlement	sprzeniewierzenie
embezzler	malwersant
emblem	godło
emblematic	emblematyczny
embodiment	wcielenie
embolism	embolizm
embossed	wytłaczane
embrace	uścisk
embroidered	wyszywane
embroidery	haft
embroiled	zagmatwany
embryo	zarodek
embryonic	embrionalny
emcee	mistrz ceremonii
emerald	szmaragd
emerge	pojawić się
emergence	powstanie
emergency	nagły wypadek
emeritus	emeritus
emery	szmergiel
emetophobia	emetofobia
emigrate	wyemigrować
emigration	emigracja
eminence	eminencja
eminent	wybitny
eminently	wybitnie
emir	NO TRANSLATION
emissary	emisariusz
emission	emisja
emit	emitować
emo	emo
emotion	emocja
emotional	emocjonalny
emotive	emocjonalny
empathic	empatyczny
empathize	empatyzować
empathy	empatia
emperor	cesarz
emphasis	nacisk
emphasize	podkreślać
emphatic	dobitny
emphysema	rozedma
empire	imperium
empirical	empiryczny
empiricism	empiryzm
employ	zatrudniać
employee	pracownik
employer	pracodawca
employment	zatrudnienie
emporium	emporium
empower	umożliwiać
empress	cesarzowa
emptiness	pustka
emption	emption
empty	pusty
emu	emu
emulate	naśladować
emulsion	emulsja
enable	włączyć
enablement	włączanie
enact	zarządzać
enactment	wydanie
enamel	szkliwo
encampment	obozowisko
enchant	zaczarować
enchanted	zaczarowany
enchanting	uroczy
enchantment	zachwyt
enchantress	czarodziejka
enchilada	enchilada
encircle	otaczać
encircling	okołoksiężycowy
enclave	enklawa
enclose	ująć
enclosure	załącznik
encode	kodować
encomiastic	NO TRANSLATION
encomium	chwalba
encompass	objąć
encore	NO TRANSLATION
encounter	spotkanie
encourage	zachęcać
encouraged	zachęcani
encouragement	zachęta
encouraging	zachęcający
encroach	wkraczać
encroachment	wtargnięcie
encrypt	szyfrować
encryption	szyfrowanie
encumbrance	obciążenie
encyclopedia	encyklopedia
end	koniec
end table	koniec tabeli
endanger	narazić
endangered	zagrożone
endangerment	zagrożenie
endearing	ujmujące
endeavor	dążyć
ended	zakończyło się
endemic	endemiczny
endgame	etap końcowy
ending	kończący się
endless	nieskończony
endocarditis	zapalenie wsierdzia
endorse	podpisać się
endorsement	poparcie
endow	wyposażyć
endowed	obdarowany
endowment	obdarowanie
endpapers	endpapers
endpoint	punkt końcowy
endurance	wytrzymałość
endure	znieść
enduring	cierpliwy
enema	lewatywa
enemy	wróg
energetic	energetyczny
energize	pobudzać
energy	energia
enforce	egzekwować
enforcement	egzekwowanie
enforcer	egzekutor
engage	angażować
engaged	zaręczony
engagement	zaręczynowy
engaging	ujmujący
engender	wywołać
engine	silnik
engineer	inżynier
engineering	Inżynieria
engrave	grawerować
engraved	wyryty
engraver	grawer
engraving	rytownictwo
engrossed	pochłonięty
engrossing	absorbujący
engulf	pochłaniać
enhance	wzmacniać
enhancement	wzmocnienie
enigma	enigma
enigmatic	enigmatyczny
enjoin	nakazać
enjoy	cieszyć się
enjoyable	przyjemny
enjoying	ciesząc
enjoyment	przyjemność
enlarge	powiększać
enlarged	powiększony
enlargement	rozszerzenie
enlighten	oświecać
enlightened	oświecony
enlightening	oświecający
enlightenment	oświecenie
enlist	zwerbować
enliven	ożywiać
enmity	wrogość
ennui	nuda
enormity	ogrom
enormous	ogromny
enormously	ogromnie
enraged	rozwścieczony
enrich	wzbogacać
enroll	zapisać
enrollment	rekrutacja
ensemble	ensemble
ensign	chorąży
enslave	ujarzmiać
enslaved	zniewolony
enslavement	niewola
ensue	wynikać
ensure	zapewnić
entail	pociągać za sobą
entangled	uwikłany
entanglement	splątanie
enter	wchodzić
enterprise	przedsiębiorstwo
enterprising	przedsiębiorczy
entertain	bawić
entertained	rozrywkę
entertainer	komik
entertaining	zabawny
entertainment	zabawa
enthralled	ujarzmiony
enthusiasm	entuzjazm
enthusiast	entuzjasta
enthusiastic	entuzjastyczny
entice	wabić
entire	Cały
entirety	całość
entitle	upoważniać
entity	jednostka
entomology	entomologia
entourage	otoczenie
entrails	wnętrzności
entrance	wejście
entrapment	uwięzienie
entreat	błagać
entree	danie główne
entrepreneur	przedsiębiorca
entrust	powierzać
entry	wejście
enumerate	wyliczać
enumeration	wyliczenie
envelope	koperta
envious	zazdrosny
environ	NO TRANSLATION
environment	środowisko
environmental	środowiskowy
environs	okolica
envision	wyobrazić
envoy	wysłannik
envy	zazdrość
enzyme	enzym
ephemeral	efemeryczny
ephemeris	efemerydy
epic	epicki
epidemic	epidemia
epidermis	naskórek
epidural	zewnątrzoponowe
epilepsy	padaczka
epileptic	epileptyczny
epilogue	epilog
epiphany	Święto Trzech Króli
episcopal	biskupi
episode	epizod
episodic	epizodyczny
epistle	epistoła
epitaph	epitafium
epithet	epitet
epitome	typowy przykład
epoch	epoka
equal	równy
equality	równość
equalization	wyrównanie
equalize	wyrównać
equalizer	wyrównywacz
equally	na równi
equate	zrównać
equation	równanie
equator	równik
equatorial	równikowy
equestrian	konny
equidistant	równoodległy
equilibration	równowaga
equilibrium	równowaga
equip	wyposażyć
equipment	sprzęt
equitable	sprawiedliwy
equity	sprawiedliwość
equivalence	równorzędność
equivalent	równowartość
equivocal	dwuznaczny
era	era
eradicate	wytępić
eradication	likwidacja
erase	wymazać
eraser	gumka do mazania
erasure	skasowanie
ere	NO TRANSLATION
erect	wyprostowany
erectile	wzwodny
erection	erekcja
ergo	NO TRANSLATION
erode	erodować
erosion	erozja
erotic	erotyczny
erotica	erotyka
err	błądzić
errand	zadanie
errant	błędny
erratic	niekonsekwentny
erratum	errata
erroneous	błędny
error	błąd
erst	NO TRANSLATION
erudite	erudyta
erupt	wybuchać
eruption	wybuch
escalade	escalade
escalate	zwiększać
escalating	eskalujące
escalation	eskalacja
escalator	ruchome schody
escape	ucieczka
escaped	uciekł
escarpment	skarpa
eschew	unikać
escort	eskorta
escrow	escrow
esophagus	przełyk
esoteric	ezoteryczny
especial	NO TRANSLATION
espionage	szpiegostwo
espouse	poślubić
espresso	Espresso
esprit	esprit
esquire	tytuł grzecznościowy
essay	Praca pisemna
essayist	eseista
essence	istota
essential	istotny
essentially	głównie
establish	ustalić
established	ustanowiony
establishment	ustanowienie
estate	majątek
esteem	szacunek
esteemed	ceniony
esthetic	estetyczny
estimable	godny szacunku
estimate	oszacowanie
estimation	oszacowanie
estoppel	zarzut
estranged	zirytowany
estrogen	estrogen
estuary	ujście
etch	ryć
etching	akwaforta
eternal	wieczny
eternity	wieczność
ethanol	etanol
ether	eter
ethereal	eteryczny
ethic	etyczny
ethical	etyczny
ethics	etyka
ethnic	etniczny
ethnography	etnografia
etiology	etiologia
etiquette	etykieta
etymology	etymologia
eucalyptus	eukaliptus
euchre	euchre
eugenics	eugenika
eulogistic	pochwalny
eulogium	eulogium
eulogize	wychwalać
eulogy	pochwała
euphemism	eufemizm
euphoria	euforia
euphoric	euforyk
euro	euro
euthanasia	eutanazja
evacuate	ewakuować
evacuation	ewakuacja
evade	uchylać się
evaluate	oceniać
evaluation	ocena
evanescence	efemeryczność
evangelical	ewangelicki
evangelist	ewangelista
evangelistic	ewangelizacyjny
evaporate	odparować
evaporation	odparowanie
evasion	uchylanie się
evasive	wykrętny
eve	przeddzień
evening	wieczór
evens	NO TRANSLATION
event	zdarzenie
eventful	urozmaicony
eventual	Ewentualny
eventuality	ewentualność
evergreen	zimozielony
everlasting	wieczny
evermore	nigdy
everyday	codziennie
everyman	każdy
evict	eksmitować
eviction	eksmisja
evidence	dowód
evident	oczywisty
evidentiary	dowód
evil	zło
evoke	przywołać
evolution	ewolucja
evolutionary	ewolucyjny
evolve	ewoluować
ewe	owca
ex	dawny
exacerbate	zaostrzyć
exacerbation	zaostrzenie
exact	dokładny
exacting	wymagający
exaggerate	wyolbrzymiać
exaggerated	przesadny
exaggeration	przesada
exalt	wywyższać
exaltation	egzaltacja
exalted	egzaltowany
exam	egzamin
examination	badanie
examine	zbadać
examiner	egzaminator
example	przykład
exasperated	rozdrażniony
exasperation	rozdrażnienie
excavate	wykopać
excavation	wykop
excavator	koparka
exceed	przekraczać
exceeding	nadzwyczajny
excel	przewyższać
excellence	doskonałość
excellent	doskonały
excelsior	wełna drzewna
excepting	z wyjątkiem
exception	wyjątek
exceptional	wyjątkowy
excerpt	fragment
excess	nadmiar
excessive	nadmierny
excessively	nadmiernie
exchange	Wymieniać się
excise	akcyza
excision	wycięcie
excitability	pobudliwość
excitable	pobudliwy
excitation	pobudzenie
excite	podniecać
excited	podekscytowany
excitement	podniecenie
exciting	ekscytujący
exclaim	zawołać
exclamation	okrzyk
exclude	wykluczać
excluded	wyłączony
excluding	nie licząc
exclusion	wykluczenie
exclusive	Ekskluzywny
excrement	odchody
excretion	wydalanie
excruciating	rozdzierający
excursion	wycieczka
excuse	pretekst
exec	exec
execute	wykonać
execution	wykonanie
executioner	kat
executive	wykonawczy
executor	wykonawca
exegesis	egzegeza
exemplar	wzór
exemplary	przykładowy
exemplify	egzemplifikować
exempt	zwolniony
exemption	zwolnienie
exercise	ćwiczenie
exert	wywierać
exertion	wysiłek
exhale	wydychać
exhaust	wydechowy
exhausted	wyczerpany
exhaustion	wyczerpanie
exhaustive	wyczerpujący
exhibit	eksponować
exhibition	wystawa
exhilarated	podekscytowany
exhilarating	ekscytujące
exhilaration	podekscytowanie
exhort	nawoływać
exhortation	napomnienie
exhumation	ekshumacja
exhume	ekshumować
exigent	NO TRANSLATION
exile	wygnanie
exist	istnieć
existence	istnienie
existent	istniejący
existential	egzystencjalny
existing	istniejący
exit	wyjście
exodus	exodus
exonerate	oczyścić
exorbitant	wygórowany
exorcism	egzorcyzm
exorcist	egzorcysta
exotic	egzotyczny
expand	rozszerzać
expanded	rozszerzony
expanse	przestrzeń
expansion	ekspansja
expansive	ekspansywny
expatriate	wygnaniec
expect	oczekiwać
expectance	oczekiwanie
expectancy	oczekiwanie
expectant	w ciąży
expectation	oczekiwanie
expected	spodziewany
expecting	przy nadziei
expediency	celowość
expedient	korzystny
expedite	przyśpieszyć coś
expedition	wyprawa
expeditious	szybki
expel	usunąć
expendable	przeznaczony na stracenie
expenditure	wydatek
expense	koszt
expenses	wydatki
expensive	kosztowny
experience	doświadczenie
experienced	doświadczony
experiences	wzruszenie religijne
experiment	eksperyment
experimental	eksperymentalny
experimentation	eksperymentowanie
experimenter	eksperymentator
expert	ekspert
expertise	ekspertyza
expiration	wygaśnięcie
expire	wygasać
expired	przedawniony
expiry	wygaśnięcie
explain	wyjaśniać
explanation	wyjaśnienie
explanatory	wyjaśniający
expletive	dopełniający
explication	rozwinięcie
explicit	wyraźny
explode	eksplodować
exploit	wykorzystać
exploitation	eksploatacja
exploration	badanie
exploratory	badawczy
explore	badać
explorer	poszukiwacz
explosion	eksplozja
explosions	eksplozje
explosive	materiał wybuchowy
expo	expo
exponent	wykładnik potęgowy
exponential	wykładniczy
export	eksport
exportation	wywóz
expose	expose
exposed	narażony
exposition	ekspozycja
expository	wyjaśniający
exposure	ekspozycja
expound	tłumaczyć
express	wyrazić
expression	wyrażenie
expressive	ekspresyjny
expressway	droga ekspresowa
expropriation	wywłaszczenie
expulsion	wydalenie
exquisite	znakomity
exquisitely	znakomicie
extant	pozostały
extend	poszerzać
extendable	rozszerzalny
extended	rozszerzony
extension	rozbudowa
extensive	rozległy
extent	stopień
exterior	zewnętrzny
exterminate	wyniszczać
extermination	eksterminacja
exterminator	tępiciel
external	zewnętrzny
externally	zewnętrznie
extinct	wyginąć
extinction	wygaśnięcie
extinguish	gasić
extinguisher	gaśnica
extol	wychwalać
extort	wymusić
extortion	wymuszenie
extra	dodatkowy
extract	wyciąg
extracting	ekstrahujący
extraction	ekstrakcja
extractor	ekstraktor
extracurricular	poza programem szkolnym
extradition	ekstradycja
extrajudicial	pozasądowe
extramural	zaoczny
extraneous	obcy
extraordinaire	nadzwyczajny
extraordinary	niezwykły
extraterrestrial	pozaziemski
extravagance	ekstrawagancja
extravagant	ekstrawagancki
extravaganza	ekstrawagancja
extreme	skrajny
extreme anticipation	ekstremalne przewidywanie
extreme disgust	skrajny niesmak
extreme surprise	ekstremalna niespodzianka
extreme trust	ekstremalne zaufanie
extremely	niezwykle
extremely negative	bardzo negatywny
extremely positive	bardzo pozytywny
extremity	koniec
extricate	wydobyć
extrinsic	zewnętrzny
extrusion	wyrzucenie
exuberance	wylewność
exude	wydzielać
eye	oko
eyeball	gałka oczna
eyebrow	brew
eyeful	oczko
eyeglass	monokl
eyeglasses	okulary
eyelash	rzęsa
eyelet	oczko
eyeliner	kredka do oczu
eyepiece	okular
eyes	oczy
eyesight	wzrok
eyewitness	naoczny świadek
fab	fab
fable	bajka
fabled	legendarny
fabric	tkanina
fabricate	wytwarzać
fabricated	sfabrykowany
fabrication	produkcja
fabulous	fantastyczny
facade	fasada
face	Twarz
faceless	bez twarzy
facet	aspekt
facial	twarzowy
facile	NO TRANSLATION
facilitate	ułatwiać
facility	obiekt
facing	okładzina
facsimile	podobizna
fact	fakt
faction	odłam
factor	czynnik
factory	fabryka
facts	fakty
factual	faktyczny
faculties	wydziały
faculty	Wydział
fad	chwilowa moda
fade	blaknąć
faded	wyblakłe
faeces	kał
fag	papieros
faggot	pęk
fail	zawieść
failing	w braku
failure	niepowodzenie
fain	NO TRANSLATION
faint	słaby
fainting	półomdlały
fair	targi
fairly	dość
fairness	uczciwość
fairway	farwater
fairy	wróżka
faith	wiara
faithful	wierny
faithfulness	wierność
faithless	niewierny
fake	imitacja
faker	faker
falafel	falafel
falcon	sokół
fall	spadek
fallacious	błędny
fallacy	błąd
fallback	awaryjny
fallible	omylny
falling	spadanie
fallopian	fallopian
fallout	opad
fallow	ugór
false	FAŁSZYWY
falsehood	fałsz
falsely	fałszywie
falsification	fałszowanie
falsified	sfałszowane
falsify	fałszować
falsity	fałsz
falter	wahać się
fame	sława
famed	słynny
familiar	znajomy
familiarity	znajomość
familiarize	oswajać
family	rodzina
familytime	czas dla rodziny
famine	głód
famished	głodny
famous	sławny
famously	znakomicie
fan	wentylator
fanatic	fanatyk
fanatical	fanatyczny
fanaticism	fanatyzm
fanciful	fantazyjny
fancy	fantazyjny
fandango	fandango
fanfare	fanfara
fang	NO TRANSLATION
fangs	kły
fanning	wachlarz
fantasia	fantazja
fantasize	fantazjować
fantastic	fantastyczny
fantasy	Fantazja
faraway	daleko
farce	farsa
farcical	farsowy
fare	opłata
farewell	pożegnanie
farm	gospodarstwo rolne
farmer	rolnik
farmhouse	dom wiejski
farming	rolnictwo
farmland	pole uprawne
faro	faraon
fart	pierdnięcie
farther	dalej
fascia	powięź
fascinate	fascynować
fascinated	zafascynowany
fascinating	fascynujący
fascination	fascynacja
fascism	faszyzm
fascist	faszystowski
fashion	moda
fashionable	modny
fastball	szybka piłka
fasten	przymocować
fastener	łącznik
fastening	zapięcie
fasting	poszczenie
fat	gruby
fatal	fatalny
fatalism	fatalizm
fatality	śmiertelność
fate	los
fated	skazany
fateful	fatalny
fathead	duda
father	ojciec
fatherhood	ojcostwo
fatherland	ojczyzna
fatherly	ojcowski
fathom	pojąć
fatigue	zmęczenie
fatigued	zmęczony
fatso	grubasek
fatten	dokarmiać
fatty	tłuszczowy
faucet	kran
fault	wina
faultless	bezbłędny
faulty	wadliwy
faun	faun
fauna	fauna
faux	faux
favor	przysługa
favorable	korzystny
favorite	ulubiony
favoriteholiday	NO TRANSLATION
favoritism	faworyzowanie
fawn	płowy
fax	faks
faze	NO TRANSLATION
fear	strach
feared	obawiać się
fearful	straszliwy
fearfully	ze strachem
fearing	obawiając się
fearless	nieustraszony
fears	lęki
fearsome	przerażający
feasibility	wykonalność
feasible	wykonalny
feast	uczta
feat	wyczyn
feather	pióro
feathered	pierzasty
feature	cecha
features	cechy
febrile	gorączkowy
fecal	kał
feces	kał
fecundity	płodność
fed	karmiony
federal	federalny
federation	federacja
fedup	NO TRANSLATION
fee	opłata
feeble	słaby
feed	karmić
feedback	informacje zwrotne
feeder	podajnik
feel	czuć
feelgood	czuć się dobrze
feeling	uczucie
feelingdown	NO TRANSLATION
feelinggood	NO TRANSLATION
feet	stopy
feign	udać
feigned	udawany
feisty	zadziorny
felicity	szczęście
feline	koci
fell	spadł
feller	feller
fellow	facet
fellowship	wspólnota
felon	zbrodniarz
felony	przestępstwo
felt	czułem
female	Płeć żeńska
feminine	kobiecy
femininity	kobiecość
feminism	feminizm
feminist	feminista
femme	NO TRANSLATION
femoral	udowy
femur	kość udowa
fen	NO TRANSLATION
fence	płot
fenced	ogrodzony
fencing	ogrodzenie
fend	zatroszczyć się
fender	błotnik
fennel	Koper włoski
ferment	ferment
fermentation	fermentacja
fern	paproć
ferocious	srogi
ferocity	okrucieństwo
ferret	fretka
ferry	prom
ferryboat	NO TRANSLATION
fertile	płodny
fertility	płodność
fertilize	użyźniać
fertilizer	nawóz
fervent	żarliwy
fervor	zapał
fess	fess
fest	fest
festival	festiwal
festive	uroczysty
fetal	płodowy
fetch	sprowadzać
fete	NO TRANSLATION
fetish	fetysz
fetus	płód
feud	wojna
feudal	feudalny
feudalism	feudalizm
fever	gorączka
feverish	gorączkowy
fiancee	NO TRANSLATION
fiasco	fiasko
fiat	placet
fib	bujda
fiber	błonnik
fiberglass	włókno szklane
fibrosis	zwłóknienie
fibrous	włóknisty
fickle	zmienny
fiction	fikcja
fictional	powieściowy
fictitious	fikcyjny
fiddle	skrzypce
fiddler	skrzypek
fidelity	wierność
fidgety	niespokojny
fiduciary	powiernik
field	pole
field hockey	hokej na trawie
fielder	polowy
fiend	diabeł
fiendish	szatański
fierce	dziki
fiery	ognisty
fiesta	fiesta
fiesty	NO TRANSLATION
fifteen	piętnaście
fifty	pięćdziesiąt
fig	Figa
fight	walka
fighter	wojownik
fighting	walczący
fights	walki
figment	wymysł
figurative	symboliczny
figure	postać
figurine	statuetka
filament	włókno
filamentous	nitkowaty
file	plik
filet	filet
filibuster	korsarz
filigree	filigran
filing	odkładanie do akt
filings	opiłki
fill	napełnić
filler	podsadzkarz
fillet	filet
filling	Nadzienie
filly	dzierlatka
film	film
filmmaker	filmowiec
filmy	NO TRANSLATION
filter	filtr
filth	brud
filthy	brudny
filtration	filtrowanie
fin	NO TRANSLATION
final	finał
finale	finał
finalist	finalista
finality	ostateczność
finalize	sfinalizować
finalized	sfinalizowane
finally	Wreszcie
finance	finanse
financial	budżetowy
financier	finansista
finch	zięba
find	odnaleźć
finder	znalazca
finding	odkrycie
fine	w porządku
finery	gałganek
finesse	impas
finger	palec
fingernail	paznokieć
fingerprint	odcisk palca
fingerscrossed	NO TRANSLATION
finish	koniec
finished	skończone
finite	skończone
fink	nieprzyjemny typ
fir	jodła
fire	ogień
firearm	broń palna
firearms	broń palna
fireball	kula ognia
firecracker	petarda
firefight	strzelanie
firefighter	strażak
firefly	robaczek świętojański
firehouse	Firehouse
firelight	blask ognia
fireman	strażak
fireplace	kominek
firepower	siła ognia
fireproof	ogniotrwały
fireside	kominek
firestorm	burza ognia
firewall	zapora ogniowa
firewood	drewno kominkowe
firework	sztuczne ognie
fireworks	fajerwerki
firing	ostrzał
firm	firma
firmament	firmament
firmly	mocno
firmness	jędrność
first	pierwszy
firstborn	pierworodny
firstworldprobs	NO TRANSLATION
fiscal	fiskalny
fish	ryba
fisherman	rybak
fishery	rybołówstwo
fishing	Wędkarstwo
fishing boat	Łódź rybacka
fishy	podejrzany
fissile	rozszczepialny
fission	rozszczepienie
fissure	szczelina
fist	pięść
fistfight	walka na pięści
fistful	garść
fistula	przetoka
fit	dopasowanie
fitness	zdatność
fits	pasuje
fitted	wyposażone
fitting	dopasowywanie
fittings	armatura
five	pięć
fiver	piątka
fix	naprawić
fixable	naprawialny
fixation	utrwalenie
fixed	naprawiony
fixer	utrwalacz
fixture	osprzęt
fixtures	mecze
fizz	syczeć
fjord	fiord
flabbergast	oszołomić
flabbergasted	zdumiony
flabby	wiotki
flaccid	wiotki
flag	flaga
flagging	flagi
flagpole	maszt flagowy
flagrant	rażący
flagship	sztandarowy
flagstaff	maszt
flair	talent
flak	artyleria przeciwlotnicza
flake	płatek
flaky	łuskowaty
flamboyant	kwiecisty
flame	płomień
flamethrower	miotacz ognia
flaming	ognisty
flamingo	flaming
flammable	zapalny
flan	flan
flange	kołnierz
flank	skrzydło
flanked	oflankowane
flanking	flankowanie
flannel	flanela
flap	klapka
flapping	łopotanie
flare	migotać
flares	flary
flaring	kloszowy
flash	Lampa błyskowa
flashback	wspomnienie
flashing	błyskowy
flashlight	latarka
flashy	jaskrawy
flask	kolba
flat	mieszkanie
flatbed	płaski
flatfoot	płaskostopie
flatness	płaskość
flatten	spłaszczyć
flatter	pochlebiać
flattered	pochlebia
flattering	pochlebny
flattery	pochlebstwo
flatulence	bębnica
flaunt	afiszować
flavor	smak
flaw	wada
flawed	wadliwy
flawless	bez skazy
flea	pchła
fleabag	Fleabag
fled	uciekł
flee	uciec
fleece	runo
fleet	flota
fleeting	przelotny
flesh	ciało
fleshy	mięsisty
flex	zgiąć
flexibility	elastyczność
flexible	elastyczne
flexin	flexin
flexion	zgięcie
flick	trzepnięcie
flicker	migotanie
flickering	migocący
flier	lotnik
flight	lot
flighty	lekkomyślny
flimsy	słaby
flinch	wzdrygnąć się
fling	rzucać
flint	krzemień
flip	trzepnięcie
flip flop	flip flop
flipper	płetwa
flipping	odbijanie
flirt	flirt
flirtation	flirt
flirting	flirtować
flirty	zalotne
float	pływak
floater	pływak
flock	trzoda
flog	biczować
flood	powódź
floor	piętro
flooring	posadzka
floozy	lafirynda
flop	brzdęknięcie
floppy	miękki
flora	flora
floral	kwiatowy
florist	kwiaciarz
floss	opląt
flotation	flotacja
flounder	flądra
flour	mąka
flourish	zakrętas
flow	pływ
flower	kwiat
flowering	rozkwit
flowers	kwiaty
flowery	kwiecisty
flows	przepływy
flu	grypa
fluctuate	oscylować
fluctuating	fluktuujące
fluctuation	fluktuacja
flue	przewód kominowy
fluency	płynność
fluent	biegły
fluff	puch
fluffy	puszysty
fluid	płyn
fluidity	płynność
fluke	fuks
flunk	oblać egzamin
flunky	flunky
fluorescence	fluorescencja
fluorescent	fluorescencyjny
flurries	podmuchy
flurry	poruszenie
flush	spłukać
flustered	wzburzony
flute	flet prosty
fluted	żłobiony
flutter	trzepotanie
fluvial	rzeczny
flux	strumień
fly	latać
flyboy	Flyboy
flyer	ulotka
flying	latający
flywheel	koło zamachowe
foal	źrebię
foam	piana
foaming	pieniący się
foamy	pienisty
fob	kieszonka na zegarek
focal	ogniskowy
focus	skupiać
fodder	pasza
foe	wróg
fog	mgła
foggy	mglisty
foil	folia
foiled	udaremniony
fold	zagięcie
folded	fałdowy
folder	teczka
foliage	listowie
folio	folio
folk	Ludowy
folklore	folklor
follicle	pęcherzyk
follicular	pęcherzykowy
follow	śledzić
follower	zwolennik
folly	szaleństwo
fond	czuły
fondle	pieścić
fondling	pieszczoch
fondness	sentyment
fondue	fondue
font	czcionka
food	jedzenie
foodie	smakosz
fool	oszukać
fooled	oszukany
foolhardy	nieroztropny
fooling	oszukiwanie
foolish	głupi
foolishness	głupota
foolproof	niezawodny
foot	stopa
foot stool	podnóżek
footage	nagranie
football	piłka nożna
footbridge	kładka
foothold	oparcie dla stóp
footing	stopa
footlocker	footlocker
footloose	nie skrępowany niczym
footpath	chodnik
footprint	ślad stopy
footwear	obuwie
footwork	praca nóg
fop	fircyk
forage	pasza
foray	najazd
forbearance	wyrozumiałość
forbid	zakazać
forbidding	groźny
force	siła
forced	wymuszony
forceful	forsowny
forceps	kleszcze
forces	siły
forcibly	siłą
ford	bród
fore	dziobowy
forearm	przedramię
foreboding	przeczucie czegoś złego
forecast	prognoza
forecaster	wróżka
foreclose	wykluczać
foreclosure	wykluczenie
forefathers	przodkowie
forefinger	palec wskazujący
forefront	czoło
forego	zrzec się
foregoing	powyższy
foregone	przesądzony
foreground	pierwszoplanowy
forehead	czoło
foreign	obcy
foreigner	cudzoziemiec
foreman	majster
foremost	główny
forensic	sądowy
forensics	Forensics
foreplay	gra wstępna
forerunner	prekursor
foresee	przewidywać
foreseen	przewidywany
foresight	dalekowzroczność
forest	las
forestall	uprzedzać
forethought	przezorność
foreveralone	na zawsze sam
forevermore	na zawsze
forewarned	uprzedzony
foreword	Przedmowa
forfeit	utracić
forfeited	przepadł
forfeiture	przepadek
forge	fałszować
forger	kowal
forgery	fałszerstwo
forget	zapomnieć
forgetful	zapominalski
forgetfulness	zapomnienie
forgive	przebaczyć
forgiven	wybaczony
forgiveness	przebaczenie
forgiving	wyrozumiały
forgotten	zapomniany
fork	widelec
forked	rozwidlony
forking	rozwidlenie
forklift	Wózek widłowy
forlorn	opuszczony
form	Formularz
formal	formalny
formaldehyde	formaldehyd
formalism	formalizm
formality	formalność
format	format
formation	tworzenie
formative	kształtujący
formed	powstały
formidable	potężny
forming	formowanie
formless	bezkształtny
formula	formuła
formulary	zbiór formułek
formulate	formułować
fornicate	cudzołożyć
fornication	cudzołóstwo
forsake	opuszczać
forsaken	opuszczony
forsooth	zaiste
fort	fort
forte	NO TRANSLATION
forthcoming	nadchodzący
forthright	szczery
forthwith	bezzwłocznie
fortification	fortyfikacja
fortify	ufortyfikować
fortitude	hart
fortnight	dwa tygodnie
fortnightly	dwutygodniowy
fortress	twierdza
fortuitous	przypadkowy
fortunate	szczęśliwy
fortune	fortuna
fortunes	fortuny
forty	czterdzieści
forum	forum
forward	Naprzód
forwarding	przekierowanie
fossil	skamieniałość
fossils	skamieniałości
foul	faul
found	uznany
foundation	Fundacja
founder	założyciel
founding	założenie
foundry	odlewnia
fountain	fontanna
four	cztery
fourfold	czterokrotny
foursome	czwórka
fourteen	czternaście
fourth	czwarty
fowl	ptactwo
fox	lis
foxhole	foxhole
foxtrot	fokstrot
foxy	lisi
foyer	foyer
fraction	frakcja
fractional	frakcyjny
fracture	pęknięcie
fragile	kruchy
fragility	kruchość
fragment	fragment
fragmentary	fragmentaryczny
fragrance	zapach
fragrant	pachnący
frail	wątły
frailty	słabość
frame	rama
framework	struktura
franc	frank
franchise	franczyzowa
frank	szczery
frankenstorm	NO TRANSLATION
frankness	szczerość
frantic	oszalały
frantically	frenetycznie
frat	frat
fraternal	braterski
fraternity	braterstwo
fraud	oszustwo
fraudulent	oszukańczy
fraught	brzemienny
fray	walka
frayed	postrzępiony
frazzled	oszołomiony
freak	wybryk
freaked	pstry
freakedout	NO TRANSLATION
freakingout	NO TRANSLATION
freakish	kapryśny
freakout	świrować
freaky	zakręcony
freckle	pieg
free	wolny
freebie	freebie
freedom	wolność
freehold	grunt posiadany na własność
freelance	wolny zawód
freelancer	wolny strzelec
freely	swobodnie
freeman	obywatel
freestyle	freestyle
freeway	droga wolna
freeze	zamrażać
freezer	zamrażarka
freezing	zamrażanie
freight	fracht
freighter	frachtowiec
french horn	róg francuski
frenetic	szalony
frenzied	oszalały
frenzy	szał
frequency	częstotliwość
frequent	częsty
frequently	często
fresco	fresk
fresh	świeży
