Word	ro
cumulus	cumulus
cunning	viclean
cunt	pizdă
cup	ceașcă
cupboard	dulap
cupcake	briose
cupping	ventuze
cur	javră
curable	vindecabil
curate	preot
curative	curativ
curator	custode
curb	bordură
curd	brânză dulce
cure	vindeca
curfew	stare de asediu
curiosity	curiozitate
curious	curios
curl	răsuci
curling	curling
currency	valută
current	actual
curriculum	curriculum
curry	curry
curse	blestem
cursed	blestemat
cursing	blestemare
cursory	superficial
curt	scurt
curtail	reduce
curtailment	reducere
curtain	perdea
curtains	perdele
curtsy	reverenţă
curvature	curbură
curve	curba
curved	curb
curvilinear	curbiliniu
cushion	amortiza
cushy	cushy
cusp	vârf
cuss	înjurătură
cussed	îndărătnic
custard	crema de ou
custodial	privative de libertate
custodian	custode
custody	custodie
custom	personalizat
customary	cutumiar
customer	client
customized	personalizate
cut	a taia
cutaneous	cutanat
cute	drăguţ
cuticle	cuticulă
cutie	drăguță
cutlass	cuțit de abordare
cutlery	tacâmuri
cutoff	a tăia calea
cutter	tăietor
cutters	tăietori
cutthroat	cutthroat
cutting	tăiere
cutting board	tăiere bord
cuttings	butași
cwt	CWT
cyanide	cianură
cyberspace	spațiul cibernetic
cycle	ciclu
cyclical	ciclic
cyclist	ciclist
cyclone	ciclon
cylinder	cilindru
cylindrical	cilindric
cymbal	cinel
cynic	cinic
cynical	cinic
cynicism	cinism
cyst	chist
cystic	chistic
cytomegalovirus	citomegalovirus
cytoplasm	citoplasma
czar	ţar
dab	tampona
dabble	se ocupa
dabbling	dabbling
dad	tata
daddy	tătic
dado	NO TRANSLATION
daemon	daemon
daft	zănatic
dagger	pumnal
daily	zilnic
dainty	plin de graţie
daiquiri	daiquiri
dairy	lactat
daisy	margaretă
dak	NO TRANSLATION
dale	vâlcea
dam	baraj
damage	deteriora
damaged	deteriorat
damages	daune
dame	doamnă
damn	La naiba
damnation	damnațiune
damned	al naibii
damp	umed
dampened	umezită
damper	amortizor
damsel	fată
dance	dans
dancer	dansator
dancing	dans
dandruff	mătreaţă
dandy	dandy
danger	Pericol
dangerous	periculos
dangerously	periculos
dangit	NO TRANSLATION
dangle	legăna
dank	NO TRANSLATION
dapper	spilcuit
dare	a indrazni
daredevil	temerar
daresay	indrazneste sa spui
daring	îndrăzneț
dark	întuneric
darken	întuneca
darkened	întunecat
darkly	misterios
darkness	întuneric
darkroom	camera intunecata
darkside	DarkSide
darling	dragă
darn	afurisit
dart	lance
dash	liniuță
dashboard	bord
dashed	punctată
dashing	elegant
dastardly	mişelesc
data	date
database	Bază de date
date	Data
datenight	NO TRANSLATION
daughter	fiică
dawdle	moşi
dawn	zori de zi
dawned	am dat seama
day	zi
daybreak	zori
daycare	creșă
daydream	Daydream
daydreaming	visare cu ochii deschiși
daylight	lumina zilei
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	timpul zilei
daze	uluire
dazed	ametita
dazzle	uimi
dazzling	orbitoare
deacon	diacon
deactivate	dezactivați
dead	mort
deadbeat	frânt de oboseală
deadline	termen limita
deadlines	termenele limită
deadlock	impas
deadly	mortal
deaf	Surd
deafening	asurzitor
deafness	surditate
deal	afacere
dealer	comerciant
dealership	dealer
dealing	care se ocupă
dealings	relații
dean	decan
dear	dragă
dearest	cea mai dragă
dearth	foamete
death	moarte
deathbed	patul de moarte
deathly	de moarte
debacle	dezgheț
debased	decăzut
debatable	discutabil
debate	dezbate
debauchery	depravare
debenture	obligațiune
debilitating	debilitante
debit	debit
debrief	debrief
debriefing	debriefing
debris	resturi
debt	creanţă
debtor	debitor
debut	debut
debutante	debutantă
decade	deceniu
decadence	decadenţă
decadent	decadent
decaf	cafea decafeinizată
decanter	decantor
decathlon	decatlon
decay	descompunere
decayed	stricat
decaying	putrefacție
deceased	decedat
decedent	răposat
deceit	înşelăciune
deceitful	înşelător
deceive	înşela
deceived	înșelat
deceiving	înșelător
december	decembrie
decency	decenţă
decent	decent
deception	înşelăciune
deceptive	înșelător
decide	decide
decidedly	incontestabil
deciduous	cu frunze căzătoare
decimal	zecimal
decimeter	decimetru
decipher	descifra
decision	decizie
decisive	decisiv
deck	punte
declaration	declaraţie
declaratory	declarativ
declare	declara
declination	declinaţie
decline	declin
declining	în scădere
deco	deco
decode	decodifica
decoder	decodor
decompose	descompune
decomposed	descompus
decomposition	descompunere
decompress	decomprima
decompression	decompresie
decontamination	decontaminare
decor	decor
decorate	decora
decorating	decorare
decoration	decor
decorative	decorativ
decorator	decorator
decorum	bună-cuviință
decoy	momeală
decrease	scădea
decreased	scăzut
decreasing	in scadere
decree	decret
decrement	decrementare
decrepit	ramolit
decry	bârfi
decryption	decriptarea
dedicate	dedica
dedication	dedicare
deduce	deduce
deduct	deduce
deductible	deductibile
deduction	deducere
deed	faptă
deejay	deejay
deem	considera
deep	adâncime
deepen	aprofunda
deer	cerb
defamation	defăimare
defamatory	defăimător
default	Mod implicit
defeat	înfrângere
defeated	învins
defeatist	defetist
defect	defect
defection	dezertare
defective	defect
defector	dezertor
defend	apăra
defendant	pârât
defended	apărat
defender	apărător
defending	apărarea
defense	apărare
defenseless	fără apărare
defensible	ușor de apărat
defensive	defensivă
defer	amâna
deference	deferenţă
deferral	amânare
deferring	amânând
defiance	sfidare
defiant	sfidător
defibrillator	defibrilator
deficiency	deficienta
deficient	deficient
deficit	deficit
define	defini
defined	definit
definite	definit
definition	definiție
definitive	definitiv
deflate	dezumfla
deflation	deflaţie
deflect	devia
deflection	deviere
defloration	deflorare
deform	deforma
deformed	deformat
deformity	deformare
defraud	frauda
defray	acoperi
defrost	dezgheta
deft	abil
defunct	defunct
defuse	dezamorsa
defy	sfida
degeneracy	degenerare
degenerate	degenera
degeneration	degenerare
degradation	degradare
degrade	degrada
degraded	degradat
degrading	degradant
degree	grad
dehydrated	deshidratat
dehydration	deshidratare
dejected	abătut
delay	întârziere
delayed	întârziat
delectable	delectable
delegate	delega
delegation	delegație
delete	șterge
deleterious	vătămător
deletion	ștergere
deli	delicatese
deliberate	delibera
deliberation	deliberare
deliberative	deliberativ
delicacy	delicateţe
delicate	delicat
delicatessen	delicatese
delicious	delicios
delight	încântare
delighted	Încântat
delightful	încântător
delineate	schița
delineation	conturare
delinquency	delincvenţă
delinquent	delincvent
delirious	delirant
delirium	delir
deliver	livra
deliverance	eliberare
delivery	livrare
dell	vâlcea
delta	deltă
delude	amăgi
deluge	potop
delusion	iluzie
delusional	delirante
deluxe	Deluxe
delve	se îngropa
demand	cerere
demanding	cerând
demeaned	injositi
demeaning	înjositor
demeanor	purtare
demented	dement
dementia	demenţă
demise	deces
demo	Demo
democracy	democraţie
democrat	democrat
democratic	democratic
demographic	demografic
demolish	demola
demolished	demolat
demolition	demolare
demon	demon
demonic	demonic
demonstrable	demonstrabil
demonstrate	demonstra
demonstrated	demonstrat
demonstrating	demonstrând
demonstration	demonstrație
demonstrative	demonstrativ
demonstrator	demonstrant
demoralized	demoralizat
demos	demo-uri
demure	modest
den	NO TRANSLATION
deniability	negare
denial	negare
denied	negat
denim	dril
denomination	denumire
denominational	confesional
denominator	numitor
denote	denota
denounce	denunţa
dense	dens
density	densitate
dent	adâncitură
dental	dentar
dentist	dentist
dentistry	stomatologie
dentists	stomatologi
denunciation	denunţare
deny	nega
denying	negare
deodorant	deodorant
depart	pleca
departed	dispărut
department	departament
departmental	departamental
departure	plecare
depend	depinde
dependable	demn de încredere
dependant	dependent
dependence	dependență
dependency	dependenţă
dependent	dependent
depict	descrie
depicting	ilustrând
depletion	epuizare
deplorable	deplorabil
deplore	deplora
deploy	lansa
deployment	implementare
deport	deporta
deportation	deportare
depose	destitui
deposit	depozit
depositary	depozitar
deposition	depunere
depository	depozitar
depot	depozit
depraved	depravat
depravity	depravare
depreciate	deprecia
depreciated	depreciat
depreciation	depreciere
depress	deprima
depressed	deprimat
depressing	deprimant
depression	depresiune
depressive	depresiv
depresson	NO TRANSLATION
deprivation	privațiune
deprive	priva
deprived	lipsit
depth	adâncime
deputy	adjunct
derail	deraieze
deranged	deranjat
derelict	abandonat
derision	bătaie de joc
derivation	derivare
derivative	derivat
derive	deriva
dermal	dermic
dermatologist	dermatolog
dermatology	dermatologie
derogation	derogare
derogatory	peiorativ
descend	coborî
descendant	descendent
descendent	NO TRANSLATION
descending	Descendentă
descent	coborâre
describe	descrie
description	Descriere
descriptive	descriptiv
desecrate	pângări
desecration	profanare
desert	deşert
deserted	pustiu
deserter	dezertor
desertion	dezertare
deserve	merita
deserved	meritat
deserving	merituos
design	proiecta
designate	desemna
designated	desemnat
designation	desemnare
designed	proiectat
designer	proiectant
designing	proiect
desirability	dezirabilitatea
desirable	de dorit
desire	dorință
desiring	dorind
desirous	doritor
desist	se abține
desk	birou
desolate	pustii
desolation	pustiire
despair	disperare
despairing	deznădăjduit
despatch	expediere
desperado	desperat
desperate	disperată
desperation	desperare
despicable	josnic
despise	dispreţui
despondent	descurajat
despotic	despotic
despotism	despotism
dessert	desert
destination	destinaţie
destined	predestinat
destiny	destin
destitute	sărac
destroy	distruge
destroyed	distrus
destroyer	distrugător
destroying	distruge
destruct	autodistrugere
destruction	distrugere
destructive	distructiv
detach	desprinde
detached	detașat
detachment	detaşare
detail	detaliu
detailed	detaliat
details	Detalii
detain	reține
detainee	deţinut
detect	detecta
detectable	detectabil
detection	detectare
detective	detectiv
detector	detector
detention	detenţie
deter	împiedica
detergent	detergent
deteriorate	deteriora
deteriorated	deteriorat
deteriorating	deteriorarea
deterioration	deteriorare
determinable	determinabil
determinate	determinat
determination	determinare
determine	a determina
determined	determinat
deterrent	intimidare
detest	detesta
detestation	aversiune
detonate	detona
detonation	detonaţie
detonator	detonant
detour	ocol
detract	reduce
detriment	detriment
detrimental	în detrimentul
detritus	detritus
deuce	egalitate de puncte
deutschmark	Deutschmark
devalued	devalorizat
devastate	devasta
devastated	devastat
devastating	devastator
devastation	devastare
develop	dezvolta
developer	dezvoltator
developing	în curs de dezvoltare
development	dezvoltare
deviant	deviante
deviate	se abate
deviating	se abate
deviation	deviere
device	dispozitiv
devil	diavol
deviled	deviled
devilish	diavolesc
devious	întortocheat
devise	concepe
devoid	lipsit
devolution	transfer
devolve	decurge
devote	dedica
devoted	devotat
devotee	adept
devotion	devotament
devotional	evlavios
devour	devora
devout	pios
dew	rouă
dexter	prielnic
dexterity	dexteritate
dextrose	dextroză
diabetes	Diabet
diabetic	diabetic
diabolical	diabolic
diagnose	diagnostica
diagnosis	diagnostic
diagnostic	diagnostic
diagnostics	diagnosticare
diagonal	diagonală
diagram	diagramă
dial	cadran
dialect	dialect
dialectic	dialectic
dialogue	dialog
dialysis	dializă
diameter	diametru
diamond	diamant
diamonds	caro
diaper	scutec
diaphragm	diafragmă
diarrhea	diaree
diarrhoea	diaree
diary	jurnal
diatribe	diatribă
dib	NO TRANSLATION
dibs	dibs
dice	zaruri
dicey	dicey
dichotomous	dihotomică
dichotomy	dicotomie
dick	pulă
dickhead	cretinule
dicks	penisuri
dictate	dicta
dictation	dictare
dictator	dictator
dictatorial	dictatorial
dictatorship	dictatură
diction	dicție
dictionary	dicţionar
dictum	NO TRANSLATION
didactic	didactic
diddle	căptuși
die	NO TRANSLATION
died	decedat
diesel	diesel
diet	cura de slabire
dietary	dietetic
differ	diferi
difference	diferență
differences	diferențele
different	diferit
differential	diferenţial
differentiation	diferenţiere
differently	diferit
differing	diferite
difficult	dificil
difficulties	dificultăți
difficulty	dificultate
diffuse	difuz
diffusion	difuziune
dig	NO TRANSLATION
digest	digera
digestion	digestie
digestive	digestiv
digit	cifră
digital	digital
dignified	demn
dignify	conferi o demnitate
dignity	demnitate
digress	face o digresiune
digs	NO TRANSLATION
dike	dig
dilapidated	dărăpănat
dilatation	dilatare
dilation	dilatare
dildo	vibrator
dilemma	dilemă
diligence	diligență
diligent	harnic
dill	mărar
diluent	diluant
dilute	dilua
diluted	diluat
dilution	diluare
dim	întunecos
dime	monedă de 10 cenți
dimension	dimensiune
dimensional	dimensională
diminish	diminua
diminished	diminuat
diminution	diminuare
diminutive	diminutiv
dimwit	nătâng
din	NO TRANSLATION
dine	luați masa
diner	cantină
dinghy	dinghy
dingo	Dingo
dingy	murdar
dining	mese
dinky	frumușel
dinner	cină
dinnertime	ora cinei
dinosaur	dinozaur
dint	ieșitură
diocesan	eparhială
diocese	eparhie
diorama	dioramă
dioxide	bioxid
dip	cufundare
diploma	diplomă
diplomacy	diplomaţie
diplomat	diplomat
diplomatic	diplomatic
dipper	căuș
dippy	Dippy
dipstick	joja de ulei
dire	NO TRANSLATION
direct	direct
directed	dirijat
direction	direcţie
directive	directivă
directly	direct
director	director
directory	director
dirt	murdărie
dirty	murdar
disability	incapacitate
disable	dezactivați
disabled	invalid
disadvantage	dezavantaj
disaffected	nemulţumit
disagree	dezacord
disagreeable	dezagreabil
disagreeing	dezacord
disagreement	dezacord
disallow	dezaproba
disallowed	nepermis
disapointment	NO TRANSLATION
disappear	dispărea
disappearance	dispariție
disappearing	dispărând
disappoint	dezamăgi
disappointed	dezamăgit
disappointing	dezamăgitor
disappointment	dezamăgire
disapproval	dezaprobare
disapprove	dezaproba
disapproved	respins
disapproving	dezaprobator
disarm	dezarma
disarray	dezordine
disaster	dezastru
disastrous	dezastruos
disband	dizolva
disbelief	neîncredere
disbelieve	nu crede
disburse	plăti
disbursement	plată
disc	disc
discard	renunța
discarded	aruncată
discards	aruncate înapoi în mare
discern	discerne
discernible	perceptibil
discerning	discernământ
discernment	discernământ
discharge	descărcare
disciple	discipol
disciplinary	disciplinar
discipline	disciplina
disciplined	disciplinat
disclaim	repudia
disclaimer	act de renunțare
disclose	dezvălui
disclosed	dezvăluite
disclosure	dezvăluire
disco	discotecă
discoloration	modificări de culoare
discolored	decolorat
discomfort	disconfort
disconcerted	deconcertat
disconcerting	deconcertant
disconnect	deconecta
disconnected	decuplat
disconnection	deconectare
disconnects	întrerupătoarele
discontent	nemulţumire
discontinuance	întrerupere
discontinue	întrerupe
discontinuity	discontinuitate
discontinuous	discontinuu
discord	discordie
discount	reducere
discounted	promoție
discourage	descuraja
discouraged	descurajat
discouragement	descurajare
discouraging	descurajator
discourse	discuție
discover	descoperi
discovery	descoperire
discredit	discredita
discredited	discreditat
discreet	NO TRANSLATION
discrepancy	discrepanţă
discrete	distinct
discretion	discreție
discretionary	discreționar
discriminate	deosebi
discriminating	discriminatoriu
discrimination	discriminare
discus	disc
discuss	discuta
discussion	discuţie
disdain	dispreț
disdainful	disprețuitor
disease	boală
diseased	bolnav
disembodied	fără trup
disengage	decupla
disengagement	eliberare
disfigured	desfigurat
disgrace	ruşine
disgraced	compromis
disgraceful	ruşinos
disgruntled	nemulţumit
disguise	deghizare
disguised	camuflat
disgust	dezgust
disgusted	dezgustat
disgusting	dezgustător
dish	farfurie
disheartened	abătut
disheartening	deprimant
dishonest	necinstit
dishonesty	necinste
dishonor	dezonoare
dishonorable	dezonorant
dishwasher	spalator de vase
disillusionment	deziluzie
disinclination	antipatie
disincline	îndepărta de la
disinclined	disinclined
disinfect	dezinfecta
disinfectant	dezinfectant
disinfection	dezinfectare
disinformation	dezinformare
disingenuous	necinstit
disintegrate	dezintegra
disintegration	dezintegrare
disinterested	dezinteresat
disjoint	dezarticula
disjointed	incoerent
disjunctive	disjunctiv
disk	disc
diskette	dischetă
dislike	nu-i plăcea
disliked	disliked
disliking	neplăcerea
dislocated	dislocat
dislocation	dislocare
dislodge	deplasa
disloyal	neloial
disloyalty	lipsă de loialitate
dismal	sumbru
dismantle	demonta
dismay	spaimă
dismayed	consternat
dismemberment	dezmembrare
dismiss	destitui
dismissal	concediere
dismissive	desconsiderare
dismount	demonta
disobedience	nesupunere
disobedient	neascultător
disobey	nu se supune
disorder	tulburare
disordered	dezordonate
disorderly	dezordonat
disorganized	dezorganizat
disorientation	dezorientare
disoriented	dezorientat
disown	renega
disparage	discredita
disparaging	peiorativ
disparate	disparat
disparity	disparitate
dispassionate	imparțial
dispatch	expediere
dispatcher	dispecer
dispel	risipi
dispensary	dispensar
dispensation	dispensă
dispense	distribui
dispenser	distribuitor
dispersal	împrăștiere
disperse	dispersa
dispersed	dispersat
dispersion	dispersare
dispirited	abătut
displace	deplasa
displaced	strămutate
displacement	deplasare
displacency	displacency
display	afişa
displease	nemulțumi
displeased	nemulțumit
displeasure	neplăcere
disposable	disponibil
disposal	dispoziție
dispose	dispune
disposed	dispuse
disposition	dispoziţie
dispossessed	deposedați
disprove	demonstra falsitatea
dispute	disputa
disqualification	descalificare
disqualified	descalificat
disqualify	descalifica
disquieted	alarmat
disregard	nepăsare
disregarded	ignorate
disrelish	dezgust
disreputable	infamant
disrepute	dezonoare
disrespect	lipsă de respect
disrespectful	nerespectuos
disrupt	distruge
disrupting	dislocare
disruption	perturbare
disruptive	brizant
dissatisfaction	nemulţumire
dissatisfied	nemulţumit
dissect	diseca
dissection	disecţie
disseminate	difuza
dissemination	diseminare
dissension	disensiune
dissent	disidență
dissenting	disident
dissertation	disertație
disservice	deserviciu
dissident	disident
dissimilar	diferit
dissipate	risipi
dissipated	risipit
dissociation	disociere
dissociative	disociativă
dissolution	dizolvare
dissolve	dizolva
dissonance	disonanţă
dissuade	descuraja
distal	distală
distance	distanţă
distant	îndepărtat
distaste	dezgust
distasteful	dezagreabil
distillate	distilat
distillation	distilare
distilled	distilat
distinct	distinct
distinction	distincţie
distinctive	distinctiv
distinguish	distinge
distinguishable	perceptibil
distinguished	distins
distinguishing	distinctiv
distort	denatura
distorted	deformat
distortion	deformare
distract	distrage
distracted	zăpăcit
distracting	distrage atenția
distraction	distracție
distraught	aiurit
distress	suferință
distressed	distressed
distressing	dureros
distribute	distribui
distribution	distribuire
distributor	distribuitor
district	district
distrust	neîncredere
disturb	perturba
disturbance	tulburare
disturbed	deranjat
disturbing	deranjant
disuse	neîntrebuințare
disused	deșucheat
ditch	şanţ
ditto	idem
ditty	cântec
diurnal	diurn
diva	divă
divan	NO TRANSLATION
dive	picaj
diver	scafandru
diverge	diverge
divergence	divergenţă
divergent	divergent
diverging	divergent
divers	divers
diverse	divers
diversified	diversificat
diversify	diversifica
diversion	deviere
diversionary	diversionistă
diversity	diversitate
divert	distrage
diverting	distractiv
divest	priva de
divested	cesionat
divestment	dezgolire
divide	divide
divided	împărțit
dividend	dividend
divination	divinaţie
divine	divin
divinity	divinitate
divisible	divizibil
division	diviziune
divisor	divizor
divorce	divorț
divorcee	femeie divorțată
divulge	divulga
divvy	divvy
dizziness	ameţeală
dizzy	ameţit
do	do
doable	realizabil
doc	medic
docile	docil
dock	doc
docked	andocat
docket	registru de procese
docking	andocare
doctor	doctor
doctorate	doctorat
doctrinal	doctrinal
doctrine	doctrină
document	document
documentary	film documentar
documentation	documentație
documents	documente
dodge	se eschiva
dodger	ambuscat
dodging	dodging
dodgy	dodgy
dodo	dodo
doe	căprioară
doer	făcător
dog	câine
dogface	față de câine
dogged	perseverent
doggy	căţeluş
doghouse	cusca cainelui
dogma	dogmă
dogmatic	dogmatic
dogsick	NO TRANSLATION
doings	fapte
doit	NO TRANSLATION
dojo	dojo
doldrums	demoralizare
dole	ajutor de șomaj
doll	păpuşă
dollar	dolar
dollhouse	casă de păpuși
dolor	NO TRANSLATION
dolphin	delfin
domain	domeniu
dome	dom
domestic	intern
domesticated	domesticit
domestication	domesticire
domicile	domiciliu
domiciled	domiciliul
dominance	dominanță
dominant	dominant
dominate	domina
dominating	dominator
domination	dominaţie
dominatrix	dominatrix
dominion	stăpânire
domino	domino
don	don
donate	dona
donation	donare
donkey	măgar
donor	donator
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	mâzgălitură
doom	osândă
doomed	osândit
doomsday	judecata de apoi
door	uşă
doorbell	soneria de la intrare
doorknob	clanță
doorman	portar
doormat	rogojină
doornail	doornail
doorstep	ușa
doorway	intrare
dopamine	dopamina
dope	narcotic
dopey	narcotizant
dork	dork
dorky	dorky
dorm	dormitor
dormant	inactiv
dormitory	dormitor
dorsal	dorsal
dosage	dozare
dose	doza
dossier	dosar
dot	punct
doting	senil
dotted	punctat
dotty	țicnit
double	dubla
doubled	dublat
doublet	dublet
doubling	dublare
doubt	îndoială
doubtful	îndoielnic
doubting	îndoielii
doubtless	fără îndoială
doubts	îndoieli
douche	duş
douchebags	fraieri
dough	aluat
doughboy	infanteristul
doughnut	gogoașă
dour	aspru
douse	stinge lumina
dove	porumbel
down	jos
downcast	opărit
downer	Downer
downfall	aversă
downfield	downfield
downhearted	dezamagita
downhill	la vale
download	Descarca
downpour	ploaie torenţială
downright	de-a dreptul
downriver	downriver
downside	dezavantaj
downtime	nefuncționare
downward	în jos
downy	pufos
dowry	zestre
doze	moțăi
dozen	duzină
drab	monotonie
draft	proiect
drafty	drafty
drag	trage
dragon	balaur
dragonfly	libelulă
drain	scurgere
drainage	drenaj
drained	stors
draining	drenaj
drainpipe	teava de scurgere
drake	gâscan
drama	dramă
dramaqueen	NO TRANSLATION
dramatic	dramatic
drape	decora
drapery	draperie
drastic	drastic
drat	NO TRANSLATION
draught	proiect
draw	a desena
drawback	dezavantaj
drawbridge	pod mobil
drawer	sertar
drawers	sertare
drawing	desen
dread	temut
dreaded	temut
dreadful	îngrozitor
dreadfully	respingător
dreading	dreading
dream	vis
dreamboat	dreamboat
dreamer	visător
dreaming	visare
dreamland	lumea viselor
dreams	vise
dreamt	visat
dreamy	plin de vise
dreary	mohorât
dredge	presăra
drenched	îmbibat cu apă
dress	rochie
dresser	dulap
dressmaker	croitoreasă
dressy	elegant
dribble	NO TRANSLATION
dried	uscat
drier	uscător
drift	derivă
drifted	plutit în derivă
drifter	rătăcitor
driftwood	Driftwood
drill	burghiu
drink	băutură
drinker	băutor
drinking	băut
drinks	băuturi
drip	picatură
dripping	picurare
drive	conduce
drivel	prostii
driver	conducător auto
driveway	șosea
drizzle	burniță
droll	năzdrăvan
drone	trântor
drones	drone
drool	Bale
drooping	moleşit
droopy	Droopy
drop	cădere brusca
droplet	picăturii
dropout	renunța
dropper	setter
drought	secetă
drove	NO TRANSLATION
drown	îneca
drowsiness	somnolenţă
drowsy	somnolent
drudgery	corvoadă
drug	medicament
drug dealing	trafic de droguri
drugged	drogată
druggist	farmacist
drugs	droguri
drugstore	farmacie
druid	druid
drum	Tobă
drummer	toboșar
drumming	tobele
drunk	beat
drunk driving	a conduce in stare de ebrietate
drunkard	beţiv
drunken	beat
drunkenness	beţie
dry	uscat
dryer	uscător
dryness	uscăciune
dual	dual
dualism	dualism
duality	dualitate
dub	porecli
dubious	dubios
duchess	ducesă
duck	rață
ducking	scufundare
duckling	rățușcă
ducky	bobocel
duct	conductă
ductile	ductil
dud	zdrențe
dude	Omule
duds	duds
due	datorat
duel	duel
dues	taxe
duet	duet
duffel	Duffel
dugout	pirogă
duh	zău
duke	duce
dull	plictisitor
dullard	neghiob
dumb	prost
dumbasses	dumbasses
dumbbell	halteră
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	fictiv
dump	depozit
dumpling	găluşcă
dumps	splin
dumpster	tomberon
dun	mohorât
dunce	prost
dune	dună
dung	NO TRANSLATION
dungeon	Temniță
dunk	dunk
duo	duo
dupe	găgăuță
duplex	dublu
duplicate	duplicat
duplication	dublare
duplicity	duplicitate
durability	durabilitate
durable	durabil
duration	durată
duress	lipsirea de libertate
dusk	amurg
dusky	cernit
dust	praf
duster	cârpă de praf
dustpan	faras
dusty	prăfuit
dutiful	cuminte
duty	datorie
dwarf	pitic
dwarfed	pipernicită
dweeb	dweeb
dwell	locui
dweller	locuitor
dwelling	locuinţă
dye	colorant
dying	moarte
dyke	opritoare
dynamic	dinamic
dynamical	dinamic
dynamics	dinamică
dynamite	dinamită
dynamo	dinam
dynasty	dinastie
dysentery	dizenterie
dysfunction	disfuncţia
dysfunctional	disfunctionale
dyspepsia	dispepsie
eager	dornic
eagerness	aviditate
eagle	vultur
ear	ureche
earful	earful
earl	conte englez
earlier	mai devreme
early	din timp
earn	câştiga
earnest	zelos
earnestly	serios
earnestness	seriozitate
earnings	câștig
earpiece	căștii
earring	cercel
earrings	cercei
earshot	distanță de la care se poate auzi sunet
earth	Pământ
earthenware	ceramică
earthling	pământean
earthly	pământesc
earthquake	cutremur
earthy	pământesc
ease	uşura
easel	şevalet
easement	servitute
easily	uşor
east	Est
eastbound	eastbound
eastern	de est
easy	uşor
easygoing	comod
eat	mânca
eater	mâncător
eating	mâncare
eatingdisorders	NO TRANSLATION
eavesdrop	trage cu urechea
eavesdropping	trage cu urechea
ebb	reflux
ebony	abanos
ebullient	exuberant
eccentric	excentric
eccentricity	excentricitate
ecclesiastical	bisericesc
echelon	eşalon
echinacea	echinaceea
echo	ecou
eclectic	eclectic
eclipse	eclipsă
ecliptic	ecliptic
ecological	ecologic
economic	economic
economical	economic
economics	economie
economy	economie
ecosystem	ecosistem
ecstasy	extaz
ecstatic	extatic
ecumenical	ecumenic
eddy	bulboană
edema	edem
edge	margine
edging	margine
edgy	tăios
edible	comestibil
edict	edict
edification	zidire
edifice	edificiu
edit	Editați | ×
editing	editare
edition	ediție
editor	editor
editorial	editorial
educate	educa
educated	educat
education	educaţie
educational	educational
educator	educator
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	chit
eel	Ţipar
eerie	straniu
effect	efect
effective	efectiv
effectiveness	eficacitate
effects	efecte
effectual	eficace
effectually	eficient
effectuate	efectua
effeminate	afemeiat
efficacious	eficace
efficacy	eficacitate
efficiency	eficienţă
efficient	eficient
effigy	efigie
effort	efort
effortless	fără efort
effusion	efuziune
effyou	NO TRANSLATION
egg	ou
egghead	egghead
eggnog	băutură alcoolică cu ouă, zahăr și condimente
eggplant	vânătă
eggshell	eggshell
ego	ego-ul
egomaniac	egocentric
egotistical	egotistic
egregious	extraordinar
egress	ieşire
eight	opt
eighteen	optsprezece
eighth	Al optulea
eighty	optzeci
ejaculate	exclama
ejaculation	ejaculare
eject	evacua
ejection	evacuare
elaborate	elaborat
elaboration	elaborare
elan	NO TRANSLATION
elapse	trece
elapsed	scurs
elastic	elastic
elasticity	elasticitate
elated	entuziasmat
elation	euforie
elbow	cot
eld	ELD
elder	mai mare
elderly	vârstnic
elders	bătrâni
eldest	cel mai mare
elect	alege
election	alegere
elective	electiv
elector	alegător
electoral	electoral
electorate	electoratul
electric	electric
electric slide	pliere electrică
electrical	electric
electrician	electrician
electricity	electricitate
electrify	electrifica
electrocute	electrocuta
electrocution	electrocutare
electromagnetic	electromagnetic
electron	electron
electronic	electronic
electronics	Electronică
elegance	eleganţă
elegant	elegant
element	element
elemental	elementar
elementary	elementar
elements	element
elephant	elefant
elevate	ridica
elevated	elevat
elevation	elevație
elevator	lift
eleven	unsprezece
eleventh	unsprezecelea
elf	elf
elicit	obține
eligible	eligibil
eliminate	înlătura
elimination	eliminare
elite	elită
elitist	elitistă
elixir	elixir
elk	elan
ell	cot
ellipse	elipsă
ellipsis	elipsă
ellipsoid	elipsoid
elliptic	eliptic
elliptical	eliptic
elm	ulm
elongate	alungit
elongation	elongaţie
elope	fugi
eloquence	elocvenţă
eloquent	elocvent
elucidate	elucida
elucidation	elucidare
elude	se feri
elusive	evaziv
emaciated	descărnat
email	e-mail
emanate	emana
emancipation	emancipare
embankment	terasament
embargo	NO TRANSLATION
embark	îmbarca
embarrass	a face de rusine
embarrassed	jenat
embarrassing	jenant
embarrassment	jenă
embassy	ambasadă
embattled	crenelat
embed	încorporare
embellish	înfrumuseța
embellishment	înfrumuseţare
embers	jăratic
embezzlement	delapidare
embezzler	delapidator
emblem	emblemă
emblematic	emblematic
embodiment	întruchipare
embolism	embolie
embossed	în relief
embrace	îmbrăţişare
embroidered	brodată
embroidery	broderie
