Word	lb
climb	klammen
climber	Kletterer
clinch	Ministesch
cling	zougestoen
clingy	kletesch
clinic	Klinik
clinical	klinesch
clink	Klacken
clip	Clip
clipboard	Clip
clipper	Clipper
clipping	komm
clique	NO TRANSLATION
clitoris	Klitoris
cloak	Mantel
cloaking	Klo
cloakroom	Garderob
clobber	Clobber
clock	Auer
clockwork	Auer
clod	Clod
clog	verstoppt
cloister	Klouschter
clone	Klon
cloning	Klone sinn
close	zou
closed	zou
closeness	Proximitéit
closet	Kleederschaaft
closure	zou
clot	Clot
cloth	Stoff
clothe	Kleedung
clothes	Kleedung
clothesline	Wäissrussin
clothing	Kleedung
cloud	Wolleken
clouded	ofgelaf
cloudiness	iwwerlieft
clouds	Wolleken
cloudy	wollekeg
clout	Saach ass
clove	Knuewleck
clover	Kleedung
cloves	Natiounen
clown	Clown
clowns	Klonen
club	Veräin
clubhouse	Clubhaus
clubs	Veräiner
cluck	gagack
clue	Hiweis
clueless	Kloerheet
clump	klappen
clumsy	bessen Humor
clunk	geklappt
cluster	Stärekoup
clutch	Kupplung
clutches	Kupplungen
clutter	onroueg
coach	Trainer
coachman	den Trainer
coagulation	Coagulatioun
coal	Kuel
coalesce	koalesce
coalition	Koalitioun
coarse	gräifen
coast	Küst
coastal	Küst
coaster	Aachterbunnen
coastline	Küstelinn
coat	Fell
coating	Coat
coax	coax
cobalt	Kobalt
cobble	décke Kuerf
cobbler	Schéier
cobra	Cobra
cocaine	Kokain fonnt
cock	Hunn
cockamamie	Cockamamie
cockeyed	gefuer
cockpit	Cockpit
cockroach	Kakerlak
cocksucker	cocksucker
cocktail	Cocktail
cocky	leien
cocoa	Kakao
coconut	Kokosnoss
cocoon	Kokus
cod	cod
code	code
codeine	codeine
codex	Codex
codfish	codfish
codification	Kodéierung
codify	kodifizéieren
coding	ze kodéieren
coed	cotéiert ginn
coefficient	Koeffizient
coerce	zwénge kann
coercion	Zwang ausgesat
coercive	zwangsleefeg kierperlech
coexist	coexistéiert
coexistence	Koexistenz
coexisting	ze coexistéieren
coffee	Kaffi
coffee table	Coupe Dësch
coffeehouse	Kaffi
coffeepot	Kaffispot
coffin	Sarg
cog	Zännrad
cogent	cogent
cognac	Cognac
cognate	cognate
cognition	Erlaabnes
cognitive	kognitiv sinn
cohabitation	Zesummeliewen
coherence	Kohärenz
coherent	kohärent
cohesion	Cohésioun
cohesive	zesummenhänken
cohort	cohort
coil	Spigel
coiled	gewonnen
coin	Mënz erausgesicht
coinage	Mënzgänger
coincide	korrespondéiert
coincidence	Zoufall
coincident	Zoufall
coincidental	Zoufall
coinciding	koinciding
coke	Kock
cola	cola
cold	kal
coldly	kale Krich
coldness	Kriis
coldsweat	NO TRANSLATION
coleslaw	coleslaw
colic	Colik
coliseum	Kolizeum
collaborate	zesummeschaffen
collaboration	Zesummenaarbecht
collaborator	Mataarbechter
collage	Collage
collagen	Kollagen
collapse	zerwéiert
collar	Kuerf
collarbone	Collarbon
collate	ze collattéieren
collateral	garantéieren
collation	Kollaboratioun
colleague	Kolleg
collect	sammelen
collected	gesammelt
collection	Kollektioun
collective	Kollektiv
collectively	zesumme këmmeren
collector	Sammler
college	Collège
collegiate	ze sammelen
collide	kollidéieren
collie	collie
collision	Kollisioun
collocation	Kollokatioun
colloquial	Volleksversammlung
collusion	Kollusion
cologne	Köln
colon	Colon
colonel	Colonel
colonial	Kolonial
colonic	Kolonie
colonoscopy	Kolonoskopie
colony	Kolonisatioun
colophon	Colofon
color	Faarf
coloration	Faarf
colored	faarweg
colorful	faarweg
coloring	gemoolt
colorless	ouni Faarf
colors	Faarwen
colossal	kuerzt
colt	Colt
columbine	Kolumbien
column	Kolonn
columnar	Kolonn
columnist	Kolumnist
com	NO TRANSLATION
coma	Koma
comatose	Koméit
comb	Kamm
combat	ze kämpfen
combatant	ze kämpfen
combative	kämpft
combination	Kombinatioun
combinatorial	Kombinatorial
combine	kombinéieren
combined	kombinéiert ginn
combo	Combo
combustible	brennbar
combustion	Verbrennung
come	komm
comeback	komm zeréck
comedian	Comédie
comedy	Comédie
comet	Koméit
comfort	bequem
comfortable	bequem
comforter	Tréischterin
comforting	beweegen
comfy	gemittlech
comic	Comic
comical	komesch
comics	Comics
coming	komm
comma	Comma
command	Kommando
commandant	Kommandant
commandeer	Commandeer
commander	Kommandant
commanding	Kommandant
commandment	Kommandant
commando	Kommando
commemorate	z'ënnerschreiwen
commemoration	Gedenkfeier
commemorative	Gedenkmënzen
commence	geéiert ginn
commend	gelauschtert
commendable	Pracht
commendation	Prouf
commensurate	reagéiert huet
comment	kommentéieren
commentary	commentaire
commentator	Kommentator
commerce	Commerce
commercial	kommerziell
commie	komm
commissary	kommissär
commission	Kommissioun
commissioner	Kommissär
commit	engagéieren
commitment	Engagement
committal	committal
committed	engagéiert
committee	Kommitee
commodity	Wuerzel
commodore	Commodore
common	verbreet
commoner	normaler
commonly	allgemeng
commonplace	allgemeng
commons	Commons
commonwealth	Commonwealth
commotion	Stëmmung
communal	kommunal
commune	Gemeng
communicable	z'erfëllen
communicate	kommunizéieren
communication	Kommunikatioun
communicative	kommunikativ
communicator	Kommunikator
communion	Gemeinschaft
communism	Kommunismus
communist	kommunistesch
community	Gemeinschaft
commutation	Kommutatioun
commutative	kommutativ
commute	reest
commuter	Pendler
comp	comp
compact	kompakt
compaction	ze maachen
compactness	Kompaktheet
companion	Begleeder ginn
companionless	Begleet sinn
companionship	Begleedung
company	Firma
comparable	vergläichbar ass
comparative	Comparativ
comparatively	verglach
compare	vergläicht
comparison	Verglach läit
compartment	ofgeliwwert ginn
compass	Kompass
compassion	Matgefill
compassionate	matleedeg
compatibility	Kompatibilitéit
compatible	kompatibel sinn
compel	zwéngen
compelled	gezwongen sinn
compelling	ze zwéngen
compendium	Compendium
compensate	kompenséieren
compensation	Kompensatioun
compensatory	Ausgleich
compete	konkurréiere kënnen
competence	Kompetenz
competency	Kompetenz
competent	kompetent
competition	Concours
competitive	kompetitiv sinn
competitor	Konkurrent
compilation	Kompilatioun
compile	kompiléieren
complacency	ugesat
complacent	kompetent
complain	beschwéieren
complaint	beschwéiert
complement	ergänzen
complementary	ergänzt
complete	fäerdeg sinn
completed	ofgeschloss ass
completely	komplett
completeness	Vollständegkeet
completing	ofgeschloss
completion	ofgeschloss
complex	komplex
complexed	komplexéiert sinn
complexion	Komplexioun
complexity	Komplexitéit
compliance	Konformitéit
compliant	konform
complicate	komplizéieren
complicated	komplizéiert sinn
complication	komplizéiert
complicity	Komplizitéit
compliment	NO TRANSLATION
complimentary	fräien
comply	respektéiert ginn
complying	respektéiert ginn
compo	Compo
component	Komponent
compose	ze composéieren
composed	besteet
composer	Komponist
composite	composite
composition	Kompositioun
compost	Kompost
composure	erauskommen
compound	Compound
comprehend	begleeden
comprehension	Verständnis
comprehensive	verständlech
compress	ze kompriméieren
compressed	kompriméiert
compressible	kompressibel sinn
compression	Kompromiss
compressor	Kompressor
comprise	besteet
compromise	Kompromiss
comptroller	Comptroller
compulsion	Zwang
compulsive	Zwang
compulsory	obligatoresch maachen
computable	ze rechnen
computation	Berechnung
compute	berechnen
computer	Computer
computerized	computeriséiert
computing	Informatik
comrade	Koméit
con	NO TRANSLATION
concatenation	Concatenatioun
concave	konkave sinn
conceal	verheemlechen
concealed	versteet
concealment	Verstoppt
concede	derzou bäi
conceit	begéinen
conceited	ugedoen
conceivable	erdenklech
conceive	erënneren
concentrate	konzentréieren
concentration	konzentréiert
concentric	konzentresch sinn
concept	Konzept
conception	Konzept
concern	Suergen
concerned	betraff
concert	Concert
concerto	Concerto
concession	Konzessioun
concessional	concessional
conch	conch
concierge	Concierge
conciliation	Vermëttlung
concise	präzis
conclave	konklavéieren
conclude	schléissen
concluding	schlussendlech
conclusion	Conclusioun komm
conclusive	schlussendlech sinn
concoction	erwierbt
concomitant	begleet
concord	concord
concordance	Concordance
concours	NO TRANSLATION
concourse	Concours
concrete	konkret sinn
concubine	Concave
concur	conscéieren
concurrence	concurrence
concurrent	Concours
concurring	concurring
concussion	Paus
condemn	verdéngen
condemnation	Veruerteelung
condensation	Kondensatioun
condensed	condenséiert
condescending	nogekuckt
condescension	condescension
condiment	condiment
condition	Bedingung
conditional	bedingt
conditionally	bedingt
conditioned	bedingt
conditioner	BD
conditioning	Konditioun
conditions	Konditiounen
condo	Condos
condolence	Kondolenz
condolences	Kondolenz
condom	Kondom
condone	gefillt huet
condor	condor
conducive	z'ënnerstëtzen
conduct	maachen
conduction	Leitung
conductivity	Leitwee
conductor	Dirigent
conduit	Kanal
cone	Kegel
confederacy	Konfederatioun
confederate	konfirméieren
confederation	Konfederatioun
confer	konferen
conference	Konferenz
confess	zouzeginn
confession	Beicht huet
confessional	konfessionell ass
confessions	Bekannten
confetti	Confetti
confidant	Vertrauensbasis
confide	vertrauen
confidence	Vertrauen
confident	zouversiichtlech
confidential	vertraulech
confidentiality	Vertraulëchkeet
confidentially	NO TRANSLATION
configuration	Konfiguratioun
confine	beschränken
confined	agespaart
confinement	ofgeschloss
confines	beschreift
confirm	confirméiert
confirmation	Confirmatioun
confirmatory	confirméiert
confirmed	bestätegt gouf
confiscate	konfiskéieren
confiscation	konfiskéieren
conflagration	Konflikt
conflict	Konflikt war
conflicting	contrairementéiert
confluence	Ofstëmmung
conform	konform
conformance	Konformitéit
conformation	NO TRANSLATION
conformity	Konformitéit
confound	verwiesselen
confounded	verwiesselt
confront	konfrontéieren
confrontation	Konfrontatioun
confuse	duercherneen
confused	verwiessele wier
confusing	verwiessele wier
confusion	Verwiesslungen
conga	Conga
congenial	matzemaachen
congenital	ugebuerene Wierk
congestion	Stau
conglomerate	Konglomerat
conglomeration	conglomeration
congrats	Kongrates
congratulate	gratuléiert
congratulation	gratuléiert
congratulations	gratuléiert
congratulatory	Gléckwonschkaart
congregate	versammelen
congregation	Kongregatioun
congress	Kongress
congressional	Kongressioun
congressman	Kongressman
congruence	Kongruenz
conic	Kegel
conical	konisch
conjecture	Gewunnecht
conjugal	konjugal
conjugate	konjugéieren
conjugation	Konjugatioun
conjunction	Verbindung
conjunctive	konjunktiv
conjure	duerfir suergen
conjuring	ergraff
conk	conk
connect	verbannen
connected	ugeschloss
connection	Verbindung
connective	Bande
connoisseur	Kënschtler
conquer	ze eruweren
conquering	erwaart
conqueror	eruewert
conquest	Eruewerung
conscience	Gewëssen
conscientious	gewëssenhaft
conscious	bewosst
consciousness	Bewosstsinn
conscription	Entschiedegung
consecrated	geweit gëtt
consecration	geweit
consecutive	konsekutiv
consensual	konsensuell sinn
consensus	Konsensfähegkeet
consent	Zoustëmmung
consenting	konsentéiert
consequence	Konsequenz
consequent	konsequent
conservation	Conservatioun
conservatism	Conservatismus
conservative	konservativ
conservatory	Conservatoire
conserve	erhalen
consider	betruecht
considerable	bedeitend
considerate	considéréiert
consideration	berücksichtegen
consignee	consignee
consignment	Sendung
consist	besteet aus
consistency	Konsequenz
consistent	konsequent sinn
consolation	Trouscht
console	Konsole
consoled	Konsolt sinn
consolidate	consolidéieren
consolidated	konsolidéiert
consolidation	Konsolidatioun
consonant	Konsonant
consort	Konsort
conspicuous	opfälleg
conspiracy	Verschwörung
conspirator	Conspirator
conspire	konspiréieren
constable	Konstabilitéit
constancy	stänneg
constant	ëmmer
constantly	permanent
constellation	Stärebild
consternation	stierwen
constipation	Verstippt
constituency	Constituant
constituent	constituante sinn
constituents	Atomer
constitute	konstitutéieren
constitution	Konstitutioun
constitutional	konstitutionell
constitutionality	Verfassung
constrain	limitéieren
constrained	beschiedegt
constraint	Beschränkung
construct	ze bauen
construction	Konstruktioun
constructive	konstruktiv sinn
construe	verfaasst
consul	Consul
consulate	Konsulat
consult	consultéieren
consultant	Beroder
consultation	Consultatioun
consume	konsuméiere sinn
consumer	Konsument
consuming	Konsuméieren
consummate	vollstänneg
consummation	Vollendung
consumption	Konsum
contact	Kontakt
contagion	ze contradéieren
contagious	ustiechend
contain	enthalen
container	Container
containment	Spuermesuren
contaminate	kontaminéieren
contaminated	kontaminéiert
contamination	Kontaminatioun
contemplate	unzesetzen
contemplation	Kontemplatioun
contemplative	kontemplativ
contemporaneous	der Zäit
contemporary	ze contemporary
contempt	Veruechtung
contemptible	verwinnt sinn
contemptuous	verzehrend
contend	behaapten
contender	ofginn
contending	ze sprangen
content	Inhalt
contented	zefridde sidd
contention	Diskussioun
contentious	gefuerdert
contentment	Zousatz
contents	Inhalter
contest	Concours
contestant	Kandidat
context	Kontext
contiguous	ville Misère
continence	Kontinent
continent	Kontinent
continental	kontinental
contingency	Notzung
contingent	Kontingent
continual	dauernd
continually	ëmmer weider
continuance	Weiderféieren
continuation	Fortsetzen
continue	weider
continued	weider
continuing	weider
continuity	Kontinuitéit
continuous	kontinuéierlech sinn
continuously	kontinuéierlech
continuum	Kontinuitéit
contour	Kontour
contraband	Kontrabanden
contraception	Ënnerscheeder
contract	Kontrakt
contracted	ofgeschloss
contractile	kontraktuell sinn
contracting	Kontrakter
contraction	Kontraktioun
contractor	Optraghueler
contradict	widerspriechen
contradiction	Widerspréch
contradictory	widersprëchlech
contraption	zréck
contrary	contrairement
contrast	Géigesaz
contrasted	contraeschen
contravene	contravene
contravention	contravention
contribute	dozou bäidroen
contribution	Beitrag
contributor	Mataarbechter
contrite	opgeriicht
contrition	Contesioun
contrived	gestéiert
control	kontrolléieren
controller	Controller
controlling	kontrolléieren
controversial	kontrovers ass
controversy	Kontrovers
contusion	contusioun
conundrum	witzeg sinn
convalescent	Sanatorium
convection	Konvektioun
convene	konvenéieren
convenience	bequem
conveniences	Komfort
convenient	bequem
convent	Klouschter
convention	Konventioun
conventional	konventionell
converge	konvergéieren
convergence	Konvergenz
convergent	konvergent
conversant	verbonnen
conversation	Gespréich
conversational	Gespréich
conversationalist	conversationalistescher
converse	Gespréich
conversing	schwätzen
conversion	Konversioun
convert	konvertéieren
converted	ëmgewandelt
convertible	Cabriolet
convex	konvex
convexity	Konvexitéit
convey	vermettelen
conveyance	Transport
conveyancing	Förderung
convict	ze bewierken
conviction	Iwwerzeegung
convince	iwwerzeegen
convinced	iwwerzeegt
convincing	iwwerzeegt
convocation	Konvoquatioun
convoluted	gefëllt ginn
convolution	Convolution
convoy	Zwerggalaxis
coo	Coo
cook	kachen
cookbook	Kachbuch
cooker	Häerzer
cookery	Kachbuch
cookie	Cookie
cookies	Cookien
cooking	Kachen
cookout	Kachzäit
cool	cool
coolant	Widersteng
cooler	cool
cooling	Ofkillung
coolness	Ofkillung
coon	Coon
coop	Coop
cooperate	kooperéieren
cooperating	Kooperatioun
cooperation	Kooperatioun
cooperative	kooperativ
coordinate	koordinéieren
coordination	Koordinatioun
coordinator	Koordinator
cop	Zaldoten
copacetic	NO TRANSLATION
cope	eens ginn
copier	Copier
copilot	Kopilot
coping	bewierken
copious	verbraucht
copper	Koffer
copter	Copter
copy	kopéieren
copycat	Kopie
copying	kopéieren
copyright	Copyright
coral	Korallerraktioun
coral snake	Koralleschlaang
cord	Netz
cordial	frëndlech
cordless	Cordless
cordon	Cordon
corduroy	Corduroy
core	Kär
cork	Kork
corkscrew	Korkenzéif
corn	Mais
cornball	Cornball
cornbread	Maisebrot
cornea	Cornea
corned	Maillot
corner	Eck
cornerstone	Eckpabeier
cornet	Cornet
cornfield	Maisstär
cornflakes	NO TRANSLATION
cornice	Cornish
cornstarch	Maustast
corny	Korny
corollary	Korollaire
corona	Corona
coronary	Koronär
coronation	Kréinung
coroner	Cronon
corporal	corporal
corporate	Betrib
corporation	fonctionnéiert
corporeal	korpulär
corps	Korps
corpse	Läich
corpsman	Korpsman
corpus	Korpus
corral	Korall
correct	richteg ass
correction	Korrektur
correctional	korrekt
corrective	Korrektur
correctness	Richtegkeet
correlation	Korrelatioun
correlative	korrelativ sinn
correspond	entspriechen
correspondence	Korrespondenz
correspondent	Korrespondent
corresponding	entspriechen
corridor	Gäng
corroborate	korporéiert sinn
corroboration	corroboratioun
corrosion	Korrosioun
corrosive	gëfteg Matière
corrupt	korrupt
corrupting	korrupt
corruption	Korruptioun
corsage	corsage
corse	NO TRANSLATION
corset	Korset
cortex	Cortex
cortical	korten
cortisone	Cortisone
corvette	Korvette
cosmetic	kosmetesch
cosmetics	Kosmetik
cosmic	kosmesch
cosmology	Kosmologie
cosmopolitan	kosmopolitesch sinn
cosmos	Kosmos
cost	kascht
costly	kascht
costume	Kostüm
cosy	gemittlech
cot	Cot
cote	cote
cottage	Haus
cotton	Koteng
couch	Couch
cougar	cougar
cough	léisen
council	Gemengerot
councilman	Conseiller
counsel	Rot
counseling	Berodung
counsellor	Conseiller
counselor	Conseiller
count	zielen
countdown	Countdown
countenance	Gesiicht
counter	Goal!
counteract	entgéintwierken
counterattack	Konter
counterbalance	Ganzen
counterclaim	Fëlle gestallt
counterfeit	Fälschung
counterpart	Géigendeel
counterpoint	Kontrapunkt
countess	Gräfin
countless	onendlech
country	Land
countryman	Landmann
countrymusic	NO TRANSLATION
countryside	Land
counts	zielt
county	Grofschaft
coup	Staatsstreech
coupe	Coupe
couple	Koppel
coupled	gekoppelt sinn
coupling	Kupplung
coupon	Coupon
courage	Courage
courageous	Couragéis
courier	courrier
courses	Coursen
coursing	coursing
court	Geriicht
courteous	hoffentlech
courtesy	courtes
courthouse	Geriicht
courtroom	Geriicht
courts	Geriichtshäff
courtship	ze maachen
courtside	Geriicht
courtyard	Haff
cousin	Koseng
cousins	Cousinen hunn
cove	Bucht
coven	ofbekannt
covenant	Bond
cover	decken
coverage	Ofdeckung
covered	gedeckt
covering	ze verdeelen
covert	Covert
covet	Covet
coveted	geplangt
cow	Kéi
coward	Feierowend
cowardice	kee Gefligel
cowardly	Feierowend
cowboy	Cowboy
cowgirl	cowgirl
cowhand	cowhand
cowhide	Kuhhide
cowl	ze koennen
coworker	Mataarbechter
coy	Coy
coyote	Coyote
cozy	gemittlech
crab	Crab
crabby	Crabby
crack	Kachzäit
cracked	ugespillt
cracker	Cracker
crackerjack	Crackerjack
cracking	Rëss
crackle	kraacht
crackpot	Crackpot
cradle	Wéiendénger
craft	Handwierksbetriber
crafts	Handwierker
craftsman	Handwierk
craftsmanship	Handwierkstraditioun
crafty	léif
craig	Fuerer
cram	unzepassen
crammed	agelueden
cramp	gekräizt
cramped	rëm
cranberry	cranberry
cranberry juice	Cranberry Juice
crane	Kran
cranial	schaarfen
cranium	Kranium
crank	Kierb
cranky	verwäerten
cranny	Schädel
crap	Schäiss
crappy	Kachen
craps	Craps
crash	crash
crass	Crass
crate	Kiste
crater	Krater
crave	Loscht ze hunn
craving	lëschteg
crawfish	Feierdeeg
crawl	krauchen
crayon	Créancen
crayons	Kreatiounen
craze	verréckt
crazed	Verréckt
craziness	Verrücktheit
crazy	Verréckt
creak	kniwwelen
creaking	kraachen
cream	Crème
creamed	verschmaachen
creamer	cremmer
creamy	crémeg
crease	Platen
create	erschafen
creation	Schafung
creative	kreativ sinn
creativity	Kreativitéit
creator	Organisator
creature	Kreatur
credence	Glawe sinn
credential	U credential
credentials	Umeldungsinformatiounen
credibility	Glaubwürdegkeet
credible	glafwierdeg
credit	Kredit
credit card	Kreditkaart
creditable	kredibel sinn
credited	uginn
crediting	ugidd
creditor	Scholden
creed	Gleef
creek	Bësch
creep	Creep
creeper	Creeper
creeping	verkrauchen
creepy	schauregt
cremation	Krematioun
creole	kreol
crepe	Creme
crescendo	crescendo
crescent	Den Hellewäert
crest	Kamm
crestfallen	Fëschstécker
cretin	Kretin
cretins	kretschen
crevice	Spëtzt
crew	Crew
crewman	Crewman
crib	Crib
cricket	Spréngerlek
cried	geruff huet
crime	Verbriechen
criminal	kriminell
criminality	Kriminalitéit
crimp	ze vermëschen
crimson	roueg
cringe	kräizen
cripple	zerwéiert
crippled	krank sinn
crippling	ze halen
crisis	Kris
crisp	knusprech ass
crispy	knusp
criterion	Kritär
critic	kritesch
critical	kritesch
criticise	kritiséieren
criticism	Kritik
criticize	kritiséieren
criticized	kritiséiert
critique	Kritësch
critter	Krëscht
croak	kraken
croc	Krokodil
crock	Blödsinn
crockery	geschnidden
crocodile	Krokodil
croft	croft
croissant	Croissant
crook	Tau
crooked	gekräizt
crop	ernimmt
croquet	kréit
cross	Kräiz
cross country	auslännesch Land
crossbow	Kräizbierg
crossed	gestuerwen
crossfire	Feierwaff
crossing	gëss
crossover	Crossover
crosswalk	Crossroads
crossword	Kreeswort
crotch	Stréck
crouch	crouch
crouched	hikomm
crouching	Häerzer
croupier	Croupier
crow	kréit
crowbar	Kréien
crowd	verwarnt
crowded	beléift
crowds	aus
crown	Kroun
crowning	Kréinung
crucial	entscheedend
cruciate	Crucis
crucifix	crucifix
crucifixion	Crucificatioun
crucify	kräizegt
crud	crud
crude	Räis
cruel	grausam
cruelly	grausam
cruelty	Grausamkeet
cruise	Croisière
cruise ship	Croisièreschëff
cruiser	Cruiser
cruising	Cruise
crumb	Kräft
crumble	zergrimmelen
crumbling	Krämpelen
crummy	schummeg
crunch	Crunch
crunchy	kräfteg
crusade	Kräizzuch
crusader	Kreeser
crush	verbréngen
crushed	gebremst ginn
crusher	crusher
crushing	d 'Zerkleeder
crust	Krust
crusty	kräfteg
crutch	Krutch
crux	crux
cry	gejaut
crybaby	Krybaby
crying	gejaut
crypt	Krypta
cryptic	Krypta
cryptography	Kryptographie
crystal	Kristall
crystalline	kristallin
crystallization	Kristallisatioun
cub	Virfall
cubby	cubby
cube	Würfel
cubic	kubak
cubicle	Stellvertriedung
cuckold	gehal
cuckoo	Kuckuck
cucumber	Gurke
cuddle	léifzedrécken
cuddled	kuddelen
cuddles	Kuddelen
cuddling	léifgedréckt ginn
cue	ze markéieren
cuff	Stuff
cuisine	Kichen
culinary	kulinaresch
cull	cull
culminate	culminéieren
culmination	Kulminatioun
culpability	schuld
culpable	culpable
culprit	Täsch
cult	Kult
cultivate	kultivéieren
cultivated	kultivéiert ginn
cultivation	ubelaangt
cultural	kulturell
culture	Kultur
cultured	Kulturen
culvert	culvert
cumbersome	beschwéierlech
cumulus	Cumulus
cunning	klengen
cunt	Mantel
cup	Coupe
cupboard	Schaf
cupcake	Cupcake
cupping	aginn
cur	elo
curable	héierbar
curate	Curate
curative	liichtem
curator	Kurator
curb	Bummel
curd	Faarwen
cure	ze heelen
curfew	Kärspill
curiosity	Curiositéit
curious	gespaant
curl	gekräizegt
curling	Fangeren
currency	Währung
current	aktuell
curriculum	Curriculum
curry	Curry
curse	Fluch
cursed	verflucht sidd
cursing	Verfluchs
cursory	kursoresch
curt	nach knapp
curtail	loossen
curtailment	Grenzreglement
curtain	Fënster
curtains	Nimm
curtsy	kruzial
curvature	Bunnschréiegt
curve	Curve
curved	gekraazt
curvilinear	curvilinear
cushion	Këssen
cushy	léif
cusp	cusp
cuss	Kuss
cussed	geraumt
custard	ugekuckt
custodial	Ofhängegkeet
custodian	Depositär
custody	Suergerecht
custom	Client
customary	üblech
customer	Client
customized	personaliséiert
cut	geschnidden
cutaneous	zougestouss
cute	léif
cuticle	geschnidden
cutie	cutie
cutlass	Kuss gemaach
cutlery	Besteck
cutoff	ofschneiden
cutter	Cutter
cutters	Cutter
cutthroat	zevill gedronk
cutting	ze schneiden
cutting board	exitéiert Sprëtz
cuttings	Aschränkungen
cwt	cwt
cyanide	Cyaniden
cyberspace	Cyberspace
cycle	Zyklus
cyclical	zyklik
cyclist	Cyclist
cyclone	Zyklon
cylinder	lënks
cylindrical	zylindresch
cymbal	Becken
cynic	Zyniker
cynical	Zynescht
cynicism	Zynismus
cyst	Cyst
cystic	zystesch
cytomegalovirus	Cytomegalovirus
cytoplasm	Zytoplasma
czar	Zar
dab	dab
dabble	déifgräifen
dabbling	dubbeleg
dad	Papp
daddy	daddy
dado	NO TRANSLATION
daemon	Daemon
daft	Daft
dagger	dagger
daily	all Dag
dainty	spatzesch
daiquiri	daiquiri
dairy	Molkerei
daisy	Gléckwënsch
dak	NO TRANSLATION
dale	Dale sinn
dam	Damm
damage	Schued
damaged	beschiedegt
damages	Schuedensersaz
dame	dame
damn	vergewaltegt
damnation	Verdammnis
damned	verdammt
damp	fiicht
dampened	fest gemaach
damper	Dompteur
damsel	Damm
dance	Danz
dancer	Tänzer
dancing	ze danzen
dandruff	Schong
dandy	Dandy
danger	Gefor
dangerous	geféierlech
dangerously	geféierlech
dangit	NO TRANSLATION
dangle	blécken
dank	NO TRANSLATION
dapper	bäi
dare	getraut
daredevil	duercht
daresay	Narin
daring	getraut
dark	donkel
darken	däischter ginn
darkened	verdunkelt
darkly	donkel
darkness	Däischtert
darkroom	Dunkelkammer
darkside	däischter Säit
darling	lëschteg
darn	stierwen
dart	dart
dash	ongestéiert
dashboard	Dashboard
dashed	gestach
dashing	ophëlt
dastardly	weeden
data	Donnéeën
database	Datebank
date	Datum
datenight	NO TRANSLATION
daughter	Duechter
dawdle	verdroen
dawn	Dämmerung
dawned	erreecht
day	Dag
daybreak	Sonnebrëll
daycare	Deeglech
daydream	Dagesuerdnung
daydreaming	Daag
daylight	Dagesliicht
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	Dag
daze	Äddi
dazed	verfaasst
dazzle	ze fléien
dazzling	brilliant
deacon	Diakon
deactivate	z'aktivéieren
dead	dout sinn
deadbeat	Doudeg
deadline	Termin
deadlines	Termin net
deadlock	um Wee
deadly	déidlech
deaf	Daach
deafening	bleiwen
deafness	Taubelsicht
deal	ze maachen
dealer	Händler
dealership	Stagiaire
dealing	z'ënnerhuelen
dealings	Ëmgang
dean	dean
dear	léif
dearest	mär
dearth	Doud
death	Doud
deathbed	Doudesfall
deathly	Doudesursaach
debacle	debacle
debased	erbäigezunnen
debatable	diskutabel ass
debate	Débat
debauchery	Aventure
debenture	Akommes
debilitating	erbäizeféieren
debit	ofgebucht
debrief	Bréif geschloen
debriefing	beschäftegt
debris	Trommelen
debt	Schold
debtor	Scholdestand
debut	ze kommen
debutante	debutante sinn
decade	Joerzéngt
decadence	Dekadenz
decadent	decadent
decaf	decaf
decanter	Dekanter
decathlon	decathlon
decay	zerfält
decayed	zerfält
decaying	verwinnt
deceased	verstuerwen
decedent	decident
deceit	Onwourechte
deceitful	traureg
deceive	unzeschmieren
deceived	gestéiert
deceiving	ze verfléien
december	Dezember
decency	Aklang
decent	anstänneg
deception	Verwierklechung
deceptive	bedrunn
decide	entscheeden
decidedly	entscheedend
deciduous	Päerdslëschteg
decimal	Dezimalpunkt
decimeter	Dezimeter
decipher	decipéieren
decision	Entscheedung
decisive	entscheedend
deck	Plack
declaration	Déclaratioun
declaratory	deklaréieren
declare	deklaréieren
declination	Deklinatioun
decline	Réckgang
declining	zréckgeet
deco	deco
decode	decodéieren
decoder	Decoder
decompose	Zalot
decomposed	zerstéiert ginn
decomposition	Zerfall
decompress	Dekompress
decompression	Dekompression
decontamination	Dekontaminatioun
decor	Dekor
decorate	dekoréieren
decorating	dekoréieren
decoration	Dekoratioun
decorative	dekorativ
decorator	Decoratrice
decorum	Dekor
decoy	Kéis
decrease	erofgoen
decreased	erofgaang ass
decreasing	eropgeet
decree	Dekret
decrement	Dekline
decrepit	decrepit
decry	decry
decryption	Entschlësselung
dedicate	widmen
dedication	Engagement
deduce	erauszefannen
deduct	virgesinn
deductible	erhebbar
deduction	ofgeleet
deed	geschafft
deejay	deejay
deem	of
deep	déif
deepen	ze meeschteren
deer	Réi
defamation	ze verformen
defamatory	diffamatesch
default	défaut
defeat	besiegen
defeated	besiegt
defeatist	Géigewier
defect	Mängel
defection	ofzesetzen
defective	defekt sinn
defector	Defekter
defend	verteidegen
defendant	Verteideger
defended	verteidegt hunn
defender	Verteideger
defending	ze verteidegen
defense	Verteideger
defenseless	defensiv sinn
defensible	ze definéieren
defensive	defensiv ze spillen
defer	ofginn
deference	Schued
deferral	deferral
deferring	deferring
