Word	be
disillusionment	расчараванасць
disinclination	непрыхільнасць
disincline	адбіваць ахвоту
disinclined	схільнае
disinfect	дэзінфікаваць
disinfectant	дэзінфікуе сродак
disinfection	дэзінфекцыя
disinformation	дэзінфармацыя
disingenuous	крывадушны
disintegrate	распадацца
disintegration	дэзінтэграцыя
disinterested	бескарыслівы
disjoint	непересекаемой
disjointed	расчлянёны
disjunctive	раз'ядноўвае
disk	дыск
diskette	дыскета
dislike	нелюбоў
disliked	нялюбае
disliking	антыпатыя
dislocated	дыслакаваных
dislocation	вывіх
dislodge	выцясняць
disloyal	нелаяльны
disloyalty	нелаяльнасць
dismal	гнятлівы
dismantle	дэмантаваць
dismay	спалох
dismayed	устрывожаны
dismemberment	расчляненне
dismiss	адхіляць
dismissal	звальненне
dismissive	грэбліва
dismount	спешыцца
disobedience	непаслушэнства
disobedient	непаслухмяны
disobey	ня слухацца
disorder	засмучэнне
disordered	неўпарадкаваных
disorderly	бязладны
disorganized	дэзарганізаваць
disorientation	дэзарыентацыя
disoriented	дэзарыентаваць
disown	зракацца
disparage	прыніжаць
disparaging	грэблівым
disparate	несаразмерны
disparity	неадпаведнасць
dispassionate	абыякавы
dispatch	адпраўка
dispatcher	дыспетчар
dispel	рассеяць
dispensary	дыспансер
dispensation	дазвол
dispense	размяркоўваць
dispenser	раздатачнай прылада
dispersal	разгрупавання
disperse	рассейваць
dispersed	рассеяны
dispersion	дысперсія
dispirited	прыгнечаны
displace	выцясняць
displaced	перамешчаных
displacement	зрушэнне
displacency	displacency
display	дысплей
displease	злаваць
displeased	незадаволены
displeasure	незадавальненне
disposable	аднаразовы
disposal	выдаленне
dispose	размяшчаць
disposed	размешчаны
disposition	размяшчэнне
dispossessed	бяздольныя
disprove	аспрэчваць
dispute	спрэчка
disqualification	дыскваліфікацыя
disqualified	дыскваліфікаваны
disqualify	дыскваліфікаваць
disquieted	занепакоены
disregard	няўвагу
disregarded	ігнаруюцца
disrelish	непрыхільнасць
disreputable	ганебны
disrepute	дурная слава
disrespect	непачцівасць
disrespectful	непачцівыя
disrupt	зрываць
disrupting	Зрываць
disruption	парушэнне
disruptive	разбуральны
dissatisfaction	нездаволенасць
dissatisfied	нездаволены
dissect	рассякаць
dissection	рассяканне
disseminate	распаўсюджваць
dissemination	распаўсюджванне
dissension	рознагалоссе
dissent	рознагалоссе
dissenting	адкалоліся
dissertation	дысертацыя
disservice	шкоду
dissident	дысыдэнт
dissimilar	непадобны
dissipate	рассейваць
dissipated	рассеяны
dissociation	дысацыяцыя
dissociative	раз'ядноўвае
dissolution	растварэнне
dissolve	растварацца
dissonance	дысананс
dissuade	пераконваць
distal	дыстальны
distance	адлегласць
distant	аддалены
distaste	агіда
distasteful	непрыемны
distillate	дыстылят
distillation	дыстыляцыя
distilled	дыстыляваны
distinct	выразны
distinction	адрозненне
distinctive	адметны
distinguish	адрозніваць
distinguishable	адрозны
distinguished	выбітны
distinguishing	адметная
distort	скажаць
distorted	скажоны
distortion	скажэнне
distract	адцягваць
distracted	адцягваецца
distracting	адцягвае
distraction	адцягненне
distraught	звар'яцелы
distress	дыстрэс
distressed	бядотным
distressing	засмучальна
distribute	распаўсюджваць
distribution	размеркаванне
distributor	дыстрыб'ютар
district	раён
distrust	недавер
disturb	турбаваць
disturbance	парушэнне
disturbed	парушаны
disturbing	трывожны
disuse	невыкарыстанне
disused	які выйшаў з ужытку
ditch	роў
ditto	тое ж самае
ditty	песенка
diurnal	сутачны
diva	дзіва
divan	NO TRANSLATION
dive	апусканне
diver	вадалаз
diverge	разыходзіцца
divergence	дывергенцыя
divergent	разбежных
diverging	адхіленне
divers	розны
diverse	разнастайны
diversified	шматгаліновай
diversify	дыверсіфікаваць
diversion	адцягненне
diversionary	дыверсійны
diversity	разнастайнасць
divert	пераадрасоўваць
diverting	адцягнення
divest	пазбаўляць
divested	пазбаўляецца
divestment	пазбаўленне правоў
divide	дзяліць
divided	падзелены
dividend	дывідэнд
divination	варажба
divine	чароўны
divinity	боскасць
divisible	дзелім
division	дзяленне
divisor	дзельнік
divorce	развод
divorcee	разведзеная
divulge	выдаваць
divvy	пай
dizziness	галавакружэнне
dizzy	галавакружны
do	рабіць
doable	выканальны
doc	доктар
docile	паслухмяны
dock	док
docked	сутыкаваўся
docket	наляпляць этыкеткі
docking	стыкоўка
doctor	лекар
doctorate	доктарская ступень
doctrinal	дактрынальныя
doctrine	вучэнне
document	дакумент
documentary	дакументальны
documentation	дакументацыя
documents	дакументы
dodge	выкручвацца
dodger	спрытняга
dodging	ухіленне
dodgy	вёрткі
dodo	дронта
doe	лань
doer	дзеяч
dog	сабака
dogface	рэкрут
dogged	ўпарты
doggy	сабачы
doghouse	сабачая будка
dogma	догма
dogmatic	дагматычны
dogsick	NO TRANSLATION
doings	справы
doit	NO TRANSLATION
dojo	школа дзюдо
doldrums	дурны настрой
dole	дапамога па беспрацоўі
doll	лялька
dollar	даляр
dollhouse	лялечны дом
dolor	NO TRANSLATION
dolphin	дэльфін
domain	дамен
dome	купал
domestic	ўнутраны
domesticated	прыручаны
domestication	прыручэнне
domicile	домицилий
domiciled	домицилированный
dominance	панаванне
dominant	дамінуючы
dominate	дамінаваць
dominating	дамінуючы
domination	дамінаванне
dominatrix	вамп
dominion	валадарства
domino	даміно
don	дон
donate	ахвяраваць
donation	ахвяраванне
donkey	асёл
donor	донар
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	дурань
doom	гібель
doomed	асуджаны
doomsday	канец святла
door	дзверы
doorbell	дзвярны званок
doorknob	дзвярная
doorman	брамнік
doormat	палавік
doornail	дзвярны цвік
doorstep	парог
doorway	дзвярны праём
dopamine	допаміна
dope	дурман
dopey	напаўсонны
dork	мужлан
dorky	тупой
dorm	агульная спальня
dormant	бяздзейнічаюць
dormitory	інтэрнат
dorsal	спінны
dosage	дазавання
dose	дазаваць
dossier	дасье
dot	кропка
doting	які пакутуе старэчая прыдуркаватасць
dotted	пункцірны
dotty	рехнувшийся
double	двайны
doubled	двайны
doublet	дуплет
doubling	падваенне
doubt	сумнеў
doubtful	сумніўны
doubting	сумняваецца
doubtless	несумненна
doubts	сумневу
douche	абліванне
douchebags	Douchebags
dough	цеста
doughboy	Doughboy
doughnut	пончык
dour	непахісны
douse	акунаць
dove	голуб
down	ўніз
downcast	прыгнечаны
downer	няўдачнік
downfall	зрыньванне
downfield	тетраметилсилана
downhearted	панылы
downhill	ўніз
download	спампаваць
downpour	лівень
downright	зусім
downriver	ўніз па плыні
downside	ніжняя бок
downtime	час прастою
downward	ўніз
downy	пуховая
dowry	пасаг
doze	драмаць
dozen	тузін
drab	аднастайны
draft	праект
drafty	сквозистый
drag	лабавое супраціў
dragon	цмок
dragonfly	страказа
drain	высільваць
drainage	дрэнаж
drained	асушаных
draining	асушванне
drainpipe	вадасцёкавая труба
drake	качар
drama	драма
dramaqueen	NO TRANSLATION
dramatic	драматычны
drape	драпіроўкі
drapery	драпіроўкі
drastic	радыкальны
drat	NO TRANSLATION
draught	праект
draw	маляваць
drawback	недахоп
drawbridge	развадны мост
drawer	высоўны скрыню
drawers	споднікі
drawing	малюнак
dread	баяцца
dreaded	жудасны
dreadful	жудасны
dreadfully	жахліва
dreading	жахае
dream	сон
dreamboat	прыгажунчык
dreamer	летуценнік
dreaming	сон
dreamland	казачная краіна
dreams	мары
dreamt	снілася
dreamy	летуценны
dreary	нудны
dredge	драг
drenched	змоклы
dress	сукенка
dresser	касцюмер
dressmaker	краўчыха
dressy	прыбраны
dribble	NO TRANSLATION
dried	высушаны
drier	сушылка
drift	дрэйф
drifted	дрэйфавалі
drifter	валацуга
driftwood	карчакі
drill	дрыль
drink	піць
drinker	п'е
drinking	пітной
drinks	напоі
drip	кропельным
dripping	што капае
drive	прывад
drivel	бязглузьдзіца
driver	кіроўца
driveway	дарога
drizzle	імжа
droll	чудной
drone	труцень
drones	беспілотныя лятальныя апараты
drool	працякаць
drooping	знураны
droopy	які ўпаў дух
drop	падзенне
droplet	кропелька
dropout	адсеў
dropper	піпетка
drought	засуха
drove	NO TRANSLATION
drown	тануць
drowsiness	дрымотнасць
drowsy	сонны
drudgery	нудная праца
drug	лекавы сродак
drug dealing	гандаль наркотыкамі
drugged	пад уздзеяннем наркотыкаў
druggist	фармацэўт
drugs	наркотыкі
drugstore	аптэка
druid	друіды
drum	барабан
drummer	ударнік
drumming	барабаніў
drunk	п'яны
drunk driving	кіраванне ў нецвярозым выглядзе
drunkard	п'яніца
drunken	п'яны
drunkenness	п'янства
dry	сухі
dryer	сушылка
dryness	сухасць
dual	двайны
dualism	дуалізм
duality	дваістасць
dub	раўняць
dubious	сумніўны
duchess	герцагіня
duck	качка
ducking	апусканне ў ваду
duckling	качаня
ducky	душка
duct	пратока
ductile	пластычны
dud	рызманы
dude	чувак
duds	лахманы
due	належнае
duel	паядынак
dues	зборы
duet	дуэт
duffel	спартыўны касцюм
dugout	зямлянка
duh	дух
duke	герцаг
dull	цьмяны
dullard	тупень
dumb	нямы
dumbasses	dumbasses
dumbbell	Гантэлю
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	фіктыўны
dump	звалка
dumpling	Клецка
dumps	паліцы
dumpster	смеццевы кантэйнер
dun	надакучаць
dunce	раздаўбай
dune	дзюна
dung	NO TRANSLATION
dungeon	вязніца
dunk	замачыць
duo	дуэт
dupe	недарэка
duplex	дуплекс
duplicate	дубляваць
duplication	дубляванне
duplicity	двухаблічнасць
durability	даўгавечнасць
durable	трывалы
duration	працягласць
duress	прымус
dusk	змяркацца
dusky	змрочны
dust	пылу
duster	пылавік
dustpan	савок для смецця
dusty	пыльны
dutiful	пакорны
duty	абавязак
dwarf	карлікавы
dwarfed	карлікавы
dweeb	слабак
dwell	насяляць
dweller	насельнік
dwelling	жыллё
dye	фарбавальнік
dying	паміраючы
dyke	дамба
dynamic	дынамічны
dynamical	дынамічны
dynamics	дынаміка
dynamite	дынаміт
dynamo	дынама
dynasty	дынастыя
dysentery	дызентэрыя
dysfunction	дысфункцыя
dysfunctional	дысфункцыянальным
dyspepsia	дыспенсія
eager	нецярплівы
eagerness	стараннасць
eagle	арол
ear	вуха
earful	наганяй
earl	граф
earlier	раней
early	рана
earn	зарабляць
earnest	руплівы
earnestly	сур'ёзна
earnestness	сур'ёзнасць
earnings	прыбытак
earpiece	слухаўка
earring	завушніца
earrings	завушніцы
earshot	мяжа чутнасці
earth	зямля
earthenware	гліняны посуд
earthling	зямлянін
earthly	зямной
earthquake	землятрус
earthy	зямлістыя
ease	лёгкасць
easel	мальберт
easement	сэрвітуту
easily	лёгка
east	ўсход
eastbound	ўсходнім
eastern	усходні
easy	лёгка
easygoing	рахманы
eat	ёсць
eater	ядок
eating	ежа
eatingdisorders	NO TRANSLATION
eavesdrop	падслухоўваць
eavesdropping	падслухоўванне
ebb	адліў
ebony	чорнае дрэва
ebullient	кіпучай
eccentric	эксцэнтрычны
eccentricity	эксцэнтрычнасць
ecclesiastical	царкоўны
echelon	эшалон
echinacea	эхінацея
echo	рэха
eclectic	эклектычны
eclipse	зацьменне
ecliptic	экліптыкі
ecological	экалагічны
economic	эканамічнай
economical	эканомны
economics	эканоміка
economy	эканоміка
ecosystem	экасістэма
ecstasy	экстаз
ecstatic	экстатычны
ecumenical	экуменічны
eddy	завіхрэнне
edema	ацёк
edge	край
edging	акантоўка
edgy	раздражняльны
edible	ядомы
edict	эдыкт
edification	настаўленьне
edifice	будынак
edit	рэдагаваць
editing	рэдагаванне
edition	выданне
editor	рэдактар
editorial	рэдакцыйны
educate	выхоўваць
educated	адукаваны
education	адукацыя
educational	адукацыі
educator	выхавальнік
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	ЕЕК
eel	угору
eerie	звышнатуральны
effect	эфект
effective	эфектыўны
effectiveness	эфектыўнасць
effects	эфекты
effectual	эфектыўны
effectually	дзейсна
effectuate	прыводзіць у выкананне
effeminate	падобны да жанчыны
efficacious	эфектыўны
efficacy	эфектыўнасць
efficiency	эфектыўнасць
efficient	эфектыўнае
effigy	малюнак
effort	высілак
effortless	лёгкі
effusion	выпат
effyou	NO TRANSLATION
egg	яйка
egghead	разумнік
eggnog	эгног
eggplant	баклажан
eggshell	яечная шкарлупіна
ego	эга
egomaniac	эгаіст
egotistical	самаўлюбёны
egregious	абуральны
egress	выхад
eight	восем
eighteen	васемнаццаць
eighth	восьмы
eighty	восемдзесят
ejaculate	эякулят
ejaculation	эякуляцыя
eject	выштурхоўваць
ejection	выкіданне
elaborate	распрацоўваць
elaboration	распрацоўка
elan	NO TRANSLATION
elapse	мінаць
elapsed	мінулы
elastic	эластычны
elasticity	эластычнасць
elated	радасны
elation	ўзнёслы настрой
elbow	локаць
eld	старасць
elder	старэйшы
elderly	састарэлыя
elders	старэйшыны
eldest	самы старэйшы
elect	выбраныя
election	выбары
elective	факультатыўны
elector	выбаршчык
electoral	выбарчы
electorate	электарат
electric	электрычны
electric slide	электрычны слайд
electrical	электрычны
electrician	электрык
electricity	электрычнасць
electrify	электрыфікаваныя
electrocute	караць смерцю на электрычным крэсле
electrocution	пакаранне на электрычным крэсле
electromagnetic	электрамагнітны
electron	электрон
electronic	электронны
electronics	электроніка
elegance	элегантнасць
elegant	элегантны
element	элемент
elemental	стыхійны
elementary	элементарны
elements	элементы
elephant	слон
elevate	узвысіць
elevated	прыпадняты
elevation	вышыня
elevator	ліфт
eleven	адзінаццаць
eleventh	адзінаццаты
elf	эльф
elicit	выклікаць
eligible	права
eliminate	ліквідаваць
elimination	ліквідацыю
elite	эліта
elitist	элітарны
elixir	эліксір
elk	лось
ell	флігель
ellipse	эліпс
ellipsis	эллипсис
ellipsoid	эліпсоід
elliptic	эліптычны
elliptical	эліптычны
elm	вяз
elongate	выцягнуты
elongation	падаўжэнне
elope	збегчы
eloquence	красамоўства
eloquent	красамоўны
elucidate	растлумачваць
elucidation	растлумачэнне
elude	выслізгваць
elusive	няўлоўны
emaciated	знясілены
email	па электроннай пошце
emanate	зыходзіць
emancipation	эмансіпацыя
embankment	насып
embargo	NO TRANSLATION
embark	пачынаць
embarrass	бянтэжыць
embarrassed	збянтэжаны
embarrassing	цяжкім
embarrassment	канфуз
embassy	амбасаду
embattled	прыведзены ў баявую гатоўнасць
embed	ўбудоўваць
embellish	перабольшваць
embellishment	прыхарошванне
embers	вугольчыкі
embezzlement	растрата
embezzler	аферыст
emblem	эмблема
emblematic	эмблематычных
embodiment	ўвасабленне
embolism	эмбалія
embossed	цісненнем
embrace	ахопліваць
embroidered	вышыты
embroidery	вышыўка
embroiled	ўцягнутым
embryo	эмбрыён
embryonic	эмбрыянальных
emcee	канферансье
emerald	смарагд
emerge	усплываць
emergence	з'яўленне
emergency	неспадзяваны
emeritus	заслужаны
emery	мянташка
emetophobia	Emetophobia
emigrate	эміграваць
emigration	эміграцыя
eminence	Высокапраасвяшчэнства
eminent	выбітны
eminently	у вышэйшай ступені
emir	NO TRANSLATION
emissary	эмісар
emission	выпраменьванне
emit	выпускаць
emo	эма
emotion	эмоцыя
emotional	эмацыйны
emotive	хвалюючы
empathic	эмпатыя
empathize	суперажываць
empathy	суперажыванне
emperor	імператар
emphasis	акцэнт
emphasize	падкрэсліваць
emphatic	выразны
emphysema	эмфізэма
empire	імперыя
empirical	эмпірычны
empiricism	эмпірызм
employ	выкарыстоўваць
employee	супрацоўнік
employer	працадаўца
employment	занятасць
emporium	гандлёвы цэнтр
empower	ўваўнаважваць
empress	імператрыца
emptiness	пустата
emption	пераважнае
empty	пусты
emu	эму
emulate	пераймаць
emulsion	эмульсія
enable	ўключыць
enablement	Enablement
enact	загадвае
enactment	прыняцце
enamel	эмаль
encampment	лагер
enchant	зачароўваць
enchanted	зачараваны
enchanting	феерычны
enchantment	вядзьмарства
enchantress	чараўніца
enchilada	энчилада
encircle	атачаць
encircling	атачэнне
enclave	анклаў
enclose	атачаць
enclosure	агароджа
encode	шыфраваць
encomiastic	NO TRANSLATION
encomium	ўсхваленне
encompass	ахопліваць
encore	NO TRANSLATION
encounter	сутыкненне
encourage	заахвочваць
encouraged	заахвочвала
encouragement	заахвочванне
encouraging	абнадзейлівы
encroach	замахвацца
encroachment	замах
encrypt	шыфраваць
encryption	шыфраванне
encumbrance	абцяжаранне
encyclopedia	энцыклапедыя
end	канец
end table	канец табліцы
endanger	пад небяспеку
endangered	якія знаходзяцца пад пагрозай знікнення
endangerment	стварэнне пагрозы
endearing	прывабны
endeavor	прыкладаць намаганні
ended	скончыўся
endemic	эндэмічны
endgame	эндшпіль
ending	канчатак
endless	бясконцы
endocarditis	эндакардыт
endorse	ўхваляць
endorsement	падтрымка
endow	надзяляць
endowed	надзелены
endowment	здольнасць
endpapers	фарзац
endpoint	канчатковая кропка
endurance	трываласьць
endure	цярпець
enduring	цягавіты
enema	клізма
enemy	вораг
energetic	энергічны
energize	ўзбуджаць
energy	энергія
enforce	забяспечваць захаванне
enforcement	правапрымяненне
enforcer	инфорсер
engage	займацца
engaged	занята
engagement	змовіны
engaging	абаяльны
engender	зарадзілася
engine	рухавік
engineer	інжынер
engineering	інжынірынг
engrave	гравіраваных
engraved	выгравіраваны
engraver	гравёр
engraving	гравюра
engrossed	паглынуты
engrossing	усёпаглынальнай
engulf	паглынаць
enhance	павышаць
enhancement	ўзмацненне
enigma	загадка
enigmatic	загадкавы
enjoin	загадвае
enjoy	атрымліваць асалоду ад
enjoyable	прыемны
enjoying	атрымліваючы асалоду ад
enjoyment	асалоду
enlarge	павялічыць
enlarged	павялічаны
enlargement	ўзбуйненне
enlighten	адукаваць
enlightened	асвечаны
enlightening	павучальны
enlightenment	прасвятленне
enlist	завербавацца
enliven	ажыўляць
enmity	варожасць
ennui	скука
enormity	жахліва
enormous	велізарны
enormously	надзвычай
enraged	раз'юшаны
enrich	узбагачаць
enroll	залічаць
enrollment	рэгістрацыя
ensemble	ансамбль
ensign	прапаршчык
enslave	занявольвае
enslaved	паняволеных
enslavement	заняволенне
ensue	выцякаць
ensure	забяспечваць
entail	цягнуць за сабой
entangled	заблытаны
entanglement	заблытванне
enter	ўваходзіць
enterprise	прадпрыемства
enterprising	прадпрымальны
entertain	забаўляць
entertained	забаўляцца
entertainer	канферансье
entertaining	забаўляльны
entertainment	забавы
enthralled	захоплены
enthusiasm	энтузіязм
enthusiast	энтузіяст
enthusiastic	захоплены
entice	спакушаць
entire	усе
entirety	цэласць
entitle	даваць права
entity	аб'ект
entomology	энтамалогія
entourage	світа
entrails	вантробы
entrance	уваход
entrapment	ўлоўліванне
entreat	упрасіць
entree	асноўнае страва
entrepreneur	прадпрымальнік
entrust	давяраць
entry	запіс
enumerate	пералічваць
enumeration	пералік
envelope	канверт
envious	зайздросны
environ	NO TRANSLATION
environment	навакольнае асяроддзе
environmental	экалагічная
environs	прыгарады
envision	ўяўляць
envoy	эмісар
envy	зайздрасць
enzyme	фермент
ephemeral	эфемерны
ephemeris	эфемерид
epic	эпічны
epidemic	эпідэмія
epidermis	эпідэрміс
epidural	эпидуральный
epilepsy	эпілепсія
epileptic	эпілептычны
epilogue	эпілог
epiphany	Богаяўленне
episcopal	епіскапскі
episode	эпізод
episodic	эпізадычны
epistle	эпістала
epitaph	эпітафія
epithet	эпітэт
epitome	увасабленне
epoch	эпоха
equal	роўны
equality	роўнасць
equalization	ураўноўванне
equalize	зраўнаваць
equalizer	эквалайзер
equally	ў роўнай ступені
equate	прыраўноўваць
equation	раўнанне
equator	экватар
equatorial	экватарыяльны
equestrian	наезнік
equidistant	эквидистантный
equilibration	ўраўнаважванне
equilibrium	раўнавагу
equip	абсталяваць
equipment	абсталяванне
equitable	раўнапраўны
equity	справядлівасці
equivalence	эквівалентнасць
equivalent	эквівалент
equivocal	сумніўны
era	эпоха
eradicate	выкараняць
eradication	выкараненне
erase	сціраць
eraser	гумка
erasure	падчыстка
ere	NO TRANSLATION
erect	ўзводзіць
erectile	эректільная
erection	мантаж
ergo	NO TRANSLATION
erode	раз'ядаць
erosion	эрозія
erotic	эратычны
erotica	эротыка
err	памыляцца
errand	даручэнне
errant	блукаючы
erratic	няўстойлівы
erratum	памылка друку
erroneous	памылковы
error	памылка
erst	NO TRANSLATION
erudite	эрудыяваны
erupt	прарэзвалі
eruption	вывяржэнне
escalade	эскалада
escalate	абвастраць
escalating	нарастальны
escalation	эскалацыя
escalator	эскалатар
escape	ўцёкі
escaped	выратаваўся
escarpment	адхон
eschew	цурацца
escort	суправаджэнне
escrow	эскроу
esophagus	стрававод
esoteric	тайны
especial	NO TRANSLATION
espionage	шпіянаж
espouse	падтрымліваць
espresso	эспрэса
esprit	досціп
esquire	эсквайру
essay	эсэ
essayist	эсэіст
essence	сутнасць
essential	істотны
essentially	па сутнасці
establish	ўсталяваць
established	усталяваны
establishment	стварэнне
estate	маёмасць
esteem	павага
esteemed	паважаны
esthetic	эстэтычны
estimable	каштоўны
estimate	адзнака
estimation	адзнака
estoppel	працэсуальны адвод
estranged	паасобна які пражывае
estrogen	эстроген
estuary	вусце ракі
etch	тручэнне
etching	тручэнне
eternal	вечны
eternity	вечнасць
ethanol	этанол
ether	эфір
ethereal	эфірны
ethic	этычны
ethical	этычны
ethics	этыка
ethnic	этнічнай
ethnography	этнаграфія
etiology	этыялогія
etiquette	этыкет
etymology	этымалогія
eucalyptus	эўкаліпт
euchre	перахітрыць
eugenics	еўгеніка
eulogistic	панегирический
eulogium	панегірык
eulogize	усхваляць
eulogy	панегірык
euphemism	эўфемізм
euphoria	эйфарыя
euphoric	эйфарыі
euro	еўра
euthanasia	эўтаназія
evacuate	эвакуіраваць
evacuation	эвакуацыя
evade	ўхіляцца
evaluate	ацэньваць
evaluation	адзнака
evanescence	эфемернасць
evangelical	евангельскі
evangelist	евангеліст
evangelistic	евангелісцкі
evaporate	выпарацца
evaporation	выпарэнне
evasion	ухіленне
evasive	ўніклівы
eve	напярэдадні
evening	вечар
evens	NO TRANSLATION
event	падзея
eventful	багаты падзеямі
eventual	магчымы
eventuality	выпадковасць
evergreen	вечназялёны
everlasting	вечны
evermore	назаўжды
everyday	кожны дзень
everyman	абывацель
evict	высяляць
eviction	высяленне
evidence	доказы
evident	відавочны
evidentiary	доказны
evil	зло
evoke	выклікаць
evolution	эвалюцыя
evolutionary	эвалюцыйны
evolve	эвалюцыянаваць
ewe	авечка
ex	былы
exacerbate	абвастраць
exacerbation	абвастрэнне
exact	дакладны
exacting	патрабавальны
exaggerate	перабольшваць
exaggerated	перабольшаны
exaggeration	перабольшанне
exalt	згушчаць
exaltation	экзальтацыя
exalted	узнёслы
exam	экзамен
examination	экспертыза
examine	даследаваць
examiner	экзаменатар
example	прыклад
exasperated	раздражнёны
exasperation	азлабеньне
excavate	рыць
excavation	выманне грунта
excavator	экскаватар
exceed	перавышаць
exceeding	перавышэнне
excel	пераўзыходзіць
excellence	перавагу
excellent	выдатна
excelsior	мяккая драўняная габлюшка
excepting	выключаў
exception	выключэнне
exceptional	выключны
excerpt	вытрымка
excess	лішак
excessive	празмернае
excessively	празмерна
exchange	абмен
excise	акцызны
excision	сячэнне
excitability	ўзбудлівасць
excitable	эмацыйны
excitation	ўзбуджэнне
excite	ўзбуджаць
excited	узбуджаны
excitement	хваляванне
exciting	ўзбуджальны
exclaim	усклікаць
exclamation	ўсклік
exclude	выключаць
excluded	выключаны
excluding	выключаў
exclusion	выключэнне
exclusive	эксклюзіўны
excrement	экскрыменты
excretion	экскрэцыя
excruciating	пакутлівы
excursion	экскурсія
excuse	апраўданне
exec	Exec
execute	выконваць
execution	выкананне
executioner	кат
executive	выканаўчы
executor	выканаўца
exegesis	экзэгеза
exemplar	ўзор
exemplary	ўзорны
exemplify	служыць прыкладам
exempt	вызвалены
exemption	вызваленне
exercise	ажыццяўленне
exert	напружваць
exertion	напружанне
exhale	выдыхаць
exhaust	выпускны
exhausted	змучаны
exhaustion	знясіленне
exhaustive	вычарпальны
exhibit	экспанат
exhibition	выстава
exhilarated	падвыпілы
exhilarating	хвалюючы
exhilaration	весялосць
exhort	намаўляць
exhortation	павучання
exhumation	эксгумацыя
exhume	эксгумаваць
exigent	NO TRANSLATION
exile	ссыльных
exist	існаваць
existence	існаванне
existent	існуючы
existential	экзістэнцыяльны
existing	існуючы
exit	выхад
exodus	зыход
exonerate	рэабілітаваць
exorbitant	непамерны
exorcism	экзорсизм
exorcist	заклінальнік
exotic	экзатычны
expand	пашыраць
expanded	пашыраны
expanse	разлог
expansion	пашырэнне
expansive	экспансіўны
expatriate	эмігрант
expect	чакаць
expectance	прадчуванне
expectancy	чаканне
expectant	які чакае
expectation	чаканне
expected	чаканы
expecting	чакаючы
expediency	мэтазгоднасць
expedient	мэтазгодны
expedite	паскараць
expedition	экспедыцыя
expeditious	хуткі
expel	высылаць
expendable	выдаткоўванай
expenditure	выдаткаў
expense	выдаткі
expenses	выдаткі
expensive	дарагі
experience	вопыт
experienced	дасведчаны
experiences	вопыт
experiment	эксперымент
experimental	эксперыментальны
experimentation	эксперыментаванне
experimenter	эксперыментатар
expert	эксперт
expertise	экспертыза
expiration	заканчэнне
expire	мінаць
expired	мінулы
expiry	заканчэнне
explain	тлумачыць
explanation	тлумачэнне
explanatory	тлумачальная
expletive	лаянкавае слова
explication	эксплікацыя
explicit	відавочны
explode	выбухаць
exploit	эксплуатаваць
exploitation	эксплуатацыя
exploration	даследаванне
exploratory	разведачных
explore	даследаваць
explorer	даследчык
explosion	выбух
explosions	выбухі
explosive	выбуховае рэчыва
expo	Экспа
exponent	паказчык ступені
exponential	экспанентны
export	экспарт
exportation	экспартаванне
expose	выкрываць
exposed	падвяргаюцца
exposition	экспазіцыя
expository	тлумачальны
exposure	экспазіцыя
expound	выкладаць
express	экспрэс
expression	выраз
expressive	выразны
expressway	аўтастрада
expropriation	экспрапрыяцыя
expulsion	высылка
exquisite	утонченный
exquisitely	вытанчана
extant	захаваўся
extend	распасцірацца
extendable	пашыраецца
extended	пашыраны
extension	пашырэнне
extensive	экстэнсіўны
extent	ступень
exterior	экстэр'ер
exterminate	зьнішчаць
extermination	вынішчэньне
exterminator	знішчальнік
external	знешні
externally	вонкава
extinct	патухлы
extinction	выміранне
extinguish	тушыць
extinguisher	вогнетушыцель
extol	славіць
extort	вымагаць
extortion	вымагальніцтва
extra	дадатковы
extract	экстракт
extracting	экстрагаванне
extraction	здабыча
extractor	экстрактар
extracurricular	пазааўдыторных
extradition	выдача
extrajudicial	пазасудовы
extramural	завочны
extraneous	старонні
extraordinaire	экстраардынарны
extraordinary	незвычайны
extraterrestrial	іншапланецянін
extravagance	марнатраўнасць
extravagant	экстравагантны
extravaganza	феерыя
extreme	экстрэмальны
extreme anticipation	экстрэмальнае пачуццё таямніцы
extreme disgust	крайняя агіда
extreme surprise	экстрэмальны сюрпрыз
extreme trust	крайнасць давер
extremely	вельмі
extremely negative	вельмі адмоўна
extremely positive	вельмі пазітыўны
extremity	ўскраек
extricate	выблытвацца
extrinsic	знешні
extrusion	экструзія
exuberance	багацце
exude	праступаць
eye	вачэй
eyeball	вочны яблык
eyebrow	брыво
eyeful	цудоўная жанчына
eyeglass	манокль
eyeglasses	акуляры
eyelash	вейкі
eyelet	вушка
eyeliner	падводка для вачэй
eyepiece	акуляр
eyes	вочы
eyesight	зрок
eyewitness	відавочца
fab	надзвычайны
fable	байка
fabled	прыдуманы
fabric	тканіна
fabricate	фабрыкаваць
fabricated	выраблены
fabrication	выраб
fabulous	неверагодны
facade	фасад
face	твар
faceless	безаблічны
facet	фаска
facial	асабовым
facile	NO TRANSLATION
facilitate	садзейнічаць
facility	аб'ект
facing	абліцавальны
facsimile	факсіміле
fact	факт
faction	фракцыя
