Word	kk
drumming	барабан
drunk	мас
drunk driving	мас күйінде жүргізу
drunkard	маскүнем
drunken	мас
drunkenness	маскүнемдік
dry	құрғақ
dryer	кептіргіш
dryness	құрғақтық
dual	қосарлы
dualism	дуализм
duality	дуализм
dub	dub
dubious	күмәнді
duchess	джесчас
duck	үйрек
ducking	дуэт
duckling	үйрек үйрету
ducky	бақытты
duct	құбыр
ductile	тегіс
dud	дәм
dude	адам
duds	дудтар
due	төлеу мерзімі
duel	дуэль
dues	алымдар
duet	дуэт
duffel	duffel
dugout	құтылу
duh	дух
duke	Герцог
dull	түтікті
dullard	дуллард
dumb	тілсіз
dumbasses	шіркеу
dumbbell	гантель
dumbbitch	NO TRANSLATION
dumfound	қайнатпа
dumfounder	NO TRANSLATION
dummy	кілт
dump	қоқыс
dumpling	қайнатпа
dumps	қоқыстар
dumpster	қоқыс тасушы
dun	дүние
dunce	дүние
dune	дюн
dung	NO TRANSLATION
dungeon	зеңбірек
dunk	dunk
duo	дуэт
dupe	дупе
duplex	дуплекс
duplicate	көшірме
duplication	қайталау
duplicity	қайталануы
durability	төзімділік
durable	берік
duration	ұзақтығы
duress	мәжбүрлеу
dusk	түнгі
dusky	шулы
dust	шаң
duster	шаңсорғыш
dustpan	қоқыс шелегі
dusty	шаңды
dutiful	ұқыпты
duty	міндет
dwarf	карлик
dwarfed	күлкілі
dweeb	двеб
dwell	тұру
dweller	тұрғын
dwelling	тұрғын үй
dye	бояу
dying	өледі
dyke	dyke
dynamic	динамикалық
dynamical	динамикалық
dynamics	динамикасы
dynamite	динамит
dynamo	динамо
dynasty	әулет
dysentery	дизентерия
dysfunction	дисфункция
dysfunctional	дисфункционалды
dyspepsia	диспепсия
eager	тілек білдірді
eagerness	табандылық
eagle	қыран
ear	құлақ
earful	қызықты
earl	earl
earlier	бұрын
early	ертерек
earn	табыңыз
earnest	шынайы
earnestly	шынайы
earnestness	шыншылдық
earnings	табыстар
earpiece	құлақ аспабы
earring	сырға
earrings	сырға
earshot	есту
earth	жер
earthenware	қыш бұйымдары
earthling	жер бетінен
earthly	жердегі
earthquake	жер сілкінісі
earthy	жердегі
ease	жеңілдік
easel	мостел
easement	сервитут
easily	оңай
east	шығыс
eastbound	шығысқа қарай
eastern	шығыс
easy	оңай
easygoing	бейғам
eat	жейді
eater	жейді
eating	тамақтану
eatingdisorders	NO TRANSLATION
eavesdrop	тыңдау
eavesdropping	тыңдау
ebb	жояды
ebony	қарындаш
ebullient	ebullient
eccentric	эксцентрик
eccentricity	эксцентричность
ecclesiastical	шіркеу
echelon	эшелон
echinacea	эхинацея
echo	echo
eclectic	эклектикалық
eclipse	тұтылу
ecliptic	эклиптик
ecological	экологиялық
economic	экономикалық
economical	экономикалық
economics	экономика
economy	экономика
ecosystem	экожүйе
ecstasy	экстази
ecstatic	экстатикалық
ecumenical	экумениялық
eddy	eddy
edema	Ісіну
edge	шеті
edging	кесілген
edgy	нәзік
edible	жеуге жарамды
edict	жарлық
edification	түзету
edifice	ғимарат
edit	өңдеу
editing	өңдеу
edition	басылым
editor	редактор
editorial	редакция
educate	тәрбиелеу
educated	білімді
education	білім беру
educational	білім беру
educator	тәрбиеші
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	жыланбалық
eerie	түршігерлік
effect	әсер
effective	тиімді
effectiveness	тиімділігі
effects	әсерлері
effectual	тиімді
effectually	тиімді
effectuate	қолданыңыз
effeminate	ауыру
efficacious	тиімді
efficacy	тиімділігі
efficiency	тиімділігі
efficient	нәтижелі
effigy	тиімділік
effort	күш
effortless	жеңіл
effusion	эффузия
effyou	NO TRANSLATION
egg	жұмыртқа
egghead	жұмыртқа
eggnog	eggnog
eggplant	баялды
eggshell	жұмыртқа қабығын
ego	эго
egomaniac	egomaniac
egotistical	эгоистикалық
egregious	еріксіз
egress	шығу
eight	сегіз
eighteen	он сегіз адам
eighth	сегізінші
eighty	сексен
ejaculate	эякуляция
ejaculation	эякуляция
eject	шығарыңыз
ejection	шығару
elaborate	түсіндіріңіз
elaboration	әзірлеу
elan	NO TRANSLATION
elapse	өтпеді
elapsed	аяқталды
elastic	серпімді
elasticity	икемділік
elated	таң қалдырды
elation	ұстану
elbow	локте
eld	Елд
elder	ақсақал
elderly	қарттар
elders	ақсақалдар
eldest	үлкен
elect	сайлайды
election	сайлау
elective	элективті
elector	сайлаушы
electoral	сайлау
electorate	электорат
electric	электрлік
electric slide	электрлік слайд
electrical	электрлік
electrician	электрик
electricity	электр қуаты
electrify	электрлендіру
electrocute	электрокут
electrocution	электр тогы
electromagnetic	электромагниттік
electron	электрон
electronic	электронды
electronics	электроника
elegance	талғампаздығы
elegant	талғампаздығы
element	элемент
elemental	қарапайым
elementary	қарапайым
elements	элементтері
elephant	слон
elevate	көтеру
elevated	жоғары
elevation	биіктігі
elevator	жеделсаты
eleven	он бір
eleventh	он бірінші
elf	эльф
elicit	аластату
eligible	жарамды
eliminate	жою
elimination	жою
elite	элита
elitist	элита
elixir	эликсир
elk	elk
ell	ұйқысыз
ellipse	эллипс
ellipsis	эллипс
ellipsoid	эллипсоид
elliptic	эллиптикалық
elliptical	эллиптикалық
elm	ғылым
elongate	ұзарту
elongation	ұзарту
elope	алдау
eloquence	философия
eloquent	білмейтін
elucidate	түсіндіріңіз
elucidation	түсіндіру
elude	елу
elusive	қолайсыз
emaciated	уылдырық
email	электрондық пошта
emanate	пайда болады
emancipation	босату
embankment	жағалауы
embargo	NO TRANSLATION
embark	түсіріңіз
embarrass	ұялту
embarrassed	ұялатады
embarrassing	ұят
embarrassment	ыңғайсыздық
embassy	елшілік
embattled	эмиграцияланған
embed	ендірілген
embellish	әшекейлеу
embellishment	әшекейлеу
embers	қылқалам
embezzlement	ұрлау
embezzler	ұрлаушы
emblem	эмблемасы
emblematic	символдық
embodiment	нұсқа
embolism	эмболия
embossed	бедерлі
embrace	қамту
embroidered	кесте
embroidery	кесте
embroiled	кіргізілген
embryo	эмбрион
embryonic	эмбрионалдық
emcee	emcee
emerald	Изумруд
emerge	пайда болады
emergence	пайда болуы
emergency	төтенше жағдай
emeritus	emeritus
emery	зымыран
emetophobia	эметофобия
emigrate	эмиграциялау
emigration	эмиграция
eminence	әйгілі
eminent	әйгілі
eminently	әйгілі
emir	NO TRANSLATION
emissary	эмиссар
emission	шығарындылар
emit	шығарыңыз
emo	эмо
emotion	эмоциялар
emotional	эмоционалдық
emotive	эмоциялық
empathic	эмпатикалық
empathize	эмоциялау
empathy	эмпатия
emperor	император
emphasis	назар аударыңыз
emphasize	назар аударыңыз
emphatic	эмпатикалық
emphysema	эмфизема
empire	империя
empirical	эмпирикалық
empiricism	эмпиризм
employ	жұмыс істейді
employee	қызметкер
employer	жұмыс беруші
employment	жұмыспен қамту
emporium	эмпориум
empower	өкілеттілік
empress	императрица
emptiness	босаңсу
emption	эмпирлеу
empty	бос
emu	emu
emulate	эмулировать
emulsion	эмульсия
enable	қосу
enablement	қосылым
enact	күшіне енеді
enactment	күшіне енеді
enamel	эмаль
encampment	жанартау
enchant	әзіл-оспақ
enchanted	сиқырлы
enchanting	таң қалдырады
enchantment	таң қалдырады
enchantress	сиқыршы
enchilada	enchilada
encircle	қоршау
encircling	қоршау
enclave	анклав
enclose	қоршау
enclosure	қоршау
encode	кодтаңыз
encomiastic	NO TRANSLATION
encomium	инкомания
encompass	қамтиды
encore	NO TRANSLATION
encounter	кездесу
encourage	ынталандыру
encouraged	ынталандырды
encouragement	мақтау
encouraging	жігерлендірерлік
encroach	қол сұғу
encroachment	қол сұғу
encrypt	шифрлау
encryption	шифрлау
encumbrance	ауыртпалық
encyclopedia	энциклопедия
end	Соңы
end table	соңғы кесте
endanger	қауіп төндіреді
endangered	қауіпті
endangerment	қауіп төндіреді
endearing	сүйкімділік
endeavor	тырысыңыз
ended	аяқталды
endemic	эндемикалық
endgame	соңғы ойын
ending	аяқталу
endless	шексіз
endocarditis	эндокардит
endorse	мақұлдау
endorsement	мақұлдау
endow	беруге
endowed	берілген
endowment	қайырымдылық
endpapers	тұсқағаздар
endpoint	соңғы нүкте
endurance	төзімділік
endure	төзімділік
enduring	төзімді
enema	көкірекше
enemy	жау
energetic	жігерлі
energize	қуат беріңіз
energy	энергия
enforce	орындау
enforcement	құқық қорғау
enforcer	ұстаушы
engage	тарту
engaged	айналысады
engagement	атастыру
engaging	тарту
engender	еңсеруші
engine	қозғалтқыш
engineer	инженер
engineering	инженерия
engrave	қою
engraved	гравировка
engraver	гравер
engraving	гравировка
engrossed	енген
engrossing	еңсеру
engulf	жабылады
enhance	жақсарту
enhancement	жақсарту
enigma	құпиялылық
enigmatic	жұмбақ
enjoin	бұйрық
enjoy	ләззат алыңыз
enjoyable	жағымды
enjoying	ләззат алу
enjoyment	ләззат
enlarge	ұлғайту
enlarged	кеңейтілген
enlargement	кеңейту
enlighten	ағарту
enlightened	ағартылған
enlightening	ағарту
enlightenment	ағарту
enlist	қосылуға
enliven	жандандыру
enmity	қастық
ennui	ennui
enormity	зорлық
enormous	зор
enormously	өте үлкен
enraged	ашуланған
enrich	байытады
enroll	тіркеу
enrollment	Тіркелу
ensemble	ансамбль
ensign	белгісі
enslave	құлдар
enslaved	құлдықта
enslavement	құлдық
ensue	болады
ensure	қамтамасыз ету
entail	енгізу
entangled	араласқан
entanglement	шабуыл
enter	енгізу
enterprise	кәсіпорын
enterprising	кәсіпкерлік
entertain	көңіл көтеру
entertained	көңіл көтерді
entertainer	ойыншы
entertaining	ойын-сауық
entertainment	ойын-сауық
enthralled	таң қалдырды
enthusiasm	ынта
enthusiast	энтузиастар
enthusiastic	жігерлі
entice	ұят
entire	барлығы
entirety	толығымен
entitle	құқық
entity	субъект
entomology	энтомология
entourage	қоршаған орта
entrails	ішектер
entrance	кіру
entrapment	қоқан-лоқы
entreat	жалбарыну
entree	антре
entrepreneur	кәсіпкер
entrust	сеніп тапсырыңыз
entry	кіру
enumerate	аударыңыз
enumeration	санау
envelope	конверт
envious	қызықтырады
environ	NO TRANSLATION
environment	қоршаған орта
environmental	қоршаған ортаны қорғау
environs	төңірегі
envision	болжау
envoy	елші
envy	қызғаныш
enzyme	ферменттер
ephemeral	эфемералды
ephemeris	эфемери
epic	эпос
epidemic	эпидемия
epidermis	эпидермис
epidural	эпидуральды
epilepsy	эпилепсия
epileptic	эпилепсия
epilogue	эпилогия
epiphany	эпифаний
episcopal	эпицопал
episode	эпизод
episodic	эпизодтық
epistle	хат
epitaph	эпитаф
epithet	эпитет
epitome	эпитомы
epoch	дәуір
equal	тең
equality	теңдік
equalization	теңдестіру
equalize	теңестіру
equalizer	эквалайзер
equally	тең
equate	теңдестіру
equation	теңдеу
equator	экватор
equatorial	экваториальды
equestrian	атқыштар
equidistant	теңдестірілген
equilibration	тепе-теңдік
equilibrium	тепе-теңдік
equip	жабдықтау
equipment	жабдық
equitable	әділетті
equity	меншікті капитал
equivalence	эквиваленттік
equivalent	балама
equivocal	бірдей
era	дәуір
eradicate	жою
eradication	жою
erase	өшіру
eraser	өшіргіш
erasure	өшіру
ere	NO TRANSLATION
erect	тұрғызыңыз
erectile	эректильді
erection	монтаждау
ergo	NO TRANSLATION
erode	эрозияға ұшырайды
erosion	эрозия
erotic	эротикалық
erotica	эротика
err	қате
errand	әрекет
errant	қате
erratic	қате
erratum	erratum
erroneous	қате
error	қате
erst	NO TRANSLATION
erudite	эрудит
erupt	атқылау
eruption	атқылау
escalade	эскалация
escalate	ұлғайту
escalating	күшейе түсуде
escalation	эскалация
escalator	эскалатор
escape	қашу
escaped	қашып кетті
escarpment	жыртылу
eschew	eschew
escort	сүйемелдеу
escrow	үшінші жаққа ақшаны сақтауға беру
esophagus	қызылша
esoteric	эзотерикалық
especial	NO TRANSLATION
espionage	тыңшылық
espouse	қолдайды
espresso	эспрессо
esprit	esprit
esquire	esquire
essay	эссе
essayist	эссеист
essence	мәні
essential	маңызды
essentially	мәнi бойынша
establish	орнату
established	құрылды
establishment	мекеме
estate	жылжымайтын мүлік
esteem	құрмет
esteemed	құрметті
esthetic	эстетикалық
estimable	бағаланатын
estimate	бағалау
estimation	бағалау
estoppel	estoppel
estranged	бөтен
estrogen	эстроген
estuary	қалыңдығы
etch	эх
etching	шөгінділер
eternal	мәңгілік
eternity	мәңгілік
ethanol	этанол
ether	эфир
ethereal	эфирлік
ethic	этика
ethical	этикалық
ethics	этика
ethnic	этникалық
ethnography	этнография
etiology	этиологиясы
etiquette	этикет
etymology	этимология
eucalyptus	эвкалипт
euchre	euchre
eugenics	эгеника
eulogistic	эулогиялық
eulogium	эулогия
eulogize	eulogize
eulogy	эулогия
euphemism	эвфемизм
euphoria	эйфория
euphoric	эйфорикалық
euro	еуро
euthanasia	эвтаназия
evacuate	эвакуациялау
evacuation	эвакуациялау
evade	жалтару
evaluate	бағалаңыз
evaluation	бағалау
evanescence	үйлену
evangelical	евангелиялық
evangelist	евангелист
evangelistic	Евангельдік
evaporate	булану
evaporation	булану
evasion	жалтару
evasive	эвакуалды
eve	үйге
evening	кешке
evens	NO TRANSLATION
event	оқиға
eventful	оқиғалар
eventual	мүмкін
eventuality	ықтимал
evergreen	мәңгілікке
everlasting	мәңгі
evermore	әрқашан
everyday	күн сайын
everyman	әрбір адам
evict	шығару
eviction	шығару
evidence	дәлелдемелер
evident	анық
evidentiary	дәлелдеу
evil	жауыз
evoke	тудыруы мүмкін
evolution	эволюция
evolutionary	эволюциялық
evolve	эволюциясы
ewe	үйір
ex	бұрынғы
exacerbate	шиеленісу
exacerbation	шиеленісу
exact	дәл
exacting	талап етіледі
exaggerate	шамадан тыс
exaggerated	шамадан тыс
exaggeration	мәжбүрлеу
exalt	көрнекті
exaltation	қудалау
exalted	жоғары болды
exam	емтихан
examination	сараптама
examine	тексеріңіз
examiner	сарапшы
example	мысал
exasperated	сарқылған
exasperation	жала жабу
excavate	қазу
excavation	қазу
excavator	экскаватор
exceed	артық
exceeding	артық
excel	excel
excellence	артықшылық
excellent	тамаша
excelsior	Excelsior
excepting	қоспағанда
exception	қоспағанда
exceptional	ерекше
excerpt	үзінді
excess	артық
excessive	шамадан тыс
excessively	шамадан тыс
exchange	айырбастау
excise	акциздер
excision	экскреция
excitability	қозғыштығы
excitable	қозғалған
excitation	қозғау
excite	еліктіру
excited	қозғалған
excitement	толқу
exciting	қызықты
exclaim	айтшы
exclamation	леп белгісі
exclude	алып тастау
excluded	алынып тасталды
excluding	қоспағанда
exclusion	алып тастау
exclusive	эксклюзивті
excrement	экскремация
excretion	экстракция
excruciating	қорқытушы
excursion	экскурсия
excuse	кешіріңіз
exec	exec
execute	орындаңыз
execution	орындау
executioner	ceiling
executive	атқарушы
executor	орындаушы
exegesis	талқылау
exemplar	үлгі
exemplary	үлгілі
exemplify	мысал келтіріңіз
exempt	босатылды
exemption	босату
exercise	жаттығу
exert	қолданыңыз
exertion	күш салу
exhale	тыныс алу
exhaust	пайдаланылған
exhausted	таусылған
exhaustion	сарқылу
exhaustive	толық
exhibit	көрме
exhibition	көрме
exhilarated	қуанышты
exhilarating	керемет
exhilaration	жандану
exhort	насихаттаңыз
exhortation	насихаттау
exhumation	эксгумация
exhume	exhume
exigent	NO TRANSLATION
exile	қуғын-сүргін
exist	бар
existence	өмір
existent	бар
existential	экзистенциалды
existing	бар
exit	Шығу
exodus	exodus
exonerate	ақтау
exorbitant	жалған
exorcism	экзорцизм
exorcist	exorcist
exotic	экзотикалық
expand	кеңейту
expanded	кеңейтілді
expanse	кеңістік
expansion	кеңейту
expansive	кең
expatriate	экспатриант
expect	күтеді
expectance	күту
expectancy	күту
expectant	күтеді
expectation	күту
expected	күтілуде
expecting	күту
expediency	орындылық
expedient	пайдалы
expedite	жеделдету
expedition	экспедиция
expeditious	жедел
expel	шығарыңыз
expendable	шығынды
expenditure	шығыстар
expense	шығын
expenses	шығыстар
expensive	қымбат
experience	тәжірибе
experienced	тәжірибелі
experiences	тәжірибе
experiment	эксперимент
experimental	эксперименттік
experimentation	эксперимент жүргізу
experimenter	экспериментатор
expert	сарапшы
expertise	сараптама
expiration	мерзімінің аяқталуы
expire	мерзімі аяқталады
expired	жарамдылық мерзімі өткен
expiry	жарамдылық мерзімі
explain	түсіндіріңіз
explanation	түсініктеме
explanatory	түсіндірме
expletive	эксплуатациялық
explication	түсіндірме
explicit	айқын
explode	жарылуы
exploit	пайдалану
exploitation	пайдалану
exploration	барлау
exploratory	барлау
explore	зерттеу
explorer	зерттеуші
explosion	жарылыс
explosions	жарылыстар
explosive	жарылғыш зат
expo	экспо
exponent	экспонент
exponential	экспоненталық
export	экспорт
exportation	экспорттау
expose	ашу
exposed	әсерін тигізді
exposition	экспозиция
expository	экспозиторий
exposure	әсер етуі мүмкін
expound	түсіндіру
express	экспресс
expression	өрнек
expressive	мағыналы
expressway	Автомагистраль
expropriation	экспроприация
expulsion	шығарып тастау
exquisite	талғамды
exquisitely	талғамды
extant	босатылған
extend	кеңейтіңіз
extendable	кеңейтілетін
extended	ұзартылды
extension	кеңейтім
extensive	кең
extent	дәреже
exterior	сыртқы түрі
exterminate	жою
extermination	жою
exterminator	экстермиратор
external	сыртқы
externally	сыртқы жағынан
extinct	жойылған
extinction	жоғалту
extinguish	сөндіру
extinguisher	сөндіргіш
extol	эксталь
extort	қорқытып алу
extortion	қорқытып алу
extra	қосымша
extract	үзінді
extracting	шығару
extraction	өндіру
extractor	экстрактор
extracurricular	тыс сабақтар
extradition	экстрадициялау
extrajudicial	соттан тыс
extramural	сырттай
extraneous	бөтен
extraordinaire	extraordinaire
extraordinary	ерекше
extraterrestrial	тыс жердегі
extravagance	экстравагант
extravagant	экстравагант
extravaganza	экстраваганза
extreme	шеткі
extreme anticipation	өте күту
extreme disgust	өте шіркілік
extreme surprise	өте таң қалдырды
extreme trust	шеткі сенім
extremely	өте
extremely negative	өте теріс
extremely positive	өте оң
extremity	аяғы
extricate	құтқару
extrinsic	сыртқы
extrusion	экструзия
exuberance	қуаныш
exude	босатыңыз
eye	көз
eyeball	көзге көрінбейді
eyebrow	қасы
eyeful	ұнамды
eyeglass	көзілдірік
eyeglasses	көзілдіріктер
eyelash	кірпік
eyelet	сақина
eyeliner	көзілдірік
eyepiece	көзілдірік
eyes	көздер
eyesight	көру қабілеті
eyewitness	куәгер
fab	зауыт
fable	көрнекті
fabled	fabled
fabric	мата
fabricate	дайындалады
fabricated	дайындалған
fabrication	дайындық
fabulous	ертегі
facade	қасбет
face	тұлға
faceless	тұлға емес
facet	фасетте
facial	беті
facile	NO TRANSLATION
facilitate	жеңілдету
facility	мекеме
facing	бетпе-бет
facsimile	факсимильді байланыс
fact	факт
faction	фракция
factor	фактор
factory	зауыт
facts	фактілер
factual	нақты
faculties	факультеттер
faculty	факультет
fad	сәттілік
fade	құлдырау
faded	әлсіреген
faeces	нәжіс
fag	фаг
faggot	фагот
fail	сәтсіз
failing	сәтсіздікке
failure	сәтсіздік
fain	NO TRANSLATION
faint	әлсіз
fainting	жоғалту
fair	әділетті
fairly	әділетті
fairness	әділдік
fairway	әуежай
fairy	ертегі
faith	сенім
faithful	адал
faithfulness	адалдық
faithless	сенімсіз
fake	жалған
faker	факер
falafel	фалафель
falcon	шаян
fall	құлау
fallacious	жалған
fallacy	қате
fallback	Кері шегіну
fallible	қате
falling	құлдырау
fallopian	фаллопиялық
fallout	түсу
fallow	құлдырау
false	FALSE
falsehood	жалғандық
falsely	жалған
falsification	жалғандық
falsified	жалған
falsify	жалған
falsity	жалғандық
falter	құлдырауы
fame	даңқ
famed	атақты
familiar	таныс
familiarity	танысу
familiarize	таныстыру
family	отбасы
familytime	отбасылық уақыт
famine	аштық
famished	аштыққа ұшырады
famous	атақты
famously	әйгілі
fan	желдеткіш
fanatic	фанатикалық
fanatical	фанатикалық
fanaticism	фанатизм
fanciful	қызықты
fancy	фантазия
fandango	фаннанго
fanfare	фантастика
fang	NO TRANSLATION
fangs	жалындар
fanning	желдету
fantasia	фантазия
fantasize	қиялдау
fantastic	ғажайып
fantasy	қиял
faraway	алыс
farce	фарс
farcical	фарскалық
fare	тариф
farewell	қоштасу
farm	шаруашылық
farmer	фермер
farmhouse	ферма үйі
farming	ауыл шаруашылығы
farmland	ауыл шаруашылығы
faro	faro
fart	бейбітшілік
farther	одан да көп
fascia	фассия
fascinate	қызықтырады
fascinated	таң қалдырды
fascinating	қызықты
fascination	қызықтырады
fascism	фашизм
fascist	фашист
fashion	сән
fashionable	сәнді
fastball	fastball
fasten	бекітіңіз
fastener	Бекіткіш
fastening	Бекіту
fasting	аштық
fat	май
fatal	өлім
fatalism	фатализм
fatality	өлім
fate	тағдыр
fated	тағдыры
fateful	тағдыры
fathead	майлы бас
father	әке
fatherhood	әкесі
fatherland	Отан
fatherly	әкесі
fathom	fathom
fatigue	шаршау
fatigued	шаршайды
fatso	бензин
fatten	бордақылау
fatty	майлы
faucet	кран
fault	Кінә
faultless	мінсіз
faulty	ақаулы
faun	фаун
fauna	фаунасы
faux	қате
favor	артықшылық
favorable	қолайлы
favorite	сүйікті
favoriteholiday	NO TRANSLATION
favoritism	фаворитизм
fawn	қуыршақ
fax	факс
faze	NO TRANSLATION
fear	қорқыныш
feared	қорқады
fearful	қорқынышты
fearfully	қорқынышпен
fearing	қорқады
fearless	қорқынышты
fears	қорқыныш
fearsome	қорқынышты
feasibility	орындылығы
feasible	мүмкін
feast	мереке
feat	feat
feather	қауырсын
feathered	қуырылған
feature	ерекшелігі
features	Мүмкіндіктер
febrile	фебрильді
fecal	фекальды
feces	нәжіс
fecundity	ұрықтандыру
fed	тамақтандырды
federal	федералдық
federation	федерация
fedup	NO TRANSLATION
fee	ақы
feeble	әлсіз
feed	азық
feedback	кері байланыс
feeder	фидер
feel	сезіну
feelgood	жақсы сезіну
feeling	сезім
feelingdown	NO TRANSLATION
feelinggood	NO TRANSLATION
feet	аяғы
feign	әйгілі
feigned	орындалған
feisty	feisty
felicity	бақыт
feline	пияз
fell	құлады
feller	фельдшер
fellow	басқа
fellowship	қарым-қатынас
felon	жалған
felony	қылмыс
felt	сезіндім
female	әйел
feminine	әйелдік
femininity	әйелдік
feminism	феминизм
feminist	феминист
femme	NO TRANSLATION
femoral	феморальды
femur	femur
fen	NO TRANSLATION
fence	қоршау
fenced	қоршалған
fencing	қоршаулар
fend	қамқорлық
fender	бөрене
fennel	аскөк
ferment	ашыту
fermentation	ашыту
fern	fern
ferocious	түршігерлік
ferocity	қатыгездік
ferret	құтылу
ferry	бумен
ferryboat	NO TRANSLATION
fertile	құнарлы
fertility	құнарлылығын
fertilize	ұрықтандыру
fertilizer	тыңайтқыш
fervent	жігерлі
fervor	шаттыққа толы
fess	бос
fest	фестиваль
festival	фестиваль
festive	мерекелік
fetal	ұрық
fetch	алу
fete	NO TRANSLATION
fetish	фетиш
fetus	ұрық
feud	қасірет
feudal	феодалдық
feudalism	феодализм
fever	қызба
feverish	қызбайтын
fiancee	NO TRANSLATION
fiasco	фиаско
fiat	fiat
fib	fib
fiber	талшық
fiberglass	шыны шыны
fibrosis	фиброз
fibrous	талшықты
fickle	қайнатпа
fiction	көркем әдебиет
fictional	әйгілі
fictitious	жалған
fiddle	скрипка
fiddler	скрипка
fidelity	сенімділік
fidgety	күлкілі
fiduciary	фидуциарлық
field	өріс
field hockey	далалық хоккей
fielder	филлер
fiend	fiend
fiendish	жалған
fierce	қатал
fiery	отты
fiesta	Fiesta
fiesty	NO TRANSLATION
fifteen	он бес
fifty	елу
fig	інжір
fight	күрес
fighter	жауынгер
fighting	күрес
fights	жекпе-жектер
figment	сурет
figurative	бейнелі
figure	сурет
figurine	фигурка
filament	жіп
filamentous	жіп тәрізді
file	файл
filet	филе
filibuster	filibuster
filigree	filigree
filing	өтініш беру
filings	өтініштер
fill	толтырыңыз
filler	толтырғыш
fillet	филе
filling	толтыру
filly	толтыру
film	фильм
filmmaker	кинорежиссер
filmy	NO TRANSLATION
filter	сүзгі
filth	қоқыс
filthy	лас
filtration	сүзу
fin	NO TRANSLATION
final	финал
finale	финал
finalist	финалист
finality	аяқталуы
finalize	аяқтау
finalized	аяқталды
finally	ақырында
finance	қаржы
financial	Қаржылық
financier	қаржыгер
finch	бояу
find	табу
finder	іздеуіш
finding	табу
fine	айыппұл
finery	бояу
finesse	тазалық
finger	саусақпен
fingernail	тырнақ
fingerprint	саусақ ізі
fingerscrossed	NO TRANSLATION
finish	аяқтау
finished	аяқталды
finite	соңғы
fink	қызғылт
fir	шырша
fire	өрт
firearm	қару-жарақ
firearms	атыс қаруы
fireball	шабандоз
firecracker	өрт сөндіргіш
firefight	өрт сөндіру
firefighter	өрт сөндірушісі
firefly	атыс қаруы
firehouse	оттық
firelight	отты жарық
fireman	өрт сөндіруші
fireplace	Камин
firepower	өрт қуаты
fireproof	отқа төзімді
fireside	тұман
firestorm	өрт соққысы
firewall	брандмауэр
firewood	отын
firework	фейерверк
fireworks	отшашу
firing	атыс
firm	фирма
firmament	ауа райы
firmly	қатты
firmness	қаттылық
first	алдымен
firstborn	тұңғыш
firstworldprobs	NO TRANSLATION
fiscal	фискалдық
fish	балық
fisherman	балықшы
fishery	балық аулау
fishing	балық аулау
fishing boat	балық аулау қайық
fishy	балық
fissile	үзіліс
fission	бөлу
fissure	жарықтық
fist	жұдырық
fistfight	жұдырықтасу
fistful	ақжүрек
fistula	ақуыз
fit	жарамды
fitness	фитнес
fits	сәйкес келеді
fitted	жабдықталған
fitting	орнату
fittings	фитингтер
five	бес
fiver	файер
fix	түзету
fixable	түзетілген
fixation	бекіту
fixed	тұрақты
fixer	түзеткіш
fixture	арматура
fixtures	арматура
fizz	fizz
fjord	фьорд
flabbergast	flabbergast
flabbergasted	құтқарылды
flabby	жарқын
flaccid	жылтыратылған
flag	жалау
flagging	белгілеу
flagpole	жалаушасы
flagrant	жалған
flagship	флагманы
flagstaff	жалаушасы
flair	қабілет
flak	қылшық
flake	шөгінді
flaky	қылшық
flamboyant	жарқын
flame	жалын
flamethrower	жалын
flaming	жалын
flamingo	фламинго
flammable	тұтанғыш
flan	фланец
flange	фланец
flank	фланг
flanked	бүктелген
flanking	қоршау
flannel	фланель
flap	клапан
flapping	қылқалам
flare	алау
flares	алау
flaring	алауда жағылады
flash	жыпылықтайды
flashback	шапшаңдық
flashing	жыпылықтайды
flashlight	шамы
flashy	таңқаларлық
flask	шыныаяқ
flat	тегіс
flatbed	тегіс
flatfoot	жалпақ
flatness	жазықтық
flatten	тегіс
flatter	тегіс
flattered	лақтырылған
flattering	жалтырау
flattery	ләззат
flatulence	метеоризм
flaunt	флейт
flavor	дәмі
flaw	кемшілік
flawed	қате
flawless	мінсіз
flea	бүргеден
fleabag	флагаг
fled	қашып кетті
flee	қашыңыз
fleece	жүнді
fleet	флот
fleeting	ұшу
flesh	салдарды
fleshy	мясистый
flex	икемділік
flexibility	икемділік
flexible	икемді
flexin	икемділік
flexion	икемділік
flick	түртіңіз
flicker	жыпылықтайды
flickering	жыпылықтайды
flier	ұшқыш
flight	ұшу
flighty	ұшу
flimsy	нәзік
flinch	флинч
fling	қаптау
flint	шөгінділер
flip	флип
flip flop	триггер
flipper	ұшқыш
flipping	бұрылу
flirt	флирт
flirtation	флирт
flirting	флирт
flirty	қызық
float	float
floater	флоатер
flock	қой
flog	соққы
flood	су тасқыны
floor	қабат
flooring	едендер
floozy	floozy
flop	флоп
floppy	дискета
flora	өсімдіктер
floral	гүлдер
florist	флорист
floss	тігіледі
flotation	флотация
flounder	камбала
flour	ұн
flourish	гүлденген
flow	ағыны
flower	гүлдер
flowering	гүлдеу
flowers	гүлдер
flowery	гүлдер
flows	ағындары
flu	тұмау
fluctuate	ауытқу
fluctuating	ауытқуы
fluctuation	ауытқу
flue	түтін
fluency	еркін сөйлеу
