Word	ml
drove	NO TRANSLATION
drown	മുങ്ങി മരിക്കുക
drowsiness	മയക്കം
drowsy	ഉറക്കം
drudgery	മയക്കമരുന്ന്
drug	മരുന്ന്
drug dealing	മയക്കുമരുന്ന് വ്യാപാരം
drugged	മയക്കുമരുന്ന്
druggist	മയക്കുമരുന്ന്
drugs	മരുന്നുകൾ
drugstore	മരുന്നുകട
druid	ഡ്രൂയിഡ്
drum	ഡ്രം
drummer	ഡ്രമ്മർ
drumming	ഡ്രമ്മമിംഗ്
drunk	മദ്യപാനം
drunk driving	മദ്യപിച്ച് വാഹനമോടിക്കൽ
drunkard	മദ്യപാന
drunken	മദ്യപാനം
drunkenness	മദ്യപാനം
dry	വരണ്ട
dryer	ഡ്രൈയർ
dryness	വരൾച്ച
dual	ഇരട്ട
dualism	ദ്വൈതത്വം
duality	ദ്വന്ദത്വം
dub	ഡബ്
dubious	സംശയാസ്പദമായ
duchess	ഡച്ചസ്
duck	ഡക്ക്
ducking	താറാവ്
duckling	ഡക്ക്ലിംഗ്
ducky	ഡക്കി
duct	നാട
ductile	നഖം
dud	ഡഡ്
dude	ഡ്യുഡ്
duds	ഡൂഡ്സ്
due	കാരണം
duel	ദ്വന്ദം
dues	കുടിശിക
duet	ഡ്യുയറ്റ്
duffel	ഡഫൽ
dugout	കുഴപ്പമില്ല
duh	ഡു
duke	ഡ്യൂക്ക്
dull	മുഷിഞ്ഞ
dullard	നിസ്സഹായനാണ്
dumb	ഊമ
dumbasses	ഡംബെസസ്
dumbbell	ഡംബെൽ
dumbbitch	NO TRANSLATION
dumfound	ഡംഫൗണ്ട്
dumfounder	NO TRANSLATION
dummy	ഡമ്മി
dump	ഡംബ്
dumpling	ഡംപിംഗ്
dumps	ഡംപുകൾ
dumpster	ഡംസ്റ്റസ്റ്റർ ചെയ്യുക
dun	ഡൺ
dunce	ഡൻസ്
dune	ഡൺ
dung	NO TRANSLATION
dungeon	കുണ്ടറയിൽ
dunk	ഡങ്ക്
duo	ഇരുവരും
dupe	dupe
duplex	ഡ്പ്ലെക്സ്
duplicate	തനിപ്പകർപ്പ്
duplication	പകര്പ്പ്
duplicity	ഇരട്ടത്താപ്പാണ്
durability	ഈട്
durable	നീളം
duration	കാലാവധി
duress	കുഴപ്പം
dusk	സന്ധ്യ
dusky	ഇരുണ്ടത്
dust	പൊടി
duster	ഡസ്റ്റർ
dustpan	മയക്കുമരുന്ന്
dusty	പൊടിനിറഞ്ഞ
dutiful	നിസ്സംശയം
duty	കടമ
dwarf	കുള്ളൻ
dwarfed	കുഗ്രാമം
dweeb	dweeb
dwell	താമസിക്കുക
dweller	പാർപ്പിടം
dwelling	താമസിക്കുന്നത്
dye	ഡൈ
dying	മരിക്കുക
dyke	ഡൈകെ
dynamic	ചലനാത്മകം
dynamical	ചലനാത്മകം
dynamics	ചലനാത്മകത
dynamite	ഡൈനാമിറ്റ്
dynamo	ഡൈനാമോ
dynasty	രാജവംശം
dysentery	അതിസാരം
dysfunction	ഉദ്ധാരണം
dysfunctional	അതിശയകരമല്ലാത്ത
dyspepsia	ഡിസ്പെൻസിയ
eager	ആകാംക്ഷയോടെ
eagerness	ഉത്സാഹം
eagle	കഴുകൻ
ear	ചെവി
earful	ചെവി
earl	ഇയർൽ
earlier	നേരത്തെ
early	നേരത്തെ
earn	സമ്പാദിക്കുക
earnest	രസകരം
earnestly	ധീരമായി
earnestness	ഗർവം
earnings	വരുമാനം
earpiece	ഇയർഫോൺ
earring	ചെവിയിൽ
earrings	കമ്മലുകൾ
earshot	കേൾവി
earth	ഭൂമി
earthenware	മൺപാത്രങ്ങൾ
earthling	മണ്ണിര
earthly	ഭൗതികമായി
earthquake	ഭൂകമ്പം
earthy	മണ്ണുകൊണ്ടുള്ള
ease	എളുപ്പവും
easel	easel
easement	എളുപ്പമാണ്
easily	എളുപ്പത്തിൽ
east	കിഴക്ക്
eastbound	കിഴക്കോട്ട്
eastern	കിഴക്ക്
easy	എളുപ്പമാണ്
easygoing	ഈസി ഗോയിംഗ്
eat	ഭക്ഷിക്കുക
eater	തിളക്കം
eating	കഴിക്കുന്നു
eatingdisorders	NO TRANSLATION
eavesdrop	വിദ്വേഷം
eavesdropping	വിദ്വേഷം
ebb	ebb
ebony	നർമ്മം
ebullient	ഇബ്ലീസ്
eccentric	ബലങ്ങളാണ്
eccentricity	വിശാലത
ecclesiastical	സഭാ
echelon	സെഞ്ച്വറി
echinacea	എച്ചിനാസിയ
echo	എക്കോ
eclectic	electlectic
eclipse	ഗ്രഹണം
ecliptic	ക്രാന്തികം
ecological	പാരിസ്ഥിതികമായ
economic	സാമ്പത്തിക
economical	സാമ്പത്തിക
economics	സാമ്പത്തികശാസ്ത്രം
economy	സമ്പദ്
ecosystem	ഇക്കോസിസ്റ്റം
ecstasy	വിശ്രമം
ecstatic	ഇക്സ്റ്റാറ്റിക്
ecumenical	ഇക്യുമെനിക്കൽ
eddy	എഡ്ഡി
edema	എഡ്മ
edge	മുറ്റം
edging	ഉരുകി
edgy	നർമ്മം
edible	ഭക്ഷ്യയോഗ്യമായ
edict	ഉദ്ധരിക്കുക
edification	edification
edifice	മന്ദിരം
edit	എഡിറ്റ് ചെയ്യുക
editing	എഡിറ്റിംഗ്
edition	പതിപ്പ്
editor	എഡിറ്റർ
editorial	എഡിറ്റോറിയൽ
educate	അഭ്യസിപ്പിക്കുന്നത്
educated	വിദ്യാഭ്യാസം
education	വിദ്യാഭ്യാസം
educational	വിദ്യാഭ്യാസ
educator	അധ്യാപകൻ
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	ഈൽ
eerie	എയ്റി
effect	ഇഫക്ട്
effective	ഫലപ്രദമായ
effectiveness	ഫലപ്രാപ്തി
effects	ഇഫക്റ്റുകൾ
effectual	ഫലപ്രദമായി
effectually	ഫലപ്രദമായി
effectuate	ഫലപുഷ്ടിയുള്ള
effeminate	മൂർച്ചയുള്ള
efficacious	ഫലപ്രദമായ
efficacy	ഫലപ്രാപ്തി
efficiency	കാര്യക്ഷമത
efficient	കാര്യക്ഷമമായ
effigy	ഊർജ്ജം
effort	ശ്രമം
effortless	ബുദ്ധിമുട്ട്
effusion	ദ്രാവകം
effyou	NO TRANSLATION
egg	മുട്ട
egghead	വുഡ്ഹെഡ്
eggnog	eggnog
eggplant	എഗ്പ്ലാന്റ്
eggshell	മുട്ട
ego	അഹം
egomaniac	ഉദാഹരണം
egotistical	വൃത്തികെട്ട
egregious	അതിശയകരമായ
egress	ആഴത്തിൽ
eight	എട്ട്
eighteen	പതിനെട്ടു
eighth	എട്ടാം സ്ഥാനത്ത്
eighty	എൺപത്
ejaculate	ശമിപ്പിക്കുക
ejaculation	വികാരങ്ങൾ
eject	പുറന്തള്ളുക
ejection	എജക്ഷൻ
elaborate	വിശാലമാക്കുക
elaboration	വിശകലനം
elan	NO TRANSLATION
elapse	നശിപ്പിക്കുക
elapsed	കഴിഞ്ഞു
elastic	ഇലാസ്റ്റിക്
elasticity	ഇലാസ്തികത
elated	സന്തോഷം
elation	ഉദയം
elbow	മുഞ്ഞ
eld	എൽ
elder	മൂത്ത
elderly	പ്രായമായ
elders	മൂപ്പന്മാർ
eldest	മൂത്ത
elect	തിരഞ്ഞെടുക്കണം
election	തിരഞ്ഞെടുപ്പ്
elective	തെരഞ്ഞെടുക്കുക
elector	വോട്ടർ
electoral	തിരഞ്ഞെടുപ്പ്
electorate	വോട്ടർമാർ
electric	വൈദ്യുത
electric slide	ഇലക്ട്രിക് സ്ലൈഡ്
electrical	ഇലക്ട്രിക്കൽ
electrician	ഇലക്ട്രീഷ്യൻ
electricity	വൈദ്യുതി
electrify	വൈദ്യുതീകരണം
electrocute	ഇലക്ട്രോക്യുട്ട്
electrocution	വൈദ്യുതക്കസേര
electromagnetic	വൈദ്യുതകാന്തിക
electron	ഇലക്ട്രോൺ
electronic	ഇലക്ട്രോണിക്
electronics	ഇലക്ട്രോണിക്സ്
elegance	ചാരുത
elegant	സുന്ദരമാണ്
element	മൂലകം
elemental	മൂലധനം
elementary	പ്രാഥമികം
elements	ഘടകങ്ങൾ
elephant	ആന
elevate	ഉയർത്തുക
elevated	ഉയർത്തി
elevation	ഉയരത്തിലുമുള്ള
elevator	എലിവേറ്റർ
eleven	പതിനൊന്ന്
eleventh	പതിനൊന്നാമത്
elf	elf
elicit	ആരംഭിക്കുക
eligible	യോഗ്യനാണ്
eliminate	ഇല്ലാതെയാക്കുവാൻ
elimination	ഉന്മൂലനം
elite	എലൈറ്റ്
elitist	ഉന്നതനും
elixir	അൾസർ
elk	എൽക്ക്
ell	ell
ellipse	ദീർഘവൃത്ത
ellipsis	എല്ലിപ്സിസ്
ellipsoid	ദീർഘവൃത്തീയ
elliptic	ദീർഘവൃത്താകാരം
elliptical	എലിപ്റ്റിക്കൽ
elm	എൽഎം
elongate	നീളം
elongation	നീളം
elope	എഴുന്നേറ്റ്
eloquence	വാചാടോപം
eloquent	വാചാടോപം
elucidate	വ്യാഖ്യാനിക്കുക
elucidation	വ്യാഖ്യാനങ്ങൾ
elude	ഒഴിഞ്ഞുമാറുക
elusive	അഴകുള്ള
emaciated	ധീരമായി
email	ഇമെയിൽ
emanate	പുറത്തുവരിക
emancipation	വിമോചനം
embankment	കടൽ
embargo	NO TRANSLATION
embark	ആരംഭിക്കുക
embarrass	അസ്വസ്ഥത
embarrassed	വിഷമിപ്പിച്ചു
embarrassing	ശല്യപ്പെടുത്തുന്ന
embarrassment	നാണം
embassy	എംബസി
embattled	പൊട്ടിച്ചിരിച്ചു
embed	ഉൾച്ചേർക്കുക
embellish	അലങ്കരിക്കൂ
embellishment	അലങ്കാരം
embers	കൊള്ളാം
embezzlement	വഞ്ചന
embezzler	വഞ്ചകൻ
emblem	ചിഹ്നം
emblematic	ചിഹ്നമാണ്
embodiment	ആവിഷ്കാരം
embolism	എംബോളിസം
embossed	മുദ്രണം
embrace	പുണരുക
embroidered	എംബ്രോയിഡറി
embroidery	ചിത്രത്തയ്യൽപണി
embroiled	ഞെക്കി
embryo	ഭ്രൂണം
embryonic	ഭ്രൂണവിഭവം
emcee	വലിക്കുക
emerald	മരതകം
emerge	ഉദിക്കുക
emergence	ഉദയം
emergency	എമർജൻസി
emeritus	എമിലിറ്റസ്
emery	എമേർജി
emetophobia	എമേറ്റോഫോബിയ
emigrate	എമിഗ്രേറ്റ് ചെയ്യുക
emigration	എമിഗ്രേഷൻ
eminence	മഹത്വം
eminent	പ്രമുഖമായ
eminently	അതിശയമായി
emir	NO TRANSLATION
emissary	എസ്
emission	ഉദ്വമനം
emit	പുറത്തുവിടുക
emo	ഇമോ
emotion	ഇമോഷൻ
emotional	വികാരപരമായ
emotive	emotive
empathic	empathic
empathize	empathize
empathy	സഹതാപം
emperor	ചക്രവർത്തി
emphasis	ഊന്നിപ്പറയല്
emphasize	പ്രാധാന്യം നൽകി
emphatic	ഉറപ്പാണ്
emphysema	എംഫിസെമ
empire	സാമ്രാജ്യം
empirical	അനുഭവസമ്പത്ത്
empiricism	അനുഭവസമ്പത്ത്
employ	ജോലിക്ക്
employee	ജോലിക്കാരൻ
employer	തൊഴിലുടമ
employment	തൊഴിൽ
emporium	എംപോറിയം
empower	ശക്തിപ്പെടുത്തുന്ന
empress	രാക്ഷസൻ
emptiness	ശൂന്യത
emption	ഉത്തേജനം
empty	ശൂന്യമാണ്
emu	എമു
emulate	അനുകരിക്കുക
emulsion	എമൽഷൻ
enable	പ്രാപ്തമാക്കുക
enablement	പ്രാപ്തമാക്കൽ
enact	നടപ്പിലാക്കുക
enactment	നിയമനം
enamel	ഇനാമല്
encampment	താവളം
enchant	മോഹിപ്പിക്കുക
enchanted	വഞ്ചി
enchanting	മോഹിപ്പിക്കുന്ന
enchantment	ആഭിചാരം
enchantress	മന്ത്രവാദി
enchilada	enchilada
encircle	വലയം ചെയ്യുക
encircling	ചുറ്റിവരിപ്പ്
enclave	എൻക്ലേവ്
enclose	അടക്കംചെയ്യുക
enclosure	അകത്ത്
encode	എൻകോഡ് ചെയ്യുക
encomiastic	NO TRANSLATION
encomium	encomium
encompass	ഉൾക്കൊള്ളുന്നു
encore	NO TRANSLATION
encounter	ഏറ്റുമുട്ടൽ
encourage	പ്രോത്സാഹിപ്പിക്കുന്നു
encouraged	പ്രോത്സാഹിപ്പിച്ചു
encouragement	പ്രോത്സാഹനം
encouraging	പ്രോത്സാഹജനകമാണ്
encroach	കൈയേറ്റം
encroachment	കൈയേറ്റം
encrypt	എൻക്രിപ്റ്റ് ചെയ്യുക
encryption	എൻക്രിപ്ഷൻ
encumbrance	തടസ്സപ്പെടുത്തുക
encyclopedia	എൻസൈക്ലോപീഡിയ
end	അവസാനിക്കുന്നു
end table	അവസാന പട്ടിക
endanger	അപായപ്പെടുത്തുന്നു
endangered	അപകടകരമായ അവസ്ഥയിലാണ്
endangerment	അപകടം
endearing	പ്രിയങ്കരമായ
endeavor	പരിശ്രമിക്കുക
ended	അവസാനിച്ചു
endemic	എൻഡെമിക്
endgame	എൻഡ് ഗെയിം
ending	അവസാനിക്കുന്നു
endless	അനന്തമായ
endocarditis	എൻഡോ കാർഡൈറ്റിസ്
endorse	സമ്മതിക്കുക
endorsement	അംഗീകാരം
endow	അവസാനിപ്പിക്കുക
endowed	ദാനം ചെയ്തു
endowment	എൻഡോവ്മെന്റ്
endpapers	പതിപ്പുകൾ
endpoint	എൻഡ്പോയിന്റ്
endurance	സഹിഷ്ണുത
endure	സഹിഷ്ണുത
enduring	നിലനിൽക്കുന്ന
enema	എരിമ
enemy	ശത്രു
energetic	ഊർജ്ജസ്വലമായ
energize	ഊർജ്ജസ്വലമാക്കുക
energy	ഊർജ്ജം
enforce	നടപ്പിലാക്കുക
enforcement	നടപ്പിലാക്കുക
enforcer	നടപ്പിലാക്കുക
engage	ഇടപഴകുക
engaged	ഏർപ്പെട്ടിരിക്കുന്ന
engagement	ഇടപഴകൽ
engaging	ഇടപെടുക
engender	ഇടപെടുക
engine	എഞ്ചിൻ
engineer	എഞ്ചിനീയർ
engineering	എഞ്ചിനീയറിംഗ്
engrave	കൊള്ളാം
engraved	കൊത്തുപണി
engraver	കൊത്തുപണി
engraving	കൊത്തുപണി
engrossed	വലിച്ചെടുത്തു
engrossing	കളിക്കുന്നു
engulf	ചുറ്റിക്കറങ്ങുക
enhance	വർദ്ധിപ്പിക്കുക
enhancement	മെച്ചപ്പെടുത്തൽ
enigma	തമാശ
enigmatic	ചിട്ടപ്പെടുത്തുക
enjoin	കൽപിക്കുക
enjoy	ആസ്വദിക്കൂ
enjoyable	രസകരമായ
enjoying	ആസ്വദിക്കുന്നു
enjoyment	സുഖം
enlarge	വലുതാക്കുക
enlarged	വിശാലമായിരിക്കുന്നു
enlargement	വിശാലത
enlighten	ബോധവൽക്കരിക്കുക
enlightened	പ്രകാശം
enlightening	പ്രകാശം
enlightenment	ജ്ഞാനം
enlist	ലിസ്റ്റുചെയ്യുക
enliven	enliven
enmity	ശത്രുത
ennui	ennui
enormity	ഉപദ്രവം
enormous	അസാമാന്യമായ
enormously	ധാരാളമായി
enraged	കോപാകുലനായി
enrich	സമൃദ്ധമായി
enroll	എൻറോൾ ചെയ്യുക
enrollment	എൻറോൾമെന്റ്
ensemble	കൂട്ടം
ensign	പ്രധാനം
enslave	അടിമത്തത്തിന്റെ
enslaved	അടിമത്തത്തിലായിരുന്നു
enslavement	അടിമത്തത്തിന്റെ
ensue	തുടരുക
ensure	ഉറപ്പാക്കുക
entail	ഉൾക്കൊള്ളുന്നു
entangled	ചുറ്റിക്കറങ്ങുന്നു
entanglement	സങ്കോചം
enter	നൽകുക
enterprise	എന്റർപ്രൈസ്
enterprising	വഞ്ചന
entertain	ആസ്വദിക്കൂ
entertained	രസിപ്പിക്കുക
entertainer	എന്റർടൈൻമെന്റ്
entertaining	രസകരം
entertainment	വിനോദമാണ്
enthralled	ഉറ്റുനോക്കി
enthusiasm	ആവേശം
enthusiast	ആവേശം
enthusiastic	ഉത്സാഹത്തോടെ
entice	വശീകരിക്കും
entire	മുഴുവൻ
entirety	മുഴുവനായും
entitle	നൽകുക
entity	എന്റിറ്റി
entomology	എൻജിയോളജി
entourage	പരിവർത്തനത്തിന്
entrails	ചെറുകുടൽ
entrance	പ്രവേശനം
entrapment	എന്റപ്പ്മെന്റ്
entreat	അപേക്ഷിക്കുക
entree	entree
entrepreneur	സംരംഭകനാണ്
entrust	ഏൽപ്പിക്കുക
entry	എൻട്രി
enumerate	സൂചിപ്പിക്കാൻ
enumeration	സംഖ്യ
envelope	കവര്
envious	അസൂയ
environ	NO TRANSLATION
environment	പരിസ്ഥിതി
environmental	പരിസ്ഥിതി
environs	പരിസരം
envision	ഭാവം
envoy	ദൂതൻ
envy	അസൂയ
enzyme	എൻസൈം
ephemeral	അൽപ്പനേരം
ephemeris	എഫേമിസ്
epic	ഇതിഹാസമായ
epidemic	പകർച്ചവ്യാധി
epidermis	പുറംതള്ളം
epidural	എപ്പിഡറൽ
epilepsy	അപസ്മാരം
epileptic	അപസ്മാരം
epilogue	എപ്പിക്ലോഗ്
epiphany	എപ്പിഫാനി
episcopal	എപ്പിസ്കോപ്പൽ
episode	എപ്പിസോഡ്
episodic	എപ്പിസോഡിക്
epistle	ഉപദേശം
epitaph	എപ്പിടാപ്പ്
epithet	എപ്പിട്ട്
epitome	സംഗ്രഹം
epoch	യുഗം
equal	തുല്യമായ
equality	സമത്വം
equalization	സമവാക്യം
equalize	തുല്യമാക്കുക
equalizer	സമവാക്യം
equally	തുല്യ
equate	തുല്യമാക്കുക
equation	സമവാക്യം
equator	മധ്യരേഖാ
equatorial	മധ്യരേഖാഭാഗം
equestrian	അശ്വാതൻ
equidistant	അസമത്വം
equilibration	തുലനം
equilibrium	സമതുലനം
equip	സജ്ജമാക്കുക
equipment	ഉപകരണങ്ങൾ
equitable	നിഷ്പക്ഷമായ
equity	ഇക്വിറ്റി
equivalence	തുല്യത
equivalent	തുല്യമായ
equivocal	അസാധാരണമായ
era	യുഗം
eradicate	ഉന്മൂലനം ചെയ്യുക
eradication	നശീകരണം
erase	മായ്ക്കുക
eraser	രസമാണ്
erasure	മായ്ക്കൽ
ere	NO TRANSLATION
erect	സ്ഥാപിക്കുക
erectile	ഉദ്ധാരണം
erection	ഉദ്ധാരണം
ergo	NO TRANSLATION
erode	നശിക്കുക
erosion	മണ്ണൊലിപ്പ്
erotic	ലൈംഗികത
erotica	ഇമോട്ടിക്കോ
err	തെറ്റ്
errand	വെറുതെ
errant	പരാജിത
erratic	തെറ്റായ
erratum	തെറ്റായ
erroneous	തെറ്റായ
error	പിശക്
erst	NO TRANSLATION
erudite	ഋജു
erupt	ഉരുകുക
eruption	വിപ്ലവം
escalade	എസ്ക്കെയ്ഡ്
escalate	വികസിക്കുക
escalating	വർദ്ധിപ്പിക്കൽ
escalation	എസ്കലേഷൻ
escalator	എസ്കലേറ്റർ
escape	എസ്കേപ്പ്
escaped	രക്ഷപ്പെട്ടു
escarpment	എസ്കാർംപ്മെന്റ്
eschew	ഒഴിഞ്ഞുമാറുക
escort	എസ്കോർട്ട്
escrow	എസ്ക്രോ
esophagus	അന്നനാളം
esoteric	നിശബ്ദത
especial	NO TRANSLATION
espionage	ചാരവൃത്തി
espouse	കൈവശം വയ്ക്കുക
espresso	എസ്പ്രെസോ
esprit	എസ്പിറ്റ്
esquire	എസ്ക്വയർ ചെയ്യുക
essay	ഉപദേശം
essayist	ലേഖകൻ
essence	സാരാംശം
essential	അത്യാവശ്യമാണ്
essentially	അടിസ്ഥാനപരമായി
establish	സ്ഥാപിക്കുക
established	സ്ഥാപിച്ചു
establishment	സ്ഥാപനം
estate	എസ്റ്റേറ്റ്
esteem	മാനം
esteemed	വിലമതിക്കണം
esthetic	എസ്തേറ്റിക്
estimable	വിലയിരുത്താം
estimate	എസ്റ്റിമേറ്റ്
estimation	കണക്കാക്കൽ
estoppel	എസ്റ്റോപല്
estranged	വിഭജിച്ചു
estrogen	ഈസ്ട്രജൻ
estuary	മോഷ്ടാവ്
etch	etch
etching	ഇഞ്ച്
eternal	ശാശ്വതമായ
eternity	നിത്യത
ethanol	എത്തനോൽ
ether	ഈഥർ
ethereal	സുന്ദരമാണ്
ethic	ധാർമ്മികം
ethical	സദാചാരം
ethics	നീതിശാസ്ത്രം
ethnic	വംശീയമായ
ethnography	എത്നോഗ്രാഫി
etiology	വ്യാഖ്യാതം
etiquette	മര്യാദകൾ
etymology	പദോത്പത്തി
eucalyptus	യൂക്കാലിപ്റ്റസ്
euchre	ഏച്ചെരെ
eugenics	യൂജനിക്സ്
eulogistic	eulogistic
eulogium	eulogium
eulogize	eulogize
eulogy	ഇന്ദുലേഖ
euphemism	ഉപഭോഗം
euphoria	സുഖം
euphoric	സൌഹൃദം
euro	യൂറോ
euthanasia	ദയാവധം
evacuate	ഒഴിഞ്ഞുമാറുക
evacuation	ഒഴിപ്പിക്കൽ
evade	ഒഴിഞ്ഞുമാറുക
evaluate	വിലയിരുത്തൂ
evaluation	മൂല്യനിർണ്ണയം
evanescence	evanescence
evangelical	സുവിശേഷവത്കരണം
evangelist	സുവിശേഷകൻ
evangelistic	സുവിശേഷവത്കരണം
evaporate	ബാഷ്പീകരണം
evaporation	ആവിയായി
evasion	ഒഴിഞ്ഞുമാറൽ
evasive	ഒഴിഞ്ഞുമാറുക
eve	തലേന്ന്
evening	വൈകുന്നേരം
evens	NO TRANSLATION
event	ഇവന്റ്
eventful	സംഭവം
eventual	ഒടുവിൽ
eventuality	ഒടുവിൽ
evergreen	നിത്യഹരിത
everlasting	ശാശ്വതമായ
evermore	എന്നേക്കും
everyday	എല്ലാ ദിവസവും
everyman	എല്ലാവര്ക്കും
evict	ഒഴിഞ്ഞുമാറുക
eviction	ഒഴിപ്പിക്കൽ
evidence	തെളിവ്
evident	വ്യക്തമായി
evidentiary	തെളിവ്
evil	തിന്മ
evoke	ഇളക്കംചെയ്യുക
evolution	പരിണാമം
evolutionary	പരിണാമം
evolve	പരിണമിച്ച്
ewe	എവ്
ex	ഉദാ
exacerbate	വർദ്ധിപ്പിക്കൽ
exacerbation	അപസ്മാരം
exact	കൃത്യമായി
exacting	ഉറപ്പിച്ചു
exaggerate	വലുതാക്കിപ്പറയുക
exaggerated	അതിശയോക്തി
exaggeration	അതിശയോക്തി
exalt	ഉയർത്തുക
exaltation	മഹത്വം
exalted	ഉയർത്തപ്പെട്ട
exam	പരീക്ഷ
examination	പരീക്ഷ
examine	പരിശോധിക്കുക
examiner	പരിശോധകൻ
example	ഉദാഹരണം
exasperated	ഉഗ്രമാണ്
exasperation	ഉദ്ദീപനം
excavate	കുഴിച്ചെടുക്കുക
excavation	ഉത്ഖനനം
excavator	എക്വറേറ്റർ
exceed	കവിയരുത്
exceeding	കവിഞ്ഞുകിടക്കുന്നു
excel	എക്സൽ
excellence	ശ്രേഷ്ഠത
excellent	നല്ലത്
excelsior	എലിസലിസ്റ്റ്
excepting	ഒഴികെ
exception	ഒഴിവാക്കൽ
exceptional	അസാധാരണമായ
excerpt	ഉദ്ധരിക്കൽ
excess	അധികമുള്ള
excessive	അമിതമായ
excessively	അമിതമായി
exchange	കൈമാറ്റം ചെയ്യുക
excise	എക്സൈസ്
excision	അവലംബം
excitability	ആവേശം
excitable	ഭാവനയിൽ
excitation	ആവേശം
excite	ഉത്തേജിപ്പിക്കുക
excited	ആവേശം
excitement	ആവേശം
exciting	ആവേശകരമായ
exclaim	exclaim
exclamation	ആശ്ചര്യചിഹ്നം
exclude	പെടുത്തിയിട്ടില്ല
excluded	ഒഴിവാക്കി
excluding	ഒഴികെ
exclusion	ഒഴിവാക്കുക
exclusive	എക്സ്ക്ലൂസീവ്
excrement	മൃതദേഹം
excretion	വിസർജ്ജനം
excruciating	ഉപദ്രവിക്കൽ
excursion	ഉല്ലാസയാത്ര
excuse	ഒഴികഴിവ്
exec	എക്സി
execute	നിർവ്വഹിക്കുക
execution	വധിക്കുക
executioner	ആരാച്ചാർ
executive	എക്സിക്യൂട്ടീവ്
executor	നിർവ്വഹിക്കുന്നു
exegesis	എക്സിഗേസിസ്
exemplar	മാതൃകയാണ്
exemplary	മാതൃകായോഗ്യമാണ്
exemplify	ഉദാഹരണം
exempt	ഒഴിവാക്കണം
exemption	ഇളവ്
exercise	വ്യായാമം
exert	പരീക്ഷിക്കുക
exertion	പ്രയത്നിക്കുക
exhale	ആശ്വാസം
exhaust	ക്ഷീണിപ്പിക്കുക
exhausted	ക്ഷീണിച്ചു
exhaustion	ക്ഷീണം
exhaustive	സമഗ്രമായ
exhibit	പ്രദർശിപ്പിക്കുക
exhibition	പ്രദർശനം
exhilarated	സുഖം പ്രാപിച്ചു
exhilarating	സുഖഭോഗി
exhilaration	ഉത്തേജനം
exhort	പ്രബോധിപ്പിക്കുക
exhortation	ഉദ്ബോധനം
exhumation	പുറംതൊലി
exhume	പുറത്തെടുക്കുക
exigent	NO TRANSLATION
exile	നാടുകടത്തൽ
exist	നിലനിൽക്കുന്നു
existence	അസ്തിത്വം
existent	നിലനിൽക്കുന്നു
existential	അസ്തിത്വവാദി
existing	നിലവിലുള്ള
exit	പുറത്ത്
exodus	പുറപ്പാട്
exonerate	ഉന്മൂലനം ചെയ്യുക
exorbitant	അതിരുകടന്ന
exorcism	ഭൂതം
exorcist	എക്സ്റ്റസിസ്റ്റ്
exotic	എക്സോട്ടിക്
expand	വികസിപ്പിക്കുക
expanded	വിപുലപ്പെടുത്തി
expanse	വിശാലമാക്കുക
expansion	വിപുലീകരണം
expansive	വിപുലമായ
expatriate	പ്രവാസി
expect	പ്രതീക്ഷിക്കുന്നു
expectance	പ്രതീക്ഷ
expectancy	പ്രതീക്ഷിത
expectant	expectant
expectation	പ്രതീക്ഷ
expected	പ്രതീക്ഷിക്കുന്നു
expecting	പ്രതീക്ഷിക്കുന്നു
expediency	അവസരം
expedient	പ്രയോജനകരമാണ്
expedite	വേഗത്തിലാക്കുക
expedition	പരവേഷണം
expeditious	തന്ത്രപ്രധാനമായ
expel	പുറത്താക്കുക
expendable	ചെലവേറിയത്
expenditure	ചെലവ്
expense	ചെലവ്
expenses	ചെലവുകൾ
expensive	ചെലവേറിയത്
experience	അനുഭവം
experienced	അനുഭവപ്പെട്ടു
experiences	അനുഭവങ്ങൾ
experiment	പരീക്ഷണം
experimental	പരീക്ഷണാത്മകം
experimentation	പരീക്ഷണങ്ങൾ
experimenter	പരീക്ഷണം
expert	വിദഗ്ദ്ധൻ
expertise	വൈദഗ്ധ്യം
expiration	കാലഹരണപ്പെടൽ
expire	കാലഹരണപ്പെടും
expired	കാലഹരണപ്പെട്ടു
expiry	കാലഹരണപ്പെടുന്നു
explain	വിശദീകരിക്കാൻ
explanation	വിശദീകരണം
explanatory	വിശദീകരണം
expletive	എക്സപ്റ്റിക്
explication	വ്യാഖ്യാന
explicit	സ്പഷ്ടമായത്
explode	പൊട്ടിത്തെറിക്കുക
exploit	ചൂഷണം ചെയ്യുക
exploitation	ചൂഷണം
exploration	പര്യവേക്ഷണം
exploratory	പര്യവേക്ഷണം
explore	പര്യവേക്ഷണം ചെയ്യുക
explorer	പര്യവേക്ഷകൻ
explosion	സ്ഫോടനം
explosions	സ്ഫോടനങ്ങൾ
explosive	സ്ഫോടനം
expo	എക്സ്പോ
exponent	ഘാതകൻ
exponential	ഘടകം
export	കയറ്റുമതി ചെയ്യുക
exportation	കയറ്റുമതി ചെയ്യുക
expose	വെളിപ്പെടുത്തുക
exposed	തുറന്നത്
exposition	വ്യാഖ്യാനിക്കൽ
expository	എക്സ്പോസിറ്ററി
exposure	എക്സ്പോഷർ
expound	വിശദീകരിക്കുക
express	എക്സ്പ്രസ്
expression	എക്സ്പ്രഷൻ
