Word	mi
chest	pouaka
chestnut	poaka
chevron	chevron
chew	Tuhinga o mua
chewy	chewy
chic	Tuhinga
chicane	chicane
chick	heihei
chicken	heihei
chicken pox	poka heihei
chickenpox	te heihei
chief	rangatira
chiefly	nui
chieftain	rangatira
chiffon	kaukau
child	tamaiti
childbirth	whanau
childhood	te tamaiti
childish	tamariki
childless	kaore he tamariki
childlike	pēhea te tamaiti
childloss	NO TRANSLATION
children	tamariki
chili	chili
chill	haurangi
chilled	ka whakama
chilling	whakahau
chilly	pouri
chime	Tuhinga o mua
chimera	chimera
chimes	Tuhinga o mua
chimney	kapi
chimp	Tuhinga
chimpanzee	chimpanzee
chin	toka
china	china
chinchilla	chinchilla
chine	NO TRANSLATION
chinook	chinook
chip	puhi
chipmunk	Tuhinga o mua
chipper	chipper
chipping	pupuhi
chiropractor	chiropractor
chirp	chirp
chirping	tipu
chisel	kapi
chiseler	Tuhinga
chit	Tuhinga
chitchat	chitchat
chivalry	Tuhinga o mua
chloride	Tuhinga o mua
chlorine	hauwai
chloroform	chloroform
chocolate	tiakarete
choice	kōwhiringa
choir	he kaiwaiata
choke	pakaru
cholera	cholera
cholesterol	cholesterol
choose	whiriwhiri
choosing	kōwhiri
choosy	whiriwhiri
chop	tapatapahia
chopper	kapi
choppers	kaihoko
chopping	pakaru
chops	pupuhi
choral	choral
chord	Tuhinga
chords	Tuhinga
chore	Tuhinga o mua
choreographer	kaiwhakaari
choreography	Tuhinga o mua
chorus	te karakia
chosen	i kōwhiria
chow	Tuhinga o mua
chowder	Tuhinga o mua
christ	Karaitiana
christen	NO TRANSLATION
christening	te whakanui
christian	Karaitiana
christmas	Kirihimete
christmasbreak	NO TRANSLATION
christmaseve	NO TRANSLATION
christmasspirit	NO TRANSLATION
christmassy	Karaitiana
christmastime	Kirihimete
chromatic	Tuhinga
chromatography	Tuhinga o mua
chrome	Tuhinga
chromium	chromium
chromosome	Tuhinga o mua
chronic	roa
chronicle	Tuhinga
chronograph	te waitohu
chronological	Tuhinga o mua
chubby	pupuhi
chuck	pehu
chuckle	pupuhi
chug	chug
chum	Tuhinga
chummy	Tuhinga o mua
chump	Tuhinga o mua
chunk	paku
chunky	chunky
church	hahi
churchyard	whare karakia
churn	Tuhinga o mua
chute	hinga
chutney	chutney
ciao	ciao
cider	cider
cigar	karaka
cigarette	tika
cilantro	cilantro
cinch	cinch
cinder	cinder
cinema	kiriata
cinematic	kiriata
cinematographer	kaiwhakaari kiriata
cinematography	whakaata
cinnamon	te hinamona
cipher	Tuhinga
circle	porohita
circling	porotaka
circuit	porohita
circuitry	porohita
circular	porohita
circulate	whakawhiti
circulation	whakawhiti
circulatory	porohita
circumcision	kotinga
circumference	porohita
circumferential	Tuhinga
circumscribed	kua taatatia
circumstance	Tuhinga
circumstances	āhuatanga
circumstantial	Tuhinga
circumvent	whakawhiti
circumvention	Tuhinga
circus	karaka
cirque	porohita
cirrhosis	cirrhosis
cirrus	cirrus
cistern	puna
citadel	whare rangatira
citation	te karanga
cite	tuhi
citizen	tangata
citizenship	taangata
citrine	citrine
citrus	citrus
city	pa
citywide	puta noa i te taone
civic	iwi
civics	tikanga
civil	taiao
civilian	manene
civilians	iwi
civility	te oranga
civilization	maama
civilized	maama
clad	pupuhi
claim	kerēme
claimant	kaikerēme
clairvoyant	mārama
clam	paramu
clambake	parapara
clammy	pupuhi
clamor	Tuhinga
clamp	patipati
clan	hapu
clandestine	whakapae
clang	pupuhi
clap	patipati
clapper	koko
clapping	patipati
clarification	whakamārama
clarify	whakamārama
clarinet	clarinet
clarion	marama
clarity	mārama
clash	taupatupatu
clashing	te whakawhitiwhiti
clasp	patai
class	akomanga
classic	panui
classic rock	kohatu toka
classical	taurangi
classics	nga kaitohutohu
classification	whakarōpūtanga
classified	whakarōpūhia
classify	whakarōpūtia
classmate	hoa hoa
classroom	akomanga
classy	papaa
clatter	pupuhi
clause	Tuhinga
clauses	rarangi
claustrophobia	claustrophobia
claustrophobic	claustrophobic
clavicle	clavicle
claw	pupuhi
claws	pupuhi
clay	te paru
clean	maema
cleaner	kaiwhakapai
cleaning	horoi
cleanliness	te ma
cleanly	maemae
cleanse	horoi
cleanser	horoi
cleansing	horoi
cleanup	horoi
clear	marama
clearance	Tuhinga
clearing	whakakore
clearness	mārama
cleat	maata
cleavage	taapiri
cleave	kati
cleaver	NO TRANSLATION
clef	tohu
cleft	pakaru
clemency	Tuhinga o mua
clench	tohua
clergy	tohunga
clergyman	minita
cleric	tohunga
clerical	nga kaitohutohu
clerk	kaituhi
clerkship	mahi maatau
clever	ngawari
cleverness	ngawari
click	pāwhiritia
clicker	pātuhi
client	kaihoko
clientele	kaipakihi
cliff	pari
climate	āhuarangi
climatology	climatology
climax	Tuhinga
climb	piki
climber	piki
clinch	Tuhinga
cling	piri
clingy	pupuhi
clinic	whare haumanu
clinical	haumanu
clink	pupuhi
clip	topenga
clipboard	papapātuhi
clipper	kapi
clipping	piri
clique	NO TRANSLATION
clitoris	clitoris
cloak	koroka
cloaking	te haere
cloakroom	koti
clobber	potae
clock	karaka
clockwork	Tuhinga o mua
clod	clod
clog	karaka
cloister	kahu
clone	Tuhinga o mua
cloning	whakawhitinga
close	kati
closed	kati
closeness	tata
closet	kaukau
closure	kati
clot	konukura
cloth	kakahu
clothe	whakakakahu
clothes	kakahu
clothesline	raina
clothing	kakahu
cloud	kapua
clouded	ka pouri
cloudiness	kapuarangi
clouds	kapua
cloudy	pouri
clout	Tuhinga
clove	Tuhinga o mua
clover	kapi
cloves	Tuhinga o mua
clown	Tuhinga o mua
clowns	clowns
club	karapu
clubhouse	karapu
clubs	karapu
cluck	peke
clue	tohu
clueless	kaore i kitea
clump	pakaru
clumsy	paku
clunk	pupuhi
cluster	pupuhi
clutch	hopu
clutches	mau piri
clutter	pupuhi
coach	kaiako
coachman	kaiwhakaako
coagulation	te whakawhitiwhiti
coal	koko
coalesce	coalesce
coalition	whakakotahi
coarse	Tuhinga
coast	takutai
coastal	takutai moana
coaster	Tuhinga o mua
coastline	takutai
coat	koti
coating	panui
coax	ko te kaiako
cobalt	koha
cobble	kapi
cobbler	Tuhinga o mua
cobra	potae
cocaine	koko
cock	pene
cockamamie	cockamamie
cockeyed	Tuhinga o mua
cockpit	kaupae
cockroach	pakaru
cocksucker	cockupcker
cocktail	cocktail
cocky	koa
cocoa	koko
coconut	koko
cocoon	Tuhinga
cod	cod
code	waehere
codeine	codeine
codex	codex
codfish	te kirfish
codification	whakatikatika
codify	whakakotahi
coding	te whakarite
coed	haurangi
coefficient	haurangi
coerce	Tuhinga
coercion	te kaha
coercive	kaha
coexist	noho tahi
coexistence	noho tahi
coexisting	noho tahi
coffee	kawhe
coffee table	tepu kawhe
coffeehouse	whare kawhe
coffeepot	coffeepot
coffin	porotaka
cog	cog
cogent	Tuhinga
cognac	cognac
cognate	whakahua
cognition	te mohio
cognitive	haurangi
cohabitation	hapori
coherence	te noho tahi
coherent	ka whai kiko
cohesion	te mahi ngātahi
cohesive	Tuhinga
cohort	rōpū
coil	kapi
coiled	whakakorea
coin	moni
coinage	Tuhinga
coincide	toha
coincidence	te taunga
coincident	ka noho tahi
coincidental	kaore i kitea
coinciding	ka whakatairanga
coke	coke
cola	cola
cold	makariri
coldly	he makariri
coldness	makariri
coldsweat	NO TRANSLATION
coleslaw	Tuhinga o mua
colic	Tuhinga
coliseum	kohikohi
collaborate	mahi tahi
collaboration	mahi ngātahi
collaborator	kaimahi
collage	kohinga
collagen	koha
collapse	ka hinga
collar	kora
collarbone	te kohinga
collate	whakaekea
collateral	Tuhinga o mua
collation	te kohinga
colleague	hoa mahi
collect	kohikohi
collected	kohia
collection	kohinga
collective	rōpū
collectively	huihui
collector	kohikohi
college	koleti
collegiate	kura
collide	whakaekea
collie	whakaeke
collision	whakaeke
collocation	kohinga mahi
colloquial	Tuhinga
collusion	whakahianga
cologne	cologne
colon	koroni
colonel	koroni
colonial	koroni
colonic	koroni
colonoscopy	Tuhinga o mua
colony	koroni
colophon	karaoke
color	tae
coloration	te tae
colored	tae
colorful	te tae
coloring	te tae
colorless	taekore
colors	tae
colossal	Tuhinga
colt	kuao
columbine	kohinga
column	tīwae
columnar	Tuhinga
columnist	kaituhi
com	NO TRANSLATION
coma	mema
comatose	comatose
comb	pa
combat	whawhai
combatant	kaiwhai
combative	Tuhinga
combination	huinga
combinatorial	umanga
combine	whakakotahi
combined	hui tahi
combo	huihuinga
combustible	repo
combustion	whakawera
come	haere mai
comeback	hoki mai
comedian	comedian
comedy	takaro
comet	reta
comfort	whakamarie
comfortable	he waatea
comforter	whakamarie
comforting	te whakamarie
comfy	comfy
comic	takaro
comical	whakahau
comics	taonga puoro
coming	haere mai
comma	piko
command	whakahau
commandant	rangatira
commandeer	kaiwhakahaere
commander	rangatira
commanding	whakahau
commandment	whakahau
commando	commando
commemorate	whakamahara
commemoration	whakanui
commemorative	whakamaharatanga
commence	timata
commend	mihi
commendable	whaitake
commendation	whakanui
commensurate	Tuhinga
comment	kōrero
commentary	kōrero
commentator	kaiwhakaatu
commerce	hokohoko
commercial	hokohoko
commie	Tuhinga
commissary	kaiwhakahaere
commission	komiti
commissioner	Komihana
commit	te mahi
commitment	Tuhinga
committal	Tuhinga
committed	mahi
committee	komiti
commodity	taonga
commodore	whakahou
common	noa
commoner	nui ake
commonly	noa
commonplace	waahi
commons	Tuhinga
commonwealth	commonwealth
commotion	te ngangau
communal	hapori
commune	hui
communicable	ka taea te korero
communicate	whakawhitiwhitiwhiti
communication	whakawhitiwhitinga
communicative	whakawhiti kōrero
communicator	korero
communion	hui
communism	hapori
communist	komitana
community	hapori
commutation	huringa
commutative	rererangi
commute	rere
commuter	whakawhiti
comp	comp
compact	Tuhinga
compaction	karaoke
compactness	Tuhinga
companion	hoa
companionless	korekore
companionship	hoa
company	kamupene
comparable	rite ana
comparative	he rite
comparatively	rite tonu
compare	whakataurite
comparison	whakataurite
compartment	wahanga
compass	panuku
compassion	aroha
compassionate	aroha
compatibility	te whakawhitinga
compatible	hototahi
compel	akiaki
compelled	ka akina
compelling	whakatairanga
compendium	Tuhinga
compensate	utu
compensation	utu
compensatory	utu
compete	whakataetae
competence	matatau
competency	matatau
competent	he kaha
competition	whakataetae
competitive	whakataetae
competitor	kaitono
compilation	kohikohi
compile	whakarōpū
complacency	whakapehapeha
complacent	whakahihi
complain	amuamu
complaint	whakapae
complement	toha
complementary	tautoko
complete	oti
completed	kua oti
completely	tino
completeness	whakaoti
completing	whakaoti
completion	oti
complex	matatini
complexed	ka whakamaha
complexion	matatini
complexity	matatini
compliance	te hanganga
compliant	Tuhinga
complicate	whakaekea
complicated	uaua
complication	whakaerenga
complicity	Tuhinga
compliment	NO TRANSLATION
complimentary	whakahirahira
comply	te whai
complying	me te whakamana
compo	compo
component	wāhanga
compose	tuhia
composed	i tito
composer	kaitito
composite	papaha
composition	te hanganga
compost	wairākau
composure	Tuhinga
compound	pūhui
comprehend	mārama
comprehension	mārama
comprehensive	whānui
compress	pupuhi
compressed	whakaheke
compressible	whakahua
compression	toha
compressor	kaituku
comprise	whakauru
compromise	whakatinana
comptroller	kaiwhakahaere
compulsion	Tuhinga
compulsive	kaha
compulsory	Tuhinga
computable	te whakahua
computation	tohu
compute	tatau
computer	rorohiko
computerized	rorohiko
computing	te rorohiko
comrade	hoa hoa
con	NO TRANSLATION
concatenation	Tuhinga o mua
concave	Tuhinga
conceal	huna
concealed	huna
concealment	huna
concede	whakaae
conceit	whakaaro
conceited	whakakake
conceivable	whakaarohia
conceive	hapu
concentrate	arotahi
concentration	te kukume
concentric	matatau
concept	ariā
conception	te whakaaro
concern	āwangawanga
concerned	āwangawanga
concert	takaro
concerto	concerto
concession	Tuhinga
concessional	Tuhinga
conch	porohita
concierge	Tuhinga o mua
conciliation	Tuhinga
concise	poto
conclave	conclave
conclude	mutu
concluding	Tuhinga o mua
conclusion	whakatau
conclusive	Tuhinga
concoction	Tuhinga
concomitant	whakaekea
concord	Tuhinga
concordance	Tuhinga
concours	NO TRANSLATION
concourse	Tuhinga
concrete	raima
concubine	wahine iti
concur	whakawhiti
concurrence	Tuhinga
concurrent	he rite tonu
concurring	whakawhitiwhiti
concussion	Tuhinga o mua
condemn	whakatau
condemnation	whakatau
condensation	Tuhinga
condensed	takahi
condescending	whakaekea
condescension	Tuhinga o mua
condiment	Tuhinga
condition	Tuhinga
conditional	Tuhinga
conditionally	i runga i te tikanga
conditioned	ka whakatairangatia
conditioner	Tuhinga
conditioning	Tuhinga
conditions	tikanga
condo	paati
condolence	whakamarie
condolences	te whakamarie
condom	potae
condone	Tuhinga o mua
condor	Tuhinga
conducive	pai
conduct	whakahaere
conduction	Tuhinga
conductivity	whakahaere
conductor	kaiwhakahaere
conduit	ara
cone	karaehe
confederacy	te taupatupatu
confederate	Tuhinga o mua
confederation	Tuhinga o mua
confer	whakawhiti
conference	huihuinga
confess	whakaae
confession	whakapae
confessional	Tuhinga
confessions	whakaaetanga
confetti	confetti
confidant	kaiwhakaako
confide	whakapuaki
confidence	te maia
confident	māia
confidential	matatapu
confidentiality	matatapu
confidentially	NO TRANSLATION
configuration	whirihora
confine	ka tautokona
confined	herea
confinement	te here
confines	Tuhinga
confirm	whakapumau
confirmation	te haamauraa
confirmatory	te whakamana
confirmed	kua whakapumautia
confiscate	ka murua
confiscation	whakaheke
conflagration	whakaheke
conflict	pakanga
conflicting	whakahē
confluence	Tuhinga
conform	whakakotahi
conformance	Tuhinga
conformation	NO TRANSLATION
conformity	Tuhinga
confound	whakamaha
confounded	whakamaha
confront	whakaekea
confrontation	whakapae
confuse	whakamahara
confused	raruraru
confusing	whakawehi
confusion	raruraru
conga	conga
congenial	Tuhinga
congenital	Tuhinga
congestion	haurangi
conglomerate	Tuhinga
conglomeration	Tuhinga
congrats	mihi
congratulate	mihi
congratulation	mihi
congratulations	mihi
congratulatory	mihi
congregate	huihui
congregation	huihuinga
congress	huihuinga
congressional	Tuhinga
congressman	Tuhinga o mua
congruence	Tuhinga o mua
conic	haurangi
conical	Tuhinga
conjecture	whakaaro
conjugal	Tuhinga
conjugate	Tuhinga
conjugation	Tuhinga
conjunction	tahi
conjunctive	Tuhinga
conjure	conjure
conjuring	whakatairanga
conk	porohita
connect	hono
connected	hono
connection	hononga
connective	honohono
connoisseur	tohunga
conquer	ka hinga
conquering	toa
conqueror	toa
conquest	toa
conscience	hinengaro
conscientious	Tuhinga o mua
conscious	mahara
consciousness	mahara
conscription	whakatupato
consecrated	whakatapua
consecration	whakatohunga
consecutive	whai tikanga
consensual	he pai
consensus	whakaaro
consent	whakaaetanga
consenting	whakaae
consequence	te hua
consequent	ka whai hua
conservation	tiaki
conservatism	whakanui
conservative	kaitiaki
conservatory	whakanui
conserve	tiaki
consider	whakaaro
considerable	nui
considerate	whakaaro
consideration	whakaaro
consignee	kaihoko
consignment	Tuhinga
consist	kei roto
consistency	te ōrite
consistent	rite tonu
consolation	whakamarie
console	waitohu
consoled	ka whakamariehia
consolidate	whakatōpū
consolidated	whakakotahi
consolidation	whakatōpū
consonant	whakapae
consort	Tuhinga
conspicuous	he mohio
conspiracy	taupatupatu
conspirator	kaipupuri
conspire	whakaaro
constable	kaitiaki
constancy	Tuhinga
constant	roa
constantly	tonu
constellation	taiao
consternation	Tuhinga
constipation	Tuhinga
constituency	rohe rohe
constituent	Tuhinga
constituents	Tuhinga
constitute	Tuhinga
constitution	ture
constitutional	ture
constitutionality	Tuhinga o mua
constrain	whakatupato
constrained	ka kaha
constraint	Tuhinga
construct	hanga
construction	hanga
constructive	whai hua
construe	hanga
consul	Kaitohutohu
consulate	consulate
consult	uiui
consultant	kaiwhakaako
consultation	whakawhitiwhiti whakaaro
consume	pau
consumer	kaihoko
consuming	kai
consummate	te whakamahi
consummation	te whakaoti
consumption	kohi
contact	whakapā
contagion	contagion
contagious	haurangi
contain	kei roto
container	putea
containment	Tuhinga
contaminate	whakapoke
contaminated	kua poke
contamination	te rereke
contemplate	whakaarohia
contemplation	whakaaroaro
contemplative	whakaaro
contemporaneous	Tuhinga o mua
contemporary	i tenei ra
contempt	whakahawea
contemptible	whakapae
contemptuous	whakahirahira
contend	tautohe
contender	Tuhinga
contending	te tautohe
content	ihirangi
contented	ka makona
contention	tautohe
contentious	tautohe
contentment	koa
contents	ihirangi
contest	whakataetae
contestant	he kaitono
context	horopaki
contiguous	Tuhinga
continence	Tuhinga
continent	whenua
continental	Tuhinga o mua
contingency	Tuhinga o mua
contingent	Tuhinga
continual	tonu
continually	tonu
continuance	haere tonu
continuation	Tuhinga
continue	haere tonu
continued	haere tonu
continuing	haere tonu
continuity	Tuhinga
continuous	tonu
continuously	tonu
continuum	Tuhinga
contour	Tuhinga
contraband	whakawhitinga
contraception	takaro
contract	kirimana
contracted	whakaaetia
contractile	Tuhinga
contracting	he kirimana
contraction	whakaheke
contractor	kaihoko
contradict	whakahē
contradiction	whakahē
contradictory	whakahē
contraption	Tuhinga
contrary	rereke
contrast	rerekē
contrasted	rerekē
contravene	whakahē
contravention	takahi
contribute	whai takoha
contribution	takoha
contributor	kaiwhiwhi
contrite	ka mihi
contrition	pouri
contrived	Tuhinga
control	te whakahaere
controller	kaiwhakahaere
controlling	te whakahaere
controversial	tautohe
controversy	tautohe
contusion	whakapae
conundrum	Tuhinga
convalescent	Tuhinga
convection	whakawhiti
convene	whakaekea
convenience	Tuhinga
conveniences	Tuhinga o mua
convenient	pai
convent	kaupae
convention	Tuhinga
conventional	Tuhinga
converge	whakawhiti
convergence	whakawhitinga
convergent	whakawhitiwhiti
conversant	korero
conversation	korerorero
conversational	whakawhitiwhitinga kōrero
conversationalist	kaikauhau
converse	korerorero
conversing	te korero
conversion	te huringa
convert	tahuri
converted	tahuri
convertible	whakawhiti
convex	Tuhinga
convexity	Tuhinga
convey	whakaputa
conveyance	Tuhinga
conveyancing	whakawhiti
convict	hara
conviction	Tuhinga o mua
convince	whakatenatena
convinced	ka kaha
convincing	whakatikatika
convocation	huihuinga
convoluted	ka mate
convolution	whakatikatika
convoy	huihuinga
coo	coo
cook	tunu
cookbook	Pukapuka tunu
cooker	kai tunu
cookery	te tunu kai
cookie	kuki
cookies	pihikete
cooking	te tunu
cookout	Tuhinga
cool	hauora
coolant	Tuhinga o mua
cooler	Kaihau
cooling	hauora
coolness	hauora
coon	Tuhinga
coop	coop
cooperate	mahi tahi
cooperating	mahi tahi
cooperation	mahi ngātahi
cooperative	mahi ngātahi
coordinate	te whakarite
coordination	te whakarite
coordinator	kaiwhakahaere
cop	cop
copacetic	NO TRANSLATION
cope	tautohe
copier	kaituhi
copilot	copilot
coping	Tuhinga
copious	whakaheke
copper	parahi
copter	kaituku
copy	tārua
copycat	copycat
copying	tārua
copyright	mana pupuri
coral	kohura
coral snake	te nakahi kohu
cord	aho
cordial	aho
cordless	ahokore
cordon	aho
corduroy	ahouroy
core	matua
cork	Tuhinga
corkscrew	Tuhinga o mua
corn	witi
cornball	kiore
cornbread	cornbread
cornea	Tuhinga
corned	kohuatia
corner	kokonga
cornerstone	te kokonga
cornet	kati
cornfield	te witi
cornflakes	NO TRANSLATION
cornice	Tuhinga o mua
cornstarch	te witi
corny	pupuhi
corollary	Tuhinga
corona	Tuhinga o mua
coronary	haurangi
coronation	Tuhinga o mua
coroner	kaitirotiro matewhawhati
corporal	corporal
corporate	umanga
corporation	Kamupene
corporeal	tinana
corps	tinana
corpse	tinana
corpsman	Tuhinga o mua
corpus	Tuhinga
corral	corral
correct	whakatika
correction	whakatika
correctional	whakatikatika
corrective	whakatika
correctness	tika
correlation	te whakarite
correlative	he painga
correspond	raupapa
correspondence	Tuhinga
correspondent	kaituhi
corresponding	rite
corridor	aratohu
corroborate	whakatikatika
corroboration	Tuhinga
corrosion	Tuhinga o mua
corrosive	Tuhinga o mua
corrupt	kino
corrupting	kino
corruption	pirau
corsage	corsage
corse	NO TRANSLATION
corset	corset
cortex	Tuhinga
cortical	Tuhinga o mua
cortisone	cortisone
corvette	corvette
cosmetic	Tuhinga
cosmetics	te whakapaipai
cosmic	Tuhinga
cosmology	Tuhinga
cosmopolitan	Tuhinga
cosmos	Tuhinga
cost	utu
costly	utu
costume	kākahu
cosy	koa
cot	Tuhinga
cote	tohu
cottage	Tuhinga o mua
cotton	tiu
couch	moenga
cougar	cougar
cough	mare
council	kaunihera
councilman	kaunihera
counsel	tohutohu
counseling	tohutohu
counsellor	kaitohutohu
counselor	kaitohutohu
count	tatau
countdown	tatauranga
countenance	kanohi
counter	kaute
counteract	whakahē
counterattack	te whakahē
counterbalance	Tuhinga o mua
counterclaim	whakapae
counterfeit	whakapae teka
counterpart	Tuhinga
counterpoint	Tuhinga
countess	rangatira
countless	maha
country	whenua
countryman	tangata whenua
countrymusic	NO TRANSLATION
countryside	whenua
counts	kaute
county	rohe
coup	Tuhinga
coupe	Tuhinga o mua
couple	tokorua
coupled	ka honoa
coupling	hononga
coupon	coupon
courage	toa
courageous	maia
courier	karere
courses	nga akoranga
coursing	te haere
court	marae
courteous	ngawari
courtesy	Tuhinga
courthouse	marae
courtroom	kōti
courts	marae
courtship	Tuhinga o mua
courtside	marae
courtyard	marae
cousin	teina
cousins	whanaunga
cove	haurangi
coven	whakamana
covenant	kawenata
cover	taupoki
coverage	Tuhinga
covered	hipoki
covering	hipoki
covert	huna
covet	hiahia
coveted	hiahia
cow	kau
coward	mataku
cowardice	mataku
cowardly	mataku
cowboy	kauhoe
cowgirl	cowgirl
cowhand	Tuhinga
cowhide	kaukau
cowl	kaukau
coworker	hoa mahi
coy	Tuhinga
coyote	coyote
cozy	koa
crab	pupuhi
crabby	pupuhi
crack	toka
cracked	pakaru
cracker	pupuhi
crackerjack	pupuhi
cracking	pupuhi
crackle	paraka
crackpot	pakaru
cradle	pounamu
craft	mahi
crafts	mahi
craftsman	tohunga
craftsmanship	mahi toi
crafty	tinihanga
craig	pupuhi
cram	cram
crammed	kapi
cramp	papa
cramped	takaro
cranberry	karaka
cranberry juice	keke waipiro
crane	tohi
cranial	Tuhinga o mua
cranium	karauna
crank	te kopuku
cranky	paku
cranny	pene
crap	pupuhi
crappy	pupuhi
craps	pakaru
crash	pakaru
crass	hihiri
crate	Tuhinga o mua
crater	papa
crave	hiahia
craving	hiahia
crawfish	te pupuhi
crawl	pakaru
crayon	peni
crayons	penehuru
craze	pupuhi
crazed	pupuhi
craziness	manukanuka
crazy	haurangi
creak	hanga
creaking	tipu
cream	kirīmi
creamed	kirīmi
creamer	kirīmi
creamy	kirikiri
crease	Tuhinga
create	waihanga
creation	te hanganga
creative	te auaha
creativity	te auahatanga
creator	kaihanga
creature	mea hanga
credence	tohu
credential	tohu
credentials	ngā tohu mātauranga
credibility	whaimana
credible	whaimana
credit	nama
credit card	kāri nama
creditable	pono
credited	i whakawhiwhia
crediting	whakahua
creditor	nama
creed	Tuhinga
creek	rere
creep	ngeru
creeper	whara
creeping	ka rere
creepy	pakaru
cremation	Tuhinga o mua
creole	hāora
crepe	hanganga
crescendo	crescendo
crescent	Tuhinga
crest	kapi
crestfallen	crestfallen
cretin	cretin
cretins	Tuhinga o mua
crevice	Tuhinga
crew	Tuhinga o mua
crewman	Tuhinga o mua
crib	whare moenga
cricket	kirikiti
cried	tangi
crime	hara
criminal	hara
criminality	hara
crimp	whero
crimson	whero
cringe	Tuhinga o mua
cripple	pupuhi
crippled	pakaru
crippling	pakaru
crisis	raruraru
crisp	maheni
crispy	maheni
criterion	tohu
critic	whakahē
critical	nui
criticise	whakahē
criticism	whakahē
criticize	whakahē
criticized	ka whakawakia
critique	arotake
critter	whakatau
croak	kakano
croc	karaka
crock	karaka
crockery	te tipu
crocodile	karaka
croft	whara
croissant	piki
crook	Tuhinga o mua
crooked	whanoke
crop	hua
croquet	koki
cross	ripeka
cross country	whenua whakawhiti
crossbow	whakawhiti
crossed	whiti
crossfire	whakawhitiwhiti
crossing	whakawhiti
crossover	Tuhinga o mua
crosswalk	tere
crossword	kupu whakawhiti
crotch	kati
crouch	piko
crouched	ka kuhu
crouching	te whakaheke
croupier	kaipupuri
crow	Tuhinga
crowbar	kirimana
crowd	tini
crowded	ka uru
crowds	iwi
crown	karauna
crowning	karauna
crucial	nui
cruciate	tira
crucifix	ripeka
crucifixion	ripekatia
crucify	ripekatia
crud	Tuhinga
crude	kino
cruel	kino
cruelly	kino
cruelty	tukino
cruise	tere
cruise ship	kaipuke kaipuke
cruiser	tere
cruising	Tuhinga o mua
crumb	kongakonga
crumble	pakaru
crumbling	pakaru
crummy	pakaru
crunch	crunch
crunchy	Tuhinga o mua
crusade	te tukinga
crusader	kapi
crush	kuru
crushed	ka pakaru
crusher	kapi
crushing	takahi
crust	kuku
crusty	Tuhinga o mua
crutch	kokiri
crux	crux
cry	tangi
crybaby	tangi
crying	tangi
crypt	tangi
cryptic	cryptic
cryptography	te rorohiko
crystal	karaihe
crystalline	tioata
crystallization	te whakamatauranga
cub	pene
cubby	pene
cube	pouaka
cubic	pene
cubicle	poraka
cuckold	te koroka
cuckoo	Tuhinga ka whai mai
cucumber	kūkamo
cuddle	Tuhinga
cuddled	ka peke
cuddles	pupuhi
cuddling	whakaheke
cue	tohu
cuff	Tuhinga o mua
cuisine	te kai
culinary	te kai
cull	karaka
culminate	whakaoti
culmination	Tuhinga
culpability	hara
culpable	hara
culprit	te hunga hara
cult	tikanga
cultivate	whakawhanake
cultivated	whakatipu
cultivation	maara
cultural	ahurea
culture	ahurea
cultured	whakatipu
culvert	whakaheke
cumbersome	maama
cumulus	cumulus
cunning	pupuhi
cunt	Tuhinga o mua
cup	kapu
cupboard	papa
cupcake	keke keke
cupping	kohua
cur	pene
curable	ka taea te rongoa
curate	maimoatanga
curative	rongoa
curator	kaiwhakahaere
curb	Tuhinga
curd	Tuhinga o mua
cure	rongoa
curfew	takahi
curiosity	te matatau
curious	pākiki
curl	Tuhinga
curling	pihi
currency	moni
current	i tēnei wā
curriculum	marautanga
curry	pihi
curse	kanga
cursed	kanga
cursing	kanga
cursory	Tuhinga
curt	Tuhinga o mua
curtail	Tuhinga
curtailment	Tuhinga
curtain	arai
curtains	nga pihi
curtsy	Tuhinga o mua
curvature	puri
curve	puri
curved	kapi
curvilinear	curvilinear
cushion	Tuhinga
cushy	mataku
cusp	pakaru
cuss	Tuhinga
cussed	Tuhinga o mua
custard	Tuhinga
custodial	tiaki
custodian	kaitiaki
custody	tiaki
custom	tikanga
customary	tikanga
customer	kiritaki
customized	kua whakaritea
cut	tapahia
cutaneous	Tuhinga
cute	pai
cuticle	Tuhinga
cutie	Tuhinga o mua
cutlass	Tuhinga
cutlery	karapu
cutoff	Tuhinga o mua
cutter	kape
cutters	nga kaitapa
cutthroat	Tuhinga o mua
cutting	tapahi
cutting board	tapahi poari
cuttings	haea
cwt	cwt
cyanide	cyanide
cyberspace	ipurangi
cycle	huringa
cyclical	taiao
cyclist	hiko
cyclone	hau
cylinder	porotaka
cylindrical	porotaka
cymbal	hiri
cynic	mahara
cynical	Tuhinga o mua
cynicism	Tuhinga o mua
cyst	kaukau
cystic	haurangi
cytomegalovirus	cytomegalovirus
cytoplasm	cytoplasm
czar	Tuhinga o mua
dab	ar
dabble	tahua
dabbling	tautuhi
dad	papa
daddy	papa
dado	NO TRANSLATION
daemon	daemon
daft	Tuhinga o mua
dagger	dagger
daily	i ia ra
dainty	tainty
daiquiri	daiquiri
dairy	miraka
daisy	daisy
dak	NO TRANSLATION
dale	dale
dam	papahu
damage	kino
damaged	ka pakaru
damages	maumaura
dame	wahine
damn	Tuhinga o mua
damnation	Tuhinga o mua
damned	whakawakia
damp	paku
dampened	ka whakataka
damper	mate
damsel	kotiro
dance	kanikani
dancer	kanikani
dancing	kanikani
dandruff	Tuhinga ka whai mai
