Word	ny
database	database
date	tsiku
datenight	NO TRANSLATION
daughter	mwana wamkazi
dawdle	dawdle
dawn	m'maŵa
dawned	zinayamba
day	tsiku
daybreak	m'mawa
daycare	kusamalira
daydream	tsikudream
daydreaming	kutuluka
daylight	masana
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	masana
daze	dza
dazed	zovuta
dazzle	kwezani
dazzling	okongola
deacon	dikoni
deactivate	lekani
dead	wakufa
deadbeat	chopha
deadline	tsiku lomalizira
deadlines	zolemba
deadlock	deadlock
deadly	chakupha
deaf	osamva
deafening	osamva
deafness	osamva
deal	kuchita
dealer	wogulitsa
dealership	wogulitsa
dealing	kuchita
dealings	zochita
dean	wotsamira
dear	wokondedwa
dearest	okondedwa
dearth	njala
death	imfa
deathbed	bedi lakufa
deathly	imfa
debacle	kunyengerera
debased	kunyozeka
debatable	zosamveka
debate	kukangana
debauchery	kunyenga
debenture	kubwezera
debilitating	kulephera
debit	debit
debrief	zokambirana
debriefing	kukambirana
debris	zinyalala
debt	ngongole
debtor	wokongoletsa
debut	poyamba
debutante	debutante
decade	zaka khumi
decadence	chiwonongeko
decadent	zovuta
decaf	kupuma
decanter	decanter
decathlon	decathlon
decay	kuwonongeka
decayed	zowonongeka
decaying	kuwonongeka
deceased	wamwalira
decedent	chiwonongeko
deceit	chinyengo
deceitful	chinyengo
deceive	kunyenga
deceived	atanyengedwa
deceiving	kunyenga
december	December
decency	ulemu
decent	wabwino
deception	chinyengo
deceptive	chinyengo
decide	sankhani
decidedly	mwachidwi
deciduous	zovuta
decimal	decimal
decimeter	decimeter
decipher	ziwonetseni
decision	chisankho
decisive	zovuta
deck	sitima
declaration	chidziwitso
declaratory	kulengeza
declare	kulengeza
declination	kuchepa
decline	kuchepa
declining	kuchepa
deco	deco
decode	sankhani
decoder	chojambula
decompose	ziwonongeke
decomposed	adawonongeka
decomposition	kuwonongeka
decompress	decompress
decompression	kusokoneza maganizo
decontamination	kupumula
decor	zokongoletsa
decorate	azikongoletsa
decorating	zokongoletsera
decoration	zokongoletsera
decorative	zokongoletsera
decorator	wokongoletsera
decorum	kukongoletsa
decoy	chiwonongeko
decrease	kuchepa
decreased	kuchepa
decreasing	kuchepa
decree	lamulo
decrement	ndondomeko
decrepit	choponderezeka
decry	kudula
decryption	kupuma
dedicate	kudzipatulira
dedication	kudzipatulira
deduce	onetsetsani
deduct	kuchotsa
deductible	deductible
deduction	kuchotsedwa
deed	zochita
deejay	deejay
deem	tawonani
deep	zakuya
deepen	kukulitsa
deer	mbawala
defamation	kufalitsa
defamatory	kusokoneza
default	chosasintha
defeat	kugonjetsedwa
defeated	kugonjetsedwa
defeatist	wogonjetsa
defect	chilema
defection	kutaya
defective	zopanda pake
defector	defector
defend	chitetezeni
defendant	wotsutsa
defended	anatetezedwa
defender	chitetezo
defending	kuteteza
defense	chitetezo
defenseless	opanda chitetezo
defensible	kutetezedwa
defensive	kuteteza
defer	sungani
deference	kufotokoza
deferral	kufotokozera
deferring	kutsegula
defiance	kutsutsa
defiant	wotsutsa
defibrillator	defibrillator
deficiency	kusowa
deficient	zosowa
deficit	zopanda pake
define	fotokozani
defined	akufotokozedwa
definite	otsimikizika
definition	tanthauzo
definitive	otsimikizika
deflate	chosokoneza
deflation	deflation
deflect	kusokoneza
deflection	kusokoneza
defloration	kufotokoza
deform	kutaya
deformed	olumala
deformity	kupunduka
defraud	kunyenga
defray	sizinayambe
defrost	defrost
deft	kuchoka
defunct	wosayenera
defuse	defuse
defy	kutaya
degeneracy	kuchepa
degenerate	kuchepa
degeneration	kuchepa
degradation	kuwonongeka
degrade	onyoza
degraded	zonyansa
degrading	zonyansa
degree	digiri
dehydrated	kutaya madzi
dehydration	kutaya madzi
dejected	okhumudwa
delay	kuchedwa
delayed	yachedwa
delectable	zosasangalatsa
delegate	nthumwi
delegation	nthumwi
delete	chotsani
deleterious	zopanda pake
deletion	kuchotsa
deli	msika wazakudya zophika
deliberate	mwadala
deliberation	kukambirana
deliberative	mwadala
delicacy	zokoma
delicate	wosakhwima
delicatessen	zophikiratu
delicious	zokoma
delight	kukondwa
delighted	Wokondwa
delightful	zokondweretsa
delineate	delineate
delineation	delineation
delinquency	kunyoza
delinquent	kupotoza
delirious	zokondweretsa
delirium	delirium
deliver	perekani
deliverance	chiwombolo
delivery	kutumiza
dell	dell
delta	delta
delude	chinyengo
deluge	chigumula
delusion	chinyengo
delusional	zopanda pake
deluxe	deluxe
delve	fotokozani
demand	zofuna
demanding	zovuta
demeaned	adanyozedwa
demeaning	kunyalanyaza
demeanor	khalidwe
demented	adakhazikika
dementia	matenda a maganizo
demise	chiwonongeke
demo	demo
democracy	demokarase
democrat	democrat
democratic	demokalase
demographic	anthu
demolish	kuwononga
demolished	anawonongedwa
demolition	chiwonongeko
demon	ziwanda
demonic	ziwanda
demonstrable	ziwonetsedwe
demonstrate	onetsani
demonstrated	anasonyeza
demonstrating	kusonyeza
demonstration	chiwonetsero
demonstrative	zosonyeza
demonstrator	mlaliki
demoralized	kuwonongeka
demos	demos
demure	chiwonongeko
den	NO TRANSLATION
deniability	kukana
denial	kukana
denied	anakanidwa
denim	denim
denomination	chipembedzo
denominational	chipembedzo
denominator	chipembedzo
denote	kutanthauza
denounce	onyoza
dense	wandiweyani
density	osalimba
dent	dent
dental	mano
dentist	dokotala wa mano
dentistry	mazinyo
dentists	madokotala a mano
denunciation	chidzudzulo
deny	kanizani
denying	kukana
deodorant	zosakaniza
depart	chokani
departed	adachoka
department	dipatimenti
departmental	ofesi
departure	kuchoka
depend	kudalira
dependable	odalirika
dependant	wodalira
dependence	kudalira
dependency	kudalira
dependent	wodalira
depict	fotokozani
depicting	kusonyeza
depletion	kutaya
deplorable	zovuta
deplore	dandaula
deploy	tumizani
deployment	kutumizidwa
deport	kuthamangitsani
deportation	kuthamangitsidwa
depose	khala pansi
deposit	positi
depositary	kutuluka
deposition	kutumiza
depository	depository
depot	depot
depraved	zonyansa
depravity	kunyansa
depreciate	kuchepa
depreciated	adanyozedwa
depreciation	kuchepa
depress	kudandaula
depressed	wovutika maganizo
depressing	kukhumudwitsa
depression	kudandaula
depressive	zowawa
depresson	NO TRANSLATION
deprivation	kunyansidwa
deprive	siya
deprived	yanyansidwa
depth	kuya
deputy	wotsogolera
derail	kudera
deranged	deranged
derelict	kusokonekera
derision	kunyozedwa
derivation	kuchoka
derivative	zochokera
derive	amachokera
dermal	mchere
dermatologist	dermatologist
dermatology	zamasamba
derogation	kunyoza
derogatory	kunyoza
descend	tsika
descendant	mbadwa
descendent	NO TRANSLATION
descending	akutsika
descent	mbadwa
describe	fotokozani
description	kufotokoza
descriptive	zofotokoza
desecrate	tsitsa
desecration	kusokoneza
desert	chipululu
deserted	wasiya
deserter	wosokoneza
desertion	kutaya
deserve	akuyenera
deserved	woyenera
deserving	woyenera
design	kupanga
designate	atchule
designated	osankhidwa
designation	mayina
designed	zopangidwa
designer	wojambula
designing	kupanga
desirability	zofuna
desirable	zofunika
desire	chikhumbo
desiring	kufuna
desirous	ndikufuna
desist	kusiya
desk	desiki
desolate	bwinja
desolation	chiwonongeko
despair	kukhumudwa
despairing	kukhumudwa
despatch	despatch
desperado	desperado
desperate	mwangozi
desperation	kusimidwa
despicable	zonyansa
despise	kunyoza
despondent	okhumudwa
despotic	achinyengo
despotism	zosokoneza
dessert	mchere
destination	kupita kopita
destined	cholinga
destiny	zochitika
destitute	osauka
destroy	kuwononga
destroyed	kuwonongedwa
destroyer	wowononga
destroying	kuwononga
destruct	kuwonongedwa
destruction	chiwonongeko
destructive	chiwonongeko
detach	chotsani
detached	osungidwa
detachment	asilikali
detail	tsatanetsatane
detailed	tsatanetsatane
details	mfundo
detain	omanga
detainee	womangidwa
detect	dziwani
detectable	zimawoneka
detection	kuzindikira
detective	woyang'anira
detector	detector
detention	ndende
deter	zitha
detergent	detergent
deteriorate	kuwonongeka
deteriorated	zinasokonekera
deteriorating	kuwonongeka
deterioration	kuwonongeka
determinable	zosinthika
determinate	chodziwika
determination	kutsimikiza
determine	dziwani
determined	atsimikiza
deterrent	kuletsa
detest	zonyansa
detestation	zonyansa
detonate	onetsetsani
detonation	detonation
detonator	detonator
detour	zosokoneza
detract	zimasokoneza
detriment	kuvulaza
detrimental	kuvulaza
detritus	detritus
deuce	deuce
deutschmark	deutschmark
devalued	adadzipereka
devastate	kuwononga
devastated	yawonongeka
devastating	zopweteka
devastation	kuwonongeka
develop	khalani
developer	woyambitsa
developing	kukula
development	chitukuko
deviant	zosasintha
deviate	patukani
deviating	kuchoka
deviation	kupotoka
device	chipangizo
devil	mdierekezi
deviled	kutaya
devilish	mdierekezi
devious	wonyenga
devise	konzani
devoid	wopanda
devolution	kukonza
devolve	chitani
devote	perekani
devoted	odzipereka
devotee	wodzipereka
devotion	kudzipereka
devotional	zopembedza
devour	idyani
devout	wodzipatulira
dew	mame
dexter	dexter
dexterity	kusokoneza
dextrose	dextrose
diabetes	matenda a shuga
diabetic	shuga
diabolical	diabolical
diagnose	matenda
diagnosis	matenda
diagnostic	matenda
diagnostics	matenda
diagonal	owonetsa
diagram	chithunzi
dial	dial
dialect	chinenero
dialectic	dialectic
dialogue	kukambirana
dialysis	dialysis
diameter	m'mimba mwake
diamond	daimondi
diamonds	diamondi
diaper	chojambula
diaphragm	diaphragm
diarrhea	kutsekula m'mimba
diarrhoea	kutsekula m'mimba
diary	diary
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	madontho
dicey	zokoma
dichotomous	zosangalatsa
dichotomy	dichotomy
dick	dick
dickhead	mutu wamutu
dicks	madontho
dictate	tumizani
dictation	kulamula
dictator	wolamulira wankhanza
dictatorial	olamulira
dictatorship	kupondereza
diction	diction
dictionary	dikishonale
dictum	NO TRANSLATION
didactic	aphunzitsi
diddle	adayika
die	NO TRANSLATION
died	anamwalira
diesel	dizilo
diet	zakudya
dietary	zakudya
differ	zimasiyana
difference	kusiyana
differences	kusiyana
different	zosiyana
differential	kusiyana
differentiation	kusiyana
differently	mosiyana
differing	zosiyana
difficult	zovuta
difficulties	zovuta
difficulty	vuto
diffuse	kufalikira
diffusion	kufalikira
dig	NO TRANSLATION
digest	kukumba
digestion	chimbudzi
digestive	kudya
digit	chiwerengero
digital	digito
dignified	wolemekezeka
dignify	kulemekeza
dignity	ulemu
digress	digress
digs	NO TRANSLATION
dike	dike
dilapidated	zowonongeka
dilatation	kupititsa patsogolo
dilation	kuchepetsa
dildo	dildo
dilemma	vuto
diligence	khama
diligent	mwakhama
dill	katsabola
diluent	diluent
dilute	kuchepetsa
diluted	kuchepetsedwa
dilution	dilution
dim	mdima
dime	dime
dimension	gawo
dimensional	zochepa
diminish	kuchepetsa
diminished	kuchepa
diminution	kuchepa
diminutive	kuchepa
dimwit	kuchepetsa
din	NO TRANSLATION
dine	idyani
diner	kudya
dinghy	dinghy
dingo	dingo
dingy	dingy
dining	kudya
dinky	dinky
dinner	chakudya chamadzulo
dinnertime	nthawi yamadzulo
dinosaur	dinosaur
dint	sankhani
diocesan	diocesa
diocese	diocese
diorama	diorama
dioxide	dioxide
dip	sungani
diploma	diploma
diplomacy	zokambirana
diplomat	nthumwi
diplomatic	ovomerezeka
dipper	chotsani
dippy	zovuta
dipstick	kusindikizidwa
dire	NO TRANSLATION
direct	lolunjika
directed	amatsogoleredwa
direction	njira
directive	malangizo
directly	mwachindunji
director	mtsogoleri
directory	zolemba
dirt	dothi
dirty	zonyansa
disability	kulemala
disable	thandizani
disabled	olumala
disadvantage	zovuta
disaffected	osayanjanitsika
disagree	sagwirizana
disagreeable	chosatsutsika
disagreeing	kusagwirizana
disagreement	kusagwirizana
disallow	osakana
disallowed	adakana
disapointment	NO TRANSLATION
disappear	satha
disappearance	kutha
disappearing	kutha
disappoint	kudandaula
disappointed	anakhumudwa
disappointing	zokhumudwitsa
disappointment	kukhumudwa
disapproval	osayamika
disapprove	osavomereza
disapproved	osavomerezedwa
disapproving	osavomereza
disarm	sokonezani
disarray	kusokonekera
disaster	tsoka
disastrous	zoopsa
disband	kusokoneza
disbelief	kusakhulupirira
disbelieve	Musakhulupirire
disburse	kubwezera
disbursement	malipiro
disc	diski
discard	taya
discarded	atayidwa
discards	amasiya
discern	kuzindikira
discernible	kuzindikira
discerning	kuzindikira
discernment	kuzindikira
discharge	kutulutsa
disciple	wophunzira
disciplinary	chilango
discipline	chilango
disciplined	adalangidwa
disclaim	sungani
disclaimer	chotsutsa
disclose	fotokozani
disclosed	adaululidwa
disclosure	kuwulula
disco	disco
discoloration	kusinthika
discolored	zojambula
discomfort	kusokonezeka
disconcerted	osokonezeka
disconcerting	kusokoneza
disconnect	sinthani
disconnected	adachotsedwa
disconnection	kuchotsedwa
disconnects	kuchotsa
discontent	osakhutira
discontinuance	kusiya
discontinue	asiye
discontinuity	kusiya
discontinuous	kusiya
discord	kusagwirizana
discount	kuchotsera
discounted	kuchotsedwa
discourage	kukhumudwitsa
discouraged	kukhumudwa
discouragement	kukhumudwa
discouraging	kukhumudwitsa
discourse	nkhani
discover	pezani
discovery	kupeza
discredit	kunyalanyaza
discredited	amavomereza
discreet	NO TRANSLATION
discrepancy	kusiyana
discrete	discrete
discretion	luntha
discretionary	discretionary
discriminate	sankhani
discriminating	kusankha
discrimination	tsankho
discus	discus
discuss	kambiranani
discussion	kukambirana
disdain	kunyoza
disdainful	osayera
disease	matenda
diseased	matenda
disembodied	amachotsedwa
disengage	sungani
disengagement	kusokoneza
disfigured	osasintha
disgrace	manyazi
disgraced	manyazi
disgraceful	zochititsa manyazi
disgruntled	osakondwera
disguise	zobisala
disguised	atasintha
disgust	kunyansidwa
disgusted	kunyozedwa
disgusting	zonyansa
dish	mbale
disheartened	ataya mtima
disheartening	kukhumudwitsa
dishonest	wosakhulupirika
dishonesty	kusakhulupirika
dishonor	manyazi
dishonorable	manyazi
dishwasher	chotsukira mbale
disillusionment	kusokonezeka
disinclination	kusokonezeka
disincline	kusokoneza
disinclined	adakanidwa
disinfect	tizilombo toyambitsa matenda
disinfectant	mankhwala ophera tizilombo toyambitsa matenda
disinfection	disinfection
disinformation	disinformation
disingenuous	osasamala
disintegrate	kusokoneza
disintegration	kusokonezeka
disinterested	osakhudzidwa
disjoint	osagwirizana
disjointed	osagwirizana
disjunctive	kusokoneza
disk	diski
diskette	diskette
dislike	osakonda
disliked	sakonda
disliking	kusokonezeka
dislocated	anamasulidwa
dislocation	kusokoneza
dislodge	sungani
disloyal	osakhulupirika
disloyalty	kusakhulupirika
dismal	kusokonezeka
dismantle	kutaya
dismay	mantha
dismayed	kuda nkhawa
dismemberment	kuvomereza
dismiss	chotsani
dismissal	kuchotsedwa
dismissive	kusamvera
dismount	dismount
disobedience	kusamvera
disobedient	osamvera
disobey	osamvera
disorder	chisokonezo
disordered	osokonezeka
disorderly	osasamala
disorganized	osasokonezeka
disorientation	kusokonezeka
disoriented	kusokonezeka
disown	kukana
disparage	kusokoneza
disparaging	kusokoneza
disparate	osagwirizana
disparity	kusagwirizana
dispassionate	opanda chifundo
dispatch	kutumiza
dispatcher	kutumiza
dispel	tulukani
dispensary	misonkho
dispensation	nyengo
dispense	perekani
dispenser	dispenser
dispersal	kufalikira
disperse	kufalikira
dispersed	kufalikira
dispersion	kufalikira
dispirited	kuthamangitsidwa
displace	kuchoka
displaced	akuthawa kwawo
displacement	kusamuka
displacency	kusamuka
display	kusonyeza
displease	osasangalatsa
displeased	osakondwera
displeasure	chisangalalo
disposable	zosungidwa
disposal	kutaya
dispose	taya
disposed	yosungidwa
disposition	malingaliro
dispossessed	kutengedwa
disprove	tsutsani
dispute	mkangano
disqualification	kulephera
disqualified	osayenera
disqualify	osayenera
disquieted	kusokonezeka
disregard	osanyalanyaza
disregarded	kunyalanyazidwa
disrelish	kusokoneza
disreputable	osadziwika
disrepute	sanyoze
disrespect	kusalemekeza
disrespectful	kusalemekeza
disrupt	kusokoneza
disrupting	kusokoneza
disruption	kusokonezeka
disruptive	zosokoneza
dissatisfaction	kusakhutira
dissatisfied	osakhutira
dissect	kusokoneza
dissection	kusokoneza
disseminate	kufalitsa
dissemination	kufalitsa
dissension	kusagwirizana
dissent	chisokonezo
dissenting	kusokoneza
dissertation	kusindikizidwa
disservice	sungani
dissident	osagwirizana
dissimilar	osiyana
dissipate	tisiye
dissipated	anasiya
dissociation	kusokonezeka
dissociative	dissociative
dissolution	kutayika
dissolve	sungunulani
dissonance	dissonance
dissuade	zitsutsani
distal	distal
distance	mtunda
distant	kutali
distaste	zosokoneza
distasteful	zosasangalatsa
distillate	distillate
distillation	distillation
distilled	osungunuka
distinct	zosiyana
distinction	kusiyana
distinctive	zosiyana
distinguish	kusiyanitsa
distinguishable	kusiyanitsa
distinguished	osiyana
distinguishing	kusiyanitsa
distort	kusokoneza
distorted	kusokonezedwa
distortion	lakwitsidwa
distract	kusokoneza
distracted	zasokonezedwa
distracting	zosokoneza
distraction	kusokoneza
distraught	kusokonezeka
distress	kuvutika
distressed	osokonezeka
distressing	zovuta
distribute	perekani
distribution	kufalitsa
distributor	wofalitsa
district	chigawo
distrust	kusakhulupirika
disturb	kusokoneza
disturbance	chisokonezo
disturbed	kusokonezeka
disturbing	zosokoneza
disuse	osagwiritsa ntchito
disused	osagwiritsidwa ntchito
ditch	dzenje
ditto	ndondomeko
ditty	zolemba
diurnal	kuchotsa
diva	diva
divan	NO TRANSLATION
dive	dambani
diver	diver
diverge	sokonezani
divergence	kusiyana
divergent	kusiyanitsa
diverging	zosiyana
divers	osiyana
diverse	zosiyana
diversified	zosiyana
diversify	kusiyanitsa
diversion	zosokoneza
diversionary	zosokoneza
diversity	zosiyanasiyana
divert	kusuntha
diverting	kusokoneza
divest	kupatukana
divested	adagawanika
divestment	kupatukana
divide	gawani
divided	adagawanika
dividend	gawoli
divination	kuwombeza
divine	zaumulungu
divinity	uzimu
divisible	kugawidwa
division	kugawa
divisor	wongolerani
divorce	kusudzulana
divorcee	banja
divulge	tulukani
divvy	divvy
dizziness	chizungulire
dizzy	chizungulire
do	chitani
doable	zovuta
doc	doc
docile	chitha
dock	dock
docked	amakoka
docket	doko
docking	kuchita
doctor	dokotala
doctorate	doctorate
doctrinal	ziphunzitso
doctrine	chiphunzitso
document	zolemba
documentary	zolemba
documentation	zolemba
documents	zolemba
dodge	dodge
dodger	dodger
dodging	kuthamanga
dodgy	dodgy
dodo	dodo
doe	doe
doer	wochita
dog	galu
dogface	chikhalidwe
dogged	adagwidwa
doggy	mbidzi
doghouse	nyumba yamagulu
dogma	chiphunzitso
dogmatic	kutsindika
dogsick	NO TRANSLATION
doings	zochita
doit	NO TRANSLATION
dojo	dojo
doldrums	zida
dole	dola
doll	chidole
dollar	dola
dollhouse	chidole
dolor	NO TRANSLATION
dolphin	dolphin
domain	domain
dome	dome
domestic	zoweta
domesticated	zoweta
domestication	kumudzi
domicile	malo
domiciled	amadziwika
dominance	ulamuliro
dominant	chachikulu
dominate	kulamulira
dominating	kulamulira
domination	ulamuliro
dominatrix	dominatrix
dominion	ulamuliro
domino	domino
don	don
donate	perekani
donation	Mphatso
donkey	bulu
donor	wopereka
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	kumakumada
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	chikhomo
doom	chiwonongeko
doomed	adzawonongedwa
doomsday	doomsday
door	khomo
doorbell	doorbell
doorknob	golide
doorman	doorman
doormat	doormat
doornail	pakhomo
doorstep	pakhomo
doorway	khomo
dopamine	dopamine
dope	dope
dopey	dopey
dork	dork
dorky	dorky
dorm	dorm
dormant	osakhalitsa
dormitory	malo ogona
dorsal	kunyalanyaza
dosage	mlingo
dose	mlingo
dossier	zolemba
dot	dot
doting	kuwombera
dotted	ndimadontho
dotty	dotty
double	kawiri
doubled	kawiri
doublet	doublet
doubling	kuphatikiza
doubt	kukayika
doubtful	osakayikira
doubting	kukayikira
doubtless	mosakayikira
doubts	kukayikira
douche	douche
douchebags	douchebags
dough	mtanda
doughboy	wokondwa
doughnut	donati
dour	kudandaula
douse	duka
dove	nkhunda
down	pansi
downcast	kutsika
downer	pansi
downfall	kugwa
downfield	pansi
downhearted	okhumudwa
downhill	kutsika
download	kulandila
downpour	mvula
downright	mozama
downriver	kutsika
downside	pansi
downtime	nthawi yotsika
downward	pansi
downy	pansi
dowry	dowry
doze	doze
dozen	khumi ndi awiri
drab	denga
draft	kulemba
drafty	kukonda
drag	Kokani
dragon	chinjoka
dragonfly	chiboliboli
drain	kuda
drainage	ngalande
drained	chatsekedwa
draining	kukhetsa
drainpipe	drainpipe
drake	drake
drama	sewero
dramaqueen	NO TRANSLATION
dramatic	zochititsa chidwi
drape	kutchinga
drapery	kukhetsa
drastic	zovuta
drat	NO TRANSLATION
draught	kulemba
draw	kukoka
drawback	zovuta
drawbridge	mayendedwe
drawer	dawuni
drawers	okoka
drawing	kujambula
dread	mantha
dreaded	mantha
dreadful	zoopsa
dreadfully	moopsa
dreading	kuopa
dream	maloto
dreamboat	dreamboat
dreamer	wolota
dreaming	kulota
dreamland	dreamland
dreams	maloto
dreamt	analota
dreamy	maloto
dreary	zovuta
dredge	dredge
drenched	wodwala
dress	kuvala
dresser	wovala zovala
dressmaker	wovala zovala
dressy	kuvala
dribble	NO TRANSLATION
dried	zouma
drier	kudyetsa
drift	kuchoka
drifted	adathamangitsidwa
drifter	drifter
driftwood	driftwood
drill	kubowola
drink	kumwa
drinker	wosamwa
drinking	kumwa
drinks	zakumwa
drip	kudula
dripping	kupukuta
drive	kuyendetsa galimoto
drivel	kuyendetsa
driver	woyendetsa
driveway	galimoto
drizzle	khululuka
droll	dothi
drone	drone
drones	drones
drool	drool
drooping	kutaya
droopy	droopy
drop	taya
droplet	droplet
dropout	Siyani
dropper	dropper
drought	chilala
drove	NO TRANSLATION
drown	dzamira
drowsiness	kugona
drowsy	kugona
drudgery	zovuta
drug	mankhwala
drug dealing	mankhwala osokoneza bongo
drugged	mankhwala osokoneza bongo
druggist	wochira
drugs	mankhwala
drugstore	mankhwala osokoneza bongo
druid	druid
drum	drum
drummer	drummer
drumming	kusewera
drunk	woledzera
drunk driving	galimoto yoledzera
drunkard	chidakhwa
drunken	kuledzera
drunkenness	kuledzera
dry	wouma
dryer	dryer
dryness	kuyanika
dual	awiri
dualism	zamatsenga
duality	duality
dub	dub
dubious	zosautsa
duchess	duchess
duck	bakha
ducking	ducking
duckling	duckling
ducky	ducky
duct	chitoliro
ductile	ductile
dud	dud
dude	wosayankhula
duds	duds
due	chifukwa
duel	duel
dues	ndalama
duet	duet
duffel	duffel
dugout	dugout
duh	duh
duke	bwanamkubwa
dull	wosasangalatsa
dullard	sanagwidwe
dumb	wosayankhula
dumbasses	zovuta
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	kutaya
dumfounder	NO TRANSLATION
dummy	dummy
dump	kutaya
dumpling	dumpling
dumps	kutaya
dumpster	wosuta
dun	dun
dunce	dunce
dune	dune
dung	NO TRANSLATION
dungeon	ndende
dunk	dunk
duo	duo
dupe	kubwereza
duplex	duplex
duplicate	zolemba
duplication	kubwereza
duplicity	kuphatikiza
durability	kukhazikika
durable	chokhazikika
duration	nthawi
duress	kuthandizani
dusk	madzulo
dusky	dusky
dust	fumbi
duster	madzulo
dustpan	phulusa
dusty	fumbi
dutiful	wodalirika
duty	ntchito
dwarf	amamera
dwarfed	wochepa kwambiri
dweeb	dweeb
dwell	khalani
dweller	wokhala
dwelling	kukhala
dye	dye
dying	kufa
dyke	dyke
dynamic	mphamvu
dynamical	mphamvu
dynamics	mphamvu
dynamite	dynamite
dynamo	dynamo
dynasty	mafumu
dysentery	kamwazi
dysfunction	kutayika
dysfunctional	zosafunika
dyspepsia	dyspepsia
eager	mwachidwi
eagerness	chidwi
eagle	mphungu
ear	khutu
earful	zokoma
earl	khutu
earlier	kale
early	oyambirira
earn	kupeza
earnest	mwakhama
earnestly	mwakhama
earnestness	khama
earnings	malipiro
earpiece	chovala chakumutu
earring	mphete
earrings	mphete
earshot	earhot
earth	dziko lapansi
earthenware	dothi
earthling	dziko lapansi
earthly	padziko lapansi
earthquake	chivomerezi
earthy	earthy
ease	kumasuka
easel	Pasel
easement	easement
easily	mosavuta
east	kummawa
eastbound	kum'mawa
eastern	kum'mawa
easy	zosavuta
easygoing	mosavutikira
eat	idyani
eater	idyani
eating	kudya
eatingdisorders	NO TRANSLATION
eavesdrop	lavesdrop
eavesdropping	kumanga
ebb	ebb
ebony	ebony
ebullient	zonyansa
eccentric	zovomerezeka
eccentricity	kutenthetsa
ecclesiastical	zamipingo
echelon	echelon
echinacea	echinacea
echo	tchulani
eclectic	zopanda pake
eclipse	kutaya kwa kadamsana
ecliptic	kadamsana
ecological	zachilengedwe
economic	chuma
economical	ndalama
economics	chuma
economy	chuma
ecosystem	zachilengedwe
ecstasy	chisangalalo
ecstatic	chosangalatsa
ecumenical	zachipembedzo
eddy	eddy
edema	edema
edge	m'mphepete
edging	edging
edgy	edgy
edible	kudya
edict	lamulo
edification	kumangiriza
edifice	nyumba
edit	sintha
editing	kusintha
edition	kope
editor	mkonzi
editorial	mkonzi
educate	kuphunzitsa
educated	wophunzira
education	maphunziro
educational	maphunziro
educator	mphunzitsi
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	njoka yam'madzi
eerie	zovuta
effect	zotsatira
effective	zothandiza
effectiveness	mphamvu
effects	zotsatira
effectual	bwino
effectually	effectually
effectuate	chitani
effeminate	sintha
efficacious	zothandiza
efficacy	zothandiza
efficiency	bwino
efficient	bwino
effigy	effigy
effort	khama
effortless	osayesetsa
effusion	chisokonezo
effyou	NO TRANSLATION
egg	dzira
egghead	mimba
eggnog	eggnog
eggplant	biringanya
eggshell	mazira a eggsell
ego	Ego
egomaniac	odziwika
egotistical	odzikuza
egregious	zovuta
egress	zovuta
eight	asanu ndi atatu
eighteen	khumi ndi zisanu ndi zitatu
eighth	chachisanu ndi chitatu
eighty	makumi asanu ndi atatu
ejaculate	ejaculate
ejaculation	kuthamangitsidwa
eject	siya
ejection	ejection
elaborate	zazikulu
elaboration	elaboration
elan	NO TRANSLATION
elapse	kudutsa
elapsed	kudutsa
elastic	zotanuka
elasticity	elasticity
elated	okondwa
elation	zosangalatsa
elbow	mpukutu
eld	eld
elder	mkulu
elderly	okalamba
elders	akulu
eldest	wamkulu
elect	osankhidwa
election	kusankhidwa
elective	kusankha
elector	osankhidwa
electoral	chisankho
electorate	osankhidwa
electric	magetsi
electric slide	magetsi
electrical	magetsi
electrician	wamagetsi
electricity	magetsi
electrify	kusokoneza
electrocute	electrocute
electrocution	electrocution
electromagnetic	magetsi
electron	electron
electronic	zamagetsi
electronics	zamagetsi
elegance	kukongola
elegant	zokongola
element	gawo
elemental	zofunikira
elementary	pulayimale
elements	zinthu
elephant	njovu
elevate	kukweza
elevated	kukwera
elevation	kukwera
elevator	elevator
eleven	khumi ndi limodzi
eleventh	khumi ndi chimodzi
elf	elf
elicit	pemphani
eligible	woyenera
eliminate	kuthetsa
elimination	kuchotsa
elite	olemekezeka
elitist	elitist
elixir	elixir
elk	elk
ell	Ell
ellipse	ellipse
ellipsis	ellipsis
ellipsoid	ellipsoid
elliptic	mphutsi
elliptical	elliptical
elm	elm
elongate	kupatula
elongation	kupitiliza
elope	elope
eloquence	mwatsatanetsatane
eloquent	wopeka
elucidate	tulukani
elucidation	kufotokoza
elude	sataya
elusive	osasamala
emaciated	emaciated
email	imelo
emanate	imanate
emancipation	kumasulidwa
embankment	kulumikiza
embargo	NO TRANSLATION
embark	kuyamba
embarrass	manyazi
embarrassed	manyazi
embarrassing	zochititsa manyazi
embarrassment	manyazi
embassy	ambassy
embattled	kumenyana
embed	emani
