Word	xh
diaper	diaper
diaphragm	isithsaba
diarrhea	isifo sohudo
diarrhoea	isifo sohudo
diary	idayari
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	dice
dicey	dicey
dichotomous	dichotomous
dichotomy	dichotomy
dick	dick
dickhead	dickhead
dicks	dicks
dictate	misela
dictation	ukunyanzelisa
dictator	mlawuli
dictatorial	utyholi
dictatorship	ulawulo lolawulo
diction	diction
dictionary	isichazi magama
dictum	NO TRANSLATION
didactic	i-didactic
diddle	ugcine
die	NO TRANSLATION
died	wafa
diesel	idizili
diet	ukutya
dietary	zokutya
differ	hlukile
difference	umahluko
differences	mahluko
different	hlukile
differential	umahluko
differentiation	umahluko
differently	ngokwahlukileyo
differing	hlukile
difficult	kunzima
difficulties	ubunzima
difficulty	ubunzima
diffuse	ku sasaza
diffusion	sasazwa
dig	NO TRANSLATION
digest	ukugaya
digestion	ukugaya
digestive	yokutya
digit	nombolo
digital	digital
dignified	sidima
dignify	sidima
dignity	sidima
digress	i-digress
digs	NO TRANSLATION
dike	NO TRANSLATION
dilapidated	ilahlekile
dilatation	ukuphucula
dilation	kuhlenga
dildo	dildo
dilemma	ngxaki
diligence	ukunyamekela
diligent	khuthele
dill	dill
diluent	diluent
dilute	phucula
diluted	kuhlanjululwa
dilution	kuhlenga
dim	kukhanya
dime	dime
dimension	ubukhulu
dimensional	ubukhulu
diminish	nciphisa
diminished	ncitshiswa
diminution	ukunciphisa
diminutive	nciphisa
dimwit	dimwit
din	NO TRANSLATION
dine	NO TRANSLATION
diner	diner
dinghy	ngantoni
dingo	dingo
dingy	dingy
dining	yokutya
dinky	dinky
dinner	isidlo sakusihlwa
dinnertime	ixesha lesidlo
dinosaur	dinosaur
dint	ukuhla
diocesan	diocesan
diocese	diocese
diorama	diorama
dioxide	dioxide
dip	ukudibanisa
diploma	diploma
diplomacy	diplomacy
diplomat	diplomate
diplomatic	idilesi
dipper	dipper
dippy	dippy
dipstick	i-dipstick
dire	NO TRANSLATION
direct	ngqo
directed	lathiswe
direction	lathiso
directive	myalelo
directly	ngqo
director	mlawuli
directory	lawulo
dirt	ukungcola
dirty	engcolileyo
disability	ukukhubazeka
disable	khubaza
disabled	abakhubazekileyo
disadvantage	ngxaki
disaffected	disaffected
disagree	vu melani
disagreeable	vu melani
disagreeing	vu melani
disagreement	ukungavumelani
disallow	nga vumeli
disallowed	nga vunywanga
disapointment	NO TRANSLATION
disappear	yalala
disappearance	yalala
disappearing	yalala
disappoint	kudana
disappointed	kudana
disappointing	danisa
disappointment	kudana
disapproval	ukungavumi
disapprove	ngavumi
disapproved	ngafuni
disapproving	ngavumi
disarm	khubaza
disarray	ukuphazamiseka
disaster	ntlekele
disastrous	yingozi
disband	ukukhupha
disbelief	nga kholelwa
disbelieve	nga kholelwa
disburse	hlawule
disbursement	hlawulwa
disc	idiski
discard	ukulahla
discarded	kulahlwa
discards	ukulahla
discern	kuqonda
discernible	kuqonda
discerning	kuqonda
discernment	ukuqonda
discharge	ukukhutshwa
disciple	umfundi
disciplinary	luleko
discipline	qeqesho
disciplined	luleko
disclaim	ukulahla
disclaimer	yokuzikhusela
disclose	ukuchaza
disclosed	yaziswa
disclosure	ukudalulwa
disco	fumana
discoloration	ukuguquka
discolored	zichazwe
discomfort	ngantoni
disconcerted	kuphazamiseka
disconcerting	ukuphazamisa
disconnect	nqakraza
disconnected	zixhunyiwe
disconnection	ukukhutshwa
disconnects	nqakraza
discontent	ukunganeliseki
discontinuance	ukuyeka
discontinue	ukuyeka
discontinuity	ukuyeka
discontinuous	ukuyeka
discord	ukungavumelani
discount	isaphulelo
discounted	ku phuculwa
discourage	kudimaza
discouraged	kudimazeka
discouragement	ukudimazeka
discouraging	ukudimazeka
discourse	intetho
discover	fu manisa
discovery	ukufumanisa
discredit	zihlaziye
discredited	zichazwe
discreet	NO TRANSLATION
discrepancy	ukungafani
discrete	ecacileyo
discretion	ingqiqo
discretionary	ngqiqo
discriminate	calulo
discriminating	calulo
discrimination	calulo
discus	discus
discuss	xubusha
discussion	ingxoxo
disdain	ku zi nyelisa
disdainful	ucekise
disease	isifo
diseased	ugule
disembodied	zikhutshwe
disengage	ukugxotha
disengagement	ukukhutshwa
disfigured	zitshintshile
disgrace	ihlazo
disgraced	hlazeka
disgraceful	zihlazo
disgruntled	ngcikizwa
disguise	ukuguqula
disguised	zifihliwe
disgust	ukunyaniseka
disgusted	gculelwa
disgusting	zizothe
dish	isidlo
disheartened	daniwe
disheartening	ukuphazamiseka
dishonest	ngathembeki
dishonesty	ukungathembeki
dishonor	zihlazo
dishonorable	ihlazo
dishwasher	isihlambi zitya
disillusionment	ukuphazamiseka
disinclination	ukungcola
disincline	zidibanise
disinclined	ngafuni
disinfect	ku tshathisa
disinfectant	i-disinfectant
disinfection	ukukhutshwa komzimba
disinformation	i nkcazelo
disingenuous	ngafuni
disintegrate	zidibanise
disintegration	ukutshatyalaliswa
disinterested	ngathandeki
disjoint	disjoint
disjointed	zidibene
disjunctive	zidibanisa
disk	disk
diskette	diskette
dislike	nga thandiyo
disliked	nga thandiyo
disliking	ukuphazamiseka
dislocated	zahlulwa
dislocation	ukutshintshwa
dislodge	ku rhoxisa
disloyal	nga thembeki
disloyalty	ukungathembeki
dismal	ziphazamisekile
dismantle	qhekeza
dismay	qhayisa
dismayed	nyikima
dismemberment	ukukhutshwa
dismiss	ukugxotha
dismissal	ukuxothwa
dismissive	ukulahlwa
dismount	qhekeza
disobedience	ukungathobeli
disobedient	nga thobeli
disobey	nga thobeli
disorder	ngxaki
disordered	ngxaki
disorderly	ngokungahambi kakuhle
disorganized	nga lungiswa
disorientation	ukudideka
disoriented	kuphazamiseka
disown	nga khanyela
disparage	ukudideka
disparaging	ukuphazamisa
disparate	hlukile
disparity	ukungafani
dispassionate	u bubele
dispatch	ukuthumela
dispatcher	umthumeli
dispel	ukukhupha
dispensary	yeemviwo
dispensation	ulawulo
dispense	ukusabalalisa
dispenser	umthengisi
dispersal	ukusabalalisa
disperse	sasaza
dispersed	sasazwa
dispersion	sasazwa
dispirited	baphumelele
displace	ukuchithwa
displaced	abafudukiweyo
displacement	ukufuduka
displacency	ukuhamba
display	bonise
displease	nga vu
displeased	ngafuni
displeasure	ukucaphukisa
disposable	zilahlwa
disposal	ukulahla
dispose	ukulahla
disposed	kulahlwa
disposition	isimo
dispossessed	ku rhoxiswa
disprove	zi khanyela
dispute	mbambano
disqualification	ukungafanelekanga
disqualified	nga fa nelwanga
disqualify	ukungafanelekanga
disquieted	ngxaki
disregard	ngahoywa
disregarded	nga tyeswanga
disrelish	zihlaziye
disreputable	aphikisiwe
disrepute	zi gculela
disrespect	nga hloneli
disrespectful	nga hloneli
disrupt	pha zamisa
disrupting	pha zamisa
disruption	ukuphazamiseka
disruptive	pha zamisa
dissatisfaction	ukunganeliseki
dissatisfied	nga nelanga
dissect	ukudibanisa
dissection	ukudibanisa
disseminate	sasazwa
dissemination	sasazwa
dissension	ukungqubana
dissent	ukuphikiswa
dissenting	ku chasene
dissertation	ukukhutshwa
disservice	ukunyuswa
dissident	ngafuni
dissimilar	ahluke
dissipate	ukusabalalisa
dissipated	zi lahliwe
dissociation	hlukana
dissociative	dissociative
dissolution	ukuchithwa
dissolve	qhekeka
dissonance	ukuxhomekeka
dissuade	zikhuphe
distal	distal
distance	umgama
distant	kude
distaste	ukuphazamiseka
distasteful	ephazamisayo
distillate	distillate
distillation	zi nkunkuma
distilled	distilled
distinct	hlu kileyo
distinction	umahluko
distinctive	ezahlukileyo
distinguish	kwahlula
distinguishable	zahlula
distinguished	zahluke
distinguishing	ukwahlula
distort	ukuphazamisa
distorted	ziphosakele
distortion	uphazanyiso
distract	pha zamisa
distracted	phazanyiswa
distracting	pha zamisa
distraction	ukuphazamiseka
distraught	kuphazamiseka
distress	ndezelo
distressed	xineke
distressing	xhaphaza
distribute	sasaza
distribution	sasazwa
distributor	mhambisa
district	yesithili
distrust	nga thembeli
disturb	pha zamisa
disturbance	ukuphazamiseka
disturbed	pha zamisa
disturbing	pha zamisa
disuse	se benzisa
disused	yaxhatshazwa
ditch	emhadeni
ditto	idilesi
ditty	ematyaleni
diurnal	ukutshintsha
diva	diva
divan	NO TRANSLATION
dive	dive
diver	ukungafani
diverge	bahluke
divergence	ukungafani
divergent	hlukana
diverging	ukuphazamisa
divers	abahlukeneyo
diverse	ezahlukeneyo
diversified	ezahlukeneyo
diversify	hlukana
diversion	ukuphazamiseka
diversionary	ukungafani
diversity	hlukana
divert	ukuguqula
diverting	ukuphambukisa
divest	hlukana
divested	yahlulwa
divestment	ulwahlulo
divide	ukwahlula
divided	yahlula
dividend	isabelo
divination	ukubhula
divine	nguThixo
divinity	nobuthixo
divisible	hlukana
division	ukwahlukana
divisor	umcebisi
divorce	umtshato
divorcee	umtshato
divulge	zichaze
divvy	ukwahlula
dizziness	ukungcola
dizzy	dizzy
do	kuyenza
doable	kuyenza
doc	doc
docile	kutyunjwa
dock	umkhosi
docked	udibene
docket	idokethi
docking	i-docking
doctor	ugqirha
doctorate	ugqirha
doctrinal	mfundiso
doctrine	mfundiso
document	uxwebhu
documentary	uxwebhu
documentation	maxwebhu
documents	maxwebhu
dodge	dodge
dodger	dodger
dodging	ukuhamba
dodgy	ukudibana
dodo	dodo
doe	doe
doer	umenzi
dog	inja
dogface	udidi
dogged	zibophe
doggy	inja
doghouse	yendlu
dogma	imfundiso
dogmatic	ngqiqweni
dogsick	NO TRANSLATION
doings	nezenzo
doit	NO TRANSLATION
dojo	dojo
doldrums	iindlovu
dole	dole
doll	doll
dollar	idola
dollhouse	dollhouse
dolor	NO TRANSLATION
dolphin	i dolphin
domain	kwisizinda
dome	dome
domestic	lwasekhaya
domesticated	ekhaya
domestication	lwasekhaya
domicile	kwiindawo zokuhlala
domiciled	lawulwa
dominance	lawula
dominant	ephezulu
dominate	lawula
dominating	lawula
domination	lawulo
dominatrix	olawulayo
dominion	lawulo
domino	domino
don	nikela
donate	nikela
donation	mnikelo
donkey	esile
donor	umnikeli
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	kunye naso
dontpanic	sungcangcazela
dontunderstand	NO TRANSLATION
doodle	udoti
doom	kutshabalalisa
doomed	kutshabalalisa
doomsday	ukuphela kwexesha
door	emnyango
doorbell	umnyango
doorknob	iholo
doorman	umnyango
doormat	doormat
doornail	umnyango
doorstep	emnyango
doorway	emnyango
dopamine	dopamine
dope	dope
dopey	dopey
dork	dork
dorky	dorky
dorm	dorm
dormant	lileyo
dormitory	kwiborori
dorsal	ukulahla
dosage	umyinge
dose	dose
dossier	ifayile
dot	ichaphaza
doting	ukutsalwa
dotted	echaziweyo
dotty	icwecwe
double	kabini
doubled	kabini
doublet	kabini
doubling	kabini
doubt	tha ndabuza
doubtful	tha ndabuza
doubting	ukungathandabuzeki
doubtless	ngokungathandabuzekiyo
doubts	tha ndabuza
douche	i shower
douchebags	i-douchebags
dough	intlama
doughboy	i-doughboy
doughnut	idonut
dour	kudla
douse	pha kamisa
dove	ihobe
down	phantsi
downcast	ukuhlaselwa
downer	phantsi
downfall	ukuwa
downfield	phantsi
downhearted	dangele
downhill	kwehla
download	khuphela
downpour	imvula
downright	ngqo
downriver	wehla
downside	phantsi
downtime	ixesha lokuhla
downward	phantsi
downy	behla
dowry	i dowari
doze	doze
dozen	eziliqela
drab	idrab
draft	qulunqa
drafty	utywala
drag	udonsela
dragon	inamba
dragonfly	dragonfly
drain	cima
drainage	amanzi
drained	yatshiswa
draining	u kucoca
drainpipe	i drainpipe
drake	utywala
drama	umdlalo
dramaqueen	dramaqueen
dramatic	kakhulu
drape	udwebe
drapery	ukukhupha
drastic	lukhulu
drat	NO TRANSLATION
draught	qulunqa
draw	udwebe
drawback	umva
drawbridge	ithrekhi
drawer	idraki
drawers	abadwebi
drawing	umzobo
dread	soyika
dreaded	u koyika
dreadful	yoyikekayo
dreadfully	u koyika
dreading	koyika
dream	phupha
dreamboat	dreamboat
dreamer	phupha
dreaming	ephuphayo
dreamland	dreamland
dreams	amaphupha
dreamt	waphupha
dreamy	ephuphayo
dreary	dreary
dredge	ku dredge
drenched	lityhutyhile
dress	ukugqoka
dresser	umgcini
dressmaker	umgqoki
dressy	yambethe
dribble	NO TRANSLATION
dried	omisiwe
drier	kuqhuba
drift	ukuhamba
drifted	ikhutshwe
drifter	kutyhila
driftwood	zikhuni
drill	kubetha
drink	ukusela
drinker	isiselo
drinking	kusela
drinks	ziselo
drip	kuvuza
dripping	kuvuza
drive	ukuqhuba
drivel	ukuhamba
driver	umqhubi
driveway	indlela yokuhamba
drizzle	kuvuza
droll	umquba
drone	utywala
drones	iidrones
drool	drool
drooping	ukuxhamla
droopy	droopy
drop	behla
droplet	droplet
dropout	phume phakathi
dropper	umxhasi
drought	mbalela
drove	NO TRANSLATION
drown	ngca
drowsiness	kulala
drowsy	elele
drudgery	ngxakini
drug	iziyobisi
drug dealing	ukusetyenziswa kweziyobisi
drugged	izidakamizwa
druggist	weziyobisi
drugs	machiza
drugstore	yeziyobisi
druid	i dru dru
drum	idrama
drummer	umdaka
drumming	ngqungquthela
drunk	utywala
drunk driving	utywala
drunkard	utywala
drunken	udakwa
drunkenness	u kunxila
dry	yomile
dryer	omile
dryness	owomileyo
dual	babini
dualism	ubuxoki
duality	udidi
dub	dub
dubious	buhlungu
duchess	duchess
duck	idada
ducking	ducking
duckling	ngodada
ducky	ducky
duct	ihambo
ductile	ductile
dud	dud
dude	dude
duds	duds
due	efanelekileyo
duel	duel
dues	zicelo
duet	duet
duffel	duffel
dugout	umgca
duh	duh
duke	umbusi
dull	ngca
dullard	dullard
dumb	sidenge
dumbasses	izidumbu
dumbbell	ngqungquthela
dumbbitch	NO TRANSLATION
dumfound	ku dumfound
dumfounder	NO TRANSLATION
dummy	dummy
dump	ukulahlwa
dumpling	ukulahla
dumps	ukulahla
dumpster	dumpster
dun	dun
dunce	dunce
dune	indunduma
dung	NO TRANSLATION
dungeon	emgodini
dunk	dunk
duo	duo
dupe	ukuphanga
duplex	duplex
duplicate	kuphinda
duplication	kuphinda
duplicity	ngokuphindaphindiweyo
durability	ukuzinza
durable	ehlala njalo
duration	ixesha
duress	ukunyanzelisa
dusk	kusasa
dusky	i-dusky
dust	uthuli
duster	ngombusi
dustpan	uthuli
dusty	uthuli
dutiful	efanelekileyo
duty	msebenzi
dwarf	ncinane
dwarfed	ncinane
dweeb	dweeb
dwell	kuhlala
dweller	kuhlala
dwelling	kuhlala
dye	idayi
dying	bafa
dyke	dyke
dynamic	eguqukayo
dynamical	iguquguqukayo
dynamics	zitshintshi
dynamite	i-dynamite
dynamo	dynamo
dynasty	ubukhosi
dysentery	isifo somhlaza
dysfunction	ukungasebenzi
dysfunctional	ngasebenzi
dyspepsia	dyspepsia
eager	ngxamele
eagerness	ukulangazelela
eagle	ukhozi
ear	indlebe
earful	ku fumana
earl	indlebe
earlier	ngaphambili
early	kusasa
earn	fumana
earnest	ngokunyanisekileyo
earnestly	ngokunyanisekileyo
earnestness	ukunyaniseka
earnings	ngeniso
earpiece	ngophawu
earring	indlebe
earrings	namacici
earshot	iindlebe
earth	mhlabeni
earthenware	zobumba
earthling	mhlabeni
earthly	emhlabeni
earthquake	inyikima
earthy	umhlaba
ease	kukhulula
easel	easel
easement	uhlengahlengiso
easily	lula
east	bucala ngasekhohlo
eastbound	empumalanga
eastern	empuma
easy	kulula
easygoing	Ingaba ndingayiqasha pho imoto
eat	badle
eater	kudla
eating	ukutya
eatingdisorders	NO TRANSLATION
eavesdrop	evesdrop
eavesdropping	ukuhamba
ebb	bhu
ebony	ebony
ebullient	bubuhlungu
eccentric	ekhohlo
eccentricity	ukuxhamla
ecclesiastical	ecaweni
echelon	echelon
echinacea	echinacea
echo	bhala
eclectic	eclectic
eclipse	ukugqiba
ecliptic	ecliptic
ecological	kwendalo
economic	qoqosho
economical	qoqosho
economics	qoqosho
economy	qoqosho
ecosystem	kwendalo
ecstasy	kuvuya
ecstatic	nwabisa
ecumenical	ecumeniki
eddy	eddy
edema	edema
edge	umda
edging	ukuhlela
edgy	udidi
edible	ezidliwayo
edict	myalelo
edification	yokwakha
edifice	edifice
edit	ukuhlela
editing	ukuhlela
edition	lohlobo
editor	umhleli
editorial	uhleli
educate	fundisa
educated	fundiswa
education	imfundo
educational	zemfundo
educator	titshala
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	I-eel
eerie	eery
effect	siphumo
effective	ngempumelelo
effectiveness	ngempumelelo
effects	ziphumo
effectual	efanelekileyo
effectually	ngokugqibeleleyo
effectuate	kwenziwa
effeminate	kuphelisa
efficacious	ngempumelelo
efficacy	ngempumelelo
efficiency	ngempumelelo
efficient	ngempumelelo
effigy	i-effigy
effort	umzamo
effortless	ngakwazi
effusion	ukuxuba
effyou	NO TRANSLATION
egg	iqanda
egghead	ekhanda
eggnog	eggnog
eggplant	isityalo seqanda
eggshell	eggshell
ego	ego
egomaniac	egomaniac
egotistical	ukuzithethelela
egregious	ezibuhlungu
egress	gca
eight	Sibhozo
eighteen	Shumi elinesibhozo
eighth	Isibhozo
eighty	Amashumi asibhozo
ejaculate	ejaculate
ejaculation	ejaculation
eject	ukuyeka
ejection	ejection
elaborate	cacisa
elaboration	ku caciswa
elan	NO TRANSLATION
elapse	ku gqithisa
elapsed	gqityiwe
elastic	elastic
elasticity	ukunyaniseka
elated	nwabile
elation	nwabisa
elbow	ibhokhwe
eld	endala
elder	ngumdala
elderly	badala
elders	badala
eldest	endala
elect	ukhethwa
election	ukhetho
elective	kukhetha
elector	unyulo
electoral	lonyulo
electorate	bakhethi
electric	zombane
electric slide	slide kagesi
electrical	zombane
electrician	zombane
electricity	umbane
electrify	kutyumba
electrocute	i-electrocute
electrocution	electrocution
electromagnetic	i-electromagnetic
electron	i electron
electronic	ngekhompyutha
electronics	zombane
elegance	ubuhle
elegant	ezintle
element	lento
elemental	esisiseko
elementary	eziphambili
elements	izinto
elephant	indlovu
elevate	pha kamisa
elevated	ephakamileyo
elevation	phezulu
elevator	elevator
eleven	Shumi elinanye
eleventh	Ishumi elinanye
elf	elf
elicit	kucela
eligible	zifanelekile
eliminate	phelisa
elimination	ku pheliswa
elite	elite
elitist	elitist
elixir	elixir
elk	elk
ell	ell
ellipse	ellipse
ellipsis	ellipsis
ellipsoid	ellipsoid
elliptic	elliptic
elliptical	elliptical
elm	elm
elongate	zixhomekeke
elongation	elongation
elope	elope
eloquence	ngokucacileyo
eloquent	u buchule
elucidate	kuluhlu
elucidation	ukucaciswa
elude	kuluhlu
elusive	azinako
emaciated	zixhamle
email	imeyile
emanate	kuphuma
emancipation	khulule
embankment	ukumbamba
embargo	NO TRANSLATION
embark	qalisa
embarrass	uhlazo
embarrassed	zihlazo
embarrassing	ihlazo
embarrassment	neentloni
embassy	i-ambassy
embattled	zixutywe
embed	ngenelo
embellish	embellish
embellishment	embellishment
embers	zibandakanya
embezzlement	ukugcoba
embezzler	umgca
emblem	uphawu
emblematic	impawu
embodiment	yohlobo
embolism	ukumbumba
embossed	embossed
embrace	kwamkela
embroidered	eboshwe
embroidery	ukukhahlela
embroiled	zibandakanya
embryo	embryo
embryonic	embryonic
emcee	emcee
emerald	emerald
emerge	kuvela
emergence	kuvela
emergency	ngxakeko
emeritus	kuvela
emery	emery
emetophobia	NO TRANSLATION
emigrate	ukufuduka
emigration	ukufuduka
eminence	ubukhulu
eminent	eziphambili
eminently	ngokugqithiseleyo
emir	NO TRANSLATION
emissary	umthunywa
emission	ukukhutshwa
emit	kuphuma
emo	emo
emotion	imvakalelo
emotional	mvakalelo
emotive	emotion
empathic	uvelwano
empathize	u velwano
empathy	uvelwano
emperor	umbusi
emphasis	gxi niniswa
emphasize	gxi ninisa
emphatic	gxi ninisa
emphysema	emphysema
empire	bukhosi
empirical	emagqabini
empiricism	bugcisa
employ	baqeshe
employee	ngumqeshwa
employer	umqeshi
employment	yengqesho
emporium	i-emporium
empower	xhobisa
empress	ngqinela
emptiness	nganto
emption	ukuxhomekeka
empty	ezingenanto
emu	emu
emulate	ku landela
emulsion	emulsion
enable	kunceda
enablement	amandla
enact	uyenze
enactment	umthetho
enamel	koqweqwe lwawo
encampment	zenkampu
enchant	mnandi
enchanted	bhenkce
enchanting	nwabisa
enchantment	umtsalane
enchantress	umcebisi
enchilada	enchilada
encircle	zijikeleze
encircling	ngeenxa zonke
enclave	enclave
enclose	zifake
enclosure	idibeneyo
encode	ukudibanisa
encomiastic	NO TRANSLATION
encomium	encomium
encompass	ziquka
encore	NO TRANSLATION
encounter	dibana
encourage	khuthaza
encouraged	khuthazwa
encouragement	khuthazo
encouraging	khuthaza
encroach	ukudibanisa
encroachment	ukudibana
encrypt	kubhala
encryption	kubhala
encumbrance	ukuxubusha
encyclopedia	encyclopedia
end	isiphelo
end table	ithebula lokugqibela
endanger	yingozi
endangered	se mngciphekweni
endangerment	yingozi
endearing	kuthanda
endeavor	uzame
ended	iphelile
endemic	ziphela
endgame	umgca
ending	siphelo
endless	elingapheliyo
endocarditis	endocarditis
endorse	vumela
endorsement	u kuvunywa
endow	isithuba
endowed	linikezelwe
endowment	isabelo
endpapers	amaphephancwadi
endpoint	i siphelo
endurance	nya mezela
endure	nya mezela
enduring	nya mezela
enema	enema
enemy	lutshaba
energetic	amandla
energize	ku khuthaza
energy	amandla
enforce	nya nzelisa
enforcement	ukunyanzeliswa
enforcer	umgaqo
engage	nxaxheba
engaged	zibandakanya
engagement	nxaxheba
engaging	nxaxheba
engender	zenzeke
engine	injini
engineer	njineli
engineering	zobunjineli
engrave	ukudweba
engraved	zidweliswe
engraver	umdwebo
engraving	ukudweba
engrossed	zixakeke
engrossing	xhaphaza
engulf	zifake
enhance	phucula
enhancement	ukuphucula
enigma	enzima
enigmatic	enigmatic
enjoin	yalela
enjoy	nwabele
enjoyable	nwabile
enjoying	nandipha
enjoyment	lonwabo
enlarge	kwandisa
enlarged	kwandiswa
enlargement	ukwandiswa
enlighten	ku khanyisa
enlightened	khanyiswa
enlightening	ku khanyisa
enlightenment	ku khanyiswa
enlist	ubhale
enliven	liweyo
enmity	ubutha
ennui	ennui
enormity	omkhulu
enormous	kakhulu
enormously	kakhulu
enraged	nomsindo
enrich	phucula
enroll	bhalisa
enrollment	bhaliso
ensemble	ndawonye
ensign	umqondiso
enslave	khoboka
enslaved	khoboka
enslavement	u khoboka
ensue	qulunqwa
ensure	ukuqinisekisa
entail	ndakanya
entangled	ngxakini
entanglement	u kungena
enter	ukungena
enterprise	shishini
enterprising	ukungena
entertain	nwabisa
entertained	zi kholiswa
entertainer	nwabisa
entertaining	nwabisa
entertainment	lonwabo
enthralled	zifakwe
enthusiasm	nomdla
enthusiast	nomdla
enthusiastic	ngentshiseko
entice	bahende
entire	ngokupheleleyo
entirety	ngokupheleleyo
entitle	lungelo
entity	iqumrhu
entomology	entomology
entourage	entourage
entrails	zithintela
entrance	Ukungena
entrapment	ukufakwa
entreat	bongoza
entree	ngenisa
entrepreneur	usomashishini
entrust	zibeke
entry	ukungena
enumerate	kubhala
enumeration	ukuhlawula
envelope	mvulophu
envious	nomona
environ	NO TRANSLATION
environment	ngileyo
environmental	yendalo
environs	ezikufutshane
envision	kucinga
envoy	umthunywa
envy	umona
enzyme	enzyme
ephemeral	ephemeral
ephemeris	ephemeris
epic	epic
epidemic	bhubhane
epidermis	epidermis
epidural	ngophawu
epilepsy	ukuxhamla
epileptic	isisu
epilogue	ipilo
epiphany	epiphany
episcopal	episcopal
episode	isiqendu
episodic	episodic
epistle	incwadi
epitaph	epitaphfa
epithet	epithet
epitome	i-epitome
epoch	epoch
equal	lingana
equality	lingana
equalization	ukulingana
equalize	zilingana
equalizer	equalizer
equally	ngokulinganayo
equate	lingana
equation	equation
equator	equator
equatorial	equatorial
equestrian	equestrian
equidistant	equidistant
equilibration	ukulingana
equilibrium	ukulingana
equip	kuxhobisa
equipment	izixhobo
equitable	ngokulinganayo
equity	ubulungisa
equivalence	ngokulinganayo
equivalent	lingana
equivocal	ngokulinganayo
era	xesha
eradicate	phelisa
eradication	ku pheliswa
erase	ukucima
eraser	eraser
erasure	ukucima
ere	NO TRANSLATION
erect	ukumisa
erectile	erectile
erection	ukulungiswa
ergo	NO TRANSLATION
erode	ukuphazamiseka
erosion	ukuguguleka
erotic	utywala
erotica	udoti
err	ilahlekile
errand	ngenye indlela
errant	ulahlekile
erratic	e ngqi
erratum	i-erratum
erroneous	ephosakeleyo
error	mpazamo
erst	NO TRANSLATION
erudite	i-erudite
erupt	kuqhuma
eruption	ukuqhuma
escalade	ukunyuka
escalate	kukhula
escalating	ukwanda
escalation	ukwanda
escalator	escalator
escape	ubaleke
escaped	basinda
escarpment	iscarpment
eschew	kuhlola
escort	ukuhamba
escrow	i-escrow
esophagus	isophagus
esoteric	esoteric
especial	NO TRANSLATION
espionage	u bukhosi
espouse	ukuhlala
espresso	espresso
esprit	ngqondweni
esquire	kucela
essay	incoko
essayist	intetho
essence	ngundoqo
essential	kubalulekile
essentially	ngo kwenene
establish	ukuseka
established	sekiwe
establishment	kusekwa
estate	ifa
esteem	ixabiso
esteemed	ixabiso
esthetic	ishetic
estimable	qi kelelwa
estimate	qi kelela
estimation	qi kelelo
estoppel	estoppel
estranged	hlukana
estrogen	estrogen
estuary	nxwemeni
etch	etch
etching	ukufakwa
eternal	ngonaphakade
eternity	ngonaphakade
ethanol	ethanol
ether	ether
ethereal	ekhoyo
ethic	imigaqo
ethical	yokuziphatha
ethics	yokuziphatha
ethnic	buhlanga
ethnography	ethnography
etiology	etiology
etiquette	umyalelo
etymology	etymology
eucalyptus	eucalyptus
euchre	kudala
eugenics	eugenics
eulogistic	eulogistic
eulogium	eulogium
eulogize	ukuxhamla
eulogy	eulogy
euphemism	utywala
euphoria	kuvuya
euphoric	euphoric
euro	i euro
euthanasia	euthanasia
evacuate	kuphuma
evacuation	ukukhutshwa
evade	baleka
evaluate	vavanyo
evaluation	vavanyo
evanescence	evanescence
evangelical	ngevangeli
evangelist	mvangeli
evangelistic	shu mayela
evaporate	kuphuma
evaporation	kuphuma
evasion	ukuphepha
evasive	evasive
eve	eve
evening	ngokuhlwa
evens	NO TRANSLATION
event	ganeko
eventful	kwenzeka
eventual	gqi beleni
eventuality	kubakho
evergreen	isiqhelo
everlasting	ngonaphakade
evermore	ngonaphakade
everyday	yonke imihla
everyman	wonke umntu
evict	ukukhupha
eviction	kukhutshwa
evidence	ubungqina
evident	kubonakala
evidentiary	bu bungqina
evil	bubi
evoke	ukuvusa
evolution	yindalo
evolutionary	yokuziphendukela kwemvelo
evolve	kuguquka
ewe	ewe
ex	ex
exacerbate	ngxakini
exacerbation	ukucima
exact	ngqo
exacting	zifuna
exaggerate	xelela
exaggerated	xhobisa
exaggeration	ukunyaniseka
exalt	pha kamisa
exaltation	ukuphakanyiswa
exalted	waphakanyiswa
exam	vavanyo
examination	uviwo
examine	bahlole
examiner	mviwo
example	mzekelo
exasperated	cudiswa
exasperation	ukucaphukisa
excavate	cima
excavation	ukucandwa
excavator	umfuyi
exceed	kudlule
exceeding	kudlula
excel	phambili
excellence	ku gqwesa
excellent	kakhulu
excelsior	kakhulu
excepting	ngaphandle
exception	ngaphandle
exceptional	ekhethekileyo
excerpt	catshulwa
excess	ngokwemfuneko
excessive	ngokugqithiseleyo
excessively	ngokudlulisile
exchange	nziswano
excise	i-excise
excision	ukucabisa
excitability	ukukhutshwa
excitable	efanelekileyo
excitation	ukuchulumisa
excite	vuyela
excited	vuyiswa
excitement	uvuyo
exciting	ku vuyisa
exclaim	bhala
exclamation	ukumemeza
exclude	nga ndakanyi
excluded	ngaphandle
excluding	ngaphandle
exclusion	ukukhutshwa
exclusive	kuphela
