Word	si
cutie	කෑලි
cutlass	කැපීම
cutlery	හැඳි ගෑරුප්පු
cutoff	විසන්ධි කරනවා
cutter	කටර්
cutters	කටර්ස්
cutthroat	කපා
cutting	කැපීම
cutting board	කැපුම් පුවරුව
cuttings	දඩු කැබලි
cwt	සීඅයිඩීය
cyanide	සයනයිඩ්
cyberspace	සයිබර් අවකාශය
cycle	චක්රය
cyclical	චක්රීය වේ
cyclist	පාපැදි කරුවෙක්
cyclone	සුළි කුණාටුවයි
cylinder	සිලින්ඩරය
cylindrical	සිලින්ඩරාකාරය
cymbal	අච්චාරු
cynic	නරුම ය
cynical	නරුම ය
cynicism	නරුමත්වයකි
cyst	බුබුලකි
cystic	ම්ලේච්ඡු
cytomegalovirus	සයිටොමෙගෝලොසරස්
cytoplasm	සෛල වේ
czar	කාර්
dab	ඩබ්
dabble	නටනවා
dabbling	ඩබ්ලලිං
dad	තාත්තා
daddy	තාත්තා
dado	NO TRANSLATION
daemon	ඩීමන්
daft	ඩීෆ්ට්
dagger	කිනිතුල්ලෝ
daily	දිනපතා
dainty	නිස්කලංක
daiquiri	ඩයිකරි
dairy	කිරි
daisy	ඩේසි
dak	NO TRANSLATION
dale	ඩේල්
dam	වේල්ල
damage	හානි
damaged	හානි වී ඇත
damages	හානි
dame	ඩෙමේ
damn	අපොයි
damnation	දඬුවම් කිරීම
damned	ඇහුවා
damp	තෙත් වේ
dampened	අවලංගු විය
damper	ඩම්ප්
damsel	තාත්තා
dance	නටන්න
dancer	නර්තන ශිල්පියෙක්
dancing	නර්තනය
dandruff	පෙරූ
dandy	ඩෙන්ඩි
danger	අනතුර
dangerous	භයානකයි
dangerously	අන්තරායකාරී වේ
dangit	NO TRANSLATION
dangle	බඩේ
dank	NO TRANSLATION
dapper	ඩම්පර්
dare	නොපෙනී ගියේය
daredevil	ඩ්රාවිවිල්
daresay	ඩී
daring	නිර්භීතයි
dark	අඳුරු වේ
darken	අඳුරු වේ
darkened	අඳුරු වේ
darkly	අඳුරේ
darkness	අඳුරු
darkroom	තදබදව
darkside	අදුරු පැත්ත
darling	ඩේලිං
darn	බල්ලෝ
dart	ඩාර්ට්
dash	ඉර ඇත
dashboard	උපකරණ පුවරුව
dashed	ඉරිතලා ඇත
dashing	රස්සාව
dastardly	කෲර ය
data	දත්ත
database	දත්ත සමුදාය
date	දිනය
datenight	NO TRANSLATION
daughter	දියණිය
dawdle	කසළේය
dawn	අලුයම
dawned	උදාවිය
day	දවස
daybreak	කදුළුකි
daycare	දිවා සුරැකුම්
daydream	දවල්
daydreaming	සිහින දකින්න
daylight	දවාලේ
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	දිවාකාලය
daze	ඩී
dazed	ඩේවිඩ්
dazzle	ඩයස්පේ
dazzling	චමත්කාරජනක
deacon	උපස්ථායකයෙකි
deactivate	අක්රිය කරන්න
dead	මැරිලා
deadbeat	නෙරපා
deadline	නියමිත කාලය
deadlines	කාලපරිච්ඡේදය
deadlock	නුවණට හුරුය
deadly	මාරාන්තිකයි
deaf	බිහිරි
deafening	සිත් රිදවීමකි
deafness	බිහිරි බව
deal	ගනුදෙනුවක්
dealer	බෙදාහරින්නා
dealership	නියෝජිතත්වය
dealing	ගණුදෙනුකිරීම
dealings	ගනුදෙනුවකි
dean	ඩී
dear	ආදරණීයයි
dearest	ආදරණීයයි
dearth	හිඟයක්
death	මරණ
deathbed	මරණාසන්නයයි
deathly	මරණයට පත් විය
debacle	විභේදනයයි
debased	නරකයි
debatable	විවාදත්මකයි
debate	විවාදය
debauchery	අවුල් ජාලය
debenture	ණයකර
debilitating	බෙලහීනයි
debit	හර කිරීම
debrief	විවාදයක් නැත
debriefing	විවේචනය කිරීම
debris	සුන්බුන්
debt	ණය
debtor	ණයගැතියා
debut	මංගල වේ
debutante	ගැහැනු
decade	දශකය
decadence	දිරාපත්වීම
decadent	දිරාපත් විය
decaf	කෙඳි
decanter	දිරාපත්වේ
decathlon	ආඥාදායකය
decay	ක්ෂය වේ
decayed	දිරාපත් විය
decaying	දිරාපත්වීම
deceased	මියගිය අයයි
decedent	අසමගිය
deceit	වංචාව
deceitful	රැවටිලිකාරයි
deceive	රැවටුවේය
deceived	රැුවටුණා
deceiving	රැවටීමයි
december	දෙසැම්බර්
decency	විනීතයි
decent	හොඳයි
deception	රැවටීමයි
deceptive	රැවටිලිකාරයි
decide	තීරණය කරන්න
decidedly	නිශ්චිතවම
deciduous	පතනශීලී
decimal	දශමස්ථානයයි
decimeter	දශමයකින්
decipher	කියවනයි
decision	තීරණ
decisive	තීරනාත්මක ය
deck	තට්ටුව
declaration	ප්රකාශනයයි
declaratory	ප්රකාශයයි
declare	ප්රකාශ කරන්න
declination	වැටී ඇත
decline	වැටීමකි
declining	පහත වැටේ
deco	ඩයෝ
decode	විකේතනය
decoder	විකේතනයකි
decompose	වියෝජනය විය හැක
decomposed	දිරාපත් විය
decomposition	විසංයෝජනය කිරීම
decompress	විසන්ධි කරන්න
decompression	පීඩනය
decontamination	නිර්දූෂණය කිරීම
decor	අලංකරණය
decorate	අලංකාර කරන්න
decorating	සැරසීම
decoration	සැරසිලි
decorative	අලංකාර වේ
decorator	සැරසිලි කරුවෙක්
decorum	ආන්තිකය
decoy	කතාව
decrease	අඩු වේ
decreased	අඩු විය
decreasing	අඩුවෙමින් පවතී
decree	ආඥාවයි
decrement	අඩුවිය
decrepit	දිරාපත් විය
decry	වැටෙයි
decryption	විෙක්තකරණය
dedicate	කැප කරන්න
dedication	කැපවීම
deduce	නිගමනය කරනවා
deduct	අඩු කරන්න
deductible	අඩු කළ හැකිය
deduction	අඩු කිරීමයි
deed	ඔප්පුව
deejay	ඩේජාජ්
deem	සිතනවා
deep	ගැඹුරු
deepen	ගැඹුරු වේ
deer	මුවා
defamation	අපහාස කිරීම
defamatory	අපහාසයකි
default	පැහැර හැරීමකි
defeat	පරාජය විය
defeated	පරාජය විය
defeatist	පරාජිතයි
defect	දෝෂයකි
defection	විසංවාදය
defective	දෝෂ සහිතය
defector	වාදකයෙක්
defend	ආරක්ෂා කරන්න
defendant	විත්තිකරුවෙකි
defended	ආරක්ෂා කලේය
defender	ආරක්ෂකයා
defending	ආරක්ෂා කිරීම
defense	ආරක්ෂක
defenseless	අනාරක්ෂිතයි
defensible	ආරක්ෂා කරගත හැකිය
defensive	ආරක්ෂකයෝය
defer	නොකියයි
deference	නොසැලකේ
deferral	සීරීම්
deferring	පසුබිම
defiance	අධිෂ්ඨානයයි
defiant	අප්රසන්න
defibrillator	ශුන්ය වේ
deficiency	හිඟකමයි
deficient	ඌනතාවය
deficit	හිඟය
define	අර්ථ දක්වන්න
defined	අර්ථ දක්වා ඇත
definite	නිශ්චිත ය
definition	අර්ථකථනයකි
definitive	නිශ්චිත ය
deflate	අවලස්සන
deflation	අවපාතය
deflect	පරාවර්තනය
deflection	අපගමනය
defloration	defloration
deform	විරූපණය වේ
deformed	විකෘති වී ඇත
deformity	විකෘතිතාවය
defraud	වංචාව
defray	වැරදියි
defrost	විවේකයයි
deft	පිතිකරුවකු විය
defunct	අකමැති
defuse	නිෂ්ප්රභා කරන්න
defy	නොකියයි
degeneracy	පිරිහීමයි
degenerate	පිරිහෙනවා
degeneration	පරිහානියයි
degradation	විනාශය
degrade	පිරිහෙනවා
degraded	පිරිහී ඇත
degrading	පහත් කිරීමකි
degree	උපාධිය
dehydrated	විජලනය
dehydration	විජලනය
dejected	කලකිරී ඇත
delay	ප්රමාදයි
delayed	ප්රමාද විය
delectable	රසවත්
delegate	නියෝජිතයා විය
delegation	නියෝජිත
delete	ඉවත් කරන්න
deleterious	හානිකර වේ
deletion	මකාදැමීම
deli	ඩෙල්
deliberate	හිතාමතාම
deliberation	විවාදයක් නැත
deliberative	හිතා මතායි
delicacy	ප්රණීත ආහාරයක්
delicate	රසවත්ය
delicatessen	සැකසූ ආහාර වෙළඳ සැල
delicious	රසවත්
delight	සතුටට කරුණක්
delighted	සතුටුයි
delightful	ප්රසන්නයි
delineate	නිරූපණය කරන්න
delineation	පැහැදිලි කිරීම
delinquency	අපහසුතාවකි
delinquent	අවාසනාවන්ත ලෙසයි
delirious	භීතියයි
delirium	ඩෙලියමිය
deliver	ලබා දෙන්න
deliverance	ගළවාගැනීමයි
delivery	භාරදීම
dell	ඩෙල්
delta	ඩෙල්ටා
delude	මුළා කරන්නකි
deluge	ජලගැල්මයි
delusion	මෝහය
delusional	වැරදියි
deluxe	ප්රණීත
delve	කරන්න
demand	ඉල්ලුම
demanding	ඉල්ලා සිටියේය
demeaned	අඩුයි
demeaning	පහත් කොට සැලකූහ
demeanor	සැළකිය යුතුය
demented	ඩී
dementia	ඩිමෙන්ශියාව
demise	අභාවය
demo	ඩෝම්
democracy	ප්රජාතන්ත්රවාදය
democrat	ප්රජාතන්ත්රවාදියෙකි
democratic	ප්රජාතන්ත්රවාදී ය
demographic	ජනගහන විද්යාව
demolish	කඩා දමන්න
demolished	කඩා දමා ඇත
demolition	කඩා දැමුවා
demon	යක්ෂයා
demonic	යක්ෂයා ය
demonstrable	පෙනීයයි
demonstrate	පෙන්නුම් කරනවා
demonstrated	ප්රදර්ශනය විය
demonstrating	පෙලපාලි
demonstration	උද්ඝෝෂණයකි
demonstrative	උද්වේගකරයි
demonstrator	පෙලපාලියකි
demoralized	භීතියට පත්විය
demos	දර්ශන
demure	ස්තූතියි
den	NO TRANSLATION
deniability	ප්රතික්ෂේප කිරීමයි
denial	ප්රතික්ෂේප කිරීම
denied	ප්රතික්ෂේප කළා
denim	ඩෙනිම්
denomination	නෝට්ටුවක්
denominational	නෛතිකමය
denominator	හරය
denote	හිටියෙ
denounce	හෙලා දැකිය හැකිය
dense	ඝන වේ
density	ඝනත්වය
dent	ඩයින්ට්
dental	දන්ත
dentist	දන්ත වෛද්යවරයෙක්
dentistry	දන්ත වෛද්ය විද්යාව
dentists	දන්ත වෛද්යවරුන්
denunciation	හෙලාදැකීමයි
deny	ප්රතික්ෂේප කරනවා
denying	ප්රතික්ෂේප කරනවා
deodorant	ඩියෝඩ්රන්ට්
depart	පිටත් වෙනවා
departed	ගියා
department	ෙදපාර්තෙම්න්තුෙව්
departmental	ෙදපාර්තෙම්න්තුෙව්
departure	පිටවීම
depend	රඳා පවතී
dependable	විශ්වාසදායකය
dependant	රඳා පවතී
dependence	රඳා පවතී
dependency	රඳා පැවතීම
dependent	රඳා පවතී
depict	නිරූපණය කෙරේ
depicting	නිරූපණය කෙරේ
depletion	ක්ෂයවීම
deplorable	නරකයි
deplore	කනස්සල්ලට
deploy	යොදවා ඇත
deployment	යෙදවීම
deport	පිටුවහල් කරයි
deportation	පිටුවහල් කිරීම
depose	බැහැර කරයි
deposit	තැන්පතු
depositary	තැන්පත් කිරීම
deposition	තැන්පත් වීම
depository	තැන්පතු
depot	ගබඩාව
depraved	දෝෂාරෝපණය කර ඇත
depravity	දූෂණය
depreciate	අවප්රමාණය
depreciated	ක්ෂය වී ඇත
depreciation	ක්ෂයවීම
depress	මානසික ආතතිය
depressed	මානසික අවපීඩනයයි
depressing	මානසික අවපීඩනයයි
depression	අවපාතය
depressive	මානසික අවපීඩනයයි
depresson	NO TRANSLATION
deprivation	අහිමි වීම
deprive	අහිමි වේ
deprived	අහිමි විය
depth	ගැඹුර
deputy	නියෝජ්ය
derail	අවනත විය
deranged	නරකයි
derelict	නොසලකා හරිනු ලැබේ
derision	විහිලුවක්
derivation	ව්යුත්පන්නයන්ය
derivative	ව්යුත්පන්නයි
derive	ව්යුත්පන්න කරන්න
dermal	චර්මීය
dermatologist	චර්ම රෝග විශේෂඥයා
dermatology	චර්ම රෝග විද්යාව
derogation	අවලංගු කිරීමකි
derogatory	පරස්පරයි
descend	පහළට යමු
descendant	වංශයෙන් පැවතෙන්නා
descendent	NO TRANSLATION
descending	පහළට
descent	සම්භවය
describe	විස්තර කරයි
description	විස්තර
descriptive	විස්තරාත්මක
desecrate	සමූලඝාතනය
desecration	කණගාටුවකි
desert	කාන්තාරය
deserted	හැර ගොස් ඇත
deserter	ඩ්රෙසර්
desertion	හැර යාමකි
deserve	සුදුසු ය
deserved	ලැබිය යුතුය
deserving	සුදුස්සෙක් විය
design	නිර්මාණ
designate	නම් කරන්න
designated	නියම කර ඇත
designation	තනතුර
designed	නිර්මාණය කර ඇත
designer	නිර්මාණකරුවා
designing	නිර්මාණය කිරීම
desirability	යෝග්ය වේ
desirable	ප්රියජනකයි
desire	ආශාවයි
desiring	අභිප්රායයි
desirous	කැමැත්තේ ය
desist	අතහැර දමන්න
desk	මේසය
desolate	පාළු වී ය
desolation	පාළුකරය
despair	බලාපොරොත්තු සුන්වෙති
despairing	බලාපොරොත්තු සුන්වෙලා
despatch	අස්වනු නෙලීම
desperado	මංමුලා සහගතයි
desperate	මංමුලා සහගතයි
desperation	මංමුලා සහගතයි
despicable	අධම
despise	අවමන් කරනවා
despondent	අසීරුය
despotic	අත්තනෝමතික ය
despotism	අධිරාජ්යවාදයයි
dessert	අතුරුපසක්
destination	ගමනාන්තය
destined	නියම වේ
destiny	ඉරණම
destitute	අසරණ වී ඇත
destroy	විනාශ කරන්න
destroyed	විනාශ කර ඇත
destroyer	විනාශකාරකය
destroying	විනාශ කිරීමයි
destruct	විනාශ කරන්න
destruction	විනාශයයි
destructive	විනාශකාරීයි
detach	වෙන්වෙයි
detached	වෙන්ව ඇත
detachment	රැඳවීමයි
detail	සවිස්තරාත්මකව
detailed	විස්තරාත්මක
details	විස්තර
detain	රඳවා තබයි
detainee	රැඳවියන්
detect	හඳුනාගත හැකිය
detectable	හඳුනාගත හැකිය
detection	හඳුනා ගැනීම
detective	රහස් පරීක්ෂකයා
detector	අනාවරකය
detention	රැඳවුම්
deter	බාධා කරන්න
detergent	ඩිටර්ජන්ට්
deteriorate	පිරිහෙනවා
deteriorated	පිරිහී ඇත
deteriorating	පිරිහෙමින් තිබේ
deterioration	පිරිහීම
determinable	නිශ්චිතය
determinate	තීරනයකි
determination	අධිෂ්ඨානයයි
determine	තීරණය කරයි
determined	තීරණය කර ඇත
deterrent	බලහත්කාරය
detest	පිළිකුලකි
detestation	පිළිකුලටය
detonate	ඩෙටනේටඩ්
detonation	පුපුරායාම
detonator	ඩෙටනේටර්
detour	සමුද්රය
detract	නරකයි
detriment	හානියක් වේ
detrimental	අවාසියයි
detritus	බඩවැල්
deuce	දඟලති
deutschmark	ඩොයිෂ්මාර්ක්
devalued	අවප්රමාණය
devastate	ව්යසනය
devastated	විනාශයට පත්විය
devastating	විනාශකාරී ය
devastation	ව්යසනය
develop	වර්ධනය වේ
developer	සංවර්ධකයෙක්
developing	වර්ධනය වේ
development	වර්ධනය
deviant	කැපී පෙනේ
deviate	බැහැර ය
deviating	බැහැර කරයි
deviation	අපගමනය
device	උපාංගය
devil	යක්ෂයා
deviled	ඩෙවල්
devilish	යක්ෂයා ය
devious	විහිලුයි
devise	සිතන්න
devoid	නැති වේ
devolution	බෙදීමක්
devolve	බෙදාහැරීමකි
devote	කැපකරයි
devoted	කැපවුණි
devotee	බැතිමතුන්
devotion	භක්තියයි
devotional	බැතිමතුන් ය
devour	ගිල දමන්න
devout	ඇදහිලිවන්තයෙකි
dew	පිනි
dexter	ඩෙක්ස්ටර්
dexterity	කඩුව
dextrose	ඩෙක්ස්ට්රෝස්
diabetes	දියවැඩියාවයි
diabetic	දියවැඩියාවයි
diabolical	ත්රිපිටකය
diagnose	නිර්ණය කිරීම
diagnosis	රෝග විනිශ්චය
diagnostic	රෝග විනිශ්චය
diagnostics	රෝග විනිශ්චය
diagonal	කිරීටය
diagram	රූප සටහන
dial	අමතන්න
dialect	උපභාෂාවයි
dialectic	අපෝහකයයි
dialogue	සංවාදය
dialysis	ඩයිස්ටිස්
diameter	විෂ්කම්භය
diamond	දියමන්ති
diamonds	දියමන්ති
diaper	ඩයපර්
diaphragm	ප්රාචීරය
diarrhea	පාචනය
diarrhoea	පාචනය
diary	දිනපොත
diatribe	ඩිමැට්රිබ්
dib	NO TRANSLATION
dibs	ඩිබ්
dice	දාදු කැටය
dicey	කුරුල්ලෝ ය
dichotomous	දෙයාකාරය
dichotomy	දෙයාකාරය
dick	ඩික්
dickhead	ඩිකේඩ්
dicks	ඩික්ස්
dictate	අන කරති
dictation	අනෙකා ය
dictator	ඒකාධිපතියා
dictatorial	ආඥාදායකය
dictatorship	ආඥාදායකත්වය
diction	ප්රබන්ධයකි
dictionary	ශබ්ද කෝෂය
dictum	NO TRANSLATION
didactic	විද්යාපීඨය
diddle	ඩඩ්ල්
die	NO TRANSLATION
died	මිය ගියේය
diesel	ඩීසල්
diet	ආහාර වේ
dietary	ආහාර වේලට
differ	වෙනස්
difference	වෙනස
differences	වෙනස්කම්
different	විවිධ
differential	අවකලනය
differentiation	විවිධත්වය
differently	වෙනස්
differing	වෙනස් වේ
difficult	දුෂ්කර
difficulties	දුෂ්කරතා
difficulty	අපහසුයි
diffuse	විසංධි වේ
diffusion	විසරණය කිරීම
dig	NO TRANSLATION
digest	ජීර්ණය
digestion	ජීර්ණය
digestive	ජීර්ණය
digit	ඉලක්කම්
digital	ඩිජිටල්
dignified	ගෞරවාන්විතයි
dignify	ඩයිනෙෆි
dignity	ගරුත්වය
digress	ඩිගස්
digs	NO TRANSLATION
dike	ඩයික්
dilapidated	අබලන් වී ඇත
dilatation	ව්යාප්තිය
dilation	විෂ්කම්භය
dildo	ඩිල්ඩෝ
dilemma	උභතෝකෝටිකය
diligence	වෙහෙස නොබලා කටයුතු කිරීම
diligent	වෙහෙසකාරීයි
dill	ඩිල්
diluent	තනුක
dilute	තනුක
diluted	තනුක
dilution	දියාරු වීම
dim	අඳුරු
dime	ඩයිම්
dimension	මානයකි
dimensional	මැනිය
diminish	අඩු වේ
diminished	අඩු විය
diminution	කපා හැරීමකි
diminutive	සුළුය
dimwit	ඩිමිට්
din	NO TRANSLATION
dine	කෑගැසුවා
diner	ඩිනර්
dinghy	ඩොයිෂ්
dingo	ඩෙන්ගෝ
dingy	දුෂ්කරය
dining	කෑම බීම
dinky	ගොතයි
dinner	රාත්රී ආහාරය
dinnertime	රාත්රී කාලය
dinosaur	ඩයිනොසෝර්
dint	ඉඟි
diocesan	තැතිගන්වනසුලුයි
diocese	රදගුරුවරෙකි
diorama	ඩෝරෝමා
dioxide	ඩයොක්සයිඩ්
dip	ඩිප්ලොවල්
diploma	ඩිප්ලෝමාවක්
diplomacy	රාජ්ය තාන්ති්රකභාවයයි
diplomat	රාජ්ය තාන්ත්රිකයෙකු විය
diplomatic	රාජ්යතාන්ත්රික
dipper	බයිටර්
dippy	ඩිපී
dipstick	ඩිප්ස්ටික්
dire	NO TRANSLATION
direct	සෘජු ය
directed	අධ්යක්ෂණය කළේය
direction	දිශාව
directive	නියෝගයකි
directly	සෘජු ය
director	අධ්යක්ෂක
directory	නාමාවලිය
dirt	නරකයි
dirty	අපිරිසිදු
disability	ආබාධිත
disable	අක්රීය කරන්න
disabled	ආබාධිතය
disadvantage	අවාසිය
disaffected	අප්රසන්නයි
disagree	එකඟ නොවනු ඇත
disagreeable	පිළිකුලකි
disagreeing	එකඟ නොවනු ඇත
disagreement	නොඑකඟතාවයකි
disallow	බැහැ
disallowed	නොගත්තෝය
disapointment	NO TRANSLATION
disappear	අතුරුදන් වෙනවා
disappearance	අතුරුදහන් වීම
disappearing	අතුරුදන් වෙනවා
disappoint	බලාපොරොත්තු සුන් වෙනවා
disappointed	කලකිරීමට පත්ව ඇත
disappointing	බලාපොරොත්තු සුන්කරනසුළුයි
disappointment	බලාපොරොත්තු සුන්වීම
disapproval	අප්රසාදය පළ කරයි
disapprove	අනුමත නොකළ යුතුය
disapproved	නොලැබුණි
disapproving	අනුමත නොකළේය
disarm	නිරායුධ කිරීමකි
disarray	වියවුල
disaster	ව්යසනයයි
disastrous	ව්යසනකාරී විය
disband	විසන්ධි වේ
disbelief	අවිශ්වාසය
disbelieve	අවිශ්වාසවන්තයින්ය
disburse	විසඳුම්
disbursement	උපෙයෝජනය
disc	තැටි
discard	ඉවතලන්න
discarded	ඉවත දැමීය
discards	බැහැර කරයි
discern	වටහා ගතිමි
discernible	හඳුනාගත හැකිය
discerning	විචක්ෂණශීලීයි
discernment	විචාර බුද්ධිය
discharge	ඉටු කිරීම
disciple	ගෝලයායි
disciplinary	විනය කටයුතු
discipline	විනය
disciplined	හික්මවා ඇත
disclaim	අත්හැර දමන්න
disclaimer	විරහිත කිරීම
disclose	අනාවරණය වේ
disclosed	අනාවරණය කර ඇත
disclosure	හෙළිදරව් කිරීම
disco	ඩිස්සේ
discoloration	පැහැය
discolored	අඳුරු වේ
discomfort	අසහනයයි
disconcerted	කනස්සල්ලට පත්විය
disconcerting	කනස්සල්ලෙනි
disconnect	විසන්ධි කරන්න
disconnected	විසන්ධි කර ඇත
disconnection	විසන්ධි කිරීම
disconnects	විසන්ධි වේ
discontent	අතෘප්තිය
discontinuance	අත්හිටුවීම
discontinue	විසන්ධි කරන්න
discontinuity	අසමතුලිතතාව
discontinuous	අසම්පූර්ණයි
discord	විසංවාදය
discount	වට්ටම
discounted	වට්ටම්
discourage	අධෛර්යමත් කරන්න
discouraged	අධෛර්යට පත්
discouragement	අධෛර්යමත් කිරීමකි
discouraging	අධෛර්යමත් කිරීම
discourse	කතිකාවකි
discover	සොයා ගන්න
discovery	සොයා ගැනීමයි
discredit	අපකීර්තියට පත්කිරීමයි
discredited	අපකීර්තියට පත්ව ඇත
discreet	NO TRANSLATION
discrepancy	විෂමතාවයකි
discrete	විවික්තය
discretion	අභිමතය පරිදි
discretionary	අභිමතාර්ථය
discriminate	වෙනස්කම් කරන්න
discriminating	වෙනස්කම් කිරීම
discrimination	වෙනස්කම් කිරීම
discus	සංවාදය
discuss	සාකච්ඡා කරන්න
discussion	සාකච්ඡා
disdain	අවඥාව
disdainful	අව්යාජ ය
disease	රෝගය
diseased	රෝගී වේ
disembodied	වෙන්වුනේ
disengage	විසන්ධි කිරීම
disengagement	නෙරපා හැරීමයි
disfigured	අක්රමවත් විය
disgrace	නින්දිතය
disgraced	ලැජ්ජාව
disgraceful	නින්දිතය
disgruntled	නොසිතූ
disguise	වෙස් මුහුණු
disguised	වෙස්වලා
disgust	පිලිකුල
disgusted	කලකිරී
disgusting	පිළිකුල්
dish	ඩිෂ්
disheartened	අධෛර්යයට පත්විය
disheartening	කලකිරීමට පත්විය
dishonest	වංක
dishonesty	වංකකමයි
dishonor	අගෞරවයක්
dishonorable	අගෞරවයක්
dishwasher	පිඟන් සෝදන්නා
disillusionment	අපේක්ෂා භංගත්වය
disinclination	විරසකයක්
disincline	බැහැර කරයි
disinclined	අකමැත්තක් නැත
disinfect	විෂබීජ නාශක
disinfectant	විෂබීජ නාශකයකි
disinfection	විෂබීජ නාශක
disinformation	බොරු කියනවා
disingenuous	අනවසරයෙන්
disintegrate	විසිරී යයි
disintegration	විසිරී යාමයි
disinterested	උනන්දුවක් දක්වති
disjoint	විසන්ධි නොවේ
disjointed	විසන්ධි විය
disjunctive	වෙන්ව ඇත
disk	තැටිය
diskette	ඩිස්කට් එක
dislike	අකමැති
disliked	අසරණයි
disliking	ආදර නෑ
dislocated	දුර්වල විය
dislocation	දුර්වල කිරීමකි
dislodge	දුර්වල වෙනවා
disloyal	ද්රවශීලීය
disloyalty	ද්රෝහීත්වය
dismal	නරකයි
dismantle	විසුරුවයි
dismay	අවාසනාවන්ත ලෙසය
dismayed	තැතිගැන්මටය
dismemberment	වෙන්වීම
dismiss	ඉවත දමන්න
dismissal	නෙරපීමයි
dismissive	නිෂ්ප්රයෝජන වේ
dismount	දුවනවා
disobedience	අකීකරුකම
disobedient	අකීකරු
disobey	අකීකරු වීමයි
disorder	ආබාධයකි
disordered	අවුල් සහගතයි
disorderly	අසභ්ය වචනයෙන්
disorganized	අසංවිධානාත්මකයි
disorientation	අවමංගතවීම
disoriented	අවමංගත කරන ලදී
disown	නොකියනු
disparage	අවඥාවට ලක්වේ
disparaging	අවඥාවට ලක්වේ
disparate	අසමාන වේ
disparity	අසමානතාවයි
dispassionate	විරහිතයි
dispatch	යැවිය යුතුය
dispatcher	ඩිස්ට්රෝයර්
dispel	විසුරුවා හරින්න
dispensary	බෙහෙත් ශාලාව
dispensation	බෙරිහන් දෙන්න
dispense	ඩී
dispenser	ඩිස්පෙන්සර්
dispersal	විසුරුවා හැරීම
disperse	විසුරුවා හැරේ
dispersed	විසුරුවා හරිනවා
dispersion	විසිරවීම
dispirited	සුන්දරයි
displace	අවතැන් වනු ඇත
displaced	අවතැන් වී ඇත
displacement	විස්ථාපනයයි
displacency	අවතැන්භාවය
display	ප්රදර්ශනය කරයි
displease	අසතුටුදායකය
displeased	අසතුටට පත්විය
displeasure	අප්රසාදය පළ කරයි
disposable	ඉවත දැමිය නොහැක
disposal	බැහැර කිරීම
dispose	බැහැර කරයි
disposed	බැහැර කරයි
disposition	විසදීම
dispossessed	බැහැර කරයි
disprove	ප්රතික්ෂෙප කරන්න
dispute	ආරවුලකි
disqualification	නුසුදුසුයි
disqualified	නුසුදුසු ය
disqualify	නුසුදුසුය
disquieted	කනස්සල්ලට පත්ව ඇත
disregard	නොසලකාහරින්න
disregarded	නොසලකා හරිනවා
disrelish	නිරූපනය නොකරයි
disreputable	අපකීර්තිමත්ය
disrepute	අපකීර්තිමත් ය
disrespect	අගෞරවයක්
disrespectful	අගෞරවයක්
disrupt	කඩාකප්පල් වේ
disrupting	බාධා කරනවා
disruption	බාධාවක්
disruptive	කඩාකප්පල්කාරීය
dissatisfaction	අපසාදය
dissatisfied	සෑහීමකට පත්වේ නැත
dissect	ඩිස්කට් කරන්න
dissection	දුර්වල වීම
disseminate	ව්යාප්ත විය
dissemination	ව්යාප්ත කිරීම
dissension	විසංවාදය
dissent	විසම්මුතිය
dissenting	විසම්මුතියෙනි
dissertation	නිබන්ධනය
disservice	නොගැළපීමයි
dissident	විසංමතිකයින්
dissimilar	වෙනස් නොවේ
dissipate	විසුරුවා හැරේ
dissipated	විසුරුවා හරිනු ලැබේ
dissociation	විඝටනය
dissociative	විඝටනය
dissolution	විසුරුවා හැරීමයි
dissolve	විසුරුවා හරී
dissonance	නොගැලපීම
dissuade	පිළිකුලකි
distal	දුරස්ථ
distance	දුරක්
distant	ඈතයි
distaste	අපිරිසිදු ය
distasteful	අශිෂ්ටයි
distillate	ආසවනය කිරීම
distillation	ආසවනය
distilled	ආසවනය කර ඇත
distinct	සුවිශේෂී වේ
distinction	වෙනසකි
distinctive	සුවිශේෂී වේ
distinguish	හඳුනා ගන්න
distinguishable	හඳුනාගත හැකිය
distinguished	සම්භාවනීය
distinguishing	වෙනස
distort	විකෘති කරති
distorted	විකෘති වී ඇත
distortion	විකෘතිය
distract	අවධානය යොමු කරයි
distracted	අවධානය යොමුකරයි
distracting	විවේචනාත්මක ය
distraction	සිත එකඟ නොවීම
distraught	විහිළුවක්
distress	මානසික පීඩනයයි
distressed	කලකිරී ඇත
distressing	දුක් කරදරයක්
distribute	බෙදාහැරීම
distribution	බෙදාහැරීම
distributor	බෙදාහරින්නා
district	දිසා
distrust	අවිශ්වාසය
disturb	කරදරයක්
disturbance	බාධා කිරීම්
disturbed	බාධා ඇති විය
disturbing	කරදරයක්
disuse	අවලංගු වේ
disused	විසන්ධි විය
ditch	වළක ය
ditto	ඩිට්ටෝ
ditty	ඩිස්ටිලයි
diurnal	දිනකට
diva	ඩිව
divan	NO TRANSLATION
dive	කිමිදෙනවා
diver	කිමිදීමයි
diverge	විසංයෝජනය
divergence	නොසංසුන්තාවය
divergent	අපසාරී වේ
diverging	එකිනෙකට වෙනස්
divers	කිමිදුම්කරුවන්
diverse	විවිධාකාර වේ
diversified	විවිධාංගිකරණය කර ඇත
