Word	tr
deathly	öldürücü
debacle	fiyasko
debased	alçalmış
debatable	tartışılabilir
debate	tartışma
debauchery	sefahat
debenture	borç senedi
debilitating	zayıflatıcı
debit	borç
debrief	bilgi almak
debriefing	bilgi alma
debris	enkaz
debt	borç
debtor	borçlu
debut	ilk
debutante	ilk oyununu oynayan aktris
decade	onyıl
decadence	çöküş
decadent	çökmekte olan
decaf	kafeinsiz kahve
decanter	sürahi
decathlon	dekatlon
decay	çürüme
decayed	çürümüş
decaying	çürüyen
deceased	merhum
decedent	merhum
deceit	aldatma
deceitful	hilekâr
deceive	aldatmak
deceived	aldatılmış
deceiving	aldatan
december	Aralık
decency	terbiye
decent	terbiyeli
deception	aldatma
deceptive	aldatıcı
decide	karar ver
decidedly	kesinlikle
deciduous	yaprak döken
decimal	ondalık
decimeter	desimetre
decipher	çözmek
decision	karar
decisive	belirleyici
deck	güverte
declaration	deklarasyon
declaratory	ifade eden
declare	bildirmek
declination	sapma
decline	düşüş
declining	azalan
deco	deco
decode	kod çözme
decoder	şifre çözücü
decompose	ayrıştırmak
decomposed	çürümüş
decomposition	ayrışma
decompress	basıncı azaltmak
decompression	dekompresyon
decontamination	arındırma
decor	dekor
decorate	süslemek
decorating	dekorasyon
decoration	dekorasyon
decorative	dekoratif
decorator	dekoratör
decorum	edep
decoy	yem
decrease	azaltmak
decreased	azalmış
decreasing	azalan
decree	kararname
decrement	azalma
decrepit	eskimiş
decry	kınamak
decryption	şifre çözme
dedicate	adamak
dedication	ithaf
deduce	sonuç çıkarmak
deduct	düşmek
deductible	düşülebilir
deduction	kesinti
deed	tapu
deejay	diskcokey
deem	saymak
deep	derin
deepen	derinleştirmek
deer	geyik
defamation	karalama
defamatory	lekeleyen
default	varsayılan
defeat	yenilgi
defeated	mağlup
defeatist	bozguncu
defect	kusur
defection	iltica
defective	arızalı
defector	ilticacı
defend	savunmak
defendant	sanık
defended	savundu
defender	savunma oyuncusu
defending	savunma
defense	savunma
defenseless	savunmasız
defensible	savunulabilir
defensive	savunma
defer	ertelemek
deference	saygı
deferral	erteleme
deferring	ertelenmesi
defiance	nispet
defiant	meydan okuyan
defibrillator	defibrilatör
deficiency	eksiklik
deficient	Yetersiz
deficit	açık
define	tanımlamak
defined	tanımlanmış
definite	kesin
definition	tanım
definitive	kesin
deflate	söndürmek
deflation	deflasyon
deflect	saptırmak
deflection	sapma
defloration	kızlığını bozma
deform	çirkinleştirmek
deformed	deforme olmuş
deformity	bozukluk
defraud	dolandırmak
defray	ödemek
defrost	defrost
deft	usta
defunct	geçersiz
defuse	yatıştırmak
defy	karşı gelmek
degeneracy	yozlaşma
degenerate	dejenere
degeneration	dejenerasyon
degradation	bozulma
degrade	indirgemek
degraded	bozulmuş
degrading	küçültücü
degree	derece
dehydrated	susuz
dehydration	kurutma
dejected	keyifsiz
delay	gecikme
delayed	gecikmiş
delectable	nefis
delegate	temsilci
delegation	delegasyon
delete	silmek
deleterious	zararlı
deletion	silme
deli	Şarküteri
deliberate	kasten, kasıtlı, planlı
deliberation	Danışma
deliberative	ihtiyatlı
delicacy	incelik
delicate	narin
delicatessen	Şarküteri
delicious	lezzetli
delight	zevk
delighted	memnun olmak
delightful	hoş
delineate	betimlemek
delineation	tarif
delinquency	suçluluk
delinquent	suçlu
delirious	çılgın
delirium	sayıklama
deliver	teslim etmek
deliverance	kurtuluş
delivery	teslim
dell	vadi
delta	delta
delude	aldatmak
deluge	tufan
delusion	kuruntu
delusional	sanrısal
deluxe	delüks
delve	altüst ederek aramak
demand	talep
demanding	zahmetli
demeaned	demeaned
demeaning	alçaltıcı
demeanor	tavır
demented	çılgın
dementia	bunaklık
demise	ölüm
demo	gösteri
democracy	demokrasi
democrat	demokrat
democratic	demokratik
demographic	demografik
demolish	yıkmak
demolished	yıkılmış
demolition	yıkım
demon	iblis
demonic	şeytani
demonstrable	kanıtlanabilir
demonstrate	göstermek
demonstrated	gösterdi
demonstrating	tasviridir
demonstration	gösteri
demonstrative	inandırıcı
demonstrator	gösterici
demoralized	demoralize
demos	demolar
demure	ağırbaşlı
den	NO TRANSLATION
deniability	deniability
denial	ret
denied	inkar
denim	kot
denomination	mezhep
denominational	mezhebe bağlı
denominator	payda
denote	belirtmek
denounce	kınamak
dense	yoğun
density	yoğunluk
dent	göçük
dental	diş
dentist	diş doktoru
dentistry	diş hekimliği
dentists	diş hekimleri
denunciation	ihbar
deny	reddetmek
denying	inkar
deodorant	deodorant
depart	ayrılmak
departed	ölmüş
department	Bölüm
departmental	departman
departure	kalkış
depend	bağımlı
dependable	güvenilir
dependant	bağımlı
dependence	bağımlılık
dependency	bağımlılık
dependent	bağımlı
depict	tasvir
depicting	resmeden
depletion	tüketme
deplorable	içler acısı
deplore	beğenmemek
deploy	dağıtmak
deployment	yayılma
deport	dışlamak
deportation	sürgün
depose	azletmek
deposit	Depozito
depositary	emanetçi
deposition	tortu
depository	emanetçi
depot	depo
depraved	ahlaksız
depravity	ahlaksızlık
depreciate	küçük düşürmek
depreciated	amortismana
depreciation	amortisman
depress	düşürmek
depressed	bunalımlı
depressing	iç karartıcı
depression	depresyon
depressive	depresif
depresson	NO TRANSLATION
deprivation	yoksunluk
deprive	mahrum etmek
deprived	mahrum
depth	derinlik
deputy	milletvekili
derail	raydan çıkarmak
deranged	dengesiz
derelict	sahipsiz
derision	alay
derivation	türetme
derivative	türev
derive	türetmek
dermal	dermal
dermatologist	dermatolog
dermatology	dermatoloji
derogation	eksiltme
derogatory	küçültücü
descend	inmek
descendant	torun
descendent	NO TRANSLATION
descending	Azalan
descent	iniş
describe	tanımlamak
description	açıklama
descriptive	tanımlayıcı
desecrate	hakaret etmek
desecration	hürmetsizlik
desert	çöl
deserted	ıssız
deserter	firari
desertion	firar
deserve	hak etmek
deserved	hak
deserving	layık
design	dizayn
designate	Tayin etmek
designated	belirlenmiş
designation	tayin
designed	tasarlanmış
designer	tasarımcı
designing	tasarım
desirability	cazibe
desirable	çekici
desire	arzu etmek
desiring	arzulamak
desirous	arzulu
desist	vazgeçmek
desk	büro
desolate	ıssız
desolation	ıssızlık
despair	umutsuzluk
despairing	umutsuz
despatch	gönderi
desperado	çılgın
desperate	umutsuz
desperation	umutsuzluk
despicable	adi
despise	küçümsemek
despondent	umutsuz
despotic	despot
despotism	despotluk
dessert	tatlı
destination	hedef
destined	kaderinde
destiny	Kader
destitute	muhtaç
destroy	yıkmak
destroyed	yerlebir edilmiş
destroyer	yok edici
destroying	tahrip
destruct	kendi kendini imha etmek
destruction	imha
destructive	yıkıcı
detach	ayırmak
detached	bağımsız
detachment	tarafsızlık
detail	detay
detailed	detaylı
details	ayrıntılar
detain	alıkoymak
detainee	tutuklu
detect	belirlemek
detectable	saptanabilir
detection	bulma
detective	dedektif
detector	detektör
detention	tutuklama
deter	caydırmak
detergent	deterjan
deteriorate	bozmak
deteriorated	kötüleşti
deteriorating	kötüleşen
deterioration	bozulma
determinable	belirlenebilir
determinate	belirli
determination	belirleme
determine	belirlemek
determined	belirlenen
deterrent	caydırıcı
detest	nefret etmek
detestation	iğrenme
detonate	patlatmak
detonation	patlama
detonator	patlatıcı
detour	sapak
detract	eksiltmek
detriment	zarar
detrimental	zararlı
detritus	döküntü
deuce	ikili
deutschmark	deustchmark'a
devalued	devalüe
devastate	mahvetmek
devastated	harap
devastating	yıkıcı
devastation	tahribat
develop	geliştirmek
developer	geliştirici
developing	gelişen
development	gelişme
deviant	sapkın
deviate	sapmak
deviating	sapan
deviation	sapma
device	cihaz
devil	şeytan
deviled	baharatlı ve acılı
devilish	şeytani
devious	dolambaçlı
devise	tasarlamak
devoid	yoksun
devolution	dejenereleşme
devolve	devretmek
devote	adamak
devoted	sadık
devotee	sofu
devotion	özveri
devotional	dindar
devour	yiyip bitirmek
devout	dindar
dew	çiy
dexter	sağda olan
dexterity	beceri
dextrose	üzüm şekeri
diabetes	diyabet
diabetic	şeker hastası
diabolical	şeytani
diagnose	teşhis koymak
diagnosis	Teşhis
diagnostic	Arıza tespit
diagnostics	tanılama
diagonal	diyagonal
diagram	diyagram
dial	tuşlamak
dialect	diyalekt
dialectic	diyalektik
dialogue	diyalog
dialysis	diyaliz
diameter	çap
diamond	elmas
diamonds	elmaslar
diaper	bebek bezi
diaphragm	diyafram
diarrhea	ishal
diarrhoea	ishal
diary	günlük
diatribe	hiciv
dib	NO TRANSLATION
dibs	beştaş
dice	zar
dicey	şüpheli
dichotomous	dikotom
dichotomy	çatallanma
dick	çük
dickhead	çük kafalı
dicks	yarak
dictate	dikte
dictation	dikte
dictator	diktatör
dictatorial	diktatörce
dictatorship	diktatörlük
diction	diksiyon
dictionary	sözlük
dictum	NO TRANSLATION
didactic	didaktik
diddle	yutturmak
die	NO TRANSLATION
died	vefat etti
diesel	dizel
diet	diyet
dietary	diyet
differ	farklılık
difference	fark
differences	farklar
different	farklı
differential	diferansiyel
differentiation	farklılaştırma
differently	farklı olarak
differing	farklı
difficult	zor
difficulties	zorluklar
difficulty	zorluk
diffuse	dağınık
diffusion	yayılma
dig	NO TRANSLATION
digest	özet
digestion	sindirim
digestive	sindirim
digit	hane
digital	dijital
dignified	ağırbaşlı
dignify	paye vermek
dignity	haysiyet
digress	sapmak
digs	NO TRANSLATION
dike	NO TRANSLATION
dilapidated	harap
dilatation	genişleme
dilation	genişleme
dildo	yapay penis
dilemma	ikilem
diligence	çalışkanlık
diligent	çalışkan
dill	Dereotu
diluent	seyreltici
dilute	seyreltik
diluted	sulandırılmış
dilution	seyreltme
dim	karartmak
dime	on sent
dimension	boyut
dimensional	boyutlu
diminish	azaltmak
diminished	azaltılmış
diminution	azalma
diminutive	minik
dimwit	dimwit
din	NO TRANSLATION
dine	NO TRANSLATION
diner	lokanta
dinghy	sandal
dingo	dingo
dingy	pis
dining	yemek
dinky	cici
dinner	akşam yemegi
dinnertime	Akşam yemeği vakti
dinosaur	dinozor
dint	ufak çukur
diocesan	piskoposluk bölgesine ait
diocese	piskoposluk bölgesi
diorama	diyorama
dioxide	dioksit
dip	daldırma
diploma	diploma
diplomacy	diplomasi
diplomat	diplomat
diplomatic	diplomatik
dipper	kepçe
dippy	deli
dipstick	yağ ölçme çubuğu
dire	NO TRANSLATION
direct	direkt
directed	yönlendirilmiş
direction	yön
directive	direktif
directly	direkt olarak
director	yönetmen
directory	rehber
dirt	kir
dirty	kirli
disability	sakatlık
disable	devre dışı
disabled	engelli
disadvantage	dezavantaj
disaffected	muhalif
disagree	katılmıyorum
disagreeable	nahoş
disagreeing	yanıta katılmamak
disagreement	anlaşmazlık
disallow	izin vermemek
disallowed	izin verilmeyen
disapointment	NO TRANSLATION
disappear	kaybolmak
disappearance	yok olma
disappearing	yok olan
disappoint	hayal kırıklığına uğratmak
disappointed	hayal kırıklığına uğramış
disappointing	umut kırıcı
disappointment	hayal kırıklığı
disapproval	onaylamama
disapprove	onaylamamak
disapproved	onaylanmadı
disapproving	onaylamayan
disarm	silahsızlandırılması
disarray	bozmak
disaster	afet
disastrous	feci
disband	dağıtmak
disbelief	güvensizlik
disbelieve	inanmamak
disburse	harcamak
disbursement	ödeme
disc	disk
discard	ıskarta
discarded	atılan
discards	ıskarta
discern	farketmek
discernible	görülebilir
discerning	zeki
discernment	muhakeme
discharge	deşarj
disciple	mürit
disciplinary	disiplin
discipline	disiplin
disciplined	disiplinli
disclaim	kabul etmemek
disclaimer	feragat
disclose	ifşa
disclosed	ifşa
disclosure	ifşa
disco	disko
discoloration	solma
discolored	rengi değişmiş
discomfort	rahatsızlık
disconcerted	canı sıkılmış
disconcerting	kaygılı
disconnect	kesmek
disconnected	bağlantı kesildi
disconnection	kopukluk
disconnects	kesilirse
discontent	hoşnutsuzluk
discontinuance	duraklama
discontinue	durdurmak
discontinuity	devamsızlık
discontinuous	kesintili
discord	anlaşmazlık
discount	indirim
discounted	indirimli
discourage	vazgeçirmek
discouraged	cesareti kırılmış
discouragement	vazgeçme
discouraging	cesaret kırıcı
discourse	söylev
discover	keşfetmek
discovery	keşif
discredit	kötülemek
discredited	gözden düşmüş
discreet	NO TRANSLATION
discrepancy	tutarsızlık
discrete	ayrık
discretion	ihtiyat
discretionary	ihtiyari
discriminate	fark gözetmek
discriminating	seçici
discrimination	ayırt etme
discus	disk
discuss	tartışmak
discussion	tartışma
disdain	küçümseme
disdainful	kibirli
disease	hastalık
diseased	hastalıklı
disembodied	bedenden ayrılmış
disengage	kurtarmak
disengagement	geri çekilme
disfigured	biçimsiz
disgrace	rezalet
disgraced	rezil
disgraceful	ayıp
disgruntled	hoşnutsuz
disguise	gizlemek
disguised	gizlenmiş
disgust	iğrenme
disgusted	bıkkın
disgusting	iğrenç
dish	tabak
disheartened	disheartened
disheartening	cesaret kırıcı
dishonest	sahtekâr
dishonesty	sahtekârlık
dishonor	onursuzluk
dishonorable	onursuz
dishwasher	bulaşık makinesi
disillusionment	hayal kırıklığı
disinclination	isteksizlik
disincline	isteğini kaçırmak
disinclined	isteksiz
disinfect	dezenfekte etmek
disinfectant	dezenfektan
disinfection	dezenfekte etme
disinformation	yanlış bilgi verme
disingenuous	iki yüzlü
disintegrate	dağılmak
disintegration	parçalanma
disinterested	ilgisiz
disjoint	parçalamak
disjointed	tutarsız
disjunctive	bölen
disk	disk
diskette	disket
dislike	Beğenmemek
disliked	Sevmediği
disliking	disliking
dislocated	çıkık
dislocation	çıkık
dislodge	çıkarmak
disloyal	vefasız
disloyalty	vefasızlık
dismal	kasvetli
dismantle	dağıtmak
dismay	dehşet
dismayed	dehşete
dismemberment	parçalama
dismiss	Reddet
dismissal	işten çıkarma
dismissive	küçümseyen
dismount	sökmek
disobedience	itaatsizlik
disobedient	itaatsiz
disobey	uymamak
disorder	düzensizlik
disordered	düzensiz
disorderly	düzensiz
disorganized	dağınık
disorientation	oryantasyon bozukluğu
disoriented	şaşırmış
disown	sahip çıkmamak
disparage	kötülemek
disparaging	kötüleyici
disparate	farklı
disparity	eşitsizlik
dispassionate	serinkanlı
dispatch	sevk etmek
dispatcher	hareket memuru
dispel	gidermek
dispensary	dispanser
dispensation	dağıtım
dispense	dağıtmak
dispenser	dağıtıcı
dispersal	dağılma
disperse	dağıtmak
dispersed	dağınık, dağılmış
dispersion	dağılım
dispirited	moralsiz
displace	yerinden çıkarmak
displaced	yerinden
displacement	deplasman
displacency	displacency
display	Görüntüle
displease	gücendirmek
displeased	dargın
displeasure	hoşnutsuzluk
disposable	tek kullanımlık
disposal	yok etme
dispose	elden çıkarmak
disposed	tanzim
disposition	eğilim
dispossessed	mülksüzleştirilmiş
disprove	çürütmek
dispute	ihtilaf
disqualification	diskalifiye
disqualified	yetersiz
disqualify	menetmek
disquieted	huzursuz hissetmişti
disregard	ihmal
disregarded	gözardı
disrelish	beğenmeme
disreputable	itibarsız
disrepute	itibarsızlık
disrespect	saygısızlık
disrespectful	saygısız
disrupt	bozmak
disrupting	bozan
disruption	bozulma
disruptive	yıkıcı
dissatisfaction	memnuniyetsizlik
dissatisfied	hoşnutsuz
dissect	incelemek
dissection	teşrih
disseminate	yaymak
dissemination	yayma
dissension	anlaşmazlık
dissent	muhalefet
dissenting	muhalif
dissertation	tez
disservice	kötülük
dissident	muhalif
dissimilar	benzemez
dissipate	dağıtmak
dissipated	dağılmış
dissociation	ayrışma
dissociative	dissosiyatif
dissolution	çözünme
dissolve	eritmek
dissonance	uyumsuzluk
dissuade	vazgeçirmek
distal	merkezden uzak
distance	mesafe
distant	uzak
distaste	tiksinme
distasteful	antipatik
distillate	damıtılmış sıvı
distillation	damıtma
distilled	damıtık
distinct	farklı
distinction	ayrım
distinctive	ayırıcı
distinguish	ayırmak
distinguishable	ayırt edilebilir
distinguished	seçkin
distinguishing	ayırt edici
distort	çarpıtmak
distorted	bozuk
distortion	çarpıtma
distract	dikkatini dağıtmak
distracted	dikkati dağılmış
distracting	dikkat dağıtıcı
distraction	oyalama
distraught	perişan
distress	sıkıntı
distressed	sıkıntılı
distressing	üzücü
distribute	dağıtmak
distribution	dağıtım
distributor	distribütör
district	ilçe
distrust	güvensizlik
disturb	bozmak
disturbance	rahatsızlık
disturbed	rahatsız
disturbing	rahatsız edici
disuse	terketmek
disused	kullanılmayan
ditch	Hendek
ditto	aynen
ditty	kısa ve basit şarkı
diurnal	günlük
diva	primadonna
divan	NO TRANSLATION
dive	dalış
diver	dalgıç
diverge	sapmak
divergence	uyuşmazlık
divergent	ıraksak
diverging	ıraksak
divers	dalgıçlar
diverse	çeşitli
diversified	çeşitli
diversify	çeşitlendirmek
diversion	saptırma
diversionary	oyalayıcı
diversity	çeşitlilik
divert	yönlendirmek
diverting	oyalayıcı
divest	soymak
divested	divested
divestment	yoksun bırakma
divide	bölmek
divided	bölünmüş
dividend	kâr payı
divination	kehanet
divine	ilahi
divinity	ilahiyat
divisible	bölünebilir
division	bölünme
divisor	bölen
divorce	boşanma
divorcee	dul kimse
divulge	açığa vurmak
divvy	bölmek
dizziness	baş dönmesi
dizzy	sersemlemiş
do	yap
doable	yapılabilir
doc	doktor
docile	uysal
dock	rıhtım
docked	demirledi
docket	gümrük makbuzu
docking	yerleştirme
doctor	doktor
doctorate	doktora
doctrinal	dogmatik
doctrine	doktrin
document	belge
documentary	belgesel
documentation	belgeleme
documents	evraklar
dodge	atlatmak
dodger	vurguncu
dodging	kaçmak
dodgy	çok tehlikeli
dodo	nesli tükenmiş bir kuş
doe	dişi geyik
doer	yapan
dog	köpek
dogface	köpek yüzü
dogged	inatçı
doggy	köpek
doghouse	köpek kulübesi
dogma	dogma
dogmatic	dogmatik
dogsick	NO TRANSLATION
doings	zımbırtı
doit	NO TRANSLATION
dojo	dojosu
doldrums	kasvet
dole	hüzün
doll	oyuncak bebek
dollar	dolar
dollhouse	oyuncak bebek evi
dolor	NO TRANSLATION
dolphin	Yunus
domain	domain
dome	kubbe
domestic	yerli
domesticated	evcil
domestication	evcilleştirme
domicile	konut
domiciled	mukim
dominance	üstünlük
dominant	baskın
dominate	hükmetmek
dominating	hakim
domination	egemenlik
dominatrix	dominatrix
dominion	hakimiyet
domino	domino
don	don
donate	bağışlamak
donation	bağış
donkey	eşek
donor	verici
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	dontpanic
dontunderstand	NO TRANSLATION
doodle	karalama
doom	kader
doomed	ölüme mahkum
doomsday	kiyamet gunu
door	kapı
doorbell	kapı zili
doorknob	kapı tokmağı
doorman	kapıcı
doormat	paspas
doornail	doornail
doorstep	eşik
doorway	kapı aralığı
dopamine	dopamin
dope	Uyuşturucu
dopey	salak
dork	salak
dorky	salak
dorm	yurt
dormant	uykuda
dormitory	yurt
dorsal	sırt
dosage	dozaj
dose	doz
dossier	dosya
dot	nokta
doting	tapan
dotted	noktalı
dotty	sapık
double	çift
doubled	katına
doublet	eşil
doubling	ikiye katlama
doubt	şüphe
doubtful	şüpheli
doubting	şüphe eden
doubtless	kuşkusuz
doubts	şüpheler
douche	şırınga
douchebags	douchebags
dough	Hamur
doughboy	piyade eri
doughnut	tatlı çörek
dour	aksi
douse	söndürmek
dove	güvercin
down	aşağı
downcast	mahzun
downer	yatıştırıcı madde
downfall	yağış
downfield	Sahanın ortasına doğru
downhearted	morali bozuk
downhill	yokuş aşağı
download	indir
downpour	sağanak
downright	büsbütün
downriver	akıntı yönünde
downside	olumsuz
downtime	Kesinti
downward	aşağıya doğru
downy	tüylü
dowry	çeyiz
doze	şekerleme
dozen	düzine
drab	sıkıcı
draft	taslak
drafty	cereyanlı
drag	sürüklemek
dragon	Ejderha
dragonfly	yusufçuk
drain	akıtmak
drainage	drenaj
drained	tükenmiş
draining	drene
drainpipe	drainpipe
drake	erkek ördek
drama	dram
dramaqueen	drama kraliçesi
dramatic	dramatik
drape	asmak
drapery	kumaşçılık
drastic	şiddetli
drat	NO TRANSLATION
draught	taslak
draw	çekmek
drawback	sakınca
drawbridge	asma köprü
drawer	Çekmece
drawers	çekmeceler
drawing	çizim
dread	dehşet
dreaded	korkunç
dreadful	korkunç
dreadfully	korkunç
dreading	endişe
dream	rüya
dreamboat	hayalindeki erkek
dreamer	hayalperest
dreaming	rüya görmek
dreamland	hayaller ülkesi
dreams	rüyalar
dreamt	hayal
dreamy	rüya gibi
dreary	kasvetli
dredge	serpiştirmek
drenched	sırılsıklam
dress	elbise
dresser	şifoniyer
dressmaker	terzi
dressy	şık
dribble	NO TRANSLATION
dried	kurutulmuş
drier	kurutucu
drift	sürüklenme
drifted	sürüklendi
drifter	avare
driftwood	dalgaların karaya attığı odun
drill	matkap
drink	içki
drinker	ayyaş
drinking	içme
drinks	içecekler
drip	damlama
dripping	damlama
drive	sürücü
drivel	saçmalık
driver	sürücü
driveway	araba yolu
drizzle	ahmak ıslatan
droll	komik
drone	erkek arı
drones	dronlar
drool	saçmalamak
drooping	sarkık
droopy	mahzun
drop	düşürmek
droplet	damlacık
dropout	bırakmak
dropper	damlalık
drought	kuraklık
drove	NO TRANSLATION
drown	boğmak
drowsiness	uyuşukluk
drowsy	uykulu
drudgery	angarya
drug	ilaç
drug dealing	Uyuşturucu tacirliği
drugged	uyuşturulmuş
druggist	eczacı
drugs	ilaçlar
drugstore	eczane
druid	büyücü
drum	davul
drummer	davulcu
drumming	davul
drunk	sarhoş
drunk driving	sarhoş sürücü
drunkard	ayyaş
drunken	sarhoş
drunkenness	sarhoşluk
dry	kuru
dryer	kurutma makinesi
dryness	kuruluk
dual	çift
dualism	ikilik
duality	ikilik
dub	ad takmak
dubious	şüpheli
duchess	düşes
duck	ördek
ducking	ıslanma
duckling	ördek yavrusu
ducky	aziz
duct	kanal
ductile	yumuşak
dud	karşılıksız çek
dude	kanka
duds	elbiseler
due	nedeniyle
duel	düello
dues	aidat
duet	düet
duffel	spor kıyafeti
dugout	yeraltı sığınağı
duh	duh
duke	dük
dull	donuk
dullard	sersem
dumb	dilsiz
dumbasses	dumbasses
dumbbell	halter
dumbbitch	NO TRANSLATION
dumfound	hayret ettirmek
dumfounder	NO TRANSLATION
dummy	kukla
dump	çöplük
dumpling	meyveli börek
dumps	çöplük
dumpster	çöplüğü
dun	boz
dunce	mankafa
dune	kumul
dung	NO TRANSLATION
dungeon	zindan
dunk	daldırmak
duo	düet
dupe	gırgır geçmek
duplex	dubleks
duplicate	çift
duplication	kopya
duplicity	iki yüzlülük
durability	dayanıklılık
durable	dayanıklı
duration	süre
duress	zorlama
dusk	akşam karanlığı
dusky	esmer
dust	toz
duster	silgi
dustpan	faraş
dusty	tozlu
dutiful	saygılı
duty	görev
dwarf	cüce
dwarfed	bodur
dweeb	dweeb
dwell	yaşamak
dweller	oturan
dwelling	Konut
dye	boya
dying	ölen
dyke	lezbiyen
dynamic	dinamik
dynamical	dinamik
dynamics	dinamik
dynamite	dinamit
dynamo	dinamo
dynasty	hanedan
dysentery	dizanteri
dysfunction	fonksiyon bozukluğu
dysfunctional	işlevsiz
dyspepsia	hazımsızlık
eager	istekli
eagerness	şevk
eagle	kartal
ear	kulak
earful	azar
earl	Kont
earlier	daha erken
early	erken
earn	kazanmak
earnest	ciddi
earnestly	ciddiyetle
earnestness	ciddiyet
earnings	kazanç
earpiece	kulaklık
earring	küpe
earrings	küpe
earshot	işitme menzili
earth	toprak
earthenware	toprak
earthling	dünyalı
earthly	dünyevi
earthquake	deprem
earthy	dünyevi
ease	kolaylaştırmak
easel	şövale
easement	irtifak hakkı
easily	kolayca
east	Doğu
eastbound	doğuya giden
eastern	doğu
easy	kolay
easygoing	Uyumlu
eat	yemek
eater	yiyen
eating	yemek yiyor
eatingdisorders	NO TRANSLATION
eavesdrop	gizlice dinlemek
eavesdropping	Telekulak
ebb	cezir
ebony	abanoz
ebullient	coşkun
eccentric	eksantrik
eccentricity	acayiplik
ecclesiastical	dini
echelon	kademe
echinacea	ekinezya
echo	Eko
eclectic	eklektik
eclipse	tutulma
ecliptic	ekliptik
ecological	ekolojik
economic	ekonomik
economical	ekonomik
economics	ekonomi bilimi
economy	ekonomi
ecosystem	ekosistem
ecstasy	coşku
ecstatic	mest olmus
ecumenical	kiliselerin evrenselleşmesi ile ilgili
eddy	girdap
edema	ödem
edge	kenar
edging	kenar süsü
edgy	sinirli
edible	yenilebilir
edict	ferman
edification	terbiye etme
edifice	yapı
edit	Düzenle
editing	kurgu
edition	baskı
editor	editör
editorial	başyazı
educate	Eğitmek
educated	eğitimli
education	Eğitim
educational	eğitici
educator	eğitmen
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	yılanbalığı
eerie	ürkütücü
effect	Efekt
effective	etkili
effectiveness	etki
effects	Etkileri
effectual	etkili
effectually	effectually
effectuate	gerçekleştirmek
effeminate	kadınsı
efficacious	etkili
efficacy	etki
efficiency	verim
efficient	verimli
effigy	büst
effort	çaba
effortless	zahmetsiz
effusion	efüzyon
effyou	NO TRANSLATION
egg	Yumurta
egghead	aydın
eggnog	yumurta likörü
eggplant	patlıcan
eggshell	yumurta kabuğu
ego	benlik
egomaniac	egomaniac
egotistical	egoist
egregious	yaman
egress	çıkış
eight	sekiz
eighteen	onsekiz
eighth	sekizinci
eighty	seksen
ejaculate	boşalmak
ejaculation	boşalma
eject	çıkarmak
ejection	çıkarma
elaborate	ayrıntılı
elaboration	özen
elan	NO TRANSLATION
elapse	geçmek
elapsed	geçen
elastic	elastik
elasticity	elastikiyet
elated	mutlu
elation	sevinç
elbow	dirsek
eld	geçmiş zaman
elder	yaşça büyük
elderly	yaşlı
elders	yaşlılar
eldest	en yaşlı
elect	seçilmiş
election	seçim
elective	seçmeli
elector	seçmen
electoral	seçim
electorate	seçmenler
electric	elektrik
electric slide	elektrikli slayt
electrical	elektrik
electrician	elektrikçi
electricity	elektrik
electrify	heyecanlandırmak
electrocute	elektrikle idam etmek
electrocution	elektrikle idam
electromagnetic	elektromanyetik
electron	elektron
electronic	elektronik
electronics	elektronik
elegance	zarafet
elegant	zarif
element	eleman
elemental	temel
elementary	temel
elements	elementler
elephant	fil
elevate	yükseltmek
elevated	yüksek
elevation	yükseklik
elevator	asansör
eleven	on bir
eleventh	onbirinci
elf	cin
elicit	çıkarmak
eligible	uygun
eliminate	elemek
elimination	eliminasyon
elite	seçkinler
elitist	seçkinci
elixir	iksir
elk	Kanada geyiği
ell	arşın
ellipse	elips
ellipsis	eksilti
ellipsoid	elipsoid
elliptic	eliptik
elliptical	eliptik
elm	karaağaç
elongate	uzatmak
elongation	uzama
elope	kaçmak
eloquence	belagat
eloquent	anlamlı
elucidate	aydınlatmak
elucidation	açıklama
elude	sıyrılmak
elusive	yakalanması zor
emaciated	bir deri bir kemik
email	E-posta
emanate	sızmak
emancipation	azat etme
embankment	set
embargo	NO TRANSLATION
embark	atılmak
embarrass	utandırmak
embarrassed	mahçup
embarrassing	utandırıcı
embarrassment	sıkıntı
embassy	elçilik
embattled	güç durumda
embed	Göm
embellish	süslemek
embellishment	süsleme
embers	köz
embezzlement	ihtilâs
embezzler	kasa hırsızı
emblem	amblem
emblematic	sembolik
embodiment	şekillenme
embolism	damar tıkanıklığı
embossed	kabartmalı
embrace	kucaklamak
embroidered	işlemeli
embroidery	nakış
embroiled	karmakarışık
embryo	embriyo
embryonic	embriyonik
emcee	sergilemek
emerald	zümrüt
emerge	çıkmak
emergence	çıkma
emergency	acil Durum
emeritus	emekli
emery	zımpara
emetophobia	NO TRANSLATION
emigrate	göç etmek
emigration	göç
eminence	itibar
eminent	seçkin
eminently	fazlasıyla
emir	NO TRANSLATION
emissary	temsilci
emission	emisyon
emit	yaymak
emo	emo
emotion	duygu
emotional	duygusal
emotive	duygusal
empathic	empati
empathize	karşısındakinin duygularını hissetmek
empathy	empati
emperor	imparator
emphasis	vurgu
emphasize	vurgu yapmak
emphatic	vurgulu
emphysema	anfizem
