Word	fr
clang	bruit
clap	taper
clapper	battant
clapping	applaudissements
clarification	clarification
clarify	clarifier
clarinet	clarinette
clarion	clairon
clarity	clarté
clash	choc
clashing	affrontement
clasp	fermoir
class	classe
classic	classique
classic rock	rock classique
classical	classique
classics	classiques
classification	classification
classified	classifié
classify	classer
classmate	camarade de classe
classroom	Salle de classe
classy	chic
clatter	bruit
clause	clause
clauses	clauses
claustrophobia	claustrophobie
claustrophobic	claustrophobe
clavicle	clavicule
claw	griffe
claws	les griffes
clay	argile
clean	nettoyer
cleaner	nettoyeur
cleaning	nettoyage
cleanliness	propreté
cleanly	propre
cleanse	purifier
cleanser	nettoyant
cleansing	nettoyage
cleanup	nettoyer
clear	clair
clearance	dégagement
clearing	clairière
clearness	clarté
cleat	taquet
cleavage	clivage
cleave	fendre
cleaver	couperet
clef	clef
cleft	fendu
clemency	clémence
clench	serrer
clergy	le clergé
clergyman	pasteur
cleric	clerc
clerical	clérical
clerk	employé de bureau
clerkship	externat
clever	intelligent
cleverness	habileté
click	Cliquez sur
clicker	clicker
client	client
clientele	clientèle
cliff	falaise
climate	climat
climatology	climatologie
climax	Climax
climb	montée
climber	grimpeur
clinch	décrocher
cling	se cramponner
clingy	collant
clinic	clinique
clinical	clinique
clink	choquer
clip	agrafe
clipboard	presse-papiers
clipper	tondeuse
clipping	coupure
clique	NO TRANSLATION
clitoris	clitoris
cloak	manteau
cloaking	camouflage
cloakroom	vestiaire
clobber	tabasser
clock	l'horloge
clockwork	mouvement d'horlogerie
clod	motte de terre
clog	sabot
cloister	cloître
clone	cloner
cloning	clonage
close	Fermer
closed	fermé
closeness	proximité
closet	placard
closure	fermeture
clot	caillot
cloth	tissu
clothe	vêtir
clothes	vêtements
clothesline	corde à linge
clothing	Vêtements
cloud	nuage
clouded	assombri
cloudiness	trouble
clouds	des nuages
cloudy	nuageux
clout	influence
clove	Clou de girofle
clover	trèfle
cloves	clous de girofle
clown	pitre
clowns	clowns
club	club
clubhouse	clubhouse
clubs	les clubs
cluck	glousser
clue	indice
clueless	Aucune idée
clump	touffe
clumsy	maladroit
clunk	clunk
cluster	grappe
clutch	Embrayage
clutches	embrayages
clutter	désordre
coach	entraîneur
coachman	cocher
coagulation	coagulation
coal	charbon
coalesce	se fondre
coalition	coalition
coarse	grossier
coast	côte
coastal	côtier
coaster	Coaster
coastline	littoral
coat	manteau
coating	enrobage
coax	amadouer
cobalt	cobalt
cobble	bricoler
cobbler	cordonnier
cobra	cobra
cocaine	cocaïne
cock	coq
cockamamie	cockamamie
cockeyed	qui louche
cockpit	cockpit
cockroach	cafard
cocksucker	enculé
cocktail	cocktail
cocky	arrogant
cocoa	cacao
coconut	noix de coco
cocoon	cocon
cod	la morue
code	code
codeine	codéine
codex	manuscrit
codfish	morue
codification	codification
codify	codifier
coding	codage
coed	étudiante
coefficient	coefficient
coerce	contraindre
coercion	coercition
coercive	coercitif
coexist	coexister
coexistence	coexistence
coexisting	coexister
coffee	café
coffee table	table basse
coffeehouse	café
coffeepot	cafetière
coffin	cercueil
cog	dent
cogent	convaincant
cognac	Cognac
cognate	apparenté
cognition	cognition
cognitive	cognitif
cohabitation	cohabitation
coherence	la cohérence
coherent	cohérent
cohesion	cohésion
cohesive	cohésif
cohort	cohorte
coil	bobine
coiled	enroulé
coin	pièce de monnaie
coinage	monnaie
coincide	coïncider
coincidence	coïncidence
coincident	coïncident
coincidental	coïncident
coinciding	coïncider
coke	du Coca
cola	Cola
cold	du froid
coldly	froidement
coldness	froideur
coldsweat	NO TRANSLATION
coleslaw	Salade De Chou
colic	coliques
coliseum	Colisée
collaborate	collaborer
collaboration	collaboration
collaborator	collaborateur
collage	collage
collagen	collagène
collapse	effondrer
collar	collier
collarbone	clavicule
collate	collationner
collateral	collatéral
collation	collation
colleague	collègue
collect	collecte
collected	recueilli
collection	collection
collective	collectif
collectively	collectivement
collector	collectionneur
college	Université
collegiate	collégial
collide	entrer en collision
collie	colley
collision	collision
collocation	collocation
colloquial	familier
collusion	connivence
cologne	eau de Cologne
colon	côlon
colonel	colonel
colonial	colonial
colonic	colique
colonoscopy	coloscopie
colony	colonie
colophon	colophon
color	Couleur
coloration	coloration
colored	coloré
colorful	coloré
coloring	coloration
colorless	incolore
colors	couleurs
colossal	colossal
colt	poulain
columbine	ancolie
column	colonne
columnar	de colonne
columnist	journaliste
com	NO TRANSLATION
coma	coma
comatose	comateux
comb	peigne
combat	combat
combatant	combattant
combative	combatif
combination	combinaison
combinatorial	combinatoire
combine	combiner
combined	combiné
combo	combo
combustible	combustible
combustion	la combustion
come	viens
comeback	reviens
comedian	comédien
comedy	comédie
comet	comète
comfort	confort
comfortable	confortable
comforter	consolateur
comforting	réconfortant
comfy	confortable
comic	bande dessinée
comical	comique
comics	des bandes dessinées
coming	venir
comma	virgule
command	commander
commandant	commandant
commandeer	réquisitionner
commander	le commandant
commanding	commandant
commandment	commandement
commando	commando
commemorate	commémorer
commemoration	commémoration
commemorative	commémoratif
commence	commencer
commend	saluer
commendable	louable
commendation	recommandation
commensurate	commensurable
comment	commentaire
commentary	commentaire
commentator	commentateur
commerce	Commerce
commercial	commercial
commie	commie
commissary	commissaire
commission	commission
commissioner	le commissaire
commit	commettre
commitment	engagement
committal	incarcération
committed	engagé
committee	Comité
commodity	marchandise
commodore	commodore
common	commun
commoner	roturier
commonly	communément
commonplace	banal
commons	Chambre des communes
commonwealth	Commonwealth
commotion	agitation
communal	communautaire
commune	commune
communicable	transmissible
communicate	communiquer
communication	la communication
communicative	communicatif
communicator	communicateur
communion	communion
communism	communisme
communist	communiste
community	communauté
commutation	commutation
commutative	commutatif
commute	commuer
commuter	navetteur
comp	comp
compact	compact
compaction	compactage
compactness	compacité
companion	un compagnon
companionless	compagnon
companionship	camaraderie
company	compagnie
comparable	comparable
comparative	comparatif
comparatively	relativement
compare	comparer
comparison	Comparaison
compartment	compartiment
compass	boussole
compassion	la compassion
compassionate	compatissant
compatibility	compatibilité
compatible	compatible
compel	contraindre
compelled	contraint
compelling	irrésistible
compendium	compendium
compensate	compenser
compensation	compensation
compensatory	compensatoire
compete	rivaliser
competence	compétence
competency	compétence
competent	compétent
competition	compétition
competitive	compétitif
competitor	concurrent
compilation	compilation
compile	compiler
complacency	complaisance
complacent	complaisant
complain	se plaindre
complaint	plainte
complement	complément
complementary	complémentaire
complete	Achevée
completed	terminé
completely	complètement
completeness	complétude
completing	compléter
completion	achèvement
complex	complexe
complexed	complexé
complexion	complexion
complexity	complexité
compliance	conformité
compliant	conforme
complicate	compliquer
complicated	compliqué
complication	complication
complicity	complicité
compliment	NO TRANSLATION
complimentary	gratuit
comply	se conformer
complying	se conformer
compo	compo
component	composant
compose	composer
composed	composé
composer	compositeur
composite	composite
composition	composition
compost	compost
composure	calme
compound	composé
comprehend	comprendre
comprehension	compréhension
comprehensive	complet
compress	compresse
compressed	comprimé
compressible	compressible
compression	compression
compressor	compresseur
comprise	comprendre
compromise	faire des compromis
comptroller	contrôleur
compulsion	compulsion
compulsive	compulsif
compulsory	obligatoire
computable	calculable
computation	calcul
compute	calculer
computer	ordinateur
computerized	informatisé
computing	l'informatique
comrade	camarade
con	NO TRANSLATION
concatenation	enchaînement
concave	concave
conceal	cacher
concealed	caché
concealment	dissimulation
concede	concéder
conceit	vanité
conceited	vaniteux
conceivable	concevable
conceive	concevoir
concentrate	concentrer
concentration	concentration
concentric	concentrique
concept	concept
conception	conception
concern	préoccupation
concerned	concerné
concert	concert
concerto	concerto
concession	Concession
concessional	concessionnel
conch	conque
concierge	la conciergerie
conciliation	conciliation
concise	concis
conclave	conclave
conclude	conclure
concluding	final
conclusion	conclusion
conclusive	concluant
concoction	mélange
concomitant	concomitant
concord	concorde
concordance	concordance
concours	NO TRANSLATION
concourse	foule
concrete	béton
concubine	concubine
concur	concourir
concurrence	concours
concurrent	concurrent
concurring	concourant
concussion	commotion cérébrale
condemn	condamner
condemnation	condamnation
condensation	condensation
condensed	condensé
condescending	condescendant
condescension	condescendance
condiment	condiment
condition	condition
conditional	conditionnel
conditionally	conditionnellement
conditioned	conditionné
conditioner	Conditionneur
conditioning	conditionnement
conditions	conditions
condo	condo
condolence	condoléances
condolences	condoléances
condom	préservatif
condone	fermer les yeux sur
condor	condor
conducive	propice
conduct	conduite
conduction	conduction
conductivity	conductivité
conductor	conducteur
conduit	conduit
cone	cône
confederacy	confédération
confederate	confédéré
confederation	confédération
confer	conférer
conference	conférence
confess	avouer
confession	confession
confessional	confessionnal
confessions	aveux
confetti	confettis
confidant	confident
confide	confier
confidence	confiance
confident	sur de soi
confidential	confidentiel
confidentiality	confidentialité
confidentially	NO TRANSLATION
configuration	configuration
confine	confiner
confined	confiné
confinement	accouchement
confines	limites
confirm	confirmer
confirmation	confirmation
confirmatory	confirmation
confirmed	confirmé
confiscate	confisquer
confiscation	confiscation
conflagration	incendie
conflict	conflit
conflicting	contradictoire
confluence	confluence
conform	se conformer
conformance	conformité
conformation	NO TRANSLATION
conformity	conformité
confound	confondre
confounded	confondu
confront	affronter
confrontation	affrontement
confuse	embrouiller
confused	confus
confusing	déroutant
confusion	confusion
conga	conga
congenial	agréable
congenital	congénital
congestion	congestion
conglomerate	conglomérat
conglomeration	agglomération
congrats	félicitations
congratulate	féliciter
congratulation	félicitation
congratulations	toutes nos félicitations
congratulatory	de félicitations
congregate	se rassembler
congregation	congrégation
congress	congrès
congressional	Congrès
congressman	membre du Congrès
congruence	congruence
conic	conique
conical	conique
conjecture	conjecture
conjugal	conjugal
conjugate	conjuguer
conjugation	conjugaison
conjunction	conjonction
conjunctive	conjonctif
conjure	conjurer
conjuring	prestidigitation
conk	pif
connect	relier
connected	connecté
connection	connexion
connective	conjonctif
connoisseur	connaisseur
conquer	conquérir
conquering	conquête
conqueror	conquérant
conquest	conquête
conscience	conscience
conscientious	consciencieux
conscious	conscient
consciousness	conscience
conscription	conscription
consecrated	consacré
consecration	consécration
consecutive	consécutif
consensual	consensuel
consensus	consensus
consent	consentement
consenting	consentant
consequence	conséquence
consequent	conséquent
conservation	préservation
conservatism	conservatisme
conservative	conservateur
conservatory	conservatoire
conserve	conserver
consider	considérer
considerable	considérable
considerate	prévenant
consideration	considération
consignee	destinataire
consignment	consignation
consist	consister
consistency	cohérence
consistent	cohérent
consolation	consolation
console	console
consoled	consolé
consolidate	consolider
consolidated	consolidé
consolidation	consolidation
consonant	consonne
consort	épouse
conspicuous	visible
conspiracy	conspiration
conspirator	conspirateur
conspire	conspirer
constable	gendarme
constancy	constance
constant	constant
constantly	constamment
constellation	constellation
consternation	consternation
constipation	constipation
constituency	circonscription électorale
constituent	constituant
constituents	constituants
constitute	constituer
constitution	Constitution
constitutional	constitutionnel
constitutionality	constitutionnalité
constrain	contraindre
constrained	contraint
constraint	contrainte
construct	construction
construction	construction
constructive	constructif
construe	interpréter
consul	consul
consulate	Consulat
consult	consulter
consultant	consultant
consultation	consultation
consume	consommer
consumer	consommateur
consuming	consommant
consummate	consommé
consummation	accomplissement
consumption	consommation
contact	contact
contagion	contagion
contagious	contagieux
contain	contenir
container	récipient
containment	endiguement
contaminate	contaminer
contaminated	contaminés
contamination	contamination
contemplate	contempler
contemplation	contemplation
contemplative	contemplatif
contemporaneous	contemporain
contemporary	contemporain
contempt	mépris
contemptible	méprisable
contemptuous	méprisant
contend	combattre
contender	concurrent
contending	rivaliser
content	contenu
contented	content
contention	contention
contentious	contentieux
contentment	contentement
contents	Contenu
contest	concours
contestant	concurrent
context	le contexte
contiguous	contigu
continence	continence
continent	continent
continental	continental
contingency	contingence
contingent	contingent
continual	continuel
continually	continuellement
continuance	continuation
continuation	continuation
continue	continuer
continued	a continué
continuing	continuer
continuity	continuité
continuous	continu
continuously	continuellement
continuum	continuum
contour	contour
contraband	contrebande
contraception	la contraception
contract	Contrat
contracted	contracté
contractile	contractile
contracting	contracter
contraction	contraction
contractor	entrepreneur
contradict	contredire
contradiction	contradiction
contradictory	contradictoire
contraption	bidule
contrary	contraire
contrast	contraste
contrasted	contrasté
contravene	contrevenir
contravention	violation
contribute	contribuer
contribution	contribution
contributor	donateur
contrite	contrit
contrition	contrition
contrived	artificiel
control	contrôle
controller	manette
controlling	contrôler
controversial	controversé
controversy	controverse
contusion	contusion
conundrum	énigme
convalescent	convalescent
convection	convection
convene	convoquer
convenience	commodité
conveniences	commodités
convenient	pratique
convent	couvent
convention	convention
conventional	conventionnel
converge	converger
convergence	convergence
convergent	convergent
conversant	au courant
conversation	conversation
conversational	de la conversation
conversationalist	causeur
converse	converser
conversing	converser
conversion	conversion
convert	convertir
converted	converti
convertible	convertible
convex	convexe
convexity	convexité
convey	transmettre
conveyance	transport
conveyancing	transfert de propriété
convict	condamné
conviction	conviction
convince	convaincre
convinced	convaincu
convincing	convaincant
convocation	convocation
convoluted	convoluté
convolution	convolution
convoy	convoi
coo	roucouler
cook	cuisinier
cookbook	livre de recettes
cooker	cuisinier
cookery	cuisine
cookie	biscuit
cookies	biscuits
cooking	cuisine
cookout	cuisson
cool	cool
coolant	liquide de refroidissement
cooler	glacière
cooling	refroidissement
coolness	fraîcheur
coon	nègre
coop	coopérative
cooperate	coopérer
cooperating	coopérant
cooperation	la coopération
cooperative	coopérative
coordinate	coordonner
coordination	coordination
coordinator	coordinateur
cop	flic
copacetic	NO TRANSLATION
cope	chape
copier	photocopieuse
copilot	copilote
coping	faire face
copious	copieux
copper	cuivre
copter	copter
copy	copie
copycat	imitateur
copying	copier
copyright	droits d'auteur
coral	corail
coral snake	serpent de corail
cord	corde
cordial	cordial
cordless	sans fil
cordon	cordon
corduroy	velours côtelé
core	coeur
cork	Liège
corkscrew	un tire-bouchon
corn	blé
cornball	cornball
cornbread	pain au maïs
cornea	cornée
corned	salé
corner	coin
cornerstone	pierre angulaire
cornet	cornet
cornfield	champ de blé
cornflakes	flocons de maïs
cornice	corniche
cornstarch	fécule de maïs
corny	banal
corollary	corollaire
corona	couronne
coronary	coronaire
coronation	couronnement
coroner	coroner
corporal	corporel
corporate	entreprise
corporation	société
corporeal	corporel
corps	corps
corpse	corps
corpsman	corpsman
corpus	corpus
corral	corral
correct	correct
correction	correction
correctional	correctionnel
corrective	correctif
correctness	exactitude
correlation	corrélation
correlative	corrélatif
correspond	correspondre
correspondence	correspondance
correspondent	correspondant
corresponding	correspondant
corridor	couloir
corroborate	corroborer
corroboration	corroboration
corrosion	corrosion
corrosive	corrosif
corrupt	corrompu
corrupting	corrompant
corruption	la corruption
corsage	corsage
corse	NO TRANSLATION
corset	corset
cortex	cortex
cortical	cortical
cortisone	cortisone
corvette	corvette
cosmetic	cosmétique
cosmetics	produits de beauté
cosmic	cosmique
cosmology	cosmologie
cosmopolitan	Cosmopolite
cosmos	cosmos
cost	Coût
costly	cher
costume	costume
cosy	confortable
cot	lit bébé
cote	côte
cottage	chalet
cotton	coton
couch	canapé
cougar	puma
cough	la toux
council	conseil
councilman	conseiller municipal
counsel	Conseil
counseling	conseils
counsellor	conseiller
counselor	conseiller
count	compter
countdown	compte à rebours
countenance	visage
counter	compteur
counteract	contrer
counterattack	contre-attaque
counterbalance	contrepoids
counterclaim	demande reconventionnelle
counterfeit	contrefaire
counterpart	homologue
counterpoint	contrepoint
countess	comtesse
countless	innombrable
country	pays
countryman	compatriote
countrymusic	NO TRANSLATION
countryside	campagne
counts	compte
county	comté
coup	coup
coupe	coupé
couple	couple
coupled	accouplé
coupling	couplage
coupon	coupon
courage	courage
courageous	courageux
courier	courrier
courses	cours
coursing	coursing
court	tribunal
courteous	courtois
courtesy	courtoisie
courthouse	tribunal
courtroom	salle d'audience
courts	tribunaux
courtship	cour
courtside	côté cour
courtyard	Cour
cousin	cousin
cousins	les cousins
cove	crique
coven	coven
covenant	engagement
cover	couverture
coverage	couverture
covered	couvert
covering	couvrant
covert	secret
covet	convoiter
coveted	convoité
cow	vache
coward	lâche
cowardice	lâcheté
cowardly	lâche
cowboy	cow-boy
cowgirl	cow-girl
cowhand	cowhand
cowhide	peau de vache
cowl	capot
coworker	collaborateur
coy	timide
coyote	coyote
cozy	confortable
crab	Crabe
crabby	crabby
crack	fissure
cracked	fissuré
cracker	biscuit salé
crackerjack	crackerjack
cracking	craquer
crackle	crépiter
crackpot	cinglé
cradle	berceau
craft	artisanat
crafts	artisanat
craftsman	artisan
craftsmanship	artisanat
crafty	rusé
craig	craig
cram	fourrer
crammed	entassé
cramp	crampe
cramped	à l'étroit
cranberry	canneberge
cranberry juice	jus de cranberry
crane	grue
cranial	crânien
cranium	crâne
crank	manivelle
cranky	excentrique
cranny	fente
crap	merde
crappy	merdique
craps	craps
crash	crash
crass	grossier
crate	Caisse
crater	cratère
crave	demander
craving	envie
crawfish	écrevisse
crawl	crawl
crayon	crayon
crayons	crayons
craze	engouement
crazed	fou
craziness	folie
crazy	fou
creak	craquer
creaking	grincement
cream	crème
creamed	crémé
creamer	crémier
creamy	crémeux
crease	pli
create	créer
creation	création
creative	Créatif
creativity	la créativité
creator	créateur
creature	créature
credence	foi
credential	credential
credentials	lettres de créance
credibility	crédibilité
credible	crédible
credit	crédit
credit card	carte de crédit
creditable	NO TRANSLATION
credited	crédité
crediting	crédit
creditor	créancier
creed	credo
creek	ruisseau
creep	se glisser
creeper	plante grimpante
creeping	rampant
creepy	terrifiant
cremation	incinération
creole	le créole
crepe	crêpe
crescendo	crescendo
crescent	croissant
crest	crête
crestfallen	découragé
cretin	crétin
cretins	cretins
crevice	fente
crew	équipage
crewman	équipier
crib	lit de bébé
cricket	criquet
cried	pleuré
crime	la criminalité
criminal	criminel
criminality	criminalité
crimp	ondulation
crimson	cramoisi
cringe	reculer
cripple	paralyser
crippled	estropié
crippling	paralysant
crisis	crise
crisp	croustillant
crispy	croustillant
criterion	critère
critic	critique
critical	critique
criticise	critiquer
criticism	critique
criticize	critiquer
criticized	critiqué
critique	la critique
critter	critter
croak	crever
croc	croc
crock	cruche
crockery	vaisselle
crocodile	crocodile
croft	petite ferme
croissant	croissant
crook	escroc
crooked	courbé
crop	surgir
croquet	croquet
cross	traverser
cross country	cross-country
crossbow	arbalète
crossed	franchi
crossfire	feux croisés
crossing	traversée
crossover	croisement
crosswalk	passage clouté
crossword	mots croisés
crotch	fourche
crouch	accroupissement
crouched	accroupi
crouching	accroupi
croupier	croupier
crow	corbeau
crowbar	crowbar
crowd	foule
crowded	bondé
crowds	foules
crown	couronne
crowning	couronnement
crucial	crucial
cruciate	croisé
crucifix	crucifix
crucifixion	crucifixion
crucify	crucifier
crud	crud
crude	brut
cruel	cruel
cruelly	cruellement
cruelty	cruauté
cruise	croisière
cruise ship	bateau de croisière
cruiser	croiseur
cruising	croisière
crumb	miette
crumble	émietter
crumbling	effritement
crummy	crummy
crunch	croquer
crunchy	croquant
crusade	croisade
crusader	croisé
crush	écraser
crushed	écrasé
crusher	broyeur
crushing	écrasement
crust	croûte
crusty	croustillant
crutch	béquille
crux	nœud
cry	cri
crybaby	Cry Baby
crying	pleurs
crypt	crypte
cryptic	cryptique
cryptography	cryptographie
crystal	cristal
crystalline	cristalline
crystallization	cristallisation
cub	lionceau
cubby	cubby
cube	cube
cubic	cubique
cubicle	cabine
cuckold	cocu
cuckoo	coucou
cucumber	concombre
cuddle	caresse
cuddled	câliné
cuddles	câlins
cuddling	câlins
cue	signal
cuff	manchette
cuisine	cuisine
culinary	culinaire
cull	cueillir
culminate	culminer
culmination	culmination
culpability	culpabilité
culpable	coupable
culprit	coupable
cult	culte
cultivate	cultiver
cultivated	cultivé
cultivation	cultivation
cultural	culturel
culture	Culture
cultured	cultivé
culvert	ponceau
cumbersome	lourd
cumulus	cumulus
cunning	ruse
cunt	chatte
cup	Coupe
cupboard	placard
cupcake	cupcake
cupping	ventouses
cur	cur
curable	guérissable
curate	vicaire
curative	curatif
curator	conservateur
curb	freiner
curd	fromage blanc
cure	guérir
curfew	couvre-feu
curiosity	curiosité
curious	curieuse
curl	boucle
curling	curling
currency	devise
current	actuel
curriculum	curriculum
curry	curry
curse	malédiction
cursed	maudit
cursing	maudire
cursory	superficiel
curt	sec
curtail	réduire
curtailment	réduction
curtain	rideau
curtains	rideaux
curtsy	révérence
curvature	courbure
curve	courbe
curved	incurvé
curvilinear	curviligne
cushion	coussin
cushy	pépère
cusp	cuspide
cuss	jurer
cussed	juré
custard	Crème
custodial	gardien
custodian	gardien
custody	garde
custom	Douane
customary	coutumier
customer	client
customized	personnalisé
cut	Couper
cutaneous	cutané
cute	mignonne
cuticle	cuticule
cutie	la mignonne
cutlass	coutelas
cutlery	coutellerie
cutoff	couper
cutter	coupeur
cutters	coupeurs
cutthroat	gorge folle
cutting	Coupe
cutting board	planche à découper
cuttings	boutures
cwt	cwt
cyanide	cyanure
cyberspace	cyberespace
cycle	cycle
cyclical	cyclique
cyclist	cycliste
cyclone	cyclone
cylinder	cylindre
cylindrical	cylindrique
cymbal	cymbale
cynic	cynique
cynical	cynique
cynicism	cynisme
cyst	kyste
cystic	cystique
cytomegalovirus	cytomégalovirus
cytoplasm	cytoplasme
czar	tsar
dab	touche
dabble	barboter
dabbling	barboter
dad	papa
daddy	papa
dado	NO TRANSLATION
daemon	démon
daft	idiot
dagger	poignard
daily	du quotidien
dainty	délicat
daiquiri	daiquiri
dairy	laitier
daisy	Marguerite
dak	NO TRANSLATION
dale	vallée
dam	barrage
damage	dommage
damaged	endommagé
damages	dégâts
dame	dame
damn	Zut
damnation	damnation
damned	damné
damp	humide
dampened	humecté
damper	amortisseur
damsel	demoiselle
dance	Danse
dancer	Danseur
dancing	dansant
dandruff	pellicules
dandy	dandy
danger	danger
dangerous	dangereux
dangerously	dangereusement
dangit	NO TRANSLATION
dangle	pendre
dank	NO TRANSLATION
dapper	pimpant
dare	oser
daredevil	casse-cou
daresay	daresay
daring	audacieux
dark	foncé
darken	assombrir
darkened	sombre
darkly	obscurément
darkness	obscurité
darkroom	pièce sombre
darkside	côté obscur
darling	chéri
darn	Zut
dart	dard
dash	tiret
dashboard	tableau de bord
dashed	en pointillé
dashing	fringant
dastardly	lâche
data	Les données
database	base de données
date	rendez-vous amoureux
datenight	NO TRANSLATION
daughter	fille
dawdle	lambiner
dawn	Aube
dawned	aube
day	journée
daybreak	aube
daycare	garderie
daydream	rêverie
daydreaming	rêverie
daylight	lumière du jour
daymade	NO TRANSLATION
dayoff	NO TRANSLATION
daytime	jour
daze	hébéter
dazed	étourdi
dazzle	éblouir
dazzling	éblouissant
deacon	diacre
deactivate	désactiver
dead	mort
deadbeat	deadbeat
deadline	date limite
deadlines	délais
deadlock	impasse
deadly	mortel
deaf	sourd
deafening	assourdissant
deafness	surdité
deal	traiter
dealer	Marchand
dealership	concession
dealing	transaction
dealings	relations
dean	doyen
dear	cher
dearest	très cher
dearth	disette
death	décès
deathbed	lit de mort
deathly	mortel
debacle	débâcle
debased	dégradé
debatable	discutable
debate	débat
debauchery	débauche
debenture	débenture
debilitating	débilitant
debit	débit
debrief	débriefer
debriefing	compte rendu
debris	débris
debt	dette
debtor	débiteur
debut	début
debutante	débutante
decade	décennie
decadence	décadence
decadent	décadent
decaf	café décaféiné
decanter	carafe
decathlon	décathlon
decay	pourriture
decayed	pourri
decaying	déclinant
deceased	décédé
decedent	décédé
deceit	tromperie
deceitful	trompeur
deceive	tromper
deceived	trompé
deceiving	tromper
december	décembre
decency	décence
decent	décent
deception	tromperie
deceptive	trompeur
decide	décider
decidedly	résolument
deciduous	à feuilles caduques
decimal	décimal
decimeter	décimètre
decipher	déchiffrer
decision	décision
decisive	décisif
deck	plate-forme
declaration	déclaration
declaratory	déclaratoire
declare	déclarer
declination	déclinaison
decline	déclin
declining	déclinant
deco	déco
decode	décoder
decoder	décodeur
decompose	décomposer
decomposed	décomposé
decomposition	décomposition
decompress	décompresser
decompression	décompression
decontamination	décontamination
decor	décor
decorate	décorer
decorating	décorer
decoration	décoration
decorative	décoratif
decorator	décorateur
decorum	décorum
decoy	leurre
decrease	diminution
decreased	diminué
decreasing	décroissant
decree	décret
decrement	décrémenter
decrepit	délabré
decry	décrier
decryption	décryptage
dedicate	consacrer
dedication	dévouement
deduce	déduire
deduct	déduire
deductible	déductible
deduction	déduction
deed	acte
deejay	deejay
deem	considérer
deep	Profond
deepen	approfondir
deer	cerf
defamation	diffamation
defamatory	diffamatoire
default	défaut
defeat	défaite
defeated	vaincu
defeatist	défaitiste
defect	défaut
defection	défection
defective	défectueux
defector	transfuge
defend	défendre
defendant	défendeur
defended	défendu
defender	défenseur
defending	défendre
defense	la défense
defenseless	sans défense
defensible	défendable
defensive	défensive
defer	reporter
deference	respect
deferral	report
deferring	différer
defiance	défi
defiant	de défi
defibrillator	défibrillateur
deficiency	carence
deficient	déficient
deficit	déficit
define	définir
defined	défini
definite	précis
definition	définition
definitive	définitive
deflate	dégonfler
deflation	déflation
deflect	dévier
deflection	déviation
defloration	défloration
deform	déformer
deformed	déformé
deformity	déformation
defraud	frauder
defray	payer
defrost	décongeler
deft	habile
defunct	défunt
defuse	désamorcer
defy	defier
degeneracy	dégénérescence
degenerate	dégénérer
degeneration	dégénérescence
degradation	dégradation
degrade	dégrader
degraded	dégradé
degrading	dégradant
degree	degré
dehydrated	déshydraté
dehydration	déshydratation
dejected	abattu
delay	retard
delayed	différé
delectable	délectable
delegate	déléguer
delegation	délégation
delete	effacer
deleterious	délétère
deletion	effacement
deli	épicerie fine
deliberate	délibérer
deliberation	délibération
deliberative	délibérant
delicacy	délicatesse
delicate	délicat
delicatessen	épicerie fine
delicious	délicieux
delight	délice
delighted	Enchanté
delightful	délicieux
delineate	tracer
delineation	délimitation
delinquency	délinquance
delinquent	délinquant
delirious	délirant
delirium	délire
deliver	livrer
deliverance	délivrance
delivery	livraison
dell	Dell
delta	delta
delude	tromper
deluge	inonder
delusion	illusion
delusional	délirant
deluxe	de luxe
delve	creuser
demand	demande
demanding	exigeant
demeaned	déchéance
demeaning	avilissant
demeanor	comportement
demented	dément
dementia	démence
demise	disparition
demo	démo
democracy	la démocratie
democrat	démocrate
democratic	démocratique
demographic	démographique
demolish	démolir
demolished	démoli
demolition	démolition
demon	démon
demonic	démoniaque
demonstrable	démontrable
demonstrate	démontrer
demonstrated	démontré
demonstrating	démontrer
demonstration	manifestation
demonstrative	démonstratif
demonstrator	démonstrateur
demoralized	démoralisé
demos	démos
demure	sage
den	NO TRANSLATION
deniability	dénégation
denial	le déni
denied	refusé
denim	denim
denomination	dénomination
denominational	confessionnel
denominator	dénominateur
denote	dénoter
denounce	dénoncer
dense	dense
density	densité
dent	bosse
dental	dentaire
dentist	dentiste
dentistry	dentisterie
dentists	dentistes
denunciation	dénonciation
deny	Nier
denying	nier
deodorant	déodorant
depart	partir
departed	défunt
department	département
departmental	départemental
departure	Départ
depend	dépendre
dependable	sûr
dependant	dépendant
dependence	dépendance
dependency	dépendance
dependent	dépendant
depict	représenter
depicting	dépeignant
depletion	épuisement
deplorable	déplorable
deplore	déplorer
deploy	déployer
deployment	déploiement
deport	expulser
deportation	déportation
depose	déposer
deposit	dépôt
depositary	dépositaire
deposition	déposition
depository	dépôt
depot	dépôt
depraved	dépravé
depravity	dépravation
depreciate	déprécier
depreciated	déprécié
depreciation	dépréciation
depress	déprimer
depressed	déprimé
depressing	déprimant
depression	dépression
depressive	dépressif
depresson	NO TRANSLATION
deprivation	privation
deprive	priver
deprived	privé
depth	profondeur
deputy	adjoint
derail	dérailler
deranged	dérangé
derelict	abandonné
derision	dérision
derivation	dérivation
derivative	dérivé
derive	dériver
dermal	dermique
dermatologist	dermatologue
dermatology	dermatologie
derogation	dérogation
derogatory	dérogatoire
descend	descendre
descendant	descendant
descendent	NO TRANSLATION
descending	descendant
descent	descente
describe	décrire
description	la description
descriptive	descriptif
desecrate	profaner
desecration	profanation
desert	désert
