Word	yi
dill	קראָפּ
diluent	דילוענט
dilute	צעפירן
diluted	דיילוטאַד
dilution	דיילושאַן
dim	dim
dime	dime
dimension	ויסמעסטונג
dimensional	דימענשאַנאַל
diminish	פאַרמינערן
diminished	דימינישט
diminution	דימינוטיאָן
diminutive	דימינוטיוו
dimwit	פּונקט
din	NO TRANSLATION
dine	NO TRANSLATION
diner	מיטאָג
dinghy	דינגי
dingo	dingo
dingy	דיינינג
dining	דיינינג
dinky	dinky
dinner	מיטאָג
dinnertime	נאכטמאל צייט
dinosaur	דיינאַסאָר
dint	dint
diocesan	diocesan
diocese	דייאַסיז
diorama	דיאָראַמאַ
dioxide	דייאַקסייד
dip	טונקען
diploma	דיפּלאָם
diplomacy	דיפּלאָומאַסי
diplomat	דיפּלאָמאַט
diplomatic	דיפּלאַמאַטיק
dipper	dipper
dippy	dippy
dipstick	דיפּסטיקק
dire	NO TRANSLATION
direct	דירעקט
directed	directed
direction	ריכטונג
directive	דירעקטיוו
directly	גלייַך
director	דירעקטאָר
directory	directory
dirt	שמוץ
dirty	גראָב
disability	דיסאַביליטי
disable	דיסייבאַל
disabled	פאַרקריפּלט
disadvantage	דיסאַדוואַנטידזשיז
disaffected	דיסאַפעקטאַד
disagree	disagree
disagreeable	דיסאַגריאַבאַל
disagreeing	disagreeing
disagreement	קאָנפליקט
disallow	דיסאַללאָוו
disallowed	דיסאַלאָוז
disapointment	NO TRANSLATION
disappear	פאַרשווינדן
disappearance	דיסאַפּיראַנס
disappearing	דיסאַפּירינג
disappoint	אַנטוישן
disappointed	דיסאַפּויניד
disappointing	disappointing
disappointment	אַנטוישונג
disapproval	דיסאַפּרווואַל
disapprove	יבערמאַכן
disapproved	דיסאַפּרוווד
disapproving	דיסאַפּרוווינג
disarm	דיסאַרם
disarray	disarray
disaster	ומגליק
disastrous	disastrous
disband	disband
disbelief	disbelief
disbelieve	דיסבאַליוו
disburse	ויסברעכן
disbursement	דיסבורסעמענט
disc	דיסק
discard	אַוועקוואַרפן
discarded	דיסקאַרדעד
discards	דיסקאַרדס
discern	דערקענען
discernible	discernible
discerning	דיסערנינג
discernment	דיסערנמאַנט
discharge	אָפּזאָגן
disciple	תלמיד
disciplinary	דיססיפּלינאַרי
discipline	דיסציפּלין
disciplined	דיסאַפּלאַנד
disclaim	אָפּלייקענונג
disclaimer	disclaimer
disclose	ויסזאָגן
disclosed	דיסקלאָוזד
disclosure	disclosure
disco	דיסקאָטעק
discoloration	דיסקאַלאָריישאַן
discolored	דיסאָלערד
discomfort	ומבאַקוועמקייַט
disconcerted	דיסקאַנעקטיד
disconcerting	דיסקאַנעקטינג
disconnect	דיסקאַנעקט
disconnected	דיסקאַנעקטיד
disconnection	דיסקאַנעקשאַן
disconnects	דיסקאַנעקץ
discontent	דיסקריטאַנט
discontinuance	discontinuance
discontinue	אָפּשטעלן
discontinuity	דיסקאַנטיניאַטיטי
discontinuous	דיסקאַנטיניאַס
discord	דיסקאָרד
discount	אַראָפּרעכענען
discounted	discounted
discourage	דיסקערידזש
discouraged	דיסקערידזשד
discouragement	דיסקערידזשמאַנט
discouraging	דיסקערידזשינג
discourse	דיסקאָורסע
discover	אַנטדעקן
discovery	אנטדעקונג
discredit	דיסקרעדיטירן
discredited	דיסקרעדיטיד
discreet	NO TRANSLATION
discrepancy	דיסקרעפּאַנסי
discrete	דיסקרעטע
discretion	דיסקרעשאַן
discretionary	דיסקרעשאַנערי
discriminate	דיסקרימאַנייט
discriminating	דיסקרימאַנייטינג
discrimination	דיסקרימינאציע
discus	דיסקוס
discuss	דיסקוטירן
discussion	דיסקוסיע
disdain	דיסדיין
disdainful	דיסדאַינפול
disease	קרענק
diseased	קראַנק
disembodied	דיסembאָדעד
disengage	disengage
disengagement	דיסענגאַגיישאַן
disfigured	דיספיגיערד
disgrace	שאָדן
disgraced	disgraced
disgraceful	דיסגראַסעד
disgruntled	disgruntled
disguise	פאַרשטעלונג
disguised	דיסגייזד
disgust	עקל
disgusted	עקלדיק
disgusting	עקלדיק
dish	שיסל
disheartened	disheartened
disheartening	אַנטדעקן
dishonest	dishonest
dishonesty	dishonesty
dishonor	dishonor
dishonorable	dishonorable
dishwasher	דישוואשער
disillusionment	disillusionment
disinclination	דיסינקלינאַטיאָן
disincline	דיסינקליין
disinclined	disinclined
disinfect	דיסינפעקט
disinfectant	דיסינפעקטאַנט
disinfection	דיסינפעקשאַן
disinformation	דיסינפאָרמאַטיאָן
disingenuous	דיסינדזשאַניואַס
disintegrate	דיסינטאַגרייט
disintegration	דיסינטאַגריישאַן
disinterested	דיסינטערעסטעד
disjoint	disjoint
disjointed	disjointed
disjunctive	disjunctive
disk	דיסק
diskette	דיסקעט
dislike	ומכיין
disliked	דיסלייקט
disliking	disliking
dislocated	dislocated
dislocation	דיסלאָוקיישאַן
dislodge	dislodge
disloyal	disloyal
disloyalty	ומלעגאַלקייט
dismal	קליינטשיק
dismantle	פאַרריכטן
dismay	דיסייבאַל
dismayed	דיסעריידזשד
dismemberment	דיסמעמבערמאַנט
dismiss	אָפּזאָגן
dismissal	דיסמיסאַל
dismissive	דיסמיסיוו
dismount	דיסמאָונט
disobedience	דיסאָבעדיענסע
disobedient	ומגליק
disobey	ונטערוועש
disorder	disorder
disordered	דיסאָרדערד
disorderly	דיסאָרדערלי
disorganized	דיסאָרגאַנייזד
disorientation	disorientation
disoriented	דיסאָריענטעד
disown	דיסאָון
disparage	דיספּאַראַגע
disparaging	דיספּערידזשינג
disparate	דיספּעריט
disparity	דיספּעראַטי
dispassionate	dispassionate
dispatch	דעפּעש
dispatcher	דיספּאַטשער
dispel	דיספּעל
dispensary	דיספּענסערי
dispensation	דיספּענסאַטיאָן
dispense	דיספּענס
dispenser	dispenser
dispersal	דיספּערסאַל
disperse	צעשפּרייטן
dispersed	דיספּערסט
dispersion	דיספּערזשאַן
dispirited	דיספּייראַטיד
displace	דיספּלייס
displaced	displaced
displacement	displacement
displacency	דיספּלאַסאַנסי
display	אַרויסווייַז
displease	דיספּלייס
displeased	displeased
displeasure	דיספּלעאַסור
disposable	disposable
disposal	באַזייַטיקונג
dispose	דיספּאָוזד
disposed	דיספּאָוזד
disposition	disposition
dispossessed	דיספּאָסעסט
disprove	דיספּראָווע
dispute	דיספּיוט
disqualification	disqualification
disqualified	disqualified
disqualify	disqualify
disquieted	disquieted
disregard	דיסריגאַרד
disregarded	דיסריגאַרדיד
disrelish	disrelish
disreputable	דיסריבוטאַבלע
disrepute	דיסראַפּוט
disrespect	דיסריספּעקט
disrespectful	דיסריספּעקטפאַל
disrupt	צעשטערן
disrupting	דיסראַפּטינג
disruption	שטערונג
disruptive	דיסראַפּטיוו
dissatisfaction	אומצופרידנקייט
dissatisfied	דיסאַטאַספייד
dissect	דיססעקט
dissection	דיססעקשאַן
disseminate	פארשפרייטן
dissemination	דיסיזשאַנז
dissension	דיסריסענסע
dissent	דיסענט
dissenting	דיססענטינג
dissertation	dissertation
disservice	disservice
dissident	דיססידענט
dissimilar	dissimilar
dissipate	דיספּיוטיד
dissipated	dissipated
dissociation	dissociation
dissociative	dissociative
dissolution	dissolution
dissolve	צעלאָזן
dissonance	dissonance
dissuade	דיסקלייד
distal	distal
distance	ווייַטקייט
distant	ווייַט
distaste	ויסמיידן
distasteful	דיסטאַסטיק
distillate	דיסטיללאַטע
distillation	דיסטאַליישאַן
distilled	דיסטילד
distinct	distinct
distinction	דיסטינגקשאַן
distinctive	אָפּשיידנדיק
distinguish	ויסטיילן
distinguishable	דיסטינגגווישאַבאַל
distinguished	אונטערשיידן
distinguishing	דיסטינגגווישינג
distort	פאַרקרימען
distorted	פאַרקרימט
distortion	דיסטאָרשאַן
distract	דיסטראַקט
distracted	distracted
distracting	דיסטראַקטינג
distraction	דיסטראַקשאַנז
distraught	distraught
distress	נויט
distressed	distressed
distressing	דיסטרעסינג
distribute	פאַרשפּרייטן
distribution	פאַרשפּרייטונג
distributor	דיסטריביאַטער
district	דיסטריקט
distrust	דיסטראַסט
disturb	שטערן
disturbance	שטערונג
disturbed	אויפגערודערט
disturbing	disturbing
disuse	דיסייבאַל
disused	disused
ditch	דיטש
ditto	דאָס
ditty	ditty
diurnal	diurnal
diva	דיוואַ
divan	NO TRANSLATION
dive	ונטערטוקנ זיך
diver	דייווער
diverge	דייווערזש
divergence	דייווערדזשאַנס
divergent	דייווערדזשאַנט
diverging	diverging
divers	דיווערס
diverse	diverse
diversified	דיווערסאַפייד
diversify	דיווערסאַפיי
diversion	דייווערזשאַן
diversionary	דייווערסיאָנאַרי
diversity	דייווערסיטי
divert	דיווערט
diverting	דיווערטינג
divest	ויסזאַמלונג
divested	דוועסטעד
divestment	דיוועסטמענט
divide	צעטיילן
divided	צעטיילט
dividend	dividend
divination	divination
divine	געטלעך
divinity	דיווינאַטי
divisible	divisible
division	division
divisor	דיווייזער
divorce	div
divorcee	דיווידי
divulge	דיוועלאַפּד
divvy	divvy
dizziness	קאָפּשווינדל
dizzy	שווינדלדיק
do	טאָן
doable	דוחק
doc	doc
docile	docile
dock	dock
docked	דאַקט
docket	docket
docking	דאַקינג
doctor	דאָקטער
doctorate	דאָקטעראַטע
doctrinal	דאָקטרינאַל
doctrine	דאָקטערין
document	דאָקומענט
documentary	documentary
documentation	דאַקיומענטיישאַן
documents	דאָקומענטן
dodge	דאַדזש
dodger	דאַדזשער
dodging	dodging
dodgy	דאָדגי
dodo	דאָדאָ
doe	דאַן
doer	טאן
dog	הונט
dogface	dogface
dogged	dogged
doggy	דאָגי
doghouse	הונטהאָוסע
dogma	דאָגמאַ
dogmatic	דאָגמאַטיק
dogsick	NO TRANSLATION
doings	doings
doit	NO TRANSLATION
dojo	דאָדזשאָ
doldrums	doldrums
dole	דאָולע
doll	ליאַלקע
dollar	דאָלאַר
dollhouse	דאָללהאָוסע
dolor	NO TRANSLATION
dolphin	דעלפין
domain	domain
dome	קופּאָל
domestic	domestic
domesticated	domesticated
domestication	domestication
domicile	domicile
domiciled	domiciled
dominance	דאַמאַנאַנס
dominant	דאָמינאַנט
dominate	dominate
dominating	dominating
domination	געוועלטיקונג
dominatrix	דאָמינאַטריקס
dominion	דאָמיניאָן
domino	domino
don	דאָן
donate	donate
donation	דאָנאַטיאָן
donkey	ייזל
donor	donor
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	דאָנטמעססוויטהמע
dontpanic	דאָנטפּאַניק
dontunderstand	NO TRANSLATION
doodle	דאָאָדלע
doom	פאַרמישפּעטן
doomed	דאַמד
doomsday	דאָאָמסדייַ
door	טיר
doorbell	דאָרבעל
doorknob	קלאמקע
doorman	טויער
doormat	טאָרמאָז
doornail	מאַכן אַרויף
doorstep	doorstep
doorway	דאָרוויי
dopamine	דאָפּאַמינע
dope	dope
dopey	דאָפּיי
dork	דאָרק
dorky	dorky
dorm	דאָרם
dormant	דאָרמאַנט
dormitory	שלאָפשטוב
dorsal	dorsal
dosage	דאָוסאַדזש
dose	דאָסזע
dossier	Dossier
dot	dot
doting	doting
dotted	דאַטיד
dotty	dotty
double	טאָפּל
doubled	דאַבאַלד
doublet	דאָובלעט
doubling	דאַבלינג
doubt	צווייפל
doubtful	סאָפעקדיק
doubting	doubting
doubtless	סאָף
doubts	צווייפל
douche	דאָוטש
douchebags	douchebags
dough	טייג
doughboy	doughboy
doughnut	פּעמפּיקל
dour	dour
douse	douse
dove	טויב
down	אַראָפּ
downcast	דאָוונאַסט
downer	דאַונער
downfall	פאַלן אַראָפּ
downfield	דאַונפילד
downhearted	downhearted
downhill	דאַונכיל
download	download
downpour	downpour
downright	downright
downriver	דאַונריווער
downside	דאַונסייד
downtime	דאַונטיים
downward	אַראָפּ
downy	דאָווני
dowry	dowry
doze	דאָסזע
dozen	טוץ
drab	drab
draft	פּלאַן
drafty	drafty
drag	שלעפּן
dragon	דראַגאָן
dragonfly	דראַגאָנפלי
drain	אָפּרין
drainage	דריינאַדזש
drained	ויסגעשעפּט
draining	דריינינג
drainpipe	drainpipe
drake	דרייק
drama	דראַמע
dramaqueen	dramaqueen
dramatic	דראַמאַטיק
drape	דראַפּינג
drapery	drapery
drastic	דראַסטיק
drat	NO TRANSLATION
draught	פּלאַן
draw	מאל
drawback	שטערונג
drawbridge	drawbridge
drawer	שופלאָד
drawers	גאַטקעס
drawing	צייכענונג
dread	שרעק
dreaded	דרעאַדעד
dreadful	שרעקלעך
dreadfully	דרעאַדפוללי
dreading	דרעדינג
dream	dream
dreamboat	דראַמפּט
dreamer	dreamer
dreaming	dreaming
dreamland	דרעאַמלאַנד
dreams	dreams
dreamt	dreamed
dreamy	פאַרכאָלעמט
dreary	דראַמע
dredge	דרעדזש
drenched	drenched
dress	אָנטאָן
dresser	קאָמאָד
dressmaker	דרעסמייקער
dressy	קלייד
dribble	NO TRANSLATION
dried	דאַר
drier	דרייער
drift	דריפט
drifted	דריפטיד
drifter	דריפטער
driftwood	דריפטוואָאָד
drill	בויער
drink	טרינקען
drinker	טרינקער
drinking	טרינקט
drinks	טרינקען
drip	דריפּן
dripping	דריפּינג
drive	פאָר
drivel	דרייוואַל
driver	driver
driveway	דרייוווויי
drizzle	רייזע
droll	דראָלל
drone	דראָון
drones	דראָנעס
drool	דראָאָל
drooping	דראָאָפּינג
droopy	דראָפּי
drop	drop
droplet	droplet
dropout	אויסווארף
dropper	דראַפּער
drought	טריקעניש
drove	NO TRANSLATION
drown	drown
drowsiness	דראַוזינאַס
drowsy	דראַוזי
drudgery	drudgery
drug	מעדיצין
drug dealing	מעדיצין דילינג
drugged	דרוגגעד
druggist	דרוגגערס
drugs	דרוגס
drugstore	אַפּטייק
druid	דרויד
drum	פּויק
drummer	דראַמער
drumming	דראַמינג
drunk	געטרונקען
drunk driving	שיקער דרייווינג
drunkard	שיקער
drunken	שיכור
drunkenness	שיכרות
dry	טרוקן
dryer	דרייער
dryness	טרוקן
dual	צווייענדיק
dualism	dualism
duality	duality
dub	dub
dubious	dubious
duchess	דוטשעסס
duck	קאַטשקע
ducking	ducking
duckling	duckling
ducky	ducky
duct	דאַקט
ductile	דאַקטאַל
dud	dud
dude	דוד
duds	דודס
due	רעכט
duel	דועל
dues	dues
duet	דועט
duffel	duffel
dugout	dugout
duh	duh
duke	גריי
dull	נודנע
dullard	dullard
dumb	שטום
dumbasses	dumbasses
dumbbell	האַנטעל
dumbbitch	NO TRANSLATION
dumfound	דומפאָונד
dumfounder	NO TRANSLATION
dummy	דאַמי
dump	דאַמפּ
dumpling	דאַמפּלינגז
dumps	דאַמפּס
dumpster	דאַמפּסטער
dun	dun
dunce	dunce
dune	dune
dung	NO TRANSLATION
dungeon	דאַנדזשאַן
dunk	דונק
duo	דואָ
dupe	דופּע
duplex	דופּלעקס
duplicate	duplicate
duplication	duplication
duplicity	דופּליקאַט
durability	געווער
durable	דוראַבאַל
duration	duration
duress	duress
dusk	dusk
dusky	דוסקי
dust	שטויב
duster	דאַסטער
dustpan	dustpan
dusty	שטויביק
dutiful	דוטיפיק
duty	פליכט
dwarf	dwarf
dwarfed	dwarfed
dweeb	טאָמיד
dwell	וווינען
dweller	דוועלערז
dwelling	וווינונג
dye	פאַרב
dying	dying
dyke	דיקע
dynamic	דינאַמיש
dynamical	דינאַמיש
dynamics	דינאַמיק
dynamite	דיינאַמייט
dynamo	דינאַמאָ
dynasty	דינאַסטיע
dysentery	דיזענטעריע
dysfunction	דיספאַנגקשאַן
dysfunctional	דיספאַנגקשאַנאַל
dyspepsia	דיספּעפּסיאַ
eager	לאָעט
eagerness	שנאה
eagle	אָדלער
ear	אויער
earful	earful
earl	ערל
earlier	פריער
early	פרי
earn	פאַרדינען
earnest	ערנסט
earnestly	שטארק
earnestness	ערנסטקייט
earnings	פאַרדינסט
earpiece	earpiece
earring	וירינגל
earrings	ירינגז
earshot	אויערן
earth	ערד
earthenware	עאַרטהענוואַרע
earthling	עאַרטהלינג
earthly	earthly
earthquake	ערדציטערניש
earthy	ערד
ease	גרינג
easel	מאָלבערט
easement	יזמאַנט
easily	לייכט
east	מזרח
eastbound	מזרח
eastern	מזרח
easy	גרינג
easygoing	גרינג
eat	עסן
eater	יטער
eating	עסן
eatingdisorders	NO TRANSLATION
eavesdrop	eavesdrop
eavesdropping	eavesdropping
ebb	ebb
ebony	עבאַני
ebullient	ebullient
eccentric	עקסצענטריש
eccentricity	עקסענטריסיטי
ecclesiastical	עקקלעסיאַסטיקאַל
echelon	echelon
echinacea	echinacea
echo	echo
eclectic	עקלעקטיק
eclipse	אַקליפּס
ecliptic	ecliptic
ecological	עקאַלאַדזשיקאַל
economic	עקאָנאָמיש
economical	עקאָנאָמיש
economics	עקאָנאָמיק
economy	economy
ecosystem	יקאָוסיסטאַם
ecstasy	עקסטאַסי
ecstatic	עקסטאַטיק
ecumenical	עקומעניקאַל
eddy	עדי
edema	עדעמאַ
edge	edge
edging	edging
edgy	עדי
edible	עסן
edict	edict
edification	עדיפיקאַטיאָן
edifice	געבילדעטער
edit	רעדאַגירן
editing	עדיטינג
edition	edition
editor	רעדאַקטאָר
editorial	editorial
educate	דערציען
educated	געבילדעט
education	בילדונג
educational	בילדונגקרייז
educator	עדוקאַטאָר
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	על
eerie	ירי
effect	ווירקונג
effective	עפעקטיוו
effectiveness	עפעקטיווקייַט
effects	יפעקס
effectual	עפעקטיוו
effectually	יפעקטיוולי
effectuate	דורכפירן
effeminate	עפעקטיוו
efficacious	עפעקטיוו
efficacy	עפיקאַסי
efficiency	עפעקטיווקייַט
efficient	עפעקטיוו
effigy	ווירקונג
effort	מי
effortless	עפעקטיוו
effusion	עפפוסיאָן
effyou	NO TRANSLATION
egg	יי
egghead	עגהעאַד
eggnog	eggnog
eggplant	פּאַטלעזשאַן
eggshell	eggshell
ego	איך
egomaniac	egomaniac
egotistical	עגאָטיסטיש
egregious	עגרעגיאָוס
egress	יגזיסץ
eight	אַכט
eighteen	אַכצן
eighth	אַכט
eighty	80
ejaculate	ejaculate
ejaculation	ידזשאַקיוליישאַן
eject	אַרויסרופן
ejection	אַרויסוואַרף
elaborate	פּראָטים
elaboration	elaboration
elan	NO TRANSLATION
elapse	עלאַפּס
elapsed	elapsed
elastic	גומע
elasticity	עלאַסטיסיטי
elated	עלאַטעד
elation	עלאַטיאָן
elbow	עלנבויגן
eld	עלד
elder	עלטער
elderly	עלטערע
elders	עלטערן
eldest	עלדאַסט
elect	אויסדערוויילטע
election	וואַלן
elective	עלעקטיוו
elector	עלעקטאָר
electoral	עלעקטאָראַל
electorate	עלעקטאָראַט
electric	עלעקטריש
electric slide	עלעקטריש רוק
electrical	עלעקטריקאַל
electrician	ילעקטרישאַן
electricity	עלעקטריק
electrify	עלעקטריפיצירן
electrocute	עלעקטראָקוטע
electrocution	electrocution
electromagnetic	ילעקטראָומאַגנעטיק
electron	עלעקטראָן
electronic	עלעקטראָניש
electronics	עלעקטראָניק
elegance	עלעגאַנסע
elegant	עלעגאַנט
element	element
elemental	עלעמענטאַל
elementary	עלעמענטאַר
elements	עלעמענטן
elephant	עלעפאַנט
elevate	ופהייבן
elevated	elevated
elevation	elevation
elevator	ליפט
eleven	עלף
eleventh	עלנט
elf	עלף
elicit	עליט
eligible	eligible
eliminate	עלימינירן
elimination	עלימינירן
elite	עליט
elitist	עליטיסט
elixir	עליקסיר
elk	עלק
ell	על
ellipse	יליפּס
ellipsis	עלליפּסיס
ellipsoid	עלליפּסאָיד
elliptic	עלליפּטיק
elliptical	יליפּטיקאַל
elm	עלם
elongate	לאַנג
elongation	ילאָנגגיישאַן
elope	עלאָפּ
eloquence	עלאַקוואַנס
eloquent	עלאַקוואַנט
elucidate	elucidate
elucidation	עלוסידאַטיאָן
elude	עלד
elusive	ילוסיוו
emaciated	ויסמעסטונג
email	email
emanate	עמאַנייט
emancipation	עמאנציפאציע
embankment	עמבאַנגקמאַנט
embargo	NO TRANSLATION
embark	embark
embarrass	ויסמיידן
embarrassed	שעמענדיג
embarrassing	ימבעראַסינג
embarrassment	ימבעראַסינג
embassy	אַמבאַסאַדע
embattled	עמבאַטאַלד
embed	עמבעד
embellish	embellish
embellishment	עמבעלישמאַנט
embers	עמבערס
embezzlement	ויסגעמוטשעט
embezzler	embezzler
emblem	emblem
emblematic	emblematic
embodiment	ויסמאָלונג
embolism	עמבאָוליזאַם
embossed	עמבאָססעד
embrace	אַרומנעמען
embroidered	עמברוידערד
embroidery	האַפט
embroiled	עמברייד
embryo	embryo
embryonic	embryonic
emcee	emcee
emerald	שמאַראַגד
emerge	emerge
emergence	emergence
emergency	נויטפאַל
emeritus	emeritus
emery	emery
emetophobia	NO TRANSLATION
emigrate	עמיגרירן
emigration	עמיגראַטיאָן
eminence	eminence
eminent	ויסגעצייכנט
eminently	eminently
emir	NO TRANSLATION
emissary	emissary
emission	ימישאַן
emit	אַרויסלאָזן
emo	עמאָ
emotion	עמאָציע
emotional	עמאָציאָנעל
emotive	עמאָטיווע
empathic	עמפּאַטהיק
empathize	עמפּאַטייז
empathy	עמפּאַטי
emperor	קייסער
emphasis	טראָץ
emphasize	ונטערשטרייַכן
emphatic	עמפאַטיק
emphysema	עמפיסעמאַ
empire	אימפעריע
empirical	עמפּיריקאַל
empiricism	עמפּריקיסם
employ	אָנשטעלן
employee	אָנגעשטעלטער
employer	באַלעבאָס
employment	באַשעפטיקונג
emporium	עמפּאָריום
empower	empower
empress	עמפּרעסס
emptiness	עמפּטינאַס
emption	עמפּטיאָן
empty	ליידיק
emu	emu
emulate	עמיאַלייט
emulsion	עמולסיאָן
enable	געבן
enablement	enablement
enact	ענאַקט
enactment	ענאַקטמאַנט
enamel	ינאַמאַל
encampment	ינקאַמפּמאַנד
enchant	ענטשאַנטעד
enchanted	ענטשאַנטעד
enchanting	ענטשאַנטינג
enchantment	ענטשאַנטמענט
enchantress	ענטשאַנטרעסס
enchilada	enchilada
encircle	encircle
encircling	ינסעקקלינג
enclave	Enclave
enclose	אַרייַננעמען
enclosure	אָפּצוימונג
encode	encode
encomiastic	NO TRANSLATION
encomium	ענקאָמיום
encompass	ענקאַמפּאַס
encore	NO TRANSLATION
encounter	טרעפן
encourage	מוטיקן
encouraged	ינקעראַדזשד
encouragement	ענקערידזשמאַנט
encouraging	ענקערידזשינג
encroach	ינקראָוטש
encroachment	ענקריפּשאַן
encrypt	ענקריפּט
encryption	ענקריפּשאַן
encumbrance	encumbrance
encyclopedia	ענציקלאָפּעדיע
end	סוף
end table	ענדע טיש
endanger	ענדיינדזשער
endangered	ענדיינדזשערד
endangerment	endangerment
endearing	endearing
endeavor	ןעמעלבאר
ended	ended
endemic	endemic
endgame	endgame
ending	ending
endless	אָנ אַ סאָף
endocarditis	endocarditis
endorse	ענדערן
endorsement	ענדאָרסמאַנט
endow	ענד
endowed	ענדאָוועד
endowment	endowment
endpapers	endpapers
endpoint	endpoint
endurance	ענדוראַנסע
endure	פאַרטראָגן
enduring	ענדיורינג
enema	ענעמאַ
enemy	פייַנט
energetic	ענערגעטיק
energize	ענערדזשייז
energy	ענערגיע
enforce	דורכפירן
enforcement	ענפאָרסמאַנט
enforcer	ענפאָרסער
engage	דינגען
engaged	פאַרקנאַסט
engagement	engagement
engaging	ענגיידזשינג
engender	ענגער
engine	מאָטאָר
engineer	ענדזשאַנירז
engineering	אינזשעניריע
engrave	ינגרייוו
engraved	ינגרייווד
engraver	engraver
engraving	engraving
engrossed	ינגרייווד
engrossing	engrossing
engulf	ינגאלף
enhance	enhance
enhancement	בעסער מאכען
enigma	enigma
enigmatic	עניגמאַטיק
enjoin	ענדזשויד
enjoy	enjoy
enjoyable	enjoyable
enjoying	enjoying
enjoyment	enjoyment
enlarge	פאַרגרעסערן
enlarged	enlarged
enlargement	enlargement
enlighten	ענלייטאַן
enlightened	אויפגעקלערטע
enlightening	ינלייטאַן
enlightenment	אויפקלערונג
enlist	enlist
enliven	ענלעכקייט
enmity	ענמאַטי
ennui	ennui
enormity	enormity
enormous	enormous
enormously	enormously
enraged	ינריידזשד
enrich	באַרייַכערן
enroll	פאַרשרייַבן
enrollment	ענראָולמאַנט
ensemble	ensemble
ensign	ensign
enslave	ענסלייוו
enslaved	ענסלייווד
enslavement	enslavement
ensue	ינסו
ensure	מאך זיכער
entail	אַרייַנגערעכנט
entangled	entangled
entanglement	entanglement
enter	אַרייַן
enterprise	פאַרנעמונג
enterprising	ענערפּרייזינג
entertain	פאַרווייַלן
entertained	ענטערטיינד
entertainer	entertainer
entertaining	פֿאַרוויילערישע
entertainment	פאַרווייַלונג
enthralled	enthralled
enthusiasm	ענטוזיאַזם
enthusiast	ענטוזיאַסט
enthusiastic	enthusiastic
entice	ינטייס
entire	גאַנץ
entirety	גאַנץ
entitle	ענטייטאַלד
entity	ענטיטי
entomology	ענטאָמאָלאָגי
entourage	אַנטעראַזש
entrails	ינטראַלז
entrance	entrance
entrapment	ינטראַפּמאַנט
entreat	ענטרע
entree	ענטרע
entrepreneur	אַנטראַפּראַנער
entrust	ענטראַסט
entry	פּאָזיציע
enumerate	enumerate
enumeration	enumeration
envelope	קאָנווערט
envious	envious
environ	NO TRANSLATION
environment	סביבה
environmental	environmental
environs	environs
envision	envision
envoy	envoy
envy	מעקאַנע
enzyme	ענזיים
ephemeral	יפעמעראַל
ephemeris	ephemeris
epic	עפּאָס
epidemic	עפּידעמיע
epidermis	epidermis
epidural	epidural
epilepsy	עפּילעפּסי
epileptic	עפּילעפּטיק
epilogue	עפּילאָגוע
epiphany	עפּיפאַני
episcopal	episcopal
episode	עפּיזאָד
episodic	עפּיזאָד
epistle	epistle
epitaph	עפּיטאַף
epithet	עפּיטהעט
epitome	יפּיטאַמי
epoch	epoch
equal	גלייַך
equality	equality
equalization	equalization
equalize	equalize
equalizer	equalizer
equally	גלייַך
equate	equate
equation	יקווייזשאַן
equator	equator
equatorial	עקוואַטאָריאַל
equestrian	עקוועסטריאַן
equidistant	equidistant
equilibration	equilibration
equilibrium	equilibrium
equip	עקוויפּ
equipment	ויסריכט
equitable	פּונקט
equity	equity
equivalence	equivalence
equivalent	עקוויוואַלענט
equivocal	equivocal
era	יאָר
eradicate	יראַדאַקייט
eradication	eradication
erase	erase
eraser	גליידער
erasure	לייזונג
ere	NO TRANSLATION
erect	גלייַך
erectile	ערעקטילע
erection	ירעקשאַן
ergo	NO TRANSLATION
erode	erode
erosion	יראָוזשאַן
erotic	עראָטיש
erotica	עראָטיקאַ
err	err
errand	מאַך
errant	ערעוו
erratic	erratic
erratum	הצלחה
erroneous	erroneous
error	error
erst	NO TRANSLATION
erudite	רעדן
erupt	ויסברעכן
eruption	ויסבראָך
escalade	עסקאַלאַדע
escalate	עסקאַלייט
escalating	עסקאַלייטינג
escalation	עסקאַלירונג
escalator	עסקאַלאַטאָר
escape	אַנטלויפן
escaped	אנטרונען
escarpment	escarpment
eschew	eschew
escort	באַגלייטן
escrow	escrow
esophagus	עסאָפאַגוס
esoteric	עסאָטעריק
especial	NO TRANSLATION
espionage	espionage
espouse	espouse
espresso	עספּרעסאָ
esprit	esprit
esquire	דאַוונען
essay	עסיי
essayist	עסייסט
essence	עסאַנס
essential	יקערדיק
essentially	יסענשאַלי
establish	פאַרלייגן
established	established
establishment	establishment
estate	estate
esteem	געדויערן
esteemed	עסטימעד
esthetic	עסטעטיש
estimable	עסטימאַטעד
estimate	estimates
estimation	estimation
estoppel	עסטאָפּפּעל
estranged	estranged
estrogen	עסטראָגען
estuary	estuary
etch	עטש
etching	עטשינג
eternal	אייביק
eternity	אייביקייט
ethanol	עטאַנאָל
ether	יטער
ethereal	אָוטערס
ethic	עטיק
ethical	עטישע
ethics	עטיקס
ethnic	עטניק
ethnography	עטנאָגראַפי
etiology	עטיאָלאָגי
