Word	fy
deceit	ferrifelje
deceitful	ferrifelje
deceive	ferrifelje
deceived	ferrifield
deceiving	ferrifelje
december	desimber
decency	fatsoen
decent	fatsoenlik
deception	ferlies
deceptive	ferrifelje
decide	beslute
decidedly	beslút
deciduous	lekkerich
decimal	desimale
decimeter	decimeter
decipher	decipher
decision	beslút
decisive	decisyf
deck	dek
declaration	ferklearring
declaratory	ferklearring
declare	ferklearje
declination	ferklearring
decline	ferminderje
declining	ôfnimme
deco	deco
decode	decode
decoder	decoder
decompose	ûntbrekke
decomposed	ûntwikkele
decomposition	dekompensaasje
decompress	dekomprimearje
decompression	dekompresje
decontamination	decontamination
decor	dekor
decorate	dekorearje
decorating	dekorearje
decoration	dekoraasje
decorative	dekoratyf
decorator	decorator
decorum	decorum
decoy	decoy
decrease	ferminderje
decreased	fermindere
decreasing	ôfnimme
decree	beslút
decrement	fermindering
decrepit	decrepit
decry	decry
decryption	decryption
dedicate	besykje
dedication	opdracht
deduce	útfiere
deduct	ôfwikselje
deductible	ôfwikend
deduction	deduction
deed	die
deejay	deejay
deem	Wetter - Agrarwetter
deep	djip
deepen	ferdjipje
deer	hart
defamation	defamaasje
defamatory	defamatory
default	standert
defeat	ferslaan
defeated	ferset
defeatist	fersetist
defect	defekt
defection	fersnelling
defective	defekt
defector	defekt
defend	ferdigenje
defendant	foarroppene
defended	ferdigenje
defender	defender
defending	ferdigenjen
defense	definsje
defenseless	defenslos
defensible	ferdigenjen
defensive	definsyf
defer	ôfbrekke
deference	ôfwike
deferral	ôfbrekke
deferring	ôfbrekke
defiance	ferset
defiant	tsjinkomme
defibrillator	defibrillator
deficiency	definysje
deficient	fermindere
deficit	tekoart
define	definiearje
defined	definiearre
definite	definityf
definition	definysje
definitive	definityf
deflate	ôfbrekke
deflation	deflation
deflect	ôfbrekke
deflection	ferdieling
defloration	defloaring
deform	ferfoarme
deformed	ferwurde
deformity	deformiteit
defraud	ferrifelje
defray	ôfbrekke
defrost	ôfbrekke
deft	djip
defunct	ferdoarn
defuse	ûntbrekke
defy	defyzje
degeneracy	degeneraasje
degenerate	degenerate
degeneration	degeneraasje
degradation	degradaasje
degrade	degradearje
degraded	degradearre
degrading	ôfbraak
degree	graad
dehydrated	dehydratisearre
dehydration	dehydratisearring
dejected	ferwûnen
delay	ferfal
delayed	ferlies
delectable	dútsk
delegate	delegearre
delegation	delegaasje
delete	wiskje
deleterious	geweldich
deletion	wiskje
deli	deli
deliberate	ôfwike
deliberation	oerlis
deliberative	deliberatyf
delicacy	delikatesse
delicate	delikaat
delicatessen	delikatessen
delicious	hearlik
delight	freugde
delighted	freugde
delightful	fruchtber
delineate	besjen
delineation	delineaasje
delinquency	delinquency
delinquent	delinquint
delirious	geweldich
delirium	delirium
deliver	leverje
deliverance	ferlossing
delivery	befalling
dell	dell
delta	delta
delude	delude
deluge	deluge
delusion	delusion
delusional	wierskynlik
deluxe	deluxe
delve	delve
demand	eask
demanding	frege
demeaned	ferwûne
demeaning	demeaning
demeanor	demeanor
demented	dementearre
dementia	dementia
demise	ôfbrekke
demo	demo
democracy	demokrasy
democrat	demokraat
democratic	demokratysk
demographic	demografysk
demolish	ôfbrekke
demolished	ôfbraak
demolition	ôfbraak
demon	demon
demonic	demonysk
demonstrable	demonstrable
demonstrate	demonstrearje
demonstrated	demonstrearre
demonstrating	demonstraasje
demonstration	demonstraasje
demonstrative	demonstraasje
demonstrator	Demonstrator
demoralized	demoralisearre
demos	demos
demure	ferwege
den	NO TRANSLATION
deniability	ferbeanberens
denial	ûntkenning
denied	wegere
denim	denim
denomination	denominaasje
denominational	denominational
denominator	denominator
denote	neamd
denounce	tsjinje
dense	ticht
density	tichtens
dent	dûns
dental	dental
dentist	toskedokter
dentistry	dentistry
dentists	dentisten
denunciation	Denominaasje
deny	ûntkenne
denying	wegere
deodorant	deodorant
depart	fuort
departed	gien
department	departemint
departmental	ôfdieling
departure	ôfreizgje
depend	ôfhinklik
dependable	ferrassend
dependant	ôfhinklik
dependence	ôfhinklikens
dependency	ôfhinklikheid
dependent	ôfhinklik
depict	ôfbyldzje
depicting	ôfbylding
depletion	ferplichting
deplorable	lekkerber
deplore	ôfbrekke
deploy	deploy
deployment	ynset
deport	deportearje
deportation	deportaasje
depose	ôfjaan
deposit	boarch
depositary	depositary
deposition	ôfsluting
depository	depository
depot	depot
depraved	ferwûnen
depravity	ôfwikseling
depreciate	ôfwike
depreciated	ôfskaft
depreciation	ôfskriuwing
depress	depressie
depressed	deprimearre
depressing	drukke
depression	depresje
depressive	depressyf
depresson	NO TRANSLATION
deprivation	deprivaasje
deprive	ôfbrekke
deprived	ferwûne
depth	djipte
deputy	deputearre
derail	derail
deranged	deranged
derelict	fertsjinje
derision	deris
derivation	derivaasje
derivative	derivative
derive	ûntliend
dermal	dermal
dermatologist	dermatolooch
dermatology	dermatology
derogation	derogaasje
derogatory	ôfwikend
descend	stean
descendant	neikommeling
descendent	NO TRANSLATION
descending	ôfstân
descent	ôfstamming
describe	beskriuwe
description	beskriuwing
descriptive	beskriuwend
desecrate	fertsjinje
desecration	ferneatiging
desert	woastyn
deserted	deserted
deserter	deserter
desertion	ôfstân
deserve	fertsjinje
deserved	fertsjinne
deserving	fertsjinje
design	ûntwerp
designate	oanwiisd
designated	oanwiisd
designation	oantsjutting
designed	ûntwikkele
designer	ûntwerper
designing	ûntwerp
desirability	winsklikheid
desirable	winsklik
desire	begearen
desiring	winsklik
desirous	ferwûnderje
desist	desist
desk	buro
desolate	ôfbrekke
desolation	desolaasje
despair	ferachting
despairing	ferachting
despatch	ôfbrekke
desperado	desperado
desperate	fertsjinje
desperation	ferwûning
despicable	ferbean
despise	ferachtsje
despondent	ferrifelje
despotic	despotic
despotism	despotisme
dessert	dessert
destination	bestimming
destined	fêststeld
destiny	lot
destitute	destitute
destroy	ferbrekke
destroyed	ferwoaste
destroyer	ferdjer
destroying	ferwoaste
destruct	destruktuer
destruction	ferneatiging
destructive	destruktyf
detach	ôfbrekke
detached	ôfstân
detachment	detachment
detail	detail
detailed	detaillearre
details	details
detain	befêstigje
detainee	detainee
detect	ûntdekke
detectable	erkennbar
detection	ûntdekking
detective	detektive
detector	detector
detention	opsluting
deter	ôfwike
detergent	reiniger
deteriorate	ferminderje
deteriorated	fersmoarge
deteriorating	ferdieling
deterioration	fersmoarging
determinable	bepalend
determinate	fêststelle
determination	determination
determine	beslute
determined	beret
deterrent	ôfhinklik
detest	ferrifelje
detestation	ferhúzje
detonate	detonearje
detonation	detonaasje
detonator	detonator
detour	omwei
detract	driigje
detriment	ferdieling
detrimental	slimme
detritus	detritus
deuce	ûntbrekke
deutschmark	deutschmark
devalued	devaluearre
devastate	ferwoaste
devastated	devastated
devastating	fergriemd
devastation	devastaasje
develop	ûntwikkelje
developer	ûntwikkelder
developing	ûntwikkelje
development	ûntwikkeling
deviant	ôfwike
deviate	ôfwike
deviating	ôfwikend
deviation	ôfwiking
device	apparaat
devil	duvel
deviled	dûkte
devilish	tûk
devious	ôfwike
devise	ûntwerpe
devoid	ûntbrekke
devolution	devolúsje
devolve	devolve
devote	besette
devoted	oanwêzich
devotee	devotee
devotion	tawijing
devotional	devotional
devour	ferslaving
devout	devout
dew	dauwe
dexter	dexter
dexterity	driuwende
dextrose	dextrose
diabetes	sûkersykte
diabetic	diabetyk
diabolical	diabolisch
diagnose	diagnose
diagnosis	diagnoaze
diagnostic	diagnostysk
diagnostics	diagnostyk
diagonal	diagonaal
diagram	diagram
dial	dial
dialect	dialekt
dialectic	dialektyk
dialogue	dialooch
dialysis	dialysis
diameter	diameter
diamond	diamant
diamonds	diamanten
diaper	ruft
diaphragm	diaphragm
diarrhea	diarree
diarrhoea	diarree
diary	deiboek
diatribe	diatribe
dib	NO TRANSLATION
dibs	dibs
dice	dice
dicey	dicey
dichotomous	dichotomous
dichotomy	dichotomy
dick	dick
dickhead	dickhead
dicks	diken
dictate	diktearje
dictation	diktaasje
dictator	diktator
dictatorial	diktatorysk
dictatorship	Diktatuer
diction	diction
dictionary	wurdboek
dictum	NO TRANSLATION
didactic	didaktysk
diddle	diddle
die	NO TRANSLATION
died	ferstoarn
diesel	diesel
diet	dieet
dietary	diary
differ	ferskille
difference	ferskil
differences	ferskillen
different	ferskillend
differential	differinsjaal
differentiation	ûnderskieding
differently	oars
differing	ferskille
difficult	dreech
difficulties	swierrichheden
difficulty	swierrichheid
diffuse	diffuse
diffusion	diffusion
dig	NO TRANSLATION
digest	digest
digestion	digestion
digestive	digestive
digit	digit
digital	digitaal
dignified	weardich
dignify	dignify
dignity	weardichheid
digress	ôfbrekke
digs	NO TRANSLATION
dike	dike
dilapidated	ferwûne
dilatation	dilataasje
dilation	dilation
dildo	dildo
dilemma	dilemma
diligence	iver
diligent	fleurich
dill	dill
diluent	diluent
dilute	ferwiderje
diluted	ferwiderje
dilution	ferwidering
dim	dim
dime	dime
dimension	diminsje
dimensional	dimensional
diminish	ferminderje
diminished	fermindere
diminution	fermindering
diminutive	ferminderje
dimwit	dimwit
din	NO TRANSLATION
dine	dine
diner	diner
dinghy	dinghy
dingo	dingo
dingy	dingy
dining	dining
dinky	dinky
dinner	iten
dinnertime	itenstiid
dinosaur	dinosaurus
dint	dint
diocesan	dioseeske
diocese	Dioseske
diorama	diorama
dioxide	dioxide
dip	dip
diploma	diploma
diplomacy	diplomaat
diplomat	diplomaat
diplomatic	diplomaat
dipper	dipper
dippy	dippy
dipstick	dipstick
dire	NO TRANSLATION
direct	direkt
directed	rjochte
direction	rjochting
directive	direkteur
directly	direkt
director	direkteur
directory	directory
dirt	smoargens
dirty	smoarch
disability	ynvaliditeit
disable	útskeakelje
disabled	ynvalide
disadvantage	neidiel
disaffected	disaffected
disagree	net iens
disagreeable	geweldich
disagreeing	net iens
disagreement	Ungelokens
disallow	ôfbrekke
disallowed	ûntslein
disapointment	NO TRANSLATION
disappear	ferdwine
disappearance	ferdwining
disappearing	ferdwine
disappoint	ûntbrekke
disappointed	teloarsteld
disappointing	teloarstellend
disappointment	teloarstelling
disapproval	disapproval
disapprove	ôfbrekke
disapproved	ûntslein
disapproving	ôfwikend
disarm	disarm
disarray	ôfbrekke
disaster	ramp
disastrous	funest
disband	disband
disbelief	ûnleauw
disbelieve	ûnleauwe
disburse	ôfbrekke
disbursement	ôfbieding
disc	disk
discard	ferwiderje
discarded	ôfwike
discards	ûntslach
discern	erkennen
discernible	erkennbar
discerning	ynsjoch
discernment	discernment
discharge	ôfslach
disciple	dissipel
disciplinary	disiplinêr
discipline	dissipline
disciplined	disiplinearre
disclaim	disclaim
disclaimer	disclaimer
disclose	bekend meitsje
disclosed	disclosed
disclosure	disclosure
disco	disco
discoloration	ferfroulingen
discolored	ferfalt
discomfort	discomfort
disconcerted	besmette
disconcerting	misbrûk
disconnect	ôfskiede
disconnected	ôfsluten
disconnection	ôfsluting
disconnects	ôfsknept
discontent	Untstean
discontinuance	diskontinuaasje
discontinue	stopje
discontinuity	diskontinuiteit
discontinuous	diskontinuist
discord	Ungelok
discount	koarting
discounted	redendearre
discourage	ûntmunt
discouraged	ûntmoedige
discouragement	ûntrou
discouraging	ûntkrêftigje
discourse	diskusje
discover	ûntdekke
discovery	ûntdekking
discredit	diskredyt
discredited	diskredyt
discreet	NO TRANSLATION
discrepancy	diskrepânsje
discrete	diskrete
discretion	diskretion
discretionary	diskriminaasje
discriminate	diskriminearje
discriminating	diskriminearjend
discrimination	diskriminaasje
discus	diskusje
discuss	diskusjearje
discussion	diskusje
disdain	ferfalle
disdainful	ûngeduldich
disease	sykte
diseased	sykte
disembodied	disembodied
disengage	ûntbrekke
disengagement	disengagement
disfigured	disfigured
disgrace	skande
disgraced	ôfgryslik
disgraceful	skamje
disgruntled	disgruntled
disguise	fergriemje
disguised	ferkocht
disgust	wearze
disgusted	ôfgryslik
disgusting	ôfgryslik
dish	plat
disheartened	ferwûnen
disheartening	ûnrjocht
dishonest	ûnearlik
dishonesty	ûnwittendheid
dishonor	Wetter - Agrarwetter
dishonorable	ûnskuldich
dishwasher	ôfwaskmasjine
disillusionment	disillusionment
disinclination	disinclination
disincline	disline
disinclined	disinclined
disinfect	disinfect
disinfectant	disinfektant
disinfection	disinfection
disinformation	disinformation
disingenuous	ûntbrekt
disintegrate	ûntbrekke
disintegration	disintegration
disinterested	disinterested
disjoint	disjoint
disjointed	disjointed
disjunctive	disjunktyf
disk	skiif
diskette	diskette
dislike	ôfwike
disliked	ferdwûn
disliking	ferdwine
dislocated	dislocated
dislocation	dislokaasje
dislodge	dislodge
disloyal	disloyal
disloyalty	disloyalty
dismal	geweldich
dismantle	ôfbrekke
dismay	ferrassing
dismayed	ferwûne
dismemberment	fersmoarging
dismiss	ôfreizgje
dismissal	ûntslach
dismissive	ôfwikend
dismount	ôfbrekke
disobedience	disobedience
disobedient	disobedient
disobey	disobey
disorder	disoarder
disordered	ûnregelmjittich
disorderly	disorderly
disorganized	disorganized
disorientation	disorientaasje
disoriented	disorientearre
disown	ôfwike
disparage	ferdwine
disparaging	disparaging
disparate	ferskille
disparity	disparity
dispassionate	dispassionate
dispatch	ferfange
dispatcher	dispatcher
dispel	disel
dispensary	dispensary
dispensation	dispensaasje
dispense	ûntbrekke
dispenser	dispenser
dispersal	dispersieel
disperse	disperse
dispersed	dispersearre
dispersion	dispersion
dispirited	ferwiderje
displace	ferwiderje
displaced	ferpletterje
displacement	ferpleatst
displacency	displacency
display	skerm
displease	ferdwine
displeased	fereale
displeasure	displeasure
disposable	disposabel
disposal	Wetter - Agrarwetter
dispose	dispose
disposed	Wetter - Agrarwetter
disposition	disposysje
dispossessed	útstapke
disprove	fersprate
dispute	diskusje
disqualification	disqualifikaasje
disqualified	disqualified
disqualify	disqualify
disquieted	ferwûne
disregard	ôfwike
disregarded	net oardere
disrelish	ferdylgje
disreputable	ûnreputabele
disrepute	disrepute
disrespect	disrespect
disrespectful	disrespectful
disrupt	ôfbrekke
disrupting	ôfbrekke
disruption	disruption
disruptive	ferbrekke
dissatisfaction	Unbefrediging
dissatisfied	net tefreden
dissect	dissect
dissection	dissection
disseminate	ferbrekke
dissemination	fersprieding
dissension	dissension
dissent	dissent
dissenting	dissenting
dissertation	dissertaasje
disservice	disservice
dissident	dissident
dissimilar	dissimilar
dissipate	ûntbrekke
dissipated	ferdwûn
dissociation	dissociation
dissociative	dissociative
dissolution	dissolution
dissolve	oplosse
dissonance	dissonance
dissuade	ôfbrekke
distal	distal
distance	ôfstân
distant	fier
distaste	distaste
distasteful	ferdoarn
distillate	distillate
distillation	destillaasje
distilled	distillearre
distinct	ûnderskiede
distinction	ûnderskied
distinctive	ûnderskiedend
distinguish	ûnderskiede
distinguishable	ûnderskiede
distinguished	ûnderskiede
distinguishing	ûnderskiede
distort	fersteurje
distorted	ferwurde
distortion	Ferfoarming
distract	distract
distracted	ôfwike
distracting	distraasje
distraction	distraction
distraught	distraught
distress	need
distressed	eangst
distressing	distressing
distribute	distribuearje
distribution	Distribúsje
distributor	distributor
district	distrikt
distrust	mistrouwen
disturb	stjerre
disturbance	stoarm
disturbed	fersteurde
disturbing	fersteure
disuse	net brûke
disused	disuse
ditch	sleat
ditto	ditto
ditty	ditty
diurnal	tydlik
diva	diva
divan	NO TRANSLATION
dive	dûke
diver	diver
diverge	diverge
divergence	divergenheid
divergent	divergent
diverging	divergen
divers	diversen
diverse	ferskillend
diversified	diversified
diversify	diversify
diversion	ôfwikseling
diversionary	diversionary
diversity	ferskaat
divert	ôfbrekke
diverting	ferdwine
divest	fertsjinje
divested	ôfwiksele
divestment	ferkeap
divide	ferdiele
divided	ferdield
dividend	dividend
divination	divyzje
divine	godlik
divinity	divinaasje
divisible	te dielen
division	ferdieling
divisor	divisor
divorce	skieding
divorcee	skiede
divulge	fertel
divvy	divyzje
dizziness	dizziness
dizzy	dizzy
do	dwaan
doable	docht
doc	doc
docile	docile
dock	dock
docked	docked
docket	dûke
docking	docking
doctor	dokter
doctorate	doktoraat
doctrinal	doctrinal
doctrine	doctrine
document	dokumint
documentary	dokumintêre
documentation	dokumintaasje
documents	dokuminten
dodge	Dodge
dodger	dodger
dodging	dodging
dodgy	dodgy
dodo	dodo
doe	doe
doer	doer
dog	hûn
dogface	dogface
dogged	dogged
doggy	doggy
doghouse	doghouse
dogma	dogma
dogmatic	dogmatysk
dogsick	NO TRANSLATION
doings	doings
doit	NO TRANSLATION
dojo	dojo
doldrums	doldrums
dole	dole
doll	pop
dollar	dollar
dollhouse	dollhouse
dolor	NO TRANSLATION
dolphin	dolfyn
domain	domein
dome	dome
domestic	húshâldlik
domesticated	domestyk
domestication	domestication
domicile	domicile
domiciled	domiciled
dominance	dominânsje
dominant	dominant
dominate	dominje
dominating	dominante
domination	dominaasje
dominatrix	dominatrix
dominion	dominaasje
domino	domino
don	don
donate	jouwe
donation	donaasje
donkey	ezel
donor	donor
dontlikeyou	NO TRANSLATION
dontmess	NO TRANSLATION
dontmesswithme	dontmesswithme
dontpanic	gjin panyk
dontunderstand	NO TRANSLATION
doodle	doodle
doom	doom
doomed	ferwûne
doomsday	doomsday
door	doar
doorbell	doorbell
doorknob	doorknob
doorman	doorman
doormat	doormat
doornail	doornail
doorstep	doorstep
doorway	doorway
dopamine	dopamine
dope	dope
dopey	dopey
dork	dork
dorky	dorky
dorm	dorm
dormant	dormant
dormitory	dormitorium
dorsal	dorsal
dosage	dosage
dose	dose
dossier	dossier
dot	dot
doting	doting
dotted	dotted
dotty	dotty
double	dûbel
doubled	ferwachte
doublet	doublet
doubling	dûbeld
doubt	twivel
doubtful	twivel
doubting	twivelje
doubtless	geweldich
doubts	twifel
douche	douche
douchebags	douchebags
dough	daai
doughboy	doughboy
doughnut	donut
dour	dur
douse	douse
dove	do
down	omleech
downcast	Wetter - Agrarwetter
downer	downer
downfall	ferdoarn
downfield	downfield
downhearted	ferdoarn
downhill	downhill
download	download
downpour	ferdwine
downright	oprjocht
downriver	downriver
downside	neidiel
downtime	downtime
downward	nei ûnderen
downy	downy
dowry	dowry
doze	doze
dozen	dozen
drab	drab
draft	ûntwerp
drafty	drafty
drag	dragje
dragon	draak
dragonfly	dragonfly
drain	drain
drainage	drainage
drained	drained
draining	draining
drainpipe	drainpipe
drake	drake
drama	drama
dramaqueen	NO TRANSLATION
dramatic	dramatysk
drape	drape
drapery	drapery
drastic	drastysk
drat	NO TRANSLATION
draught	ûntwerp
draw	tekenje
drawback	tekoart
drawbridge	drawbridge
drawer	drawer
drawers	skuorre
drawing	tekening
dread	dread
dreaded	dreaded
dreadful	dreadful
dreadfully	dreadfully
dreading	dreading
dream	dream
dreamboat	dreamboat
dreamer	dreamer
dreaming	dreamen
dreamland	dreamland
dreams	dreamen
dreamt	dreamden
dreamy	dreamlike
dreary	dreary
dredge	dredge
drenched	dronken
dress	jurk
dresser	dresser
dressmaker	dressmaker
dressy	dressy
dribble	NO TRANSLATION
dried	droege
drier	drier
drift	drift
drifted	drifted
drifter	drifter
driftwood	driftwood
drill	drill
drink	drinke
drinker	drinker
drinking	drinke
drinks	dranken
drip	drip
dripping	drippen
drive	ride
drivel	drivel
driver	sjauffeur
driveway	oplieding
drizzle	heiter
droll	droll
drone	dronken
drones	dronken
drool	drool
drooping	drooping
droopy	droopy
drop	falle
droplet	droplet
dropout	útfalle
dropper	dropper
drought	droechte
drove	NO TRANSLATION
drown	dronken
drowsiness	drogens
drowsy	drôsy
drudgery	drudgery
drug	drug
drug dealing	drugshannel
drugged	drogen
druggist	druggist
drugs	drugs
drugstore	drogisterij
druid	druide
drum	drum
drummer	drummer
drumming	drumming
drunk	dronken
drunk driving	dronken fytsen
drunkard	dronken
drunken	dronken
drunkenness	dronkenheid
dry	droech
dryer	dryer
dryness	droegeheid
dual	dual
dualism	dualisme
duality	duality
dub	dub
dubious	dubieuze
duchess	dochter
duck	duck
ducking	ducking
duckling	duckling
ducky	ducky
duct	duct
ductile	duktile
dud	dud
dude	dude
duds	doden
due	Wetter - Agrarwetter
duel	duel
dues	dues
duet	duet
duffel	duffel
dugout	dugout
duh	duh
duke	duke
dull	dull
dullard	dullard
dumb	stom
dumbasses	dumbasses
dumbbell	dumbbell
dumbbitch	NO TRANSLATION
dumfound	dumfound
dumfounder	NO TRANSLATION
dummy	dummy
dump	dump
dumpling	dumpling
dumps	dumps
dumpster	dumpster
dun	dun
dunce	dunce
dune	dún
dung	NO TRANSLATION
dungeon	dungeon
dunk	dunk
duo	duo
dupe	dupe
duplex	duplex
duplicate	duplikaat
duplication	duplication
duplicity	duplijkheid
durability	duorsumens
durable	duorsume
duration	doer
duress	duress
dusk	dusk
dusky	dusky
dust	stof
duster	duster
dustpan	dustpan
dusty	stoffich
dutiful	dutiful
duty	plicht
dwarf	dwerch
dwarfed	dwarfed
dweeb	dweeb
dwell	wenje
dweller	dweller
dwelling	wenjen
dye	dye
dying	stjerre
dyke	dyke
dynamic	dynamysk
dynamical	dynamysk
dynamics	dynamyk
dynamite	dynamite
dynamo	dynamo
dynasty	dynasty
dysentery	dysentery
dysfunction	dysfunksje
dysfunctional	dysfunksjonele
dyspepsia	dyspepsia
eager	eager
eagerness	eager
eagle	earn
ear	ear
earful	earlik
earl	earl
earlier	earder
early	betiid
earn	fertsjinje
earnest	earmste
earnestly	earnstich
earnestness	earnstens
earnings	earnings
earpiece	earpiece
earring	earring
earrings	earrings
earshot	earshot
earth	ierde
earthenware	earthenware
earthling	earthling
earthly	ierdske
earthquake	ierdskodding
earthy	earthy
ease	gemak
easel	easel
easement	easman
easily	maklik
east	east
eastbound	eastbound
eastern	eastlik
easy	maklik
easygoing	giet maklik
eat	ite
eater	eater
eating	frette
eatingdisorders	NO TRANSLATION
eavesdrop	eavesdrop
eavesdropping	eavesdropping
ebb	ebb
ebony	ebony
ebullient	ebullient
eccentric	eccentric
eccentricity	eccentricity
ecclesiastical	tsjerklik
echelon	echelon
echinacea	echinacea
echo	echo
eclectic	eklektysk
eclipse	eklips
ecliptic	ekliptysk
ecological	ekologysk
economic	ekonomysk
economical	ekonomysk
economics	ekonomy
economy	ekonomy
ecosystem	ekosysteem
ecstasy	ekstasy
ecstatic	ekstatyske
ecumenical	ecumenisch
eddy	eddy
edema	Oedema
edge	râne
edging	ôfnimme
edgy	edgy
edible	earm
edict	edict
edification	edification
edifice	edifice
edit	bewurkje
editing	bewurkje seksje edit source
edition	edysje
editor	redakteur
editorial	redaksje
educate	educate
educated	edulearre
education	oplieding
educational	edukatyf
educator	educator
eeeek	NO TRANSLATION
eeek	NO TRANSLATION
eek	eek
eel	iel
eerie	eerie
effect	effekt
effective	effektyf
effectiveness	effektiviteit
effects	effekten
effectual	effektiv
effectually	effektyf
effectuate	effektive
effeminate	effeminate
efficacious	efficacious
efficacy	efficacy
efficiency	effisjinsje
efficient	effisjint
effigy	effigy
effort	ynspanning
effortless	mjitte
effusion	effusion
effyou	NO TRANSLATION
egg	aai
egghead	egghead
eggnog	eggnog
eggplant	eggplant
eggshell	eggshell
ego	ego
egomaniac	egomaniac
egotistical	egoïstysk
egregious	egregious
egress	eartiids
eight	acht
eighteen	achttjin
eighth	achtste
eighty	tachtich
ejaculate	ejaculate
ejaculation	ejakulation
eject	útjeare
ejection	útjeft
elaborate	omstannich
elaboration	elaboraasje
elan	NO TRANSLATION
elapse	litte
elapsed	ferlern gien
elastic	elastysk
elasticity	elastisite
elated	elated
elation	elation
elbow	earmtakke
eld	eld
elder	âldste
elderly	âlder
elders	âlden
eldest	âldste
elect	keazen
election	ferkiezing
elective	Wetter - Agrarwetter
elector	Elector
electoral	elektrysk
electorate	elektroanysk
electric	elektrysk
electric slide	elektryske slide
electrical	elektrysk
electrician	elektrysk
electricity	elektrisiteit
electrify	elektrisearje
electrocute	electrocute
electrocution	electrocution
electromagnetic	elektromagnetysk
electron	electron
electronic	elektroanysk
electronics	elektroanysk
elegance	elegânsje
elegant	elegant
element	elemint
elemental	elemental
elementary	elementêr
elements	eleminten
elephant	oaljefant
elevate	ferheegje
elevated	ferheven
elevation	ferheging
elevator	lift
eleven	alve
eleventh	alfde
elf	elf
elicit	útlizze
eligible	fermelde
eliminate	ferwiderje
elimination	eliminaasje
elite	elite
elitist	elitist
elixir	elixir
elk	elk
ell	ell
ellipse	ellipse
ellipsis	ellipsis
ellipsoid	ellipsoid
elliptic	elliptysk
elliptical	elliptysk
elm	elm
elongate	lengte
elongation	elongaasje
elope	elope
eloquence	eloquence
eloquent	eloquent
elucidate	elucidate
elucidation	elucidaasje
elude	elude
elusive	elusive
emaciated	ferhúzje
email	email
emanate	emanate
emancipation	emancipaasje
embankment	dûnsjen
embargo	NO TRANSLATION
embark	begjin
embarrass	fergriem
embarrassed	fergriemd
embarrassing	fergriemd
embarrassment	fergriem
embassy	ambassade
embattled	oanklaaid
embed	embed
embellish	skilderje
embellishment	fersiering
embers	earm
embezzlement	ferbean
embezzler	embezzler
emblem	embleem
emblematic	emblematysk
embodiment	oplieding
embolism	embolisme
embossed	geprobeerd
embrace	omearmje
embroidered	bestimd
embroidery	stôk
embroiled	groeven
embryo	embryo
embryonic	embryonysk
emcee	emcee
emerald	Smaragd
emerge	ferskine
emergence	ûntstean
emergency	emergency
emeritus	emeritus
emery	Wetter - Agrarwetter
emetophobia	emetofoby
emigrate	emigrearje
emigration	emigraasje
eminence	eminens
eminent	geweldich
eminently	earm
emir	NO TRANSLATION
emissary	emissary
emission	emisje
emit	emit
emo	emo
emotion	emoasje
emotional	emosjoneel
emotive	emoasje
empathic	empathysk
empathize	empathize
empathy	empaty
emperor	keizer
emphasis	klam
emphasize	ûnderstreekje
emphatic	emphatysk
emphysema	emphysema
empire	empire
empirical	empirysk
empiricism	empirysisme
employ	wurkjen
employee	meiwurker
employer	wurkjouwer
employment	wurkgelegenheid
emporium	emporium
empower	empower
empress	empress
emptiness	leech
emption	ûntfangst
empty	leech
emu	emu
emulate	emulearje
emulsion	emulsion
enable	aktivearje
enablement	tafoegje
enact	oanpakke
enactment	ynstakking
enamel	eamelje
encampment	kamping
enchant	enchant
enchanted	fertsjinwurdige
enchanting	fertsjinnend
enchantment	ferjouwing
enchantress	enchantress
enchilada	enchilada
encircle	omkreare
encircling	omkeard
enclave	enklave
enclose	beslute
enclosure	ôfsetting
encode	kodearje
encomiastic	NO TRANSLATION
encomium	encomium
encompass	omkriten
encore	NO TRANSLATION
encounter	treffen
encourage	oanmoedigje
encouraged	stimulearre
encouragement	stimulearje
encouraging	stimulearje
encroach	yndrukke
encroachment	yndrukke
encrypt	kodearje
encryption	fersifering
encumbrance	ferkeap
encyclopedia	ensyklopedy
end	ein
end table	eintafel
endanger	bedrige
endangered	bedrige
endangerment	endangerment
endearing	eare
endeavor	ynspanning
ended	ôfsluten
endemic	endemysk
endgame	einspul
ending	einigje
endless	einleas
endocarditis	endokarditis
endorse	goedkarre
endorsement	fertsjinwurdiging
endow	eare
endowed	eare
endowment	fertsjinwurdiging
endpapers	endpunten
endpoint	einpunt
endurance	endurance
endure	ferjitte
enduring	hâldend
enema	enema
enemy	fijân
energetic	energetysk
energize	enerzjy
energy	enerzjy
enforce	oansette
enforcement	hanthavening
enforcer	enforcer
engage	besykje
engaged	yn 'e mande
engagement	ferloving
engaging	yngrepen
engender	engender
engine	motor
engineer	yngenieur
engineering	yngenieur
engrave	grave
engraved	grave
engraver	graveur
engraving	grave
engrossed	fergrutte
engrossing	fergrutsje
engulf	engulf
enhance	ferheegje
enhancement	ferbetterjen
enigma	enigma
enigmatic	enigmatysk
enjoin	enjoin
enjoy	genietsje
enjoyable	genietsje
enjoying	genietsje
enjoyment	genietsje
enlarge	fergrutsje
enlarged	fergrutte
enlargement	fergrutting
enlighten	ferljochtsje
enlightened	ferljochte
enlightening	opljochtsjen
enlightenment	ferljochting
enlist	besykje
